,word,type,v1
7412,Edessan,NNP,Not nouns
7413,Edestosaurus,NNP,Not nouns
7414,Edgar,NNP,  남자 이름 ((애칭 Ed))      2.    
7415,Edith,NNP,  여자 이름  
7416,Ediya,NNP,Not nouns
7417,Edmond,NNP,"  남자 이름 ((애칭 Ed, Ned))  "
7418,Edmund,NNP,"  남자 이름((애칭 Ed, Ned)).      2.    "
7419,Edna,NNP,  여자 이름  
7420,Edo,NNP,  에도족(族): 나이지리아 남부의 Benin 지방에 사는 흑인족.      2.    
7421,Edomite,NNP,[성서]  에돔 사람 ((Esau 또는 Edom의 자손))  
7422,Edomitish,NNP,Not nouns
7423,Edoni,NNP,Not nouns
7424,Edriasteroidea,NNP,Not nouns
7425,Edrioasteroid,NNP,Not nouns
7426,Edrioasteroidea,NNP,[생명과학]  좌불가사리류(座~類)  
7427,Edriophthalma,NNP,Not nouns
7428,Eduardo,NNP,Not nouns
7429,Educabilia,NNP,Not nouns
7430,Eduskunta,NNP,Not nouns
7431,Edward,NNP,"  남자 이름(cf. ED, NED, TED)  "
7432,Edwardean,NNP,Not nouns
7433,Edwardeanism,NNP,Not nouns
7434,Edwardian,NNP,Not nouns
7435,Edwardine,NNP,Not nouns
7436,Edwardsia,NNP,Not nouns
7437,Edwardsiidae,NNP,Not nouns
7438,Edwin,NNP,"  남자 이름 ((애칭 Ed, Ned))  "
7439,Edwina,NNP,  여자 이름  
7440,Effie,NNP,  여자 이름 ((Euphemia의 애칭))      2.    
7441,Effodientia,NNP,Not nouns
7442,Efik,NNP,"  에피크어(語): 아프리카 나이지리아 남동부에 거주하는 에피크족의 언어, 니제르 콩고 어족 쿠와 어파(語派)에 속한다.  "
7443,Egba,NNP,Not nouns
7444,Egbert,NNP,  남자 이름      2.    
7445,Egbo,NNP,Not nouns
7446,Egeria,NNP,"[로마 전설]  에게리아: 샘의 요정인 카메나들(Camenae)중 한 사람으로, Numa Pompilius왕의 아내; 제사(祭祀...      2.    "
7447,Eglamore,NNP,Not nouns
7448,Egocerus,NNP,Not nouns
7449,Egretta,NNP,Not nouns
7450,Egypt,NNP,"  이집트 ((아프리카 북부의 공화국, 공식명 Arab Republic of Egypt, 수도 Cairo))  "
7451,Egyptian,NNP,"  이집트 사람, [U] (고대) 이집트 말      3.    "
7452,Egyptianism,NNP,Not nouns
7453,Egyptianization,NNP,  이집트화(化)  
7454,Egyptianize,NNP,Not nouns
7455,Egyptize,NNP,Not nouns
7456,Egyptologer,NNP,Not nouns
7457,Egyptologic,NNP,Not nouns
7458,Egyptological,NNP,  이집트학  
7459,Egyptologist,NNP,  이집트학자  
7460,Egyptology,NNP,  이집트학  
7461,Ehatisaht,NNP,Not nouns
7462,Ehretia,NNP,Not nouns
7463,Ehretiaceae,NNP,"  송양나무과(科)인 Ehretiaceae에 속하는 Bourreria속(屬)의 열대성 관목, 특히 B. ovata: 향기가 좋은 흰 꽃이 핀다; 미국 플로리다 남부 및 서인도 제도산(産).  "
7464,Eichhornia,NNP,Not nouns
7465,Eikonogen,NNP,Not nouns
7466,Eileen,NNP,  여자 이름  
7467,Eimak,NNP,Not nouns
7468,Eimeria,NNP,[농업]  아이메리아  
7469,Einsteinian,NNP,Not nouns
7470,Eireannach,NNP,Not nouns
7471,Eirene,NNP,Not nouns
7472,Ejam,NNP,Not nouns
7473,Ekoi,NNP,[미술용어]  에코이 족  
7474,Ekron,NNP,Not nouns
7475,Ekronite,NNP,Not nouns
7476,Elachista,NNP,Not nouns
7477,Elachistaceae,NNP,Not nouns
7478,Elaeagnaceae,NNP,Not nouns
7479,Elaeagnus,NNP,[임학]  보리수나무류(~類)  
7480,Elaeis,NNP,Not nouns
7481,Elaeocarpaceae,NNP,Not nouns
7482,Elaeocarpus,NNP,Not nouns
7483,Elaeococca,NNP,Not nouns
7484,Elaeodendron,NNP,Not nouns
7485,Elaine,NNP,  (Arthur왕 전설에서의) 일레인      2.    
7486,Elamite,NNP,  엘람 사람      3.    
7487,Elamitic,NNP,  엘람 어(語)(Elamite).      2.    [형용사]  ELAMITE.  
7488,Elamitish,NNP,Not nouns
7489,Elanus,NNP,Not nouns
7490,Elaphe,NNP,Not nouns
7491,Elaphebolion,NNP,Not nouns
7492,Elaphodus,NNP,Not nouns
7493,Elaphoglossum,NNP,Not nouns
7494,Elaphomyces,NNP,Not nouns
7495,Elaphomycetaceae,NNP,Not nouns
7496,Elaphrium,NNP,Not nouns
7497,Elaphurus,NNP,Not nouns
7498,Elapidae,NNP,Not nouns
7499,Elapinae,NNP,Not nouns
7500,Elaps,NNP,Not nouns
7501,Elapsoidea,NNP,Not nouns
7502,Elasmobranchii,NNP,[해양과학]  판새아강 (板鰓亞綱)  
7503,Elasmosaurus,NNP,[동물]  에라스모사우루스  
7504,Elasmotherium,NNP,Not nouns
7505,Elateridae,NNP,[농생물학]  방아벌레과  
7506,Elatha,NNP,Not nouns
7507,Elatinaceae,NNP,Not nouns
7508,Elatine,NNP,Not nouns
7509,Elbert,NNP,  남자 이름 ((애칭 Bert))  
7510,Elberta,NNP,  여자 이름  
7511,Eldred,NNP,  남자 이름  
7512,Elean,NNP,Not nouns
7513,Eleanor,NNP,"  여자 이름 ((Helen의 변형; 애칭 Ella, Ellie, Nell(e), Nelly, Nellie, Nora))  "
7514,Eleatic,NNP,Not nouns
7515,Eleaticism,NNP,  엘레아 학파 철학((기원전 6-5세기 Parmenides와 Zeno 등이 창도(唱導)했음)).  
7516,Eleazar,NNP,"  엘르아살: Aaron의 아들, 아버지의 대제사장직을 이어받았다.  "
7517,Electra,NNP,  여자 이름      2.    
7518,Electrophoridae,NNP,Not nouns
7519,Eleocharis,NNP,Not nouns
7520,Elephantidae,NNP,Not nouns
7521,Elephantopus,NNP,Not nouns
7522,Elephas,NNP,Not nouns
7523,Elettaria,NNP,Not nouns
7524,Eleusine,NNP,Not nouns
7525,Eleusinia,NNP,"  엘레우시스의 축제: 고대 Eleusis와 Athens에서 거행된 엘레우시스의 제전(祭典) (Eleusinian mysteries)을 중심으로 하는 두 제전 중의 하나, 후에는 고대 그리스의 다른 도시에서도 모방했다.  "
7526,Eleusinian,NNP,Not nouns
7527,Eleusinion,NNP,Not nouns
7528,Eleut,NNP,Not nouns
7529,Eleutheri,NNP,Not nouns
7530,Eleutheria,NNP,Not nouns
7531,Eleutherian,NNP,Not nouns
7532,Eleutherios,NNP,Not nouns
7533,Eleutherodactyli,NNP,Not nouns
7534,Eleutherodactylus,NNP,Not nouns
7535,Eleutherozoa,NNP,[생명과학]  유재아문(遊在亞門)  
7536,Eli,NNP,  일라이(선지자 Samuel을 키운 이스라엘의 제사장. ←사무엘 상(1 Samuel) 1-3).      2.    
7537,Elia,NNP,  Charles LAMB의 필명  
7538,Elian,NNP,Not nouns
7539,Elianic,NNP,Not nouns
7540,Elias,NNP,  남자 이름(cf. ELIOT)      2.    
7541,Elihu,NNP,  남자 이름      2.    
7542,Elijah,NNP,  남자 이름      2.    
7543,Elinor,NNP,  여자 이름  
7544,Elinvar,NNP,"[상표]  엘린바: 철·니켈·크롬 따위의 합금; 자화(磁化)하지 않으며, 열팽창률이 작다.  "
7545,Eliot,NNP,  남자 이름      2.    
7546,Eliphalet,NNP,Not nouns
7547,Elisabeth,NNP,  여자 이름      2.    
7548,Elisha,NNP,  남자 이름      2.    
7549,Elishah,NNP,Not nouns
7550,Elissa,NNP,  Dido의 페니키아 이름.      2.    
7551,Eliza,NNP,  여자 이름 ((Elizabeth의 애칭))  
7552,Elizabeth,NNP,"  여자 이름 ((애칭은 Bess, Bessie, Bessy, Beth, Betty, Eliza, Elsie, Lily, Lisa, Liz, Liza, Lizzie, Lizzy))      2.    "
7553,Elizabethan,NNP,Not nouns
7554,Elizabethanism,NNP,Not nouns
7555,Elizabethanize,NNP,Not nouns
7556,Elkanah,NNP,  여자 이름.  
7557,Elkdom,NNP,Not nouns
7558,Elkesaite,NNP,Not nouns
7559,Elkoshite,NNP,Not nouns
7560,Elkuma,NNP,Not nouns
7561,Ella,NNP,  여자 이름  
7562,Ellasar,NNP,Not nouns
7563,Ellen,NNP,  여자 이름  
7564,Ellerian,NNP,Not nouns
7565,Ellice,NNP,Not nouns
7566,Ellick,NNP,  남자 이름((Alexander의 애칭)).  
7567,Elliot,NNP,"  엘리엇(남자 이름, Elias의 별칭).  "
7568,Elliott,NNP,"Elliott, 뉴젠트: 미국의 배우·연출가·극작가.  "
7569,Elmer,NNP,  남자 이름  
7570,Eloah,NNP,Not nouns
7571,Elodea,NNP,  북미 원산의 Elodea속(屬) 수초(水草)의 총칭.  
7572,Elodeaceae,NNP,Not nouns
7573,Elodes,NNP,Not nouns
7574,Elohim,NNP,  엘로힘 ((구약 성서에 나오는 하느님을 칭하는 보통 명사))  
7575,Elohimic,NNP,Not nouns
7576,Elohism,NNP,Not nouns
7577,Elohist,NNP,  엘로히스트 ((구약 성서 첫 6편에서 하느님을 Elohim이라 부른 저자))  
7578,Elohistic,NNP,"  엘로히스트(Elohist)의, 신을 엘로힘(Elohim)이라고 부르는.  "
7579,Eloise,NNP,  여자 이름  
7580,Elon,NNP,Not nouns
7581,Elonite,NNP,Not nouns
7582,Elopidae,NNP,Not nouns
7583,Elotherium,NNP,Not nouns
7584,Elric,NNP,Not nouns
7585,Elsa,NNP,  여자 이름  
7586,Elsholtzia,NNP,Not nouns
7587,Elvira,NNP,  여자 이름  
7588,Elvis,NNP,[美속어]  엘비스(~ Presley)식 머리 모양.      2.    
7589,Elwood,NNP,"Elwood, 헤인즈(1857-1925): 미국의 발명가.  "
7590,Elymi,NNP,Not nouns
7591,Elymus,NNP,Not nouns
7592,Elysee,NNP,  엘리제(궁) ((파리의 프랑스 대통령 관저))      2.    
7593,Elysia,NNP,  여자 이름.  
7594,Elysian,NNP,Not nouns
7595,Elysiidae,NNP,Not nouns
7596,Elysium,NNP,[그리스신화]  엘리시움 ((선량한 사람들이 죽은 후 사는 곳))      2.    
7597,Elzevir,NNP,"  엘지비어판의 책, 엘지비어 활자.  "
7598,Elzevirian,NNP,Not nouns
7599,Em,NNP,"  여자 이름 ((Emily, Emma 등의 애칭))  "
7600,Emarginula,NNP,Not nouns
7601,Embadomonas,NNP,Not nouns
7602,Emballonuridae,NNP,Not nouns
7603,Embden,NNP,[조류]  엠덴 ((집거위의 일종))  
7604,Embelia,NNP,Not nouns
7605,Emberiza,NNP,Not nouns
7606,Emberizinae,NNP,Not nouns
7607,Embiidae,NNP,Not nouns
7608,Embiidina,NNP,Not nouns
7609,Embiodea,NNP,Not nouns
7610,Embioptera,NNP,[농생물학]  흰개미붙이목  
7611,Embiotocidae,NNP,Not nouns
7612,Embolomeri,NNP,Not nouns
7613,Embrica,NNP,Not nouns
7614,Embryophyta,NNP,[식물학]  유배 식물  
7615,Emeline,NNP,  여자이름  
7616,Emerita,NNP,"  (여성) 명예 교수, 그 지위[직]      2.    [형용사]  <여성이> 사임[은퇴] 후에도 재직 중의 예우를 받는, 명예 대우의  "
7617,Emersonianism,NNP,"  에머슨주의, (에머슨풍의) 초월주의(超越主義)  "
7618,Emery,NNP,  남자 이름  
7619,Emesa,NNP,Not nouns
7620,Emesidae,NNP,Not nouns
7621,Emil,NNP,  에밀(남자 이름). (또는 Émile)  
7622,Emilia,NNP,  여자 이름(애칭 Millie)  
7623,Emily,NNP,  여자 이름  
7624,Emim,NNP,Not nouns
7625,Emm,NNP,  여자 이름(Emma의 애칭)  
7626,Emma,NNP,  여자 이름(cf. EMMY)  
7627,Emmanuel,NNP,  남자 이름  
7628,Emmental,NNP,  에멘탈(구멍이 송송 나 있는 스위스산 치즈)  
7629,Emmett,NNP,  남자 이름.  
7630,Empedoclean,NNP,Not nouns
7631,Empeo,NNP,Not nouns
7632,Empetraceae,NNP,Not nouns
7633,Empetrum,NNP,Not nouns
7634,Empididae,NNP,Not nouns
7635,Empidonax,NNP,  북미 동부산(産)인 참새목(目) 딱새류(類)의 일종 Empidonax minimus.  
7636,Empire,NNP,  제국      2.    
7637,Empusa,NNP,Not nouns
7638,Emydea,NNP,Not nouns
7639,Emydidae,NNP,Not nouns
7640,Emydinae,NNP,Not nouns
7641,Emydosauria,NNP,Not nouns
7642,Emys,NNP,Not nouns
7643,Enajim,NNP,Not nouns
7644,Enaliornis,NNP,Not nouns
7645,Enaliosauria,NNP,Not nouns
7646,Encelia,NNP,Not nouns
7647,Encephalartos,NNP,Not nouns
7648,Enchelycephali,NNP,Not nouns
7649,Enchodontid,NNP,Not nouns
7650,Enchodontidae,NNP,Not nouns
7651,Enchodontoid,NNP,Not nouns
7652,Enchodus,NNP,Not nouns
7653,Enchytraeidae,NNP,Not nouns
7654,Enchytraeus,NNP,Not nouns
7655,encina,NNP,[식물]  (미국 남서부산(産)의) 떡갈나무의 일종  
7656,Encratism,NNP,Not nouns
7657,Encratite,NNP,Not nouns
7658,Encrinidae,NNP,Not nouns
7659,Encrinoidea,NNP,Not nouns
7660,Encrinus,NNP,Not nouns
7661,Encyrtidae,NNP,Not nouns
7662,Endamoeba,NNP,"  엔드아메바: 아메바속(屬) Endamoeba의 원생(原生) 동물, 그중 한 종은 사람의 아메바성 이질의 병원체.  "
7663,Endamoebidae,NNP,Not nouns
7664,Endoceras,NNP,Not nouns
7665,Endoceratidae,NNP,Not nouns
7666,Endogenae,NNP,Not nouns
7667,Endomyces,NNP,Not nouns
7668,Endomycetaceae,NNP,Not nouns
7669,Endoparasitica,NNP,Not nouns
7670,Endophyllaceae,NNP,Not nouns
7671,Endophyllum,NNP,Not nouns
7672,Endoprocta,NNP,[해양학]  내강 동물(内腔動物)  
7673,Endopterygota,NNP,[농생물학]  내시류  
7674,Endothia,NNP,Not nouns
7675,Endothrix,NNP,[생명과학]  모내[사상]균[속](毛內[絲狀]菌[屬])  
7676,Endotrophi,NNP,Not nouns
7677,Endromididae,NNP,Not nouns
7678,Endromis,NNP,Not nouns
7679,Endymion,NNP,[그리스신화]  엔디미온 ((달의 여신 Selene에게 사랑받은 미소년))  
7680,Eneas,NNP,Not nouns
7681,Engelmannia,NNP,Not nouns
7682,Englander,NNP,  (=LITTLE ENGLANDER)      2.    
7683,Engler,NNP,[생명과학]  엥글러  
7684,Englerophoenix,NNP,Not nouns
7685,Englifier,NNP,Not nouns
7686,Englify,NNP,Not nouns
7687,English,NNP,  영어      2.    
7688,Englishable,NNP,Not nouns
7689,Englisher,NNP,  영국 국민      2.    
7690,Englishhood,NNP,Not nouns
7691,Englishism,NNP,  영국식 어법(Briticism) (opp. Americanism)      2.    
7692,Englishize,NNP,Not nouns
7693,Englishly,NNP,Not nouns
7694,Englishman,NNP,  잉글랜드인 남자  
7695,Englishness,NNP,"  영국 (사람)다움, 영국 (사람)식  "
7696,Englishry,NNP,"  영국 태생임, 영국풍      2.    "
7697,Englishwoman,NNP,  잉글랜드인 여자  
7698,Engraulidae,NNP,Not nouns
7699,Engraulis,NNP,Not nouns
7700,Engystomatidae,NNP,Not nouns
7701,Enhydra,NNP,Not nouns
7702,Enhydrinae,NNP,Not nouns
7703,Enhydris,NNP,Not nouns
7704,Enicuridae,NNP,Not nouns
7705,Enid,NNP,  여자 이름  
7706,Enif,NNP,Not nouns
7707,Enki,NNP,"  엔키: Sumer의 물의 신(神)이며 지혜의 신, Akkad의 Ea에 상당.  "
7708,Enkidu,NNP,  엔키두: Gilgamesh의 종자(從者)이자 친구.  
7709,Enoch,NNP,  남자 이름      2.    
7710,Enochic,NNP,Not nouns
7711,Enopla,NNP,[동물학]  유침류  
7712,Enos,NNP,  남자 이름      2.    
7713,enrober,NNP,Not nouns
7714,Ensiferi,NNP,Not nouns
7715,Entada,NNP,"[식물]  구슬콩(Entada phaseoloides) ((열대산(產) 콩과(科)의 덩굴식물 , 그 콩은 장식에 쓰임)).  "
7716,Entamoeba,NNP,Not nouns
7717,Entelodon,NNP,Not nouns
7718,Ententophil,NNP,Not nouns
7719,Enterocoela,NNP,Not nouns
7720,Enterolobium,NNP,Not nouns
7721,Enteromorpha,NNP,Not nouns
7722,Enteropneusta,NNP,"  장새류(腸?類) 동물: 반색(半索) 동물문(門)의 장새강(綱) Enteropneusta 동물의 총칭, 개옥잠화벌레를 포함한다, 이사(泥砂) 속에 사는 기다란 벌레, 소화관(장) 앞부분에 호흡용의 새공(?孔)이 있다.  "
7723,Entoloma,NNP,Not nouns
7724,Entomophaga,NNP,Not nouns
7725,Entomophila,NNP,Not nouns
7726,Entomophthora,NNP,Not nouns
7727,Entomophthoraceae,NNP,Not nouns
7728,Entomophthorales,NNP,Not nouns
7729,Entomosporium,NNP,[생명과학]  엔토모스포리움잎반점(~斑點)  
7730,Entomostraca,NNP,[해양학]  절갑류(切甲類)  
7731,Entoprocta,NNP,  내항동물문(內肛動物門).  
7732,Entotrophi,NNP,Not nouns
7733,Entyloma,NNP,Not nouns
7734,Enukki,NNP,Not nouns
7735,Eoanthropus,NNP,  에오안트로푸스속(屬): 필트다운인(Piltdown man)에게 붙여진 속명(屬名).  
7736,Eocarboniferous,NNP,Not nouns
7737,Eocene,NNP,Not nouns
7738,Eodevonian,NNP,Not nouns
7739,Eogaea,NNP,Not nouns
7740,Eogaean,NNP,Not nouns
7741,Eoghanacht,NNP,Not nouns
7742,Eohippus,NNP,  에오히푸스 ((미국 서부에서 발굴된 시신세(始新世) 전기의 화석마(化石馬)))  
7743,Eomecon,NNP,Not nouns
7744,Eopalaeozoic,NNP,Not nouns
7745,Eopaleozoic,NNP,Not nouns
7746,Eosaurus,NNP,Not nouns
7747,Eozoic,NNP,Not nouns
7748,Epacridaceae,NNP,Not nouns
7749,Epacris,NNP,Not nouns
7750,Epanagoge,NNP,Not nouns
7751,Epanorthidae,NNP,Not nouns
7752,Eparchean,NNP,Not nouns
7753,Epeira,NNP,Not nouns
7754,Epeiridae,NNP,Not nouns
7755,Eperua,NNP,  Guianas 및 브라질 북부산(産)의 콩과(科) Eperua 속(屬)의 나무.      2.    
7756,Ephedra,NNP,[식물]  마황(麻黃)  
7757,Ephedraceae,NNP,Not nouns
7758,Ephemera,NNP,Not nouns
7759,Ephemerida,NNP,Not nouns
7760,Ephemeridae,NNP,Not nouns
7761,Ephemeroptera,NNP,[농생물학]  하루살이목  
7762,Ephesine,NNP,Not nouns
7763,Ephraim,NNP,  남자 이름      2.    
7764,Ephraimite,NNP,  에브라임의 자손      2.    
7765,Ephraimitic,NNP,Not nouns
7766,Ephraimitish,NNP,Not nouns
7767,Ephraitic,NNP,Not nouns
7768,Ephrathite,NNP,Not nouns
7769,Ephthalite,NNP,Not nouns
7770,Ephthianura,NNP,Not nouns
7771,Ephydra,NNP,Not nouns
7772,Ephydridae,NNP,Not nouns
7773,Epibaterium,NNP,Not nouns
7774,Epicaridea,NNP,Not nouns
7775,Epicarides,NNP,Not nouns
7776,Epicauta,NNP,Not nouns
7777,Epiceratodus,NNP,Not nouns
7778,Epicoela,NNP,Not nouns
7779,Epicrates,NNP,Not nouns
7780,Epicurean,NNP,Not nouns
7781,Epicureanism,NNP,[철학]  에피쿠로스의 철학      2.    
7782,Epicurism,NNP,  (=EPICUREANISM)  
7783,Epicurize,NNP,Not nouns
7784,Epidendron,NNP,Not nouns
7785,Epidendrum,NNP,  에피덴드륨 Epidendrum 속(屬)의 각종 난(蘭)의 총칭.  
7786,Epidermophyton,NNP,Not nouns
7787,Epigaea,NNP,Not nouns
7788,Epigoni,NNP,[그리스 신화]  에피고니(테베를 공격한 7용사(the Seven against Thebes)의 자식들).  
7789,Epigonichthyidae,NNP,Not nouns
7790,Epigonichthys,NNP,Not nouns
7791,Epigonus,NNP,  EPIGONE.      2.    
7792,Epihippus,NNP,Not nouns
7793,Epikouros,NNP,Not nouns
7794,Epilachna,NNP,Not nouns
7795,Epilachnides,NNP,Not nouns
7796,Epilobiaceae,NNP,Not nouns
7797,Epilobium,NNP,Not nouns
7798,Epimachinae,NNP,Not nouns
7799,Epimedium,NNP,Not nouns
7800,Epimenidean,NNP,Not nouns
7801,Epinephelidae,NNP,Not nouns
7802,Epinephelus,NNP,Not nouns
7803,Epipactis,NNP,Not nouns
7804,Epiphany,NNP,  공현 대축일(1월 6일: 기독교에서 동방 박사들이 아기 예수를 만나러 베들레헴을 찾은 것을 기리는 축일)  
7805,Epiphegus,NNP,Not nouns
7806,Epiphyllum,NNP,[원예학]  공작 선인장  
7807,Epipsychidion,NNP,Not nouns
7808,Epirote,NNP,  Epirus사람.  
7809,Epirotic,NNP,Not nouns
7810,Episcopal,NNP,Not nouns
7811,Episcopalianism,NNP,  (스코틀랜드와 미국 내) 영국 성공회 교도  
7812,Episcopalianize,NNP,Not nouns
7813,Episcopally,NNP,Not nouns
7814,Epistylis,NNP,Not nouns
7815,Epitoniidae,NNP,Not nouns
7816,Epitonium,NNP,Not nouns
7817,Epizoa,NNP,Not nouns
7818,Epomophorus,NNP,Not nouns
7819,Eppie,NNP,Not nouns
7820,Eppy,NNP,Not nouns
7821,Eproboscidea,NNP,Not nouns
7822,Epsom,NNP,"  엡섬 ((영국 Surrey 주의 도시; 경마장이 있으며, Derby 및 Oaks 경마가 유명))  "
7823,Eptatretidae,NNP,Not nouns
7824,Eptatretus,NNP,Not nouns
7825,Equisetaceae,NNP,Not nouns
7826,Equisetales,NNP,Not nouns
7827,Equisetum,NNP,[식물]  속새류의 총칭 ((속새·쇠뜨기 등))  
7828,Equus,NNP,"[동물]  에쿠스, 말속(屬)(말·당나귀·노새·얼룩말 따위 말과(科) 유일의 속).  "
7829,Eragrostis,NNP,Not nouns
7830,Eranthemum,NNP,Not nouns
7831,Eranthis,NNP,Not nouns
7832,Erasmian,NNP,  에라스무스 유파의 사람  
7833,Erasmus,NNP,"  에라스무스 Desiderius ~ (1466?-1536) ((네덜란드의 인문학자, 문예 부흥 운동의 선각자))  "
7834,Erastian,NNP,  에라스투스설의 신봉자  
7835,Erastianism,NNP,  에라스투스설 ((종교는 국가에 종속하여야 한다는 설))  
7836,Erastianize,NNP,Not nouns
7837,Erastus,NNP,  남자 이름      2.    
7838,Erava,NNP,Not nouns
7839,Erechtheum,NNP,"  에레크테움: Athens의 Acropolis에 있는 신전으로서 기원전 421년에 기공되었다; 2개의 이오니아식 주랑(柱廊)과 여상주(柱) (caryatid)가 있는 주랑으로 구성되어 있고, 고전 건축의 전형의 하나로 되어 있다.  "
7840,Erechtheus,NNP,[그리스 전설]  에레크테우스: Athens 의 왕으로서 Procris의 아버지.  
7841,Erechtites,NNP,Not nouns
7842,Eremochaeta,NNP,Not nouns
7843,Eremopteris,NNP,Not nouns
7844,Eremurus,NNP,"[식물]  에레무루스속(屬)(E~)의 각종 다년초(=foxtail lily)((백합과(科) , 중앙 아시아 원산(原產))).  "
7845,Erethizon,NNP,Not nouns
7846,Erethizontidae,NNP,Not nouns
7847,Eretrian,NNP,Not nouns
7848,Ergane,NNP,"[그리스 신화]  에르가네: Athena의 덧붙인 이름, ""worker""라는 뜻.  "
7849,Erianthus,NNP,Not nouns
7850,Eric,NNP,  남자 이름  
7851,Erica,NNP,  여자 이름  
7852,Ericaceae,NNP,Not nouns
7853,Ericales,NNP,Not nouns
7854,Erick,NNP,Not nouns
7855,Eridanid,NNP,Not nouns
7856,Erie,NNP,  Lake ~ 이리 호 ((미국 동부에 있는 5대호의 하나))  
7857,Erigenia,NNP,"  미나리과(科)의 초본 Erigenia bulbosa: 이른 봄에 작은 꽃이 핀다, 북미산(産).  "
7858,Erigeron,NNP,"  국화과(科) 망초속(屬) Erigeron 초본의 총칭, 애스터(aster) 비슷한 두상(頭狀)화를 갖는데 그 설상(舌狀)화는 좀더 가늘고 수가 많으며 빛은 흰색 또는 자주색: 망초·개망초·실망초 따위.  "
7859,Eriglossa,NNP,Not nouns
7860,Erik,NNP,  남자 이름.  
7861,Erinaceidae,NNP,Not nouns
7862,Erinaceus,NNP,Not nouns
7863,Erinize,NNP,Not nouns
7864,Eriobotrya,NNP,[생약학]  비파(枇杷)  
7865,Eriocaulaceae,NNP,Not nouns
7866,Eriocaulon,NNP,Not nouns
7867,Eriocomi,NNP,Not nouns
7868,Eriodendron,NNP,Not nouns
7869,Eriodictyon,NNP,Not nouns
7870,Eriogonum,NNP,Not nouns
7871,Eriophorum,NNP,Not nouns
7872,Eriophyes,NNP,[농업]  에리오피에스  
7873,Eriophyidae,NNP,[농생물학]  혹응애과  
7874,Eriosoma,NNP,Not nouns
7875,Eriphyle,NNP,Not nouns
7876,Eristalis,NNP,Not nouns
7877,Erithacus,NNP,Not nouns
7878,Eritrean,NNP,Not nouns
7879,Erma,NNP,  여자 이름. Ermengarde의 별칭.  
7880,Ermanaric,NNP,  에르마나리히(d. 375 ?)((동(東)고트왕(王))).  
7881,Ermani,NNP,Not nouns
7882,Ermanrich,NNP,Not nouns
7883,Ernest,NNP,  남자 이름  
7884,Ernestine,NNP,  여자 이름  
7885,Ernie,NNP,[영]  프리미엄이 붙는 채권 당첨 번호 추첨 컴퓨터  
7886,Ernst,NNP,  남자 이름. (→ERNEST)      2.    
7887,Erodium,NNP,"  쥐손이풀속(屬) Erodium 초본의 총칭, heron`s-bill 따위.  "
7888,Eros,NNP,"[격식]  에로스, 성애  "
7889,Erotylidae,NNP,[농생물학]  버섯벌레과  
7890,Erpetoichthys,NNP,Not nouns
7891,Errantia,NNP,[농업]  유영류(遊泳類)  
7892,Ersar,NNP,Not nouns
7893,Erse,NNP,"[구식]  어스어(스코틀랜드와 아일랜드의 게일어) (→Gaelic, Irish)  "
7894,Ertebolle,NNP,"  스칸디나비아의 신석기 시대 초기 문화의(에 특유한, 의 특징을 가지는).  "
7895,Eruca,NNP,Not nouns
7896,Ervipiame,NNP,Not nouns
7897,Ervum,NNP,Not nouns
7898,Erwin,NNP,  남자 이름  
7899,Erwinia,NNP,[세균]  에르비니아균속(屬): 식물의 병원(病原)이 되는 간균(桿菌)의 한 속(屬).  
7900,Erymanthian,NNP,"[그리스 신화]  에류만토스의 멧돼지: Erymanthus산에 살면서 Arcadia를 황폐하게 하다가, Hercules 에게 잡힌 흉포한 멧돼지.  "
7901,Eryngium,NNP,Not nouns
7902,Eryon,NNP,Not nouns
7903,Eryops,NNP,Not nouns
7904,Erysibe,NNP,Not nouns
7905,Erysimum,NNP,Not nouns
7906,Erysipelothrix,NNP,"[세균]  (포유류·새·물고기 따위에 기생하는) 에리시펠로트릭스속(屬) Erysipelothrix의 혐기성(嫌氣性) 간균(桿菌)의 총칭, 돼지 단독균 따위.  "
7907,Erysiphaceae,NNP,Not nouns
7908,Erysiphe,NNP,[농업]  에리시페  
7909,Erythea,NNP,"  과달루프 야자수 Erythea edulis: 식용이며, 공 모양의 검은 열매가 송이 모양으로 열린다; 미국 California주 남부 원산.  "
7910,Erythraea,NNP,Not nouns
7911,Erythraean,NNP,Not nouns
7912,Erythraeidae,NNP,Not nouns
7913,Erythrina,NNP,Not nouns
7914,Erythrinidae,NNP,Not nouns
7915,Erythrinus,NNP,Not nouns
7916,Erythrochaete,NNP,Not nouns
7917,Erythronium,NNP,[생약학]  엘레지 녹말  
7918,Erythroxylaceae,NNP,Not nouns
7919,Erythroxylon,NNP,Not nouns
7920,Erythroxylum,NNP,Not nouns
7921,Eryx,NNP,[그리스 신화]  에류크스: Hercules에게 결투를 신청했다가 죽음을 당한 격투사.  
7922,Escalator,NNP,Not nouns
7923,Escallonia,NNP,"[식물]  에스칼로니아((범의귀과(科) E~속(屬)의 각종 관목 , 남미 원산(原產))).  "
7924,Escalloniaceae,NNP,Not nouns
7925,Escherichia,NNP,"[세균]  대장균속(屬): 장내의 혐기(嫌氣)성 간(桿)균의 한 속(屬), 대장균 E. coli 따위는 사람이나 동물의 대장내에서 때로는 병원균이 될 때도 있다.  "
7926,Eschscholtzia,NNP,[식물]  금영화(金英花)(California poppy)  
