,"3. The butane gas fuel used to cook food outdoors is liquid in the butane gas cylinder, but when it comes out, it becomes a gas and catches fire. Why do we keep gas-based substances in a liquid state? Let's explain in detail using our knowledge of the state change of matter.",q3_particle arrangement,q3_storage,q3_reactivity,q3_confirmation
563,I don't know.,,,,
564,"In general, the volume of the material in a gaseous state is very large compared to a liquid, so storing butane gas in a liquid state can store a larger amount.",,,,
565,This is because it can be stored more because it is denser than the gaseous state when it is in a liquid state in the same volume.,,,,
566,"It is difficult to handle when stored as a gas, and even fuel of the same mass cannot store a large capacity because the gas is larger in volume than the liquid.",,,,
567,"When a liquid vaporizes into a gas, it becomes easier to use and when the gas is liquefied into a liquid, it becomes easier to store.",,,,
568,I don't know,,,,
569,Because you can change the liquid into gas by storing it and shaking it?,,,,
570,I don't know.,,,,
571,I didn't learn this problem.,,,,
572,This is because it can be stored more easily if stored in a liquid.,,,,
573,Don't know,,,,
574,under the resistance of the air,,,,
575,"If you keep it in Ex, it feels good when you shake it",,,,
576,It's convenient,,,,
577,....,,,,
578,It',,,,
579,...,,,,
580,.......,,,,
581,"If it's in a gaseous state, it's all gone",,,,
582,"If I don't use liquid bonds, all the bonds will be gone",,,,
583,It could explode if it catches fire,,,,
584,I don't think I've learned this yet,,,,
585,I don't know.,,,,
586,It evaporates because of the heat while cooking.,,,,
587,This is because the liquid comes out and spreads into the gas.,,,,
588,I don't know.,,,,
589,Just in case it's dangerous,,,,
590,I'm turning it off,,,,
591,Butane gas sticks to the fire easily,,,,
592,I don't know,,,,
593,Butane gas sticks to the fire easily,,,,
594,vaporization,,,,
595,It'll leak if it's stored in gas,,,,
596,It's hard to keep it in a gaseous state,,,,
597,"If you use liquid, you can store more",,,,
598,"If you make it into a liquid, you can play more and more",,,,
599,To fill up a lot,,,,
600,"A gas is farther between molecules than a liquid and requires a larger container than a liquid to store it Therefore, liquids should be used to use narrower containers.",,,,
601,The amount is different when it's liquid than when it's in a gaseous,,,,
602,The amount is different when it's liquid than when it's gas,,,,
603,"To keep it safe,",,,,
604,It could explode,,,,
605,Because you can use more,,,,
606,"If it's liquid, it catches fire at once",,,,
607,"If you store it in a gaseous state, it can escape even with a slight gap",,,,
608,This is because the liquid in the butane gas cylinder has a property that changes when butane gas is generated.,,,,
609,It's because of the temperature.,,,,
610,To compress the gas like liquid nitrogen and put in a larger amount.,,,,
611,"When a gas meets a gas, it is combined together to cause a fire",,,,
612,This is because the volume of the liquid is smaller than that of the gas.,,,,
613,"When it's liquid, the ignition point is low",,,,
614,Surprising.,,,,
615,Gases can fly away,,,,
616,The properties of the gas can be kept unchanged and safe for a long time,,,,
617,It's safe to keep,,,,
618,Gases can fly away,,,,
619,This is because it can be stored longer.,,,,
620,This is because it can be stored longer.,,,,
621,This is because it can be stored longer.,,,,
622,you can keep it longer,,,,
623,"Gas is larger than liquid, so to reduce the volume,",,,,
624,To reduce the volume,,,,
625,"Gas is larger than liquid, so to reduce the volume,",,,,
626,It's because you have to keep it in liquid so that you can store more,,,,
627,Unstable and hazardous when in a gaseous state,,,,
628,Increase the pressure to change the state,,,,
629,This is because they try to reduce the volume by compressing it.,,,,
630,It's too dangerous,,,,
631,This is because there is a risk of explosion due to chemical reactions.,,,,
632,"In order to reduce the responsiveness,",,,,
633,Because gases are hard to handle.,,,,
634,This is because you can check the amount left.,,,,
635,It is to facilitate storage.,,,,
636,It is because of its responsiveness.,,,,
637,"When the gas is compressed, it becomes a liquid, and since the volume of the liquid is smaller than that of the gas, it is easy to secure storage space for storage.",,,,
638,"This is because if you make it into a liquid, the volume will be even smaller.",,,,
639,Because there's a risk of explosion.,,,,
640,"This is because there is a risk of expansion and explosion when the external temperature is changed, and there is a risk of explosion when an impact is applied.",,,,
641,Because it's easy to store,,,,
642,It's to make transport easier,,,,
643,Because you can drink it on ice.,,,,
644,That's true,,,,
645,"When the gas is liquefied, the volume becomes much smaller, so it is easy to store.",,,,
646,"This is because the gas state has a large volume, and the liquid state can be utilized with a small volume.",,,,
647,I want to keep more.,,,,
648,This is because it remains stable only when it exists in a liquid state.,,,,
649,This is because a large amount can be compressed and stored.,,,,
650,It's amazing,,,,
651,I don't know.,,,,
652,Use dry ice to keep the temperature low.,,,,
653,Gas is difficult to store because it is larger in volume than liquid.,,,,
654,It's because of the difference in air pressure,,,,
655,This is because more can be used by making it into a Gichelle liquid.,,,,
656,"In the butane gas cylinder, the pressure is high, so the gas exists as a liquid, but the pressure outside the cylinder is lower than in the cylinder, so the state changes to the gas as it comes out.",,,,
657,"Since the gas occupies a large volume and has a large fluidity, it is difficult to handle and is stored in a liquid state.",,,,
658,(I don't know),,,,
659,Because it's gas,,,,
660,Because it evaporates when left in a gaseous state,,,,
661,"If you keep it outside, it'll go bad",,,,
662,"If you keep it in gas, it'll all fly away",,,,
663,The frame catches fire more than the liquid.,,,,
664,Because gas conditions have the possibility of evaporation and liquid color is the most stable,,,,
665,"We don't know if the gas is invisible, but the liquid is visible",,,,
666,"Butane gas is compressed in a barrel and then ignited when it comes out, which will catch fire due to friction with the air.",,,,
667,I don't know.,,,,
668,This is because there is a risk of fire when the gas is in a state of gas.,,,,
669,I don't know,,,,
670,I don't know,,,,
671,be due to chemicals,,,,
672,I don't understand.,,,,
673,I don't know.,,,,
674,"If it's stored as gas, it could catch fire",,,,
675,I'll set it on fire it's on fire,,,,
676,"If stored in a gaseous state, it will escape",,,,
677,"If it's a gas, it comes out through a fine hole",,,,
678,"If there is a lotus in the container as a gas, the container explodes, so keep it as a liquid.",,,,
679,It's because it's going to be a lot,,,,
680,I don't understand.,,,,
681,"If it becomes a gas, it's too light, it flies, hits it, and it can cause friction and explode",,,,
682,Because it's easy to store,,,,
683,To keep it safe,,,,
684,"When stored in a gaseous state, it is larger in volume than when it is a liquid, so liquid is stored to store a lot.",,,,
685,Gas conditions are very dangerous. It can explode at any time. It is also much more convenient to trap liquids than to trap gases.,,,,
686,This is because there is a risk of fire.,,,,
687,This is because liquids can reduce volume and are more convenient to store compared to gases.,,,,
688,I don't know ?ã??688.0,,,,
689,..,,,,
690,"Since the volume increases as the liquid is converted into a gas, it is more inconvenient to store gaseous substances, and thus, it may be stored as a liquid.",,,,
691,I don't know.,,,,
692,be convenient for transportation It is because the gas is bulky.,,,,
693,"By applying very high pressure, molecular motion is suppressed to generate heat, and the heat is absorbed again and changed into a liquid to enter the can.",,,,
694,"Since the distance between molecules is long in a gaseous state, it occupies a larger volume than the same amount of liquid. Therefore, it is stored in a liquid state to contain a larger amount of butane gas in a limited space.",,,,
695,"The gas state is a state in which the molecular structure is relatively free and the density is lower than that of the liquid state, so the distance between molecules is far. Therefore, when the gas is cooled to reach the condensation point and liquefied, the distance between molecules is narrowed and a little more dense, making it convenient to transport and store a large amount.",,,,
696,"This is because if stored in a liquid state, it can be stored much more than when stored in a gaseous state. This is because when a substance is in a gaseous state, the molecules are spread out and bulky, but when it is in a liquid state, the molecules are gathered and smaller than when it is in a gaseous state.",,,,
697,"Gas is not easy to store because it can fly well because it has a long distance between molecules and is free of molecules. On the other hand, liquids made by applying pressure to gases are easier to store than gases because the distance between molecules is relatively shorter than gases and the movement of molecules is less.",,,,
698,This is because storing it in a liquid is safer from the risk of explosion than storing it in a gas.,,,,
699,"If it is in a gaseous state, it is difficult to store and the risk of explosion is high, so it is stored in a liquid state.",,,,
700,"Gas-like substances are more free between molecules than liquid substances. Therefore, it is more efficient to store liquid substances than to store gases inside one space.",,,,
701,"Gas is bulky. Put as much content as possible in the same container to save production costs, so keep butane gas as liquid. In a similar example, the international movement of natural gas has increased since frozen liquefaction technology was developed.",,,,
702,"Gas has the property of freely moving around rather than staying still. Butane gas fuels are easily heated, and in a gaseous state, there will be many fire accidents. To prevent this, it is placed in a liquid state.",,,,
703,?,,,,
704,Well.,,,,
705,I don't know.,,,,
706,I don't know,,,,
707,"If you store it in a gaseous state, it'll fly away",,,,
708,carbon dioxide,,,,
709,It's easy to store liquid,,,,
710,Painting,,,,
711,To be safe,,,,
712,yes,,,,
713,I don't know,,,,
714,"This is because when in liquid state, the volume decreases compared to when in gaseous state.",,,,
715,I doubt it.,,,,
716,It's easy to store,,,,
717,.,,,,
718,I don't know.,,,,
719,This is to contain a lot of gas because the liquid is smaller in volume than the gas.,,,,
720,Because it's light?,,,,
721,This is because the liquid state is easy to manage.,,,,
722,This is because liquid occupies less volume than gas.,,,,
723,It's because you can see the amount of liquid and it's smaller in volume than the gas,,,,
724,It's because liquid is more stable than gas,,,,
725,It's easier to store liquids than gases,,,,
726,I don't understand.,,,,
727,"When transported in a gas, it takes up too much volume, so it is changed to a liquid and stored.",,,,
728,"If it's a gas, it's all gone",,,,
729,"When stored as a gas, the particles in the air move actively, so the gas can leak out",,,,
730,"This is because when stored in a liquid state, the volume decreases and the risk of explosion decreases.",,,,
731,I don't know.,,,,
732,It is necessary to keep it in a liquid state to know how much is left (no matter how much you shake the cylinder containing the gas to check it),,,,
733,M and D,,,,
734,?¿ã??734.0,,,,
735,Mall,,,,
736,I don't understand.,,,,
737,I don't understand.,,,,
738,I don't know.,,,,
739,I don't know,,,,
740,M and D,,,,
741,I don't understand.,,,,
742,I don't understand.,,,,
743,I don't understand.,,,,
744,I don't understand.,,,,
745,I don't know.,,,,
746,?á©?¯I don't know.,,,,
747,I don't know,,,,
748,I don't understand.,,,,
749,M and D,,,,
750,M and D,,,,
751,I don't know,,,,
752,Butane gas is gone,,,,
753,.,,,,
754,I don't understand.,,,,
755,I don't know,,,,
756,M and D,,,,
757,I don't know.,,,,
758,.,,,,
759,Gas is stored in a liquid state because it increases in volume and is likely to burst when the temperature rises,,,,
760,"""Under a lot of pressure, the gas becomes a liquid",,,,
761,"""",,,,
762,"""Hello, ^^""",,,,
763,,,,,
764,,,,,
765,,,,,
766,"Before you answer the question, you should know that it's boiling point.",,,,
767,,,,,
768,The boiling point is the temperature at which the liquid molecules overcome each other's gravitational pull and go into the air.,,,,
769,,,,,
770,"When the atmospheric pressure and the vapor pressure are equal, it is often called the boiling point.",,,,
771,,,,,
772,,,,,
773,,,,,
774,"Butane gas is gaseous at room temperature, but it's easy to store, so it's usually used a lot...",,,,
775,,,,,
776,That's because you can put more in a gas tank in a liquid state than in a gas tank.,,,,
777,,,,,
778,,,,,
779,,,,,
780,"So keep the pressure high in the butane tank. They liquidate the molecules of butane gas molecules. When we write...          Use a little bit of butane gas in the gas tank, and the less butane gas there is, the more... The air pressure is a little lower. The liquid butane becomes a gas again... Then the pressure rises again, and the rest remains in liquid... If you consume gas, the air pressure will go down again. Well, this is happening over and over again, and we're using butane gas.",,,,
781,,,,,
782,,,,,
783,,,,,
784,"This is why the boiling point increases when the pressure increases. If you don't know, watch it~",,,,
785,,,,,
786,,,,,
787,Let me give you an example. There is a bus and the person riding there is butane gas... The people who are riding around me,,,,
788,,,,,
789,"It's called air pressure, and inside the bus is gas outside the liquid bus. Then if you have to get off (to become a gas), if the pressure from the people around you is strong, you might not be able to get off, right? But... say there's no one around you. Then, you",,,,
790,,,,,
791,You can get off easily.I don't know if you understand this much.Haha,,,,
792,,,,,
793,,,,,
794,,,,,
795,All gases are the same. You have to have enough power to beat atmospheric pressure to get into a gas state.,,,,
796,,,,,
797,"However, as the pressure increases, the pressing force on the molecules in the liquid state becomes stronger, making it difficult to become a gas. The higher the pressure, the more... This means that molecules of butane gas must have high energy to become gases.",,,,
798,I don't know,,,,
799,a solid preparation,,,,
800,Liquids can store more matter than gases,,,,
801,So that it doesn't fly away,,,,
802,It is to facilitate storage.,,,,
803,I don't know.,,,,
804,This is because there is less volume per unit area of liquid than gas.,,,,
805,Because it evaporates in the air when stored in the air,,,,
806,To add more,,,,
807,I don't know,,,,
808,To put in more,,,,
809,"This is because if butane gas is made up of only gas, it loses its efficiency because it loses gas quickly",,,,
810,I don't know.,,,,
811,.,,,,
812,Because the effects vary depending on the substance,,,,
813,?,,,,
814,To make it easier for substances to get in,,,,
815,To keep,,,,
816,I don't know,,,,
817,That's how it works,,,,
818,God created it like that,,,,
819,I don't know.,,,,
820,The gas is too bulky.,,,,
821,It is gasified outside of liquefaction at a low speed,,,,
822,Decompose butane gas,,,,
823,I don't know.,,,,
824,Because the volume decreases,,,,
825,"The distance between liquid particles is narrower than the distance between gas particles, so the volume is smaller in liquid than in gas. And the gas floats around, so it cannot be packaged or packaged.",,,,
826,Gas is easy to disappear from that space.,,,,
827,"If it's in a gaseous state, it can explode or cause of explosion or fire",,,,
828,It's the same principle that applying the right amount of heat to the ex-body becomes water vapor,,,,
829,Arkites in,,,,
830,"If it is in a gaseous state, it is stored in a liquid state for storage because the volume is too large.",,,,
831,.,,,,
832,I don't know.,,,,
833,Because it's light,,,,
834,I don't know. It's annoying.,,,,
835,I don't know.,,,,
836,Is there a high risk of bursting if you store it in gas?,,,,
837,It's weak,,,,
838,"In a gaseous state, it explodes when it meets the air",,,,
839,The liquid doesn't change very well,,,,
840,To reduce the volume,,,,
841,It is a method for easily transporting a large amount of butane gas in a small container because it can become a liquid by increasing the pressure of the gas,,,,
842,d,,,,
843,I don't understand.,,,,
844,"The liquid state is smaller in volume than the gas state, so it can be stored more",,,,
845,This is because you can save more.,,,,
846,The difference in density between gas and liquid is huge,,,,
847,This is because the gas can store more volumeOh,,,,
848,I don't know.,,,,
849,It's perfect!,,,,
850,It's to store a larger amount.,,,,
851,This is because it occupies a large volume if it exists in a gaseous state.,,,,
852,This is because it increases in volume.,,,,
853,Gas is bulky and difficult to store.,,,,
854,"It exists in a liquid state under high pressure, but it is converted into gas because the pressure decreases while leaving butane gas.",,,,
855,Gas is bulky and difficult to store.,,,,
856,"Since the volume of the gas is larger than the volume of the liquid, when stored as a liquid, a larger amount can be stored.",,,,
857,It's easy to store,,,,
858,I don't know.,,,,
859,This is because the volume of the gas in the same space is larger than the liquid.,,,,
860,This is because there is a risk of bursting if stored in a gas.,,,,
861,"""",,,,
862,"Gas is extremely large in volume than liquid or solid, so it is inefficient to put it in a container in a gaseous state and store it in a liquid state.",,,,
863,"Gas is in a state where the distance between molecules is very far apart, and liquid is arranged irregularly, and the density of liquid is much higher than that of the gas. Therefore, if butane gas is stored in a liquid state at high pressure, it is easy to carry around, so it is stored in a liquid state.",,,,
864,"Because gases are larger in volume than liquids, they are stored in a liquid state to hold more fuel in a limited volume of butane gas cylinders.",,,,
865,"Because gases are larger in volume than liquids, they are stored in a liquid state to hold more fuel in a limited volume of butane gas cylinders.",,,,
866,Gas is stored in a liquid state with a small volume change because it is not suitable for storage due to its large volume and large volume change depending on temperature.,,,,
867,"This is because it is more disadvantageous than liquid storage to determine whether it has leaked or how much remains are left. This is because the liquid phase has a greater intermolecular attraction than the gaseous phase, so it exists in a visible state.",,,,
868,"The liquid is smaller in volume than the gas, so it is easy to carry around.",,,,
869,I don't know,,,,
870,I don't know.,,,,
871,I don't know,,,,
872,The reason for storing gas-based substances in a liquid state is that it is better to store them in a liquid because the mass of the same volume of gas and liquid is higher.,,,,
873,"In the case of gas, the bond between particles is unstable, the particle is small, so there is a high possibility of leakage, and it is difficult to store the gas due to its large volume.",,,,
874,for stabilization,,,,
875,"Most substances, except water, have larger volumes in the order of solid, liquid, and gas depending on their condition. The volume difference between the liquid and the gas is very large, and for this reason, storing more butane gas fuel in a liquid can be efficiently stored than storing it in a gas.",,,,
876,I don't know,,,,
877,I don't know,,,,
878,"Since the liquid is lighter in volume than the gas,",,,,
879,"Since the liquid state is smaller in volume than in the gaseous state, it can be stored efficiently. That's why it's stored in a liquid state.",,,,
880,"In the case of gases, it is difficult to contain the desired capacity in a certain container because in the case of gases, the space between particles is very far, so the use of materials must be very large to store them in a gaseous state. Therefore, it is stored in a liquid state where the space between the particles is relatively close. Since the material stored in this way is in an unstable state, it can be converted into a gas when an impact is applied, so it can be used in the form of a gas.",,,,
881,"It puts a lot of pressure in the butane gas to convert the butane of the gas into liquid. When the gas becomes a liquid, the gap between particles becomes extremely narrow, and butane in a state of high density and small volume can be obtained. This is a great utility in our lives.",,,,
882,"When a gaseous substance is converted into a liquid state, the volume of the substance decreases. Therefore, storing the material in a liquid state can store a larger amount of material than storing the material in a gaseous state in a small container.",,,,
883,"A certain amount can be put in a fixed volume, and even if it is the same amount, it is efficient because the volume is small when stored as a liquid.",,,,
884,I don't know,,,,
885,"To minimize the volume,",,,,
886,I don't know,,,,
887,Gas is larger and more stable than liquid.,,,,
888,"The gaseous state occupies more volume than the liquid state, and when stored in a gaseous state, the volume expands due to heat and the risk of bursting is high, so it is kept in a liquid state.",,,,
889,Because the atoms are more stable than the gases,,,,
890,Evaluation Only. Created with Aspose.Cells for Python via Java.Copyright 2003 - 2022 Aspose Pty Ltd.,,,,
