,"22. The sky is full of clouds, and suddenly it snows. It's raining as time goes by. Why is it snowing and raining in the clouds? Let's explain in detail using knowledge of the principle of snow and rain generation. ",q22_condensing,q22_temperature difference
421,"The dew on the ground evaporates and gradually rises, expanding insulation. When the dew point is reached, a cloud is formed, and this cloud becomes snow and rain again",,
422,"Ice grains grown in clouds do not melt and fall as they are, it is snow and rain when they fall and melt. At this time, in mid-level areas like Korea, the temperature of clouds is low, so it rains like this, but in low-level areas, cloud particles do not freeze and fall as they are, causing rain.",,
423,"Small drops of water or ice in the clouds get bigger and heavier, and when they fall, they become closer to the ground, which becomes rain or snow depending on the temperature.",,
424,",",,
425,"""There are so many things in the world that I haven't proven yet.",,
426,"""",,
427,Ankimchi. (Ankimchi in Korean),,
428,"When water vapor in the air clumps together and becomes heavy, it falls into snow, and when its temperature rises, it becomes rain",,
429,"Moisture from the ground rises up and gathers in the clouds, and when this moisture falls on the ground as it is, it becomes rain, and when moisture freezes, it falls into snow.",,
430,"""Clouds are filled with water vapor that has evaporated into the sunlight",,
431,It's made by gathering together.,,
432,"But the temperature of the clouds got higher, so the steam",,
433,"It's higher than the freezing point in the water, so it's liquefied.",,
434,"That's the rain. But if it's lower than the freezing point,",,
435,"It becomes snow.""",,
436,"""First, water on the surface of the earth or on the surface of the water vaporizes and evaporates. The steam clumps together into clouds.",,
437,It's the rain that keeps the steam clumping into the clouds and it's falling apart.,,
438,"In addition, it is the dew that the water vapor floating in the air sticks to the object by temperature, and the frost is that the water vapor before it becomes the dew has frozen in the air. The fog is that water vapor is not evenly spread in the air, but concentrated in one place.",,
439,"""",,
440,"Snow is when water vapor freezes into cold weather, and rain falls because of the heavy clouds due to water vapor",,
441,Coagulation occurs in the clouds and rain or snow falls.,,
442,It seems that snow melts into rain when it snows depending on the temperature of the cloud and the temperature decreases.,,
443,The temperature of the clouds changed,,
444,Because clouds are God's toilet,,
445,"""Clouds are God's toilet",,
446,"""",,
447,Snow when the rain in the sky freezes due to the temperature,,
448,Water vapors in the clouds merge and fall,,
449,"Clouds are made of water vapor, and it is said that it is rain that the water vapor falls from the clouds, and snow is frozen by temperature as it rains",,
450,"When liquid gathers in a cloud, it becomes heavy and falls to the ground and becomes rain When the liquid freezes, it becomes snow",,
451,"When water vapor gathers into the sky, clouds are formed, and gradually and then becomes heavier, droplets come down to the ground, and if the temperature of the ground is cold, snow falls and if the temperature is not cold, rain falls.",,
452,Water vapour generated from clouds,,
453,"Snow is snow if it does not melt when it freezes down because the air in the tea is low, and if it melts in the process of falling down, it becomes rain",,
454,"Snow is snow that falls because of the freezing rain, and rain is formed by combining large drops of water faster than small drops of water",,
455,"The vaporized water vapor goes up into the sky and hardens at a certain point and becomes a cloud. When it rains in a cloud, it rains when the temperature is high, and when the temperature is low, it falls into snow",,
456,"Clouds have water droplets, water vapor, and small grains of ice. There are lots of small grains of ice because it's very cold up there It's snow that doesn't melt and falls, because if it melts and falls, it becomes rain",,
457,The snow falls with little ice,,
458,It's because a lot of steam is formed.,,
459,"The water goes up into the clouds, circulates, and then falls in snow and rain",,
460,Because of the increase in one's,,
461,the earth's cycle,,
462,"If the water vapor rises above a certain height, it cools, but as it continues to rise, it becomes heavier and falls at the end.",,
463,"The water vapor rises and becomes supercooled water vapor, gradually descends, and then the temperature increases and weakens and falls down to rain.",,
464,"The water vapor rises and becomes supercooled water vapor, which gradually descends and then becomes low-liquid due to high temperature",,
465,The water vapor is frozen and the water is not frozen.,,
466,"As the water level rises, it cools and becomes heavy",,
467,The drops of water in the clouds collide and become raindrops,,
468,"The water vapor rises to the sky and cools, meets the supersaturated water vapor, and becomes heavy and falls.",,
469,The underwater plane goes up and falls when it becomes heavy,,
470,the cycle of the world,,
471,the condensation of water vapor,,
472,Water vapor in the air sticks to the condensation nucleus and becomes rain or snow when its size increases.,,
473,"Snow is formed by freezing rain, and when the water vapor forms clouds, it rains when the clouds become heavier",,
474,The steam sticks to the dust and cools.,,
475,"Repeat the condensation and melting in the clouds, then learn from Earth Science Unit 3",,
476,adiabatic expansion of air,,
477,Insulation expansion,,
478,"The temperature drops due to a drop in air pressure, causing the steam to condense and fall",,
479,God made it.,,
480,"The clouds are getting heavier, so it rains",,
481,"When I want to cry, when I want to see you, I miss you so much that I must be crazy when I want to cry",,
482,Steam condensation idiot,,
483,"Clouds are formed by rising air currents, and clouds are getting bigger and then rain falls",,
484,"When the water in the clouds is pooled by gravity and then heavy enough, it becomes snow or rain.",,
485,"Water vapor and dust condenses to form clouds, and when enough is gathered, it falls in the form of snow, and when the temperature is low, it melts into rain.",,
486,Well,,
487,"The clouds close to the ground are negatively charged, and in the process of repeating the water molecules going up and down again to the upper cloud that is charged with the upper plus, the water molecules freeze and snow falls. If you don't freeze, it will rain.",,
488,"The cloud consists mostly of H2O, a water vapor. When the temperature in the air decreases, the properties of gaseous H2O and other substances change to a liquid state.",,
489,"When clouds gather a lot, snow or rain falls.",,
490,"Moisture from the land evaporates, condenses contraction in the atmosphere, exists as a cloud, and then descends.",,
491,"Water evaporates to form clouds, and snow falls due to low temperatures, and as it descends, the temperature rises and rains.",,
492,"Water vapor condenses into clouds and becomes snow and rain, and if the temperature is lower than a certain temperature, snow falls, and if it is higher than a certain temperature, rain falls.",,
493,The steam condenses in the air.,,
494,"Water vapor generated from the sea gathers to become a cloud, and when water vapor is liquefied in the cloud, it becomes rain, and when it condenses and crystals, it becomes snow.The steam got heavy",,
495,"When the water vapor that forms a cloud becomes heavy, it falls, but when the temperature is low, it freezes and falls in a snow state, and when it melts in a rising temperature, it becomes rain.",,
496,"The amount of water vapor in the atmosphere increases due to evaporation of water present on land. As the water vapor rises, the temperature decreases, and the gaseous water vapor changes into liquid water or solid snow. Since it becomes relatively more dense than the gas, rain or snow falls due to gravity.",,
497,"The temperature of the air on the ground rises while expanding dry insulation, until the air is equal to its dew point. At this time, the air begins to condense, which is called an elevated condensation altitude, and clouds are generated from this altitude. Air from the elevated condensation altitude causes wet insulation expansion.  The rise of air stops when the temperature of the air is equal to the temperature of the air that is wet insulated and expands. This is the height of the clouds. Since the dew point and the temperature have become the same, the relative humidity has become 100%, so precipitation occurs.",,
498,"Snow and rain in temperate regions can be explained by ice theory. Ice crystal theory is that supercooled water droplets gradually stick to the particles of dust contained in the atmosphere and freeze, and the ice gradually grows, and this ice crystal becomes heavy, falls to the ground, and melts because of rain, temperature, and does not melt.",,
499,I don't understand.,,
500,Unknowingness,,
501,The temperature is low on the clouds,,
502,Unknowingness,,
503,I don't know.,,
504,Water evaporates into clouds and clouds rain down,,
505,"Hard eyes, rain running",,
506,Because of the weather,,
507,The weather is unpredictable.,,
508,I don't know.,,
509,"Sea water evaporates to create clouds, and when the clouds become heavier than a certain amount, they cannot withstand the weight and fall into rain. At this time, if the temperature drops above a certain temperature, rain and snow will fall together.",,
510,Evaporation principle,,
511,The steam on the ground went up,,
512,Water vapor evaporates and condenses into rain and snow.,,
513,"The water evaporates into clouds, and the clouds grow and fall into snow and rain.",,
514,black-nosed beetle,,
515,Because of the steam!^,,
516,"Wow, it's snowing",,
517,"In winter, the water becomes steam and rises, and it rains when it snows",,
518,Because of the steam;;;;^^,,
519,"Although it is invisible to our eyes, the water in rivers and seas rises to the sky and becomes clouds.And the cloud has so much water that it becomes heavy that if it rains and the weather is too cold, it freezes and becomes snow.",,
520,I don't know.,,
521,I don't know,,
522,Because heavy cloud grains fall.,,
523,"Water vaporizes, so if the temperature is low, if the temperature is high, it becomes rain",,
524,It's because of the steam,,
525,Water vapor-cloud-non-order by heat (rain freezes eyes when cold),,
526,"Steam rises to become clouds, and over time, rain falls and snow falls when the temperature is low",,
527,"The reason for snow is because the water in the sky is frozen, and the clouds are water",,
528,(Snow) Water freezes in the sky. Rain clouds are water,,
529,The clouds are melting down,,
530,This is because water evaporates and falls.,,
531,"The warm air rises and the steam clumps up into clouds. When the clouds get heavy, it rains, but when the temperature is low, it becomes snow",,
532,The steam freezes and snows.,,
533,"As the water evaporates, it goes up into the sky, and as the water condenses, it becomes a cloud, then becomes snow because the weather is cold, and the condensed water becomes warm again and becomes water",,
534,This is because the water evaporates and becomes water vapor and goes up to the sky.,,
535,"Clouds are formed by vapor evaporation of water vapor, but when a lot of water vapor gathers and the clouds become heavy, rain or snow falls",,
536,"Because it's raining and snowing,",,
537,"Clouds are water vapor.In other words, water vapor becomes lighter, becomes rain, and becomes snow depending on the weather",,
538,"""",,
539,"As the water evaporates, it rises to the sky, and as the water condenses, it becomes a cloud, becomes heavy, and falls, and depending on the weather, it becomes snow and rain.",,
540,The steam from our lives goes up...,,
541,"Currently, when the water here evaporates and rises to the sky, it gathers in the sky (in the air), and when it becomes heavy later, it rains and when the temperature gets cold, it snows instead of rain.",,
542,"Water vapor rises up from the sea to become clouds, and if there is a lot of water vapor in it, it is heavy and goes down to the ground.",,
543,"""The water in the lake or by the river evaporates into the sky, and the evaporated water freezes and forms clouds",,
544,"When the cloud is filled with evaporated water, it falls to the ground and melts and rains.""",,
545,"When water evaporates, it rises and clumps together. After agglomeration, when it becomes heavy, it falls down, and when the temperature below is high, it rains, and when it is low, it falls down to snow.",,
546,Water vapor turns into drops of water,,
547,.,,
548,"If it's cold, it can snow. It melts and becomes rain",,
549,heavy snow and then lost weight and became rain,,
550,Because it's the law of the earth,,
551,"As the water goes up, the water drops become rain and snow",,
552,"There's moisture in the clouds, and as it gets heavier, it falls into the rain, and snow falls as it freezes slightly.",,
553,Temperature change,,
554,"""At first, as the water boils, the steam rises into the sky, merges with the clouds, becomes rain, and the rain goes down to the sea, and as we rewrite it, it becomes circulated",,
555,"""",,
556,Snow melts into rain.,,
557,"It snows when the atmosphere is cold, and it rains when the atmosphere is warm.",,
558,"Steam rises from the sea and becomes clouds, and as the steam becomes heavier, it becomes rain, and in winter, the heavy steam freezes and snows.",,
559,"When it rains, the temperature is cold outside, so it rains while it rains, and the rain just falls from the clouds.",,
560,Don't know,,
561,"This is because the snow falls and the surrounding temperature rises, and the snow melts and becomes rain.",,
562,"""Gas produced by vaporization from the ground gather in clouds above the sky",,
563,"When it bursts out at once, water is generated when it rains, and if it is winter, the water vapor collected in the clouds freezes and breaks down on it and turns into a small solid form, with snow and rain in the process. I know that hail falls in very cold areas """,,
564,"Steam comes up from the sea to the clouds, and the clouds get heavier, so if water falls, it rains, and the water falls from the clouds, and it freezes over the difference in temperature, and it snows",,
565,"When the underwater planes gather, rain and snow fall from the sky At this time, depending on the temperature, it snows when it is cold.",,
566,Clouds are made of air molecules Rain is the mass of air molecules that form and fall Snow is like rain freezing in the atmosphere,,
567,"When the water on the ground becomes gas and merges into the sky and becomes heavy, it falls back into the water, and if the temperature is below 0 degrees, it becomes snow, and if it is above that, it becomes rain. This course is repeated over and over again.",,
568,"At first, as the water evaporates, it rises to the sky, becomes ice, and when the ice becomes heavy, the water condenses and becomes rain and snow.",,
569,"In the summer, the sun is looking at our country, so it falls into the water, and in the winter, the sun is on the other side, so it freezes down",,
570,"Snow becomes snow when the rain freezes as the temperature decreases from the sky, and the rain falls into a maze as the clouds become heavier and heavier.",,
571,"It is empty when water vapor gathers and falls, and it is snow when rain freezes on cold days.",,
572,"Clouds are made up of water vapor. When the weather is cold, the steam in the clouds freezes and falls into the snow, and the clouds fall into the rain because they are water",,
573,"Clouds are formed when water vapor in the air is insulated and expanded due to differences in atmospheric pressure and condensed at a certain temperature, and when the condensed crystals exceed a certain amount, they form crystals when the temperature is low, and when the temperature is high, it rains.",,
574,water vapor evaporation,,
575,"The amount of water vapor in the clouds increases and falls, but depending on the temperature of the falling area, it does not become ice if it is warm, so it condenses into water and falls into ice if it is cold.",,
576,Water vapor condenses on the snow seeds and becomes heavy. This heavy snow seed falls off and becomes snow or melts into rain.,,
577,"The principle of snow and rain is that the water vapor present in the air condenses, resulting in the presence of an amount of moisture, and the moisture clumps together to form a heavy cloud. If it becomes heavier after that, it will rain or snow depending on the temperature.",,
578,I...,,
579,"Water on land and the sea evaporates, rises to the sky, condenses, gathers, forms clouds, and when the clouds are filled with moisture, they become heavy, become water droplets, freeze, and fall into organic air.",,
580,"Small drops of water or ice in the clouds get bigger and heavier, and when they fall, they become rain or snow depending on the temperature",,
581,Small drops of water in the cloud become larger or heavier and become rain or snow depending on the temperature as they approach the ground when they fall.,,
582,It snows and melts into rain (Laughing),,
583,Rain falls as the air becomes humid,,
584,"Water on the surface evaporates due to solar heat, and the evaporated water vapor rises upward, but when it rises, the air pressure decreases and insulation expands, causing the temperature of the water vapor to fall below the dew point, and the water vapor condenses into clouds. And if this cloud continues to collect water droplets and becomes heavy, it drops them, which is rain.",,
585,"Snow falls when the temperature is low, and snow melts when the temperature is relatively high.",,
586,"The water in the sea evaporates, creating dark clouds in the sky, bringing rain and snow to the land",,
587,"""It's because the water in the clouds freezes because the rain is a lot of moisture in the clouds and the water in the clouds freezes",,
588,"""",,
589,"As the water vapor rises and the altitude increases, the temperature decreases and the water vapor floating in the air turns into water.",,
590,"Small drops of water in the clouds get bigger and heavier, making it snow or rain depending on the temperature when they fall.",,
591,The snow is coming down,,
592,I don't know I'm sorry. Ugh,,
593,"When the underwater air fills up in the clouds, the clouds become heavy and the underwater air turns into water, so snow is the same way that the underwater air freezes downAs tiny drops of water or ice in the clouds get bigger and heavier and fall closer to the surface? Depending on the temperature, it becomes rain or snow",,
594,"Liquid water evaporates into gas, and water evaporated into gas gathers together to become clouds, and the more water contained in the cloud, the more rain falls, and snow falls when the weather is cold.",,
595,It snows in the clouds and it melts and it rains,,
596,This is because water droplets or ice grains in clouds become larger and heavier.,,
597,"It depends on the latitude, but in Korea, when water vapor continues to rise, the temperature decreases as the altitude increases, and condenses to the condensation nucleus such as the surrounding dust and lowers when it weighs. If the temperature at this time is low, it becomes snow and falls as it is, and if the temperature is a little high, it melts and becomes rain.",,
598,"The atmosphere becomes cold, and accordingly, it becomes a solid eye from a liquid, and the temperature of the atmosphere becomes warm again, and it changes back to a liquid state.",,
599,f,,
600,"As the ice grains in the clouds fall to the ground, they change into rain or snow depending on the temperature.",,
601,"When liquid water evaporates under heat and rises to the sky, it does not exchange heat with the outside and causes insulation expansion in which the volume increases. If the volume increases without receiving heat from the outside, the temperature inside the droplet decreases, and then when the temperature reaches the dew point, which is the temperature that becomes liquid, it becomes rain, and when the temperature decreases, it becomes snow.",,
602,"When small droplets gather to form clouds and become heavy, it rains and snows when the weather is cold.",,
603,Unknowingness,,
604,The water is vaporized and it rains or snows again from the clouds,,
605,I don't know...,,
606,Water drops gather to form clouds and fall when it gets heavy,,
607,Warm water becomes steam and it becomes rain when it goes up.,,
608,Because there is water in the clouds.,,
609,"""Rain is caused by the evaporation of seawater and clouds, rain falls and snow hits the clouds",,
610,"""",,
611,I don't know.,,
612,"The water vapor in the cloud condenses and becomes water. When it is cold, it freezes with ice crystals and snows.",,
613,"People come out and play because it snows, so it becomes rain in the snow because the temperature is warm",,
614,The clouds are sad,,
615,"Water vapor gradually gathers in the clouds and becomes heavier, and if it comes down in a liquid state, it becomes rain, and if it freezes down in a solid state due to cold air while it is coming down, it becomes snow",,
616,"""A cloud of 0.2mm or more has to be made to rain. If it is less than 0.2mm, it evaporates and disappears even if it falls a little. Generally, raindrops have a diameter of more than 100 times that of clouds, and it takes 100,000 cloud drops to become one.When cold air passes over warm sea levels in the West Sea, warm and humid air rises upward. This is because it is less dense than cold air. As the warm and humid air rises, the air cools, and the water vapor containing the humid air condenses.",,
617,,,
618,"As the condensed water vapor gradually turns into a snow cloud, snow falls.""",,
619,"Because clouds are in the air with low temperatures, water vapor changes to a solid state, but as it falls, the temperature increases, so it rains in summer and snows in winter.",,
620,I don't know.,,
621,"It rains in the clouds and then snows when the temperature drops, and it rains when it doesn't.",,
622,"""   Clouds are filled with water vapor that evaporates into sunlight",,
623,,,
624,It's made by gathering together.,,
625,,,
626,"But the temperature of the clouds got higher, so the steam",,
627,,,
628,"It's higher than the freezing point in the water, so it's liquefied.",,
629,,,
630,"That's the rain. But if it's lower than the freezing point,",,
631,,,
632,It becomes eyes.,,
633,,,
634,"To explain it in more detail,",,
635,,,
636,The evaporated droplets of ice in the clouds,,
637,,,
638,It's sticking. It',,
639,,,
640,The temperature comes down to the ground,,
641,,,
642,"If it's higher than the freezing point, it becomes rain.""",,
643,"When water vapor clumps together and becomes heavy, it becomes snow, and it melts in the process of descending and becomes rain.",,
644,"""Water from humans or nature heats up, gathers water vapor into the sky, gathers together, and when it becomes heavy, it falls into snow, and once the water is cold enough to freeze in the sky, it melts and falls into rain.""",,
645,"""If it's winter, it doesn't melt and comes down.""",,
646,"When ice grains and water vapor in the middle layer become heavier and fall, if ice grains melt, they become rain and snow if ice grains do not melt.",,
647,"""There's water vapor in the air",,
648,,,
649,The underwater plane in the air goes up to the sky,,
650,,,
651,We gather to make clouds,,
652,,,
653,"If water vapor gathers in the clouds,",,
654,,,
655,It gets heavy and it rains,,
656,,,
657,"For your information, the eyes",,
658,,,
659,It's raining in the same situation as the rain,,
660,,,
661,"If it goes below 0'C,",,
662,,,
663,"It's a mass of ice^^""",,
664,"Water vapor gathers in the air to become clouds, and when water vapor gathers and becomes heavy, rain falls. Water vapor is gathered, and if the temperature is low, it may snow or rain while coming down.",,
665,"The temperature of the water vapor decreases, condensing, creating clouds, and rain increases the weight of the water vapor and falls into rain",,
666,I don't know,,
667,The steam went up,,
668,"At the surface, the atmosphere heats up to form an upward airflow, forming clouds, and snow or rain falls as a descending airflow occurs",,
669,The sky needs to cry sometimes,,
670,"The water evaporates and becomes water vapor and rises to the sky, and when the temperature drops, it condenses and forms clouds. When the clouds gradually become heavier, water forms and falls as rain, and when the temperature is low and freezes, it becomes snow.",,
671,"It meets clouds and descending air currents caused by rising air currents, and rain or snow falls depending on the temperature",,
672,"When the underwater air in the cloud becomes heavy, it becomes rain, and when the temperature is low, it becomes snow.",,
673,"When heat is applied to a cloud, water is produced, and when the temperature drops, it becomes snow.",,
674,The supersaturation of water vapor in the clouds produces snow and rain.,,
675,"Rain becomes snow when the temperature goes below zero. When we talk about rain and snow, we have to talk about water evaporation, and when water from rivers and oceans evaporates, it turns into water vapor and rises, and by some action it becomes clouds. When those clouds become heavier, it rains.",,
676,"First, the freezing point of water is zero degrees. The reason why it snowed and rained was because the temperature dropped below 0 degrees and then went up higher than 0 degrees, so it rained from the snow.",,
677,"As the air evaporates, insulation expands",,
678,"Because of the evaporation of broth and seawater, there are many drops of water in the clouds, and when it gets heavy, it rains and when the temperature drops, it snows",,
679,The supersaturation of water vapor in the clouds produces snow and rain.,,
680,"When water evaporates and becomes water vapor, it meets substances in the atmosphere, becomes clouds, and when descending airflow occurs in a cloud, snow or rain falls.",,
681,"When the water vapor in the air condenses at a low temperature, it becomes snow, and when it vaporizes into water and the water vapor in the cloud becomes saturated, it rains.",,
682,"Water vapor gathers in the sky to create clouds, and when it gets heavy enough, all water molecules melt down from the sky to become rain, and when the temperature below is cold enough, it becomes snow, otherwise it rains",,
683,It is because it wants to circulate the earth by releasing moisture from the clouds,,
684,"Due to the temperature difference in the sky, rain falls when it is warm, and snow falls when it is cold.",,
685,I don't know.,,
686,I think snow is made by mixing gas with water in cold weather,,
687,"""Ice grains have melted and the weight is",,
688,"""I can't win. It's raining.""",,
689,"""The water on the ground became steam and went up.""",,
690,It's snowing and raining,,
691,"The water on the ground evaporates, and the vapor rises to the clouds, and the vapor that evaporates becomes snow",,
692,"The water goes up and it's cold, so it freezes, so it snows, and if it's not cold, it goes down and rains!This is because the properties changed as the temperature decreased.",,
693,"Between the oceans, the atmosphere, and continents, water is distributed by exchange, and the amount obtained and lost is parallel to the Earth as a whole, and snow is a process in which the water freezes and falls.",,
694,Water vapor turns into clouds and falls back into rain and snow depending on the temperature.,,
695,"Rain becomes heavy when small drops of water in the clouds clump and clump together. Then the snow falls down, and the water vapor in the clouds freezes in the cold temperature, and then it gradually turns into ice crystals as the outside invaders blend in with the underwater systems, which are made of snow and snow falls",,
696,"Clouds are made up of tiny drops of water that gather together and get heavy and fall down, not in the air. It's rain and snow is made of cloud particles like rain, but it's different from rain because it's cold and rain becomes snow",,
697,Clouds formed by vapor evaporation of water on the ground come out as snow or rain again.,,
698,Rain: Water droplets gather in the clouds and fall into the rain.Snow: Same as the process of rain generation,,
699,"Evaporated water goes to the clouds, and when the water absorbed by gravity falls, it becomes snow",,
700,Snow is made of cloud grains. I don't know about rain. Sorry,,
701,The water evaporates and goes up to the sky to become clouds,,
702,"There is a liquid component in the cloud, and it rains because it cannot withstand the force of gravity",,
703,"When clouds are scattered and gathered, moisture from the clouds gathers to rain and fall into snow when the temperature is low.",,
704,"The small drops of water that make up the cloud become large drops, and the large drops become heavy and fall to the ground, making it rain, and when the weather gets cold, they turn into ice and become snow.",,
705,"When clouds are scattered and gathered, moisture from the clouds gathers to rain and fall into snow when the temperature is low.",,
706,The water rises and becomes steam and liquefies from the top,,
707,"Cloud droplets clump together and become heavy, so it rains, and water vapor meets the ice crystal core and becomes ice, making snow crystals.",,
708,"Small drops of water that make up clouds become rain, and large drops of water become heavy and fall down to become snow",,
709,"Small drops of water that form a cloud gather to become rain, and large drops of water gather to become heavy, and fall below to become snow.",,
710,"""Water vapor clumps up in the clouds, and when it's cold, it becomes snow. When it's warm,",,
711,"rain""",,
712,I don't know.,,
713,Unknowingness,,
714,Mr,,
715,I don't understand.,,
716,Mr,,
717,"""",,
718,I don't understand.,,
719,"""",,
720,ãí»ãã±,,
721,Mr,,
722,I don't understand.,,
723,Mall,,
724,I don't understand.,,
725,I don't understand.,,
726,I don't understand.,,
727,Mr,,
728,I don't understand.,,
729,I don't know.,,
730,That's right?,,
731,"It's supposed to rain, but it's frozen",,
732,Mr,,
733,Unknowingness,,
734,I don't understand.,,
735,It's because water vapor is clumped in the clouds,,
736,The moisture in the clouds freezes and makes snow crystals,,
737,"When the water vapor in the supercooled droplets sticks to the ice and becomes heavy, snow is made and falls, and when the droplets in the clouds collide and merge, they fall and become rain",,
738,"Clouds are made up of tiny drops of water When the droplets clump together and get bigger, they become heavier, and when they become heavier, they no longer float in the air and drift downward, which is rain. In clouds, supercooled water droplets evaporate and become water vapor. This water vapor attaches to the ice core and turns into ice immediately, making snow crystals. It is snow that the crystals made like this come down.",,
739,"Water vapor clumps up in the clouds, making it snow if it's cold and rain if it's warm",,
740,.,,
741,Mr,,
742,I don't know.,,
743,"""The snow falls from the clouds, and the rain becomes heavy on the ice that has grown",,
744,"It is a weather gate that falls on the ground in the form of water droplets.""",,
745,cloud liquefaction,,
746,I don't know,,
747,The cold wind and the warm wind meet,,
748,"Water evaporates and condenses from the sky into clouds, so it rains when it gets heavy, and snows when it's cold",,
749,"When clouds blow water and then pour out, it snows when the outside ball is cold, and rain falls when the air is warm.",,
750,"Water evaporates and rises to the sky, creating clouds, and when it increases, it becomes rain or snow",,
751,?,,
752,"When the water vapor in the air rises up and the weather gets cold, the water vapor freezes into crystals, and when the sleeveless weather is released, it becomes rain.",,
753,Water droplets in clouds become rain or snow when passing through areas where temperatures are high or low.,,
754,"Clouds collect a lot of water vapor and spread it, but if it's not cold, it rains and if it's cold, it snowsI",,
755,Clouds collect the underwater planes and let them rain,,
756,It rains when the weather is hot and snows when it is cold because of the clouds.,,
757,"The underwater plane goes up to become a cloud, but as the weather gets cold, the underwater plane freezes, becomes snow, and when it melts, it becomes rain",,
758,"The snow comes out, and the rain, um...",,
759,"When water evaporates, the clouds become heavier and rain falls to the ground.",,
760,"When the clouds become heavy, the rain is relieved to the ground, but when the weather is cold, it becomes snow",,
761,"Water vapor is gathered in the skyIf there is too much, it becomes heavy and rain comes down.   Snow comes down as snow because the temperature drops while it rains.",,
762,I don't know,,
763,"When the water goes up into the sky and there is a lot of cloud, it rains and it repeats, and when it rains and the temperature drops, the snow freezes when the temperature goes down.",,
764,"Water vapor rises to the sky, creating clouds (water vapor is evaporated), and so it rises to the sky, and water vapor gathers and rains.",,
765,"The water in the sea becomes steam, creating clouds, and it rains, but when it is cold, it freezes and snows",,
766,"Clouds make it rain on cold days and then freeze to snow, and on hot days it becomes wet and becomes water",,
767,"The water evaporates and goes to the clouds, and if it gets too heavy, it rains. If the temperature is low, it becomes snow",,
768,"The drops of water in the cloud become heavy, so it is snow when it falls, and it is rain when it melts when it comes down.",,
769,"As we live, water vapor is generated, and the underwater vapor becomes a cloud, so it rains, and the snow freezes",,
770,Our bodies become stronger,,
771,"It is estimated that water vapor is formed by boiling something, so it is seen as a cloud in our eyes, and when the cloud is full of water, it rains, and the snow is cold, so it is estimated that the rain is cold.",,
772,"Water evaporates by solar heat and becomes water vapor.The steam rises to the sky and clumps into clouds, and when the clouds become too heavy, they become rain.Low temperatures make snow.",,
773,"Water vapor rises and gathers gradually When water is collected, clouds are formed, clouds are filled, and rain is made. When the weather is cold, rainwater freezes and becomes snow",,
774,It goes up like water and humidity,,
775,"Water vapor rises to form clouds, and cold air outside and warm air rubs in the clouds, causing snow to fall and snow to melt in the clouds to rain.",,
776,"As water evaporates, when water droplets form in clouds and become heavy, it becomes rain, and when the weather is cold, raindrops freeze and snow falls.",,
777,"Water evaporates and droplets form in clouds, so it rains, and when the weather is cold, raindrops freeze and snow falls.",,
778,Clouds and clouds collide. Snow falls when the sky is cold or the temperature is low,,
779,It's snowing because it's raining a lot like when snow melts into water,,
780,The sky is getting cold and hot,,
781,"The water rises and is filled with clouds, then becomes rainwater, and the rain freezes and becomes snow",,
782,"When water vapor gathers and it rains and the air cools, it snows",,
783,I don't know.,,
784,The temperature changed,,
785,"Clouds, which are steam, become snow when they meet cold wind, and rain when they meet warm wind.",,
786,PASS,,
787,"""When the temperature is low, the liquid becomes solid tomorrow in the heavy cloud, and that's snow",,
788,"High temperatures make rain.""",,
789,The clouds are crying with sadness,,
790,"When Gurum, which has different properties from the ingredients in the clouds, it rains, and when the time is too cold, the rain freezes and falls into the snow.",,
791,"Clouds are made up of moisture, and if they become too heavy while moving, the water will drain and turn into rain or snow depending on the weatherThe reason for rain and snow is ice crystal theory and consolidation theory, and ice crystal theory is that water vapor and ice grains stick together in clouds, but when water droplets and ice grains stick together, they fall down because they become heavy. If it doesn't melt in the process of falling, it becomes snow, and if it melts, it becomes rain. Due to the nature of the tropics, ice grains do not form even if the temperature is low. The ice theory mentioned earlier cannot happen. The theory of annexation is that drops of water in the clouds gather together and become heavy and rain falls.",,
792,Ice crystal theory and merger theory,,
793,This is because water vapor insulates and expands.,,
794,"The condensation of water droplets in clouds is rain, and the condensation of supercoolant droplets in clouds reaches a certain size and falls.",,
795,Snow and rain are caused by clumps of water in the clouds.,,
796,"Water vapor gathered in the clouds becomes droplets, and when the rain falls and the temperature decreases, the droplets freeze and snow falls",,
797,1234,,
798,I don't know,,
799,Rain is caused by water vapor and snow is caused by freezing rain,,
800,The earth goes round and round and there are various phenomena,,
801,"Rain is clouded by the underwater plane, and the snow is frozen",,
802,"Yes, it is",,
803,"""It's a natural phenomenon",,
804,"""",,
805,"""My eyes are turning into rice paddies and butterflies",,
806,"""",,
807,water vapor,,
808,It's raining and the temperature is going down. It's freezing,,
809,"""It's raining. If you go below zero, you'll be frozen",,
810,"""When it snows and becomes a video, it becomes a meltdown.""",,
811,"""The steam rises into the sky and becomes a cloud.",,
812,"As the clouds become heavy because of the steam, it becomes rain But when it rains, it becomes snow because of the cold weather.""",,
813,"Steam rises, mixes with clouds, becomes rain, stops the rain, becomes moisture, and becomes snow",,
814,Ice formed by freezing rain,,
815,"Steam rises, mixes with clouds, becomes rain, stops the rain, becomes moisture, and becomes snow",,
816,Because the season suddenly became winter,,
817,"The water is cold in the clouds, so the rain falls and turns into snow",,
818,I don't know.,,
819,Water vapor rises to form clouds Does it rain because clouds made of steam keep piling up?,,
820,I don't know.,,
