,24. 'Korea' was created when the word 'Goryeo' was spread abroad by Arabian merchants. Let's explain the economy of the Goryeo Dynasty that can be seen through this fact. ,q24_trade,q24_commercial development,q24_political power
582,I don't know...,,,
583,I made money through trade with many countries.,,,
584,Interact with other countries.,,,
585,I had a lot of exchanges with Arabian merchants.,,,
586,Korea's economy was excellent,,,
587,"Unlike the Khitan people and the Yeojin people, Goryeo got along well with the Song Dynasty in mainland China, and Song Dynasty was also suffering from Khitan and Yeojin, so they wanted to cooperate with Goryeo.",,,
588,,,,
589,"Since it was very difficult to go to the Song Dynasty by land from Goryeo, the waterway was mainly used, and Byeokrando Island at the mouth of the Yeseonggang River was a large port to and from the Song Dynasty.",,,
590,,,,
591,"Between Goryeo and the Song Dynasty, many merchants visited the country and trade was active. Around this time, merchants from the Song Dynasty as well as Arabia and Southeast Asia frequented Goryeo.",,,
592,,,,
593,"As a result, Byeokrando Island was full of foreign merchants who brought rare items. The goods exported from Goryeo were underground resources such as gold, silver, and copper, as well as wild ginseng, pine nuts, fan, ramie, and paper, and mainly imported from the Song Dynasty were books, silk, and porcelain. Also, Arabian merchants came and went to Byeokran Island with things like mercury and spices, and the name Goryeo was known to the West by them at this time, and foreign countries still call our country Core.""I made a lot of money through trade.",,,
594,"During the Goryeo Dynasty, I was able to meet merchants from many countries through many exchanges.",,,
595,Unknowingness,,,
596,"During the Goryeo Dynasty, trade with Arabs was active",,,
597,Trade,,,
598,The economy was active during the Goryeo Dynasty.,,,
599,"Unlike the Khitan people and the Yeojin people, Goryeo got along well with the Song Dynasty in mainland China, and Song Dynasty was also suffering from Khitan and Yeojin, so they wanted to cooperate with Goryeo.",,,
600,,,,
601,"Since it was very difficult to go to the Song Dynasty by land from Goryeo, the waterway was mainly used, and Byeokrando Island at the mouth of the Yeseonggang River was a large port to and from the Song Dynasty.",,,
602,,,,
603,"Between Goryeo and the Song Dynasty, many merchants visited the country and trade was active. Around this time, merchants from the Song Dynasty as well as Arabia and Southeast Asia frequented Goryeo.",,,
604,,,,
605,"As a result, Byeokrando Island was full of foreign merchants who brought rare items. The goods exported from Goryeo were underground resources such as gold, silver, and copper, as well as wild ginseng, pine nuts, fan, ramie, and paper, and mainly imported from the Song Dynasty were books, silk, and porcelain. In addition, Arabian merchants also went to Byeokran Island with things such as mercury and spices, and the name Goryeo was known to the West by them at this time, and our country is still called Kore in foreign countries.",,,
606,,,,
607,"""",,,
608,The economy of the Goryeo Dynasty was good.,,,
609,"Unlike the Khitan people and the Yeojin people, Goryeo got along well with the Song Dynasty in mainland China, and Song Dynasty was also suffering from Khitan and Yeojin, so they wanted to cooperate with Goryeo.",,,
610,,,,
611,"Since it was very difficult to go to the Song Dynasty by land from Goryeo, the waterway was mainly used, and Byeokrando Island at the mouth of the Yeseonggang River was a large port to and from the Song Dynasty.",,,
612,,,,
613,"Between Goryeo and the Song Dynasty, many merchants visited the country and trade was active. Around this time, merchants from the Song Dynasty as well as Arabia and Southeast Asia frequented Goryeo.",,,
614,,,,
615,"As a result, Byeokrando Island was full of foreign merchants who brought rare items. The goods exported from Goryeo were underground resources such as gold, silver, and copper, as well as wild ginseng, pine nuts, fan, ramie, and paper, and mainly imported from the Song Dynasty were books, silk, and porcelain. Arabian merchants also went to Byeokran Island with things like mercury and spices, and the name Goryeo was known to the West by them at this time, and foreign countries still call our country Korea.""",,,
616,I traded,,,
617,"During the Goryeo Dynasty, trade was active",,,
618,We exchanged a lot.,,,
619,"Unlike the Khitan people and the Yeojin people, Goryeo got along well with the Song Dynasty in mainland China, and Song Dynasty was also suffering from Khitan and Yeojin, so they wanted to cooperate with Goryeo.",,,
620,,,,
621,"Since it was very difficult to go to the Song Dynasty by land from Goryeo, the waterway was mainly used, and Byeokrando Island at the mouth of the Yeseonggang River was a large port to and from the Song Dynasty.",,,
622,,,,
623,"Between Goryeo and the Song Dynasty, many merchants visited the country and trade was active. Around this time, merchants from the Song Dynasty as well as Arabia and Southeast Asia frequented Goryeo.",,,
624,,,,
625,"As a result, Byeokrando Island was full of foreign merchants who brought rare items. The goods exported from Goryeo were underground resources such as gold, silver, and copper, as well as wild ginseng, pine nuts, fan, ramie, and paper, and mainly imported from the Song Dynasty were books, silk, and porcelain. In addition, Arabian merchants also went to Byeokran Island with things such as mercury and spices, and the name Goryeo was known to the West by them at this time, and Korea is still called Korea in foreign countries.""",,,
626,I could go to another country even if it wasn't my country,,,
627,I traded with a Middle Eastern country,,,
628,I traded with Arabia,,,
629,Foreign trade was brisk.,,,
630,I carried out economic activities through foreign trade,,,
631,It traded with Arabian merchants and other countries through the international port of Byeollando.,,,
632,It seems to have influenced foreign countries enough to trade with distant countries like Arabia.,,,
633,Overseas trade was brisk,,,
634,Trade was brisk.,,,
635,I would have done diplomatic activities with many countries.,,,
636,It can be seen that there was an exchange with an Arabian merchant at that time.,,,
637,It can be seen that overseas trade was so active that it exchanged with Arabian merchants who were geographically far from Goryeo.,,,
638,You can see that it was widely traded.,,,
639,I think I would have actively engaged in diplomatic activities with other countries.,,,
640,Goryeo was a country with active international trade around Byeokran Island,,,
641,It can be seen that there was an exchange with an Arabian merchant at that time.,,,
642,Trade was brisk with other countries.,,,
643,"In the Goryeo Dynasty, trade activities were actively carried out externally, indicating that the economy of Goryeo was very developed.",,,
644,A more stable economy is formed by an interchangeable economy rather than an economy trapped in a country,,,
645,We revitalized the economy through trade,,,
646,The economy of Goryeo is unknown. This is because records do not explain the movement of money in other countries.,,,
647,Many foreigners came,,,
648,You can see that the economy of Goryeo was weaker than Arabia,,,
649,Goryeo developed a lot by interacting with foreign countries,,,
650,be likely to be poor,,,
651,Goryeo developed a lot by interacting with foreign countries,,,
652,"""In my country,",,,
653,"I interacted a lot with foreign countries.""",,,
654,It's because Korea has new technologies and exchanges are active,,,
655,"In other countries, I think Goryeo had a lot of exchanges and trade with foreign countries, considering when it was called Korea.",,,
656,"As our culture and technology developed, we were able to promote Korea to more countries through trade and exchanges with other countries.",,,
657,I had exchanges with many other countries,,,
658,People from other countries can know our country,,,
659,They start importing from other countries.,,,
660,We promoted exchanges.,,,
661,"Many foreign cooks came to Korea during the Goryeo Dynasty and Goryeo became famous, so the name Korea was created",,,
662,I guess a lot of foreigners came to Goryeo,,,
663,We promoted exchanges,,,
664,I can see that trade is active.,,,
665,It can be seen that they engaged in trade activities in Arabia and Byeollando.,,,
666,"During the Goryeo Dynasty, the economy of the Goryeo Dynasty was active as people from other countries went to and from Goryeo to buy and sell goods.",,,
667,It can be seen that they engaged in trade activities in Arabia and in Byeollando.,,,
668,brisk economic and trade activities,,,
669,Trade is likely to have been brisk.,,,
670,"During the Goryeo Dynasty, people from other countries went to Goryeo to buy and sell goods, and the economy became active",,,
671,"During the Goryeo Dynasty, the economy became active as people from other countries went to and from Goryeo to buy and sell goods.",,,
672,Our country has begun to import from other countries,,,
673,I don't know.,,,
674,Unknowingness,,,
675,M and D,,,
676,I don't understand.,,,
677,I don't know.,,,
678,I don't understand.,,,
679,an alternating current,,,
680,M and D,,,
681,I don't understand.,,,
682,Mall,,,
683,I don't understand.,,,
684,I don't understand.,,,
685,I was engaged in trade activities,,,
686,M and D,,,
687,I don't understand.,,,
688,It seems to have gained high popularity.,,,
689,It can be seen that trade activities were active.,,,
690,I think you can see that we had an exchange.,,,
691,M and D,,,
692,I interacted with ArabiaI don't understand.,,,
693,Trade with other countries is brisk,,,
694,brisk trade,,,
695,"The aristocracy had inherited land and slaves from generation to generation, and the peasants tried to cauterize the property of others and engaged in economic activities by expanding farmland",,,
696,It promoted exchanges and trade.,,,
697,It was the first time to trade with other countries during the Goryeo Dynasty,,,
698,There was an active exchange.,,,
699,active trade activities,,,
700,I don't know.,,,
701,"In the Goryeo exhibition and system, from civil service officials to soldiers to Korean soldiers, a battery capable of hangover grain in 18 grades and a limb capable of invading firewood were given.",,,
702,active trade exchanges,,,
703,They exchanged with Goryeo until Arabia,,,
704,Unknowingness,,,
705,Many exchanges with countries such as Arabia,,,
706,I interact a lot with foreign people.,,,
707,We exchanged a lot.,,,
708,Unknowingness,,,
709,I had a lot of exchanges with Arabia.,,,
710,It can be seen that Goryeo traded a lot with other countries.,,,
711,You've made a good living well,,,
712,I lived well,,,
713,That's cool!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,,,
714,"During the Goryeo Dynasty, there were many merchants from other countries due to active exchanges",,,
715,That's cool.,,,
716,a tour of foreign exchange,,,
717,active exchange with foreign countries,,,
718,"During the Goryeo Dynasty, exchanges were active.",,,
719,I think I was active,,,
720,It can be seen that exchanges were active during the Goryeo Dynasty.,,,
721,I think Korea is the oldest in Korea,,,
722,The one-won chrysalis was delicious,,,
723,I think a lot of foreign merchants came,,,
724,The exchange was active,,,
725,I did a good job dealing with foreign countries,,,
726,Interactions with other countries were active,,,
727,"During the Goryeo Dynasty, there were many merchants from other countries because of the active exchange",,,
728,We exchanged a lot.,,,
729,I traded with many countries.,,,
730,"It was very active because merchants from many countries, including Arabs, bought, sold and exchanged with our country",,,
731,The economy has gradually improved,,,
732,"Because many foreigners came in, Goryeo's economy is likely to have been active",,,
733,The Goryeo Dynasty had a lot of exchanges with other countries.,,,
734,The Goryeo Dynasty had a lot of exchanges,,,
735,The economy has improved,,,
736,I had an exchange with other countries,,,
737,a city of kings,,,
738,"Considering the spread to overseas countries, the economy of the Goryeo Dynasty seems to have been actively carried out",,,
739,Trade exchanges were active,,,
740,actively engaged in trade,,,
741,It was all right.,,,
742,I was active in trade with Arabian merchants.,,,
743,PASS,,,
744,I traded,,,
745,I'm going to do it without leaves,,,
746,"It was spread abroad, so people abroad knew and economically benefited from it.",,,
747,The Goryeo Dynasty has lived economically by interacting with outside merchants through the port of Byeokrando,,,
748,"""",,,
749,Several merchants from abroad traded in Goryeo. Goryeo is the development of the trade economy.,,,
750,Free Trade Is Active by Arabian Merchants,,,
751,"During the Goryeo Dynasty, exchanges were active.",,,
752,"Exchange with foreign countries was active, and through this, the culture was spread.",,,
753,I traded a lot with foreign countries.,,,
754,"Given the brisk trade activities, the economic conditions must have worked very well at the time",,,
755,1234,,,
756,I don't know,,,
757,I don't know,,,
758,123,,,
759,123,,,
760,I don't know.,,,
761,123,,,
762,"""I don't know.""",,,
763,"""",,,
764,123,,,
765,I don't know.,,,
766,Economic activity was active,,,
767,123,,,
768,"I actively interacted with neighboring countries such as Song Dynasty, Geogie, Japan, etc.  So we can see that we actively exchanged history. It's an exchange economy.",,,
769,"""I don't know",,,
770,"""",,,
771,"I actively interacted with neighboring countries such as Song Dynasty, Geogie, Japan, etc.  So we can see that we actively exchanged history. It's an exchange economy.",,,
772,There's a transmission,,,
773,123,,,
774,I don't know.,,,
775,the era of building hanok,,,
776,I don't know.,,,
777,123,,,
778,"The top and bottom are exactly divided, and the people with high social status had a lot of money",,,
779,123,,,
780,I don't know.,,,
781,"Korea refers to Korea and North Korea speaking in stone, and Korea refers to the Goryeo Dynasty",,,
782,a great deal of interaction,,,
783,I traded,,,
784,The exchange was active,,,
785,He is good at interacting with other countries,,,
786,I think we had a lot of exchanges,,,
787,It felt like we had an exchange,,,
788,I did a lot of economic activities,,,
789,I think I would have had a lot of exchanges with Arabian merchants.,,,
790,The people of Aribia and Goryeo seem to have had a lot of exchanges.,,,
791,There was a lot of interactionGoryeo seems to be widely known abroad for trading with many countries.,,,
792,active trade with foreign countries,,,
793,Trade has developed.,,,
794,"Seeing the Republic of Korea use the names given by Arabian merchants, it seems that the Republic of Korea has always relied on other countries.",,,
795,Goryeo also interacted with Arabia.,,,
796,You can see that he has been active in exchanges with many countries.,,,
797,I don't know.,,,
798,I became more active in interacting with people from other countries.,,,
799,Trade has developed a lot.,,,
800,There was a lot of external interaction. open-minded,,,
801,economic development,,,
802,"During the Goryeo Dynasty, there were many exchanges with neighboring countries, and in China, there were many exchanges with Europe and Arabia through the Silk Road",,,
803,There was active exchange with foreign countries.,,,
804,active exchange with foreign countries,,,
805,I went abroad a lot.,,,
806,I educated with Arabian merchants.,,,
807,Trade with other countries was brisk.,,,
808,The foreign economy was brisk.,,,
809,Trade was brisk.,,,
810,He also interacted with Arabia.,,,
811,It was open.,,,
812,He was active in interacting with Arabian merchants.,,,
813,I don't know,,,
814,You traded with Arabia,,,
815,"During the Goryeo Dynasty, they would have exchanged a lot with merchants in Arabia such as the Silk Road and accepted glass crafts and Western culture.",,,
816,The economy of the Goryeo Dynasty was very interchangeable with foreign countries,,,
817,Economic activities were actively carried out by trading evenly with other countries,,,
818,It can be seen that exchanges with other countries were active during the Goryeo Dynasty.,,,
819,Goryeo traded with other countries.,,,
820,I don't know.,,,
821,It was a country with a bright future for foreign trade,,,
822,a trading king,,,
823,Trade with Arabian merchants,,,
824,I think the economy would have been good.,,,
825,active exchange of foreign exchange,,,
826,"The economy traded well, but the economic system seems to have been difficult.",,,
827,It can be seen that the export revenue has been obtained from other countries,,,
828,The trade activities would have been so active that Arabian merchants traded with Goryeo.,,,
829,I had an exchange with a foreign country,,,
830,I did water trade,,,
831,"""Huh?""",,,
832,"""",,,
833,Foreign trade was active during the Goryeo Dynasty,,,
834,Trade was brisk during the Goryeo Dynasty.,,,
835,The Goryeo Dynasty was an era of insider countries trading with many countries.,,,
836,"Open, active trade",,,
837,I interacted with Arabian merchants,,,
838,You can see that he had a lot of exchanges with the merchants of Aribia,,,
839,"At that time, during the Goryeo Dynasty, it was an active economic situation that exchanged with Arabian merchants and engaged in economic activities.",,,
840,"During the Goryeo Dynasty, trade with other countries was active.",,,
841,"The spread of Korea's name to remote areas means that Korea's specialties are so famous Therefore, the economy would have been good.",,,
842,Corea Corporation,,,
843,I don't know.,,,
844,Diplomacy was brisk,,,
845,This is because the port was opened to accommodate other countries' cultural assets.,,,
846,There were many exchanges with other countries and the economic situation seemed to be very good,,,
847,The situation is bad,,,
848,We are in an era where we interact with other countries.,,,
849,It was lively,,,
850,Korea University,,,
851,The trade market was brisk.,,,
852,I can see that I interacted with other countries and I think the economy was active,,,
853,It can be seen that they actively interacted during the Goryeo Dynasty.,,,
854,"Many Arabian merchants traveled to the port, and economic activity was active",,,
855,"In the Goryeo Dynasty, you can see that they interact with many countries",,,
856,This is because the economy of the Goryeo Dynasty was weak enough to be named by other countries in this era.,,,
857,It was confirmed that the economy of the Goryeo Dynasty traded a lot with foreign countries.,,,
858,The economy of Goryeo was good,,,
859,"During the Goryeo Dynasty, exchanges with other countries were active",,,
860,"During the Goryeo Dynasty, exchanges were active.",,,
861,Goryeo embraced other countries' culture of other countries.,,,
862,Unknowingness,,,
863,I traded with Arabian merchants.,,,
864,I traded with Arabian merchants.,,,
865,They exchanged with other countries to import and export goods.,,,
866,"Through trade with merchants such as Arabia in the West, the market economy was achieved by exporting Goryeo's specialties (such as ginseng) and importing silk and jewelry.",,,
867,"During the Goryeo Dynasty, they interacted with Arabian merchants.",,,
868,Unknowingness,,,
869,I don't know.,,,
870,He traded with Arabia,,,
871,"During the Goryeo Dynasty, trade became active as the port called Byeokrando Island developed in Goryeo with foreign countries.",,,
872,It can be seen from this that the economy developed through trade with Arabian merchants during the Goryeo Dynasty.,,,
873,Unknowingness,,,
874,"The Goryeo Dynasty actively engaged in trade activities with Arabian merchants. In the case of Goryeo, phosphoric acid, gold, paper, and granite were exported to Arabia, and mercury, spices, and pumpkins were imported from Arabia. At this time, many traders stayed in Byeollando Island.",,,
875,Goryeo did international trade,,,
876,Trade and exchanges were active,,,
877,I traded with Arabian merchants,,,
878,"It can be seen that during the Goryeo Dynasty, exchanges were held in addition to exchanges within the Korean Peninsula. It was equipped to go far by boat.",,,
879,He was well received with Western culture.,,,
880,"It can be seen that during the Goryeo Dynasty, they exchanged tombs to far-off Arab regions through the sea or land.",,,
881,Goryeo goods were sold abroad.,,,
882,Trade was brisk,,,
883,I don't remember. Sorry,,,
884,brisk foreign trade,,,
885,Trade with other countries was brisk,,,
886,Evaluation Only. Created with Aspose.Cells for Python via Java.Copyright 2003 - 2022 Aspose Pty Ltd.,,,
