,"2) As in the example of Hong Gil-dong, one case can be tried up to three times in our country. What is the reason for running this system?",q32_process
709,It is to be precise.,
710,It is to run this system to protect fair trials and the freedom and rights of the people,
711,Who is right or who is not is to find another proof.,
712,Everyone has human rights.,
713,Humans can be tried three times because they have rights.,
714,It's because it's more efficient to let them go on trial once and if they feel unfair.,
715,This is because there may be people who want to benefit from filing lawsuits several times.,
716,It is to find another proof of who is right and who is not.,
717,"For those who lost only one trial,",
718,It's settled by law,
719,"Because of the people who couldn't find the criminal and went to prison,",
720,"This is because there may be someone who is unfair, there may be no witnesses or evidence, but it may have occurred, and the law may have been strange before, but the law may have changed now.",
721,It is to protect fair trials and the freedom and rights of the people.,
722,"In order to prevent unfair punishment or non-punishment,",
723,It's to protect justice and the freedom and rights of the rights of the people,
724,There might be people who are upset,
725,To make sure the trial runs well,
726,To make sure the trial runs well,
727,I don't know.,
728,It could be a false charge,
729,I don't know,
730,To carry out a fair and equitable trial,
731,I can't remember,
732,It's hard to tell if a trial is guilty or not,
733,to make sure,
734,to make sure,
735,This is because one trial can lead to unfair people.,
736,the three-trial system,
737,a three-trial,
738,a three-seam system,
739,a three-seam system,
740,"Considering the situation that can be falsely accused, they are given up to three chances.",
741,Because I ran a social system,
742,I don't know,
743,I don't know.,
744,I don't know.,
745,in order to minimize mistakes,
746,"To review and state the case more specifically,",
747,I don't know.,
748,It's because there could be a misjudgment,
749,"In order to reduce those reasons, there may be someone who is falsely accused of the outcome of the trial",
750,I'm trying to judge you exactly,
751,the three-trial system,
752,a three-seam edition,
753,a three-seam edition,
754,There could be a misjudgment,
755,a three-trial trial,
756,The three-trial system. Not to make unfair or hasty judgments.,
757,This is for a more honest and fair judgment because new evidence may be found or the accused may have an injustice.,
758,To accept the opinions of many people,
759,This is to prevent unfair punishment by trial.,
760,a three-seam system,
761,It's to reduce possible damage because the trial may have gone awry,
762,I'm trying to reduce the number of people who are innocent,
763,It's to make sure there's no one who's wronged,
764,Because the trial could go wrong,
765,There's a possibility that there's an error in judgment to judge by one trial,
766,for a fair trial,
767,in order to be fair,
768,in order to ensure the fairness of the trial,
769,"Since there may have been a problem during the trial process, the people have the right to a fair trial, so the three-trial system is operated.",
770,in order to make the trial fair,
771,"To guarantee the basic rights of the people by giving them an opportunity in consideration of the case where the judgment of the trial is wrong,",
772,It could lead to a wrong decision,
773,"In order to get a proper punishment,",
774,It could lead to a wrong decision,
775,To prevent a wrong decision as much as possible,
776,"In order to prevent unfair cases from occurring due to incorrect trial results,",
777,Improve fairness,
778,"In order to reduce the number of people who are falsely accused by one trial,",
779,a tremendous law,
780,I don't understand.,
781,"To minimize misjudgments or mistakes that occur in a trial,",
782,the three-trial system,
783,I could have an unfair experience,
784,We tried to relieve the injustice through the 3rd trial system,
785,To prevent an unfair judgment,
786,the three-trial system,
787,This is to prevent innocent people from being unfairly damaged.,
788,This is because judges can judge or make mistakes with subjective views.,
789,To guarantee the rights of the people.,
790,"In order to prevent unfair judgments, a three-trial system is implemented to create a fair trial.",
791,It is to make a clean trial without any problems.To give you a chance,
792,It is to prevent misjudgment.,
793,This is because it is possible to make an incorrect judgment in one plate.,
794,"It can be judged incorrectly during the trial process and can be judged incorrectly, so it can be unfair, so it can be tried three times.",
795,yes,
796,for a fair trial,
797,This is because there may be errors in the trial. This is because the outcome of the trial may vary depending on the judge.,
798,I think there may be a judge's mistake in one trial and there is evidence to be found afterwards.,
799,"Because you can be dissatisfied with the outcome of the trial and the judge is a human being, all of your subjects are not excluded, so you can do it up to three times.",
800,There are so many people,
801,"If the case is closed with only one trial, the trial cannot be corrected when the trial is not fair or the presiding judge makes a mistake. In other words, in order to make a fairest judgment as much as possible, one case can be tried up to three times.",
802,To prevent unfair trial results,
803,It is to ensure a fair trial and to ensure the rights of the people more clearly.,
804,the three-trial system,
805,the three-trial system,
806,"The reason for operating the three-trial system is to operate it for fair trials up to three times because only one trial can lead to unfair people. It may be less, but it is omitted because there is not enough time.",
807,"""One or two trials will result in unfairness or damage",
808,"It operates a system that allows people to receive up to three trials because they can have a ram.""",
809,". The first trial is a local court, so the results of the trial may not be good, so the three-trial system is implemented for a fair trial.",
810,"This is because a judge must be able to be tried again when he makes a wrong trial. All humans can make wrong judgments, and if the trial is made only once, if the trial is wrong, it is easy to have an unfair victim. To prevent this, trials are allowed up to three times.",
811,"In Korea, a system that requires up to three trials on a case is called a three-trial system. For example, it can be said that it is against accuracy that the result came out after only one trial. Korea operates a three-trial system to produce more accurate results.",
812,"In order to prevent people from being judged unfairly at the minimum when they are tried, a three-trial system is in place that allows them to stand trial up to three times.",
813,"In Korea, the reason why a case can be tried up to three times may be that one trial may lead to a single trial. In order to reduce such people as much as possible, Korea operates a three-trial system in which one case can be tried up to three times.",
814,"A single trial alone cannot make a fair judgment. Then, since the rights of the people may be violated, a three-trial system that can operate three trials will be established to make fair judgments to more effectively guarantee the rights of the people.",
815,"The reason for using the three-trial system is that the jurisdiction of the judge acts, which is to guarantee the right to be tried fairly through three trials even if the jurisdiction of the judge acts.",
816,The three-trial system is aimed at reducing the fairness of the law and the mistakes of prosecutors in trials as much as possible and ensuring people's human rights.,
817,"In the case of one trial, judges, prosecutors, and police can also make mistakes because they are human, so they are tried three times.",
818,"If the case is judged on a one-time trial, a judge can make a different judgment from the average person with subjective thoughts and make an unfair judgment. Therefore, the fairness of the trial can be further strengthened by going through several trials. Therefore, such a system is necessary and should not be eliminated.",
819,"If Hong Gil-dong fails to effectively reveal that his hand impairment is not related to his work in the first trial, or he may not receive a fair judgment by a judge's misjudgment. As a solution to this, such a system is operated for the most fair judgment so that there are no unfair people.",
820,I'm sorry.,
821,...,
822,"If I lose the trial, I'm afraid I'll keep trying to drag it down to the",
823,in order to be precise,
824,I try not to make it happen,
825,This is because the plaintiff or the defendant may be in an unfair situation due to unfair results when the trial is conducted only once.,
826,in order to make an accurate judgment,
827,This is because a single trial may cause disadvantages and may be dissatisfied with the decision.,
828,Because the people have freedom,
829,The move is aimed at maximizing the victim's or perpetrator's injustice.,
830,for the rights of the people,
831,M and D,
832,This is because it may be unfair if the victim loses the trial.,
833,so as not to be falsely accused,
834,"If you continue to be tried in one case, you can't be tried in another case",
835,Because a person can be falsely accused.,
836,Isn't it because you have that much right? I don't know,
837,I don't know.,
838,I don't know.,
839,"To make it fair and not unfair,",
840,It might be unfair if I do it once,
841,"Because every time, the statements are different",
842,It could be unfair,
843,in order to make an accurate judgment,
844,It's because the perpetrator may be falsely accused,
845,to be able to judge fairly,
846,"And if you do more, you have to continue the wrong trial without grounds",
847,"To be fair to the people who are really innocent,",
848,You don't like the trial or it could go wrong,
849,I don't know.,
850,I'll tell you to do 0 evaluationIn,
851,It's because you have to be so careful,
852,This is because one trial can cause unfair damage.,
853,"Unlike the first trial, the next trial may have other evidence or clues or may be considered different",
854,"To make sure that something unfair doesn't happen,",
855,I don't know,
856,"This is because the evidence may not be accurate, and if you do it once, the victim may be judged unfairly.",
857,"""",
858,One verdict could be either the perpetrator or the victim,
859,"In order to make a more accurate trial,",
860,One trial alone can lead to a wrong trial,
861,Because the trial could go wrong.,
862,..............,
863,The trial could go wrong,
864,It takes into account that the outcome of the trial may have been wrong,
865,"Because if you do the first trial, you can raise questions and complaints, and the trial may not be right",
866,"To prevent the victim from receiving an unfair judgment,",
867,.,
868,"If a decision is made in one trial, it may be unfair for the reason of losing once.",
869,It could be unfair because you lost once,
870,"Because once the trial is over, there's a possibility of unfairness",
871,"This is because if the trial is over once, something unfair may happen.",
872,This is because unfair victims can come out.,
873,We need to hear a lot of opinions,
874,To make it more obvious,
875,"To get a better trial,",
876,It could be unfair,
877,Because there could be something unfair.,
878,It could be unfair,
879,It could be unfair,
880,"To treat the disabled equally,",
881,a three-seam system,
882,jurisdiction,
883,"In the case of three trials, Hong Gil-dong can be tried three times to reduce prison time and reduce fines",
884,The reason why we run this system is because it can lead to people who are depressed because of the wrong manufacturing,
885,The reason for this is to punish those who are innocent by commutation and those who are guilty of a great crime,
886,"Because once you're done with the plate, you can't hear what happened later, or you can give a rough account of it",
887,To make sure that the people don't feel wronged,
888,"If you make a wrong decision in the first trial, you can make a proper decision again in the second trial, so such a system is operated.",
889,Because a fair trial cannot be done once it is finished.,
890,"The three-trial system is not enoughYou can't judge a crime accurately with just one trial, so you have to get three trials",
891,"Since it is not possible to accurately judge a crime with just one time, it can be tried up to three times.",
892,"You can't judge a crime once, so you do it up to three times.",
893,"You can't judge a crime once, so you do it up to three times.",
894,It's a short time to decide on a small trial,
895,a three-seam system,
896,"After watching the trial, it seems to run a system that runs three times in a case that leaves no one falsely accused.",
897,It seems that the trial is conducted up to three times in order to make it as fair as possible because there could be people who are falsely accused.,
898,This is because the people have the right to freedom and equality.,
899,To make a fair trial.,
900,Don't know,
901,Don't know,
902,People with disabilities are not comfortable with economic life,
903,:(,
904,the constitutional system,
905,This is because each judge has a different perspective.(Because the outcome of the trial may differ),
906,"If I do it once, it might end up being unfair",
907,in order to give an accurate judgment,
908,I really want to join the company,
909,a solid plate,
910,The situation can change at any time,
911,"Even if it's hard, I have to return to Korea",
912,This is because it may have been misjudged and new evidence may be found.,
913,This is because it is possible to make an unfair or wrong trial.,
914,Because I made a mistake,
915,I don't know,
916,You can't tell for sure or for sure if you try it once,
917,It is to respect the rights of the people.,
918,These systems are operated to respect the rights of the people.,
919,I don't know.,
920,This system is operated to respect the rights of the people.,
921,"Once a child is over, it's unfair, and once it's over, it's not accurate",
922,I'm trying to get a better trial,
923,in order to be precise,
924,in order to be fair,
925,Not to lose money,
926,because of the law,
927,To prevent an innocent person from appearing?,
928,It's because I can get rid of my unfairness.,
929,For all men to be tried equally,
930,"To reduce the possibility of misjudgment,",
931,"To reduce the possibility of misjudgment,",
932,"To reduce the possibility of misjudgment,",
933,It's to reduce the possibility of misjudgment,
934,It's because the trial can proceed and the results can come out contrary to your own opinion,
935,To give people the chance to turn the tables so that nothing is wrong,
936,"I wanted to work for the company, but Hong Gil-dong went back to the company after a trial because he was disabled.",
937,.,
938,I don't know,
939,I don't know,
940,It's unfair,
941,This is because it can lead to wrong results.,
942,I don't know.,
943,"To judge more accurately,",
944,It seems that the three-trial system is operated to ensure the basic rights of the people by making the trial fair.,
945,To create a happy society where no one gets wronged,
946,"The three-trial system. There may be an unfair defendant in one judgment, and even though he/she has been really unfair like Gil-dong, he/she may not be able to make a good judgment because he/she is not used to it yet in society.",
947,I don't know,
948,I don't know.,
949,I don't know,
950,It's because it's a three-syllable system,
951,I don't want to be upset,
952,People who are innocent can do this,
953,To run a fair trial.,
954,This is because some people may have been judged unfairly.,
955,To make sure no one is punished unjustly,
956,"In order to prevent unfair trials,",
957,for a fair trial,
958,This is to appeal the injustice as much as possible.,
959,It seems that it was done to make it less likely to be unjustly guilty by several trials.,
960,"For those who have been tried unjustly,",
961,So that nothing unfair will happen,
962,I don't know.,
963,for the sake of an accurate judgment,
964,This is to prevent the occurrence of people who are unjustified and damaged by the Samsim system.,
965,To make a fairer and more reasonable legal judgment.,
966,It's to reduce the possibility of misjudgment,
967,"If a judgment is made in one trial, the result can be unfair, and in order to produce a clearer and fairer result through three trials, that is, to take care of citizens' rights.",
968,I'm gonna go through a couple of times,
969,"To reduce the possibility of misjudgment,",
970,I don't know,
971,I don't know,
972,I don't know,
973,I don't know,
974,To make sure the victim doesn't feel wronged,
975,I don't know.,
976,I don't know,
977,I don't know because I didn't learn it,
978,Men usually play 3 rounds,
979,This is because trials or trials can be additional.,
980,I don't know,
981,I don't know,
982,"To avoid unfairness,",
983,I'm trying to listen to the minority's opinion,
984,on account of the rights of the people,
985,I have to dig into Hong Gil Dong's heart like it's unfair,
986,I don't know,
987,I don't know.,
988,"To make disabled people have jobs,",
989,I don't know.It's unfair if you do it once,
990,I don't know,
991,?,
992,I don't think so,
993,To save the wrong people,
994,Wish the country good luck,
995,In order to make a fair trial,
996,Don't be upset,
997,in order to prevent a fraudulent trial,
998,"For the exact results of the trial,",
999,in order to be fair,
1000,It is to protect the basic rights of the people,
1001,the three-trial system,
1002,for redemption,
1003,To make sure you don't feel wronged,
1004,The judge may not be able to look at him objectively because he's a human being,
1005,For a fairer trial,
1006,in order to be equal,
1007,For fairness,
1008,For a more accurate and fair trial,
1009,It is operated to obtain a fairer trial through several trials,
1010,It's for good judgment,
1011,"There may be something unfair when being tried, so the three-trial system is implemented to check.",
1012,no,
1013,I don't know,
1014,"I don't know, you punk",
1015,You should explore for yourself --ã¡ã¡,
1016,This is to ensure fairness in the judgment.,
1017,"To make sure there's nothing unfair,",
1018,Because there may be cases where the outcome of the trial is unfair,
1019,"It is a gate that if a ruling is made at once, unfair cases can occur.",
1020,To give the judges a big salary,
1021,He's upset,
1022,Bold hair can't be unfair,
1023,Fairness,
1024,It's because it's human to do a trial and humans can make mistakes and errors,
1025,There's a possibility that the court will misjudge him,
1026,To prevent a wrong decision,
1027,Because a judge can be a judge,
1028,"This is because if you conclude at once, someone may receive unreasonable results.",
1029,"Since it is not known whether the victim is guilty or innocent by one trial, the victim's injustice can be relieved by going through three trials.",
1030,the three-trial system,
1031,"I don't use a brain like law and politics, and I don't do subjects that are stuck.",
1032,Implementation of a three-trial system to prevent unfairness,
1033,"If it is decided by a single trial, there can be people who are falsely accused in the process, and if someone intentionally manipulates the evidence, it cannot be revealed later, and human rights can be violated.",
1034,For a more accurate judgment by three trials,
1035,"Since a single trial can be judged unfair, it can liberate those who have been judged unfairly through various evidence through several trials.,",
1036,It seems that such a system is implemented to prevent unfair victims because the process or content of the trial may be unreasonable.,
1037,"To lobby the court to lower his sentence if the owners of large corporations or other criminals are strongly sentenced to the first sentence. In fact, the heads of large corporations sometimes eliminate punishment, and criminals lower their sentences for all kinds of mental illness or strange reasons.",
1038,There could be a wrong decision,
1039,For those who are falsely accused,
1040,for the sake of an accurate judgment,
1041,To be equal,
1042,I don't understand.,
1043,I don't know,
1044,the three-trial system,
1045,Because the trial went wrong or it was unfair,
1046,"For fairness, trials are conducted in the order of the district court, the high court, and the Supreme Court.",
1047,The court's ruling might have been wrong,
1048,It's hard to tell the truth with just one trial,
1049,"This is because if the results of the two previous trials are wrong, the right judgment must be made.",
1050,"If you judge that the trial results have not been made fairly, you can review them",
1051,the three-trial system,
1052,Bad call,
1053,in order not to be unjustly punished,
1054,Don't know,
1055,We try to prevent innocent victims as much as possible by using the three-trial system because a single trial may result in an innocent victim due to the wrong judgment.,
1056,Appeal of the Third Instance,
1057,There could be cases where the judge makes a wrong decision and is falsely accused,
1058,To make a fairer and more accurate trial,
1059,"In order to reduce the injustice as much as possible through multiple trials,",
1060,It reduces the number of people who have received unfair rulings as much as possible.,
1061,Prevent misjudgment by doing it multiple times,
1062,I'm trying to make sure there's no wrongdoing,
1063,There could be a misjudgment in the previous trial,
1064,To prevent a false trial,
1065,Preventing people from being wronged by the outcome of the trial,
1066,for objective judgment,
1067,It's to bail out the victim with a wrong ruling,
1068,for a fair trial,
1069,To solve the problem and increase the accuracy of the trial,
1070,for the fairness of the trial,
1071,One trial could have gone wrong,
1072,To listen to the people's unjustified voices,
1073,It's to minimize injustice.,
1074,It's not accurate if we play just one round,
1075,It's because we have to be equal.,
1076,It's to get a fair trial.,
1077,"The right to receive up to three times for a case is the three-trial system. The reason for running the three-trial system is for a fair trial. If a judge makes a wrong decision or the party fails to accept the outcome of the trial, an appeal/appeal may be filed based on the three-trial system.",
1078,To make sure that no one feels wronged by the outcome of the trial~~!,
1079,It is for the fairness of the trial.,
1080,for a fair trial,
1081,"This system is called the third trial system, and if it is unfair in the first trial and cannot be changed, it will be judged again in the second trial, and if it is still unfair, it will be allowed to do it again. Since the presiding judge is a person, he can make a misjudgment and make mistakes with wrong physical evidence and psychology. Also, depending on the situation, you can make a strange ruling. We run these systems to improve fairness and prevent people from sacrificing themselves.",
1082,"Even if a criminal is a criminal, he or she cannot completely rule out various irregularities or misunderstandings in the process of filing a complaint and investigating the case, so he or she can be tried up to three times to enhance the fairness of the trial as much as possible.",
1083,"If a trial is judged unfairly, the system is operated to reduce unfair cases by giving up to three chances.",
1084,This is to ensure that the people receive a fairer trial.,
1085,"The system that allows up to three trials is called the three-trial system. This three-trial system was designed for those who were unfairly punished by wrong judges and jurors. If you want a retrial after receiving the first trial in the district court, you will receive the second trial in the high court. If you do it until the last three trials, you'll be tried by the Supreme Court.",
1086,"It provides three opportunities because there is a possibility that unfair power or irregularities may have worked in the judgment. Judgment is also the case because multiple checks on math problems can minimize mistakes. Since the judgment is also made directly by the person, it is because personal emotions or relationships can work without looking objectively in the process of making the judgment.",
1087,"If it is deemed unfair to be judged by the court, it is appealed and judged by the High Court, but if it is deemed unfair, it is appealed to the Supreme Court and judged again to ensure the basic rights of the people.",
1088,"Judges, lawyers, and prosecutors who conduct trials are all people, so they can make enough mistakes. In order to ensure a fair trial so that the parties to the trial do not suffer damage due to their mistakes, three opportunities are provided for one case.If there is only one trial, there is a system that allows up to three trials because the trial may result in a wrong judgment or results that the defendant thinks are unfair.",
1089,The three-trial system is implemented to guarantee the freedom and rights of the people and to ensure a fairer trial.,
1090,"This system is operated to prevent irrationality that can be received once in a trial while being tried up to three times, and to make a fairer trial.",
1091,"Trials may not always be right, and there may be citizens who are put in an unfair situation due to wrong trials. Therefore, it gives three chances to ensure the basic rights and human rights of the people as much as possible and to receive a fair trial.",
1092,"If you are dissatisfied with the outcome of the trial and cannot do it again, you violate the right to claim, which is the right to demand from the state. It can also make a fairer trial by giving people a chance to do it again if they think it is unfair.",
1093,This is to protect the freedom and rights of the people by giving the court itself a chance to correct the wrong judgment and by giving the victim who received the wrong judgment a chance to stand trial again.,
1094,"In the end, since the judge who makes the judgment of the case is also a person, he or she can commit the error of the accident, and it is natural that there will be people who suffer damage from the case. In order to reduce this damage, Korea is implementing a three-trial system. Also, even if it is true about the incident, it may lose if it is not prepared properly.",
1095,The reason for implementing the three-trial system in Korea is to ensure the basic rights of the people as much as possible without the court making false judgments.,
1096,The three-trial system is being implemented to prevent the public from being unfair due to unfair judgment by judges.,
1097,"In case of failure to receive a fair trial, a three-trial system is operated, which guarantees the right of the people to receive a fair trial.",
1098,"The reason for operating the three-trial system is that the court is also ultimately done by a ""person"" who is a judge, so there may be mistakes. It is to provide a system that can be judged once again so that fairer results can be produced.",
1099,h,
1100,Don't know,
1101,To make sure you don't get punished unfairly,
1102,"To reduce the number of cases of unfair judgment,",
1103,It is to reduce the number of people who are punished unfairly.,
1104,In order to prevent unfair judgments from occurring,
1105,To make sure it's not unfair,
1106,To make sure it's not unfair,
1107,to be fair,
1108,There might be people who are upset,
1109,To make the trial more accurate,
1110,It is to ensure that no one is punished unfairly.,
1111,I can have mercy or something like that,
1112,"To ensure a fair trial,",
1113,I'm not going to make it unfair,
1114,I don't know,
1115,h,
1116,I don't know.,
1117,for mercy's sake,
1118,There's a 3rd trial system,
1119,To make sure there are no people who are upset,
1120,"People can make mistakes, so trials can make mistakes",
1121,"To make sure that there are no people who feel unfair,",
1122,"Judges can also make mistakes because they are human. However, a trial can be a significant decision that has a great impact on a person's life, and the importance of a fair and just trial is very great. Therefore, Korea secures the legitimacy and fairness of the judgment result by enabling up to three trials on a case, and reduces the range of errors as much as possible.",
1123,the three-trial system,
1124,For a fair trial,
1125,"To solve people's complaints and problems,",
1126,the three-plate system,
1127,I might have made a wrong conclusion,
1128,.,
1129,Because one trial can lead to an unfair person,
1130,This is because it makes a more accurate trial.,
1131,Because everyone has to be fair,
1132,To determine exactly which way he's not biased,
1133,the three-trial system,
1134,I don't know,
1135,To ensure that the people receive a fair trial,
1136,It is to ensure that the people receive a fair trial,
1137,I don't know.,
1138,.,
1139,Not to make a bad decision,
1140,in order to be fair,
1141,One trial doesn't give me the exact answer.,
1142,"To produce a fairer result,",
1143,It's because it could be judged unfairly,
1144,in order to make a fair judgment,
1145,No. 1 is because the people can be unfair and wrong.,
1146,So that you don't feel wronged,
1147,It's because of the right to a fair trial,
1148,Not to be falsely accused,
1149,Evaluation Only. Created with Aspose.Cells for Python via Java.Copyright 2003 - 2022 Aspose Pty Ltd.,
