,"6. When you go to the mart, there are many agricultural products produced abroad. There are many seafood such as seaweed and oysters exported to the United States. Why do we exchange goods through exchanges between different countries?",q6_resource,q6_price,q6_profit,q6_resource.1,q6_price.1,q6_profit.1
504,"The amount of money consumed in each country is limited, and also, by exporting, in order to get the dollar, which is the standard for international currency",,,,,,
505,I don't know,,,,,,
506,Because they don't have it,,,,,,
507,This is because there are products that cannot be produced in their own country.,,,,,,
508,It's cheap overseas,,,,,,
509,I like things from other countries,,,,,,
510,"In order to exchange things that are not available in Korea and buy them cheaper in other countries,",,,,,,
511,It's because things from other countries are better.,,,,,,
512,This is because not all goods are produced in Han.,,,,,,
513,Many countries exchange goods for each other's benefit because the goods they need are different from those produced in their own countries.,,,,,,
514,This is because each country lacks and has different resources.,,,,,,
515,in order to be mutually beneficial,,,,,,
516,To take care of what you don't need and get what you need,,,,,,
517,It's to get something that doesn't fly in our country in other countries.,,,,,,
518,"This is because there are each easier cultivation or production in the country and only in foreign countries.,",,,,,,
519,Because it is not produced in that country,,,,,,
520,for the benefit of nations,,,,,,
521,To buy things at a lower price,,,,,,
522,Because the substances produced in each country are different,,,,,,
523,"This is because if you specialize in and exchange agricultural products that can be produced with less labor in each country, you can gain greater profits",,,,,,
524,They exchange seafood or agricultural products that do not grow in their own country.,,,,,,
525,It is because we need food or things that do not grow in our country,,,,,,
526,Each region has its own specialties,,,,,,
527,"Since each product is different and the specialties are different,",,,,,,
528,I'm going to gain a lot,,,,,,
529,Because seafood varies from region to region by region,,,,,,
530,"This is because seaweed and other things are produced in Korea, but not in other countries.",,,,,,
531,"""Seo Hye Soon",,,,,,
532,n,,,,,,
533,"Because there are different plants and foods that grow in that country,",,,,,,
534,a birthmark,,,,,,
535,M and D,,,,,,
536,?á©Right??536.0,,,,,,
537,a shortage of goods,,,,,,
538,Because they buy and sell each other's necessities through trade between countries,,,,,,
539,It is to get various items.,,,,,,
540,1,,,,,,
541,This is because we have to buy and sell goods that we need from each other through trade between countries,,,,,,
542,1,,,,,,
543,"Since there is an industry that Seo-ro can do well, it can obtain products that are not produced in Korea through exchange, exchange products that are produced in Korea, and help economic development and industrial promotion",,,,,,
544,"Show, N, D, 5 and 6!",,,,,,
545,I don't know,,,,,,
546,Each country has a different climate for growing agricultural products,,,,,,
547,Things that are difficult to produce in our country can be purchased as cheap goods abroad,,,,,,
548,This is because it's good to barter.,,,,,,
549,It's not in Korea or cheap,,,,,,
550,I don't know,,,,,,
551,It's because each other's products are different,,,,,,
552,Different countries export different kinds of seafood,,,,,,
553,"""",,,,,,
554,"This is because each country has different products that can be produced with high efficiency, so greater profits are generated when specialized.",,,,,,
555,This is because it is beneficial for each country to exchange goods with low opportunity costs.,,,,,,
556,It is to obtain things that cannot be obtained in one's own country through exchanges between countries.,,,,,,
557,The reason is that it can be imported from abroad or used as an ingredient.,,,,,,
558,I don't know,,,,,,
559,"Food or goods of higher quality than our country may be in other countries, and we can receive culture from other countries through exchange",,,,,,
560,It's because I can get it cheaply,,,,,,
561,"Because I have different specialties from country to country, I have to exchange goods to enjoy a lot.",,,,,,
562,"This is because if you import and use things that are not produced in Korea, you will benefit.",,,,,,
563,The country's exports and culture are different,,,,,,
564,It may be because the land is larger than our country,,,,,,
565,To improve relations between countries,,,,,,
566,To become rich,,,,,,
567,Eat more variety of food,,,,,,
568,I don't know,,,,,,
569,"Since there are foods that are not produced in Korea,",,,,,,
570,"Because there is something that does not come out of our country, we exchange it with other countries",,,,,,
571,To get things that are not produced in our country,,,,,,
572,To earn a lot of money by receiving or exporting things that are not in our country or that are not good in our country,,,,,,
573,"If there is no production or need in Korea, we need to exchange it",,,,,,
574,To help each other,,,,,,
575,"To carry each other on the back or to put high quality items at a low price,",,,,,,
576,"If you exchange things that are not in Korea with things that are not in other countries, you can benefit from both.",,,,,,
577,It is for the country to develop.,,,,,,
578,To get to know not only the culture of our country but also the culture of other countries.,,,,,,
579,"There are things that people need in their daily lives, and if they exchange, they get along well with each other",,,,,,
580,I'm turning it off,,,,,,
581,It's something that's not in Korea,,,,,,
582,I'm going to share,,,,,,
583,It's something that's not in Korea,,,,,,
584,To make a lot of money,,,,,,
585,Because each country produces different things,,,,,,
586,Each country has different products,,,,,,
587,It's efficient to trade things that we don't have,,,,,,
588,It's to get things that don't come out of your country,,,,,,
589,"I don't have it in other countries, but I have it in my country.",,,,,,
590,This is because each country has different fruits and crops produced according to the climate.,,,,,,
591,"Since there are things that are not in Korea in other countries,",,,,,,
592,I'm trying to sell it at a low price,,,,,,
593,To maintain friendship with other countries or bring things that are not in our countryI can eat seafood that is not produced in Korea,,,,,,
594,Because it's more delicious,,,,,,
595,in order to develop the economy,,,,,,
596,"There are products that cannot be produced according to each terrain, so those products are exchanged with each other and developed with each other.",,,,,,
597,"Since there are goods made in each country, but items that cannot be made in their own country or that are difficult to make in other countries may be easy to make, they actively use exchanges to satisfy unfavorable conditions and apply them to each other in an advantageous environment.",,,,,,
598,"Because the natural environment of each turtle is different, the crops that grow are different.",,,,,,
599,"Because the climate and deformity of each country are different, the suitable and unsuitable places for marine products are different.",,,,,,
600,It's because we exchange it with each other by means of transportation,,,,,,
601,This is because special products produced and distributed according to the climate and topography of each region are different.,,,,,,
602,There's no such thing in the country,,,,,,
603,In order to get close to each other countries,,,,,,
604,We need different things,,,,,,
605,We can share things made with different ideas and interact with each other comfortably,,,,,,
606,in order to have an exchange,,,,,,
607,We need different things,,,,,,
608,This is because food problems can be prevented.,,,,,,
609,This is because food problems can be prevented and fresh and new food can be received.,,,,,,
610,This is because it can prevent plant problems and receive new food.,,,,,,
611,You can prevent food problems and receive fresh and new food,,,,,,
612,Each country produces different specialties,,,,,,
613,Because each country has different products,,,,,,
614,Each country has its own specialties,,,,,,
615,This is because there are resources that Korea does not have.,,,,,,
616,It boosts our economy and benefits us,,,,,,
617,Each country produces different products,,,,,,
618,Because there are specialties.,,,,,,
619,To eat what you don't have,,,,,,
620,"The more you see, taste, and feel various things, the better",,,,,,
621,This is because there are agricultural products that fit the climate and soil of each country.,,,,,,
622,It is for economic development.,,,,,,
623,This is because it helps to create national interests and form friendly relations between countries by properly exporting and importing.,,,,,,
624,This is because it is more profitable to produce and exchange specialized items than to produce various items in the same country.,,,,,,
625,"To promote our agricultural and marine products to the world,",,,,,,
626,This is to earn profits by importing goods made in other countries at low prices.,,,,,,
627,to make money,,,,,,
628,"This is because the goods produced are different depending on the surrounding environment, such as the climate and topography of each country.",,,,,,
629,"In order to make a profit by exchanging products that earn a lot of profits because the products produced in each climate and land are different,",,,,,,
630,"Each country has a different climate environment and culture, so the resources they can get are different",,,,,,
631,This is because there are agricultural and marine products that are difficult to obtain in each country.,,,,,,
632,To maximize each other's interests,,,,,,
633,I don't know,,,,,,
634,It's an economically efficient activity,,,,,,
635,"Each region has different breeds, and there is a suitable environment for each creature to live in, so if you raise and specialize animals suitable for that environment, you can improve the quality of life.",,,,,,
636,We supply it from abroad to meet the demand.,,,,,,
637,This is to promote friendship through exchanges between countries and to obtain goods that are not produced in each country.,,,,,,
638,This is because Korea cannot grow various agricultural products on a small area of land because the land is small but the population is large.,,,,,,
639,fulfillment by necessity,,,,,,
640,I don't know.,,,,,,
641,Exchange each other's cultures and maintain a closer relationship,,,,,,
642,This is because the production efficiency of each country can be increased by exchanging items that are not available.,,,,,,
643,There are things that come out in each region,,,,,,
644,"This is because each country can grow certain things efficiently, so they can benefit each other by exchanging them.",,,,,,
645,"This is because products that are advantageous for production are different from each other. In terms of economics, the reason why foreign countries produce agricultural products and do not produce seaweed and oysters like Korea is that the opportunity cost of producing agricultural products is less than that of producing seaweed and oysters. When a ton of agricultural products can be produced to gain 10 million won, seaweed and oysters will earn less profit, so it is beneficial to produce goods that can benefit you as much as possible and exchange them with other countries.",,,,,,
646,"If the supply is insufficient or more than the demand of the people due to the amount of resources of the country, it can meet the demand of the people through exchanges with other countries and benefit from the remaining supply.",,,,,,
647,To get close,,,,,,
648,It's cheap,,,,,,
649,To get what they don't have in their country,,,,,,
650,Because there are many foods abroad.,,,,,,
651,It's good to exchange cultures,,,,,,
652,To get agricultural products that don't grow in their own country,,,,,,
653,"To bring cheaper, non-existent items",,,,,,
654,Because we are hard to get but other countries are easy to get,,,,,,
655,"There are separate things that grow well in foreign countries, and there are separate things that grow well in Korea, so there are exchanges.",,,,,,
656,Because each country has its own and its own,,,,,,
657,"They exchange to get closer to each other, and if they need something else, they exchange to get it",,,,,,
658,"""The things in our country may not be in other countries",,,,,,
659,"There may be no other country's items.""",,,,,,
660,It seems to be to deepen the relationship between the countries.,,,,,,
661,Unsold goods go to other countries,,,,,,
662,Exporting and importing good things from each other is good for each other.,,,,,,
663,"""",,,,,,
664,"We need our country and we need your country, but Wirina has our country and we need our country.",,,,,,
665,Because other country's goods are good and cheap,,,,,,
666,"If we exchange what is not in the country, we can benefit",,,,,,
667,Because what we need is in different countries,,,,,,
668,"Certain things can not grow on the land of the country or can grow a little bit, so they can exchange and fill things that are not there",,,,,,
669,"""If we export our goods, our country can make money, and we can make goods from other countries",,,,,,
670,"We can exchange and get along with other countries.""",,,,,,
671,It's because they accept it as a specialty,,,,,,
672,"Through exchange, we can eat agricultural products that are not produced in Korea and eat foods that can only be eaten abroad easily in Korea",,,,,,
673,"In each country, there are plants that do not grow because of different natural environments, so there are many products that come to the mart through exchange to exchange goods that do not exist",,,,,,
674,"Each country has a different climate environment and culture, so the resources they can get are different",,,,,,
675,"In order to specialize items that have a comparative advantage over other countries when producing in Korea,",,,,,,
676,"Since each country has a different natural environment, marine products that cannot be produced are ripened. So it is more profitable to interact.",,,,,,
677,Increase product diversity by exchanging consumer products that are not produced in each country.,,,,,,
678,"Each country has different resources and different products are produced depending on the terrain, so better effects can be obtained by exchanging them",,,,,,
679,"This is because each country has a different ability and technology to produce goods, so if you specialize and exchange goods with a comparative advantage, you can benefit from each other.",,,,,,
680,"As each country produces each item, there is an opportunity cost. According to the principle of trade, each country specializes in places with low opportunity costs to increase efficiency.",,,,,,
681,It is to make a profit by exporting products that are advantageous for their country to produce.,,,,,,
682,Each country has a product with high production efficiency and a low product. This is because exchanging each through exchange increases the production efficiency of all countries that exchange eventually.,,,,,,
683,"Since the natural environment is different from country to country, resources and agricultural products produced in each country are different, so we exchange necessary goods through exchanges between different countries.",,,,,,
684,"This is because each country has a different comparative advantage, so the more they trade with each other, the more beneficial they are for both countries.",,,,,,
685,"If each country specializes in a product with a lower opportunity cost of production, it can produce more overall",,,,,,
686,"The production capacity is also different because each country has different resources. Therefore, if the production is specialized in one area with excellent production capacity and then traded with each other, both countries benefit from Ricardo's comparative advantage theory.",,,,,,
687,"Resources are ubiquitous and sometimes exist only in certain areas. In addition, even with the same resources, production costs vary depending on the economic environment and climate characteristics of the region. The reason for exchanging goods is to consume resources that are not produced in the country, or that the cost produced in the country is more expensive than the cost of importing from abroad.",,,,,,
688,"If you trade, you can have things that you don't have in each country. This is also because each country specializes in producing and trading highly competitive goods, which is beneficial to each country.",,,,,,
689,"Each country has different resources that can be produced well or owns a lot, because if each country produces and trades after specializing in those resources, that is, if it trades in consideration of comparative advantage, it will generate profits in the amount of products.",,,,,,
690,"Suppose that there are countries A and B, and countries A and B produce only goods X and Y, respectively. At this time, country A has a smaller opportunity cost of producing X goods, and country B has a smaller opportunity cost of producing Y goods. If so, countries A and B will benefit more at a smaller cost by specializing in and exchanging products that each can produce at a smaller opportunity cost than by producing both X and Y goods, respectively. Therefore, countries around the world trade for this reason.",,,,,,
691,"This is because all products differ in quantity and quality in each country, so if each country specializes in comparative trade in products that can be made more efficiently, more efficient use of resources can be derived.",,,,,,
692,"Since the natural environment and climate appear in different countries are very different, there are also differences in various agricultural products produced accordingly. Therefore, each country has agricultural products that can be produced in large quantities and good quality, so it is beneficial to each other if they are exchanged through tradeBy selling products that have a comparative or absolute advantage, you can make a greater profit than when you did not trade.",,,,,,
693,The reason for exchanging goods between different countries is to fill in the deficiencies of each other. Each country has either no production or needs. These parts are filled through exchanges with countries that have interests with other countries.,,,,,,
694,?,,,,,,
695,I don't know,,,,,,
696,To receive what is not there,,,,,,
697,The product is not produced in that country,,,,,,
698,"Because the natural environment is different, the products that come out are different from country to country",,,,,,
699,To buy and sell each other's needs,,,,,,
700,Globalization has come true,,,,,,
701,It's produced in different countries produce different things,,,,,,
702,"To enjoy various foods,",,,,,,
703,yes,,,,,,
704,Because the lack and abundance of each other are different,,,,,,
705,This is because there are products that can be produced efficiently in each country.,,,,,,
706,We need to exchange so that there will be more international funds in their countries,,,,,,
707,To get what's hard to get in the country,,,,,,
708,.,,,,,,
709,This is because the resources produced by each region are different.,,,,,,
710,To get specialties that do not come from their own country.,,,,,,
711,This is because each country has its own specialties.,,,,,,
712,This is because each country has different agricultural methods according to the climate and different products.,,,,,,
713,"Because each country has a different climate, they exchange good quality goods.",,,,,,
714,We can make a profit by selling each other's specialized products because the products are different depending on the climate and terrain,,,,,,
715,"This is because if cheap foreign goods come in without tariffs, it could hurt the economy of its citizens.",,,,,,
716,I can eat a variety of fruits,,,,,,
717,I don't understand.,,,,,,
718,Good relations between countries can be maintained.,,,,,,
719,"There must be food products that are not produced in a country, so they are exchanged",,,,,,
720,Yeah.,,,,,,
721,They can benefit each other by importing products that are difficult to produce under their own environmental conditions and exporting their surplus products.,,,,,,
722,This is because you can experience food that is not produced in Korea.,,,,,,
723,"There are things that cannot be produced in our country, and they come out, but the things that are produced less can be produced in other countries",,,,,,
724,M and D,,,,,,
725,"Yes, yes, yes",,,,,,
726,Mall,,,,,,
727,I don't understand.,,,,,,
728,I don't understand.,,,,,,
729,I don't know.,,,,,,
730,I don't know,,,,,,
731,M and D,,,,,,
732,I don't understand.,,,,,,
733,I don't understand.,,,,,,
734,I don't understand.,,,,,,
735,I don't understand.,,,,,,
736,M and D,,,,,,
737,I don't know.,,,,,,
738,I don't know,,,,,,
739,I don't understand.,,,,,,
740,I don't understand.,,,,,,
741,M and D,,,,,,
742,I don't know,,,,,,
743,Let's live well together,,,,,,
744,.,,,,,,
745,I don't understand.,,,,,,
746,We're going to share what we need,,,,,,
747,M and D,,,,,,
748,I don't know.,,,,,,
749,.,,,,,,
750,"There are a number of goods produced in each country and some that are not produced, and exchange to make up for that",,,,,,
751,"I don't have it in Korea, but I have it in other countries",,,,,,
752,You can sell various foods to the people of the country by importing agricultural products or livestock that are not obtained in Korea,,,,,,
753,Because we can get what we can't get in our country from other countries,,,,,,
754,Because we can get what we can't get in our country from other countries.,,,,,,
755,It's not produced in that country,,,,,,
756,"""We have different products from different countries",,,,,,
757,"It's an exchange """,,,,,,
758,This is because the crops that come out a lot are different from country to country,,,,,,
759,"Because the product, economic power, and natural environment produced in each country are different",,,,,,
760,It's not produced in that country,,,,,,
761,"Countries around the world have abundant resources. On the contrary, countries around the world may have the resources they need, but sometimes they don't have them, or they don't have them. So countries around the world exchange their resources with those of other countries",,,,,,
762,This is because each country has a different climate and can grow different things.,,,,,,
763,"""Because different regions and countries have different environments such as natural environments, resources, and technology, they are produced differently, and the economy of regions and countries is developed through exchange of goods",,,,,,
764,"This is because you have to sell rich goods in your region to other regions, and buy scarce goods. Technologically advanced countries import resources, make new products, and export them to other countries.""",,,,,,
765,To get what we can't get in our country in another country,,,,,,
766,It is to make a profit by selling goods that are made better than other countries,,,,,,
767,"Since our country has different natural environment and economic power from foreign countries, we exchange and fill each other's deficiencies",,,,,,
768,To be a thing of his own country,,,,,,
769,The exchange between different countries helps the economic development of the country and can also make it known that we are proud of our country,,,,,,
770,Rare agricultural products from each country can be obtained at a low price.,,,,,,
771,There's something you don't have in your country,,,,,,
772,Rare agricultural products can be purchased cheaply in each country,,,,,,
773,"This is because if you exchange, you can eat food from other countries in our country.",,,,,,
774,What we can't get from our country is another country,,,,,,
775,This is because there are things that are not produced in Korea.,,,,,,
776,There are some things that are not produced in our country.,,,,,,
777,Because I have to export and sell what I can't get with other countries,,,,,,
778,There are many products that are restricted in production due to geographical conditions and environmental factors,,,,,,
779,For the development of the country,,,,,,
780,It's different from each other's regions,,,,,,
781,There are a lot of things that don't come out in Korea,,,,,,
782,Use things more efficiently,,,,,,
783,"In order for our country to benefit from other countries,",,,,,,
784,"There are things that are not in our country and things that are not in other countries, so it is beneficial to exchange them",,,,,,
785,To get things from other countries and develop the country,,,,,,
786,To share good things with each other,,,,,,
787,To make up for each other's lack of food,,,,,,
788,There's nothing to eat in Korea,,,,,,
789,To make money bringing goods that are not in our country,,,,,,
790,In order to fill up what is lacking in our country and in other countries to fill up what is lacking,,,,,,
791,I want to experience foreign food in many countriesWe can bring things that we don't have and our country can develop further.,,,,,,
792,"To benefit the country, or because of the terrain in each country, the things that produce each other are different",,,,,,
793,It is to get new items that do not come out of our country.,,,,,,
794,It is to get the goods that each country lacks.,,,,,,
795,food,,,,,,
796,You can get vegetables and meat that don't come from Korea,,,,,,
797,What are you not going to eat?,,,,,,
798,"Because you can see, hear, and gain culture through exchange",,,,,,
799,To benefit each other,,,,,,
800,Import what is not in our country and export what is not in other countries,,,,,,
801,Exporting a lot of produce and importing a lot of less produce makes it easy to get various agricultural products.,,,,,,
802,It is to sell each other's goods in each country.,,,,,,
803,Because of the treaty,,,,,,
804,For our country to develop further.,,,,,,
805,to be able to make up for one's shortcomings,,,,,,
806,It's a treaty between countries and exchange,,,,,,
807,"This is because the natural environment is different, so what is produced is different.",,,,,,
808,Because each country produces different products well,,,,,,
809,To save goods that do not exist in their own country,,,,,,
810,Each country produces different things,,,,,,
811,This is because things that are well produced vary depending on the climate or geographical environment of the country.,,,,,,
812,Each country has different agricultural products,,,,,,
813,"This is because each country has different climates and other environments, so the special products grown are different.",,,,,,
814,"Different countries have different climates and topographic conditions, so the types of living things that grow well are different. Therefore, they exchange items to use various items.",,,,,,
815,Because the products of each country are different,,,,,,
816,Some agricultural products don't grow in their own country,,,,,,
817,The exchange of goods improves the relationship between countries and prevents war,,,,,,
818,We need different things,,,,,,
819,Because I have different products by region and climate,,,,,,
820,This is because each country has different items harvested due to temperature and environment.,,,,,,
821,I wanted to have a lot,,,,,,
822,"We can't eat only the food of Korea, we need the variety of food, and the price varies depending on which country, and it's not enough to produce Korean people",,,,,,
823,I'm going to try various things,,,,,,
824,To produce and consume goods with higher efficiency,,,,,,
825,For the growth of the country,,,,,,
826,Our lives become richer by exchanging good and bad things in each country.,,,,,,
827,"Because crops are affected by climate and climate, bananas can be produced for $1 in the Philippines, but in Korea, it takes more cost and energy to meet the production conditions, so to gain and approach each other reasonably",,,,,,
828,To be good to each other when it doesn't come out of a particular area or when it's expensive.,,,,,,
829,Different countries have different environments. I want to share various things,,,,,,
830,It's cheaper,,,,,,
831,The local specialties are delicious,,,,,,
832,Since I don't have it,,,,,,
833,"In order to get along better with new cultural properties and friendly exchanges between countries,",,,,,,
834,economic development,,,,,,
835,cultural development,,,,,,
836,"Growing up in each country. Because there are a lot of people, we exchange and exchange to gain each other's benefit",,,,,,
837,It's to fill in what our country can't do,,,,,,
838,For the benefit of many countries (globalization of the earth,,,,,,
839,It is to exchange things that we don't have and to exchange food that we don't have in the country.,,,,,,
840,"This is because we can exchange goods that are not produced in Korea with other countries, and we can exchange goods that are not produced in other countries and use more diverse goods.",,,,,,
841,We can enjoy a comfortable life by exchanging good things,,,,,,
842,in order to benefit,,,,,,
843,To eat more things,,,,,,
844,"To make up for each other's shortcomings,",,,,,,
845,Depends on the specials of Grara,,,,,,
846,Because humans exist,,,,,,
847,This is because we can have time to understand the culture of other countries through exchange,,,,,,
848,Because there are items that can be imported cheaper than those that are not produced in Korea or raised in Korea,,,,,,
849,"Because the foods produced according to the climate of their own country are different, they are imported from countries where the food grows well.",,,,,,
850,It's to complement each other and live well.,,,,,,
851,Because we have things we need,,,,,,
852,"To understand each other's culture,",,,,,,
853,In order to exchange things that are not in the country needs each other,,,,,,
854,It's because each country has a different natural environment and I have different products.,,,,,,
855,.,,,,,,
856,To get the things we need from each other,,,,,,
857,It is to gain,,,,,,
858,Each country has an advantage in production because it is more economically profitable to produce what is money and import what is needed from other countries.,,,,,,
859,This is because each country produces different products.,,,,,,
860,"We don't have everything in the country, so we exchange it to get what we need",,,,,,
861,Because we're not here,,,,,,
862,For a better life,,,,,,
863,"In order to produce well in each country,",,,,,,
864,"To get agricultural products that are hard to produce in our country,",,,,,,
865,"Even if it's in your own country, you can buy quality goods cheaply, or you can exchange things you don't have in your own country",,,,,,
866,d,,,,,,
867,It's a benefit,,,,,,
868,Each country has different specialties,,,,,,
869,This is because each country has different items that can be made well.(due to comparative advantage),,,,,,
870,"To feel the unique taste of the country,",,,,,,
871,"""Each country has a different climate, so different agricultural products can be produced",,,,,,
872,"""They make profits by exchanging agricultural products that each country can produce by interacting with each other.""",,,,,,
873,This is because each country has different specialties.,,,,,,
874,I'd love to.,,,,,,
875,"By exchanging products that are produced a lot in the area, you can buy them more efficiently and get them cheaply.",,,,,,
876,Because of the scarcity of resources.,,,,,,
877,This is because not all products come from all countries.,,,,,,
878,"Each country has a different environment, and accordingly, it is to gain and benefit from exchanging goods needed by each country.",,,,,,
879,"Since each country has different materials or labor levels needed to make goods, each country can specialize in goods that can be made well and import and export them to each other, allowing the two countries to trade profitably.",,,,,,
880,"The reason for exchanging goods is that each country has well-cut specialties or well-made products. In other words, this is because it is a good exchange if the goods that exist in the goods have a comparative advantage are exchanged with each other.",,,,,,
881,"The agricultural products from each country are determined by the environment, and because the environment in all countries is not the same, I get different agricultural products. That's why you have to exchange goods with other countries in order to eat a variety of foods.",,,,,,
882,I don't know.,,,,,,
883,Because of the opportunity cost,,,,,,
884,This is because each country has different products produced mainly.,,,,,,
885,This is because the resources produced in each country are different.,,,,,,
886,"This is because objects that do not come from other countries may come from Korea, or objects that do not come from Korea may come from other countries.",,,,,,
887,"Weather factors such as temperature, humidity, precipitation, air volume, and altitude vary greatly from country to country. Therefore, the crops that can be obtained are bound to be different. That's why each country imports and replenishes scarce crops.",,,,,,
888,"Since substances that can be produced are different depending on environmental conditions, various substances can be used through exchange.",,,,,,
889,"Since substances that can be produced are different depending on environmental conditions, various substances can be used through exchange.",,,,,,
890,"Since the products produced are different depending on the environment and technology of each country, they are exchanged through exchange.This is because the resources such as food produced are not evenly distributed. The climate may vary depending on the terrain of each country, so there is a difference in the living things that grow.",,,,,,
891,"This is because each country has different topography and climate, so well-grown crops are different.",,,,,,
892,This is because the agricultural products produced in each country are different.,,,,,,
893,It is to complement each other's deficiencies.,,,,,,
894,I don't know,,,,,,
895,The reason why each country produces a lot is because it exports to other countries and imports what is produced less.,,,,,,
896,"In the case of the United States, various crops are grown in large quantities using a large land, and on the contrary, Korea collects and exports marine products using the sea on three sides instead of a narrow land.",,,,,,
897,To interact and fill each other's shortcomings,,,,,,
898,"Because the natural environment and temperature are very different from country to country, there are various species of agricultural products that grow. Because the crops that grow together are different, countries exchange goods through exchanges.",,,,,,
899,"For a variety of food and benefits by price,",,,,,,
900,"Each latitude has a different climate, with different continents, like sea, land, etc., and different climates have different growth rates Then it might be better for each other to interact",,,,,,
901,Because the climate and environment are different and the elemental dependence is different between countries,,,,,,
902,"In some cases, it is done to obtain the necessary goods, and in some cases, it is done for financial gain.",,,,,,
903,"Different countries have different locations (mountain, sea, etc.), climates, and temperatures, so products and crops produced are different. Therefore, it is to exchange food that is well produced in each country if they are manipulated with each other.",,,,,,
904,"It is to exchange our strengths with each other. I think it's cheap somewhere, scarcity somewhere, quality somewhere, to maximize these advantages.",,,,,,
905,Each country has a different economy,,,,,,
906,for economic profit,,,,,,
907,"Because each country has different types of goods that are good to produce, it is because they exchange what they lack to make up for the shortage or because the demand for certain goods has increased, the supply in the country has become insufficient.",,,,,,
908,It's only driven by the market economy principle that high-quality goods can be purchased and sold,,,,,,
909,The foods that fit the climate of the country are different,,,,,,
910,"By exchanging goods in a globalized society, it is possible to accept things that are not in the country, but it is an opportunity to accept the culture of the country together.",,,,,,
911,"Different countries have different climates and animals and plants that can live in adaptation to the climate, so each country has different things to grow and nurture. That's why we exchange things that we don't have.",,,,,,
912,There are different goods available in different countries,,,,,,
913,Evaluation Only. Created with Aspose.Cells for Python via Java.Copyright 2003 - 2022 Aspose Pty Ltd.,,,,,,
