,2) Why did the fire go out after spraying water on the lit iron?,q30_Temperature drop ,q30_Oxygen
644,"As I sprayed water, the heat cooled down and water went into the iron",,
645,Oxygen is blocked,,
646,The water is cold,,
647,There's no oxygen in the water,,
648,The heat has cooled down,,
649,This is because oxygen is blocked.,,
650,"Since water absorbs heat from the iron plate and evaporates into water vapor, the temperature of the iron plate decreases and the fire is extinguished.",,
651,Fire is like wind,,
652,be caused by pouring water,,
653,The temperature of the iron plate was lowered and the fire was extinguished because it did not meet the combustion conditions.,,
654,"Because the fire was sprayed with water, the fire was extinguished because it did not create a temperature to maintain the fire",,
655,The heat on the hot iron cooled down and the fire seemed to go out.,,
656,This is because there is an ingredient that goes out when water touches the fire,,
657,"This is because when water is sprayed, oxygen transferred to the fire is blocked, so that the condition of combustion is not established.",,
658,Fire is like air,,
659,Because water can extinguish the fire,,
660,Because the fire is weak with water,,
661,Water blocks oxygen supply,,
662,Common sense is that fire is lost to water.,,
663,It's because of the heat,,
664,The fire is hot and the water is cold,,
665,It's cold,,
666,"The fire is weak against water, so the fire was extinguished by spraying water on the fire.",,
667,This is because the heat of the iron disappeared by spraying water.,,
668,"Fire and oxygen don't meet, so it goes out",,
669,"If you spray water, the temperature of the fire will drop",,
670,It blocks oxygen by spraying water,,
671,This is because the temperature disappears completely as the water reduces the temperature.,,
672,The fire was extinguished as the temperature dropped below the ignition point as the water cooled the hot state to some extent while it was hot enough to catch fire.,,
673,Because the fire turns off the water,,
674,It is because water lowers the temperature of the fire and blocks oxygen.,,
675,Seongsu is the best,,
676,It's because I sprayed water,,
677,"The temperature's going down, the oxygen's going down",,
678,It's the temperature at the ignition point,,
679,The temperature went down,,
680,Because the water turns off the fire,,
681,The water is the leader,,
682,The temperature is rapidly cooling down and oxygen is blocked,,
683,The temperature went down,,
684,Spray water,,
685,The temperature went down,,
686,Because it shut off oxygen and the temperature dropped,,
687,The temperature went down,,
688,The water is cold,,
689,Because water can extinguish the fire,,
690,Fire is originally to be extinguished with water.,,
691,This is because water blocks contact between fire and oxygen.,,
692,"If you spray water, the temperature goes down. Below the ignition point",,
693,The temperature went up and down,,
694,This is because water was sprayed on the iron plate that exceeded a certain temperature to make it lower than a certain temperature.,,
695,Water lowered the temperature of the fire,,
696,This is because water has the property of extinguishing the fire.,,
697,It goes below the ignition point,,
698,The fire was extinguished by lowering the ignition point temperature with water,,
699,I don't know.,,
700,This is because water lowers the temperature of the fire.,,
701,Because the water is cold.,,
702,It is heated because the temperature goes down,,
703,"Among the three burning combustions, the topic is over because the temperature is lowered or the air is blocked by water, so there is no air, so you cannot burn it. â¡~â¡",,
704,"The reason for the water sticking to the iron plate was because of the iron part of the iron plate, but the fire was extinguished because the iron was smeared and water was sprayed.",,
705,Because the temperature above the ignition point of the three principles disappeared due to water when it caught fire,,
706,"If a material with low reactivity is used, the fire can be extinguished by blocking any of the combustion conditions (de-material, temperature above ignition point, oxygen)",,
707,This is because it prevents oxygen from flowing in the moment.,,
708,"To prevent further rise to a temperature above the ignition point, water is sprayed to lower the temperature below the ignition point.""",,
709,Water was sprayed to prevent the fire from catching fire.,,
710,This is because the temperature of the cloth dropped below the ignition point by spraying water.,,
711,This is because the fire goes out when it comes into contact with water.,,
712,Because of the steam,,
713,"If you spray water on the iron plate, the temperature below the ignition point and the desiccant disappears, so the light on the iron plate is turned off",,
714,This is because the temperature of the Daramispan dropped below the ignition point by spraying water.,,
715,I sprayed water and dropped below the ignition point,,
716,"The temperature of the iron plate was hot, and the water was cold, so the water cooled the iron plate.",,
717,"It's because if you spray water on a cloth iron plate, it goes out when it touches the fire",,
718,"If any of the conditions of the fire are gone, the fire will be extinguished, so lower the temperature by adding cold water and extinguishing the fire",,
719,The fire went out because the cold temperature of the water cools the hot temperature of the cloth.,,
720,The fire goes out at a temperature below the ignition point where the fire started.,,
721,"""Water does not oxidize because there is no ignition point",,
722,"That's why the lights went out.""",,
723,"As mentioned above, in the conditions of catching fire, if there is de-material, temperature above the firing point, and oxygen, it catches fire, but when water is sprayed, the temperature is lower than the temperature above the firing point, so the fire is extinguished.",,
724,"If you spray water on the iron on fire, it turns off because water lowers the temperature",,
725,It's not above the ignition point,,
726,"The fire is watery but weak, so it goes out when you spray water",,
727,I'm trying to get the de-materials down and the ignition point,,
728,"The reason why it was extinguished by spraying water during the fire is that three elements are needed to burn, and the ignition point (temperature to burn), dehydration, and oxygen are essential, but if there is no element, the fire will be extinguished, so the ignition point is lowered by spraying water.",,
729,"When it caught fire, water was poured in and the temperature below the ignition point became extinguished.",,
730,"Water lowered the temperature above the ignition point from the iron plate, so the heat on the iron plate went out",,
731,"Water absorbs heat to the main surface, so the heat decreases, and the temperature around the fire decreases, so the temperature drops below the ignition point of the de-material and the fire goes out",,
732,The water makes the fire go out,,
733,Fire and water met and the fire went out,,
734,Fire and water met and the fire went out,,
735,I don't know,,
736,Digestion,,
737,Because I sprayed water,,
738,It's because they blocked the oxygen supply,,
739,"When water touches the fire, it blocks oxygen, so it goes out",,
740,The temperature of the iron plate is below the burning point,,
741,This is because oxygen is blocked.,,
742,This is because oxygen is blocked.,,
743,This is because the temperature dropped again after spraying water.,,
744,oxygen blocking,,
745,This is because the appropriate temperature has fallen from the temperature where the fire was supposed to be.,,
746,It's blocked,,
747,The temperature went down,,
748,This is because contacting a material with a relatively low temperature at a low temperature lowers the temperature.,,
749,I blocked the oxygen,,
750,I don't know,,
751,I don't know.,,
752,The fire is weak against water,,
753,"The oxygen is blocked, or the temperature is lowered",,
754,Because I lowered the temperature,,
755,"If you spray water, the temperature goes down and blocks oxygen",,
756,It blocks oxygen,,
757,Blocking oxygen,,
758,Water vaporizes and blocks oxygen,,
759,I don't know,,
760,I think it's obvious,,
761,Because the water turns off the fire,,
762,oxygenated,,
763,Water blocks oxygen and lowers the temperature,,
764,Water is digested by lowering the temperature of the fire and blocking oxygen.,,
765,This is because it supplied water that suppresses the heat of fire.,,
766,This is because the water vaporizes and takes away the heat of fire.,,
767,"If you spray water, of course the fire goes out.",,
768,It's because water stops the fire from burning momentarily,,
769,This is because water is sprayed to lower the temperature and directly block oxygen,,
770,Water is to put out the fire,,
771,Because there is a chemical reaction between water and fire that I don't know,,
772,The temperature went down,,
773,"Oxygen is blocked by water and the fire is extinguished, and the temperature decreases by water and the fire is extinguished.",,
774,The temperature dropped below the ignition point,,
775,Because oxygen is blocked,,
776,This is because the temperature was lowered and oxygen was blocked.,,
777,Water lowers the temperature because it has a large specific heat. Spraying a lot of water on a small fire also blocks oxygen.,,
778,The oxygen is blocked and the temperature is lowered,,
779,The temperature went down and oxygen was blocked,,
780,oxygen blocking,,
781,Temperature is lowered and oxygen is blocked,,
782,The temperature drops below the ignition point,,
783,"As the water evaporated by absorbing the heat of the fire, the fire went out as the temperature of the fire went down",,
784,Because the conditions for combustion are not met,,
785,It's damp,,
786,The water absorbed the heat of vaporization and went below the ignition point,,
787,"""Spraying water",,
788,"""",,
789,I don't understand.,,
790,The temperature went down,,
791,The water is cold,,
792,Definitely gone,,
793,Molecular motion is reduced,,
794,Spray water,,
795,I can put out the fire with water,,
796,"This is because oxygen supply is blocked during combustion due to water, and the temperature has fallen below the ignition point.",,
797,This is because the temperature has decreased.,,
798,This is because contact with oxygen has disappeared.,,
799,I shut off the oxygen.,,
800,It's because oxygen is blocked,,
801,Fire and water are at opposite ends,,
802,This is because water absorbs heat from the iron plate and the temperature drops below the heating point.,,
803,"As the water vaporizes, it takes the energy of the fire and extinguishes the fire.",,
804,"Water tries to lower the temperature of the cloth to create a temperature below the ignition point, and since water vapor blocks contact with oxygen, the fire is extinguished when sprayed with water",,
805,Water has the property of extinguishing fire,,
806,Blocking oxygen,,
807,Water overcomes fire.,,
808,"When the water is closed to the iron plate, the cold temperature of the water is transferred to the iron plate, which lowers the temperature, covers the water, and shuts off oxygen",,
809,"When water is sprayed on the iron plate, the temperature of the iron plate decreases and oxygen is temporarily blocked, so the fire goes out.",,
810,It's blocked,,
811,"The fire was extinguished because water was sprayed on the iron plate to block oxygen, which did not satisfy oxygen during combustion conditions.",,
812,"The three conditions that catch fire are de-matter, temperature above the ignition point, and oxygen. If you spray water, you will not be satisfied with the temperature above the ignition point among these three. This is because when water is sprayed on the fire, the water vaporizes momentarily and absorbs surrounding heat, so the temperature is lower than the ignition point.",,
813,"As water evaporates due to the heat of the fire, the fire loses heat because the water absorbs the heat of vaporization.",,
814,The temperature went down,,
815,"The reason why the fire was extinguished after spraying water can be summarized in two ways depending on the situation. One is that the temperature, which was above the ignition point, fell below the ignition point by spraying water, and the fire was extinguished.  However, in extreme cases, when the air pressure is so high that the boiling point of water is higher than the firing point of the cloth, the second case is that the combustion reaction of the cloth is stopped by blocking the oxygen supplied to the cloth. In either case or both of these cases, the fire is extinguished because they were satisfied.",,
816,"As mentioned above, the conditions to catch fire are de-material, temperature above the ignition point, and supply of sufficient oxygen. Having already caught fire means meeting these three requirements.  If you think the other way around, it means that if you block the three conditions, the fire will be extinguished. There are two reasons why the fire goes out after spraying water. First, water interferes with the binding of de-materials and oxygen, so that the fire is extinguished. Spraying water is like trapping a de-material in water, which prevents it from reacting with oxygen. The second is when the water is cold. If the water sprayed on the de-material is cold, the fire is extinguished because the water not only blocks the reaction with oxygen, but also absorbs the temperature of the de-material to lower the temperature of the de-material so that it does not meet two of the three conditions.",,
817,"In order to catch fire, we need temperatures above the ignition point, oxygen, and something to burn.",,
818,"Water will burn, so the iron plate does not disappear, so it is not an iron plate, and oxygen is not blocked at all, so I think the iron plate, which has risen to the temperature above the ignition point, has been lowered using water. As soon as water is sprayed, vaporization occurs due to the high heat of the fire. As the water changes from liquid to gas and takes in nearby heat energy, the temperature of the iron plate is lowered, so the fire is extinguished because it does not exceed the firing point.",,
819,"""",,
820,"If someone hurts and the wound is endless, the hearts of the injured change from sadness to anger and explode. their last resistance The last resistance of the cloth. It catches fire. The fire is weak, but it must be in their best interests. But it's so heartbreaking. The best thing is to disappear too easily.",,
821,"This is because the temperature above the ignition point was removed among the three combustion conditions mentioned above. If water is poured onto a hot iron plate, the temperature of the iron plate and the temperature of the water will be in thermal equilibrium according to the 0th law of thermodynamics, and the temperature will decrease. Therefore, the temperature is lower than the ignition point, so that the third condition of combustion is not satisfied.",,
822,"The conditions for extinguishing the fire may be artificially manipulated so as not to satisfy one of the three conditions in which the fire is generated. When water was sprayed on the lit iron plate, the surrounding oxygen was blocked to satisfy the condition of the presence of sufficient oxygen, and the condition of the temperature above the ignition point was dissatisfied. It can be said that the fire was extinguished due to this.",,
823,"If water is sprayed on the lit iron plate, the fire is extinguished because the three conditions for firing, the temperature above the ignition point, the de-material, and the temperature above the ignition point during oxygen supply are not satisfied. This is because if any of the three conditions are not satisfied, the fire will not be lit or extinguished. When relatively cold water and hot fire meet, the water takes away the heat of the fire, and the higher temperature changes it into a form of water vapor, and the reason why the fire is extinguished is that the water takes away the heat of vaporization from the fire.",,
824,"The reason why the fire was extinguished after spraying water on the lit iron plate was that it did not satisfy one of the three conditions that could catch fire: temperature above the ignition point, de-material, or oxygen supply. So what did the water block to turn off the lights? This is because the temperature was lowered below the ignition point. This is because when water is sprayed, the water becomes water vapor and absorbs the heat of vaporization that it absorbs. Therefore, when water is sprayed on a lit iron plate, the fire goes out.",,
825,"If water is sprayed on the lit iron plate, the water covers the iron plate and oxygen is not supplied properly. Therefore, the fire is extinguished because the supply of oxygen, which is one of the conditions for combustion, is not properly supplied.",,
826,The reason why the fire was extinguished after spraying water on the lit iron plate is because it is lowered to a temperature below the ignition point.,,
827,"The temperature of the iron plate reaches the ignition point of the cloth, and when the fire is about to burn, oxygen is essential, but the water does not block oxygen, but the water meets hot and changes the state and absorbs vaporization heat, so the fire goes out, whether it is hot or cold.",,
828,The reason why the fire was extinguished after spraying water on the iron plate on fire was because of the heat of vaporization.,,
829,"When water is sprayed, the water becomes a gas and absorbs vaporization heat, and thus a temperature higher than an firing point in the combustion condition is not satisfied, and the steam blocks oxygen, thereby extinguishing the fire.",,
830,"Water is evaporated by the heat of the fire on the cloth. At this time, the water is heated and the molecular motion becomes active, and the space between the molecules is separated, and since the necessary energy must be continuously supplied, the temperature of the burning cloth is taken away and evaporated, and the temperature is lowered. The fire goes out as the temperature drops below the ignition point.",,
831,"The temperature of the water is lower than that of the fire, so the temperature is lowered, and as the water is sprayed, the force is applied to press the fire under pressure.",,
832,"The burning iron plate is under fire, and the de-material, temperature above the firing point, and oxygen are satisfied. Spraying water lowers the temperature. The reason is that first, since the temperature of water is lower than the temperature of the iron plate, the temperature of the iron plate is lowered by thermal equilibrium, and the water reaching 100 degrees Celsius evaporates to absorb vaporization heat. In addition, water vapor generated as water evaporates has the effect of blocking contact with oxygen. In order for digestion to occur, only one of the three conditions of combustion mentioned above is not satisfied, so when water is sprayed, the fire is extinguished.",,
833,at a temperature below the ignition point,,
834,It's because I cooled the heat with cold temperatures,,
835,"""To extinguish a fire, remove de-materials, remove air, or temperature below the ignition point",,
836,"If you lower it, the fire is extinguished, because water lowers the temperature below the ignition point of the ignition point",,
837,"The lights went out.""",,
838,"Fire only burns when there is oxygen, but water blocks that oxygen",,
839,It's because it blocked oxygen. And because the temperature was below the ignition point by spraying water.,,
840,This is because the fire is extinguished by applying pressure with water.,,
841,This is because water has the ingredient to extinguish fire.,,
842,This is because the fire goes out when the water touches it.,,
843,Because pouring water into burning substances blocks burning.,,
844,M and D,,
845,The ignition point is low,,
846,"Because the heated heat is cooled by water,",,
847,It blocks oxygen with water,,
848,Because the water covers the fire.,,
849,I don't know how to explain it,,
850,It cools down the heat,,
851,The temperature of the water is cold,,
852,It's because the hot temperature cooled down,,
853,It cools the iron plate and interferes with the heat in the stomach,,
854,The fire on the iron plate is extinguished because of the water content,,
855,This is because the fire goes out when it reacts with water.,,
856,It is because water blocks oxygen in the air.,,
857,Because the temperature of the water is higher,,
858,Because water doesn't have oxygen,,
859,Water gets rid of heat,,
860,There's water,,
861,The temperature drops below the ignition point,,
862,I don't know,,
863,Someone said that the lights go out because they want to,,
864,Because water overcomes fire,,
865,"In order to fire, air must be supplied, because water was sprayed to block the air.",,
866,The combustion that could catch fire disappears after spraying water,,
867,This is because the temperature of the iron was lowered by pouring water on the burning iron.,,
868,"If you pour hot or cold water, it gets cold and runs away quickly",,
869,Water is stronger than fire,,
870,"It eliminates contact with fire and oxygen, and the water is cold",,
871,The fire goes out as the hot air cools.,,
872,It's because the fever has gone down,,
873,"This is because when water is sprayed, the amount of oxygen is insufficient and the fire is extinguished.",,
874,The water is stronger than the blanket,,
875,The air around me got cold,,
876,"The air on the burning iron plate is hot and the air in the sprinkled water is cold, so hot air and cold air meet",,
877,It's because the water didn't exceed the temperature at the ignition point,,
878,"This is because if you spray water, you will lack oxygen.",,
879,The fire went out and it got cold,,
880,I don't know.,,
881,This is because fire is weak against water.,,
882,Because fire is digested by water,,
883,"This is because water and fire are not compatible, so if you spray water on the fire, it is digested.",,
884,This is because water is strong against fire and water has the power to block oxygen.,,
885,I don't have one thing I need to make a fire,,
886,Let it cool down,,
887,Lower the temperature with water,,
888,It's because the temperature has decreased dramatically,,
889,This is because the water lowered the temperature.,,
890,It's because the temperature above the ignition point drops below,,
891,The temperature decreases dramatically,,
892,This is because the temperature of the water is lower than that of the iron.,,
893,"Water is the epitome of fire, so if you pour water on a lit iron plate, the fire will go out.",,
894,The temperature above the ignition point goes down,,
895,The water is acidic,,
896,It's because the heat disappears,,
897,It's because the heat disappears,,
898,Because fire is very weak in water,,
899,Because fire is very weak in water,,
900,"Fire burns above the ignition point, but if you spray water, it will be below the ignition point, so I think it will be extinguished.",,
901,"""Water""",,
902,"""Water and fire are acidic, so if you spray water on the iron, the fire will go out.""",,
903,Spray water and the temperature of the plate will be lower than the burning point,,
904,Fire and water are acidic and make the fire go out,,
905,The temperature dropped below the ignition point of the iron plate and the light went out on the lit iron plate.,,
906,"There should be a temperature above the ignition point, but if water is sprayed, the temperature above the ignition point cools.",,
907,"You need to have a temperature above the ignition point to burn. If you spray water, the temperature above the ignition point decreases",,
908,"Fire and water are acidic, so if you spray water on the iron plate, it will be extinguished.",,
909,"Even if Squirtle and Charmander fight, Squirtle wins.",,
910,"This is because the fire is hot, but spraying water can cool off the hot heat.",,
911,This is because the iron plate with high temperature met with water with low temperature.,,
912,My temperature went down,,
913,The temperature is lower than the ignition point,,
914,Fire is weak against water,,
915,Don't know,,
916,Ignition,,
917,:(,,
918,I don't know,,
919,The cold heat moves to the ironing board,,
920,.,,
921,Because water cools the heat of fire,,
922,The water is cold,,
923,Because I have a weak fever?,,
924,"If you spray water, it turns off",,
925,"If you spray water, the fire will go out",,
926,with a cool temperature,,
927,It's hot,,
928,Fire is weak in water,,
929,I don't know,,
930,The iron plate is cold,,
931,I think it's because fire can't be burned in wet places.,,
932,It was extinguished by the steam of the water.,,
933,"Because of the steam in the water,",,
934,Fire doesn't pour in wet places,,
935,The temperature is lower than the ignition point,,
936,Because the water is cold,,
937,The fire didn't come up that much,,
938,The temperature went down,,
939,Fire and water come into contact,,
940,Because it's cold,,
941,Water lowers the temperature of the iron,,
942,Spraying water lowers the temperature and extinguishes the fire.,,
943,It blocks oxygen,,
944,It blocks oxygen,,
945,Because it blocks oxygen,,
946,removal of oxygen,,
947,It's to reduce the fever,,
948,"""Spraying water on a lit iron will cause the fire to go out because the temperature will go down. In addition, instantaneous water vapor blocks oxygen and extinguishes the fire.",,
949,"""",,
950,I don't know.,,
951,"If you don't turn off the iron, the fabric on the iron plate may burn.",,
952,..,,
953,I don't know,,
954,?,,
955,Fire is weak with water,,
956,The temperature went down,,
957,I cannot explain the principle of...,,
958,Spray water and the temperature goes down,,
959,Isn't it because water is stronger than fire?,,
960,It blocks oxygen,,
961,"It is because water overcomes fire. Fire actually looked strong, but it was a weak friend. I'm sorry, fire. I'm not scared anymore.",,
962,I don't know,,
963,.,,
964,I don't know,,
965,It's because water comes into contact and evaporates and releases energy,,
966,The fire went out in the water,,
967,I don't know,,
968,I don't know.,,
969,I don't know.,,
970,Because water puts out the embers,,
971,Water overcomes fire,,
972,oxygen blocking,,
973,Blocking oxygen,,
974,It is because the fever has cooled down.,,
975,I need water to turn off the lights,,
976,Because water blocks the air and water doesn't catch fire,,
977,I don't know.,,
978,It's because the temperature is below the ignition point,,
979,This is because it lowered the ignition point.,,
980,"Water can absorb a lot of heat because of the molecular structure of water, but the fire was extinguished because the water did not have enough heat to absorb and burn the heat from the iron plate.",,
981,It's to reduce the fever,,
982,"The temperature dropped as water was sprayed, and the iron plate was extinguished because oxygen was temporarily blocked.",,
983,Water blocks the oxygen from the fire,,
984,Because it blocks oxygen,,
985,I don't know,,
986,I don't know,,
987,I don't know,,
988,I think it was because the fire was so hot that it would be easily extinguished in the water.,,
989,Because the fire goes out in the water,,
990,I think it's because the water is cold,,
991,I don't know,,
992,It's cold,,
993,in a jagao,,
994,"If you spray water on a fire, it can go out without air resistance",,
995,I don't know,,
996,Water blocks oxygen,,
997,"Because if you pour water on the fire, it turns off",,
998,The fire is cold,,
999,Because the monthly fire goes out in the water.,,
1000,It's because the water is an incarnation of Buddha,,
1001,Fire is weaker than water,,
1002,Because I brought water and sprayed it on the iron,,
1003,"Because the water is cold and the fire is hot,",,
1004,Because water absorbed heat,,
1005,I don't know,,
1006,My temperature went down,,
1007,?,,
1008,I don't know.,,
1009,The water is lower than the temperature of the fire,,
1010,It's gone cold,,
1011,Water turns off the fire,,
1012,It's not clear?,,
1013,It's a counter,,
1014,The water is cold,,
1015,It's cold,,
1016,Because the temperature dropped below the ignition point,,
1017,It's because the temperature has gone down,,
1018,The water turned off the heat,,
1019,The temperature went down,,
1020,Lower ignition point and block oxygen,,
1021,The fire went out because the water cut off oxygen,,
1022,It blocks oxygen,,
1023,n,,
1024,This is because cold water is poured into hot water and the air around it is blocked.,,
1025,Water blocks oxygen and the fire goes out when it cannot meet oxygen,,
1026,To lower the temperature below the ignition point,,
1027,Because water can extinguish the fire,,
1028,no,,
1029,I don't know,,
1030,I don't know.,,
1031,There's a car!,,
1032,This is because the temperature dropped sharply.,,
1033,I really don't know about this.,,
1034,It's because the temperature goes down,,
1035,lowering the temperature,,
1036,Spray water and the fire goes out.,,
1037,Because the water turns off the fire,,
1038,Bald people have superpowers,,
1039,Blocking oxygen,,
1040,be digested at a lower temperature,,
1041,The water instantly lowered the temperature and shut off the oxygen to extinguish the fire.,,
1042,"Because the oxygen was blocked, and the heat went below the ignition point",,
1043,Temperature is lowered and oxygen is blocked,,
1044,"This is because water prevents oxygen from entering, so there is nothing more to ride.",,
1045,"Fire is caused by combustion with air, and when water is sprayed, it blocks the air, so when water is sprayed, the fire is extinguished.",,
1046,The temperature of the iron plate was cooled by water.,,
1047,I'm sure even a three-year-old knows this.,,
1048,Water lowers the temperature of the material and lowers it below the ignition point,,
1049,This is because the temperature is lower than the ignition point. This is because oxygen is blocked.,,
1050,It is because water takes away the heat of fire.,,
1051,It's because the water lowers the temperature of the fire,,
1052,I don't understand.,,
1053,Water overcomes fire,,
1054,Because it's cold,,
1055,Because water overcomes fire. ð,,
1056,Because the water cooled the fire,,
1057,I don't know.,,
1058,Fire vs water. water,,
1059,Because water overcomes fire,,
1060,"After spraying water,",,
1061,The fire goes out in the water,,
1062,with water on one's face,,
1063,"If there's water, it's hard to catch fire",,
1064,Because the temperature went down,,
1065,"It was not a starting point, and oxygen could have been blocked.",,
1066,Water blocks oxygen,,
1067,I poured cold water on the hot heat to lower the temperature than the burning point on the iron plate,,
1068,Spray water,,
1069,Lower the ignition point,,
1070,The hydrogen in the water neutralizes the oxygen in the fire and the fire is extinguished,,
1071,This is because the temperature dropped below the ignition point and water blocked oxygen.,,
1072,separation of oxygen and carbon dioxide,,
1073,The temperature went down,,
1074,"The water lowered the temperature, and the spray blocked the oxygen",,
1075,Spraying water lowers the temperature and extinguishes the fire.,,
1076,It blocks oxygen,,
1077,The temperature drops below the ignition point,,
1078,The temperature went down,,
1079,"When water is sprayed, the fire is extinguished because the temperature drops below the ignition point.",,
1080,"Because the temperature went down,",,
1081,oxygen blocking,,
1082,Because oxygen was blocked and the temperature went down,,
1083,The temperature went down,,
1084,It blocks oxygen and reduces temperature,,
1085,Spraying water reduces the temperature,,
1086,It's because oxygen is blocked,,
1087,"Reduce temperature, block oxygen",,
1088,The temperature goes down below the ignition point,,
1089,Because it's not a volatile fire.Or because the temperature has dropped due to water.,,
1090,The fire is weaker than water,,
1091,Water is better than fire.It's strong,,
1092,Spray water on the fire,,
1093,"The three conditions for combustion are de-material, temperature enough to catch fire, and oxygen. All three conditions must be met to ignite. When water was sprayed, the condition of the temperature enough to catch fire disappeared, and the fire was extinguished.",,
1094,This is because water prevented it from meeting the condition of temperature above the ignition point.,,
1095,"Fire vaporizes water, which becomes water vapor and takes away the surrounding heat to fly away. In this way, the ambient temperature drops below the ignition point.",,
1096,"In order to catch fire, oxygen, de-materials, and temperatures above the ignition point are required, because the temperature was lowered by pouring water.",,
1097,It's because they blocked oxygen by spraying water.,,
1098,"Water was sprayed on the heated iron plate, so the movement of the water molecules became faster than at room temperature, and the fire quickly went out.",,
1099,The temperature was lowered immediately in a short time.,,
1100,.,,
1101,Doesn't it turn off when you spray water on the fire? I don't think the water and fire have a good relationship Haha,,
1102,Water reacts with fire and lowers the combustion reaction. That's why the lights are out.,,
1103,"When water is sprayed, the temperature decreases and the temperature above the ignition point is not satisfied, so the fire is extinguished because it does not satisfy the burning condition.",,
1104,"When water is sprayed on the iron plate, the temperature drops below the ignition point and the fire is extinguished.",,
1105,The fire is extinguished because water lowers the temperature of the iron and at the same time blocks oxygen that catches fire easily.,,
1106,This is because the temperature was lowered below the ignition point.,,
1107,"When water is sprayed on the lit iron plate, the water absorbs the heat of the fire on the iron plate, and the heat is not satisfied enough for the iron plate to burn, so the fire is extinguished.",,
1108,"This is because water is placed on the iron plate and blocks oxygen. Without oxygen, no combustion reaction occurs, so if you spray water, the fire will be extinguished.",,
1109,"Fire should have air, but by spraying water, the air is blocked and the fire is extinguished. And fire is supposed to raise the temperature to make fire, but water has the opposite effect of lowering the temperature, so the fire can be extinguished.",,
1110,This is because water lowered the temperature below the ignition point.,,
1111,"When the above was answered, the fabric was heated hot, and all moisture evaporated and burned accordingly. The way to solve the cause of this fabric's fire is to supply moisture. Therefore, when water is sprayed on a lit iron plate, moisture is supplied and the fire is extinguished.",,
1112,The fire was extinguished because the water blocked the movement of oxygen.,,
1113,"Water can play a role in extinguishing fire, so the fire was extinguished after spraying water.",,
1114,"When water is sprayed, the heat of the iron plate moves to the water while the water and the iron plate are thermally balanced, causing the temperature to be below the firing point and temporarily blocking the oxygen supply due to the water, so it does not meet the three elements of combustion. So the lights go out.",,
1115,"As the temperature dropped, the heat was reduced during the combustion conditions and the fire was extinguished.",,
1116,h,,
1117,Don't know,,
1118,Because it fell below the ignition point,,
1119,It's lower than the ignition point of the temperature,,
1120,This is because the temperature has dropped.,,
1121,It's because it's lower than the ignition point of temperature,,
1122,The temperature went down,,
1123,The temperature went down,,
1124,I don't know,,
1125,The nature of water prevents the nature of fire,,
1126,by preventing the nature of fire,,
1127,Water blocks the nature of,,
1128,"Fire is weak in water, so fire extinguisher",,
1129,This is because water lowered the ignition point temperature of the iron plate.,,
1130,The ignition point is off,,
1131,Fire goes out of the water,,
1132,It's because the temperature has gone down,,
1133,Because water is stronger than fire,,
1134,Fire is weak against water,,
1135,"Most of the time, when there's a boom, if you spray water, it turns off",,
1136,Spraying water when a fire breaks out is the same effect as extinguishing the fire.,,
1137,Water sinks because it is heavier than fire,,
1138,The ignition point disappeared,,
1139,"When water is sprayed on a lit iron plate, the water vaporizes into water vapor due to the high temperature of the iron plate. In this case, water vaporizes and serves to absorb the surrounding thermal energy, so that the temperature of the iron plate itself is lowered. Therefore, the fire is extinguished because the condition of thermal energy is not satisfied among the conditions in which the fire is ignited.",,
1140,Because the heat met cold water,,
1141,It's because it's getting cold,,
1142,in contact with the air,,
1143,I don't know.,,
1144,",,",,
1145,Because the hot thing got cold.,,
1146,Because the heat on the iron plate cools down with water,,
1147,Because the hot fire met cold water.,,
1148,"Metal cools quickly, so gold cools",,
1149,The water is low temperature,,
1150,Spraying water turns off as the temperature goes down,,
1151,I don't know,,
1152,with a low fever,,
1153,Because it cooled me down,,
1154,I don't know,,
1155,"Since the temperature went down at the ignition point,",,
1156,The air is blocked and the temperature drops below the ignition point,,
1157,My fever has cooled down,,
1158,"If you spray water on a burning iron, the temperature will drop.",,
1159,at a drop in temperature,,
1160,To lower the ignition point,,
1161,The temperature went down,,
1162,This is because water lowers the heat on the iron.,,
1163,This is because the temperature of the fire was lowered by spraying water.,,
1164,It is because hot water goes out when you pour it in,,
1165,It's because there's no more de-materials,,
1166,Evaluation Only. Created with Aspose.Cells for Python via Java.Copyright 2003 - 2022 Aspose Pty Ltd.,,
