,"8. Patients who have a sudden heart attack risk serious brain damage. At this time, performing CPR on the patient as shown in the picture can prevent brain damage. Why can CPR prevent brain damage? Let's focus on the circulation of blood in our bodies and explain why.",q63_blood,q63_heart,q63_oxgen
351,This is because the heart stopped during cardiopulmonary resuscitation so that blood circulation can be improved and blood is sent to the brain,,,
352,"When a heart attack occurs, the heart fails to function properly and cannot beat, so the act of pressing with your hands helps the heart beat, which can spread blood from the heart to the whole body again. So CPR can prevent brain damage.",,,
353,I don't know.,,,
354,"If a person does not breathe, there is no air supply to the brain, which causes brain damage. CPR can reduce brain damage by supplying air to the brain",,,
355,It's supplied to the brain,,,
356,Blood needs to flow to get air,,,
357,"If oxygen does not go to the brain, brain damage occurs, but if the heart does not beat, oxygen does not go, so CPR is performed.",,,
358,This is because the brain exercises only when blood circulation occurs,,,
359,Cardiopulmonary resuscitation can prevent brain damage because it supplies blood to the brain and oxygen in the blood is also supplied to the brain.,,,
360,I don't know,,,
361,Because it won't stop my heart,,,
362,I don't know.,,,
363,"When a heart attack occurs, the heart that circulates blood cannot work, so blood does not circulate, which can cause damage to the head.",,,
364,"Hemoglobin in the blood combines with oxygen and carries oxygen to the brain and the whole body when circulating blood. Therefore, re-supplying oxygen to the brain through CPR can prevent brain damage.",,,
365,"My heart is beating, so my body is bleeding",,,
366,"Cardiopulmonary resuscitation marks the heart, making it easier for the body's blood to circulate",,,
367,"This seems to be because CPR can pressure the heart as if it were beating, which can prevent blood from being supplied to the brain by active circulation.",,,
368,Because it allows you to breathe.,,,
369,"""God's Touch""",,,
370,"""",,,
371,"The reason for brain damage is that blood circulation is poor and oxygen supplied to the brain is insufficient, so cardiopulmonary resuscitation can be performed to supply oxygen to the brain.",,,
372,"""If you press the heart, the blood will turn again, so it seems like you're doing CPR",,,
373,"""",,,
374,Cardiopulmonary resuscitation can prevent blood circulation back to the brain.,,,
375,"By pressing the heart, oxygen can be contained in the blood and carried to the brain and various organs to prevent brain damage.",,,
376,I don't know.,,,
377,"If the heart that supplies blood stops and blood circulates to the brain, it will cause brain damage, so it stimulates the heart to circulate blood",,,
378,"The heart is supposed to oxygenate the head, but the heart stops and CPR is done",,,
379,"Blood carries oxygen, and if blood is not supplied to the brain, oxygen is also not supplied to the brain, which can cause serious damage to the brain.",,,
380,"When the heart is paralyzed, blood does not circulate, so blood is not supplied to the brain, and oxygen is not supplied, causing brain damage. At this time, CPR can prevent brain damage by making the heart beat again.",,,
381,"The activity of sending blood to the whole body and then returning to the heart as the heart beats is called blood circulation, which supplies blood to the brain, but the human brain uses blood very much, so the brain is damaged first when it is in cardiac arrest.",,,
382,Cardiopulmonary resuscitation can prevent brain damage due to lack of oxygen in the brain by supplying blood to the entire body.,,,
383,"Blood circulates in our bodies and supplies our bodies with the nutrients or oxygen they need. If oxygen is not supplied to the brain during ash, brain cells are damaged. The heart acts like a pump and circulates blood through our bodies. Since the heart cannot beat on its own during a heart attack, it presses the heart from the outside and circulates the body's blood.",,,
384,"Since the heart is suddenly stopped, cardiopulmonary resuscitation is performed to connect the brain and the heart, and blood is not moved to the brain, so blood is supplied through CPR.",,,
385,It supplies oxygen by external force.,,,
386,"Cardiopulmonary resuscitation is a process that causes the stopped heart to beat passively, and it continues to supply blood to the brain by maintaining blood circulation. In other words, it supplies oxygen to the brain. Without oxygen in the brain, brain damage occurs, and CPR prevents it, which can prevent brain damage.",,,
387,It is because it sends blood to the whole body.,,,
388,It prevents brain damage by allowing blood to travel normally to the brain.,,,
389,"When the heart is pressed, the heart contracts and circulates blood to supply oxygen to the brain.",,,
390,"Cardiopulmonary resuscitation compresses the heart and damages some blood. As a result, oxygen is supplied to the brain through the blood to prevent brain damage.",,,
391,"artificially beating the heart, circulating the blood, supplying oxygen to the brain",,,
392,It circulates blood through CPR and delivers oxygen to the brain.,,,
393,"This is because CPR induces blood circulation, which also supplies oxygen to the brain.",,,
394,It delivers blood throughout the body.,,,
395,"This is because it regenerates the heartbeat through CPR, causing blood circulation to the entire body, and blood is supplied to the brain.When you have a heart attack, your heart doesn't beat and blood doesn't go to your brain, because it manually presses your heart to send blood to your brain and circulates blood",,,
396,Because I have a seizure,,,
397,I don't know.,,,
398,"The heart is the center of blood circulation, and if you have a heart attack, your blood circulation may stop and you may suffer brain damage",,,
399,"The heart needs to beat in order to circulate blood, but when a heart attack occurs, the brain becomes stiff and becomes damaged.",,,
400,"""",,,
401,My heart is beating again and my blood circulates back into my head.,,,
402,It shocks the heart and makes it beat again,,,
403,This is because blood circulation is good when the heart beats.,,,
404,Because it makes the heart beat and makes the heart beat and blood circulation.,,,
405,"Cardiopulmonary resuscitation that helps blood circulation by compressing the heart so that blood can be delivered to the brain, can prevent brain damage.",,,
406,Blood circulates well because it compresses the heart.,,,
407,in order to secure the airway,,,
408,"This is because when the heart beats, it becomes a total circulation from the heart to the brain.",,,
409,"Since blood cells enter and exit the heart, cardiopulmonary resuscitation is performed to help the movement of the gall fluid smoothly.",,,
410,"Since the center of blood circulation is the heart, if the heart is pressed to circulate, blood circulates in the brain.",,,
411,"There is a golden time after a heart attack, and after that golden time, the brain gradually begins to get damaged. Cardiopulmonary resuscitation can prevent brain damage.",,,
412,This is because blood is supplied again.,,,
413,Cardiopulmonary resuscitation can prevent brain damage by moving the body and circulating the blood widely because the blood is pushy around the heart,,,
414,Sympesosymbiosis leads to blood circulation,,,
415,The reason why it can prevent brain damage is that the brain hardens after the golden time. Cardiopulmonary resuscitation is what makes the heart beat so that the blood works Cardiopulmonary resuscitation will cause blood to flow and prevent the brain from hardening.,,,
416,"It's because if you harm cardiopulmonary resuscitation, blood circulates and transmits it to the brain",,,
417,It's because blood doesn't go to the head.,,,
418,"The heart is an important organ that supplies blood to our bodies. If this organ stops, the whole body's blood nucleus circulation stops, which can cause brain damage. However, CPR can prevent brain damage by circulating the heart's blood.",,,
419,Because it can deliver oxygen,,,
420,"Compression of the paralyzed heart by CPR does not stop the circulation of the whole body, which can deliver oxygen to the brain",,,
421,It provides air to prevent brain damage,,,
422,It makes your heart beat with your hands and makes your blood circulate,,,
423,It pumps the heart and artificially circulates the blood,,,
424,It makes my heart race,,,
425,Because it compresses the chest and sends blood to the brain,,,
426,This is because CPR allows blood in the heart to rise to the brain under the pressure of CPR.,,,
427,"The heart slows down due to a heart attack, which does not actively circulate blood in the body, so it promotes blood circulation through heart pressure through cardiopulmonary resuscitation and makes it active.",,,
428,Pressure on the heart causes blood to be supplied to the brain.,,,
429,Cardiopulmonary resuscitation can prevent brain damage because blood is supplied from the heart faster,,,
430,"Because the blood is not circulating, it puts pressure on the heart and allows the veins to flow well, so it can prevent brain damage",,,
431,It keeps pressing the heart repeatedly and sends blood to the head to prevent brain damage,,,
432,It stimulates the heart,,,
433,Heart,,,
434,"If you don't have blood circulation, the cells in your brain die. However, CPR like the stomach can prevent brain damage by causing blood circulation.",,,
435,It is to apply pressure to the heart when the heart is not beating so that it can flow through the blood.,,,
436,It allows blood to circulate from the heart to the brain,,,
437,"Since the heart has stopped, it is difficult to supply blood to the body, so simpesosynthesis is performed to squeeze blood from the heart. Then oxygen and blood are supplied to the brain to prevent brain damage.",,,
438,"""My heart pumps and supplies blood to my whole body, so if I do CPR,",,,
439,"It pumps the heart at random, so it's able to pump it all over your body",,,
440,"It's because you lose.""",,,
441,It can prevent brain damage because it helps the heart contract and relax so that blood can reach the brain.,,,
442,Maybe the heart and the brain are connected,,,
443,"Since the heart has a ventricle and atrium through which blood circulates, CPR circulates blood and prevents cerebral blood vessels from clogging.",,,
444,"Cardiopulmonary resuscitation seems to be able to supply blood to the brain by applying pressure to the heart and forcing blood circulation. Since blood comes out of the heart, circulates throughout the body, and returns to the heart, CPR will circulate blood to the brain.",,,
445,.,,,
446,"By performing CPR, the heart and lungs are stimulated and blood and oxygen are supplied to the brain to prevent brain damage.",,,
447,"If the brain is not oxygenated, brain damage can occur in a short period of time. To prevent this, cardiopulmonary resuscitation is performed because the blood circulates throughout the body, that is, to the heart, and in this process, oxygen is also transmitted. Therefore, thanks to the oxygen supplied through CPR, brain damage can be prevented.",,,
448,"The human body is made up of all organs in circulation, and when you breathe in by giving a rebound to the heart and lungs, the brain also moves, breathing small and preventing brain damage.",,,
449,It makes your heart beat. It makes your brain come alive,,,
450,This is because the heart stopped during cardiopulmonary resuscitation so that blood circulation can be improved and blood is sent to the brain,,,
451,"When a heart attack occurs, the heart fails to function properly and cannot beat, so the act of pressing with your hands helps the heart beat, which can spread blood from the heart to the whole body again. So CPR can prevent brain damage.",,,
452,I don't know.,,,
453,"If a person does not breathe, there is no air supply to the brain, which causes brain damage. CPR can reduce brain damage by supplying air to the brain",,,
454,It's supplied to the brain,,,
455,Blood needs to flow to get air,,,
456,"If oxygen does not go to the brain, brain damage occurs, but if the heart does not beat, oxygen does not go, so CPR is performed.",,,
457,This is because the brain exercises only when blood circulation occurs,,,
458,Cardiopulmonary resuscitation can prevent brain damage because it supplies blood to the brain and oxygen in the blood is also supplied to the brain.,,,
459,I don't know,,,
460,Because it won't stop my heart,,,
461,I don't know.,,,
462,"When a heart attack occurs, the heart that circulates blood cannot work, so blood does not circulate, which can cause damage to the head.",,,
463,"Hemoglobin in the blood combines with oxygen and carries oxygen to the brain and the whole body when circulating blood. Therefore, re-supplying oxygen to the brain through CPR can prevent brain damage.",,,
464,"My heart is beating, so my body is bleeding",,,
465,"Cardiopulmonary resuscitation marks the heart, making it easier for the body's blood to circulate",,,
466,"This seems to be because CPR can pressure the heart as if it were beating, which can prevent blood from being supplied to the brain by active circulation.",,,
467,Because it allows you to breathe.,,,
468,"""God's Touch""",,,
469,"""",,,
470,"The reason for brain damage is that blood circulation is poor and oxygen supplied to the brain is insufficient, so cardiopulmonary resuscitation can be performed to supply oxygen to the brain.",,,
471,"""If you press the heart, the blood will turn again, so it seems like you're doing CPR",,,
472,"""",,,
473,Cardiopulmonary resuscitation can prevent blood circulation back to the brain.,,,
474,"By pressing the heart, oxygen can be contained in the blood and carried to the brain and various organs to prevent brain damage.",,,
475,I don't know.,,,
476,"If the heart that supplies blood stops and blood circulates to the brain, it will cause brain damage, so it stimulates the heart to circulate blood",,,
477,"The heart is supposed to oxygenate the head, but the heart stops and CPR is done",,,
478,"Blood carries oxygen, and if blood is not supplied to the brain, oxygen is also not supplied to the brain, which can cause serious damage to the brain.",,,
479,"When the heart is paralyzed, blood does not circulate, so blood is not supplied to the brain, and oxygen is not supplied, causing brain damage. At this time, CPR can prevent brain damage by making the heart beat again.",,,
480,"The activity of sending blood to the whole body and then returning to the heart as the heart beats is called blood circulation, which supplies blood to the brain, but the human brain uses blood very much, so the brain is damaged first when it is in cardiac arrest.",,,
481,Cardiopulmonary resuscitation can prevent brain damage due to lack of oxygen in the brain by supplying blood to the entire body.,,,
482,"Blood circulates in our bodies and supplies our bodies with the nutrients or oxygen they need. If oxygen is not supplied to the brain during ash, brain cells are damaged. The heart acts like a pump and circulates blood through our bodies. Since the heart cannot beat on its own during a heart attack, it presses the heart from the outside and circulates the body's blood.",,,
483,"Since the heart is suddenly stopped, cardiopulmonary resuscitation is performed to connect the brain and the heart, and blood is not moved to the brain, so blood is supplied through CPR.",,,
484,It supplies oxygen by external force.,,,
485,"Cardiopulmonary resuscitation is a process that causes the stopped heart to beat passively, and it continues to supply blood to the brain by maintaining blood circulation. In other words, it supplies oxygen to the brain. Without oxygen in the brain, brain damage occurs, and CPR prevents it, which can prevent brain damage.",,,
486,It is because it sends blood to the whole body.,,,
487,It prevents brain damage by allowing blood to travel normally to the brain.,,,
488,"When the heart is pressed, the heart contracts and circulates blood to supply oxygen to the brain.",,,
489,"Cardiopulmonary resuscitation compresses the heart and damages some blood. As a result, oxygen is supplied to the brain through the blood to prevent brain damage.",,,
490,"artificially beating the heart, circulating the blood, supplying oxygen to the brain",,,
491,It circulates blood through CPR and delivers oxygen to the brain.,,,
492,"This is because CPR induces blood circulation, which also supplies oxygen to the brain.",,,
493,It delivers blood throughout the body.,,,
494,"This is because it regenerates the heartbeat through CPR, causing blood circulation to the entire body, and blood is supplied to the brain.When you have a heart attack, your heart doesn't beat and blood doesn't go to your brain, because it manually presses your heart to send blood to your brain and circulates blood",,,
495,Because I have a seizure,,,
496,I don't know.,,,
497,"The heart is the center of blood circulation, and if you have a heart attack, your blood circulation may stop and you may suffer brain damage",,,
498,"The heart needs to beat in order to circulate blood, but when a heart attack occurs, the brain becomes stiff and becomes damaged.",,,
499,"""",,,
500,My heart is beating again and my blood circulates back into my head.,,,
501,It shocks the heart and makes it beat again,,,
502,This is because blood circulation is good when the heart beats.,,,
503,Because it makes the heart beat and makes the heart beat and blood circulation.,,,
504,"Cardiopulmonary resuscitation that helps blood circulation by compressing the heart so that blood can be delivered to the brain, can prevent brain damage.",,,
505,Blood circulates well because it compresses the heart.,,,
506,in order to secure the airway,,,
507,"This is because when the heart beats, it becomes a total circulation from the heart to the brain.",,,
508,"Since blood cells enter and exit the heart, cardiopulmonary resuscitation is performed to help the movement of the gall fluid smoothly.",,,
509,"Since the center of blood circulation is the heart, if the heart is pressed to circulate, blood circulates in the brain.",,,
510,"There is a golden time after a heart attack, and after that golden time, the brain gradually begins to get damaged. Cardiopulmonary resuscitation can prevent brain damage.",,,
511,This is because blood is supplied again.,,,
512,Cardiopulmonary resuscitation can prevent brain damage by moving the body and circulating the blood widely because the blood is pushy around the heart,,,
513,Sympesosymbiosis leads to blood circulation,,,
514,The reason why it can prevent brain damage is that the brain hardens after the golden time. Cardiopulmonary resuscitation is what makes the heart beat so that the blood works Cardiopulmonary resuscitation will cause blood to flow and prevent the brain from hardening.,,,
515,"It's because if you harm cardiopulmonary resuscitation, blood circulates and transmits it to the brain",,,
516,It's because blood doesn't go to the head.,,,
517,"The heart is an important organ that supplies blood to our bodies. If this organ stops, the whole body's blood nucleus circulation stops, which can cause brain damage. However, CPR can prevent brain damage by circulating the heart's blood.",,,
518,Because it can deliver oxygen,,,
519,"Compression of the paralyzed heart by CPR does not stop the circulation of the whole body, which can deliver oxygen to the brain",,,
520,It provides air to prevent brain damage,,,
521,It makes your heart beat with your hands and makes your blood circulate,,,
522,It pumps the heart and artificially circulates the blood,,,
523,It makes my heart race,,,
524,Because it compresses the chest and sends blood to the brain,,,
525,This is because CPR allows blood in the heart to rise to the brain under the pressure of CPR.,,,
526,"The heart slows down due to a heart attack, which does not actively circulate blood in the body, so it promotes blood circulation through heart pressure through cardiopulmonary resuscitation and makes it active.",,,
527,Pressure on the heart causes blood to be supplied to the brain.,,,
528,Cardiopulmonary resuscitation can prevent brain damage because blood is supplied from the heart faster,,,
529,"Because the blood is not circulating, it puts pressure on the heart and allows the veins to flow well, so it can prevent brain damage",,,
530,It keeps pressing the heart repeatedly and sends blood to the head to prevent brain damage,,,
531,It stimulates the heart,,,
532,Heart,,,
533,"If you don't have blood circulation, the cells in your brain die. However, CPR like the stomach can prevent brain damage by causing blood circulation.",,,
534,It is to apply pressure to the heart when the heart is not beating so that it can flow through the blood.,,,
535,It allows blood to circulate from the heart to the brain,,,
536,"Since the heart has stopped, it is difficult to supply blood to the body, so simpesosynthesis is performed to squeeze blood from the heart. Then oxygen and blood are supplied to the brain to prevent brain damage.",,,
537,"""My heart pumps and supplies blood to my whole body, so if I do CPR,",,,
538,"It pumps the heart at random, so it's able to pump it all over your body",,,
539,"It's because you lose.""",,,
540,It can prevent brain damage because it helps the heart contract and relax so that blood can reach the brain.,,,
541,Maybe the heart and the brain are connected,,,
542,"Since the heart has a ventricle and atrium through which blood circulates, CPR circulates blood and prevents cerebral blood vessels from clogging.",,,
543,"Cardiopulmonary resuscitation seems to be able to supply blood to the brain by applying pressure to the heart and forcing blood circulation. Since blood comes out of the heart, circulates throughout the body, and returns to the heart, CPR will circulate blood to the brain.",,,
544,.,,,
545,"By performing CPR, the heart and lungs are stimulated and blood and oxygen are supplied to the brain to prevent brain damage.",,,
546,"If the brain is not oxygenated, brain damage can occur in a short period of time. To prevent this, cardiopulmonary resuscitation is performed because the blood circulates throughout the body, that is, to the heart, and in this process, oxygen is also transmitted. Therefore, thanks to the oxygen supplied through CPR, brain damage can be prevented.",,,
547,"The human body is made up of all organs in circulation, and when you breathe in by giving a rebound to the heart and lungs, the brain also moves, breathing small and preventing brain damage.",,,
548,It makes your heart beat. It makes your brain come alive,,,
549,This is because the heart stopped during cardiopulmonary resuscitation so that blood circulation can be improved and blood is sent to the brain,,,
550,"When a heart attack occurs, the heart fails to function properly and cannot beat, so the act of pressing with your hands helps the heart beat, which can spread blood from the heart to the whole body again. So CPR can prevent brain damage.",,,
551,I don't know.,,,
552,"If a person does not breathe, there is no air supply to the brain, which causes brain damage. CPR can reduce brain damage by supplying air to the brain",,,
553,It's supplied to the brain,,,
554,Blood needs to flow to get air,,,
555,"If oxygen does not go to the brain, brain damage occurs, but if the heart does not beat, oxygen does not go, so CPR is performed.",,,
556,This is because the brain exercises only when blood circulation occurs,,,
557,Cardiopulmonary resuscitation can prevent brain damage because it supplies blood to the brain and oxygen in the blood is also supplied to the brain.,,,
558,I don't know,,,
559,Because it won't stop my heart,,,
560,I don't know.,,,
561,"When a heart attack occurs, the heart that circulates blood cannot work, so blood does not circulate, which can cause damage to the head.",,,
562,"Hemoglobin in the blood combines with oxygen and carries oxygen to the brain and the whole body when circulating blood. Therefore, re-supplying oxygen to the brain through CPR can prevent brain damage.",,,
563,"My heart is beating, so my body is bleeding",,,
564,"Cardiopulmonary resuscitation marks the heart, making it easier for the body's blood to circulate",,,
565,"This seems to be because CPR can pressure the heart as if it were beating, which can prevent blood from being supplied to the brain by active circulation.",,,
566,Because it allows you to breathe.,,,
567,"""God's Touch""",,,
568,"""",,,
569,"The reason for brain damage is that blood circulation is poor and oxygen supplied to the brain is insufficient, so cardiopulmonary resuscitation can be performed to supply oxygen to the brain.",,,
570,"""If you press the heart, the blood will turn again, so it seems like you're doing CPR",,,
571,"""",,,
572,Cardiopulmonary resuscitation can prevent blood circulation back to the brain.,,,
573,"By pressing the heart, oxygen can be contained in the blood and carried to the brain and various organs to prevent brain damage.",,,
574,I don't know.,,,
575,"If the heart that supplies blood stops and blood circulates to the brain, it will cause brain damage, so it stimulates the heart to circulate blood",,,
576,"The heart is supposed to oxygenate the head, but the heart stops and CPR is done",,,
577,"Blood carries oxygen, and if blood is not supplied to the brain, oxygen is also not supplied to the brain, which can cause serious damage to the brain.",,,
578,"When the heart is paralyzed, blood does not circulate, so blood is not supplied to the brain, and oxygen is not supplied, causing brain damage. At this time, CPR can prevent brain damage by making the heart beat again.",,,
579,"The activity of sending blood to the whole body and then returning to the heart as the heart beats is called blood circulation, which supplies blood to the brain, but the human brain uses blood very much, so the brain is damaged first when it is in cardiac arrest.",,,
580,Cardiopulmonary resuscitation can prevent brain damage due to lack of oxygen in the brain by supplying blood to the entire body.,,,
581,"Blood circulates in our bodies and supplies our bodies with the nutrients or oxygen they need. If oxygen is not supplied to the brain during ash, brain cells are damaged. The heart acts like a pump and circulates blood through our bodies. Since the heart cannot beat on its own during a heart attack, it presses the heart from the outside and circulates the body's blood.",,,
582,"Since the heart is suddenly stopped, cardiopulmonary resuscitation is performed to connect the brain and the heart, and blood is not moved to the brain, so blood is supplied through CPR.",,,
583,It supplies oxygen by external force.,,,
584,"Cardiopulmonary resuscitation is a process that causes the stopped heart to beat passively, and it continues to supply blood to the brain by maintaining blood circulation. In other words, it supplies oxygen to the brain. Without oxygen in the brain, brain damage occurs, and CPR prevents it, which can prevent brain damage.",,,
585,It is because it sends blood to the whole body.,,,
586,It prevents brain damage by allowing blood to travel normally to the brain.,,,
587,"When the heart is pressed, the heart contracts and circulates blood to supply oxygen to the brain.",,,
588,"Cardiopulmonary resuscitation compresses the heart and damages some blood. As a result, oxygen is supplied to the brain through the blood to prevent brain damage.",,,
589,"artificially beating the heart, circulating the blood, supplying oxygen to the brain",,,
590,It circulates blood through CPR and delivers oxygen to the brain.,,,
591,"This is because CPR induces blood circulation, which also supplies oxygen to the brain.",,,
592,It delivers blood throughout the body.,,,
593,"This is because it regenerates the heartbeat through CPR, causing blood circulation to the entire body, and blood is supplied to the brain.Brain damage occurs when blood circulates into the brain and oxygen is not supplied. Therefore, when a heart attack occurs, blood circulation does not occur, and blood oxygen is not supplied to the brain, brain damage occurs, so CPR should be performed to force the heart to beat.",,,
594,"In order for the brain to function normally, a lot of oxygen is needed, but when the heart stops and breathing stops, oxygen transport through the blood is not carried, so the brain cells do not receive oxygen and the brain cells die. However, when the heart rate resumes through CPR, the brain receives oxygen to prevent brain cells from dying.",,,
595,"Cardiopulmonary resuscitation can prevent brain damage because it artificially circulates blood through chest compression, artificial respiration, and defibrillation while the heart is stationary, delaying brain damage and helping the heart recover from rest.",,,
596,"When a heart attack occurs, oxygen in the tissue is rapidly consumed over time, which causes tissue damage. Cardiopulmonary resuscitation compresses the heart by compressing the heart and forcibly circulates the blood, continuously supplying oxygen to the tissue to prevent tissue damage.",,,
597,"A heart attack is a situation in which the heart stops working. The heart is responsible for circulating blood throughout the body, and if the heart stops working, the blood will not circulate. An antibody called hemoglobin in the blood functions to transport oxygen, but blood cannot circulate, which means that oxygen is not transported. In that way, the brain is not supplied with enough oxygen, resulting in brain damage. Therefore, if the blood is circulated through cardiopulmonary resuscitation instead of the heart, oxygen can be supplied to the brain to prevent brain damage.",,,
598,"This is because compressing the paralyzed heart through CPR does not stop the circulation of the body throughout the body, so oxygen can be supplied to the brain.",,,
599,"""If there is a cardiac arrest, the heart will not beat, causing problems in the blood circulation of the patient's body.",,,
600,"The brain, far away from the heart, has an important influence on human activity",,,
601,"If there's a cardiac arrest, there's a disruption in the blood supply to the brain, and there's a problem with the oxygen supply in the",,,
602,"It happens and it leads to brain damage. So if you do CPR,",,,
603,"Because it can artificially supply oxygen to the brain, CPR can prevent brain damage",,,
604,"There is.""",,,
605,"Cardiopulmonary resuscitation allows heart movement to continue without stopping. If the heart does not stop exercising, the blood circulation will continue without stopping, and oxygen will be supplied to the brain through blood circulation. Then, brain damage will not occur and the patient can be saved.",,,
606,This is because it can provide oxygen to the patient's body and brain by breathing indirectly through CPR,,,
607,"Blood circulation is when the heart beats, blood spreads throughout the body, and old blood comes out clean again, and when a heart attack occurs, such activity stops and brain damage occurs.However, when CPR is performed at this time, the heart moves as if the heart were beating.Then the blood spreads throughout the body again and can prevent brain damage.",,,
608,"Cardiopulmonary resuscitation is a very important first aid that supplies oxygenated blood to the heart and brain instead of a stationary heart. If a patient collapsed due to a sudden cardiac arrest, the patient should immediately compress the heart and circulate blood as quickly as possible to supply oxygen to the brain.",,,
609,"By compressing the chest, air in the lungs can be exchanged, and blood can be sent to the brain by squeezing out the heart.",,,
610,It is to let the blood flow.,,,
611,"""to make your heart beat and blood circulation",,,
612,"""",,,
613,This is because blood can be pumped and circulated.,,,
614,"When CPR is performed, blood circulates while pressing our bodies.",,,
615,Aaaaaaaah,,,
616,Cardiopulmonary resuscitation can prevent brain damage as blood carries oxygen to the brain.,,,
617,"When the heart stops and blood is not supplied to the whole body, cardiopulmonary resuscitation forces the heart to pump, causing blood to circulate throughout the body.",,,
618,"This is because cardiopulmonary resuscitation can have a similar effect as the heart beating, which can supply oxygen to the brain.",,,
619,"""Cardiopulmonary resuscitation can cause oxygen to carry blood to the brain",,,
620,"""",,,
621,"When blood flow to the brain stops, brain damage begins to occur from four minutes, and CPR can cause blood flow to move again, preventing brain damage.",,,
622,"When the heart stops, the blood doesn't circulate to the brain and the brain doesn't function again",,,
623,"By pressing the heart through simpesosynthesis, the heart can have a beating effect. It can have the effect of beating the heart, so it can send blood to the whole body. Blood red blood cells carry oxygen to the brain, which can prevent brain damage.",,,
624,"The blood travels with oxygen, and the part that we press when we do CPR is the heart, which is where all the blood passes because it moves all over the body and supplies oxygen to the brain",,,
625,"When the heart stops due to cardiac arrest, blood does not circulate to the brain, which prevents the brain from functioning properly, thereby preventing brain damage by circulating blood through CPR.",,,
626,???????,,,
627,Cardiopulmonary resuscitation presses the heart and sends blood to the brain,,,
628,It's because cardiopulmonary resuscitation helps the body circulate blood,,,
629,"Since blood flows to the brain, CPR circulates to the brain and improves the brain.",,,
630,I don't know.,,,
631,"The brain needs oxygen to move the brain, which can prevent damage to the brain because oxygen enters the whole body through parenchyma resuscitation.",,,
632,Prevent brain cell damage by continuously supplying oxygen to the brain that requires a lot of oxygen,,,
633,"When blood circulation stops, the brain is damaged due to a lack of oxygen supplied to the brain, but cardiopulmonary resuscitation prevents brain damage because it can continue to supply blood.",,,
634,Compression of the heart enables oxygenation to the brain.,,,
635,It supplies blood to the brain to prevent cell death of brain cells.,,,
636,This is because it shocks the heart and increases the speed of blood circulation.,,,
637,The air goes into the blood,,,
638,an ancient past life,,,
639,Cardiopulmonary resuscitation can prevent brain damage because blood circulates to the heart and supplies blood to the brain.,,,
640,It gives oxygen to the brain,,,
641,Pumps the heart and carries blood throughout the body,,,
642,Cardiopulmonary resuscitation allows the entire body to flow well so that blood circulation is artificially good.,,,
643,It makes your heart beat fast,,,
644,Because it gives oxygen to the brain,,,
645,"""When the heart stops, blood circulation stops, which causes brain damage because blood is not supplied to the brain",,,
646,Cardiopulmonary resuscitation can help supply blood and prevent brain damage,,,
647,It can prevent brain damage by supplying oxygen to the brain.,,,
648,.,,,
649,"Through CPR, the heart is pressed to act as the original heart, causing blood to circulate throughout the body.",,,
650,"The blood supply, which is the main cause of brain damage, can be solved by blurring the blood.",,,
651,It seems to apply pressure to the heart to allow blood to flow from the heart to the body.,,,
652,"When the supply of blood to the brain is stopped, brain damage occurs, and if first aid is provided quickly and blood is supplied artificially, brain damage can be prevented.",,,
653,Helps blood circulation to the brain,,,
654,"As the heart beats, oxygen is supplied to the brain.",,,
655,a supply of oxygen to the brain,,,
656,the supply of oxygen through the blood circulation,,,
657,"It can circulate blood, so oxygen can be transferred to the brain through blood, so damage can be prevented.",,,
658,"Cardiopulmonary resuscitation compresses the heart and increases blood circulation, increasing blood directed to the brain. It prevents brain damage by increasing oxygen supplied to the brain through the blood.",,,
659,oxygenation,,,
660,Circulate the heat fluid.,,,
661,It has a strong impact on the heart and supplies blood to the brain.,,,
662,"By using human power to circulate blood, the brain can be constantly supplied with oxygen",,,
663,"Oxygen is supplied to the brain, enabling brain cell survival.",,,
664,Blood circulation to the brain can occur and supply oxygen to the brain.,,,
665,The heart that is lost in the event of a cardiac arrest circulates blood throughout the body instead of functioning.,,,
666,"When the heart and intestines are artificially pumped through cardiac resuscitation, blood escapes from the heart, blood circulation occurs, and oxygen is supplied to the brain.",,,
667,"It puts pressure on the heart, so the heart beats and blood circulates.",,,
668,"When blood circulation stops, brain damage occurs. Therefore, if the blood is purified by pressing the heart, brain damage can be prevented.",,,
669,Cardiopulmonary resuscitation prevents damage to the brain by sending blood from the heart to the brain.,,,
670,Cardiopulmonary resuscitation circulates the blood by giving the effect of beating the heart instead.,,,
671,"It forces the heart to act as a pump, causing blood circulation.",,,
672,Cardiopulmonary resuscitation prevents brain damage to allow blood to circulate because it allows the stopped heart to contract and relax artificially,,,
673,It is because the heart does not work and the blood in the brain is insufficient.,,,
674,This is because CPR can stimulate the heart and supply blood to the brain.,,,
675,The heart carries blood. Transporting blood can cause oxygen in the blood to move to the brain and prevent brain damage.,,,
676,We need to secure the airway and keep the legs above the heart,,,
677,Pump it up and let the blood touch the head,,,
678,This is because it compresses the heart so that blood can be continuously supplied to the brain.,,,
679,"Cardiopulmonary resuscitation puts pressure on the heart, which moves the heart and moves the blood elsewhere.",,,
680,"Pressure is applied to the atrium to trap the heartbeat, so blood in the atrium circulates through the arteries",,,
681,It pumps the heart and the blood circulates,,,
682,"When brain damage occurs, blood flowing from the heart is difficult to flow to the brain. Cardiopulmonary resuscitation improves the heartbeat and allows blood to flow to the brain.",,,
