,1) Why did the hot iron burn even though it didn't light it?,q29_Firepoint,q29_Temperature
616,"Heat reaches the ignition point of the fabric and the ignition point of the iron is not reached, so the fabric is burned",,
617,"It's because the cloth on the ironing board, not the ironing board, caught on fire",,
618,"Because there was oxygen, and the iron plate became a temperature above the ignition point, and there was a de-material called an iron plate, so all three conditions of combustion were met.",,
619,"This is because even if the temperature rises above a certain temperature, it catches fire.",,
620,This is because the steam in the iron is heated up more than the burning point of the iron plate.,,
621,Because the heat is transferred to the iron plate,,
622,This is because it received high heat in a continuously narrow range.,,
623,This is because heat was applied to the iron plate and the temperature was as high as the fire.,,
624,I'll put a hot iron,,
625,I don't know,,
626,"Because the iron is hot,",,
627,The temperature of the iron plate exceeded the ignition point,,
628,This is because the iron plate has crossed the ignition point.,,
629,"There was a de-material called an iron plate, and as the iron was continuously heated, the temperature increased to a temperature above the firing point, so the iron plate burned.",,
630,"This is because enough heat is supplied, enough oxygen exists to burn the substance, and de-materials exist.",,
631,It's because the cloth has reached the burnable temperature,,
632,Let's see. Sexy,,
633,This is because the iron plate has a higher bong point than the cloth.,,
634,I think the iron is burning because of the heat.,,
635,Because the heat is heated in a state of heat dissipation,,
636,"It is because the temperature of the water is high, although the fire may not occur well.",,
637,"If the cotton fabric continues to receive heat for a certain amount of time, it will catch fire",,
638,"Due to the temperature above the ignition point,",,
639,"Since the iron applied heat to the cloth of a certain area for a long time, the cloth lost its characteristics to maintain the state, and a fire occurred when it met oxygen in the air.",,
640,Because the iron plate was already hot,,
641,It's because the iron produces heat,,
642,"The heat of the hot iron is getting hotter and hotter, so it seems to have burned.",,
643,The reason is that the heat of the iron remained the same.,,
644,It's made of fabric,,
645,"As strong heat energy was supplied, oxygen was blocked, creating an environment in which fire could catch fire.",,
646,The heat on the ironing board is gone,,
647,The bottom of the iron is still hot,,
648,There's heat on the iron,,
649,"This is because there are de-materials and oxygen, and the temperature is above the ignition point.",,
650,This is because the conduction heat of the iron is higher than the temperature of the combustion point of the fabric and the fabric is burned.,,
651,It's getting heated up,,
652,This is because electrical energy has been converted into thermal energy.,,
653,The high temperature of the iron burned the iron plate.,,
654,"The fabric was burned out, so the iron plate under the fabric was used to keep the fire burning, so the iron plate was also burned.",,
655,The reason why the iron plate was on fire was that the hot iron was not cooled down and was placed directly on the iron plate.,,
656,"It is because the electrical cord is operated without removing it, and then it is placed on the clothes.",,
657,"This is because the heat generated from the iron is continuously transferred to the iron plate, and the temperature of the iron plate is high enough to burn.",,
658,Because of the heat,,
659,The hot heat caused the iron to burn,,
660,"Because of the heat of the iron,",,
661,"There must be oxygen and hot objects to catch fire.However, there is oxygen and hot objects on the iron plate, so there is a fire.",,
662,Because the iron plate is cloth.,,
663,"The heat kept coming out of the iron, and the heat burned the cloth.",,
664,"The reason why the iron gets hot is that it puts water inside and allows water to heat up, so that some moisture and carbon dioxide combine to create a fire",,
665,It's hot,,
666,"The hot iron was in the cloth for a long time and the heat of the iron moved to the cloth, causing the fire",,
667,"Because of the heat of the iron,",,
668,The heat energy of the iron came out and the cloth burned,,
669,The heat is generated by electricity,,
670,"Heat energy (hot iron) continued to touch a cloth that was easy to transfer heat, so heat was transferred and burned.",,
671,"This is because if heat is continuously concentrated in one place, it causes a fire.",,
672,"If a hot temperature is applied to the point where it is on fire even if it does not catch fire, particles of an object are destroyed by high heat, and particles around it are destroyed, so that they burn as they grow in size.",,
673,burn with a lot of heat,,
674,It's because it doesn't rise to the temperature of the fire.,,
675,Seongsu is the best,,
676,It's hot,,
677,beyond the point of burning,,
678,"When the temperature rises above the ignition point, the network burns",,
679,The temperature goes up above the ignition point,,
680,"Because the iron is heated,",,
681,It is because of the heat of the iron.,,
682,"Because the iron made the temperature of the fabric above the ignition point,",,
683,We reached the point of ignition,,
684,It's at the burning temperature,,
685,"You get to the ignition point, you meet oxygen,",,
686,This is because the minimum temperature of the fire was met and energy as much as the temperature was increased,,
687,The temperature went up,,
688,The heat is continuously applied,,
689,"The fabric catches fire easily, but if you keep pressing it with an iron, the temperature goes up and it catches fire",,
690,The iron plate is hot and causes a fire.,,
691,"This is because the temperature, which is the burning point of the iron plate, was reached by an iron.",,
692,It's because the temperature went up above the ignition pointThe temperature went up,,
693,The hot iron caught fire beyond a certain temperature,,
694,The temperature went up,,
695,This is because it has exceeded a certain temperature that can cause a fire.,,
696,"""I've reached the point of ignition",,
697,"""",,
698,"Irons are used for clothing because of the hot temperature, which causes the temperature to rise above the ignition point and burn",,
699,It's on top of the cloth,,
700,The hot iron would have caught fire easily because of its high heat.,,
701,"""Because the ironing board is hot",,
702,"Or I think there's something that catches fire or something that might catch fire.""",,
703,It's heated up and slowly starts to burn,,
704,heat conduction occurs,,
705,"The iron was heated by heat on the bottom of the iron and the iron became hot, causing the iron to burn. And it's heated to a temperature above the ignition point",,
706,"As the temperature of the iron gradually increased, it seems to have caught fire because it exceeded the ignition point of the iron plate.",,
707,Because the hot iron already has heat,,
708,Because the iron is already hot.,,
709,"It's because the more you have an iron, the hotter it gets",,
710,"""The temperature of the hot iron reaches the cloth, and the temperature of the cloth rises to the point of ignition of the cloth",,
711,"I got on.""",,
712,"The heat on the hot iron is heated on the iron plate, which causes a fire.",,
713,A hot iron will easily catch fire because of its high heat,,
714,"The iron had a temperature above the ignition point, so the iron plate caught fire",,
715,This is because the temperature of the iron touching the iron plate exceeded the ignition point of the iron plate.,,
716,The temperature of the iron is above the ignition point,,
717,"This is because when an iron touches the cloth for a long time while there is a temperature, the cloth also heats up.",,
718,The hot iron heats the cloth iron plate and burns the iron plate,,
719,"It was burned because there was hot heat, dehydration, and air",,
720,"The heat on the iron heats the cloth, causing the temperature to rise more than the original temperature of the cloth and ignite the cloth.",,
721,"This is because the iron on the iron plate was heated and the temperature increased, and the iron caught fire and caught fire on the iron plate.",,
722,"""Each substance has an ignition point. When a certain amount of ignition point temperature is reached,",,
723,"It gets too hot to catch fire.""",,
724,"In the condition of catching fire, there needs to be de-materials, temperatures above the ignition point, and oxygen to catch fire, but by leaving the iron plate as it is, it becomes a temperature above the ignition point and catches fire.",,
725,"Irons use electricity, but electricity becomes energy, which causes materials to burn.",,
726,The temperature of the iron was so high that it burned,,
727,"When the iron heats up, wood paper burns",,
728,Because it went up on the ignition point and caught fire.,,
729,The plate on which the hot iron was placed was burned by the hot heat.,,
730,"The iron sends out heat, and oxygen and heat meet and catch fire.",,
731,"The hot iron provided the iron plate with a temperature above the ignition point of the iron plate, causing the iron plate to catch fire",,
732,The iron part on the bottom of the iron is heated and the iron part becomes hot and the iron plate burns,,
733,The fabric caught fire and the fire was carried away,,
734,The heat transferred and caught fire,,
735,The heat transferred and caught fire,,
736,I don't know,,
737,It depends on the burning point,,
738,It's because the heat is too hot,,
739,"If oxygen is present and desiccant is present, it can be burned",,
740,"Because of the fabric, the fabric burns easily, so if the hot iron stays on the iron plate, the temperature will rise and fire",,
741,I don't know.,,
742,This is because the temperature of the iron was high and dry.,,
743,This is because the temperature of the iron was high and dry.,,
744,It's because the temperature has risen,,
745,heat conduction,,
746,"""The heat of the cloth and the heat of the iron are the same",,
747,"The power to endure is different.""",,
748,It burns because of heat conduction,,
749,"There's a hot iron, so it's heated up",,
750,This is because contacting cloth-like cotton materials at hot temperatures increases the temperature.,,
751,I was so heated by the heat,,
752,I don't know,,
753,I don't know.,,
754,Mullayoung,,
755,The temperature goes up higher than the burning point,,
756,Firing due to heat,,
757,The iron is too hot,,
758,The temperature is higher than the ignition point,,
759,a hot fever,,
760,There needs to be oxygen,,
761,"The temperature is high, so it's beyond the boiling point",,
762,I don't know,,
763,Thermal conduction,,
764,It's blocked,,
765,Temperature rises and heats up leaving a fire,,
766,The conditions of the temperature reached the burning temperature by the temperature of the iron and the condition that oxygen in the air was needed were both satisfied and caught fire.,,
767,"The iron is heated to a high temperature, when the heat is concentrated on the cloth and it burns",,
768,This is because the temperature of the cloth has reached its limit.,,
769,The fabric caught fire because of the high temperature.,,
770,"If you reach the boiling point of the iron plate, the object is going to be liquid and the iron plate burns",,
771,"As the iron heated up, the heat energy that it could have was exceeded, so it was transferred to the iron plate and the fire started",,
772,"Because if you have a fever, you get a fire",,
773,"The temperature of the cloth has increased, so I think it is because of...?",,
774,We reached the point of ignition,,
775,"Heat of the hot iron is transferred to a cloth with a relatively low temperature by conduction, and the cloth is burned by reaching a temperature above the firing point.",,
776,"There was temperature above the ignition point, de-materials, and oxygen",,
777,The temperature of the iron plate was higher than the ignition point due to the heat,,
778,"This is because heat is conducted from the iron to the iron plate, so the temperature of the iron plate rose above the ignition point.",,
779,Because the temperature is above the ignition point.,,
780,at a temperature above the ignition point,,
781,"Since the iron plate has reached a temperature above the ignition point,",,
782,It's hot,,
783,The temperature rises above the ignition point,,
784,a temperature above the ignition point,,
785,The iron plate burned because it kept supplying heat to maintain the temperature.,,
786,"Because the iron plate was heated,",,
787,The temperature above the ignition point is provided,,
788,We reached the point of ignition,,
789,The iron will be hot,,
790,I don't understand.,,
791,The fabric of the iron plate can't stand the heat transferred to the iron plateThe temperature went up,,
792,The hot iron caught fire beyond a certain temperature,,
793,The temperature went up,,
794,This is because it has exceeded a certain temperature that can cause a fire.,,
795,"""I've reached the point of ignition",,
796,"""",,
797,"Irons are used for clothing because of the hot temperature, which causes the temperature to rise above the ignition point and burn",,
798,It's on top of the cloth,,
799,The hot iron would have caught fire easily because of its high heat.,,
800,"""Because the ironing board is hot",,
801,"Or I think there's something that catches fire or something that might catch fire.""",,
802,It's heated up and slowly starts to burn,,
803,heat conduction occurs,,
804,"The iron was heated by heat on the bottom of the iron and the iron became hot, causing the iron to burn. And it's heated to a temperature above the ignition point",,
805,"As the temperature of the iron gradually increased, it seems to have caught fire because it exceeded the ignition point of the iron plate.",,
806,Because the hot iron already has heat,,
807,Because the iron is already hot.,,
808,"It's because the more you have an iron, the hotter it gets",,
809,"""The temperature of the hot iron reaches the cloth, and the temperature of the cloth rises to the point of ignition of the cloth",,
810,"I got on.""",,
811,"The heat on the hot iron is heated on the iron plate, which causes a fire.",,
812,A hot iron will easily catch fire because of its high heat,,
813,"The iron had a temperature above the ignition point, so the iron plate caught fire",,
814,This is because the temperature of the iron touching the iron plate exceeded the ignition point of the iron plate.,,
815,The temperature of the iron is above the ignition point,,
816,"This is because when an iron touches the cloth for a long time while there is a temperature, the cloth also heats up.",,
817,The hot iron heats the cloth iron plate and burns the iron plate,,
818,"It was burned because there was hot heat, dehydration, and air",,
819,"The heat on the iron heats the cloth, causing the temperature to rise more than the original temperature of the cloth and ignite the cloth.",,
820,"This is because the iron on the iron plate was heated and the temperature increased, and the iron caught fire and caught fire on the iron plate.",,
821,"""Each substance has an ignition point. When a certain amount of ignition point temperature is reached,",,
822,"It gets too hot to catch fire.""",,
823,"In the condition of catching fire, there needs to be de-materials, temperatures above the ignition point, and oxygen to catch fire, but by leaving the iron plate as it is, it becomes a temperature above the ignition point and catches fire.",,
824,"Irons use electricity, but electricity becomes energy, which causes materials to burn.",,
825,The temperature of the iron was so high that it burned,,
826,"When the iron heats up, wood paper burns",,
827,Because it went up on the ignition point and caught fire.,,
828,The plate on which the hot iron was placed was burned by the hot heat.,,
829,"The iron sends out heat, and oxygen and heat meet and catch fire.",,
830,"The hot iron provided the iron plate with a temperature above the ignition point of the iron plate, causing the iron plate to catch fire",,
831,The iron part on the bottom of the iron is heated and the iron part becomes hot and the iron plate burns,,
832,The fabric caught fire and the fire was carried away,,
833,The heat transferred and caught fire,,
834,The heat transferred and caught fire,,
835,I don't know,,
836,It depends on the burning point,,
837,It's because the heat is too hot,,
838,"If oxygen is present and desiccant is present, it can be burned",,
839,"Because of the fabric, the fabric burns easily, so if the hot iron stays on the iron plate, the temperature will rise and fire",,
840,I don't know.,,
841,This is because the temperature of the iron was high and dry.,,
842,This is because the temperature of the iron was high and dry.,,
843,It's because the temperature has risen,,
844,heat conduction,,
845,"""The heat of the cloth and the heat of the iron are the same",,
846,"The power to endure is different.""",,
847,It burns because of heat conduction,,
848,"There's a hot iron, so it's heated up",,
849,This is because contacting cloth-like cotton materials at hot temperatures increases the temperature.,,
850,I was so heated by the heat,,
851,I don't know,,
852,I don't know.,,
853,Mullayoung,,
854,The temperature goes up higher than the burning point,,
855,Firing due to heat,,
856,The iron is too hot,,
857,The temperature is higher than the ignition point,,
858,a hot fever,,
859,There needs to be oxygen,,
860,"The temperature is high, so it's beyond the boiling point",,
861,I don't know,,
862,Thermal conduction,,
863,It's blocked,,
864,Temperature rises and heats up leaving a fire,,
865,The conditions of the temperature reached the burning temperature by the temperature of the iron and the condition that oxygen in the air was needed were both satisfied and caught fire.,,
866,"The iron is heated to a high temperature, when the heat is concentrated on the cloth and it burns",,
867,This is because the temperature of the cloth has reached its limit.,,
868,The fabric caught fire because of the high temperature.,,
869,"If you reach the boiling point of the iron plate, the object is going to be liquid and the iron plate burns",,
870,"As the iron heated up, the heat energy that it could have was exceeded, so it was transferred to the iron plate and the fire started",,
871,"Because if you have a fever, you get a fire",,
872,"The temperature of the cloth has increased, so I think it is because of...?",,
873,We reached the point of ignition,,
874,"Heat of the hot iron is transferred to a cloth with a relatively low temperature by conduction, and the cloth is burned by reaching a temperature above the firing point.",,
875,"There was temperature above the ignition point, de-materials, and oxygen",,
876,The temperature of the iron plate was higher than the ignition point due to the heat,,
877,"This is because heat is conducted from the iron to the iron plate, so the temperature of the iron plate rose above the ignition point.",,
878,Because the temperature is above the ignition point.,,
879,at a temperature above the ignition point,,
880,"Since the iron plate has reached a temperature above the ignition point,",,
881,It's hot,,
882,The temperature rises above the ignition point,,
883,a temperature above the ignition point,,
884,The iron plate burned because it kept supplying heat to maintain the temperature.,,
885,"Because the iron plate was heated,",,
886,The temperature above the ignition point is provided,,
887,We reached the point of ignition,,
888,The iron will be hot,,
889,I don't understand.,,
890,The fabric of the iron plate can't stand the heat transferred to the iron plateThis is because the temperature of the iron kept going up because I didn't turn it off.,,
891,"It seems that the hot iron touched the iron plate and the heat was transferred, causing it to burn beyond the heating plate",,
892,a temperature above the ignition point,,
893,"The iron straightens the clothes, but if you heat them up and leave them alone or spray water, the clothes will burn.",,
894,Because the cloth went up to the temperature of the fire,,
895,The fabric sticks to the fire easily,,
896,This is because the hot iron is still on the fabric iron plate for a long time.,,
897,This is because the hot-heated iron stays on the sheet of cloth for a long time,,
898,"Under the conditions of catching fire, a temperature above the de-material, oxygen, and firing point is required, but if there is no one of them, the fire does not burn, so the fire is extinguished because it is not above the firing point when water is sprayed.",,
899,"The heat of the iron plate hovered and hovered around because it was heated up, and the fire burned",,
900,The temperature of the iron is higher than the burning point of the plate,,
901,The hot heat caused the iron to burn,,
902,The hot heat burned the iron plate.,,
903,It's because of the heat.,,
904,Because of the heat,,
905,Hot heat is constantly hit and burns.,,
906,I don't know,,
907,This is because the heat of the hot iron was transferred to the iron plate.,,
908,"Because the temperature of the iron was high, the heat of the temperature caused it to burn",,
909,The iron is hot,,
910,The temperature of the iron is high.,,
911,Don't know,,
912,Don't know,,
913,It's getting heated up,,
914,:(,,
915,My fever hasn't cooled down,,
916,Hot heat is transferred to the iron plate,,
917,.,,
918,It's because of the fever,,
919,"The ironing board is hot, too",,
920,Damiri makes the temperature rise and the temperature rise,,
921,It burns easily,,
922,Stone burns when it's hot,,
923,The iron is hot and the iron plate is made of cloth.,,
924,It's hot,,
925,It's hot,,
926,The iron is hot,,
927,The iron is getting hotter,,
928,The iron seems to have caught fire because of the high temperature.,,
929,I didn't pour water,,
930,I didn't pour water,,
931,The iron is hot,,
932,The ignition point is lower than the ironing board,,
933,The iron was so hot that the cloth iron plate caught fire,,
934,"The iron was hot, so I moved it to the iron plate, and the iron plate got hot",,
935,It's hot,,
936,"The temperature is hot, but the leg plate prevents that",,
937,The fire was too big,,
938,"The iron goes over the iron plate cloth, the ignition point,",,
939,"De-materials (cloth ironing board) and hot objects are attached together, so they catch fire even if they are not directly lit.",,
940,The temperature got too high,,
941,The temperature got too high,,
942,Because the temperature is too high,,
943,It's hot,,
944,Because it's hot,,
945,"If the ironing cloth is hot enough to catch fire, it will burn without lighting it.",,
946,I don't know.,,
947,The iron plate catches fire and burns because the iron is not turned off.,,
948,.,,
949,I don't know,,
950,??,,
951,It's a thousand,,
952,It's so dry,,
953,This is because excessively heated cloth became a catalyst and caught fire,,
954,The temperature needs to rise to the right temperature to ignite,,
955,I don't know.,,
956,The heat from the iron is transferred,,
957,"No, because I have a fever, if I continue to have a fever, I reach the ignition point.",,
958,I don't know,,
959,M and D,,
960,I don't know,,
961,It's because the temperature is higher than the burning temperature of the fabric,,
962,It's too hot,,
963,We reached the point of burning,,
964,I don't know.,,
965,Don't you think so?,,
966,"Since I applied heat to a cloth that burns easily,",,
967,"Because of the prolonged heat,",,
968,I don't know.,,
969,"Among the three elements to catch fire, oxygen de-materials and temperatures above the ignition point went up and caught fire.",,
970,This is because heat was applied even if it was not lit.,,
971,The cloth caught fire,,
972,"When heated to a certain temperature, the iron plate burns without enduring heat. This process catches fire.",,
973,I don't know.,,
974,"The cloth caught fire at temperatures above the ignition point, but the ironing board did not",,
975,This is because the iron was hot and exceeded the temperature of the ignition point.,,
976,This is because enough heat energy was supplied from the iron to the cloth to burn the cloth.,,
977,Because it's hot,,
978,The iron plate burned because it was left hot in space at room temperature because it could catch fire if there was high temperature and oxygen.,,
979,The heat of the iron is strong,,
980,Because the temperature is too high,,
981,The iron is hot,,
982,I don't know,,
983,I don't know,,
984,Cloth burns on fire,,
985,The fire moved,,
986,I don't know,,
987,I don't know,,
988,The electricity is on,,
989,It's heated upI think it's because the heat on the iron is corroded.,,
990,I don't know,,
991,Because the iron was heated and caught on fire,,
992,The iron is hot,,
993,The heat moves from the iron to the iron plate,,
994,I don't know!,,
995,It's heated,,
996,Because the ironing board was wood.,,
997,I didn't turn it on,,
998,The iron plate is iron,,
999,"Because of the heat from the iron,",,
1000,by the heat of the iron,,
1001,The iron has hot heat,,
1002,There's heat left on the iron,,
1003,I got a fever,,
1004,Because there are molecules in between,,
1005,Because of the heat,,
1006,Because of the heat transfer,,
1007,It's not clear?,,
1008,It's the latest iron,,
1009,The temperature went up because the iron plate was heated,,
1010,It's hot,,
1011,It's because the temperature has reached above the ignition point,,
1012,It's because the temperature has risen,,
1013,It's heat-transferred,,
1014,The temperature is going up,,
1015,Because of the heat,,
1016,The fabric was weak against heat and burned when hot heat was generated,,
1017,The iron is heating up,,
1018,n,,
1019,It's because of the heat of the heat of the heat of the iron,,
1020,It's because the ironing board,,
1021,A fire occurs when an object is heated to the point of ignition,,
1022,The part where the iron touches the clothes has heat,,
1023,no,,
1024,I don't know,,
1025,Uh... Niamee?,,
1026,I'm so angry,,
1027,This is because the temperature of the iron has increased to the temperature at which the fabric can burn sufficiently.,,
1028,Temperature threshold - This is because the ignition point has exceeded the temperature.,,
1029,It's because it's above a certain temperature,,
1030,It's because a lot of heat is collected.,,
1031,Because the owner of the iron was a super-saiyan.,,
1032,It's hot,,
1033,a bald reflective light,,
1034,by the oxidation process,,
1035,The temperature rises and burns,,
1036,"The three conditions for combustion are temperature above the ignition point, de-material, and oxygen, but due to the high temperature, all three are satisfied and a fire breaks out.",,
1037,"Because heat, de-materials, and oxygen above the ignition point are satisfied",,
1038,It's hot,,
1039,This is because the temperature rose above a certain temperature.,,
1040,Hot heat is continuously supplied to the iron plate and the iron plate burns because it has exceeded the burning critical temperature of the iron plate.,,
1041,"The temperature of the iron rose and the temperature was transferred to the iron plate, making it a temperature enough to catch fire.",,
1042,"As the surface temperature of the iron increases, it combines with oxygen in the iron plate and burns while emitting light and heat at a high temperature.",,
1043,The rise in temperature caused the fire point of the substance to be crossed,,
1044,This is because the temperature is high.,,
1045,This is because hot irons have heat.,,
1046,"As a lot of current flows, resistance increases, and resistance increases, and the temperature increases, so a fire occurs.",,
1047,"When high heat is heated in the iron plate for a certain period of time, the iron plate no longer maintains its original state due to heat and burns.",,
1048,It's hot,,
1049,Because it's hot,,
1050,The iron plate is hot,,
1051,Because of the heat,,
1052,Because of the heat,,
1053,A high fever lasts and a fire breaks out,,
1054,The iron is hot,,
1055,It's hot,,
1056,It's hot,,
1057,with the heat continuousness,,
1058,The temperature is high but there's no moisture,,
1059,The heat of the iron is persistent and the ignition point is created,,
1060,This is because it reached the ignition point of ignition.,,
1061,"High temperatures, burning iron plates, and oxygen",,
1062,"The iron part of the iron does not burn on the echo, but becomes liquid when heated, and the temperature does not melt because it exceeds 1500Â°, but the burning point of the iron plate is lower than the temperature of the iron, so it caught fire.",,
1063,It's hot,,
1064,The temperature of the iron reached the ignition point,,
1065,The iron conducted heat and the cloth was heated and burned,,
1066,"Due to the influence of the hot iron, the temperature of the cloth became above the ignition point and caught fire.",,
1067,The difference between a substance conducting heat and a substance conducting very slowly,,
1068,at a temperature above the ignition point,,
1069,"Oxygen, dematerials, and temperatures above the ignition point are on fire, but temperatures above the ignition point are generated, and de-materials (thousand) and oxygen are present",,
1070,"The temperature of the iron plate was above the ignition point, and there was enough oxygen around, and there was a fabric of the iron plate, which is a de-material",,
1071,"If the ignition point is provided with temperature, dematerials, and oxygen, it does not have to be lit.",,
1072,"It meets the conditions of temperature, de-material, and oxygen above the ignition point",,
1073,The temperature rises above the ignition point,,
1074,"De-materials, temperatures above the ignition point, oxygen supply - catch fire when these three conditions are met. The ironing board is the one that catches fire because all three conditions are met",,
1075,The temperature was above the ignition point,,
1076,at a temperature above the ignition point,,
1077,"The temperature was above the ignition point, and there was enough desiccant",,
1078,The temperature went up,,
1079,It's more than the ignition point,,
1080,"The temperature has increased, and organic matter inside will burn",,
1081,Because we've reached the point of ignition,,
1082,"Since we reached the temperature above the ignition point,",,
1083,The fabric goes up above the ignition point,,
1084,This is because it exceeds a certain temperature.,,
1085,"If you put the hot iron in the pan, it will burn",,
1086,under the heat,,
1087,It's getting hot,,
1088,"The iron plate was heated by electricityThe three factors needed to catch fire are temperature above the ignition point, de-material, and oxygen. It is a common situation in which the temperature above the ignition point is satisfied by a hot iron, the fabric becomes de-material, and no experimental environment has been created, so of course there is oxygen. So, all three elements are satisfied. The fire is burning",,
1089,This is because the temperature has risen above a certain level.,,
1090,in one's heart,,
1091,I don't know,,
1092,Because there was heat left on the ironing board.,,
1093,The heat was concentrated and caught fire.,,
1094,.,,
1095,Remaining temperature conducted,,
1096,"The hot iron continuously heats only a certain part, and heat gathers to create a fire. Although the fire was not directly heated, it can be inferred that the fire occurred because of the burning material, the source of heat, and air.",,
1097,"The conditions for catching fire must be de-material, oxygen, and temperature above the ignition point, but the iron plate burns because it is all in the presentation.",,
1098,"Fire occurs when the temperature above the ignition point and the three conditions of oxygen and de-material are satisfied. Because the iron plate met all three conditions, it was burned even if it was not directly lit.",,
1099,"The fabric is a fire-burning product, and since the iron is left hot without turning it off, the heat is applied to only one part of the fabric to catch fire.",,
1100,This is because the temperature was raised above the ignition point.,,
1101,"Three conditions are needed to catch fire. First of all, oxygen, the temperature at which cloth can burn, and de-materials. In this case, when a hot iron was placed on the iron plate fabric, oxygen was satisfied, and the temperature at which the fabric could burn and the de-material were all satisfied, so the iron plate was burned.",,
1102,This is because the iron transferred heat to the iron plate and became a temperature above a certain level.,,
1103,"The iron plate was constantly heated, and the fabric was burned by receiving more than enough heat to handle.",,
1104,It's because the temperature went up above the ignition point,,
1105,"In dry places, fires are made even if they are not lit. The cloth iron plate is dry on its own, and when a hot iron is placed on it, all the moisture in the cloth evaporates and dries more and more. If this condition persists, it is natural that a fire occurs. To put it simply, when the hot iron no longer had moisture to evaporate from the cloth, the cloth caught fire and burned.",,
1106,Heat energy is caused by light energy.,,
1107,The iron plate seems to have burned as it was heated by the hot steam.,,
1108,"The conditions for combustion are temperature, oxygen, and de-materials above the ignition point. In the case of the case presented in the presentation, the temperature above the ignition point, oxygen, and de-materials are all present, so it may catch fire even if it is not lit.",,
1109,It's because the heat is conducting too much. The iron plate burned because the fabric could no longer handle the heat given by the iron.,,
1110,ã,,
1111,Mora,,
1112,Because we've reached the point of ignition,,
1113,The fire in the iron moved to the ironing board,,
1114,It is because the ignition point has been reached the ignition point.,,
1115,Because the fire in the iron moved to the iron plate,,
1116,We reached the point of ignition,,
1117,We reached the point of ignition,,
1118,The iron is hot,,
1119,"The fabric catches fire easily, but there's a fabric attached to the iron plate",,
1120,The fabric catches fire easily,,
1121,It is because heat was transferred.,,
1122,The heat is in contact with me,,
1123,This is because the iron plate reached the ignition point due to the heated iron.,,
1124,The ignition point is reached,,
1125,Because it's hot,,
1126,Because it's hot,,
1127,It's because the iron is hot,,
1128,The heat goes up,,
1129,The iron is heated by heat,,
1130,It's because the heat is hot.,,
1131,The iron is heated by heat,,
1132,The moisture is gone,,
1133,"This is because the iron itself had a large amount of heat energy. Fire ignites first when there is oxygen, second when there is de-material, and finally when there is thermal energy enough to burn the substance. If a hot iron is placed on the iron plate, the iron plate is on fire because it satisfies all three conditions.",,
1134,Because of the heat,,
1135,heated up,,
1136,The properties of the carbonaceous material are different,,
1137,The heat transfer of the iron affected it,,
1138,The temperature has risen,,
1139,The heat was still there,,
1140,This is because the iron is heated up.,,
1141,"The iron plate on which the hot iron was placed became hotter and hotter, and eventually caught fire.",,
1142,Because the iron plate is hot,,
1143,"Because of the ten gates of the iron,",,
1144,Cloth catches fire when heated,,
1145,I don't know,,
1146,High-temperature irons and fabrics meet,,
1147,It is because the high temperature iron and cloth meet,,
1148,The machine turns up the heat,,
1149,"The iron plate is already heated, so it hasn't cooled down",,
1150,The temperature went up above the ignition point,,
1151,The heat from the iron was transferred,,
1152,The temperature of the hot iron is higher than the ignition point of the iron plate.,,
1153,Because the iron plate has reached the ignition point,,
1154,It is because the temperature has risen above the ignition point,,
1155,The iron applied heat to the iron plate,,
1156,It's because there's heat left on the iron.,,
1157,This is because the hot heat of the iron was transferred to the cloth.,,
1158,Because there was a cloth,,
1159,This is because the iron plate has reached the ignition point.,,
1160,Evaluation Only. Created with Aspose.Cells for Python via Java.Copyright 2003 - 2022 Aspose Pty Ltd.,,
