,"16. The particles that make up the material do not stay still and move constantly on their own. This is called particle motion, and what are some of the natural phenomena caused by particle motion? Let's explain it in detail using our knowledge of particle motion. ",q16_Diffusion,q16_Atmosphere,q16_Heat conduction,q16_State change
622,Unknowingness,,,,
623,Unknowingness,,,,
624,Unknowingness,,,,
625,the movement of pollen through the wind,,,,
626,I really don't know.,,,,
627,Tornado,,,,
628,evaporation of water,,,,
629,Entropy always increases.,,,,
630,There is a diffusion phenomenon where the smell spreads.,,,,
631,I think it's going to be lightning,,,,
632,static electricity,,,,
633,a hurricane,,,,
634,the flow of liquid,,,,
635,I don't know. Sorry,,,,
636,the spread of smell,,,,
637,a hurricane,,,,
638,Fire,,,,
639,the flow of liquid,,,,
640,a wave of water,,,,
641,"""Water boils at 100 degrees. As the temperature increases, the movement of the particles in the water becomes active, and the number of collisions increases, which releases a large amount of heat.",,,,
642,"When it reaches 100 degrees, water vaporizes into water vapor by boiling.""",,,,
643,Fire,,,,
644,I think it's an earthquake,,,,
645,"Earthquake, bungeo-ppe",,,,
646,I don't know.,,,,
647,"""Temperature means how actively a particle moves, and in science it is usually called thermal energy.",,,,
648,,,,,
649,"Of course, the higher the temperature, the faster the particle vibrates.",,,,
650,"When the temperature rises, solids or liquids do not increase their volume significantly because they are relatively attached to each other (as compared to gases), but in gases, the volume increases as the particles vibrate actively, which is called Charles' Law.""",,,,
651,when the water freezes,,,,
652,"When the water freezes and the particles move,",,,,
653,when the water freezes,,,,
654,"As the water freezes, the particles change more and more regularly",,,,
655,the freezing of liquid water and turning it into a solid,,,,
656,"Just as the air in the world circulates, I think the movement of particles acts on various objects and nature.",,,,
657,A liquid turns into a solid,,,,
658,"The water particles move on their own, and the water in the fish tank evaporates, and the perfume particles move on their own and the smell spreads.",,,,
659,"The water particles move on their own, and the water in the fish tank evaporates, and the perfume particles move on their own and the smell spreads.",,,,
660,"The water particles move on their own, the water in the fish tank evaporates, and the perfume particles move on their own, and the smell spreads.",,,,
661,Water evaporates when hot water is poured.,,,,
662,The smell spreads but smells,,,,
663,"When water is boiled in a pot, it evaporates into gas and flies away",,,,
664,Water evaporates,,,,
665,"If you spray perfume, the particles move on their own",,,,
666,"When the water is poured, the water particles evaporate and the water decreases gradually.",,,,
667,"When the water is poured, the water particles evaporate and the water decreases gradually. When you spray perfume, the particles exercise and the smell spreads.",,,,
668,"There is evaporation, and an example of evaporation is that the wet laundry dries.",,,,
669,"Because the particles of water move by themselves, the water in the fish tank evaporates, and the particles come out by themselves",,,,
670,"The wind blows, and the smell of perfume spreads.",,,,
671,"Because the water particles moved by themselves, the water in the fish tank evaporated, and the perfume particles moved by themselves",,,,
672,"Because the water particles moved by themselves, the water in the fish tank evaporated, and the perfume particles moved by themselves,",,,,
673,"The water particles move by themselves, the water in the fish tank evaporates, and the perfume particles move by themselves, spreading the smell",,,,
674,I don't know.,,,,
675,Unknowingness,,,,
676,Mr,,,,
677,I don't understand.,,,,
678,Mr,,,,
679,"""",,,,
680,I don't understand.,,,,
681,"""",,,,
682,(Playing the guitar sound,,,,
683,Mr,,,,
684,I don't understand.,,,,
685,Mall,,,,
686,I don't know,,,,
687,I don't understand.,,,,
688,I don't understand.,,,,
689,Mr,,,,
690,I don't understand.,,,,
691,I don't know.,,,,
692,I don't know. What else is there?I don't know.,,,,
693,Mr,,,,
694,Unknowingness,,,,
695,I don't understand.,,,,
696,"The water particles move by themselves, so the water in the fish tank evaporates, and the perfume particles move by themselves, so the smell spreads",,,,
697,Hot air balloon float by hot air balloon heat movement,,,,
698,"The movement of the particles creates an aurora, which suddenly releases a huge amount of energy as the magnetic field recombines between the sun and the earth, which reacts with Earth's air molecules",,,,
699,"Particles in the water move themselves, evaporating water in the water or tank in the fish tank, reducing the amount of water.",,,,
700,"The water particles move by themselves, the water in the fish tank evaporates, and the perfume particles move by themselves, so the smell spreads",,,,
701,.,,,,
702,Mr,,,,
703,I don't know.,,,,
704,Particles move,,,,
705,diffusion and evaporation,,,,
706,I don't know,,,,
707,Unknowingness,,,,
708,I don't know.,,,,
709,Don't know,,,,
710,Unknowingness,,,,
711,?,,,,
712,Don't know,,,,
713,It has become more convenient.,,,,
714,An earthquake?,,,,
715,I don't know.,,,,
716,Jambo. (Jambo),,,,
717,?,,,,
718,Particle movement is difficult,,,,
719,It's rotting.,,,,
720,It's rotting,,,,
721,The particles move blood as they move.,,,,
722,It breeds,,,,
723,It's because the oppressor moves and the blood moves in our bodies,,,,
724,"The solid has particles attached, and the liquid little by little has particles away from the air.",,,,
725,"I don't know the particle movement, so I can't explain it in detail",,,,
726,"C, c, d",,,,
727,I don't know.,,,,
728,The water evaporates upward and ascends to heaven,,,,
729,Particles continue to undergo photosynthesis,,,,
730,???,,,,
731,"Solid, liquid, and gas are all composed of particles, and in the case of solid, there is no gap in particles, so the shape is not easily disturbed, and liquid has more gap in particles than solid, so the shape changes easily.Gas is invisible to the eyes because it has a wider gap between particles than solids and liquids.",,,,
732,I don't know...,,,,
733,I don't know. Close it,,,,
734,The particles combine to form muscles,,,,
735,I don't know.,,,,
736,"It's stuck together in a solid state, it's a little bit apart in a liquid state, it's a lot of gas apart.",,,,
737,The particles are attached to each other and separated in a liquid state,,,,
738,"When a person moves, many organs are active, but the particles themselves move",,,,
739,"The particles move and form matter in nature, which makes trees grow in the environment",,,,
740,have the same life expectancy,,,,
741,I don't know.,,,,
742,Pass.,,,,
743,I don't know,,,,
744,Breathing,,,,
745,Earthquake,,,,
746,PASS,,,,
747,I don't understand.,,,,
748,"""I don't know.""",,,,
749,"""",,,,
750,An earthquake?,,,,
751,the movements of the people,,,,
752,Particle motion is commonly found in pollen.,,,,
753,"diffusion, convection, eruption",,,,
754,Water boils or air circulates.,,,,
755,diffusion and eruption,,,,
756,"Evaporation, diffusion, ejection, gas pressure, conduction, convection",,,,
757,I don'm not sure...,,,,
758,1234,,,,
759,I don't know,,,,
760,123,,,,
761,123,,,,
762,123,,,,
763,"Oh, my",,,,
764,bravely,,,,
765,I don't know. No,,,,
766,I don't know.,,,,
767,I don't know~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~,,,,
768,What do I do?,,,,
769,123,,,,
770,123,,,,
771,Mora,,,,
772,123,,,,
773,I'm sweating,,,,
774,123,,,,
775,I don't know,,,,
776,I don't know.,,,,
777,I don't know,,,,
778,I can live comfortably without causing any inconvenience to my health,,,,
779,This is not our level,,,,
780,713,,,,
781,It helps us,,,,
782,I need to work out to improve my body,,,,
783,I don't know.,,,,
784,Moreugesseum,,,,
785,Unknowingness,,,,
786,Nitrogen,,,,
787,.......,,,,
788,Earthquake,,,,
789,I don't know.,,,,
790,"""I don't know,""",,,,
791,"áá¡It's open""I don't understand.",,,,
792,"Put air in the balloon and over time, the balloon becomes smaller",,,,
793,....,,,,
794,Distinguish solid liquid gases,,,,
795,The air circulates.,,,,
796,"""The particles rise together when the temperature rises and fall together when the temperature drops. If you put the particles in a certain volume and raise the temperature, they float.",,,,
797,"""",,,,
798,The rubber band is an example,,,,
799,I don't know.,,,,
800,I don't know.,,,,
801,It explodes when the particle is trapped in a certain volume and the temperature is increased.,,,,
802,thermos,,,,
803,"convection, diffusion, eruption, osmosis",,,,
804,Evaporation,,,,
805,phase change,,,,
806,Spreading,,,,
807,The degree of motion of the particles can be expressed by temperature. by diffusion or particle motion,,,,
808,There is a spread.,,,,
809,"Diffusion, Brownian movement. It is moved by the difference in partial pressure.",,,,
810,Spreading,,,,
811,"Thermal Energy, Temperature",,,,
812,"Evaporation, diffusion, etc. on the surface of a liquid",,,,
813,"Diffusion, Brownian motion",,,,
814,"Diffusion, pressure, Brownian motion",,,,
815,thermal expansion,,,,
816,Ephep,,,,
817,The silver is rusting,,,,
818,Lightning strikes and rains.,,,,
819,"When you fart, the person next to you smells",,,,
820,"When a friend wears perfume, the scent spreads from the place where he wears it to quite a distance",,,,
821,Fine dust from China is a representative example.,,,,
822,Unable to know.,,,,
823,I don't know,,,,
824,I don't know,,,,
825,Unknowingness,,,,
826,growth,,,,
827,I don't know.,,,,
828,There is a phenomenon called water boiling due to rapid motion on the particles that make up water.,,,,
829,...,,,,
830,I don't know,,,,
831,Wind,,,,
832,Thunder,,,,
833,I don't know.,,,,
834,It's going to be far,,,,
835,a fever,,,,
836,Unknowingness,,,,
837,We can't go through the wall because the particles are moving,,,,
838,Light,,,,
839,Growth.,,,,
840,"There's light, there's a wave, and this particle can be seen through a fog box experiment",,,,
841,"As the particles do not move still and move, electrons do not hit the central protons and neutrons, but revolve around them and do not collide and destroy them. In other words, it allows all substances to be composed and present due to the movement of the particles.",,,,
842,Water,,,,
843,The earth rotates because of the motility of the particles.,,,,
844,There are many things,,,,
845,?,,,,
846,The forest fires that spread,,,,
847,There's a lot of little things It's separating,,,,
848,"The phenomenon of diffusion is also caused by the movement of particles, for example, when you spray perfume on your body, but a certain part of it doesn't smell and spreads and smells",,,,
849,I know how to exercise hard,,,,
850,"""If ice is solid, particles are gathered because there is no space, and when water becomes water, there is more space to play around The gas becomes water vapor and there is so much space that particles fly around./",,,,
851,"""",,,,
852,Fruit,,,,
853,the activity of a child,,,,
854,Particles attempt to escape.,,,,
855,I don't know.,,,,
856,Particle motion is thermal energy.,,,,
857,Particle movement is.,,,,
858,I don't know. I didn't study at this time. I hated science at this time.,,,,
859,We can assume the cells in our skin.,,,,
860,"As for the spread of smell, odor particles spread around where the particles stayed.",,,,
861,Rainbows are caused by the motion of particles.,,,,
862,My friend doesn't stay still,,,,
863,It spreads when you spray perfume.,,,,
864,"As the particles continue to move, friction between the particles occurs, resulting in a vestibule. Based on this phenomenon, lightning appears in reality",,,,
865,Unknowingness,,,,
866,"When you spray perfume on your body in the room, the whole room smells of perfume.",,,,
867,"When you spray perfume on your body in the room, the whole room smells of perfume.",,,,
868,"When you put paint in a liquid, it mixes.",,,,
869,"conduction, radiation, etc",,,,
870,"Ice freezes and melts, and railways increase in hot weather.",,,,
871,Warm air expands because the speed of motion of the particles varies depending on the temperature.,,,,
872,I don't know.,,,,
873,Unknowingness,,,,
874,Wind,,,,
875,Unknowingness,,,,
876,Unknowingness,,,,
877,"Diffusion occurs due to particle motion of air. You can't see the motion of gases and liquid particles with your eyes, but when you spray perfume to spread the smell, or when you drop the ink into a drop of water and the whole color changes, you can see diffusion. This is a phenomenon that occurs because the solid does not stay still and moves constantly on its own. It also occurs in convection or conduction when temperature is transmitted, and this phenomenon is also transmitted as a medium because the solid is constantly moving. The reason why we can hear the sound of people far away is also because of the movement of particles.",,,,
878,I don't know,,,,
879,Unknowingness,,,,
880,I don't know,,,,
881,"The brown effect occurs when the ink is poured into the water. In the former case, spin motion is also performed.",,,,
882,"There is diffusion, convection, etc. They say diffusion in a liquid or gas phase is the movement of matter from the concentration of the substance to the soft spot.",,,,
883,"There is a diffusion phenomenon that occurs when a gas or liquid moves. And even if an electric field is applied, electrons do not accelerate and flow a constant current may be due to the motion of the particles that flow constantly flowing.",,,,
884,Unknowingness,,,,
885,Unknowingness,,,,
886,Unknowingness,,,,
887,There are too many. Everything that exists is particle motion,,,,
888,Unknowingness,,,,
889,"""Hydrogen Binding",,,,
890,"Hydrogen bonding refers to bonding through electrostatic interactions with elements with high electronegativity such as nitrogen and oxygen. Large and small electronegativity materials are driven by attractive forces that pull each other and form close instantaneous bonds.""I have no idea.",,,,
891,Active particle motion releases a lot of heat energy and raises the temperature,,,,
892,Evaluation Only. Created with Aspose.Cells for Python via Java.Copyright 2003 - 2022 Aspose Pty Ltd.,,,,
