,"2) Why are the powers and roles of the state divided into the National Assembly, the government, and the courts as above?",q34_power variance,q34_efficiency
619,"It seems the same to people, but there are the National Assembly, the government, and the court, so our legal system is well established.",,
620,It's because it's hard to do it alone and you have to cooperate with each other when you maintain balance,,
621,"Using only one force is not fair, but using multiple forces is fair and much better.",,
622,To divide roles and work faster,,
623,This is because power is tilted if power and role are not divided.,,
624,To divide roles and work faster and look closely.,,
625,They all have different roles,,
626,"If you give all your rights to one organization, you can abuse them",,
627,I'm trying to take care of my body,,
628,It is to keep each other in check so that they do not cause dictatorship.,,
629,It's convenient to do it separately,,
630,"Power is not united in one place, so power abuse is not possible.",,
631,split the work,,
632,We all have different things to do,,
633,We all do different things,,
634,"Since we're in charge of different jobs, we're trying to get things done without any complications",,
635,To achieve balance by dividing the force because the force must not be biased on either side.,,
636,"It's a system of separation of powers, to prevent power from gathering in one place",,
637,This is because dictatorship can occur when the power of the state is skewed to one area.,,
638,"To separate the three powers,",,
639,in order to prevent dictatorship,,
640,Not to concentrate power,,
641,It is to prevent power from being concentrated in one place.,,
642,It's hard to do everything,,
643,"If you combine them, it's complicated and you can't tell what's what, so it's divided into parliamentary government courts",,
644,To prevent dictatorship by separating the three powers and to do things more efficiently,,
645,To prevent the power from being skewed to either side,,
646,"If power is concentrated in one place, there is a risk of dictatorship",,
647,in order to prevent dictatorship,,
648,"In order to divide power into three powers and keep each other in check,",,
649,Not to concentrate power in one place,,
650,It is to prevent dictatorship.,,
651,Because what we do is different,,
652,"In order to prevent the separation of powers from being concentrated in one place, the national power and role were divided into the National Assembly, the government, and the court",,
653,The balance of power,,
654,It is to ensure that power is not biased toward one institution.,,
655,"It's because if you concentrate on one thing, you can dictatorship",,
656,To prevent a dictatorship on one side,,
657,So that things can go smoothly,,
658,It's because it's hard to integrate and operate as one,,
659,"To divide the work, to divide the level.",,
660,To keep power from being skewed to one side,,
661,I'm not going to do it alone. I'm going to do it together,,
662,Distribute power to prevent abuse of power.,,
663,This is to separate power from focusing on one individual or specific group by separating power into three powers.,,
664,To prevent monopolization of power.,,
665,To prevent dictatorship.,,
666,"Since the state cannot be prevented by one force, each role was determined by dividing it into the National Assembly, the government, and the court.",,
667,To prevent the concentration of power,,
668,Not to focus on one individual or a particular group,,
669,separation of powers,,
670,Because it's right that the power is skewed to one side,,
671,It is intended to secure individual freedom by dispersing and weakening state power on the premise of distrust of the state power and the person exercising it.,,
672,To prevent power from being skewed into one place,,
673,d,,
674,"Because if you decide only in one place, the people involved in that place get much better treatment.",,
675,So that power is not concentrated in one place.,,
676,We're going to split up what we're good at,,
677,It's crazy,,
678,I can't do many things in one place,,
679,In order not to strain either side.,,
680,.................,,
681,"If you do it in one place, it doesn't look good",,
682,Yeah.,,
683,"This is because if you hold your power in one place, you can control other institutions there.",,
684,I don't understand.,,
685,"In order for various agencies to control the state well, not just to one side, but to control the state well",,
686,It is to prevent the concentration of power in one institution and to protect the rights of the people.,,
687,"Separation of powers, so that power or power is not concentrated in one place",,
688,One organ can't have all the power,,
689,in order to be fair,,
690,What to do. Name,,
691,It's to keep an eye on each other.,,
692,To prevent dictatorshipIt's hard to do it alone.I divided it up.,,
693,This is to separate the three powers so that power does not become a single place.,,
694,I'm not sure.,,
695,"It's because if one of the three places has a lot of strength, they fight.",,
696,ã,,
697,It's hard for a group to do many things at once.,,
698,I don't know that either,,
699,It's because each of them has a different job,,
700,I'm going to take care of it,,
701,It's hard for the nation to do it alone,,
702,L.,,
703,It's hard for one person to take care of it's hard,,
704,It's hard to do it in one place,,
705,"It's hard to do it in one place, so we divide the roles into several divisions.",,
706,Hah!,,
707,We all do different things,,
708,"""It's better to divide it into three roles than to build up the power of a nation all at once",,
709,"Because it helps.""",,
710,It's so complicated,,
711,I need a lot of things,,
712,To be fair,,
713,d,,
714,Because each job is different and important,,
715,To govern the country well?,,
716,Because we play different roles,,
717,I think it's because it's hard to handle everything in one place.,,
718,We're divided on what we do,,
719,It's because what Congressional Government Courts do is different,,
720,We all have different roles,,
721,They have different roles,,
722,"If the polar powers are not divided into three, power will be driven to one side and power will be abused. However, if the nation's power and role are divided into parliaments, governments, and courts, power will not flock to each other through checks. For the above reasons, the separation of powers has been achieved.",,
723,There are people who are passionate about the National Assembly and people who are passionate about the government,,
724,To set each other's roles so that there is no confusion,,
725,Separating the power of the state balances the power of the state because it checks each other from monopolizing and abusing power by an agency,,
726,"If the power and role of a nation are concentrated in one organization, the power of that organization becomes so strong that it can monopolize power that it risks causing the nation to fall into chaos.",,
727,"They can check each other and catch each other's mistakes, and they can prevent dictatorship because their power is not focused on one side. And I can do things more efficiently by working separately.",,
728,"If power is concentrated in one place, dictatorship is likely to occur, so the three powers are separated.",,
729,"Because if you have one power, you can use it at your disposal for one power",,
730,"""",,
731,"If legislative, executive, and judicial powers are concentrated in any one national institution, the work of the state can be done through undemocratic procedures by that national institution. Therefore, in order to prevent this, the National Assembly, the government, and the court were required to balance each other, sometimes check each other, and disperse state power.""",,
732,"The legislative, administrative, and judicial functions of the National Assembly, the government, and the court play a major role in operating the state and ensuring the free, equal and safe life of the people. However, if power is concentrated in a government agency, the agency can abuse state power and violate the human rights of the people. In addition, if there is no other agency to check such abuse of power, the phenomenon can continue for a long time, so the power and role of the state can be divided into three major groups to keep each other in check.",,
733,in order to prevent dictatorship,,
734,"This is called the separation of three powers, and if national power is concentrated in one place, there will be an imbalance, and a situation of abuse of power may occur, so it is divided into three institutions.",,
735,"The reason why the power and role of the state were divided into the National Assembly, the government, and the court was divided into three institutions under the system of separation of powers, so that the three institutions could be biased by checking and monitoring each other and ultimately.",,
736,"If the power of the state is concentrated in one institution, dictatorship and corruption can occur. Then, democracy may not be properly realized and the human rights of the people may be violated.",,
737,"If the power of the state is united together, dictatorship can be possible and basic rights of the people can be ignored, so they are separated into three and checked against each other to balance.",,
738,"Dividing the state's power into three can prevent the concentration of power in one institution, which can better guarantee the freedom of the people. The separation of the three powers is essential for the realization of democracy.",,
739,"If these institutions, which are closely related to the lives of the people, drive the power and role of the state into one institution, it will be difficult to solve this problem if the institution itself disappears from monitoring and checking the corruption and abuse of power.",,
740,Because you can't do it all at once in one place,,
741,This is because it has to be divided into three separate powers,,
742,Each of us has a different job,,
743,"It's because if there are few fields, it makes many things difficult and the work is different",,
744,"If you do your best in one place, the country's economy could be ruined",,
745,Because it's hard to do it alone,,
746,"""It's less difficult if you do it in many places.""",,
747,"""",,
748,Because each does a different job.,,
749,It's complicated when we're all together,,
750,They all play different roles,,
751,Because it's more convenient to share,,
752,It's because each of us has a job and a job,,
753,To prevent the monopoly of power,,
754,To run the state so that the power is not biased and that it is balanced under each check,,
755,Prevention of monopoly,,
756,To prevent one side from monopolizing power.,,
757,To prevent power from being turned to one side by playing a role of monitoring and checking each other.,,
758,It's to do each job.,,
759,I don't understand.,,
760,Just.,,
761,It's hard to do it in one place. Weird problems arise,,
762,I didn't learn it.,,
763,It's hard to do it in one place. Weird problems arise,,
764,all at once in a time,,
765,I don't know.,,
766,It's different,,
767,I'm going to review it,,
768,Because we're exchanging information,,
769,We've split it up to catch the perpetrator faster,,
770,Because one place can't fit,,
771,Because it's too hard to do it all at once.,,
772,To make the country progress evenly,,
773,This is because the country needs a lot of work.,,
774,I'm going to split the roles.,,
775,I have a lot of things going on in the country,,
776,We all do different things,,
777,"It's hard to play a role at once, and it can go wrong if you put your strength in one place, so you have to divide it into various ways.",,
778,No learning,,
779,It's because each person has a different job.,,
780,That person's heart,,
781,to be fair,,
782,It's the state. Why did you ask me such a strange question?,,
783,To keep each other in check to prevent power from being driven into one place,,
784,This is because three are advantageous for checks.,,
785,Don't let an agency wield power,,
786,It keeps each other in check and prevents the monopoly of national power.,,
787,To prevent the concentration of power,,
788,"To divide power among one another, to prevent power from being monopolized.",,
789,"Since separation of powers is the most ideal form,",,
790,To prevent the concentration of power,,
791,It is to prevent power from being concentrated on either side.prevention of monopoly of power,,
792,To prevent power from being monopolized in one place,,
793,Distribution of power and prevention of monopoly through separation of powers,,
794,Separate the three powers so that power is not concentrated,,
795,"This is because if one side is concentrated, there will be an organ that does not work properly among the three institutions.",,
796,To keep power from being skewed,,
797,It is to ensure that power is not biased in one place.,,
798,To reduce the concentration of power and the consequent risk of dictatorship,,
799,Separate each power into three powers and check each other,,
800,Because one can't have all the power,,
801,To protect the human rights of the people in check and harmony with each other to prevent the regime from falling to one side,,
802,"In order to prevent a state agency from monopolizing the power of the entire state and to realize democracy while making sure that each other is checked and balanced, the separation of three powers as shown in the figure above was realized.",,
803,in order to avoid dictatorship,,
804,Separation of powers,,
805,To achieve a balance of power through checks.,,
806,It was divided to prevent power from being concentrated in one place.,,
807,To keep power from being one side by separation of powers,,
808,It is to prevent power from being skewed to one side.,,
809,This is to prevent an agency from abusing its power by dividing it into three.,,
810,This is to increase efficiency by distributing roles while each force checks each other to disperse power.,,
811,"This is because if power is concentrated on one side, power can be abused.",,
812,Each institution checks each other so that they can work more honestly.,,
813,in order to do the right thing by checking each agency,,
814,To divide state power and prevent one side from having strong power.,,
815,To balance the country through separation of powers.,,
816,"If power is concentrated on one side, dictatorship can occur.",,
817,This is to prevent the power of the state from being concentrated in one place and abusing its power.,,
818,To prevent any agency from monopolizing power.,,
819,It is to check each other and prevent the monopoly of power.,,
820,It is to disperse power that is driven to one place.,,
821,To prevent power from being skewed to either side through separation of powers,,
822,The move is aimed at preventing state power from gathering on either side due to the separation of the three powers and protecting the freedom and rights of the people through checks and balances with each other.,,
823,This is to prevent wrong use of power by checking each other with the principle of separation of three powers.,,
824,"This is because it is necessary to prevent power from being concentrated and misused in one place, and to balance power by checking each other.",,
825,It is to prevent each other from gaining power on one side by sticking to each other.,,
826,"It prevents the separation of three powers, or the abuse of power, by preventing power from being set aside.",,
827,It is to separate power.,,
828,This is to prevent the force from being biased to one side through the separation of the three powers.,,
829,It's called the separation of powers. Search the rest on NAVER,,
830,"The National Assembly reflects the opinions of the people by lawmakers representing the people, and the government represents the opinions of the state by officials in charge, including the president representing the country and the government administration assisting the president. The court acts as a watchdog to check and monitor these two relationships at the same time, and makes regulations of the country and prepares regulations to limit power through enactment and revision of the law.",,
831,"This is to separate the powers of legislative, judicial, and administrative powers to prevent power from gathering on one side, and to operate a stable state while keeping each other in check.",,
832,in order to share one's role,,
833,be out of power-Rock,,
834,So that power doesn't go either way,,
835,Each of us has a different role to play,,
836,"So that one side doesn't have power, but what's wrong with our country?",,
837,It is to prevent national power from gathering on one side and to protect the freedom and rights of the people through checks and balances with each other.,,
838,"This is because if the power of the state is concentrated in one place, a dictatorship can occur.",,
839,Check each other's agencies,,
840,the subdivision of work,,
841,I don't know.,,
842,It is to prevent the power of the state from flocking to one place.,,
843,Separation of powers,,
844,To keep power away from one side,,
845,in order to keep each other company aflo,,
846,To stick with each other,,
847,To prevent corruption and monopoly,,
848,The three powers are separated to achieve a balance of power.,,
849,To prevent a force from monopolizing power.,,
850,"To keep each other in check, confront each other, and not to become dictatorial",,
851,Everything we do is different,,
852,"This is because if one place commits dictatorship, one cannot endure any embezzlement.",,
853,"This is because if one place commits dictatorship, it cannot be sanctioned even if one place commits embezzlement.",,
854,This is because it is to prevent the power of the state from being concentrated on one side.,,
855,"If you only do one place, you're the only one who takes over",,
856,in a definite way throughout the process,,
857,in a definite way throughout the process,,
858,I need everything,,
859,To prevent dictatorship and corruption,,
860,To prevent dictatorship and corruption,,
861,k,,
862,I don't know.,,
863,It is to distribute rights equally,,
864,.,,
865,To prevent the concentration of power,,
866,So that power is not concentrated in one place,,
867,"If there's only one, you'll be strong",,
868,It is to divide the rights and not infringe on the rights of the people.,,
869,To balance the power of the state.,,
870,..,,
871,To prevent power from being skewed to one side and to balance the country,,
872,To keep power from being skewed to one side,,
873,For efficiency,,
874,the third-place finish,,
875,The separation of powers prevents the force from being skewed to one side.,,
876,in order not to be biased against the power of one place,,
877,.,,
878,It is to make the power equal without being biased to either side.,,
879,It is divided into three separate powers so that the power does not go away on either side,,
880,.,,
881,Don't let dictatorship come out.,,
882,for the balance of power,,
883,I don't know,,
884,To play a role independently.,,
885,To keep the authority from being one-sided,,
886,To do your best at your work,,
887,Preventing the use of power in one place,,
888,the separation of three volumes,,
889,"If public power is concentrated in one area, corruption can become commonplace, and violations of the people's basic rights and constitution can become commonplace.",,
890,To share roles so that they don't get biasedIt is divided into three powers so that the power does not fall to one side.,,
891,It's to prevent fighting with each other from fighting.,,
892,Prevention of abuse of power,,
893,It prevents power from being concentrated on one side and prevents the possibility of dictatorship in advance.,,
894,To prevent the power of the state from being directed to one side,,
895,"This is because if the power is biased to either side, a monopoly of power can be created.",,
896,To ensure that power is not biased to one side.,,
897,This is to prevent dictatorship.,,
898,I had so much work to do,,
899,This is because the risk of dictatorship can arise if only one institution does it.,,
900,To prevent the monopoly of power,,
901,It is to prevent autocratic politics.,,
902,To give away power,,
903,Because you can't do it all in one place,,
904,"To avoid being biased towards one thing,",,
905,ã,,
906,It's hard to do everything in one place,,
907,So that power doesn't lean to one side,,
908,It prevents power from being biased toward one institution by separation of powers.,,
909,That's nice,,
910,This is to prevent each other's monopoly on power and to check each other so that it does not lead to corruption.,,
911,This is because each of them has a different role.,,
912,To make a smooth country by keeping each other in check,,
913,"If you focus on one place, the country will be ruined",,
914,I don't know,,
915,Each person can do different things,,
916,"In order for the country to be stable,",,
917,It's complicated and hard to put them all together,,
918,I think it's because it's complicated,,
919,It's all together,,
920,"When power is brought together, of course, dictatorship is achievedIn order to prevent that, they split the power, called separation of powers",,
921,I don't know,,
922,I'm afraid the country's going to be a mess,,
923,"If power is driven to one side, dictatorship can happen",,
924,due to procedures,,
925,Everything is important and needs to be settled,,
926,I don't know.,,
927,To determine a definite answer.,,
928,I think it's going to be a big dealWest,,
929,To prevent an institution from monopolizing,,
930,"It's because the Congress, the government, and the courts are doing different things",,
931,"This is because the basic rights of the people are not violated recklessly, they can escape the fear of dictatorship, and everyone can be equal before the law.",,
932,It's because the power and the role are different,,
933,To decentralize power,,
934,It is to prevent power from being biased to one side.,,
935,"When political power is concentrated on one side, the other side cannot check, and as a result, magic that becomes a poison, not a democracy, takes place",,
936,"When political power is concentrated on one side, the other side cannot check, and as a result, it becomes a dictatorship, not a democracy",,
937,"If it's just one, I have been so many things to do",,
938,"When political power is concentrated on one side, the other side cannot check, and as a result, the magic of becoming a dictatorship, not a democracy, takes place.",,
939,"When power is gathered in one place, of course, dictatorship is achieved, and in order to prevent it, it is called separation of three powers.",,
940,To keep the country from falling apart,,
941,"It was divided into the National Assembly, the government, and the court because only then can one person make a wrong judgment and not give a sin to the guilty person and give him/her innocence.",,
942,It is to work hard in each of the oldest jobs and fields.,,
943,The power was brought together to form a dictatorship and to prevent it and to separate the three cases,,
944,It's because I tried to manage it more accurately.,,
945,"The power could be brought together into one place, so the three powers were separated",,
946,"It's hard to do it together, so we split the work",,
947,review and adjudicate the law several times,,
948,"Because if you do something wrong in one place, you need a facility to catch it",,
949,I don't know.,,
950,We're doing different things,,
951,(separation of three powers) To prevent national power from gathering on either side and to protect the freedom and rights of the people through checks and balances with each other,,
952,I don't know.,,
953,I don't know,,
954,I don't know.,,
955,To get things done quickly and easily,,
956,I can't do it alone,,
957,"The power and role of a nation cannot be done by one, to point out what is wrong with each other.",,
958,The separation of powers should be necessary because power should not be concentrated only on the hin side,,
959,I don't know,,
960,To check each other's power.,,
961,"If you divide roles, you can work better and get more jobs than you can do many things",,
962,"When power is brought together, of course, dictatorship is achieved, and in order to prevent it, it is called separation of powers",,
963,"If the power and role of the state are put together in one place, it is difficult for people to know and may not punish even if they do something wrong",,
964,It is necessary to prevent the concentration of state power on either side and to protect the freedom and rights of the people through checks and balances,,
965,"This is called the separation of three powers, and the reason for the separation of three powers is to ensure and protect the freedom and equality of the people through checks and balances.",,
966,"If you collect them all at once, there will be clogging up, and it will be very complicated and difficult, so I think we divided them.",,
967,"If one power is large in the future, the big power cannot be prevented, so it was divided into three divisions.",,
968,We always fight,,
969,I don't know.,,
970,"When a place's power is overwhelmingly large, it divides its power.",,
971,I don't know,,
972,"When one place is crowded with work, there's nothing else to do and only one place gets hard",,
973,I don't know.,,
974,We're doing different things,,
975,Unknowingness,,
976,We have different responsibilities,,
977,Because what we do is different,,
978,For our country,,
979,Don't know,,
980,I don't know,,
981,Do your best in your role,,
982,Because it's efficient?,,
983,Each of us has a different jobs,,
984,for the sake of one's sake,,
985,"There's a lot of work to be done, and I'm trying to get a lot of feedback",,
986,I don't know.,,
987,It's hard and complicated to do everything in one place,,
988,We're doing different things are different,,
989,UnknowingnessIt's hard for one person to do it all at once,,
990,It's hard to do it together,,
991,"To examine the law more thoroughly,",,
992,It's hard if one person does everything.,,
993,"Because the work of the National Assembly, the government, and the courts are different",,
994,I don't know,,
995,Because it is hard to work alone.,,
996,"If you do a lot of work in one place, you need a lot of people and it takes a long time",,
997,It's because it's hard to work if one place takes on all the power of the state,,
998,Because it's hard.,,
999,the dispersion of force,,
1000,separation of powers,,
1001,To prevent power from being driven to one side,,
1002,To ban the abuse of power by separating powers,,
1003,It is to separate the three powers and stick together.,,
1004,To prevent power from being skewed towards the academic side by side,,
1005,"To make laws, to practice laws, to change laws, to laws",,
1006,It is to divide the power so that it can be handled more fairly.,,
1007,This is to separate the three powers so that the force does not lean on either side.,,
1008,"Only when the three powers are separated can the dictatorship of the institution be prevented, and the power of the state is evenly divided.",,
1009,"One person, one group, segregate powers to prevent absolute power",,
1010,It is to prevent the concentration of power and check each other.,,
1011,To divide the three roles so that power can only work in one place so that it's not at a disadvantage,,
1012,Because they keep each other in check,,
1013,It is to prevent power from being concentrated in one place.,,
1014,It can prevent the separation of powers from being concentrated in one place,,
1015,the prevention of dictatorship,,
1016,This is because the nation maintains a balance of power.,,
1017,"To keep each other in check, cooperate, and make harmony",,
1018,"I think it is in the form of separation of three powers because if power is united on one side, power can be abused.",,
1019,So that you don't have to put all your energy into one place,,
1020,Adherence to each other and prevention of corruption prevention,,
1021,I'm going to do well,,
1022,I'm going to do well,,
1023,"You're not going to have to focus on one thing, and you're going to do everything yourself",,
1024,To make it just between them,,
1025,for the separation of powers,,
1026,Can share roles,,
1027,Unknowingness,,
1028,It can be checked and prevent power from being concentrated on one side.,,
1029,It's to separate powers so that they don't lean toward one,,
1030,It is to prevent dictatorship,,
1031,It's convenient,,
1032,prevention of dictatorship,,
1033,in order to prevent dictatorship,,
1034,Because each has a job to do.,,
1035,Separation of powers,,
1036,Securing Basic Rights through Separation of the Three Powers,,
1037,It's to prevent dictatorship,,
1038,in order to prevent the poison,,
1039,To prevent a power monopoly,,
1040,Because each department has a different job,,
1041,To decentralize power and prevent dictatorship,,
1042,To prevent power from being skewed to one side.,,
1043,To stop the monopoly of power,,
1044,For the separation of powers,,
1045,"This is because if power is concentrated in one place, there is a possibility of dictatorship.",,
1046,Unknowingness,,
1047,ã,,
1048,ã,,
1049,To prevent the concentration of power,,
1050,.,,
1051,"To get things right and done right,",,
1052,It's hard if you have a lot of work to do.,,
1053,To prevent a monopoly on power,,
1054,Separation of powers,,
1055,To monitor the dictatorship of the government's parliamentary courts,,
1056,for the separation of powers,,
1057,To avoid monopolizing power,,
1058,We can check each other's power and prevent dictatorship,,
1059,by blocking the concentration of power,,
1060,The move is aimed at preventing the concentration of power by separating the three powers.,,
1061,It is a separation of three powers to prevent power from flocking to one place.,,
1062,It's to run the country efficiently,,
1063,It's to make things easier,,
1064,To prevent the concentration of power,,
1065,To prevent the force from leaning on either side,,
1066,ð¤§ð¤§ð¤§,,
1067,We're trying to keep each other in check and keep our balance,,
1068,I don't know.,,
1069,To prevent being biased to one side,,
1070,It's to separate the forces.,,
1071,To watch and keep each other in check,,
1072,I don't know.,,
1073,It is to check through the separation of powers,,
1074,I want you to be independent and do better,,
1075,To prevent power from being skewed.,,
1076,It is to prevent abuse of power,,
1077,"If you lean to one side, the country will fall apart",,
1078,in order to divide power,,
1079,I have a lot of work to do,,
1080,To keep each other in check so that power doesn't lean to one side,,
1081,To keep power from leaning to one side.,,
1082,To prevent power from being skewed to one side,,
1083,It prevents the phenomenon of the state's power being concentrated to one side through the separation of powers.,,
1084,"The purpose of the separation of the three powers is to prevent any state agency from monopolizing power, and its ultimate purpose is to guarantee the freedom and rights of the people.",,
1085,To prevent state power from being concentrated in one place,,
1086,I don't know.,,
1087,Let's do this together,,
1088,To prevent the concentration of power in one placeTo separate power and prevent dictatorship,,
1089,To separate powers,,
1090,a parliamentary government court,,
1091,"If you're concentrated in one place, things can get complicated and you can get into trouble",,
1092,"If you're concentrated in one place, things can get complicated and you can get into trouble",,
1093,prevention of monopoly of power,,
1094,This is to ensure human rights by preventing monopoly of power through separation of powers.,,
1095,To prevent power from being concentrated in one place,,
1096,prevention of monopoly of power,,
1097,"Because if you separate the powers, the powers don't lean to one side",,
1098,To prevent power from concentrating but not guaranteeing the rights of the people.,,
1099,Everything has to be fair,,
1100,To keep the power from being pushed to one side by side,,
1101,It is to prevent power from being concentrated in one place.,,
1102,To do it efficiently,,
1103,To prevent state power from being monopolized by an institution,,
1104,The move is aimed at creating a clean political arena by checking each other's roles.,,
1105,Stop the monopoly of power.,,
1106,To prevent power from being controlled by one person through separation of powers (check and interaction),,
1107,balance of power through mutual checks,,
1108,Monopolizing the power of a group of states tends to lead to dictatorship. So separate to ensure democracy of the people.,,
1109,Prevention of the ubiquity of power by mutual checks through the separation of powers,,
1110,"If power is concentrated in one institution, there is a risk of dictatorship, so they should be able to check each other.",,
1111,The power of the state is divided into three places to prevent the power from being concentrated in one place.,,
1112,To prevent the power of the state from being skewed to one side,,
1113,"By separating the three powers, they can have dictatorship if they have only one.",,
1114,"To prevent an agency from taking power at will, it was divided into monitoring each other.",,
1115,in order to prevent an agency's monopoly,,
1116,To prevent the monopoly of power,,
1117,To prevent the concentration of power,,
1118,Power is concentrated to prevent decay.,,
1119,In order to achieve balance without the power of the state being biased,,
1120,It prevents national power from being concentrated in one place,,
1121,This is because institutions check each other.,,
1122,"It is also to guarantee the freedom and rights of the people.""",,
1123,"If you separate the three powers, one can't work authoritatively and compete",,
1124,"This is because power should not be biased in only one place, so it is trying to secure balance and check of power by dispersing it in a number of institutions and making them mutually independent.",,
1125,It's to keep power from being one,,
1126,To prevent the power from shifting to one side,,
1127,This is because Korea is Hell Joseon.,,
1128,To do it efficiently,,
1129,"If power is concentrated in one place, you can have dictatorship",,
1130,It is to prevent the power of one side from increasing.,,
1131,I'm trying to keep my strength from focusing on one side.,,
1132,It prevents the force from being biased in one place.,,
1133,It is because Korea is Hell Chosun,,
1134,L.,,
1135,Abuse of power is reduced,,
1136,The three volumes are separated to prevent the power of either side from increasing.,,
1137,To prevent the force from being skewed to one side,,
1138,Because each role has its own.,,
1139,We all have different roles,,
1140,The reason for separating the three powers is to eliminate the possibility of poison because one organ can do it if it is the strongest,,
1141,This is because Korea is in danger if its strength is concentrated on one side,,
1142,distribution of roles,,
1143,Prevention of Concentration of Power in the Center through Separation of Three Powers,,
1144,So that I don't focus on the other,,
1145,Unknowingness,,
1146,I don't know.,,
1147,"If power is concentrated in only one organization, the country cannot return",,
1148,Don't sin,,
1149,"Separation of power, so that it doesn't get too skewed to one side.",,
1150,in order to prevent dictatorship,,
1151,So that you don't have to concentrate on one thing,,
1152,We each have something to do,,
1153,In order for one person not to do it autocratically divided into three parts,,
1154,"To prevent dictatorship, to disperse power in other words.",,
1155,One institution cannot handle things properly,,
1156,"If you do it as one, the power of one becomes weak, so if you divide it, the power is divided equally.The force does not lean to one side.",,
1157,So that power doesn't lean to one side,,
1158,I don't know,,
1159,To ensure that each agency holds each other to prevent the power of the state from being concentrated in one place,,
1160,To prevent the monopoly of power.,,
1161,To prevent the monopoly of power.,,
1162,It is to operate more systematically.,,
1163,It was divided to prevent power from being concentrated in one place.,,
1164,To prevent the power from being driven into one,,
1165,To prevent power from being gathered into one place.,,
1166,"If one trash has everything, our country will be ruined",,
1167,"If you focus on one side, the balance of the country will be destroyed.",,
1168,"There's something else we do, but we can't get together",,
1169,The country is important,,
1170,"If one person has all of this, he or she can take it",,
1171,"When you divide power and roles, the court tells you not to do it if the National Assembly does something wrong, but if you don't divide power and role, there's more work to do in one place and there's no place to do it",,
1172,Because it's weird if Congress does government work and the government does court work,,
1173,"""If you work together with one strength,",,
1174,"It's the door to a dictator.""",,
1175,"""Well, if you do everything in one unit, it's easier to get out and you lose a lot of jobs",,
1176,"""",,
1177,"It's hard to play many roles in one place, so we split up",,
1178,"This is because if divided into the National Assembly, the government, and the court, each can do their job more clearly",,
1179,To keep each other in check,,
1180,"""If there are only two, if one regime joins forces to develop its power,",,
1181,"The remaining one regime will disappear and become a dictatorship """,,
1182,To balance the power of the state,,
1183,"Since all work cannot be handled in one place, it is largely divided into three areas.",,
1184,The country is important,,
1185,It's because each person has a different job. This is because there are many fields.,,
1186,Because what you do is different.,,
1187,LaIt's because it's complicated and too much work to do in one place.,,
1188,I have too much work to do in one place,,
1189,To keep the power from being skewed to one side to separate the three powers,,
1190,To see if we're doing the right thing and prevent power from turning to one side and becoming a dictatorship,,
1191,I have a lot of work to do,,
1192,Separation of powers,,
1193,To prevent power from being skewed to one side,,
1194,To separate power,,
1195,To make things faster.,,
1196,"To maintain the center of gravity by separating powers,",,
1197,This is because several people work together.,,
1198,To keep one place from monopolizing power,,
1199,Separation of powers,,
1200,To prevent power from being skewed by separation of powers,,
1201,"If we don't divide state power into three places, it will become stronger by concentrating power on one side, which will become increasingly autocratic, endangering the state, and if it concentrates on only one organization, it can be compromised if it makes wrong decisions or uses power at will. In addition, it is to ensure and protect the freedom and equality of the people through checks and balances between the three organizations.",,
1202,,,
1203,,,
1204,"""",,
1205,To prevent the state from collapsing because of the monopoly of power in one organization,,
1206,separation of powers,,
1207,To prevent power from being concentrated in one place,,
1208,"When power is gathered in one place, dictatorship takes place, and it is divided to prevent this",,
1209,"If one place takes charge of the affairs of the state, no one can stop it even if the agency changes the law at will and executes it at will, so the three powers have been separated.",,
1210,To keep each other in check,,
1211,I divided it because it was hard to do it all at once,,
1212,"Through the separation of the three powers, power is not skewed to one place, so it is balanced and helps each institution play a role.",,
1213,To make a more detailed trial,,
1214,"The power was divided into the National Assembly, the government, and the courts because it was too much for the state alone",,
1215,"""1. If you do it in one place, it's too much and it's hard.""",,
1216,"2. Because it's more convenient to divide into two groups""",,
1217,To balance politics by separating the three powers,,
1218,"Since the work of the National Assembly, the government, and the courts is different, they are divided into separate fields so that they can do their own work.",,
1219,"In order to prevent the separation of powers from even one place,",,
1220,"It's hard to do it only in one place, so we do it separately",,
1221,To keep one side out of the way.,,
1222,"In order to handle the administration of the country quickly,",,
1223,To keep each other in check and keep an eye on each other,,
1224,To keep power away from one place,,
1225,It's to keep the power from focusing on one side,,
1226,It's to keep your strength from going to one side,,
1227,They're all different things,,
1228,Ohhhhhhhhhhhhhhhhhhh,,
1229,Because it's hard for one person to do it all,,
1230,Separation of powers,,
1231,It's a separation of powers,,
1232,It is to prevent power from being biased to one side,,
1233,Divide the power of separation of powers,,
1234,I don't know.,,
1235,Everything I do is different,,
1236,I don't know,,
1237,It's hard to do everything in one place,,
1238,This is because you have to work separately to get things done more accurately and quickly.,,
1239,I don't know.,,
1240,Because what we do is different,,
1241,power sharing,,
1242,To keep each power equal,,
1243,"One side is strong, that is, power, which prevents dictatorship.",,
1244,Separation of powers,,
1245,It is to guarantee the basic human rights of the people,,
1246,"I mean, don't monopolize power in one place.",,
1247,"It seems to be the same kind, but it is because the details are different.",,
1248,It is to share the work and make it more efficiently.,,
1249,It is to divide it into three places so that power does not lean to one side.,,
1250,"This is because what the National Assembly, the government, and the court do is different.",,
1251,It is to protect the freedom and rights of the people through the balance of checks.,,
1252,It is to lead the country.,,
