,"2) What happens in the future if you use a lot of fossil energy, such as coal or oil?",q44_depleted,q44_environmental pollution
580,"Our descendants will not be able to see the fossils, and our descendants will not be able to use fossil energy.",,
581,Resources will run out.,,
582,"As the earth's ozone layer is pierced, there will be a lot of ultraviolet and visible light coming from the sun.",,
583,We're running out of energy and we're doomed,,
584,"Using a lot of fossil energy, such as coal and oil, may not have enough resources to use in the future, causing electricity cuts across the country and inconvenience to life.",,
585,"In the future, fossil energy will be lost and inconvenient.",,
586,Fossil energy is not available when it is absolutely necessary,,
587,Fossil energy will be lost in the future because it is limited,,
588,I don't know.,,
589,"In the future, oil and coal will be reduced and things that need oil and coal will not be available.",,
590,"If we don't develop renewable energy because it's a limited resource, there will be an energy crisis",,
591,"When resources are depleted and scarce, we feel uncomfortable in our lives",,
592,"In the future, fossil energy will be depleted and fossil energy will not be available.",,
593,"The environment will be polluted, fossil energy will gradually be depleted, and electricity will not be available, resulting in blackouts, and eventually a difficult world to live in.The environment is likely to be contaminated a lot, and it will cause great damage to future generations.",,
594,"The material from burning fossil fuels will contaminate the environment and run out of coal or oil, making it impossible to use it where necessary.",,
595,"If you use a lot of fossil energy, it can disappear altogether in the future.",,
596,The moment of disappearance will come.,,
597,"There's no coal and oil, so there's a blackout",,
598,"The environment will be dirty because it will harm Hankyung, which will prevent us from farming and cause a lot of damage.",,
599,The air is getting worse,,
600,"Resources such as coal and oil are depleted, making people's lives difficult.",,
601,"In the future, there won't be much fossil energy left, and then we'll have to live with new energy, not fossil energy",,
602,I'm running out of energy,,
603,"""We can only use coal or oil as much as we can, so if we use it a lot, we can use it in the future",,
604,"I think I might not be able to.""",,
605,Fossil energy' will run out and no longer develop.,,
606,Energy will run out and people will suffer from energy shortages and the natural environment will be damaged.,,
607,"Fossil energy is used up, and energy sources become scarce or disappear.",,
608,There seems to be no energy in the future,,
609,a global explosion,,
610,I'm doomed because I don't have money.,,
611,Oil or coal will disappear and you won't be able to create energy.,,
612,All resources will be exhausted and eventually all will be unavailable.,,
613,Unlearned,,
614,"Fossil energy costs a lot of money and manpower in the process of digging and burning, and fossil energy is at risk of drying up quickly, so it is better for the environment and us to use hydroelectric energy, solar energy, and áá¦áá¥ energy rather than using a lot.",,
615,The earth is polluted and we cannot see the beautiful environment,,
616,Fossil energy is depleted and is no longer usable.,,
617,The fossil will run out of energy.And the environment will be polluted,,
618,There will be no land and war on fossil energy.,,
619,environmental pollution,,
620,"The earth is depleted of energy, so there is no energy available to mankind.  The Earth in Rigo is Contaminated",,
621,The environment gets worse.,,
622,"Fossil energy on Earth is lost, so there is no energy available to mankind",,
623,"Fossil energy such as coal and oil is limited, and it is not infinite, so if we continue to use this energy, we will run out of energy in the future, and we will not be able to ride vehicles that are moved to gasoline or petroleum. However, electric cars, whose electricity is energy, are likely to be able to ride. And, other energy, underwater energy, solar energy, seems to be available. Finally, if you burn oil, environmental pollution becomes worse.",,
624,Air pollution is getting worse and we cannot breathe clean air,,
625,"Of course, it would be nice, but if you use a lot of those things, environmental pollution or global warming will occur. And the inconvenience can be inconvenient because oil and coal are limited.",,
626,"There is no fossil energy to use later, we have to walk around",,
627,Coal or oil will one day reach a fixed amount and become unusable.,,
628,There is a risk of contamination.,,
629,I don't know,,
630,"Environmental pollution, exhaustion",,
631,resources run out,,
632,The environment is polluted.,,
633,I don't know.,,
634,Environmental pollution will get worse.,,
635,The ozone layer is destroyed and people get skin cancer.,,
636,I'm going to screw up,,
637,Later it will gradually disappear and things used for coal or oil will disappear,,
638,The natural environment will be destroyed and fossil energy will be depleted,,
639,"Carbon dioxide and methane gas in the air increase, which encourages global warming.",,
640,"Fossil fuels are often burned and used, so they are the main culprits of air pollution, and if you continue to dig for coal and oil, the environment may be destroyed and become uninhabitable.",,
641,"There will be no resources available in the future, which will have a lot of impact on daily life.",,
642,"If we use a lot of oil and coal, we will generate a lot of carbon dioxide, and global warming will worsen rapidly And I think there will be a lot of damage if I use up both oil and coal and start to be interested in renewable energy from then on",,
643,Environmental pollution will become more serious and live through all kinds of natural disasters.,,
644,Life will be inconvenient because of the depletion of energy.,,
645,"If it promotes global warming and runs out, it will be desperate to use alternative energy or find a place where new fossil energy is buried. The rich and the poor will get worse.",,
646,severe global warming,,
647,"If fossil energy is used a lot, it can be the main culprit of environmental pollution, and because of global warming, there will be islands and countries that will disappear due to rising temperatures and sea levels",,
648,"Fossil energy still causes a lot of damage (global warming, greenhouse gas emissions, etc.), but if you continue to use this energy, more global warming or greenhouse effects will occur, causing ecological disturbance and skin cancer, and the earth to deteriorate a lot",,
649,Earth's energy will be depleted and environmental pollution will become serious.,,
650,"Environmental pollution becomes more serious, and not only global warming, but also soil pollution can further damage the ecosystem, which can lead to loss of our habitat.",,
651,Global warming,,
652,"Later, all the energy will be exhausted and the energy to be used will disappear, making it difficult.",,
653,"Environmental pollution and global warming will accelerate and later run out of resources, making it difficult to use electricity.",,
654,"Environmental pollution, such as global warming, and later fossil energy will be depleted and no longer available.",,
655,Nature is so destroyed that it's east.It's gonna be hard for plants to live,,
656,"If fossil energy is used a lot, I think sinkholes will increase due to empty spaces created by taking out coal and oil that were buried in the ground",,
657,The Earth Sickens,,
658,Global warming and environmental pollution will intensify and become an environment where humans can no longer live,,
659,We're disappear.,,
660,Lower sea levels and promote desertification,,
661,It will perish.,,
662,I'm running out,,
663,"This will also run out, right?",,
664,"In the future, coal and oil will all disappear.",,
665,"Global warming and depletion, etc",,
666,"Since the amount of fossil energy resources is limited, if you continue to use it, it will all be depleted in the future.",,
667,Become a beggar.,,
668,"Global warming will intensify, temperatures will rise, polar glaciers will melt, sea levels will rise and disappear, and global temperatures will rise, affecting the ecosystem around the world.",,
669,Global warming intensifies due to the increase in greenhouse gases.,,
670,"If you use a lot of fossil energy, you may run out at some point and not be able to use it in the future, and you will run out of resources due to the use of a lot of fossil energy.",,
671,"The greenhouse effect increases, resulting in many changes in living things",,
672,The era of buying and selling oxygen due to air pollution comes. The respiratory disease becomes severe.,,
673,"Global warming accelerates, and there is no high-quality fossil fuel",,
674,There will be more smog-like phenomena and energy depletion.,,
675,"Fossil energy such as coal and oil has been steadily helping since the Industrial Revolution. However, if mankind continues to rely on fossil energy as it is now, it will soon run out. This is because fossil energy, such as coal and oil, is a finite resource. If that happens, there will be problems with the entire basic life that humans need. First of all, the clothes we're wearing now, the processed foods like canned tuna that we enjoy eating, the house we live in right now, will no longer be able to be created. This is because most of the basic food, clothing, and shelter life that humans need is fossil energy. In addition, oil and coal cause various environmental problems because they emit a lot of pollutants.",,
676,"In the future, the basic resources are depleted and the environmental problems become serious, which is costly",,
677,"Using fossil energy increases the greenhouse effect due to an increase in greenhouse gas emissions such as carbon dioxide. Therefore, global warming will intensify, resulting in flooding of low-lying areas due to rising sea levels, abnormal weather due to rising global average temperatures, and changes in ecosystems.",,
678,"In the future, coal or oil will all disappear and you will not be able to live.",,
679,"Eventually, fossil energy such as oil and coal will disappear in the future, and people will find other renewable energy.",,
680,"Later, the resources are exhausted.",,
681,I don't know ^^,,
682,"Fossil energy, such as coal and oil, is likely to be used up in the distant future and no longer available",,
683,"Due to lack of resources, I will live harder than now.",,
684,be unable to use fossil energy,,
685,be unable to develop autonomously,,
686,Fossil energy is likely to disappear and other enagies are likely to arise,,
687,"The environment will be very bad, and resources will be depleted, making it difficult for people to live in.",,
688,The environment is so polluted that life becomes uncomfortable.,,
689,"If we use too much coal or oil, we will lose coal or oil to use in the future, so our lives are very uncomfortable and if it is severe, everyone will die.",,
690,"The environment may deteriorate and the atmosphere may deteriorate, so you may have to carry an oxygen respirator.",,
691,"Coal and oil are lost, and all the oil, coal-related goods and goods that are used in our daily lives are not available",,
692,Things like coal and oil will eventually run out in the future because they have finiteness.Coal' oil may be lost in the future because the amount of resources is finite,,
693,I'm going to screw up,,
694,"In the future, coal or oil will disappear and solar power will be used to live.",,
695,Global warming will continue and disappear from Earth.,,
696,It's slowly disappearing.,,
697,"Because it is not infinite, if you continue to use it, it will run out and cause problems around the world.",,
698,"Coal and oil disappear, causing food shortages and not being able to ride cars.",,
699,"Fossil energy helps us a lot in our lives, so we can't use food and energy.",,
700,N and M,,
701,Fossils could have fallen and made life uncomfortable.,,
702,Global warming gets worse,,
703,It is because resources are lost and the earth is polluted,,
704,There's a lot of methane,,
705,It causes environmental pollution.,,
706,The environment is not good because of the air pollution,,
707,It's hard to live because of lack of coal,,
708,"The World's End, Kugungguããã~~~~ããã¹áá¡ãã¿~~",,
709,I think it will have a bad effect on the future because it will run out later.,,
710,The environment is not good because of the air pollution.,,
711,"Cars won't be able to drive because they don't have enough resources, so you have to save a lot",,
712,I think there will be a lot of coal and oil gone in the future.,,
713,The air is getting worse,,
714,"That's fine, but history may be a little off the mark",,
715,Global warming intensifies when factories are operated to use fossil energy,,
716,se,,
717,Environmental pollution occurs,,
718,Environmental pollution is likely to get worse.,,
719,It is likely to cause a bad tendency for the environment. Pollution will destroy nature and make it difficult to live.,,
720,"The world is likely to end in the future as ice in the Antarctic and the Arctic melts and air pollution, environmental pollution, and natural disasters are at risk.",,
721,because of environmental pollution,,
722,"The environment will be polluted, and people will refrain from wearing masks and going outside, and there will be many accidents.",,
723,I don't think I can use the air,,
724,"If I use a lot of coal and oil, I think a lot of oil and coal will disappear",,
725,Forests will be destroyed and various animals and plants will be extinct.,,
726,The environment was polluted and the fresh air disappeared,,
727,"Fossil energy is limited compared to renewable energy, so it will all disappear and environmental pollution will become serious.",,
728,"If fossil energy is used a lot, greenhouse gases such as carbon dioxide are generated from burning fossil fuels, which will accelerate global warming, and various natural disasters such as sea level rise, glacial thaw, abnormal climate, and acid rain will cause harmful effects on humans",,
729,"When carbon inside coal or oil burns, it is oxidized to carbon dioxide, a greenhouse gas, which will strengthen the greenhouse effect and cause global warming.  Global warming will cause polar glaciers to melt, and coastal lowlands to be flooded as sea levels rise. And as the Earth's environment changes, the unadaptable creatures will become extinct, and biodiversity will decrease. In addition, there will be more natural disasters such as floods, heat waves, droughts, and heavy snow.",,
730,"If environmental pollution occurs a lot, causing damage to future generations, and using a lot of fossil energy, it will be difficult to develop and change the next technology because you are only used to it.",,
731,"If fossil energy such as coal and oil is used a lot, global warming will intensify due to greenhouse gas emissions, which will cause a lot of environmental problems and disrupt the ecosystem. This will adversely affect human life. In addition, air pollution, water pollution, and soil pollution such as smog will occur due to pollutants and harmful substances generated in the process of using fossil fuels, which will adversely affect human life.",,
732,Oil or coal is depleted and air is polluted.,,
733,"Since fossil energy emits a lot of greenhouse gases when burned, it is the main culprit of global warming, and it also emits substances that cause acid rain or fine dust such as nitrogen oxides and sulfur oxides. Therefore, if fossil energy is used a lot, the Earth, which has become more destructive to the environment, will become a planet where few living things can live.",,
734,"If large amounts of fossil energy are used continuously, fossil energy with limited reserves will be depleted in decades. The main component of fossil fuels is carbon, which will increase the concentration of carbon dioxide in the atmosphere if it combines with oxygen in the air to produce carbon dioxide in the process of burning fossil energy, which will lead to an increase in the average temperature of the Earth. In addition, various pollutants are mixed in the fumes from factories or transportation that use fossil energy, which will increase the generation of fine dust or acid rain. In addition, petroleum is used in various materials, including plastic, and if fossil energy is used a lot depending on fossil energy, it will cause confusion because it will not be able to find alternatives when fossil energy is depleted in the future.",,
735,"Using a lot of fossil energy increases the amount of greenhouse gases emitted by burning fossil fuels, which increases the greenhouse effect, which intensifies global warming. As global warming worsens, polar glaciers will melt, sea levels will rise, and submerged areas will increase, and research will be conducted to live in new areas and terrain to expand the space for people to live in. There will also be extinct species and new evolutionary species in the ecosystem",,
736,"Since the amount of fossil fuels is not infinite, it will be insufficient in the future, and global warming will intensify, doubling the amount damaged by global warming now, and various phenomena that have adverse effects will occur. And on a global level, countries around the world will make promises to come up with solutions to global warming.",,
737,"Fossil energy, such as coal and oil, can be used to obtain energy, but also environmental pollutants such as carbon dioxide, which pollute the environment. These greenhouse gases are also called global warming greenhouse gases, which will increase the average temperature of the Earth, and the damage caused by themselves.",,
738,"The use of fossil energy such as coal and oil creates excessive greenhouse gases. Over-exhausted greenhouse gases will accelerate global warming, and as the average temperature of the Earth rises, the melting speed of glaciers will also accelerate, raising sea levels. Rising sea levels will cause flooded areas, and changes in ocean currents can lead to changes in weather and climate",,
739,"If ""fossil energy"" such as coal and oil is used a lot, greenhouse gases such as carbon dioxide will generate a lot of global temperatures, melting many areas of glaciers, destroying the Arctic ecosystem, and increasing the volume of the Earth's oceans due to thermal expansion, resulting in cities with higher average sea levels. In addition, the amount of carbon dioxide in the atmosphere increases, and when it rains, it combines with carbon dioxide in the air to produce acid rain. Because of this, the soil will be acidified, which will severely damage agriculture and adversely affect the ecosystem.",,
740,"The high use of fossil energy such as coal and oil has a great impact on the Earth's environment. It will cause global warming, which will raise the temperature of the Earth, and various social problems will also be accompanied. In addition, because the reserves of fossil energy are limited, if we continue to use fossil energy, if resources are depleted someday and we cannot find many energy sources to replace them, the energy needed for our lives may be insufficient.",,
741,"Greenhouse gases cause water molecules to expand and glaciers to melt, causing global warming, rising sea levels, causing several islands to disappear and melting Arctic and Antarctic glaciers to disappear, causing creatures to disappear and weather changes due to seawater temperature changes. The loss of Earth's ability to self-purify itself can also cause many serious problems.",,
742,Global warming is coming,,
743,I can't do many activities,,
744,Environmental pollution or money is very expensive,,
745,Environmental problems arise in the future,,
746,There may be a shortage of coal and oil.,,
747,Energy is not available because resources are depleted.,,
748,"Later on, your grandchildren won't be able to take care of you",,
749,Coal oil is likely to run out and live off less energy.,,
750,"In the future, coal and oil may become scarce",,
751,"It's likely that environmentally harmful substances will come out, destroying the natural environment and producing bad results.",,
752,We need a lot of fossil fuels.,,
753,"If you keep going through fossil energy, there will be a problem where you make fossil energy, so you won't be able to use a lot of fossil energy",,
754,"There will be a lot of greenhouse gases such as carbon dioxide, which will promote further change or global warming, resulting in ecosystem destruction.",,
755,"The increase in carbon dioxide content in the atmosphere will cause excessive greenhouse effect, which will promote global warming.",,
756,"Due to the increase in carbon dioxide, environmental pollution is caused by global warming and the use of fossil energy.",,
757,The greenhouse effect gets worse.,,
758,"The process of power generation is to burn coal or oil, make water vapor with that heat, and turn turbines with that steam to make energy. In the process, the carbon in coal and oil is burned, and carbon dioxide is produced, and global warming is intensifying",,
759,I don't know.,,
760,"Due to resource depletion, the economy becomes uncomfortable because it cannot make products using fossil energy.",,
761,have problems in one's life,,
762,Global warming gets worse and oil drops,,
763,It will be depleted and life will be difficult.,,
764,Global warming gets worse and oil drops,,
765,The country is doomed,,
766,Problems arise in life.,,
767,Not available to future generations,,
768,Resources run out.,,
769,It's running out,,
770,Life becomes difficult,,
771,run out,,
772,Fossil energy is depleted.,,
773,Life becomes very uncomfortable because resources are depleted,,
774,Transportation is not available.,,
775,"The environment is destroyed, oil and coal are depleted.",,
776,The end of mankind,,
777,The environment will be polluted and resources will be depleted in the future,,
778,It will be difficult to live because of the depletion of resources.,,
779,The world may be polluted and need to buy air,,
780,There will be many inconveniences and difficulties in the future.,,
781,I don't know,,
782,"Fossil energy such as coal and oil may pollute the environment, polluting the Earth and quickly disappearing resources, making it impossible to use fossil energy later.",,
783,Ruined,,
784,There is so much carbon dioxide in the air that the Earth is getting hotter and hotter. It will run out again and there will be nothing to use in future generations,,
785,"When resources are depleted, energy costs increase and damage from environmental pollution increases.",,
786,Energy can no longer be obtained by resource depletion.,,
787,The earth is coming to an end.,,
788,"The greenhouse effect intensifies, causing great problems for mankind.",,
789,Global warming becomes more active because the environment is polluted.,,
790,Energy resources have been depleted and carbon dioxide has increased.,,
791,Air pollution will occur.It's going to be lacking.,,
792,Accelerating Global Warming,,
793,The earth becomes difficult due to environmental pollution.,,
794,suffering from environmental pollution / resource depletion,,
795,It runs out.,,
796,The environment is destroyed.,,
797,The exhaustion of fossil fuels and environmental pollution become serious.,,
798,The environment is polluted and resources are depleted.,,
799,Global warming destroys the ecosystem.,,
800,Fossil energy sources are depleted in the future,,
801,destruction of the natural environment,,
802,"When the environment is destroyed and fossil energy is exhausted, it is difficult to respond quickly if you use a lot of fossil energy",,
803,"In the case of fossil fuels, it must be burned to obtain energy, and greenhouse gases such as carbon dioxide are generated as well as energy as products of combustion. These greenhouse gases prevent Earth's radiation energy from escaping the Earth, resulting in global warming, which increases the Earth's temperature gradually. As the Earth's average temperature rises, glaciers melt, and more abnormal climates occur, causing damage such as flooding of dwellings due to rising sea levels, more frequent typhoons, droughts, heat waves, and damage to marine ecosystems caused by the Eligno phenomenon.",,
804,It is difficult for future generations to live because of resource depletion,,
805,It will gradually dry up and eventually all will be consumed.,,
806,Harmful substances such as carbon dioxide are created to promote global warming.,,
807,"Not only does it sustain global warming, but it also causes resource depletion.",,
808,There will be more carbon dioxide in the atmosphere and fossil energy will be depleted,,
809,Carbon dioxide from burning fossil fuels changes the Earth's atmosphere composition and causes fatal damage.,,
810,"A lot of gases such as carbon dioxide that cause warming are released, and the average temperature of the Earth rises.",,
811,"Empty spaces are created in the space where oil was present, resulting in sinkholes, reducing the usable crust area.",,
812,"When the environment is very polluted and energy is depleted, it becomes difficult.",,
813,"The increase in CO2 emissions will accelerate global warming, which is likely to result in food shortages",,
814,The increase in greenhouse gases can cause problems such as rising sea levels as the average temperature rises.,,
815,"Global warming, resource depletion",,
816,Carbon dioxide is generated and global warming occurs.,,
817,Using a lot of fossil energy can lead to war due to the lack of fossil energy in the future and promote global warming.,,
818,"The emission of greenhouse gases pollutes the air and increases the greenhouse effect, which increases the temperature of the earth, causing glaciers to melt and raise sea levels.",,
819,"If fossil energy is used a lot, global warming will intensify because greenhouse gases such as carbon dioxide emitted during use will increase in the atmosphere.",,
820,Global warming intensifies due to increased emissions of greenhouse gases.,,
821,Environmental pollution can occur,,
822,"Nothing happens, it's just fossil energy exhaustion.",,
823,"The emission of greenhouse gases is high, which is the main cause of global warming.",,
824,The use of fossil energy pollutes the atmosphere and runs out of energy and is no longer available.,,
825,"Right now, the news was noisy due to fine dust from China. If you continue to use fossil energy, it will be a lifelong problem, not a temporary one",,
826,"The use of fossil energy releases carbon dioxide, which is the main cause of global warming, so global warming will occur.",,
827,"One day, resources will be depleted and there will be a shortage of energy resources, and global warming will gradually worsen due to increased carbon dioxide emissions.",,
828,Resources run out.,,
829,"Burning coal and oil produces a lot of greenhouse gases such as carbon dioxide. As a result, the greenhouse effect increases and accelerates global warming.",,
830,Used up,,
831,"Global warming, or the destruction of the ozone layer, has so far accelerated as the use of coal and oil increases. In addition, the scarcity of resources also plays a major role because fossil energy never has a short lifespan to be created. Therefore, there is a possibility that the amount of resources will be reduced in the future, and the amount of resources will cause major social and economic changes and confusion, and many of them, including ecosystems, will be confused in the environmental part.",,
832,"Since the amount of coal and oil is limited, if the amount is depleted, power generation cannot be generated, the environment is destroyed by pollutants during power generation, and global warming will be accelerated by greenhouse gases.",,
833,Global warming accelerates,,
834,The water level is going up,,
835,environmental pollution,,
836,The environment is destroyed and resources are depleted,,
837,The gap between the rich and the poor is likely to widen as the price goes up due to the shortage,,
838,"Environmental pollution becomes serious, and ecosystems are destroyed.",,
839,"Natural environment is destroyed and natural disasters occur unpredictably frequently, affecting our lives",,
840,Global warming,,
841,"First, until oil and coal prices soar and all the cars, ships and planes that are now stopped and other sources of energy are found, a global recession arrives",,
842,..I don't know.,,
843,Global warming will accelerate as carbon dioxide dissolved in the sea comes out into the atmosphere as problems and temperatures increase due to oxides generated in the process of burning fossil energy.,,
844,"Nature is destroyed, and various disasters come, and the residential environment we live in is destroyed",,
845,Global warming comes and future energy sources become scarce,,
846,It causes environmental pollution,,
847,"We're running out of energy, and we're running out of energy",,
848,Global warming intensifies,,
849,""" In terms of economics, fossil energy is more efficient than other energy sources, but if you use it a lot, you'll run out in a few years, and if you run out of resources, the rate of research and development in humans will drop dramatically. The fact that knowledge is not generated faster now, which is a knowledge-based economy, can cause economic stagnation.",,
850,"It is already prevalent in the environment, but when fossil energy is burned, carbon dioxide accelerates global warming, and global warming causes a lot of damage such as El Nino, Lannina, ozone holes, and ecosystem destruction. This environmental damage also leads to economic losses.",,
851,"Therefore, if you use a lot of fossil energy, you can develop with economic benefits right now, but in the long run, you can see it as a big loss.""",,
852,Extinction of mankind,,
853,"""It will fall and run out and use up.",,
854,"Without countermeasures or other alternatives, I am more afraid that there will be a huge crisis around the world and how it will affect the Earth and the environment if it runs out. I think it's a problem because I don't know it.",,
855,"I don't know what will happen, but I think it's a problem to write recklessly without thinking about what will happen later. """,,
856,"There is not much fossil energy left to use in the future, so I think I will feel a lot of inconvenience in my life.",,
857,"If you use coal or oil a lot, it will not only become rare but also have a negative impact on the environment",,
858,Coal or oil will be cut and have a bad environmental impact.,,
859,"Fossil energy will be resource depletion, and I think in the distant future we will be fossil energy in this era.",,
860,It's all running out,,
861,I can't see the earth again with fresh air,,
862,I can't see the earth again with fresh air,,
863,Fossil energy doesn't go away,,
864,The environment is becoming increasingly destructive and difficult to live in,,
865,Continuous development is impossible due to environmental destruction and the living environment is gradually deteriorating,,
866,With the letter K-in this,,
867,I don't know.,,
868,the global warming will get serious,,
869,Fossil energy disappears,,
870,Fossil energy is depleted.,,
871,Global warming is hurting the earth,,
872,Global warming is getting worse,,
873,Global warming will intensify.,,
874,The environment becomes dirty.,,
875,Environment preserved,,
876,Global warming will intensify and energy depletion will occur,,
877,Global warming occurs,,
878,Global warming gets worse,,
879,.,,
880,"The Earth's CO2 concentration rises so high that the ozone layer is destroyed and UV rays cannot be blocked, causing the Earth to die",,
881,Later things like fossil energy are no longer available.,,
882,"As carbon dioxide increases, environmental pollution progresses rapidly, so I think I will buy air and drink it.",,
883,"Global warming will worsen, which will have a great impact on the natural ecosystem, and on the human world.",,
884,Resource depletion and environmental pollution,,
885,Global warming occurs due to the increase in the amount of carbon dioxide in the atmosphere.,,
886,Global warming causes temperatures to rise and people are unable to liveable,,
887,The environment is deteriorating and resources are depleted.,,
888,OMG wow this is very hard question,,
889,"Eventually, coal and oil will be depleted and fossil energy will be lost.",,
890,"Fossil energy is depleted and environmental pollution becomes more severe, causing global warming.Global warming is getting serious",,
891,Environmental pollution becomes serious and fossil energy is depleted,,
892,I'm going to screw up,,
893,Life on Earth will be shortened,,
894,Carbon dioxide produced in the process of using coal and oil causes global warming.,,
895,The earth is coming to an end.,,
896,We can no longer live on this planet.,,
897,"Eventually, there will be a day when fossil energy is depleted",,
898,Global warming is likely to be further accelerated by carbon dioxide.,,
899,Global warming will be severe,,
900,"When the environment is destroyed and all the limited fossil energy is depleted, energy becomes unavailable.",,
901,"As greenhouse gases increase, the temperature of the earth rises, and fine dust increases, lung diseases increase rapidly, and ozone layer destruction, etc",,
902,Resource depletion and global warming intensified.,,
903,Fossil fuels disappear. The environment is destroyed. Global Warming Accelerates,,
904,"Due to global warming, both the North and South Poles will melt and a tsunami will occur",,
905,Energy depletion is easy and causes environmental pollution,,
906,Global warming will get worse and later fossil energy will be depleted.,,
907,Global warming occurs,,
908,I don't know.,,
909,Global warming.,,
910,sorry,,
911,The air becomes murky and resources are depleted,,
912,the global warming will get serious,,
913,"As resources are depleted, infrastructure that currently uses fossil fuels will collapse, leading to global turmoil, and the rapid greenhouse effect will greatly increase the frequency of abnormal climates.",,
914,I'm running out,,
915,"Carbon dioxide is generated in the process of burning coal or petroleum into usable energy, so if fossil energy is used a lot, it can cause disasters such as ozone layer destruction, global warming, and abnormal climate.",,
916,"The concentration of carbon dioxide increases, the ozone layer is destroyed, and fossil energy such as coal and oil is depleted, making it difficult to use.",,
917,I'm doomed,,
918,The future will run out of energy and nothing to use,,
919,Resources like fossil energy disappear a lot,,
920,Global warming gets worse,,
921,The earth is destroyed!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,,
922,"Later, I think the country will collapse without being able to use it.",,
923,a shortage of resources,,
924,air pollution,,
925,í¾ë¨ããã´í ããã·íã±ãã±ãã·ã±ãã·ã·êµ,,
926,take a liking to the view of Huaqiao,,
927,The country is doomed,,
928,Environmental pollution will continue and one day it will run out,,
929,The earth is sick,,
930,I don't know.,,
931,Fossil energy will be used in the future.,,
932,Fossil energy will disappear and the environment will deteriorate.,,
933,I think it's going to be a mystery,,
934,Carbon dioxide becomes depleted and global warming accelerates.,,
935,"""Earth resources run out over time",,
936,"It burns fossil energy, oil, or coal",,
937,"Global warming occurs.""",,
938,"Environmental pollution will be worse than it is now, and eventually, resources will be depleted and energy will not be available.",,
939,Fossil energy cars are invented,,
940,The earth is coming to an end,,
941,The use of fossil fuels increases air pollution.,,
942,"Carbon dioxide from burning fossil energy causes a greenhouse effect, making C4 photosynthesis impossible. In the worst case scenario, all life on Earth goes extinct",,
943,"Dioxidation from burning fossil energy causes the greenhouse effect, making C4 photosynthesis impossible, and in the worst case, all life on Earth is dangerous",,
944,The environment is destroyed and the earth is destroyed,,
945,"Fossil energy is burned, resulting in a greenhouse effect due to greenhouse gases, making C4 photosynthesis impossible, and in the worst case, all life on Earth is dangerous.",,
946,Global warming is getting worse and pollution such as air pollution.,,
947,The world is in trouble as the energy runs out,,
948,The earth is slowly coming to an earth is dying.,,
949,Global warming is getting worse and pollution such as air pollution.,,
950,Oil becomes expensive and the environment is greatly destroyed,,
951,"In the future, life will be difficult because fossil fuels are depleted.",,
952,Coal becomes expensive and the environment is greatly destroyed,,
953,More energy than electricity,,
954,I don't know.,,
955,It will be depleted and unusable.,,
956,"Using up fossil energy, it will be a dark place without electricity in the future",,
957,There will be no shortage of fuel.,,
958,I think I'll use a lot of fossil energy,,
959,I don't know,,
960,I don't know,,
961,I don't know.,,
962,the destruction of the earth,,
963,I don't know,,
964,Life becomes uncomfortable because coal and oil are running out.,,
965,There will be a lot of carbon dioxide and global warming,,
966,environmental pollution,,
967,"Carbon dioxide will be produced by using a lot of coal or oil, which will attract the environment.",,
968,"""If we use a lot of fossil energy, our nature will be destroyed in the future",,
969,"Our lives are not good.""",,
970,"Even if fossil energy is depleted, humans will be able to use fossil energy in the future because humans are now developing infinite energy resources to be used as new sources of energy",,
971,Even breathing becomes difficult because the air is so polluted.,,
972,"In the future, the air will be bad, and if coal and oil are exhausted, the world will be dark.",,
973,Environmental pollution is getting worse.,,
974,Environmental pollution becomes serious and the surge in fine dust also damages health.,,
975,Using fossil energy can improve the environment and develop faster than now.,,
976,All mankind will die,,
977,The air is bad and climate change is likely to be serious.,,
978,Using fossil energy can improve the environment and develop faster than now,,
979,I don't know,,
980,I don't know.,,
981,I don't know,,
982,You can't use fossil energy when you need it,,
983,I don't know,,
984,No cars or trains will operate because of the lack of resources,,
985,The environment is destroyed.,,
986,"Eventually, the Earth becomes ill and eventually the Earth dies.",,
987,Don't know,,
988,I don't know.,,
989,"The next generation of us will experience discomfortFossil energy will be depleted, and the environment will be polluted.",,
990,I don't know,,
991,The Earth's disease eventually causes the Earth to become extinct,,
992,"""The air is bad and the water is polluted",,
993,"""",,
994,Need to collect a lot of oil and coal,,
995,It can be hard to live because of lack of resources,,
996,"Since it is a limited resource, it cannot be passed on to future generations, and it is difficult for future generations to develop resources, and it is difficult for future generations to live conveniently",,
997,I think the country will be destroyed,,
998,The end of the earth will come.,,
999,It's going to be a huge crisis,,
1000,Future oil and coal will run out and will not be available to future generations.,,
1001,It will be environmental pollution.,,
1002,There will be little oil in the future,,
1003,"Coal, oil will disappear.",,
1004,I don't think we can live conveniently because there are no fossils or oil in the future.,,
1005,Global warming,,
1006,Future generations will not be able to use coal or oil,,
1007,I don't know,,
1008,You'll be in trouble,,
1009,search,,
1010,Global warming,,
1011,It becomes like Mars,,
1012,It runs out of resources.,,
1013,"If global warming occurs and we cannot find alternative energy for fossil energy, mankind will perish",,
1014,"Burning coal produces various carbons, which raise the temperature of the Earth and affect abstention, which causes global warming to persist quickly",,
1015,Coal and oil will run out.,,
1016,Global warming,,
