,2) Why do plastic bottles that are left outside in the summer get crushed when they are put in the refrigerator?,q38_temperature,q38_pressure,q38_gas molecule
473,Microvariation of pressure due to temperature differences.,,,
474,Naver,,,
475,"Out of the summer temperature is high inflation and, in the refrigerator temperature is lowered and crushed.",,,
476,"Cooling, thereby increasing the pressure is because a refrigerator cooled air molecules high speed, and heavy Plastron by the volume of Still's disease.",,,
477,ê³ ì²´ë¡ ìíë³í í ë  ë¶í¼ê° ì¤ì´ë¤ì´ì,,,
478,I don't know.,,,
479,Due to the temperature differential,,,
480,ì¨ëê° ë®ìì§ë©´ì ìë ¥ì´ ëìì ¸ì íë¼ì¤í± ë³ì´ ìì¶íë¤,,,
481,"The temperature in accordance with the volume of plastic is on the high increase in volume and cold temperatures will be easy, contract volume in a place.",,,
482,Temperature.,,,
483,"Because of the temperature difference,",,,
484,Temperature difference,,,
485,"This is because the temperature is lowered and the volume of air in the plastic bottle is reduced, so the air pressure outside the plastic bottle is stronger than inside the plastic bottle.",,,
486,"This is because the higher the temperature, the more active the gas becomes, the larger the volume, and the lower the temperature, the slower the gas activity and the smaller the volume",,,
487,Shrink due to pressure difference due to temperature difference between the inside and outside,,,
488,"In summer, the temperature of the air in the plastic bottle is higher than in the refrigerator, so when the air in the plastic bottle is put into the refrigerator, the volume decreases, and the plastic bottle is crushed to meet the pressure.",,,
489,Because it's hot,,,
490,"When put in the refrigerator, the temperature decreases rapidly, and the internal pressure and volume of the plastic bottle decrease as the temperature decreases. PV=nRT",,,
491,"This is because gases are more active in places with higher temperatures, so when entering a refrigerator with lower temperatures, the gas is less active.",,,
492,This is because the volume decreases when the temperature decreases.,,,
493,Don't know,,,
494,"The plastic bottle is crushed as the temperature is high and then quickly moved to a place where the temperature is low, slowing the activity of air molecules that were actively moving.The pressure difference caused the volume to decrease momentarily because the temperature was high and then suddenly decreased",,,
495,"In the summer when the temperature is high, the volume expands and contracts in the refrigerator when the temperature is low",,,
496,This is because plastic bottles that expanded at high temperatures contract as they are rapidly exposed to low temperatures.,,,
497,The temperature changed dramatically,,,
498,"As the temperature decreases, the amount of motion of the gas decreases, so the pet plane is distorted.",,,
499,"If the temperature is high, the amount of motion of the gas becomes active and expands, and if the temperature is low, the amount of motion decreases and becomes distorted",,,
500,The air is gone,,,
501,"Because of the heat transfer of air,",,,
502,This is because the hot air in the plastic bottle is pressed against the cold air in the refrigerator.,,,
503,"In a hot bottle, the refrigerator meets the heavy gas and the cold gas meet and crush",,,
504,Because of the temperature difference,,,
505,It's because of the pressure,,,
506,It's getting bigger,,,
507,It suddenly got cold,,,
508,It's getting bigger,,,
509,The temperature changes suddenly,,,
510,Change in volume by pressure,,,
511,The temperature of the air suddenly changed,,,
512,The temperature was hot and then suddenly it got cold,,,
513,Summer crabs are crushed by plastic bottles,,,
514,From hot temperature to cold temperature.,,,
515,Because I went from a hot place to a cool place,,,
516,This is because the temperature has changed.,,,
517,"When the temperature goes down, the pressure goes up",,,
518,Plastic is hard,,,
519,I don't know.,,,
520,Don't know,,,
521,The temperature suddenly changed,,,
522,This is because the pressure decreases because the temperature of the air in the plastic bottle decreases.,,,
523,Because of the sudden change in temperature,,,
524,?,,,
525,There's no air,,,
526,"Because of the sudden change in temperature,",,,
527,"If the temperature is low and then suddenly high, the pressure decreases.",,,
528,Because of the pressure,,,
529,It is because the molecules expand and contract.,,,
530,Don't know,,,
531,"Because of the sudden change in temperature,",,,
532,Because of the temperature change,,,
533,due to extreme temperature differences,,,
534,a rapid deterioration of temperature,,,
535,This is because air pressure changes due to sudden temperature differences,,,
536,The temperature changed dramatically,,,
537,"Because of the sudden temperature change,",,,
538,There's a difference in temperature difference?,,,
539,"If you put the plastic bottle outside in the refrigerator when the temperature rises and the pressure rises, the temperature decreases, the pressure decreases, and the volume decreases",,,
540,The temperature suddenly changed,,,
541,It swells up when you put it outside and shrinks again when you put it in the refrigerator,,,
542,The ball is compressed,,,
543,It is because of the sudden temperature difference.,,,
544,The temperature changed dramatically,,,
545,"""In the summer, the temperature is high, but in the refrigerator,",,,
546,"Because of the low temperature, the plastic bottle in the refrigerator is crushed.""",,,
547,I think it's because of the temperature difference,,,
548,I don't know.,,,
549,I don't know.,,,
550,The plastic burns down.,,,
551,"Because of the lack of air and air pressure,",,,
552,The heat cannot go out and is crushed by freezing.,,,
553,Because the hot air met the cold air,,,
554,I don't know,,,
555,I don't know.,,,
556,This is because the air is compressed.,,,
557,I don't know.,,,
558,I was in the hot air and suddenly came into the cold air,,,
559,It's hot and then cold.,,,
560,.,,,
561,The temperature suddenly dropped,,,
562,It's because the cold air is so strong and cold,,,
563,The temperature suddenly changed,,,
564,It was hot so I absorbed heat because I put it in the refrigerator to send heat.,,,
565,It's cold and it swells up,,,
566,I don't know,,,
567,The plastic is weak against heat.,,,
568,I was in a hot place and went into a cold place,,,
569,I don't understand.,,,
570,This is because the cold air presses the bottle.,,,
571,Because the air pressure is weak,,,
572,I don't know.,,,
573,How do I know?,,,
574,????????????????????????????????????????,,,
575,I don't know.,,,
576,.....................................,,,
577,I don't know,,,
578,Because the volume is reduced,,,
579,"If it's in a hot place, it melts and if you put it in a cold place, it freezes and gets smaller",,,
580,"It was hot, but it suddenly got cold",,,
581,There's a change in the heat,,,
582,????????,,,
583,It's because of the atmospheric pressure.,,,
584,"The refrigerator is a colder place, so the air pressure rises. Therefore, the plastic bottle is crushed because the pressing force becomes stronger.",,,
585,The temperature is so different,,,
586,This is because water becomes bulky when the temperature drops.,,,
587,It's because of the air.,,,
588,Because of the temperature change,,,
589,Not because I'm too lazy,,,
590,"""?",,,
591,"""",,,
592,???,,,
593,"This is because the temperature is low.When the plastic freezes and becomes smaller, it gets bigger and smaller",,,
594,I don't know,,,
595,under pressure,,,
596,"In the summer, the plastic bottle heats up because of the high temperature. If you put it in the refrigerator here, the temperature suddenly drops, so the air in the PET rice became unstable.",,,
597,Because of the atmospheric pressure,,,
598,The temperature is different inside and outside,,,
599,"Because of the low and high pressures,",,,
600,"This is because if you put it in the refrigerator, it suddenly contracts because of the cold.",,,
601,It suddenly got cold.,,,
602,I don't know,,,
603,This is because the volume of water increases as the temperature goes from high to low.,,,
604,be due to a difference in heat,,,
605,The air suddenly expands,,,
606,"The air was in it, and it got cold and shrunk",,,
607,Because of the low pressure,,,
608,This is because low temperatures make the atmosphere hot,,,
609,Because of the heat difference.,,,
610,The temperature was hot and then suddenly it got cold,,,
611,Because the air pressure went up?,,,
612,??,,,
613,"When it freezes, the volume of water decreases and the empty space shrinks",,,
614,The bar heats up and crushes the plastic bottle.,,,
615,It's because the air in the bottle has decreased,,,
616,It's because of the change in temperature change.,,,
617,Low temperature of Gichenne causes gas to low gas,,,
618,The temperature changed,,,
619,Low air temperature causes dents.,,,
620,It was hot and then it got cold,,,
621,I don't know.,,,
622,I don't know,,,
623,Due to the temperature differential,,,
624,I don't know.,,,
625,There's a temperature difference,,,
626,I don't know.,,,
627,melted by the heat,,,
628,Because of the temperature,,,
629,I don't know.,,,
630,I don't know.,,,
631,The air pressure changed,,,
632,Plastic bottles that expand when it is hot contract because they enter the cold refrigerator.,,,
633,"This is because when it gets cold, the atmosphere decreases.",,,
634,"It is because the temperature fluctuates greatly. This is because the volume expands due to the high temperature outside the summer, but the temperature is low in the refrigerator and contracts.",,,
635,be out of air,,,
636,This is because it contracts in places where the temperature is low.,,,
637,Because of the temperature,,,
638,a temperature difference,,,
639,"The plastic bottle outside is stretched because it is hot outside, but the refrigerator is cold and the particle decreases, so it is crushed",,,
640,This is because the temperature inside the bottle and outside are different.,,,
641,Temperature difference,,,
642,?,,,
643,The heated plastic bottle will be crushed by the cold air in the refrigerator.,,,
644,I don't know,,,
645,Plastic bottles outside in summer expand and contract in a cold refrigerator because of the warm summer temperature.,,,
646,Because the temperature suddenly changed,,,
647,"The plastic bottle is expanding because it is hot outside in summer, but when the bottle is put in the refrigerator, the temperature decreases rapidly, contracts rapidly, and the plastic bottle is crushed.",,,
648,.,,,
649,It got cold,,,
650,Steel,,,
651,Beakers... I don't know,,,
652,The temperature changed dramatically,,,
653,It's because of the temperature difference,,,
654,It's because of the pressure,,,
655,There's a change in temperature,,,
656,The air in the plastic shrinks by the cold air and is crushed,,,
657,This is because the volume contracts when the temperature decreases.,,,
658,"Just as a person curls up when it gets hot and cold, plastic bottles are the same.",,,
659,This is because the volume decreases when it gets cold.,,,
660,It is because of a sudden change in temperature.,,,
661,"This is because if you put what you put in a hot place in summer in a cold refrigerator, the temperature went up.",,,
662,This is because the volume of the gas in the bottle decreases,,,
663,Heat-expanded plastic bottles are crushed due to rapid contraction as the temperature drops sharply.,,,
664,"In summer, the inside of the plastic is hot, causing thermal expansion, and the air expands, and when it is placed in the refrigerator, it shrinks as the temperature of the air decreases.",,,
665,Pet bottles that have been stretched due to thermal expansion are crushed due to rapid contraction due to rapid temperature drop,,,
666,It is caused by the difference between the hot temperature in summer and the cool temperature of the refrigerator.,,,
667,I don't know.,,,
668,d,,,
669,The air is gone,,,
670,This is because the volume increases as the water expands.,,,
671,Because the air is escaping,,,
672,Why?,,,
673,I don't understand.,,,
674,"The lower the temperature, the higher the pressure",,,
675,.......,,,
676,The pressure got low,,,
677,Yeah.,,,
678,I don't know because I haven't tried it,,,
679,....,,,
680,take no notice of,,,
681,It's because the pressure has decreased.,,,
682,Because the pressure is low because it's cold?,,,
683,Temperature,,,
684,The plastic bottle that got hot suddenly dropped,,,
685,I don't know,,,
686,You're right,,,
687,"Wow, hello I didn't understand the problem itself!Ahhhhhhh!",,,
688,It's too cold,,,
689,This is because the volume increases as the temperature increases and decreases as the temperature decreases.,,,
690,/,,,
691,Because the temperature is different.,,,
692,Chinese zodiac signSomething scientific started,,,
693,There's something very scientific about it,,,
694,It's going to be vaporized,,,
695,There's a lot of cold air around me,,,
696,I suddenly got cold,,,
697,issue,,,
698,The temperature is different,,,
699,in expansion,,,
700,"The warm plastic bottle was put in the refrigerator and suddenly became cold, so the plastic bottle was crushed in surprise.",,,
701,Hah!,,,
702,Because of the sun,,,
703,"""The temperature of the plastic bottle outside is hot, and the temperature of the refrigerator is cool.",,,
704,"So when it gets hot and then suddenly gets cold, the bottle gets crushed.""",,,
705,My temperature has changed,,,
706,Because of the cold air,,,
707,The volume of the gas gets smaller,,,
708,d,,,
709,It's because the temperature suddenly,,,
710,It's hot outside and cool inside the refrigerator,,,
711,This is because the pressure has increased.,,,
712,"When it gets hot and cold, it's the same as frostbite",,,
713,"When it's cold, the bottle swells up, so it bursts and collapses because it's full of air",,,
714,The temperature and air pressure are different,,,
715,The air was hot It suddenly got cold,,,
716,The air got hot and then cold,,,
717,"It is very hot outside in summer, but the refrigerator is cool. Therefore, the plastic bottle is crushed because of the temperature difference.",,,
718,because of the pressure,,,
719,"The plastic bottle, which had been inflated by the heat, is crushed by the low temperature",,,
720,"The plastic bottle, which had swelled up in the hot air, rises in air pressure around it as it enters the cold refrigerator, causing the plastic bottle to crumble",,,
721,"Because the temperature of plastic bottles outside in the summer is higher than that of the refrigerator, the air inside the plastic bottle loses heat to the refrigerator, and the volume contracts, causing the plastic bottle to be crushed.",,,
722,"The plastic bottle outside is located at a high temperature, so the air pressure is low due to low air pressure, and the air inside is still and then enters the refrigerator, and the pressure increases, causing it to be crushed by external pressure and contracted.",,,
723,"The temperature is high in the summer. When the air in the plastic bottle expands due to the high temperature and is put in the refrigerator, the air in the plastic bottle contracts rapidly due to the sudden decrease in temperature, causing the plastic bottle to be crushed.",,,
724,I,,,
725,"If you leave a plastic bottle outside in the summer, the temperature will rise. At this time, if a bottle is placed in a refrigerator with a low temperature, the bottle is crushed because the temperature in the bottle decreases and the air pressure becomes lower than the external pressure.",,,
726,"The more energy a substance gains, the more active the molecular motion becomes. Typically, water exists in the state of ice, which is a solid with no active molecular motion at about 0 degrees Celsius, and when the temperature is higher, it exists as liquid water with more active molecular motion than solid. At higher temperatures, molecular motion becomes very active gaseous water vapor. In this way, if the gas in the plastic bottle is placed outside in the hot summer, the energy expands, and if it is placed in the cold refrigerator, the energy is taken away and the volume decreases, and the plastic bottle is crushed by air pressure.",,,
727,"The hotter the air is, the more it expands, and when it expands, the lower the air pressure. If the air pressure is rapidly cooled in a low state, the air contracts again, and the internal pressure becomes smaller than the external pressure (the difference in air pressure is large), resulting in crushing.",,,
728,I don't know.,,,
729,"The plastic bottle outside in summer is elevated high in temperature, so the molecular motion of the gas in it is active, so it will be swollen. If you put these inflated plastic bottles in the refrigerator, the plastic bottles whose temperatures were raised will come on and go down, and then the plastic bottles will be crushed as the temperature drops and molecular motion slows down.",,,
730,"In summer, the high temperature of air in plastic bottles outside will drop in the refrigerator. According to Charles' law, the volume of air in a plastic decreases because each temperature rises by one degree by 1/273 of the gas at room temperature.",,,
731,"If the air in the plastic bottle contains summer air, it contains air that has become bulky due to relatively high temperatures, but if it is put in the refrigerator, the movement of air molecules slows down as the temperature decreases, making the bottle smaller and crushed.",,,
732,"The volume of the gas is proportional to the temperature. As the temperature decreases, the volume of the gas decreases, and as the temperature increases, the volume of the gas increases. The temperature of plastic bottles outside in summer is high, but when put in the refrigerator, the temperature decreases, so the volume of air in the plastic bottles decreases.",,,
733,"In summer, the molecular movement of plastic bottles outside is active, so it is swollen, and when put in the refrigerator, the temperature decreases, and the molecular movement slows down and becomes dented.",,,
734,It's heated up,,,
735,Because it didn't affect anything,,,
736,The moisture goes out,,,
737,The temperature suddenly dropped,,,
738,This is because there is a difference in temperature.,,,
739,Because there is a big difference in temperature is big,,,
740,"""Oh, my God",,,
741,"""I don't know""",,,
742,"""In the summer, the air in the plastic bottle",,,
743,"Getting out and meeting the cold air in the refrigerator.""",,,
744,I suddenly got cold,,,
745,It suddenly moved from hot to cold,,,
746,It's because of pressure and temperature,,,
747,"Because of the cold heat in the refrigerator,",,,
748,"Since actively moving gas molecules are put into cold air, the movement becomes slow and the internal air pressure is lowered. That's why it's dented.",,,
749,"Because of the decrease in temperature, the movement between molecules decreases, and the space occupied by it decreases",,,
750,Because of the decrease in temperature,,,
751,It's because of the temperature difference.,,,
752,"This is because when you go to the refrigerator, the temperature decreases and the speed of molecular motion slows down",,,
753,I don't know.,,,
754,I don't know because I didn't learn.,,,
755,Just.,,,
756,Because it's compressed?,,,
757,I didn't learn it.,,,
758,Because it's compressed?,,,
759,I don't know,,,
760,I don't know.,,,
761,It moves from hot to cold,,,
762,Pressure,,,
763,Moe.,,,
764,It's because of the atmospheric pressure,,,
765,a long gap,,,
766,The temperature is lower,,,
767,Because of Charles' law,,,
768,I'll stay at a high temperature and go to a low temperature,,,
769,Suddenly the bottle gets cold and the bottle shrinks.,,,
770,a change in the volume,,,
771,No air ventilation,,,
772,Because it expands in cold places.,,,
773,No learning,,,
774,There's a big difference in temperature,,,
775,Pressure,,,
776,I don't know.,,,
777,Part-time job,,,
778,"Plastic bottles that are kept outside in the summer are expanded due to the high temperature of the air inside, and the molecular motion becomes active and the volume increases",,,
779,"As the temperature of the internal air decreases, the volume decreases to keep the pressure constant.",,,
780,"By Charles' law, the volume decreases when the temperature decreases.",,,
781,The air in the plastic bottle outside during the summer expands and contracts again when the temperature drops,,,
782,I don't know.,,,
783,This is because the temperature of the air in the bottle has decreased and the volume has decreased.,,,
784,"Since the temperature is low in summer, it is small in volume and becomes sticky.",,,
785,"As the temperature decreases, the PV product decreases",,,
786,The temperature of the air has decreased and the volume has decreased.,,,
787,"Since the temperature of the bottle air decreases and the pressure decreases, it is squashed by the ambient pressure.",,,
788,It is so cold that the temperature of the bottle decreases and the volume decreases.,,,
789,Plastic bottles inflated by summer weather shrink in cold refrigerator,,,
790,There's a low pressure inside,,,
791,The temperature decreases and the volume decreases.The temperature decreases and contracts.,,,
792,This is because the temperature is low and it is quiet.,,,
793,The temperature decreases and the volume of air in the bottle decreases according to Charles' law.,,,
794,Because the temperature decreases,,,
795,Oxygen,,,
796,I don't know.,,,
797,"In the summer, the air inside the plastic bottle outside increases the kinetic energy of the molecule as the temperature rises, and the plastic bottle slightly swells as the internal pressure increases due to the molecules that are active as the increased energy. When a plastic bottle in this state is placed in the refrigerator, the temperature suddenly decreases, the kinetic energy of the air molecules in the bottle also decreases rapidly, and the pressure inside the bottle weakens, causing the outside pressure to crush the plastic bottle.",,,
798,Because of the temperature difference,,,
799,a change in temperature,,,
800,I don't know.,,,
801,I don't know.,,,
802,"When the pressure is constant, the temperature and volume are proportional, but the temperature decreases and the volume decreases",,,
803,This is because the air inside the plastic bottle contracts because the temperature of the air decreases.,,,
804,"As the air cools, the volume decreases and becomes dented.",,,
805,This is because the volume decreases due to a decrease in temperature.  Feat. Charles' Law,,,
806,It's because of the temperature.,,,
807,"If you put a plastic bottle with an increased volume due to the increased temperature of the plastic bottle into the cold refrigerator sock, the temperature of the plastic bottle decreases and the volume decreases.",,,
808,This is because the volume shrinks.,,,
809,a difference in temperature,,,
810,This is because the temperature has decreased.(PV=nRT),,,
811,Don't know.,,,
812,This is because the temperature was lowered and the material in the plastic bottle contracted.,,,
813,"This is because the volume of the fluid in the plastic bottle increases due to the high temperature and then decreases the temperature, thereby reducing the volume.",,,
814,This is because the material in the plastic bottle expands in hot places and contracts in cold places,,,
815,This is because the temperature and volume are proportional when the pressure is constant.,,,
816,This is because the temperature has decreased.,,,
817,It expands in hot places and then shrinks as it goes cold.,,,
818,The air in the plastic bottle contracts as the temperature decreases.,,,
819,"As much as the air in the pushed bottle shrinks, the pressure is on the volume",,,
820,"This is because the air pressure inside the plastic bottle outside becomes high and low, so the air pressure decreases.",,,
821,This is because the pressure varies due to the temperature difference.,,,
822,This is because the pressure of plastic bottles decreases.,,,
823,"Since it is in the refrigerator, the temperature is lower than the outside temperature, so the air pressure is lowered and it is crushed.",,,
824,I don't know because I haven't tried it,,,
825,"Temperature and volume are the expansion of the volume in summer = The plastic bottle, which is a normal volume, is crushed as the temperature decreases.",,,
826,This is because the temperature is low and the volume of air decreases.,,,
827,The air contracted,,,
828,It's hot,,,
829,Because the volume changes because of the heat difference?,,,
830,differ in temperature,,,
831,an extreme temperature difference,,,
832,There's a difference in air pressure,,,
833,This is because the temperature decreases and the volume decreases.,,,
834,I'm not sure. I don't know,,,
835,in contraction,,,
836,a sudden change in temperature,,,
837,This is because the volume decreases as the air in the hot container cools.,,,
838,"""If a bottle that has become bulky due to heat goes to a cold place,",,,
839,"""The volume suddenly gets smaller and it's dented.""",,,
840,Because of the temperature difference,,,
841,It got cold,,,
842,ãã¹ã,,,
843,"It's because when it's solid in a liquid, it gets smaller in volume",,,
844,"The air in the plastic bottle outside expands under heat, which causes the plastic bottle to be high-pressure, and when you put it in the refrigerator, the movement of the molecules decreases rapidly, which lowers the pressure and causes it to be crushed.",,,
845,Because of the temperature difference,,,
846,a difference in temperature difference,,,
847,It's because the temperature suddenly,,,
848,Because I suddenly met the cold air.,,,
849,This is because the temperature outside suddenly changes.,,,
850,I don't understand.,,,
851,I don't know.,,,
852,"There was no air, so it was wrinkled",,,
853,"There was no air, so it was wrinkled",,,
854,There's a big change in temperature,,,
855,The temperature decreases and the volume decreases,,,
856,Volume shrinkage due to temperature differences,,,
857,I've got a better future ahead of me,,,
858,Because of the temperature difference,,,
859,Because there is a big difference in temperature is big,,,
860,This is because the volume decreases when the temperature decreases,,,
861,Pressure is strong at high temperatures.,,,
862,"Expansion good, Pyeongchang good",,,
863,The temperature went down,,,
864,This is because the air density has decreased due to the lower temperature.,,,
865,"If the temperature goes down, the volume goes down",,,
866,Reduced bottle volume due to lower temperature,,,
867,by a large temperature difference,,,
868,It's because the temperature has gone down,,,
869,"The plastic bottle and the room temperature are different, so it expands",,,
870,Temperature difference,,,
871,Dented when the temperature drops suddenly,,,
872,"This is because air expands when the temperature is high and contracts when it is low, making the volume smaller",,,
873,.,,,
874,I don't know.,,,
875,"The lower the temperature, the lower the pressure, which increases the volume",,,
876,"When you put a plastic bottle in the refrigerator, the temperature goes down",,,
877,.,,,
878,This is because temperature is half-burning to volume.,,,
879,because of the pressure,,,
880,This is because the temperature was high and then the temperature decreased when it was put in the refrigerator.,,,
881,"As the temperature went down, the pressure increased",,,
882,Air contraction,,,
883,The temperature difference between the outside and the refrigerator,,,
884,contraction,,,
885,This is because the pressure in the plastic bottle is greater than the pressure outside.,,,
886,It was crushed because of a sudden change in temperature.,,,
887,It is because of the temperature difference.,,,
888,"When the temperature decreases, the volume of the gas decreases, so the plastic bottle decreases.",,,
889,under pressure,,,
890,"As the temperature decreases, the volume of the gas decreases, so the plastic bottle is crushedThe refrigerator is colder than outside, so the air in the plastic bottle shrinks",,,
891,This is because the temperature has increased and the volume has decreased.,,,
892,"The temperature was high outside, but it was low in the refrigerator, and the pressure in the plastic bottle was low",,,
893,"This is because when water at room temperature enters the refrigerator, the temperature decreases, so the distance between the water molecules decreases.",,,
894,It's hot and then cold,,,
895,I don't know.,,,
896,"Because the gas in the bottle cools and contracts,",,,
897,"As the volume of the hot plastic bottle enters the cold place, the volume decreases and the plastic bottle is crushed.",,,
898,"The ideal gas equation shows that the temperature and volume are proportional, so the volume also decreases when the temperature is lowered",,,
899,with a sharp drop in temperature,,,
900,a sudden change in temperature,,,
901,Volume contraction,,,
902,due to the temperature difference,,,
903,There's a huge difference in temperature,,,
904,"When the air in the plastic bottle outside is heated and then put into the refrigerator, the air in the plastic bottle cools rapidly, causing the plastic bottle to be crushed.",,,
905,I don't know.,,,
906,"When the pressure is constant, the temperature and volume are proportional to each other (Charl law), so if you put a plastic bottle in the refrigerator, the temperature decreases, and the volume decreases in proportion to that, causing the plastic bottle to be crushed.",,,
907,"Water is made of hydrogen bonds and when it becomes ice from water, it is made up of a hexagonal structure, which gradually expands and collapses.",,,
908,I don't know.,,,
909,Hot things suddenly get cold (the same theory that glass breaks when you put it in the refrigerator),,,
910,I don't know,,,
911,The pressure is different,,,
912,"Put it in a hot place and put it in a cold place, it will be crushed.",,,
913,I suddenly put hot things in a cool place,,,
914,I don't know.,,,
915,It's because the pressure is gone.,,,
916,Crushed by temperature difference in air pressure.,,,
917,When you put a plastic bottle outside in the refrigerator in the summer,,,
918,The pressure difference is different,,,
919,.,,,
920,Because it expands?,,,
921,"It's hot outside, but coming into the cold refrigerator,",,,
922,"The plastic bottle was outside in the summer, so it went into the refrigerator and froze and crushed.",,,
923,The temperature decreases and the volume decreases.,,,
924,There's no air,,,
925,The density inside is low,,,
926,"The temperature changes drastically due to the difference in temperature, so the shape changes.",,,
927,"""",,,
928,"The temperature is very high outside in the summer. The higher the temperature, the lower the pressure applied to the plastic bottle, and the higher the pressure applied, because the pressure increases when the plastic bottle outside enters the refrigerator.",,,
929,It's because of the air pressure difference depending on the temperature,,,
930,This is because the volume of the gas changed due to the cold temperature in the plastic bottle in the warm place.,,,
931,I'm not really sure.,,,
932,"The density of the material inside increases, creating a vacuum. Part of the plastic bottle around is pulled in to fill the vacuum",,,
933,"The density of the material inside increases and a vacuum is created, and a part of the plastic bottle around it is pulled in to fill the vacuum",,,
934,There's not a lot of air,,,
935,"The density of the material inside increases, resulting in a vacuum, and part of the plastic bottle around it is dragged to heat the vacuum.",,,
936,"Because the pressure is low in the hot and the pressure is high in the cold, the plastic bottle that was in the low pressure goes to the high pressure, so the plastic bottle is crushed.",,,
937,"Due to the temperature difference,",,,
938,"Because if you put the plastic bottle outside and put it in the cold internal storage again, the plastic bottle shrinks when it becomes hot and then becomes cold.",,,
939,"The difference in temperature is conflicting. Plastic bottles left outside in summer have a lot of temperature because if you put them in a refrigerator with a low temperature, there is a lot of temperature difference.",,,
940,High pressure is crushed in a plastic bottle as it enters the refrigerator and becomes low pressure,,,
941,This is because the difference between the air in the plastic bottle and the air temperature outside the plastic bottle is large.,,,
942,The high pressure in the hot plastic bottle is crushed as it enters the refrigerator and becomes low pressure,,,
943,"The temperature of the summer is high, but the temperature of the refrigerator is low, so it is crushed",,,
944,Pressure,,,
945,the sudden cooling of the gas in the bottle and contracting,,,
946,"""I put a warm plastic bottle in the cold refrigerator",,,
947,"""",,,
948,I don't know.,,,
949,"The temperature in summer is hot, but the temperature difference from the refrigerator causes it to be crushed",,,
950,The temperature outside and inside are different,,,
951,I don't know,,,
952,"The plastic bottle is warm and the refrigerator is cold, so the warm air in the plastic bottle escapes.",,,
953,This is because the temperature suddenly increased after entering the refrigerator after receiving sunlight.,,,
954,Because of the pressure,,,
955,It is because the gas in the bottle suddenly cools.,,,
956,It's because the air pressure difference is different depending on the temperature,,,
957,I was in the hot weather and went into the cold weather,,,
958,The sunlight melted,,,
959,"Plastic bottles outside in the summer are under hot heat and pressure, and if you put them in the refrigerator in that state, they are crushed due to temperature differences and pressure.",,,
960,"It's probably because of the pressure difference between the temperature and the air inside becomes active and rises, because the air outside the low pressure is relatively cold, and the air moves from the high pressure to the low pressure to the inside of the bottle",,,
961,"If the temperature is high, heat is generated inside and expands, but if the temperature is suddenly low, cold air creates pressure to press the PET bottle.",,,
962,"It's probably because of the difference in temperature and pressure. Hot water makes the air in it active and rises. It's relatively cold outside the low pressure. It moves from high pressure to low pressure, so I think it's because it's trying to get inside the bottle.",,,
963,"If the temperature is high, the pressure is low, and if the temperature is low, the pressure is high, so it is crushed.",,,
964,"Plastic bottles outside in the summer are crushed when they are put in a refrigerator with a high temperature and a low temperature, and the plastic bottles that were suddenly high are crushed because the temperature is lowered.",,,
965,"If you suddenly put a plastic bottle outside in the refrigerator in summer, the plastic bottle outside is hot because it is hot in summer, but if you suddenly put it in the refrigerator, the temperature change will worsen and the shape of the plastic bottle will change.",,,
966,I was hot in the heat and I met the cold air,,,
967,I don't know.,,,
968,"If you suddenly put a plastic bottle outside in the refrigerator in summer, the plastic bottle outside is hot because it is hot in summer, but if you suddenly put it in the refrigerator, the temperature change becomes severe, changing the shape of the plastic bottle.",,,
969,I don't know,,,
970,Because the air is compressed into one place.,,,
971,Yeah.,,,
972,The refrigerator is cold and there's pressure,,,
973,It's cold,,,
974,"""In summer, because it's hot, plastic bottles get warm, and refrigerators get cold",,,
975,"When you put plastic outside in the refrigerator in the summer, the sudden cold air mixes with the warm plastic bottle, causing the plastic bottle to be crushed by sudden heat transfer",,,
976,"""",,,
977,This is because the temperature difference is too big.,,,
978,Because of the temperature problem,,,
979,ã£ã´ëª¨ããããã¹í¸ããë¥íãã´ãíã ããí´í´ãã,,,
980,I don't know.,,,
981,I don't know,,,
982,I don't know,,,
983,I don't know,,,
984,I think it's a matter of temperature,,,
985,The temperature of the surrounding area changed so much,,,
986,I don't know,,,
987,There's a lot of heat change,,,
988,I don't know,,,
989,I'll get some sunlight and put it in the middle of the coldIt's because it suddenly got cold.,,,
990,It's humid in the summer,,,
991,Because the air was in a warm place and then came to a cold place.,,,
992,"It is sunny in summer, so I think it will be like that if I put it in the refrigerator.",,,
993,The temperature difference between the outside air and the refrigerated high-speed air is big,,,
994,"Because there is hot air in plastic bottles and cold air in refrigerator,",,,
995,"It is hot outside, but it is crushed because it is cold in the refrigerator.",,,
996,The temperature of the refrigerator is so high that it is crushed,,,
997,"It was inflated when it was outside, but the cold air in the refrigerator was compressed into a plastic bottle",,,
998,"If you crush a ping-pong ball and soak it in hot water, it expands as the temperature rises, and if you soak it in cold water, it does not expand. That's why plastic bottles expand and shrink as well.",,,
999,Because the pressure is low,,,
1000,The plastic generates heat,,,
1001,It's because there's a difference in air pressure,,,
1002,"When the temperature goes down, the pressure goes up",,,
1003,I don't know.,,,
1004,There was a sudden temperature difference,,,
1005,Because the plastic that was expanded by heat suddenly enters the refrigerator and shrinks due to the temperature decrease,,,
1006,It's because the air is gone and the expansion is low,,,
1007,I don't know.,,,
1008,This is because the volume decreases as the temperature decreases.,,,
1009,The air in the bottle expands,,,
1010,"If you put it outside and put it in the refrigerator, the temperature of the plastic decreases rapidly, slowing molecular motion, which causes the bottle to contract.",,,
