,"9. Recently, various problems are occurring due to global warming. Let's think about the causes of global warming and explain the scientific method to solve global warming.",q64_fossil fuel,q64_carbon dioxide
410,It is moved to the moon by improving it to a place where you can live.,1,0
411,I think global warming is caused by garbage,0,0
412,You shouldn't cut down on trash and throw it away recklessly,0,0
413,"""",0,1
414,Popularize electric cars.,0,0
415,save electricity,0,0
416,Automobile Smoke Lights - Build Eco-Friendly,0,0
417,"People pollute the environment in many ways, such as cutting trees and destroying nature It is small, but I think it would be good to exercise to protect the natural environment.",0,0
418,Let's not use the air conditioner,0,0
419,"In order to save the earth, I do not throw away trash and save electricity",0,1
420,They make a lot of electric cars.,0,0
421,"Global warming is when the Earth's ozone layer is destroyed and the average temperature of the Earth rises. To prevent this global warming, we need to reduce the number of activities that break through the ozone layer.",0,0
422,Install air hearing aids where smoke comes out,0,1
423,"Smoke from serious factories, trees that can handle carbon dioxide, have all been wiped out by humans by forest destruction, planting a lot of trees and saving on wood can somewhat prevent global warming. It creates things that can purify the air",0,0
424,We should try to reduce waste,0,0
425,"Let's make nature clean, save electricity, save water",0,0
426,Burning garbage such as car fumes and incorrect garbage landfill without environmental hormones,1,0
427,turn a windmill,1,0
428,"There are many people who throw garbage anywhere without throwing it in a fixed place, and global warming occurs due to the increase in garbage due to the use of disposable products, etc. We always throw garbage in a fixed place and reduce the use of disposable products. The scientific method is to develop robots that eat up garbage and dispose of garbage.",1,0
429,Global warming is a phenomenon created by human nature damage So reducing all that can slow down global warming and prevent major damage.,0,0
430,"I develop electric cars more and ride eco-friendly cars. Global warming uses too much electricity and the environment is polluted, so seawater becomes dirty, and the earth is polluted a lot due to smoke gas, which causes global warming.",0,1
431,The cause is typically air pollution. The solution is to reduce the use of disposable products.,0,1
432,"First, try to recycle well, not to make a lot of trash, and walk or use a bicycle for a short distance.",1,1
433,"These days, as much as you ride a car, your smoke increases, and global warming gets worse. It will reduce the amount of fumes, but it will be expensive. Therefore, making automobile fumes into ink can help real life and have a good effect on global warming.",0,1
434,"People's indiscriminate garbage causes global warming due to the accumulation of garbage on Earth, and to solve this problem, waste accumulated on Earth is first put on a spaceship and sent out of space to eliminate the waste accumulated on Earth as much as possible.",0,1
435,Alternative energy that reduces carbon dioxide should be made available.,0,0
436,"Use a silicone straw, make a plastic cup really expensive, and then take-out is to put it in your own water bottle",1,0
437,Making products that can replace the ozone layer,0,0
438,"Reduce the use of things that heat the Earth, such as air conditioners, fans, and disposable items.",0,1
439,Reduce electricity usage in everyday life,0,0
440,Walk as far as you can.,0,0
441,"Since global warming uses a lot of energy, it is possible to use eco-friendly energy, such as solar or hydro, instead of electricity or nuclear energy.",0,1
442,It filters out substances from thermal power plants with static electricity,0,0
443,Increase the average temperature of the air conditioner,0,0
444,New and renewable energy is used by building many places that make new and renewable energy.,0,1
445,"I don't use electricity that I don't need, I save water",1,0
446,Develop technologies that can reduce energy.,0,1
447,I use an air purifier,0,0
448,It increases ice in the Arctic by artificially freezing water.,1,0
449,"The cause of global warming is the use of disposable products a lot and the separation collection, so it is necessary to reduce disposable products and minimize the possibility of ensuring the separation collection.",1,1
450,Use less electricity.,1,0
451,"I think it is because of air conditioner or fan. If you use natural energy, it will help to stop global warming",0,0
452,do not pollute the environment,0,0
453,"We think that garbage is the biggest cause, so we can classify and reduce garbage.",0,1
454,"To prevent warming, we create a membrane around the Earth so that the Earth's environment is no longer polluted",0,0
455,You can save water without throwing trash anywhere.,0,1
456,emit less carbon dioxide,0,0
457,I think it would be better to reduce electricity consumption for all,0,1
458,Electric vehicles or hydrogen vehicles that emit less carbon dioxide are used.,1,1
459,I don't know,1,0
460,Plant a lot of trees and reduce waste,1,0
461,Reduce coal fuel and use transportation dansons such as buses and subways.,1,0
462,Use disposable products to a minimum and use public transportation.,0,0
463,Reduce the use of fumes and use electric cars,1,0
464,We need to reduce greenhouse gas emissions to address global warming,0,1
465,"Use water in moderation, save electricity",0,1
466,Protecting the environment and being hygienic,1,1
467,I threw away trash and didn't save energy,0,1
468,We used up our energy.,1,0
469,How to classify waste and pollutants,1,1
470,Eat garbage and make a robot that digests in the body,1,0
471,Global warming cannot be solved because humans must continue to use resources as long as they are alive,0,0
472,You pay a fine if you don't throw trash in the trash can and use a fan if it's not too hot in the summer,0,1
473,Don't know,0,0
474,Let's reduce 2 factories in each country.,0,0
475,I don't use plastic or disposable products very often,1,0
476,Let's save electricity.,1,1
477,"If you don't use electricity, it's fine",1,0
478,Use eco-friendly energy,1,1
479,Reduce greenhouse gas emissions,0,0
480,disposable savings,0,0
481,Let's not use electricity,0,0
482,Riding a bike,0,0
483,Use AI to dispose of garbage,0,0
484,"""The earth is so polluted that it is hard to recover",0,0
485,"It's a state, so we have to start with a little practice. Reduce the use of disposable items and recycle them frequently",0,0
486,Don't leave food behind and plant plants,0,0
487,These are the things we can do,0,0
488,Other governments have reduced the use of oil,0,0
489,"We need to be careful about environmental protection, and we need to make sure that desertified areas",0,0
490,"You have to try to revive it.""",0,0
491,"Global warming is caused by greenhouse gases. The main cause of greenhouse gases is carbon dioxide. Carbon dioxide is present in the fumes emitted from cars. Therefore, in order to solve global warming, we need to reduce smoke, so by using public transportation, we can reduce the use of many cars or use bicycles that do not emit smoke.",0,0
492,Disposable products such as disposable products are dismantled and discarded.,0,0
493,"Global warming has many problems with greenhouse gases. Cow farts, burps, but fossil fuels.Abuse produces a lot of greenhouse gases. To reduce greenhouse gases, trees should be planted scientifically to purify the air.",0,0
494,"Instead of fossil fuels, they continue to study hydrogen or electricity fuels. So we try to develop technology so that these fuels can be supplied to our lives. And try to discover new renewable energy with new structures and components.Excessive use of air conditioners Because of soil and marine pollution through waste, separate collection and minimize use of air conditioners",0,1
495,Various materials and systems using renewable energy such as hydrogen and electricity should be developed.,0,1
496,"""1. Space Mirror Operation",1,0
497,"The plan is to block about 2 percent of sunlight coming to Earth by floating 16 trillion film discs with a diameter of 60cm and a thickness of 1mm in space. This disk is shaped like a doughnut and has a hole in the center, so it does not fly away in the solar wind. It's a disk where the Earth and the Sun's gravitational pull is off",1,0
498,The idea is to float 1.5 million kilometers away from the offsetting Earth.,0,0
499,"However, they are also worried about climate change caused by artificially blocking the sun.",0,0
500,,0,1
501,2. Operation Sea Fertilizer,0,0
502,The theory is that the sea should be sprayed with iron powder fertilizer to reproduce algae so that they absorb carbon dioxide.,0,1
503,"This theory was established with a hint from the fact that the lack of ammonia and iron makes it difficult to reproduce algae. However, there is a disadvantage that the red tide phenomenon can worsen and the acidification of seawater can worsen, which can adversely affect the marine ecosystem.",1,1
504,,0,0
505,3. Operation to Confine Carbon Dioxide,0,0
506,"The theory is that carbon dioxide is trapped underground, or in oil wells or useless mines that have been mined. In fact, an oil company in Norway has been storing 1 million tons of carbon dioxide annually in the North Sea since 1996. And a factory in the United States uses pipelines to store carbon dioxide in Canadian waste wells.",1,0
507,,0,0
508,,0,0
509,,0,0
510,,0,0
511,,0,0
512,,0,1
513,,0,0
514,"""",0,0
515,"First, the use of substances that cause warming will be prohibited and substances or technologies that can break down greenhouse gases such as CO2 back into monatomic or molecular states rather than greenhouse gases will produce better results.",0,0
516,"I think global warming should go back to nature itself. That is, we need to preserve the destroyed ozone layer, turn current atmospheric temperatures, and rebuild glaciers I think we should try to reduce fossil fuel use and plant trees.",0,1
517,"Due to the increase in carbon dioxide in the atmosphere, greenhouse gases increase and carbon dioxide must be dissolved in water to form carbon dioxide ions.",1,0
518,Develop alternative energy to solve global warming caused by excessive use of fossil fuels.,0,0
519,Reduce the use of fossil fuels and plant more trees to reduce greenhouse gas emissions.,0,0
520,Close distances travel by bicycle or public transportation to reduce emissions of fumes and carbon dioxide.,1,0
521,"First, we eliminate the main culprits of environmental pollution",0,0
522,"Global warming is caused by greenhouse gases such as methane and carbon dioxide. In order to reduce this, it is possible to develop an air conditioner that does not use Freon gas as a refrigerant or a vehicle that generates less carbon dioxide",1,0
523,The carbon dioxide emitted by humans is not related to global warming. The reason why the Earth is getting hot is that there is a cycle of glaciers melting and freezing.,0,0
524,They plant a lot of plants using the photosynthesis of plants.,0,1
525,"Global warming is caused by carbon dioxide emissions, and the problem is deepening. I think the biggest cause of carbon dioxide emissions is the use of oil and coal. In other words, I think global warming will be alleviated if natural gas or new energy resources can be developed and used.",1,0
526,"I think the cause of global warming is greenhouse gases. Therefore, the way to reduce greenhouse gases would be a scientific way to solve global warming. Methods to reduce greenhouse gases include reducing fossil fuel use, tree planting, and vegetarianism. Meat consumption causes quite a lot of greenhouse gases.",0,0
527,Let's create an electric car.,1,0
528,We need to replace oil by quickly creating eco-friendly dece resources to replace it.,0,0
529,"In order to reduce carbon dioxide, which is currently cited as the biggest cause of global warming, fossil fuels that generate carbon dioxide such as coal and oil should be reduced. But it's hard not to use the oil that forms the basis of modern civilization right away. Only by developing resources to replace oil can global warming be prevented.""",1,0
530,"Everyone's efforts are needed first to solve global warming. And put everyone's heads together... Make a spacecraft that escapes the Earth and escape. There is no reason to solve global warming if we abandon the Earth. If you look at the movie Wall-E, you can be a very good world.",0,0
531,strengthen the system,0,0
532,"Personally, I don't use disposable items, and I don't Companies should clean up and discharge things like factory wastewater.",1,0
533,It creates a layer that can replace the ozone layer.,0,0
534,I'm sorry. I don't have time,0,0
535,"It uses atomic bombs to spread radioactivity to the earth, making mankind extinct",0,1
536,I don't know,0,0
537,Reduce the use of disposable items.,0,1
538,You have to save energy.,1,0
539,This is because we need to reduce the use of electricity or water that we use it unnecessarily.,0,0
540,Reducing Exhaust Gas,0,0
541,Spare water.,0,0
542,6.42E+14,0,0
543,"Don't turn on the air conditioner, don't throw away trash, and block all the factories",0,0
544,I think humanity is the most problematic I think we need to deregulate the human race for perfect warming,0,1
545,Reduce the use of carbon dioxide and Freon gas.,0,0
546,It doesn't make carbon dioxide,0,0
547,"Stop using natural resources, spread new energy, research and development to protect the environment on a global level",0,0
548,"The cause of global warming is an increase in greenhouse gases. These greenhouse gases are emitted a lot from automobiles, and eco-friendly technologies must be developed to reduce them",0,1
549,Rapidly developing space technology and turning it into another planet,0,0
550,They're good at recycling.,1,0
551,"Global warming is caused by an increase in the concentration of carbon dioxide in the atmosphere, and to prevent it, the amount of carbon dioxide in the atmosphere must be reduced.",1,0
552,Don't litter on the side of the road,0,0
553,"Global warming is caused by an increase in the concentration of carbon dioxide in the atmosphere, and to prevent it, the amount of carbon dioxide in the atmosphere must be reduced.",0,0
554,"Reduce the use of fuel that causes global warming, and plant trees",0,0
555,I don't know,0,0
556,You just have to work hard.,1,0
557,People try to reduce waste by paying more attention. It also eliminates many factories. It is a major contributor to air pollution.,0,1
558,Let's turn on the air conditioner,1,0
559,Turn on the air conditioner and cool it down,1,0
560,It's something that people cherish what,1,1
561,"Yes, yes",0,1
562,Using Disposable Items,1,0
563,Carbon dioxide seems to be the cause.,1,0
564,Electronics user system,1,0
565,We should reduce the use of electric energy such as air conditioning and heating,1,0
566,Let's make a huge air purifier.,1,0
567,The main cause of global warming is carbon dioxide. So carbon dioxide,0,1
568,"Reducing it will solve global warming. For example, car riding, reducing food mileage, etc",1,1
569,I use public transportation rather than my own car Reduce the use of disposable items.,0,0
570,Efforts should be made to check and discharge less harmful gases emitted from factories.,1,0
571,Make an ozone layer and spray it on the sky.,0,0
572,"Renewable energy should be developed to reduce greenhouse gases, and factory activities should be reduced.",1,0
573,Walking,1,0
574,"To prevent global warming, electric vehicles and hydrogen cars are used, power plants are converted into eco-friendly generators, and nuclear power plants are also used.",1,0
575,"It is a waste of the air that the felons breathe, so they kill everyone to save oxygen.",1,1
576,Let's plant a tree.,1,0
577,"Solar power, wind power, and hydroelectric power are used more.",0,1
578,Research to turn waste into electricity,0,1
579,"Global warming is natural and cannot be solved. However, it can be delayed. If we save electricity as much as possible, generate less smoke in factories eco-friendly, and use less cars, we will be able to prevent global warming to some extent.",0,1
580,"Global warming = Nana on Earth = Nana on Earth. Well, global warming means Nana who came to Earth. So I think we should welcome and celebrate Nana who came to Earth. I'm also curious about the questioner's thoughts. If you know, please reply.",0,0
581,"Water is saved and used, walking near distance.",1,0
582,Reduce greenhouse gas emissions.,0,0
583,Reduce the use of air conditioners.,0,1
584,Do not use chemical fuel,0,0
585,to impose sanctions on China,0,0
586,I use water when I wash my face.,1,0
587,"First of all, there are many reasons for global warming, but what comes to mind the most is carbon dioxide. To solve this problem, it is ideal to reduce the amount of carbon dioxide used, but it does not work well, so we need to come up with ways to physically reduce carbon dioxide.",0,1
588,Develop excellent science and technology that can eliminate global warming,1,0
589,Plant trees,0,0
590,"Because of the exhaust of cars, eco-friendly cars such as electric cars and solar cars are made.",0,0
591,It explodes China because of fine dust,1,0
592,I turned on the air conditioner a lot,0,0
593,"To prevent the butterfly effect, cars should use electrical appliances using wind and hydro solar power as electric vehicles and reduce the number of factories to prevent air pollutionExcessive use of air conditioners Because of soil and marine pollution through waste, separate collection and minimize use of air conditioners",0,0
594,Various materials and systems using renewable energy such as hydrogen and electricity should be developed.,0,0
595,"""1. Space Mirror Operation",1,0
596,"The plan is to block about 2 percent of sunlight coming to Earth by floating 16 trillion film discs with a diameter of 60cm and a thickness of 1mm in space. This disk is shaped like a doughnut and has a hole in the center, so it does not fly away in the solar wind. It's a disk where the Earth and the Sun's gravitational pull is off",0,0
597,The idea is to float 1.5 million kilometers away from the offsetting Earth.,0,0
598,"However, they are also worried about climate change caused by artificially blocking the sun.",0,0
599,,0,1
600,2. Operation Sea Fertilizer,1,0
601,The theory is that the sea should be sprayed with iron powder fertilizer to reproduce algae so that they absorb carbon dioxide.,0,0
602,"This theory was established with a hint from the fact that the lack of ammonia and iron makes it difficult to reproduce algae. However, there is a disadvantage that the red tide phenomenon can worsen and the acidification of seawater can worsen, which can adversely affect the marine ecosystem.",0,0
603,,0,0
604,3. Operation to Confine Carbon Dioxide,0,1
605,"The theory is that carbon dioxide is trapped underground, or in oil wells or useless mines that have been mined. In fact, an oil company in Norway has been storing 1 million tons of carbon dioxide annually in the North Sea since 1996. And a factory in the United States uses pipelines to store carbon dioxide in Canadian waste wells.",0,0
606,,0,0
607,,0,0
608,,1,0
609,,0,0
610,,0,0
611,,0,1
612,,1,0
613,"""",0,0
614,"First, the use of substances that cause warming will be prohibited and substances or technologies that can break down greenhouse gases such as CO2 back into monatomic or molecular states rather than greenhouse gases will produce better results.",1,0
615,"I think global warming should go back to nature itself. That is, we need to preserve the destroyed ozone layer, turn current atmospheric temperatures, and rebuild glaciers I think we should try to reduce fossil fuel use and plant trees.",0,0
616,"Due to the increase in carbon dioxide in the atmosphere, greenhouse gases increase and carbon dioxide must be dissolved in water to form carbon dioxide ions.",1,0
617,Develop alternative energy to solve global warming caused by excessive use of fossil fuels.,0,0
618,Reduce the use of fossil fuels and plant more trees to reduce greenhouse gas emissions.,0,0
619,Close distances travel by bicycle or public transportation to reduce emissions of fumes and carbon dioxide.,0,1
620,"First, we eliminate the main culprits of environmental pollution",0,1
621,"Global warming is caused by greenhouse gases such as methane and carbon dioxide. In order to reduce this, it is possible to develop an air conditioner that does not use Freon gas as a refrigerant or a vehicle that generates less carbon dioxide",0,0
622,The carbon dioxide emitted by humans is not related to global warming. The reason why the Earth is getting hot is that there is a cycle of glaciers melting and freezing.,0,0
623,They plant a lot of plants using the photosynthesis of plants.,0,1
624,"Global warming is caused by carbon dioxide emissions, and the problem is deepening. I think the biggest cause of carbon dioxide emissions is the use of oil and coal. In other words, I think global warming will be alleviated if natural gas or new energy resources can be developed and used.",0,0
625,"I think the cause of global warming is greenhouse gases. Therefore, the way to reduce greenhouse gases would be a scientific way to solve global warming. Methods to reduce greenhouse gases include reducing fossil fuel use, tree planting, and vegetarianism. Meat consumption causes quite a lot of greenhouse gases.",0,0
626,Let's create an electric car.,0,1
627,We need to replace oil by quickly creating eco-friendly dece resources to replace it.,0,0
628,"In order to reduce carbon dioxide, which is currently cited as the biggest cause of global warming, fossil fuels that generate carbon dioxide such as coal and oil should be reduced. But it's hard not to use the oil that forms the basis of modern civilization right away. Only by developing resources to replace oil can global warming be prevented.""",0,0
629,"Everyone's efforts are needed first to solve global warming. And put everyone's heads together... Make a spacecraft that escapes the Earth and escape. There is no reason to solve global warming if we abandon the Earth. If you look at the movie Wall-E, you can be a very good world.",0,0
630,strengthen the system,0,0
631,"Personally, I don't use disposable items, and I don't Companies should clean up and discharge things like factory wastewater.",0,0
632,It creates a layer that can replace the ozone layer.,1,0
633,I'm sorry. I don't have time,1,0
634,"It uses atomic bombs to spread radioactivity to the earth, making mankind extinct",1,0
635,I don't know,0,1
636,Reduce the use of disposable items.,0,0
637,You have to save energy.,1,0
638,This is because we need to reduce the use of electricity or water that we use it unnecessarily.,0,1
639,Reducing Exhaust Gas,1,0
640,Spare water.,1,0
641,6.42E+14,0,0
642,"Don't turn on the air conditioner, don't throw away trash, and block all the factories",1,0
643,I think humanity is the most problematic I think we need to deregulate the human race for perfect warming,1,0
644,Reduce the use of carbon dioxide and Freon gas.,0,0
645,It doesn't make carbon dioxide,0,1
646,"Stop using natural resources, spread new energy, research and development to protect the environment on a global level",0,0
647,"The cause of global warming is an increase in greenhouse gases. These greenhouse gases are emitted a lot from automobiles, and eco-friendly technologies must be developed to reduce them",0,1
648,Rapidly developing space technology and turning it into another planet,1,0
649,They're good at recycling.,0,1
650,"Global warming is caused by an increase in the concentration of carbon dioxide in the atmosphere, and to prevent it, the amount of carbon dioxide in the atmosphere must be reduced.",0,0
651,Don't litter on the side of the road,0,0
652,"Global warming is caused by an increase in the concentration of carbon dioxide in the atmosphere, and to prevent it, the amount of carbon dioxide in the atmosphere must be reduced.",1,0
653,"Reduce the use of fuel that causes global warming, and plant trees",0,0
654,I don't know,0,1
655,You just have to work hard.,0,0
656,People try to reduce waste by paying more attention. It also eliminates many factories. It is a major contributor to air pollution.,0,1
657,Let's turn on the air conditioner,0,0
658,Turn on the air conditioner and cool it down,0,0
659,It's something that people cherish what,0,0
660,"Yes, yes",0,0
661,Using Disposable Items,0,1
662,Carbon dioxide seems to be the cause.,0,0
663,Electronics user system,0,0
664,We should reduce the use of electric energy such as air conditioning and heating,0,1
665,Let's make a huge air purifier.,0,0
666,The main cause of global warming is carbon dioxide. So carbon dioxide,1,0
667,"Reducing it will solve global warming. For example, car riding, reducing food mileage, etc",0,1
668,I use public transportation rather than my own car Reduce the use of disposable items.,1,0
669,Efforts should be made to check and discharge less harmful gases emitted from factories.,0,1
670,Make an ozone layer and spray it on the sky.,0,0
671,"Renewable energy should be developed to reduce greenhouse gases, and factory activities should be reduced.",0,0
672,Walking,0,1
673,"To prevent global warming, electric vehicles and hydrogen cars are used, power plants are converted into eco-friendly generators, and nuclear power plants are also used.",0,0
674,"It is a waste of the air that the felons breathe, so they kill everyone to save oxygen.",0,1
675,Let's plant a tree.,0,0
676,"Solar power, wind power, and hydroelectric power are used more.",0,1
677,Research to turn waste into electricity,0,1
678,"Global warming is natural and cannot be solved. However, it can be delayed. If we save electricity as much as possible, generate less smoke in factories eco-friendly, and use less cars, we will be able to prevent global warming to some extent.",1,0
679,"Global warming = Nana on Earth = Nana on Earth. Well, global warming means Nana who came to Earth. So I think we should welcome and celebrate Nana who came to Earth. I'm also curious about the questioner's thoughts. If you know, please reply.",1,0
680,"Water is saved and used, walking near distance.",1,0
681,Reduce greenhouse gas emissions.,0,1
682,Reduce the use of air conditioners.,1,1
683,Do not use chemical fuel,0,0
684,to impose sanctions on China,0,1
685,I use water when I wash my face.,0,1
686,"First of all, there are many reasons for global warming, but what comes to mind the most is carbon dioxide. To solve this problem, it is ideal to reduce the amount of carbon dioxide used, but it does not work well, so we need to come up with ways to physically reduce carbon dioxide.",1,0
687,Develop excellent science and technology that can eliminate global warming,0,0
688,Plant trees,1,0
689,"Because of the exhaust of cars, eco-friendly cars such as electric cars and solar cars are made.",0,1
690,It explodes China because of fine dust,0,1
691,I turned on the air conditioner a lot,1,0
692,"To prevent the butterfly effect, cars should use electrical appliances using wind and hydro solar power as electric vehicles and reduce the number of factories to prevent air pollutionExcessive use of air conditioners Because of soil and marine pollution through waste, separate collection and minimize use of air conditioners",1,0
693,Various materials and systems using renewable energy such as hydrogen and electricity should be developed.,1,0
694,"""1. Space Mirror Operation",0,0
695,"The plan is to block about 2 percent of sunlight coming to Earth by floating 16 trillion film discs with a diameter of 60cm and a thickness of 1mm in space. This disk is shaped like a doughnut and has a hole in the center, so it does not fly away in the solar wind. It's a disk where the Earth and the Sun's gravitational pull is off",0,0
696,The idea is to float 1.5 million kilometers away from the offsetting Earth.,1,0
697,"However, they are also worried about climate change caused by artificially blocking the sun.",1,0
698,,0,1
699,2. Operation Sea Fertilizer,0,0
700,The theory is that the sea should be sprayed with iron powder fertilizer to reproduce algae so that they absorb carbon dioxide.,0,0
701,"This theory was established with a hint from the fact that the lack of ammonia and iron makes it difficult to reproduce algae. However, there is a disadvantage that the red tide phenomenon can worsen and the acidification of seawater can worsen, which can adversely affect the marine ecosystem.",0,0
702,,1,0
703,3. Operation to Confine Carbon Dioxide,0,0
704,"The theory is that carbon dioxide is trapped underground, or in oil wells or useless mines that have been mined. In fact, an oil company in Norway has been storing 1 million tons of carbon dioxide annually in the North Sea since 1996. And a factory in the United States uses pipelines to store carbon dioxide in Canadian waste wells.",1,0
705,,0,0
706,,0,0
707,,0,0
708,,0,0
709,,0,0
710,,0,1
711,,0,0
712,"""",0,0
713,"First, the use of substances that cause warming will be prohibited and substances or technologies that can break down greenhouse gases such as CO2 back into monatomic or molecular states rather than greenhouse gases will produce better results.",0,1
714,"I think global warming should go back to nature itself. That is, we need to preserve the destroyed ozone layer, turn current atmospheric temperatures, and rebuild glaciers I think we should try to reduce fossil fuel use and plant trees.",0,0
715,"Due to the increase in carbon dioxide in the atmosphere, greenhouse gases increase and carbon dioxide must be dissolved in water to form carbon dioxide ions.",0,1
716,Develop alternative energy to solve global warming caused by excessive use of fossil fuels.,0,0
717,Reduce the use of fossil fuels and plant more trees to reduce greenhouse gas emissions.,0,0
718,Close distances travel by bicycle or public transportation to reduce emissions of fumes and carbon dioxide.,0,0
719,"First, we eliminate the main culprits of environmental pollution",0,1
720,"Global warming is caused by greenhouse gases such as methane and carbon dioxide. In order to reduce this, it is possible to develop an air conditioner that does not use Freon gas as a refrigerant or a vehicle that generates less carbon dioxide",0,1
721,The carbon dioxide emitted by humans is not related to global warming. The reason why the Earth is getting hot is that there is a cycle of glaciers melting and freezing.,1,0
722,They plant a lot of plants using the photosynthesis of plants.,0,0
723,"Global warming is caused by carbon dioxide emissions, and the problem is deepening. I think the biggest cause of carbon dioxide emissions is the use of oil and coal. In other words, I think global warming will be alleviated if natural gas or new energy resources can be developed and used.",0,0
724,"I think the cause of global warming is greenhouse gases. Therefore, the way to reduce greenhouse gases would be a scientific way to solve global warming. Methods to reduce greenhouse gases include reducing fossil fuel use, tree planting, and vegetarianism. Meat consumption causes quite a lot of greenhouse gases.",0,0
725,Let's create an electric car.,0,0
726,We need to replace oil by quickly creating eco-friendly dece resources to replace it.,0,1
727,"In order to reduce carbon dioxide, which is currently cited as the biggest cause of global warming, fossil fuels that generate carbon dioxide such as coal and oil should be reduced. But it's hard not to use the oil that forms the basis of modern civilization right away. Only by developing resources to replace oil can global warming be prevented.""",0,0
728,"Everyone's efforts are needed first to solve global warming. And put everyone's heads together... Make a spacecraft that escapes the Earth and escape. There is no reason to solve global warming if we abandon the Earth. If you look at the movie Wall-E, you can be a very good world.",0,0
729,strengthen the system,0,1
730,"Personally, I don't use disposable items, and I don't Companies should clean up and discharge things like factory wastewater.",0,0
731,It creates a layer that can replace the ozone layer.,0,1
732,I'm sorry. I don't have time,0,0
733,"It uses atomic bombs to spread radioactivity to the earth, making mankind extinct",0,0
734,I don't know,0,1
735,Reduce the use of disposable items.,1,0
736,You have to save energy.,0,1
737,This is because we need to reduce the use of electricity or water that we use it unnecessarily.,0,1
738,Reducing Exhaust Gas,0,1
739,Spare water.,0,0
740,6.42E+14,0,1
741,"Don't turn on the air conditioner, don't throw away trash, and block all the factories",0,1
742,I think humanity is the most problematic I think we need to deregulate the human race for perfect warming,0,0
743,Reduce the use of carbon dioxide and Freon gas.,1,0
744,It doesn't make carbon dioxide,0,0
745,"Stop using natural resources, spread new energy, research and development to protect the environment on a global level",1,0
746,"The cause of global warming is an increase in greenhouse gases. These greenhouse gases are emitted a lot from automobiles, and eco-friendly technologies must be developed to reduce them",0,0
747,Rapidly developing space technology and turning it into another planet,0,0
748,They're good at recycling.,0,0
749,"Global warming is caused by an increase in the concentration of carbon dioxide in the atmosphere, and to prevent it, the amount of carbon dioxide in the atmosphere must be reduced.",0,0
750,Don't litter on the side of the road,0,0
751,"Global warming is caused by an increase in the concentration of carbon dioxide in the atmosphere, and to prevent it, the amount of carbon dioxide in the atmosphere must be reduced.",0,0
752,"Reduce the use of fuel that causes global warming, and plant trees",0,0
753,I don't know,1,0
754,You just have to work hard.,1,0
755,People try to reduce waste by paying more attention. It also eliminates many factories. It is a major contributor to air pollution.,0,1
756,Let's turn on the air conditioner,0,0
757,Turn on the air conditioner and cool it down,0,1
758,It's something that people cherish what,0,0
759,"Yes, yes",0,1
760,Using Disposable Items,1,0
761,Carbon dioxide seems to be the cause.,1,0
762,Electronics user system,0,0
763,We should reduce the use of electric energy such as air conditioning and heating,1,0
764,Let's make a huge air purifier.,0,0
765,The main cause of global warming is carbon dioxide. So carbon dioxide,1,0
766,"Reducing it will solve global warming. For example, car riding, reducing food mileage, etc",1,0
767,I use public transportation rather than my own car Reduce the use of disposable items.,0,0
768,Efforts should be made to check and discharge less harmful gases emitted from factories.,0,0
769,Make an ozone layer and spray it on the sky.,0,1
770,"Renewable energy should be developed to reduce greenhouse gases, and factory activities should be reduced.",0,0
771,Walking,0,1
772,"To prevent global warming, electric vehicles and hydrogen cars are used, power plants are converted into eco-friendly generators, and nuclear power plants are also used.",0,1
773,"It is a waste of the air that the felons breathe, so they kill everyone to save oxygen.",0,0
774,Let's plant a tree.,0,0
775,"Solar power, wind power, and hydroelectric power are used more.",0,0
776,Research to turn waste into electricity,0,0
777,"Global warming is natural and cannot be solved. However, it can be delayed. If we save electricity as much as possible, generate less smoke in factories eco-friendly, and use less cars, we will be able to prevent global warming to some extent.",1,0
778,"Global warming = Nana on Earth = Nana on Earth. Well, global warming means Nana who came to Earth. So I think we should welcome and celebrate Nana who came to Earth. I'm also curious about the questioner's thoughts. If you know, please reply.",1,0
779,"Water is saved and used, walking near distance.",0,1
780,Reduce greenhouse gas emissions.,0,0
781,Reduce the use of air conditioners.,0,0
782,Do not use chemical fuel,0,0
783,to impose sanctions on China,0,0
784,I use water when I wash my face.,1,0
785,"First of all, there are many reasons for global warming, but what comes to mind the most is carbon dioxide. To solve this problem, it is ideal to reduce the amount of carbon dioxide used, but it does not work well, so we need to come up with ways to physically reduce carbon dioxide.",0,0
786,Develop excellent science and technology that can eliminate global warming,0,0
787,Plant trees,0,0
788,"Because of the exhaust of cars, eco-friendly cars such as electric cars and solar cars are made.",0,1
789,It explodes China because of fine dust,1,0
790,I turned on the air conditioner a lot,0,1
791,"To prevent the butterfly effect, cars should use electrical appliances using wind and hydro solar power as electric vehicles and reduce the number of factories to prevent air pollutionGreenhouse gases (typically carbon dioxide) prevent heat from going out of the Earth.",0,0
792,"Therefore, to solve global warming, reduce greenhouse gas emissions.""",0,0
793,It is because disposable waste and other waste are dumped on the ground and in the sea,0,1
794,Get rid of cars.Stretch the trees. and so on,0,1
795,unauthorized dumping of garbage,0,1
796,"It can be solved in various ways, such as separating garbage, recycling, and using public transportation.",0,0
797,"First, the country specifies the amount of trees that can be used by a company. And by planting more trees in that amount, global warming is reduced and resources (water, electricity, etc.) used are limited according to size and circumstances for each generation.",0,0
798,"Global warming is caused by factory fumes or automobile exhaust, so separating and purifying factory fumes by atom can prevent global warming.",0,1
