,1) Let's imagine what happens when you collect sunlight with convex lenses,q49_temperature,q49_refractive,q49_light energy
725,I don't know.,,,
726,The temperature is going up,,,
727,There's a fire,,,
728,Light gathers in one place,,,
729,It's on fire,,,
730,There's a fire,,,
731,Hot light forms in one place.,,,
732,Hot light forms in one place.,,,
733,The light is spreading.,,,
734,The light is reflected.,,,
735,The temperature rises at that point.,,,
736,The light gathers and the temperature of the gathered area rises,,,
737,The light spreads.,,,
738,Light gathers in one place,,,
739,apply properties to convex lenses,,,
740,I don't know,,,
741,I don't know.,,,
742,I don't know.,,,
743,"If you look at it, it's my real name",,,
744,Intensive heat transfer,,,
745,It's getting hot,,,
746,to be able to ride,,,
747,It's on fire,,,
748,Fire,,,
749,The heat gathers and the fire breaks out,,,
750,"Where the sunlight gathers, the substances burn",,,
751,Light gathers in one place,,,
752,There's a fire,,,
753,heat generation,,,
754,Collect a wide range of light into one place.,,,
755,Light can be concentrated in one place and burn an object.,,,
756,Light gathers at a point.,,,
757,It's on fire.,,,
758,I can see your eyes well You can see the refracted light coming into the retina as it gets into your eyes,,,
759,to be able to burn ants,,,
760,There's a fire,,,
761,The light deflects without going straight.,,,
762,The light is brought together.,,,
763,Gather the light,,,
764,The fire breaks out while heating,,,
765,Heated,,,
766,It's getting hot.,,,
767,"Things happen, such as light converges and the temperature at that point increases.",,,
768,the intensity of light,,,
769,Light gathers in focus and the object in focus burns,,,
770,It's getting hot.,,,
771,The temperature of the light receiving part increases.,,,
772,The gathering part gets hot.,,,
773,A fire can break out. A typical example is a magnifying glass that collects sunlight.,,,
774,Light gathers well.,,,
775,The light is gathering,,,
776,The light is gathered and burned,,,
777,It looks convex,,,
778,I don't understand.,,,
779,It looks big.,,,
780,There's a fire,,,
781,The light gathers and becomes stronger,,,
782,gather in one place,,,
783,I don't know.,,,
784,It's burning,,,
785,"When sunlight gathers into focus, it will spread further and further away from focus.",,,
786,The temperature rises.,,,
787,Sunlight gathers well.,,,
788,"The sun is incident parallel to the convex lens. Therefore, it is concentrated in focus.",,,
789,It catches fire.,,,
790,I don't know.,,,
791,"Sunlight gathers into the focus of the convex lens.As light gathers in one place, the target's heat rises.",,,
792,"Because energy is concentrated, something can be burned.",,,
793,wtf,,,
794,The light gathers.,,,
795,It's hot.,,,
796,Sunlight refracts and temperatures rise in one place,,,
797,A lot of light gathers at the point where sunlight gathers and a lot of heat is generated.,,,
798,The gathered part gets hot,,,
799,"When sunlight is collected, heat is concentrated in one place, which can burn substances.",,,
800,"The convex lens focuses the incoming light. When sunlight is collected, sunlight entering in various directions can be collected at the focal point of the convex lens, and the temperature can be raised a lot at that position.",,,
801,The place is on fire because the sunlight is condensed.,,,
802,It's on fire,,,
803,The sun's light energy is concentrated in a narrow area and the temperature rises.,,,
804,"Light energy gathers. It may be less, but it is omitted because there is not enough time.",,,
805,Sunlight gathers in one place.,,,
806,The light is gathered and it gets hot.,,,
807,"When you collect sunlight with a lens, things burn. (Sunlight energy contains heat energy)",,,
808,"Convex lenses have the property that straight light is refracted and collected at one point. Therefore, by bringing sunlight together into a single point with a convex lens, that point will be burned.",,,
809,"When sunlight is collected with convex lenses, light is refracted and gathered into one point, and when sunlight is collected into one point, solar energy is concentrated into one point, and the temperature gradually rises. Due to the increased temperature, the temperature rises above the ignition point and catches fire.",,,
810,"When sunlight is collected with a convex lens, if there is a de-material, oxygen is supplied and the temperature rises above the ignition point. If that happens, it will burn because it meets the conditions to catch fire.",,,
811,"If you collect sunlight using convex lenses, you can collect heat and burn materials.",,,
812,a shortage of time,,,
813,"When sunlight is collected, it becomes possible for the heat of sunlight to gather in one place and light it.",,,
814,Light collects and generates heat.,,,
815,"A convex lens is a lens that collects light. Therefore, when sunlight with strong heat energy is collected, the focus area becomes fire or hot.",,,
816,It's burning.,,,
817,I'm sorry.,,,
818,..,,,
819,The fire is burning,,,
820,It's coming together,,,
821,"As smoke gradually rises, certain parts burn black.",,,
822,Nothing happens.,,,
823,Flames and smoke.,,,
824,The temperature of the circumferential surface of the convex lens increases and a fire may occur.,,,
825,Fire,,,
826,A fire breaks out.,,,
827,It's burning,,,
828,M and D,,,
829,Sunlight gathers in one place.,,,
830,The light is spreading,,,
831,The sunlight collects and heats up the area,,,
832,There's a fire.,,,
833,I don't know.,,,
834,.,,,
835,I don't know.,,,
836,"If you put the paper on it, the paper burns",,,
837,There's a fire,,,
838,There's a fire,,,
839,There's a fire.,,,
840,spread without gathering together,,,
841,There's a fire,,,
842,Light gathers and becomes stronger,,,
843,A fire breaks out because of the heat,,,
844,It's burning,,,
845,The temperature rises where the light gathers,,,
846,There's a fire in the middle,,,
847,It's a target,,,
848,There's a fire,,,
849,Sunlight gathers in one place.,,,
850,The middle is hotter than the edge,,,
851,Light gathers and a fire breaks out,,,
852,It's burning.,,,
853,Flames fly.,,,
854,"As light gathers in the middle, it heats up or burns",,,
855,I only ride the seats where the sunlight is gathered.,,,
856,The heat of the gathered light rises,,,
857,There's a fire,,,
858,.............,,,
859,a fire breaks out,,,
860,The light is reflected and the light gathers in different positions,,,
861,The sunlight gathers in the middle,,,
862,The temperature rises and brightens.,,,
863,Light gathers.,,,
864,It's burning,,,
865,It's burning,,,
866,The paper burns because of light and heat,,,
867,The paper burns because of light and heat.,,,
868,Collect the light and heat it up.,,,
869,Nothing happens,,,
870,The collected sunlight may heat up and cause things to burn,,,
871,The collected part gets hot,,,
872,to be able to burn paper,,,
873,Objects with paper-like properties can be burned.,,,
874,The light gathers in the middle and the temperature rises,,,
875,The paper burns,,,
876,"When you collect sunlight with a convex lens, light gathers in the middle. If you gather like this, it can generate a lot of heat, so it catches fire.",,,
877,"If there is paper at the bottom, the light gathered in the middle will go down and the paper at the bottom will burn.",,,
878,The light gathers in the middle and the temperature rises,,,
879,"The lenses are convex, so they're gathered in the center.to be able to heat up",,,
880,A fire breaks out at the gathering place,,,
881,A fire breaks out at the gathering place,,,
882,Sunlight gathers in one place and heats up,,,
883,"Where the light goes, it will get hot",,,
884,"If there is anything to ride, it burns.",,,
885,The temperature of the thermometer increases when the desiccant is burned by the heat of light,,,
886,The temperature rises where it is gathered,,,
887,"When sunlight is collected with convex lenses, light is generated, and if you place the paper underneath it, you can see the paper burns",,,
888,"Hot light will form and put the paper underneath it, and the paper will burn.",,,
889,Put paper under it and it burns.,,,
890,"The paper underneath will burnBy collecting sunlight well, paper or de-materials can burn slowly.",,,
891,You can burn paper lanterns that burn well.,,,
892,I think I can burn paper if I collect sunlight with convex lenses.,,,
893,The heat is hot enough to make a hole in the paper.,,,
894,"If you put a black paper under the lens, the paper burns because of the lens",,,
895,Convex lenses have the property of refracting light and are likely to be reflected by sunlight.,,,
896,The paper burns because you can see the sunlight,,,
897,There's a fire,,,
898,Paper burns on fire,,,
899,I think we're going to gather in the middle,,,
900,It burns or gets hot,,,
901,Fire. Light up in the middle.,,,
902,The paper burns,,,
903,"If it's black paper, we can light it up",,,
904,I think I can collect the light,,,
905,"Due to the nature of the convex lens, it emits strong sunlight that also ignites.",,,
906,The temperature will be higher.,,,
907,It's because it spreads,,,
908,It can be concentrated in one place to heat and light paper.,,,
909,The paper heats up the paper.,,,
910,The paper is crooked,,,
911,Sunlight gathers in the middle of the convex.,,,
912,The light is bent to the thick part of the convex lens and the light is gathered in the middle,,,
913,"The places you have collected will turn hot and if you collect a lot, you will likely catch a fire.",,,
914,The heat is applied to the collected place and the part burns.,,,
915,"Because light gathers in thick parts, light gathers only in the middle.",,,
916,The collected part will be hotter than the others.,,,
917,a fiery man,,,
918,Light is concentrated in one place,,,
919,The light is gathering,,,
920,Light can gather at the edge and heat up to make a fire.,,,
921,The gathering place is hot,,,
922,There's a fire.,,,
923,"""I can make a fire.",,,
924,"""",,,
925,It burns under the sunlight of the de-matter under the convex lens.,,,
926,The temperature rises as heat gathers,,,
927,I have a fever and the paper burns,,,
928,Light gathers in one place and burns,,,
929,It's getting hot,,,
930,Sunlight is gathering,,,
931,"If you gather in the middle, it's much hotter than the rest. And if you collect heat, you can make fire",,,
932,I have no idea.,,,
933,I think convex lenses can burn if they get too close to the sunlight,,,
934,.,,,
935,I don't know,,,
936,.,,,
937,I think the lights will be reflected,,,
938,Sunlight gathers in the middle.,,,
939,"When the heat of the sun is concentrated and the paper is placed in the concentrated area, the paper burns.",,,
940,The temperature is going up,,,
941,Light will gather into one place.,,,
942,Light gathers in one place,,,
943,I don't know.,,,
944,I don't know,,,
945,..distant,,,
946,I don't know,,,
947,Put it on the paper and it will catch fire,,,
948,It's burning,,,
949,It's burning,,,
950,There's a fire.,,,
951,There's a fire,,,
952,There's a fire,,,
953,I can't collect sunlight,,,
954,It's refracting,,,
955,The light spreads.,,,
956,"If you put an object like black paper, heat can gather and burn.",,,
957,There's a fire,,,
958,Light collects and burns objects in some cases,,,
959,It's impossible,,,
960,"Collected light can burn objects at high temperatures, in some cases",,,
961,The light spreads.,,,
962,"Because convex lenses have the property of collecting light into one place, for example, paper can catch fire if there is paper where light is collected.",,,
963,Sunlight is gathering,,,
964,"The middle part is thicker than the edge, so light is refracted from the edge part and gathers to the center part, so light and heat gather. Therefore, collecting sunlight with convex lenses will make it brighter, and the temperature will rise.",,,
965,Smoke comes from the gathering,,,
966,Light gathers in one place and burns,,,
967,I don't know,,,
968,I don't know,,,
969,The light is reflected,,,
970,The light is likely to reflect.,,,
971,My eyes are shining,,,
972,I don't know,,,
973,I don't know,,,
974,I don't know because I didn't learn it,,,
975,I think there's going to be a refraction,,,
976,You have not learned refraction/refraction.,,,
977,I don't know.,,,
978,I think the sunlight will gather in the middle and catch fire,,,
979,I think the light will reflect,,,
980,I don't know because I didn't learn it.,,,
981,I don't know.,,,
982,to be able to cause a fire,,,
983,When you make a fire in the wild.,,,
984,I don't know.,,,
985,I don't know,,,
986,I think it'll look brighter.,,,
987,I don't know!,,,
988,My eyes are going to hurt.,,,
989,I don't know.I'm getting a fever,,,
990,Light gathers in one spot,,,
991,I don't know,,,
992,The light is refracted,,,
993,It's getting hot,,,
994,?,,,
995,It's getting hot,,,
996,It's refracting,,,
997,The part where the sunlight is gathered catches fire,,,
998,Collecting light,,,
999,Heat is generated,,,
1000,The temperature is getting hot,,,
1001,a fiery man,,,
1002,The fire is burning,,,
1003,There's a fire,,,
1004,The temperature of the place where the light is gathered increases,,,
1005,The convex lens gets hot.,,,
1006,"As it gathers, it burns when it's placed on black paper",,,
1007,Heat is generated in one area and can be burned if collected for a long time,,,
1008,The part burns because the light is concentrated in one place and energy is concentrated there.,,,
1009,There's a fire,,,
1010,I don't know,,,
1011,The ants are burning. I'll give you a ride on your head,,,
1012,I don't want to,,,
1013,"Since the middle part is thicker than the edge, it will refract sunlight and collect it in one place.",,,
1014,The middle part is getting hot,,,
1015,Well,,,
1016,Sunlight gathers at the focus of the convex lens.,,,
1017,It can burn ants.,,,
1018,The light is gathering,,,
1019,"Hair loss, hair loss",,,
1020,You can kill ants through the lens.,,,
1021,Heat is generated in the gathered area,,,
1022,Strong light gathers to generate heat,,,
1023,"Concentrating a point of light concentrates energy. With that energy, you can burn paper, etc",,,
1024,It's getting stronger,,,
1025,You can collect light and burn something like black paper.,,,
1026,"When sunlight is collected, sunlight is concentrated at the gathering point, so you can cook there and eat delicious pork belly, and if you can't make a fire, you can use convex lenses to make a fire.",,,
1027,Solar energy radiation increases at the point where sunlight gathers.,,,
1028,"When parallel sunlight passes through the convex lens, the focus is focused on the convex side.",,,
1029,Light collection temperature rises in focus very hot fire can occur,,,
1030,The leaves can be burned. Heat is generated at the focal point of the convex lens.,,,
1031,"The convex lens focuses on one point, and when sunlight is collected, the heat of sunlight gathers in one step, generating heat that can burn objects.",,,
1032,"Light is refracted to the thick side, and when a convex lens is used, when divided into the lower part of the upper part of the lens, the light on the upper part is bent to the middle part, and the light on the lower part is bent to the middle part. Using this phenomenon, I think it can help people observe in real life or use energy by using magnifiers or lenses that collect light.",,,
1033,"A convex lens has the property of refracting light and collecting it at a point, and when it collects light with this convex lens, a large amount of energy will be collected at the intersection of the refractive lines, and it will be dangerous if it is directed toward life.",,,
1034,"When sunlight is collected with convex lenses, the light is collected and heat is increased, and the smell will cause uncomfortable people to open their windows with frowns, and the need for hospitals around them will increase, and the economy will circulate and follow better policies.",,,
1035,It's on fire,,,
1036,It's getting hot,,,
1037,It's hot,,,
1038,I don't know.,,,
1039,The part where the sunlight directly meets gets hot,,,
1040,to be able to make a fire,,,
1041,There's a fire,,,
1042,It's burning,,,
1043,Light gathers in the middle to generate heat.,,,
1044,They gather in one place,,,
1045,That part could get very hot and cause a fire,,,
1046,"My eyes hurt for now my eyes hurt. When you focus on black paper with convex lenses, sunlight gathers there and receives heat, causing the paper to get scorched or burned.",,,
1047,The sunlight gathers in one spot,,,
1048,It can catch fire.,,,
1049,My clothes burn better because they are black,,,
1050,Sunlight gathers in one place and traps paper in and causes a fire,,,
1051,The sun will be concentrated in one place and burn where the convex lens is illuminated,,,
1052,"Because light is concentrated in one place, the temperature at that point becomes very high.",,,
1053,"The statue is formed by turning 180 degrees, and the color is larger and clearer.  Magnifier, car side mirror",,,
1054,"If you put paper in a place that collects sunlight, it will burn",,,
1055,De-materials catch fire,,,
1056,The light is gathering,,,
1057,The sunlight gathers in one spot,,,
1058,The sunlight gathers. The part where the light gathers gets hot.,,,
1059,Strong energy is generated,,,
1060,to be able to burn matter,,,
1061,It's getting hot,,,
1062,Light gathers in one spot,,,
1063,A fire breaks out in the gathering area,,,
1064,There is a gathering point,,,
1065,The energy of light comes together and it gets hotter,,,
1066,Put black paper on it burns,,,
1067,The boil burns,,,
1068,the temperature of the substances below it rises,,,
1069,It's hot,,,
1070,It gathers in one point.,,,
1071,There's a fire,,,
1072,The light is spreading,,,
1073,"If you collect sunlight with a convex lens, there is a fire.",,,
1074,Sunlight gathers at one point and the material underneath burns.,,,
1075,"The sunlight, which originally spread over a large area, is refracted by convex lenses, which concentrates on a smaller area, and the narrow area where the sunlight touches is heated at a faster rate.",,,
1076,"Because convex lenses have the property of refracting light to the thick side of the lens, light gathers and the temperature is concentrated in one place. Therefore, there is smoke or fire.",,,
1077,The light gathers and the gathering place heats up. There will be a fire in the end.,,,
1078,It can be hot and on fire!,,,
1079,"Because light refraction occurs in convex lenses, when sunlight is collected, the light gathers at a point and over time, the temperature of the area rises, generating heat, which can cause a fire (in the case of paper, the area burns black)",,,
1080,"Sunlight will gather and heat will be concentrated in one place. If the temperature of the point where heat is collected increases and lasts for a long time, a fire may occur.",,,
1081,"Collecting sunlight with convex lenses increases the brightness and temperature of the area. . As light passes through the lens, it is bent toward the thick side of the lens because the center of the lens is thicker than the edge, so the light is bent toward the center of the lens.",,,
1082,"All sunlight directed to the convex lens gathers in the middle of the lens, becoming one strong light. Therefore, stronger light and heat will be generated than when light is dispersed. When I was young, I did a science experiment on magnifying glass. It was an activity where a magnifying glass was placed on a white paper to shine sunlight, and the results of the experiment at that time are still memorable. The paper became more and more scorched, and eventually a fire broke out. Perhaps if I had been shining on my hand, my hand would have burned.",,,
1083,"The sunlight that passes through the convex lens gathers in focus. Through this, it can be seen that the convex lens has a characteristic of collecting light. Thus, if you collect sunlight with a convex lens, it will be gathered into one part, and if a lot of light is exposed to a certain space for a long time, only a certain part will be heated. In other words, certain parts where light is gathered will be burned by heat.",,,
1084,"When light is refracted with a convex lens to pass through a point to collect light, the area of light collected becomes smaller when sunlight is collected with a convex lens, and the brightness of that part becomes brighter. Also, the temperature of the sunlight collection increases.",,,
1085,"As sunlight passes through the convex lens, the light deflects inward from the center and gathers into focus. At this time, if there is a substance that can be burned, such as paper, at the point where light gathers, the substance can burn and cause a fire.",,,
1086,"A convex lens refracts incoming light so that the focus is focused in one direction. Therefore, using a convex lens, light can be collected in one direction. Therefore, when sunlight is collected with convex lenses, light can gather in one direction and ignite it.",,,
1087,"When light is incident in a direction parallel to the plane where the convex lens is erected, it is concentrated in the middle of the convex lens with a relatively large density to create a focus. The temperature at the focal point will rise.",,,
1088,"The convex lens refracts and collects light because the center of the lens is thicker than the edge. Therefore, it is possible to collect sunlight with a convex lens and apply hotter heat than usual where the sunlight passes through this lens. For example, if you place the paper underneath the convex lens and let the sunlight shine, the paper can burn with increasing heat.Sunlight gathers, heat from sunlight gathers, so it can be used to heat up.",,,
1089,"Convex lenses are thick in the middle, so they have the property of collecting them into one point. The solar energy gathered in such a way gradually increases the temperature of that part and concentrates heat. At this time, if you put paper or wood, which is a burning substance, concentrated heat causes a fire.",,,
1090,"A convex lens has a convex thicker center than an edge of the lens. Thus, when sunlight passes through the convex lens, the light refracts and bends toward the center and gathers.",,,
1091,"When light gathers, heat is generated and if the heat persists, it can burn any small material. Combustion using larger convex lenses will reduce the use of fossil fuels currently in use, which will save energy and reduce environmental pollution.",,,
1092,"There will be a fire in the middle. Because convex lenses have the property of refracting light, sunlight refracts and passes when sunlight is reflected, and convex lenses have the property of collecting light, so light is refracted toward the focus and light will gather in one place. At this time, energy is generated as light gathers momentarily, which will generate heat and cause fire.",,,
1093,"One interesting experiment is that when sunlight is collected with a magnifying glass, it catches fire. Magnifying glasses are also a typical example of convex lenses. It can be seen that when sunlight is collected with convex lenses, sunlight is collected and caught on fire.",,,
1094,"The convex lens is refracted to a central portion where the incident light is thicker than the edge of the lens. Therefore, when sunlight is collected with a convex lens, the intensity of light becomes stronger than before sunlight is collected.",,,
1095,It collects sunlight and generates heat. Put black paper on it burns.,,,
1096,Let's go! Let's go,,,
1097,Who cares?,,,
1098,Burnable substances slowly catch fire,,,
1099,Sunlight gathers in the middle of the convex lens and the paper with the magnifying glass burns,,,
1100,The paper burns.,,,
1101,Sunlight gathers in the middle of the convex lens and burns paper with magnifying glass,,,
1102,The paper burns,,,
1103,to be able to burn paper by making a fire,,,
1104,"If you keep collecting sunlight on black, it will burn",,,
1105,The paper burns,,,
1106,Put it on paper and the paper burns.,,,
1107,The paper burns.,,,
1108,I don't know because I haven't tried it on,,,
1109,"When sunlight is collected with convex lenses, the sunlight is concentrated in one place, so a fire will occur over time.",,,
1110,to be able to burn paper by making a fire,,,
1111,There's a fire,,,
1112,It's on fire,,,
1113,"When the sunlight collection becomes smaller, the light becomes brighter and hotter, and when the area becomes larger, the light becomes lighter and the temperature decreases",,,
1114,The place where sunlight is collected burns.,,,
1115,"When a block lens collects sunlight, it causes a fire.",,,
1116,There's a fire.,,,
1117,There's a fire,,,
1118,spark,,,
1119,"A convex lens serves to refract light and collect it at a point. Therefore, when sunlight is collected with convex lenses, sunlight gathers at one point, so a lot of heat is generated, and when the paper is brought over, the paper is scorched by fire. Because it is so dangerous, you should be careful of accidents such as bringing your hands.",,,
1120,"Sunlight gathers in one place and generates heat, causing a fire",,,
1121,The light is gathering,,,
1122,"If there is a paper, the paper catches fire and burns the paper.",,,
1123,The spot where the sunlight is gathered is burned.,,,
1124,The sun-collected part burns.,,,
1125,The sunlight gathers.,,,
1126,Light gathers well because it is collected in thick parts.,,,
1127,"The paper burns because it is gathered in one place, which is sunlight.",,,
1128,The part where the light is gathered gets hot,,,
1129,"The part where the sunlight gathered is hot,",,,
1130,Time will catch fire,,,
1131,Light refracts.,,,
1132,The part where the sunlight is gathered gets hot,,,
1133,The sunlight is gathering,,,
1134,"In some cases, when sunlight is trapped in a convex lens, it gets hotter and burns.",,,
1135,Sunlight gathers with convex lenses.,,,
1136,There's a fire,,,
1137,Sunlight can gather and cause a small fire.,,,
1138,There's a fire.,,,
1139,The temperature of the collection increases,,,
1140,The paper burns if there is a piece of paper at the paper burns,,,
1141,"As the sunlight gathers, there is fire and smoke",,,
1142,Sunlight is collected in the middle of the convex lens and the middle part gets hot.,,,
1143,You can collect sunlight.,,,
1144,I think the convex lens will get hot,,,
1145,"Sunlight gathers at one point, where smoke comes out and matter burns.",,,
1146,Evaluation Only. Created with Aspose.Cells for Python via Java.Copyright 2003 - 2022 Aspose Pty Ltd.,,,
