,2) Why was it so hard to breathe after the first few breaths?,q42_oxygen,q42_carbon dioxide,q42_air
950,"It is because there is a very small hole in the plastic bag, so the air has escaped.",,,
951,There's not enough air,,,
952,This is because the air disappears every time it breathes,,,
953,It is because there is more carbon dioxide than air.,,,
954,Carbon dioxide would have formed in the bag and made it difficult to breathe,,,
955,out of breath,,,
956,"Carbon dioxide would have formed in the bag, making it difficult to breathe.",,,
957,"""The first few times I breathed air, I was able to breathe because there was enough air",,,
958,"After doing it many times, it becomes difficult to breathe because the air has decreased.""",,,
959,"At first, it is easy to breathe because there is a lot of air, but the more you breathe, the less air around you, so the more you breathe, the more difficult it is to breathe",,,
960,"Because when CO2 gets colder, CO2 can't breathe.",,,
961,"At first, it was easy to breathe because the air was not humid, but after several times, the air in the rod became humid and difficult to breathe.",,,
962,"The amount of air has decreased, making it difficult to breathe.",,,
963,"The plastic bag is filled with air, making it difficult to breathe.",,,
964,"At first, there was a lot of oxygen to breathe in the bag, but as we continue to breathe, the proportion of carbon dioxide increases more than oxygen, making it difficult for us to breathe.",,,
965,I don't know.,,,
966,"It seems that all the fresh air has turned into carbon dioxide, making it difficult to breathe",,,
967,"At first, I could breathe, but every time I rest, there is more carbon dioxide in the bag, making it harder to breathe.",,,
968,Because the air is getting less and less,,,
969,This is because all the air in the bag has escaped.,,,
970,Because of lack of oxygen?,,,
971,It's hard to breathe when you drink carbon dioxide,,,
972,a breathtaking door,,,
973,"If you breathe in and out of the air in the bag for about 10 times, you can't breathe because carbon dioxide comes out",,,
974,Because there wasn't much carbon dioxide at first.,,,
975,I don't know,,,
976,Don't know,,,
977,I didn't learn it,,,
978,There's not enough air,,,
979,There's not enough air,,,
980,the release of the body,,,
981,I don't know,,,
982,We drank all the air in the plastic bag,,,
983,The air is gradually disappearing,,,
984,The air disappeared a lot,,,
985,The air in the bag is gone,,,
986,The air is gone,,,
987,out of breath,,,
988,because of the dampness,,,
989,Because there's less oxygenIt is because of environmental pollution,,,
990,"The air was in a sealed space, so there was no ventilation",,,
991,It's hard to win because I repeated it many times,,,
992,"There is not much air in the bag, but people keep inhaling air, so the air in the bag disappears.",,,
993,Breathe in the air and release carbon dioxide from the body,,,
994,"When I breathe, I need to breathe little by little, but I kept breathing without breathing",,,
995,"When you breathe, CO2 is released, and it fills the bag",,,
996,Because there's less oxygen,,,
997,Part of the oxygen is converted to carbon dioxide,,,
998,CO2 is not used for cellular respiration,,,
999,"Because of the increase in carbon dioxide,",,,
1000,This is because oxygen is gradually becoming scarce.,,,
1001,There's too much carbon dioxide in the bag,,,
1002,"The oxygen in the bag goes into the body, the carbon dioxide in the body goes into the bag, and there's more carbon dioxide in the bag than oxygen, so it's hard to breathe",,,
1003,I think it's because the air disappears every time I rest.,,,
1004,Decreased oxygen concentration and increased carbon dioxide concentration,,,
1005,This is because the number of oxygen decreases.,,,
1006,The carbon dioxide that I exhaled is cold,,,
1007,This is because there is no more oxygen because the oxygen in the bag has been consumed continuously.,,,
1008,The carbon dioxide accumulated in the bag makes it more difficult to breathe.,,,
1009,It's because there's a lot of carbon dioxide,,,
1010,It's because there's less oxygen,,,
1011,Oxygen is reduced,,,
1012,Since you're all done,,,
1013,This is because carbon dioxide is gradually increasing,,,
1014,"Because carbon dioxide increases due to exhalation, and oxygen cannot be supplied",,,
1015,"Breathing requires oxygen, but I think it's because there's a lack of oxygen.",,,
1016,There's only carbon dioxide left,,,
1017,This is because oxygen entered the body and the amount of oxygen in the bag decreased and the amount of carbon dioxide increased.,,,
1018,Because there's a lack of oxygen,,,
1019,Because there's a lack of oxygen,,,
1020,There's only carbon dioxide left,,,
1021,be due to increased carbon dioxide,,,
1022,"Because of the increase in carbon dioxide,",,,
1023,"Because the air is getting smaller,",,,
1024,I'm running low on oxygen,,,
1025,This is because carbon dioxide is constantly generated and the amount of oxygen is insufficient.,,,
1026,This is because the oxygen concentration in the plastic bag decreases,,,
1027,Oxygen is reduced,,,
1028,Because the oxygen content of the air has dropped,,,
1029,I'm running low on oxygen,,,
1030,Because it consumes oxygen and carbon dioxide comes in,,,
1031,It is because there is a lack of oxygen,,,
1032,Increased carbon dioxide,,,
1033,The amount of oxygen required for breathing has become insufficient,,,
1034,Because it consumes oxygen and produces carbon dioxide,,,
1035,This is because it consumes oxygen and produces carbon dioxide.,,,
1036,Oxygen is reduced,,,
1037,Oxygen is reduced,,,
1038,The oxygen concentration is getting lower and the carbon dioxide concentration is getting higher,,,
1039,This is because oxygen required for breathing is reduced.,,,
1040,"Because humans absorb oxygen and release carbon dioxide through breathing, the oxygen concentration of the air in the bag decreases, and the amount of oxygen that can be obtained from one breath decreases, so you have to breathe many times",,,
1041,It is because there is enough oxygen in the body.,,,
1042,This is because the amount of oxygen has decreased.,,,
1043,Because there's,,,
1044,There's only carbon dioxide,,,
1045,There's only carbon dioxide left,,,
1046,Because the air is limited,,,
1047,I don't know.,,,
1048,out of oxygen,,,
1049,Because inhalation is more than exhalation.,,,
1050,And an oxygen deficiency,,,
1051,It's full of carbon dioxide,,,
1052,It's because there's more carbon dioxide than the first time,,,
1053,I don't know,,,
1054,There's a lack of oxygen in the bag,,,
1055,It's because the amount of oxygen has decreased,,,
1056,It's because there's a lack of oxygen,,,
1057,"Our bodies drink oxygen when we breathe in and out, so carbon dioxide doesn't let us breathe.",,,
1058,"At first, there was a lot of oxygen in it, but breathing would have gradually reduced oxygen and increased carbon dioxide.",,,
1059,It is because there is a lot of carbon dioxide in the plastic bag,,,
1060,"Because the air in the bag came into my body,",,,
1061,This is because the air in the bag has decreased and carbon dioxide has increased.,,,
1062,Oxygen is gone and carbon dioxide is high,,,
1063,It's carbon dioxide,,,
1064,And an oxygen deficiency,,,
1065,I don't know.,,,
1066,Because the amount of oxygen decreases as time goes by,,,
1067,Because the oxygen inside has disappeared.,,,
1068,"At first, there was a lot of oxygen, but as you breathe, you exhale carbon dioxide, which increases the concentration of carbon dioxide",,,
1069,It's because we're running out of oxygen,,,
1070,"People breathe in oxygen, so the more they breathe, the more carbon dioxide they get",,,
1071,"When you breathe in and out, you breathe in oxygen, and when you breathe out carbon dioxide, so the oxygen in the bag decreases",,,
1072,Because I drank all the oxygen in the bag.,,,
1073,"This is because oxygen is transferred to the brain and carbon dioxide is released, making it harder to breathe",,,
1074,"The carbon dioxide concentration in the balloon is higher than oxygen, so there is not enough oxygen to drink.",,,
1075,"At first, there was a lot of oxygen, but because of aerobic respiration, there is more carbon dioxide than oxygen",,,
1076,Because there's,,,
1077,Oxygen is consumed and carbon dioxide formed through breathing is produced,,,
1078,This is because the oxygen concentration in the air decreased every time you inhale and exhale.,,,
1079,"As you breathe, the amount of oxygen decreases",,,
1080,"The composition ratio of oxygen in the air decreases, making it difficult to breathe.",,,
1081,"""Because our bodies use it to breathe oxygen, when the oxygen content in the air decreases,",,,
1082,"Our bodies become difficult to breathe.""",,,
1083,Because of carbon dioxide,,,
1084,I don't know.,,,
1085,It's carbon dioxide,,,
1086,It's because oxygen keeps disappearing,,,
1087,Oxygen is gone,,,
1088,Oxygen is hard to breathe because it is carbon dioxideOxygen is gone and carbon dioxide is full,,,
1089,I spit out carbon dioxide,,,
1090,I spit out carbon dioxide,,,
1091,I inhale all the oxygen in the bag,,,
1092,This is because oxygen has become scarce.,,,
1093,"Inhalation requires oxygen, but the amount of carbon dioxide in the plastic bag (closed space) increases due to exhalation, making it difficult to breathe when breathing several times.",,,
1094,Oxygen is gone,,,
1095,It is difficult to breathe because of the decrease in oxygen and the increase in carbon dioxide,,,
1096,The carbon dioxide ratio of the air in the bag increases and there is not enough oxygen to breathe.,,,
1097,There's only carbon dioxide,,,
1098,have no idea,,,
1099,"After breathing several times, it became difficult to breathe after doing it several times because the bag contained carbon dioxide, not fresh air.",,,
1100,There's more carbon dioxide in the bag,,,
1101,This is because the fraction of oxygen required for breathing has decreased.,,,
1102,This is because the carbon dioxide in the bag increases. I feel dizzy when I breathe in carbon dioxide.,,,
1103,"The partial pressure of oxygen in the air decreases and the partial pressure of carbon dioxide increases, making it difficult to exchange gases in the lungs.",,,
1104,"Because the ratio of oxygen decreases and the ratio of carbon dioxide increases,",,,
1105,"Each time you breathe, the proportion of oxygen decreases, and the lower the proportion of oxygen, the more difficult it becomes to breathe.",,,
1106,This is because the oxygen concentration has decreased. The high concentration of carbon dioxide makes it difficult to exchange gas in the lungs.,,,
1107,"Oxygen is consumed during breathing and carbon dioxide is emitted, so oxygen in the plastic bag gradually decreases during repeated inhalation and exhalation.",,,
1108,"Because if you exhale air, it increases the amount of carbon dioxide, and if you go through this process several times, it decreases the amount of oxygen that humans need to breathe",,,
1109,"People breathe and breathe out carbon dioxide with small things, but after many times, it is hard to breathe because there is more carbon dioxide and less oxygen when air movement is not between the outside and the plastic bag",,,
1110,"They breathe in oxygen and breathe out carbon dioxide, but they lose oxygen",,,
1111,"The partial pressure of oxygen is lowered, so diffusion does not occur well.",,,
1112,"As oxygen is used to breathe and the carbon dioxide ratio increases, the amount of oxygen decreases, making it difficult to rest.",,,
1113,"Inhalation requires oxygen, but the oxygen concentration in the bag gradually decreases",,,
1114,"Since the oxygen concentration is low and gas exchange is not active,",,,
1115,"Because the oxygen concentration went down and the carbon dioxide concentration went up,",,,
1116,The oxygen ratio decreases.,,,
1117,The oxygen content in the air has decreased,,,
1118,This is because the air has become almost lean and carbon dioxide has accumulated instead of oxygen.,,,
1119,"It's not oxygen, it's carbon dioxide",,,
1120,The oxygen in the bag is gradually decreasing.,,,
1121,I'm running low on oxygen,,,
1122,Because we're running out of oxygen,,,
1123,Please come to Cheongsil and Hongsil,,,
1124,I'm tired,,,
1125,Because the air is all turned into carbon dioxide,,,
1126,This is because the air is gone and only carbon dioxide remains.,,,
1127,"Because of carbon dioxide, we breathe with oxygen.",,,
1128,It's because oxygen disappears,,,
1129,be caused by smoking,,,
1130,L.,,,
1131,"When you breathe, you lose oxygen and you get more carbon dioxide",,,
1132,This is because oxygen has decreased.,,,
1133,"There's no oxygen, there's only carbon dioxide",,,
1134,This is because I drank all the oxygen inside and carbon dioxide increased.,,,
1135,This is because they breathe in oxygen and breathe out carbon dioxide.,,,
1136,"Because the oxygen in the bag is converted to carbon dioxide, and I don't have enough oxygen to breathe",,,
1137,It's because there's a lot of carbon dioxide,,,
1138,be due to the escape of air,,,
1139,I don't know,,,
1140,It's carbon dioxide,,,
1141,I don't know,,,
1142,I don't know.,,,
1143,Because oxygen turned into carbon dioxide,,,
1144,I don't know,,,
1145,be due to the coldness of carbon dioxide,,,
1146,This is because there is more carbon dioxide.,,,
1147,Because it exhales carbon dioxide,,,
1148,out of breath,,,
1149,Oxygen is gone and carbon dioxide is formed,,,
1150,"At first, they were able to breathe with the remaining oxygen, but as they breathe in and out, the oxygen turns into carbon dioxide.",,,
1151,I don't know,,,
1152,Because the air is thin.Because of the lack of oxygen.,,,
1153,I don't get oxygen,,,
1154,Because of lack of oxygen,,,
1155,"At first, there was oxygen needed for breathing, but it was because there was less oxygen and more carbon dioxide.",,,
1156,This is because oxygen has decreased and carbon dioxide has increased.,,,
1157,This is because oxygen has decreased and carbon dioxide has increased.,,,
1158,I don't understand.,,,
1159,This is because oxygen has become scarce.,,,
1160,It's because there's a lot of carbon dioxide.,,,
1161,This is because there is less and less air.,,,
1162,Breathe in the air and breathe out carbon dioxide,,,
1163,I don't have enough lung capacity,,,
1164,Because it produces carbon dioxide,,,
1165,I don't drink much,,,
1166,Oxygen is converted into carbon dioxide,,,
1167,"The reason why air remains in the bag when you breathe air for the first few times, but it becomes difficult to breathe after several times is that there is carbon dioxide rather than air in the bag.",,,
1168,I think it is because there is little oxygen and a lot of carbon dioxide in the plastic bag I think so,,,
1169,I think so because there is little oxygen and a lot of carbon dioxide in the plastic bag.,,,
1170,"It will be because there is little oxygen in the plastic bag and there is a lot of carbon dioxide, so I would amortize it",,,
1171,I drank all the air inside,,,
1172,This is because there is no oxygen in the plastic bag and it is full of carbon dioxide because it takes in oxygen while inhaling and re-exits carbon dioxide while exhaling,,,
1173,"""It's low on oxygen and it's full of carbon dioxide",,,
1174,"I can't breathe well because it's full of carbon dioxide.""",,,
1175,"It's because there's a lack of oxygen and it's full of carbon dioxide, and it emits more carbon dioxide than the oxygen I'm trying to drink, so oxygen disappears and it's full of carbon dioxide",,,
1176,The amount of oxygen has decreased,,,
1177,"This is because the first few times I breathe air, it is comfortable because there is enough air, but after that, the amount of air decreases and the carbon dioxide I emit increases.",,,
1178,I don't breathe air,,,
1179,I think it's because of the lack of air.,,,
1180,I don't know.,,,
1181,"Since the oxygen in the bag was used as cellular respiration, carbon dioxide was released, and oxygen for cellular respiration disappeared.",,,
1182,"At first, there was a lot of air in the bag of snacks, but the more you inhale, the less air there is.",,,
1183,"There was a lot of air at first, but it got smaller",,,
1184,It's because of carbon dioxide,,,
1185,It is the same as the above answer.,,,
1186,The air is gone,,,
1187,"Oxygen disappeared,You have to breathe in oxygen, but it's hard because it shrinks",,,
1188,I'm out of breath,,,
1189,It is because a lot of the air in the bag disappeared.,,,
1190,It took time for my heart to come back,,,
1191,Because the amount of air in the bag is fixed.,,,
1192,Because breathing eliminates oxygen and increases the amount of carbon dioxide,,,
1193,I don't know.,,,
1194,The air got soggy,,,
1195,Because I was out of breath.,,,
1196,"I need to breathe with oxygen, but there's no more",,,
1197,This is because oxygen becomes scarce.,,,
1198,"Oxygen is consumed by drinking, but carbon dioxide is exhaled and produced continuously",,,
1199,This is because breathing becomes more difficult as the ratio of carbon dioxide is higher than that of oxygen,,,
1200,"At first, the bag was filled with oxygen, but later, it is difficult to breathe because there is no oxygen and carbon dioxide is full.",,,
1201,"I think there is more carbon dioxide in the air than oxygen, but maybe not.",,,
1202,I'm out of breath and I'm going to have a hard time breathing,,,
1203,This is because the amount of carbon dioxide increased and the amount of oxygen decreased.,,,
1204,"As you continue to inhale and exhale air, the air accumulated in it gradually increases, and the air that you can breathe gradually decreases.",,,
1205,"When you drink, you drink oxygen, but when you spit it out, there is no more oxygen to drink",,,
1206,Because oxygen disappears quickly,,,
1207,because of lack of oxygen,,,
1208,This is because oxygen becomes scarce.,,,
1209,It's full inside,,,
1210,Co2 is getting higher,,,
1211,"This is because at first, there was more oxygen than the amount of carbon dioxide.",,,
1212,There's a lot of carbon dioxide,,,
1213,There's more carbon dioxide than oxygen,,,
1214,Oxygen is thin,,,
1215,"At first, the amount of carbon dioxide was small, but the amount of carbon dioxide we exhaled is contained in our daily breath, making it difficult to breathe after several breaths.",,,
1216,"At first, there is oxygen, but as you rest for a long time, there is more carbon dioxide.",,,
1217,..,,,
1218,ããã,,,
1219,Because the air in the bag is gradually disappearing,,,
1220,I'm tired,,,
1221,M and D,,,
1222,The air is gradually disappearing,,,
1223,lack of oxygen,,,
1224,This is because carbon dioxide increases.,,,
1225,I don't know,,,
1226,I don't know,,,
1227,The amount of air is limited,,,
1228,Because oxygen is gone and carbon dioxide is high.,,,
1229,It's because we're running out of oxygen,,,
1230,I don't know.,,,
1231,lack of oxygen,,,
1232,It's because oxygen disappears,,,
1233,The amount of oxygen that humans need to breathe has dropped significantly.,,,
1234,I ran out of air,,,
1235,Give me a smoke,,,
1236,I can't breathe because I drank all the oxygen.,,,
1237,This is because air disappears and oxygen is scarce.,,,
1238,I don't know.,,,
1239,I don't know,,,
1240,The air turns into carbon dioxide and cannot breathe.,,,
1241,"How would I know? Do you know him? Is it personality trash who scores test questions without knowing it? Yes, I agree. In Seong is the uncle of the grading company~~~~~~~~~~~~~~~~~~~~~~^^~~~~~~~~~~~~~^^~~~~~!!!!!!!!!! You're mad!@@@@@@@@@@@@Have some snails",,,
1242,This is because there is no oxygen.,,,
1243,Blowing with your mouth without breathing through your nose,,,
1244,Because it's hard to breathe if you do it many times,,,
1245,I don't know,,,
1246,This is because oxygen disappears.,,,
1247,The air in the bag disappeared,,,
1248,This is because oxygen disappears.,,,
1249,"We need oxygen when we breathe, because we breathe a few times in a plastic bag, so there is more carbon dioxide.",,,
1250,Because the oxygen in the bag decreases,,,
1251,Fish can breathe in the water. People need air,,,
1252,It's because we're running out of oxygen,,,
1253,It's because oxygen disappears.,,,
1254,I don't know,,,
1255,I don't know,,,
1256,I don't know,,,
1257,Paddle,,,
1258,I don't know,,,
1259,I don't know,,,
1260,I can't breathe because the air turns into carbon dioxide,,,
1261,I don't know,,,
1262,I don't know,,,
1263,I don't know,,,
1264,I don't know,,,
1265,It's because there's more carbon dioxide,,,
1266,My lungs breathe differently,,,
1267,I don't know,,,
1268,"Because oxygen decreases, carbon dioxide increases",,,
1269,"The lungs only breathe clean air and release carbon dioxide, so only carbon dioxide remains",,,
1270,It's suffocating,,,
1271,Breathe in,,,
1272,I drink little by little and then drink a lot more. But there is a certain amount of air,,,
1273,The air has shrunk,,,
1274,"We drink oxygen, but we can't breathe because there's a lot of carbon dioxide.",,,
1275,"Since I breathed air,",,,
1276,out of breath,,,
1277,It's hard to breathe because there's a lot of carbon dioxide.,,,
1278,The air inside is almost gone,,,
1279,"Since the air in the bag is gradually disappearing,",,,
1280,It's because there's only carbon dioxide left,,,
1281,Because there's,,,
1282,out of breath,,,
1283,This is because the air is getting less and less.,,,
1284,I'm tired,,,
1285,"At first, there is air we need because if we continue to breathe, the air we need becomes less and less.",,,
1286,for breathing all the whole timeI don't know.,,,
1287,I don't have enough lung capacity,,,
1288,I'm not good at math,,,
1289,Because oxygen becomes carbon dioxide and oxygen becomes less,,,
1290,the loss of oxygen,,,
1291,The experimenter got sick,,,
1292,It's because the amount of oxygen has decreased,,,
1293,"It absorbs oxygen, only carbon dioxide remains",,,
1294,"As a result of breathing, carbon dioxide is produced, making oxygen breathing difficult.",,,
1295,The amount of carbon dioxide increases and the amount of oxygen decreases,,,
1296,It's because we ran out of oxygen,,,
1297,It's gone,,,
1298,Because I'm running out of oxygen,,,
1299,There's a lot of water vapor and carbon dioxide,,,
1300,This is because the amount of oxygen decreases and the amount of carbon dioxide increases.,,,
1301,This is because the amount of oxygen decreases and the amount of carbon dioxide increases,,,
1302,It's because the oxygen content has decreased,,,
1303,Becoming increasingly carbon dioxide making it difficult to breathe,,,
1304,The exhalation produces carbon dioxide.,,,
1305,It's because the oxygen in the bag is thinned,,,
1306,"Oxygen in the air component in the bag decreases, and carbon dioxide decreases, making it difficult to breathe because necessary oxygen is not obtained from the body.",,,
1307,This is because the amount of oxygen to inhale decreases by inhaling oxygen and exhaling carbon dioxide when exhaling.,,,
1308,It's carbon dioxide,,,
1309,I told you above that it creates carbon dioxide.,,,
1310,It's full of carbon dioxide,,,
1311,Because oxygen is gone and only carbon dioxide remains.,,,
1312,This is because the mole fraction of oxygen has decreased.,,,
1313,I don't have much oxygen,,,
1314,ã´ã ã´ã,,,
1315,When you breathe in air and breathe out carbon dioxide,,,
1316,I don't have enough lung capacity,,,
1317,Because we've run out of oxygen and we've got carbon dioxide left,,,
1318,It is because the amount of oxygen decreases,,,
1319,Because the amount of oxygen has decreased,,,
1320,"The first bag had oxygen, but it used to breathe and exhaled carbon dioxide.",,,
1321,I guess it's hard,,,
1322,This is because the amount of oxygen has decreased and the amount of carbon dioxide has increased.,,,
1323,This is because the amount of oxygen decreases and the amount of carbon dioxide increases.,,,
1324,"This is because the oxygen ratio in the air decreases, resulting in a lack of oxygen required for breathing.",,,
1325,"You need oxygen, but the amount of carbon dioxide in the bag increases",,,
1326,"The amount of oxygen in the bag has decreased, making it difficult to breathe.",,,
1327,ãã,,,
1328,Breathing stability,,,
1329,shortness of breath,,,
1330,This is because the amount of oxygen decreased and the amount of carbon dioxide increased because it breathed in oxygen and emitted a small amounts of oxygen and carbon dioxide.,,,
1331,"Repeating breathing reduces the air in the plastic bag, making it difficult to breathe.",,,
1332,Evaluation Only. Created with Aspose.Cells for Python via Java.Copyright 2003 - 2022 Aspose Pty Ltd.,,,
