,2) Why is the wind direction different during the day and at night in the sea and on land?,q46_temperature difference,q46_barometric pressure
437,"Water has a higher specific heat than the ground, so during the day, the temperature of the sea is lower and the air pressure is higher than that of the land. On the contrary, at night, the temperature of the sea is higher and the air pressure is lower than that of the land, so the direction of the wind at night and day",,
438,"Because the specific heat of seawater is higher than that of land, the temperature of seawater does not rise much during the day, while the temperature of seawater increases relatively much on the land, and the temperature of seawater decreases relatively much at night. Therefore, the flow of air is also reversed.",,
439,This is because the temperature on the land is higher than on the sea during the day and the temperature is higher in the sea than on the land because the temperature is maintained longer by vaporization heat at night.,,
440,I answered above.,,
441,This is because the temperature difference between day and night is different.,,
442,"The temperature is relative, but the direction of the wind is different because the land is relatively hotter during the day and the sea is relatively hotter at night.",,
443,"Since the sea is hotter than the land, the temperature is higher during the day because the land heats up faster than the sea, and the heat received during the day cools faster than the sea, so the wind blows toward the land during the day when the temperature is higher.",,
444,The place where the wind is blowing is different,,
445,"Because of Oh Sehun's superpower,",,
446,a difference in temperature difference,,
447,the difference between day and night temperature and air pressure,,
448,The land is hot during the day and the sea is hot at night,,
449,"During the day, the land is high and the sea is relatively low, so the air moves from high pressure to low pressure, so wind blows from the sea. At night, the sea is relatively high and the land is low, so wind blows from the land side.",,
450,I don't know,,
451,I don't know,,
452,The wind is doing whatever it wants,,
453,Because of the temperature difference,,
454,Because sand cools and brushes faster,,
455,"During the day, the temperature of the ground is high and at night, the temperature of the sea is high",,
456,Because the difference in specific heat between the sea and the land is different,,
457,"During the day and night, the temperature is different from each other",,
458,?,,
459,This is because the land temperature is higher than the sea during the day and the land temperature is lower than the sea at night.,,
460,Wind blows from low temperature to high temperature,,
461,The direction of the wind is also different because the temperature of the sea and land is opposite during the day and night,,
462,I don't know.,,
463,The temperature difference between the land and the sea,,
464,Because of nature,,
465,The temperature of the day and night on land and sea is different,,
466,"Because the land heats up quickly during the day and cools down quickly at night, the above 1) According to the answer, the sea breeze blows during the day and at night",,
467,This is because of the difference in specific heat between land and sea.,,
468,This is because the sandy beach is hotter during the day and the sea is hotter at night.,,
469,It is because of the temperature difference between land and sea.,,
470,"During the day, the land temperature is higher and the sea temperature is higher at night",,
471,"During the day, the water heats up later and the land heats up faster, while at night, the temperature is opposite because the water cools later and the land cools faster",,
472,It's because of the heat of the water.,,
473,I don't know,,
474,"During the day, there is a sea breeze towards the sea and at night, but because of the temperature difference,",,
475,Yahoo,,
476,This is because the land heats up faster by sunlight than the sea,,
477,The wind is in the opposite direction because the land cools quickly at night and heats up quickly during the day,,
478,"This is because the specific heat of the sea is large, so the temperature of day and night is different.",,
479,"Due to the temperature difference between day and night, the land temperature changes are large",,
480,"Because the temperature of the ocean and land is different,",,
481,"There is not much difference in temperature between day and night in seawater, but the difference in temperature on the sandy beach is severe, resulting in a difference in wind.",,
482,"Sand beaches are easily absorbed and discharged by the sun during the day, and seawater absorbs and discharges heat slower than sandy beaches. Therefore, at night, the temperature changes due to different heat emission and absorption of sand and seawater. Therefore, the direction of the wind is different.",,
483,"""Daytime temperatures warm the land faster than the sea, so the air on the land warms up, and the cold air on the sea comes toward the land",,
484,"At night, the land cools faster than the sea, so the air on the sea side is higher, so the cold air on the land side moves toward the sea.""",,
485,"""During the day, the temperature on the land is higher than the sea, so the air on the land is evaporated a lot, so the air pressure on the land is relatively weak, so the wind blows from the sea to the land",,
486,"""At night, the temperature of the sea is higher than that of the land, so the air in the sea side evaporates a lot, so the air pressure in the sea side becomes relatively weak, so the wind blows from land to sea.""",,
487,There's sunlight during the day and there's no sunlight at night,,
488,This is because the land gets warmer during the day and the water gets warmer at night.,,
489,"This is because water has a higher specific heat than sand, so the temperature difference between day and night of sand is greater than that of water, so the temperature of the sandy beach is higher during the day and the temperature of the seawater is higher at night",,
490,"Because the temperature change of the sea is slower than that of the land, the temperature of the land is high during the day and the temperature of the sea is low at night.",,
491,This is because the air is high on land during the day and the temperature on the sea side at night is relatively high at night.,,
492,the same old and West,,
493,"This is because the specific heat of the sandy beach and seawater is different, and accordingly, air pressure differences in the atmosphere occur according to day and night.",,
494,"During the day, the temperature of the sea is higher than that of the sandy beach and at night, so the direction of the wind blowing during the day and night is different.During the day, the temperature of the land is high and at night the sea is large, so it preserves heat, so the temperature of the sea is high, so the direction of the wind is different.",,
495,Don't know,,
496,"During the day, the surface of the soil on the land heats up faster than the sea water, so the temperature rises from the sea to the land, and at night, the temperature of the soil cools down quickly, and the sea slowly cools down, making the sea warmer than the soil.",,
497,.,,
498,"During the day, the hot air on the land goes toward the sea",,
499,"At night, the hot air above the sea goes toward the land.""",,
500,"On land, temperature differences occur relatively much faster than on the sea, so during the day when the temperature is high, the land exposed to heat is hotter than the sea, and at night when the temperature is low, the land is colder than the sea. Air flows from high temperature to low temperature, so wind blows from land to sea during the day, and wind blows from sea to land at night.",,
501,I don't know,,
502,The direction of the wind also changes as the temperature changes during the day and night due to the sandy beach with a small specific heat.,,
503,"During the day, the temperature of the sandy beach is high, but at night, the temperature of the sandy beach is lower than that of the sea",,
504,There's a difference,,
505,Because the moon comes up,,
506,"It is because there is a low sun, but there is no sun at night.",,
507,In the south by day and in the north by night,,
508,depending on where you are,,
509,The direction of the moon and the sun rise is different,,
510,Because the wind moves in different directions.,,
511,The earth is round,,
512,Because the wind moves in different directions.,,
513,Temperature difference,,
514,"""Night: The land cools faster than the sea, and wind blows from the land to the sea.",,
515,"Daytime: The land heats up faster than the sea, so the air on the land rises, so wind blows from the sea toward the land.""",,
516,"During the day, sea water comes in, waves form, wind enters the land, and at night, the sea fires escape, and the wind blows in the sea",,
517,"The temperature above the ground is higher than the temperature above the water, so wind blows from the sea to the land.",,
518,Day and night are different on the sea land,,
519,Because the earth is spinning.,,
520,"""Air pressure flows into high maintenance and replenishes the air on the land to a raised position",,
521,"""The wind is coming up""",,
522,This is because of the difference in heat received by the air between the sea and the land.,,
523,"""In the daytime, the land is hot,",,
524,"""At night, the sea is hot""",,
525,"The temperature is different, so the air pressure is different",,
526,"Because the temperature difference is different,",,
527,Because the sun is setting,,
528,"This is because the air pressure moves from high to low, and the wind flows from warm to cold.",,
529,This is because the temperature difference between the sea and the land is different.,,
530,Because of the temperature difference,,
531,"During the day, the temperature of the beach is high and at night, the temperature of the sea is high",,
532,I don't know.,,
533,Because of the temperature difference,,
534,The wind is moving towards the warmer side,,
535,Because the earth rotates,,
536,The temperature changed,,
537,How do I know?,,
538,There is a land wind during the day and a sea wind at night,,
539,at the time of the earth's door,,
540,I know,,
541,"Because of the temperature difference,",,
542,The direction of the waves is different,,
543,"During the day, the temperature of the sand is higher than that of the sea, so the air goes up in the sand, and at night, the temperature of the sea is higher than that of the sand, so the direction of the wind of the day and night is different",,
544,"Sand has a large temperature change and sea water does not have a large variation. Because of that, during the day when the sun is hot, the sand is hot, and at night, the sea is hot, so the wind blows toward the sea",,
545,The time when the ocean and land are heated up is different,,
546,"Because land has a higher rate of temperature change than the sea, during the day the land has a higher temperature and at night the sea has a higher temperature.",,
547,The temperature difference between day and night is big,,
548,The speed at which the ocean and land are heated varies,,
549,"The hot air goes up and the cold air goes down, but it's cold at night and it's hot",,
550,"The direction of the wind varies from day to night because the sea heats up slowly, cools down slowly, and cools down quickly, making the land hotter during the hot day than the sea, so the hot air on the land goes toward the sea and the lukewarm air on the sea at night.",,
551,"During the day, the temperature of the sand is higher than that of the sea, so the air goes up in the sand, and at night, the temperature of the sea is higher than that of the sand, so the direction of the wind is different during the day and night",,
552,The direction of the wind also changes because the temperature of the sea and land changes during the day and night.,,
553,"The heating speed of the sand and the sea is different, which is caused by the circulation of the wind.",,
554,It may be because the land is cold at night and the land is hot during the day.,,
555,It is because the temperature is different.,,
556,Because night and day are different.,,
557,Because the temperature is different,,
558,This is because the sandy beach is hot during the day and the sea is hot at night.,,
559,I don't know.,,
560,I don't know,,
561,I don't know.,,
562,It is because the temperature is different.,,
563,I don't know.,,
564,I don't know,,
565,Because the sea and land are different...?,,
566,.,,
567,The temperature is different at night and during the day,,
568,"The sea is a land full of water, the land is a place where people walk like India, and the night is a dark sky as it means low morning and night means evening",,
569,Because the temperature is different between the sea and the land during the day and night,,
570,The earth turns itself around.,,
571,Because it's hot during the day and cold at night,,
572,"During the day, the wind goes from sea to land because the land is hotter, but at night, it goes from land to sea.",,
573,Because the windy place is different,,
574,"At night, the sea gets cold and the land gets hot in the morning",,
575,"During the day, the sea will blow from the sea because the temperature is higher, and at night, the land will blow because the temperature is higher.",,
576,I don't know.,,
577,"""The sand heats up quickly and cools down quickly, the water heats up slowly and cools down, the hot air rises up and the cold air descends into the Are.",,
578,"Also, cold air fills the empty space.",,
579,"And the water is warm at night, so the directions are different.""",,
580,I don't know.,,
581,It's a secret.,,
582,Because there is the sun,,
583,I don't know.,,
584,There's a different temperature,,
585,The tide is divided and the tide?,,
586,The temperature in the air,,
587,I don't know.,,
588,Different temperature of the land and water.,,
589,The wind is warm to move towards the disciples because of the time.,,
590,?????,,
591,Low and the direction of waves of the night is different.,,
592,"The land is heated, cooled quickly so as soon as the night on land in the sea during the day the wind.",,
593,ë®ê³¼ ë°¤ì ëª¨ëì¬ì¥ ì¨ëì ë¬¼ì ì¨ëê° ë¤ë¥´ê¸° ëë¬¸ì´ë¤.This is because the movement of the air changes.,,
594,I don't know.,,
595,I don't know,,
596,The hot places are different,,
597,It is because the sea wind blows during the day and the land wind blows at night.,,
598,?,,
599,This is because there is a land wind during the day and a sea wind at night.,,
600,The temperature is different between day and night,,
601,It's because ond is all different,,
602,Because of the temperature difference.,,
603,"During the day, the wind blows toward the land because the land is low pressure and the sea is high pressure, and at night, the wind blows toward the sea because the land is high pressure and the sea is low pressure.",,
604,"This is because the temperature of sand is higher during the day, but the freezing of water is higher at night.",,
605,The temperature of the water and the temperature of the ground vary depending on the day and night,,
606,I don't know,,
607,This is because the wind flow of the sea and land is different.,,
608,The cold and hot places have changed.,,
609,This is because the temperature of the land is hotter during the day and the temperature of the sea is hotter at night.,,
610,This is because the temperatures of land and water are different during the day and night.,,
611,"Water has a long temperature, but the land cools quickly, so it is the opposite of what is written above",,
612,The difference between the tide and the tide?,,
613,It's because of the sea wind and the land wind,,
614,"At night, the sand cools quickly and blows from land to sea, and during the day, the water heats up faster from sea to land.",,
615,"Water has a long temperature, but the land cools quickly, so it is the opposite of what is written above.",,
616,The amount of low and high pressure is different,,
617,Because the temperature changes,,
618,The direction of air convection depends on the temperature,,
619,The direction of the wind is different,,
620,It is because the amount of high pressure and low pressure is different,,
621,The direction in which the wind sees during the day and night is different because the air pressure is different because it is hotter and colder during the day and night.,,
622,It is because the air pressure is strong in the face and the air pressure is lowered at night,,
623,"It's because of the atmospheric pressure.The ocean doesn't get cold quickly, but there's not much change in temperature This is because the land gets cold quickly and gets very hot.",,
624,"The sea does not get cold quickly, but the land gets cold more slowly",,
625,solar heat,,
626,"This is because the sea has little change in temperature and the land cools faster. Usually, the land on the beach is sand, so it does not cool down quickly.",,
627,I don't know.,,
628,I don't know.,,
629,I don't,,
630,This is because the temperature is different between night and day.,,
631,I don't know.,,
632,"During the day, the temperature of the land is higher, so the wind blows from the land to the sea, and at night, the temperature of the land is lower than that of the sea, so the wind blows from the sea.",,
633,I don't know.,,
634,The direction of the wind is different,,
635,I don't know,,
636,a sea breeze,,
637,The amount of evaporation during the day and night is different,,
638,The temperature changes during the day and night,,
639,The direction of the wind is different because there is a difference in air temperature and air pressure in the sea and land.,,
640,This is because the temperature of the sea and land varies depending on day and night.,,
641,This is because there is a temperature difference.,,
642,Because the speed of circulation is different,,
643,This is because the temperature of the air during the day and at night is different.,,
644,The temperature changed,,
645,"During the day, the sea is colder than the land, so it blows from the sea to the land, and at night, the land is colder than the sea, so the wind blows from the land to the sea",,
646,Because the air moves from hot to cold,,
647,If you don't know...,,
648,"There is a difference in temperature between oil and water (the sand heats up faster than the sea during the day, so the wind blows from the cold sea to the sea because the sand cools faster at night)",,
649,I do not remember.,,
650,"Hot air goes up and cold air goes down, so the sand beach is hotter during the day due to sunlight and the sea is hotter at night, so the direction of the wind will be different.",,
651,â¦,,
652,This is because the temperature of the land is higher during the day and the temperature of the sea is higher at night.,,
653,It's supposed to be like that,,
654,"Unlike land, which is heated quickly by light and cooled quickly by cold air, the direction is changed due to the sea that is heated slowly by light and cooled slowly by cold air.",,
655,"During the day, the land temperature is higher and the sea temperature is higher at night",,
656,"This is because the land heats and cools faster than the sea, and the sea heats and cools slower than the land.",,
657,"Water has a high specific heat, so the temperature doesn't change much, but the temperature changes when the sun shines and when it doesn't shine on the land",,
658,Difference in concentration,,
659,Temperature difference,,
660,It's because of the temperature difference,,
661,The temperature is different.,,
662,Because the temperature of the land and the sea is different during the day and night,,
663,.,,
664,This is because the land is hotter during the day and the sea is relatively hotter at night.,,
665,This is because the land heats up quickly during the day and cools quickly at night.,,
666,This is because the specific heat is different.,,
667,This is because the temperature of the land is higher than that of the sea during the day and the temperature of the sea at night is higher than that of the,,
668,I don't know.,,
669,Because the sea is colder than the land during the day and the sea is warmer than the land at night,,
670,"Because sand is opaque, it heats up quickly, cools down quickly, and the sea is transparent, so it is not heated quickly, resulting in a temperature difference",,
671,"The temperature of the land is high during the day, while the sea is high at night.",,
672,"Sand cools and heats quickly because it is opaque, and the sea is transparent, so it heats up late and cools, so wind is generated by temperature differences",,
673,"""The opposite direction of the day and night winds on the beach is because the temperatures of the air above the land and the sea are different. During the day, the land heats up faster than the sea",,
674,"The heated air on the land rises and fills the empty space created by the air moving from the sea. As the moves like this, the sea breeze blows from the sea to the land.",,
675,"On the contrary, at night, when the air above the sea, which is higher than the ground, rises, the empty space is filled by air moving from the land. That's why the wind blows from land to sea at night.",,
676,,,
677,"""",,
678,Because the temperature difference is different,,
679,d,,
680,The air moves differently,,
681,"The direction of the wind is different day and night, such as a land wind or a sea wind.",,
682,The direction of the waves is different,,
683,Why?,,
684,The direction the waves move is different,,
685,This is because the temperature is different from each other.,,
686,......,,
687,The temperature is different,,
688,"During the day, hot heat from the ground comes out and the air flows differently",,
689,"""There's a land wind in one place",,
690,"""",,
691,This is because the heating speed of the land and the sea is different.,,
692,The wind is differentThis is because the sea heats up slowly and the land heats up quickly,,
693,"During the day, the land gets warmer and at night, the sea gets warmer",,
694,a difference in temperature difference,,
695,be the same as above,,
696,Typhoon direction,,
697,I don't know.,,
698,I don't know!,,
699,There's a difference.,,
700,This is because the temperature changes faster on land than on the sea.,,
701,??,,
702,This is because the temperatures are different from each other.,,
703,h,,
704,I don't know this,,
705,"It's windy during the day, and it's windy at night",,
706,The weather is different,,
707,"áá¡áá¡Because the direction of the wind changes,",,
708,"""The temperature is high during the day,",,
709,The temperature is low at night,,
710,Hah!,,
711,The tide and the ebb have changed,,
712,I don't know.,,
713,"During the day, the sand is hot and the sea is cold, but at night, the sand is cold and the sea is warm, so the wind blows in the opposite direction.",,
714,Hah!,,
715,Because there's the sun and the moon,,
716,This is because the direction of the wind is different.,,
717,The cold wind goes down and the soft wind goes up,,
718,Sand is the sea during the day and night,,
719,Because the land is hotter during the day and the sea is hotter at night,,
720,d,,
721,Because the temperature of the air is different between day and night,,
722,Just.,,
723,It is because there is a land wind and a sea winds.,,
724,The place where water evaporates is different,,
725,The wind moves in different directions during the day and night,,
726,It's windy at night and on land during the day,,
727,"Because the air temperature is different,",,
728,It comes up from the sea during the day and from top to bottom at night,,
729,"During the day, the temperature of the land (sand) is high, while at night, the temperature of the sea (water) is high. Therefore, the direction of the wind is different because the temperature on the land and the sea is different during the day and night.",,
730,The earth turns around,,
731,Because cold air goes down and hot air goes up.,,
732,"Because the sea is lower in heat than the land, the land with higher heat is hotter during the hot day, so the wind blows from the sea to the land and on cold nights, the land becomes colder due to the higher heat",,
733,"During the day, the air temperature on the land side is higher than that of the sea, so the air rises and becomes low pressure. However, the wind blows from high pressure to low pressure, so it blows to land during the day. However, at night, the temperature of the air on the sea side is higher than that of the land, so the air on the sea side rises, and the air on the sea side becomes low pressure, causing the wind to blow toward the sea.",,
734,"Due to the difference in specific heat (land specific heat <sea specific heat), the sea gets hotter faster than the land during the day, and the wind blows from the sea to the land at night because the land does not receive sunlight, so the temperature cools down faster and blows to the sea.",,
735,"Since the specific heat of the land is small and the specific heat of the sea is large, the temperature of the land is high during the day and the temperature of the sea is low, so the wind blows from the sea to the land at night.",,
736,"The reason why the wind blows from the sea to the land during the day is because the hot land air rises up and the sea air fills the empty space, and the wind blows from land to sea because the sea with less temperature difference than the land is hotter at night.",,
737,"Rising air currents appear on land because the sandy beach is hotter during the day. Therefore, because the air of the sea moves below it, the wind blows from the sea to the land during the day, and at night, the opposite situation occurs, and the wind blows from the land to the sea.",,
738,"This is due to the difference in specific heat between the water constituting the sea and the soil constituting the land. Specific heat refers to the energy required to raise the temperature of an object, which is relatively larger than soil, so water requires more energy than soil to raise the same temperature. When sunlight falls during the day, the land with relatively small heat heats up quickly, raising the air on the land, and the air on the sea descends and blows toward the land, but at night, the air on the sea rises and winds toward the sea.",,
739,"During the day, the temperature of the land rises faster, raising the air on the land and blowing wind from the sea to patch up the area. On the contrary, during the day, the temperature of the sea gets colder more slowly, so the air in the sea rises and winds blow from land to sea to make up the area",,
740,"This is because there is a change in air density according to the temperature difference between land and sea. Convection occurs due to the difference in specific heat between the sea and the land, and the wind blows toward the sea during the day, and the density of air on the land side decreases at night and the density of air on the sea side is relatively high, causing the wind to blow toward the meat.",,
741,The reason why the temperature is different during the day and at night is because the specific heat is different.,,
742,"Due to the difference between the specific heat of the sea and the specific heat of the land, the temperature of the land with low specific heat rises rapidly during the day, and the temperature of the sea with high specific heat rises slowly. However, at night, the temperature on land with low specific heat decreases rapidly, and the temperature on the sea with high specific heat decreases slowly, so the temperature is relatively higher than on land. One of the reasons why the wind blows is that there is a difference in the direction of the wind because the temperature is higher during the day and at night.""",,
743,"During sunny days, the temperature on land is higher than in the sea. At this time, the air on the land side is also heated and the air rises upward. Then a low pressure is formed on the land side. Then, the relatively high-pressure sea air moves toward the low-pressure land. So during the day, the wind blows from the sea to the land, and at night, the specific heat of the water is larger than that of the land, so the temperature of the sea slowly drops and a low pressure is formed on the sea side. Therefore, high pressure is formed on the land side, so wind blows from the land to the sea.",,
744,"During the day, the temperature of the land is higher than the temperature of the sea, so the air from the sea comes in to fill the vacancy of the air from the sea, and at night, the air from the land comes in to fill the vacancy of the air from the sea.",,
745,"The temperatures of the sea and land are different during the day and night. During the day, the temperature of the sea rises slowly, but the temperature of the land rises rapidly, so the temperature of the land is higher than that of the sea However, at night, the heat on the land cools quickly, so the temperature on the land decreases a lot, and the sea does not lose heat easily, so the temperature does not decrease much even at night. Therefore, the direction of the wind is also different because the temperature of the sea and land is the opposite during the day and night",,
746,"During the day, land with a relatively smaller specific heat than seawater has a higher temperature, but on the contrary, land with a smaller specific heat at night has a lower temperature.",,
747,I don't understand.,,
748,It's because the sun changes,,
749,"It's done by east, west, north, and south",,
750,I don't know,,
751,Because the direction of the wind is different day and night,,
752,"The land is hotter during the day, but the sea is hotter at night",,
753,The temperature is wrong,,
754,I don't know.,,
755,This is because the heat in the sand cools down.,,
756,"Because the heat temperature is different,",,
757,I don't understand.,,
758,Because of the sea water,,
759,"Because the temperature of the sea and land changes day and night,",,
760,The ocean heats up slower than the land and cools down,,
761,Because of the temperature difference,,
762,This is due to the large specific heat of the water.,,
763,"During the day, the temperature of the land is higher because the specific heat of the land is small and the temperature rises rapidly, but in the evening, the temperature of the land is lower because the temperature falls sharply. So the direction of the wind is different because the low pressure in the room and the position of the meat rock are changed",,
764,I don't know.,,
765,I didn't learn it.,,
766,Just.,,
767,I don't know.,,
768,I didn't learn it.,,
769,I don't know.,,
770,I don't know,,
771,I don't know.,,
772,It's day and night,,
773,Because of the sunlight,,
774,Because the earth rotates,,
775,I don't know.,,
776,I don't know,,
777,The answer is the same as above.,,
778,the flow of heat,,
779,The temperature is different between day and night,,
780,"Because the land is hot during the day, the sea is hotter than the land, and at night, the wind blows from the sea to the land.",,
781,Pardon?,,
782,I don't know,,
783,The air is blowing on the cold side because it is different at night and during the day.,,
784,No learning,,
785,Because the temperature is different,,
786,because of nature,,
787,Just.,,
788,It's not my part-time job,,
789,There is a big difference between water and land heat capacity,,
790,This is because the temperature of the beach is high during the day and the temperature of the sea is high at night,,
791,"Due to the high specific heat of the sea, the temperature is high even at night, showing the opposite pattern of day at night.The sea with high specific heat has a lower temperature, but the sea with high specific heat has a higher temperature at night.",,
792,"During the day, the temperature on the land is higher than the sea, and at night, the temperature on the sea is higher than on the land",,
793,This is because the temperature of the land is higher at night and the temperature of the sea is higher during the day.,,
794,This is because of the difference in specific heat between the sea and the land.,,
795,"This is because the specific heat of the sea is larger than that of the land, so the temperature of the land is higher during the day and the sea is higher at night.",,
796,This is because the land heats up faster and cools down faster.,,
797,The direction of motion of the air changes during the day and night due to the difference in specific heat between water and sand,,
798,"Due to the difference in specific heat, the temperature varies between day and night",,
799,the difference in specific heat between land and sea,,
800,It's a different proportion,,
801,"On land, the specific heat is smaller than water, so the temperature is higher during the day, but it is lower at night, so the wind blows in high temperatures.",,
802,This is because the water in the sea has a higher specific heat than the sand on land.,,
803,This is because the land gets hotter during the day and cools faster at night.,,
804,The temperature of the land during the day and the sea at night is high.,,
805,The presence of temperature differences according to the daily temperature range,,
806,Sun heat is not transferred,,
807,Because the temperature varies by day and night in the sea and on land,,
808,"The land side with low specific heat is heated quickly or cooled quickly, and the sea side with high specific heat is heated slowly or cooled slowly. As a result, there is a temperature difference between both sides during the day/night, and heat moves due to convection, and air that transfers heat also moves together, resulting in wind, which is the flow of air.",,
809,There's a temperature difference,,
810,This is because it depends on the temperature difference.,,
811,It is different because of the specific heat of sand and water.,,
812,"The land during the day is in a high temperature state, but the land at night cools quickly and maintains a lower temperature than the sea, so it is different.",,
813,The temperature of the sea and land varies between night and day,,
814,"During the day, the temperature of the sand is high, so the air moves up and fills it with air blowing from the sea.",,
815,"The specific heat of water is larger than sand, so water has little change in temperature, while sand has a large temperature change, resulting in rising air flow from sand during the day and rising air flow from water at night.",,
816,"Because the air moves from hot to cold, the land is hotter during the day, and the land winds blow because it is the opposite at night.",,
817,This is because the temperature difference between the land and the sea is different during the day and night.,,
818,explained above,,
819,"During the day, the air on the sea is dense and the density on the land is small, so the wind blows toward the land and at night, in the opposite case.",,
820,I don't know,,
821,This is because the speed at which land and sea are heated and cooled is different.,,
822,"During the day, the sea does not get hot easily and the land heats up quickly, so the wind blows from the sea to the land, while at night, the temperature is relatively lower and the wind blows from the land to the sea.",,
823,"Due to the higher specific heat of the sea, the temperature of the sea is low during the sunny day, so the wind blows from the land to the sea, and the temperature of the sea is higher at night, so the wind blows from the sea to the land.",,
824,"This is because the temperature of the land with a small specific heat during the day is higher than that of the sea, and the temperature of the land at night is lower than that of the sea.",,
825,"""In the daytime, the sea with a high specific heat is low and the land is high",,
826,"""Because there is no sunlight at night, the sea with high heat is hot and the land is cold.""",,
827,"This is because the specific heat of the water is greater than the specific heat of the land, so the air flow caused by the heat being heated slowly during the day and cooling slowly at night is different between the sea and the land.",,
828,This is because the land is hotter than the sea during the day and the sea is relatively warm at night.,,
829,The direction is different because of the wind created by the pressure difference.,,
830,"Due to the difference in specific heat, the land heated during the day cools quickly and the sea cools relatively less, resulting in higher temperatures on the land during the day and higher temperatures on the sea side at night.",,
831,This is because the temperature of the sandy beach is high during the day and the temperature of the water is high at night.,,
832,This is because the air pressure difference varies depending on the day and night.,,
833,It is because of the specific heat difference between water and sand.,,
834,This is because the temperature difference follows.,,
835,"This is because the specific heat of the sea and the land is different. The direction of the wind changes because the land is easily heated during the day, the sea is slowly heated, the land is easily cooled at night, and the sea is slowly cooled.",,
836,I wanted to do that's why,,
837,"Because water has a large specific heat, the temperature does not drop or rise easily. Therefore, at night, the temperature of the land is lower than that of the sea, and during the day, the temperature of the water is colder than that of the land, so the direction of the wind appears opposite to each other.",,
838,This is because the temperature of day and night is different due to the difference between the specific heat of the land and the sea.,,
839,The speed of rotation changes,,
840,I don't know.,,
841,I don't know,,
842,a difference in temperature difference,,
843,a difference in temperature,,
844,"Because the temperature difference between the sea and the land is big during the day and night,",,
845,This is because the temperature difference between day and night varies due to the large specific heat of the water.,,
846,"During the day, the land temperature is higher, and at night, the sea is higher, so the atmospheric pressure changes But since the wind blows from a high atmospheric pressure to a low one, the direction of the wind will change",,
847,"Because of the temperature difference,",,
848,Science...,,
849,"Sand beaches and water have different specific heat, which is the amount of heat required to raise 1g of substance by 1 degree Celsius. The water has a higher specific heat than the sandy beach, which means that the amount of heat required to raise the water by one degree is greater than the amount of heat required to raise the sandy beach by one degree. In short, even if water and sand are heated in the same amount of heat, water is heated slower than sand. And in other words, if water and sand are heated to the same temperature, water cools slower than sand. The wind direction is different because the wind moves from the relatively cold sea to the relatively hot land during the day and from the relatively cold sandy beach to the relatively hot sea at night.",,
850,a heat solder,,
851,Due to convection phenomenon,,
852,a barometric difference,,
853,ãã¹ã,,
854,"The temperature of the land changes well, but the temperature of the sea doesn't change well",,
855,This is because the difference in pressure is reversed because the sandy beach is hot during the day and the sea is hot at night.,,
856,Hah!,,
857,The temperature changed,,
858,Time and wealth are different,,
859,This is because the temperature of the sea gets colder at night.,,
860,This is because the temperature of the sea gets lower at night.,,
861,This is because the wind power of the wind from the sea is different between day and night.,,
862,The heating time and cooling time are different,,
863,"During the day, there is wind from the sea and during the day, there is wind from the sea",,
864,During the day it is windy at sea and at night it is windy on land,,
865,The pressure difference is different,,
866,the difference between sea and land temperature,,
867,the difference between ocean and land temperature,,
868,ã,,
869,I don't know,,
870,Because there's a big difference in specific heat,,
871,a difference in temperature difference,,
872,This is because the sandy beach is hotter during the day and the sea water is hotter at night.,,
873,Because the ocean is warmer (wink),,
874,There's a difference in the specific heat,,
875,This is because of the difference in specific heat between the sea and the land.,,
876,"At night, the sea is hotter, and during the day, the land temperature is higher, so the direction is different",,
877,"At night, the ground is low and the sea is low during the day",,
878,"Water has a high specific heat, so the temperature of the land does not change well, and the temperature of the land changes relatively well, because the temperature of the sea is higher than that of the land at night and the temperature of the land is higher than that of the sea",,
879,Because of the temperature difference caused by the specific heat,,
880,There's a temperature difference,,
881,the sun and moon,,
882,This is because the temperatures of the sea and land are different at night and day.,,
883,Because the temperature of water and sand increases and the cooling time is different,,
884,.,,
885,I don't know.,,
886,It's because it's a land wind and a sea wind,,
887,"During the day, the sand is hotter than water by sunlight, and at night, the sand cools down faster, so it is colder than water",,
888,"During the day, the land temperature is higher and the sea is higher at night",,
889,the specific heat of water,,
890,Get on the monkey's buttThis is because the temperature varies from day to night.,,
891,"During the day, the sea is lower than the land, and at night, the sea is higher than the land",,
892,specific heat dissipation,,
893,Same as the previous answer,,
894,I don't know.,,
895,It is because of the difference in specific heat between the sea and the land.,,
896,"During the day, the land is hot, the sea is less hot, and at night, the land is colder, and the sea is less cold, so the specific heat is different",,
897,It is because of the land wind and the sea wind.,,
898,This is because the cycles of night and day are different.,,
899,Because the temperature of the sea and land is inversely proportional to each other day and night,,
900,"Because the sea is composed of water, the specific heat is large, so the sea is warmer at night and the land is warmer in summer, so this temperature difference changes the direction of the wind",,
901,"The land is lower than the sea during the day, but the wind direction is different because it is higher than the sea at night",,
902,This is because the temperature of the land and the sea is different.,,
903,It's because they have different specific heat,,
904,This is because the specific heat of the water is greater than the specific heat of the land.,,
905,Because water and sand have different specific heat,,
906,It's because the temperature difference is so great,,
907,"During the day, the temperature of the land is high and the temperature of the sea is high at night",,
908,This is because of the difference in specific heat between land and sea.,,
909,This happens because the sea is hot during the day and the land is relatively cold at night because the sea is hot and the land is relatively cold due to the small specific heat,,
910,I don't know.,,
911,It's because of the meanness of the water,,
912,Because of the difference in specific heat,,
913,It's warm during the day and cold at night,,
914,There's a difference in temperature,,
