,2) How does it look different when you look at things with convex lenses compared to when you look at them with flat glass?,q50_enlarge,q50_backwards
825,I don't know.,,
826,It will look big. You can tell by the path of light.,,
827,"Usually, when an object is viewed as a flat glass, it appears to be the same size as an object and standing upright. However, when you look at an object using a convex lens, if you look at it from a close distance, it looks like an upside-down image. On the other hand, if you look at an object from a distance, it looks like a standing image, but it looks like a larger image than the original object.",,
828,"When you look at an object with a convex lens, the image formed by the light reflected from the object creates a larger image than the object under the focus, so when you look at the object with a convex lens, it looks larger than the actual size.",,
829,"The path through which light passes, as light is refracted, a larger image is formed.",,
830,"If you look at an object using a convex lens, you can see the object larger than using a flat glass.",,
831,a shortage of time,,
832,Of course it's different because convex lenses refract light] It looks different,,
833,It looks bigger and looks upside down when it's out of a certain range.,,
834,"Smaller areas can be viewed larger than flat glass, which narrows the field of view, but makes the object appear larger.",,
835,It's slightly getting bigger.,,
836,I'm sorry.,,
837,...,,
838,Bigger.,,
839,It looks small,,
840,You can see it backwards from a distance,,
841,It looks big.,,
842,It looks big.,,
843,Things look big.,,
844,All right.,,
845,The object looks big.,,
846,I don't know,,
847,M and D,,
848,It looks small.,,
849,It looks great,,
850,It looks smaller,,
851,Things look big.,,
852,I don't know.,,
853,.,,
854,It looks big on the side,,
855,It looks smaller,,
856,It looks big and close,,
857,Other things look big,,
858,It looks big and close.,,
859,The statue is big and looks upside down,,
860,It's big and bent,,
861,It looks big and upside down,,
862,Significantly,,
863,It looks big,,
864,It looks big up close and upside down from afar,,
865,I can see it better,,
866,I don't know if it looks hot,,
867,I don't know.,,
868,It looks bigger than it looks with flat glass.,,
869,It looks bigger and clearer,,
870,I don't know.,,
871,It looks like a crab,,
872,It looks big when it's close and upside down when it's far away.,,
873,It looks small,,
874,I don't know.,,
875,Looks bigger.,,
876,The thing looks bigger and clearer,,
877,..............,,
878,It looks convex,,
879,It looks more convex,,
880,It looks big or the other way around,,
881,It looks big.,,
882,It looks enlarged.,,
883,I don't know.,,
884,I don't know.,,
885,It looks great,,
886,Things look bigger.,,
887,The image of the object is large and looks like honey.,,
888,It looks great,,
889,upside down,,
890,It's upside downThe convex lens looks big,,
891,"It looks small from a distance, and big from a close distance.",,
892,It looks upside down.,,
893,It's upside down,,
894,Things look bigger because they act as magnifiers,,
895,The planar glass is visible and the convex lens has a shorter focus than it looks.,,
896,It will look backwards,,
897,Make it look bigger and round?can see,,
898,It looks great,,
899,It looks great,,
900,The world looks a little messy,,
901,You'll be able to see it well near you,,
902,It looks upside down or right.,,
903,"When you look at things using convex lenses, they look backwards, unlike when you look at them with flat glass",,
904,It looks great,,
905,Things look bigger and clearer,,
906,Things look bigger.,,
907,"Things look bigger and more straight. (From a distance, you can see it backwards.)",,
908,It looks upside down. It looks big.,,
909,It looks upside down.,,
910,The convex lens looks bigger.,,
911,What's far away is likely to look backwards.,,
912,What is far away looks backwards. And it looks closer.,,
913,"The convex lens looks large and straight, but the flat glass is not large",,
914,"It has the property of refracting light, so it seems to be seen backwards.",,
915,Big and straight,,
916,Opposition,,
917,I can see it clearly,,
918,:(,,
919,Looks bigger or upside down,,
920,It looks big upside down.,,
921,It looks great,,
922,It looks great,,
923,Convex lenses are lenses and flat glass is glass,,
924,"From afar to upside down, from up close, from afar",,
925,It looks more detailed.,,
926,It looks upside down,,
927,It's refracting,,
928,It looks big and straight.,,
929,It looks convex,,
930,Looks big,,
931,"""",,
932,"""It looks bigger""",,
933,It looks bigger than it really is.,,
934,It looks a little bigger than it really is.,,
935,Bigger.,,
936,"If you're one arm away, you'll see it backwards.",,
937,Looks big,,
938,I can see it better,,
939,I can see it closer.,,
940,I can see it zoomed in.,,
941,You look fat,,
942,It looks closer.,,
943,The object looks bigger than usual,,
944,"If you look at things using convex lenses, things look a little bigger.",,
945,It looks convex. It looks big,,
946,The convex lens looks big,,
947,It looks big,,
948,It looks big or small,,
949,It looks bigger with a convex lens,,
950,It looks much more detailed than it looks in flat glass.  It looks bigger and shows an enlarged object.,,
951,It refracts light to make it more visible than regular glass.,,
952,"If you look at the convex lens, you can see the plane glass far away and not well.",,
953,.,,
954,I don't know,,
955,.,,
956,I think it will look round,,
957,Bigger.,,
958,Things look enlarged,,
959,It looks great,,
960,"""If you use a block lens to look at things, you can see them in a flat glass",,
961,"It will look bigger.""",,
962,It looks round and big,,
963,I don't know.,,
964,I don't know,,
965,--ã¡ã¡,,
966,I don't know,,
967,It looks great,,
968,I can see it up close,,
969,It's upside down,,
970,It looks upside down.,,
971,It's upside down,,
972,It looks close,,
973,You look fat,,
974,upside-down appearance,,
975,The middle part will look convex.,,
976,It looks convex.,,
977,It looks close,,
978,The top and bottom look different,,
979,An object is bigger.,,
980,It looks enlarged or reversed,,
981,It looks big.,,
982,Things will look upside down and look smaller than they were.,,
983,It looks bigger with a convex lens,,
984,"Because the light at the edge is refracted and goes straight, and the center is going to go back, it will look bigger where the image is formed, and after that, the image will look upside down.",,
985,It looks great,,
986,It looks big,,
987,I don't know,,
988,I don't know,,
989,I don't knowIt looks big or small.,,
990,in a circle,,
991,I donât know well.,,
992,I don't know,,
993,I don't know because I didn't cut it,,
994,It will look convex,,
995,I think it's going to look bloated,,
996,I don't know,,
997,I think the middle part of the thing is going to look like it',,
998,It looks like it's going to reflection,,
999,You can see it wider.,,
1000,I don't know.,,
1001,The gown looks long,,
1002,I think I can learn more.,,
1003,I don't know.,,
1004,I don't know,,
1005,I think it's going to look more.,,
1006,"""I don't know",,
1007,"""",,
1008,I think things will look a little down.,,
1009,I don't know.,,
1010,It looks convex,,
1011,I can see it up close,,
1012,Upside down?,,
1013,It looks small,,
1014,It looks big,,
1015,My eyes hurt more,,
1016,It looks bigger,,
1017,It looks like it's sticking out,,
1018,Bigger.,,
1019,It looks upside down,,
1020,It's upside down,,
1021,It looks bigger,,
1022,More visible,,
1023,It's upside down,,
1024,It's upside down,,
1025,The focus varies depending on the distance and looks enlarged,,
1026,Things look short and wide sideways.,,
1027,I can see it upside down,,
1028,It's bigger and the top and bottom look the opposite,,
1029,It looks like a magnifying glass,,
1030,Looks bigger or reversed,,
1031,I don't know,,
1032,It looks wide,,
1033,That's true,,
1034,"If you look at an object using a convex lens, the object will look bigger.",,
1035,Bigger.,,
1036,Well,,
1037,"Compared to flat glass, it looks bigger with convex lenses.",,
1038,Your face gets uglier.,,
1039,It looks convex,,
1040,I see a lot of course,,
1041,It looks different because the light is refracted,,
1042,The prize looks big,,
1043,It looks great,,
1044,"It looks a little bigger, it looks ugly.",,
1045,It looks convex,,
1046,It's not straight and it looks distorted.,,
1047,"Because the light gathers, my face looks more distorted than looking at the flat glass.",,
1048,It looks dented.,,
1049,"""Objects ahead of the forefocus of a lens convex lens with a convex side or side of the lens and objects between the forefocus and the lens create a virtual image at the front of the lens.",,
1050,"""",,
1051,"""Gathering the Light""",,
1052,"the possibility of being able to see things well.""",,
1053,"When viewed closely, it looks established and larger than it really is. From a distance, it looks like an inverted shape and looks smaller than it really is.",,
1054,"The planar glass looks as if the image behind it is transmitted from close to far, while the convex lens looks large from close to far and vice versa.",,
1055,"When using a convex lens, the image looks enlarged like a magnifying glass compared to a flat glass, but when using a convex mirror, it looks like a concave lens, so the image looks spread out.",,
1056,"When you look at an object with a convex lens, the image is reversed, and when you look at an object with a flat glass, the glass transmits light as it is, so the object is seen as it is.",,
1057,"When you look at an object using a convex lens, it looks distorted and ugly.",,
1058,Loudly,,
1059,It looks very different,,
1060,Closer?,,
1061,It looks like it's going to look bent.,,
1062,It looks farther than it looks,,
1063,"It'll look thick, right?",,
1064,It looks convex,,
1065,It looks like things are bent,,
1066,It looks wider.,,
1067,It looks convex,,
1068,Looks big,,
1069,"Because of the refraction of light, things look bigger.",,
1070,I can see things enlarged,,
1071,"of a thing, to be convex",,
1072,Significantly,,
1073,The object looks bigger,,
1074,You'll see better,,
1075,"If the focus is close, the object will look bigger, but if the focus is far, the top and bottom of the object will change.",,
1076,"It's large, clear, and the center is clearly visible, but the image is slightly blurred as it goes to the side",,
1077,"If you look closely, you can see that it's enlarged and turned upside down from a distance",,
1078,Bigger.,,
1079,It looks great,,
1080,It looks enlarged and upside down.,,
1081,It's enlarged and looks backwards.,,
1082,It looks big.,,
1083,It looks great,,
1084,"A distant object looks small and upside down, and a nearby object looks large and straight",,
1085,You can change the size of the statue.,,
1086,"It looks big within the focal length, but turns upside down outside the focal length",,
1087,"If it is farther than the focus, it is a provincial reality, and if it is close, it is a false image.",,
1088,an image of the provincial visionIt looks small,,
1089,It looks big and right or small and upside down,,
1090,Looks big,,
1091,It looks great,,
1092,It looks big.,,
1093,The top and bottom look different,,
1094,Bigger.,,
1095,"When you look at an object with a convex lens, it looks larger than that of a flat glass.",,
1096,"When viewed closely with a convex lens, it looks straight larger than that of a planar glass, and when viewed from a distance with a convex lens, it looks smaller than that of a planar glass.",,
1097,I forgot~,,
1098,It looks big and straight or upside down.,,
1099,Things look bigger than they really are.,,
1100,It will look strange.,,
1101,"A mirror using a convex lens reflects light extensively in many directions, so it can be viewed more widely than a plane glass.",,
1102,Sometimes an object appears large and straight or upside down.,,
1103,"If you look at an object with a convex lens, it looks larger than it actually looks, but if it exceeds a certain distance, it looks upside down.",,
1104,"The size changes. Unlike looking at flat glass or concave lenses and objects, when observing objects with convex lenses, the size of objects seems larger than reality. Looking at the writing, it is divided again when viewed closely and from a distance. If you look at the writing with a convex lens up close, the writing looks big and correct, but if you look at it from a distance, it looks big, but it will be observed upside down.",,
1105,"The convex lens looks different depending on the position of the object. Specifically, when an object is closer than the focus, the object appears to be larger than the real object. It looks big because there is a virtual image behind the object. However, if an object is farther than the focal point, its size changes in proportion to the distance it is located, and it is always inverted. However, when viewed with a plane glass, it is expressed in the same size and direction as the object by the straightness of light.",,
1106,"With convex lenses, objects closer than the focal point look large and straight, and objects farther than the focal point look large and upside down, and then small and upside down as the distance from the object becomes farther and farther and farther away.",,
1107,"When the distance between the eye and the convex lens is about one length and the distance between the object and the convex lens is about one length, the object is large and straight. If the distance between the eye and the convex lens is about one length and the distance between the object and the convex lens is longer than one arm length, the object is large and straight. If the distance between the eye and the convex lens is longer than the length of an arm and the distance between the convex lens and the object is about a span, the object is large and straight. If the distance between the eye and the convex lens is longer than one arm length, and the distance between the object and the convex lens is also greater than one arm length, the object is seen upside down.",,
1108,"When an object is in focus, it looks larger than it is, it doesn't look upside down, but when it's out of focus, it looks enlarged or shrunk depending on the distance between the lens and the object, and it looks upside down.",,
1109,The convex lens shows a large image or looks small and upside down.,,
1110,"When you look at an object using a convex lens, the convex lens refracts light, so the object looks even bigger than the plane glass.",,
1111,"Objects close to the focal point look straight smaller than real objects, and objects in the distance look bigger because they are turned upside down.",,
1112,"Flat glass is shown as it appears. However, the convex lens is thicker in the middle, so it looks different depending on the focus. If there is an object in focus, it looks straight, larger than it is. If there is a focus outside the object, it always looks upside down and enlarged or reduced depending on the distance from the lens.",,
1113,"When looking at an object with flat glass, the actual object appears as it is, only in the left and right. When looking at objects using convex lenses, you should divide them into looking at objects close to you and looking at objects far away. The nearby objects look enlarged, and the distant objects look upside down.",,
1114,The object will look larger than the plane glass because it looks enlarged.,,
1115,"A convex lens is a lens in which the center portion of the lens is thicker than the edge portion. On the other hand, the planar glass is a glass with no difference in thickness. When viewed through a convex lens, if an object is close to it, light will gather closer than the focal point and the object will be enlarged, and the farther the object is, the smaller the size of the object will be. However, planar glass with no difference in thickness, such as convex lenses, looks the same as an object because light is not refracted and directed, so that light does not gather or spread.",,
1116,"When looking at magnifying glass, a representative example, magnifying glass is mainly used when looking at objects enlarged. Like this, if you look at objects using convex lenses, you can see them larger than flat glass.",,
1117,"A convex lens is a lens in which the center of the lens is thicker than the edge part, and when light is incident on this lens, light gathers to the center. At this time, when the image is formed in front of the focus, the object in the line is enlarged, and when the image is formed behind the focus, the object is seen upside down.",,
1118,"Unlike what looks like in reality, flat glass changes up and down when it is far away and looks upside down. And it looks a little distorted.",,
1119,All right,,
1120,Don't know,,
1121,It looks bigger than the original thing,,
1122,An object as far as an arm looks bigger and an object as far as an arm looks upside down,,
1123,Bigger.,,
1124,Close objects look big and far objects look upside down,,
1125,It's upside down,,
1126,It's upside down,,
1127,It looks great,,
1128,It looks great,,
1129,Bigger.,,
1130,It looks big.,,
1131,I know. ^^,,
1132,"It looks larger than what is viewed as a flat glass. And far from your eyes, far from your convex lens, looks backwards.",,
1133,It's upside down,,
1134,"If you look at the convex lens, it looks bigger.",,
1135,Looks bigger.,,
1136,It looks more enlarged,,
1137,The object appears to be enlarged,,
1138,The convex lens looks clearer.,,
1139,Bigger.,,
1140,I can see the convex lens better,,
1141,It looks bigger,,
1142,"Since convex lenses have the property of refracting light, an image different from planar glass is recognized by the eye. When looking at an object using flat glass, the actual appearance is seen as it is. However, if you adjust the distance between the convex lens and the eye, you can see various images because you can see the object large, small, straight, or inverted.",,
1143,"If you look closely, it looks big and small from afar",,
1144,It looks great,,
1145,It looks big and opposite.,,
1146,It looks big and upside down,,
1147,"It looks big, it looks upside down.",,
1148,It looks big.,,
1149,"If you look closely, you can see it more closely",,
1150,"If you stretch your arms straight, you will see an object upside down.",,
1151,The picture looks big,,
1152,The far one looks small and the near one looks big.,,
1153,It's upside down,,
1154,It looks enlarged,,
1155,It looks bigger than the flat glass,,
1156,It looks bigger than the flat glass,,
1157,I don't know,,
1158,The far one is small and the near one is big and straight.,,
1159,It looks great,,
1160,It looks great,,
1161,You can see things bigger.,,
1162,Bigger.,,
1163,things look big,,
1164,It looks great,,
1165,"With a convex lens, if you look closely at an object, it looks big and vice versa",,
1166,It looks bigger.,,
1167,"When things are enlarged and a certain distance passes, things are seen backwards",,
1168,"It will look more convex. For example, head and body.If you have legs, you can see the body enlarged and the head and legs are short and small, but the flat eura looks the same",,
1169,Evaluation Only. Created with Aspose.Cells for Python via Java.Copyright 2003 - 2022 Aspose Pty Ltd.,,
