,"4. Hyunjin went to the swimming pool with his friends on a hot summer day. When I came out for a while after swimming excitedly with my friends, my body suddenly trembled and felt cold. Why did Hyunjin feel nervous and cold when he came out of the water even though it was a hot summer day? Let's talk about changes in the state of matter.",q59_evaporation,q59_heat ,q59_vaporization heat ,q59_cold
477,The temperature feels cold because it is difficult to adjust to the temperature of the outside because I have adjusted to the temperature of the water.,,,,
478,"Because the water is cold and when it comes out, it's wide",,,,
479,This is because the heat in my body evaporates and escapes together.,,,,
480,"Water (water droplets) dried in the air, so the body was wet, and the body was cold and trembling because the temperature of the body dropped as the water dried by the air.",,,,
481,My body's heat is taken away from me,,,,
482,This is because the heat in the body is taken away after playing in the water.,,,,
483,It's because water on your body takes away the temperature,,,,
484,"The water cools and cools when it meets the air, and because of this, when the water in the body dries, the body temperature decreases and the body becomes cold.",,,,
485,"When you come out of the water, the water in the body evaporates, depriving the body of vaporization heat and lowering the body's heat.",,,,
486,This is because the body's heat escapes as the water evaporates.,,,,
487,The body is cold because the water evaporates.,,,,
488,Because water evaporates and takes away the body's heat,,,,
489,"The water is cool and cold, so when you play in the water, it feels colder when the temperature is adjusted to the water and comes out of the water.",,,,
490,This is because water takes away heat when it evaporates.,,,,
491,It feels cold because it takes away the heat from your body.,,,,
492,The water evaporates and takes away the heat from your body,,,,
493,in the heat of the water,,,,
494,This is because the body is swollen with moisture.7.64857E+17,,,,
495,It's because the water evaporates and takes away my body temperature,,,,
496,The water dries up and the temperature outside is colder than the temperature inside,,,,
497,This is because water becomes gas from a liquid.,,,,
498,There's a temperature difference between the water and the outside,,,,
499,"As Muric dried up, he took Hyunjin's precious body temperature and dried up",,,,
500,This is because water absorbs heat of vaporization when it evaporates.,,,,
501,I lost my temperature to water,,,,
502,This is because the water on the body comes out of the water and cools as it evaporates with the air.,,,,
503,This is because moisture in the body evaporates and the temperature is also taken away.,,,,
504,The body trembles as the moisture on the body evaporates into the air.,,,,
505,This is because moisture in the body evaporates and the temperature is also taken away.,,,,
506,be affected by changes in the environment around a substance,,,,
507,"The swimming pool was opened in the summer, and the sun shot hot water, so the water was lukewarm, so I felt cold when I came out of the swimming pool.",,,,
508,"If you ask Naver intellectual, people will kindly explain it to you.^^",,,,
509,You feel cold as the moisture in your body evaporates into the air.,,,,
510,I don't understand.,,,,
511,It's cold,,,,
512,I don't know.,,,,
513,It's because I've been in cold water for too long.,,,,
514,M and D,,,,
515,"This is because when water evaporates, it evaporates with heat.",,,,
516,out of body temperature,,,,
517,I don't know,,,,
518,I don't understand.,,,,
519,This is because water droplets attached to the body evaporate into gas and take up heat from the body.,,,,
520,The moisture in your body takes heat when the wind blows,,,,
521,"This is because when water dries out of the body, the body temperature also escapes.",,,,
522,"As the water dries, it takes away the heat from your body",,,,
523,This is because the water in the body evaporates and absorbs heat and flies away.,,,,
524,I got water on my body,,,,
525,"When water dries, water evaporates, but as water evaporates, it takes away heat from our skin and lowers our body temperature",,,,
526,The body temperature will be lowered because water evaporates into water vapor and absorbs heat from vaporization,,,,
527,The water is just cold,,,,
528,"This is because when the water on the skin evaporates and becomes water vapor, it absorbs heat as it evaporates, and the temperature around it temporarily drops.",,,,
529,Because my body temperature dropped,,,,
530,"As the body temperature comes out of the water, the temperature changes, so it escapes.",,,,
531,"This is because when you come out of the swimming pool, the water dries and dries with sweat, so your body temperature is less maintained.",,,,
532,Water on your body lowers your body temperature,,,,
533,This is because the water dries quickly.,,,,
534,This is because the body has a fever.,,,,
535,It's because water evaporates,,,,
536,I'm sorry I majored in liberal arts,,,,
537,"When I come out, the water becomes steam and flies away, so it seems to be getting cold.",,,,
538,"When the water dries, when the liquid turns into a gas, it takes away the heat around it and changes, so it feels cold.",,,,
539,"When you come out of cold water, the temperature difference gets worse, so it gets cold",,,,
540,The temperature inside and outside the water are different,,,,
541,"I adjusted to the temperature of the water when I was swimming, but I couldn't because I came out of the water.",,,,
542,The temperature of my body in the water and the temperature of my body are different,,,,
543,Because the temperature inside the water is different from the temperature outside,,,,
544,I don't know,,,,
545,The body temperature dropped because the body temperature was taken away by the water because it stayed in the water.,,,,
546,fall flat on one's body,,,,
547,Because the body temperature drops as the water dries,,,,
548,It is cold when you come out because the temperature of your body is lowered because you are in the water.,,,,
549,"As the water evaporates, it takes away the heat from our bodies, so we feel cold because the heat is instantly taken away.",,,,
550,It's because I've been in the water for too long,,,,
551,"When the water dries, it takes away the heat from the object",,,,
552,Dehydration. Or the change that occurs when the body is stirred in water and the cold air meet,,,,
553,The moisture in my body is gone,,,,
554,This is because water has the property of stealing the temperature around it.,,,,
555,"During state conversion, vaporization from a liquid to a gas can be called an endothermic reaction, in which water absorbs heat and feels cool in the body.",,,,
556,"During state conversion, vaporization from a liquid to a gas can be called an endothermic reaction, in which water absorbs heat and feels cool in the body.",,,,
557,"As the water evaporates, it takes moisture out, and heat is also released.So it is cold as the body temperature decreases.",,,,
558,This is because the water around the body became gas and took away the heat from the body.,,,,
559,"This is because when we go to a hot place after staying in a cold place, the temperature difference is so great that we try to set the temperature in our bodies",,,,
560,"The body feels cold because it takes away the heat from the body as it evaporates, which is a phenomenon in which water in the body changes into gas.",,,,
561,"The body is cold because water in the body evaporates as it absorbs heat from the surrounding body, that is, vaporization occurs. In conclusion, you feel cold because the heat in your body is absorbed as the water evaporates",,,,
562,This is because the body temperature is taken away as the water that was stuck to the body flies away.,,,,
563,"First, the temperature is much lower than in summer weather because the water has a large specific heat. When you come out of swimming there, your body temperature drops, and since water absorbs heat in the process of evaporating, it absorbs all the heat from the skin and becomes cold.",,,,
564,This is because water absorbs heat from the surroundings as it sublimates.,,,,
565,"I feel cold when I come out of the pool after swimming continuously. The reason can be explained by one example. When spraying waterpas or alcohol disinfectants on the body, you can feel very cool in a moment. It is based on the principle of vaporization. Waterpas and alcohol disinfectants vaporize very quickly, lowering the body's temperature. Therefore, when you come out of the water, the temperature of the body decreases as moisture on the surface of the body evaporates.",,,,
566,"Just as spraying water on the floor dries and cools the surroundings, the water on the body turns into gas and vaporizes (taking away heat energy), so you feel cold.",,,,
567,"When water evaporates, it gets cold because it also takes heat.",,,,
568,"When the water dries, it takes away the heat. This is called evaporation heat and is taken away for use when changing states. It's midsummer, but it takes away your body temperature, so your body shakes and feels cold. When the body's water dries up, this phenomenon also disappears.",,,,
569,"This is because when you are in water, your body temperature is taken away from the water, and when you come out of the water, the water remaining in the body dries, you need a temperature to dry, and the temperature you need here is taken from your body temperature.",,,,
570,"""The water (liquid) in your body evaporates into water vapor",,,,
571,Energy must be obtained when evaporating from a liquid to a gas.,,,,
572,"That energy is taken away from the surrounding heat, and it's taken away from the body",,,,
573,"We feel cold.""",,,,
574,"It feels colder because it absorbs the heat around it due to the heat of vaporization. Also, even if you are outside bare body, a thin layer of air is formed around your skin at body temperature, which disappears.",,,,
575,"The temperature of the water is low, so it gets cold as the body temperature is taken away. And when the water on the skin evaporates, heat is needed, and the body temperature is taken away.",,,,
576,"Water (liquid) in the body evaporates into water vapor (gas), and when it evaporates from liquid to gas, energy must be obtained. The energy takes away the surrounding heat and gets energy, which makes us feel cold because it takes away the heat from our bodies.",,,,
577,The body felt cold because the body's moisture evaporates with heat and takes away the body's heat.,,,,
578,"As it comes out of the water, the moisture attached to the body dries, which is a process in which a liquid called water becomes a gas. In this process, water requires energy to vaporize, and since heat is used around it, the body loses heat and becomes cold.",,,,
579,"The process of vaporizing the process of going from liquid to gas during the change in state of a substance is called liquefaction, and Hyunjin's case is vaporization because the water dries. At this time, in order for the conversion process from liquid to vaporization to become farther away, the changing system absorbs heat and causes an endothermic reaction, but the temperature is lowered because the heat is lost due to the reaction of the system.",,,,
580,"""When you come out of the water, you have water on your body, and the water turns into gas over time",,,,
581,We usually describe this phenomenon as dry. But the scientific term for this phenomenon is:,,,,
582,"It refers to the change of a liquid into a gaseous state due to vaporization. In this process, the liquid is in a gaseous state",,,,
583,"It absorbs the heat around it to change, and the water on the body is also used to become a gas",,,,
584,"It absorbs heat around the body. Because of that, the temperature around your body decreases, so like the above",,,,
585,"The phenomenon is what happens.""",,,,
586,"As Hyun-jin comes out of the water from the swimming pool, the water from the swimming pool sticks to the body and comes out together. This water turns into water vapor as it releases heat energy and turns into a gaseous state, which is called vaporization. Hyunjin must have felt cold because the heat energy she had was used for vaporization.",,,,
587,"This is because the substance releases or absorbs heat energy when the state changes. This is because when we come out of the pool, the water on our bodies vaporizes and absorbs the heat energy around us, so our bodies lose heat energy. I'm nervous because the water vaporizes and takes away the heat from our bodies.",,,,
588,"When you enter the swimming pool and come out, you come out with water all over your body.However, when the water on the body evaporates, it takes away the heat from the body and changes from liquid to gas.So Hyunjin, who lost his body heat, felt cold even though the weather was hot.",,,,
589,"As the water that existed in the body vaporizes, it absorbs heat from the body together, so our body lost heat and felt nervous and cold.",,,,
590,"This is because liquid moisture on the surface of the body evaporates into gas, resulting in heat of vaporization that takes away the body's heat.",,,,
591,Because the water has evaporated.,,,,
592,"When the water dries, it feels cold because it evaporates with heat",,,,
593,"Of course, it was because of the temperature difference since you were in the water.The body trembles as the water on the body evaporates.",,,,
594,"Hah, hah, hah.",,,,
595,This is because the water vaporizes and takes away our body temperature.,,,,
596,The body feels cold because the water in the body vaporizes and absorbs the heat around it.,,,,
597,This is because the water vaporizes and takes away the heat around it.,,,,
598,"""As the water flies away, your body temperature also goes away.""",,,,
599,"""",,,,
600,This is because the water on the body evaporates and takes away heat.,,,,
601,The water vaporizes over time and heats up the body,,,,
602,"The water on the body vaporizes and absorbs the heat of vaporization, and then it takes away the heat from the body, so you feel cold. When you feel that your body temperature has dropped in your brain, your body muscles tremble and gradually recover your body temperature.",,,,
603,Because the water vaporizes and drains the heat from our bodies,,,,
604,"The water attached to the body vaporizes over time, and the body heat also flies away.",,,,
605,This is because the temperature in the body decreased as the water entered.,,,,
606,"It's because when you come out of the water, the water in your body gets cold",,,,
607,Because it gets cold as the water dries.,,,,
608,"Hyun-jin, who has been in the water for a long time, loses water while the water dries when the temperature of his body drops and his body temperature drops a little more.",,,,
609,Hyunjin's whole body is red from fear.,,,,
610,"When moisture escapes, the body feels cold because air enters the remaining part, and for this reason, when hot water is sprayed on the body when fever occurs, the moisture escapes and cools the body, so as in some cases, the moisture vaporizes and feels cold.",,,,
611,Hyunjin felt cold because his body temperature was absorbed by the heat of vaporization in which the water on his body evaporates.,,,,
612,This is because the water dries and absorbs heat to lower body temperature.,,,,
613,This is because water evaporates and absorbs heat from vaporization to deprive the body of heat.,,,,
614,This is because water vaporizes and absorbs heat.,,,,
615,The body feels cold because the water vaporizes into water vapor and an endothermic reaction occurs.,,,,
616,"Since the water on the body vaporizes into water vapor and absorbs the heat of vaporization, the body feels cold by absorbing the heat of the body.",,,,
617,Take the heat away,,,,
618,It feels cold because water vaporizes and flies away with heat from the wet body.,,,,
619,"As the water evaporates, the temperature drops",,,,
620,absorption of heat of vaporization,,,,
621,Water on the body evaporates and takes away body temperature. So I feel cold.,,,,
622,This is because the water on the body evaporated. It gives off heat when vaporization takes place.,,,,
623,"This is because water evaporated in the body, absorbing heat, and vaporizing it.",,,,
624,a sharp drop in body temperature due to water,,,,
625,The body temperature was lowered because the water evaporated and took away the body temperature.,,,,
626,"Water in the body evaporates, and energy is needed to jump from liquid to gas But I feel cold because the heat around me takes away that energy.",,,,
627,This is because water evaporates as it comes out of the water and takes away heat from the body.,,,,
628,It vaporizes from water to water vapor and absorbs heat of vaporization. Heat escapes from the body.,,,,
629,"As the liquid water attached to the body evaporated, it absorbed the heat around it and took away the heat from the body, making it feel cold.",,,,
630,"This is because when moisture evaporates, it takes away heat from the surface of the skin.",,,,
631,"When water turns into water vapor, it absorbs heat",,,,
632,This is because water absorbs heat of vaporization as it evaporates into water vapor.,,,,
633,absorption of heat of vaporization,,,,
634,"Water vaporizes by phase change, but vaporization is an endothermic reaction, so the body feels cold.",,,,
635,"This is because water in the body absorbs heat of vaporization as it becomes gas in a liquid state, taking away the heat around it and lowering the temperature of the body.",,,,
636,"As Hyunjin's water evaporates, the temperature of the surrounding area, that is, Hyunjin's body, decreases because it absorbs vaporized heat from the surrounding area.",,,,
637,Absorbs vaporizing energy when the state changes from liquid to gas,,,,
638,Water vaporizes and takes in heat.,,,,
639,"Water changes state from liquid to gas, which is an endothermic process that absorbs ambient heat. Therefore, Hyunjin's body temperature is lowered.",,,,
640,Body temperature drops due to heat absorption as sweat vaporizes,,,,
641,This is because water evaporates and absorbs heat from the body.,,,,
642,"The water on the body vaporizes into water vapor due to the hot weather, and since an endothermic reaction takes away the body's heat during vaporization, the body temperature decreases and feels cold.",,,,
643,Absorbs heat of vaporization when vaporized from water to water vapor,,,,
644,"As the water dried up, the heat from the body was released together.(Emission of Evaporative Heat)",,,,
645,Water evaporates and takes away heat from the body.,,,,
646,"When water evaporates, the enthalpy of the internal material increases due to a change in state. That is, since heat is absorbed from the surroundings, the surrounding temperature is lowered.",,,,
647,"As the water dries, the body feels trembling and cold because it is used to dry the body temperature by vaporization heat.",,,,
648,"When water vaporizes, it absorbs heat, so the body shakes and feels cold.",,,,
649,This is because the water in the body evaporates and takes the heat around the body,,,,
650,"Dry water on the body means that water evaporates, and when vaporized into a substance, the body feels cold because it absorbs heat from the surrounding area.",,,,
651,The water evaporated and drained the heat.,,,,
652,"As the water dried up, it took away the heat from the surroundings.",,,,
653,This is because the water attached to the body evaporated and the body temperature dropped.,,,,
654,"As the water dries, I carry the heat from my body",,,,
655,Because the water was cold.,,,,
656,This is because the water takes away my body temperature as it dries.,,,,
657,This is because the water gets cold as it meets the air.,,,,
658,This is because the water takes away the body's heat as it evaporates.,,,,
659,Don't know,,,,
660,"The body temperature goes down because the water in the body changes into a gas and evaporates, and at the same time, it takes away the body's heat.",,,,
661,Because the water dries and it's cold?,,,,
662,"Because the water dries up and releases heat,",,,,
663,The liquid on the body evaporated and the heat was taken away.,,,,
664,I'm already used to the water,,,,
665,"When the water dries, it evaporates like the heat in the body",,,,
666,The water is drained and the temperature is lowered.,,,,
667,"This is because the water on the surface of the body receives solar heat from outside the water and evaporates, taking away the body's temperature.",,,,
668,This is because water in the body evaporates and takes heat from the body together.,,,,
669,"This is because the water on Hyun-jin's body vaporizes to form water vapor, removing heat from the body.",,,,
670,The body temperature evaporates into water and becomes cold.,,,,
671,sublimation fever,,,,
672,"As the water dries, it evaporates and flies away with heat",,,,
673,"As the water disappears, I take my body temperature",,,,
674,This is because water turns into gas and takes away the temperature.,,,,
675,This is because water in the body evaporates and takes away heat.,,,,
676,The temperature of the body dropped significantly because water evaporated in a frame where water was equal to its own temperature,,,,
677,Because the water on your body evaporates and absorbs the heat around you,,,,
678,The water is dry,,,,
679,This is because the condition of the water on the body has changed.,,,,
680,The water in the body vaporizes and takes away the heat from the body.,,,,
681,I think the water in his body turned into gas and lowered the temperature around him,,,,
682,"As the water dried up, the liquid water evaporated and turned into gas, and the temperature of our bodies flew away.",,,,
683,This is because the water in the body vaporized as it came out and took away the heat in the body.,,,,
684,a difference in temperature difference,,,,
685,The temperature dropped because the water vaporized.,,,,
686,This is because water absorbs heat of vaporization as it evaporates.,,,,
687,This is because the water on the body evaporates and takes away the body's temperature.,,,,
688,"As water turns into gas, the heat of vaporization absorbs the heat around it and the ambient temperature decreases, so it feels cold.",,,,
689,This is because the heat in Hyunjin's body was used as vaporization heat as the liquid water on the surface of Hyunjin's body evaporated (changed into gas).,,,,
690,"This is because as water increases, heat energy changes to potential energy and takes away heat from the body.",,,,
691,"In order for water to dry, the water in the body needs to evaporate, but when evaporating, the heat in the body is attracted and dried together, so the positional energy when evaporating requires heat energy.",,,,
692,"As the water molecules on the surface of Hyunjin's skin came out of the water and vaporized by absorbing the heat from Hyunjin's body and air, his body was cold and trembling when Hyunjin came out of the water.When the temperature is formed, the water turns into water vapor and evaporates, and the reason why the water is shaking and cold is because the water takes away heat from the body to evaporate into water vapor is that the body loses heat.",,,,
693,"This is because when the water attached to the body came out, it vaporized and took away the heat from Hyunjin's body.",,,,
694,"Our body temperature drops because the water evaporates and takes away the heat from my body. Therefore, the body trembles and feels cold.",,,,
695,"This is because when the water from swimming comes out of the swimming pool, it evaporates and absorbs heat from the body.",,,,
696,"When water droplets on the surface of the body evaporate into the air, they fly away absorbing the body's thermal energy, so the overall temperature of the body decreases and feels cold.",,,,
697,"As you come out while swimming, the water gets into contact with the air, and the water has the property of evaporating. At this time, the body must have felt trembling and cold because the water evaporated and took our body temperature together.",,,,
698,"As the water dries, it draws heat from our bodies and uses it to evaporate, so our bodies feel cold.",,,,
699,"Water droplets in the body evaporate and turn into gases, and when a liquid changes into a gas, the molecular state becomes more active, resulting in an endothermic reaction that absorbs surrounding heat. Therefore, Hyunjin feels cold because the water droplets absorb the heat around Hyunjin.",,,,
700,"When Hyunjin comes out while swimming, the moisture in Hyunjin's body dries up and becomes gas. At this time, when water is converted into gas, it absorbs energy, so it feels cold because the temperature is lowered.",,,,
701,"As the water on the surface of the body evaporates, it takes away the heat from our body, so it feels cold when the water dries",,,,
702,"This is because when it comes out of the water, the water on the body vaporizes and absorbs heat from vaporization from the body.",,,,
703,"When the water on the body comes out of the liquid state, it changes into a gaseous state, which is water vapor. At this time, energy is needed in the process of changing from a liquid to a gas, and it is cold when the water dries because the body's heat is taken away.",,,,
704,"Matter absorbs or releases heat when conditions change. So my body temperature will be lower than before because I release heat. So you can't adapt well, and you've lost your temperature, so you'll feel nervous and cold.",,,,
705,"First of all, in order to understand this phenomenon, you must be well aware of the change in the state of water. It is said that water vaporizes when it becomes gas in a liquid, and vaporization is an endothermic reaction. Heat is absorbed when vaporization occurs. Therefore, water vaporizes by taking Hyunjin's body temperature. Hyunjin felt cold because he was deprived of heat.",,,,
706,This is because water absorbs heat when vaporized into a liquid.,,,,
707,"The reason why the temperature of the body decreases in the process of vaporizing water on the body (evaporation) is that heat absorption occurs during this process. In order for liquid water to turn into vapor, which is a gas, a high temperature is required, so when the temperature of the body is taken away and vaporized, the body loses heat energy and feels cold.",,,,
708,It's because the water dries up and takes away the warmth of your body,,,,
709,It's because water evaporates and takes away heat,,,,
710,The water took away the temperature,,,,
711,Water boiled off.,,,,
712,Liquid water needs heat to vaporize into water vapor because it uses heat in the body.,,,,
713,Science,,,,
714,This is because water evaporates and takes the body temperature together.,,,,
715,This is because the temperature of the body suddenly increased.,,,,
716,I don't know.,,,,
717,This is because the body temperature has decreased as the water dries.,,,,
718,Body temperature drops as water evaporates,,,,
719,The water evaporates and takes away your body temperature,,,,
720,"Because when water vaporizes, it takes away the heat around it",,,,
721,My body gets cold as the water dries,,,,
722,I know...,,,,
723,It is cold because it also takes the body temperature when water evaporates.,,,,
724,It is cold when the water evaporates,,,,
725,It's because my body temperature went down,,,,
726,"Originally, it was in cool water, but the temperature suddenly changed, so the body could not withstand the sudden temperature change and felt cold.",,,,
727,due to a sudden change in miscibility,,,,
728,"As the cold water on the body dries up, it takes out the warmth from the body, which causes the body temperature to drop. So I feel cold.",,,,
729,It's because the water turns into water vapor and absorbs heat,,,,
730,The water evaporated because it took HYUNJIN's heat,,,,
731,This is because the body temperature dropped as the water dried up.,,,,
732,"The water droplets on your skin evaporate,",,,,
733,It's because the water on the surface of my body cools down and takes away the heat from my body,,,,
734,This is because the water on the body dispersed the heat in our bodies.,,,,
735,"Because the temperature inside the water is low, the body can't adjust when it suddenly comes to a high temperature",,,,
736,This is because the temperature of the water attached to the body changed into gas.,,,,
737,Because of the difference in temperature between water and water,,,,
738,"Water boils slowly because of its low specific heat, so the temperature of the water is low during the day.",,,,
739,"When the water dries, it evaporates (sublimates) and takes away heat and becomes gas in liquid.",,,,
740,It's because the body wet with air and water met,,,,
741,Because of the sharp temperature difference.,,,,
742,"I was in a cold place and my body got used to the cold, but suddenly I came out to a hot place and my body couldn't",,,,
743,"As the water remains in the body and dries, the water in the body drops the temperature in the body, and even if the hot temperature is outside, the lingering feeling of the water remains.",,,,
744,"This is because when water evaporates, it absorbs the heat around it and evaporates into that heat.",,,,
745,It is because the water changed state and changed into gas and absorbed heat,,,,
746,The reason is that Hyunjin's temperature has been reduced to swimming pool water,,,,
747,"When in water, it is stable because it is similar to the temperature of water, but when you go outside, the water vaporizes and takes away heat from your body, so hypothermia occurs.",,,,
748,This is because water evaporated and flew from liquid to gas into the air to take away heat from the body.,,,,
749,The water is going to take its temperature,,,,
750,"The temperature of the water and the temperature outside are different, and when the wind blows from outside, the body temperature suddenly drops.",,,,
751,This is because water and moisture on the body disperse heat in the body and lower body temperature,,,,
752,The water dries up and the body temperature goes down.,,,,
753,Isn't it common sense that the water is cold when it dries?,,,,
754,It's because the liquid became a gas and the moisture drained away,,,,
755,"As the water evaporates, it takes heat and lowers the heat, making it feel cold",,,,
756,.,,,,
757,Because the water dries up and lowers one's body temperature,,,,
758,It gets cold when the water dries,,,,
759,I don't know.,,,,
760,This is because there is a difference in temperature between the water and the outside.,,,,
761,"This is because when a liquid evaporates and turns into a gas, the temperature decreases.",,,,
762,I don't know.,,,,
763,"Because the warm water in the body is gone, you tremble to recover your body temperature again.",,,,
764,Because your body temperature goes down,,,,
765,The body temperature goes down because water takes away a person's body temperature.,,,,
766,The moisture in your body is drained,,,,
767,"As the water vaporizes, it takes away your body temperature, so you feel cold because your body temperature decreases",,,,
768,This is because water evaporates and takes away heat from the body.,,,,
769,This is because water evaporates and takes away body temperature.,,,,
770,Cold because water in the body evaporated into the air when it was in the water and came out.,,,,
771,This is because the body temperature decreases as the water evaporates,,,,
772,It's because the water dries up and takes away your body temperature,,,,
773,It's because the temperature is adjusted to the water temperature,,,,
774,I guess it's cold,,,,
775,This is because the seawater in the body evaporated and took away the heat from the body.,,,,
776,It's cold when you come out of the water,,,,
777,"As the water evaporates, the water in your body dries up",,,,
778,I don't know,,,,
779,"As the water evaporates, it takes out the heat from your body",,,,
780,"Even if you stay in cold water for a long time and come out to a warm place, your heart is still cold",,,,
781,Because there is a temperature difference,,,,
782,as the water disappears,,,,
783,"When water evaporates, the heat of evaporation is necessary, and since the water in the body evaporates and takes the heat from the body, the temperature of the body decreases and the body becomes cold",,,,
784,"This is because the outside temperature is high, but your body temperature is separated.",,,,
785,I came out of a cold place,,,,
786,All right.,,,,
787,Water vaporizes and takes away heat,,,,
788,This is because the water met the hot air and evaporated at a high speed.,,,,
789,"When there's water in my body, it's windy",,,,
790,"""The water (liquid) in your body evaporates into water vapor",,,,
791,"When you evaporate from a liquid to a gas, you need to get energyIt takes away the heat from the surrounding area and gets energy It takes away the heat from your body",,,,
792,"""We feel cold""",,,,
793,I don't know.,,,,
794,Biting,,,,
795,"Because the body's moisture flies from liquid to gas,",,,,
796,a difference in temperature difference,,,,
797,The body's water evaporates and the heat is blown away,,,,
798,"As the water vaporizes, it takes the heat from the body into the air",,,,
799,A liquid sublimates into a gas and releases heat,,,,
800,This is because the water on the body vaporizes and takes away the heat around it.,,,,
801,The liquid circulates into the gas and releases heat,,,,
802,The body temperature goes down because of water,,,,
803,Water evaporates and takes away body temperature,,,,
804,The water on your body vaporizes into the air,,,,
805,The water didn't dry,,,,
806,"When you come out of the water, you feel cold because the water evaporates and releases heat.",,,,
807,It feels cold because the water dries and takes away our body temperature,,,,
808,"When the water dries, you take heat with you",,,,
809,"As the water dries, it releases heat from my body",,,,
810,This is because Hyunjin and water took away the heat from the body because they wanted to become thermal equilibrium according to the first thermodynamic law.,,,,
811,It's because the water dries up and even releases heat from the body,,,,
812,"As the water dries, it lowers the body temperature.",,,,
813,"""When I come out of the pool, the water on my body dries up.""",,,,
814,"Here, the liquid turns into a gas and takes away the heat, so you feel cold.""",,,,
815,This is because the water vaporized and took away the heat from the surrounding body temperature.,,,,
816,"When water evaporates, it takes away your body temperature",,,,
817,I don't know,,,,
818,Because the temperature is relative,,,,
819,material change,,,,
820,This is because water evaporates and the body temperature decreases,,,,
821,A liquid becomes a gas,,,,
822,The water evaporates with heat,,,,
823,M and D,,,,
824,I don't understand.,,,,
825,This is because water droplets around the body evaporate with internal body temperature.,,,,
826,"""Because my body temperature has dropped",,,,
827,"""",,,,
828,All right.,,,,
829,"When the water dries, it takes away the body temperature and the water evaporates",,,,
830,This is because the temperature decreases when the water dries,,,,
831,"As the water dries, it takes away the heat from your body",,,,
832,Water condenses from liquid to gas at high temperatures and takes away the body's temperature,,,,
833,The water dries and takes away your body temperature,,,,
834,Moisture takes away our heat and evaporates,,,,
835,This is because the water in the body evaporates and loses body temperature,,,,
836,The sensory organs that feel the hot temperature are weird.,,,,
837,at a drop in temperature,,,,
838,Because the water vaporizes; the surface heats up together,,,,
839,"This is because the water in the body becomes water vapor and evaporates, taking heat from the body together.",,,,
840,"When the body got used to the water in the swimming pool and came out of the water, the water in the liquid state evaporates with the temperature of our body when it dries, so it feels cold as water vapor.",,,,
841,e,,,,
842,It gets cold because the water evaporates,,,,
843,action reaction,,,,
844,"This is because as droplets on the skin evaporate, heat is absorbed when the liquid vaporizes, and the body temperature decreases.",,,,
845,This is because the water left in the body evaporated and took away Hyun-jin's body heat.,,,,
846,Water is characterized by vaporization that takes away heat as it becomes water vapor. That's why water takes away body temperature and feels cold because of vaporization.,,,,
847,This is because the water dries up and takes away the heat from the body.,,,,
848,This is because water on your body evaporates and takes away your body temperature,,,,
849,Evaluation Only. Created with Aspose.Cells for Python via Java.Copyright 2003 - 2022 Aspose Pty Ltd.,,,,
