,1) Why is there wind on the beach?,q45_barometric pressure,q45_temperature,q45_specific heat
489,"Earth's rotation, polar and equatorial temperature differences.the difference in specific heat between land and sea",,,
490,"During the day when the sun is shining, the sandy beach absorbs sunlight, so it is hot and the sea water is less hot. So the difference in temperature between the land and the sea creates wind",,,
491,This is because the temperature difference between the sea and the land is caused by the specific heat difference between water and sand.,,,
492,"Sand with a small specific heat is warmer during the day, and water with a large specific heat is warmer at night.",,,
493,"As the temperature warms, the volume of air expands, lowering the air pressure and rising upward.",,,
494,"Therefore, the area becomes low pressure. Winds blow from high-pressure areas to low-pressure areas, so winds blow into those areas.""During the day, the temperature of the seawater is higher than the temperature of the sandy beach, so the air on the sandy beach rises, and the air on the seawater descends, so the wind blows from sea to land.",,,
495,"At night, the temperature of the sandy beach and the sea water are low, so the air on the sandy beach decreases and the air of the sea rises, causing the wind to blow from land to sea.""",,,
496,the formation of low and high pressures due to changes in day and night temperatures in the sea and land,,,
497,"This is because the specific heat of seawater and sand is different, and the temperature difference between day and night, and the air on the seawater and sand is heated, and the degree of expansion and contraction is different, resulting in relatively low and high air pressure.",,,
498,"Because of the topography of our country,",,,
499,"Sand beaches and seawater have different specific heat, and accordingly, differences occur in cooling or heating each other. The atmosphere on the sandy beach or seawater increases the temperature in proportion to each, and the side where the temperature increases more becomes a relatively low pressure. The wind blows from high pressure to low pressure, so wind is generated by day and night on the beach.",,,
500,"The wind blows from high pressure to low pressure, and since the temperatures of the beach and the sandy beach are different, high pressure and low pressure occur, causing the wind to blow.",,,
501,It is caused by temperature differences between the sea and the land.,,,
502,Don't know,,,
503,The wind blows from a low temperature to a high temperature because the temperature difference between seawater and sand is severe every hour.,,,
504,.,,,
505,"""Wind is the flow of air.",,,
506,"The air on the sand and the air on the sea are different, so air flows.""",,,
507,"Air flows from high temperature to low temperature, because when land and sea are exposed to heat, the land is exposed to heat because there is no medium to resist heat, and the water and oxygen in it resist heat, resulting in a temperature difference relatively faster than the sea.",,,
508,It's because the wind moves in a direction full of waves,,,
509,The temperature difference caused by the specific heat of the water creates wind,,,
510,"During the day, air evaporates on the hot sandy beach, and cold air on the sea moves to the sandy beach to fill it.",,,
511,Because of the waves,,,
512,a tug-of-war between the moon and the earth,,,
513,This is because the temperature of the air is cold.,,,
514,The wind blew from the south,,,
515,The beach is cooler than other places and there are waves,,,
516,It's because the wind on the beach comes to the sea,,,
517,Because of the waves.,,,
518,"""The wind is cold because of the temperature of the sea",,,
519,"""It's turning to the side""",,,
520,Because of the waves.,,,
521,The wind is cooler on the sand than on the sea because of the temperature of the sea,,,
522,"If there's a temperature difference, it's windy",,,
523,Because of the waves,,,
524,The difference in temperature creates wind,,,
525,Water on the beach can cause wind,,,
526,Because of the air temperature and atmospheric pressure,,,
527,It is caused by the difference in air heat between the sea and the land,,,
528,This is because the wind blows whenever there is a temperature difference.,,,
529,"Because of the difference in temperature from the land, the air pressure is different and the wind blows",,,
530,Because of the atmospheric pressure,,,
531,Because of the waves,,,
532,Don't know,,,
533,The air pressure is different,,,
534,"The temperature changes on the beach are less, the temperature is lower, and the air pressure is high, so the wind blows toward the land.",,,
535,"During the day, there's a meat wind and in the evening, there's a sea wind",,,
536,The temperature of the ocean and the beach are different,,,
537,God blew the wind,,,
538,It's because there's a land wind during the day and a sea wind at night,,,
539,Because the air moves;;;;;;,,,
540,"Because the beach is wide,",,,
541,That happens because the air goes from cold to hot,,,
542,Because of the sea,,,
543,Because the earth rotates,,,
544,"During the day, there's a meat wind, and at night, there's",,,
545,sea smoldering,,,
546,"During the day, there is a land wind and at night, there is a sea wind",,,
547,the movement of air by the waves,,,
548,"Warm air goes up and cold air goes down, so air circulates and creates wind",,,
549,"The air in the high-pressure area rises, and the air moves to fill the air volume in the high-pressure area",,,
550,by the flow of air,,,
551,"Because the rate at which the temperature of the sandy beach and seawater changes is different, the air in the higher temperature rises and the air in the lower temperature moves to the higher temperature, creating wind.",,,
552,"""The wind moves from high pressure to low pressure, and then it creates wind, and when the warm wind goes up, it creates an empty space, which is created when cold air enters the empty space",,,
553,"""Things""",,,
554,It is windy at night because the hot air goes up and the cold air goes down,,,
555,Hot air goes up and cold air goes down,,,
556,"Warm air goes up and cold air goes down, creating wind.",,,
557,Because warm air goes up and cold air goes down,,,
558,"During the day, the wind blows from the sea to the land because it is warmer than the sea, and at night, the wind blows from the land to the sea because the land is warmer than the sea.",,,
559,It seems to be caused by air circulation due to the temperature difference.,,,
560,This is because the sea breeze blows.,,,
561,I don't know.,,,
562,Because the air in the sea keeps getting swollen?,,,
563,"""When the air from the sea comes to the land and the air from the land goes up to the sky, the air from the land becomes empty",,,
564,"""Because the air from the sea comes to the land.""",,,
565,Cold and hot air meet the gate.,,,
566,I don't know,,,
567,I don't know,,,
568,I don't know.,,,
569,This is because wind is generated by the temperature of the air.,,,
570,I don't know.,,,
571,I don't know.,,,
572,Because it is the wind from other countries.,,,
573,.,,,
574,There's a land wind near the sea,,,
575,"The sea water is cold, so the cold heat blows in the wind",,,
576,"Because the sand gets hot during the day, and the air in the sea moves to the land",,,
577,Because the wind blows everywhere.,,,
578,The heat from the water rises to the sky and creates a cold wind.,,,
579,Because the sand is hot and the sea is cool,,,
580,The ocean is cooler than sand,,,
581,I don't know,,,
582,It's going to go up well.,,,
583,I don't know.,,,
584,This is because the sea breeze blows.,,,
585,I don't know.,,,
586,Because the sea is cooler than sand On average.,,,
587,Because there are waves,,,
588,I don't know.,,,
589,yeyyeyeyeyeyeyyeyeyyyyeyeyyeyeyeyeyeyyyyyeyeyyeyeyeyyeeeeyyeyeyyeyyeeyeyeyeyeyyeyeyyyeeeyyeeyyeyeeyeyyeeyeyeyyeyyeyeyyeyyeyeyyeeyyeyeyyeyeyyeyer,,,
590,I don't know,,,
591,"During the day, the air on the land is hot, so the air goes up, and the air on the water blows to the beach",,,
592,I don't know.,,,
593,Just.I don't know.,,,
594,????????,,,
595,It's because of the waves.,,,
596,"Since the air moves from high pressure to low pressure, the hot sandy beach is low pressure, so wind flows from the sea to the sandy beach.",,,
597,Because of the waves,,,
598,I don't know,,,
599,This is because the moon makes the tide and the ebb.,,,
600,Because of the sea,,,
601,The wind is booming because of the low temperature on the beach,,,
602,?,,,
603,???,,,
604,This is because the sea heats up later than on land.,,,
605,Hot air and cold air meet,,,
606,The wind blows from afar,,,
607,It's windy.,,,
608,There's a difference in air pressure,,,
609,Because there's land and sea winds,,,
610,The cold air of the sea and the hot air of the ground meet,,,
611,The cold air from the sea comes to the beach,,,
612,It's because of the air flow of air,,,
613,There's water.,,,
614,The convection of air creates wind.,,,
615,It is caused by the direction in which the air travels.,,,
616,"The hot air on the beach goes up, and the cool air on the beach comes from there",,,
617,????????????????,,,
618,The sand creates hot heat,,,
619,There is a stronger wind as the waves hit.,,,
620,It is because the hot air on the beach goes up and the cool air on the side of the sea comes in,,,
621,It's when the low and high pressures meet and merge.,,,
622,Isn't the wind everywhere?,,,
623,"Because of the convection of air,",,,
624,??,,,
625,High pressure and low pressure meet to create wind,,,
626,"During the day, the land is hotter, so the air pressure is high, and the wind blows from the sea with low air pressure.",,,
627,Because the climate and temperature have changed,,,
628,It is because of the temperature change of the air.This is because the air sometimes goes up and down.,,,
629,The air can go up or down,,,
630,Different air comes together,,,
631,This is because the air can go up or down.,,,
632,I don't know.,,,
633,I don't know.,,,
634,I don't know,,,
635,The temperature of the land has dropped,,,
636,I don't know.,,,
637,Because of the sea breeze,,,
638,Because of the sea breeze,,,
639,in the wind,,,
640,Because it's windy,,,
641,a sea breeze,,,
642,It's caused by the evaporation of seawater?,,,
643,against the wind on land,,,
644,Wind is created because the temperature of the air is different from the land.,,,
645,Because of the temperature difference?,,,
646,"Because the air moves according to the temperature change,",,,
647,Because the earth rotates,,,
648,"The sea is cool, so it creates wind.",,,
649,I don't know,,,
650,Wind blew from the sea,,,
651,Because the beach is cold,,,
652,I don't know,,,
653,the circulation of seawater,,,
654,I do not remember.,,,
655,"Due to the difference in air pressure between the sea and the sandy beach, air moves to a place with low air pressure, creating wind.",,,
656,Because of the beach breeze,,,
657,This is because the atmosphere moves from the warm to the cold side.,,,
658,the movement of air,,,
659,"Unlike land that is quickly heated by sunlight, the sea that is slowly heated by sunlight blows from low-temperature sea to land during the day and from low-temperature land to sea at night.",,,
660,the difference in specific heat between land and sea,,,
661,This is because the temperature difference occurs because the sea and sandy beaches receive the same amount of solar heat and cool down at different speeds.,,,
662,a difference in temperature difference,,,
663,convection,,,
664,Because of the temperature difference between the sandy beach and the sea,,,
665,It's because of the steam,,,
666,It is the difference between temperature and atmospheric pressure.,,,
667,"This is because the specific heat of the water is large, so there is little change in temperature.",,,
668,.,,,
669,It's because of the difference in meanness.,,,
670,This is because of the difference in specific heat between the sea and the land.,,,
671,It's because of the meanness.,,,
672,It is because of the temperature difference between the sea and the land.,,,
673,Because the beach is cold.,,,
674,It's because of the difference between land and sea,,,
675,The temperature difference between the sea and the sand moves from hot to cold,,,
676,"Because the air pressure varies due to the temperature difference, the wind blows due to the air pressure.",,,
677,It is because of the difference in temperature between the sea and the sandy beach.,,,
678,Wind is generated by the temperature difference between the sandy beach and the sea.,,,
679,Because of the convection of air,,,
680,d,,,
681,The air is moving,,,
682,the movement of air,,,
683,by the waves,,,
684,The wind is so strong,,,
685,"The temperature of the air on the beach is low and there is sea water in caution, so the wind blows(?)",,,
686,Air moves according to the air temperature,,,
687,.....,,,
688,the movement of air,,,
689,Hot air goes up and cold air goes down,,,
690,This is because the air moves from the beach.,,,
691,The sea gets hot because the hot air goes up.,,,
692,"I don't knowThis is because the degree to which the land and the sea are heated is different, so air moves from cold to hot.",,,
693,The air is moving,,,
694,The temperature of the land and the sea is different,,,
695,"The sea water rises and falls slowly, but the land rises and falls quickly  Because the wind goes to a warm place",,,
696,Typhoon,,,
697,Because it is windy.,,,
698,I don't know.,,,
699,The wind blows and heats up the heat.,,,
700,"Hot air goes up and cold air comes down, but the sand gets hotter during the day, so when the air in the sand rises, the cold air in the sea goes toward the sand, which creates wind.",,,
701,??,,,
702,This is because the air temperature and air pressure are moderate.,,,
703,h,,,
704,Because the wind came on the waves?,,,
705,Wind blew from the sea,,,
706,Because of the waves?,,,
707,the sheep,,,
708,It occurs when the temperature of the sea decreases.,,,
709,Hah!,,,
710,I don't know,,,
711,I don't understand.,,,
712,Warm air and cold air meet to create wind.,,,
713,Hah!,,,
714,It seems to be caused by the water coming towards the sandy beach,,,
715,Because of the waves,,,
716,"The heat of the sand changes easily, so the wind goes to the sea because it gets colder than the sea",,,
717,Because of the steam,,,
718,Because of the air pressure difference,,,
719,dd,,,
720,Sea water becomes air as it evaporates and blows,,,
721,"During the day, the wind is blowing in other countries.",,,
722,It is because of the weather phenomenon.,,,
723,"Because water evaporates from the ocean,",,,
724,The wind blew from somewhere else,,,
725,The temperature of the sea is high at night and the temperature of the sea is low,,,
726,"Since air comes from the sea,",,,
727,The air comes up from the bottom of the sea,,,
728,Winds are generated by atmospheric pressure waves caused by specific heat.,,,
729,There's air,,,
730,The hot air and the cold air meet,,,
731,"Because the specific heat is different between the sea and the sandy beach, the temperature of the air on the hot side is higher, and the air pressure on the higher side is lowered, so the air pressure moves from the higher side to the lower side and the wind blows",,,
732,"Land and sea have different specific heat, so the temperature changes, and the air at the higher temperature rises and becomes low pressure. Wind blows from high pressure to low pressure, so wind blows from the beach.",,,
733,"Day and night, the temperature difference occurs due to the specific heat difference between the sandy beach and the seawater, the air pressure is relatively low in the high temperature, and the air pressure is relatively high in the low temperature, causing the wind to blow from high temperature to high temperature.",,,
734,"Heat moves from high to low heat energy to achieve thermal equilibrium. And because the specific heat of the land and the sea is different, thermal energy differences occur between the land and the sea, causing air to move and generate wind.",,,
735,The beach is under low pressure,,,
736,"Because sand and water have different specific heat, the temperature of the surrounding air is also different. Therefore, air moves and wind is generated due to the difference in air pressure according to temperature.",,,
737,"Energy is needed to raise the temperature of a substance, and water needs much more energy when it raises the same temperature as soil. So, soil heats up faster when exposed to energy than water and cools faster when energy is taken away. As a result, a temperature difference occurs between the air of the sea and the air of the land, causing one side to rise and the other to fall, causing the wind to blow.",,,
738,"Due to the temperature difference between the sea and the land, air convection occurs",,,
739,I don't know.,,,
740,"The reason why the wind is generated by the sea is because the specific heat of the sea and the land is different. Because the specific heat of the sea and the land is different, the temperature difference occurs and the wind blows",,,
741,This is because the specific heat of the land is smaller than that of the sea.,,,
742,"The specific heat of the sea is greater than the specific heat of the land, so it takes a lot of time for the temperature to rise and fall. Therefore, during the day, the temperature of the sea rises later than the temperature of the land, and the air above the sea is lower than that of the air above the land.  Air on land increases in volume as the temperature increases, decreases in density, and rises, and air on the sea blows from the sea toward the land as it enters to fill the empty space as the air on the land rises. At night, the temperature of the sea, which has a large specific heat, cools relatively slowly, which is higher than the temperature of the land that cools rapidly. Then, the temperature on the sea decreases and rises, and the air on the land enters the empty space as the air on the sea rises, causing a ""sea wind"" from land to sea.",,,
743,"The sea takes a long time to heat up and takes a long time to cool down. On the other hand, land receives heat more easily and loses heat more easily than the sea. Therefore, there is a difference in air pressure between the sea and the land, and wind is generated by this difference in air pressure.",,,
744,"The sea is an area attached to the land. Because of this, the specific heat of sand and soil is smaller than the specific heat of water, there is a temperature difference between the land and the sea. This is why the wind blows.",,,
745,Because of the air volume,,,
746,It's because of the sea breeze,,,
747,It's windy on the beach,,,
748,I don't know,,,
749,It is because the wind blows from the beach.,,,
750,on the waves,,,
751,"ãYes, yes, yes",,,
752,under the influence of the wheat and ebb tide,,,
753,"The heat of the sand that was generated during the day cools down, creating wind on the beach.",,,
754,"Because there's wind in the ocean,",,,
755,It is because the sea breeze follows the movement of the sea,,,
756,Because of the water in the sea,,,
757,"Due to the large specific heat of the water, the sea is colder than the land during the day, so the sea breeze blows.",,,
758,"When the temperature rises, the atmosphere becomes unstable, but it heats up slower in the sea than on land, resulting in wind due to the air pressure.",,,
759,Wind moves from high pressure to low pressure.,,,
760,This is because high pressure has occurred.,,,
761,"The reason for the wind on the beach is that the temperature of the two places varies depending on the specific heat of the sand and the sea, and accordingly, low pressure and high pressure are generated, so the wind blows from low pressure to high pressure.",,,
762,Since it's a wave,,,
763,I didn't learn it.,,,
764,Just.,,,
765,It gives off heat,,,
766,I didn't learn it.,,,
767,It gives off heat,,,
768,I don't know,,,
769,I don't know.,,,
770,There's a lot of water,,,
771,Because of the waves,,,
772,Because the heat moved to the sea,,,
773,It's because seawater circulates,,,
774,I don't know,,,
775,I don't know. I don't know.,,,
776,Don't know,,,
777,"The sea water is cold around the beach, so the temperature in the sea is transferred to the sky",,,
778,"Heat moves from hot to cold, so wind blows from hot to cold.",,,
779,Pardon?,,,
780,I don't know,,,
781,This is because the wind from the sea goes over to the land when the waves meet the ground.,,,
782,No learning,,,
783,"Because the waves of the sea are caused by wind and wind,",,,
784,because of nature,,,
785,Because of the waves,,,
786,Ovalesque farted,,,
787,"Because the sea has a large specific heat and heat capacity, the land becomes low pressure during the day, the sea becomes high pressure, and at night, the land becomes high pressure, and the land becomes low pressure.",,,
788,This is because uneven air flow occurs due to uneven heating of the surface on the beach and sea.,,,
789,"The difference in air pressure is caused by the temperature difference between the sea and the sandy beach, resulting in wind.",,,
790,"The specific heat of the sandy beach and seawater is different, so wind is generated due to the air pressure difference caused by the temperature difference.",,,
791,"This is because the specific heat of the land and the sea is different, resulting in a temperature difference.Different specific heat of land and sea temperatures caused by the wind is by the different.",,,
792,ì¡íê³¼ í´íì´ ìê¸°ê¸° ëë¬¸ì´ë¤.,,,
793,Owing to the land and sea temperature between inside and outside due to biyeolcha,,,
794,Low air temperature is high air goes on and temperatures moving that way.,,,
795,By giapa in temperature of the air by an up-and-down motion.,,,
796,Mean difference,,,
797,Atmospheric pressure differences,,,
798,"Specific heat of the sea and earth, is different.",,,
799,Sea and sand sajangeu has drawbacks to temperature caused by convection.,,,
800,Specific heat of the sand and water.,,,
801,Mean by inhaeseo.,,,
802,"Of the land and sea temperature car is due to biyeolcha a heat transfer, in the course of the wind.",,,
803,ê³µê¸°ì ì¨ëì°¨ë¡ ì´í ë¶í¼ë¥¼ ë©ì°ë ë°©ë²ì ë°ë ìì±,,,
804,It's moving,,,
805,In the beach between the sand and water temperatures affect atmospheric pressure and temperatures in the companies are from high to low and there is the wind.,,,
806,"Mean low heated as soon as the land or sea with a high base, quickly wears off slowly slowly to cool or warm. As a result, there is a temperature difference between both sides during the day/night, and heat moves due to convection, and air that transfers heat also moves together, resulting in wind, which is the flow of air.",,,
807,convection of heat,,,
808,This is because wind is generated according to temperature and atmospheric pressure.,,,
809,"Because of the heat, the sandy beach heats up faster When the air goes up, the air from the sea blows toward the sandy beach to fill it up.",,,
810,It is because of the difference between the temperature of the land and the temperature of,,,
811,"Compared to the land, the heat of the sea is bigger",,,
812,"Since the specific heat of water and the specific heat of sand are different, air convection occurs and the wind blows.",,,
813,It is because of the temperature difference between sand and the sea.,,,
814,The specific heat difference between water and sand is caused by the flow of air.,,,
815,This is because there is a difference in temperature between land and sea water.,,,
816,"Because the specific heat of the water is higher among the specific heat of the sand and the specific heat of the water, the sand gets hotter during the day, and the air on the sand rises, which lowers the air pressure, causing high air pressure to blow toward the land. Likewise, at night, the air on the sand becomes colder than water, so the air on the sand at high atmospheric pressure blows toward the sea.",,,
817,This is because of the difference in density between air on land and air on the sea.,,,
818,"Because of the temperature difference between the sea and the land,",,,
819,This is because air moves from high pressure to low pressure.,,,
820,The heat of the water causes a temperature difference with the land.,,,
821,the difference between sea and land temperature,,,
822,"The specific heat difference between water and sand causes a difference in air temperature, and the air pressure is relatively low on the high temperature side, and the air pressure is relatively high on the low temperature side, so the wind blows from the high pressure to the low temperature.",,,
823,"This is because the temperature difference between seawater and sand occurs due to the difference in the specific heat of the air, forming high pressure on the cold side, and blowing wind from high pressure to low pressure.",,,
824,This is because air pressure occurs from a high to a low place with a high front force,,,
825,"The air distributed near the sandy beach, which is hotter than seawater, heats up away from the surface, generates upward airflow, and forms a low pressure, and the air distributed below moves to the land with relatively low air pressure to generate wind.",,,
826,It is because of the difference in air pressure.,,,
827,"The specific heat of seawater and sand is different, so the hot air on the land side rises due to the temperature difference between the continent and the sea water, and the atmosphere on the sea side comes toward the land.",,,
828,"Because the wind blows due to the temperature difference,",,,
829,"This is because the temperature of the sandy beach and the seawater is different, so there is a difference in air pressure.",,,
830,"During the day, the sand on the sandy beach has a lower specific heat, so the temperature of the beach is higher and the sea water is relatively lower, so the rising air stream forms on the beach, blowing wind from the sea to the sand at night.",,,
831,This is because the air pressure is higher.,,,
832,"During the day, the air on the heated sandy beach rises upward and becomes low pressure, and the air in the relatively cold sea moves to fill the insufficient air on the land, blowing wind and blowing wind at night.",,,
833,The earth is round.,,,
834,"Winds are generated in the process of air circulation due to the generation of rising and falling air currents, which are caused by temperature differences between the sea and the land.",,,
835,"The difference in air pressure is caused by the temperature difference between the sea and the land, and the wind blows.",,,
836,on one's rotation,,,
837,I don't know.,,,
838,I don't know.,,,
839,Cold temperatures on the beach and warm temperatures on the sand,,,
840,.,,,
841,This is because of the difference in air pressure between the land and the sea.,,,
842,This is because there is a temperature difference between the sea and the land.,,,
843,"""If the temperature of the land and the sea is different, the air pressure changes. But the air moves from high air pressure to low air pressure",,,
844,"That's what happens""I'm geniusð¶""",,,
845,due to convection,,,
846,The water is cold,,,
847,"Sand beaches and water have different specific heat, which is the amount of heat required to raise 1g of substance by 1 degree Celsius. The water has a higher specific heat than the sandy beach, which means that the amount of heat required to raise the water by one degree is greater than the amount of heat required to raise the sandy beach by one degree. In short, even if water and sand are heated in the same amount of heat, water is heated slower than sand. And in other words, if water and sand are heated to the same temperature, water cools slower than sand. So the sandy beach is hotter than the sea water during the day and the sandy beach is colder than the sea at night. The reason for the wind is because of the difference in air pressure, and the air in the hot place is about to rise, but when the air rises, there is space and air enters from the relatively cold surroundings to fill it. This condition is called high pressure. And the opposite situation is called low pressure. Therefore, the air blows from low pressure to high pressure. If high pressure occurs in hot places and low pressure occurs in cold places, wind moves from the relatively cold sea to the relatively hot land during the day, and air moves from the relatively cold sea to the relatively hot sea during the day.",,,
848,It's cool when it's windy,,,
849,"Due to convection,",,,
850,Sea boars have high air pressure on the land,,,
851,a barometric difference,,,
852,The problem is strange,,,
853,"Because the specific heat of the sandy beach and the sea is different, there is a difference in pressure, so wind is formed.",,,
854,Hah!,,,
855,"The temperature of the sea and sand is different, so the air moves from a cool place to a hot place.",,,
856,I don't understand.,,,
857,It is because the wind blows from the land.,,,
858,It is because the wind blows from the land.,,,
859,I don't understand.,,,
860,"The temperature of the sand cools faster than the temperature of the sea, causing the wind to blow from the sea toward the beach",,,
861,at a drop in temperature,,,
862,at a drop in temperature,,,
863,There's a difference in air pressure,,,
864,Winds are caused by movement from high pressure to low pressure and temperature differences.,,,
865,Differences in temperature and pressure between land and sea,,,
866,k,,,
867,I don't know.,,,
868,It's because of the temperature difference,,,
869,a difference in temperature difference,,,
870,It is because of the temperature difference between the sandy beach and the sea water.,,,
871,"Due to the temperature difference, hot air rises on the sandy beach, and the air in the sea is windy because of the movement of air to fill up",,,
872,due to the difference in specific heat,,,
873,It is because of the temperature difference between land and sea.,,,
874,"High temperature air comes up and low air comes down, so wind is generated in the process.",,,
875,The difference in specific heat between the land and the sea -> the temperature difference -> the wind boomed due to the difference in air pressure,,,
876,Because of the temperature difference between the beach and the sandy beach,,,
877,This is because air moves from high pressure to low pressure due to temperature differences,,,
878,"During the day, the land is hotter than the sea, and at night, the sea is hotter than the land",,,
879,.,,,
880,It is because of the temperature difference between the sandy beach and the sea water.,,,
881,Because the flow of air.,,,
882,.,,,
883,I don't know.,,,
884,A land breeze and sea breeze.,,,
885,The specific heat of water.,,,
886,Because of the land and sea temperature differences.,,,
887,"At the beach is a high water, land more slowly than hot.",,,
888,Angistri to Mochi,,,
889,The temperature is higher than the land of the sea.,,,
890,ì¨ëì°¨ëë¬¸ìWind moves from high pressure to low pressure,,,
891,"""In the daytime, the land is warmer than the sea",,,
892,"""At night, the ocean is hotter than the land.""",,,
893,a sea breeze,,,
894,"The temperature of the land increases and the temperature of the sea decreases, that is, the difference in specific heat causes the wind to blow.",,,
895,"Because of the temperature difference between water and land,",,,
896,This is because oxygen travels.,,,
897,This is because the temperature of the land and the sea is different.,,,
898,This is because there are waves.,,,
899,Wind convection occurs because of the temperature difference between the sea and the land.,,,
900,The heat dissipation of the air due to the sunlight on the sea and land creates wind from high pressure to low pressure,,,
901,This is because the temperature of the land and the sea is different.,,,
902,temperature difference between land and sea,,,
903,This is because of the difference in air pressure between land and the sea.,,,
904,The air in the hot place rises and the wind is created because the relatively cold wind tries to fill the vacancy caused by the rise,,,
905,It is caused by differences in temperature and air pressure between land and coast,,,
906,"Because air convection occurs due to the temperature difference between the land and the sea,",,,
907,This is because air movement occurs as the temperature of sand and the temperature of seawater differ.,,,
908,"Because of the difference in heat between the land and the sea, there is a difference in temperature, so wind is created",,,
909,on the waves,,,
910,It's because of the difference in air pressure,,,
911,Because of the difference in specific heat,,,
912,"Due to the specific heat difference between sand and water,",,,
913,There's a temperature difference between the continents and the oceans,,,
914,"This is because there is a difference in temperature between the sea and the land, resulting in a difference in air pressure between the sea and the land.",,,
915,It's cool,,,
916,"The temperature difference occurs due to the difference in specific heat between the sandy beach and the sea, causing the wind to blow.",,,
917,The reason why wind is generated is because of the temperature difference.,,,
918,a specific heat difference,,,
919,"When the waves come in, it comes with the wind",,,
920,Because of the waves,,,
921,"Because of the pressure difference and the temperature difference,",,,
922,"Air temperature, air pressure, wind relationship, etc",,,
923,?,,,
924,in the wind,,,
925,I bumped into a rock,,,
926,It's because of the air pressure difference,,,
927,"When the wind came to the beach,",,,
928,"Just as the temperature gets cooler when it's cool, it's also a natural phenomenon",,,
929,Because the Earth's air goes round and round,,,
930,There's wind in the hot side,,,
931,There's a beach,,,
932,This is because the sea creates wind as the waves hit.,,,
933,I don't understand.,,,
934,It's because of the waves,,,
935,Because of the difference in air pressure,,,
936,"""This is because the temperature and pressure of the sea are different from the ground around the sea.",,,
937,"""",,,
938,"On the beach, the temperature is high and low in two parts of the land and the sea, and at this time, the wind blows from high to low, and the air pressure is high in the cold part and the air pressure is low in the hot part.",,,
939,"""The wind moves from high pressure to low pressure, and that's when it forms",,,
940,,,,
941,"My opinion is that when the warm wind goes up, there is an empty space, and when the cold air enters the empty space, there is an empty space",,,
942,"""",,,
943,I don't know.,,,
944,seasonal and westerly winds,,,
945,"During the day, the boss gets the sun. The heat heats up the air above and cools down under the temperature of the air above, so that the cold air descends on the beach and moves there to heat the air up under the sun on the sandy beach. Night is the opposite",,,
946,"During the day, the sand receives solar heat and the heat of the sand heats the air and cools the temperature of the air above, so that the cold air descends on the beach and moves to the feet to heat the air that rises under the sunlight of the sand, but at night, it's the opposite",,,
947,"Because of the wind, the waves come towards us",,,
948,"During the day, the sandy beach receives solar heat and the heat of the sand heats and rises, so that the temperature of the air above cools, and the cold air descends on the beach and moves there to heat the air raised by the sunlight on the sandy beach, but the room is the opposite.",,,
949,"When the warm wind goes up, there is an empty space, and I think it is caused when cold air enters the empty space.",,,
950,by the waves,,,
951,It's because there are ebb and flow.,,,
952,The reason why the direction of the wind changes at night is that the land is more than the seaBecause it cools faster.,,,
953,It's because of the waves,,,
954,This is because the sandy beach is hot and the sea is less hot during the day.,,,
955,"Because the tide and ebb can create wind,",,,
956,on the waves,,,
957,The wind blows from land to sea,,,
958,The surface temperature is different from the surface temperature,,,
959,Winds form as waterfalls hit the sea,,,
960,I don't know.,,,
961,"During the day, the temperature of the land is higher than that of the sea, so the evaporation amount of air on the land side is high, so the air pressure on the land side is relatively weak, so the wind blows from the sea to the land",,,
962,I don't know.,,,
963,I don't know,,,
964,I don't know.,,,
965,Because the waves are shaking?,,,
966,Because of the waves,,,
967,This is because the temperature of the water surface is different from the temperature of the ground.,,,
968,"Because of the difference in the temperature and the speed of water going up and down,",,,
969,I don't know.,,,
970,Wind is generated when moving from high pressure to low pressure.,,,
971,"""Because the air temperature and air pressure create wind",,,
972,"""",,,
973,""" When the warm wind goes up, there's an empty space, and the cold air in the empty space",,,
974,"Because they're coming in.""",,,
975,Winds occur as children from warm places to cool places.,,,
976,I think it's because of the difference in air pressure.,,,
977,The wind blows because there is a clear difference in temperature on the beach where the land and the sea are adjacent.,,,
978,"When the warm wind goes up, an empty space is formed, because of the difference in air pressure because cold air enters the empty space.",,,
979,The wind blows when the atmosphere moves from a high place to a strange place.,,,
980,I don't know.,,,
981,Because the water comes toward the sand and creates wind,,,
982,Wind blows when the atmosphere moves from a high atmospheric pressure to a low atmosphere.,,,
983,I don't know,,,
984,I don't know.,,,
985,It's cool,,,
986,"Because the temperature of the air changes,",,,
987,The wind is blowing.,,,
988,I don't know. Sorry,,,
989,Because the temperature of the air changesI don't know,,,
990,Don't know,,,
991,I don't know,,,
992,I don't know.,,,
993,I don't know,,,
994,It's because the wind comes from the land,,,
995,I don't know,,,
996,"Because the air keeps moving,",,,
997,the act of the waves whistling and the air blowing,,,
998,The direction of the wind is different between day and night on the sea and land,,,
999,The cool ocean creates wind on the beach,,,
1000,The wind blew from the other side,,,
1001,I don't know,,,
1002,It's very humid,,,
1003,I don't know,,,
1004,It's because the sea is cold and cool.,,,
1005,Because I'm with water,,,
1006,The wind blows towards the land and the waves go towards the land,,,
1007,It's because there's a wave.,,,
1008,"The water is the wind, and it's the worm",,,
1009,The sea water on the beach became steam and that steam became wind,,,
1010,"There are many natural disasters in the sea, such as rising sea levels, and a few minor disasters occur in the deep sea, such as the Pacific Ocean, and they push the air away",,,
1011,a difference in temperature,,,
1012,It's because of the sea breeze.,,,
1013,Convection occurs because of the temperature difference between the sea and the land,,,
1014,"Because of the temperature difference between the continents and the oceans,",,,
