,"1) Why did the metal ladle, which used to be cold before putting it in hot water, get hot after putting it in water?",q39_column movement,q39_material
675,The hot water is boiling and the part where I put it in is getting hot,,
676,Because hot heat travels,,
677,Heat transferred...,,
678,This is because heat conduction in metals is fast.,,
679,I don't,,
680,It's because heat is propagated to the metal,,
681,This is because the heat in the hot water moved to a metal ladle.,,
682,Metal conducts heat well,,
683,Metal has a strong power to transfer heat,,
684,the temperature of the water,,
685,This is because the metal ladle became hot due to the temperature of the hot water.,,
686,This is because the temperature in hot water is transferred to a metal ladle.,,
687,The hot water...I heated up the cold water.,,
688,This is because metal is a material that is easy to transfer heat.,,
689,"The metal ladle is made of iron, so it is heat-resistant.",,
690,"Metal can transfer heat well, so if you put it in hot water, it gets hot.",,
691,ãã´ã,,
692,It is because it is heated by hot water.in a fever,,
693,The temperature went up,,
694,Because the surroundings were hot,,
695,"""The heat of the hot water moved on a cold metal ladle",,
696,"Metal seems to have done so because it eats heat faster.,""",,
697,Hah!,,
698,The water gave the metal heat,,
699,"The heat is transferred well, so the water will be lukewarm instead.",,
700,"Since the heat moved to the ladle,",,
701,Hah!,,
702,"The heat is constantly transferred, but the hot water is a bit lukewarm",,
703,The reason why the metal ladle got hot is that heat moves up the metal.,,
704,Metals are heat-efficient,,
705,It's hot,,
706,The hot water moved the heat to a cold ladle,,
707,d,,
708,Because the heat of the hot water moved to a metal ladle,,
709,I guess metal is a component that heats up easily,,
710,I think metal is responding to hot things.,,
711,"Because the metal ladle absorbed the heat,",,
712,"As the hot water vapor rises, certain substances and metals meet and get hot",,
713,"The ladle is metal, so it gets hot quickly",,
714,The heat in the hot water went to the metal ladle,,
715,It's made of metal,,
716,This is because heat is conducted with a metal ladle.,,
717,The metal material heats up as the steam rises,,
718,Metal can't let heat out,,
719,"""The heat from the hot water is transferred to the highly heat-conducting metal ladle, which makes the ladle hot",,
720,"""",,
721,"The heat in the hot water is transferred to a cold metal ladle, which heats up as the metal ladle gains heat.",,
722,This is because heat moves to a cold metal ladle as it enters hot water.,,
723,"Since the solid has a dense molecular arrangement, conduction of heat to move through the solid material occurs. Therefore, the heat of hot water moves along the metal ladle, and the cold metal ladle heats up.",,
724,Metal changes in temperature quickly.,,
725,"Heat has the property of moving from a high temperature to a low temperature, because in the above situation, hot water meets the ladle directly and conducts heat.",,
726,"A metal ladle is made up of solid metal, and the molecules that make up solid transfer energy to the next molecule in turn, transferring heat in a way called conduction. When a metal ladle is placed in hot water, energy-rich water molecules collide with molecules of the metal ladle and transfer energy, and molecules obtained from the metal ladle transfer energy to the next molecule in turn. If this process persists for a long time, the entire metal ladle gets hot.",,
727,This is because metal ladle has high heat conduction.,,
728,"Metal has a very fast heat conduction, so it would have been hotter by contacting hot water than metal and extracting heat from the water at a faster rate.",,
729,"The reason why the metal ladle became hot after putting it in hot water is because of the conduction of heat conduction. As the particles of the ladle in warm water hit each other and transferred energy, the entire ladle, which was cold, received energy and the molecular movement became active, making the cold ladle warm.",,
730,This is because heat was transferred from hot water to a metal ladle through a method of conduction.,,
731,"When the cold ladle is put in hot water, heat is transferred from the part where it touches the water due to heat conduction, which heats up to the end of the ladle.",,
732,"If you put a cold metal ladle in hot water, the heat of the hot water is conducted to a cold metal ladle, which heats up the metal ladle. Heat has a property of conducting heat, and metal is a material that conducts heat well, so it easily heats up when a metal ladle is put in hot water.",,
733,"Since it has less specific heat than a wooden ladle, if exposed to heat even in a short period of time, the ladle will get hot.",,
734,The steam is coming up,,
735,Because heat travels only to iron,,
736,Put a ladle in hot water,,
737,Because metals react quickly to heat,,
738,It's because it's a material that transfers heat,,
739,It's heated up,,
740,"In the iron, when the heat goes, the heat goes as far as holding it.",,
741,Because of number 10,,
742,It's melted,,
743,"Metal is used to melt hot things to make metal household products, so it's proof that it's heat-transferable and heat-transferable",,
744,The metal ladle became hot because of the heat transfer,,
745,It's because of the heat of the hot water,,
746,This is because the energy in water was applied to the ladle in the form of thermal energy.,,
747,The heat of the hot water is transferred to a cold ladle,,
748,Metal has high thermal conductivity,,
749,.,,
750,Because the heat in the hot water was conducted with a cold metal ladle,,
751,I don't know.,,
752,Heat moves from hot water to a cold ladle,,
753,I don't know,,
754,Because of the heat,,
755,I didn't learn it.,,
756,Because of the heat,,
757,The heat was transferred to the ladle,,
758,The heat transfer heats up the cold.,,
759,"Since the heat is moving,",,
760,Metal conducts heat.,,
761,It's because the heat has shifted,,
762,Because hot heat moves up,,
763,"""I don't know",,
764,,,
765,"""",,
766,This is because heat moves actively from metal.,,
767,Because of the heat transfer,,
768,The heat in the hot water was transferred to the cold metal ladle and the ladle became hot.,,
769,The heat in the hot water moved to the ladle.,,
770,Pardon?,,
771,The characteristic of metal is that it heats up because it is heat-resistant,,
772,This is because metal flows heat.,,
773,"As the hot air rises, the metal ladle heats up",,
774,"""The temperature of hot water changes the temperature of the metal.",,
775,"This is because metals change temperatures quickly and easily.""",,
776,It's hot water,,
777,It's because the heat of hot water is transferred to the ladle.,,
778,It's hot,,
779,"Metal poles are highly conductive because they are metal, so energy transfer is good. The wooden ladle is an insulator, so it has low conductivity.",,
780,"This is because metal has higher thermal conductivity than wood, so it transfers a lot of heat by hand at once.",,
781,at thermal equilibrium,,
782,The thermal equilibrium state is reached by the 0th law of thermodynamics.,,
783,This is because it achieves thermal equilibrium with water.,,
784,This is because the heat of the water was transferred to a metal ladle.,,
785,This is because thermal equilibrium has been reached.,,
786,This is because heat was transferred to a metal ladle by convection.,,
787,Water and ladle reached thermal equilibrium by thermodynamic law,,
788,Reaching thermal equilibrium,,
789,by heat conduction,,
790,heat transfer,,
791,in a state ofThe heat is shifting,,
792,This is because heat moves to achieve thermal equilibrium.,,
793,It is because of the thermal equilibrium.,,
794,The heat shifted from nothing to a ladle.,,
795,Heat conduction increases temperature.,,
796,Heat transferred,,
797,Because the heat of the water moved to a metal ladle,,
798,This is because the heat of the hot water was conducted and the heat moved to a cold metal ladle.,,
799,The heat in the water was transferred,,
800,Because the heat was transferred.,,
801,The metal ladle heats up quickly because the heat conduction becomes faster.,,
802,Because the heat is transferred to the ladle,,
803,The heat is transferred,,
804,Metal has a high heat conduction and therefore a high rate of heating.,,
805,This is because heat is transferred to the ladle by conduction,,
806,This is because heat moves from hot to cold to achieve thermal equilibrium.,,
807,This is because heat is well conducted.,,
808,It is because of the conduction of heat.,,
809,This is because metal ladles have high thermal conductivity.,,
810,in accordance with the temperature,,
811,This is because the heat was conducted.,,
812,Because metal ladle has high thermal conductivity,,
813,This is because the heat of hot water was conducted to the metal ladle.,,
814,This is because the heat of the hot water was conducted with a metal ladle.,,
815,be due to heat conduction,,
816,It's because of the heat conduction,,
817,The heat of the hot water was conducted with a cold metal ladle.,,
818,This is because the heat of the heated ladle met with cold water and conducted heat upward.,,
819,This is because the ladle is heated by conduction.,,
820,"Due to the first law of thermodynamics, heat was conducted in equilibrium, and the conducted heat spread from inside the metal ladle and became hot.",,
821,This is because the metal ladle that used to cool the heat in the hot water absorbed it.,,
822,This is because the heat energy in the water moves into a ladle.,,
823,This is because heat is conducted.,,
824,"The heat in the hot water moved toward the cold ladle to form a heat expansion with the cold ladle, making the ladle hot.",,
825,"It gets hot because you put it in hot water. Then it gets cold, right?",,
826,This is because heat has moved to a metal ladle due to the conduction of heat.,,
827,This is because the heat energy of the water molecules is transferred to the ladle.,,
828,The conductivity is fast,,
829,It has high thermal conductivity,,
830,This is because heat conduction occurs.,,
831,It's because it gets heat transfer faster,,
832,The ladle takes the heat,,
833,This is because heat has moved from hot water to metal ladle.,,
834,This is because heat is conducted.,,
835,with heat conduction,,
836,It's heated up,,
837,It's hot,,
838,"This transfer of heat in a solid or the like is called conduction. Therefore, the metal ladle is heated to the part where the heat is not directly in contact with the conducted water.",,
839,Metal has a fast heat conduction. Absorption good,,
840,Metal transfers heat better,,
841,The heat conduction is good,,
842,Because of the heat conduction,,
843,It's because it's been passed on,,
844,This is because the metal ladle is a conductor and heats up quickly due to its low specific heat.,,
845,It became hot because heat was transferred from hot water,,
846,"As heat moves, metals heat up easily because of good heat conduction.",,
847,Because the metal ladle is heated,,
848,This is because the metal ladle was conducted to the temperature of the hot water.,,
849,This is because the temperature of the hot water was conducted with a metal ladle.,,
850,The hot heat was heated by heat transfer to the metal ladle.,,
851,Because heat was transferred,,
852,Because it's a conductor,,
853,Because it's a conductor,,
854,"Because of the heat transfer,",,
855,It's because the heat moved fast,,
856,The heat of the water is transferred to a ladle,,
857,k,,
858,I don't know,,
859,It's because I kept applying heat,,
860,"To reach thermal equilibrium,",,
861,Metal is because of its fast heat conduction.,,
862,Metal ladles move heat well,,
863,Because of the thermal equilibrium,,
864,It's because it's been passed on.,,
865,Metal has good thermal conductivity,,
866,heat transfer,,
867,"Metals have high thermal conductivity, so heat is easily transferred",,
868,Because it has strong heat transfer power,,
869,I put it in hot water,,
870,the conduction of heat,,
871,This is because the temperature of the hot water was conducted to a cold metal ladle.,,
872,It's because the heat was transferred,,
873,.,,
874,This is because the hot heat was transferred into the ladle.,,
875,It's because the heat is transferred,,
876,This is because heat conduction occurs.,,
877,in a state of,,
878,be caused by heat conduction,,
879,I don't know,,
880,Metal has a greater heat conduction than wood.,,
881,Metal has a high heat conduction,,
882,Conductivity,,
883,"I put it in hot water, so of course",,
884,Conduction,,
885,This is because the thermal conductivity of the metal ladle is different.,,
886,It is hot because heat is transferred by hot water,,
887,This is because heat is conducted.,,
888,This is because heat conduction is faster.,,
889,It is because metal is heat-transmitting.,,
890,"The metal ladle heats up by receiving heat from the water.The heat of hot water moved to the ladle, which was cold",,
891,This is because the heat of the hot water was conducted with a ladle.,,
892,It's because the heat was transferred,,
893,This is because metal has a high heat conduction.,,
894,Because heat was transferred to the water with a metal ladle,,
895,This is because the cold metal conductor was conducted hot by hot water.,,
896,"Because the heat energy of the hot water was conducted,",,
897,This is because heat was conducted from hot water to a ladle.,,
898,This is because metals change temperature easily in heat,,
899,Because it's heated,,
900,It is because the heat has been transferred.,,
901,ã,,
902,"Because of the high thermal conductivity,",,
903,The heat conduction is different,,
904,This is because heat was transferred to a ladle by hot water.,,
905,It's getting hot,,
906,This is because the heat in the hot water was conducted with a metal ladle.,,
907,This is because hot water is transferred to a metal ladle.,,
908,Because of the high metal thermal conductivity,,
909,"Because the metal gets hot or cold as the temperature changes nearby,",,
910,Go into the hot water,,
911,The metal ladle is a conductive object,,
912,It's because of the hot water.,,
913,Because of the heat,,
914,Metal can move heat easily,,
915,in hot water,,
916,Because the net is hot,,
917,The metal got hot,,
918,Because metal received hotter heat before it was made,,
919,This is because the temperature of the hot water was transferred to a metal ladle,,
920,overheated,,
921,The metal is heated up,,
922,"When water is hot, even cold metals get hot over time.",,
923,The metal transfers heat well.,,
924,It's a lump of iron,,
925,because of the high temperature of the water,,
926,This is because the heat conduction on the metal ladle is fast.,,
927,"""",,
928,"This is because the heat enters the hot water and is transferred to the metal ladle. Furthermore, metals have high thermal conductivity.",,
929,The metal ladle absorbs heat faster,,
930,due to heat conduction,,
931,This is because metal ladles transfer heat relatively quickly.,,
932,It absorbs the heat from the hot water,,
933,It absorbs the heat from the hot water,,
934,The temperature fluctuates,,
935,"carbon dioxide, nitrogen",,
936,This is because the metal ladle receives heat more easily and does not cool down easily.,,
937,due to the properties of metal,,
938,Because the ladle was cold and suddenly hot.,,
939,This is because the metal ladle receives heat more easily and does not cool down easily.,,
940,The cold metal heats up because the heat is stronger than the cold metal heats up,,
941,Because the heat spread throughout.,,
942,"Because metal ladle is greatly influenced by temperature, the temperature of the ladle increased with hot water with higher temperature",,
943,The heat in the boiling water heats up the ladle,,
944,a conductor,,
945,The heat from the ladle's head moved to the handle,,
946,The metal ladle is hot because it does not absorb water,,
947,The metal ladle absorbs heat,,
948,Because metal carries temperature,,
949,I don't know,,
950,I don't know,,
951,Because metals are easily affected by heat.,,
952,The temperature went up,,
953,It's too watery,,
954,This is because the high temperature of the water moves heat to a metal ladle.,,
955,The heat of the hot water was transferred to the metal ladle,,
956,Let's go into the hot water,,
957,This is because heat has moved on the metal ladle.,,
958,Heat makes metal hotter than wood,,
959,"Because metal absorbs heat, the hot water temperature is absorbed by the metal ladle, which makes the metal ladle hot",,
960,This is because metal is a material that transfers heat well.,,
961,"Since the metal absorbs heat, the metal ladle absorbs the temperature of hot water and the metal ladle heats up.",,
962,This is because the heat of hot water is transferred to a cold metal ladle and the heat rises.,,
963,"Metal gets hot quickly when it touches something hot, so the metal ladle gets hot.",,
964,"Metal gets hot quickly due to its high thermal conductivity, so when you put a metal ladle in hot water, the metal ladle gets hot quickly.",,
965,I don't know.,,
966,It's like the heat is coming up with metal and it's getting hot,,
967,a wooden ladle,,
968,Hot water is heated in metal,,
969,Metal ladles are hotter than wooden ladles because metal is an object that absorbs heat,,
970,Metal absorbs heat,,
971,"Because of the heat transfer,",,
972,Because it's hot,,
973,Metal is because heat travels,,
974,Because metal transfers heat,,
975,It's because the temperature is going up,,
976,Don't know,,
977,Because of the heat transfer,,
978,Metals are heat-borne,,
979,Because of the high heat conductivity of metal condensation,,
980,Metals are heat transferred quickly,,
981,"No matter how cold it is, it gets hot again when you go into the hot water",,
982,The heat travels through the metal,,
983,I don't know,,
984,The temperature of the water is transferred to a metal ladle,,
985,The water is hot,,
986,The metal is on the hotbed,,
987,Because the water is hot.,,
988,The heat is too hot,,
989,Because the heat moved from the water to the ladleIt's because the water is heavy.,,
990,"Metals tend to transfer heat,",,
991,"Because the ladle that was cold was heated in hot water,",,
992,I don't know.,,
993,Metals have the function of absorbing heat,,
994,Because metal is a material that moves heat well,,
995,Because metal is heat-transferable.,,
996,The hot heat is transferred,,
997,a difference in conduction,,
998,thermal equilibrium,,
999,It has high thermal conductivity,,
1000,Because of the heat conduction phenomenon.,,
1001,Metal is hot because of its high thermal conductivity,,
1002,"Since the heat is transferred,",,
1003,This is because metal transfers heat well.,,
1004,This is because the heat was conducted.,,
1005,Heat conduction.,,
1006,Heat conduction in the cold metal scoop that is because in hot water.,,
1007,Heat was transmitted through the ladles of water.,,
1008,Heat conduction to.,,
1009,Because of thermal equilibrium,,
1010,Conduction,,
1011,By heat conduction.,,
1012,Didn't put in cold water.,,
1013,Heat conduction to be.,,
1014,Heat moved with his ladle in the water hot metal thermal conductivity is high.,,
1015,Ladle temperature is hot because they move at a low temperature in cold think it gets hot.,,
1016,Strong heating metal spoon to move.,,
1017,Heat conduction..,,
1018,Unknowingness,,
1019,Unknowingness,,
1020,A brass spoon is a hot heat go to the cold metal sutkkarak,,
1021,If you put their fingers in the hot water cooled? hot? It's kind of weird if you ask me something too obvious,,
1022,I don't know.,,
1023,I don't know,,
1024,I don't know,,
1025,the conduction of heat,,
1026,It's because the heat was transferred,,
1027,Because it's been passed on,,
1028,the conduction of heat,,
1029,The electrons are moving fast,,
1030,Metastasis,,
1031,This is because the thermal conductivity is good.,,
1032,Molecules become active because of high temperature,,
1033,an act of conduction,,
1034,It's because the temperature changes,,
1035,This is because metals transfer quickly.,,
1036,"Since the heat is transferred,",,
1037,Because heat conducts better than trees,,
1038,It's heat-transferred,,
1039,This is because the heat has shifted.,,
1040,The temperature of the water is reversed,,
1041,This is because the metal ladle takes away the heat from the hot water.,,
1042,This is because the heat was conducted.,,
1043,I don't know,,
1044,ã,,
1045,ã,,
1046,Metal is heat-transferred,,
1047,.,,
1048,Metal has high thermal conductivity,,
1049,This is because metals have high thermal conductivity.,,
1050,.,,
1051,The water is hot,,
1052,This is because metal ladle absorbs heat well.,,
1053,High temperature,,
1054,Metal has high thermal conductivity,,
1055,Because the heat was transferred,,
1056,It's because the heat transferred,,
1057,The ladle became hot because it was a metal and heat was conducted.,,
1058,This is because metals have better thermal conductivity than wood.,,
1059,Because the heat of the hot water moved to a metal ladle,,
1060,The heat in the hot water is transferred to the metal ladle and heated up,,
1061,The ionic molecules in the metal react and become warm,,
1062,Put it in hot water,,
1063,Conducted,,
1064,Because of the high heat conduction,,
1065,I don't know.,,
1066,This is because the heat from the hot water is transferred to a metal ladle that conducts heat well,,
1067,This is because metals have high thermal conductivity and quickly become hot sources.,,
1068,"Metal has high thermal conductivity, so the temperature is transferred to the metal in hot water",,
1069,It's because I put it in hot water,,
1070,Metals have high heat conduction,,
1071,It's because of the high thermal conductivity,,
1072,This is because heat is conducted from hot water to a metal ladle.,,
1073,I don't know.,,
1074,Metal conducts heat well,,
1075,Because the heat was transferred,,
1076,I met with hot water and got the temperature delivered,,
1077,Because metals have high thermal conductivity,,
1078,This is because metals have high thermal conductivity and receive a lot of surrounding heat energy and export a lot.,,
1079,Put it in hot water,,
1080,The metal ladle is heated because the heat energy in hot water moves to the metal ladle and is used to raise the temperature of the metal ladle.,,
1081,"Metals have very high thermal conductivity, so when immersed in hot water containing a lot of heat energy, heat energy moves from water to ladle. The moved thermal energy is used to increase the temperature of the metal ladle, and the temperature of the metal ladle increases.",,
1082,Metals have high thermal conductivity,,
1083,I don't know.,,
1084,I don't know.,,
1085,Because metal transfers heat well,,
1086,Heat is transferred to a metal ladle,,
1087,Because of the difference in specific heat,,
1088,The metal ladle went into the hot waterThe hot temperature conducts heat to the metal ladle,,
1089,The hot temperature conducts heat to the metal ladle,,
1090,It's metal,,
1091,This is because the heat of the hot water moves to a cold metal ladle.,,
1092,Metal is good for heat transfer,,
1093,Heat conduction is fast,,
1094,Heat from hot water is transferred to the metal ladle by thermal conductivity,,
1095,This is because the heat of the hot water was conducted with a metal ladle.,,
1096,Metal is good at heat transfer,,
1097,It's because metal transfers heat well,,
1098,It is because metal is heat-transmitting well.,,
1099,Metal can transfer heat easily,,
1100,This is because heat moved from hot water with high temperature to low metal ladle.,,
1101,"It is a conduction phenomenon. The heat of hot water activates the molecular motion of the ladle, which causes it to heat up.",,
1102,heat conduction,,
1103,Conduction,,
1104,Thermal conduction,,
1105,Heat in the water is transferred to a metal ladle (conducting),,
1106,Heat transfer to metal ladle due to heat conduction,,
1107,"Because of the high thermal conductivity of metals,",,
1108,Heat moved from hot water to ladle because it moved from high to low.,,
1109,"Metals have high thermal conductivity, so heat from hot water moves",,
1110,"Because the heat of the hot water conducted with a metal ladle,",,
1111,This is because it formed thermal expansion after putting it in water.,,
1112,The conduction is caused by the temperature difference.,,
1113,"To achieve thermal equilibrium with water,",,
1114,Because energy is increased by conduction,,
1115,achieve thermal equilibrium,,
1116,Heat is transferred from hot water,,
1117,This is because we put a metal ladle with fast heat conduction in hot water.,,
1118,"(This is because heat conduction is fast.)""",,
1119,The temperature went up,,
1120,"The amount of heat required to increase the temperature of 1 g of a substance by 1Â°C is specific heat, because the specific heat of the ladle is relatively lower than that of water.",,
1121,be due to the high thermal conductivity,,
1122,Metal has a higher thermal conductivity than wood,,
1123,It's because the heat is transferred.,,
1124,It's good for me,,
1125,"Since the heat is transferred,",,
1126,This is because the heat of the hot water moved to a metal ladle.,,
1127,This is because the temperature of the water and the ladle becomes similar after putting it in water.,,
1128,This is because the heat of the water was transferred to a ladle.,,
1129,It's heated up,,
1130,It's because it's made of metal that transfers heat well,,
1131,Because of the heat transfer,,
1132,This is because the heat conductivity is different.,,
1133,It is because the heat is well conducted.,,
1134,Because the temperature has shifted.,,
1135,Metals conduct heat easily,,
1136,Because hot water heats up the metal ladle,,
1137,The heat of the hot water moves to a metal ladle,,
1138,This is because it is moved by heat.,,
1139,Thermal conduction,,
1140,heat conduction,,
1141,Unknowingness,,
1142,I put it in hot water,,
1143,Because heat is transferred to the metal ladle,,
1144,There's friction,,
1145,heat conduction is fast,,
1146,This is because iron conducts heat quickly.,,
1147,Because of the heat,,
1148,a phenomenon of conduction,,
1149,made of metal. It's made of metal,,
1150,"Because of the high thermal conductivity, the heat of boiling water was transferred to the ladle.",,
1151,I don't know,,
1152,"Since the ladle is made of metal, hot heat from hot water is also transferred to metal.",,
1153,Heat is transferred,,
1154,It's getting cold,,
1155,"Heat conductivity is high, so it heats up quickly",,
1156,This is because metals have less specific heat.,,
1157,This is because metals have less specific heat.,,
1158,I don't understand.,,
1159,It is because of the heat conduction.,,
1160,Heat transferred from the temperature in the hot water would have made the ladle hot.,,
1161,This is because the specific heat is low.,,
1162,"It's like when I go into the hot water, I get hot",,
1163,"Metal is selfish (that's why it's hot), whereas trees are too broad-minded (that's why it's hot).",,
1164,under heat from hot water,,
1165,It's metal,,
1166,The water is hot,,
1167,Metal ladles move heat,,
1168,Heat is transferred to the metal ladle in hot water,,
1169,by conducting heat,,
1170,Heat is transferred to the metal ladle in hot water,,
1171,Metal has heat moves have properties.,,
1172,Will respond and is briskly in the heat in the metal column.,,
1173,""" so it's hot water temperature.",,
1174,"Metal is not respond on the temperature """,,
1175,ë¨ê±°ì´ ë¬¼ì ë£ê¸°ì  ì°¨ê°ë ê¸ì êµ­ìë ì´ì ë¬ì´ ìëê¸° ëë¬¸ì ë¨ê±°ì´ ë¬¼ì ë£ìíì ê¸ìêµ­ìê° ë¨ê±°ì ì§ëê²ì´ë¤,,
1176,Heat is conducted,,
1177,"I be a metal spoon, transfer fever.",,
1178,ê¸ìì´ë¼ì,,
1179,It had been exploring heat transfer in hot water.,,
1180,Heat.,,
1181,Specific heat of the metal is because temperatures will rise as soon as compared to a tree.,,
1182,The metal thermal conductivity is high.,,
1183,Metal is his highly in the heat.,,
1184,Metal spoon to convey is very well.,,
1185,Ladle and passed to the metal heat in hot water.,,
1186,"Hot water,",,
1187,The water is hotMetals carry heat,,
1188,Because I put a ladle in the hot water,,
1189,The metal was heated to heat.,,
1190,Heat is conducted,,
1191,Because metals have a movement of heat.,,
1192,with heat conduction,,
1193,with heat conduction,,
1194,"Heat conduction is easier in hot water, so it turns hot",,
1195,"Metal has heat moves have properties. So if you put a metal ladle in hot water, it's hot.",,
1196,"Because heat was transferred to the metal ladle by conduction to maintain thermal equilibrium,",,
1197,Heat conduction to.,,
1198,The temperature of the hot water is transferred to the metal ladle to heat it up,,
1199,"Metal objects have higher thermal conductivity than other objects, so they get hotter when you put a metal ladle in hot water",,
1200,"When a substance enters hot water, heat moves toward that substance, so the metal ladle, which is a substance, has become hot.",,
1201,It's good for heat transfer,,
1202,The metal ladle is hot because it is hot by putting it in very hot water.,,
1203,This is because the cold metal ladle lost energy to the hot water.,,
1204,"Because metals such as copper, iron, and silver transfer heat well like conduction",,
1205,This is because the metal ladle reacts to heat and the movement of heat is more actively transferred.,,
1206,"""1.The cold metal is contained in hot water,",,
1207,"2. Because I went into the hot water and got heated up""",,
1208,"Metal is a fast heat transfer, so the cold metal ladle can quickly become cold and hot.",,
1209,"Iron and metal are easier and faster than other types of ladles, so when you put them in a cold place, they are hot when they are put in a cold place",,
1210,Molecules move in the heat,,
1211,It's transferred by heat,,
1212,This is because the heat of hot water was conducted to the metal ladle.,,
1213,It's because it's faster than the Metalson tree,,
1214,It's good for heat transfer,,
1215,by conducting heat,,
1216,Because heat is conducted with metal,,
1217,It is because the heat is transferred.,,
1218,The water is hot,,
1219,áá¥Uhhhhhhhhhhhhhhhh,,
1220,Metal is because heat transfer is fast,,
1221,Conduction,,
1222,Wood has little heat conductivity,,
1223,It's because there's a phenomenon of conduction,,
1224,the movement of heat,,
1225,Metal is heat transferred because heat is transferred well.,,
1226,I don't know,,
1227,I don't know,,
1228,Metal has the properties of heat transfer,,
1229,It is because metal is heat-transmitting.,,
1230,Because heat was transferred to the metal ladle,,
1231,It's because heat transfer is active,,
1232,Thermal conductivity,,
1233,Because metals have higher thermal conductivity,,
1234,This is because the heat energy of hot water is conducted with a metal ladle.,,
1235,It has high thermal conductivity,,
1236,"It's hot because you put it in hot water, silly",,
1237,This is because the metal ladle has high thermal conductivity.,,
1238,Heat is transferred and heated.,,
1239,Heat is conducted,,
1240,Because the heat in the water moved to the ladle.,,
1241,It may be because the hot heat in the water moved to the ladle.,,
1242,The heat temperature has increased,,
1243,The heat is too much to use as a ladle.,,
1244,Because the heat went to the metal ladle in the hot water,,
1245,It's because it's hot in water,,
1246,It's too big,,
1247,Because the temperature has shifted.,,
1248,Because of the heat transfer,,
1249,I think the ladle got hot because the hot air moved to a cold place.,,
1250,"Heat moved from hot to cold, because heat moved from hot water to cold ladle.",,
1251,"Since the heat in the soup is transferred to a ladle, which is the metal part,",,
1252,The hot water temperature is moved with a ladle,,
1253,The heat is shifting,,
1254,This is because heat moves from soup to metal ladle.,,
1255,"When heat is transferred to a metal ladle that used to be cold in hot water,",,
1256,"This is because the heat has been transferred. Because heat transfer goes from hot to cold, the cold metal ladle is hot because heat moves before putting it in hot water.",,
1257,Put a cold ladle in hot water,,
1258,This is because the ladle is heated in hot water.,,
1259,"Because the heat moved to the ladle,",,
1260,The heat transferred to the ladle,,
1261,Unknowingness,,
1262,"The cold metal ladle is cold, so it is transferred to the temperature in hot water.",,
1263,The hot heat in the water moves to the ladle.,,
1264,Because the heat moved from hot water to cold ladle,,
1265,Unknowingness,,
1266,Because of the heat transfer,,
1267,Because of the temperature,,
1268,I don't know,,
1269,"Since the heat has been transferred,",,
1270,Metal transfers heat,,
1271,I don't know,,
1272,Because it's metal.,,
1273,Metal can move heat well,,
1274,Iron transfers temperature quickly,,
1275,This is because metals absorb more heat than other materials.,,
1276,Hot water. The temperature comes to the cold ladle...,,
1277,The ladle is metal,,
1278,The metal ladle seems to have absorbed heat and heated up.,,
1279,Put it in hot water,,
1280,This is because the heat was fine on the metal ladle as the water boiled.,,
1281,It is because the hot heat gradually rises to the metal,,
1282,Metal moves quickly by heat,,
1283,Because of the heat,,
1284,It doesn't release heat,,
1285,The water is hot,,
1286,"If you put it in hot water, the temperature rises, but if you put a metal ladle in hot water, it gets hot quickly.on the other hand",,
1287,Because it's hot,,
1288,X,,
1289,Put it in hot water,,
1290,I can't recall.,,
1291,It's hot,,
1292,with heat,,
1293,The heat was transferred to the handle,,
1294,This is because the thermal conductivity is high.,,
1295,due to the convection of water,,
1296,Thermal conduction,,
1297,The water is hot,,
1298,Heat is transferred,,
1299,The ladle absorbed the heat of the hot water,,
1300,This is because the thermal conductivity of the metal is high,,
1301,This is because metal is more heat-transferable than wood.,,
1302,This is because metal is more heat transferable than wood,,
1303,Because the heat is transferred with a ladle,,
1304,This is because a metal ladle has higher thermal conductivity than a wooden ladle.,,
1305,This is because the heat conduction is large.,,
1306,It's because the heat was transferred,,
1307,"Because the water receives heat energy and the heat energy convections in the water, and the energy is transferred to the metal ladle",,
1308,This is because the heat has moved from hot to cold.,,
1309,Because of the heat conduction,,
1310,a hot area where heat is transferred,,
1311,with heat conduction,,
1312,Metal is because of its fast heat conduction.,,
1313,Conduction,,
1314,Molecules vibrate and heat conduction,,
1315,3444,,
1316,Because of the heat transfer,,
1317,Because I put it in hot water.,,
1318,Molecules vibrate and heat conduction,,
1319,It's because the heat was transferred,,
1320,"Because of the heat conduction,",,
1321,Because the heat from the hot water moved to the metal that was cold.,,
1322,It's really hard,,
1323,Prospects quickly arose.,,
1324,This is because the future happened quickly.,,
1325,Because the heat of the water was conducted through metal,,
1326,the conduction of heat,,
1327,It's because of the heat conduction,,
1328,Metal is strong,,
1329,Metal has a high heat transfer,,
1330,"Because of the phenomenon of conduction,",,
1331,This is because the heat moved to the ladle to achieve thermal equilibrium.,,
1332,This is because the heat was transferred to a ladle.,,
1333,Evaluation Only. Created with Aspose.Cells for Python via Java.Copyright 2003 - 2022 Aspose Pty Ltd.,,
