,1) Please present as soon as you know what the people's rights are related to the example of Hong Gil-dong. ,q31_discrimination,q31_job,q31_judgment,q31_human rights
697,I don't know.,,,,
698,I don't know,,,,
699,Yes,,,,
700,guarantee of basic rights,,,,
701,basic rights,,,,
702,"""The right of man to live a life like that",,,,
703,"Basic rights""",,,,
704,I don't know,,,,
705,I don't know.,,,,
706,"All citizens are equal, free and sovereign.",,,,
707,I don't know.,,,,
708,the right to equality,,,,
709,"The more people live a human life, the more basic rights, equal rights, freedom, and all human beings are treated the same",,,,
710,All power comes from the people.,,,,
711,"The right to have a disability, the fundamental right, the suffrage, the right to work.",,,,
712,equal rights,,,,
713,the right to work freely,,,,
714,equality and freedom,,,,
715,People can have equal opportunities if they are human,,,,
716,have the right to sue,,,,
717,"The right to work, the right to make money, the right to live",,,,
718,"No matter how disabled you are, you have the right to do the same as those who do not have a disability, not discriminate if you are good at computers and work well",,,,
719,Human beings are given equal opportunities,,,,
720,"All citizens can work without being restricted by disabilities, etc.",,,,
721,Being bullied at school for being disabled,,,,
722,"""You can't go to work because you don't get the license""",,,,
723,It's against human rights to throw it out under the pretext of having no inconvenience in doing things properly because of the inconvenience of your hands,,,,
724,human right,,,,
725,"Human rights, the right to work, the right to eat what you want",,,,
726,"Article 10 Dignity and Values as Human beings, Article 11 Rights of Equality, Article 27 Rights of Trial, Article 28 Rights of Criminal Compensation, Article 29 Rights of State Compensation, Article 32 Rights and Duties of Working, Article 33 Rights of Labor, Article 34 Rights of Human Life",,,,
727,All citizens can work unrestrictedly against disabilities. (Equal Rights),,,,
728,All people live equally without discrimination,,,,
729,"""",,,,
730,"All citizens can work unrestrictedly against disabilities. (Equal Rights)""",,,,
731,"All citizens have the right to equality, the right to live happily",,,,
732,"Any citizen has the right to live a human life without discrimination, so even if he has a disability, he can do anything if he has his own mind.",,,,
733,People can work without restrictions such as disabilities.,,,,
734,"Chapter 1 of the Constitution Article 10 All citizens have dignity and value as human beings, and have the right to pursue happiness. The state is obligated to identify and guarantee the inviolable basic human rights of individuals",,,,
735,"There are social rights, claims, suffrage, equality, and freedom",,,,
736,"There is freedom, equality, suffrage, claim and social rights",,,,
737,Every citizen has the freedom of choice. All citizens have dignity and value as human beings and have the right to pursue happiness. The state is obligated to confirm and guarantee the inviolable basic human rights of individuals.,,,,
738,"Every citizen has the right to live a human life without discrimination, so he has the right to work in a company even if he is disabled",,,,
739,Park Geun Hye The people of the candlelight vigils are the law. Cho Doo-soon and Cho Doo-soon are voting for the May 18 Park Chung-hee election.,,,,
740,"Everyone has the right to pursue happiness, everyone is equal before the law, and all citizens have the freedom of choice.",,,,
741,"Article 10 of the Constitution states that all human beings have the right to pursue happiness with dignity and value, and that the state has the obligation to identify and guarantee the inviolable basic human rights of individuals",,,,
742,All citizens are equal.,,,,
743,Every citizen has the right to vote.,,,,
744,All citizens have the right not to violate human rights.,,,,
745,"The human rights of all citizens have the right to be respected.""",,,,
746,"As there is a law that all citizens are equal, even if they are disabled, they are people, so they have the right to get a job equally like others.",,,,
747,Park Geun Hye The residents of the candlelight vigils are the law. Cho Doo-soon and Cho Doo-soon are voting for the May 18 Park Chung-hee election.,,,,
748,All citizens are equal,,,,
749,have the right to trial,,,,
750,"""",,,,
751,We can solve it by law,,,,
752,The people have freedom and human rights,,,,
753,Article 10 All citizens have dignity and values as human beings and the right to pursue happiness. The state is obligated to confirm and guarantee the inviolable basic human rights of individuals.,,,,
754,"Article 34 (1) All citizens have the right to live a human life.""",,,,
755,"There are equal law, freedom, suffrage, social rights, and claim rights.",,,,
756,"All citizens are equal, so even if they have a disability, they can get jobs equally",,,,
757,"There are equal law, freedom, suffrage, privacy, claims, etc.",,,,
758,"Basic rights, equal rights, right to vote, etc",,,,
759,the right to work even with disabilities,,,,
760,the right to work even with disabilities,,,,
761,I don't know.,,,,
762,natural rights,,,,
763,I don't know,,,,
764,the right to equality and freedom,,,,
765,basic rights,,,,
766,All citizens are equal,,,,
767,human right,,,,
768,human right,,,,
769,All citizens are equal.,,,,
770,the right of liberty,,,,
771,I don't know,,,,
772,the right of liberty,,,,
773,the right to sue,,,,
774,"the right to work, the right to work freely, the right to work regardless of physical or mental problems",,,,
775,to have rights through knowledge,,,,
776,I don't know,,,,
777,I don't know.,,,,
778,I don't know,,,,
779,Don't know,,,,
780,human right,,,,
781,I don't know.,,,,
782,Don't know,,,,
783,the right to be guaranteed,,,,
784,"Basic rights, social rights",,,,
785,I'm a natural sciences major,,,,
786,I don't know,,,,
787,the right to work,,,,
788,"the right to freedom, the right to society, the right to work",,,,
789,freedom and equality,,,,
790,the right not to be discriminated against for having a disability,,,,
791,Every nation has its own right to work.,,,,
792,All men are equal.,,,,
793,"It's the citizens who obey the law, and the only ones who break the law are the lawmakers who make it",,,,
794,the right to work,,,,
795,"Basic rights, welfare rights",,,,
796,I don't know.,,,,
797,the right to equality,,,,
798,"the right to work, the right not to be discriminated against",,,,
799,the right to equality,,,,
800,the right to equality,,,,
801,a claim,,,,
802,the right to claim,,,,
803,"equal rights, claims, human rights",,,,
804,equal rights,,,,
805,equal rights,,,,
806,equal rights,,,,
807,"the right to equality, freedom, and social rights",,,,
808,"Right to freedom, equality, social rights, suffrage, pursuit of happiness",,,,
809,"Social rights, freedom, equality, the pursuit of happiness",,,,
810,the right to pursue happiness,,,,
811,human right,,,,
812,disability law,,,,
813,I don't understand.,,,,
814,All men have the right to equality,,,,
815,equal rights,,,,
816,Human rights exist,,,,
817,the three-trial system,,,,
818,the right to work,,,,
819,equal rights,,,,
820,the right to work,,,,
821,the right to work,,,,
822,I don't know.,,,,
823,the right to work,,,,
824,Disabled people also participate in the Olympics.,,,,
825,I don't know.,,,,
826,equal rights of opportunity,,,,
827,"Humans have the right to live without discrimination in disability, race, religion, etc.",,,,
828,the right not to be discriminated against,,,,
829,H and O,,,,
830,I don't know.,,,,
831,The people have the right to work freely. The people have the right to sue. The people have the right to freedom. The people have a right to overcome obstacles.,,,,
832,All men are equal.,,,,
833,I don't know...,,,,
834,the right to equal opportunity,,,,
835,"M, M, M, M",,,,
836,equal rights,,,,
837,"In the event of unfairness, there is the right to be tried, the right to not be discriminated against, and the right to be treated equally.",,,,
838,the right of liberty,,,,
839,"Among the basic rights of the people, it is the right to work specified in the Constitution.",,,,
840,"have labor rights It may be less, but it is omitted because there is not enough time.",,,,
841,"""Hong Gil-Dong discriminated against me because I can't work for company A because I have a disability",,,,
842,"I think it's an equal right because I received it. In addition, I think it is a right of freedom in that it has been sued and tried three times.""",,,,
843,"Ignoring the willingness to work Ignoring A's desire to work, so freedom. And claim because A filed a lawsuit.",,,,
844,"Through the example of Hong Gil-dong, we can see that there are natural human rights, equal rights, freedom, and claim rights.",,,,
845,"The rights of the people related to the example of Hong Gil-dong include equal rights, social rights, and claim rights. Company A rejected Hong Gil-dong for having a disability. This goes against the right to equality that everyone has the right to equality. And it goes against the right of society to improve employment conditions for the socially disadvantaged. Finally, Hong Gil-dong applied for a trial to guarantee his rights, which is a claim.",,,,
846,"It exercises the right to equality, the right to work, the right to request a trial, and the right to guarantee basic rights.",,,,
847,"Anyone can exercise their human rights, the right to claim to hold a trial, and the right to work.",,,,
848,"The right to equality, the right to pursue happiness, and the right to claim are rights related to Hong Gil-dong. Hong Gil-dong exercised his right to pursue happiness to get a job for happiness, but was guaranteed his right to sue for violating the right to equality, the right not to be discriminated against for having a disability.",,,,
849,"The right to three trials can actively use the constitutional three-trial system. It also guaranteed the right not to be treated unfairly for certain reasons, such as physical discomfort, through the state. The Constitution guarantees the basic human rights granted if born as a human being. The rights guaranteed accordingly include various rights such as freedom, equality, and suffrage.",,,,
850,"As a right to work, this right is a first-generation human rights constitution that takes into account the right to freedom and equality",,,,
851,"It can be seen that the current constitution claims the right to equality, the right to pursue happiness, and the right to work. The reason is that the company was reluctant to say that equal rights were people who had an accident even though they were capable of working. This is because Hong Gil-dong, who had an accident, has the right to pursue happiness to enjoy working happiness. It is also because it exercises the right to work to guarantee Hong Gil-dong's labor.",,,,
852,"Hong Gil-dong, so all the people have the right to file a lawsuit three times. And Hong Gil-dong also has the right to pursue happiness to prevent his happiness from being taken away by the company. In addition, they have the right to enjoy the same rights as others equally and to resolve their own unfairness by requesting a trial.",,,,
853,The Constitution claims the right to work according to individual abilities. Hong Gil-dong is discriminated against for having a hand problem even though he has the ability to work.,,,,
854,I'm sorry.,,,,
855,..,,,,
856,The Republic of Korea is a democracy,,,,
857,I don't remember.,,,,
858,equal rights that any person can have,,,,
859,the right to equal treatment the right to sue in the event of injustice,,,,
860,"the right not to be discriminated against, the right to choose the job one wants",,,,
861,the right to claim a job security,,,,
862,Dignity and Values,,,,
863,There are human rights and so on.,,,,
864,I don't understand.,,,,
865,M and D,,,,
866,Korea is a liberal democracy and has the right to enter the company even if it is uncomfortable.,,,,
867,It does not discriminate against disabled people,,,,
868,the right not to be criticized for one's rights as a citizen because one is disabled,,,,
869,"No matter how disabled one is, one has the right to work.",,,,
870,"Maybe it's because these people have a prejudice And what would you do if you were disabled in an accident and ignored like this, would you feel good if you said something that made you would feel good if you said something that made you feel bad? I honestly don't understand that you have rights and you're being ignored for that. I have more to say, but I'm a little out of time and I don't get it right.",,,,
871,All citizens have a right to be fair,,,,
872,I don't know.,,,,
873,"The law of our country is determined by the people, our country belongs to all the people",,,,
874,The people have every right,,,,
875,Everyone has a right to be fair,,,,
876,I don't know,,,,
877,The owner of the country is the people.,,,,
878,I don't know,,,,
879,I don't understand.,,,,
880,"the right to freedom, equality, etc",,,,
881,The right to work?,,,,
882,?,,,,
883,Constitution,,,,
884,rights to be guaranteed human rights,,,,
885,Sovereignty belongs to the people,,,,
886,"All citizens have the right to be respected for gender, occupation, religion, etc.",,,,
887,"Even if the Korean people have disabilities, everyone can do what they want to do",,,,
888,I don't remember,,,,
889,the rights of Hong Gil-dong,,,,
890,Humans are born with the right to human rights from birth.I don't know,,,,
891,I don't know.,,,,
892,Every citizen can have the job he wants,,,,
893,"the right to choose a career, etc",,,,
894,...................,,,,
895,human right,,,,
896,"There is human rights, the minimum rights granted to human beings",,,,
897,"They do not discriminate against disability, religion, or sex",,,,
898,the right of choice,,,,
899,the right to vote,,,,
900,the right of liberty,,,,
901,the right of liberty,,,,
902,the right to freedom and social rights,,,,
903,the right to freedom,,,,
904,The rights of the country belong to the people and everything is determined by the people.,,,,
905,"If you have the ability and the commitment to be able to do it, you can get a job",,,,
906,the right to get a job,,,,
907,the right to vote,,,,
908,"There are equal rights, social rights, etc",,,,
909,"There are equal rights, social rights, etc.",,,,
910,"There are equal rights, social rights, etc",,,,
911,"have equal rights, social rights, etc",,,,
912,I think disabled people should be given the right to do so if they have the ability to do so.,,,,
913,human right,,,,
914,"have equal rights, social rights, etc",,,,
915,Only our country can have three trials,,,,
916,equal rights,,,,
917,equal rights,,,,
918,The only thing I know is the people's right to vote,,,,
919,"There are equal rights, social rights, claims, suffrage, freedom, etc",,,,
920,"I don't know, but I know that the rights of the people, such as the Equality Act, are very important in the law.",,,,
921,"have equal rights, social rights, etc",,,,
922,equal rights,,,,
923,"have equal rights, social rights, etc",,,,
924,"There are equal rights, social rights and so on.",,,,
925,"There are equal rights, social rights, etc.",,,,
926,"There are equal rights, social rights and so on.",,,,
927,Hong Gil-dong`s failure to be treated as disabled is against the right to equality.,,,,
928,"Hong Gal-dong belongs to the claim filed by the lawsuit. ""Back""",,,,
929,human right,,,,
930,Among the rights of the people are the right to do what they want to do and the right to enjoy human rights.,,,,
931,"Equal rights, freedom, suffrage, social rights",,,,
932,"the right to freedom, equality, and social rights",,,,
933,"Equal rights, liberty, suffrage, social rights.",,,,
934,Don't know,,,,
935,Don't know,,,,
936,human right,,,,
937,:(,,,,
938,None.,,,,
939,"Human rights protected,",,,,
940,The people have the right to try something.,,,,
941,"Human rights, Constitution: Democracy",,,,
942,I have a disability,,,,
943,People with disabilities can do it.,,,,
944,the rights of persons with disabilities,,,,
945,There's a pot that lets you rest,,,,
946,Don't ignore the disabled.,,,,
947,"Because Company A does not win, it cannot enter the constitution.",,,,
948,I don't understand.,,,,
949,the right to freedom,,,,
950,......,,,,
951,"Equal rights: the right to equality before the law and not discriminate by status, gender, religion, region, etc",,,,
952,"""Equal rights: everyone is equal before the law and not discriminated against by status, gender, religion, region, etc",,,,
953,"Social rights: The right to education, the right to enjoy a healthy life, etc., has the right to demand the state to live a minimum life that human beings should enjoy.""",,,,
954,"Equal rights: Everyone has the right to equality before the law and not discriminate according to their status, gender, religion, region, etc., social rights: the right to education, the right to live a healthy life, etc.",,,,
955,"""Equal rights: everyone is equal before the law and not discriminated against by status, gender, religion, region, etc.""",,,,
956,"Social rights: You have the right to demand the state to live at least as a human being, such as the right to be raised and to enjoy a healthy life.""",,,,
957,You can get a job even if you have a disability,,,,
958,have the right to do one's work if it doesn't affect one's work,,,,
959,Everything,,,,
960,the right to choose the job one wants,,,,
961,The people have human rights,,,,
962,right,,,,
963,The right not to be discriminated against?,,,,
964,"Whoever I am and whatever I look, I have a right to be respected.'",,,,
965,basic human rights,,,,
966,All men are equal,,,,
967,All men are equal,,,,
968,human right,,,,
969,human right,,,,
970,Hong Gil-dong's right not to be discriminated against by physical conditions Hong Gil-dong's right to choose a job with physical conditions,,,,
971,I have no idea.,,,,
972,Mr. Hogil-dong is disabled because he is out of control in a traffic accident.,,,,
973,.,,,,
974,I don't know,,,,
975,I don't know,,,,
976,I don't know.,,,,
977,Respect for personality,,,,
978,I don't know.,,,,
979,the right to work,,,,
980,"My father was not feeling well, and for that reason, I wanted to work on the apartment security guard recruitment test, but I couldn't.",,,,
981,All human beings have equal rights,,,,
982,All citizens are equal.,,,,
983,I don't know,,,,
984,I don't know.,,,,
985,I don't know,,,,
986,"Freedom, human rights, natural rights, natural rights",,,,
987,equality in all,,,,
988,the right to labor,,,,
989,It is the right to seek employment.the right to equality and freedom,,,,
990,the right to work,,,,
991,labor rights,,,,
992,the right of liberty,,,,
993,the right to vote in an election,,,,
994,I don't know.,,,,
995,labor law,,,,
996,the freedom of the people,,,,
997,I don't know.,,,,
998,the Act on the Protection of Persons with Disabilities,,,,
999,"There are laws for social minorities that should be relatively considered to guarantee human rights, such as the people's right to freedom and equality.",,,,
1000,have equal rights,,,,
1001,human right,,,,
1002,"There are equal rights to enter the company through the same treatment as others without being discriminated against for having a disability, and claims that have filed a lawsuit to regain the violated basic rights when their basic rights are violated.",,,,
1003,fundamental rights,,,,
1004,All men are equal,,,,
1005,I don't know,,,,
1006,I don't know,,,,
1007,I don't know,,,,
1008,I don't know,,,,
1009,I don't know,,,,
1010,I don't know.,,,,
1011,I don't know,,,,
1012,I don't know because I didn't learn it,,,,
1013,Fraud,,,,
1014,"Although the constitution cannot immediately claim the rights of legitimate citizens, representatives of all citizens can be judged by their actions.",,,,
1015,I don't know,,,,
1016,discrimination against people with disabilities that they cannot get a job,,,,
1017,I think it's a prejudice that disabled people can't work,,,,
1018,I don't know.,,,,
1019,I don't know.,,,,
1020,I don't know,,,,
1021,I can work even if I am not feeling well.,,,,
1022,People with disabilities can't go to work,,,,
1023,I don't know,,,,
1024,I don't know.,,,,
1025,"""I don't know",,,,
1026,"""",,,,
1027,I don't know,,,,
1028,?,,,,
1029,human right,,,,
1030,basic rights,,,,
1031,I don't know,,,,
1032,the right to sue,,,,
1033,I don't like it.,,,,
1034,a law abuser,,,,
1035,"Equal rights, labor rights, and freedom",,,,
1036,the right to file a lawsuit,,,,
1037,the right of liberty the social sphere,,,,
1038,equal rights,,,,
1039,human right,,,,
1040,"the right to work, universality, freedom",,,,
1041,equal rights,,,,
1042,"the right to claim, the right to society, the right to equality",,,,
1043,basic human rights,,,,
1044,Don't know,,,,
1045,equal rights and labor rights,,,,
1046,"equal rights, social rights, claims",,,,
1047,the right to claim the right to freedom of the commonwealth of society,,,,
1048,"social rights, freedom, etc",,,,
1049,no,,,,
1050,I don't know,,,,
1051,I don't know anything. I want to pop my head a shitty education office,,,,
1052,-,,,,
1053,the right to work,,,,
1054,"the right to freedom,",,,,
1055,Well,,,,
1056,You have to pay taxes. I have to go to the army.,,,,
1057,The Republic of Korea is a democratic republic.,,,,
1058,Labor,,,,
1059,You can't give rights to bald people,,,,
1060,equality of opportunity,,,,
1061,M and D,,,,
1062,equal rights,,,,
1063,equal rights to be treated equally,,,,
1064,"equal rights, suffrage, claim, right to life",,,,
1065,Everyone is equal and has the right to do what they want (unless they hurt others),,,,
1066,"No matter how physically or mentally disabled you are, it is a violation of human rights to be rejected in the labor market for having a disability.",,,,
1067,equal rights,,,,
1068,I don't even look at the subjects that dirty liberal arts kids do.,,,,
1069,"""In order for people to live like humans, basic rights must be guaranteed. The Constitution guarantees the right of people to live happily.",,,,
1070,,,,,
1071,"The basic rights that the people should enjoy are called ""the basic rights of the people."" People's rights include equal rights, freedom, suffrage, claim, and social rights.",,,,
1072,,,,,
1073,"Equal rights refer to the right of all citizens not to be discriminated against in front of the law, regardless of social status, gender, or religion. Equal rights are a prerequisite for guaranteeing all basic rights.",,,,
1074,,,,,
1075,"The right to freedom is the right to act according to one's thoughts without being interfered with by the state within a certain range. Freedom includes freedom of the body, freedom of religion, freedom of speech, publication, and assembly, and freedom of choice.",,,,
1076,,,,,
1077,"Suffrage refers to the right of the people to participate in the management of the country. Specifically, the right to participate in the election and the right to become a public official and do national affairs are the right to participate in politics.",,,,
1078,,,,,
1079,The right to claim is the right to demand relief from the state when the rights of the people are violated.,,,,
1080,,,,,
1081,"Lastly, the social right is the right to live like a human being. Because of the social rights, the people can demand the state to live a minimum life that people should enjoy as human beings.",,,,
1082,"""",,,,
1083,"You have the right to press, publish, rally, and association.",,,,
1084,the right to freedom to make decisions at will,,,,
1085,"The law was designed to protect the country's people, and in this case, the country should protect Hong Gil-dong, who has a disability caused by a traffic accident. However, it is said that Company A cannot work for Company A as it discriminates against Hong Gil-dong, who has a disability, which violates the people's right to freedom. To prevent a person from working just because he or she has a disability is to deprive the person of his or her right to work, which is to deprive the people of their duty and right to work.",,,,
1086,Equal rights seem to be the main right. Everyone should not be treated unreasonably for physical discomfort.,,,,
1087,Don't know,,,,
1088,"the right to labor, the right to pursue happiness, the right to freedomI don't know.",,,,
1089,There isn't.,,,,
1090,People have the right to equality...?,,,,
1091,I don't understand.,,,,
1092,labor rights and human rights,,,,
1093,I don't understand.,,,,
1094,"equal rights, liberty, claim, social rights",,,,
1095,"Labour, social and free rights.",,,,
1096,the right to claim equal rights and social rights,,,,
1097,"the right to equality, freedom, and survival",,,,
1098,"All people are human, so they have human rights. You have a right not to be discriminated against.",,,,
1099,the right to work,,,,
1100,the right to equality that gives a fair start to a democratic country,,,,
1101,the right of liberty,,,,
1102,"equal rights, freedom, social rights",,,,
1103,human rights and social rights,,,,
1104,"Freedom, labor, anti-discrimination laws, equal rights, social rights",,,,
1105,"Human beings are the most basic, so any country should guarantee basic rights.  Businesses and governments should support and educate the people so that they can work properly and earn income and live.  [Free military, equal rights, social rights, suffrage]",,,,
1106,"Under the Labor Protection Act, workers should be employed in various and equal ways to support economic stability, regardless of disability or background, under which various demands and complaints of workers should be cooperated as best they can [How to fulfill corporate obligations]",,,,
1107,The people should be guaranteed freedom of choice,,,,
1108,equal rights,,,,
1109,equal rights,,,,
1110,"Social rights, freedom?",,,,
1111,human right,,,,
1112,equal rights,,,,
1113,Right to participate in society,,,,
1114,the right of liberty,,,,
1115,equal rights,,,,
1116,the right to work,,,,
1117,the right of liberty,,,,
1118,equal rights,,,,
1119,equal rights,,,,
1120,equal rights,,,,
1121,freedom of choice of occupation,,,,
1122,equal rights,,,,
1123,I don't know.,,,,
1124,Because the rights of the people can never be violated by anyone else,,,,
1125,.I don't know.,,,,
1126,the right not to be discriminated against,,,,
1127,The right of the people in the example of Hong Gil-dong is the right to claim. Hong Gil-dong was denied employment because he was disabled because his rights to equality were violated by companies. Hong Gil-dong exercised his right to claim a trial among the claims and filed a lawsuit against the company and won the case.,,,,
1128,"equal rights, freedom, social rights",,,,
1129,"social rights, claims, etc",,,,
1130,the right to work,,,,
1131,"""Right to freedom, right to society (right to work), right to equality (e.g. prohibition of discrimination against persons with disabilities!)",,,,
1132,"Rights of National Sovereignty""",,,,
1133,"It can be seen that the refusal to join the company just because it was a disability constitutes a violation of the right to equality, the right to claim a lawsuit against the disposition of company A, and the right to seek happiness to apply for a job.",,,,
1134,Article 15 of the Constitution All citizens have the freedom to choose their jobs.,,,,
1135,"There is a right to freedom, a right for the people to act freely, and a right to claim, a right for the people to say something to the state.",,,,
1136,"H, I'm heartbroken because I think of the midterm exam when I think of the constitution, but I'll try to come up with my knowledge as much as possible Among the rights of the people presented by the Constitution, the rights of the people related to Hong Gil-dong's example are probably the right to freedom, which is the right to freely work. Also, I don't know if this is related to the Constitution, but the mobility of the disabled to live freely also seems to be related to the example of Hong Gil-dong.",,,,
1137,"There is a right of equality in the rights of the people. In other words, it is a right not to be treated and discriminated against for reasons of different skin colors, different languages, different cultures, or discomfort in a situation. In addition, they have the right to file a lawsuit when they are discriminated against. You have the right to demand for your right to the wrong situation.",,,,
1138,"There is the right to equality, which is the right not to be discriminated against according to status, gender, religion, region, etc., and the right to claim, which is the right of the people to tell the state to do something. Claims can be made to the National Assembly or the administrative agency, and in the event of an unfair case, they can receive a fair trial.",,,,
1139,"Hong Gil-dong said, ""Even if my hands are uncomfortable, I can't handle the company's business. However, at this time, Hong Gil-dong was judged equally and deprived of his right to work for no other reason than disability.",,,,
1140,"You should not be discriminated against by your physical discomfort, and you have the right not to be discriminated against by your disability in the workplace you want.",,,,
1141,the right to work,,,,
1142,"Hong Gil-dong has the freedom to choose the job he wants to do. Hong Gil-dong is a social minority, so basic living should be guaranteed",,,,
1143,"There are social rights, claims.",,,,
1144,"There is the right to work, the right to claim, the right to equality, etc",,,,
1145,"social rights, claims, equal rights",,,,
1146,"Social minorities guarantee the right not to be discriminated against. As such, the Constitution prepares and guarantees various laws to prevent infringement of the rights of the people of the home country, and also guarantees subsequent measures if violated. In the case of Hong Gil-dong in this article, he was treated unfairly in employment because he was disabled. It is necessary to strengthen the constitution of Korea so that the rights of the people can be better guaranteed, creating a society where everyone can live happily and well. In order to realize welfare, various systems are important, but I think it is also important to guarantee the constitution, which can be said to contain the ideology of the country.",,,,
1147,"the right to freedom, the right to work, the right to claim, the right to equality",,,,
1148,There is a right to freedom to live freely and an equal right to live without discrimination in religion and race.,,,,
1149,the right of claim,,,,
1150,There is a right to social security in the social sphere. Hong Gil-dong formed the right to claim by claiming to the society for his unreasonable disposition. Equal rights were violated just because they had an equal rights disorder.,,,,
1151,h,,,,
1152,It doesn't matter as long as I don't get hurt,,,,
1153,I don't know,,,,
1154,freedom of choice of occupation,,,,
1155,freedom of choice of occupation,,,,
1156,freedom of choice of occupation,,,,
1157,freedom of choice of occupation,,,,
1158,freedom of choice of occupation,,,,
1159,I don't know,,,,
1160,the duty of paying taxes,,,,
1161,the duty of workers to pay taxes,,,,
1162,the duty of paying taxes,,,,
1163,the right to refute,,,,
1164,freedom of choice of occupation,,,,
1165,freedom to choose one's job,,,,
1166,equal rights,,,,
1167,equal rights,,,,
1168,I don't know,,,,
1169,I don't know.,,,,
1170,"the right to equality, liberty, and the pursuit of happiness",,,,
1171,"Everyone is equal before the law and the right not to be discriminated against by status, gender, religion, region, region, etc",,,,
1172,equal rights,,,,
1173,"Everyone is equal before the law and the right not to be discriminated against by status, gender, religion, region, etc",,,,
1174,"Among the basic rights of the people guaranteed by the Constitution, it can be considered that the right to be treated equally without discrimination, the right to pursue happiness, etc., was violated, and one's rights were guaranteed through the right to claim.",,,,
1175,human right,,,,
1176,a ramp instead of stairs,,,,
1177,Make an elevator that can be taken on the subway for people with disabilities in their legs.,,,,
1178,"Since there are human rights of the disabled, jobs for the disabled should also be guaranteed",,,,
1179,It's good,,,,
1180,.,,,,
1181,"Freedom of choice,",,,,
1182,I don't know,,,,
1183,the right to a desired job,,,,
1184,People have the right to be guaranteed human rights.,,,,
1185,The people are free to live,,,,
1186,I don't know,,,,
1187,"the right to claimClaim for equal rights,",,,,
1188,I don't know.,,,,
1189,.,,,,
1190,I'm not that learn this ...,,,,
1191,The disabled people can do anything.,,,,
1192,"Right to choose a career, right to be no discrimination.",,,,
1193,The disabled people will get the job in a typical company.,,,,
1194,Right to choose a job.,,,,
1195,The disabled people can have a job.,,,,
1196,May be on trial for (3) several times and demand can do.,,,,
1197,"Liberty, equality, social right.",,,,
1198,"A career free religious freedom, etc.",,,,
1199,"Career choice.Equal rights, etc.",,,,
1200,Evaluation Only. Created with Aspose.Cells for Python via Java.Copyright 2003 - 2022 Aspose Pty Ltd.,,,,
