,"4. Oxygen, which accounts for about 21% of the air, is colorless, invisible and odorless. But when oxygen is gone, there will be various phenomena on Earth. What happens when oxygen is gone? Let's explain in detail using knowledge of oxygen properties and use. ",q4_combustion,q4_green,q4_life,q4_global environment
505,You can't see the sky blue. Neither plants nor animals can live.,,,,
506,"When oxygen is lost, people, living things, or plants die.",,,,
507,All living things die because they can't breathe.,,,,
508,"When oxygen is gone, all living things will be gone and no fire will be lit",,,,
509,"Without oxygen, living things cannot create cell and living energy, and then humans cannot live and do not catch fire.",,,,
510,"When oxygen is gone, people cannot breathe and the combustion process is impossible, so there is no fire",,,,
511,"When oxygen is gone, you can't breathe.",,,,
512,I can't breathe when oxygen is gone,,,,
513,"If oxygen is gone, the earth will perish. This is because animals or living things cannot live without oxygen when they breathe with oxygen, so they cannot live without oxygen.",,,,
514,I don't know.,,,,
515,"All mankind and plants and animals will disappear, and the earth will be devastated over time.",,,,
516,"Plants and animals will disappear, use machines that supply oxygen that people use in space, and will not catch fire.",,,,
517,M and D,,,,
518,None.,,,,
519,I'm going to die,,,,
520,I don't know.,,,,
521,I can't breathe.,,,,
522,"Without oxygen, I can't breathe. I die",,,,
523,Die.,,,,
524,"When oxygen is gone, it dies.",,,,
525,All living things die,,,,
526,Life can't breathe.,,,,
527,"Oxygen helps animals breathe, so all animals die.",,,,
528,Die.,,,,
529,"When oxygen disappears, the earth dies.",,,,
530,"People can't breathe. Animals and plants can't breathe, they can't live",,,,
531,I'm not sure,,,,
532,"""When oxygen is gone, people exposed to sunlight get burned.",,,,
533,"All untreated metals adhere to each other.""",,,,
534,Everyone dies.,,,,
535,Yeah,,,,
536,All humans die within three minutes of burning directly from the sun.,,,,
537,The insect grows bigger.,,,,
538,You can't make energy. Animals and plants die,,,,
539,"When oxygen is gone, all living things will die, plants will dry up, and a lot of water in the ocean will also evaporate",,,,
540,"Life becomes unable to breathe, and iron does not corrode. In addition, a combustion reaction cannot occur and the fruit does not brown.",,,,
541,"Because oxygen blocks harmful ultraviolet rays, living things will suffer serious burns.",,,,
542,"An animal needs oxygen to breathe. Therefore, if oxygen is lost, animals will not be able to live.",,,,
543,"When oxygen is gone, the animals that breathe using oxygen will be wiped out and the lights won't turn on.",,,,
544,I don't know,,,,
545,All living things die,,,,
546,"When the oxygen is gone. Once there are no trees or plants that produce oxygen, then herbivores that eat those grasses will die, carnivores that eat those herbivores will die, and we humans that eat those carnivores will die. Grains, of course, fail because they cannot grow. It's very well.",,,,
547,I can't breathe.,,,,
548,a creature can't breathe,,,,
549,You can't breathe if you lose oxygen.,,,,
550,Oxygen-breathing creatures begin to die,,,,
551,I don't know.,,,,
552,"Oxygen disappears, but the animals cannot hobble and will all die.",,,,
553,"When oxygen is gone, people die because they cannot breathe.",,,,
554,"Without oxygen, plants and animals cannot live",,,,
555,Animals adapted to oxygen will die,,,,
556,Once all living things cannot continue their life activities and the earth is destroyed,,,,
557,"When oxygen is gone, humans cannot live",,,,
558,be uninhabitable to living things,,,,
559,"Without oxygen, people cannot live and all living things become difficult to live.",,,,
560,Nam Hyun-soo,,,,
561,I don't know,,,,
562,The building collapses,,,,
563,I like oxygen,,,,
564,M and D,,,,
565,the d-hope,,,,
566,You're all going to die,,,,
567,"Humans cannot breathe, animals and other creatures die, and there will be nothing left on Earth.",,,,
568,Earth's creatures perish.,,,,
569,1,,,,
570,"Oxygen is essential to the breathing of living things, so if oxygen is lost, all living things on Earth will be lost.",,,,
571,1,,,,
572,I'm a liberal arts major,,,,
573,West 566??573.0,,,,
574,Unknowingness,,,,
575,People die and plants die,,,,
576,Life is dying,,,,
577,"When oxygen is gone, all life will die.",,,,
578,People burn to death,,,,
579,Unknowingness,,,,
580,Oxygen will all die if it is lost by the use of many lives when breathing.,,,,
581,The creatures die,,,,
582,"""1. Most life on Earth will die.",,,,
583,"2. Water is made up of hydrogen and oxygen, so water will disappear and hydrogen will spread to the atmosphere.",,,,
584,"3. The air pressure will be lowered.""",,,,
585,Life will die and the heat the Earth absorbs will decrease and become colder.,,,,
586,"""Oxygen-induced redox reaction does not occur.",,,,
587,Life will gradually disappear from Earth because they cannot breathe.,,,,
588,"The type and number of minerals will decrease dramatically.""",,,,
589,"Oxygen is a necessary element for living things.So if oxygen disappears, life will disappear one by one, and eventually the Earth will become a planet without life.",,,,
590,Unknowingness,,,,
591,"People, animals, plants die because they can't breathe",,,,
592,"When oxygen is gone, it can become a world where animals and people cannot live",,,,
593,The creatures will die and the earth will be destroyed.,,,,
594,"When oxygen is lost, cement buildings will be separated and fine dust will increase, and life will be threatened and even animals will die because humans also need oxygen. That way, the Earth will become a nitrogenous mass planet and the plants will die.",,,,
595,Unknowingness,,,,
596,fine dust,,,,
597,"Without oxygen, half of humanity disappears",,,,
598,All living things die,,,,
599,People die,,,,
600,to be able to breathe,,,,
601,People can't breathe and people outdoors will suffer severe burns.,,,,
602,Die.,,,,
603,The creatures die from being unable to breathe,,,,
604,I don't know,,,,
605,All the plants and animals die and the earth becomes dry,,,,
606,"Without oxygen, animals and people cannot breathe",,,,
607,No animal or plant people will live.,,,,
608,"When oxygen is gone, most of it will be filled with carbon monoxide, and living creatures will die soon and plants and land will dry up.",,,,
609,"Oxygen is needed and used in many ways, so if it is lost, nature and humanity could be lost and destroyed.",,,,
610,"If oxygen is lost, people will die because they cannot survive, and fish and animals will also die.",,,,
611,"When oxygen is gone, plants, animals, and people die",,,,
612,I'm turning it off,,,,
613,"""I can't breathe and die.""",,,,
614,"""",,,,
615,"When oxygen is gone, people die",,,,
616,I die because I can't breathe,,,,
617,We're going to die,,,,
618,"Without oxygen, people can't breathe, things can't stay in shape",,,,
619,Chemicals made by combining oxygen will disappear,,,,
620,My throat hurts because I breathe when oxygen is gone. And my eyes hurt too hehe,,,,
621,"Trees will die out, and so will mankind",,,,
622,without oxygen knowing,,,,
623,People and animals will not be able to live in organisms that breathe using oxygen.,,,,
624,They're all going to die,,,,
625,All living things die,,,,
626,"When oxygen is gone, water is not produced, so living things cannot live",,,,
627,People and animals can't breathe and search,,,,
628,The living things don't live,,,,
629,Life becomes uninhabitable and the sea evaporates and disappears,,,,
630,"It won't catch fire And without oxygen, many lives die",,,,
631,"Without oxygen, the world changes completely in five seconds. For example, living things will become 90 percent extinct.",,,,
632,"Without oxygen, only properties such as nitrogen and carbon dioxide will remain in the air.This makes it difficult to breathe.You won't be able to make a fire.",,,,
633,"Animals and plants will be unable to breathe and various facilities will be paralyzed, and oxygen-bound chemicals will disappear.",,,,
634,"When oxygen is gone, we basically can't survive",,,,
635,"When oxygen is lost, almost all living things, including humans, die and all ecosystems are destroyed",,,,
636,The creatures cannot breathe and will die out,,,,
637,a person's death,,,,
638,Life goes extinct,,,,
639,"When oxygen is gone, we can't breathe and the plants rot",,,,
640,People in the world can't breathe,,,,
641,Life goes extinct,,,,
642,The creature becomes unable to breathe.,,,,
643,All living things die because they cannot make energy without oxygen.,,,,
644,All living things are important because they cannot make energy without oxygen.,,,,
645,All living things are important because they cannot make energy without oxygen,,,,
646,"Oxygen is necessary for living things to breathe, so without oxygen, there would be no living things.",,,,
647,"It's necessary for living things to breathe, and if it's poor, living things",,,,
648,"Oxygen is necessary for living things to breathe, so without oxygen, living things will not be able to survive.",,,,
649,Sanso burns well and the fire goes out if the air supply is stopped,,,,
650,the loss of life,,,,
651,Life is unable to breathe and cannot survive,,,,
652,People die.,,,,
653,I can't breathe,,,,
654,We're going to die.,,,,
655,"Choking, using fire, etc",,,,
656,the annihilation of the earth,,,,
657,I don't know.,,,,
658,"Because the air pressure is lowered and water contains oxygen, all water is lost. Therefore, only hydrogen remains, which causes an explosion.",,,,
659,Animals and plants cannot live on the ground.,,,,
660,"Life will not be able to breathe, and air pressure will be lowered, leading to alpine disease. In addition, all components such as water containing oxygen will disappear.",,,,
661,"If O is lost, all molecules, including O, will have problems and the world will be lonely.",,,,
662,"Glucose cannot be produced, organic matter will not be allowed to pass away, life will gradually become extinct, and there will be no combustion reaction, so there will be no fire.",,,,
663,"When oxygen is lost, photosynthesis of the plant does not occur, and the plant disappears. When plants disappear, herbivores disappear, which shakes the carnivorous system. In other words, animals disappear due to plants, and previously humans die due to lack of oxygen. In other words, life on Earth disappears.",,,,
664,"When oxygen is gone, living things that breathe with oxygen die.And it doesn't catch fire in the usual way.",,,,
665,"As the greenhouse effect decreases, it gets cold",,,,
666,There won't be anyone holding a memorial service.,,,,
667,I don't know,,,,
668,Life will be impossible for living organisms that need oxygen.,,,,
669,"When oxygen is gone, oxygen-consuming creatures will die, and oxygen-induced oxidation will not occur. Also, the oxygen in the water disappears, so it's hard for microbes to survive",,,,
670,Life is gone. ?ã,,,,
671,"If oxygen is lost, life cannot breathe.",,,,
672,"Without oxygen, living things cannot breathe cells and eventually die.",,,,
673,Don't know,,,,
674,I don't know.,,,,
675,"All living things breathe, so they die without oxygen.",,,,
676,"When oxygen is lost, there is no ozone layer, which makes many living things dangerous.",,,,
677,All life on earth will disappear.,,,,
678,"If the oxygen disappears, everyone will die.",,,,
679,"As gas exchange does not occur in the human alveoli, chemical phosphorylation with the human TCA circuit does not occur, so ATP cannot be produced and humans will die. Likewise, organisms that need oxygen, such as animals, plants, and some aerobic microorganisms, die because their metabolism does not occur.",,,,
680,"Since most of the Earth's living things use oxygen to decompose organic matter, if oxygen is lost, it cannot produce energy, killing most living things except anaerobic bacteria.",,,,
681,Humans all die.,,,,
682,Animals and plants die,,,,
683,"Oxygen lets us breathe Therefore, without oxygen, I cannot breathe and die",,,,
684,"Plants die, people die",,,,
685,All the people die,,,,
686,"""If oxygen disappears, people, of course, animals.Even the plants die because they can't breathe.",,,,
687,"And there's no oxygen, so there's no fire.""",,,,
688,"The oxygen is gone, the animals cannot breathe, and all animals die",,,,
689,"All living things cannot breathe, destroying the ecosystem",,,,
690,"""Oxygen properties: allowing humans to breathe,",,,,
691,"If oxygen is lost, trees, people, flowers, and animals all die.""",,,,
692,"Oxygen can breathe, so plants and animals cannot live without oxygen",,,,
693,"When oxygen is gone, we cannot breathe and die, and environmental pollution becomes more serious, making it difficult for living organisms and plants to live.",,,,
694,a person's death,,,,
695,"The air that a person needs to breathe is oxygen. If oxygen is gone, people will die and the earth will die",,,,
696,The animals die,,,,
697,"When oxygen disappears, the air is compressed and the eardrum bursts.",,,,
698,"When oxygen is gone, it is not acidified.",,,,
699,"When oxygen disappears, we cannot live.",,,,
700,People are dying,,,,
701,People die because they can't breathe and everything that moves or works by oxygen will disappear,,,,
702,They die because they can't breathe because they don't have oxygen,,,,
703,"""People can't breathe, they can't turn on the lights, and there's a lot of damage on the planet",,,,
704,"Global destruction happens.""",,,,
705,"Without oxygen, people could die because they couldn't breathe, and living things would die because they couldn't photosynthesize",,,,
706,"If oxygen disappears because it allows us to breathe, not only humans, but all living things on Earth die because they can't breathe",,,,
707,"When oxygen is gone, the earth itself becomes vacuum, so concrete buildings collapse, darken in broad daylight, and animals' eardrums explode in all the worlds",,,,
708,"When oxygen is gone, living things that breathe with oxygen die.And it doesn't catch fire in the usual way.",,,,
709,Humans and animals can't breathe,,,,
710,"When oxygen is lost, organisms breathing with oxygen cannot breathe and cannot live.",,,,
711,"We're going to die. Unless it is oxygen-free bacteria, all living things on Earth die. The fire also disappears.",,,,
712,Life doesn't live.,,,,
713,"When oxygen is gone, life cannot breathe, and all life on Earth will disappear.",,,,
714,"Oxygen is a substance that allows plants and animals to live through breathing, and if it disappears, plants will die out, and animals will die out, so the balance of the ecological pyramid will eventually be broken and animals will die out.",,,,
715,"Oxygen is an essential part of life's breathing, so living things will not be able to survive.",,,,
716,"All plants and animals that use oxygen to breathe will die. Also, there will be no oxidation and the bodies of animals and plants will not decay.",,,,
717,"If oxygen is gone, it will not catch fire. Also, when oxygen is lost, life becomes uninhabitable.",,,,
718,It's all going to die.,,,,
719,There will be no life on Earth because all living things will not be able to breathe. It will also be very dark because there will be no combustion.,,,,
720,"Oxygen is essential for the metabolism of living things. Therefore, in the absence of oxygen, living things die. In addition, oxygen is an essential element in which fire is formed, so fire does not occur.",,,,
721,"The loss of oxygen will cause the extinction of animals on Earth that generate energy through oxygen, and plants that cannot breathe will also become extinct. In addition, the disappearance of oxygen oxidation would have greatly affected the formation of human civilization.",,,,
722,"The loss of oxygen will kill all animals that use oxygen to breathe. Also, there will be no more chemical reactions that require oxygen, such as combustion and oxidation.",,,,
723,"Basically, oxygen is necessary for the breathing of other living things, including humans, so if oxygen disappears, living things can go extinct, and if oxygen disappears, 30% of the atmosphere disappears, so harmful substances from the outside world that the atmosphere can affect the biosphere.",,,,
724,"Oxygen is the first element of the earth's crust. Without oxygen, the crust collapses. Also, all life on Earth is wiped out within minutes because life cannot breathe. And one of the three elements of combustion, oxygen, is gone, so there are no more fires on Earth. Oxygen, which accounts for about 21% of the atmosphere, disappears and air pressure is lowered. Water on Earth is made up of oxygen and hydrogen. When oxygen disappears, all water, including the sea, turns into hydrogen, and then the Earth becomes a dry planet without water. Without water, the daily temperature difference will be extreme because the Earth receives solar radiation energy quickly and then releases Earth radiation energy quickly. Many other problems arise from the absence of water.",,,,
725,"Oxygen plays an important role in entering the human body and exchanging substances. Therefore, without oxygen, the release of carbon dioxide from the body will also be difficult. In other words, breathing becomes difficult. Therefore, it becomes difficult for various animals except humans to live, and plants also become difficult to live.",,,,
726,"Oxygen is indispensable to the respiration of all animals and plants, including humans. If this oxygen is lost, all plants and animals will die from breathing.",,,,
727,"""1. All animals, including breathing humans, are exterminated.",,,,
728,2. The atmospheric pressure is lowered.,,,,
729,3. The plants slowly exhale oxygen again.,,,,
730,"4. At least the surviving animals thrive again.""",,,,
731,"Once oxygen is gone, people are uncomfortable breathing. In addition, oxygen has the property of bonding well with metals, and when oxygen disappears, phenomena such as melting metals will disappear.",,,,
732,?,,,,
733,Well.,,,,
734,People die,,,,
735,a person's death,,,,
736,"of living things, to be unable to live",,,,
737,People die,,,,
738,"When oxygen is gone, all living things die",,,,
739,The creatures die because they can't breathe,,,,
740,The creatures can't breathe,,,,
741,yes,,,,
742,I'm going to die,,,,
743,"It becomes impossible for living things to breathe, making them extinct and unable to burn.",,,,
744,The ecosystem is destroyed.,,,,
745,I can't breathe,,,,
746,.,,,,
747,Die.,,,,
748,All living things that use oxygen will disappear.,,,,
749,All living things die of suffocation because they cannot breathe.,,,,
750,The ozone layer will disappear and life will be destroyed by direct sunlight.,,,,
751,A new environment is likely to unfold.,,,,
752,"The composition of water is oxygen. The mule disappears. Furthermore, without water, carbon dioxide, which entered the sea during the Earth's formation, would have caused a greenhouse effect in the atmosphere, raising the temperature.",,,,
753,You're going to die.,,,,
754,"Except for anaerobic organisms, they cannot survive.",,,,
755,I can't breathe.,,,,
756,Life goes extinct.,,,,
757,"As soon as oxygen disappears, the building collapses. The oxygen layer inside the building holds the building, but when oxygen is gone, there is nothing to support it, so the building collapses and the eardrum bursts.",,,,
758,the fall of mankind,,,,
759,Animals that breathe using oxygen become extinct.,,,,
760,The organs of the body go too far.,,,,
761,"When oxygen is gone, the ozone layer disappears and everything on Earth melts",,,,
762,M and D,,,,
763,"Yes, yes, yes",,,,
764,Mall,,,,
765,I don't understand.,,,,
766,I don't understand.,,,,
767,I don't know.,,,,
768,Unknowingness,,,,
769,M and D,,,,
770,I don't understand.,,,,
771,I don't understand.,,,,
772,I don't understand.,,,,
773,animal extinction,,,,
774,M and D,,,,
775,I don't know.,,,,
776,I don't know,,,,
777,I don't understand.,,,,
778,M and D,,,,
779,M and D,,,,
780,Unknowingness,,,,
781,I don't know.,,,,
782,.,,,,
783,I don't understand.,,,,
784,extinction of life,,,,
785,M and D,,,,
786,I don't know.,,,,
787,.,,,,
788,I don't know,,,,
789,"When oxygen is gone, plants don't grow fast and we humans and animals die out",,,,
790,"If there is only 21 percent of oxygen, the weather phenomenon will disappear, and if exposed to oxygen at high concentrations, life will be threatened",,,,
791,"With only 21 per cent of oxygen, the weather phenomenon will disappear, and if exposed to oxygen concentrations, life will be at risk",,,,
792,"With only 21 per cent of oxygen, the weather phenomenon will disappear. Exposure to oxygen at high concentrations puts life in danger.",,,,
793,"Everyone outdoors burns, the sky is dark even in broad daylight, all untreated metals are instantly welded, earth's crust is broken, concrete is broken, cells are gone, only one hydrogen is left, sea evaporation",,,,
794,"""When oxygen disappears, all life on Earth",,,,
795,"It's going to disappear, and there's no man in charge of the building",,,,
796,"[Destruction] will come """,,,,
797,?´á?©á¾?¹ã¹?á?¥ãÂ·?ã³,,,,
798,People are likely to wear oxygen respirators.,,,,
799,You lose your breath.,,,,
800,Life goes extinct.,,,,
801,"When oxygen is gone, concrete buildings collapse and humans cannot breathe, so they all die and water is gone.",,,,
802,You get burned as soon as you are exposed to sunlight. This is because oxygen protects against ultraviolet rays.,,,,
803,People in the sun are likely to burn up,,,,
804,You get burned as soon as you are exposed to sunlight. Because oxygen has the property of blocking ultraviolet rays,,,,
805,"When oxygen disappears, the earth is destroyed because neither humans nor animals can breathe",,,,
806,I can't breathe The air pressure disappears,,,,
807,"When oxygen is gone, it burns because it receives the light from the sun, and humans can't breathe",,,,
808,"There is no energy available, and life forms are powerless.",,,,
809,I can't breathe,,,,
810,All the creatures in my body are powerless,,,,
811,"Without oxygen, most animals and people would die.",,,,
812,"With only 21 per cent of oxygen, the weather phenomenon will disappear.",,,,
813,I can't breathe because of lack of oxygen.,,,,
814,I can't breathe because of lack of oxygen.,,,,
815,Life becomes uninhabitable.,,,,
816,You're going to die,,,,
817,I can't breathe,,,,
818,It doesn't weld and it doesn't breathe,,,,
819,be uninhabitable,,,,
820,"Lower air pressure, no fire, changed breathing (new life)",,,,
821,Explosive ship,,,,
822,"When oxygen is gone, all living things die",,,,
823,"Half of the creatures die, the clouds disappear, and the earth gets hot",,,,
824,death from being unable to breathe,,,,
825,"First, humans die, creatures don't live",,,,
826,Air is a gas,,,,
827,People can't breathe,,,,
828,"Without oxygen, we breathe. Without oxygen, we can't breathe",,,,
829,People and animals do not live.,,,,
830,I can't breathe.,,,,
831,"When oxygen disappears, it will be hard to breathe and will not catch fire.",,,,
832,"Without oxygen, it becomes a vacuum and all people and animals die because they cannot breathe.",,,,
833,"When oxygen disappears, atmospheric pressure decreases and weight decreases. The disappearance of oxygen suggests the death of aerobic organisms.",,,,
834,Trees eat carbon dioxide and take in oxygen,,,,
835,"When the Earth is in a vacuum, there is no oxygen to breathe in, so no living thing can live in",,,,
836,"When oxygen disappears, people disappear",,,,
837,"Without oxygen, almost all living things would disappear.",,,,
838,"If oxygen is gone, you won't be able to breathe and the creatures will die.",,,,
839,"No fire, no man alive",,,,
840,People will not live and other creatures will not live well.,,,,
841,"Without oxygen, all life on Earth dies.",,,,
842,"Consumers can't buy, people can't buy",,,,
843,You can't breathe without oxygen.,,,,
844,the destruction of the earth,,,,
845,"A creature needs water and oxygen to live, but if it loses oxygen, it dies",,,,
846,"Without oxygen, various creatures on Earth will die.",,,,
847,"Because most life requires oxygen in the process of metabolizing matter, almost all life would be extinct without oxygen.",,,,
848,The metabolism of life cannot happen.,,,,
849,Only anaerobic bacteria will survive.,,,,
850,Mitochondria degenerate. I can't live without it.,,,,
851,People die.,,,,
852,It will be difficult to survive.,,,,
853,"Without oxygen, organisms cannot breathe and various chemical reactions do not occur.",,,,
854,Almost all living things will go extinct.,,,,
855,People die.,,,,
856,There will be creatures that do not use oxygen,,,,
857,"Life Death, Anaerobic Bacteria Outbreak",,,,
858,The combustion cannot happen.,,,,
859,be hard to live in,,,,
860,inability to breathe,,,,
861,"Wow, tell me the answer",,,,
862,"If there's no oxygen, I'll die",,,,
863,Oxygen-using creatures die from lack of oxygen,,,,
864,"When oxygen is gone, people can't breathe and die",,,,
865,Once all the plants will die.,,,,
866,"When the oxygen that occupies the top part of the crust disappears, the crust collapses.",,,,
867,"If oxygen is lost, most of the life on Earth will be lost.",,,,
868,"All living creatures, such as people, animals, and plants, will die.",,,,
869,Collapse,,,,
870,Oxygen is the source of life,,,,
871,the annihilation of the earth,,,,
872,"If oxygen is gone, all living things on Earth will die and not start a fire",,,,
873,Breathe in oxygen,,,,
874,People die,,,,
875,You die. It's natural.,,,,
876,I can't breathe,,,,
877,Almost all living things die.,,,,
878,People disappear from the world because they can't breathe.,,,,
879,I don't know,,,,
880,It becomes difficult for humans to live.,,,,
881,"Without oxygen, you die",,,,
882,I don't think we'll be able to breathe if oxygen is gone,,,,
883,Many creatures die.,,,,
884,Earth's atmospheric temperature rises dramatically due to the death of humans and the disappearance of the five layers,,,,
885,Man dies.,,,,
886,"Without oxygen, only carbon dioxide will gather, so global warming will worsen",,,,
887,The reason why humans die is that humans need oxygen to live.,,,,
888,The ecosystem is destroyed.,,,,
889,The creatures will die out because they cannot breathe.,,,,
890,Oxygen will reduce the probability of spreading the fire.,,,,
891,Humans and plants go extinct in no time,,,,
892,I DONT KNOW,,,,
893,The animal will be unable to breathe and the fire will not be available. Water will not even exist.,,,,
894,.,,,,
895,People die,,,,
896,The creatures that live on Earth will become extinct.,,,,
897,Die.,,,,
898,There is no man alive.,,,,
899,the death of living things,,,,
900,Well.,,,,
901,I can't breathe,,,,
902,Oxygen lets you breathe.,,,,
903,All animals are dead,,,,
904,"When oxygen is lost, oxygen-breathing organisms disappear, and the amount of carbon dioxide released by oxygen-breathing organisms is reduced, and photosynthetic organisms are mostly Earth's producers, so many consumers in the ecosystem can be affected and extinct",,,,
905,d,,,,
906,"When oxygen disappears, the earth's soil disappears",,,,
907,All living things that breathe die,,,,
908,"Many animals and aerobic bacteria, including humans, will become extinct.",,,,
909,I can't breathe. It won't light up.,,,,
910,Animals and plants die and humans die,,,,
911,The ozone layer is destroyed.,,,,
912,Good!,,,,
913,Many creatures will die out because they cannot breathe.,,,,
914,Most life forms that breathe oxygen become unable to survive.,,,,
915,A lot of life won't live.,,,,
916,"When oxygen disappears, life on Earth is no longer able to breathe, so most of it goes extinct.",,,,
917,"If oxygen is gone, we cannot breathe. And when oxygen disappears, metals won't oxidize.",,,,
918,"Most living things breathe through oxygen, so if oxygen disappears, most living things will go extinct.",,,,
919,"The loss of oxygen will kill most of the life on Earth today. Also, there will be no oxidation reaction, so metals will exist as pure metals, not oxides. Also, even if the temperature rises, there will be no fire.",,,,
920,Only anaerobic respirators survive,,,,
921,A creature dies because it cannot breathe.,,,,
922,"All living things will not be able to breathe, and the metal will not be oxidized and will exist as pure metal. There will also be no combustion reaction",,,,
923,"When oxygen is alive, all living things on Earth, including humans, become difficult to live. In addition, oxygen is required for combustion, but if oxygen is lost, combustion may not be possible.",,,,
924,"Since life cannot live without oxygen, devices that discover and separate compounds containing oxygen for breathing will be distributed in everyday life.",,,,
925,"Oxygen is an essential element of animal respiration, so without it, aerobic metabolism is impossible. In addition, if there is no oxygen, you cannot light a fire, and ozone is not formed, so ultraviolet rays will be directly exposed to the surface of the earth.",,,,
926,A creature dies from being unable to breathe.,,,,
927,A creature dies from being unable to breathe.,,,,
928,There is no combustion. Oxygen-breathing creatures such as animals and humans cannot breathe.,,,,
929,"Oxygen will kill life-sustaining creatures. And it didn't burn or oxidize. If oxygen is lost, ozone will not be made well, and ultraviolet rays will be over-transmitted to the Earth.",,,,
930,"When oxygen is gone, all breathable creatures will die.",,,,
931,"Oxygen is highly involved in the respiration of living things, so if oxygen is lost, living things will not survive.",,,,
932,"Oxygen affects a lot because it is the second most common substance on Earth after nitrogen. Since it is a substance used to breathe living things, if oxygen is lost, it will be a difficult environment for living things.",,,,
933,I don't know,,,,
934,"Oxygen is an indispensable gas for life to breathe, so if oxygen is lost on Earth, all life will die.",,,,
935,"Oxygen is mostly used in the respiration of living things. If all the oxygen in the atmosphere is lost, all the organisms that used it to breathe will die out.",,,,
936,Oxygen-breathing creatures die on Earth,,,,
937,"Most of the life on Earth is aerobic, so without oxygen, you can't breathe, so you'll be extinct. And plants that make nutrients out of the carbon dioxide that life exhales are also affected. And the ozone layer, which is made up of three oxygen atoms, disappears and the Earth can no longer be protected from ultraviolet rays.",,,,
938,"If oxygen is lost, the metabolism and metabolism of life will be interrupted, and life will no longer be able to live.",,,,
939,"Cellular dyspnea. No energy, no ozone layer I listen to a lot of things like ultraviolet radiation It's dangerous",,,,
940,"Once the oxygen disappears, I'll die. There's no oxidizing material. It doesn't rust. All living things that breathe with oxygen will die",,,,
941,The biggest problem is that living things cannot live. Most animals and plants need coral in the process of breathing. That's why life becomes uninhabitable.,,,,
942,"When oxygen disappears, ozone is not formed first. Therefore, only marine life will survive due to the extinction of terrestrial life. There will also be no combustion, so you won't be able to use the fire.",,,,
943,"Our crustal mantle is mostly made up of silicon dioxide, but when oxygen is gone, the Earth will be very small. And all the water on Earth will evaporate into hydrogen, and most, or almost all, of human body life will disappear. And of course, ozone will disappear, and the Earth will only have a core that contains most of course.",,,,
944,"If oxygen is lost, all living things that breathe using oxygen will die.",,,,
945,It is easier to light a fire using oxygen.,,,,
946,"When oxygen is lost, fire cannot be used, and the most basic breathing becomes impossible. Trees cannot purify the air.",,,,
947,"""Breathing life, survival x""",,,,
948,"Destroy the ozone layer, prevent UV rays, and destroy life",,,,
949,"""",,,,
950,The survival of oxygenated animals becomes dangerous.,,,,
951,Evaluation Only. Created with Aspose.Cells for Python via Java.Copyright 2003 - 2022 Aspose Pty Ltd.,,,,
