,"21. After climbing a high mountain or running 100 meters, there are various changes in our bodies. What changes will happen to our bodies after a sudden exercise? And what does that change do? Let's explain in detail using knowledge of body changes after exercise. ",q21_breathing,q21_oxygen deficiency,q21_sweat,q21_energy,q21_muscle,q21_nervous, q21_constancy,q21_waste,q21_heart
430,I have a fever,,,,,,,,,
431,My heart is beating faster,,,,,,,,,
432,I'm out of breath. So my heart beats fast to get oxygen.,,,,,,,,,
433,be out of breath and tired,,,,,,,,,
434,"The reason why it's hard for us to exercise is because our brain lacks oxygen and we need to deliver blood to our body more quickly For this reason, we breathe fast and our hearts beat faster.",,,,,,,,,
435,I don't know.,,,,,,,,,
436,"The body releases a lot of heat, changes in heart rate, hormones are released, and the brain is activated",,,,,,,,,
437,"After running 100 meters, our bodies release heat and our heart beats fast",,,,,,,,,
438,Oxygen is not well supplied to the heart and lungs and uses a lot of energy when it jumps,,,,,,,,,
439,My heart is beating fast,,,,,,,,,
440,"The sound of breathing becomes rough, the head aches, and the speed of breathing increases",,,,,,,,,
441,"The heart rate increases because exercising requires more oxygen than usual, so the heart rate increases to send oxygen to the whole body faster.",,,,,,,,,
442,My heart is beating fast,,,,,,,,,
443,Breathing gets faster. To supply oxygen quickly.,,,,,,,,,
444,"The heart rate increases and sweat is secreted, so the amount of urine is reduced.",,,,,,,,,
445,My heart is beating fast.,,,,,,,,,
446,Blood flows quickly through our bodies. Backflow.,,,,,,,,,
447,Breathing gets faster.,,,,,,,,,
448,"My heart beats fast and I breathe fast The heart sends blood to the whole body through a beat, and the blood supplies oxygen and nutrients to tissue cells, and sends carbon dioxide and nope water to the lungs and abdomen design.Exercise requires a lot of energy and energy requires oxygen through cellular respiration, so the heart and breathing speed up to make a lot of energy in tissue cells",,,,,,,,,
449,"Due to lack of oxygen, breathing becomes faster, and the heart rate becomes faster.",,,,,,,,,
450,My heart beats fast because I have to release oxygen when I exercise,,,,,,,,,
451,Muscles start working out,,,,,,,,,
452,I'm tired,,,,,,,,,
453,The pulse accelerates and glycogen breaks down into glucose.,,,,,,,,,
454,"Heart beats fast, heart beats fast because of lack of the heart beats fast",,,,,,,,,
455,Sweat lowers body temperature.,,,,,,,,,
456,I'm tired,,,,,,,,,
457,a change in the amount of oxygen,,,,,,,,,
458,I feel short of breath when I lack of breath,,,,,,,,,
459,Lactic acid accumulates in the muscles and makes me feel uncomfortable,,,,,,,,,
460,"Sweat will increase blood concentration in the body, which will soon promote reabsorption of water in the posterior pituitary gland, which will increase blood pressure and lower plasma osmotic pressure and blood sugar. And the amount of urine generated will decrease and the osmotic pressure of the urine will increase.",,,,,,,,,
461,"After rapid exercise, lactic acid builds up in the body and causes muscle pain",,,,,,,,,
462,It was hard to run 100 meters.,,,,,,,,,
463,"It must be hard. I'm sweating, thirsty, and I want to rest. Do I have to say that?",,,,,,,,,
464,"My legs are clumped, my back hurts, my thighs hurt, my knees hurt. That change makes my body unable to move, so the next day will be hard, right?",,,,,,,,,
465,"Rapid anaerobic exercise causes incomplete decomposition in the muscles because it lacks oxygen to move the muscles, which causes pain in the muscles.",,,,,,,,,
466,"After rapid exercise, lactic acid builds up for ATP production.",,,,,,,,,
467,the beating of one's heart,,,,,,,,,
468,The heart beats fast and the muscles become active.,,,,,,,,,
469,"The supply of oxygen decreases relatively, and circulation becomes insufficient and difficult.",,,,,,,,,
470,The heart rate increases.,,,,,,,,,
471,"Through anaerobic respiration, lactic acid accumulates and feels tired, and the muscle fiber is torn a little, resulting in new muscle cells to fill it, increasing muscle mass.",,,,,,,,,
472,"Breathing becomes steep and the body sweats In the case of high mountains, differences in pressure can cause deafness and sweat to lower body heat.",,,,,,,,,
473,"Because of the need to produce a lot of ATP, it consumes more oxygen and supplies a lot of oxygen, so breathing is accelerated and blood sugar is insufficient, which promotes glucagon secretion through activation of sympathetic nerves, increasing blood sugar.",,,,,,,,,
474,Our body temperature rises and we sweat,,,,,,,,,
475,The heart rate increases and breathing speeds up to circulate insufficient oxygen throughout the body.,,,,,,,,,
476,The pulse accelerates.,,,,,,,,,
477,The low acid increases.,,,,,,,,,
478,"It takes time to produce ATP through oxygen respiration. In order to fill the gaps, stored ATP, ktheatine phosphate, and ATP produced by anaerobic respiration are used sequentially. In this case, lactic acid fermentation proceeds in the human body, and lactic acid accumulates in the muscle. Lactic acid causes what we commonly call ""albaegi"" or ""ratnam.""",,,,,,,,,
479,Lactic acid builds up in the muscles. That's why I get muscle pain.,,,,,,,,,
480,"When intense exercise is applied to our bodies, anaerobic breathing occurs in the muscles, which accumulates lactic acid in the muscles. If this accumulated lactic acid becomes excessive, the muscles become paralyzed, and you need another ATP to break down this lactic acid. When lactic acid is completely broken down over time, muscle paralysis is relieved.",,,,,,,,,
481,"My heart beats fast, and I'm out of breath. It's getting hard.",,,,,,,,,
482,You're losing weight,,,,,,,,,
483,My heart is pounding with sweat,,,,,,,,,
484,My heart is beating fast,,,,,,,,,
485,Ryu So Go Gukju (Ryuso Go Gukju),,,,,,,,,
486,I feel out of breath and tired,,,,,,,,,
487,My body sweats and I'm going crazy,,,,,,,,,
488,be short of breath,,,,,,,,,
489,You'll be exhausted.,,,,,,,,,
490,You're losing weight,,,,,,,,,
491,I need a lot of oxygen because my heart loves you. â,,,,,,,,,
492,"The heart gets faster, quiver, and healthy.",,,,,,,,,
493,My heart is beating fast.,,,,,,,,,
494,"It keeps my body healthy.My heart is beating fast, burning calories",,,,,,,,,
495,Every body will have muscles.,,,,,,,,,
496,I'm sweating and out of breath.,,,,,,,,,
497,be out of breath,,,,,,,,,
498,"After running 100 meters, I get out of breath and sweat.",,,,,,,,,
499,I'm sweating and out of breath. It makes me want to drink water. I want to take a shower and I am hungry.,,,,,,,,,
500,"The ten beats get faster and sweaty.And you find moisture.That way, you can build up your physical strength.",,,,,,,,,
501,I'm sweating and out of breath.,,,,,,,,,
502,I don't know,,,,,,,,,
503,Tired.,,,,,,,,,
504,"If you do hard exercise, your body will lack oxygen, so your body will have more moisture and become breathless.",,,,,,,,,
505,My heart is beating fast,,,,,,,,,
506,"No, it's not",,,,,,,,,
507,sweat water out of the body and breathe oxygen,,,,,,,,,
508,with great difficulty,,,,,,,,,
509,with great difficulty,,,,,,,,,
510,My lungs are beating faster than usual,,,,,,,,,
511,Breathe fast.,,,,,,,,,
512,It consumes energy.,,,,,,,,,
513,You're losing weight.,,,,,,,,,
514,"My body is getting tired.The reason is that as oxygen enters the body, the heart pumps and uses oxygen is used",,,,,,,,,
515,My body is sweating.,,,,,,,,,
516,"My heart is beating fast. Because our bodies need oxygen, our hearts beat to carry oxygen",,,,,,,,,
517,"If you do that kind of exercise suddenly, it's hard to develop moisture",,,,,,,,,
518,Lung capacity increases and blood pressure rises.,,,,,,,,,
519,"My body is getting tired. The reason is that as oxygen enters, the heart pumps into the body and uses oxygen.",,,,,,,,,
520,"After exercising, you run out of breath and run out of moisture.",,,,,,,,,
521,"Because it beats a lot, it needs a lot of oxygen and the heart is active.",,,,,,,,,
522,"This is because if you run a lot, your heart beats fast.",,,,,,,,,
523,"""After a lot of exercise, our bodies sweat and have difficulty breathing.",,,,,,,,,
524,"The reason is that if we suddenly do a lot of exercise, our lungs become active",,,,,,,,,
525,"Sebum or no-feathers come out of the skin and sweat.""",,,,,,,,,
526,My body is sweating with fever.,,,,,,,,,
527,My heart is beating fast,,,,,,,,,
528,.,,,,,,,,,
529,I'm sweating,,,,,,,,,
530,My heart beats fast and I'm out of breath,,,,,,,,,
531,Sweating makes you feel heavy or tired,,,,,,,,,
532,My heart is beating fast.,,,,,,,,,
533,"As air becomes scarce, you breathe loudly and your heart beats faster, so blood circulation is good.",,,,,,,,,
534,be united in military discipline,,,,,,,,,
535,"""As I lose my breath, my blood vessels contract",,,,,,,,,
536,"""",,,,,,,,,
537,"My body is sweating, and I'm out of breath.",,,,,,,,,
538,"The body is feverish, sweating, and the heart beats fast.",,,,,,,,,
539,My heart is beating fast. The heart facilitates the supply of oxygen.,,,,,,,,,
540,"After exercising, you get muscles in your arms or legs, and those muscles help us use our strength even a little bit.",,,,,,,,,
541,My body was sweating,,,,,,,,,
542,"Sweat is flowing, but sweat is flowing because it maintains our body temperature by sweating.",,,,,,,,,
543,"Sudden exercise puts pressure on the body, and sweat is generated by the heat generated by the water in the body, and the organs in the body make energy",,,,,,,,,
544,It makes us short of breath and helps us breathe deeply,,,,,,,,,
545,I'm sweating,,,,,,,,,
546,"""1. My body is sweating."" Sweating in the body is like heat generation and escaping through the sweat glands, sweat holes",,,,,,,,,
547,2. I'm out of breath because I use up a lot of energy,,,,,,,,,
548,"I think I breathe a lot of air.""",,,,,,,,,
549,"Breathe hard. If I exercise, I have to do more air circulation, so I breathe harder.",,,,,,,,,
550,The heart moves when we are still and the heart beats several times faster.,,,,,,,,,
551,I don't know,,,,,,,,,
552,"Exercise speeds up breathing, increases and speeds up lung pumping, and wastes escape from the body with urine.",,,,,,,,,
553,My skin loses its no-feather from sweating,,,,,,,,,
554,"I'm sweating. Sweat is the unnecessary waste left on my body, but when I exercise, I sweat.",,,,,,,,,
555,"The lack of oxygen in the blood causes you to breathe quickly, and your heart rate becomes faster. In addition, the temperature of the body increases and sweat is released, which lowers the temperature of the body.",,,,,,,,,
556,My body is tired,,,,,,,,,
557,"Rapid exercise increases the oxygen demand and the degree of waste discharge of each organ, such as cells and muscles of the body. Blood flowing through the blood vessels of our bodies plays this role. Therefore, the heart exercises more vigorously to circulate blood faster.",,,,,,,,,
558,The oxygen concentration in red blood cells increases and the heart rate increases. It is a phenomenon that occurs to use energy quickly.,,,,,,,,,
559,"Rapid exercise causes the body to lose breath and heat. This is because when you exercise, your muscles need more oxygen than usual, so you get short of breath to get more air, and because your muscles exercise, you get heat.",,,,,,,,,
560,In Paris...,,,,,,,,,
561,"After exercising, heat is generated and sweat is released to cool off. The released sweat cools down and generates heat of vaporization, lowering the body's body temperature.",,,,,,,,,
562,Breathe rough,,,,,,,,,
563,"It carries oxygen needed for bone and muscle movements quickly, breathing is accelerated, and the heart beats quickly.",,,,,,,,,
564,My heart beats fast with a gulp of breath.,,,,,,,,,
565,Heart beating faster than normal,,,,,,,,,
566,"Rapid exercise causes the cells to suddenly need a lot of oxygen and gasp, and because the blood needs a lot of oxygen quickly, the heart beats fast, blood pressure increases, and cell respiration generates heat, which cools down by sweating to release heat quickly",,,,,,,,,
567,The heart speeds up. My body is sweating because of the high temperature.,,,,,,,,,
568,cool off sweat or body heat,,,,,,,,,
569,"I'm out of breath, sweating, beating fast, and getting a lot of dopamine",,,,,,,,,
570,"When we climb high mountains, our bodies try to adjust to high altitude. Also, when you run one meter, your heart beats faster and your muscles rise.",,,,,,,,,
571,Breathing accelerates and heartbeats accelerate to transport oxygen and nutrients and remove waste.,,,,,,,,,
572,Body heat and nutrients are supplied,,,,,,,,,
573,"As I breathe hard, the muscles in my legs hurt little by little and I sweat.",,,,,,,,,
574,"If you do a lot of rapid exercise, you will sweat and run out of breath, but in the process of running out of breath, your heart will produce a lot of blood and you will be healthy",,,,,,,,,
575,"Rapidly transports oxygen and nutrients needed for bone and muscle movements, breathing is accelerated, and heart rate is accelerated to remove generated waste",,,,,,,,,
576,"After rapid exercise, muscles become tense, blood circulation throughout the body is accelerated, and breathing is accelerated to release dirty things from the body into sweat, and to provide oxygen everywhere in the body.",,,,,,,,,
577,I sweat a lot. It's hard to do it's hard.,,,,,,,,,
578,"Breathing accelerates, and the heart beats fast.",,,,,,,,,
579,"After rapid exercise, the amount of oxygen in the body decreases, and the lungs repeat greater expansion and contraction to accept more oxygen, and the amount of oxygen required in the muscles increases, and the heart beats faster to send oxygen to the muscles.",,,,,,,,,
580,The heart rate increases. Breathing becomes rough and metabolism becomes active The discharge of nopemul is also included in the metabolism.,,,,,,,,,
581,f,,,,,,,,,
582,My pores are sweating. Changes in the body that release sweat keep the temperature of the body moderate without being high.,,,,,,,,,
583,The heart rate increases and blood is sent all over the body to supply oxygen.,,,,,,,,,
584,My heart beats fast and I'm out of breath.,,,,,,,,,
585,I don't know,,,,,,,,,
586,Exercise can overload your muscles,,,,,,,,,
587,He's tall,,,,,,,,,
588,I sweat out waste and run out of breath,,,,,,,,,
589,I'm out of breath.,,,,,,,,,
590,Body temperature and heart rate increase.,,,,,,,,,
591,difficulty in breathing,,,,,,,,,
592,I'm out of breath.,,,,,,,,,
593,"The lungs beat fast, the body sweats, and the heart beats fast. This is a phenomenon in which the lungs quickly produce oxygen and the heart circulates.When you run, your heart beats fast because your heart beats fast.",,,,,,,,,
594,It's hard,,,,,,,,,
595,"""My lungs are shrinking and stretching, and I'm out of breath",,,,,,,,,
596,"I'm sweating to get rid of impurities.""",,,,,,,,,
597,I don't know,,,,,,,,,
598,My heart beats fast and I'm out of breath.,,,,,,,,,
599,I don't know.,,,,,,,,,
600,My heart is beating so fast that I'm out of breath and sweating,,,,,,,,,
601,I don't know,,,,,,,,,
602,I'm out of breath and my heart is beating fast,,,,,,,,,
603,We sweat and maintain our body temperature with that sweat,,,,,,,,,
604,My heart is beating fast.,,,,,,,,,
605,Your heart rate increases because you breathe fast,,,,,,,,,
606,"If you stay still and run or exercise a lot of movement, your body needs more oxygen, your heart beats fast, and you sweat.",,,,,,,,,
607,Heart beat faster. It provides oxygen to the muscles quickly. Shortness of breath.,,,,,,,,,
608,It's getting hot,,,,,,,,,
609,Always maintaining your integrity,,,,,,,,,
610,"Sweat is secreted out of the body and plasma osmotic pressure increases, which promotes the secretion of anti-diuretic hormones, which increases the absorption of water ash in the body, thereby increasing the urine osmotic pressure",,,,,,,,,
611,Your muscles become stiff and healthy,,,,,,,,,
612,I'm out of breath.,,,,,,,,,
613,Heart rate increases Breath becomes steep to maintain homeostasis,,,,,,,,,
614,Your heart beats fast and quickly oxygenates your entire body,,,,,,,,,
615,You sweat.,,,,,,,,,
616,"My heart beats fast and I'm out of breath. As a result, oxygen consumed to work is supplied to the body through breathing and the heart beats quickly to deliver it to the cells.",,,,,,,,,
617,"To control body temperature, the hair on the skin stands up, opening holes in the sweat glands, and releasing sweat. Because of this action, the body's water runs out, causing thirst.",,,,,,,,,
618,My heart rate is getting faster and I'm out of breath,,,,,,,,,
619,The body temperature decreases due to the heat of vaporization of the water as the sweat dries,,,,,,,,,
620,a faster heart rate,,,,,,,,,
621,"My heart beats fast and I'm out of breath. As a result, oxygen consumed to work is supplied to the body through breathing and the heart beats quickly to deliver it to the cells.",,,,,,,,,
622,Your heart is beating faster,,,,,,,,,
623,"When we use up energy, we release heat. You sweat to fill the released heat, maintain homeostasis in your body's temperature, and in this process, you become thirsty, which stimulates water to replenish the body's water",,,,,,,,,
624,"""My heart beats faster, I breathe faster, and blood circulation increases accordingly",,,,,,,,,
625,"As a result, the total amount of oxygen increases and the decomposition of lactic acid in the body is facilitated.""",,,,,,,,,
626,Instantaneous changes in metabolism tend to cause a person's head to feel dizzy due to steepness in breathing and loss of oxygen in the head,,,,,,,,,
627,"Physical exercise increases the body's metabolism, and mental exercise lowers the body's stress index.",,,,,,,,,
628,Exercising makes you sweat and burn calories And you lose weight,,,,,,,,,
629,Muscles and sweat form in the body,,,,,,,,,
630,"""You get muscles and you get healthy.""",,,,,,,,,
631,"""I'm tired, and I'm sweating and out of breath""",,,,,,,,,
632,"""You'll gain muscles and be healthy.""",,,,,,,,,
633,"""I'm sweating and out of breath""",,,,,,,,,
634,become stronger,,,,,,,,,
635,"""I have muscle pain. I get new muscles when my muscles are torn, and now I don't think I get muscle pain if I do that much.",,,,,,,,,
636,"""",,,,,,,,,
637,It makes your body stronger and harder,,,,,,,,,
638,"I'm short of breath, so I breathe in and out faster, which helps me breathe faster",,,,,,,,,
639,"As there is less air to be supplied, the body can become difficult and difficult to play its own role.",,,,,,,,,
640,"It is difficult to breathe, the body temperature rises, and sweat flows through the body. The pulse rate increases again",,,,,,,,,
641,"Breathless and difficult to breathe, body temperature rises, sweat flows through the body, and pulse rate increases. If you exercise hard and steadily, your heart will become stronger and you can send a lot of blood to your whole body, so you can live a healthy life without getting tired easily. And you can feel refreshed and live a lively and voluntary life.",,,,,,,,,
642,Control body temperature by sweating.,,,,,,,,,
643,Muscle pain is caused by sudden exercise.,,,,,,,,,
644,"I'm sweating, burning calories, I'm hungry, I'm out of breath, I die because I can't breathe",,,,,,,,,
645,"Sweat, out of breath, thirsty, hungry, burning calories, hungry, and losing weight",,,,,,,,,
646,I have muscle pain because I did a sudden exercise,,,,,,,,,
647,"""Heart rate increases",,,,,,,,,
648,"Because when you exercise, the blood circulation of the heart becomes active and the heart rate becomes active.""",,,,,,,,,
649,People who don't use muscles well can experience muscle mass or pain because they are frightened.,,,,,,,,,
650,The reason I sweat after exercising rapidly is because I sweat to control body temperature and release waste.,,,,,,,,,
651,"The muscles that are not used well are startled, and people can get a sudden lump or pain in their muscles.",,,,,,,,,
652,Stretching muscles or sweating helps to get rid of the waste,,,,,,,,,
653,"My heart rate is going up, I'm sweating.",,,,,,,,,
654,"If you develop muscles, your body temperature changes and you need to get rid of waste",,,,,,,,,
655,"If you develop muscles, your body temperature changes and you need to get rid of waste",,,,,,,,,
656,"""My muscles are tense",,,,,,,,,
657,"""It's swelling up""",,,,,,,,,
658,I don't know.,,,,,,,,,
659,I don't know,,,,,,,,,
660,M and D,,,,,,,,,
661,I don't understand.,,,,,,,,,
662,M and D,,,,,,,,,
663,"""",,,,,,,,,
664,I don't understand.,,,,,,,,,
665,"""",,,,,,,,,
666,ããã³ ãã³ã³,,,,,,,,,
667,M and D,,,,,,,,,
668,I don't understand.,,,,,,,,,
669,Mall,,,,,,,,,
670,I don't know,,,,,,,,,
671,I don't understand.,,,,,,,,,
672,I don't understand.,,,,,,,,,
673,M and D,,,,,,,,,
674,I don't understand.,,,,,,,,,
675,I don't know.,,,,,,,,,
676,My heart is beating fast.,,,,,,,,,
677,My sides hurt,,,,,,,,,
678,M and D,,,,,,,,,
679,I don't know,,,,,,,,,
680,I don't understand.,,,,,,,,,
681,My muscles swell with tension,,,,,,,,,
682,I don't know,,,,,,,,,
683,"""",,,,,,,,,
684,"Excessive exercise, which is strong and laboring on one's body, acts as a powerful stress, rapidly increasing epinef and cortisol (hormones that increase when under severe stress), and changes in immunity, such as catching a cold easily after overwork, are directly related to changes in these endocrine substances. """,,,,,,,,,
685,I'm out of breath and hard to breathe. This is because the amount of oxygen that our bodies need increases.,,,,,,,,,
686,It can cause sore legs and muscle pain because of shortness of breath and excessive use of leg muscles,,,,,,,,,
687,.,,,,,,,,,
688,quickness of breath,,,,,,,,,
689,I don't know.,,,,,,,,,
690,"When you exercise, your body temperature rises and you sweat as calories burn. The heat is released by the sweat, but it does not overheat even if you exercise because it is sweaty",,,,,,,,,
691,Heart beating fast,,,,,,,,,
692,My heart is beating faster and I'm out of breathI feel like I've gotten bigger.,,,,,,,,,
693,I don't know.,,,,,,,,,
694,My heart beats a lot.,,,,,,,,,
695,an increase in the heart rate,,,,,,,,,
696,It's getting hot. It allows blood to move around,,,,,,,,,
697,My heart is beating fast.,,,,,,,,,
698,My body is sweating. Waste is discharged.,,,,,,,,,
699,I'm out of breath,,,,,,,,,
700,I don't know.,,,,,,,,,
701,Because my body is tired (Laughing),,,,,,,,,
702,Our bodies become stronger,,,,,,,,,
703,I'm very tired...,,,,,,,,,
704,g,,,,,,,,,
705,I'm sweating and out of breath,,,,,,,,,
706,The heart rate increases and the body becomes healthy.,,,,,,,,,
707,It's hard to breathe,,,,,,,,,
708,The heart rate increases and our bodies become stronger,,,,,,,,,
709,"When we run, our bodies get hot because of heat.The role is to sweat when it's hot, but the body cools down due to the sweat.",,,,,,,,,
710,The lack of oxygen causes alpine disease,,,,,,,,,
711,"After running, my heart beats fast and I sweat",,,,,,,,,
712,"When I run, I need to breathe fast, so blood flows fast in my body, so my heart beats fast",,,,,,,,,
713,I'm sweating a lot,,,,,,,,,
714,"I sweat and my heart beats fast, so I'm out of breath",,,,,,,,,
715,Muscles become stronger and healthier,,,,,,,,,
716,"Muscles contract, sweat, and shortness of breath.",,,,,,,,,
717,My heart is beating fast.It is to supply oxygen and nutrients to the whole body.,,,,,,,,,
718,"I'm out of breath, fever, and sweaty",,,,,,,,,
719,My calves are flabby,,,,,,,,,
720,"The body heats up and sweats come down. And my heart is beating fast. Because the body gets hot when it is active, the body temperature increases, and then you sweat to remove moisture from the body.",,,,,,,,,
721,"After exercising rapidly, your heart beats fast and you feel out of breath.",,,,,,,,,
722,My heart beats fast and my breath gets rough,,,,,,,,,
723,Muscles develop actively and change our physical body,,,,,,,,,
724,"I'm sweating, thirsty, and my legs hurt. Muscles are stretched, healthy, and tall",,,,,,,,,
725,I have a strong body,,,,,,,,,
726,My heart beats fast and I'm out of breath,,,,,,,,,
727,It's hard to breathe,,,,,,,,,
728,Your heart is beating fast. It speeds up blood circulation,,,,,,,,,
729,Breathing gets faster,,,,,,,,,
730,The heart rate increases. It speeds up the heart rate to quickly oxygenate the body.,,,,,,,,,
731,PASS,,,,,,,,,
732,"""I'm sweating and out of breath",,,,,,,,,
733,It's called homeostasis,,,,,,,,,
734,"It is a phenomenon that tries to keep the body as usual in a short time.""",,,,,,,,,
735,Breathing gets faster,,,,,,,,,
736,"Once you exercise, your heart beats and you have to supply that much oxygen, so your body generates heat and releases sweat to heat it up",,,,,,,,,
737,The lack of oxygen makes my heart beat fast and I gasp,,,,,,,,,
738,"The biggest phenomenon is the beating of the heart, and the supplying of oxygen by supplying blood quickly. And because we used a lot of ATP energy while exercising, we need additional oxygen to make ATP. That's why the lungs breathe quickly. In addition, the brain promotes the production of many hormones, making people comfortable.",,,,,,,,,
739,"Your heart beats faster, oxygen moves into your muscles.",,,,,,,,,
740,"The heart speeds up, pupils dilate.",,,,,,,,,
741,"The heart rate increases, and the breathing increases. It maintains constancy by sweating to reduce body temperature changes.",,,,,,,,,
742,"Pupils get smaller, hearts beat fast, and sweat a lot. It is to cool down and get oxygen.",,,,,,,,,
743,This is because exercising builds up the active oxygen that our bodies need,,,,,,,,,
744,1234,,,,,,,,,
745,I don't know,,,,,,,,,
746,lose weight,,,,,,,,,
747,You can breathe faster,,,,,,,,,
748,You lose body fat,,,,,,,,,
749,"Yes, it is",,,,,,,,,
750,I can sing in harmony,,,,,,,,,
751,"""You're going to lose weight",,,,,,,,,
752,"""",,,,,,,,,
753,To lose weight,,,,,,,,,
754,You lose body fat,,,,,,,,,
755,be out of breath and have a hard time with one's heart,,,,,,,,,
756,"When you exercise, it stimulates your muscles and makes you short of breath, and through exercise, your body sweats out waste",,,,,,,,,
757,"If you sweat a lot and breathe quickly, you lose strength and get excited quickly. I get mentally excited",,,,,,,,,
758,You do it,,,,,,,,,
759,"If you sweat a lot and breathe quickly, you lose strength and get excited quickly. I get mentally excited",,,,,,,,,
760,He's having a hard time,,,,,,,,,
761,My heart beats fast and I can't breathe,,,,,,,,,
762,"There are changes that make your muscles build up, you run faster, and there are many good changes.",,,,,,,,,
763,"The lighter your body is, the easier it is to exercise",,,,,,,,,
764,"There are changes that make your muscles build up, you run faster, and there are many good changes.",,,,,,,,,
765,"As the body's atmosphere continues mentally rapidly, it uses strength by applying strength rapidly.",,,,,,,,,
766,Sweat is flowing. Sweat is proof that blood is flowing well. Sweat is flowing well through blood,,,,,,,,,
767,I don't know.,,,,,,,,,
768,"""I'm out of breath",,,,,,,,,
769,My heart is beating fast,,,,,,,,,
770,"""I'm sweating""",,,,,,,,,
771,"Our bodies feel good when we go up After you work out, your body becomes fresh. So if you work out, you can live a long time",,,,,,,,,
772,I don't know.,,,,,,,,,
773,It's hard,,,,,,,,,
774,"Breathing is fast, I drink a lot of oxygen, my heart beats fast, and blood circulation is good",,,,,,,,,
775,My heart is beating faster,,,,,,,,,
776,....,,,,,,,,,
777,"I'm hungry, tired, and cursing",,,,,,,,,
778,Bone injuries and muscles surprise.,,,,,,,,,
779,Sweat is released and the heart beats fast,,,,,,,,,
780,I'm sweating,,,,,,,,,
781,My ears are ringing.The organs that control the high pressure in the ear do not work well because the high pressure is reversed,,,,,,,,,
782,We're running 100 meters and we're out of oxygen in our blood,,,,,,,,,
783,Heart rate increases after exercise and inhales oxygen while breathing hard to lower it to a normal level,,,,,,,,,
784,I'm out of breath and my heart is beating. This change causes sweat and blood circulation.,,,,,,,,,
785,"People breathe while running. The breathing should only be exhaled through the nose, but it's harder because it releases carbon dioxide through the mouth. And the pulse is beating fast. Because when you use up a lot of energy, you get cold sweat, and the organs in your body are working smoothly.",,,,,,,,,
786,"Because lactic acid forms between our muscles, our muscles get tired.",,,,,,,,,
787,"When you climb a high mountain, you start to lose your breath due to lack of oxygen due to air pressure.",,,,,,,,,
788,gasp for breath,,,,,,,,,
789,I'm out of breath. My body loses moisture.,,,,,,,,,
790,"There are some people who sweat because it is hard to exercise. If you do this hard exercise, your body will get heat.",,,,,,,,,
791,"Faster heart rate, dilated exocrine glands, and faster blood circulation.gasp for breath",,,,,,,,,
792,"Lactic acid fermentation, breathing",,,,,,,,,
793,It promotes metabolism and tries to get a lot of oxygen.,,,,,,,,,
794,The heart rate increases and the body temperature rises.,,,,,,,,,
795,I'm out of breath.,,,,,,,,,
796,"The heart beats, adrenaline is released, hair lies down, and lactic acid is released.",,,,,,,,,
797,Because you breathe faster,,,,,,,,,
798,Rapid ATP consumption causes muscles to clump.,,,,,,,,,
799,"As energy consumption increases, a lot of oxygen is required for cellular respiration, and the amount of breathing increases and the heart rate increases to provide sufficient oxygen and remove carbon dioxide.",,,,,,,,,
800,I'm out of breath. My heart is beating fast.,,,,,,,,,
801,oxygen reduction,,,,,,,,,
802,My heart is beating fast.,,,,,,,,,
803,My heart is pounding and I'm out of breath.,,,,,,,,,
804,"Sweat comes out, breathing becomes rough. (Annoyed)",,,,,,,,,
805,"When the body needs more oxygen, breathing and heart rate are accelerated, and body temperature is increased, so the body can supply enough oxygen required by the body to perform exercise smoothly.",,,,,,,,,
806,"My heart is beating fast, I'm out of breath, because the number of gas exchanges has to increase",,,,,,,,,
807,"After exercising, our body's heart rate increases, our body temperature rises, and sweat comes out to get back to normal, so we lower our body temperature",,,,,,,,,
808,Rapid exercise leads to a lack of oxygen in the body and shortness of breath to fill the oxygen.,,,,,,,,,
809,I'm sweating a lot and I'm out of breath,,,,,,,,,
810,I don't know,,,,,,,,,
811,It's getting hard,,,,,,,,,
812,Faster heart rate and harder to breathe,,,,,,,,,
813,sweaty insulin secretion,,,,,,,,,
814,I'm out of breath. I need to take a deep breath.,,,,,,,,,
815,I'm out of breath because my heart rate is getting faster.,,,,,,,,,
816,"Heat comes out of the body, sweat is released, and constancy is maintained.",,,,,,,,,
817,Blood pressure rises and sweat is secreted to maintain homeostasis,,,,,,,,,
818,"Exercise raises a person's body temperature, so they sweat to maintain homeostasis.",,,,,,,,,
819,Heartbeats are faster Heartbeats are responsible for sending blood to the body,,,,,,,,,
820,I'm sweating and my heart is pounding,,,,,,,,,
821,Sweat and heart rate spikes,,,,,,,,,
822,Hardness,,,,,,,,,
823,"My heart is beating faster, and my body is sweating. The reason is that our bodies speed up the heart rate, facilitating the supply of blood, and discharging sweat to release waste from the body.",,,,,,,,,
824,"My body needs a lot of oxygen and water to make my heart beat fast, so I can breathe fast and get thirsty",,,,,,,,,
825,My heart is beating faster It helps blood circulation,,,,,,,,,
826,It's hard,,,,,,,,,
827,The gap between inhalation and exhalation narrows,,,,,,,,,
828,It uses up oxygen and energy by exercising in the body.,,,,,,,,,
829,"As the cells of the human body consume energy during rapid exercise, oxygen is needed to replenish energy. So your heart beats faster and your breathing becomes rough.",,,,,,,,,
830,"Because it requires a lot of oxygen, it makes you gasp.",,,,,,,,,
831,My heart stops beating,,,,,,,,,
832,My body is sweating. I have to drink water again. This is because dehydration can occur.,,,,,,,,,
