,1) What happened to the air in the bag after several breaths?,q41_oxygen,q41_carbon dioxide,q41_moisture
515,It's hard to breathe because there's no more air,,,
516,The air is getting hot,,,
517,"""How to Breathe""",,,
518,"""I'm going to put it on your mouth and drink it.""",,,
519,The air is gone.,,,
520,The air is likely to turn into carbon dioxide.,,,
521,I don't think there's much air.,,,
522,The amount of carbon dioxide increases,,,
523,I think the air would have cooled down a little,,,
524,I don't know.,,,
525,Water is forming,,,
526,The air stays as it is.,,,
527,Increase in carbon dioxide concentration,,,
528,It's filled with carbon dioxide,,,
529,Oxygen has been converted into carbon dioxide,,,
530,The air has shrunk.,,,
531,Oxygen has decreased and carbon dioxide has increased,,,
532,Moisture is cold. The air is gone,,,
533,The pressure is lowered.,,,
534,Oxygen is gone and carbon dioxide is formed.,,,
535,There's a lot of carbon dioxide,,,
536,The air is gone,,,
537,"""The bag is filled with carbon dioxide",,,
538,"""",,,
539,The oxygen in the bag turned into carbon dioxide.,,,
540,under pressure,,,
541,"Bubbles form on the surface of the plastic bag, creating moisture",,,
542,There's a lot of carbon dioxide,,,
543,Carbon dioxide filled the bag,,,
544,Oxygen gradually decreased and carbon dioxide increased,,,
545,Oxygen becomes scarce and carbon dioxide increases.,,,
546,More carbon dioxide and less oxygen,,,
547,Oxygen decreases and carbon dioxide increases,,,
548,There seems to be an increase in carbon dioxide in the bag,,,
549,The oxygen in the bag turned into carbon dioxide.,,,
550,There's a lot of oxygen in the plastic bag,,,
551,"At first, there was a lot of oxygen, but as time goes by, the amount of oxygen goes away and carbon dioxide goes up",,,
552,The bag has water on it because of breathing,,,
553,There would be less air in the bag.,,,
554,I don't know.,,,
555,The air will be reduced.,,,
556,The air turned into carbon dioxide and the air disappeared,,,
557,The air is gone.,,,
558,Breathing in fresh air is likely to contaminate the air because no other fresh air can enter.,,,
559,I don't know,,,
560,I don't know.,,,
561,I think it would have shrunk.,,,
562,Warm air and cold air mix.,,,
563,It's getting damp,,,
564,"Since the air went in and out,",,,
565,"When you breathe in, you will become less and less air because you suck in air",,,
566,I think all the fresh air is going to disappear,,,
567,The air has decreased,,,
568,The oxygen concentration has dropped,,,
569,The air will be warm.,,,
570,The air is filled with air.,,,
571,"""It will be very warm inside",,,
572,"""",,,
573,I'm getting dewy,,,
574,I don't know,,,
575,The air will be filled with carbon dioxide that is released from the human body.,,,
576,Carbon dioxide will go in.,,,
577,The air is gradually draining,,,
578,dwindling,,,
579,"This is because it turns into dirty carbon dioxide, not clean oxygen.",,,
580,The air has shrunk,,,
581,I don't know.,,,
582,It swelled up.,,,
583,I don't know,,,
584,It is filled with oxygen in the air,,,
585,I don't know.,,,
586,"Inside the bag, there are a few drops of moisture, and the transparent vinyl is blurred, so you won't be able to see what's inside.",,,
587,It's swelling up,,,
588,??/,,,
589,The air turns into carbon dioxide.,,,
590,Oxygen decreases and carbon dioxide increases.,,,
591,It's getting full,,,
592,The air is gone and carbon dioxide is cold.,,,
593,The bag swells up.The air would have been cold.,,,
594,Don't know,,,
595,The air increases.,,,
596,The dew will come to an end,,,
597,The air disappears.,,,
598,Because there's a lot of carbon dioxide in the air,,,
599,I don't know,,,
600,The air is polluted.,,,
601,The amount of air is gradually reduced because it absorbs air when breathing.,,,
602,I don't know,,,
603,This is because he breathes fresh air and emits carbon dioxide.,,,
604,Water is formed,,,
605,Oxygen is gone.,,,
606,I don't know.,,,
607,There is less oxygen and more carbon dioxide.,,,
608,There will be a mixture of substances and air that come out as people breathe.,,,
609,I can't believe it,,,
610,There's carbon dioxide in it.,,,
611,It's getting full,,,
612,The oxygen is gone.,,,
613,The amount of air decreases,,,
614,be high in carbon dioxide,,,
615,The air is going to be low,,,
616,Oxygen turns into carbon dioxide,,,
617,one's own breath,,,
618,Because there's a lot of carbon dioxide,,,
619,"The mouth is attached to the air, and the nose is outside, so changes occur because the air goes out every time you breathe in and out.",,,
620,The air in the bag has shrunk,,,
621,It's gotten bigger.,,,
622,It's getting wet,,,
623,It's gonna be air and stone outside through the cracks,,,
624,"Air is created and swells, making it full and forming an underwater machine.",,,
625,I don't know.,,,
626,I don't know.,,,
627,be filled with carbon dioxide,,,
628,There is a lot of carbon dioxide.,,,
629,It must be damp,,,
630,Oxygen would have disappeared and carbon dioxide would have formed.,,,
631,The air gets warm.,,,
632,have no idea whatsoever,,,
633,...,,,
634,It is full of carbon dioxide.,,,
635,The concentration of carbon dioxide in the air has increased.,,,
636,The air is likely to have shrunk.,,,
637,"The air would be filled with carbon dioxide, not oxygen.",,,
638,There is a lot of carbon dioxide.,,,
639,There must be a lot of carbon dioxide.,,,
640,It creates air,,,
641,It fills up with carbon dioxide.,,,
642,likely to be full of carbon dioxide,,,
643,Oxygen has been reduced and only carbon dioxide has been produced,,,
644,There's a lot of carbon dioxide,,,
645,Oxygen has shrunk in.,,,
646,Change from oxygen to carbon dioxide,,,
647,"Each time you breathe in and out of the bag, oxygen decreases and carbon dioxide increases.",,,
648,Oxygen would have decreased and carbon dioxide would have increased.,,,
649,I don't know,,,
650,There would be more carbon dioxide.,,,
651,Warmth,,,
652,The air in the bag would have turned into carbon dioxide due to the carbon dioxide emitted when breathing several times.,,,
653,.,,,
654,This is because carbon dioxide was emitted during the breathing process.,,,
655,be high in carbon dioxide,,,
656,There is more carbon dioxide,,,
657,be full of carbon dioxide,,,
658,The air becomes thin,,,
659,Carbon dioxide is increasing,,,
660,It's decreasing,,,
661,Does oxygen run out and carbon dioxide run out?,,,
662,"Oxygen becomes thin, and the amount of carbon dioxide increases.",,,
663,The amount of carbon dioxide increased and the amount of oxygen decreased.,,,
664,Oxygen has decreased and carbon dioxide has increased.,,,
665,It's less oxygen than the first time.,,,
666,The air in the bag is full of water.,,,
667,The percentage of carbon dioxide increases,,,
668,The carbon dioxide ratio has increased.,,,
669,The concentration of carbon dioxide has gone up,,,
670,The carbon dioxide ratio goes up.,,,
671,"When we breathe in, we breathe in oxygen and we exhale carbon dioxide, but as we breathe in, the amount of oxygen will decrease and the amount of carbon dioxide will increase.",,,
672,There will be more carbon dioxide in the bag than oxygen.,,,
673,d,,,
674,The air is much less.,,,
675,Oxygen disappeared and carbon dioxide was produced.,,,
676,It's frosty,,,
677,Full of air,,,
678,Clean air gradually becomes carbon dioxide,,,
679,The air is getting less and less.,,,
680,Lack of oxygen...,,,
681,The volume decreases as it gets bigger,,,
682,Oxygen decreases and carbon dioxide increases,,,
683,Oxygen has decreased a lot,,,
684,".,....",,,
685,"It's crumpled, air is gone, it's full of carbon dioxide.",,,
686,There is not much air left.,,,
687,The amount of oxygen would have decreased and carbon dioxide would have increased.,,,
688,with reduced oxygen,,,
689,be high in carbon dioxide,,,
690,swelling,,,
691,The bag contains carbon dioxide in the air I exhaled.,,,
692,"After breathing oxygen, carbon dioxide was released from our bodies when exhaled, and the bag was filled with carbon dioxide.air is gone",,,
693,Air is converted into carbon dioxide and nitrogen.,,,
694,the increase of air,,,
695,There's a lot of bad air.,,,
696,I like number 3,,,
697,The air disappears,,,
698,More carbon dioxide and less oxygen,,,
699,I get breaths,,,
700,ãã¹ããì¤ãë¬ãããã³ìã¹ëì¤ããëê¹ëãã·ã·,,,
701,k,,,
702,issue,,,
703,The bag is swollen,,,
704,It will be humid,,,
705,Clean air is gone and there is a lot of carbon dioxide in it.,,,
706,Hah!,,,
707,I don't know.,,,
708,The air is getting less and less.,,,
709,The air has become thin,,,
710,It swells up and the wind goes out again,,,
711,Carbon dioxide is produced,,,
712,d,,,
713,The air became carbon dioxide,,,
714,A lot of air is gone.,,,
715,It swells up.,,,
716,I think it's going to get hot.,,,
717,Water drops are falling,,,
718,I think there will be some air left,,,
719,It's cloudy,,,
720,It's cloudy,,,
721,"There was a lot of oxygen at first, but after many breaths, there will be more carbon dioxide than oxygen.",,,
722,The number of air is low,,,
723,The air is gone,,,
724,"Before breathing, I used the oxygen in the bag to breathe, so oxygen decreases and carbon dioxide increases",,,
725,"Because exhalation has more carbon dioxide than inhalation, and our bodies also emit water vapor, the air inside the bag will reduce the amount of oxygen, increase the amount of carbon dioxide, and increase the amount of water vapor.",,,
726,"As the filled oxygen breathes, oxygen disappears and carbon dioxide comes out, so the proportion of carbon dioxide will be higher than that of oxygen.",,,
727,"Animals take oxygen and release carbon dioxide when they breathe. If you breathe several times, the air in the bag will have a lower oxygen concentration and a higher carbon dioxide concentration.",,,
728,I,,,
729,The oxygen content in the air will decrease and the carbon dioxide content will increase. This is because people breathe in oxygen and breathe out carbon dioxide.,,,
730,"When humans breathe, they breathe in oxygen. The body combines oxygen (O2) with glucose (C6H12O6) to produce water (H2O), carbon dioxide (CO2), and energy needed for biological activity. Since the bag is a closed space where new air does not enter from the outside, the oxygen of the air in the bag will decrease and carbon dioxide will increase as you breathe.",,,
731,"Oxygen is used to breathe, increasing the amount of carbon dioxide and decreasing the amount of oxygen. Also, when a person exhales, the amount of water vapor increases as well",,,
732,I don't know.,,,
733,"After several breaths, the air in the bag will change from fresh air to carbon dioxide. When a person breathes in, it's done in the form of inhaling oxygen and exhaling carbon dioxide, but if he breathes in multiple times, there will be no fresh air in the bag, but only carbon dioxide in the bag",,,
734,"When breathing, oxygen is inhaled and carbon dioxide is released, and if this is done several times in a plastic bag, the oxygen in the plastic bag decreases and the amount of carbon dioxide increases as you breathe.",,,
735,"Breathing will absorb oxygen and release carbon dioxide, but if you breathe in a closed space called a plastic bag, a limited amount of oxygen will be converted into carbon dioxide through breathing, and the bag will be filled with carbon dioxide.",,,
736,"When breathing, inhale oxygen through inhalation and exhale carbon dioxide through exhalation. If you continue breathing, oxygen in the bag will decrease through inhalation and carbon dioxide will increase through exhalation.",,,
737,"Through breathing several times, the oxygen in the bag is inhaled into the body and carbon dioxide is exhaled. This makes the bag cold with carbon dioxide.",,,
738,The oxygen is not cold,,,
739,It's swelling up,,,
740,It's steaming,,,
741,The air is hot little by little and carbon dioxide from the body is released,,,
742,I don't know.,,,
743,"It may have been filled with oxygen at first, but it's filled with carbon dioxide because it breathes",,,
744,be in love with,,,
745,fresh air mixed with air produced by breathing,,,
746,It's getting humid,,,
747,There's not much air in the bag,,,
748,The wind blew out,,,
749,The bag puffed up,,,
750,It must have been hard to breathe because of the high concentration of carbon dioxide.,,,
751,The percentage of carbon dioxide has increased.,,,
752,Not being fresh.,,,
753,There is a lot of carbon dioxide.,,,
754,"If you breathe several times, oxygen keeps turning into carbon dioxide",,,
755,A man died of difficulty.,,,
756,I'm not sure.,,,
757,I don't know,,,
758,It has risen in volume,,,
759,I didn't learn it.,,,
760,It has risen in volume,,,
761,"""I don't know",,,
762,"""",,,
763,I don't know.,,,
764,the bag is full,,,
765,There is no air.,,,
766,Moe.,,,
767,I don't know.,,,
768,The air is gone and carbon dioxide is produced,,,
769,The air disappears. Carbon dioxide is coming in.,,,
770,Converted to carbon dioxide,,,
771,Air goes into the bag and the bag swells.,,,
772,It's full of carbon dioxide.,,,
773,Pardon?,,,
774,Don't know,,,
775,"It's not oxygen, it's carbon dioxide.",,,
776,The air is gone,,,
777,There is air left in the bag.,,,
778,It's full of carbon dioxide,,,
779,Oxygen disappears and only carbon dioxide remains,,,
780,"Water supply, water supply, water supply",,,
781,The concentration of carbon dioxide in the air in the bag of confectionary after hooping several times than the ratio of air in the original atmosphere.,,,
782,"The concentration of oxygen in the air decreases, and the concentration of carbon dioxide and underwater air increases, so that the temperature of the air in the bag increases.(It becomes similar to body temperature.)",,,
783,The carbon dioxide ratio in the bag increases and the oxygen ratio decreases.,,,
784,Oxygen concentration in the air would have decreased and carbon dioxide concentration would have increased.,,,
785,"Oxygen gas decreased, carbon dioxide and water vapor increased.",,,
786,"The concentration of carbon dioxide increases, and the concentration of oxygen decreases.",,,
787,"The amount of oxygen in the bag decreased, and the amount of carbon dioxide increased.",,,
788,"In the composition of air, the amount of oxygen will decrease and the amount of carbon dioxide will increase. Also, the temperature of the air will go up.",,,
789,The concentration of carbon dioxide has increased.,,,
790,The carbon dioxide fraction has always been mentioned.,,,
791,The carbon dioxide is cold.Oxygen gas decreases and carbon dioxide gas increases.,,,
792,Carbon dioxide concentration increases and oxygen concentration decreases,,,
793,It will be filled with carbon dioxide,,,
794,The concentration of carbon dioxide has increased.,,,
795,The oxygen concentration has decreased.,,,
796,The ratio of oxygen decreases and the ratio of carbon dioxide increases.,,,
797,The carbon dioxide content increases.,,,
798,Oxygen,,,
799,The bag is filled with carbon dioxide,,,
800,"At first, various gas molecules such as nitrogen/oxygen/carbon dioxide would have been mixed in the plastic bag according to the composition ratio of the atmosphere, but after breathing several times, the oxygen concentration in the bag would have decreased and the carbon dioxide concentration would have increased.",,,
801,Oxygen -> Carbon Dioxide,,,
802,Carbon dioxide increases.,,,
803,It was changed to carbon dioxide instead of oxygen by exhaling.,,,
804,The air with oxygen and carbon dioxide will be converted into air with more carbon dioxide.,,,
805,The air is reduced and carbon dioxide is produced,,,
806,The carbon dioxide fills up.,,,
807,The concentration of oxygen decreases and the concentration of carbon dioxide increases,,,
808,The proportion of oxygen decreases and the proportion of carbon dioxide increases.,,,
809,The fresh air turned into carbon dioxide.,,,
810,The amount of oxygen decreases and the amount of carbon dioxide increases.Water vapor is also produced.,,,
811,Oxygen decreases and carbon dioxide decreases.,,,
812,It fills up with carbon dioxide.,,,
813,The amount of carbon dioxide has increased.,,,
814,The amount of carbon dioxide increases than before breathing.,,,
815,Oxygen has decreased and carbon dioxide has increased.,,,
816,Oxygen decreases and carbon dioxide increases.,,,
817,The oxygen ratio decreases and the carbon dioxide ratio increases.,,,
818,It will be filled with carbon dioxide.,,,
819,Carbon dioxide has increased.,,,
820,It is filled with carbon dioxide.,,,
821,There is a lot of carbon dioxide.,,,
822,The ingredients are different when you drink and when you spit it out,,,
823,Oxygen would have disappeared and the carbon dioxide rate would have been higher.,,,
824,"The amount of oxygen in the bag would have decreased, and the amount of carbon dioxide would have increased.",,,
825,Carbon dioxide concentration increases,,,
826,"The air in the bag is similar to fat in the atmosphere, but there is less oxygen in the bag and carbon dioxide remains.",,,
827,Why are you asking? Why are you so strict?,,,
828,"Inhalation requires oxygen, so you drink oxygen in the bag. However, in exhalation, carbon dioxide produced as a product comes out of oxygen respiration, so the oxygen ratio in the bag gradually decreases and the carbon dioxide ratio increases.",,,
829,The ratio of oxygen would have decreased and the ratio of carbon dioxide would have increased.,,,
830,The air intake is full,,,
831,There is no oxygen and there is a lot of carbon dioxide,,,
832,More carbon dioxide,,,
833,It has carbon dioxide in it,,,
834,in and out,,,
835,Oxygen would have been reduced in the bag.,,,
836,It will contain carbon dioxide.,,,
837,Oxygen is converted to carbon dioxide,,,
838,Carbon dioxide increases,,,
839,bacterial growth,,,
840,The exchange of oxygen and carbon dioxide in the lungs will reduce the proportion of oxygen in the air and increase the proportion of carbon dioxide.,,,
841,carbon dioxide,,,
842,The air seems to be fading away,,,
843,carbon dioxide production,,,
844,carbon dioxide,,,
845,be full of carbon dioxide,,,
846,"Because humans have relatively less oxygen and more carbon dioxide in the air they exhale than they do when they breathe in, the oxygen concentration in the bag would have been lower and the carbon dioxide concentration would have been higher.",,,
847,full of carbon dioxide,,,
848,Oxygen is reduced and carbon dioxide is high,,,
849,The air seems to have changed,,,
850,The air expanded and the air pressure increased.,,,
851,The air pressure in the bag would have increased.,,,
852,This is because the amount of oxygen has decreased.,,,
853,The air filled with oxygen turned into carbon dioxide,,,
854,Increased carbon phosphorylation,,,
855,Increased carbon phosphorylation,,,
856,Oxygen is gone and carbon dioxide is produced,,,
857,Oxygen is lost in the bag and only carbon dioxide is left.,,,
858,"Oxygen is scarce, carbon dioxide is increased.",,,
859,Increase in carbon dioxide,,,
860,Oxygen is reduced and carbon dioxide is increased amount of carbon dioxide increases.,,,
861,The plastic bag is filled with carbon dioxide,,,
862,The bag contains more carbon dioxide than oxygen,,,
863,The air component changed from oxygen to carbon dioxide.,,,
864,It's full of carbon dioxide inside,,,
865,It's decreasing,,,
866,The concentration of carbon dioxide would have increased.,,,
867,"Oxygen is gradually lost, and it is filled with carbon dioxide.",,,
868,Oxygen Reduction Carbon Dioxide Increase,,,
869,Oxygen has decreased and carbon dioxide has increased,,,
870,Oxygen is reduced,,,
871,It's getting damp,,,
872,Eating all the air,,,
873,Increase in carbon dioxide content,,,
874,The air that we can rest gradually disappears. Oxygen disappears.,,,
875,Oxygen would have decreased and carbon dioxide would have increased.,,,
876,Carbon dioxide increases.,,,
877,Oxygen has decreased,,,
878,The amount of carbon dioxide in the bag increases,,,
879,Oxygen has decreased and carbon dioxide has increased,,,
880,It's full of carbon dioxide.,,,
881,There is water in the plastic bag,,,
882,Oxygen in the bag would have decreased and carbon dioxide would have increased.,,,
883,"Oxygen enters into the inhalation, and carbon dioxide comes out from exhalation, and the bag is filled with carbon dioxide.",,,
884,an increase in carbon dioxide,,,
885,Moisture develops,,,
886,The air has shrunk,,,
887,The concentration of carbon dioxide in the bag increases,,,
888,The air has shrunk.,,,
889,It's full of carbon dioxide.,,,
890,Breathing will kill oxygen and fill it with nitrogen.a decrease in the amount of air,,,
891,"The oxygen in the bag is consumed by inhalation, and the carbon dioxide in the bag by exhalation becomes difficult to breathe",,,
892,The amount of oxygen decreases and the amount of carbon dioxide increases,,,
893,Oxygen is reduced and carbon dioxide is produced.,,,
894,The percentage of carbon dioxide increases.,,,
895,Carbon dioxide has increased,,,
896,"First, breathe oxygen into the bag and exhale carbon dioxide",,,
897,The sacred air is full of carbon dioxide because I inhale and exhale carbon dioxide.,,,
898,Increased carbon dioxide concentration and decreased oxygen concentration,,,
899,Oxygen is lost in the fresh air and carbon dioxide is produced.,,,
900,"When carbon dioxide is released by exhalation, it reduces oxygen in the bag and becomes humid because of moisture in the bag",,,
901,There's carbon dioxide in it,,,
902,There is a lot of carbon dioxide has increased,,,
903,The carbon dioxide concentration increases,,,
904,It produces carbon dioxide,,,
905,It's shrunk.,,,
906,The oxygen ratio in the bag increases and the carbon dioxide ratio decreases.,,,
907,carbon dioxide production,,,
908,The amount of oxygen in the bag decreases and the amount of carbon dioxide increases.,,,
909,"After several breaths, the air will increase and decrease.",,,
910,an increase in carbon dioxide,,,
911,Ingredients (air is carbon dioxide),,,
912,The air has warmed up,,,
913,It will be filled with carbon dioxide,,,
914,It looks like carbon dioxide is in a bag.,,,
915,The air will be much less than the first time.,,,
916,I don't think there's much air.,,,
917,There is no air.,,,
918,,,,
919,,,,
920,"""",,,
921,The good air in the bag disappears and only the stuffy air is filled.,,,
922,The air is gone.,,,
923,The inside of the plastic bag becomes blurry,,,
924,The proportion of carbon dioxide has increased,,,
925,"If you have done it several times, carbon dioxide will enter the bag and there will be no air in the large bag.",,,
926,The bag with air in it will shrink,,,
927,The air is going to be more drained than the first time.,,,
928,Moisture and a little carbon dioxide are produced.,,,
929,The air in the bag is likely to warm up,,,
930,Oxygen instead of fresh air,,,
931,"When you breathe in, there is no air, so oxygen disappears, and your breath warms you",,,
932,"The amount of carbon dioxide will increase, and the amount of air will decrease.",,,
933,The bag is filled with air,,,
934,The air in the bag has decreased,,,
935,The oxygen in the bag disappears and is filled with carbon dioxide.,,,
936,absorb oxygen and other substances into the body and exhale the rest,,,
937,"""Take oxygen and other substances into your body and exhale the rest, and you're done",,,
938,"""",,,
939,be filled with carbon dioxide,,,
940,The air in the bag will be reduced.,,,
941,The fresh air in the big plastic bag will be exhausted and only carbon dioxide will remain in the plastic bag.,,,
942,Full of carbon dioxide,,,
943,This is because the air turns into carbon dioxide.,,,
944,"This is because the air exhaled when breathing in and discharging fresh air turned into carbon dioxide, and the fresh air in the bag disappeared and turned into carbon dioxide.",,,
945,There will be a lot of carbon dioxide in the plastic bag,,,
946,There will be more carbon dioxide and less oxygen,,,
947,There is likely to be more carbon dioxide in the bag.,,,
948,"""The bag expands because of the air in it",,,
949,"""",,,
950,an increase in carbon dioxide,,,
951,The air in the bag would have changed from oxygen to carbon dioxide.,,,
952,The air in the bag must have disappeared a lot,,,
953,The air has turned into carbon dioxide.,,,
954,I think the air is going to cool off a little bit,,,
955,The temperature of the air in the bag warms up.,,,
956,I don't know,,,
957,The air has decreased.,,,
958,There will be wrinkles in the bag and some air will remain.,,,
959,Air gradually disappears from a large plastic bag,,,
960,The carbon dioxide we breathe and exhale in the bag mixes with the air in the bag.,,,
961,There will be more carbon dioxide,,,
962,be likely to swell,,,
963,There must have been some fresh air in the bag.,,,
964,"The bag, which has been breathed several times, seems to contain air.",,,
965,"The bag will be full of moisture, so the air will be bad and humid.",,,
966,"The air in the bag is inhaled through the breathing process and disappeared, and the space where the air is lost is filled with carbon dioxide that comes out when you exhale during the breathing process.",,,
967,"The bag will be full of moisture, so the air will be bad and humid.",,,
968,The amount of air is gradually decreasing.,,,
969,There was a change in the plastic bag that produced carbon dioxide.,,,
970,"In the first big bag, there was a lot of oxygen that we could breathe, but if we continue to breathe, it becomes increasingly difficult to breathe because there is more carbon dioxide in the big bag than oxygen.",,,
971,I'm sorry. I don't know,,,
972,The fresh air is likely to change carbon dioxide,,,
973,"There was a lot of oxygen in the first bag that we could breathe, but the more we breathe, the more carbon dioxide there is in the bag, so it will become increasingly difficult to breathe.",,,
974,swelling of the bag,,,
975,I don't know.,,,
976,The bag is likely to be full of air.,,,
977,Oxygen is gone and carbon dioxide is formed,,,
978,It's swelling up,,,
979,I can't breathe as the air in the bag disappears,,,
980,Oxygen is gone and carbon dioxide is likely to form,,,
981,I think the air will warm up,,,
982,Don't know,,,
983,The bag swelled up.,,,
984,The bag will be wrinkled,,,
985,I didn't learn it,,,
986,Air seems to have escaped,,,
987,It will be warm because the temperature is high,,,
988,It's filled with carbon dioxide from our mouths instead of oxygen,,,
989,air disappearanceA lot of air disappears.,,,
990,I don't know,,,
991,I don't know,,,
992,The air in the bag gets warm.,,,
993,"""It will be damp",,,
994,"""",,,
995,There is less oxygen.,,,
996,I don't know,,,
997,Moisture and air temperature is high,,,
998,"When we breathe air, the air disappears, and when we exhale, the air comes back.",,,
999,The air disappeared in the bag because of the inhalation of air.,,,
1000,Bubbles formed and air was carried on my back,,,
1001,The air inside the plastic bag will look blurry,,,
1002,"When clean air is in a bag and breathes, CO2 is released, and oxygen is lost, making it difficult to breathe.",,,
1003,The proportion of carbon dioxide in the air increases,,,
1004,Part of the oxygen would have been converted to carbon dioxide.,,,
1005,Oxygen disappears and carbon dioxide increases,,,
1006,contain carbon dioxide,,,
1007,I'm running out of oxygen,,,
1008,"When hyperventilation occurs, the body is forced to supply too much oxygen to prevent more oxygen from entering the body by inhaling and exhaling using the bag, resulting in water in the bag",,,
1009,"The oxygen in the bag goes into the body, the carbon dioxide in the body fills the bag, and the oxygen concentration decreases, making it difficult to breathe",,,
1010,The atoms in the air must be running wild.,,,
1011,"Carbon dioxide in the body is released, which increases carbon dioxide in the bag and reduces oxygen concentration because humans consume oxygen.",,,
1012,"The number of oxygen decreased and carbon dioxide increased. Therefore, as the number of oxygen decreases, you may have felt discomfort in breathing.",,,
1013,Oxygen became carbon dioxide,,,
1014,The carbon dioxide from the exhalation fills the bag and becomes hazy.,,,
1015,Oxygen water decreases and carbon dioxide water increases.,,,
1016,There's a lot of carbon dioxide,,,
1017,There's less oxygen and more carbon dioxide,,,
1018,Oxygen has decreased,,,
1019,Carbon dioxide is really,,,
1020,It fills up with exhaled carbon dioxide,,,
1021,The amount of carbon dioxide will increase,,,
1022,I think there is less oxygen and more carbon dioxide.,,,
1023,Oxygen is almost gone,,,
1024,This is because oxygen disappears.,,,
1025,It's swelling up,,,
1026,It's swelling up,,,
1027,"The carbon dioxide in our body is in the bag, and all the oxygen is gone, and only carbon dioxide is left",,,
1028,There's only carbon dioxide left,,,
1029,Oxygen is reduced and carbon dioxide is produced,,,
1030,I think it's going to decrease,,,
1031,More carbon dioxide,,,
1032,"""When you breathe out, carbon dioxide comes out",,,
1033,"The more you breathe, the higher the amount of carbon dioxide in the bag air.""",,,
1034,Water drops form,,,
1035,Oxygen has decreased and carbon dioxide has increased.,,,
1036,It's disappearing,,,
1037,Is there a bubble?,,,
1038,There is only carbon dioxide left.,,,
1039,There is less oxygen.,,,
1040,with reduced oxygen,,,
1041,The percentage of carbon dioxide in the bag increases,,,
1042,It produces carbon dioxide,,,
1043,carbon dioxide production,,,
1044,Does oxygen gradually decrease and carbon dioxide increase?,,,
1045,There's a lot of carbon dioxide,,,
1046,Carbon disulfide becomes relatively high compared to oxygen.,,,
1047,Oxygen has decreased and carbon dioxide has increased.,,,
1048,The carbon dioxide concentration of the air in the bag has increased.,,,
1049,Carbon dioxide is increasing,,,
1050,The amount of oxygen decreases and the amount of carbon dioxide increases.,,,
1051,Air enters the bag,,,
1052,Becoming Carbon Dioxide,,,
1053,It is full of carbon dioxide,,,
1054,It's getting damp,,,
1055,Carbon dioxide is produced,,,
1056,The air is not clean,,,
1057,The air has disappeared a lot compared to the first time.,,,
1058,"There will be carbon dioxide in the bag, not oxygen",,,
1059,It's full of carbon dioxide,,,
1060,The amount of CO2 has increased,,,
1061,I don't know,,,
1062,"The bag will run out of oxygen, making it difficult to breathe",,,
1063,Oxygen has been converted into carbon dioxide,,,
1064,There's more carbon dioxide increases,,,
1065,"""While drinking Sansol, my body releases carbon dioxide when I'm angry, so the bag",,,
1066,"It's full of carbon dioxide.""",,,
1067,There would be less oxygen and more carbon dioxide inside.,,,
1068,Carbon dioxide has increased in the air in the bag.,,,
1069,There is less air in the bag,,,
1070,The amount of carbon dioxide has increased,,,
1071,More carbon dioxide,,,
1072,There is a lot of carbon dioxide has increased,,,
1073,Oxygen has decreased,,,
1074,I don't know.,,,
1075,Oxygen in the air disappears and carbon dioxide is produced,,,
1076,The carbon dioxide has become full,,,
1077,Carbon dioxide has increased.,,,
1078,There will be less oxygen and more carbon dioxide,,,
1079,Oxygen is reduced and carbon dioxide is produced,,,
1080,Oxygen is reduced,,,
1081,Oxygen would have been lost in the bag.,,,
1082,The oxygen in the plastic bag is gradually reduced due to inhalation and the amount of carbon dioxide is increased by exhalation,,,
1083,"""I was breathing in the air from the balloon, and I was breathing in oxygen and exhaling carbon dioxide, so the concentration of carbon dioxide in the balloon increased",,,
1084,I must have been frustrated because I couldn't drink a lot of oxygen,,,
1085,The oxygen in the bag gradually disappears and fills up with carbon dioxide,,,
1086,Tin dioxide has increased,,,
1087,The amount of oxygen in the bag decreases and the amount of carbon dioxide increases,,,
1088,Oxygen decreases and carbon dioxide increasesThe carbon dioxide composition ratio increases as you breathe,,,
1089,The composition ratio of carbon dioxide increases.,,,
1090,The oxygen content of the air in the plastic bag decreased and the carbon dioxide content increased.,,,
1091,Increased carbon dioxide,,,
1092,Oxygen has been converted into carbon dioxide,,,
1093,Water droplets have formed.,,,
1094,Carbon dioxide is mixed in the bag.,,,
1095,The air is gone and carbon dioxide is filled,,,
1096,"At first, there was oxygen in the bag, but carbon dioxide is produced by inhaling and breathing",,,
1097,More carbon atomization,,,
1098,It'll be white and steamy,,,
1099,It'll be white and steamy,,,
1100,full of carbon dioxide,,,
1101,Oxygen becomes thin and carbon dioxide increases,,,
1102,More carbon dioxide from exhalation.,,,
1103,It's full of carbon dioxide,,,
1104,There's less oxygen and more carbon dioxide,,,
1105,The percentage of carbon dioxide in the bag air has increased.,,,
1106,Full of carbon dioxide from oxygen,,,
1107,Circulation,,,
1108,"Fresh air enters me, carbon dioxide goes out of my body and breathes many times, and then the air in the bag is filled with carbon dioxide.",,,
1109,"When I breathe in, I breathe in oxygen, I breathe out carbon dioxide and oxygen",,,
1110,The fraction of oxygen decreases and the fraction of carbon dioxide increases.,,,
1111,Both inhale oxygen and exhale carbon dioxide when exhale. There will be a lot of carbon dioxide in the air.,,,
1112,There is a lot of carbon dioxide. Oxygen is reduced.,,,
1113,The composition of the air changes.,,,
1114,The specific gravity of carbon dioxide increases and the specific gravity of oxygen decreases.,,,
