,"2) How can I compare the richness of salt water in A, B, and C beakers other than a taste?",q36_weight,q36_deposition,q36_measurement,q36_color,q36_taste
641,Add more salt and measure the amount of salt that is not dissolved.,,,,,
642,"The same solvent is prepared and dissolved to calculate the concentration. Alternatively, after preparing the same amount of solution, all water is evaporated to compare the remaining amount of solute.",,,,,
643,Determine the amount of salt that has been evaporated and melted.,,,,,
644,Check to see if the clip pops up,,,,,
645,Let's see. Sexy,,,,,
646,Drop the grapes into the water and see if they float or not.,,,,,
647,the color of water,,,,,
648,"""There are ways to see colors or transparency",,,,,
649,"""",,,,,
650,It is determined that the reaction from the other solution is strong.,,,,,
651,Evaporate and compare how much salt comes out,,,,,
652,Heat to evaporate only the beaker water to check the amount of salt remaining,,,,,
653,Compare the amount of salt by evaporating the water in salt water.,,,,,
654,Compare the colors. Measure the weight,,,,,
655,Compare the amount of salt remaining by evaporating all the water.,,,,,
656,Check the degree of transparency.,,,,,
657,I see that the salt has sunk.,,,,,
658,Look at the color,,,,,
659,I'm going to evaporate all the water,,,,,
660,The smell,,,,,
661,I'm going to get the smell it,,,,,
662,"See the color of the water. (If it's dark, it's dark.If it's light, it's light",,,,,
663,Check the electrical conductivity.,,,,,
664,"The salt water in the beaker is heated to evaporate all the water, and the quality of the salt is measured or the time it takes to decompose by treating the food with salt water.",,,,,
665,Seeing with your eyes,,,,,
666,Measure % concentration or molar concentration,,,,,
667,Measure the electrical conductivity.,,,,,
668,Use a percent concentration,,,,,
669,You can see the richness of salt water under a microscope.,,,,,
670,Measure the amount of water,,,,,
671,"Measure the molar concentration of ions in each beaker. Alternatively, the current flows to compare the strength of the current.",,,,,
672,Seeing with your eyes,,,,,
673,You can compare how much it floats with cherry tomatoes,,,,,
674,See the color.,,,,,
675,"Add the pigment to each beaker.And put them in the same graduated cylinder one by one.The more salt you add, the heavier it is, so you can compare it.",,,,,
676,observe with one's eyes,,,,,
677,It can be seen by the richness of the water in the beaker.,,,,,
678,Compare the colors,,,,,
679,"If Wook-joon dies after putting it in his body, it's salty, and if he doesn't die, it's less salty.",,,,,
680,"After weighing, subtract the weight of the beaker from the initial weight of the water and compare it.",,,,,
681,Soak eggshells in salt water.,,,,,
682,I'm going to add vegetables,,,,,
683,pick up vegetables,,,,,
684,Add vegetables.,,,,,
685,Pour it into a piece of paper and check,,,,,
686,Compare if the salt water is dark,,,,,
687,I'm going to try it,,,,,
688,Check the concentration by adding sodium chloride.,,,,,
689,Concentration measurement,,,,,
690,Weighing,,,,,
691,Evaporate the water and check the amount of salt left,,,,,
692,EvaporationMeasure the amount of salt left over by heating,,,,,
693,Concentration,,,,,
694,Eat.,,,,,
695,Bring to a boil and measure the amount of salt left,,,,,
696,"""Concentration meter",,,,,
697,"the mass of salt that has evaporated""",,,,,
698,Salinity meter,,,,,
699,Heat to determine the amount of salt,,,,,
700,Measure the concentration of salt,,,,,
701,Weighing,,,,,
702,Put it in the salt water concentration tester,,,,,
703,Use a sodium concentration machine,,,,,
704,I don't know salt water,,,,,
705,"Smell it, put it in your eyes.",,,,,
706,Weigh the salt water,,,,,
707,Add freshwater fish/eggs,,,,,
708,Place the eggs on top of the ABC beaker.,,,,,
709,"When heated, the amount of salt remains",,,,,
710,Check the amount of salt by evaporating water.,,,,,
711,a salinity meter,,,,,
712,"""Mixing at the same time and dissolving most quickly is a",,,,,
713,The second thing that is useful is b,,,,,
714,The third thing that dissolves is c,,,,,
715,The reason is that the dissolving time varies depending on the amount of salt,,,,,
716,See color.,,,,,
717,Measure the weight.,,,,,
718,Color or intuition (?),,,,,
719,Put something like a cherry tomato,,,,,
720,You can tell by oil(?) paper,,,,,
721,When cherry tomatoes come to mind by dropping them,,,,,
722,floating eggs,,,,,
723,Measure the weight.,,,,,
724,Try it. Calculate it. (Weight of salt / Salt water = Thickness),,,,,
725,"If the concentration of the solution is high, you can use a method that increases the buoyancy",,,,,
726,Use the formula to calculate the concentration of salt water and compare it.,,,,,
727,Add the tomatoes.,,,,,
728,Measure the weight.,,,,,
729,Look at the colors or float the cherry tomatoes,,,,,
730,"""It can be measured to be more translucent when viewed with the eyes.",,,,,
731,Add cherry tomatoes or eggs to measure the width of the egg/floating tomato.,,,,,
732,Weigh each beaker and measure it with a heavier one.,,,,,
733,"""",,,,,
734,"""It's translucent when you look at it with your eyes",,,,,
735,"And if you add eggs or cherry tomatoes, it becomes thicker.""",,,,,
736,Look at the color and the hydrometer. Measure by adding quail eggs to float or sink.,,,,,
737,"The higher the thickening of salt water, the higher the thickening of tomatoes, or the comparison of the color of salt water can be found",,,,,
738,I'm not using a concentrator to check and heat to compare more crystals to fill two lines,,,,,
739,Look at the color of the salt and the hydrometer.It can also be compared by floating or sinking quail eggs.,,,,,
740,Put an egg in salt water to compare whether it floats or not.,,,,,
741,"""When you go to the sea, your body floats because there's salt in the sea",,,,,
742,"It floats. When you compare thickness, you put an object in it and when it floats high,",,,,,
743,"The salt is thick, and when it sinks, it's little or no.""",,,,,
744,Put things in to check if they float well or sink well.,,,,,
745,We can compare that there will be more crystals by checking with a concentration meter and applying heat.,,,,,
746,Check if the cherry tomatoes are floating or not,,,,,
747,"When you go to the sea, your body floats when the salt water is strong",,,,,
748,Put cherry tomatoes in a beaker to classify the richness of salt water.,,,,,
749,"If you use a flag or look at the color, there is a lot of salt, and if it is soft, there is not much salt. And put a light object to see if it floats.",,,,,
750,The ratio of salt water can be compared between high and low.,,,,,
751,"Put things in A, B, and C beakers and put them in (the better they float, the darker they are, the lighter they are) Compare the colors (the darker the water, the lighter the water is)",,,,,
752,"Compare by color, compare by taste, use simple non-critical",,,,,
753,Check the remaining salt,,,,,
754,Compare the concentrations,,,,,
755,Compare the concentrations,,,,,
756,I don't know.,,,,,
757,I'm going to boil it,,,,,
758,I don't understand.,,,,,
759,Reactivity with concentration meter salt and semi-reactive chemicals,,,,,
760,Use the following formula for concentration of salt water.,,,,,
761,Dry it and check the amount of salt,,,,,
762,Determine the amount of salt left by evaporating.,,,,,
763,Determine the amount of salt left by evaporating.,,,,,
764,Heat it up.,,,,,
765,Check the temperature.,,,,,
766,"""Compare the richness of the colors.",,,,,
767,"""",,,,,
768,"""Compare the amount of salt in it",,,,,
769,"Check the boiling point and melting point""",,,,,
770,Heat it up.,,,,,
771,Boil salt water and evaporate to determine the amount of salt.,,,,,
772,I'm going to make an observation,,,,,
773,I don't know,,,,,
774,I don't know.,,,,,
775,It's far away!,,,,,
776,Concentration measurement,,,,,
777,Compare the amount by evaporating water,,,,,
778,Add eggs,,,,,
779,Bring salt to a boil,,,,,
780,I'm going to add eggs,,,,,
781,floating eggs,,,,,
782,Just follow your gut,,,,,
783,I'm going to scoop up the raw eggs,,,,,
784,Add eggs and compare how much it floats,,,,,
785,Add eggs or measure the concentration with a machine,,,,,
786,the amount of salt that has sunk,,,,,
787,"Take a certain amount of water, evaporate it, and find the remaining amount of salt.",,,,,
788,Differentiate the concentration of colors or compare the boiling point,,,,,
789,Check the amount of salt left by evaporating.,,,,,
790,Pour the same amount of salt water and dry it in the sun. The large amount of salt remaining is the concentrated salt water.,,,,,
791,"To compare the massUse a density difference. The highest density goes down and the lowest density goes up.(Layers are formed, water is not mixed)",,,,,
792,Add eggs,,,,,
793,Wait until the water evaporates and compare the amount of salt.,,,,,
794,Determine the saturation by evaporating some of the water.,,,,,
795,Lower the temperature and compare the time of deposition first.,,,,,
796,"Electrical conductivity measurement, density measurement",,,,,
797,Weigh by evaporating,,,,,
798,Measure the conductivity.,,,,,
799,"I'm going to scoop out the eggs. If the concentration is high, there will be a lot of crab eggs.",,,,,
800,Measure electrical conductivity or density.,,,,,
801,"Check electrical conductivity, buoyancy, boiling point, etc.",,,,,
802,"Measurement of boiling point, electrical conductivity, freezing point",,,,,
803,Measure the electrical conductivity,,,,,
804,"Measure the boiling point. Electrical conductivity, freezing point",,,,,
805,Compare the density or the amount of salt left by evaporating water,,,,,
806,Let's lower the temperature,,,,,
807,osmosis,,,,,
808,Measurement of electrical conductivity or density,,,,,
809,and so on,,,,,
810,I don't understand.,,,,,
811,Using a concentration measuring machine,,,,,
812,Check by evaporating water,,,,,
813,Check the acidity,,,,,
814,Let's evaporate all the water.,,,,,
815,Weighing,,,,,
816,Calculate the concentration,,,,,
817,I'm going to scoop up the eggs.,,,,,
818,Float eggs or use semipermeable film.,,,,,
819,Check using indicators.,,,,,
820,"Use pigments to make different colors of a, b, and c beakers, and then make cocktails using density differences.",,,,,
821,Measure the acidity.,,,,,
822,I don't know.,,,,,
823,"Compare the mass of salt water in the same volume. The higher the mass, the higher the concentration.",,,,,
824,To measure with osmotic press,,,,,
825,Compare the amount of salt that evaporates water.,,,,,
826,Use scientific tools to filter out salt,,,,,
827,Evaporate the water.,,,,,
828,Use a concentration meter to compare the thickness. Heat salt water to compare the amount of salt remaining.,,,,,
829,Compare electrical conductivity.,,,,,
830,Salt water that conducts electricity is thicker.,,,,,
831,I'm going to scoop out the eggs,,,,,
832,Compare the amount of salt left by evaporating water.,,,,,
833,"Each object having the same density as the density of salt water contained in the B beaker is placed in the A B beaker and compared. The strong salt water means that the amount of salt contained in the same amount of water is large, which means that the density of salt water is high. So if you put the object in C, it will float, and if you put it in A, it will sink.",,,,,
834,Heat all the water in the beaker to compare the amount of salt.,,,,,
835,Comparison of amount of salt detected by boiling,,,,,
836,"Experiment is conducted to deposit salt by evaporating water by heating the beaker. The beaker is the one with the highest thickening, in which salt is first deposited.",,,,,
837,"First, one way is to divide the amount of salt added by the amount of solution. If the amount of salt is divided by the amount of solution, the answer is in the form of free water in which the amount of salt in the solution is less than 1 and greater than 0. Therefore, the larger these values, the greater the intensity of salt water, and the smaller the value, the smaller the intensity of salt water. The second method is to compare the amount of salt produced by adjusting the amount of water in a, b, and c beaker to the same temperature. A degree to which a solute is dissolved in the solution is proportional to the temperature and the amount of the solution, so if the amount of the solution is the same and the temperature is cooled, salt is deposited in a supersaturated state. The higher the amount of salt deposited here, the more salt is contained in the solution, and the thicker the salt water is.",,,,,
838,"""I think we can take advantage of the difference in the amount of salt dissolved in each beaker of A, B and C. If you heat A, B, and C to increase the temperature and vaporize the water, and compare the amount of salt remaining, you can see that the salt water is thick. I think you can use osmotic pressure. The salt water at that concentration is high, and it will be transferred to the concentration of salt water, so we can divide A, B, and C and compare which direction each salt water moves.",,,,,
839,"""",,,,,
840,Look at the color. It evaporates.,,,,,
841,"Dissolve all the solutes in the solvent and equalize the amount of the solution. And use an alcohol lamp to evaporate all of them, leaving only salt. At this time, the higher the amount of salt, the darker the residue of salt water.",,,,,
842,It can be seen that the salt is not completely dissolved and the substance floating on top is thicker. (I don't know... [Crying],,,,,
843,"As a method for comparing the richness of salt water in A, B, and C beakers, the amount of salt crystals remaining by evaporating all the water is compared. Since the concentration of salt water depends on the amount of salt crystals dissolved in the same amount of water, the richness of salt water can be compared by measuring and comparing the amount of salt crystallized by evaporating all water.",,,,,
844,"To compare the richness of salt water in A, B, and C beakers, a method other than tasting is to compare the richness by evaporating salt water by applying hot heat to check the salt grains.",,,,,
845,"Heat A, B, and C beakers respectively to record the boiling point and compare them. Because the higher the concentration, the higher the boiling point due to the rise in the boiling point. In addition, the concentration of salt water can be compared by evaporating all of the water from the A, B, and C beakers and comparing the amount of salt remaining at the end. Finally, the current flows through the A, B, and C beakers and compares the strength of the current. Salt is an electrolyte, so the more it melts, the stronger the current will flow.",,,,,
846,"In order to compare thickness, let's evaporate and distinguish the amount of crystals",,,,,
847,"By lowering the temperature of the salt water, the solubility is reduced, and the salt is deposited again in the water. When you float an item, the one that floats the most is the one with the highest concentration.",,,,,
848,"Color, density, smell",,,,,
849,"Each beaker has a different thickness of salt water. This means that there are more sodium ions and chlorine ions, which are components of salt. Here, the flow of current to each beaker will result in less resistance to more beakers than fewer beakers, allowing the thickening of salt water to be compared.",,,,,
850,"The more salty beakers, the greater the density size. Buoyancy increases as the density increases, when objects such as eggs and coins are added to compare the degree to which the object floats, the strength of salt water in A, B, and C beakers can be compared.",,,,,
851,I'm sorry.,,,,,
852,"First of all, it can be used that the density varies depending on the concentration. Therefore, you can put boiled eggs in salt water and compare them to the height at which the eggs are floating. Second, it can be compared through osmotic pressure depending on the concentration. Put the osmotic membrane in the U-shaped tube, and put different solutions on both sides. Then, water moves according to the concentration by osmotic pressure, and water, which is a solvent, moves from a low concentration to a high concentration. Finally, it can be confirmed by comparing the mass in salt water of the same volume using the first different densities described.",,,,,
853,I'm going to add cherry tomatoes,,,,,
854,I don't know.,,,,,
855,Calculate the concentration by the formula and compare who has the highest concentration.,,,,,
856,I'm going to scoop out the cherry tomatoes.,,,,,
857,I'm going to float the tomatoes.,,,,,
858,"Find the weight of salt water with salt, divide the salt water by the amount of salt, multiply by 100, and find the concentration and compare.",,,,,
859,Let's float the cherry tomatoes.,,,,,
860,We can use the formula to determine the thickness.,,,,,
861,I'm going to float the tomatoes.,,,,,
862,M and D,,,,,
863,Use a percentage to obtain.,,,,,
864,Place eggs or cherry tomatoes on top,,,,,
865,Check the color change in the face beaker.,,,,,
866,Run an egg.,,,,,
867,Maybe we should look at the color? Maybe there's another way.,,,,,
868,Add eggs to the salt water,,,,,
869,I don't know.,,,,,
870,Use the formula to find the concentration,,,,,
871,Compare each with a ball in the water,,,,,
872,Add eggs to the salt water,,,,,
873,How thick it is,,,,,
874,Calculate the concentration,,,,,
875,Add eggs,,,,,
876,I'm going to add a cherry tomato,,,,,
877,Experiment,,,,,
878,Compare the amount of salt,,,,,
879,Weight (mass) is measured,,,,,
880,See color.,,,,,
881,Look.,,,,,
882,I'm going to scoop the egg,,,,,
883,I'm going to scoop up the eggs.,,,,,
884,Let's run on strawberries,,,,,
885,I'm going to scoop up the eggs.,,,,,
886,Colors,,,,,
887,Compare colors.,,,,,
888,to check the amount of salt by evaporating water,,,,,
889,Compare thickening in order of adding a lot of salt.,,,,,
890,Add cherry tomatoes to compare the floating heightFloat cherry tomatoes or eggs in water.,,,,,
891,I'm going to put in an object,,,,,
892,dropping an egg,,,,,
893,Put cherry tomatoes in a beaker with salt water,,,,,
894,the amount of salt in one's,,,,,
895,Add cherry tomatoes.,,,,,
896,I'm going to soak the tomatoes.,,,,,
897,To measure concentration,,,,,
898,Measure the concentration.,,,,,
899,Color comparison,,,,,
900,To determine the amount of salt by evaporating.,,,,,
901,Jump over objects like tomatoes.,,,,,
902,I'm going to evaporate it,,,,,
903,the salt left when water evaporates,,,,,
904,"When evaporated, the amount of salt left in the beaker",,,,,
905,I use a salinity meter,,,,,
906,Use a salinity meter.,,,,,
907,It's a salinity meter,,,,,
908,I use a salinity meter,,,,,
909,Check the concentration.,,,,,
910,"Add something like tomato, so if the tomato is on top, the thickness is high and if it is on the bottom, the thickness is low.",,,,,
911,Check the viscosity with a stick.,,,,,
912,Use a salinity meter.,,,,,
913,Use the concentration calculation method,,,,,
914,I don't know.,,,,,
915,Measure the concentration,,,,,
916,Measure the concentration,,,,,
917,"Salt water measures salinity. Therefore, since salinity can be measured using a salinity meter sold on the market, it is measured by buying a salinity meter.",,,,,
918,visually distinguish colors,,,,,
919,Concentration calculation method,,,,,
920,Use a salinity meter to compare the richness of salt,,,,,
921,Compare the richness of salt water using a salinity meter.,,,,,
922,Use a salinity meter.,,,,,
923,Use a salinity meter.,,,,,
924,Compare with a salinity meter.,,,,,
925,Use paper to measure the concentration of salt.,,,,,
926,It can be compared to the thickness of the water.,,,,,
927,"The thicker the solution is, the more the cherry tomatoes float, so there is a way to recognize it as a cherry tomato",,,,,
928,"Oh, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah",,,,,
929,I'm going to scoop up the eggs.,,,,,
930,Don't know,,,,,
931,Don't know,,,,,
932,Color in water,,,,,
933,:(,,,,,
934,Check the concentration.,,,,,
935,Measure it on an electronic scale.,,,,,
936,Let's take a look,,,,,
937,Check the density,,,,,
938,View by color,,,,,
939,A stick or a taste?/,,,,,
940,Put an egg and measure the martial arts,,,,,
941,Tasting Color-Brown Evolution,,,,,
942,the turbidity of water,,,,,
943,Add the red cabbage scent to see the color change.,,,,,
944,It's too salty,,,,,
945,I don't know,,,,,
946,You can tell by the percentage,,,,,
947,Compare the colors to the solution and use cherry tomatoes.,,,,,
948,"""Experiment with solution",,,,,
949,"""",,,,,
950,Experiment with solution.,,,,,
951,Compare by color,,,,,
952,Weighing,,,,,
953,Drink it or dip it in a stick.^^,,,,,
954,I see it with my eyes,,,,,
955,Color,,,,,
956,I don't know if it splits a lot or not that much,,,,,
957,Look at the salt,,,,,
958,Color?,,,,,
959,Observe liquid-sensitive paper in each beaker.,,,,,
960,I'm going to evaporate it,,,,,
961,Calculate the concentration,,,,,
962,It evaporates water,,,,,
963,Evaporating,,,,,
964,to know by calculation,,,,,
965,Compare by inserting objects that can be viewed using a hydrometer.,,,,,
966,I have no idea.,,,,,
967,Never drink salt water when you do an experiment.,,,,,
968,..,,,,,
969,I don't know,,,,,
970,???,,,,,
971,Add more salt,,,,,
972,Measure it with a concentration meter.,,,,,
973,I don't know.,,,,,
974,Measure the acidity,,,,,
975,I don't know,,,,,
976,Keep boiling water to check the remaining salt,,,,,
977,Put in the concentration meter. Soak red blood cells. Dip the clams in and let them have it.,,,,,
978,I don't know,,,,,
979,I don't know.,,,,,
980,I don't know.,,,,,
981,I'm going to make it neutral. I'm going to make an electric current,,,,,
982,Using Tools,,,,,
983,Compare boiling points,,,,,
984,Determine one substance and compare the degree of floating in water.,,,,,
985,I don't know.,,,,,
986,Evaporate the water to see the amount of salt left,,,,,
987,"Compare the amount by applying heat for a long time to evaporate water, leaving only salt",,,,,
988,I don't know.,,,,,
989,Using the concentration check machineHeat it up.,,,,,
990,It uses a method of evaporating by heating for a long time,,,,,
991,The water evaporates. Using a Salinity Meter,,,,,
992,I don't know.,,,,,
993,"Using a salinity meter, check the amount of salt by evaporating water",,,,,
994,Evaporate or float a light object.,,,,,
995,"Salt (NaCl) becomes Na+ and cl-ions when dissolved in water, so thickness can be compared by measuring conductivity of electricity.",,,,,
996,to know by calculation,,,,,
997,"By looking at it with your eyes, you can see the richness of salt water through the degree of turbidity, and the amount of water is the same, but the amount of salt is different, so you can infer the richness of salt water.",,,,,
998,Weighing,,,,,
999,It evaporates water,,,,,
1000,I don't know,,,,,
1001,I don't know,,,,,
1002,I don't know,,,,,
1003,I don't know,,,,,
1004,Add more salt,,,,,
1005,Just find out how much we've made with the machine,,,,,
1006,Add cherry tomatoes,,,,,
1007,You just need to smell it,,,,,
1008,All right.,,,,,
1009,Adjust the amount of water with a pipette,,,,,
1010,I don't know,,,,,
1011,I don't know,,,,,
1012,"When the salt water is stirred equally, what melts late or quickly?",,,,,
1013,Compare the amount of salt.,,,,,
1014,Eat the same amount.,,,,,
1015,I don't know,,,,,
1016,"If you drink it at once, you can feel the taste",,,,,
1017,I don't know.,,,,,
1018,Put your hand on the Habit.,,,,,
1019,I don't know.,,,,,
1020,I don't know,,,,,
1021,Color,,,,,
1022,filter water out,,,,,
1023,Evaporate it,,,,,
1024,Try a concentration meter,,,,,
1025,I'll take it with my hand,,,,,
1026,Smelling,,,,,
1027,Compare the time of crystallization by lowering the temperature of the water,,,,,
1028,I'm feeding my friend,,,,,
1029,Heat to evaporate all the water,,,,,
1030,All right.,,,,,
1031,Connect the light bulbs to compare the brightness of the bulbs,,,,,
1032,Measure the concentration with a concentrator,,,,,
1033,Cut to measure the amount of salt,,,,,
1034,I'm going to boil it,,,,,
1035,Concentration check,,,,,
1036,Measure it with a concentrator,,,,,
1037,Add a concentrator,,,,,
1038,Tongue.,,,,,
1039,Compare the amount of salt remaining by heating.,,,,,
1040,"Measure the salt concentration, compare the amount of salt not dissolved in the beaker",,,,,
1041,It evaporates water,,,,,
1042,Just eat it.,,,,,
1043,I don't know,,,,,
1044,I don't know,,,,,
1045,Sex.,,,,,
1046,Shake it off,,,,,
1047,Light objects are floated to determine the extent to which they are submerged.,,,,,
1048,Check the turbidity of the water.,,,,,
1049,Well,,,,,
1050,I don't know,,,,,
1051,The water evaporates.,,,,,
1052,You just have to give multiple choice questions,,,,,
1053,A taste of baldness,,,,,
1054,Evaporate it,,,,,
1055,Compare the degree to which water floats.,,,,,
1056,All water is evaporated to compare the amount of salt remaining.,,,,,
1057,"Float a solid with a specific density, weigh the salt water.",,,,,
1058,See color.,,,,,
1059,Compare the concentration by comparing the amount of salt to the amount of water.,,,,,
1060,Weigh the salt.,,,,,
1061,Measure the weight of the beaker containing each salt water.,,,,,
1062,Machine,,,,,
1063,Evaporating,,,,,
1064,Use a machine to measure the concentration. I'm going to scoop up the eggs.,,,,,
1065,Compare the amount of salt derived by evaporating salt water.,,,,,
1066,The concentration can be obtained by comparing the amount of salt that is evaporated^^,,,,,
1067,Evaporate the solution and look at the amount of salt dissolved.,,,,,
1068,Let's evaporate. Put your hands in.,,,,,
1069,Colors,,,,,
1070,the color change of water,,,,,
1071,Put in litmus paper,,,,,
1072,The litmus paper...,,,,,
1073,soak raw meat,,,,,
1074,I'm going to try it,,,,,
1075,Concentration measurement,,,,,
1076,Measure the concentration,,,,,
1077,a concentration measurement,,,,,
1078,Let's measure the salinity,,,,,
1079,Evaporate each water and measure the amount of salt that comes out,,,,,
1080,"Heat the water to measure the amount of salt left. Weigh the solution. Mix different colors of pigment in each solution, and stack a layer of liquid layer of liquid!",,,,,
1081,Make a crystal with the solution of each beaker,,,,,
1082,"""Use a salinity meter to measure salinity.",,,,,
1083,"Heat the beaker to evaporate all the water.""",,,,,
1084,a salinity meter,,,,,
1085,Check with the salinity meter,,,,,
1086,measure with a salinity meter,,,,,
1087,"""After adding the same amount of solute and melting the solute as much as possible, the concentration of the original solution is higher when comparing the amount of solute remaining.",,,,,
1088,Measure salinity using a salinity meter.Measure the amount of salt crystals by evaporating the solvent.,,,,,
1089,"If the weight of the solution is high by measuring the weight of the solution, it is a solution with a high concentration.""",,,,,
1090,Check the salinity meter.,,,,,
1091,Connect the light bulbs to compare the brightness of the bulbs.,,,,,
1092,Nitric acid is added with aqueous solution to compare the amount of sediment produced,,,,,
1093,The amount is compared by evaporating water and depositing salt.,,,,,
1094,Put the eggs in a beaker and compare the degree to which they rise.,,,,,
1095,Measurement of electrical conductivity,,,,,
1096,Comparison of electrical conductivity,,,,,
1097,Measure the electrical conductivity.,,,,,
1098,Add silver nitrate to see how much sediment is produced,,,,,
1099,Concentration comparison,,,,,
1100,Floating objects of different densities,,,,,
1101,Measurement of electrical conductivity,,,,,
1102,Check the current value by running the battery.,,,,,
1103,Measure current size,,,,,
1104,compare the amount of salt by evaporating water,,,,,
1105,Compare densities,,,,,
1106,Evaporate water to compare the remaining amount of salt,,,,,
1107,I'm going to scoop out an egg.,,,,,
1108,Check the water concentration,,,,,
1109,I don't know.,,,,,
1110,Compare the amount of salt left by evaporating water.,,,,,
1111,"""The water evaporates to find the amount of salt that remains and the concentration is obtained.",,,,,
1112,"""",,,,,
1113,"You can float the eggs. The higher the concentration of salt water, the better the object can float, so hahahahahaha the better the egg floats in the salt water, the higher the concentration of salt water.",,,,,
1114,Evaporate and check the amount of salt.,,,,,
1115,Heat to make salt and compare the amount of salt.,,,,,
1116,We're going to deposit the amount of salt.,,,,,
1117,These beakers are evaporated to compare the amount of salt left. Or compare the amount of salt that is deposited.,,,,,
1118,Add eggs and compare how well they float.,,,,,
1119,Compare the richness of salt water using a salt meter.,,,,,
1120,Put your fingers in for a long time at the same time and smell it. The solution that has a salty smell is thicker,,,,,
1121,"You can use the characteristic of boiling as well as tasting. The higher the concentration of the solution, the higher the boiling point of the solution, so if you boil A, B, and C beakers, it can be seen that the concentration of the first thing to boil is the smallest.",,,,,
1122,Check the degree to which cherry tomatoes float,,,,,
1123,"When you float an egg, you can compare how much it floats.",,,,,
1124,"Boil the salt water in each beaker. Through this, the concentration of the three salt water may be compared by comparing the boiling point of each salt water.",,,,,
1125,Lower the temperature of the water to compare the amount of salt deposited by depositing salt.,,,,,
1126,"After measuring how much salt there is by evaporating all of the A, B, and C beakers containing the same amount of salt water, it can be said that the thickness with a lot of salt is thick.",,,,,
1127,"First, the beaker, which is deposited first when the salt water is cooled, is the thickest salt water. Second, heat the salt water to evaporate the water in the salt water and compare the amount of salt remaining in the beaker. Third, float a ball in the beaker that is a little more dense than water, and then compare how much the ball is floating. The higher the ball is floating, the stronger the salt water is.",,,,,
1128,"If there is the same amount of water, boil it for the same amount of time to compare the amount of salt. Water evaporates constantly, so if there is more salt, the solution will have the least salt. Also, put different pigments in three cups and mix them in one place. Since the concentrations are different, it will not be mixed, and the salt water in the bottom color will have the highest concentration.",,,,,
1129,"Compare the density by floating cherry tomatoes. The higher the density, the better the cherry tomatoes float. A large density means that a lot of salt is dissolved, and it is thick.",,,,,
1130,"A strong salt water means a strong concentration. Since salt water is an ion-bonded material, the intensity of salt water can be compared by comparing the magnitude of the current flowing through it is possible to compare the intensity of salt water. It can be said that the greater the degree to which the current flows, the darker the salt water.",,,,,
1131,"After heating the salt water, evaporate the gas, compare the amount of salt remaining, and use the formula to obtain the concentration of the salt water, or float an object such as cherry tomatoes, and the higher the concentration.",,,,,
1132,The richness of salt water can be compared based on the salt crystals left by evaporating water.,,,,,
1133,"The amount of salt in the salt water in the A, B, and C beakers is all different, so the darker the salt water, the higher the density. Therefore, you can compare the richness of salt water by solving different colors of paint and adding three salt water to an empty beaker to compare the density.",,,,,
1134,"After you have the amount of water, you can weigh it and see how much salt is in it.",,,,,
1135,ã,,,,,
1136,Don't know,,,,,
1137,I'm going to add cherry tomatoes!^,,,,,
1138,Heat the salt water to evaporate the water. And compare by the amount of salt water left,,,,,
1139,I'm going to fry an egg.,,,,,
1140,I'm going to scoop out the eggs,,,,,
1141,I'm going to scoop out the eggs,,,,,
1142,I'm going to float the egg in water,,,,,
1143,Color,,,,,
1144,Compare the richness of salt water,,,,,
1145,Calculate the richness of salt.,,,,,
1146,Compare transparency.,,,,,
1147,I'm going to add eggs,,,,,
1148,"""Put an egg in it.",,,,,
1149,"Find and compare formulas.""",,,,,
1150,I don't know.,,,,,
1151,I can't,,,,,
1152,I'm going to dry it,,,,,
1153,Look at the color of the solution,,,,,
1154,Add cherry tomatoes,,,,,
1155,Add the cherry tomatoes.,,,,,
1156,Add cherry tomatoes.,,,,,
1157,I'm going to add cherry tomatoes,,,,,
1158,Add the cherry tomatoes,,,,,
1159,"Compare the thickness by floating substances with the same shape, size, and density in each salt water. The salt water in which the substance floats the highest is probably the salt water with the highest concentration.",,,,,
1160,Using a Concentration Measurement Machine,,,,,
1161,Evaporating,,,,,
1162,Concentration check. Weight check,,,,,
1163,Measure it with a salinity meter,,,,,
1164,",",,,,,
1165,Add cherry tomatoes.,,,,,
1166,use a mathematical formula,,,,,
1167,Calculate mathematically.,,,,,
1168,Let's open the cherry tomatoes,,,,,
1169,transparency of water,,,,,
1170,Measure the concentration,,,,,
1171,I don't know,,,,,
1172,Concentration,,,,,
1173,Concentration,,,,,
1174,I don't know.,,,,,
1175,.,,,,,
1176,I'm going to show the transparency of the water and cherry tomatoes,,,,,
1177,Colors,,,,,
1178,.,,,,,
1179,Use a salinity meter (?),,,,,
1180,Evaporate water,,,,,
1181,Compare the amount of water and salt in each beaker,,,,,
1182,Evaporate the water.,,,,,
1183,Add cherry tomatoes to compare where the cherry tomatoes stop.,,,,,
1184,"How much color and salt has sunk, etc",,,,,
1185,I don't know!,,,,,
1186,Evaluation Only. Created with Aspose.Cells for Python via Java.Copyright 2003 - 2022 Aspose Pty Ltd.,,,,,
