,"3. Shipyards that build and repair huge ships must drag the repaired ships back to the sea. But the ship is too heavy to move easily. At this time, it can be easily moved by filling the boat with water. What principle did you use to move a ship by filling it with water? Describe the force that floats an object.",q58_Bootage ,q58_Lightness
571,"A ship is a means of transportation that floats on a river or sea. The principle of a ship is to float using buoyancy that floats on the water, and if you fill the surroundings with water to use that force, the ship can float and move using a propeller.",,
572,This is because the boat floats on the water due to buoyancy.,,
573,"If a large ship is simply on the ground without any force, there will be no way to move it. But we can apply the principles of science to real life. That is buoyancy. The boat was originally designed to float in the water and follow the waterway, so if you fill the boat with water, the boat floats according to buoyancy and becomes easier to move around, so you fill it with water",,
574,"An object immersed in a fluid such as water or air uses buoyancy, which is a force received from the fluid in the opposite direction to gravity.",,
575,The force that the fluid around the object raises the object up is called buoyancy. The buoyancy can be used to pull the boat up.,,
576,A ship is a means of transportation designed to float on water. It is naturally acceptable to move around the ship with water. There is no need to use floating buoyancy to make the boat float on the water by itself and move it to a crane.,,
577,"When water rises around the ship, the ship rises above the water by buoyancy. The reason why a ship rises above the water is that the ship is filled with air, which is lighter than water, so even if the ship is heavier than water, the ship rises by the force of the air in the ship to rise above the water.",,
578,"The ship itself is very heavy, but it can be easily moved using the principle of buoyancy that a ship smaller in density than water floats on water.",,
579,"If the boat is dragged unfilled with water, friction with the floor occurs, but if the boat is filled with water, buoyancy that receives force from the fluid in an upward direction opposite to gravity can be used.",,
580,"The buoyancy separates the boat from the floor as it floats in the water, making it easier to move heavy boats.",,
581,"The following is related to buoyancy, and when the boat is filled with water around the boat, the boat is partially submerged in water and the buoyancy, which is the force that pushes it upward, acts on the boat.",,
582,"""As much as the pressure difference in the direction of gravity on the ship above water, the force to push the ship upward",,
583,"It exists. The greater the force of gravity on an object, the greater the buoyancy. You can use it to float a heavy ship.""",,
584,"An object floats a boat on water using buoyancy. If that happens, it can be moved more easily than just moving it.",,
585,"An object submerged in a fluid, such as a gas or liquid, is subjected to a force called buoyancy in the opposite direction of the earth. In other words, the reason why a ship can rise is because of buoyancy, and as the above fingerprint, filling the water around the ship increases the number of submerged objects, the buoyancy becomes stronger, so that the ship can rise more easily.",,
586,"""A ship is generally a means of transportation to pass through the sea or river, which is less dense than water",,
587,"have the property of floating in water When we move heavy objects, we put wheels on them",,
588,"If you fill the boat with water around it, it will float less and less",,
589,"You can move a ship by force.""",,
590,"The ship uses buoyancy to float on the sea. Buoyancy refers to the force that an object receives from a fluid in an upward direction opposite to gravity in a fluid such as water or air. If water is filled around the ship, buoyancy will act on the ship and float upward, so it will be easy to move the ship.",,
591,"By filling the ship with water around it, the buoyancy of the ship causes the ship to float in the water. In addition to the principle of buoyancy, the principle of frictional force was used that when a ship is floating in water, the friction force is less than when it is in contact with the floor.",,
592,"The power used by shipyards to move ships is buoyancy. Buoyancy is the force to push an object upward by the pressure difference in the direction of gravity on the upper and lower surfaces of a particular object (solid, liquid, or gaseous mass) submerged in a fluid. Due to this pressure difference, the object stops at a height at which the force to push upward is equal to the weight of the object.Through this principle, the shipyard can drag the ship to the sea without having to lift the ship directly.",,
593,"An object submerged in a fluid, such as water or air, receives a force from the fluid in an upward direction opposite to gravity, which is called buoyancy. The above principle is the use of buoyancy. When water is filled around the boat, buoyancy, which is the force that pushes it upward, acts and makes the boat float easily.Since the buoyancy of the ship and the water is stronger than the buoyancy between the ship and the air, the ship can float on the water, so fill the dry dock with water to match the level of the sea level, and open the door of the song to move the ship to the sea.",,
594,This is because they used the principle of buoyancy.,,
595,"If there's water around your stomach, you can move it more easily if you let it flow",,
596,The answer lies in Raftel. I left everything in the world there...,,
597,The ship floats by the principle of buoyancy.,,
598,Ha ha ha ha.,,
599,It uses the principle of buoyancy.,,
600,It is to use buoyancy to float the ship so that it can be easily moved.,,
601,"The ship pushes the water away, and that much water power floats the ship.",,
602,"""It's buoyancy",,
603,"""",,
604,"This is because the water around the ship weakens the frictional force, making it easier for heavy ships to move.",,
605,A boat floats on the water by buoyancy,,
606,"There is a huge air tank in a huge ship. When water is filled around the boat, buoyancy acts on it, causing the boat to float above the water. When it rises above the water, it can be easily moved using the ship's motor.",,
607,It is much easier to take with you because of buoyancy caused by water,,
608,"If you fill your stomach with water, you can easily move it by floating it in water.",,
609,The air in the ship is smaller than water.,,
610,It is to carry a heavy boat by water.,,
611,The water is jumping,,
612,The ship makes the base light enough for the water to float and rides,,
613,The weight of air in a ship is less than that of water,,
614,"The principle of floating a ship is the principle of buoyancy. Buoyancy means the force that floats, more specifically, the force that the weight of the fluid acts as a force and acts in the opposite direction to the original weight. But the idea of weight is gravity, so that means that the force acts in the opposite direction to the direction of gravity. So this large boat can also float on water through the principle of buoyancy.",,
615,"The frictional force with water is much smaller than the friction force between the ship and the floor, so it is easy to move, and the influence of gravity is offset by buoyancy, so it may be easily moved.",,
616,It uses the principle of buoyancy.,,
617,Floating a ship through buoyancy.,,
618,"Using the difference in buoyancy and density between the two densities, a low-density material floats on high-density water.",,
619,An object can move due to buoyancy.,,
620,The buoyancy of the ship,,
621,1,,
622,"A force called buoyancy acts, and water floats the boat, so it can be transferred with a small force.",,
623,buoyancy,,
624,"Boiling with buoyancy, which is the power of water to support the ship.",,
625,"Because the boat is buoyed by water, it can be moved with less force.",,
626,It's buoyancy.,,
627,The balance of power in the water causes the boat to float in the water.This is called supplementary.,,
628,buoyancy,,
629,buoyancy,,
630,.,,
631,Use buoyancy. This is because the water pushes the ship away.,,
632,Use the buoyancy of water to reduce vertical drag,,
633,"Buoyancy and water have a force to float the ship, so it can be moved with less force due to less friction.",,
634,It's buoyancy. It's the force that pushes an object toward the surface of the water because the pressure increases as the water gets deeper.,,
635,the floating of buoyancy,,
636,It's buoyancy.,,
637,buoyancy,,
638,"Use buoyancy to float, reduce friction, and drag.",,
639,It is to move the ship using the buoyancy that the water supports the ship.,,
640,buoyancy,,
641,Eliminates friction,,
642,buoyancy,,
643,the principle of buoyancy,,
644,buoyancy,,
645,"A ship floats by buoyancy. Therefore, float it in water and move it.",,
646,"It uses the principle of buoyancy. When a ship is submerged, the volume of water corresponding to its submerged volume pushes the ship in all directions, and the force in the direction of floating the ship acts, allowing it to move lighter than when there is no water",,
647,buoyancy,,
648,"When water is filled around the ship, buoyancy, which is the force of water to lift the ship, can be applied to move the ship easily.",,
649,I used buoyancy. A ship floats due to a difference in density over the water.,,
650,"Use buoyancy. As much as the ship presses the water, the water pushes the ship away, so the ship is floated by its force.",,
651,"The boat can be moved by buoyancy, the force that floats objects in water.",,
652,I used the principle of buoyancy,,
653,"When a rigid body enters a fluid, it will use the principle of buoyancy, which is the force that a solid rises as much as its volume.",,
654,"If you fill the boat with water, it is easy for the boat to move on top of the water due to buoyancy",,
655,buoyancy,,
656,the principle of buoyancy,,
657,It is the principle of using buoyancy to pull a ship.,,
658,buoyancy,,
659,It's using scientific principles.,,
660,I don't know. Is it buoyancy?,,
661,"If you fill the surroundings with water, the boat floats.",,
662,"The floodgates are installed and the water is drained during repair, and when the floodgates are opened, they are filled with water and floated with buoyancy.",,
663,buoyancy,,
664,"When filled with water, the boat floats and buoyancy acts, making it much easier to move.",,
665,I don't know,,
666,I don't know,,
667,I used the principle of buoyancy.,,
668,We used the principle that ships would float on water.,,
669,"When repairing a ship using a sluice gate, remove the water and when the ship needs to be moved after the repair, add water to float the ship with buoyancy",,
670,buoyancy,,
671,Use buoyancy to float the boat in the water.,,
672,"By filling the ship with water, the action of buoyancy, which is the force that floats objects, is greatly increased, so the ship can be easily lengthened.",,
673,Buoyancy something,,
674,Use buoyancy to float and move the boat by the force of water.,,
675,buoyancy,,
676,float by buoyancy,,
677,use buoyancy,,
678,It's using buoyancy.,,
679,buoyancy,,
680,buoyancy and pushing power,,
681,float a ship with buoyancy,,
682,buoyancy,,
683,Use water to float and move objects.,,
684,"The water floats the boat, so it can be moved a little easily.",,
685,"Buoyancy, I don't know because I don't do physics.",,
686,"The ship floats in the water, so it seems to have used the principle of density.",,
687,Buoyancy and water make it easy to move by making the mass of an object pulled by gravity close to zero gravity.,,
688,.,,
689,"Using buoyancy, I want to move objects with even a little less effort.",,
690,It can be easily moved through water by the buoyancy force that floats the object.,,
691,"When the boat is filled with water, the boat floats on the water using buoyancy.",,
692,"On water, buoyancy, a floating force, can move heavy objects with less force.In a fluid with a smaller density than that object, a buoyancy force occurs that floats upward.",,
693,The buoyancy of floating water is used to allow the boat to float in water.,,
694,"If you fill the boat with water, the boat floats due to buoyancy, so it will be much easier to float and move the boat than to move it from the ground.",,
695,It uses the principle of buoyancy.,,
696,"The force that floats an object is called buoyancy, and buoyancy is the force that a fluid, such as water or air, is submerged in an object that is subjected to a force as a fluid in an upward direction opposite to gravity. Therefore, the principle of buoyancy is used because it is more efficient to use buoyancy to float the ship and drag it out to the sea than to drag the ship from the ground without water.",,
697,Buoyancy makes the boat lighter when it floats.,,
698,"The ship has buoyancy to float on the water. Therefore, if you fill the boat with a lot of water, it will be easy to move it from the ground slightly by the buoyancy of the boat.",,
699,The principle of buoyancy is that a ship can float. It can be said that water is the power to support the ship.,,
700,"It uses the principle of buoyancy that objects float in water, and when water is filled around the ship, the ship floats in water, making it easier to move (the ship) to the sea.",,
701,"The force that floats an object is called buoyancy. Buoyancy is the force to push an object upward as much as the pressure difference in the direction of gravity on the upper and lower surfaces of a specific object submerged in a fluid. Due to this pressure difference, the object stops at a height at which the force to push upward is equal to the weight of the object. For this reason, a locked object sinks when it is denser than a liquid. Conversely, if an object is less dense than a liquid or shaped into a particular shape, such as a ship above it, the object floats by force.",,
702,"It's using buoyancy. As much as the volume of the ship, the water will float the ship above the water, and using this force, it will be able to move the ship to the defense.",,
703,"If you fill the boat with water, the boat's submerged volume increases. The ship needs less force to move because it pushes out as much water as its submerged volume and receives buoyancy such as its pushed weight.",,
704,"This is because when water is filled around the ship, buoyancy acts on the ship and floats on the water.",,
705,"When water is filled around the ship, buoyancy, which is the force of water to lift objects, causes the buoyancy to float the ship against gravity. Just as it is easier for us to push an object on the water than it is to push an object on the ground, if we fill the boat with water around it, the boat will float on the water and consequently become more mobile.",,
706,This is because the water floats on the water using buoyancy that pushes the ship up.,,
707,"This is because when the boat is filled with water, a part of the boat is submerged in water and floats.",,
708,"If the boat is filled with water, it can be easily moved. The reason is that buoyancy, the power to float the ship, was applied. The boat will be able to move much more easily than before because some of it is submerged and floated upward.",,
709,"This is closely related to buoyancy. An object submerged in a fluid, such as water or air, receives a force from the fluid in an upward direction opposite to gravity, which is called buoyancy. Usually, if the difference between the water pressure that an object receives from the bottom and the water pressure from the top is greater than the gravity that the water bottle receives, the water bottle floats above the water. In the case of a ship, it is not subjected to water pressure from the top, but only from the bottom. If this water pressure is greater than the gravity the ship receives, the ship floats. Therefore, if you add water, the boat floats, so that the boat can move along the flow of water.",,
710,"Buoyancy is the force that allows an object to float in water or air. A force equal to the weight of water pushed by an object acts upward, allowing it to float as opposed to the weight of the object, and the magnitude of the buoyancy is equal to the magnitude of the weight of one object pushing water.",,
711,"""",,
712,"An object floats on the water because it receives buoyancy. Buoyancy will create a floating force that acts in the opposite direction to gravity, so it will be able to carry the ship with less force than moving the ship from the ground.",,
713,It is to use buoyancy to float a ship,,
714,buoyancy,,
715,the principle of buoyancy,,
716,the principle of buoyancy,,
717,buoyancy,,
718,Science,,
719,It can be easily transferred using buoyancy.,,
720,tidal difference,,
721,I don't know.,,
722,"If you put water around a heavy object, it creates buoyancy and can be easily moved.",,
723,"(Singing ""Looloolala"")",,
724,using buoyancy,,
725,use buoyancy,,
726,We used the palace because the ship was aflame,,
727,A ship can easily be on the water.,,
728,I used buoyancy to float.,,
729,It moves with buoyancy.,,
730,be easy to carry by buoyancy,,
731,Fill the ship with water and remove it from the ground and move it easily,,
732,You can use buoyancy.,,
733,"When water is filled around the ship, friction between the ship and the ground decreases, making the ship move well. This makes it easier for the ship to move and move.",,
734,It's using buoyancy.,,
735,the principle of buoyancy,,
736,We used the principle of buoyancy.,,
737,The boat is floating in the water and can move easily,,
738,"Using buoyancy, he lifted a ship with a large base area",,
739,Use buoyancy to move a ship when it rises,,
740,use frictional force,,
741,It's using buoyancy.,,
742,The water is making him slippery,,
743,Water makes it easy for the ship to go by using the force of buoyancy.,,
744,"When submerged, buoyancy increases and floats well.",,
745,It is because buoyancy occurs when water meets the bottom of the ship,,
746,Use buoyancy.,,
747,floating power,,
748,"It has the property of floating matter when filled with water, so no matter how heavy a ship is, it can float with buoyancy.",,
749,This is because boats float easily using buoyancy.,,
750,"When I fill it with water, I get buoyancy and a boat rises",,
751,"The boat floats by the buoyancy of the water, so it fills the water and cuts it off",,
752,"When water is filled around, the water pushes the ship in the opposite direction of gravity, so gravity is offset, which is called buoyancy.",,
753,The boat floats in the water by buoyancy and can be easily moved along the flowing water.,,
754,Hello,,
755,"A ship is a means of transportation to the sea, so it can be easily transported by filling it with water.",,
756,It is the principle that buoyancy works in liquids,,
757,Being on the water makes it easier to move objects than being on the ground.,,
758,This is because filling the surroundings with water increases buoyancy.,,
759,Principle of buoyancy: I know,,
760,"The boat is heavy in the water, just as it floats when a person enters the water",,
761,buoyancy,,
762,buoyancy,,
763,be strong in strength,,
764,I don't know.,,
765,"I'm not a science student, I don't know.",,
766,"Because ships are made of floating objects, they can be easily moved by filling them with water",,
767,buoyancy,,
768,It used the force of buoyancy.,,
769,used buoyancy,,
770,the principle of buoyancy,,
771,I don't know,,
772,to use buoyancy to lift an object,,
773,buoyancy,,
774,Use the buoyancy of the ship to make it lighter than water,,
775,the act of moving a ship using buoyancy,,
776,buoyancy,,
777,I think he used buoyancy!,,
778,I don't know,,
779,It's easier to smuggle in water,,
780,The belly can easily float and move due to buoyancy.,,
781,the principle of buoyancy,,
782,Gravity,,
783,I don't know,,
784,buoyancy,,
785,The principle seems to explain the principle of movement,,
786,I don't know.,,
787,buoyancy,,
788,It is the principle of moving a ship by using buoyancy of floating objects in the water,,
789,It is because of buoyancy.,,
790,Because the ship is lighter than water.,,
791,buoyancyarmed forces,,
792,the use of floating forces in the water,,
793,I think I'm going to float.,,
794,"An object submerged in a fluid, such as water or air, receives a force from the fluid in an upward direction opposite to gravity, which is called buoyancy.",,
795,"Because ships float in water by buoyancy, the principle of buoyancy was used.",,
796,centrifugal force,,
797,"The larger the buoyancy principle area, the better it floats",,
798,buoyancy,,
799,buoyancy,,
800,I don't understand.,,
801,buoyancy,,
802,Increases buoyancy,,
803,buoyancy,,
804,water power,,
805,buoyancy,,
806,It's using buoyancy.,,
807,the force to float an object,,
808,To float a ship using water is to float and move the ship using buoyancy.,,
809,"Because of buoyancy, the boat floats on the water",,
810,the use of buoyancy,,
811,buoyancy,,
812,buoyancy,,
813,I don't understand.,,
814,Use buoyancy to float a ship.,,
815,It uses the principle that buoyancy repels the gravity of the object and consequently the force applied vertically of the object decreases.,,
816,used buoyancy,,
817,Use buoyancy to float a heavy ship.,,
818,I don't know,,
819,buoyancy,,
820,buoyancy,,
821,Add water to move the boat by creating buoyancy for the boat to float.,,
822,buoyancy,,
823,to float an object using buoyancy,,
824,M and D,,
825,I don't understand.,,
826,This is because buoyancy rises.,,
827,"""I don't know about that",,
828,"""",,
829,All right.,,
830,Let's go up with buoyancy,,
831,"When you fill it with water, the boat floats by water",,
832,Use buoyancy to transfer,,
833,to be able to lift easily using buoyancy The belly is large and buoyant,,
834,You can float the boat with buoyancy and move it with less effort.,,
835,the principle of a ship floating in water,,
836,buoyancy,,
837,the law of universal gravitation,,
838,buoyancy,,
839,It's easy to send down because of buoyancy,,
840,It is because of buoyancy.,,
841,The force to float an object can be relatively easily transferred using the difference in relative density.,,
842,e,,
843,buoyancy,,
844,the principle of relativity,,
845,buoyancy,,
846,"Since the boat floats in the water due to buoyancy, it is easier to move the boat to the sea than when there is no buoyancy.",,
847,"The boat floats, so if you fill it with water around it, it will float and be easy to move.",,
848,The buoyancy is at work.,,
849,"Using buoyancy, objects with less density than water float in water, which can easily move ships by receiving force from water",,
850,Evaluation Only. Created with Aspose.Cells for Python via Java.Copyright 2003 - 2022 Aspose Pty Ltd.,,
