,"20. Abnormal kidney function can lead to various diseases and, in severe cases, death. What does the kidney do in our body, so if something goes wrong, will it cause disease? Let's explain it in detail using knowledge of kidney function. ",q20_Pee,q20_Hormone,q20_Waste,q20_Reabsorption
476,"In the kidney, it plays a role in filtering ammonia and waste products synthesized as elements in the body.",,,,
477,It can lead to a disease in which toxins accumulate. It detoxifies and benefits the body.,,,,
478,"Since waste is discharged and necessary substances are reabsorbed again, if it is not done smoothly, various nutrients may be insufficient and diseases may occur.",,,,
479,It's responsible for filtering out the wastes in our bodies,,,,
480,"In the kidney, it functions to remove waste from our body, but if the kidney has an abnormality in function, it cannot remove waste, which accumulates waste in the blood vessels and hurts a lot.",,,,
481,It helps you digest smoothly.,,,,
482,It releases waste from our bodies.,,,,
483,"The kidney discharges wastes generated from the body and functions as osmotic pressure and pH control in the body. If the kidneys are broken, waste cannot be discharged first, so the whole body swells up and rotten water begins to flow out of the arms and legs over time. Additionally, there is a high risk of complications if kidney disease is solved through surgery.",,,,
484,"Since our body's waste is filtered out and discharged, problems in the kidneys cause abnormalities in the body.",,,,
485,"The kidneys function to filter waste in the blood. If the function of filtering out unnecessary substances, or if necessary substances are filtered out of the body and discharged out of the body, hemolytic uremic syndrome, proteinuria, and diabetes occur, respectively. There is a problem in controlling the concentration of substances inside the body.",,,,
486,I don't understand.,,,,
487,Red bean paste,,,,
488,Hmm... Why is that?,,,,
489,I don't know,,,,
490,Moreãããããáá¥,,,,
491,"It filters out bad substances, dregs, etc. in the body",,,,
492,a deadly disease,,,,
493,have a filter,,,,
494,DiseaseI don't know.,,,,
495,"It's because I can't excrete... It's the part of removing bad things from my body, but I cry when it's ruined",,,,
496,It releases the poison in our bodies.,,,,
497,I don't know,,,,
498,It breaks down toxins in our bodies and releases them.,,,,
499,It doesn't work to filter out the wastes,,,,
500,You have to take good care of it,,,,
501,I don't knowãããããããããããã^^,,,,
502,I think it'll be good for you,,,,
503,I don't know about kidney disease.,,,,
504,It creates something like secretions that allow us to digest.,,,,
505,"The kidneys are the organs that filter our body's excrement.Therefore, if you don't filter the excrement well, your body will have problems.",,,,
506,I don't know.,,,,
507,I don't know,,,,
508,excretion of waste,,,,
509,It is used to digest and dispose of the wastes smoothly.,,,,
510,The function of the kidneys is to filter out metabolites and wastes and excrete themselves,,,,
511,Waste detection,,,,
512,It purifies the blood in the body.,,,,
513,"The function of the kidney can be summarized as a function of excretion by filtering metabolites and wastes, a function of maintaining biohomogeneity that keeps water content, electrolytes, and acidity in the body constant within a narrow range, and an endocrine function that produces and activates various hormones important for calcium and phosphorus.",,,,
514,"The function of the kidneys can be summarized as: first, excretion of metabolites and wastes into urine; second, endocrine function that keeps body water content, electrolytes, and acidity constant within a narrow range; and third, blood pressure maintenance; anemia correction; and endocrine function that produces and activates various hormones",,,,
515,The kidneys filter out waste from our bodies.,,,,
516,.,,,,
517,It arrests waste and turns dirty blood into clean blood.,,,,
518,.,,,,
519,We may die from physical problems as we pile up old plaques on our bodies,,,,
520,"There are two kidneys each in the human body, and if there is an abnormality in two kidneys, a person dies.",,,,
521,Diseases occur because the kidneys filter out wastes from our bodies and discharge them.,,,,
522,You'll get sick,,,,
523,It is not possible to discharge excrement.,,,,
524,"As waste accumulates in every corner of our body, it can cause abnormalities in our body and die. In other words, kidneys are a place where waste is treated in our bodies.",,,,
525,I don't remember.,,,,
526,"The kidneys are at a disadvantage in the body and let out toxins into the urine. However, without a kidney, toxins are not at a disadvantage, so they can reach death.",,,,
527,I don't know,,,,
528,"The kidney is an organ that makes urine, and in other words, it is an organ that collects and discharges waste. However, if this kidney is damaged, the waste will not be released properly, which can lead to abnormalities in the body",,,,
529,I can't remember.,,,,
530,The disease is not like this,,,,
531,It keeps the urine,,,,
532,He's running hard,,,,
533,an important role,,,,
534,The lungs let you breathe and the heart keeps you alive,,,,
535,"You may have a disease in another person, or you may have a disease because you just don't have immunity.",,,,
536,"As you eat fast food, oil builds up in your kidneys",,,,
537,pee in oneÂ´s pants,,,,
538,be blind to the west,,,,
539,collecting and sending urine down,,,,
540,I don't know,,,,
541,I don't know,,,,
542,I don't know.,,,,
543,My kidneys are moving,,,,
544,"If there is an abnormality in the kidney, bubbles appear in the urine, so I think it has a function that makes things like urine come out well.",,,,
545,"The kidneys can manipulate our nerves, create or manipulate our heart's speed, and the air we breathe, but if any of them goes wrong, of course it's natural that the body will have problems",,,,
546,I don't know.,,,,
547,"Wow, it's really hard",,,,
548,I don't know much about the human body. Let's move on,,,,
549,"In the kidney, waste in the blood is selected and sent to the bladder to discharge it into a liquid, and if the kidney does not do so, waste accumulates in the blood and eventually dies due to blood pain.",,,,
550,The kidneys change into urine by choosing strange substances or scraps.,,,,
551,I don't know.,,,,
552,I don't know,,,,
553,"Perhaps the kidneys are filtering out urine, so if there is a problem, diabetes.",,,,
554,I don't know,,,,
555,"As wastes in the body are not filtered out, toxins accumulate in the body, and abnormalities occur in the body, leading to death.",,,,
556,I'm going to pee?,,,,
557,It filters out the waste in the blood.,,,,
558,"Because it filters out blood waste, toxins accumulate in the body and die when there is a problem.",,,,
559,"In the kidneys, it filters out waste from our bodies. If the kidneys that play this role are destroyed, the body cannot properly filter and detoxify wastes, and the body accumulates wastes, causing disease.",,,,
560,He's a warrior.,,,,
561,The blood is filtered to excrete the final product of body metabolism in the form of urine and to control the concentration of the electrolyte.,,,,
562,Excretion,,,,
563,Our body generates waste in the process of making and using energy necessary for the body by utilizing nutrients. The kidneys filter out waste carried through the blood to make urine.,,,,
564,I don't know ........................,,,,
565,Cigarettes cause kidney damage,,,,
566,"We use nutrients to make and use energy, such as cellular respiration, and waste is generated in this process. The presence of this waste in the body is harmful to our body. These wastes are excreted as urine, which is created in the kidneys. Therefore, abnormalities in the kidneys can occur.",,,,
567,"Filter out impurities. If there is an abnormality in the kidney, it cannot filter out impurities, which causes abnormalities in the body.",,,,
568,Filter out the necessary parts of the urine and remove the urine,,,,
569,"""Because kidneys filter impurities on the body, the body's immune system is reduced without kidneys.k.a. kidney.",,,,
570,"""",,,,
571,"The kidneys filter waste in our blood. Therefore, kidney problems can lead to various diseases related to waste.",,,,
572,"Since we discharge waste from our bodies through the kidneys, it is difficult to discharge waste if there is a problem with the kidneys.",,,,
573,Kidney is an important role,,,,
574,"The kidneys... well, they do something very important, so... I'm in the kidney. It looks like, hmm...",,,,
575,"The kidney plays an important role, and if the kidney has a problem, it becomes unhealthy and if it is severe, it becomes Samam.",,,,
576,"Our body generates waste in the process of making and using energy necessary for the body by utilizing nutrients. It is harmful if waste remains in our bodies. The kidneys filter out waste carried through the blood to make urine. Blood is sent back into the body, and urine is released out of the body through the bladder. The process of releasing waste from the blood out of the body is called excretion, and kidneys are involved in excretion",,,,
577,"It produces urine, releases toxins, and filters out wastes.It also balances the acid and alkali of the body fluid, helps absorb potassium, and controls pressure and red blood cell levels.",,,,
578,It filters out waste through the blood to make urine. It also filters out waste and keeps the blood clean.,,,,
579,It filters out waste through the blood to make urine.,,,,
580,"The kidneys are responsible for removing waste from the blood. Therefore, if a kidney problem occurs, it is not possible to remove waste from the blood, which can lead to diabetes or high blood pressure.",,,,
581,"The kidneys function to discharge no-femul, but if the kidneys do not function, various toxins in nofemul harm the body and accordingly get sick.",,,,
582,r,,,,
583,"The kidneys filter out the waste carried through the blood and release the urine into the bladder, and the clean blood with the waste filtered out becomes active in our body again.",,,,
584,The kidney stores toxin elements and releases them out of the body with moisture through the urethra.,,,,
585,It filters out the wastes.,,,,
586,I don't know,,,,
587,"If the kidneys can't work, they can't throw away the waste in the body, so the dead blood keeps going around, and our bodies get sick and die",,,,
588,I don't know...,,,,
589,discharge of waste,,,,
590,I couldn't filter out the no-fefe water.,,,,
591,"It is to urinate what the kidney does, but if you have a kidney problem, you cannot pee.",,,,
592,"First, the function of the kidneys is to filter out metabolites and wastes and excrete them into the urine",,,,
593,"""In chronic kidney disease, kidney function gradually decreases over months or years. In the early stages, most patients' bodies compensate or adapt to metabolic abnormalities, so they are relatively asymptomatic. However, symptoms of uremia or water retention begin to develop when kidney function is severely degraded.What are the symptoms of chronic kidney disease?",,,,
594,Symptoms of chronic kidney disease vary depending on the degree of kidney damage. Chronic kidney disease is divided into five stages according to kidney function and glomerular filtration rate (GFR). The glomerular filtration rate can be calculated with serum creatinine and must normally exceed 90 mL/min.,,,,
595,,,,,
596,Stage 1 of chronic kidney disease (90-100% kidney function,,,,
597,"Stage 1 Chronic kidney disease refers to cases where glomerular filtration rates are 90 mL/min/1.73 m2 or higher, but only tests such as proteinuria are accompanied; structural damage to the kidneys in X-rays, ultrasound, MRI or CT; or family history of polycystic kidney disease. There are no symptoms you feel at this stage.",,,,
598,,,,,
599,Chronic kidney disease stage 2 (60-89% kidney function),,,,
600,"In stage 2 chronic kidney disease or mild chronic kidney disease, the glomerular filtration rate is 60-89 mL/min/1.73 m2. There are usually no symptoms at this stage, but some patients urinate frequently at night, have high blood pressure, normal or small increases in serum creatinine, or have abnormal urine tests.""",,,,
601,"Since the kidneys filter out waste in the blood, if there is a problem with function, they cannot filter out waste and get sick.",,,,
602,I don't know.,,,,
603,I don't know,,,,
604,We collect the leftover from our bodies and release them,,,,
605,It filters out the waste from the blood,,,,
606,An abnormality in the kidneys is very dangerous because they cannot be discharged or the debris can remain in the body.,,,,
607,I don't know.,,,,
608,"If there's something wrong with your kidneys, you can't filter out the waste and residue",,,,
609,I don't know,,,,
610,I don't know,,,,
611,I don't know.,,,,
612,It filters out our body's waste and makes us pee.',,,,
613,I don't know.,,,,
614,The kidneys filter out waste and make clean blood.,,,,
615,It is responsible for filtering out elements in the blood to release them out of the body.,,,,
616,a believer,,,,
617,"Kidneys are our bodies, so we do a lot of things, but when it breaks, it breaks",,,,
618,"The kidney prevents substances such as red blood cells, proteins, and fats from being released out of the body, and reabsorbs glucose and amino acids to excrete only wastes such as urea and water",,,,
619,I know it's okay to not have a single kidney,,,,
620,It filters out waste in the blood through the kidneys.,,,,
621,"The kidney is one of the organs of the ship's design, which filters waste. When its function is broken, it accumulates in the body and causes various diseases",,,,
622,It releases the no-fe water inside your body,,,,
623,"It circulates blood or nutrients to the body, and when teeth are broken, abnormalities appear in the body.",,,,
624,"Since kidneys contribute to homeostasis in the body, abnormalities in the kidneys cause the body's balance to collapse and lead to diseases such as diabetes.",,,,
625,"The kidneys filter various wastes in the blood to clean the blood. Therefore, I think it will be very difficult if there is a problem with the kidneys.",,,,
626,"If you go through the process of discharging waste transferred through the blood from the kidney and this kidney problem occurs, you cannot discharge waste normally.",,,,
627,"Because of the inability to absorb the water ash, it causes urinary boronorrhea",,,,
628,blood foreign substances filtered from the kidneys,,,,
629,"Since kidneys contribute to homeostasis in the body, abnormalities in the kidneys cause the body's balance to collapse and lead to diseases such as diabetes.",,,,
630,Filter the elements in the blood and reabsorb water.,,,,
631,"The kidney is an organ that helps us digest. Digestion is a very important action in the human metabolism process, and if there is an abnormality in the digestive process, secretions caused by metabolism cannot be released from the body, and waste accumulates in our bodies. You get sick from accumulated waste.",,,,
632,It filters out and purifies toxic substances or debris in our bodies,,,,
633,The disease occurs because it keeps you in shape by removing waste and reabsorbing moisture,,,,
634,"If a person with a weak kidney sees this problem from birth, he or she will cry.",,,,
635,I don't know.,,,,
636,"The function of the kidney can be summarized as a function of excretion by filtering metabolites and wastes, a function of maintaining biohomogeneity that keeps water content, electrolytes, and acidity in the body constant within a narrow range, and an endocrine function that produces and activates various hormones important for calcium and phosphorus.",,,,
637,"""Separate the blood and send the clear blood to the pain, and the residue is",,,,
638,It's the role of sending you to Ojubo,,,,
639,Fine dust goes into your body,,,,
640,I don't know,,,,
641,The kidneys seem to play a very important role because they take care of our bodies and do many things,,,,
642,Your kidneys help you digest,,,,
643,"Since waste products cannot be filtered better than before, the risk of getting sick increases and immunity decreases.",,,,
644,The kidneys help digestion.,,,,
645,"The amount of moisture, acid base balance, and osmotic pressure are controlled, and if abnormal substances are present in the blood or excessive substances are present, they are excreted and normalized. It's also the only organ that excrete protein metabolites and removes drugs and toxic substances",,,,
646,"When the kidney is damaged a lot and its function decreases, waste products generated by protein decomposition accumulate in the body.",,,,
647,the removal of waste from the blood,,,,
648,It helps you digest.,,,,
649,"""The kidneys are paired on the back of the lower abdomen and are one of the important organs that functions to excrete waste and maintain homeostasis in the body, such as acid bases and electrolyte metabolism. The total weight of both kidneys is only about 0.4% of the total weight, but it is difficult to maintain life if the kidney's function is severely degraded or lost. Because it plays a very important physiological function in maintaining life, 20 to 25% of the total cardiac output flows into the kidneys. As a unit structure that functions as a kidney, there is nephron, which is the basic unit in producing urine.",,,,
650,,,,,
651,"In normal people, the amount of blood filtered from the kidneys per day reaches as much as 180L, but most of it is reabsorbed and the amount of urine actually excreted is only 1 to 2L. This is because the moisture and nutrients needed by the human body are reabsorbed, and the substances that need more excretion are secreted, and urine is finally produced.""",,,,
652,"""If the kidneys fail to function properly, protein or blood may escape from urine, waste may accumulate in the blood, water and electrolyte imbalance, decreased urine volume, edema, high blood pressure, etc",,,,
653,"""",,,,
654,a role that helps you digest,,,,
655,"The kidneys remove blood clots, but when the kidneys are gone, the blood lines get clogged and get sick",,,,
656,"If you have kidney problems, your hands, feet, and face may swell and you may not feel cool even if you urinate frequently or urinate.",,,,
657,"If you have kidney problems, your face, hands and feet may swell easily, and you may have tinnitus, headaches, hiccups, etc., and you may not feel cool even if you urinate frequently or urinate.",,,,
658,Kidney cancer and kidney stones can occur if there is an abnormality in the kidney.,,,,
659,"It filters out the wastes  But when it's gone, the body gets dirty and blood doesn't flow well",,,,
660,It filters out waste and sends urine to the bladder.,,,,
661,"If abnormalities occur in the kidneys, tinnitus, headache, hiccups, etc., and various symptoms such as cold hands and feet appear in the body",,,,
662,"When kidney problems occur, tinnitus, headache, hiccups occur, and various symptoms such as cold hands and feet appear in the body",,,,
663,"""Diabetes is",,,,
664,"""Looks",,,,
665,I don't know.,,,,
666,I don't know,,,,
667,M and D,,,,
668,I don't understand.,,,,
669,M and D,,,,
670,"""",,,,
671,I don't understand.,,,,
672,"""",,,,
673,ã ã ã ã³ ã³ ã³ ã³,,,,
674,M and D,,,,
675,I don't understand.,,,,
676,Mall,,,,
677,I don't know,,,,
678,I don't understand.,,,,
679,I don't understand.,,,,
680,M and D,,,,
681,I don't understand.,,,,
682,I don't know.,,,,
683,I know.,,,,
684,Die.,,,,
685,M and D,,,,
686,I don't know,,,,
687,I don't understand.,,,,
688,"When your height is not good, your eyes, nose, and ears are not good",,,,
689,It discharges the body's waste,,,,
690,"The main role of the kidney is to purify the blood and remove toxins from the body, and diabetes occurs in the event of abnormal kidney failure",,,,
691,"The kidneys are one of the excretory organs that filter out unnecessary debris in the blood and take out excess moisture to make urine. There are 10 reasons for this kidney failure. First, blood pressure rises. Second, the area around the eyes, hands, and feet swell.Third, I urinate red or murky.Fourth, there is a lot of foam in the urine. Fifth, I wake up from sleeping and pee often.Sixth, it is uncomfortable, such as reducing the amount of urine or feeling hot when urinating.Seventh, I get tired easily, have no appetite, and feel nauseous. The eighth lost weight for no reason. Ninth, my whole body is itchy. The stomach or back and sides just below the tenth rib hurt.""When you have a bad kidney, your eyes, hands, legs, and other major parts of your body",,,,
692,"""You're bloating""",,,,
693,Make a pee,,,,
694,M and D,,,,
695,I don't know.,,,,
696,Excretion function that filters out large acid products and wastes and discharges them into urine,,,,
697,Strain foreign substances and release them as excrement,,,,
698,I don't know,,,,
699,I don't know,,,,
700,I don't know.,,,,
701,Don't know,,,,
702,I don't know,,,,
703,I don't know,,,,
704,The kidneys separate proteins and bacteria in our bodies.,,,,
705,The kidneys release no-feather water from our bodies.,,,,
706,an important matter,,,,
707,an important matter,,,,
708,"Beans are not tasty, red beans are not tasty...",,,,
709,"Kidney is where you make your pee, and when it gets weird, debris builds up on your body",,,,
710,Beans are... not tasty,,,,
711,The kidneys release urine.,,,,
712,It produces bad things,,,,
713,Urine builds up in the body.,,,,
714,A kidney is a place where you collect urine,,,,
715,to die from not being able to pee,,,,
716,I think it could be a case of death if it doesn't play a proper role in making urine.,,,,
717,"Beans are good for health and red beans are good, so they make you healthy",,,,
718,The kidneys help to release uric acid from our bodies,,,,
719,I filtered out the urine,,,,
720,Neither beans nor red beans taste good,,,,
721,The kidneys filter out the no-fefe water in my blood,,,,
722,"If there's something wrong with my kidney, I can't pee well",,,,
723,in charge of important matters,,,,
724,"It filters out the waste from the kidney's blood.If there is an abnormality in the kidney, the disease occurs because it cannot filter the waste of blood.",,,,
725,Kidneys are the places that give away our food scraps. Constipation can lead to diseases such as stomachache,,,,
726,I'm going to take out the old pieces,,,,
727,"If you hold your urine back, you will continue to store urine in your kidneys, which is very dirty because of the body's However, if there is an abnormality, such diseases such as bursting, failing to release urine, or having to pee even though the urine is not full.",,,,
728,"Since the kidneys play an important function in our bodies, abnormalities cause diseases.",,,,
729,"Since the kidneys play an important function in our bodies, abnormalities cause diseases.",,,,
730,The kidney sometimes causes disease because the substance that comes out of the human body becomes less and less,,,,
731,Where we digest in our bodies,,,,
732,It's like a kidney man,,,,
733,Filtration of waste,,,,
734,It's a toxin-filtering job,,,,
735,Filter out all kinds of no-feathers,,,,
736,Make me pee,,,,
737,It filters out the wastes.,,,,
738,PASS,,,,
739,get rid of toxins,,,,
740,I don't know.,,,,
741,The kidney is responsible for removing and discharging the no-fefe water from our body.,,,,
742,It eliminates toxins in the body and divides them into nutrients that the body needs and essential nutrients before releasing urine,,,,
743,The kidneys play a role in removing toxins from our bodies.,,,,
744,"As an excretory organ, it reabsorbs what the body needs and filters what it doesn't need.",,,,
745,The kidneys play a role in trapping waste from our bodies.,,,,
746,"Since it is involved in excretion, it can cause various diseases by not properly discharging waste.",,,,
747,"It works to purify the blood. If there is an abnormality in the kidney, the blood cannot be cleaned.",,,,
748,This is because the kidneys filter bad substances in our bodies.,,,,
749,1234,,,,
750,I don't know,,,,
751,123,,,,
752,123,,,,
753,Let us live,,,,
754,"Yes, it is",,,,
755,123,,,,
756,I don't know,,,,
757,I don't know.,,,,
758,It makes us live,,,,
759,It makes us live,,,,
760,I don't know the details,,,,
761,The heart plays many roles in many organs in our bodies. The organs that are mentally beneficial to the body keep us healthy,,,,
762,S and O,,,,
763,The heart plays many roles in many organs in our bodies. The organs that are mentally beneficial to the body keep us healthy,,,,
764,on a cigarette,,,,
765,Filter the dust,,,,
766,I don't know.,,,,
767,It filters out our body's waste,,,,
768,I don't know.,,,,
769,You get abnormalities in your body by inhaling coal or something.,,,,
770,It's because our body needs it and we have a kidney,,,,
771,"Wow, I don't know",,,,
772,"If you eat a lot of spicy food, your kidneys lose their function",,,,
773,"If you like someone, your heart starts pounding So I can know your heart And you need a heart to have good blood",,,,
774,Die.,,,,
775,I don't know,,,,
776,I don't know,,,,
777,"""I defecated in an empty pot""",,,,
778,"""",,,,
779,....,,,,
780,be in one's body,,,,
781,I can't go to the bathroom.,,,,
782,I don't know,,,,
783,I don't understand.,,,,
784,I don't know.,,,,
785,I'm going to clean it's purifying,,,,
786,"When kidney problems occur, the ability to filter toxins decreases.",,,,
787,"It releases substances that are harmful to the body, such as excrement or urine.",,,,
788,"""The kidneys filter out the bad things in the body, and the brain helps us think, and the heart is a variety of respiratory organs, which allow us to breathe. Finally, the blood vessels move the blood in our bodies to other places and move it so that our bodies work smoothly.",,,,
789,"""",,,,
790,The kidneys remove the bacteria in our blood and send it to the urine.,,,,
791,,,,,
792,,,,,
793,,,,,
794,,,,,
795,,,,,
796,,,,,
797,,,,,
798,,,,,
799,,,,,
800,,,,,
801,,,,,
802,,,,,
803,,,,,
804,,,,,
805,,,,,
806,,,,,
807,,,,,
808,,,,,
809,,,,,
810,,,,,
811,,,,,
812,,,,,
813,,,,,
814,,,,,
815,,,,,
816,,,,,
817,,,,,
818,,,,,
819,,,,,
820,,,,,
821,,,,,
822,,,,,
823,,,,,
824,,,,,
825,,,,,
826,,,,,
827,,,,,
