,"2) What happens when the decomposers (mushrooms, fungi) disappear from Earth?",q55_Constructive ,q55_Food ,q55_Ecosystem
552,"Even if a consumer dies, the dead body is not decomposed into minerals, so the plant cannot photosynthesize because there are no minerals, and neither the plant-eating animals nor the animal-eating animals die, destroying the ecosystem.",,,
553,"Since those who decompose and remove waste or dead bodies after producers or consumers have died have disappeared, various wastes and dead bodies will exist on the earth, and the ecosystem will not be kept clean, and even the ecosystem will not be maintained.",,,
554,"As the bodies of producers and consumers do not decompose, the earth is filled with the bodies of producers and consumers. In addition, the lack of manure in the soil will reduce the number of plants that are producers and also reduce the number of consumers who consume producers.",,,
555,"Without decomposers, dead bodies become less decomposed and deteriorate.",,,
556,"The decomposer plays a role in decomposing by consuming the dead bodies of producers and consumers. If the decomposer disappears, the dead creature cannot be decomposed and remains on Earth. Therefore, there is a big problem with hygiene, which causes animals and plants to live in unsanitary places. This causes many populations to die and eventually destroys the ecosystem.",,,
557,"Decomposers break down dead bodies of animals and plants and convert organic matter into inorganic matter, and first, when the decomposers disappear, the ecosystem of creatures that feed on the decomposers is threatened. Second, the decomposer generates carbon in the process of decomposing organic matter into inorganic matter, and if the decomposer disappears, this process will not be carried out, so carbon circulation will not occur properly.",,,
558,"If decomposers that break down dead life or waste on Earth disappear, the Earth will become a huge dump. When the decomposer is gone, the number of dead creatures and wastes increases, but they will accumulate gradually because they cannot decompose.",,,
559,"When the decomposer disappears, the number of consumers decreases because the producer does not get the necessary nutrients to continue life activities, and the consumer continues to consume the producer, so the producer eventually becomes extinct. That way, consumers will starve for lack of food and eventually become extinct. If the decomposer disappears from Earth, the biosphere in the Earth's system will disappear. Each volume is interacting, which has a great impact on the Earth.",,,
560,"If the decomposer disappears, the ecosystem will be destroyed. The decomposer lives by decomposing the consumer's dead body, and in this process, nutrients can be obtained. If producers grow through these nutrients and consumers live by these producers, and decomposers disappear from Earth, ecosystem destruction will occur because producers are difficult to exist and therefore consumers are difficult to exist.",,,
561,"Decomposers break down animal carcasses or excrement. The decomposer performs the function of decomposing these scraps and returning them to the natural world, and the producer uses the decomposed scraps to synthesize them again and nourish the entire ecosystem. This causes the ecosystem to circulate, and if there were no decomposers, the ecosystem would be very messy.",,,
562,There is little fermentation.,,,
563,The loss of fungi can kill off living things that need them,,,
564,The earth is going to perish,,,
565,I will go crazy not to eat delicious mushrooms,,,
566,The earth was ruined because it was overflowing with smelly corpses,,,
567,There will be a lot of dead trash lying around.,,,
568,Consumers and producers disappear,,,
569,"Then garbage, weeds, and viruses are not decomposed",,,
570,All the food for mushrooms is alive and don't know how to eat them,,,
571,be unable to break down,,,
572,I can't break it down,,,
573,The world is rotten to the core.,,,
574,There is an imbalance in the ecosystem,,,
575,The food is disappearing,,,
576,"It will not break down dead consumers and producers, so nutrients will not circulate.",,,
577,"No producers, no consumers",,,
578,Other life forms may be born to replace it,,,
579,?,,,
580,I can't live any longer because I'm flattered,,,
581,Various diseases are likely to occur,,,
582,The earth will be dirty.,,,
583,be clean,,,
584,The rotten smell of the earth will vibrate.,,,
585,Things that need to rot and disappear will not disappear.,,,
586,The body doesn't rot and smells.,,,
587,Things that the decomposer disintegrates will not decompose and will remain garbage on Earth,,,
588,It increases the number of course,,,
589,the destruction of the earth,,,
590,"Since oxygen and hydrogen produced by the decomposer will not be able to decompose other substances other than these substances, it will not be able to supply various elements necessary for animals and plants.",,,
591,The soil becomes rough and trees and grass cannot grow.,,,
592,It doesn't rot,,,
593,"The body won't rot and the dead will be kept for a long time.When the producer is functioning, there is nothing to deal with it, so it will rot and rot and remain.",,,
594,The garbage is overflowing,,,
595,I don't understand.,,,
596,The food chain is broken,,,
597,"The Earth's nutrients disappear, causing producers to disappear and consumers to disappear.",,,
598,You can't eat mushroom hot pot and make blue mold because there is no mold.,,,
599,Dead animals and plants will remain intact and will not disappear.,,,
600,Dead creatures just remain dead,,,
601,It becomes a garbage island,,,
602,I don't know,,,
603,The food is gone,,,
604,I can't eat mushrooms.,,,
605,How do I know?,,,
606,Mushroom and mold-eating creatures disappear,,,
607,Garbage accumulates without breaking down,,,
608,The Earth does not exist and there will be no progress so far.,,,
609,I don't know.,,,
610,The balance of the ecosystem will be destroyed,,,
611,The area that was benefiting from the decomposer is damaged.,,,
612,I don't know if the decomposer disappears ^^,,,
613,There is a change in the ecosystem,,,
614,The bodies will not decompose and the bodies will overflow.,,,
615,"Nitrogen circulation does not occur.""",,,
616,I don't know,,,
617,a saturated state,,,
618,"The balance of the ecosystem is likely to collapse, destroying nature.",,,
619,The bodies of animals and plants will not rot and there will be many bodies.,,,
620,I'm doomed.,,,
621,"After we consume what the producer makes, what remains remains is not broken down.",,,
622,"When the decomposer disappears, the final product does not decompose, so all life forms die",,,
623,The earth will be a garbage paradise.,,,
624,"It will not decompose and cause problems in feeding plants, which will cause problems in all ecosystems.",,,
625,"If the decomposer disappears, producers and consumers may exist, but the time to live will be significantly different from when the decomposer is present. Without decomposers, the amount that producers can produce is limited, the amount that consumers can consume is automatically limited, but one day, the two of them will disappear",,,
626,Producers gone,,,
627,I don't know.,,,
628,The total mass available is decreasing,,,
629,"If the decomposer disappears, it will rot in a dead body, which is bad for the environment",,,
630,"The ecosystem collapses because animal carcasses or consumers' secretions are not removed and organic matter is not introduced into the soil, blocking producers' nutrients.",,,
631,"Because the ecosystem does not circulate by decomposing the dead bodies of producers or consumers, it adversely affects the ecosystem.",,,
632,No one can live,,,
633,Let's see. Sexy,,,
634,The Earth's ecosystem is at stake.,,,
635,The food chain will be entangled in the ecosystem.,,,
636,The ecological dog is ruined,,,
637,This earth will be full of trash and dead bodies.,,,
638,"If the decomposer disappears, the dead bodies will not disappear because consumers or producers will not decompose properly.",,,
639,ecological destruction,,,
640,"The decomposer plays a role in decomposing dead creatures, so when the decomposer disappears, the dead creatures themselves rot, causing various problems such as odors, affecting other creatures.",,,
641,The body of the animal will remain on the ground,,,
642,The earth will become a planet of waste. It's like the earth will be a dump.,,,
643,It is likely to affect the ecosystem a lot.,,,
644,It will have a big impact on the Earth.,,,
645,It's likely to have a big impact on the Earth,,,
646,The Earth will be filled with dead bodies because dead organisms will not decompose.,,,
647,It's going to be weird,,,
648,Weird smell because the body is rolled up in that's whyIt's strong,,,
649,The body is preserved without decay,,,
650,"The dead bodies of animals and plants do not rot, so organic matter cannot return to the soil.",,,
651,"The energy cycle will be disrupted, affecting both the upper and lower levels, resulting in paralysis of the overall cycle.",,,
652,The ecosystem is getting worse,,,
653,"As organisms' bodies do not decompose, germs and viruses will increase rapidly, causing the Earth to perish.",,,
654,"The body is not decomposed well, so elements such as carbon and nitrogen do not circulate",,,
655,"Life is bound to die, but without decomposers, the corpses do not rot, so other creatures are likely to suffer from various diseases",,,
656,Consumers cannot live.,,,
657,There are a lot of bad problems,,,
658,"If the decomposer disappears, the dead bodies of producers or consumers are not properly treated, causing environmental pollution, and as a result, the ecosystem may collapse due to poor circulation of materials and energy.",,,
659,It makes the ecology better,,,
660,The bodies and debris will continue to pile up without disintegration,,,
661,"Without decomposers, there are many dead animals",,,
662,"The decomposer literally acts as a decomposition.If the dead body does not decompose, the world will be full of dead animals.",,,
663,Nature will be destroyed.,,,
664,"Without fungi or mushrooms, the producers that are born out of them will disappear, and the consumers and producers will disappear",,,
665,"You can't break down excrement or dead bodies in animals, mushrooms.The mold is gone.",,,
666,"""Oh, so lucky!",,,
667,"All the dirt is gone!""",,,
668,"If the consumer dies, the decomposer will not be able to break down, so the consumer's body will be created until the consumer dies",,,
669,The bodies are likely to remain intact.,,,
670,to be able to distinguish between spoiled foods,,,
671,We may die because we cannot deal with harmful bacteria.,,,
672,It's sad when there's no decomposer to get rid of bad germs.,,,
673,"If mold disappears, it can't stop germs from entering our bodies and can get sick.",,,
674,"If the decomposer disappears, there will be no suitable environment to live in if the remains of the dead, dead, or useless things on Earth cannot be decomposed and accumulated and cannot be lived.",,,
675,Failure to decompose destroys the ecosystem,,,
676,The ecosystem will be destroyed.,,,
677,Seongsu is the best,,,
678,I'm in trouble,,,
679,I don't know,,,
680,There's gonna be a lot of bodies around,,,
681,The body won't rot and it will smell and get dirty,,,
682,Everything's fine,,,
683,Collapse,,,
684,The earth is overflowing because of the excess of producers piled up without decomposition,,,
685,The earth hurts,,,
686,It's going to be a place where things like corpses pile up and gas forms and can't live,,,
687,The useless things pile up,,,
688,"If decay doesn't progress, space constraints increase, and there's no digestive process, so life is impossible",,,
689,The body won't disappear,,,
690,The ecosystem will be destroyed,,,
691,It doesn't smell like mold. The world is coming to an end,,,
692,The earth disappears.The mushrooms to eat disappear.,,,
693,The whole world will be filled with dead bodies,,,
694,be indissoluble,,,
695,"The bodies do not decompose, polluting the ground and making the smell worse",,,
696,"""It breaks down things like rotten things, so when they're gone,",,,
697,"I think my surroundings will be very uncomfortable.""",,,
698,The disappearance of decomposers may prevent producers and consumers from circulating smoothly.,,,
699,"""The market is not rotten, so it is wrapped as it is. If it is not disposed of, and the land is contaminated because the garbage is not rotten",,,
700,"""",,,
701,"Food waste will not decompose, so the odor will become worse and people will become violent",,,
702,It's going to be hard for humans to live,,,
703,"The earth will be covered with animal corpses, excrement, etc.",,,
704,"It would be nice if the mold disappeared However, good mold will also disappear, so I think it will affect my life a little",,,
705,Dead bodies or pollutants do not disappear.,,,
706,"Plants that have to rot do not rot, blue cheese or the bodies of animals do not rot",,,
707,I don't think the animal body or the trash we throw away will rot.,,,
708,"The world is full of animal corpses, so something of the world's apocalypse may happen.",,,
709,"The balance will be broken, the plants will not grow, and the whole world will be flooded with garbage.",,,
710,"If the decomposer is gone, the garbage will not rot and the garbage will pile up",,,
711,The Earth will be flooded with garbage because the balance will collapse and plants will not grow.,,,
712,"Cadavers and fallen leaves continue to pile up without breaking down, making it difficult to deal with them.",,,
713,"As objects do not decompose, there are many rotten creatures.",,,
714,"The Earth will be covered with animal corpses, excrement, etc",,,
715,"Without decomposers, the decomposers must be present because they cannot eat dead insects or animals, and if they are left unattended, they will rot, and if other animals eat them, they will die",,,
716,"""The decomposer is responsible for breaking down the leftovers and corpses.",,,
717,"If the decomposer disappears, the animal's body and trash will increase.""",,,
718,"There will be more animal bodies. Because decomposers eat corpsesIf leftovers are taken apart, animal bodies and food waste will increase.",,,
719,"Without a decomposer, we cannot decompose a body that is formed by the death of a living thing",,,
720,"The number of decomposers that cause a creature or object to rot is lost, resulting in more rotten creatures or objects",,,
721,"I can't eat mushrooms. Pine mushrooms are getting too expensive When the mold disappears, the odor disappears in the blanket",,,
722,"When a creature dies, the decomposer decomposes and does not remove the body of the creature.",,,
723,"Dead bodies do not rot, which adversely affects the ecosystem.",,,
724,"""If the decomposer disappears, we can't eat the leftover food,",,,
725,The residue left by wild animals and other animals in nature,,,
726,It's broken down by a decomposer and it turns into nature,,,
727,"When it disappears, various debris does not decompose and remains in nature.",,,
728,And mushrooms are important food for us. That's why the decomposer,,,
729,"If it disappears, the earth's ecosystem will be destroyed.""",,,
730,"If there is no decomposer fungus, there is a concern about environmental pollution if things like rotting decomposer remains intact, but if there is no decomposer, the mushroom lover will not eat mushroom food, and the mushrooms will never eat. So decomposers are a must on Earth.",,,
731,"""If the decomposer disappears, it will break down the body or the excrement, and if it disappears, the body or the poop will remain intact and stink",,,
732,"""",,,
733,"""If a creature dies, it cannot be decomposed, so it becomes a problem",,,
734,"""",,,
735,Mushrooms make us feel good I don't know about mold,,,
736,This is because all dead objects do not rot and the soil is contaminated.,,,
737,"The bodies don't rot and there are many bodies, so I'll see them every time I walk.",,,
738,"If the decomposer disappears, the decomposer should not disappear from the Earth because it will not be able to decompose the debris left by consumers and become a debris planet on Earth.",,,
739,"When the decomposer disappears, there is nothing to disintegrate dead producers and consumers' bodies, so the whole world will be covered with consumer and producer bodies",,,
740,"If the decomposer disappears, the object will not decompose and there will be many bodies",,,
741,The cycle breaks,,,
742,The ecosystem is out of balance,,,
743,The ecosystem is out of balance,,,
744,I can't eat cheese,,,
745,Germs disappear,,,
746,The Earth is not interacting,,,
747,The ecosystem cannot be maintained because only producers are overflowing,,,
748,"Without decomposers, the earth would be flooded with corpses and various wastes without decomposition.",,,
749,Dead bodies and food don't rot,,,
750,Animal bones will pile up without disappearing.,,,
751,Animal bones will pile up without disappearing.,,,
752,I don't know.,,,
753,There is no decomposition of the body.,,,
754,The animals' bodies will not disappear and the soil will be contaminated.,,,
755,The bodies on Earth will be contaminated as they pile up,,,
756,I don't know.,,,
757,"When small cells such as fungi disappear, cell reproduction becomes difficult.",,,
758,The ecosystem is threatening,,,
759,I don't know,,,
760,I don't know.,,,
761,Earth's ecosystem is ruined,,,
762,Things that need to be decomposed will pile up and pile up and eventually nature will rush to things that need to be decomposed,,,
763,I think the ecosystem is going to change a little bit,,,
764,A dead body...,,,
765,Don't know,,,
766,confusion in the food chain,,,
767,be unable to break down,,,
768,The nutrients in the land disappear,,,
769,I don't know.,,,
770,become unbalanced,,,
771,I can't break down the body,,,
772,There is less energy available to produce,,,
773,There is no carbon cycle because the dead creatures cannot decompose,,,
774,"Without decomposers, living creatures that absorb only small substances cannot absorb large substances, making it difficult to survive",,,
775,Ecosystem destruction,,,
776,I don't think I can live on Earth. Things that have not been disturbed will pile up and pile up and eventually we will not be able to live.,,,
777,"For example, if nitrogen isn't decomposed, there's going to be a lot of confusion in the ecosystem on Earth, or there's going to be a lot of commitment to the Harbour Bosch Act",,,
778,The body doesn't decompose,,,
779,It's damaging to us,,,
780,Environmental pollution on Earth is likely to progress faster.,,,
781,"Rubbish, bodies overflow.",,,
782,"When the decomposer disappears, the environment becomes polluted as it fails to process the remains of producers and predators. As a result, producers and predators die, and the ecosystem is not formed.",,,
783,The earth will eventually perish.,,,
784,The producer can't buy it.,,,
785,"It will take a long time for dead creatures to return to nature, and the ecosystem will become increasingly dilapidated.",,,
786,"Problems will arise, such as that the bodies of living things cannot be decomposed quickly, so that nutrients for producers cannot be easily made.",,,
787,"Evolve consumers to dispose of corpses, etc",,,
788,"The decomposition of organic matter is not achieved, and the bodies continue to pile up.",,,
789,be unable to break down,,,
790,Materials to be used by producers disappear and both producers and consumers become extinct.,,,
791,The remains of an animal or plantThe mushrooms to eat disappear.,,,
792,The whole world will be filled with dead bodies,,,
793,be indissoluble,,,
794,"The bodies do not decompose, polluting the ground and making the smell worse",,,
795,"""It breaks down things like rotten things, so when they're gone,",,,
796,"I think my surroundings will be very uncomfortable.""",,,
797,The disappearance of decomposers may prevent producers and consumers from circulating smoothly.,,,
798,"""The market is not rotten, so it is wrapped as it is. If it is not disposed of, and the land is contaminated because the garbage is not rotten",,,
799,"""",,,
800,"Food waste will not decompose, so the odor will become worse and people will become violent",,,
801,It's going to be hard for humans to live,,,
802,"The earth will be covered with animal corpses, excrement, etc.",,,
803,"It would be nice if the mold disappeared However, good mold will also disappear, so I think it will affect my life a little",,,
804,Dead bodies or pollutants do not disappear.,,,
805,"Plants that have to rot do not rot, blue cheese or the bodies of animals do not rot",,,
806,I don't think the animal body or the trash we throw away will rot.,,,
807,"The world is full of animal corpses, so something of the world's apocalypse may happen.",,,
808,"The balance will be broken, the plants will not grow, and the whole world will be flooded with garbage.",,,
809,"If the decomposer is gone, the garbage will not rot and the garbage will pile up",,,
810,The Earth will be flooded with garbage because the balance will collapse and plants will not grow.,,,
811,"Cadavers and fallen leaves continue to pile up without breaking down, making it difficult to deal with them.",,,
812,"As objects do not decompose, there are many rotten creatures.",,,
813,"The Earth will be covered with animal corpses, excrement, etc",,,
814,"Without decomposers, the decomposers must be present because they cannot eat dead insects or animals, and if they are left unattended, they will rot, and if other animals eat them, they will die",,,
815,"""The decomposer is responsible for breaking down the leftovers and corpses.",,,
816,"If the decomposer disappears, the animal's body and trash will increase.""",,,
817,"There will be more animal bodies. Because decomposers eat corpsesIf leftovers are taken apart, animal bodies and food waste will increase.",,,
818,"Without a decomposer, we cannot decompose a body that is formed by the death of a living thing",,,
819,"The number of decomposers that cause a creature or object to rot is lost, resulting in more rotten creatures or objects",,,
820,"I can't eat mushrooms. Pine mushrooms are getting too expensive When the mold disappears, the odor disappears in the blanket",,,
821,"When a creature dies, the decomposer decomposes and does not remove the body of the creature.",,,
822,"Dead bodies do not rot, which adversely affects the ecosystem.",,,
823,"""If the decomposer disappears, we can't eat the leftover food,",,,
824,The residue left by wild animals and other animals in nature,,,
825,It's broken down by a decomposer and it turns into nature,,,
826,"When it disappears, various debris does not decompose and remains in nature.",,,
827,And mushrooms are important food for us. That's why the decomposer,,,
828,"If it disappears, the earth's ecosystem will be destroyed.""",,,
829,"If there is no decomposer fungus, there is a concern about environmental pollution if things like rotting decomposer remains intact, but if there is no decomposer, the mushroom lover will not eat mushroom food, and the mushrooms will never eat. So decomposers are a must on Earth.",,,
830,"""If the decomposer disappears, it will break down the body or the excrement, and if it disappears, the body or the poop will remain intact and stink",,,
831,"""",,,
832,"""If a creature dies, it cannot be decomposed, so it becomes a problem",,,
833,"""",,,
834,Mushrooms make us feel good I don't know about mold,,,
835,This is because all dead objects do not rot and the soil is contaminated.,,,
836,"The bodies don't rot and there are many bodies, so I'll see them every time I walk.",,,
837,"If the decomposer disappears, the decomposer should not disappear from the Earth because it will not be able to decompose the debris left by consumers and become a debris planet on Earth.",,,
838,"When the decomposer disappears, there is nothing to disintegrate dead producers and consumers' bodies, so the whole world will be covered with consumer and producer bodies",,,
839,"If the decomposer disappears, the object will not decompose and there will be many bodies",,,
840,The cycle breaks,,,
841,The ecosystem is out of balance,,,
842,The ecosystem is out of balance,,,
843,I can't eat cheese,,,
844,Germs disappear,,,
845,The Earth is not interacting,,,
846,The ecosystem cannot be maintained because only producers are overflowing,,,
847,"Without decomposers, the earth would be flooded with corpses and various wastes without decomposition.",,,
848,Dead bodies and food don't rot,,,
849,Animal bones will pile up without disappearing.,,,
850,Animal bones will pile up without disappearing.,,,
851,I don't know.,,,
852,There is no decomposition of the body.,,,
853,The animals' bodies will not disappear and the soil will be contaminated.,,,
854,The bodies on Earth will be contaminated as they pile up,,,
855,I don't know.,,,
856,"When small cells such as fungi disappear, cell reproduction becomes difficult.",,,
857,The ecosystem is threatening,,,
858,I don't know,,,
859,I don't know.,,,
860,Earth's ecosystem is ruined,,,
861,Things that need to be decomposed will pile up and pile up and eventually nature will rush to things that need to be decomposed,,,
862,I think the ecosystem is going to change a little bit,,,
863,A dead body...,,,
864,Don't know,,,
865,confusion in the food chain,,,
866,be unable to break down,,,
867,The nutrients in the land disappear,,,
868,I don't know.,,,
869,become unbalanced,,,
870,I can't break down the body,,,
871,There is less energy available to produce,,,
872,There is no carbon cycle because the dead creatures cannot decompose,,,
873,"Without decomposers, living creatures that absorb only small substances cannot absorb large substances, making it difficult to survive",,,
874,Ecosystem destruction,,,
875,I don't think I can live on Earth. Things that have not been disturbed will pile up and pile up and eventually we will not be able to live.,,,
876,"For example, if nitrogen isn't decomposed, there's going to be a lot of confusion in the ecosystem on Earth, or there's going to be a lot of commitment to the Harbour Bosch Act",,,
877,The body doesn't decompose,,,
878,It's damaging to us,,,
879,Environmental pollution on Earth is likely to progress faster.,,,
880,"Rubbish, bodies overflow.",,,
881,"When the decomposer disappears, the environment becomes polluted as it fails to process the remains of producers and predators. As a result, producers and predators die, and the ecosystem is not formed.",,,
882,The earth will eventually perish.,,,
883,The producer can't buy it.,,,
884,"It will take a long time for dead creatures to return to nature, and the ecosystem will become increasingly dilapidated.",,,
885,"Problems will arise, such as that the bodies of living things cannot be decomposed quickly, so that nutrients for producers cannot be easily made.",,,
886,"Evolve consumers to dispose of corpses, etc",,,
887,"The decomposition of organic matter is not achieved, and the bodies continue to pile up.",,,
888,be unable to break down,,,
889,Materials to be used by producers disappear and both producers and consumers become extinct.,,,
890,The remains of an animal or plantEcological crabs are destroyed,,,
891,The ecosystem is destroyed,,,
892,It becomes a garbage paradise on Earth.,,,
893,The ecosystem will be destroyed,,,
894,The ecosystem is destroyed,,,
895,"Corrosion is rotting as it is, destroying the ecosystem.",,,
896,"The animals are dead and smell rotten, and without decomposers, the dead animals smell rotten and the whole world will be left with a smell of rot",,,
897,The ecosystem is destroyed.,,,
898,There's a lot of bodies.I think the ecosystem will be ruined a lot.,,,
899,"Rotten things don't decompose, so there's a lot of trash",,,
900,Rotten things don't decompose,,,
901,"The animals' bodies should rot and be eaten or eaten away, but if the decomposer disappears, the animals' bodies will not rot and smell bad everywhere",,,
902,The bodies of the animals don't rot. It smells,,,
903,"If the decomposer disappears from Earth, the body will not disappear from Earth, so it is expected to be very large.",,,
904,"When the decomposers are gone, there are more bodies and the Earth's ecosystem is destroyed",,,
905,"Dead bodies pile up, various diseases are raging, and the world is destroyed",,,
906,The ecosystem will be destroyed,,,
907,The ecosystem will be destroyed.,,,
908,The ecosystem is destroyed.,,,
909,The ecosystem is destroyed.,,,
910,Things that need to rot don't rot properly.,,,
911,The mushroom light disappears.,,,
912,"There should be creatures that need to decompose dead creatures, but if they disappear, there are no creatures to decompose.",,,
913,"Since the decomposer decomposes animal corpses and excrement, if the decomposer disappears, the number of corpses will increase and excrement will pile up.",,,
914,be dead and unable to dispose of rotten food,,,
915,The earth will be polluted because animals or plant bodies will not decompose.,,,
916,the state of the world being cleansed,,,
917,Don't know,,,
918,The earth will smell rotten,,,
919,:(,,,
920,The objects don't go bad,,,
921,There will be a lot of bodies. There will also be many decaying plants.,,,
922,I don't know because it's not gone.,,,
923,There will be many dead bodies of living things,,,
924,The air gets dirty,,,
925,a pile of corpses,,,
926,"People suffer, too",,,
927,All the bodies will be connected,,,
928,The body remains as usual.,,,
929,All animals and plants will die because ecosystem equilibrium is not maintained.,,,
930,It takes a long time for the body to survive,,,
931,I can't break down the dead body and smell it,,,
932,......,,,
933,"Bodies, bodies will increase.",,,
934,"There are many things that are not rotten, so there should be decomposers.",,,
935,The bodies are nudging.,,,
936,The body stretches.,,,
937,Ecological balance gain,,,
938,"When fungi survive, the ecosystem collapses",,,
939,"The dead bodies will not decompose and remain intact, causing the rotten smell to vibrate and contaminate the air.",,,
940,"I don't knowOh, my. Oh, my",,,
941,Ecological crab destroyed,,,
942,Producers are also gone,,,
943,be unable to break down LOL <<<<<ãã±<,,,
944,The dead animals do not disappear and remain where they are.,,,
945,Everything's not gone,,,
946,The garbage won't rot,,,
947,the failure of the garbage to decompose,,,
948,The garbage doesn't break down,,,
949,The garbage doesn't break down,,,
950,The bodies will continue.,,,
951,The body remains and becomes a nuisance and cannot be nourished by the land.,,,
952,"When fungi and mushrooms disappear, people are now happy to sleep.",,,
953,..,,,
954,I don't know,,,
955,????,,,
956,hard to live,,,
957,The ecosystem is destroyed.,,,
958,Rotten substances will not disappear and continue to decay.,,,
959,Everything in the world will not go to waste,,,
960,"Pyramid balance will collapse, plants will not grow, and the earth will be full of trash.",,,
961,The earth is going to perish,,,
962,"The body won't rot. Just 100 years later, I dug up the tomb, and the body remained intact, and I couldn't grill delicious mushrooms and eat them.That's so sad. I can't eat doenjang, meju, gochujang, and kimchi.",,,
963,I think they're all gonna die,,,
964,ah ah,,,
965,I don't know,,,
966,be unable to break down dead lives,,,
967,Bad things happen,,,
968,"The ecosystem is destroying this, too",,,
969,I don't know.,,,
970,ecological destruction,,,
971,I don't think anything will happen,,,
972,Waste and other unnecessary things don't disappear,,,
973,Things that the decomposer disintegrated remain intact,,,
974,Food with mushrooms and green mold cheese will disappear.,,,
975,I don't know.,,,
976,The ecosystem is destroyed,,,
977,"Things like corpses won't rot, and they'll grow and become a pain in the neck. And the fermentation products will disappear",,,
978,I don't know.,,,
979,Dead bodies and fallen leaves don't rot,,,
980,I'm in big trouble.,,,
981,"The food chain will be cut off as consumers, etc. are decomposed by decomposers to form nutrients for producers to survive, and producers and consumers will soon disappear.",,,
982,The garbage doesn't break down,,,
983,"As the factor to break down consumers disappears, the ecosystem's balance is broken as producers run out of nutrition.",,,
984,The body won't rot,,,
985,the failure of the garbage to decompose,,,
986,I don't know,,,
987,The earth is destroyed,,,
988,I don't know,,,
989,I don't knowI can't eat a dish with mushrooms,,,
990,Competition will not improve that part,,,
991,I don't know,,,
992,I don't know because I didn't learn it,,,
993,It doesn't taste good when you eat meat,,,
994,It is expected to become extinct because of the lack of gas,,,
995,I don't know,,,
996,"Animal corpses, trash, etc. will not be broken down and will remain",,,
997,The earth will not live,,,
998,The earth will be in bad shape.,,,
999,I can't eat mushrooms.,,,
1000,I can't eat mushrooms,,,
1001,I can't eat mushrooms.,,,
1002,Nature gets better,,,
1003,I can't eat delicious food.,,,
1004,I don't know.,,,
1005,I don't know,,,
1006,I don't know.,,,
1007,?,,,
1008,ecological destruction,,,
1009,All living things go extinct,,,
1010,I don't know,,,
1011,No way.,,,
1012,It's hard to read,,,
1013,Gimojji,,,
1014,The environment is polluted,,,
1015,"No, I can't",,,
1016,The garbage is overflowing,,,
1017,The balance of the ecosystem collapses,,,
1018,It doesn't rot,,,
1019,be indissoluble,,,
1020,Ecological pyramid collapsing from below,,,
1021,The ecosystem cracks,,,
1022,be on the verge of extinction,,,
1023,n,,,
1024,The ecosystem will not function properly.,,,
1025,The ecosystem is destroyed,,,
1026,It will rot in the body,,,
1027,There is no life,,,
1028,no,,,
1029,I don't know,,,
1030,It'll be clean,,,
1031,"""Evebbbbbbbbbbbbbbb""",,,
1032,"The remains of producers and consumers will not decompose and accumulate on Earth. Soon, there is no circulation of nutrients.",,,
1033,The whole place will vibrate with the smell of rotting bodies.,,,
1034,The body won't rot,,,
1035,The stomach lives only when the lower ones are present.,,,
1036,I can't eat mushroom spicy soup.,,,
1037,It's rotting,,,
1038,I'm getting bald a lot,,,
1039,You're going to die,,,
1040,be indissoluble,,,
1041,Substances such as rotten bodies are not decomposed.,,,
1042,"Bodies, fallen leaves and excrement will not be decomposed.",,,
1043,Invoices will be a field,,,
1044,Consumption will only remain remain to be getting dirty.,,,
1045,Break down a creature was no period of last year will be something new because it can not be created.,,,
1046,I can't achieve required for production materials.,,,
1047,The ppyuppyu be filled with trash.,,,
1048,I'm in trouble.,,,
1049,Beneficial biological creatures are gone and a bad influence on the ecosystem.,,,
1050,Not many hazardous waste is dismantled on Earth and will â¦ and it's growing.,,,
1051,Not of the ingredients are too many trash.,,,
1052,"Environmental pollution and residue as it is not broken down in the number of the environment, including animal bodies of the plant will cause.",,,
1053,Sadness,,,
1054,I'm in trouble.,,,
1055,Earth is not for the better.,,,
1056,Dirty.,,,
1057,Destroys our environment.,,,
1058,Earth's polluted environment.,,,
1059,Dirty.,,,
1060,full of trash,,,
1061,I'm in trouble,,,
1062,There is chaos in the ecosystem.,,,
1063,It'll be full of trash,,,
1064,Forests are overflowing with dead bodies and the earth is polluted faster than it is now,,,
1065,It seems like there are bodies all over the world.,,,
1066,All kinds of bodies are piled up on the earth without decaying,,,
1067,"When a producer or consumer dies, the body cannot be dismantled and the earth cannot rot.",,,
1068,"I don't know, but something won't break down and it'll get messy.",,,
1069,It's covered with grass,,,
1070,You can't eat mushrooms and make aspirin,,,
1071,Environmental pollution will be very severe because it cannot purify nature.,,,
1072,"Even when living things die, things that decompose and disappear and become nutrients for the soil disappear. Since the cleanliness is very low and animal waste and human waste are not decomposed, the odor is very severe, and the life patterns of plants that are not supplied with nutrients are shaken little by little.",,,
1073,Consumers and dead bodies not disposed of,,,
1074,Ecosystem order collapses,,,
1075,The system collapses after a lot of time because it is not decomposed.,,,
1076,Organisms do not circulate because they cannot decompose,,,
1077,The bodies pile up.,,,
1078,be unable to break down,,,
1079,I don't know.,,,
1080,There is an ecosystem disturbance,,,
1081,"Mushrooms, fungi and symbiotic organisms die",,,
1082,Material circulation is not achieved,,,
1083,The nutrient cycle will not occur.,,,
1084,The body cannot decompose and the odor increases.,,,
1085,Waste builds up and the global environment deteriorates,,,
1086,The body doesn't break down,,,
1087,The ecosystem will be destroyed due to the lack of material circulation,,,
