,"2. In the picture below, boys and girls are talking about different cultures. What advice do you need to be given to change the attitude of two people toward another country's culture into a desirable one?",q57_Diversity ,q57_Respect
565,"Rather than looking at other cultures in the realm of their own culture, it is right to observe the culture of the country from the perspective of the person.I should have an attitude of acknowledging it, thinking it's something else rather than wrong and weird that I don't",,
566,"""Don't judge a culture that you haven't experienced yet. From the other person's point of view,",,
567,"Let's think about it and understand and respect their culture.""",,
568,"""The first picture",,
569,"Each country has a different culture, so you can eat rice with your hands.",,
570,The second picture,,
571,"Our characters are Korean, and each country has its own language, such as English, Japanese, and so on. As such, other countries will also have their own letters. It is not right to discriminate against it.""",,
572,"The cultures of different countries are different depending on their history and geographical environment, so they should be respected. Even in the eyes of the other person, Korea's culture is different from its own, so it will be considered strange.",,
573,"You should always think that other cultures are not wrong, not trying to understand the actions of people in other countries, but taking them as natural actions and passing them over.",,
574,"You have to understand and respect the culture of other countries as strange, not wrong, but unique, and different!",,
575,"Culture is different by region and country, and from the other person's point of view, our culture seems strange. Only when these different cultures are recognized and cared for each other can a peaceful global society be achieved. In our view, if it seems strange to eat with our hands, it may be strange for them to eat with chopsticks, but if we judge right from wrong with such a culture, disputes will arise.",,
576,"It is not right to look at other societies' cultures and think in a heterogeneous way. The humanities environment develops according to the natural environment of the region, and the food, clothing, and shelter culture are formed according to the characteristics of the region. It is by no means ethical to be considered wrong just because you are different from me. It is necessary to respect cultures that are different from ours because people from other cultures may think that our culture is different and strange.",,
577,"Advice Guys you may have such doubts about the culture of people in other countries, but don't feel disgusted or speak out about it. For example, are foreigners barbaric people who see our country's Boshintang food culture? You can't help but get angry if you say, ""What's wrong with the shape of that text?"" after looking at our Hangul. Let's understand them with a contrarian attitude",,
578,"Since customs and traditions are different from country to country, eating habits may be different, and the origin of letters may be different, the shape of letters may be different, so you should be informed that you should understand and respect them without ignoring them.",,
579,We should not look at the culture of other countries in a bad light because it is different from our culture.,,
580,"Korea and other countries are different locally and historically, so they should have an attitude of understanding.""",,
581,"We should not judge other cultures based on our own culture. This culture is created because local characteristics, social environment, and people's characteristics are all combined to come out in an optimized direction.",,
582,It is necessary to respect and judge culture by itself.,,
583,"It is also necessary to take a stance of supporting the enemy. In the eyes of the other person, our culture may be strange. If you respect the culture first, the other person will respect the culture.""",,
584,"Even if you have a different culture from your own country, you should respect and acknowledge that your country's culture is different. If people ignore and discriminate against each other because they have different cultures, people will not harmonize with each other and only conflict will be created, so a peaceful world will not take place.",,
585,"People from other countries may feel strange and strange when they see our culture, but how would it feel if they ignore and downplay our culture just because it is different from their own? We should all advise that we should live a life that strives to recognize and respect the diversity of other countries' cultures.",,
586,"In our view, the cultures of other countries may look unique and different. However, this is different, not wrong, and when you think about it in a different way, our culture may seem unique to people in other countries, so all cultures deserve respect. However, I think there is something to discuss about culture outside of ethical common sense.",,
587,"I don`t think there`s anything desirable about looking at other cultures. However, it is right to respect the culture of each country. Because the way we live is all different.",,
588,"In other people's eyes, I may think I have a strange culture.",,
589,"Therefore, we cannot discriminate between superiority and inferiority in culture.""",,
590,"The world is made up of many countries. Because each country has a different history and lifestyle, cultures appear differently. Instead of rejecting these cultures and thinking that their culture is right, they should have an attitude to understand and respect the culture of other countries.",,
591,"Our culture is taken for granted to us. Also, we all feel unpleasant when others blame us for our culture. As such, all cultures in the world are created from pride in their own culture, and culture has no reason to be treated badly by someone. Let's live with respect for other cultures.",,
592,"""",,
593,"If there is a difference from other countries while thinking that their culture is absolutely correct, they should not think that they are superior to the culture of other countries and criticize them. There will be so many cultures because there are so many countries in the world. Therefore, I think that respecting and understanding the diversity of many cultures is an essential attitude in today's global era.In general, the phenomenon of being trapped only in this self-culture and not being able to understand and respect the culture of other countries is called cultural historicalism. In order to solve this cultural historicalism, it should be advised to respect and understand the culture of other countries.",,
594,"""Just as we have our own culture, other countries have their own culture.",,
595,The culture has long been established and common in the country,,
596,Just because we feel different culture doesn't mean we're wrong. That's why it's not a culture that's wrong,,
597,It's just that you think it's different from us and you're interested in the culture of that country,,
598,"What do you think?""",,
599,"In the above picture, the two students look at the culture of other countries with an attitude of self-culturalism that they regard as inferior or uncivilized without respecting the culture of other countries. This culture hinders smooth cultural exchanges and has problems due to conflicts with other cultures. Therefore, the two students should look at culture from the perspective of cultural relativism, an attitude to understand and respect one culture. Only then can the culture be objectively understood without prejudice and contribute to preserving cultural diversity.",,
600,"When culture is defined as a collection of behaviors and attitudes shared by group members, different values, attitudes, and behaviors that various groups constituting a society may have are called cultural differences. In modern society, cultural differences are inevitable as exchanges between countries and groups increase due to globalization and the development of information and communication technology. Therefore, we should have the flexibility to understand and respect these cultural differences between groups. When various cultures collide in society, it can be a serious social problem if cultural differences are not recognized and other cultures are suppressed as a dominant governing system. Therefore, it will be necessary to know that all cultures are valuable, to understand and not reject other cultures without prejudice. Also, culture should not be divided into superior and inferior.",,
601,"There are so many countries, so many people, so many languages and so many cultures in the world.And all of those cultures are made up of the experiences of the people of that country and many other things.But if you judge and ignore many of those things by your own standards, it can be an act of ignoring all of the country's history, not just its culture.So it would be better to understand and respect each other's culture.",,
602,"""Although we are used to our own culture, we can feel that our culture is right and that other cultures are wrong and awkward. For example, there are so many different things from our cultures, such as the issue of racism, such as black and white, and the unique customs and customs of the country. However, we should never ignore or belittle Korea because it is different from us, or because it is a backward country.",,
603,"We should understand everything that can be called the country's own culture and try to match each other.""",,
604,"Rather than a self-culture-centered attitude that despises other cultures, a cultural relativistic attitude that can respect other cultures is needed.",,
605,We should respect each other because we have different cultures.,,
606,"It is necessary not to say that the culture of other countries is wrong, but to understand that culture there is",,
607,We should also understand and respect the cultures of other countries.,,
608,We should understand and appreciate the culture of other countries.,,
609,Let's be nice.,,
610,You should not evaluate other cultures based on your own culture.,,
611,societies related to different culturesWe should understand the historical situation and look at the culture from the perspective of other countries.,,
612,societies related to different culturesWe should understand the historical situation and look at the culture from the perspective of other countries.,,
613,People in other countries should respect them because they follow their culture,,
614,"""",,
615,It is important to understand the process of forming different cultures.,,
616,I respect you,,
617,"There is no standard for judging culture, and all cultures must be understood and accepted. However, if you accept culture without criticism, you can do something wrong, so you should accept it after criticizing it.",,
618,That's what we look like to the people of the country.,,
619,You should try to understand the culture of other countries without rejecting it.,,
620,Respect the culture of other countries,,
621,You have to respect the culture of other countries.,,
622,We must respect other cultures,,
623,Look again at the history of the country or its background from a holistic perspective.,,
624,"""You have to understand other people in different countries It's not discrimination.",,
625,"""",,
626,"Friends, I don't want you to blame us for our different lifestyles or think we're weird people. Shouldn't they understand that because they have their own culture? And when I saw a letter earlier, it said that the shape was strange, but the letter was also made very difficult, so shouldn't we understand this as well? I hope you don't blame us for being weird because it's different from what we use.",,
627,"You should have an attitude that recognizes, understands, and does not reject the differences between others or other cultures.",,
628,You should know how to accommodate the cultures of different countries.,,
629,It is necessary to learn the culture of other countries by obtaining information through computers.,,
630,The diversity of culture must be recognized.,,
631,You should understand and respect the culture of others.,,
632,Say that to yourself.,,
633,Let's not look at it from a beta perspective,,
634,"Don't put the difference between countries in words, think about it",,
635,cultural understanding of other countries,,
636,Divest prejudice from your mind.,,
637,"Being different doesn't mean you're wrong. Don't think it's weird just because it's different from me, but you need an attitude to understand the culture.",,
638,I heard you eat dog meat in your country,,
639,"We should look at it from a different perspective, not from a strange or wrong perspective.",,
640,"We need to respect other things, not wrong",,
641,You need to understand culture and know how to hug.,,
642,"When we look at us from the perspective of people from other countries, we can also look amazing. Let's put ourselves in a different position.",,
643,It should be advised to understand and respect the culture of other countries.,,
644,putting on the other's shoe,,
645,"Even if it is a culture that shows a different appearance from itself, it should be respected and respected.",,
646,"If you want to be respected for your country's culture, respect it first",,
647,You're the same to others,,
648,Let's find out why you eat it with your hands and how it looks like,,
649,"The attitude is very desirable. I am curious about the culture of other countries. It is not known whether the above people ignore or belittle the attitudes of other countries. Therefore, there is no problem and it is desirable. People who think it's cultural discrimination too sensitively are sensitive.",,
650,I accept the difference.,,
651,Respect and consideration are needed.,,
652,"Each country has a different culture, not a different culture or a culture.",,
653,Let's respect the difference,,
654,Let's put ourselves in the shoes of the people of the country,,
655,Foreigners will think so when they see you,,
656,Diversity must be recognized regardless of cultural superiority.,,
657,You have to have a strong stance. People in other countries will think strange when they see me.,,
658,There's nothing better or better than the rest of the country and our country is different,,
659,"Have an inclusive mindset that says, ""That country is like that.""",,
660,"Culture reflects the characteristics of the country, so if you live in different regions, you have to respect and acknowledge different cultures",,
661,Be tolerant of other countries' cultural backgrounds,,
662,"People in other countries will have their own culture like us. You should recognize and accept that it is not a wrong culture, but a different culture.",,
663,It is necessary to understand and respect the values pursued by each country and the culture accordingly.,,
664,We need an attitude with cultural relativity,,
665,"Cultural development has been relatively carried out according to regional and temporal characteristics, so an attitude of understanding and respecting cultures different from their own culture is necessary.",,
666,"As important as Korea's culture, other countries' cultures are also important, and in order for their own culture to be recognized, advice is needed to respect the other's culture.",,
667,Let's understand other cultures,,
668,You should have an attitude of understanding other countries' cultures.,,
669,How will our culture be seen by people in other countries?I ask a reverse question.,,
670,"It's another country's culture, so understand it with a different country's mind",,
671,We need to be aware of the culture of other countries without eyeglasses,,
672,You shouldn't say that you're different from us. Let's respect other cultures.,,
673,You should develop an attitude to understand and respect other cultures.,,
674,It is necessary to have an attitude of respecting each other's culture.,,
675,Every country has its own culture. It's not wrong,,
676,The attitude of criticizing other people's culture just because they are different from me is not correct.,,
677,You have to understand because it is a culture of another country.,,
678,We need a cultural relativistic attitude to understand the culture of other countries,,
679,Each country should respect its culture because it occurs according to its environment.,,
680,Other countries' cultures are also recognized.,,
681,I have to think positively about the culture of the country,,
682,"We should not despise and ignore other cultures, but have an attitude of understanding and embracing them.",,
683,"""Each country has its own culture, so we should respect it.",,
684,"Do you want people from other countries to have a prejudice and think weirdly about our country's unique culture?""",,
685,"It is necessary to take the difference between different environments and cultures as natural, not strange.",,
686,"Your culture may also seem strange from the perspective of people from other countries. It's because the way we grew up is different, so I think it's better to respect each other",,
687,You should have an attitude of respect for other cultures.,,
688,Your culture can feel that way to others,,
689,We should develop an attitude that respects the culture of other countries,,
690,Accept the culture of other countries.,,
691,You should respect and understand other cultures.,,
692,"They change their position as if the culture of other countries is their own.In general, the phenomenon of being trapped only in this self-culture and not being able to understand and respect the culture of other countries is called cultural historicalism. In order to solve this cultural historicalism, it should be advised to respect and understand the culture of other countries.",,
693,"""Just as we have our own culture, other countries have their own culture.",,
694,The culture has long been established and common in the country,,
695,Just because we feel different culture doesn't mean we're wrong. That's why it's not a culture that's wrong,,
696,It's just that you think it's different from us and you're interested in the culture of that country,,
697,"What do you think?""",,
698,"In the above picture, the two students look at the culture of other countries with an attitude of self-culturalism that they regard as inferior or uncivilized without respecting the culture of other countries. This culture hinders smooth cultural exchanges and has problems due to conflicts with other cultures. Therefore, the two students should look at culture from the perspective of cultural relativism, an attitude to understand and respect one culture. Only then can the culture be objectively understood without prejudice and contribute to preserving cultural diversity.",,
699,"When culture is defined as a collection of behaviors and attitudes shared by group members, different values, attitudes, and behaviors that various groups constituting a society may have are called cultural differences. In modern society, cultural differences are inevitable as exchanges between countries and groups increase due to globalization and the development of information and communication technology. Therefore, we should have the flexibility to understand and respect these cultural differences between groups. When various cultures collide in society, it can be a serious social problem if cultural differences are not recognized and other cultures are suppressed as a dominant governing system. Therefore, it will be necessary to know that all cultures are valuable, to understand and not reject other cultures without prejudice. Also, culture should not be divided into superior and inferior.",,
700,"There are so many countries, so many people, so many languages and so many cultures in the world.And all of those cultures are made up of the experiences of the people of that country and many other things.But if you judge and ignore many of those things by your own standards, it can be an act of ignoring all of the country's history, not just its culture.So it would be better to understand and respect each other's culture.",,
701,"""Although we are used to our own culture, we can feel that our culture is right and that other cultures are wrong and awkward. For example, there are so many different things from our cultures, such as the issue of racism, such as black and white, and the unique customs and customs of the country. However, we should never ignore or belittle Korea because it is different from us, or because it is a backward country.",,
702,"We should understand everything that can be called the country's own culture and try to match each other.""",,
703,"Rather than a self-culture-centered attitude that despises other cultures, a cultural relativistic attitude that can respect other cultures is needed.",,
704,We should respect each other because we have different cultures.,,
705,"It is necessary not to say that the culture of other countries is wrong, but to understand that culture there is",,
706,We should also understand and respect the cultures of other countries.,,
707,We should understand and appreciate the culture of other countries.,,
708,Let's be nice.,,
709,You should not evaluate other cultures based on your own culture.,,
710,societies related to different culturesWe should understand the historical situation and look at the culture from the perspective of other countries.,,
711,societies related to different culturesWe should understand the historical situation and look at the culture from the perspective of other countries.,,
712,People in other countries should respect them because they follow their culture,,
713,"""",,
714,It is important to understand the process of forming different cultures.,,
715,I respect you,,
716,"There is no standard for judging culture, and all cultures must be understood and accepted. However, if you accept culture without criticism, you can do something wrong, so you should accept it after criticizing it.",,
717,That's what we look like to the people of the country.,,
718,You should try to understand the culture of other countries without rejecting it.,,
719,Respect the culture of other countries,,
720,You have to respect the culture of other countries.,,
721,We must respect other cultures,,
722,Look again at the history of the country or its background from a holistic perspective.,,
723,"""You have to understand other people in different countries It's not discrimination.",,
724,"""",,
725,"Friends, I don't want you to blame us for our different lifestyles or think we're weird people. Shouldn't they understand that because they have their own culture? And when I saw a letter earlier, it said that the shape was strange, but the letter was also made very difficult, so shouldn't we understand this as well? I hope you don't blame us for being weird because it's different from what we use.",,
726,"You should have an attitude that recognizes, understands, and does not reject the differences between others or other cultures.",,
727,You should know how to accommodate the cultures of different countries.,,
728,It is necessary to learn the culture of other countries by obtaining information through computers.,,
729,The diversity of culture must be recognized.,,
730,You should understand and respect the culture of others.,,
731,Say that to yourself.,,
732,Let's not look at it from a beta perspective,,
733,"Don't put the difference between countries in words, think about it",,
734,cultural understanding of other countries,,
735,Divest prejudice from your mind.,,
736,"Being different doesn't mean you're wrong. Don't think it's weird just because it's different from me, but you need an attitude to understand the culture.",,
737,I heard you eat dog meat in your country,,
738,"We should look at it from a different perspective, not from a strange or wrong perspective.",,
739,"We need to respect other things, not wrong",,
740,You need to understand culture and know how to hug.,,
741,"When we look at us from the perspective of people from other countries, we can also look amazing. Let's put ourselves in a different position.",,
742,It should be advised to understand and respect the culture of other countries.,,
743,putting on the other's shoe,,
744,"Even if it is a culture that shows a different appearance from itself, it should be respected and respected.",,
745,"If you want to be respected for your country's culture, respect it first",,
746,You're the same to others,,
747,Let's find out why you eat it with your hands and how it looks like,,
748,"The attitude is very desirable. I am curious about the culture of other countries. It is not known whether the above people ignore or belittle the attitudes of other countries. Therefore, there is no problem and it is desirable. People who think it's cultural discrimination too sensitively are sensitive.",,
749,I accept the difference.,,
750,Respect and consideration are needed.,,
751,"Each country has a different culture, not a different culture or a culture.",,
752,Let's respect the difference,,
753,Let's put ourselves in the shoes of the people of the country,,
754,Foreigners will think so when they see you,,
755,Diversity must be recognized regardless of cultural superiority.,,
756,You have to have a strong stance. People in other countries will think strange when they see me.,,
757,There's nothing better or better than the rest of the country and our country is different,,
758,"Have an inclusive mindset that says, ""That country is like that.""",,
759,"Culture reflects the characteristics of the country, so if you live in different regions, you have to respect and acknowledge different cultures",,
760,Be tolerant of other countries' cultural backgrounds,,
761,"People in other countries will have their own culture like us. You should recognize and accept that it is not a wrong culture, but a different culture.",,
762,It is necessary to understand and respect the values pursued by each country and the culture accordingly.,,
763,We need an attitude with cultural relativity,,
764,"Cultural development has been relatively carried out according to regional and temporal characteristics, so an attitude of understanding and respecting cultures different from their own culture is necessary.",,
765,"As important as Korea's culture, other countries' cultures are also important, and in order for their own culture to be recognized, advice is needed to respect the other's culture.",,
766,Let's understand other cultures,,
767,You should have an attitude of understanding other countries' cultures.,,
768,How will our culture be seen by people in other countries?I ask a reverse question.,,
769,"It's another country's culture, so understand it with a different country's mind",,
770,We need to be aware of the culture of other countries without eyeglasses,,
771,You shouldn't say that you're different from us. Let's respect other cultures.,,
772,You should develop an attitude to understand and respect other cultures.,,
773,It is necessary to have an attitude of respecting each other's culture.,,
774,Every country has its own culture. It's not wrong,,
775,The attitude of criticizing other people's culture just because they are different from me is not correct.,,
776,You have to understand because it is a culture of another country.,,
777,We need a cultural relativistic attitude to understand the culture of other countries,,
778,Each country should respect its culture because it occurs according to its environment.,,
779,Other countries' cultures are also recognized.,,
780,I have to think positively about the culture of the country,,
781,"We should not despise and ignore other cultures, but have an attitude of understanding and embracing them.",,
782,"""Each country has its own culture, so we should respect it.",,
783,"Do you want people from other countries to have a prejudice and think weirdly about our country's unique culture?""",,
784,"It is necessary to take the difference between different environments and cultures as natural, not strange.",,
785,"Your culture may also seem strange from the perspective of people from other countries. It's because the way we grew up is different, so I think it's better to respect each other",,
786,You should have an attitude of respect for other cultures.,,
787,Your culture can feel that way to others,,
788,We should develop an attitude that respects the culture of other countries,,
789,Accept the culture of other countries.,,
790,You should respect and understand other cultures.,,
791,"They change their position as if the culture of other countries is their own.You have to understand, embrace, and care about other cultures",,
792,You have to understand the culture,,
793,"There are various cultures all over the world, so you should know how to accommodate them.",,
794,"Each country has its own culture, so we should respect each other's culture",,
795,Different countries have different cultures,,
796,I don't know,,
797,"Don't curse at me for being different, but understand",,
798,"It will be the same as the current situation if people from other countries see it However, it is wrong to act like that with prejudice, so we should understand and respect different cultures",,
799,"Just as Korea eats rice with chopsticks and spoons, other countries should respect rice with their hands and understand and respect their own language.",,
800,A community can be formed only by respecting and understanding the cultures of other countries.,,
801,You should understand the environment of other countries and respect their culture,,
802,We need advice to understand and respect the culture of other countries,,
803,We should respect the culture of other countries.,,
804,"In other countries, we are strange, too.",,
805,Don't look at the culture of other countries with the culture of our country,,
806,You have to understand the culture of other countries.,,
807,They also respect the cultures of other countries.,,
808,"""Every country is culturally different, so we should try to understand it. (And on the fingerprints, male students are only curious about other cultures and are not making disparaging remarks.The student's fingerprints... ""What's that? Why are you eating it with your hands?"" It would be better to say ""dirty"".)""",,
809,"Each country has a different culture, so you should have an attitude of respect.",,
810,Understand the culture of other countries,,
811,Recognize the culture of other countries,,
812,We need cultural relativism that respects the culture of other countries,,
813,Look at people without prejudice,,
814,Let's think about it in reverse,,
815,Let's understand and respect each other's differences,,
816,We have to look at every country's culture in a relativistic way,,
817,It's just that we have different cultures They'll find it strange that we use chopsticks,,
818,You have to respect and understand the culture of other countries,,
819,cultivate a culture-relativistic attitude,,
820,We should respect each other's culture.,,
821,Respect it,,
822,"You must be aware of, understand, and accept differences in other countries' cultures from an ethical perspective.",,
823,You have to think about cultural relativism,,
824,Don't try to understand. Just think they're like that,,
825,Let's understand all cultures,,
826,How would you feel if a person from another country looked at you with the same eyes as you just now? Put yourself in a different position,,
827,"There are many countries, and each country has a different geography, climate, history, and culture, so the way of eating food and letters can be different",,
828,You should accept and respect other cultures.,,
829,It is necessary to understand the background of each other's culture and to understand the cause of the culture.,,
830,We should teach through education that we should understand and respect the culture of other countries.,,
831,You should have an attitude to embrace different cultures.,,
832,I don't know,,
833,acknowledge and understand the difference in culture,,
834,Do you look down on the people of the country?,,
835,You have to think that each country has its own culture,,
836,Different countries have different cultures,,
837,Let's understand the culture of other countries,,
838,M and D,,
839,Try to understand other people's culture,,
840,I accept and accept that I am different,,
841,"""Every country has a different culture, so please understand that",,
842,"""",,
843,"If you don't do anything, you'll get half done",,
844,It smells like a damn kimchi,,
845,"Because different countries have different cultures, we should not look at them with strange eyes",,
846,Don't think of other countries' cultures as strange and respect them,,
847,"It's not wrong that the culture of the country is different from ours, it's different and we have to respect and understand it",,
848,Don't think it's weird that it's different from us. We should respect the culture of other countries,,
849,You're doing great. You're being criticized,,
850,You have to respect and understand the culture of other countries,,
851,Advice,,
852,You have to understand the difference.,,
853,I respect you,,
854,It provides activity-oriented education for cultural understanding. This is because education with only ppt is not fun and there are not many listeners.,,
855,"People who have a different culture from themselves because they live or feel different from me, not people who recognize their own culture, know how to admit it, and don't think only their culture is right.",,
856,e,,
857,They say we should respect all cultures,,
858,We need to create a multicultural family,,
859,It should be aware of and accept the appearance of other countries' cultures.,,
860,We should abandon the prejudice that only our own culture is right and respect the culture of other countries as well.,,
861,It is not strange that we are different.,,
862,It's not right to think it's weird just because it's different from our culture. What do you think it would be like if people from different cultures thought our culture was weird?,,
863,Skip liberal arts as much as possible.,,
864,Evaluation Only. Created with Aspose.Cells for Python via Java.Copyright 2003 - 2022 Aspose Pty Ltd.,,
