,"18. Most people now use smartphones, which are small computers in their hands that they couldn't imagine 20 years ago. Many changes have occurred due to the development of science and technology. How has the development of science and technology changed our lives? ",q18_convenience,q18_information,q18_problem
575,"It makes our lives convenient, but there are also new crimes using such media.",,,
576,It gave me a more convenient and enjoyable life.,,,
577,Convenient for everyday life and can live a better world,,,
578,"The development of science and technology has made life easier, so leisure has increased, and the quality of life has improved, but it can cause new social problems.",,,
579,"When searching for knowledge, it was only possible with a computer, but with the appearance of a smartphone, it can be easily searched.",,,
580,You can buy food and things at home and work from home,,,
581,It makes our lives convenient.,,,
582,"It has various effects on our lives, but no one knows what kind of health harm these technologies will do to us. As we develop science and technology, we are not good at making hasty judgments like new diseases, but there is a high possibility that it will have a negative impact.",,,
583,"Science and technology have a positive effect on our lives, but they also cause new social problems.",,,
584,The computer has developed about 40 times So you can use it quickly...,,,
585,Most people communicate with their cell phones and talk less face to face.,,,
586,"It makes our lives more convenient, allows us to spend our leisure lives on our phones, and eliminates a lot of inconveniences, but recently, smartphone addiction is occurring a lot, and traffic accidents and poor health are occurring.",,,
587,The development of science and technology can help our lives and cause social problems.,,,
588,"With the development of science and technology, our lives have become faster, convenient, easy to find various information, and information and software technology have become very important.",,,
589,I was able to get information without having to turn on the computer. It also made smartphones created by technology have the ability to contact each other instead of letters.,,,
590,It made people feel comfortable and easy.,,,
591,"With the development of science and technology, there are many advantages and problems. While the development of science and technology has made our lives richer and more convenient, it can be distributed equally to what science and technology is provided, rather than socially equally.",,,
592,"It makes information easy to know anywhere. Conversely, the higher the dependence on smartphones, the more often they become addicted to smartphones.",,,
593,"fI was able to get the information I needed quickly and easily, feel interested in playing mart phone games when I am bored, and quickly tell people who are not in the same space.  The development of science and technology gives us convenience.",,,
594,"With the development of fertilizers using ammonia or the technology of predicting the weather, farming has become easier and food production has increased. With the development of transportation, people and objects move far away and cultures exchange. Free communication has become possible even overseas.",,,
595,It made it more convenient.,,,
596,Unknowingness,,,
597,It made our lives much easier,,,
598,It makes me live.,,,
599,information can be obtained more easily,,,
600,It became convenient.,,,
601,a good change,,,
602,"""Information accelerates",,,
603,"""",,,
604,I have no idea.,,,
605,I can check the time anywhere and enjoy games and talk with my close friends.,,,
606,You can exchange phone messages with people in your social life.,,,
607,"Thanks to the air conditioner, I can stay cool in summer",,,
608,"It has made our lives simpler, more convenient, and easier",,,
609,"It has made our lives convenient, but the natural environment is being destroyed",,,
610,"People used to be very healthy, but these days, people have been suffering from obesity or frequent colds, which is hurting our health.",,,
611,I don't know.,,,
612,It made our lives convenient,,,
613,Unknowingness,,,
614,""" With the development of science and technology, our lives have become more convenient.",,,
615,"-You can find changes due to the development of science and technology throughout your life.""",,,
616,People all over the world can talk to each other anytime and anywhere on the Internet,,,
617,Life has become convenient.,,,
618,Unknowingness,,,
619,""". You have a cell phone, right? Now I order chicken and pay money on my phone. How simple and convenient it is... On a cold winter day, you don't have to go out...",,,
620,,,,
621,,,,
622,,,,
623,"2. On a hot summer day, we are preparing for the test by turning on the air conditioner coolly and watching EBS educational broadcasting through a large UHD ultra-high resolution TV screen.",,,
624,,,,
625,"Or you can make the role-play game exciting. It's a better world, right?",,,
626,,,,
627,,,,
628,,,,
629,"3. I went to the Grand Park holding my grandmother's hand by performing artificial joint treatment on my grandmother's knee joint, who can't walk well due to arthritis.",,,
630,,,,
631,,,,
632,,,,
633,"All of this is a convenient and beneficial way of thinking about technological development in our daily lives.""",,,
634,It makes life easier.,,,
635,He brought me a smartphone,,,
636,gave someone convenience,,,
637,Giving convenience to life,,,
638,I think it's a double-edged sword that gives us convenience but also brings us modern human disease,,,
639,It made my life richer,,,
640,"It made it easy to get information, but our personal information can be easily stolen",,,
641,It improves the convenience and quality of life.,,,
642,You can get pleasure by enjoying the nightlife with pleasure.,,,
643,It became convenient.,,,
644,"As transportation technology developed, time and space constraints were reduced, and as medical technology developed, healthy living became possible and the average life span increased.",,,
645,"It has brought convenience to our lives, but there will be dark parts on the other side as much as it is convenient.",,,
646,provide convenience for living,,,
647,have easy access to a variety of knowledge,,,
648,It became convenient.,,,
649,It's convenient to have an elevator.,,,
650,"Technology makes human life convenient. With the development of semiconductor technology, we can feel that the future we imagine is coming soon due to artificial intelligence and the 4th industrial revolution using it. However, the ethical issues that follow always coexist, so we can't just believe that this innovation is good.",,,
651,"""A more comfortable life, a simpler job",,,
652,"But there are also side effects (obesity, lack of exercise, etc.)",,,
653,I was able to keep up with the fast-paced world,,,
654,"It makes those who can't walk walk, and allows those who can't see to see.",,,
655,It made me feel comfortable,,,
656,"""Static: Transportation has become convenient. Communication has developed.",,,
657,The development of medical technology has increased the life expectancy of people.,,,
658,"With the development of genetic science, food has increased like Muchu and GMO beans, which are being solved little by little.",,,
659,Leisure time is increasing.,,,
660,People's lives are becoming more convenient,,,
661,"Negative: The relentless consumption of natural resources increases CO2 emissions, causes environmental destruction of glaciers,",,,
662,It's destroying the forest.,,,
663,The development of nuclear technology has enabled mass destruction of humans.,,,
664,Power outages are occurring due to increased demand for electricity usage by people.,,,
665,"Water, which used to be almost free in the past, is being paid for due to lack of water.",,,
666,"With the development of smartphones, more and more time is being used than exercising.",,,
667,"With the development of robots, people are becoming lazy as they move less time.""",,,
668,I feel more comfortable now,,,
669,It's convenient,,,
670,A convenient life where you can send messages or call from afar,,,
671,Our lives have become more comfortable. We can walk around in touch or get information easily and quickly outside,,,
672,Smartphone addiction and computer addiction occur as science and technology developAhhhhhhhhhhhhhhhhhhhh~,,,
673,"I can order it through home shopping and it became comfortable in many ways. And there are many apps and functions on the smartphone, so crime is possible easily.",,,
674,"Life has become more convenient, communication with each other such as contacting each other and the Internet has increased and became more convenient.",,,
675,It gave people the convenience of life to easily search and contact each other.,,,
676,"When you can't go grocery shopping or buy something because you're not feeling well, science and technology have developed, so you can shop with computers, etc., so it gives people other conveniences.",,,
677,It gave us convenience in our lives.,,,
678,We can easily get the information we need for our daily lives.I can find out what I'm curious about usually.,,,
679,"My eyesight is impaired.""",,,
680,It is convenient to get information conveniently and to talk to others when something happens,,,
681,"It has become very convenient, and it helps a lot, and it helps a lot and makes it convenient",,,
682,"""It's easy to get the information you need or are curious about",,,
683,"""Because smartphones are convenient, my eyesight gets worse after watching them for a long time.""",,,
684,provide convenience in life,,,
685,"Although communication life has become easier and communication can be done well, electromagnetic waves from devices degrade eye vision.",,,
686,"The development of science and technology has made people's lives convenient. Everything has become possible with a smartphone, so it has become so convenient that people can carry only one smartphone without having to carry everything.",,,
687,"Although communication life has become easier and communication can be done well, electromagnetic waves from devices degrade eye vision.",,,
688,Convenience and many crimes have also occurred,,,
689,"It has caused addiction such as Internet addiction, and can communicate conveniently.",,,
690,"Our country developed more than 20 years ago and we had to write letters in the past, but now we use smartphones",,,
691,It became convenient to contact and take pictures for many purposes.,,,
692,"""Our life'sI think it's convenient.""",,,
693,I don't know.,,,
694,Unknowingness,,,
695,M and D,,,
696,I don't understand.,,,
697,M and D,,,
698,"""",,,
699,I don't understand.,,,
700,"""",,,
701,ã·Dã³Dã·DãDã³S,,,
702,M and D,,,
703,I don't understand.,,,
704,Mall,,,
705,I don't know,,,
706,I don't understand.,,,
707,It's convenient,,,
708,M and D,,,
709,I don't understand.,,,
710,I don't know.,,,
711,That's true,,,
712,comfortable,,,
713,M and D,,,
714,"There are cars, smartphones, convenience stores, marts,",,,
715,It made life easier,,,
716,"It makes our lives convenient, but the risk of getting sick has increased",,,
717,It helps you live more conveniently,,,
718,"When you shop or order something you need, you can easily order it online and make a deposit on your cell phone, and it will be delivered in a very short time",,,
719,You can learn information and dangerous things faster and easier than before.,,,
720,"The advancement of science and technology may make life easier for mankind, but new diseases such as turtle neck syndrome, which was not common before, can become common",,,
721,.,,,
722,M and D,,,
723,I don't know.,,,
724,It made a convenient and novel change.,,,
725,so what,,,
726,"Even if there is no line, phone calls and messages are possible, and international calls are also possible in different countries",,,
727,All right.,,,
728,"Very, very convenient",,,
729,made it more convenient,,,
730,It makes it convenient.,,,
731,Earth's Android Power Generation,,,
732,"You can walk around and check your mail, and you can solve things that you can only do at home outside.",,,
733,It became convenient.,,,
734,I made it convenient,,,
735,All right.,,,
736,"People are living a convenient life, but they are living and steaming.",,,
737,a big change,,,
738,Yeah.,,,
739,"It becomes convenient, but this kind of thing destroys our bodies.",,,
740,It's convenient,,,
741,Communication has accelerated.,,,
742,It became more convenient,,,
743,Communication is fast.,,,
744,It gave me comfort,,,
745,My eyes are rotten,,,
746,"Poor health, poor eyesight, poor turtle neck, etc. and we can easily find and see",,,
747,It makes life convenient,,,
748,I have a lot of smartphone addiction and my eyesight gets worse,,,
749,The development of technology such as smartphones has made it easier to convey words to us,,,
750,"It makes our lives easier, but the environment gets worse as we develop",,,
751,"It makes us convenient, but if we use it too much, it can harm our bodies.",,,
752,It gave me comfort.,,,
753,"It is a smartphone that is sometimes used in a good place to solve our curiosity, but one day it will make us lose sight",,,
754,"Gradually, I made a mummy",,,
755,"The development of science and technology makes our lives convenient, but as the number of cars increases, global warming occurs due to fumes, and the ozone layer is being destroyed by factories.",,,
756,"With the development of science and technology, our lives are much more comfortable than before.",,,
757,You can use it conveniently,,,
758,"It gives a lot of diseases to the physical eye, but many science and technology are developed to get a lot of information",,,
759,Technology has advanced and people have begun to become more convenient,,,
760,Only the technology of hyperbole has developed,,,
761,gave someone convenience,,,
762,I made a smart change,,,
763,It helps you conveniently,,,
764,a good change,,,
765,"More work has been done easier and faster, and the quality of life has improved.",,,
766,PASS,,,
767,"""I've improved the quality of my life",,,
768,,,,
769,You don't have to call the weather service,,,
770,"Through your smartphone,",,,
771,I knew the temperature in the morning,,,
772,"I can dress appropriately and go out.""",,,
773,"""Helping you live",,,
774,"""",,,
775,"""Of course, it's very convenient, but we've used that much of our resources, and the environmental problems are serious",,,
776,People communicate less with each other,,,
777,"It seems that people are getting lazy as it becomes more convenient.""",,,
778,"If human beings are becoming comfortable due to the development of science, life will become impossible without science and technology",,,
779,"In the culture of mankind, the IT industry has changed to something that cannot be burned. It has brought a lot of comfort to mankind. To make rice easily with rice cookers, keep food cool in the refrigerator for a long time, and easily travel long distances by car, the surplus time has increased by replacing what humans have done with machines. But it's easier to do things, but that's how much more humanity demands and does. Therefore, there was no big difference between the past and leisure time. And also, because the machine takes over, there is a lack of exercise, and there are things that I can't laugh at easily memorizing the phone number that I used to memorize. In the past, even if an accident occurs, there were no major accidents unless it was natural damage, but these days, big accidents occur frequently due to science and technology. Also, there are many large-scale wars due to the development of powerful weapons.",,,
780,Life has become easier.,,,
781,"As information becomes important, it becomes a more valuable life.",,,
782,The quality of life has improved.,,,
783,"I was able to contact you frequently while walking along the street, and I was able to go long distances in a short period of time.",,,
784,It gave us convenience in our lives and then we could get a lot of information conveniently and simply,,,
785,1234,,,
786,I don't know,,,
787,"I used to write a letter, but now I can use it easily by mail or messenger",,,
788,The days of life become more and more full,,,
789,It makes us weak,,,
790,I don't know.,,,
791,1234We make you feel comfortable,,,
792,It's convenient.,,,
793,We can play telephone games,,,
794,It makes people sleep,,,
795,Our lives have become more comfortable because of the development of science and technology,,,
796,"It is hard to send a hard message, so I can send a message conveniently because I have a smartphone",,,
797,Don't know,,,
798,"It is hard to send a hard message, so I can send a message conveniently because I have a smartphone",,,
799,It's gonna be better,,,
800,123,,,
801,I don't know,,,
802,Convenient to send messengers to relatives and friends far away,,,
803,I don't know,,,
804,It is because it gives me comfort in my life and gives me a little preciousness and makes me comfortable.,,,
805,It became very convenient and gave us what we needed for our lives,,,
806,have come to a conciliatory,,,
807,It's giving us more convenience than before,,,
808,It's convenient and convenient,,,
809,I don't know.,,,
810,It's convenient,,,
811,Convenience,,,
812,It makes it more convenient,,,
813,......,,,
814,addiction,,,
815,Convenience and speed,,,
816,I don't understand.,,,
817,It has become a world where everything can be solved by smartphone or computer,,,
818,"I made you feel comfortable, but you were lazy",,,
819,Life has become much easier.,,,
820,It helped me communicate with people,,,
821,Convenient,,,
822,"""Science and technology have given us convenience and fun, technology development is getting better and better and the future may be able to fly without walking in the rainforest, technology will continue to develop in the future.",,,
823,"""",,,
824,They made us feel comfortable.,,,
825,I made it more convenient.,,,
826,Various knowledge accumulation.,,,
827,It makes it convenient. It also makes me lazy.,,,
828,It makes life convenient.,,,
829,"It made life convenient and prosperous and extended the average life expectancy of humans. Automation, many jobs disappear and new jobs are created.",,,
830,Happiness,,,
831,a convenient life,,,
832,too convenient,,,
833,It affects our lifestyles.,,,
834,"Increasing communication between people, the era of globalization",,,
835,"I've heard that the technology of the spaceship, which was used when landing on the moon in the past, is not even a single technology of a smartphone. As such, advanced technology is a fusion and it becomes uncomfortable without it.",,,
836,It makes it convenient.,,,
837,It makes me feel comfortable.,,,
838,It became convenient.,,,
839,It made our lives convenient.,,,
840,It became convenient.,,,
841,It made our lives convenient.,,,
842,I don't know,,,
843,Comfortable. Makes man a slave of convenience. Rely on comfort and become incompetent.,,,
844,It helps you live a very convenient and smart life.,,,
845,"With the development of science and technology, our lives have become very convenient",,,
846,"It seems to have brought me a much freer and more convenient life It has improved in terms of time and efficiency, and I feel that the development time is getting shorter, but in proportion to that, there are also many problems caused by the development of science and technology Representatively, the ethical problem that has been mentioned for a long time is the biggest, so it gave us convenience, but it also gave us problems to solve",,,
847,"The development of science and technology has made our lives more convenient, and we can expect active technological development in the future.",,,
848,a convenient way of life,,,
849,I don't know,,,
850,It made life more convenient,,,
851,Comfortable,,,
852,improvement of the quality of life,,,
853,It became possible to live a more convenient life.,,,
854,"With the elimination of many unnecessary things in our lives and the emergence of new technologies, convenient life has become possible.",,,
855,It made a change in convenience and a lot of knowledge easily.,,,
856,Increased obesity rate Decreased turtle neck vision,,,
857,improved the quality of life,,,
858,provide convenience,,,
859,Life has become much more convenient,,,
860,a computer in my hand,,,
861,"Reduced vision, convenience of activity. a reduction in time",,,
862,making human life more convenient,,,
863,It allows us to live very comfortably and is now an important technology that is indispensable,,,
864,Makes you live a more convenient life,,,
865,It guarantees comfort and living,,,
866,It made human life more convenient,,,
867,"""Positive change has a good effect on modern society, where people first improve their quality of life and seek more comfort",,,
868,"Negative changes can lead to health and interpersonal problems for modern people as they seek comfort.""",,,
869,"With the development of science and technology, the lifestyle of mankind has changed and become more convenient.",,,
870,"In the past, it was difficult to transmit information, but with the development of science and technology, it became easy and quick to transmit information, making life convenient.",,,
871,It changed quickly and easily,,,
872,"Most make changes conveniently, but it makes people lazy.",,,
873,It gives convenience to life and makes daily life more convenient,,,
874,"With the creation of the Internet, you can learn various addictions, convenience, and fast news.",,,
875,It created an information society where you can get materials that you could only get by going to the library quickly with your smartphone,,,
876,You can learn about science and technology,,,
877,"""We've made a tremendous difference The first is convenience, which sends and takes away things that are far away, communicates, sees the world go around, and leads humans more wisely with brains to judge facts or lies more clearly.",,,
878,"""",,,
879,"We made it convenient for our lives, but I think there are some bad things",,,
880,4th evolutionary work,,,
881,It has become a world where you can exchange news with people far away and overflow with information.,,,
882,"When it first came out, it was useful and good for everyone, but now it causes addiction and is harmful to our lives because it causes various diseases.",,,
883,"It has given convenience, but in the United States, for example, the number of obese people is increasing.",,,
884,It made me live a quick and easy life,,,
885,There are also many damages such as personal information leakage due to smartphones that make our lives easier,,,
886,"We try to put in the ability to pursue convenience and needs, but the more we do, the more we will be blinded by science and continue to focus on science without seeing anything of ourselves.",,,
887,The development of science and technology makes human life richer.,,,
888,"With the development of science and technology, people can quickly and easily handle tasks such as communication and work",,,
889,"Science and technology gave us benefits for convenience purposes, but it also caused damage for military purposes and became global warming due to the development of science and technology",,,
890,"With the development of science and technology, transportation and communication can be convenient, and communication can be active, and AI (Artificial Intelligence) can be developed and our jobs can be lost.Science and technology have made our lives more convenient.",,,
891,"With the advent of smartphones, we can easily access useful information anywhere. However, on the contrary, negative content can be easily accessed, so the development of science and technology is a double-edged sword.",,,
892,It helps our lives conveniently. Machines do things that are difficult for people to do.,,,
893,It helps our lives conveniently. Machines do things that are difficult for people to do.,,,
894,It is convenient and easy to get information.,,,
895,"Convenience, aggregation of features, dependencies, etc",,,
896,"It made me live a more comfortable life, but I became dependent on advanced science and technology",,,
897,Our lives gave us convenience.,,,
898,It gave me the convenience to do many things without moving.,,,
899,Life has improved,,,
900,It has become more convenient.,,,
901,"The development of science and technology has brought about a breakthrough in mankind. Factories using electricity and fossil fuels, numerous means of transportation and electronic devices, are also products of scientific and technological development. In addition, in the case of science and technology applied to agricultural technology, it can be said that it has been very helpful in fighting hunger. However, it is at odds with many ethical issues and still has many problems to be solved.",,,
902,Unknowingness,,,
903,"The development of science and technology has not only brought about technological development, but also changed our lives and cultures. Information has become easily available to individuals, and communication methods have become fast and simple, resulting in new types of jobs. In addition, with the development of life technology, it is possible to predict diseases and treat more diseases, so the lifespan is increased. As the lifespan increased, it brought about a big change in people's culture and perception.",,,
904,It's caused various occupations,,,
905,Unknowingness,,,
906,The impossible becomes possible,,,
907,It's making changes conveniently. It's the best move and it's working the best.,,,
908,It helped me find a way or get information faster.,,,
909,"Many lives are convenient and surprisingly connected to everyone. However, the stronger the light, the darker the color of the shadow. The development of science and technology has given us many conveniences, but also changes such as pretentious human relationships, waste of life, and regression of the ability to distinguish authenticity under numerous information.",,,
910,"Technology has developed due to the development of science, which has changed our society. This can be viewed positively, but it can also be viewed negatively.",,,
911,It shortened the time to finish something.,,,
912,"Most definitely, it brought the convenience of life. In the past, machines were able to replace things like this. And globalization came about. You can connect with the world across from your seat, and you can hear the news of the world in real time.",,,
913,the impossibility of convenience in life,,,
914,It brought about both positive and negative changes.,,,
915,Evaluation Only. Created with Aspose.Cells for Python via Java.Copyright 2003 - 2022 Aspose Pty Ltd.,,,
