,1) What does the court do? ,q33_trial,q33_legislative,q33_check
730,Trial,,,
731,"It is judged and judged in accordance with the law made by the National Assembly. Resolve conflicts between people by judging right and wrong, and help people who have been damaged by individuals or countries. In other words, it seems to be working to maintain social order.",,,
732,"Our country divided the power of the state into three organizations. Since it is the National Assembly in charge of legislation, it was divided into the judiciary in charge of judicial law and the government in charge of administration. The reason for this division is to prevent the human rights of the people from being violated by the biased power of state agencies by checking each other. Among them, the job of the court is to practically apply the law when it is enacted in the National Assembly.",,,
733,"According to the law, criminal cases or various social disputes are judged and adjusted through trial.",,,
734,Implement legislation made by the National Assembly,,,
735,"The court is the body in charge of the function of the judiciary, which is one of the legislative judiciary administrations that divides the country's power into three. The court also manages and judges the country in accordance with the law, and checks the administration and legislature. Through the judgment of the court, people try to obey the law well, and our society works in an orderly manner.",,,
736,"The court is a place where a law made by the National Assembly is judged on matters such as crime through various editions. In addition, since each institution is an independent institution, the court also checks and monitors each other.",,,
737,Where to Make the Law,,,
738,The court shall be tried according to justice,,,
739,"It's a place where victims, perpetrators, witnesses, etc. gather to make judgments",,,
740,Help those who are innocent,,,
741,have a trial,,,
742,the act of punishing a criminal,,,
743,It's a place where criminals are judged,,,
744,judge the law,,,
745,I think it's the place where you can judge the wrong thing and punish the punishment,,,
746,Where to make the law,,,
747,It's where the defendant's fault is judged,,,
748,It's where the law is made,,,
749,"It keeps the National Assembly and the government in check, and proceeds with the trial.",,,
750,Making a criminal. Checking the institution,,,
751,sentencing measurement,,,
752,Legislation of laws issued by the National Assembly.,,,
753,It's about enforcing the laws that were made in everyday life,,,
754,Deal with the wrong thing.,,,
755,I don't understand.,,,
756,an uninteresting task,,,
757,They decide on the law and make a trial,,,
758,I didn't learn it.,,,
759,They decide on the law and make a trial,,,
760,all at once in a time,,,
761,I don't know.,,,
762,I'm having a trial,,,
763,Making the law,,,
764,have a trial,,,
765,holding a trial,,,
766,judge a criminal,,,
767,The law is established and judged.,,,
768,Make a law and judge it,,,
769,the act of setting the law,,,
770,"The sentence is determined by judging a crime, and litigation and accusations are also handled.",,,
771,a place of judgment,,,
772,It's a place to judge punishment and decide guilt,,,
773,"It's like changing the law, or making a trial.",,,
774,No learning,,,
775,"""judging and evaluating people and their fairness",,,
776,(Do justice to a man from the law.,,,
777,"However, those who break the law are punished accordingly.)""",,,
778,a judge by law,,,
779,Make a punishment and make a trial.,,,
780,put to death,,,
781,platemaking,,,
782,A trial is conducted on the basis of law.,,,
783,Enforce the laws of the country.,,,
784,Enforce the law.,,,
785,Enforce the law.,,,
786,Judgment is made in accordance with the law.,,,
787,Enforce the law.,,,
788,Enforce the law.,,,
789,It serves to enforce the law.,,,
790,law administration,,,
791,Enforce the law.law enforcement,,,
792,law enforcement,,,
793,make appropriate judgments according to the law,,,
794,pass the law,,,
795,Enforce the law.,,,
796,Enforce the law.,,,
797,a trial with laws enacted by the National Assembly,,,
798,Make the law,,,
799,to judge and judge the wrongs of society,,,
800,"The court will play the role of the judiciary, which will proceed with the trial according to the law.",,,
801,judge a crime or offense in accordance with the law,,,
802,make a trial,,,
803,Implement what makes the law.,,,
804,I don't know,,,
805,have a trial,,,
806,It's a trial.,,,
807,Enforce the law.,,,
808,Enforce the law.,,,
809,Use the law to adjudicate a case.,,,
810,Enforce the law.,,,
811,Enforce the law.,,,
812,It is possible to submit a bill and request a trial of unconstitutional law from the Constitutional Court.,,,
813,It is ruled by laws made by the government and the National Assembly.,,,
814,make a trial,,,
815,It is judged by law.,,,
816,exercise judicial power,,,
817,a constitutional state agency,,,
818,enforce the law,,,
819,make judgments on laws made by the National Assembly and the government,,,
820,Judge and judge in accordance with the law.,,,
821,Make a law.,,,
822,Enforce the law as a judicial branch.,,,
823,Enforce the law.,,,
824,It is a place to make a system for trial and fairness in the trial.,,,
825,Make a law.,,,
826,make a trial,,,
827,What do you think you're doing on your own? Let's eat and buy something. What do you think?,,,
828,"In terms of cross-section, the court is in charge of the country's legal addition in addition to enacting and revising the law, and in general, in a large framework, I think it is one of the main pillars of the separation of the three powers. The court will have a clearer meaning of existence to prevent power from being concentrated on one side and to distribute stable power.",,,
829,It exercises judicial power and checks the government through decisions to impeach the president.,,,
830,pick a criminal,,,
831,Trial,,,
832,law enforcement,,,
833,judge a person wrongly by law,,,
834,A place where money is eaten. It encourages a society where money is centered rather than people,,,
835,"Through trial, it is done to determine right and wrong according to the law.",,,
836,It is to judge an action based on the law.,,,
837,Observe the laws created by the National Assembly and monitor whether the government abides by them,,,
838,audit,,,
839,Making the law,,,
840,"The court, as an institution with jurisdiction among the three powers, judges right and wrong with the law.",,,
841,a place that rules a person's life,,,
842,Trial in equality on the basis of established laws,,,
843,Trial,,,
844,Trial,,,
845,legislation and rulings,,,
846,I'm in charge of the area of law enforcement.,,,
847,Trial,,,
848,Keep an eye on each other,,,
849,The courts are where the law of the state and the people is addressed,,,
850,The court monitors whether the National Assembly is doing well.,,,
851,The court plays a role in monitoring whether the National Assembly is doing well.,,,
852,the use of the law,,,
853,It's a matter of using the law to print,,,
854,dealing with and judging the law,,,
855,dealing with and judging the law,,,
856,do it under the law,,,
857,a state agency that judges and judges in accordance with the laws of the state,,,
858,Where national law is enforced and judged,,,
859,k,,,
860,I don't know.,,,
861,have a trial,,,
862,.,,,
863,Enforce the law.,,,
864,It gives a ridiculous sentence to enforce the law,,,
865,a judicial decision,,,
866,Enforce the law.,,,
867,Judgment is made on the basis of the law,,,
868,judgment based on the law,,,
869,enforce the law,,,
870,Enforce the law through the laws enacted,,,
871,have a trial,,,
872,Catch the bad guy,,,
873,Trial,,,
874,have a trial,,,
875,a place where laws made by the National Assembly are realized,,,
876,Where the law is used to judge and determine the guilt of a person who has committed a crime,,,
877,judge the law,,,
878,.,,,
879,a court of law,,,
880,It keeps the government and the National Assembly in check.,,,
881,Ankimchi. (Ankimchi in Korean),,,
882,make a trial,,,
883,The law shall be applied to the law,,,
884,law enforcement,,,
885,Trial,,,
886,judge the law,,,
887,The power of the government and the National Assembly is shared to preserve the separation of the three powers of the Republic of Korea.,,,
888,Make the law,,,
889,Judge the law.,,,
890,Judge and judge the law.Make a law.,,,
891,It is ruled by a law handed down by the National Assembly and monitors and checks the National Assembly and the government,,,
892,to do the work of enforcing the law enforcement,,,
893,Judgment is made by existing laws.,,,
894,A place that is weak against the strong and strong against the weak,,,
895,Punish those who commit crimes by enforcing the law.,,,
896,to do the job of punishment,,,
897,The work of judging a sinner's sins.,,,
898,"a trial, the execution of the law",,,
899,Review and adjudicate the legislation enacted by the National Assembly.,,,
900,"""We judge a crime according to the law.",,,
901,"""",,,
902,It's where the law was enacted by the National Assembly,,,
903,The law judges right and wrong,,,
904,Protect the human rights of the people,,,
905,have a trial,,,
906,judging a crime,,,
907,The law enacted by the National Assembly is exercised by the court. It also checks the government and the National Assembly through this.,,,
908,Get rid of bad people,,,
909,The criminals are judged according to the law based on the legislation enacted by the National Assembly.,,,
910,It is judged according to the Constitution.,,,
911,rule of law,,,
912,Declaring to follow this side of the opinion conflict between private human institutions,,,
913,I don't know,,,
914,to judge the crimes of criminals,,,
915,the government,,,
916,A court is a place where a trial is conducted and where a crime is determined,,,
917,"a trial with a judge, a lawyer, etc",,,
918,lay down the law,,,
919,"The court is a state agency that exercises judicial power under the Constitution, and the jurisdiction belongs to a court composed of judges, judges all legal disputes, and supervises or supervises affairs concerning registration, family register, deposit, bailiff, and judicial affairs (Article 101 of the Constitution, Article 2 of the Court Organization Act)",,,
920,I don't know,,,
921,Helping the country go smoothly,,,
922,judge a person by law,,,
923,Who's in charge of making plates?,,,
924,make a plate,,,
925,I don't know.,,,
926,To judge the people involved in the case.,,,
927,The judge is good at solving difficult problems,,,
928,"According to the law, come and choose pus",,,
929,a state agency exercising jurisdiction for the constitution,,,
930,They do what is right and wrong according to the law.,,,
931,"""We resolve conflicts among people by judging right from wrong according to the law.",,,
932,It helps people who have been damaged by individuals or countries.,,,
933,"We punish those who harm society to maintain social order.""",,,
934,Make a law.,,,
935,The law judges right from wrong.,,,
936,We judge right from wrong according to the law judges right from wrong,,,
937,The law determines right from wrong,,,
938,The place where you judge right and wrong,,,
939,The law determines right from wrong.,,,
940,They judge according to right and wrong.,,,
941,"Judging right from wrong, private and institutional conflicts",,,
942,What the court does is to establish justice in the law and help the victim who judges right from wrong.,,,
943,"According to the law, it is to resolve conflicts between people based on right and wrong, to help those affected by individuals or countries, and to punish those who have harmed in society to maintain social order.",,,
944,a trial of the law according to the circumstances of conflict,,,
945,Make and overhaul laws.,,,
946,Trial of the law according to the circumstances of conflict,,,
947,"Civil trial criminal trial administrative trial administrative trial maintenance of correctional facilities, such as floating register management detention center, foreign immigration management, constitution, and other legal unconstitutional examination activities",,,
948,Make the law,,,
949,Check if what the government does is the right thing,,,
950,a trial of a person who has been punished legally,,,
951,The judge judges the crime,,,
952,"""The court shall judge according to the law",,,
953,"The court, in accordance with the law, determines whether it is right or wrong to resolve conflicts between the saras",,,
954,"punish others or those who have harmed society to maintain social order.""",,,
955,I don't know,,,
956,I don't know,,,
957,I don't know.,,,
958,You're going to have a trial?,,,
959,publishing a crime,,,
960,"What the Government can't handle, working on the laws of the country.",,,
961,an institution that judges right from wrong according to the law,,,
962,I don't know,,,
963,an agency responsible for trials under the law in various conflict situations,,,
964,"As people live, there are many conflicts, and the place where these conflicts and problems are solved is called the court Courts punish or punish crimes committed by people, as well as make laws with the National Assembly or the government.",,,
965,"""1 - Resolve conflicts among people by judging right from wrong according to the law.",,,
966,2 - Help people affected by individuals or countries.,,,
967,"3 - Punish those who damage society to maintain social order.""",,,
968,"""The courts are where people who commit crimes are acquitted and convicted and how many sentences they have.",,,
969,"Or where legal professionals work.""",,,
970,People live through various conflicts in their daily lives. It is an institution in charge of trials in accordance with the law in these various conflict situations.,,,
971,The trial is conducted with the contents requested by the prosecution.,,,
972,They seem to judge according to the law and punish those who hurt people.,,,
973,Courts also resolve people's conflicts and judge right and wrong according to the law.,,,
974,liquidation of enemy territory,,,
975,platemaking,,,
976,The law judges right from wrong.,,,
977,platemaking,,,
978,Where to judge the defendant's fault,,,
979,platemaking,,,
980,a place of law,,,
981,I don't know.,,,
982,a place where a person is punished for setting a law or doing something wrong,,,
983,It's a matter of course,,,
984,Anyone who tells me if I'm innocent or guilty?,,,
985,Don't know,,,
986,I don't know,,,
987,lay down the law,,,
988,"a trial, punishment",,,
989,It's like making and setting lawsa judge of innocence and guilt,,,
990,"""Make and manage laws",,,
991,"""",,,
992,alternating whether someone is guilty or not,,,
993,Trial,,,
994,have a trial,,,
995,a person who determines whether someone has committed a crime,,,
996,the work of making laws,,,
997,a criminal in prison,,,
998,a law-making place,,,
999,Make laws and elect members of the National Assembly.Solve the problem/decide whether it is innocent or guilty.,,,
1000,Where to judge if there is a crime or what punishment to be imposed,,,
1001,Make laws or punish those who do wrong.,,,
1002,It is a place to judge whether a person has committed a crime or not.,,,
1003,The place where sinners are punished for how much they commit,,,
1004,to judge the law,,,
1005,Make new laws or obey them.,,,
1006,Make a law,,,
1007,be in charge of legislation,,,
1008,Trial,,,
1009,the act of enacting a law,,,
1010,Making the law,,,
1011,It's ruled by law,,,
1012,Make a law,,,
1013,Discuss the government's affairs in the National Assembly.,,,
1014,judgment,,,
1015,Judge the law.,,,
1016,Law enforcement and observation of misconduct in the government and the National Assembly,,,
1017,"As an institution of justice, it serves to enforce the law.",,,
1018,Trial is conducted using laws made by the National Assembly.,,,
1019,It's a trial,,,
1020,Apply the law.,,,
1021,Punish those who do wrong,,,
1022,Trial,,,
1023,constitutional peoplehold a criminal trial,,,
1024,to administer the law using the law made,,,
1025,I think it is decided to solve the problem.,,,
1026,Make and apply laws,,,
1027,a trial using the use,,,
1028,Making a law of separation of three powers,,,
1029,Making a law of separation of three powers,,,
1030,make and enact laws,,,
1031,Politicians fight among themselves,,,
1032,judge the law,,,
1033,the punishment of a person who commits a crime by committing a crime accordingly,,,
1034,I'm going to judge,,,
1035,enforce the law,,,
1036,Trial,,,
1037,make a trial by law,,,
1038,a judicial decision,,,
1039,Where to judge and enforce the laws necessary for society,,,
1040,Trial,,,
1041,enact a law,,,
1042,the enforcement of the law,,,
1043,Trial,,,
1044,I'm having a trial,,,
1045,make a trial,,,
1046,Where to rule on the law,,,
1047,enforce the law,,,
1048,enforce the law,,,
1049,Punishing criminals by using the law,,,
1050,He is in charge of judicial power and divides right from wrong by law,,,
1051,Apply the law,,,
1052,Justice is realized by applying the laws enacted by the National Assembly.,,,
1053,I don't know,,,
1054,h,,,
1055,h,,,
1056,I work with the law,,,
1057,.,,,
1058,address the events that occur within the country,,,
1059,help a person who is falsely accused,,,
1060,ruling according to the law,,,
1061,Judge according to the law,,,
1062,"""Dictatorial Surveillance of the National Assembly and Government",,,
1063,"Criminal punishment by constitution""",,,
1064,Eating money,,,
1065,have a trial,,,
1066,to judge a crime by applying the law,,,
1067,I'm having a trial,,,
1068,Make a law.,,,
1069,judging the law It is to judge whether a person is right or wrong by law.,,,
1070,settle disputes arising from the law,,,
1071,the act of judging a wrongdoer,,,
1072,Trial,,,
1073,Trial,,,
1074,matters concerning the law,,,
1075,a judge of the law,,,
1076,I don't know.,,,
1077,Trial,,,
1078,rule the law,,,
1079,M,,,
1080,I'll make laws and fix them first,,,
1081,trial and judgment,,,
1082,enact a law,,,
1083,Trial,,,
1084,It checks the trial and the government and the National Assembly,,,
1085,I judge by law,,,
1086,Punishment is imposed if there is a quarrel between people or if there is a violation of the law,,,
1087,Innocent and guilty,,,
1088,The court rules and settles the disputeVarious trials are conducted.,,,
1089,have a trial,,,
1090,I work in the application of the law.,,,
1091,"As the judiciary, the court plays a role of separating the three powers to check the government, which is the administration, and the National Assembly, which is the legislature The court plays a role in applying laws such as trials.",,,
1092,enforce the law,,,
1093,Trial,,,
1094,Make or deal with laws,,,
1095,a place where the law is enforced,,,
1096,have a trial,,,
1097,have a trial,,,
1098,a place to judge the law,,,
1099,It solves the problems of citizens,,,
1100,It solves the problems of citizens,,,
1101,Enforce the law,,,
1102,make a judgment of law,,,
1103,I'm the judge,,,
1104,carry out the law,,,
1105,Using the law to solve citizens' affairs,,,
1106,Enforcement of the law and adjudication of established laws.,,,
1107,judge right from wrong,,,
1108,rule the law,,,
1109,The court makes a trial.,,,
1110,judge a crime by law,,,
1111,to do the work of enforcing the law enforcement,,,
1112,The case is adjudicated by the law created by the National Assembly.,,,
1113,maintenance of social order,,,
1114,Make laws and enforce trials,,,
1115,the role and enactment of the law,,,
1116,"Enforcement of the law, concealment of guilt by law.",,,
1117,The judicial body makes a judgment according to the criminal.,,,
1118,Judgment is made on a case based on established laws.,,,
1119,the enforcement of laws made by the National Assembly,,,
1120,enforcement of the law,,,
1121,the act of enacting a law,,,
1122,It is judged through the law.,,,
1123,Make a law.,,,
1124,Trial,,,
1125,judging by the law,,,
1126,Trial,,,
1127,Enforcement of the law and punishment for breaking the law.,,,
1128,"""We conduct trials, trials, various legal examinations and unconstitutional activities.",,,
1129,"Through the trial, we work to determine right and wrong according to the law.""",,,
1130,Trial,,,
1131,"In various conflict situations, the court is in charge of trials according to the law. The court is a state agency that judges and judges according to the law, which is the norm of the state.",,,
1132,I don't understand.,,,
1133,Judge by law,,,
1134,adjudicate the law,,,
1135,Make the law,,,
1136,enforce the law,,,
1137,Execute the punishment of those who have committed crimes.,,,
1138,"Make the law and use the law, judge a person.",,,
1139,Judge a crime on the basis of the law,,,
1140,lay down the law,,,
1141,Make the law,,,
1142,Put sinners in jail,,,
1143,Make a law.,,,
1144,have a trial,,,
1145,Make a law.,,,
1146,Judge the criminal.,,,
1147,"Examining, maintaining and inspecting laws made",,,
1148,It is a measure of the weight of crimes committed in the state,,,
1149,Judge and judge in accordance with the law.,,,
1150,law enforcement,,,
1151,Trial,,,
1152,I don't know,,,
1153,I don't know.,,,
1154,a trial by law,,,
1155,a place to judge a crime,,,
1156,enact a law,,,
1157,Enforce the law.,,,
1158,Make the law,,,
1159,law administration,,,
1160,Make and judge the law,,,
1161,"It is an organization that punishes criminals according to the law. In other words, it is a place where a person who has not committed a crime is acquitted according to the law. It's another word, but the court in Korea seems to be a little different. The weight of dealing with women's sins and men's sins seems to be biased. The answer is a little vague because this country, which has different punishments even for the same crime, does not seem suitable for the court I explained. As I say, I hope that the crime will be judged only by law.",,,
1162,corruption,,,
1163,It is a place to deal with and judge reported matters.,,,
1164,enact a law,,,
1165,a matter of law,,,
1166,be the body of law enforcement agency,,,
1167,law enforcement,,,
1168,law enforcement,,,
1169,I don't know.,,,
1170,hold various trials,,,
1171,enact a law,,,
1172,"The place where people who break the law are judged, and the place where they make the law",,,
1173,Make a law and make a trial,,,
1174,Make laws for the perpetrators and for the victims to understand it.,,,
1175,Make the law and try those who break the law.,,,
1176,Make a law,,,
1177,Judging right and wrong according to the law's standards,,,
1178,"According to the content of the law, a person who has acted incorrectly is judged.",,,
1179,a matter that determines right from wrong,,,
1180,"""To judge right from wrong",,,
1181,"""",,,
1182,judge right from wrong,,,
1183,judge a criminal,,,
1184,"There are judges, lawyers, prosecutors, and so on in the courts",,,
1185,"""We judge the criminal.",,,
1186,"Make the law.""",,,
1187,"Courts punish bad criminals and bribe rich people to release them""Those who have no money have nothing to receive, so they give the sentence as it is, and those who have money will be released.""",,,
1188,the enactment of a law,,,
1189,make judgments according to the law,,,
1190,Make a law,,,
1191,"People live through various conflicts in their lifetime. In these various conflict situations, the court is in charge of trials according to the law.",,,
1192,I don't know.,,,
1193,Mall,,,
1194,Make a law.,,,
1195,Make the law,,,
1196,I'm the judge,,,
1197,"It creates a necessary constitution for the country, judges the wrongdoings of the people, and lets the government or the National Assembly see if it does not commit fraud.",,,
1198,Trial,,,
1199,The law will bring justice to you,,,
1200,Trial,,,
1201,Let's have a trial,,,
1202,It's where the law is made.,,,
1203,a place of judgment,,,
1204,Determines the consequences of events in society.,,,
1205,realize the law,,,
1206,trial,,,
1207,have a trial,,,
1208,"What the court does is to explain the meaning of the law made by the National Assembly, judge and judge according to its will, resolve conflicts among people by judging right and wrong according to the law, and help people who have been damaged by individuals or countries. Also, punish those who damage society so that social order is maintained.",,,
1209,Realize the law,,,
1210,"As a judicial branch, it makes judgments through the law.",,,
1211,enforce the laws enacted,,,
1212,"They conduct trials in accordance with the law, maintain the operation of correctional facilities such as detention centers, and conduct various legal unconstitutional examination activities such as the Constitution",,,
1213,"The court interprets the meaning of the law created by the National Assembly, and judges and judges according to its will. According to the law, it solves conflicts between people by judging right and wrong, and also helps people who have been damaged by individuals or countries. It is a place where people who have harmed society are punished so that social order is maintained.",,,
1214,"People live through various conflicts in their daily lives. In these various conflicts, the court is in charge of trials according to the law.",,,
1215,It is where the guilty are judged.,,,
1216,The court allows or rejects the law that the National Assembly has made.,,,
1217,an agency responsible for trials under the law in various conflict situations,,,
1218,"The court interprets the meaning of the law made by the National Assembly, and judges and judges accordingly",,,
1219,"""1. Control the law.",,,
1220,"2. Manage a lot of important information""",,,
1221,The law made by the National Assembly is applied to real life and the right and wrong of the sinner is judged.,,,
1222,"Depending on the conflict situation caused by school violence, sexual violence, murder, domestic violence, etc., he or she is punished or punished accordingly",,,
1223,I'll give you a trial,,,
1224,Trial,,,
1225,"Courts resolve conflicts between people by judging right and wrong according to the law, help those affected by individuals or the state, and punish those who damage society to maintain social order.",,,
1226,Make the law,,,
1227,"Make, manage and deal with laws",,,
1228,It is judged by law,,,
1229,They judge right from wrong in relation to the law and punish it,,,
1230,It is to destroy and judge whether the constitution is innocent or guilty.,,,
1231,take charge of everything,,,
1232,áá§Yeah,,,
1233,Punish through a trial,,,
1234,a judge by law,,,
1235,enforce the law,,,
1236,I'm monitoring the law,,,
1237,To cover up innocent people,,,
1238,Establish and adjust the law.,,,
1239,Trial,,,
1240,I don't know,,,
1241,to bring justice and punishment to justice,,,
1242,Trial,,,
1243,The law made by the National Assembly determines whether it is wrong or not,,,
1244,Trial,,,
1245,a place of law enforcement,,,
1246,determine if the law is in place,,,
1247,make a judgment on the basis of the law It also checks the government and the National Assembly and has fairness and objectivity.,,,
1248,Trial,,,
1249,Kim Ji-won's conviction,,,
1250,law enforcement,,,
1251,They judge an action and hold it responsible for it or reveal the truth.,,,
1252,law-abiding and judging,,,
1253,I'm going to judge if I',,,
1254,Make judgments in the lives of the people.,,,
1255,"A court is a state-appointed judge and judge in accordance with the law, which is the norm of the state",,,
1256,It is a place that distinguishes good people from bad people.,,,
1257,judge those who have committed crimes,,,
1258,It's how you get your plate printed,,,
1259,Triangle,,,
1260,It is a place to maintain social order by ruling according to the law in case of disputes between people or breaking the law.,,,
1261,maintaining social order by a court ruling fairly through a trial based on the law,,,
1262,Proceed with the trial.,,,
1263,The court proceed with the trial with the contents requested by the prosecution.,,,
1264,"What happens in the State shall be tried in accordance with the law and shall not be interfered with by the National Assembly, the National Assembly, or the government in relation to the trial",,,
1265,do the work of the state,,,
1266,"Civil trials, criminal trials, administrative trials, etc",,,
1267,real estate register management,,,
1268,Maintenance and operation of correctional facilities such as detention centers,,,
1269,Immigration Services for Foreigners,,,
1270,"Activities to examine the unconstitutionality of various laws, including the Constitution.""",,,
1271,He is responsible for the state.,,,
1272,Making a ruling,,,
1273,"Civil trials, criminal trials, administrative trials, etc",,,
1274,#NAME?,,,
1275,#NAME?,,,
1276,#NAME?,,,
1277,"- Activities to examine the unconstitutionality of various laws, including the Constitution.""",,,
1278,This is where the trial is held.,,,
1279,giving back to the National Assembly and the Government,,,
1280,It is a place to maintain social order by ruling according to the law in case of disputes between people or breaking the law,,,
1281,It is a place to maintain social order by ruling according to the law in case of disputes between people or breaking the law.,,,
1282,I don't know,,,
1283,Where you see the trial,,,
1284,I don't know.,,,
1285,I don't know,,,
1286,I don't knowtrial by law or making a constitution,,,
1287,make a law,,,
1288,I don't know,,,
1289,The court shall judge whether it is wrong or not,,,
1290,They make laws and judge them,,,
1291,Make the law,,,
1292,Make and judge the law.,,,
1293,Make the law,,,
1294,make a trial,,,
1295,It is a place where people who break the law are punished or protected.,,,
1296,We will judge what we received from the National Assembly and hand it over to the government,,,
1297,Make a law,,,
1298,Politics,,,
1299,It's where the law is made and decided.,,,
1300,Punishment is imposed on people by law,,,
1301,It's a place for a trial,,,
1302,I'm going to judge,,,
1303,Making a law,,,
1304,Play politics.,,,
1305,the act of defining a law,,,
1306,The court makes a trial.,,,
1307,Make the law,,,
1308,Make a law,,,
1309,A place where rich people look,,,
1310,"(Playing the door-to-door"")",,,
1311,A trial?,,,
1312,I'm the judge,,,
1313,Judge the dead and the living,,,
1314,The law shall be applied to the judgment,,,
1315,It serves to check and monitor power.,,,
1316,judge the conflict over the law,,,
1317,Judge the government and check the National Assembly,,,
1318,Trial,,,
1319,"""I came to the court",,,
1320,"I couldn't achieve what I wanted.""",,,
1321,Trial,,,
1322,a conviction of not guilty,,,
1323,It's a place to judge people.,,,
1324,Trial,,,
1325,Act on the basis of legislation enacted by the legislature,,,
1326,a judicial act,,,
1327,Judge the law and check the National Assembly.,,,
1328,I'm the judge,,,
1329,check the power imbalance between the government and the National Assembly,,,
1330,It judges the law based on laws financed by the National Assembly and plays a role in keeping the National Assembly and the government in check.,,,
1331,enact a law,,,
1332,I don't know liberal arts. It's natural sciences.,,,
1333,the act of,,,
1334,impose a law,,,
1335,Make a law.,,,
1336,"Congress and Government Control, Law Enforcement",,,
1337,bring justice to justice,,,
1338,a trial by law set by the National Assembly,,,
1339,Making the law,,,
1340,"""Execute the law and judge a person by the law",,,
1341,"""",,,
1342,It's judged by the law that was made,,,
1343,It is judged by law made on the basis of the Constitution.,,,
1344,Don't do the work of passing a bill.,,,
1345,law enforcement,,,
1346,judging by law,,,
1347,It is based on the law.,,,
1348,Enforce the law independently.,,,
1349,a judgment of the degree of wrongdoing in a matter,,,
1350,Look at the rich,,,
1351,Law,,,
1352,Guilty and innocent,,,
1353,the work of making laws,,,
1354,Make a law.,,,
1355,Punish people according to the law.,,,
1356,Evaluation Only. Created with Aspose.Cells for Python via Java.Copyright 2003 - 2022 Aspose Pty Ltd.,,,
