,"12. About 2,000 years ago, there were three countries on the Korean Peninsula: Silla, Baekje, and Goguryeo. For about 700 years, three countries (Silla, Baekse, and Goguryeo) fought many wars to take over the Han River. Eventually, Silla unified the three kingdoms. Let's explain how Silla unified the three kingdoms.",q12_Nadang Alliance, q12_War Victory,q12_Dang-river,q12_Han River Charge,q12_Nadze Alliance
347,"Around the time of Goguryeo's internal strife, Silla and the party struck Goguryeo again, and Goguryeo was destroyed.",,,,,
348,"As the saying goes, ""Yesterday's friend, today's enemy,"" when the party attacked Silla to swallow the Korean Peninsula, Silla blocked it well and completed the reunification of the three countries. Balhae is built in the middle.""",,,,,
349,"After Silla's occupation of Baekje, the Tang Dynasty, which wanted to take over the Korean Peninsula, and Silla, which wanted to secure the southern line of the Daedong River, collided head-on, and eventually the Nadang War began.",,,,,
350,Baekje was attacked and Goguryeo was also attacked to achieve reunification,,,,,
351,I don't know. I don't have time,,,,,
352,"Silla fought a war with Tang to overcome the difficulties of Goguryeo and Baekje, and after the collapse of Goguryeo in 668 and 668 in 660, King Munmu of Silla fought a war with Tang to drive the Tang army out of the Korean Peninsula. Silla unified the three kingdoms in 676.",,,,,
353,I don't know.,,,,,
354,áá©Noãã-ã-Show--Showáá­áá­,,,,,
355,I don't know,,,,,
356,I don't understand.,,,,,
357,I don't know.,,,,,
358,I don't understand.,,,,,
359,I don't understand.,,,,,
360,I don't know,,,,,
361,M and D,,,,,
362,I don't understand.,,,,,
363,I don't understand.,,,,,
364,I don't understand.,,,,,
365,I don't know,,,,,
366,I don't know.,,,,,
367,"The Nadang coalition team played together, but the two of them fought, did Silla win?",,,,,
368,"After fighting with Baekje, they defeated Goguryeo to unify the three kingdoms",,,,,
369,I don't understand.,,,,,
370,I don't understand.,,,,,
371,I don't understand.,,,,,
372,I don't know.,,,,,
373,I don't know,,,,,
374,I don't know,,,,,
375,Mall,,,,,
376,.,,,,,
377,"Baekje occupied the Han River with Baekje, took control of the Han River, took control of the Han River, and three sons fought for power, and one of them fled to Tang, cooperated with Tang to take control of Goguryeo, and Silla attacked the Tang Dynasty, and the Tang Dynasty ran away",,,,,
378,I don't know,,,,,
379,I don't know,,,,,
380,"After establishing the Nadang Combined Forces, they ate Baekje, died of Goguryeo Yeongaesomun, and three sons fought among themselves, and they lost Goguryeo to the Nadang Combined Forces",,,,,
381,I don't know.,,,,,
382,M and D,,,,,
383,"At first, Baekje occupied the Han River, so it was a diplomatic activity. Goguryeo was jealous of it and took away the Han River from each other. Baekje was in full swing, followed by Silla's heyday, and Goguryeo was in trouble inside for its sons to take the throne And the Tang Dynasty attacked Silla because it wanted to occupy the Three Kingdoms, and Silla joined forces to prevent the Tang Dynasty rather than losing the country to the Goguryeo and Baekje people, blocking the Tang Dynasty and reunifying the Three Kingdoms",,,,,
384,Silla suffered because of the strong resistance of Baekje resistance. a victory thanks to the performance of the cargoes,,,,,
385,Silla united with the party to defeat Goguryeo and Baekje to achieve unification.,,,,,
386,"The Nadang Alliance was formed to destroy Goguryeo and Baekje, and later won the Nadang War to achieve independent reunification of the three kingdoms.",,,,,
387,Eating Baekje and finishing Goguryeo with cooperation with the Tang Dynasty.,,,,,
388,Silla allied with Tang and invaded Goguryeo.,,,,,
389,"After Baekje and Silla first formed an alliance with the Naje alliance to destroy Goguryeo, and Silla formed an alliance with the party to destroy Baekje, Silla unified the three kingdoms.",,,,,
390,Silla formed a naje alliance with the Tang Dynasty to destroy Baekje and Goguryeo.,,,,,
391,"Silla, where Baekje and Silla united to form the Naje Alliance against Goguryeo and the Naje Alliance with the Party, killed King Uija by hitting the back of Baekje and achieved unification by Silla driving out the party in the Naje War.",,,,,
392,"King Jinheung, the 26th king of Silla, allied with King Seong, the 26th king of Baekje, and took the Han River basin from Goguryeo. And then they hit the back of the king and killed him, and after that, Silla reached its heyday. Over time, he allied with the Tang Dynasty during the 29th King Taejong Muyeol and fought an invasion war in earnest, and over time, he reached the 30th King Munmu, taking away Goguryeo's Pyongyang Castle in 668, killing Gyebaek in the Battle of Hwangsanbeol in 660. As a result, Goguryeo and Baekje were destroyed and were about to be unified, but the Tang Dynasty took the initiative again to wage war. As a result, Silla, which won the Battle of Meso Castle in 675 and the Battle of Gibeolpo in 676, defeated the Tang Dynasty and eventually achieved the unification of the Three Kingdoms!",,,,,
393,"Silla and Tang allied forces fought and destroyed Baekje and Goguryeo. After that, the Tang army was driven out and the three kingdoms were unified.",,,,,
394,"Silla formed a coalition with the Tang Dynasty to attack Baekje and destroy it, and later to destroy Goguryeo. However, when the Tang Dynasty later revealed its ambition to have the Korean Peninsula, it fought a war with the Tang Dynasty and drove it out.",,,,,
395,"Silla first occupied the Han River basin, which was dominated by Goguryeo. After that, he attacked Baekje, which was greatly reduced in power, and destroyed Baekje, and after that, after joining forces with the Tang Dynasty to destroy Goguryeo, which was excessively powerful, he invaded Goguryeo to achieve the unification of the Three Kingdoms.I don't know much about history.",,,,,
396,"Silla, allied with the Tang Dynasty, first attacked and absorbed Baekje, which had been weakened by the lazy politics of King Uija, and then destroyed Goguryeo, which was in bad condition at the time. The Tang Dynasty, which had a coalition, fought a war against each other to decide who would eat Goguryeo, where Silla won and eventually achieved the unification of the three kingdoms.",,,,,
397,"Silla formed the Tang Dynasty and the Nadang Alliance and overthrew Baekje and Goguryeo. Later, the Tang Dynasty attacked Silla for the Korean Peninsula and the Nadang War broke out, but Silla eventually won the war, ousting Tang and unifying the three kingdoms.",,,,,
398,-ã,,,,,
399,Kim Chun-chu asked Tang for help,,,,,
400,Kim Chun-chu asked Tang for help,,,,,
401,I don't know...,,,,,
402,It is because I asked the Tang Dynasty for help,,,,,
403,Silla took advantage of Goguryeo and Baekje and became like this,,,,,
404,in a fight,,,,,
405,at war,,,,,
406,I don't know,,,,,
407,Silla unified Goguryeo and Baekje with help from China and eventually used geography to drive China,,,,,
408,I don't know,,,,,
409,The Fall of Goguryeo - The Fall of Baekje - The Battle of Nadang - The Unification of Silla,,,,,
410,"Silla first attacked Baekje and Goguryeo to unify the three kingdoms, but failed, and with the help of the Tang Dynasty, it collapsed Baekje and Goguryeo. And they completely defeated the Tang Dynasty, which was trying to dominate our land, and achieved true unification of the three kingdoms.",,,,,
411,"Reproduction, validation, killing, and combining",,,,,
412,"In cooperation with the Tang Dynasty, Baekje and Goguryeo were destroyed.",,,,,
413,(Laughing),,,,,
414,Silla defeated Baekje Goguryeo,,,,,
415,Silla is the strongest of the three kingdoms,,,,,
416,"Silla formed the alliance of the Nadang, and Baekje formed the alliance But the Tang Dynasty was so strong that Silla unified",,,,,
417,I don't know,,,,,
418,Well,,,,,
419,Hmm... I don't know,,,,,
420,We fought a lot of wars,,,,,
421,I don't know,,,,,
422,"""Shall we unite, kids?""",,,,,
423,Good!,,,,,
424,"-Unification of the Three Kingdoms -""",,,,,
425,It's annoying,,,,,
426,"Silla persuaded the party to form an alliance with the party, hit Baekje first, hit Goguryeo first, and ousted the Tang Dynasty.",,,,,
427,"Silla united with the Tang Dynasty topple Goguryeo and Baekje and unify the three kingdoms, but it took almost all of Goguryeo's land from the Tang Dynasty and fought with the Tang Dynasty.",,,,,
428,"Silla and the Tang Dynasty united to defeat Baekje and Goguryeo, and when the Tang Dynasty tried to dominate Silla, the Tang Dynasty was driven out and unified.",,,,,
429,While fighting,,,,,
430,They joined forces with the Tang Dynasty to destroy Silla first and then Goguryeo to unify the three kingdoms,,,,,
431,After forming an alliance with the Tang Dynasty and destroying Baekje. Koguryo was overthrown and Tang was driven out.,,,,,
432,the act of hitting and entering,,,,,
433,It's Baekje,,,,,
434,"Silla Baekje unified the three kingdoms, but many wars broke out to unify the three kingdoms",,,,,
435,My head is white inside...,,,,,
436,Unification of the Three Kingdoms,,,,,
437,"In the 4th century, Baekje in the 5th century, Goguryeo in the 6th century was Silla",,,,,
438,a whole bunch,,,,,
439,They unified the three kingdoms and fought against the Tang Dynasty.,,,,,
440,To attack,,,,,
441,"He joined hands with the Tang Dynasty to attack Baekje and Goguryeo, and chased the Tang Dynasty",,,,,
442,Silla exchanged with many countries and won the war by receiving new material,,,,,
443,Expanding generations from place to place,,,,,
444,"He allied with the Tang Dynasty, struck down Goguryeo, struck down Baekje, and gave the Tang Dynasty about half of the land he occupied.",,,,,
445,"4c 5c 6c took turns, but at the end, Silla won",,,,,
446,"""The king of Silla was Kim Chun-chun.",,,,,
447,The Great Wild Castle was taken away by Baekje.,,,,,
448,Kim Chun-chu asked Goguryeo to play Baekje with him,,,,,
449,Goguryeo power Yeon Gaesomun hates it,,,,,
450,"Accordingly, Kim Chun-chu moved to the Tang Dynasty and asked to play Baekje together, and was accepted.",,,,,
451,"It's not an easy question, but there was a problem inside",,,,,
452,"I can't because I'm coming in with Tang (130,000 Tang)",,,,,
453,,,,,,
454,,,,,,
455,,,,,,
456,,,,,,
457,,,,,,
458,,,,,,
459,,,,,,
460,,,,,,
461,,,,,,
462,,,,,,
463,,,,,,
464,,,,,,
465,,,,,,
466,,,,,,
467,,,,,,
468,,,,,,
469,,,,,,
470,,,,,,
471,,,,,,
472,"""",,,,,
473,"4th, 5th, and 6th centuries variable, but the last Silla monk",,,,,
474,"Combined with the Tang Dynasty, they defeated Baekje and Goguryeo",,,,,
475,Koguryo and Baekje were destroyed in alliance with the Kang Dynasty,,,,,
476,"In alliance with the Tang Dynasty, Goguryeo was overthrown and unified",,,,,
477,allied with the Tang Dynasty to destroy Goguryeo and Baekje.,,,,,
478,It allied with the Tang Dynasty and unified Goguryeo and Baekje by destroying them.,,,,,
479,They allied with the Tang Dynasty and destroyed Goguryeo and Baekje.,,,,,
480,Let's not touch the history that our ancestors made,,,,,
481,Calling the Tang Dynasty,,,,,
482,.,,,,,
483,"The Nadang Allied Forces were formed to attack Baekje and occupy the Hangang River basin. After Baekje fell, it attacked Goguryeo and destroyed it.",,,,,
484,"In alliance with the Tang Dynasty, Baekje and Goguryeo were destroyed one after another, and the Tang Dynasty and Silla fought a war, and Silla won and unified the three kingdoms",,,,,
485,Long live the Tang Dynasty,,,,,
486,I don't know.,,,,,
487,I don't know,,,,,
488,"""I don't know",,,,,
489,"""",,,,,
490,I'm a traitor,,,,,
491,I don't know,,,,,
492,Helped by other countries,,,,,
493,I don't know.,,,,,
494,"I ate Baekje, and I ate Goguryeo.After the destruction of Baekje, Goguryeo was destroyed, and Silla unified the three kingdoms.",,,,,
495,I don't know.,,,,,
496,"He defeated Baekje next to him, went up to Goguryeo, and brought Goguryeo into his own territory.",,,,,
497,Silla united with Tang and destroyed Baekje and Goguryeo,,,,,
498,Silla unified the three kingdoms by eating Baekje and Goguryeo.,,,,,
499,I don't know.,,,,,
500,"As Silla reached its peak in the 6th century, it defeated Baekje in Hwangsanbeol topple Baekje, and Goguryeo joined hands with the Tang Dynasty topple Goguryeo with the Nadang Allied Forces and oust the Tang Dynasty, which fought together.",,,,,
501,"Silla allied with the Party and Baekje with Goguryeo. Silla and Tang struck Baekje first, followed by Goguryeo.",,,,,
502,We shared our opinions.,,,,,
503,"Goguryeo was destroyed by Tang Dynasty, Silla and Tang were merged to destroy Baekje",,,,,
504,Tang and Silla united to destroy Baekje and then Goguryeo,,,,,
505,"First, Silla defeated Baekje troops in the Battle of Hwangsanbeol, and united with the Tang Dynasty to destroy Goguryeo, which succeeded in unifying the three countries.",,,,,
506,"Silla, which was threatened by other countries, said that if the three kingdoms were unified with the help of the Tang Dynasty, it would give some land to Daanra, and destroyed Baekje first and Goguryeo, which was in turmoil, to achieve the unification of the three kingdoms.",,,,,
507,"Silla, which overthrew Baekje and allied with the Tang Dynasty, overthrew Goguryeo and unified the three kingdoms",,,,,
508,"Through the Nadang Alliance, they fought the Battle of Hwangsanbeol and other wars to unify the three countries.",,,,,
509,I don't know.,,,,,
510,I don't know.,,,,,
511,I don't know,,,,,
512,Hwarangdo was created and unified,,,,,
513,.,,,,,
514,occupied with the help of Balhae,,,,,
515,Silla and the Tang Dynasty united to destroy Baekje and Goguryeo and Silla unified the three kingdoms.,,,,,
516,B.The last time the alliance destroyed Baekje.The two parties fought and Silla unified the three kingdoms.,,,,,
517,"With the help of Balhae,",,,,,
518,"He asked the Tang for help, conquered Baekje, and conquered Goguryeo. Therefore, the three countries were unified.",,,,,
519,Unification of King Munmu and Kim Yu-shin,,,,,
520,"After asking for help from the party, he conquered Baekje and then Goguryeo. Therefore, the three countries were unified.",,,,,
521,Silla Kim Chun-chu joined hands with the Tang Dynasty to unify the three kingdoms,,,,,
522,"When Goguryeo and Baekje invaded Silla, Silla formed a Nadang alliance with the Tang Dynasty and defeated Baekje and Goguryeo to unify the three kingdoms.",,,,,
523,Silla Kim Chun-chu joined hands with the Tang Dynasty to unify the three kingdoms.,,,,,
524,"Taking advantage of the internal rebellion of Goguryeo, Silla and the Tang Dynasty joined forces to destroy Goguryeo, and Silla won the Battle of Hwangsanbeol because the king of Baekje only played",,,,,
525,?,,,,,
526,Silla united the three kingdoms in union with Tang.,,,,,
527,Silla and the Party united to defeat Baekje and Goguryeo and unify them.,,,,,
528,"Attack of Silla and Tang > Battle of Hwangsanbeol > Fall of Sabiseong (Baekje), Fall of Goguryeo Power > Death of Yeongaesomun, Internal Fight Occurred > Attack of Silla and Party Allied Forces Again > Fall of Pyongyang Castle [Unification of Three Kingdoms]",,,,,
529,"Silla, Party Attacks and Unification of the Three Kingdoms",,,,,
530,Silla and the Party united to unify the three kingdoms,,,,,
531,Kim Yushin and China reunified,,,,,
532,Silla united with the Party and unified the Three Kingdoms.,,,,,
533,Silla united with the Tang Dynasty to destroy Baekje and Goguryeo to unify.,,,,,
534,M and D,,,,,
535,None.,,,,,
536,Silla killed them all,,,,,
537,I don't know.,,,,,
538,winning a war,,,,,
539,Silla fought the unification of the three kingdoms at war,,,,,
540,fought a war,,,,,
541,I did it through war,,,,,
542,I don't know.,,,,,
543,The Han River basin was taken from Baekje and merged with the Tang Dynasty to destroy Baekje and Goguryeo in order.,,,,,
544,Silla fought and won,,,,,
545,Silla won and unified the three kingdoms,,,,,
546,"""",,,,,
547,"Silla cooperated with the Tang Dynasty to open the back of Goguryeo, which was exhausted from many wars.",,,,,
548,Silla attacked,,,,,
549,I'm not sure,,,,,
550,I don't know much about history,,,,,
551,I don't know.,,,,,
552,.,,,,,
553,"Goguryeo was destroyed, Baekje was destroyed, and the Tang Dynasty was expelled.",,,,,
554,"Along with the Silla River Dangna, Goguryeo was destroyed and the Tang Dynasty was driven out to unify the three kingdoms.",,,,,
555,I don't know.,,,,,
556,"After joining hands with the Tang Dynasty and destroying Baekje and Goguryeo in order, they defeated the Tang Dynasty to achieve unification.",,,,,
557,"Silla was fiercely attacked by Baekje and asked Goguryeo for help, but was rejected. So Silla united with the Party and destroyed Baekje in 660 and Goguryeo in 668. However, when the party tried to take over the Korean Peninsula, Goguryeo, Silla, and Baekje people gathered together to win the Battle of Meso Castle and Gibeolpo, ousting the party from the Korean Peninsula and unifying the three kingdoms.",,,,,
558,"In cooperation with the Tang Dynasty, the Nadang Allied Forces were formed to destroy Baekje in 660 and Goguryeo in 668. After that, through the Nadang War, King Munmu completed the unification of the Three Kingdoms in 676.",,,,,
559,I killed them all and ate the land.,,,,,
560,"Nadang united, destroyed Baekje, destroyed Goguryeo, and won the Nadang War.",,,,,
561,I don't know,,,,,
562,China helped reunify the country,,,,,
563,"Since Silla made Shilla Ramen, all countries have enjoyed eating Shilla Ramen, and naturally, they have surrendered and unified it.",,,,,
564,"He held hands with the Tang Dynasty, held Baekje, and captured Goguryeo.",,,,,
565,Because there were several wars and Silla finally won the war,,,,,
566,"Silla won the Maesoseong and Gibeolpo fight against the party's ambition to dominate the Korean Peninsula, ousting the party forces and achieving the unification of the three kingdoms.",,,,,
567,Silla united with the Tang Dynasty and formed the Nathang Alliance to unify the three kingdoms,,,,,
568,He killed Baekje and ruled Goguryeo by the Nadang Alliance,,,,,
569,I don't understand.,,,,,
570,Silla captured Baekje and Goguryeo,,,,,
571,Silla used the power of other countries to destroy Baekje and Goguryeo and unify the three kingdoms,,,,,
572,"He captured Baekje, captured Goguryeo by the Nadang alliance, and fought with the Tang Dynasty to win the ddaengi",,,,,
573,I won everything,,,,,
574,at war,,,,,
575,Attacking Goguryeo with Jjanggae,,,,,
576,"After forming an alliance with the Qing Dynasty and hitting Baekje, Goguryeo with Baekje soldiers, Silla soldiers, and the Qing Dynasty, Silla unified the three kingdoms.",,,,,
577,Kim Hye-sook,,,,,
578,Rnnnnnnnnnnnnnnnnm,,,,,
579,The alliance with the Tang Dynasty was completely destroyed,,,,,
580,.,,,,,
581,M and D,,,,,
582,by h,,,,,
583,with the help of the king,,,,,
584,I don't like Korean history,,,,,
585,I don't know. I definitely studied...,,,,,
586,1,,,,,
587,"Silla first joined hands with the Tang Dynasty, unified Baekje, and then conquered Goguryeo.",,,,,
588,1,,,,,
589,"""First of all, Baekje was destroyed and Goguryeo was destroyed by the combined forces of the Han and Nadang",,,,,
590,"And as Silla ousted the Tang army from the Korean Peninsula, Silla achieved the unification of the Three Kingdoms",,,,,
591,"King Taejong Muyeol formed a coalition of Nadang through diplomacy with the Tang Dynasty, and the collapse of Baekje in 660 and Goguryeo in 668, but the Tang fought proudly against its ambition to dominate the entire Korean Peninsula, defeating Silla from the Battle of Maesoseong and Gibeolpo on land and reunifying the Three Kingdoms in 676. (Half unified, but with the establishment of Balhae in 698, the start of the Civil War)",,,,,
592,I don't know,,,,,
593,"Baekje and Goguryeo were destroyed, and Silla drove out the Tang army on the Korean PeninsulaThe fall of Baekje, the fall of Goguryeo, and Silla's overthrow of the Tang army from the Korean Peninsula",,,,,
594,I don't know.,,,,,
595,He became a king and beat the country,,,,,
596,I don't know,,,,,
597,Silla joined hands with the party to sweep Goguryeo and Baekje in order and oust the party to unify only the southern part of the Korean Peninsula.,,,,,
598,I don't know.,,,,,
599,Silla drove out the party after the combined forces of Silla and the party attacked Goguryeo and Baekje and destroyed them.,,,,,
600,I won the war with the help of the neighboring country.,,,,,
601,I don't remember,,,,,
602,"After Silla formed the Nadang coalition through diplomacy with the party, Goguryeo collapsed in 668 after the collapse of Baekje in 660 but confronted the party with its ambition to dominate the Korean Peninsula.Thus, after a great victory with the Party in the Battle of Maesoseong and the Battle of Gibeolpo, the three countries were unified.",,,,,
603,I don't know,,,,,
604,"After defeating Baekje and Goguryeo, Silla unified the Three Kingdoms and became a unified Silla",,,,,
605,I don't know.,,,,,
606,History is not my specialty.,,,,,
607,I forgot.,,,,,
608,defeated Baekje and Goguryeo,,,,,
609,I don't know.,,,,,
610,We ate the Han River and went to war,,,,,
611,Forgot.,,,,,
612,I don't know.,,,,,
613,I don't know,,,,,
614,......,,,,,
615,We're unified,,,,,
616,They united with the Tang Dynasty to conquer Baekje and immediately attacked and conquered Goguryeo when Yeon Gaesomun died,,,,,
617,"First, Baekje was eliminated from China and then Goguryeo was eliminated",,,,,
618,I won all the battles,,,,,
619,I don't know,,,,,
620,I don't know.,,,,,
621,"Silla Kim Chun-chu went to Tang Taejong, ate a team, attacked Baekje with embossing, and Goguryeo fought and surrendered.",,,,,
622,I don't know.,,,,,
623,This is because Silla won both the wars between Baekje and Goguryeo.,,,,,
624,General Kim Yu-shin Wins the War,,,,,
625,I'm turning it off,,,,,
626,Kim Yu-shin Kills Queen Seondeok,,,,,
627,"Baekje, Goguryeo, and unified the whole country",,,,,
628,"Grandpa Dangun took over and made up the world with God, but he didn't like it",,,,,
629,I don't know much about history;;,,,,,
630,I don't know,,,,,
631,I don't understand.,,,,,
632,Silla killed them all,,,,,
633,"Combined with the Tang Dynasty, Goguryeo and Baekje were destroyed",,,,,
634,fight one way or another,,,,,
635,old;not good,,,,,
636,I want to eat brown rice,,,,,
637,Groovyroom everyweoã¹ã áá¦,,,,,
638,"General Kim Yu-shin's performance combined with Kim Chun-chu's diplomatic power, and King Munmu's achievements were completed",,,,,
639,Silla struck Goguryeo and Baekje with the help of China to unify the three countries,,,,,
640,"""",,,,,
641,I really don't know,,,,,
642,"Baekje was defeated by Goguryeo, Silla and Tang formed a coalition to destroy Goguryeo, and later Silla and Tang were separated from each other, and Silla won the battle to unify the three kingdoms",,,,,
643,Silla fought a war with Baekje and Goguryeo and won and unified Korea,,,,,
644,have no interest in history,,,,,
645,"Silla and the Tang Dynasty unite to swallow Baekje and Goguryeo first.After that, when the Tang Dynasty asked to share some land, he fought another war with the Tang Dynasty to win.",,,,,
646,""" After Silla destroyed Goguryeo and Baekje, it drove out the party and established a country. The territory of Goguryeo was not unified. Later Balhae was founded.""",,,,,
647,The kings of each country met and cooperated,,,,,
648,"Silla destroyed Baekje, Goguryeo destroyed, and Silla unified the three kingdoms after the Nadang War",,,,,
649,He joined hands with Tang and attacked Goguryeo,,,,,
650,"Nadang Union, Baekje's demise, Goguryeo's demise, Nadang War, and the unification of the three kingdoms",,,,,
651,"To unite with Silla Party, to capture Baekje Sabiseong Fortress, to capture ancient Pyongyang Fortress, and to win the battle against the gates to unify",,,,,
652,"Silla fought Goguryeo and Baekje through the Nadang Alliance, and finally defended the country and unified the three kingdoms under the Party's control of the Korean Peninsula",,,,,
653,Koguryo was destroyed and Balhae was destroyed,,,,,
654,"Silla united with the Party, captured the Sabiseong Fortress of Baekje, captured the Pyongyang Fortress of Goguryeo, and defeated the Party and unified it",,,,,
655,B.Party alliance->Destruction of Baekje->Destruction of Goguryeo->I.Party War -> Unification of the Three Kingdoms,,,,,
656,B.Party alliance->The fall of Baekje->The fall of Goguryeo->Me.Party War->Unification of the Three Kingdoms,,,,,
657,B.Party alliance->Destruction of Baekje->Destruction of Goguryeo->I.Party War->Unification of the Three Kingdoms,,,,,
658,Nadang Union->Baekje Destruction_> Goguryeo Destruction_>Nadang War_>Unification of the Three Kingdoms,,,,,
659,"Silla and the Tang Dynasty united to destroy Baekje Sabiseong Fortress, and after defeating Goguryeo's Pyongyang Fortress, they completed the unification of the three kingdoms through the Nadang War.",,,,,
660,"After the coalition of the Nadang, Baekje and Goguryeo were destroyed one after another, and the party that wanted to rule the Korean Peninsula was defeated to achieve the reunification of the three kingdoms",,,,,
661,"Silla formed a coalition between the Party and the Nadang, destroying Baekje and Goguryeo one after another, and Silla defeated the party that wanted to rule the Korean Peninsula, resulting in the unification of the Three Kingdoms",,,,,
662,Silla allied with the Tang Dynasty and destroyed Goguryeo â Baekje.,,,,,
663,Achieved through the Najang Alliance and drove the Tang Dynasty,,,,,
664,Silla allied with the Tang Dynasty after the fall of Baekje to destroy Goguryeo and unify it,,,,,
665,"After defeating Goguryeo in alliance with the Tang Dynasty, they fought with the Tang Dynasty and unified the three countries.",,,,,
666,We fought the enemy hard,,,,,
667,"Unification that cannot be viewed as such positively by attracting external forces such as Tang, not absorption unification, and limiting the territory as well as many things",,,,,
668,Silla asked the Party for help and formed the Nadang coalition and destroyed the three kingdoms in the order of Baekje and Goguryeo,,,,,
669,"During King Jinheung's reign, the Han River was occupied, the foundation was established, and in alliance with the party, Baekje was destroyed in 660 and Goguryeo in 668, and the party's army was defeated in 676, unifying the three kingdoms and suppressing revival movements in various places.",,,,,
670,"Through the alliance with the Tang Narang, Baekje was restored and Goguryeo was restored, but the party's ambition to rule was confirmed, and Ahn Seung supported the Goguryeo revival movement to defeat the party and unify the three kingdoms",,,,,
671,"He united with Tang and defeated Baekje and Goguryeo. Later, the Tang Dynasty was ousted to unify the Three Kingdoms.",,,,,
672,B.The three countries were united by a party alliance.,,,,,
673,"Silla attacked Goguryeo after joining forces with the Tang Dynasty to destroy Baekje. Goguryeo was weakened by the power dispute after the death of Yeongaesomun Gate, and was attacked and destroyed. Then the Tang Dynasty won the war and unified it.",,,,,
674,a fish's head,,,,,
675,"After the unification of Goguryeo in cooperation with the party, the party betrayed it and Silla prevented it",,,,,
676,He conquered one country first and absorbed the last remaining one,,,,,
677,the destruction of Baekje and Goguryeo using the power of China at that time,,,,,
678,I don't know.,,,,,
679,Silla won overwhelmingly by population in alliance with Tang,,,,,
680,I don't know.,,,,,
681,Baekje and Goguryeo were unified by the union of Silla and Tang dynasties.,,,,,
682,"After repelling Goguryeo with Baekje, King Jinheung took over the Han River basin by disposing of Baekje.",,,,,
683,"After Baekje occupied the Han River basin, Goguryeo occupied the Han River basin and Silla united it with the Tang Dynasty.",,,,,
684,Unified Silla Foundation Ship,,,,,
685,"Baekje was destroyed and Goguryeo was destroyed by the Nadang Alliance, which was allied with the Tang Dynasty.",,,,,
686,Silla gained power from foreign powers and unified ham,,,,,
687,I don't know.,,,,,
688,The Tang and Tang united in unity,,,,,
689,"After joining forces with the Tang Dynasty, he attacked Baekje and took over the Han River.",,,,,
690,Goguryeo collapsed and Baekje collapsed.,,,,,
691,"After allied with Baekje to occupy the Han River occupied by Goguryeo, it betrayed Baekje and destroyed it, and allied with the Tang Dynasty to honor Goguryeo.",,,,,
692,"Kim Chun-chu went to Goguryeo to negotiate, but was caught by Goguryeo due to the breakdown of negotiations. However, he was released from Goguryeo due to his adaptation and joined forces with the Tang Dynasty to fight Baekje first. Baekje tried to drag time on the last Hwangsanbeol, but it was not enough, and Baekje was destroyed by the Nadang Allied Forces. During the reign of Goguryeo's Gaesomun, it rather overwhelmed the Nadang coalition, but after Yeon Gaesomun's death, a power struggle broke out and one of Yeon Gaesomun's sons joined the Nadang coalition, which broke down. Eventually, King Bojang surrendered, and Goguryeo was destroyed. The reason why the Tang Dynasty united with Silla was to destroy Goguryeo and Baekje and Silla together, so Goguryeo and Baekje hit Silla as soon as they collapsed. However, Silla blocked this and achieved unification, although not often.During King Jinheung's reign, the Hangang River basin was occupied, laying the foundation for the unification of the three kingdoms. Later, in 660, through the Battle of Hwangsanbeol in alliance with the Party, Baekje was destroyed, and Pyeongyangseong Fortress was occupied, and Goguryeo was destroyed in 668. Against the Tang Dynasty, which reveals its ambitions on the Korean Peninsula, it won the Battle of Maesoseong and the Battle of Gibeolpo, and achieved the unification of the Three Kingdoms in 676. Later, he suppressed the revival movement that was initiated by the people of Goguryeo and Baekje.",,,,,
693,Silla won the war->Unification of the Three Kingdoms,,,,,
694,"Silla's Queen Seondeok sent Kim Chun-chu to the Tang Dynasty to help him, so he succeeded in destroying Goguryeo with the Tang Dynasty from Baekje",,,,,
695,"""",,,,,
696,Tang and Silla joined forces to fight Baekje and Goguryeo,,,,,
697,They invaded Hanseong and unified the three kingdoms.,,,,,
698,Silla asked China for help.,,,,,
699,"He fought Baekje first, won Goguryeo first, and unified it.",,,,,
700,"Tang and Silla joined forces, hit Baekjae, and hit Goguryeo",,,,,
701,Silla and Tang united and captured Baekje and Goguryeo,,,,,
702,"While fighting over Hanseong (Seoul), Silla unified",,,,,
703,Silla united with Tang,,,,,
704,Silla ate Baekje and Silla joined forces to eat Goguryeo,,,,,
705,Silla asks China for help,,,,,
706,Silla first established Baekje and then unified Goguryeo,,,,,
707,Kim Chun-chu was caught by Baekjae after beating Silla,,,,,
708,I tried hard and unified it.,,,,,
709,Silla joined hands with the Tang Dynasty to hit Baekje and then Goguryeo.,,,,,
710,"Both Silla, Baekje and Goguryeo were difficult to occupy the Han River, so they unified the three kingdoms.",,,,,
711,"Queen Seondeok of Silla asked Kim Yu-shin to unify the Three Kingdoms, so Kim Yu-shin unified the Three Kingdoms",,,,,
712,Scylla is,,,,,
713,Silla asked for help from somewhere in China and unified the Three Kingdoms.,,,,,
714,Silla unified Baekje first and then Goguryeo...,,,,,
715,The Tang Dynasty and Silla united to achieve unification,,,,,
716,Tang and Silla united to achieve unity,,,,,
717,"Queen Seondeok ordered Kim Chun-chu to form an alliance with Goguryeo, but King Yeondeok put Kim Chun-chu in jail and Kim Yu-shin came to save him about a month later. After King Seondeok ordered Kim Chun-chu to join the Tang Dynasty, he gave up the pride of King Seondeok and destroyed the kingdom But Silla blocked it and unified the three kingdoms",,,,,
