,1) Stars are still in the sky during the day. But why can't we see stars during the day? ,q47_sunlight
719,"""When the sun rises, the weak light of stars in the sky, where the sun is scattered by light scattering",
720,"because it doesn't look relatively good""",
721,"When the earth revolves around the sun, the earth rotates, but when it rotates, it is daytime when it shines the sun, and the opposite side that the sun does not shine is night. Of course, it can be seen during the day, but in the evening, the star reflected by the light source called the sun is dark at night, so you can see it well",
722,"There are stars, but there are some that the sun is too bright to see, and some that cannot see because of the fumes.",
723,Stars are invisible because of the sun's light,
724,"Because of the scattering of light,",
725,It's too bright,
726,"Because stars are darker in light than the sun, the sun is brighter when the sun rises, making it harder to see stars.",
727,It doesn't look darker than the sun.,
728,The sunlight is stronger than starlight,
729,"Because of the sunlight,",
730,Because the earth rotates,
731,Because the sky is bright,
732,Because the sky is bright,
733,I don't know.,
734,Because of the sun,
735,The sun is shining so brightly,
736,It's because the sun is up and the surroundings are too bright,
737,I can't see it because it's covered by the sun,
738,covered by the sun's light,
739,Because the sun is up.,
740,Because the sun is up.,
741,Because it is too bright because of the sunlight.,
742,The sun is brighter,
743,The sun's light is strong,
744,Because the sun is brighter,
745,The sunlight is so strong,
746,Because it's bright,
747,"As the sun goes down, we can't see each other day",
748,I don't know,
749,I don't know.,
750,I don't know.,
751,Because the sun is bright,
752,It's hard to observe with the naked eye because of the light,
753,The sun is too strong,
754,I can't shine the stars because of the sunlightduring the day,
755,Because it's bright,
756,Sun,
757,The stars are covered by the sunlight,
758,?,
759,Since the sun is up,
760,Because the sun's light is stronger than the stars,
761,Because of the strong sunlight,
762,The sun is so bright and close that the sunlight blocks the starlight,
763,You can't see the stars shining with the strong light of the sun.,
764,It's bright,
765,It's bright,
766,The sun is so bright that I can't see the stars,
767,Because the sun's light is too bright,
768,The sun is so bright,
769,"Because stars shine brightly, stars are invisible during the bright day.",
770,"""",
771,"""Because the sky is so bright""",
772,The sun cannot be too strong.,
773,The sun is too bright to be seen.,
774,I can't see it because the sun is bright,
775,Because the sunlight is too strong.,
776,"Because the sun is much closer than other stars, the relative brightness is too bright to see the stars.",
777,The sun is too bright,
778,The sun is much closer than other stars and it's too bright,
779,The sun is so bright,
780,It's too faint,
781,It's too faint,
782,"The light from the sun is stronger than the light from the stars, so you can't see the stars during the day",
783,The sun is so strong,
784,Because the sun is bright,
785,The sun is so bright,
786,Because it's daytime,
787,I don't understand.,
788,This is because sunlight is stronger than starlight.,
789,on a fine day,
790,It's bright during the day,
791,The sunlight is so strongIt's too bright,
792,The sun is so bright,
793,This is because starlight is obscured by sunlight that is much brighter than starlight.,
794,This is because the axis of rotation and our horizon do not match.,
795,Because the sun's light is too strong.,
796,"Because of the strong light of the sun, it is invisible to the naked eye.",
797,It is because the sun is brighter than the stars.,
798,I don't know.,
799,The sun's light is so strong that the star's light is invisible.,
800,This is because the light of the sun we see is much stronger than the light of the star.,
801,Because the sun is too bright,
802,N and M,
803,Because of the sun,
804,"Because it's dark at night. ""Lose by day and win by night!""",
805,covered by the sun,
806,Because the sun is brighter.,
807,The sun is so bright,
808,"The star the sun is closest to the earth, and no other star is visible by the bright sunlight during the day.",
809,"Because the apparent magnitude of the sun's light is larger than the apparent magnitude of the star, it is obscured by the sun's light and cannot be seen.",
810,"During the day, the sun's light, which is a light source, is very strong, so the stars are hidden.",
811,The sun is stronger,
812,It's because the sun is too bright.,
813,"The brightness of the stars is smaller than that of the sun, so only the sun is relatively visible. It may be less, but it is omitted because there is not enough time.",
814,The sun is too bright to see the stars.,
815,.It's too bright to see.,
816,The reason why we can't see stars during the day is because the sun is bright and we can't see relatively dark light.,
817,Because the earth revolves,
818,"The reason why we can't see stars during the day is because of the strong light of the sun, which makes it impossible to observe them with the naked eye.",
819,The reason why we can't see stars during the day is because the sun is too bright to see stars.,
820,"Even during the day, stars are floating in the sky. However, the sun's light is brighter than the stars' brightness, making them invisible.",
821,a shortage of time,
822,"As the earth rotates, each zodiacal palace looks different depending on the season, because the seasons change because of the rotation of the earth",
823,It is because the clouds are hidden. This is because the sun is shining on the opposite side.,
824,"There are many stars that are much brighter than the sun in our solar system. However, the relative brightness of the star we see is the square of the distance by the number that the star will move away, so the brightness decreases exponentially. Therefore, our sun, which is relatively small in brightness but very close in distance, covers all the light of the stars, so that the stars are invisible.",
825,This is because the sunlight is bright and prevents us from seeing the wavelengths of light from other light.,
826,I'm sorry.,
827,",,,",
828,The stars are covered by the sunlight,
829,The sun is so bright,
830,"It's supposed to be visible, but it's too bright to be seen",
831,It's because starlight is weaker than the sun's light,
832,You can't see the stars during the day because it's bright.,
833,Because the sun's light is too bright to see stars.,
834,in a whirlwindling manner,
835,This is because stars are obscured by the influence of sunlight.,
836,The sun's light is strong,
837,M and D,
838,It's because the sunlight is too strong.,
839,"Because of the strong sunlight,",
840,Because the sun is up and it's bright,
841,The sun's light is too strong.,
842,Because I can't see it.,
843,Because of the sun,
844,It's too bright,
845,The sun is brighter than the stars,
846,the rotation of the earth,
847,The sun is up,
848,Because the light blocks the stars,
849,Because the sun is brighter than the stars,
850,Because the earth rotates,
851,The sun is so bright,
852,In the sun,
853,The sky is bright. Because of the sun,
854,Taeyalli to blot out the golden rays of the stars.,
855,Does not look for the light it.,
856,The sky is bright for,
857,Due to the light of the year,
858,Sunlight is too strong and obscure the light of the stars.,
859,The sun was dancing it up so much debt not look bright.,
860,Due to the light of the year.,
861,As we go to school.,
862,The sun is athletics is more than a star.,
863,The light is too because of the sun.,
864,There is so bright sun.,
865,Due to sunlight.,
866,To the Earth spin around its axis,
867,The sun is so bright,
868,The sun is so bright,
869,It's because the light passes by during the day,
870,Because the sun is too bright to see the stars,
871,Because the sun is too bright.,
872,The sun is stronger,
873,It's because the sun is too bright,
874,Because the sunlight is too bright,
875,Because of the sun,
876,Because the sun is too bright.,
877,Because it covers the sky with the light of sunlight.,
878,To the Earth spin around its axis,
879,It's sunny,
880,Because of the sunlight,
881,The sun is too bright to see stars,
882,This is because light on stars is weaker than light on the sun.,
883,This is because the earth revolves.,
884,The sun's light is strong,
885,Because the sun is much brighter than the stars.,
886,"When the Earth orbits and looks at the sun, it seems that the direction of the Earth's light is bright and invisible.",
887,It's because the Earth revolves,
888,The power of the sun's light is stronger than the power of the star's light,
889,It is not visible because it is bright because of the sunlight,
890,"The night sky is dark, so stars can shine, but during the day, the sky is bright, so stars cannot shineBecause the sky is bright, the stars are not visible, and the day and night are changed by rotation",
891,It's because the sunlight covers the light,
892,"The sun's light is much brighter than the stars, so you can't see it.",
893,"Because the sun is bright and you can't see the stars, you can't even see the constellations",
894,The sunlight is so bright,
895,"Because the Earth rotates, stars cannot be seen during the day, and stars become more visible in the evening",
896,You can't see the stars during the day because the earth rotates.,
897,"Because the earth rotates, it is divided into night and day, and both day and night, although the sun and stars are floating, Korea is on the opposite side of the sun at night, so it does not receive light. Stars are visible only at night when there is no sunlight because they can be seen well when it is dark.",
898,I can't see because the sun is up.,
899,"Stars are always bright, but because the sky is dark at night, you can see the stars that were floating brightly, and during the day, the sky is as bright as a star, so you can't see the stars.",
900,"Because the sun is stronger,",
901,This is because the Earth orbits and receives a lot of sun heat during the day and does not receive the sun's light at night.,
902,"Because the earth rotates, it becomes bright during the day, so the stars are not visible",
903,Because the sky is bright,
904,Because there is sunlight.,
905,Stars are shiny,
906,Because of the sun,
907,The sunlight is so strong,
908,:(,
909,under the light,
910,The sunlight is strong,
911,It's bright,
912,Because the sun is bright,
913,under the light,
914,"The bright shape of the sun gives off light, but you can't see it because it's light everywhere",
915,"Because of the time difference,",
916,It's too bright,
917,Because the sun is too bright.,
918,Because the sun cannot be seen by light.,
919,Because of the sunlight,
920,It's bright,
921,Because it's the day. It's daytime,
922,The starlight is weaker than the sun',
923,The sun's light is brighter than the stars,
924,"Because the sun is shining, it is too bright to be seen.",
925,It's bright because of the sun,
926,The sunlight is stronger,
927,The sun is so strong that I can't see the starlight,
928,Because the sunlight is too bright,
929,The sun is stronger than the stars,
930,"The Earth is orbiting and invisible, and when stars in space are affected by the sun, they are invisible, and the universe is black and dark, which is visible at night and invisible at day",
931,The sunlight is reflected,
932,The sun is brighter than the stars,
933,"Just as the sun is so bright that the dark sky looks bright, the stars become too bright to look.",
934,The sunlight is so strong,
935,The sunlight is so strong,
936,The sunlight is so strong,
937,The sunlight is so strong,
938,It's because the sun is too bright,
939,The sun's light is stronger in the morning than in the starlight,
940,"Because the sunlight is stronger,",
941,Because I couldn't see the stars because my friend called me.,
942,.,
943,I don't know,
944,Stars are invisible to our eyes when it's bright,
945,Because of the sunlight,
946,The sun is too bright to see.,
947,The sun is so strong that starlight cannot reach the eye.,
948,The sun is too bright to see,
949,The sun's light is too strong to see stars during the day.,
950,The sunlight from the sun is bright,
951,The sun's light is so bright that the star's light cannot be seen.,
952,I don't know,
953,The sunlight is so bright,
954,I don't know,
955,Because the sunlight is strong,
956,It's bright,
957,The sun is covering me,
958,Because the sun is brighter than the stars.,
959,It's because the sun is blocking me,
960,Because the sun is too bright to see,
961,It's because the sunlight is brighter,
962,"Because the sun's light is bright,",
963,I didn't see it either.,
964,"The sunlight is very bright compared to the starlight, so the starlight is covered, so you can't see the stars during the day.",
965,It's because the sunlight is brighter,
966,The sun is too bright to see,
967,It's sunny,
968,Because of the sun's light,
969,The sunlight is so bright,
970,Because the light from the sun is so intense.,
971,It's because the sun is too bright,
972,"Even during the day, stars are shining in the sun, but they cannot be seen during the day because the light they are shining is overwhelmingly weaker than the light of the solar radiation energy they are spending directly.",
973,Because of the sun,
974,The sunlight is so strong,
975,The sun is so bright,
976,It's because it's too bright.,
977,I don't know,
978,covered by the sun's light,
979,Because of the sunlight,
980,"Because of the sun, the world is so bright that you can't see the twinkling stars",
981,I don't know,
982,"If it's bright, the clouds block the stars, so you can't see it well, and you can see it at night",
983,Because no other star is visible because of the sun's light,
984,I don't think it's going to be visible under the sun.,
985,"""Because it's too dark to see the stars at night.",
986,"""",
987,"The stars are bright, but the sunlight is much brighter, so I don't think they're visible.",
988,The sun shines brightly,
989,"In the morning, it's covered by the sunI can't see because of the sun's light.",
990,It's too bright,
991,"The stars are white and the sunlight is white, so I don't think I can see the stars.",
992,It's because of the debt,
993,Because there's no moon,
994,I don't know.,
995,Because it's bright during the day.,
996,"The sun and stars are the same color, so the sun is brighter, so the stars are covered by the sun, so I don't think I can see them.",
997,?,
998,I can't see it because of the sunlight,
999,It's because the sun's light comes in,
1000,Because the sky is bright,
1001,It's covered by the sun,
1002,Because of the sun,
1003,It's too bright,
1004,Because of the sun,
1005,Because it's bright,
1006,Because the sun is too bright,
1007,Because the sun is bright and I can't see the starlight,
1008,Because the sun is bright,
1009,The earth rotates and is in a different position,
1010,The sunlight is brighter,
1011,The sun is too strong to see other stars,
1012,"Because of the strong sunlight,",
1013,Because of the sunlight,
1014,I can't see because I'm covered by the sun's light.,
1015,You can't see the brightness of the sun because it is stronger than the brightness of the stars,
1016,Because the sun's light is strong,
1017,Stars are reflected by the sun or the moon and can be seen with our eyes.,
1018,in the sun,
1019,"""I don't know",
1020,"""",
1021,because of the sun,
1022,I don't know. Hehe,
1023,"During the day, the sun is too strong to see stars.",
1024,be invisible because of the sun,
1025,Well,
1026,This is because the brightness of sunlight is stronger than that of stars.,
1027,This is because the light intensity of the sun is too large.,
1028,It's because the sun is strong,
1029,Because of the bald man's reflection on his hair,
1030,Sun,
1031,The sun is so strong,
1032,The question is wrong. I can see the sun.,
1033,"Because the sun's light is much stronger than the light of other stars, it blocks the sun is also a star",
1034,Hatnim is jealous,
1035,Because the sun is too bright.,
1036,Because the sunlight is too strong.,
1037,This is because the light emitted by the sun is brighter than the light emitted by stars.,
1038,The light from the star body overlaps with the light from the sun and is invisible.,
1039,å¤ªé½ä¹ å,
1040,"Because the sunlight is so strong, the stars are not visible because they are covered by the sunlight.",
1041,"Daytime is the time when the sun is in the sky, so you can't see the stars because of the sun's light.",
1042,"During the day, stars float like the sun and lose like the sun, and the brightness of the sun is relatively much greater than the brightness of the light, so we can only observe the light of the sun. If that happens, constellations cannot be observed during the day.",
1043,The sun's light is so strong that we can't detect it even when the starlight reaches it.,
1044,That's because the sun's light is so powerful that it covers all the stars' light.,
1045,The sun is so bright,
1046,The sun is up,
1047,Because I can't reflect the sunlight,
1048,To the Earth spin around its axis,
1049,Because the sun is stronger than the stars,
1050,Because of the sun's light,
1051,The sun is so bright,
1052,Because of the sunlight,
1053,Because the sun is too bright.,
1054,The sunlight is so strong,
1055,The sun is so bright,
1056,This is because the sun's light is brighter than the stars' light.,
1057,The light emitted by the sun is stronger than the light emitted by the stars,
1058,The sunlight is so bright that the light of other stars is swallowed up by the sun and cannot be seen.,
1059,because of the sun,
1060,The sun is too bright to see the stars,
1061,Because the sun's light is stronger than the star's light,
1062,This is because the sun's light is so strong that the light of stars with relatively little light is invisible.,
1063,"During the day, the sun is so bright that stars with relatively low brightness and other planets and stars do not emit light on their own, but we do not recognize light accurately.",
1064,"Because of the strong sunlight,",
1065,"Because of the atmosphere and the sunlight,",
1066,The sun is so bright,
1067,Sunlight is too strong for starlight to see stars.,
1068,I can't see well because it's not bright enough for the sun,
1069,The sun is stronger,
1070,The sun is so strong,
1071,The sun is brighter than other stars,
1072,Invisible because the sun is near the stars,
1073,The sun is so bright,
1074,The sun's light is strong,
1075,be invisible by the relatively brighter sun,
1076,It's covered by the sun,
1077,Because the sunlight is too bright,
1078,Because the sun's light is relatively bright,
1079,obscured by sunlight,
1080,Because it is invisible because of the light.,
1081,Because the sunlight is so strong that I can't see the stars shining,
1082,covered by the clouds and the sun,
1083,The sunlight is too bright.,
1084,Because the sun is so bright that the stars of light are buried,
1085,"The sun shines on us during the day, so of course, the bright stars are hard to see in the bright sky. Why bother looking at them during the day?",
1086,This is because the sun's rays are stronger than the light produced by stars.,
1087,"The sun's light is strong, so you can't see things that aren't brighter than that light.",
1088,"The sun is so strong and hot that it is reflected in the atmosphere and invisible even though the star is floating because its light is stronger than the star's light.I think the reason why stars are shining is because they are reflected by the light from the sun. However, during the day when the sun is up, there is no weak starlight due to the strong sunlight.",
1089,I can't see because I'm covered by the sun's light.,
1090,"The Earth orbits around the sun, but the stars in space seem to be fixed from Earth because they are far away from Earth. Observing these stars as the Earth orbits creates visible and invisible stars depending on the location of the Earth, because the sun's light is too bright to observe the stars when they are located on the sun's side.",
1091,"This is because the sunlight is relatively too strong. For us, low means that the surface of the Earth where we live is facing the sun. So the night, on the contrary, means that the Earth's surface is facing the opposite of the sun. In the case of night, stars can shine because the sun is not facing the earth's surface, but as I said earlier, the sun's light is stronger during the day, so it can be said that the star's light is hidden.",
1092,"Even during the day, stars are floating in the sky, but the light emitted by the sun is too bright to cover the light of the stars. Therefore, we do not recognize stars even though they are floating. However, at night, the intensity of the sun's light is relatively weak compared to the intensity of the light that the star represents, so it can be recognized that the star is floating in the sky.",
1093,"Stars don't shine on their own, they reflect and shine. During the day, the bright sunlight scatters, and starlight is buried in it is invisible.",
1094,"The earth rotates once a day. At this time, the time when there is a lot of sunlight is called day, and the time when there is no sunlight is called night, and the star is always in a constant position, but when there is a lot of sunlight during the day, it is covered by bright sunlight nearby, so a weakly shining star is not noticeable.",
1095,"Stars emit the same amount of light as day or night, but during the day, stars are invisible because the sun's light is stronger than the star's light, and on the contrary, stars are visible because they are not covered by the sun's light at night.",
1096,The sun's light is so intense that it is relatively weak that the stars are obscured.,
1097,"As the Earth rotates, the surface of the earth we are on during the day faces the sun, so we can see the sun. The reason why stars cannot be seen at this time is that the light of the sun we see is brighter than the light of stars. Of course, the light of other stars can be bright, but the sun looks brighter because it is close to Earth.",
1098,"Since the sun is also floating while the stars are floating, relatively weaker starlight than the sun's light is not visible.",
1099,"Stars are always floating. The actual star rating is called the absolute rating. However, even stars of the same brightness look different depending on the distance, which is called apparent grade. It is said that the smaller the apparent grade, the brighter it is. However, because the sun is much brighter than other stars, these ratings are ignored and stars are not visible only during the daytime when the sun is active.",
1100,"Because it faces the sun during the day, it is covered by strong sunlight and cannot see the light of the star.",
1101,"In order for us to see something, the object must be brighter than the surrounding background. If the light around it becomes brighter than the light emitted by the star, we cannot see the star. During the day, the light from the sun is brighter than the light that the star can make, so we cannot see the star because it is covered by the light. However, it is dark at night after sunset, so we can see the stars easily.  This is the same reason why you can find more stars in the countryside than in cities where lights don't go out at night.",
1102,"We are apt to observe stars in the night sky. However, the reason why it is difficult to observe stars during the day is that even stars with brighter brightness than the sun are difficult to recognize the brightness of stars by the light of the sun, which is relatively close to the distance.",
1103,"During the day, the stars are not visible because of the sunlight. For example, the glow of a glow-in-the-dark sticker is only visible when the light is turned off and not visible when turned on. However, this is because the glow of the light is brighter than the glow of the light, not the glow of the light goes out. Like this, there is light during the day, so the stars are not visible because it is bright.",
1104,The sun rises in the middle of the day. You can't see stars during the day because the brightness of sunlight is much brighter than that of stars.,
1105,"During the day, the sun rises, but the sunlight is so strong that the light of the stars is hidden from the sun.",
1106,h,
1107,What's the point of knowing that?,
1108,Because the sunlight is too strong to see the light of the stars,
1109,Because the stars are covered by the sun,
1110,It is because it is covered by the sun.,
1111,Because the stars are covered by the sun,
1112,Because it's covered by the sun,
1113,Because stars are covered by the sun,
1114,"Because the sun is brighter than the stars,",
1115,Because the earth rotates,
1116,This is because the earth rotates.,
1117,Because the earth rotates,
1118,The sunlight is so strong,
1119,Because the sun and clouds cover the moon.,
1120,It's because it's covered by the sun,
1121,Because the sun is stronger,
1122,Because the sun is stronger,
1123,Because the sunlight is too strong,
1124,The sunlight is too bright during the day,
1125,This is because stars are covered by sunlight.,
1126,"During the day, stars are not visible because the sky is bright.",
1127,The stars are covered by the sunlight,
1128,"During the day, stars are not visible because the sky is bright.",
1129,"Stars reflect sunlight and shine in the night sky, and the reflected light is recognized in our eyes so that we can see the stars. Stars are in the sky all day, but the reason why we can only see stars at night is because the sun is floating together during the day. Sunlight is so bright that we only recognize sunlight and cannot see stars.",
1130,It's bright during the day,
1131,The sun is so bright,
1132,Because it's bright,
1133,The sunlight is so bright that I can't see the stars,
1134,The sunlight is so bright,
1135,It's because it's rays,
1136,Because the sun's light is brighter during the day,
1137,Stars are hard to see because the sun is up.,
1138,The sun is too bright to see,
1139,He's bright,
1140,Because the light is brighter than the stars during the day,
1141,You can't see the stars during the day because of the sunlight,
1142,The sun is so bright,
1143,It's because the sun is so bright,
1144,I don't know.,
1145,The light in the sun is so strong that stars are not seen by the light.,
1146,The sun is up,
1147,It's too bright,
1148,The sun is too bright to see the stars.,
1149,It's because of the sun,
1150,Because the sky is bright because of the sunlight,
1151,The sunlight is so strong,
1152,"Not because the sun is bright, but because the earth's atmosphere is bright.",
1153,Because the sky doesn't look bright by the sun's light.,
1154,"Because the star's light is weak, it must be dark to see it",
1155,Because the sun's light is too light.,
1156,Evaluation Only. Created with Aspose.Cells for Python via Java.Copyright 2003 - 2022 Aspose Pty Ltd.,
