,"12. About 2,000 years ago, there were three countries on the Korean Peninsula: Silla, Baekje, and Goguryeo. For about 700 years, three countries (Silla, Baekse, and Goguryeo) fought many wars to take over the Han River. Eventually, Silla unified the three kingdoms. Let's explain how Silla unified the three kingdoms.",Nadang Alliance,War Victory,Dang-river,Han River Charge,Nadze Alliance
320,"When the Tang Dynasty tried to take over Silla, Baekje and Goguryeo residents joined forces",0,0,0,0,0
321,"We won the Battle of Maesosho's Starfleet!""",0,0,0,0,0
322,Silla allied with Tang and destroyed Goguryeo. The battle was the Battle of Anxi Province,0,0,0,0,0
323,"""Kim Chun-chu moves to Tang and takes his son, Beop-min (later King Munmu), as a hostage to form the Nadang AllianceIn 660, Baekje was destroyed, and Goguryeo was destroyed in 668, and the party later established Woongjin Dojubu, Andong Dojobu, and Gyerim Dojubu in Silla. In other words, he expressed his ambition to actually rule the Korean Peninsula.",1,0,0,0,0
324,"In the process, the ""Nadang War"" broke out, and Silla drove the Tang army from Maecho Castle and the Gui navy from Gibeolpo to achieve the unification of the Three Kingdoms.",0,0,0,0,0
325,"""",0,0,0,0,0
326,Silla and the Tang Dynasty unite to capture Baekje and destroy Goguryeo.,0,0,0,0,0
327,"When the Tang Dynasty tried to take over the Korean Peninsula, Silla fought against the Tang Dynasty and won.""",0,0,0,0,0
328,"Silla and the Tang Dynasty united to destroy Baekje and Goguryeo and the Tang Dynasty tried to take over Silla, and Silla fought and Silla won.",0,0,0,0,0
329,"After establishing an alliance with Silla, Baekje and Goguryeo were destroyed. When the Tang Dynasty tried to take over Silla, he joined forces with Baekje and Goguryeo residents to win the Battle of Gibeolpo in Maesoseong Fortress.",0,0,0,0,0
330,ìëë?ê°?ë¹ëë?ê°?íê³  ìì ì¡ê³ ëìëìí´ìë½ë°ë°íê³¨ì´ãëª¨ëã£ãã¹í¨ãí¼ãããëê¾¸ì?ìì´ì´ì´ììì¼ììììììãí´ì ì´ê²¼ë?ììë² ë² ë² ,0,0,0,0,0
331,"After Silla and the Tang Dynasty formed a Na Party alliance, Baekje and Goguryeo were destroyed.When the Tang Dynasty tried to take over Silla, they joined forces with Baekje and Goguryeo residents to win the Battle of Maesoseong Beulpo.",0,0,0,0,0
332,Silla swept away the three kingdoms by war.,0,0,0,0,0
333,This is because Silla won all the wars.,0,0,0,0,0
334,"After Silla and the Tang Dynasty formed a Nadang alliance, Baekje and Goguryeo were destroyed.When the Tang Dynasty tried to take over Silla, it joined forces with Baekje and Goguryeo residents to win the Battle of Gibeolpo in Maesoseong Fortress.",0,0,0,0,0
335,Silla won the war,0,0,0,0,0
336,"After Silla's occupation of Baekje, the Tang Dynasty, which wanted to take over the Korean Peninsula, and Silla, which wanted to secure the southern line of the Daedong River, collided head-on, and eventually the Nadang War began.",0,0,0,0,0
337,Because Silla won the war?,0,0,0,0,0
338,Goguryeo unified Baekje and Silla like the Tang Dynasty,0,0,0,0,0
339,"Silla and the Tang Dynasty defeated Baekje and Goguryeo and unified the Three Kingdoms, and Silla defeated the Tang Dynasty and unified the Three Kingdoms",0,0,0,0,0
340,"It united with the Tang Dynasty, attacked Baekje and destroyed it, and defeated the party that tried to attack Silla by attacking the war-torn Goguryeo without mercy, and unified the three kingdoms.",0,0,0,0,0
341,"When Baekje fell, Silla fought a war with Goguryeo and unified the three kingdoms",0,0,0,0,0
342,"""Usually, it's called the Unified Silla Period",0,0,0,0,0
343,"First, Silla and the Tang Dynasty invaded Baekje at the same time and peeled the daguri.",0,0,0,0,0
344,"Later, Silla and the Tang attacked Goguryeo, but they blocked it.",0,0,0,0,0
345,"But when the royal power and military power were lowered, and Yeongaesomun, who had stronger power than the king, died,",0,0,0,0,0
346,"There was a power tattoo inside, so I didn't even care about the military.",0,0,0,0,0
347,"Around the time of Goguryeo's internal strife, Silla and the party struck Goguryeo again, and Goguryeo was destroyed.",0,0,0,0,0
348,"As the saying goes, ""Yesterday's friend, today's enemy,"" when the party attacked Silla to swallow the Korean Peninsula, Silla blocked it well and completed the reunification of the three countries. Balhae is built in the middle.""",0,0,0,0,0
349,"After Silla's occupation of Baekje, the Tang Dynasty, which wanted to take over the Korean Peninsula, and Silla, which wanted to secure the southern line of the Daedong River, collided head-on, and eventually the Nadang War began.",0,0,0,0,0
350,Baekje was attacked and Goguryeo was also attacked to achieve reunification,0,0,0,0,0
351,I don't know. I don't have time,0,0,0,0,0
352,"Silla fought a war with Tang to overcome the difficulties of Goguryeo and Baekje, and after the collapse of Goguryeo in 668 and 668 in 660, King Munmu of Silla fought a war with Tang to drive the Tang army out of the Korean Peninsula. Silla unified the three kingdoms in 676.",0,0,0,0,0
353,I don't know.,0,0,0,0,0
354,áá©Noãã-ã-Show--Showáá­áá­,0,0,0,0,0
355,I don't know,0,0,0,0,0
356,I don't understand.,0,0,0,0,0
357,I don't know.,0,0,0,0,0
358,I don't understand.,0,0,0,0,0
359,I don't understand.,0,0,0,0,0
360,I don't know,0,0,0,0,0
361,M and D,0,0,0,0,0
362,I don't understand.,0,0,0,0,0
363,I don't understand.,0,0,0,0,0
364,I don't understand.,0,0,0,0,0
365,I don't know,0,0,0,0,0
366,I don't know.,0,0,0,0,0
367,"The Nadang coalition team played together, but the two of them fought, did Silla win?",0,0,0,0,0
368,"After fighting with Baekje, they defeated Goguryeo to unify the three kingdoms",0,0,0,0,0
369,I don't understand.,0,0,0,0,0
370,I don't understand.,0,0,0,0,0
371,I don't understand.,0,0,0,0,0
372,I don't know.,0,0,0,0,0
373,I don't know,0,0,0,0,0
374,I don't know,0,0,0,0,0
375,Mall,0,0,0,0,0
376,.,0,0,0,0,0
377,"Baekje occupied the Han River with Baekje, took control of the Han River, took control of the Han River, and three sons fought for power, and one of them fled to Tang, cooperated with Tang to take control of Goguryeo, and Silla attacked the Tang Dynasty, and the Tang Dynasty ran away",0,0,0,0,0
378,I don't know,0,0,0,0,0
379,I don't know,0,0,0,0,0
380,"After establishing the Nadang Combined Forces, they ate Baekje, died of Goguryeo Yeongaesomun, and three sons fought among themselves, and they lost Goguryeo to the Nadang Combined Forces",0,0,0,0,0
381,I don't know.,0,0,0,0,0
382,M and D,0,0,0,0,0
383,"At first, Baekje occupied the Han River, so it was a diplomatic activity. Goguryeo was jealous of it and took away the Han River from each other. Baekje was in full swing, followed by Silla's heyday, and Goguryeo was in trouble inside for its sons to take the throne And the Tang Dynasty attacked Silla because it wanted to occupy the Three Kingdoms, and Silla joined forces to prevent the Tang Dynasty rather than losing the country to the Goguryeo and Baekje people, blocking the Tang Dynasty and reunifying the Three Kingdoms",0,0,0,0,0
384,Silla suffered because of the strong resistance of Baekje resistance. a victory thanks to the performance of the cargoes,0,0,0,0,0
385,Silla united with the party to defeat Goguryeo and Baekje to achieve unification.,0,0,0,0,0
386,"The Nadang Alliance was formed to destroy Goguryeo and Baekje, and later won the Nadang War to achieve independent reunification of the three kingdoms.",1,0,0,0,0
387,Eating Baekje and finishing Goguryeo with cooperation with the Tang Dynasty.,0,0,0,0,0
388,Silla allied with Tang and invaded Goguryeo.,0,0,0,0,0
389,"After Baekje and Silla first formed an alliance with the Naje alliance to destroy Goguryeo, and Silla formed an alliance with the party to destroy Baekje, Silla unified the three kingdoms.",0,0,0,0,0
390,Silla formed a naje alliance with the Tang Dynasty to destroy Baekje and Goguryeo.,0,0,0,0,0
391,"Silla, where Baekje and Silla united to form the Naje Alliance against Goguryeo and the Naje Alliance with the Party, killed King Uija by hitting the back of Baekje and achieved unification by Silla driving out the party in the Naje War.",0,0,0,0,0
392,"King Jinheung, the 26th king of Silla, allied with King Seong, the 26th king of Baekje, and took the Han River basin from Goguryeo. And then they hit the back of the king and killed him, and after that, Silla reached its heyday. Over time, he allied with the Tang Dynasty during the 29th King Taejong Muyeol and fought an invasion war in earnest, and over time, he reached the 30th King Munmu, taking away Goguryeo's Pyongyang Castle in 668, killing Gyebaek in the Battle of Hwangsanbeol in 660. As a result, Goguryeo and Baekje were destroyed and were about to be unified, but the Tang Dynasty took the initiative again to wage war. As a result, Silla, which won the Battle of Meso Castle in 675 and the Battle of Gibeolpo in 676, defeated the Tang Dynasty and eventually achieved the unification of the Three Kingdoms!",0,0,0,0,0
393,"Silla and Tang allied forces fought and destroyed Baekje and Goguryeo. After that, the Tang army was driven out and the three kingdoms were unified.",0,0,0,0,0
394,"Silla formed a coalition with the Tang Dynasty to attack Baekje and destroy it, and later to destroy Goguryeo. However, when the Tang Dynasty later revealed its ambition to have the Korean Peninsula, it fought a war with the Tang Dynasty and drove it out.",0,0,0,0,0
395,"Silla first occupied the Han River basin, which was dominated by Goguryeo. After that, he attacked Baekje, which was greatly reduced in power, and destroyed Baekje, and after that, after joining forces with the Tang Dynasty to destroy Goguryeo, which was excessively powerful, he invaded Goguryeo to achieve the unification of the Three Kingdoms.I don't know much about history.",0,0,0,0,0
396,"Silla, allied with the Tang Dynasty, first attacked and absorbed Baekje, which had been weakened by the lazy politics of King Uija, and then destroyed Goguryeo, which was in bad condition at the time. The Tang Dynasty, which had a coalition, fought a war against each other to decide who would eat Goguryeo, where Silla won and eventually achieved the unification of the three kingdoms.",0,0,0,0,0
397,"Silla formed the Tang Dynasty and the Nadang Alliance and overthrew Baekje and Goguryeo. Later, the Tang Dynasty attacked Silla for the Korean Peninsula and the Nadang War broke out, but Silla eventually won the war, ousting Tang and unifying the three kingdoms.",1,0,0,0,0
398,#NAME?,0,0,0,0,0
399,Kim Chun-chu asked Tang for help,0,0,0,0,0
400,Kim Chun-chu asked Tang for help,0,0,0,0,0
401,I don't know...,0,0,0,0,0
402,It is because I asked the Tang Dynasty for help,0,0,0,0,0
403,Silla took advantage of Goguryeo and Baekje and became like this,0,0,0,0,0
404,in a fight,0,0,0,0,0
405,at war,0,0,0,0,0
406,I don't know,0,0,0,0,0
407,Silla unified Goguryeo and Baekje with help from China and eventually used geography to drive China,0,0,0,0,0
408,I don't know,0,0,0,0,0
409,The Fall of Goguryeo - The Fall of Baekje - The Battle of Nadang - The Unification of Silla,0,0,0,0,0
410,"Silla first attacked Baekje and Goguryeo to unify the three kingdoms, but failed, and with the help of the Tang Dynasty, it collapsed Baekje and Goguryeo. And they completely defeated the Tang Dynasty, which was trying to dominate our land, and achieved true unification of the three kingdoms.",0,0,0,0,0
411,"Reproduction, validation, killing, and combining",0,0,0,0,0
412,"In cooperation with the Tang Dynasty, Baekje and Goguryeo were destroyed.",0,0,0,0,0
413,(Laughing),0,0,0,0,0
414,Silla defeated Baekje Goguryeo,0,0,0,0,0
415,Silla is the strongest of the three kingdoms,0,0,0,0,0
416,"Silla formed the alliance of the Nadang, and Baekje formed the alliance But the Tang Dynasty was so strong that Silla unified",0,0,0,0,0
417,I don't know,0,0,0,0,0
418,Well,0,0,0,0,0
419,Hmm... I don't know,0,0,0,0,0
420,We fought a lot of wars,0,0,0,0,0
421,I don't know,0,0,0,0,0
422,"""Shall we unite, kids?""",0,0,0,0,0
423,Good!,0,0,0,0,0
424,"-Unification of the Three Kingdoms -""",0,0,0,0,0
425,It's annoying,0,0,0,0,0
426,"Silla persuaded the party to form an alliance with the party, hit Baekje first, hit Goguryeo first, and ousted the Tang Dynasty.",0,0,0,0,0
427,"Silla united with the Tang Dynasty topple Goguryeo and Baekje and unify the three kingdoms, but it took almost all of Goguryeo's land from the Tang Dynasty and fought with the Tang Dynasty.",0,0,0,0,0
428,"Silla and the Tang Dynasty united to defeat Baekje and Goguryeo, and when the Tang Dynasty tried to dominate Silla, the Tang Dynasty was driven out and unified.",0,0,0,0,0
429,While fighting,0,0,0,0,0
430,They joined forces with the Tang Dynasty to destroy Silla first and then Goguryeo to unify the three kingdoms,0,0,0,0,0
431,After forming an alliance with the Tang Dynasty and destroying Baekje. Koguryo was overthrown and Tang was driven out.,0,0,0,0,0
432,the act of hitting and entering,0,0,0,0,0
433,It's Baekje,0,0,0,0,0
434,"Silla Baekje unified the three kingdoms, but many wars broke out to unify the three kingdoms",0,0,0,0,0
435,My head is white inside...,0,0,0,0,0
436,Unification of the Three Kingdoms,0,0,0,0,0
437,"In the 4th century, Baekje in the 5th century, Goguryeo in the 6th century was Silla",0,0,0,0,0
438,a whole bunch,0,0,0,0,0
439,They unified the three kingdoms and fought against the Tang Dynasty.,0,0,0,0,0
440,To attack,0,0,0,0,0
441,"He joined hands with the Tang Dynasty to attack Baekje and Goguryeo, and chased the Tang Dynasty",0,0,0,0,0
442,Silla exchanged with many countries and won the war by receiving new material,0,0,0,0,0
443,Expanding generations from place to place,0,0,0,0,0
444,"He allied with the Tang Dynasty, struck down Goguryeo, struck down Baekje, and gave the Tang Dynasty about half of the land he occupied.",0,0,0,0,0
445,"4c 5c 6c took turns, but at the end, Silla won",0,0,0,0,0
446,"""The king of Silla was Kim Chun-chun.",0,0,0,0,0
447,The Great Wild Castle was taken away by Baekje.,0,0,0,0,0
448,Kim Chun-chu asked Goguryeo to play Baekje with him,0,0,0,0,0
449,Goguryeo power Yeon Gaesomun hates it,0,0,0,0,0
450,"Accordingly, Kim Chun-chu moved to the Tang Dynasty and asked to play Baekje together, and was accepted.",0,0,0,0,0
451,"It's not an easy question, but there was a problem inside",0,0,0,0,0
452,"I can't because I'm coming in with Tang (130,000 Tang)",0,0,0,0,0
453,,0,0,0,0,0
454,,0,0,0,0,0
455,,0,0,0,0,0
456,,0,0,0,0,0
457,,0,0,0,0,0
458,,0,0,0,0,0
459,,0,0,0,0,0
460,,0,0,0,0,0
461,,0,0,0,0,0
462,,0,0,0,0,0
463,,0,0,0,0,0
464,,0,0,0,0,0
465,,0,0,0,0,0
466,,0,0,0,0,0
467,,0,0,0,0,0
468,,0,0,0,0,0
469,,0,0,0,0,0
470,,0,0,0,0,0
471,,0,0,0,0,0
472,"""",0,0,0,0,0
473,"4th, 5th, and 6th centuries variable, but the last Silla monk",0,0,0,0,0
474,"Combined with the Tang Dynasty, they defeated Baekje and Goguryeo",0,0,0,0,0
475,Koguryo and Baekje were destroyed in alliance with the Kang Dynasty,0,0,0,0,0
476,"In alliance with the Tang Dynasty, Goguryeo was overthrown and unified",0,0,0,0,0
477,allied with the Tang Dynasty to destroy Goguryeo and Baekje.,0,0,0,0,0
478,It allied with the Tang Dynasty and unified Goguryeo and Baekje by destroying them.,0,0,0,0,0
479,They allied with the Tang Dynasty and destroyed Goguryeo and Baekje.,0,0,0,0,0
480,Let's not touch the history that our ancestors made,0,0,0,0,0
481,Calling the Tang Dynasty,0,0,0,0,0
482,.,0,0,0,0,0
483,"The Nadang Allied Forces were formed to attack Baekje and occupy the Hangang River basin. After Baekje fell, it attacked Goguryeo and destroyed it.",0,0,0,0,0
484,"In alliance with the Tang Dynasty, Baekje and Goguryeo were destroyed one after another, and the Tang Dynasty and Silla fought a war, and Silla won and unified the three kingdoms",0,0,0,0,0
485,Long live the Tang Dynasty,0,0,0,0,0
486,I don't know.,0,0,0,0,0
487,I don't know,0,0,0,0,0
488,"""I don't know",0,0,0,0,0
489,"""",0,0,0,0,0
490,I'm a traitor,0,0,0,0,0
491,I don't know,0,0,0,0,0
492,Helped by other countries,0,0,0,0,0
493,I don't know.,0,0,0,0,0
494,"I ate Baekje, and I ate Goguryeo.After the destruction of Baekje, Goguryeo was destroyed, and Silla unified the three kingdoms.",0,0,0,0,0
495,I don't know.,0,0,0,0,0
496,"He defeated Baekje next to him, went up to Goguryeo, and brought Goguryeo into his own territory.",0,0,0,0,0
497,Silla united with Tang and destroyed Baekje and Goguryeo,0,0,0,0,0
498,Silla unified the three kingdoms by eating Baekje and Goguryeo.,0,0,0,0,0
499,I don't know.,0,0,0,0,0
500,"As Silla reached its peak in the 6th century, it defeated Baekje in Hwangsanbeol topple Baekje, and Goguryeo joined hands with the Tang Dynasty topple Goguryeo with the Nadang Allied Forces and oust the Tang Dynasty, which fought together.",0,0,0,0,0
501,"Silla allied with the Party and Baekje with Goguryeo. Silla and Tang struck Baekje first, followed by Goguryeo.",0,0,0,0,0
502,We shared our opinions.,0,0,0,0,0
503,"Goguryeo was destroyed by Tang Dynasty, Silla and Tang were merged to destroy Baekje",0,0,0,0,0
504,Tang and Silla united to destroy Baekje and then Goguryeo,0,0,0,0,0
505,"First, Silla defeated Baekje troops in the Battle of Hwangsanbeol, and united with the Tang Dynasty to destroy Goguryeo, which succeeded in unifying the three countries.",0,0,0,0,0
506,"Silla, which was threatened by other countries, said that if the three kingdoms were unified with the help of the Tang Dynasty, it would give some land to Daanra, and destroyed Baekje first and Goguryeo, which was in turmoil, to achieve the unification of the three kingdoms.",0,0,0,0,0
507,"Silla, which overthrew Baekje and allied with the Tang Dynasty, overthrew Goguryeo and unified the three kingdoms",0,0,0,0,0
508,"Through the Nadang Alliance, they fought the Battle of Hwangsanbeol and other wars to unify the three countries.",1,0,0,0,0
509,I don't know.,0,0,0,0,0
510,I don't know.,0,0,0,0,0
511,I don't know,0,0,0,0,0
512,Hwarangdo was created and unified,0,0,0,0,0
513,.,0,0,0,0,0
514,occupied with the help of Balhae,0,0,0,0,0
515,Silla and the Tang Dynasty united to destroy Baekje and Goguryeo and Silla unified the three kingdoms.,0,0,0,0,0
516,B.The last time the alliance destroyed Baekje.The two parties fought and Silla unified the three kingdoms.,0,0,0,0,0
517,"With the help of Balhae,",0,0,0,0,0
518,"He asked the Tang for help, conquered Baekje, and conquered Goguryeo. Therefore, the three countries were unified.",0,0,0,0,0
519,Unification of King Munmu and Kim Yu-shin,0,0,0,0,0
520,"After asking for help from the party, he conquered Baekje and then Goguryeo. Therefore, the three countries were unified.",0,0,0,0,0
521,Silla Kim Chun-chu joined hands with the Tang Dynasty to unify the three kingdoms,0,0,0,0,0
522,"When Goguryeo and Baekje invaded Silla, Silla formed a Nadang alliance with the Tang Dynasty and defeated Baekje and Goguryeo to unify the three kingdoms.",0,0,0,0,0
523,Silla Kim Chun-chu joined hands with the Tang Dynasty to unify the three kingdoms.,0,0,0,0,0
524,"Taking advantage of the internal rebellion of Goguryeo, Silla and the Tang Dynasty joined forces to destroy Goguryeo, and Silla won the Battle of Hwangsanbeol because the king of Baekje only played",0,0,0,0,0
525,?,0,0,0,0,0
526,Silla united the three kingdoms in union with Tang.,0,0,0,0,0
527,Silla and the Party united to defeat Baekje and Goguryeo and unify them.,0,0,0,0,0
528,"Attack of Silla and Tang > Battle of Hwangsanbeol > Fall of Sabiseong (Baekje), Fall of Goguryeo Power > Death of Yeongaesomun, Internal Fight Occurred > Attack of Silla and Party Allied Forces Again > Fall of Pyongyang Castle [Unification of Three Kingdoms]",0,0,0,0,0
529,"Silla, Party Attacks and Unification of the Three Kingdoms",0,0,0,0,0
530,Silla and the Party united to unify the three kingdoms,0,0,0,0,0
531,Kim Yushin and China reunified,0,0,0,0,0
532,Silla united with the Party and unified the Three Kingdoms.,0,0,0,0,0
533,Silla united with the Tang Dynasty to destroy Baekje and Goguryeo to unify.,0,0,0,0,0
534,M and D,0,0,0,0,0
535,None.,0,0,0,0,0
536,Silla killed them all,0,0,0,0,0
537,I don't know.,0,0,0,0,0
538,winning a war,0,0,0,0,0
539,Silla fought the unification of the three kingdoms at war,0,0,0,0,0
540,fought a war,0,0,0,0,0
541,I did it through war,0,0,0,0,0
542,I don't know.,0,0,0,0,0
543,The Han River basin was taken from Baekje and merged with the Tang Dynasty to destroy Baekje and Goguryeo in order.,0,0,0,0,0
544,Silla fought and won,0,0,0,0,0
545,Silla won and unified the three kingdoms,0,0,0,0,0
546,"""",0,0,0,0,0
547,"Silla cooperated with the Tang Dynasty to open the back of Goguryeo, which was exhausted from many wars.",0,0,0,0,0
548,Silla attacked,0,0,0,0,0
549,I'm not sure,0,0,0,0,0
550,I don't know much about history,0,0,0,0,0
551,I don't know.,0,0,0,0,0
552,.,0,0,0,0,0
553,"Goguryeo was destroyed, Baekje was destroyed, and the Tang Dynasty was expelled.",0,0,0,0,0
554,"Along with the Silla River Dangna, Goguryeo was destroyed and the Tang Dynasty was driven out to unify the three kingdoms.",0,0,0,0,0
555,I don't know.,0,0,0,0,0
556,"After joining hands with the Tang Dynasty and destroying Baekje and Goguryeo in order, they defeated the Tang Dynasty to achieve unification.",0,0,0,0,0
557,"Silla was fiercely attacked by Baekje and asked Goguryeo for help, but was rejected. So Silla united with the Party and destroyed Baekje in 660 and Goguryeo in 668. However, when the party tried to take over the Korean Peninsula, Goguryeo, Silla, and Baekje people gathered together to win the Battle of Meso Castle and Gibeolpo, ousting the party from the Korean Peninsula and unifying the three kingdoms.",0,0,0,0,0
558,"In cooperation with the Tang Dynasty, the Nadang Allied Forces were formed to destroy Baekje in 660 and Goguryeo in 668. After that, through the Nadang War, King Munmu completed the unification of the Three Kingdoms in 676.",0,0,0,0,0
559,I killed them all and ate the land.,0,0,0,0,0
560,"Nadang united, destroyed Baekje, destroyed Goguryeo, and won the Nadang War.",0,0,0,0,0
561,I don't know,0,0,0,0,0
562,China helped reunify the country,0,0,0,0,0
563,"Since Silla made Shilla Ramen, all countries have enjoyed eating Shilla Ramen, and naturally, they have surrendered and unified it.",0,0,0,0,0
564,"He held hands with the Tang Dynasty, held Baekje, and captured Goguryeo.",0,0,0,0,0
565,Because there were several wars and Silla finally won the war,0,0,0,0,0
566,"Silla won the Maesoseong and Gibeolpo fight against the party's ambition to dominate the Korean Peninsula, ousting the party forces and achieving the unification of the three kingdoms.",0,0,0,0,0
567,Silla united with the Tang Dynasty and formed the Nathang Alliance to unify the three kingdoms,0,0,0,0,0
568,He killed Baekje and ruled Goguryeo by the Nadang Alliance,1,0,0,0,0
569,I don't understand.,0,0,0,0,0
570,Silla captured Baekje and Goguryeo,0,0,0,0,0
571,Silla used the power of other countries to destroy Baekje and Goguryeo and unify the three kingdoms,0,0,0,0,0
572,"He captured Baekje, captured Goguryeo by the Nadang alliance, and fought with the Tang Dynasty to win the ddaengi",0,0,0,0,0
573,I won everything,0,0,0,0,0
574,at war,0,0,0,0,0
575,Attacking Goguryeo with Jjanggae,0,0,0,0,0
576,"After forming an alliance with the Qing Dynasty and hitting Baekje, Goguryeo with Baekje soldiers, Silla soldiers, and the Qing Dynasty, Silla unified the three kingdoms.",0,0,0,0,0
577,Kim Hye-sook,0,0,0,0,0
578,Rnnnnnnnnnnnnnnnnm,0,0,0,0,0
579,The alliance with the Tang Dynasty was completely destroyed,0,0,0,0,0
580,.,0,0,0,0,0
581,M and D,0,0,0,0,0
582,by h,0,0,0,0,0
583,with the help of the king,0,0,0,0,0
584,I don't like Korean history,0,0,0,0,0
585,I don't know. I definitely studied...,0,0,0,0,0
586,1,0,0,0,0,0
587,"Silla first joined hands with the Tang Dynasty, unified Baekje, and then conquered Goguryeo.",0,0,0,0,0
588,1,0,0,0,0,0
589,"""First of all, Baekje was destroyed and Goguryeo was destroyed by the combined forces of the Han and Nadang",0,0,0,0,0
590,"And as Silla ousted the Tang army from the Korean Peninsula, Silla achieved the unification of the Three Kingdoms",0,0,0,0,0
591,"King Taejong Muyeol formed a coalition of Nadang through diplomacy with the Tang Dynasty, and the collapse of Baekje in 660 and Goguryeo in 668, but the Tang fought proudly against its ambition to dominate the entire Korean Peninsula, defeating Silla from the Battle of Maesoseong and Gibeolpo on land and reunifying the Three Kingdoms in 676. (Half unified, but with the establishment of Balhae in 698, the start of the Civil War)",0,0,0,0,0
592,I don't know,0,0,0,0,0
593,"Baekje and Goguryeo were destroyed, and Silla drove out the Tang army on the Korean PeninsulaThe fall of Baekje, the fall of Goguryeo, and Silla's overthrow of the Tang army from the Korean Peninsula",0,0,0,0,0
594,I don't know.,0,0,0,0,0
595,He became a king and beat the country,0,0,0,0,0
596,I don't know,0,0,0,0,0
597,Silla joined hands with the party to sweep Goguryeo and Baekje in order and oust the party to unify only the southern part of the Korean Peninsula.,0,0,0,0,0
598,I don't know.,0,0,0,0,0
599,Silla drove out the party after the combined forces of Silla and the party attacked Goguryeo and Baekje and destroyed them.,0,0,0,0,0
600,I won the war with the help of the neighboring country.,0,0,0,0,0
601,I don't remember,0,0,0,0,0
602,"After Silla formed the Nadang coalition through diplomacy with the party, Goguryeo collapsed in 668 after the collapse of Baekje in 660 but confronted the party with its ambition to dominate the Korean Peninsula.Thus, after a great victory with the Party in the Battle of Maesoseong and the Battle of Gibeolpo, the three countries were unified.",0,0,0,0,0
603,I don't know,0,0,0,0,0
604,"After defeating Baekje and Goguryeo, Silla unified the Three Kingdoms and became a unified Silla",0,0,0,0,0
605,I don't know.,0,0,0,0,0
606,History is not my specialty.,0,0,0,0,0
607,I forgot.,0,0,0,0,0
608,defeated Baekje and Goguryeo,0,0,0,0,0
609,I don't know.,0,0,0,0,0
610,We ate the Han River and went to war,0,0,0,0,0
611,Forgot.,0,0,0,0,0
612,I don't know.,0,0,0,0,0
613,I don't know,0,0,0,0,0
614,......,0,0,0,0,0
615,We're unified,0,0,0,0,0
616,They united with the Tang Dynasty to conquer Baekje and immediately attacked and conquered Goguryeo when Yeon Gaesomun died,0,0,0,0,0
617,"First, Baekje was eliminated from China and then Goguryeo was eliminated",0,0,0,0,0
618,I won all the battles,0,0,0,0,0
619,I don't know,0,0,0,0,0
620,I don't know.,0,0,0,0,0
621,"Silla Kim Chun-chu went to Tang Taejong, ate a team, attacked Baekje with embossing, and Goguryeo fought and surrendered.",0,0,0,0,0
622,I don't know.,0,0,0,0,0
623,This is because Silla won both the wars between Baekje and Goguryeo.,0,0,0,0,0
624,General Kim Yu-shin Wins the War,0,0,0,0,0
625,I'm turning it off,0,0,0,0,0
626,Kim Yu-shin Kills Queen Seondeok,0,0,0,0,0
627,"Baekje, Goguryeo, and unified the whole country",0,0,0,0,0
628,"Grandpa Dangun took over and made up the world with God, but he didn't like it",0,0,0,0,0
629,I don't know much about history;;,0,0,0,0,0
630,I don't know,0,0,0,0,0
631,I don't understand.,0,0,0,0,0
632,Silla killed them all,0,0,0,0,0
633,"Combined with the Tang Dynasty, Goguryeo and Baekje were destroyed",0,0,0,0,0
634,fight one way or another,0,0,0,0,0
635,old;not good,0,0,0,0,0
636,I want to eat brown rice,0,0,0,0,0
637,Groovyroom everyweoã¹ã áá¦,0,0,0,0,0
638,"General Kim Yu-shin's performance combined with Kim Chun-chu's diplomatic power, and King Munmu's achievements were completed",0,0,0,0,0
639,Silla struck Goguryeo and Baekje with the help of China to unify the three countries,0,0,0,0,0
640,"""",0,0,0,0,0
641,I really don't know,0,0,0,0,0
642,"Baekje was defeated by Goguryeo, Silla and Tang formed a coalition to destroy Goguryeo, and later Silla and Tang were separated from each other, and Silla won the battle to unify the three kingdoms",0,0,0,0,0
643,Silla fought a war with Baekje and Goguryeo and won and unified Korea,0,0,0,0,0
644,have no interest in history,0,0,0,0,0
645,"Silla and the Tang Dynasty unite to swallow Baekje and Goguryeo first.After that, when the Tang Dynasty asked to share some land, he fought another war with the Tang Dynasty to win.",0,0,0,0,0
646,""" After Silla destroyed Goguryeo and Baekje, it drove out the party and established a country. The territory of Goguryeo was not unified. Later Balhae was founded.""",0,0,0,0,0
647,The kings of each country met and cooperated,0,0,0,0,0
648,"Silla destroyed Baekje, Goguryeo destroyed, and Silla unified the three kingdoms after the Nadang War",0,0,0,0,0
649,He joined hands with Tang and attacked Goguryeo,0,0,0,0,0
650,"Nadang Union, Baekje's demise, Goguryeo's demise, Nadang War, and the unification of the three kingdoms",0,0,0,0,0
651,"To unite with Silla Party, to capture Baekje Sabiseong Fortress, to capture ancient Pyongyang Fortress, and to win the battle against the gates to unify",0,0,0,0,0
652,"Silla fought Goguryeo and Baekje through the Nadang Alliance, and finally defended the country and unified the three kingdoms under the Party's control of the Korean Peninsula",1,0,0,0,0
653,Koguryo was destroyed and Balhae was destroyed,0,0,0,0,0
654,"Silla united with the Party, captured the Sabiseong Fortress of Baekje, captured the Pyongyang Fortress of Goguryeo, and defeated the Party and unified it",0,0,0,0,0
