,"16. The particles that make up the material do not stay still and move constantly on their own. This is called particle motion, and what are some of the natural phenomena caused by particle motion? Let's explain it in detail using our knowledge of particle motion. ",diffusion,atmosphere,heat conduction,state change
525,"The atoms or molecules that make up a solid are attracting each other with strong attractions, and because atoms or molecules are regularly arranged, they cannot move freely, so they are only vibrating in place. Continuous lowering of the temperature is expected to stop the vibration of these solid molecules, which is about -273Â°C, and this temperature is called absolute zero (0 K). On the contrary, if the temperature of the solid is increased, the vibration of molecules or atoms is accelerated and the regular molecular arrangement of the solid collapses and turns into a liquid when it reaches the melting point.",0,0,0,0
526,,0,0,0,0
527,"As a way of describing the motion of solid molecules, the set of atoms or molecules that make up a solid can be likened to a set of heavy particles connected by very light springs with little mass, and intermolecular bonds can be thought of as each spring binds adjacent particles. When an external force is applied, the entire set of particles is compressed, expanded, or distorted, just like the properties of solids we know.",0,0,0,0
528,,0,0,0,0
529,"In the case of heating a solid, a large vibration of a heated molecule can explain the conduction of heat because neighboring molecules vibrate together under the vibration, and if a solid particle is too large to break the spring, its regular arrangement collapses and melts into a liquid.""",0,0,0,0
530,Mushrooms,0,0,0,0
531,.,0,0,0,0
532,People let them move,0,0,0,0
533,.,0,0,0,0
534,Don't know,0,0,0,0
535,I think it makes my body sweat.,0,0,0,0
536,I've never heard of it before,0,0,0,0
537,I don't understand.,0,0,0,0
538,I don't know.,0,0,0,0
539,"The movement of the particles becomes more active when the temperature is higher, so the volume increases.",0,0,0,0
540,I don't know.,0,0,0,0
541,"For example, balloons are inflated because particles are moving in them.",0,0,0,0
542,Melt: Melt iron over fire. Sublimation: Sex occurs in winter.,0,0,0,0
543,"Just as tiny particles of air move and create wind, liquid or dough changes shape when touched. Therefore, I think wind, tsunami, and earthquake are the same principles.",0,0,0,0
544,Don't know,0,0,0,0
545,Don't know,0,0,0,0
546,?,0,0,0,0
547,You're losing weight. You're getting healthier,0,0,0,0
548,The particles must be working out hard,0,0,0,0
549,I have no idea.,0,0,0,0
550,The active movement of particles is what keeps our bodies moving and healthy,0,0,0,0
551,Don't know,0,0,0,0
552,I don't know.,0,0,0,0
553,Unknowingness,0,0,0,0
554,The wind is blowing.,0,0,0,0
555,Unknowingness,0,0,0,0
556,Unknowingness,0,0,0,0
557,I don't know.,0,0,0,0
558,Don't know,0,0,0,0
559,to be able to blow a balloon(?),0,0,0,0
560,It is said that 100 million particles move when a worm moves a meter,0,0,0,0
561,I don't know.,0,0,0,0
562,"If you change the water into another cup, the amount is the same, but the shape is different",0,0,0,0
563,I don't know I only know that it' water,0,0,0,0
564,The particles move to maintain balance with all life.,0,0,0,0
565,I don't know.,0,0,0,0
566,I don't know,0,0,0,0
567,I don't know.,0,0,0,0
568,I don't know,0,0,0,0
569,I don't understand.,0,0,0,0
570,Temperature change,0,0,0,0
571,I don't know,0,0,0,0
572,It transmits heat or electricity.,0,0,0,0
573,Diffusion occurs when the scent spreads.,0,0,0,0
574,"As the particles move, the temperature of the particles increases. As the temperature of the particles rises, various changes occur, such as changes in the state of the material.",0,0,0,0
575,The time of the flies,0,0,0,0
576,Diffusion occurs.,0,0,0,0
577,"""",0,0,0,0
578,"Evaporation, diffusion""",1,0,0,0
579,There are evaporation and diffusion lights.,1,0,0,0
580,I don't know...................................................,0,0,0,0
581,a plant grows fast,0,0,0,0
582,"Examples of particle motion are evaporation and diffusion, and as the particle moves, it changes into a gas and spreads into the air.",1,0,0,0
583,The balloon swells.,0,0,0,0
584,"There is evaporation and diffusion, evaporation rises by heat, and diffusion is driven by air",1,0,0,0
585,"""It turns into a gas as you exercise, and the gas evaporates and spreads into the air",0,0,0,0
586,,0,0,0,0
587,"""",0,0,0,0
588,"We don't really feel it because we move particles in every material, but we will always move according to the movement of particles",0,0,0,0
589,"There are phenomena in which particles become gases as they move and evaporate, and then diffuse into the air.",0,0,0,0
590,Because particles do many things,0,0,0,0
591,"Well, this, too------ã¡ã¡ã¡ã¡ã¡ã¡",0,0,0,0
592,"As the particles move, they become gases and diffuse from gases to air.",0,0,0,0
593,"Diffusion and evaporation are the biggest examplesThe wind blows, the dust flies, and the ball window breeds germs.",0,0,0,0
594,There's evaporation and diffusion.,1,0,0,0
595,There is evaporation and diffusion.,1,0,0,0
596,"Particle motion is common in the phenomenon of heat energy transfer around us. The movement of natural particles can be found in the ""conducting"" phenomenon in which the vibrations of particles of an object with more heat energy are transferred between attached solids to transfer heat energy, and the ""convection"" phenomenon in which relatively free particles move directly from fluids.",0,0,0,0
597,I don't know.,0,0,0,0
598,f,0,0,0,0
599,"Evaporation and diffusion exist. As the particles move, they become gases, evaporate, and diffuse into the air.",1,0,0,0
600,Substances are produced as particles bond to each other to achieve a stable state. Electrons move and current is generated.,0,0,0,0
601,Lightning strikes.,0,0,0,0
602,Unknowingness,0,0,0,0
603,the wind blowing,0,0,0,0
604,I don't know...,0,0,0,0
605,I don't know,0,0,0,0
606,Balloons?,0,0,0,0
607,Marathon,0,0,0,0
608,"""I don't know",0,0,0,0
609,"""",0,0,0,0
610,I have no idea.,0,0,0,0
611,"The fusion of the sun, particles moving and fusing with other particles, creates energy.",0,0,0,0
612,Unknowingness,0,0,0,0
613,Do.,0,0,0,0
614,The particles of water move and the water flows,0,0,0,0
615,It's a small particles move,0,0,0,0
616,Plants grow.,0,0,0,0
617,I don't know.,0,0,0,0
618,I don't understand.,0,0,0,0
619,Unknowingness,0,0,0,0
620,I have no idea.,0,0,0,0
621,I don't know.,0,0,0,0
622,Unknowingness,0,0,0,0
623,Unknowingness,0,0,0,0
624,Unknowingness,0,0,0,0
625,the movement of pollen through the wind,0,0,0,0
626,I really don't know.,0,0,0,0
627,Tornado,0,0,0,0
628,evaporation of water,0,0,0,0
629,Entropy always increases.,0,0,0,0
630,There is a diffusion phenomenon where the smell spreads.,1,0,0,0
631,I think it's going to be lightning,0,0,0,0
632,static electricity,0,0,0,0
633,a hurricane,0,0,0,0
634,the flow of liquid,0,0,0,0
635,I don't know. Sorry,0,0,0,0
636,the spread of smell,0,0,0,0
637,a hurricane,0,0,0,0
638,Fire,0,0,0,0
639,the flow of liquid,0,0,0,0
640,a wave of water,0,0,0,0
641,"""Water boils at 100 degrees. As the temperature increases, the movement of the particles in the water becomes active, and the number of collisions increases, which releases a large amount of heat.",0,0,0,0
642,"When it reaches 100 degrees, water vaporizes into water vapor by boiling.""",0,0,0,0
643,Fire,0,0,0,0
644,I think it's an earthquake,0,0,0,0
645,"Earthquake, bungeo-ppe",0,0,0,0
646,I don't know.,0,0,0,0
647,"""Temperature means how actively a particle moves, and in science it is usually called thermal energy.",0,0,0,0
648,,0,0,0,0
649,"Of course, the higher the temperature, the faster the particle vibrates.",0,0,0,0
650,"When the temperature rises, solids or liquids do not increase their volume significantly because they are relatively attached to each other (as compared to gases), but in gases, the volume increases as the particles vibrate actively, which is called Charles' Law.""",0,0,0,0
651,when the water freezes,0,0,0,0
652,"When the water freezes and the particles move,",0,0,0,0
653,when the water freezes,0,0,0,0
654,"As the water freezes, the particles change more and more regularly",0,0,0,0
655,the freezing of liquid water and turning it into a solid,0,0,0,0
656,"Just as the air in the world circulates, I think the movement of particles acts on various objects and nature.",0,0,0,0
657,A liquid turns into a solid,0,0,0,0
658,"The water particles move on their own, and the water in the fish tank evaporates, and the perfume particles move on their own and the smell spreads.",0,0,0,0
659,"The water particles move on their own, and the water in the fish tank evaporates, and the perfume particles move on their own and the smell spreads.",0,0,0,0
660,"The water particles move on their own, the water in the fish tank evaporates, and the perfume particles move on their own, and the smell spreads.",0,0,0,0
661,Water evaporates when hot water is poured.,0,0,0,0
662,The smell spreads but smells,0,0,0,0
663,"When water is boiled in a pot, it evaporates into gas and flies away",0,0,0,0
664,Water evaporates,0,0,0,0
665,"If you spray perfume, the particles move on their own",0,0,0,0
666,"When the water is poured, the water particles evaporate and the water decreases gradually.",0,0,0,0
667,"When the water is poured, the water particles evaporate and the water decreases gradually. When you spray perfume, the particles exercise and the smell spreads.",0,0,0,0
668,"There is evaporation, and an example of evaporation is that the wet laundry dries.",0,0,0,0
669,"Because the particles of water move by themselves, the water in the fish tank evaporates, and the particles come out by themselves",0,0,0,0
670,"The wind blows, and the smell of perfume spreads.",0,0,0,0
671,"Because the water particles moved by themselves, the water in the fish tank evaporated, and the perfume particles moved by themselves",0,0,0,0
672,"Because the water particles moved by themselves, the water in the fish tank evaporated, and the perfume particles moved by themselves,",0,0,0,0
673,"The water particles move by themselves, the water in the fish tank evaporates, and the perfume particles move by themselves, spreading the smell",0,0,0,0
674,I don't know.,0,0,0,0
675,Unknowingness,0,0,0,0
676,Mr,0,0,0,0
677,I don't understand.,0,0,0,0
678,Mr,0,0,0,0
679,"""",0,0,0,0
680,I don't understand.,0,0,0,0
681,"""",0,0,0,0
682,(Playing the guitar sound,0,0,0,0
683,Mr,0,0,0,0
684,I don't understand.,0,0,0,0
685,Mall,0,0,0,0
686,I don't know,0,0,0,0
687,I don't understand.,0,0,0,0
688,I don't understand.,0,0,0,0
689,Mr,0,0,0,0
690,I don't understand.,0,0,0,0
691,I don't know.,0,0,0,0
692,I don't know. What else is there?I don't know.,0,0,0,0
693,Mr,0,0,0,0
694,Unknowingness,0,0,0,0
695,I don't understand.,0,0,0,0
696,"The water particles move by themselves, so the water in the fish tank evaporates, and the perfume particles move by themselves, so the smell spreads",0,0,0,0
697,Hot air balloon float by hot air balloon heat movement,0,0,0,0
698,"The movement of the particles creates an aurora, which suddenly releases a huge amount of energy as the magnetic field recombines between the sun and the earth, which reacts with Earth's air molecules",0,0,0,0
699,"Particles in the water move themselves, evaporating water in the water or tank in the fish tank, reducing the amount of water.",0,0,0,0
700,"The water particles move by themselves, the water in the fish tank evaporates, and the perfume particles move by themselves, so the smell spreads",0,0,0,0
701,.,0,0,0,0
702,Mr,0,0,0,0
703,I don't know.,0,0,0,0
704,Particles move,0,0,0,0
705,diffusion and evaporation,1,0,0,0
706,I don't know,0,0,0,0
707,Unknowingness,0,0,0,0
708,I don't know.,0,0,0,0
709,Don't know,0,0,0,0
710,Unknowingness,0,0,0,0
711,?,0,0,0,0
712,Don't know,0,0,0,0
713,It has become more convenient.,0,0,0,0
714,An earthquake?,0,0,0,0
715,I don't know.,0,0,0,0
716,Jambo. (Jambo),0,0,0,0
717,?,0,0,0,0
718,Particle movement is difficult,0,0,0,0
719,It's rotting.,0,0,0,0
720,It's rotting,0,0,0,0
721,The particles move blood as they move.,0,0,0,0
722,It breeds,0,0,0,0
723,It's because the oppressor moves and the blood moves in our bodies,0,0,0,0
724,"The solid has particles attached, and the liquid little by little has particles away from the air.",0,0,0,0
725,"I don't know the particle movement, so I can't explain it in detail",0,0,0,0
726,"C, c, d",0,0,0,0
727,I don't know.,0,0,0,0
728,The water evaporates upward and ascends to heaven,0,0,0,0
729,Particles continue to undergo photosynthesis,0,0,0,0
730,???,0,0,0,0
731,"Solid, liquid, and gas are all composed of particles, and in the case of solid, there is no gap in particles, so the shape is not easily disturbed, and liquid has more gap in particles than solid, so the shape changes easily.Gas is invisible to the eyes because it has a wider gap between particles than solids and liquids.",0,0,0,0
732,I don't know...,0,0,0,0
733,I don't know. Close it,0,0,0,0
734,The particles combine to form muscles,0,0,0,0
735,I don't know.,0,0,0,0
736,"It's stuck together in a solid state, it's a little bit apart in a liquid state, it's a lot of gas apart.",0,0,0,0
737,The particles are attached to each other and separated in a liquid state,0,0,0,0
738,"When a person moves, many organs are active, but the particles themselves move",0,0,0,0
739,"The particles move and form matter in nature, which makes trees grow in the environment",0,0,0,0
740,have the same life expectancy,0,0,0,0
741,I don't know.,0,0,0,0
742,Pass.,0,0,0,0
743,I don't know,0,0,0,0
744,Breathing,0,0,0,0
745,Earthquake,0,0,0,0
746,PASS,0,0,0,0
747,I don't understand.,0,0,0,0
748,"""I don't know.""",0,0,0,0
749,"""",0,0,0,0
750,An earthquake?,0,0,0,0
751,the movements of the people,0,0,0,0
752,Particle motion is commonly found in pollen.,0,0,0,0
753,"diffusion, convection, eruption",1,0,0,0
754,Water boils or air circulates.,0,0,0,0
755,diffusion and eruption,1,0,0,0
756,"Evaporation, diffusion, ejection, gas pressure, conduction, convection",1,0,0,0
757,I don'm not sure...,0,0,0,0
758,1234,0,0,0,0
759,I don't know,0,0,0,0
760,123,0,0,0,0
761,123,0,0,0,0
762,123,0,0,0,0
763,"Oh, my",0,0,0,0
764,bravely,0,0,0,0
765,I don't know. No,0,0,0,0
766,I don't know.,0,0,0,0
767,I don't know~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~,0,0,0,0
768,What do I do?,0,0,0,0
769,123,0,0,0,0
770,123,0,0,0,0
771,Mora,0,0,0,0
772,123,0,0,0,0
773,I'm sweating,0,0,0,0
774,123,0,0,0,0
775,I don't know,0,0,0,0
776,I don't know.,0,0,0,0
777,I don't know,0,0,0,0
778,I can live comfortably without causing any inconvenience to my health,0,0,0,0
779,This is not our level,0,0,0,0
780,713,0,0,0,0
781,It helps us,0,0,0,0
782,I need to work out to improve my body,0,0,0,0
783,I don't know.,0,0,0,0
784,Moreugesseum,0,0,0,0
785,Unknowingness,0,0,0,0
786,Nitrogen,0,0,0,0
787,.......,0,0,0,0
788,Earthquake,0,0,0,0
789,I don't know.,0,0,0,0
790,"""I don't know,""",0,0,0,0
791,"áá¡It's open""I don't understand.",0,0,0,0
792,"Put air in the balloon and over time, the balloon becomes smaller",0,0,0,0
793,....,0,0,0,0
794,Distinguish solid liquid gases,0,0,0,0
795,The air circulates.,0,0,0,0
796,"""The particles rise together when the temperature rises and fall together when the temperature drops. If you put the particles in a certain volume and raise the temperature, they float.",0,0,0,0
797,"""",0,0,0,0
798,The rubber band is an example,0,0,0,0
799,I don't know.,0,0,0,0
800,I don't know.,0,0,0,0
801,It explodes when the particle is trapped in a certain volume and the temperature is increased.,0,0,0,0
802,thermos,0,0,0,0
803,"convection, diffusion, eruption, osmosis",1,0,0,0
804,Evaporation,0,0,0,0
805,phase change,0,0,0,0
806,Spreading,0,0,0,0
807,The degree of motion of the particles can be expressed by temperature. by diffusion or particle motion,1,0,0,0
808,There is a spread.,0,0,0,0
809,"Diffusion, Brownian movement. It is moved by the difference in partial pressure.",0,0,0,0
810,Spreading,0,0,0,0
811,"Thermal Energy, Temperature",0,0,0,0
812,"Evaporation, diffusion, etc. on the surface of a liquid",1,0,0,0
813,"Diffusion, Brownian motion",0,0,0,0
814,"Diffusion, pressure, Brownian motion",0,0,0,0
815,thermal expansion,0,0,0,0
816,Ephep,0,0,0,0
817,The silver is rusting,0,0,0,0
818,Lightning strikes and rains.,0,0,0,0
819,"When you fart, the person next to you smells",0,0,0,0
820,"When a friend wears perfume, the scent spreads from the place where he wears it to quite a distance",0,0,0,0
821,Fine dust from China is a representative example.,0,0,0,0
822,Unable to know.,0,0,0,0
823,I don't know,0,0,0,0
824,I don't know,0,0,0,0
825,Unknowingness,0,0,0,0
826,growth,0,0,0,0
827,I don't know.,0,0,0,0
828,There is a phenomenon called water boiling due to rapid motion on the particles that make up water.,0,0,0,0
829,...,0,0,0,0
830,I don't know,0,0,0,0
831,Wind,0,0,0,0
832,Thunder,0,0,0,0
833,I don't know.,0,0,0,0
834,It's going to be far,0,0,0,0
835,a fever,0,0,0,0
836,Unknowingness,0,0,0,0
837,We can't go through the wall because the particles are moving,0,0,0,0
838,Light,0,0,0,0
839,Growth.,0,0,0,0
840,"There's light, there's a wave, and this particle can be seen through a fog box experiment",0,0,0,0
841,"As the particles do not move still and move, electrons do not hit the central protons and neutrons, but revolve around them and do not collide and destroy them. In other words, it allows all substances to be composed and present due to the movement of the particles.",0,0,0,0
842,Water,0,0,0,0
843,The earth rotates because of the motility of the particles.,0,0,0,0
844,There are many things,0,0,0,0
845,?,0,0,0,0
846,The forest fires that spread,0,0,0,0
847,There's a lot of little things It's separating,0,0,0,0
848,"The phenomenon of diffusion is also caused by the movement of particles, for example, when you spray perfume on your body, but a certain part of it doesn't smell and spreads and smells",1,0,0,0
849,I know how to exercise hard,0,0,0,0
850,"""If ice is solid, particles are gathered because there is no space, and when water becomes water, there is more space to play around The gas becomes water vapor and there is so much space that particles fly around./",0,0,0,0
851,"""",0,0,0,0
852,Fruit,0,0,0,0
853,the activity of a child,0,0,0,0
854,Particles attempt to escape.,0,0,0,0
855,I don't know.,0,0,0,0
856,Particle motion is thermal energy.,0,0,0,0
857,Particle movement is.,0,0,0,0
858,I don't know. I didn't study at this time. I hated science at this time.,0,0,0,0
859,We can assume the cells in our skin.,0,0,0,0
860,"As for the spread of smell, odor particles spread around where the particles stayed.",0,0,0,0
861,Rainbows are caused by the motion of particles.,0,0,0,0
862,My friend doesn't stay still,0,0,0,0
863,It spreads when you spray perfume.,0,0,0,0
864,"As the particles continue to move, friction between the particles occurs, resulting in a vestibule. Based on this phenomenon, lightning appears in reality",0,0,0,0
865,Unknowingness,0,0,0,0
866,"When you spray perfume on your body in the room, the whole room smells of perfume.",0,0,0,0
867,"When you spray perfume on your body in the room, the whole room smells of perfume.",0,0,0,0
868,"When you put paint in a liquid, it mixes.",0,0,0,0
869,"conduction, radiation, etc",0,0,0,0
870,"Ice freezes and melts, and railways increase in hot weather.",0,0,0,0
871,Warm air expands because the speed of motion of the particles varies depending on the temperature.,0,0,0,0
872,I don't know.,0,0,0,0
873,Unknowingness,0,0,0,0
874,Wind,0,0,0,0
875,Unknowingness,0,0,0,0
876,Unknowingness,0,0,0,0
877,"Diffusion occurs due to particle motion of air. You can't see the motion of gases and liquid particles with your eyes, but when you spray perfume to spread the smell, or when you drop the ink into a drop of water and the whole color changes, you can see diffusion. This is a phenomenon that occurs because the solid does not stay still and moves constantly on its own. It also occurs in convection or conduction when temperature is transmitted, and this phenomenon is also transmitted as a medium because the solid is constantly moving. The reason why we can hear the sound of people far away is also because of the movement of particles.",1,0,0,0
878,I don't know,0,0,0,0
879,Unknowingness,0,0,0,0
880,I don't know,0,0,0,0
881,"The brown effect occurs when the ink is poured into the water. In the former case, spin motion is also performed.",0,0,0,0
882,"There is diffusion, convection, etc. They say diffusion in a liquid or gas phase is the movement of matter from the concentration of the substance to the soft spot.",1,0,0,0
883,"There is a diffusion phenomenon that occurs when a gas or liquid moves. And even if an electric field is applied, electrons do not accelerate and flow a constant current may be due to the motion of the particles that flow constantly flowing.",1,0,0,0
884,Unknowingness,0,0,0,0
885,Unknowingness,0,0,0,0
886,Unknowingness,0,0,0,0
887,There are too many. Everything that exists is particle motion,0,0,0,0
888,Unknowingness,0,0,0,0
889,"""Hydrogen Binding",0,0,0,0
890,"Hydrogen bonding refers to bonding through electrostatic interactions with elements with high electronegativity such as nitrogen and oxygen. Large and small electronegativity materials are driven by attractive forces that pull each other and form close instantaneous bonds.""I have no idea.",0,0,0,0
891,Active particle motion releases a lot of heat energy and raises the temperature,0,0,0,0
892,Evaluation Only. Created with Aspose.Cells for Python via Java.Copyright 2003 - 2022 Aspose Pty Ltd.,0,0,0,0
