,"Breathing: Oxygen absorption, carbon dioxide release",ecosystem,Respect for Life,Human
400,"To maintain the ecological pyramid,",0,0,0
401,We need a lot of living things to maintain the ecosystem,1,0,0
402,To keep the ecological pyramid alive,0,0,0
403,"To maintain the ecological pyramid,",0,0,0
404,Use the Ecological Pyramid,0,0,0
405,This is because it is difficult to create an ecosystem if there is no diversity of living things.,1,0,0
406,We need to balance the ecosystem,1,0,0
407,This is because the more complicated the food chain is to maintain the ecological pyramid.,0,0,0
408,This is because there should be a variety of creatures to eat more and the food chain system should not collapse.,0,0,0
409,"A variety of living things does not hurt the food chain much if one species is extinct, but if not, it does damage the food chain maintenance of the food chain",0,0,0
410,"To maintain the ecosystem,",1,0,0
411,"All living things help each other, but if they become extinct, they cannot help each other, so they need to increase diversity",0,0,0
412,"This is because if a species goes extinct, it cannot be restored.",0,0,0
413,"All species depend on other species of living things, because if there are fewer species of living things, they will easily become extinct.",0,0,0
414,It's all going extinct,0,0,0
415,"To prevent the destruction of the ecosystem,",1,0,0
416,"The more biodiversity, the more complex the food web is, the better the ecosystem is maintained",1,0,0
417,"""To prevent other creatures from becoming extinct,",0,0,0
418,"""",0,0,0
419,"If there is no biodiversity, the ecosystem structure will be simplified, and the Earth will be destroyed.",1,0,0
420,Because the food chain of living things is diversified,0,0,0
421,and maintain the food chain,0,0,0
422,This is because food nets and food chains in the ecosystem become diverse and stable only when living things are diverse.,1,0,0
423,This is because the ecosystem is safely preserved only when there are more creatures.,1,0,0
424,This is because the ecosystem is maintained only when there are many creatures.,1,0,0
425,This is because the balance of the ecosystem is better maintained only when biodiversity is maintained.,1,0,0
426,"This is because the higher the biodiversity, the more complicated the food chain in the ecosystem, and the more complicated the food chain, the more advantageous it is to maintain the ecosystem.",1,0,0
427,This is because increasing biodiversity keeps the ecosystem stable.,1,0,0
428,"In order to create a beautiful harmony in the ecosystem,",1,0,0
429,"When herbivores disappear from the ecosystem, carnivores die, so the more biodiversity is diversified, the better.",1,0,0
430,do not extinction,0,0,0
431,We need to increase biodiversity so that we don't damage other creatures even if they go extinct,0,0,0
432,"This is because biodiversity needs to be high to achieve various types of ecosystems, and even a little more creatures can adapt to rapid environmental changes.",1,0,0
433,This is because the ecosystem will be expanded only when biodiversity is increased.,1,0,0
434,This is because the food chain is maintained only when various creatures live.,0,0,0
435,It's because various creatures have to live in order to protect the ecosystem,1,0,0
436,The ecosystem is formed when the food chain is complicated,1,0,0
437,"When a life goes extinct, diversity increases and the impact of species decreases",0,0,0
438,It is to maintain the Earth.,0,0,0
439,"This is because when an organism becomes extinct, the impact of each species decreases as biodiversity increases",0,0,0
440,"Because ecosystems are made up of food pyramids, the extinction of living things in the pyramids damages other living things connected to them and eventually leads to ecosystem destruction",1,0,0
441,"The ecosystem is all connected, so if a species goes extinct, the animals that eat the animals go extinct, so we need to increase biodiversity so that even if it goes extinct, the damage will not be too great",1,0,0
442,The extinction of living things could destroy the ecosystem,1,0,0
443,"This is because the higher the biodiversity, the more complex the food web is, and the better the ecosystem is preserved.",1,0,0
444,This is because species disappear one by one.,0,0,0
445,"The reason is that if the producer goes extinct, the primary consumer will go extinct, if the primary consumer goes extinct, the secondary consumer will go extinct, and if it continues to go extinct, all species will eventually go extinct.",0,0,0
446,"If one creature becomes extinct, not only will the Earth's ecological pyramid collapse, but it will also increase biodiversity because it does not know which direction it will go in in the relationship of food chains.",0,0,0
447,"That way, we can restore many extinct creatures",0,0,0
448,"Because if a life disappears, there is no ecological equilibrium",0,0,0
449,The disappearance of extinct things could be a problem for the Earth or an ecosystem pyramid,1,0,0
450,"To maintain the ecosystem,",1,0,0
451,Ecosystems are connected because there are too many animals and too few animals can destroy the Earth's ecosystem,1,0,0
452,Life goes extinct,0,0,0
453,"Because the more diverse the food chain is, the more active the food chain becomes",0,0,0
454,The ecosystem is more stable when there's a variety of living things,1,0,0
455,It's to protect the ecosystem,1,0,0
456,This is because the ecosystem is maintained only when the ecosystem pyramid is hit.,1,0,0
457,"If the ecosystem is diverse, we can create a smoother and more vast nature",1,0,0
458,"If the ecosystem is diverse, we can create a smoother and more vast nature",1,0,0
459,To keep the balance of the ecosystem intact,1,0,0
460,It's because the food chain is falling apart,0,0,0
461,It is to bring peace to the ecosystem to fill the void of extinct creatures.,1,0,0
462,The ecological crab will be out of balance if the living things are diversified,0,0,0
463,"When the ecosystem collapses, there is increasing disturbance of living things, and gradually, it affects all living things.",1,0,0
464,"To maintain the ecological pyramid,",0,0,0
465,To maintain the ecological pyramid,0,0,0
466,It's the same principle as an ecological pyramid,0,0,0
467,To maintain the ecological pyramid,0,0,0
468,Biological diversity enriches the natural environment,0,0,0
469,This is because various living things increase interactions between each living thing and thereby enrich the ecosystem,1,0,0
470,To create a harmonious global village.,0,0,0
471,The food chain must be maintained.,0,0,0
472,"If ecosystem diversity is not high, things like food chains and food nets will collapse, so they should be raised.",1,0,0
473,"Living things complement each other through the presence of various food chains. If one of the relationships between symbiosis, prey, and predation collapses, the ecosystem gradually collapses",1,0,0
474,To make a living thing that would act as a substitute for extinction,0,0,0
475,"This is because the more complicated the food chain is, the more alternatives are created even if one is blocked.",0,0,0
476,"If the ecosystem is not diverse, the extinction of a species can make the ecosystem a threat.",1,0,0
477,"If there is less biodiversity, there is less life that each creature depends on to survive, and even small changes can cause major changes, which can easily destroy the food chain.",0,0,0
478,"If there are many creatures, the ecosystem becomes abundant.",1,0,0
479,There is a food chain relationship between living things so that one creature can be preserved.,0,0,0
480,"This is because if even one animal species disappears from the ecosystem, the ecological pyramid shakes.",1,0,0
481,"This is because even if the environment changes, species do not easily become extinct if they are diverse.",0,0,0
482,This is because ecosystems become beautiful only when biodiversity increases.,1,0,0
483,"This is because when living things become diverse, the probability of interaction increases, and thus the probability of life becoming extinct decreases.",0,0,0
484,"The more complex the ecosystem is, the less the extinction or transformation of one creature affects another. In other words, this is because the diversity of food nets affects the survival of the entire ecosystem.",1,0,0
485,Because of the ecological pyramid,0,0,0
486,"Because if you don't raise it, the ecosystem is not balanced",1,0,0
487,It's because you have to raise it to create a lot of living things,0,0,0
488,"Because if any living thing becomes extinct, the food web will be destroyed and the ecosystem order will be destroyed?",1,0,0
489,Because the extinction of my creatures can hit the ecosystem hard,1,0,0
490,There is no balance in the ecosystem,1,0,0
491,The ecosystem is not balanced.,1,0,0
492,The ecosystem is not balanced,1,0,0
493,We need both producers and consumer decomposers to make it possible for producers and consumer decomposers to live,0,0,0
494,"The government does restoration work because there is no life to break the balance of the ecosystem pyramidEven if one creature disappears at once, the ecosystem balance is not broken.",1,0,0
495,"To maintain the food chain, if you don't maintain the food chain, the animals at the top can eat",0,0,0
496,This is because the ecosystem can be maintained well by increasing biodiversity to create a lot of food for animals.,1,0,0
497,"This is because living things interact with each other, make up for each other's shortcomings, and are linked to each other's food chains, so even if one species becomes extinct, it can have a bad effect on other species.",0,0,0
498,This is because the ecosystem is activated only when biodiversity is increased.,1,0,0
499,"To maintain the ecological pyramid,",0,0,0
500,We need a lot of living things to maintain the ecosystem,1,0,0
501,To keep the ecological pyramid alive,0,0,0
502,"To maintain the ecological pyramid,",0,0,0
503,Use the Ecological Pyramid,0,0,0
504,This is because it is difficult to create an ecosystem if there is no diversity of living things.,1,0,0
505,We need to balance the ecosystem,1,0,0
506,This is because the more complicated the food chain is to maintain the ecological pyramid.,0,0,0
507,This is because there should be a variety of creatures to eat more and the food chain system should not collapse.,0,0,0
508,"A variety of living things does not hurt the food chain much if one species is extinct, but if not, it does damage the food chain maintenance of the food chain",0,0,0
509,"To maintain the ecosystem,",1,0,0
510,"All living things help each other, but if they become extinct, they cannot help each other, so they need to increase diversity",0,0,0
511,"This is because if a species goes extinct, it cannot be restored.",0,0,0
512,"All species depend on other species of living things, because if there are fewer species of living things, they will easily become extinct.",0,0,0
513,It's all going extinct,0,0,0
514,"To prevent the destruction of the ecosystem,",1,0,0
515,"The more biodiversity, the more complex the food web is, the better the ecosystem is maintained",1,0,0
516,"""To prevent other creatures from becoming extinct,",0,0,0
517,"""",0,0,0
518,"If there is no biodiversity, the ecosystem structure will be simplified, and the Earth will be destroyed.",1,0,0
519,Because the food chain of living things is diversified,0,0,0
520,and maintain the food chain,0,0,0
521,This is because food nets and food chains in the ecosystem become diverse and stable only when living things are diverse.,1,0,0
522,This is because the ecosystem is safely preserved only when there are more creatures.,1,0,0
523,This is because the ecosystem is maintained only when there are many creatures.,1,0,0
524,This is because the balance of the ecosystem is better maintained only when biodiversity is maintained.,1,0,0
525,"This is because the higher the biodiversity, the more complicated the food chain in the ecosystem, and the more complicated the food chain, the more advantageous it is to maintain the ecosystem.",1,0,0
526,This is because increasing biodiversity keeps the ecosystem stable.,1,0,0
527,"In order to create a beautiful harmony in the ecosystem,",1,0,0
528,"When herbivores disappear from the ecosystem, carnivores die, so the more biodiversity is diversified, the better.",1,0,0
529,do not extinction,0,0,0
530,We need to increase biodiversity so that we don't damage other creatures even if they go extinct,0,0,0
531,"This is because biodiversity needs to be high to achieve various types of ecosystems, and even a little more creatures can adapt to rapid environmental changes.",1,0,0
532,This is because the ecosystem will be expanded only when biodiversity is increased.,1,0,0
533,This is because the food chain is maintained only when various creatures live.,0,0,0
534,It's because various creatures have to live in order to protect the ecosystem,1,0,0
535,The ecosystem is formed when the food chain is complicated,1,0,0
536,"When a life goes extinct, diversity increases and the impact of species decreases",0,0,0
537,It is to maintain the Earth.,0,0,0
538,"This is because when an organism becomes extinct, the impact of each species decreases as biodiversity increases",0,0,0
539,"Because ecosystems are made up of food pyramids, the extinction of living things in the pyramids damages other living things connected to them and eventually leads to ecosystem destruction",1,0,0
540,"The ecosystem is all connected, so if a species goes extinct, the animals that eat the animals go extinct, so we need to increase biodiversity so that even if it goes extinct, the damage will not be too great",1,0,0
541,The extinction of living things could destroy the ecosystem,1,0,0
542,"This is because the higher the biodiversity, the more complex the food web is, and the better the ecosystem is preserved.",1,0,0
543,This is because species disappear one by one.,0,0,0
544,"The reason is that if the producer goes extinct, the primary consumer will go extinct, if the primary consumer goes extinct, the secondary consumer will go extinct, and if it continues to go extinct, all species will eventually go extinct.",0,0,0
545,"If one creature becomes extinct, not only will the Earth's ecological pyramid collapse, but it will also increase biodiversity because it does not know which direction it will go in in the relationship of food chains.",0,0,0
546,"That way, we can restore many extinct creatures",0,0,0
547,"Because if a life disappears, there is no ecological equilibrium",0,0,0
548,The disappearance of extinct things could be a problem for the Earth or an ecosystem pyramid,1,0,0
549,"To maintain the ecosystem,",1,0,0
550,Ecosystems are connected because there are too many animals and too few animals can destroy the Earth's ecosystem,1,0,0
551,Life goes extinct,0,0,0
552,"Because the more diverse the food chain is, the more active the food chain becomes",0,0,0
553,The ecosystem is more stable when there's a variety of living things,1,0,0
554,It's to protect the ecosystem,1,0,0
555,This is because the ecosystem is maintained only when the ecosystem pyramid is hit.,1,0,0
556,"If the ecosystem is diverse, we can create a smoother and more vast nature",1,0,0
557,"If the ecosystem is diverse, we can create a smoother and more vast nature",1,0,0
558,To keep the balance of the ecosystem intact,1,0,0
559,It's because the food chain is falling apart,0,0,0
560,It is to bring peace to the ecosystem to fill the void of extinct creatures.,1,0,0
561,The ecological crab will be out of balance if the living things are diversified,0,0,0
562,"When the ecosystem collapses, there is increasing disturbance of living things, and gradually, it affects all living things.",1,0,0
563,"To maintain the ecological pyramid,",0,0,0
564,To maintain the ecological pyramid,0,0,0
565,It's the same principle as an ecological pyramid,0,0,0
566,To maintain the ecological pyramid,0,0,0
567,Biological diversity enriches the natural environment,0,0,0
568,This is because various living things increase interactions between each living thing and thereby enrich the ecosystem,1,0,0
569,To create a harmonious global village.,0,0,0
570,The food chain must be maintained.,0,0,0
571,"If ecosystem diversity is not high, things like food chains and food nets will collapse, so they should be raised.",1,0,0
572,"Living things complement each other through the presence of various food chains. If one of the relationships between symbiosis, prey, and predation collapses, the ecosystem gradually collapses",1,0,0
573,To make a living thing that would act as a substitute for extinction,0,0,0
574,"This is because the more complicated the food chain is, the more alternatives are created even if one is blocked.",0,0,0
575,"If the ecosystem is not diverse, the extinction of a species can make the ecosystem a threat.",1,0,0
576,"If there is less biodiversity, there is less life that each creature depends on to survive, and even small changes can cause major changes, which can easily destroy the food chain.",0,0,0
577,"If there are many creatures, the ecosystem becomes abundant.",1,0,0
578,There is a food chain relationship between living things so that one creature can be preserved.,0,0,0
579,"This is because if even one animal species disappears from the ecosystem, the ecological pyramid shakes.",1,0,0
580,"This is because even if the environment changes, species do not easily become extinct if they are diverse.",0,0,0
581,This is because ecosystems become beautiful only when biodiversity increases.,1,0,0
582,"This is because when living things become diverse, the probability of interaction increases, and thus the probability of life becoming extinct decreases.",0,0,0
583,"The more complex the ecosystem is, the less the extinction or transformation of one creature affects another. In other words, this is because the diversity of food nets affects the survival of the entire ecosystem.",1,0,0
584,Because of the ecological pyramid,0,0,0
585,"Because if you don't raise it, the ecosystem is not balanced",1,0,0
586,It's because you have to raise it to create a lot of living things,0,0,0
587,"Because if any living thing becomes extinct, the food web will be destroyed and the ecosystem order will be destroyed?",1,0,0
588,Because the extinction of my creatures can hit the ecosystem hard,1,0,0
589,There is no balance in the ecosystem,1,0,0
590,The ecosystem is not balanced.,1,0,0
591,The ecosystem is not balanced,1,0,0
592,We need both producers and consumer decomposers to make it possible for producers and consumer decomposers to live,0,0,0
593,"The government does restoration work because there is no life to break the balance of the ecosystem pyramidWhen biodiversity decreases, the food chain simplifies and eventually the balance collapses, resulting in a surge in the number of predators or producers, causing the ecosystem to collapse.",1,0,0
594,for the preservation of ecosystem,1,0,0
595,Because the ecological net and the equilibrium must not be broken,0,0,0
596,"Ecosystem restoration is important because the more ecosystems are destroyed, the more biodiversity is destroyed.",1,0,0
597,"If biodiversity is high, the food chain will be maintained, and if one species is extinct, other animals will be able to feed, and the ecosystem will be turned around",1,0,0
598,The biodiversity must be increased in relation to the food web so that everyone can coexist well.,0,0,0
599,"Living things play their own roles and maintain ecological equilibrium, but when they become extinct, they lose their equilibrium, so they have to increase biodiversity",0,0,0
600,"As biodiversity increases, the food chain between living things becomes complicated, so even if one species decreases or disappears, there is no significant impact on the food chain, which can stabilize the ecosystem",1,0,0
601,Lower diversity can lead to death,0,0,0
602,"If there is less biodiversity, the food chain pyramid will collapse and the ecosystem will gradually be destroyed, leading to extinction, so biodiversity should be increased.",1,0,0
603,This is because the food chain is not broken and equilibrium is maintained only when biodiversity is increased.,0,0,0
604,It's to keep the food chain. This is to increase the probability of surviving an external disease.,0,0,0
605,The reason for increasing biodiversity is that the ecosystem must be preserved.,1,0,0
606,"Because ecosystems have sophisticated interactions with each other, if even a single organism that makes up an ecosystem becomes extinct, the ecosystem will face great confusion, which is why biodiversity must be enhanced.",1,0,0
607,"The higher the biodiversity, the more stable the ecosystem can be.",1,0,0
608,"If biodiversity does not exist, for example, there is a snake that feeds on only one frog, and when all frogs are extinct due to sudden climate change, both the snake and the snake die. Biodiversity should be increased because problems in one place can disrupt all ecosystems by chain reaction.",1,0,0
609,Ecosystem conservation,0,0,0
610,"If there's less biodiversity, the ecosystem will be destroyed, and eventually, the creatures will not be able to live",1,0,0
611,"To create a stable ecosystem,",1,0,0
612,This is because predators and predators can live in an appropriate ratio only when biodiversity is increased.,0,0,0
613,"Each creature is closely related to several other creatures. Therefore, when one creature disappears, many creatures are affected. Therefore, diversity is preserved by the maintenance of the entire organism.",0,0,0
614,"The higher the biodiversity, the more stable the ecosystem is, so diversity should be increased.",1,0,0
615,"The higher the biodiversity, the more stable the ecosystem is, so diversity should be increased.",1,0,0
616,"Ecosystems are composed of the relationships of various living things, because reducing biodiversity makes it easy to break the balance of the relationship between phagocytosis and",0,0,0
617,This is because ecosystem circulation can occur well only when biodiversity increases.,1,0,0
618,"If the food chain is monotonous, the ecosystem is destroyed when an individual becomes extinct, so biodiversity must be increased for a stable ecosystem.",1,0,0
619,To make the food chain more complex and preserve the ecosystem.,1,0,0
620,This is because the ecosystem is not destroyed only when biodiversity is high.,1,0,0
621,"?ë¬¼ ?¤ì?±ì? ? ì ?? (?ë¬¼)ì¢? ?íê³??¸ê?ì§????¤ì?±ì ëª¨ë ?¬í¨?ë ë§ì´ë©??´ë° ?ë¬¼ ?¤ì?±ì ?í´ ?ì¼ë³??¹ì? ?ì°?¬í´ë¡??¸í´ ?¼ë????ë¬¼???¼í´ë¥??ì´???¤ë¥¸ ?ë¬¼?¤ì´ ???í¥ ?ì´ ê³ì ? ì??????ê² ?ë¤. As a result, makes can be maintained steadily increase biodiversity and ecosystem ecology.",1,0,0
622,"Hand-in-glove is biodiversity, affording them the food chain.",0,0,0
623,"Food web between the high, the species biodiversity can be complex, even if the variety of environment change, ecosystem is stable.",1,0,0
624,"Biological diversity reduces, the food chain relationships also reduced ecosystem to species other than a species extinct in accordance with the imbalance will cause.",1,0,0
625,"Very, very important for maintaining ecosystems.",1,0,0
626,"Food chain is complex, thus maintaining the food pyramid has been safely be biologically diverse ecosystems can be achieved.",1,0,0
627,"Biological species in ecosystems, by the food chain will affect other living creatures. So, in the end of the ecosystem balance was tipped and life will go away. And biodiversity is important.",1,0,0
628,"An increase in biodiversity, ecosystem has been safely.",1,0,0
629,First of all human beings a lot of extinction cause that there is a moral responsibility because can do it. And be breeding a species or when one species has gone to good compromise between biodiversity degradation and natural beauty of the earth to can to protect necessary.,0,0,0
630,With the changing environment of ecosystems with high biodiversity is more beneficial to survival.,1,0,0
631,?ë¬¼ì¢ì´ ?¤ì? ìë¡??íê³ê? ?ê´´???ë¥ ????ì§ë¤.,0,0,0
632,"The food chain ecosystem structure. When a creature's food is lost, that creature and other creatures that feed on it become extinct in series. Therefore, biodiversity must be increased.",1,0,0
633,"Ecosystem stability increases only when biodiversity is high, so it adapts well to environmental changes and natural disasters",0,0,0
634,"Changes in the environment occur suddenly, so species must maintain diversity to prepare for this environment. Otherwise, everyone could be exterminated.",0,0,0
635,"As there are various biological species, ecosystem equilibrium can be maintained, and if one more species is restored, two or three more species can naturally occur.",1,0,0
636,"Genetic diversity and species diversity, including ecosystem diversity, are called biodiversity. High biodiversity creates stable food webs. This means that even if one species becomes extinct, other species can continue to survive. In order for all life on Earth to coexist stably, efforts are needed to increase biodiversity.",1,0,0
637,"Living things in an ecosystem are interrelated, so one species of money affects another",1,0,0
638,I don't know.,0,0,0
639,I don't understand.,0,0,0
640,"""Species are a measure of the country",0,0,0
641,"""",0,0,0
642,to expand species diversity by restoring genes,0,0,0
643,I don't know,0,0,0
644,I don't know,0,0,0
645,I don't know,0,0,0
646,I don't know,0,0,0
647,I don't know,0,0,0
648,I don't know,0,0,0
649,I don't know,0,0,0
650,I don't know,0,0,0
651,I don't know,0,0,0
652,Life is important,0,0,0
653,I don't know.,0,0,0
654,"We need it in Korea, and if we don't raise it, living things can't evolve",0,0,0
655,I don't know,0,0,0
656,Because we are all living things,0,0,0
657,I need that creature,0,0,0
658,I don't know,0,0,0
659,"Well, the ecological pyramid",0,0,0
660,I don't know,0,0,0
661,"Well, the ecological pyramid",0,0,0
662,I don't know,0,0,0
663,I might need it,0,0,0
664,Because living things are precious,0,0,0
665,"To better understand biodiversity,",0,0,0
666,Raw noodles are all precious and extinct animals will never be seen again,0,0,0
667,I'm trying to stretch out a lot of plants,0,0,0
668,I don't know.,0,0,0
669,I don't understand.,0,0,0
670,You need to know the diversity of living things so that you know what kind of living things are your ancestors,0,0,0
671,I don't know.,0,0,0
672,I don't know.,0,0,0
673,...........,0,0,0
674,Plants can't disappear,0,0,0
675,I don't know.,0,0,0
676,I don't know.,0,0,0
677,?ã,0,0,0
678,You have to raise it;.,0,0,0
679,I don't know,0,0,0
680,There are many,0,0,0
681,I don't know,0,0,0
682,??682.0,0,0,0
683,We need to increase biodiversity,0,0,0
684,Just.,0,0,0
685,I don't know,0,0,0
686,Because humans are curious,0,0,0
687,There's no answer,0,0,0
688,"That way, plants won't become extinct",0,0,0
689,I don't know,0,0,0
690,have no idea,0,0,0
691,Just.,0,0,0
692,?Biology,0,0,0
693,I don't know.,0,0,0
694,Don't know,0,0,0
695,It's good to do that...,0,0,0
696,I don't know.,0,0,0
697,the day after tomorrow,0,0,0
698,This is because animals are becoming extinct due to the destruction of people's nature.,0,0,0
699,It's to make ends meet.,0,0,0
700,.,0,0,0
701,To adapt to extinction and evolve,0,0,0
702,I don't know.,0,0,0
703,ew,0,0,0
704,.,0,0,0
705,"Living things are precious to us and deserve respect, so we should be interested in animals that are disappearing",0,0,0
706,I don't know,0,0,0
707,It has to be diverse,0,0,0
708,I don't know.,0,0,0
709,I don't know,0,0,0
710,That?s what I?m saying.,0,0,0
711,I don't know.,0,0,0
712,I don't know,0,0,0
713,Because we need to increase animal diversity,0,0,0
714,To balance the world,0,0,0
715,I don't know.,0,0,0
716,Ecosystems and creatures must be diverse to protect and preserve them more,0,0,0
717,I don't know.,0,0,0
718,For living things to live,0,0,0
719,For living things to live,0,0,0
720,I don't know.,0,0,0
721,.,0,0,0
722,For living things to live,0,0,0
723,for animals to live,0,0,0
724,It's a precious creature,0,0,0
725,I don't know.,0,0,0
726,I don't know,0,0,0
727,I don't know,0,0,0
728,I have no idea.,0,0,0
729,They said it's all the way up,0,0,0
730,I have no idea.,0,0,0
731,"Hi, AI. Email me at manny425@naver.com",0,0,0
732,Let's not involve humans in the ecosystem,1,0,0
733,I don't know,0,0,0
734,I don't know.,0,0,0
735,I don't know.,0,0,0
736,To maintain biodiversity.,0,0,0
737,It's good to have a variety of creatures,0,0,0
738,I don't know.,0,0,0
739,I don't know.,0,0,0
740,I don't know.,0,0,0
741,It is to adapt to the changing environment.,0,0,0
742,Biodiversity in the ecosystem can adapt and cope with changes in the environment.,1,0,0
743,It's because all humans are about to disappear.,0,0,0
744,It's good to have a variety of living things.,0,0,0
745,human egoism,0,0,0
746,I don't know,0,0,0
747,You can breed among endangered animals,0,0,0
748,I don't know.,0,0,0
749,"?·D, D, D, D, D, D, D",0,0,0
750,I don't know,0,0,0
751,I don't understand.,0,0,0
752,I don't know.,0,0,0
753,I don't understand.,0,0,0
754,I don't understand.,0,0,0
755,I don't know,0,0,0
756,M and D,0,0,0
757,I don't know,0,0,0
758,I don't know,0,0,0
759,I don't understand.,0,0,0
760,I don't know,0,0,0
761,I don't know.,0,0,0
762,I don't know.,0,0,0
763,I don't understand.,0,0,0
764,I don't know.,0,0,0
765,I don't know,0,0,0
766,I don't know,0,0,0
767,M and D,0,0,0
768,I don't understand.,0,0,0
769,"That way, I can live better",0,0,0
770,It's better to live when there are various creatures,0,0,0
771,It's better to live when there are various creatures,0,0,0
772,I don't know,0,0,0
773,?ã?ã¹??773.0,0,0,0
774,Because we need living things,0,0,0
775,I don't know,0,0,0
776,Country.,0,0,0
777,I don't know,0,0,0
778,I don't know.,0,0,0
779,I don't know.,0,0,0
780,I don't know,0,0,0
781,It's a very difficult problem for me,0,0,0
782,Biology,0,0,0
783,I don't know,0,0,0
784,Biology,0,0,0
785,free of one's own accord,0,0,0
786,I don't know,0,0,0
787,It supplies water and nutrients.,0,0,0
788,I don't know.,0,0,0
789,I don't know,0,0,0
790,Let's not involve humans in the ecosystem,1,0,0
791,".This is because the more species are diverse in the ecosystem, the more the ecosystem has developed.",1,0,0
792,"As biodiversity increases,",0,0,0
793,I don't know.,0,0,0
794,I don't know,0,0,0
795,I don't know.,0,0,0
796,I don't know.,0,0,0
797,I don't know.,0,0,0
798,I don't know.,0,0,0
799,This is because there needs to be a living thing to be able to make a long story for everyone.,0,0,0
800,I don't understand.,0,0,0
801,I don't know.,0,0,0
802,I don't know.,0,0,0
803,I don't know,0,0,0
804,I don't know.,0,0,0
805,.,0,0,0
806,I don't understand.,0,0,0
807,I don't know.,0,0,0
808,I don't know.,0,0,0
809,I don't know.,0,0,0
810,M and D,0,0,0
811,None.,0,0,0
812,I don't know.,0,0,0
813,I don't know.,0,0,0
814,Because living things are important.,0,0,0
815,I don't know,0,0,0
816,I'm not sure,0,0,0
817,.,0,0,0
818,I don't know.,0,0,0
819,Because it would be nice to have a lot of living things,0,0,0
820,There's an animal that can be immune only if it increases biodiversity,0,0,0
821,"Life is life, but we have to help because we die every time",0,0,0
822,I don't understand.,0,0,0
823,Lee Young-sook,0,0,0
824,?´ã??824.0,0,0,0
825,a detailed description,0,0,0
826,M and D,0,0,0
827,?ë¡?¹í¸,0,0,0
828,I have no idea.,0,0,0
829,1,0,0,0
830,1,0,0,0
831,????66??831.0,0,0,0
832,I don't know,0,0,0
833,I don't know.,0,0,0
834,"It is not necessary for humans to be involved in the flow of nature, but it is necessary to restore what humans have done",0,0,0
835,I don't know,0,0,0
836,I don't know.,0,0,0
837,I don't know,0,0,0
838,I don't know.,0,0,0
839,Unknown.,0,0,0
840,I don't know,0,0,0
841,I don't know.,0,0,0
842,..,0,0,0
843,I don't know,0,0,0
844,...,0,0,0
845,",................",0,0,0
846,I don't know,0,0,0
847,I don't know,0,0,0
848,I don't know.,0,0,0
849,I don't know.,0,0,0
850,I'm turning it off,0,0,0
851,I don't know,0,0,0
852,Living things are precious,0,0,0
853,I'm just trying to increase the diversity,0,0,0
854,This is because more value increases when living things are diverse.,0,0,0
855,I don't understand.,0,0,0
856,I don't know.,0,0,0
857,Living things are important,0,0,0
858,I don't know.,0,0,0
859,It's moral to coexist with other animals,0,0,0
860,the more the better,0,0,0
861,in order to live well,0,0,0
862,"The more diverse it is, the better!",0,0,0
863,It is biodiversity at a level that targets various biological clusters and ecosystems including them and interactions between clusters and ecosystems.,1,0,0
864,I don't understand.,0,0,0
865,I don't know.,0,0,0
866,It is biodiversity at a level that targets various biological clusters and ecosystems including them and interactions between clusters and ecosystems.,1,0,0
867,,0,0,0
868,"""",0,0,0
869,To make more friends,0,0,0
870,I don't know.,0,0,0
871,I don't know,0,0,0
872,G and O,0,0,0
873,I don't know.,0,0,0
874,I don't know.,0,0,0
875,"If there's a variety of creatures, the ecosystem will go smoothly",1,0,0
876,There are various living things in living things,0,0,0
877,"Animals are living things, too",0,0,0
878,This is because there are more creatures that survive by adapting to changes in the environment only when biodiversity is high.,0,0,0
879,This is because high biodiversity will increase the probability of adapting to the changing natural environment and increase the number of creatures that will remain in the future.,0,0,0
880,I don't know.,0,0,0
881,"The ecosystem is made up of complex food webs.This is because ecosystems with high biodiversity are more likely to survive than ecosystems with low biodiversity. In an ecosystem with high biodiversity, predators can survive because there are many other prey even if one food disappears.",1,0,0
882,"The importance of biodiversity can be considered through the ecological pyramid. Each creature lives in symbiosis in a relationship that is eaten and eaten. However, if this biodiversity decreases, the ecosystem balance will be destroyed.",1,0,0
883,?,0,0,0
884,luck,0,0,0
885,There needs to be a lot of living things,0,0,0
886,I don't know,0,0,0
887,It's a global world,0,0,0
888,yes,0,0,0
889,It's good to have more biodiversity,0,0,0
890,"The ecosystem pyramid keeps the population of animals and plants in place, and it also affects the crustal ocean, so if you restore it, you'll be indivisibleIt's hard",1,0,0
891,M and D,0,0,0
892,"O, o, o, o, o, o, o, o",0,0,0
893,Mall,0,0,0
894,I don't understand.,0,0,0
895,I don't understand.,0,0,0
896,I don't know.,0,0,0
897,I don't know,0,0,0
898,M and D,0,0,0
899,I don't understand.,0,0,0
900,I don't understand.,0,0,0
901,I don't understand.,0,0,0
902,I don't understand.,0,0,0
903,M and D,0,0,0
904,I don't know.,0,0,0
905,I don't know,0,0,0
906,I don't understand.,0,0,0
907,M and D,0,0,0
908,I don't know,0,0,0
909,It's amazing,0,0,0
910,.,0,0,0
911,I don't understand.,0,0,0
912,I don't know,0,0,0
913,M and D,0,0,0
914,I don't know.,0,0,0
915,.,0,0,0
916,I don't know,0,0,0
917,the more the better,0,0,0
918,"It is a concept that combines three levels of diversity in genes, species, and ecosystems.",1,0,0
919,"It is a concept that combines three levels of diversity in genes, species, and ecosystems.",1,0,0
