,"19. Many environmental groups have recently warned that a decline in biodiversity could pose a global risk. Recently, the number of species has been decreasing rapidly. Why is the number of endangered species increasing recently? Let's explain in detail using our knowledge of biodiversity. ",climate change,respect for life,environmental destruction,biological effects,human activity
722,"As global warming intensifies, Arctic friends like polar bears lose their prey and habitat and die",0,0,0,0,0
723,Human beings are greedy,0,0,0,0,0
724,"As global warming increases, diseases increase, and temperatures rise, making it impossible for living things to live in. At the same time, there are fewer and fewer living things and it becomes an environment that can be endangered.",0,0,0,0,0
725,Endangered species are increasing because people use animal skins a lot and eat animals.,0,0,0,0,0
726,"It's because people skin animals, make clothes, and eat meat",0,0,0,0,0
727,"These days, the number of animals is rapidly decreasing due to being eaten, but endangered animals are not being eaten, so the number is increasing as they give birth to birds and live",0,0,0,0,0
728,"We throw away trash and as the earth changes, the temperature rises, and the earth warms up, so there is a temperature where animals can live, and there is an endangered animal because the temperature rises",0,0,0,0,0
729,change according to the environment,0,0,0,0,0
730,Because of the weather,0,0,0,0,0
731,"Because they are indiscriminately hunting,",0,0,0,0,0
732,be vulnerable to infectious diseases if water is not diverse,0,0,0,0,0
733,Humans killed mercilessly,0,0,0,0,0
734,Human ruthless use and destruction of ecosystems is the cause.,0,0,0,0,0
735,PASS,0,0,0,0,0
736,"""Man's reckless dumping of garbage",0,0,0,0,0
737,"e.g. Due to plastic waste dumped by sea creatures without permission,",0,0,0,0,0
738,be dying,0,0,0,0,0
739,on a recurring phenomenon every year,0,0,0,0,0
740,Certain species may become extinct,0,0,0,0,0
741,I don't know.,0,0,0,0,0
742,"""People are trying to protect biodiversity",0,0,0,0,0
743,"Protecting the habitat of the endangered species,",0,0,0,0,0
744,"It is trying to increase the number of extinctions while steadily protecting the species in a biological shelter.""",0,0,0,0,0
745,"Endangered species are on the rise as people indiscriminately develop ecosystems, destroying their sites and indiscriminately catching animals for human gain",0,0,0,0,0
746,"Humans' indiscriminate development destroys nature and changes the existing ecosystem. As a result, the animals and plants that lived in the past move to other places or die, and new animals and plants are created. In addition, as humans use more land, animals and plants disappear as space for animals and plants decreases, and because some plants and animals are valuable, humans have pioneered land, mass-producing one plant, and indiscriminately hunting animals.",0,0,0,0,0
747,The ecological environment is lost due to climate change such as global warming. Ecosystem destruction due to environmental pollution.,1,0,0,0,0
748,Destruction of Habitat due to Environmental Pollution,0,0,0,0,0
749,"As the number of unadjusted populations increases due to climate change, biodiversity decreases and endangered species increase.",1,0,0,0,0
750,"Endangered species are killed by human poaching, breeding, etc.",0,0,0,0,0
751,It's because of global warming,0,0,0,0,0
752,1234,0,0,0,0,0
753,I don't know,0,0,0,0,0
754,Because of environmental pollution,0,0,0,0,0
755,It's because I'm all tied up,0,0,0,0,0
756,"With the development of science and technology, the number of cars and factories increases, and the number of living things decreases rapidly due to environmental pollution",0,0,0,0,0
757,I don't know.,0,0,0,0,0
758,in the midst of a scandal,0,0,0,0,0
759,"""Because humans destroy the natural environment",0,0,0,0,0
760,"""",0,0,0,0,0
761,"Because people hunt animals,",0,0,0,0,0
762,Because people hunt everywhere,0,0,0,0,0
763,Global warming phenomenon,0,0,0,0,0
764,"Because the earth gets hot because of global warming, animals, insects, and life are hard to live in",0,0,0,0,0
765,"Water is polluted by dumping waste into lakes, rivers, and seas and people touch extinct animals recklessly",0,0,0,0,0
766,Don't know,0,0,0,0,0
767,"Water is polluted by dumping waste into lakes, rivers, and seas and people touch extinct animals recklessly",0,0,0,0,0
768,The world has come to an end,0,0,0,0,0
769,"Because of global warming,",0,0,0,0,0
770,I don't know.,0,0,0,0,0
771,It's better to live in the wild,0,0,0,0,0
772,I don't know.,0,0,0,0,0
773,"Animals are dangerous because people throw away trash from the sea, and animals and the earth are dangerous because they throw away pollutants on the floor.",0,0,0,0,0
774,"As time goes by, the animal is either extinct or alive",0,0,0,0,0
775,1243,0,0,0,0,0
776,"""As people catch and kill animals, the number of animals that are large is decreasing and becoming endangered",0,0,0,0,0
777,"In the past, the number of tigers decreased dramatically because they were caught and killed""",0,0,0,0,0
778,"Because our natural environment is good, various creatures become extinct",0,0,0,0,0
779,I don't know.,0,0,0,0,0
780,environmental pollution,0,0,0,0,0
781,environmental change,0,0,0,0,0
782,"""Global Warming""",0,0,0,0,0
783,"""",0,0,0,0,0
784,......,0,0,0,0,0
785,People eat and hunt,0,0,0,0,0
786,People killed him,0,0,0,0,0
787,I don't know,0,0,0,0,0
788,I don't understand.,0,0,0,0,0
789,a hunting chain,0,0,0,0,0
790,"""People hunt, endangered species appear, and environmental pollution seems to be the main culprit",0,0,0,0,0
791,"""Because of environmental pollution",0,0,0,0,0
792,This is because people continue to develop nature and hunt and sell endangered animals for money.,0,0,0,0,0
793,"""This is because people catch and sell unique or unusual creatures or use them to experiment. People are greedy and wonder when a unique creature is born. Therefore, many of our country's creatures are becoming extinct.",0,0,0,0,0
794,"""",0,0,0,0,0
795,It seems to be caused by our environmental pollution.,0,0,0,0,0
796,This is because we eat and eat each other over time.,0,0,0,0,0
797,I don't raise them and I don't cherish them,0,0,0,0,0
798,Global warming,0,0,0,0,0
799,I don't know,0,0,0,0,0
800,The occurrence of organisms that have not adapted to the environment due to global warming. habitat loss Natural selection failed due to sudden changes in the environment.,0,0,0,0,0
801,environmental destruction,0,0,1,0,0
802,a drastic environmental change,0,0,0,0,0
803,Reduction of habitat due to global warming,0,0,0,0,0
804,the indiscriminate development of human nature,0,0,0,0,0
805,Global warming,0,0,0,0,0
806,Global warming causes rapid changes in the environment to fail to adapt and die (reducing environmental diversity).),0,0,0,0,0
807,The ecosystem is destroyed as rainforests are destroyed by resource development.,0,0,0,0,0
808,"Due to the destruction of ecosystems caused by global warming and climate change, the habitat of various creatures disappears and the food chain collapses.",1,0,0,0,0
809,"The ecosystem is disturbed by human indiscriminate environmental destruction, resulting in endangered species.",0,0,1,0,0
810,Global warming and environmental pollution have killed many living things.,0,0,0,0,0
811,Global warming,0,0,0,0,0
812,environmental destruction,0,0,1,0,0
813,Because we took out the trash.,0,0,0,0,0
814,Because the earth is polluted. Because humans don't preserve the environment properly.,0,0,0,0,0
815,"People's greed was so great that they killed animals that even killed the animals that were preyed on, so the species decreased a lot.",0,0,0,0,0
816,Global warming,0,0,0,0,0
817,"Humans do not respect biodiversity, but leave only superior individuals and interbreed with superior individuals, making it difficult for superior individuals who adapt only to the current environment to survive even if the environment changes a little later",0,0,0,0,0
818,"As the problem of environmental pollution worsened, the threat of extinction occurred.",0,0,0,0,0
819,Nature has been destroyed,0,0,0,0,0
820,I don't know,0,0,0,0,0
821,Because of environmental pollution,0,0,0,0,0
822,Global warming,0,0,0,0,0
823,I can't eat bananas,0,0,0,0,0
824,I think it's because the food chain changed because of global warming.,0,0,0,0,0
825,"Due to the rapidly changing climate and global warming,",0,0,0,0,0
826,It seems that endangered species are increasing because animals cannot adapt to the environment due to global warming.,0,0,0,0,0
827,ruthless ecosystem destruction and logging,0,0,0,0,0
828,The destruction of the environment is reducing species of life.,0,0,0,0,0
829,Because of indiscriminate hunting and environmental destruction of people,0,0,1,0,0
830,Because people kill too many people and get caught without thinking,0,0,0,0,0
831,Ecosystem change,0,0,0,0,0
832,"Because of reckless development, ecosystems are destroyed and habitats are lost",0,0,0,0,0
833,Global warming,0,0,0,0,0
834,The reason why endangered species are increasing is that animals die because their homes are destroyed just as they are if we don't have homes,0,0,0,0,0
835,"Human behavior such as global warming, wetland development, forest destruction, and reckless hunting",0,0,0,0,0
836,The number of creatures that cannot adapt to environmental changes increases,0,0,0,0,0
837,"If there's no low-level creature in the food chain, the upper-level creature will starve",0,0,0,0,0
838,"A sudden change from an existing living environment to an environment where the living thing can no longer adapt, or other external factors preventing the living thing from living",0,0,0,0,0
839,Endangered species are increasing as people cause ecosystem destruction.,0,0,0,0,0
840,"Human indiscriminate development destroys the ecosystem, leading to extinction of creatures that have lost their homes.",0,0,0,0,0
841,It's because of humans,0,0,0,0,0
842,"Due to global warming and environmental pollution,",0,0,0,0,0
843,Global warming and indiscriminate hunting of animals are likely to be the cause,0,0,0,0,0
844,"It's because people eat it and use it as leather, or it destroys nature",0,0,0,0,0
845,"As global warming progressed, the environment in which the creatures had adapted has changed dramatically",0,0,0,0,0
846,"There are other animals that humans have extinct.""",0,0,0,0,0
847,There are many kinds of living things,0,0,0,0,0
848,The answer to global warming or the destruction of other yellow dust ecosystems is humans.,0,0,0,0,0
849,Environmental pollution or animal abuse,0,0,0,0,0
850,the evolution of mankind,0,0,0,0,0
851,Global warming is destroying the living environment.,0,0,0,0,0
852,It is because it has harmful effects on the earth such as air pollution and environmental pollution,0,0,0,0,0
853,It's because we're trying to create a lot of creatures,0,0,0,0,0
854,Human beings are destroying the ecosystem,0,0,0,0,0
855,That's what happens when the environment is rapidly changing and people catch a lot,0,0,0,0,0
856,This is because people are suffering a lot of damage from hunting and environmental pollution.,0,0,0,0,0
857,"Since the Industrial Revolution, as the rapid environmental destruction has led to global warming, the population of various creatures other than humans has decreased, and endangered species are increasing.",0,0,1,0,0
858,"The cause of global warming is greenhouse gases. Among greenhouse gases, especially carbon dioxide is a major factor in global warming.  For this reason, the ozone layer is destroyed, global warming progresses, and the Earth's temperature rises, making it difficult for living things to survive.",0,0,0,0,0
859,"These days, due to global warming and human industrialization, the existing environment is destroyed, and the unadaptable creatures become extinct",0,0,0,0,0
860,"Because of global warming, it's hard for living things to adapt to the environment",0,0,0,0,0
861,"This is because as glaciers melt, sea levels rise gradually, which affects the Earth's environment, thereby changing the climate. Therefore, they are extinct animals that have not been adapted.",0,0,0,0,0
862,"Animals that have not adapted to rising temperatures caused by global warming become extinct. In addition, some creatures have become extinct due to reduced habitat due to reckless urbanization.",0,0,0,0,0
863,"Endangered species increase due to the influx of foreign species, fragmentation of habitats, overfishing, ecosystem destruction, etc.",0,0,0,0,0
864,"Endangered species increase due to the influx of foreign species, fragmentation of habitats, overfishing, ecosystem destruction, etc.",0,0,0,0,0
865,with a sudden change in the climate in desertification due to the pollution of the environment,0,0,0,0,0
866,"Global warming, excessive human environmental development, increased number of dominant species, etc",0,0,0,0,0
867,The threat of extinction has increased as the population grows and habitats are destroyed.,0,0,0,0,0
868,This is because people are destroying animal habitats.,0,0,0,0,0
869,Endangered species are increasing due to the influx of foreign species and unnecessary road generation.,0,0,0,0,0
870,I don't know,0,0,0,0,0
871,Because the natural environment is being damaged,0,0,0,0,0
872,"Biodiversity is a term that includes all three varieties: genes, species, and ecosystems. Recently, ecological diversity is being destroyed due to environmental destruction caused by global warming. As a result, the number of species living in certain ecosystems naturally decreases, leading to an increase in endangered species.",0,0,1,0,0
873,I don't know,0,0,0,0,0
874,"""",0,0,0,0,0
875,"This is because environmental problems such as global warming and forest desertification lead to the loss of balance in the ecosystem and the extinction of species affected by environmental changes.""",0,0,0,0,0
876,"Due to the diminishing diversity of habitats,",0,0,0,0,0
877,I don't know,0,0,0,0,0
878,"Because the habitat environment changes due to environmental destruction,",0,0,1,0,0
879,"Environmental destruction, hunting, and capture are the causes.",0,0,0,0,0
880,"Endangered species are increasing because the number of producers has decreased due to changes in the global climate, and the number of primary and secondary consumers has also decreased.",0,0,0,0,0
881,Endangered species increase because humans need to destroy their habitats or value their own parts of the body.,0,0,0,0,0
882,"As the environment is polluted and changed, species die without adaptation. This leads to a decrease in biodiversity, and a decrease in biodiversity leads to a decrease in the stability of the ecosystem.",0,0,0,0,0
883,indiscriminate capture,0,0,0,0,0
884,I don't know,0,0,0,0,0
885,Destruction of environmental pollution habitat Overfishing and illegal capture of wildlife,0,0,0,0,0
886,"Previously, the destruction of the natural environment was not serious, so there was no problem with species diversity. Rapid changes are due to the environment, so there is not enough time for living things to evolve.",0,0,0,0,0
887,"If the temperature rises, polar bears will face extinction as pieces of ice gradually disappear.",0,0,0,0,0
888,"The emergence of foreign species and mutations can cause several species to disappear by breaking ecosystem equilibrium as food chains are muddled by new species.""",0,0,0,0,0
889,"Due to global warming or human pollution, the habitats of living things are decreasing. This is a major threat to ecosystem diversity.",0,0,0,0,0
890,The biggest reason is the lack of habitat due to drastic changes in the ecosystemEvaluation Only. Created with Aspose.Cells for Python via Java.Copyright 2003 - 2022 Aspose Pty Ltd.,0,0,0,0,0
