,"20. Abnormal kidney function can lead to various diseases and, in severe cases, death. What does the kidney do in our body, so if something goes wrong, will it cause disease? Let's explain it in detail using knowledge of kidney function. ",pee,hormone,waste,reabsorption
421,Filtration of waste and urine,0,0,1,0
422,Ankimchi. (Ankimchi in Korean),0,0,0,0
423,It filters out the wastes from the cones,0,0,1,0
424,This is because the kidney is an important organ that discharges waste and plays an important function in which blood pressure is important.,0,0,1,0
425,"The function of the kidneys can be summarized as: first, excretion of metabolites and wastes into urine; second, endocrine function that keeps body water content, electrolytes, and acidity constant within a narrow range; and third, blood pressure maintenance; anemia correction; and endocrine function that produces and activates various hormones",0,1,1,0
426,"The function of the kidney can be summarized as a function of excretion by filtering metabolites and wastes, a function of maintaining biohomogeneity that keeps water content, electrolytes, and acidity in the body constant within a narrow range, and an endocrine function that produces and activates various hormones important for calcium and phosphorus.",0,1,1,0
427,to be unable to release toxins into the body,0,0,0,0
428,It filters out the wastes.,0,0,1,0
429,"The kidney filters out waste and releases urine, and if something goes wrong with it, it cannot release urine and nutrients are released in large quantities.",0,0,1,0
430,It filters out the wastes,0,0,1,0
431,"If something goes wrong with your kidney, you can use it",0,0,0,0
432,"If there's something wrong with the empty red beans, you can use the red beans",0,0,0,0
433,"First, the function of the kidneys is to filter out metabolites and wastes and excrete them into urine",0,0,1,0
434,filter waste from the blood,0,0,1,0
435,It has the function of purifying bad ingredients in our body,0,0,0,0
436,filter out the waste and let it go outside,0,0,1,0
437,"It causes waste in the blood. However, if there is an abnormality in the kidney, it cannot play this role and becomes sick.",0,0,1,0
438,It discharges waste.,0,0,1,0
439,It does not discharge waste.,0,0,1,0
440,Excretory function that excrete metabolites and no-fee substances into urine,0,0,0,0
441,"It is responsible for removing and discharging toxic wastes from the body, but when abnormalities occur, toxic wastes accumulate in the body Therefore, the disease develops",0,0,1,0
442,be an organ that excrete waste,0,0,1,0
443,"There are many kinds of germs, and such children come in and nourish themselves",0,0,0,0
444,Dialysis machines should be used.,0,0,0,0
445,The kidneys change and filter the elements in the urine,0,0,0,0
446,It allows unnecessary waste to escape from the body.,0,0,1,0
447,"As the bottle moves to the side, the bottle becomes bigger",0,0,0,0
448,"Since it plays a role in filtering waste, waste accumulates in the body when abnormalities occur.",0,0,1,0
449,"Since waste is removed and the concentration of body fluid is adjusted, waste cannot be removed without kidneys, and waste accumulates.",0,0,1,0
450,The kidneys filter out waste from the body.,0,0,1,0
451,"If you do something that requires a lot of physical strength, you will",0,0,0,0
452,"It creates urine, wastes build up in the body",0,0,1,0
453,It's because it filters out wastes from the body from the kidneys and acts as excretion,0,0,1,0
454,"The kidneys filter waste, but if you don't do this function, waste accumulates in the body.",0,0,1,0
455,Filter out the no-feet water,0,0,0,0
456,I don't know,0,0,0,0
457,filter out toxins from the body,0,0,0,0
458,Filter out the waste in the blood.,0,0,1,0
459,It filters out the wastes,0,0,1,0
460,It filters out waste and releases it out of the body.,0,0,1,0
461,Diabetes,0,0,0,0
462,an abnormality in one's urine,0,0,0,0
463,Urinary function,0,0,0,0
464,"filter out body wastes and toxins If it's gone, it's almost dead",0,0,1,0
465,"Since water ash absorption occurs in the kidneys, there will always be a problem in controlling sex if water ash absorption is not properly performed.",0,0,0,0
466,detoxification,0,0,0,0
467,The kidneys are expensive,0,0,0,0
468,an important role,0,0,0,0
469,"The kidney is a good organ that filters out the body's waste. If you don't have it, it hurts a lot",0,0,1,0
470,"It filters out waste products in our body through filtration, reabsorption, and secretion in the kidneys, and when abnormalities occur in the kidneys, they are not properly carried out, causing waste products to accumulate and cause diseases.",0,0,1,1
471,Reabsorb essential ingredients such as glucose and filter out residues such as urine.,0,0,0,0
472,I don't know.,0,0,0,0
473,Filtrate our body's no-feathers.,0,0,0,0
474,"When ammonia is extremely high, it is difficult to produce the element. That's why I got sick.",0,0,0,0
475,"It filters out the body's waste, but if it's broken, it can't be filtered, so it builds up in the body, which causes disease",0,0,1,0
476,"In the kidney, it plays a role in filtering ammonia and waste products synthesized as elements in the body.",0,0,1,0
477,It can lead to a disease in which toxins accumulate. It detoxifies and benefits the body.,0,0,0,0
478,"Since waste is discharged and necessary substances are reabsorbed again, if it is not done smoothly, various nutrients may be insufficient and diseases may occur.",0,0,1,0
479,It's responsible for filtering out the wastes in our bodies,0,0,1,0
480,"In the kidney, it functions to remove waste from our body, but if the kidney has an abnormality in function, it cannot remove waste, which accumulates waste in the blood vessels and hurts a lot.",0,0,1,0
481,It helps you digest smoothly.,0,0,0,0
482,It releases waste from our bodies.,0,0,1,0
483,"The kidney discharges wastes generated from the body and functions as osmotic pressure and pH control in the body. If the kidneys are broken, waste cannot be discharged first, so the whole body swells up and rotten water begins to flow out of the arms and legs over time. Additionally, there is a high risk of complications if kidney disease is solved through surgery.",0,0,1,0
484,"Since our body's waste is filtered out and discharged, problems in the kidneys cause abnormalities in the body.",0,0,1,0
485,"The kidneys function to filter waste in the blood. If the function of filtering out unnecessary substances, or if necessary substances are filtered out of the body and discharged out of the body, hemolytic uremic syndrome, proteinuria, and diabetes occur, respectively. There is a problem in controlling the concentration of substances inside the body.",0,0,1,0
486,I don't understand.,0,0,0,0
487,Red bean paste,0,0,0,0
488,Hmm... Why is that?,0,0,0,0
489,I don't know,0,0,0,0
490,Moreãããããáá¥,0,0,0,0
491,"It filters out bad substances, dregs, etc. in the body",0,0,0,0
492,a deadly disease,0,0,0,0
493,have a filter,0,0,0,0
494,DiseaseI don't know.,0,0,0,0
495,"It's because I can't excrete... It's the part of removing bad things from my body, but I cry when it's ruined",0,0,0,0
496,It releases the poison in our bodies.,0,0,0,0
497,I don't know,0,0,0,0
498,It breaks down toxins in our bodies and releases them.,0,0,0,0
499,It doesn't work to filter out the wastes,0,0,1,0
500,You have to take good care of it,0,0,0,0
501,I don't knowãããããããããããã^^,0,0,0,0
502,I think it'll be good for you,0,0,0,0
503,I don't know about kidney disease.,0,0,0,0
504,It creates something like secretions that allow us to digest.,0,0,0,0
505,"The kidneys are the organs that filter our body's excrement.Therefore, if you don't filter the excrement well, your body will have problems.",0,0,0,0
506,I don't know.,0,0,0,0
507,I don't know,0,0,0,0
508,excretion of waste,0,0,1,0
509,It is used to digest and dispose of the wastes smoothly.,0,0,1,0
510,The function of the kidneys is to filter out metabolites and wastes and excrete themselves,0,0,1,0
511,Waste detection,0,0,0,0
512,It purifies the blood in the body.,0,0,0,0
513,"The function of the kidney can be summarized as a function of excretion by filtering metabolites and wastes, a function of maintaining biohomogeneity that keeps water content, electrolytes, and acidity in the body constant within a narrow range, and an endocrine function that produces and activates various hormones important for calcium and phosphorus.",0,1,1,0
514,"The function of the kidneys can be summarized as: first, excretion of metabolites and wastes into urine; second, endocrine function that keeps body water content, electrolytes, and acidity constant within a narrow range; and third, blood pressure maintenance; anemia correction; and endocrine function that produces and activates various hormones",0,1,1,0
515,The kidneys filter out waste from our bodies.,0,0,1,0
516,.,0,0,0,0
517,It arrests waste and turns dirty blood into clean blood.,0,0,1,0
518,.,0,0,0,0
519,We may die from physical problems as we pile up old plaques on our bodies,0,0,0,0
520,"There are two kidneys each in the human body, and if there is an abnormality in two kidneys, a person dies.",0,0,0,0
521,Diseases occur because the kidneys filter out wastes from our bodies and discharge them.,0,0,1,0
522,You'll get sick,0,0,0,0
523,It is not possible to discharge excrement.,0,0,0,0
524,"As waste accumulates in every corner of our body, it can cause abnormalities in our body and die. In other words, kidneys are a place where waste is treated in our bodies.",0,0,1,0
525,I don't remember.,0,0,0,0
526,"The kidneys are at a disadvantage in the body and let out toxins into the urine. However, without a kidney, toxins are not at a disadvantage, so they can reach death.",0,0,0,0
527,I don't know,0,0,0,0
528,"The kidney is an organ that makes urine, and in other words, it is an organ that collects and discharges waste. However, if this kidney is damaged, the waste will not be released properly, which can lead to abnormalities in the body",0,0,1,0
529,I can't remember.,0,0,0,0
530,The disease is not like this,0,0,0,0
531,It keeps the urine,0,0,0,0
532,He's running hard,0,0,0,0
533,an important role,0,0,0,0
534,The lungs let you breathe and the heart keeps you alive,0,0,0,0
535,"You may have a disease in another person, or you may have a disease because you just don't have immunity.",0,0,0,0
536,"As you eat fast food, oil builds up in your kidneys",0,0,0,0
537,pee in oneÂ´s pants,1,0,0,0
538,be blind to the west,0,0,0,0
539,collecting and sending urine down,0,0,0,0
540,I don't know,0,0,0,0
541,I don't know,0,0,0,0
542,I don't know.,0,0,0,0
543,My kidneys are moving,0,0,0,0
544,"If there is an abnormality in the kidney, bubbles appear in the urine, so I think it has a function that makes things like urine come out well.",0,0,0,0
545,"The kidneys can manipulate our nerves, create or manipulate our heart's speed, and the air we breathe, but if any of them goes wrong, of course it's natural that the body will have problems",1,0,0,0
546,I don't know.,0,0,0,0
547,"Wow, it's really hard",0,0,0,0
548,I don't know much about the human body. Let's move on,0,0,0,0
549,"In the kidney, waste in the blood is selected and sent to the bladder to discharge it into a liquid, and if the kidney does not do so, waste accumulates in the blood and eventually dies due to blood pain.",0,0,1,0
550,The kidneys change into urine by choosing strange substances or scraps.,0,0,0,0
551,I don't know.,0,0,0,0
552,I don't know,0,0,0,0
553,"Perhaps the kidneys are filtering out urine, so if there is a problem, diabetes.",0,0,0,0
554,I don't know,0,0,0,0
555,"As wastes in the body are not filtered out, toxins accumulate in the body, and abnormalities occur in the body, leading to death.",0,0,1,0
556,I'm going to pee?,1,0,0,0
557,It filters out the waste in the blood.,0,0,1,0
558,"Because it filters out blood waste, toxins accumulate in the body and die when there is a problem.",0,0,1,0
559,"In the kidneys, it filters out waste from our bodies. If the kidneys that play this role are destroyed, the body cannot properly filter and detoxify wastes, and the body accumulates wastes, causing disease.",0,0,1,0
560,He's a warrior.,0,0,0,0
561,The blood is filtered to excrete the final product of body metabolism in the form of urine and to control the concentration of the electrolyte.,0,0,0,0
562,Excretion,0,0,0,0
563,Our body generates waste in the process of making and using energy necessary for the body by utilizing nutrients. The kidneys filter out waste carried through the blood to make urine.,0,0,1,0
564,I don't know ........................,0,0,0,0
565,Cigarettes cause kidney damage,0,0,0,0
566,"We use nutrients to make and use energy, such as cellular respiration, and waste is generated in this process. The presence of this waste in the body is harmful to our body. These wastes are excreted as urine, which is created in the kidneys. Therefore, abnormalities in the kidneys can occur.",0,0,1,0
567,"Filter out impurities. If there is an abnormality in the kidney, it cannot filter out impurities, which causes abnormalities in the body.",0,0,0,0
568,Filter out the necessary parts of the urine and remove the urine,0,0,0,0
569,"""Because kidneys filter impurities on the body, the body's immune system is reduced without kidneys.k.a. kidney.",0,0,0,0
570,"""",0,0,0,0
571,"The kidneys filter waste in our blood. Therefore, kidney problems can lead to various diseases related to waste.",0,0,1,0
572,"Since we discharge waste from our bodies through the kidneys, it is difficult to discharge waste if there is a problem with the kidneys.",0,0,1,0
573,Kidney is an important role,0,0,0,0
574,"The kidneys... well, they do something very important, so... I'm in the kidney. It looks like, hmm...",0,0,0,0
575,"The kidney plays an important role, and if the kidney has a problem, it becomes unhealthy and if it is severe, it becomes Samam.",0,0,0,0
576,"Our body generates waste in the process of making and using energy necessary for the body by utilizing nutrients. It is harmful if waste remains in our bodies. The kidneys filter out waste carried through the blood to make urine. Blood is sent back into the body, and urine is released out of the body through the bladder. The process of releasing waste from the blood out of the body is called excretion, and kidneys are involved in excretion",0,0,1,0
577,"It produces urine, releases toxins, and filters out wastes.It also balances the acid and alkali of the body fluid, helps absorb potassium, and controls pressure and red blood cell levels.",0,0,1,0
578,It filters out waste through the blood to make urine. It also filters out waste and keeps the blood clean.,0,0,1,0
579,It filters out waste through the blood to make urine.,0,0,1,0
580,"The kidneys are responsible for removing waste from the blood. Therefore, if a kidney problem occurs, it is not possible to remove waste from the blood, which can lead to diabetes or high blood pressure.",0,0,1,0
581,"The kidneys function to discharge no-femul, but if the kidneys do not function, various toxins in nofemul harm the body and accordingly get sick.",0,0,0,0
582,r,0,0,0,0
583,"The kidneys filter out the waste carried through the blood and release the urine into the bladder, and the clean blood with the waste filtered out becomes active in our body again.",0,0,1,0
584,The kidney stores toxin elements and releases them out of the body with moisture through the urethra.,0,0,0,0
585,It filters out the wastes.,0,0,1,0
586,I don't know,0,0,0,0
587,"If the kidneys can't work, they can't throw away the waste in the body, so the dead blood keeps going around, and our bodies get sick and die",0,0,1,0
588,I don't know...,0,0,0,0
589,discharge of waste,0,0,1,0
590,I couldn't filter out the no-fefe water.,0,0,0,0
591,"It is to urinate what the kidney does, but if you have a kidney problem, you cannot pee.",1,0,0,0
592,"First, the function of the kidneys is to filter out metabolites and wastes and excrete them into the urine",0,0,1,0
593,"""In chronic kidney disease, kidney function gradually decreases over months or years. In the early stages, most patients' bodies compensate or adapt to metabolic abnormalities, so they are relatively asymptomatic. However, symptoms of uremia or water retention begin to develop when kidney function is severely degraded.What are the symptoms of chronic kidney disease?",0,0,0,0
594,Symptoms of chronic kidney disease vary depending on the degree of kidney damage. Chronic kidney disease is divided into five stages according to kidney function and glomerular filtration rate (GFR). The glomerular filtration rate can be calculated with serum creatinine and must normally exceed 90 mL/min.,0,0,0,0
595,,0,0,0,0
596,Stage 1 of chronic kidney disease (90-100% kidney function,0,0,0,0
597,"Stage 1 Chronic kidney disease refers to cases where glomerular filtration rates are 90 mL/min/1.73 m2 or higher, but only tests such as proteinuria are accompanied; structural damage to the kidneys in X-rays, ultrasound, MRI or CT; or family history of polycystic kidney disease. There are no symptoms you feel at this stage.",0,0,0,0
598,,0,0,0,0
599,Chronic kidney disease stage 2 (60-89% kidney function),0,0,0,0
600,"In stage 2 chronic kidney disease or mild chronic kidney disease, the glomerular filtration rate is 60-89 mL/min/1.73 m2. There are usually no symptoms at this stage, but some patients urinate frequently at night, have high blood pressure, normal or small increases in serum creatinine, or have abnormal urine tests.""",0,0,0,0
601,"Since the kidneys filter out waste in the blood, if there is a problem with function, they cannot filter out waste and get sick.",0,0,1,0
602,I don't know.,0,0,0,0
603,I don't know,0,0,0,0
604,We collect the leftover from our bodies and release them,0,0,0,0
605,It filters out the waste from the blood,0,0,1,0
606,An abnormality in the kidneys is very dangerous because they cannot be discharged or the debris can remain in the body.,0,0,0,0
607,I don't know.,0,0,0,0
608,"If there's something wrong with your kidneys, you can't filter out the waste and residue",0,0,1,0
609,I don't know,0,0,0,0
610,I don't know,0,0,0,0
611,I don't know.,0,0,0,0
612,It filters out our body's waste and makes us pee.',1,0,1,0
613,I don't know.,0,0,0,0
614,The kidneys filter out waste and make clean blood.,0,0,1,0
615,It is responsible for filtering out elements in the blood to release them out of the body.,0,0,0,0
616,a believer,0,0,0,0
617,"Kidneys are our bodies, so we do a lot of things, but when it breaks, it breaks",0,0,0,0
618,"The kidney prevents substances such as red blood cells, proteins, and fats from being released out of the body, and reabsorbs glucose and amino acids to excrete only wastes such as urea and water",0,0,1,0
619,I know it's okay to not have a single kidney,0,0,0,0
620,It filters out waste in the blood through the kidneys.,0,0,1,0
621,"The kidney is one of the organs of the ship's design, which filters waste. When its function is broken, it accumulates in the body and causes various diseases",0,0,1,0
622,It releases the no-fe water inside your body,0,0,0,0
623,"It circulates blood or nutrients to the body, and when teeth are broken, abnormalities appear in the body.",0,0,0,0
624,"Since kidneys contribute to homeostasis in the body, abnormalities in the kidneys cause the body's balance to collapse and lead to diseases such as diabetes.",0,0,0,0
625,"The kidneys filter various wastes in the blood to clean the blood. Therefore, I think it will be very difficult if there is a problem with the kidneys.",0,0,1,0
626,"If you go through the process of discharging waste transferred through the blood from the kidney and this kidney problem occurs, you cannot discharge waste normally.",0,0,1,0
627,"Because of the inability to absorb the water ash, it causes urinary boronorrhea",0,0,0,0
628,blood foreign substances filtered from the kidneys,0,0,0,0
629,"Since kidneys contribute to homeostasis in the body, abnormalities in the kidneys cause the body's balance to collapse and lead to diseases such as diabetes.",0,0,0,0
630,Filter the elements in the blood and reabsorb water.,0,0,0,0
631,"The kidney is an organ that helps us digest. Digestion is a very important action in the human metabolism process, and if there is an abnormality in the digestive process, secretions caused by metabolism cannot be released from the body, and waste accumulates in our bodies. You get sick from accumulated waste.",0,0,1,0
632,It filters out and purifies toxic substances or debris in our bodies,0,0,0,0
633,The disease occurs because it keeps you in shape by removing waste and reabsorbing moisture,0,0,1,0
634,"If a person with a weak kidney sees this problem from birth, he or she will cry.",0,0,0,0
635,I don't know.,0,0,0,0
636,"The function of the kidney can be summarized as a function of excretion by filtering metabolites and wastes, a function of maintaining biohomogeneity that keeps water content, electrolytes, and acidity in the body constant within a narrow range, and an endocrine function that produces and activates various hormones important for calcium and phosphorus.",0,1,1,0
637,"""Separate the blood and send the clear blood to the pain, and the residue is",0,0,0,0
638,It's the role of sending you to Ojubo,0,0,0,0
639,Fine dust goes into your body,0,0,0,0
640,I don't know,0,0,0,0
641,The kidneys seem to play a very important role because they take care of our bodies and do many things,0,0,0,0
642,Your kidneys help you digest,0,0,0,0
643,"Since waste products cannot be filtered better than before, the risk of getting sick increases and immunity decreases.",0,0,1,0
644,The kidneys help digestion.,0,0,0,0
645,"The amount of moisture, acid base balance, and osmotic pressure are controlled, and if abnormal substances are present in the blood or excessive substances are present, they are excreted and normalized. It's also the only organ that excrete protein metabolites and removes drugs and toxic substances",0,0,0,0
646,"When the kidney is damaged a lot and its function decreases, waste products generated by protein decomposition accumulate in the body.",0,0,1,0
647,the removal of waste from the blood,0,0,1,0
648,It helps you digest.,0,0,0,0
649,"""The kidneys are paired on the back of the lower abdomen and are one of the important organs that functions to excrete waste and maintain homeostasis in the body, such as acid bases and electrolyte metabolism. The total weight of both kidneys is only about 0.4% of the total weight, but it is difficult to maintain life if the kidney's function is severely degraded or lost. Because it plays a very important physiological function in maintaining life, 20 to 25% of the total cardiac output flows into the kidneys. As a unit structure that functions as a kidney, there is nephron, which is the basic unit in producing urine.",0,0,1,0
650,,0,0,0,0
651,"In normal people, the amount of blood filtered from the kidneys per day reaches as much as 180L, but most of it is reabsorbed and the amount of urine actually excreted is only 1 to 2L. This is because the moisture and nutrients needed by the human body are reabsorbed, and the substances that need more excretion are secreted, and urine is finally produced.""",0,0,0,0
652,"""If the kidneys fail to function properly, protein or blood may escape from urine, waste may accumulate in the blood, water and electrolyte imbalance, decreased urine volume, edema, high blood pressure, etc",0,0,1,0
653,"""",0,0,0,0
654,a role that helps you digest,0,0,0,0
655,"The kidneys remove blood clots, but when the kidneys are gone, the blood lines get clogged and get sick",0,0,0,0
656,"If you have kidney problems, your hands, feet, and face may swell and you may not feel cool even if you urinate frequently or urinate.",0,0,0,0
657,"If you have kidney problems, your face, hands and feet may swell easily, and you may have tinnitus, headaches, hiccups, etc., and you may not feel cool even if you urinate frequently or urinate.",0,0,0,0
658,Kidney cancer and kidney stones can occur if there is an abnormality in the kidney.,0,0,0,0
659,"It filters out the wastes  But when it's gone, the body gets dirty and blood doesn't flow well",0,0,1,0
660,It filters out waste and sends urine to the bladder.,0,0,1,0
661,"If abnormalities occur in the kidneys, tinnitus, headache, hiccups, etc., and various symptoms such as cold hands and feet appear in the body",0,0,0,0
662,"When kidney problems occur, tinnitus, headache, hiccups occur, and various symptoms such as cold hands and feet appear in the body",0,0,0,0
663,"""Diabetes is",0,0,0,0
664,"""Looks",0,0,0,0
665,I don't know.,0,0,0,0
666,I don't know,0,0,0,0
667,M and D,0,0,0,0
668,I don't understand.,0,0,0,0
669,M and D,0,0,0,0
670,"""",0,0,0,0
671,I don't understand.,0,0,0,0
672,"""",0,0,0,0
673,ã ã ã ã³ ã³ ã³ ã³,0,0,0,0
674,M and D,0,0,0,0
675,I don't understand.,0,0,0,0
676,Mall,0,0,0,0
677,I don't know,0,0,0,0
678,I don't understand.,0,0,0,0
679,I don't understand.,0,0,0,0
680,M and D,0,0,0,0
681,I don't understand.,0,0,0,0
682,I don't know.,0,0,0,0
683,I know.,0,0,0,0
684,Die.,0,0,0,0
685,M and D,0,0,0,0
686,I don't know,0,0,0,0
687,I don't understand.,0,0,0,0
688,"When your height is not good, your eyes, nose, and ears are not good",0,0,0,0
689,It discharges the body's waste,0,0,1,0
690,"The main role of the kidney is to purify the blood and remove toxins from the body, and diabetes occurs in the event of abnormal kidney failure",0,0,0,0
691,"The kidneys are one of the excretory organs that filter out unnecessary debris in the blood and take out excess moisture to make urine. There are 10 reasons for this kidney failure. First, blood pressure rises. Second, the area around the eyes, hands, and feet swell.Third, I urinate red or murky.Fourth, there is a lot of foam in the urine. Fifth, I wake up from sleeping and pee often.Sixth, it is uncomfortable, such as reducing the amount of urine or feeling hot when urinating.Seventh, I get tired easily, have no appetite, and feel nauseous. The eighth lost weight for no reason. Ninth, my whole body is itchy. The stomach or back and sides just below the tenth rib hurt.""When you have a bad kidney, your eyes, hands, legs, and other major parts of your body",1,0,0,0
692,"""You're bloating""",0,0,0,0
693,Make a pee,1,0,0,0
694,M and D,0,0,0,0
695,I don't know.,0,0,0,0
696,Excretion function that filters out large acid products and wastes and discharges them into urine,0,0,1,0
697,Strain foreign substances and release them as excrement,0,0,0,0
698,I don't know,0,0,0,0
699,I don't know,0,0,0,0
700,I don't know.,0,0,0,0
701,Don't know,0,0,0,0
702,I don't know,0,0,0,0
703,I don't know,0,0,0,0
704,The kidneys separate proteins and bacteria in our bodies.,0,0,0,0
705,The kidneys release no-feather water from our bodies.,0,0,0,0
706,an important matter,0,0,0,0
707,an important matter,0,0,0,0
708,"Beans are not tasty, red beans are not tasty...",0,0,0,0
709,"Kidney is where you make your pee, and when it gets weird, debris builds up on your body",1,0,0,0
710,Beans are... not tasty,0,0,0,0
711,The kidneys release urine.,0,0,0,0
712,It produces bad things,0,0,0,0
713,Urine builds up in the body.,0,0,0,0
714,A kidney is a place where you collect urine,0,0,0,0
715,to die from not being able to pee,1,0,0,0
716,I think it could be a case of death if it doesn't play a proper role in making urine.,0,0,0,0
717,"Beans are good for health and red beans are good, so they make you healthy",0,0,0,0
718,The kidneys help to release uric acid from our bodies,0,0,0,0
719,I filtered out the urine,0,0,0,0
720,Neither beans nor red beans taste good,0,0,0,0
721,The kidneys filter out the no-fefe water in my blood,0,0,0,0
722,"If there's something wrong with my kidney, I can't pee well",1,0,0,0
723,in charge of important matters,0,0,0,0
724,"It filters out the waste from the kidney's blood.If there is an abnormality in the kidney, the disease occurs because it cannot filter the waste of blood.",0,0,1,0
725,Kidneys are the places that give away our food scraps. Constipation can lead to diseases such as stomachache,0,0,0,0
726,I'm going to take out the old pieces,0,0,0,0
727,"If you hold your urine back, you will continue to store urine in your kidneys, which is very dirty because of the body's However, if there is an abnormality, such diseases such as bursting, failing to release urine, or having to pee even though the urine is not full.",1,0,0,0
728,"Since the kidneys play an important function in our bodies, abnormalities cause diseases.",0,0,0,0
729,"Since the kidneys play an important function in our bodies, abnormalities cause diseases.",0,0,0,0
730,The kidney sometimes causes disease because the substance that comes out of the human body becomes less and less,0,0,0,0
731,Where we digest in our bodies,0,0,0,0
732,It's like a kidney man,0,0,0,0
733,Filtration of waste,0,0,1,0
734,It's a toxin-filtering job,0,0,0,0
735,Filter out all kinds of no-feathers,0,0,0,0
736,Make me pee,1,0,0,0
737,It filters out the wastes.,0,0,1,0
738,PASS,0,0,0,0
739,get rid of toxins,0,0,0,0
740,I don't know.,0,0,0,0
741,The kidney is responsible for removing and discharging the no-fefe water from our body.,0,0,0,0
742,It eliminates toxins in the body and divides them into nutrients that the body needs and essential nutrients before releasing urine,0,0,0,0
743,The kidneys play a role in removing toxins from our bodies.,0,0,0,0
744,"As an excretory organ, it reabsorbs what the body needs and filters what it doesn't need.",0,0,0,0
745,The kidneys play a role in trapping waste from our bodies.,0,0,1,0
746,"Since it is involved in excretion, it can cause various diseases by not properly discharging waste.",0,0,1,0
747,"It works to purify the blood. If there is an abnormality in the kidney, the blood cannot be cleaned.",0,0,0,0
748,This is because the kidneys filter bad substances in our bodies.,0,0,0,0
749,1234,0,0,0,0
750,I don't know,0,0,0,0
751,123,0,0,0,0
752,123,0,0,0,0
753,Let us live,0,0,0,0
754,"Yes, it is",0,0,0,0
755,123,0,0,0,0
756,I don't know,0,0,0,0
757,I don't know.,0,0,0,0
758,It makes us live,0,0,0,0
759,It makes us live,0,0,0,0
760,I don't know the details,0,0,0,0
761,The heart plays many roles in many organs in our bodies. The organs that are mentally beneficial to the body keep us healthy,0,0,0,0
762,S and O,0,0,0,0
763,The heart plays many roles in many organs in our bodies. The organs that are mentally beneficial to the body keep us healthy,0,0,0,0
764,on a cigarette,0,0,0,0
765,Filter the dust,0,0,0,0
766,I don't know.,0,0,0,0
767,It filters out our body's waste,0,0,1,0
768,I don't know.,0,0,0,0
769,You get abnormalities in your body by inhaling coal or something.,0,0,0,0
770,It's because our body needs it and we have a kidney,0,0,0,0
771,"Wow, I don't know",0,0,0,0
772,"If you eat a lot of spicy food, your kidneys lose their function",0,0,0,0
773,"If you like someone, your heart starts pounding So I can know your heart And you need a heart to have good blood",0,0,0,0
774,Die.,0,0,0,0
775,I don't know,0,0,0,0
776,I don't know,0,0,0,0
777,"""I defecated in an empty pot""",0,0,0,0
778,"""",0,0,0,0
779,....,0,0,0,0
780,be in one's body,0,0,0,0
781,I can't go to the bathroom.,0,0,0,0
782,I don't know,0,0,0,0
783,I don't understand.,0,0,0,0
784,I don't know.,0,0,0,0
785,I'm going to clean it's purifying,0,0,0,0
786,"When kidney problems occur, the ability to filter toxins decreases.",0,0,0,0
787,"It releases substances that are harmful to the body, such as excrement or urine.",0,0,0,0
788,"""The kidneys filter out the bad things in the body, and the brain helps us think, and the heart is a variety of respiratory organs, which allow us to breathe. Finally, the blood vessels move the blood in our bodies to other places and move it so that our bodies work smoothly.",0,0,0,0
789,"""",0,0,0,0
790,The kidneys remove the bacteria in our blood and send it to the urine.,0,0,0,0
791,,0,0,0,0
792,,0,0,0,0
793,,0,0,0,0
794,,0,0,0,0
795,,0,0,0,0
796,,0,0,0,0
797,,0,0,0,0
798,,0,0,0,0
799,,0,0,0,0
800,,0,0,0,0
801,,0,0,0,0
802,,0,0,0,0
803,,0,0,0,0
804,,0,0,0,0
805,,0,0,0,0
806,,0,0,0,0
807,,0,0,0,0
808,,0,0,0,0
809,,0,0,0,0
810,,0,0,0,0
811,,0,0,0,0
812,,0,0,0,0
813,,0,0,0,0
814,,0,0,0,0
815,,0,0,0,0
816,,0,0,0,0
817,,0,0,0,0
818,,0,0,0,0
819,,0,0,0,0
820,,0,0,0,0
821,,0,0,0,0
822,,0,0,0,0
823,,0,0,0,0
824,,0,0,0,0
825,,0,0,0,0
826,,0,0,0,0
827,,0,0,0,0
