,"18. Most people now use smartphones, which are small computers in their hands that they couldn't imagine 20 years ago. Many changes have occurred due to the development of science and technology. How has the development of science and technology changed our lives? ",convenience,information,problem
520,It makes our lives convenient,0,0,0
521,"""It makes it more convenient.""",0,0,0
522,"""",0,0,0
523,It makes life convenient and gives various information.,0,1,0
524,the ease of life,0,0,0
525,Life is easy,0,0,0
526,"It has done us a lot of good, but it has also done us harm",0,0,0
527,.,0,0,0
528,I can go from Seoul to Busan quickly and make phone calls quickly.,0,0,0
529,Life has become more convenient than before.,0,0,0
530,"Our lives become more convenient and we can know the weather bus time of tomorrow, so when our science develops, we become more convenient.",0,0,0
531,It's making our lives very comfortable.,0,0,0
532,"Thanks to science and technology, I can live a more convenient life",0,0,0
533,I think I can change the uncomfortable things to convenient and smart,0,0,0
534,It communicates with others and makes global friends.,0,0,0
535,"Science and technology will develop further. Science and technology have had a good influence on humanity, solving problems and things that humans are curious about, such as great convenience and spaceships to space.",1,0,1
536,I can communicate conveniently.,0,0,0
537,"It has made life more convenient, but problems arise because more and more people are addicted to electronic devices.",0,0,1
538,Science and technology give us a lot of comfort.,0,0,0
539,"""I think it gave us comfort in our lives. You can quickly check the weather every morning or the news of the day, and you will be given a chance to have a variety of leisure activities. However, I think there may be cases of illegal or abuse for other reasons.",0,0,0
540,"And there is a possibility of the Middle East, so I think there are many cases where accidents occur while walking with a smartphone on the street.""",0,0,0
541,"Light bulbs and phones that light up the way to travel at night, which are made by the development of science and technology, and phones that enable us to contact even when we are far away, made our livelihood convenient.",0,0,0
542,A lot of things are easy to understand,0,0,0
543,Live comfortably,0,0,0
544,Make it convenient,0,0,0
545,a good change,0,0,0
546,It's more convenient and makes life easier,0,0,0
547,gave someone comfort in life,0,0,0
548,Reduced lifetime due to electromagnetic waves,0,0,0
549,ease one's life easier,0,0,0
550,Life has become easier and more addicted,0,0,0
551,It helps us with the convenience and development of our lives,1,0,0
552,"It's usually convenient. You can talk on the phone with someone from a long distance, and it's great that you can carry it with you. Also, the Internet is so advanced that cell phones are called small computers.",0,0,0
553,"There is a lot of carbon dioxide, so the weather is getting hotter, and communication between people is much easier.",0,0,0
554,It gives you a change to live comfortably.,0,0,0
555,Helping our Salhwal,0,0,0
556,"Due to the development of science and technology, we have made changes so that we can live everything conveniently.",0,0,0
557,"It made us live more comfortably, but it made us more lazy",0,0,0
558,I can communicate easily,0,0,0
559,It also helps medical technology and makes it convenient,0,0,0
560,"You can talk to people from afar without moving around, and you can easily know the scenery and characters there",0,0,0
561,"Once you can use the Internet anywhere, and safety has increased for crime prevention and security.",0,0,0
562,"These days, when students have time, they play games on their cell phones or PC room with their children after school, so they are not smart and do not study well So, students should study hard like students while reducing games are reduced.",0,0,0
563,"There were times when I got hit by a car while I got a cell phone, and there were times when I got addicted to games and killed myself",0,0,0
564,You can contact people far away quickly and know and notify dangerous situations quickly.,0,0,0
565,I can see many knowledge on the Internet and make many friends through SNS.,0,0,0
566,Information can be delivered faster and online shopping can be done without going out in person.,0,0,0
567,It has been a driving force for the development of our lives.,0,0,0
568,It affected everything. Smartphones are already affecting beyond our imagination.,0,0,0
569,gave convenience,1,0,0
570,It enriched our lives.,0,0,0
571,"The development of science and technology has expanded our living area and made life more convenient. With the advancement of science and technology, it is time to write letters and make contact in minutes, which took days.",0,0,0
572,"In Paris... ...two o'clock, o'clock, o'clock, o'clock, o'clock, o'clock...",0,0,0
573,"With the development of information and communication technology and mobile technology, communication with foreign countries has become active and economic growth has been achieved, and with the development of life science, human life has increased.",0,1,0
574,convenience of life,1,0,0
575,"It makes our lives convenient, but there are also new crimes using such media.",0,0,0
576,It gave me a more convenient and enjoyable life.,0,0,0
577,Convenient for everyday life and can live a better world,0,0,0
578,"The development of science and technology has made life easier, so leisure has increased, and the quality of life has improved, but it can cause new social problems.",0,0,1
579,"When searching for knowledge, it was only possible with a computer, but with the appearance of a smartphone, it can be easily searched.",0,0,0
580,You can buy food and things at home and work from home,0,0,0
581,It makes our lives convenient.,0,0,0
582,"It has various effects on our lives, but no one knows what kind of health harm these technologies will do to us. As we develop science and technology, we are not good at making hasty judgments like new diseases, but there is a high possibility that it will have a negative impact.",0,0,0
583,"Science and technology have a positive effect on our lives, but they also cause new social problems.",0,0,1
584,The computer has developed about 40 times So you can use it quickly...,0,0,0
585,Most people communicate with their cell phones and talk less face to face.,0,0,0
586,"It makes our lives more convenient, allows us to spend our leisure lives on our phones, and eliminates a lot of inconveniences, but recently, smartphone addiction is occurring a lot, and traffic accidents and poor health are occurring.",1,0,0
587,The development of science and technology can help our lives and cause social problems.,0,0,1
588,"With the development of science and technology, our lives have become faster, convenient, easy to find various information, and information and software technology have become very important.",0,1,0
589,I was able to get information without having to turn on the computer. It also made smartphones created by technology have the ability to contact each other instead of letters.,0,1,0
590,It made people feel comfortable and easy.,0,0,0
591,"With the development of science and technology, there are many advantages and problems. While the development of science and technology has made our lives richer and more convenient, it can be distributed equally to what science and technology is provided, rather than socially equally.",0,0,1
592,"It makes information easy to know anywhere. Conversely, the higher the dependence on smartphones, the more often they become addicted to smartphones.",0,1,0
593,"fI was able to get the information I needed quickly and easily, feel interested in playing mart phone games when I am bored, and quickly tell people who are not in the same space.  The development of science and technology gives us convenience.",1,1,0
594,"With the development of fertilizers using ammonia or the technology of predicting the weather, farming has become easier and food production has increased. With the development of transportation, people and objects move far away and cultures exchange. Free communication has become possible even overseas.",0,0,0
595,It made it more convenient.,0,0,0
596,Unknowingness,0,0,0
597,It made our lives much easier,0,0,0
598,It makes me live.,0,0,0
599,information can be obtained more easily,0,1,0
600,It became convenient.,0,0,0
601,a good change,0,0,0
602,"""Information accelerates",0,0,0
603,"""",0,0,0
604,I have no idea.,0,0,0
605,I can check the time anywhere and enjoy games and talk with my close friends.,0,0,0
606,You can exchange phone messages with people in your social life.,0,0,0
607,"Thanks to the air conditioner, I can stay cool in summer",0,0,0
608,"It has made our lives simpler, more convenient, and easier",0,0,0
609,"It has made our lives convenient, but the natural environment is being destroyed",0,0,0
610,"People used to be very healthy, but these days, people have been suffering from obesity or frequent colds, which is hurting our health.",0,0,0
611,I don't know.,0,0,0
612,It made our lives convenient,0,0,0
613,Unknowingness,0,0,0
614,""" With the development of science and technology, our lives have become more convenient.",0,0,0
615,"-You can find changes due to the development of science and technology throughout your life.""",0,0,0
616,People all over the world can talk to each other anytime and anywhere on the Internet,0,0,0
617,Life has become convenient.,0,0,0
618,Unknowingness,0,0,0
619,""". You have a cell phone, right? Now I order chicken and pay money on my phone. How simple and convenient it is... On a cold winter day, you don't have to go out...",0,0,0
620,,0,0,0
621,,0,0,0
622,,0,0,0
623,"2. On a hot summer day, we are preparing for the test by turning on the air conditioner coolly and watching EBS educational broadcasting through a large UHD ultra-high resolution TV screen.",0,0,0
624,,0,0,0
625,"Or you can make the role-play game exciting. It's a better world, right?",0,0,0
626,,0,0,0
627,,0,0,0
628,,0,0,0
629,"3. I went to the Grand Park holding my grandmother's hand by performing artificial joint treatment on my grandmother's knee joint, who can't walk well due to arthritis.",0,0,0
630,,0,0,0
631,,0,0,0
632,,0,0,0
633,"All of this is a convenient and beneficial way of thinking about technological development in our daily lives.""",0,0,0
634,It makes life easier.,0,0,0
635,He brought me a smartphone,0,0,0
636,gave someone convenience,1,0,0
637,Giving convenience to life,1,0,0
638,I think it's a double-edged sword that gives us convenience but also brings us modern human disease,1,0,0
639,It made my life richer,0,0,0
640,"It made it easy to get information, but our personal information can be easily stolen",0,1,0
641,It improves the convenience and quality of life.,1,0,0
642,You can get pleasure by enjoying the nightlife with pleasure.,0,0,0
643,It became convenient.,0,0,0
644,"As transportation technology developed, time and space constraints were reduced, and as medical technology developed, healthy living became possible and the average life span increased.",0,0,0
645,"It has brought convenience to our lives, but there will be dark parts on the other side as much as it is convenient.",1,0,0
646,provide convenience for living,1,0,0
647,have easy access to a variety of knowledge,0,0,0
648,It became convenient.,0,0,0
649,It's convenient to have an elevator.,0,0,0
650,"Technology makes human life convenient. With the development of semiconductor technology, we can feel that the future we imagine is coming soon due to artificial intelligence and the 4th industrial revolution using it. However, the ethical issues that follow always coexist, so we can't just believe that this innovation is good.",0,0,0
651,"""A more comfortable life, a simpler job",0,0,0
652,"But there are also side effects (obesity, lack of exercise, etc.)",0,0,0
653,I was able to keep up with the fast-paced world,0,0,0
654,"It makes those who can't walk walk, and allows those who can't see to see.",0,0,0
655,It made me feel comfortable,0,0,0
656,"""Static: Transportation has become convenient. Communication has developed.",0,0,0
657,The development of medical technology has increased the life expectancy of people.,0,0,0
658,"With the development of genetic science, food has increased like Muchu and GMO beans, which are being solved little by little.",0,0,0
659,Leisure time is increasing.,0,0,0
660,People's lives are becoming more convenient,0,0,0
661,"Negative: The relentless consumption of natural resources increases CO2 emissions, causes environmental destruction of glaciers,",0,0,0
662,It's destroying the forest.,0,0,0
663,The development of nuclear technology has enabled mass destruction of humans.,0,0,0
664,Power outages are occurring due to increased demand for electricity usage by people.,0,0,0
665,"Water, which used to be almost free in the past, is being paid for due to lack of water.",0,0,0
666,"With the development of smartphones, more and more time is being used than exercising.",0,0,0
667,"With the development of robots, people are becoming lazy as they move less time.""",0,0,0
668,I feel more comfortable now,0,0,0
669,It's convenient,0,0,0
670,A convenient life where you can send messages or call from afar,0,0,0
671,Our lives have become more comfortable. We can walk around in touch or get information easily and quickly outside,0,1,0
672,Smartphone addiction and computer addiction occur as science and technology developAhhhhhhhhhhhhhhhhhhhh~,0,0,0
673,"I can order it through home shopping and it became comfortable in many ways. And there are many apps and functions on the smartphone, so crime is possible easily.",0,0,0
674,"Life has become more convenient, communication with each other such as contacting each other and the Internet has increased and became more convenient.",0,0,0
675,It gave people the convenience of life to easily search and contact each other.,1,0,0
676,"When you can't go grocery shopping or buy something because you're not feeling well, science and technology have developed, so you can shop with computers, etc., so it gives people other conveniences.",1,0,0
677,It gave us convenience in our lives.,1,0,0
678,We can easily get the information we need for our daily lives.I can find out what I'm curious about usually.,0,1,0
679,"My eyesight is impaired.""",0,0,0
680,It is convenient to get information conveniently and to talk to others when something happens,0,1,0
681,"It has become very convenient, and it helps a lot, and it helps a lot and makes it convenient",0,0,0
682,"""It's easy to get the information you need or are curious about",0,1,0
683,"""Because smartphones are convenient, my eyesight gets worse after watching them for a long time.""",0,0,0
684,provide convenience in life,1,0,0
685,"Although communication life has become easier and communication can be done well, electromagnetic waves from devices degrade eye vision.",0,0,0
686,"The development of science and technology has made people's lives convenient. Everything has become possible with a smartphone, so it has become so convenient that people can carry only one smartphone without having to carry everything.",0,0,0
687,"Although communication life has become easier and communication can be done well, electromagnetic waves from devices degrade eye vision.",0,0,0
688,Convenience and many crimes have also occurred,0,0,0
689,"It has caused addiction such as Internet addiction, and can communicate conveniently.",0,0,0
690,"Our country developed more than 20 years ago and we had to write letters in the past, but now we use smartphones",0,0,0
691,It became convenient to contact and take pictures for many purposes.,0,0,0
692,"""Our life'sI think it's convenient.""",0,0,0
693,I don't know.,0,0,0
694,Unknowingness,0,0,0
695,M and D,0,0,0
696,I don't understand.,0,0,0
697,M and D,0,0,0
698,"""",0,0,0
699,I don't understand.,0,0,0
700,"""",0,0,0
701,ã·Dã³Dã·DãDã³S,0,0,0
702,M and D,0,0,0
703,I don't understand.,0,0,0
704,Mall,0,0,0
705,I don't know,0,0,0
706,I don't understand.,0,0,0
707,It's convenient,0,0,0
708,M and D,0,0,0
709,I don't understand.,0,0,0
710,I don't know.,0,0,0
711,That's true,0,0,0
712,comfortable,0,0,0
713,M and D,0,0,0
714,"There are cars, smartphones, convenience stores, marts,",1,0,0
715,It made life easier,0,0,0
716,"It makes our lives convenient, but the risk of getting sick has increased",0,0,0
717,It helps you live more conveniently,0,0,0
718,"When you shop or order something you need, you can easily order it online and make a deposit on your cell phone, and it will be delivered in a very short time",0,0,0
719,You can learn information and dangerous things faster and easier than before.,0,1,0
720,"The advancement of science and technology may make life easier for mankind, but new diseases such as turtle neck syndrome, which was not common before, can become common",0,0,0
721,.,0,0,0
722,M and D,0,0,0
723,I don't know.,0,0,0
724,It made a convenient and novel change.,0,0,0
725,so what,0,0,0
726,"Even if there is no line, phone calls and messages are possible, and international calls are also possible in different countries",0,0,0
727,All right.,0,0,0
728,"Very, very convenient",0,0,0
729,made it more convenient,0,0,0
730,It makes it convenient.,0,0,0
731,Earth's Android Power Generation,0,0,0
732,"You can walk around and check your mail, and you can solve things that you can only do at home outside.",0,0,0
733,It became convenient.,0,0,0
734,I made it convenient,0,0,0
735,All right.,0,0,0
736,"People are living a convenient life, but they are living and steaming.",0,0,0
737,a big change,0,0,0
738,Yeah.,0,0,0
739,"It becomes convenient, but this kind of thing destroys our bodies.",0,0,0
740,It's convenient,0,0,0
741,Communication has accelerated.,0,0,0
742,It became more convenient,0,0,0
743,Communication is fast.,0,0,0
744,It gave me comfort,0,0,0
745,My eyes are rotten,0,0,0
746,"Poor health, poor eyesight, poor turtle neck, etc. and we can easily find and see",0,0,0
747,It makes life convenient,0,0,0
748,I have a lot of smartphone addiction and my eyesight gets worse,0,0,0
749,The development of technology such as smartphones has made it easier to convey words to us,0,0,0
750,"It makes our lives easier, but the environment gets worse as we develop",0,0,0
751,"It makes us convenient, but if we use it too much, it can harm our bodies.",0,0,0
752,It gave me comfort.,0,0,0
753,"It is a smartphone that is sometimes used in a good place to solve our curiosity, but one day it will make us lose sight",0,0,0
754,"Gradually, I made a mummy",0,0,0
755,"The development of science and technology makes our lives convenient, but as the number of cars increases, global warming occurs due to fumes, and the ozone layer is being destroyed by factories.",0,0,0
756,"With the development of science and technology, our lives are much more comfortable than before.",0,0,0
757,You can use it conveniently,0,0,0
758,"It gives a lot of diseases to the physical eye, but many science and technology are developed to get a lot of information",0,1,0
759,Technology has advanced and people have begun to become more convenient,0,0,0
760,Only the technology of hyperbole has developed,0,0,0
761,gave someone convenience,1,0,0
762,I made a smart change,0,0,0
763,It helps you conveniently,0,0,0
764,a good change,0,0,0
765,"More work has been done easier and faster, and the quality of life has improved.",0,0,0
766,PASS,0,0,0
767,"""I've improved the quality of my life",0,0,0
768,,0,0,0
769,You don't have to call the weather service,0,0,0
770,"Through your smartphone,",0,0,0
771,I knew the temperature in the morning,0,0,0
772,"I can dress appropriately and go out.""",0,0,0
773,"""Helping you live",0,0,0
774,"""",0,0,0
775,"""Of course, it's very convenient, but we've used that much of our resources, and the environmental problems are serious",0,0,1
776,People communicate less with each other,0,0,0
777,"It seems that people are getting lazy as it becomes more convenient.""",0,0,0
778,"If human beings are becoming comfortable due to the development of science, life will become impossible without science and technology",0,0,0
779,"In the culture of mankind, the IT industry has changed to something that cannot be burned. It has brought a lot of comfort to mankind. To make rice easily with rice cookers, keep food cool in the refrigerator for a long time, and easily travel long distances by car, the surplus time has increased by replacing what humans have done with machines. But it's easier to do things, but that's how much more humanity demands and does. Therefore, there was no big difference between the past and leisure time. And also, because the machine takes over, there is a lack of exercise, and there are things that I can't laugh at easily memorizing the phone number that I used to memorize. In the past, even if an accident occurs, there were no major accidents unless it was natural damage, but these days, big accidents occur frequently due to science and technology. Also, there are many large-scale wars due to the development of powerful weapons.",0,0,0
780,Life has become easier.,0,0,0
781,"As information becomes important, it becomes a more valuable life.",0,1,0
782,The quality of life has improved.,0,0,0
783,"I was able to contact you frequently while walking along the street, and I was able to go long distances in a short period of time.",0,0,0
784,It gave us convenience in our lives and then we could get a lot of information conveniently and simply,1,1,0
785,1234,0,0,0
786,I don't know,0,0,0
787,"I used to write a letter, but now I can use it easily by mail or messenger",0,0,0
788,The days of life become more and more full,0,0,0
789,It makes us weak,0,0,0
790,I don't know.,0,0,0
791,1234We make you feel comfortable,0,0,0
792,It's convenient.,0,0,0
793,We can play telephone games,0,0,0
794,It makes people sleep,0,0,0
795,Our lives have become more comfortable because of the development of science and technology,0,0,0
796,"It is hard to send a hard message, so I can send a message conveniently because I have a smartphone",0,0,0
797,Don't know,0,0,0
798,"It is hard to send a hard message, so I can send a message conveniently because I have a smartphone",0,0,0
799,It's gonna be better,0,0,0
800,123,0,0,0
801,I don't know,0,0,0
802,Convenient to send messengers to relatives and friends far away,0,0,0
803,I don't know,0,0,0
804,It is because it gives me comfort in my life and gives me a little preciousness and makes me comfortable.,0,0,0
805,It became very convenient and gave us what we needed for our lives,0,0,0
806,have come to a conciliatory,0,0,0
807,It's giving us more convenience than before,1,0,0
808,It's convenient and convenient,0,0,0
809,I don't know.,0,0,0
810,It's convenient,0,0,0
811,Convenience,0,0,0
812,It makes it more convenient,0,0,0
813,......,0,0,0
814,addiction,0,0,0
815,Convenience and speed,0,0,0
816,I don't understand.,0,0,0
817,It has become a world where everything can be solved by smartphone or computer,0,0,0
818,"I made you feel comfortable, but you were lazy",0,0,0
819,Life has become much easier.,0,0,0
820,It helped me communicate with people,0,0,0
821,Convenient,0,0,0
822,"""Science and technology have given us convenience and fun, technology development is getting better and better and the future may be able to fly without walking in the rainforest, technology will continue to develop in the future.",1,0,0
823,"""",0,0,0
824,They made us feel comfortable.,0,0,0
825,I made it more convenient.,0,0,0
826,Various knowledge accumulation.,0,0,0
827,It makes it convenient. It also makes me lazy.,0,0,0
828,It makes life convenient.,0,0,0
829,"It made life convenient and prosperous and extended the average life expectancy of humans. Automation, many jobs disappear and new jobs are created.",0,0,0
830,Happiness,0,0,0
831,a convenient life,0,0,0
832,too convenient,0,0,0
833,It affects our lifestyles.,0,0,0
834,"Increasing communication between people, the era of globalization",0,0,0
835,"I've heard that the technology of the spaceship, which was used when landing on the moon in the past, is not even a single technology of a smartphone. As such, advanced technology is a fusion and it becomes uncomfortable without it.",0,0,0
836,It makes it convenient.,0,0,0
837,It makes me feel comfortable.,0,0,0
838,It became convenient.,0,0,0
839,It made our lives convenient.,0,0,0
840,It became convenient.,0,0,0
841,It made our lives convenient.,0,0,0
842,I don't know,0,0,0
843,Comfortable. Makes man a slave of convenience. Rely on comfort and become incompetent.,1,0,0
844,It helps you live a very convenient and smart life.,0,0,0
845,"With the development of science and technology, our lives have become very convenient",0,0,0
846,"It seems to have brought me a much freer and more convenient life It has improved in terms of time and efficiency, and I feel that the development time is getting shorter, but in proportion to that, there are also many problems caused by the development of science and technology Representatively, the ethical problem that has been mentioned for a long time is the biggest, so it gave us convenience, but it also gave us problems to solve",1,0,1
847,"The development of science and technology has made our lives more convenient, and we can expect active technological development in the future.",0,0,0
848,a convenient way of life,0,0,0
849,I don't know,0,0,0
850,It made life more convenient,0,0,0
851,Comfortable,0,0,0
852,improvement of the quality of life,0,0,0
853,It became possible to live a more convenient life.,0,0,0
854,"With the elimination of many unnecessary things in our lives and the emergence of new technologies, convenient life has become possible.",0,0,0
855,It made a change in convenience and a lot of knowledge easily.,1,0,0
856,Increased obesity rate Decreased turtle neck vision,0,0,0
857,improved the quality of life,0,0,0
858,provide convenience,1,0,0
859,Life has become much more convenient,0,0,0
860,a computer in my hand,0,0,0
861,"Reduced vision, convenience of activity. a reduction in time",1,0,0
862,making human life more convenient,0,0,0
863,It allows us to live very comfortably and is now an important technology that is indispensable,0,0,0
864,Makes you live a more convenient life,0,0,0
865,It guarantees comfort and living,0,0,0
866,It made human life more convenient,0,0,0
867,"""Positive change has a good effect on modern society, where people first improve their quality of life and seek more comfort",0,0,0
868,"Negative changes can lead to health and interpersonal problems for modern people as they seek comfort.""",0,0,1
869,"With the development of science and technology, the lifestyle of mankind has changed and become more convenient.",0,0,0
870,"In the past, it was difficult to transmit information, but with the development of science and technology, it became easy and quick to transmit information, making life convenient.",0,1,0
871,It changed quickly and easily,0,0,0
872,"Most make changes conveniently, but it makes people lazy.",0,0,0
873,It gives convenience to life and makes daily life more convenient,1,0,0
874,"With the creation of the Internet, you can learn various addictions, convenience, and fast news.",1,0,0
875,It created an information society where you can get materials that you could only get by going to the library quickly with your smartphone,0,1,0
876,You can learn about science and technology,0,0,0
877,"""We've made a tremendous difference The first is convenience, which sends and takes away things that are far away, communicates, sees the world go around, and leads humans more wisely with brains to judge facts or lies more clearly.",1,0,0
878,"""",0,0,0
879,"We made it convenient for our lives, but I think there are some bad things",0,0,0
880,4th evolutionary work,0,0,0
881,It has become a world where you can exchange news with people far away and overflow with information.,0,1,0
882,"When it first came out, it was useful and good for everyone, but now it causes addiction and is harmful to our lives because it causes various diseases.",0,0,0
883,"It has given convenience, but in the United States, for example, the number of obese people is increasing.",1,0,0
884,It made me live a quick and easy life,0,0,0
885,There are also many damages such as personal information leakage due to smartphones that make our lives easier,0,1,0
886,"We try to put in the ability to pursue convenience and needs, but the more we do, the more we will be blinded by science and continue to focus on science without seeing anything of ourselves.",1,0,0
887,The development of science and technology makes human life richer.,0,0,0
888,"With the development of science and technology, people can quickly and easily handle tasks such as communication and work",0,0,0
889,"Science and technology gave us benefits for convenience purposes, but it also caused damage for military purposes and became global warming due to the development of science and technology",1,0,0
890,"With the development of science and technology, transportation and communication can be convenient, and communication can be active, and AI (Artificial Intelligence) can be developed and our jobs can be lost.Science and technology have made our lives more convenient.",0,0,0
891,"With the advent of smartphones, we can easily access useful information anywhere. However, on the contrary, negative content can be easily accessed, so the development of science and technology is a double-edged sword.",0,1,0
892,It helps our lives conveniently. Machines do things that are difficult for people to do.,0,0,0
893,It helps our lives conveniently. Machines do things that are difficult for people to do.,0,0,0
894,It is convenient and easy to get information.,0,1,0
895,"Convenience, aggregation of features, dependencies, etc",0,0,0
896,"It made me live a more comfortable life, but I became dependent on advanced science and technology",0,0,0
897,Our lives gave us convenience.,1,0,0
898,It gave me the convenience to do many things without moving.,1,0,0
899,Life has improved,0,0,0
900,It has become more convenient.,0,0,0
901,"The development of science and technology has brought about a breakthrough in mankind. Factories using electricity and fossil fuels, numerous means of transportation and electronic devices, are also products of scientific and technological development. In addition, in the case of science and technology applied to agricultural technology, it can be said that it has been very helpful in fighting hunger. However, it is at odds with many ethical issues and still has many problems to be solved.",0,0,1
902,Unknowingness,0,0,0
903,"The development of science and technology has not only brought about technological development, but also changed our lives and cultures. Information has become easily available to individuals, and communication methods have become fast and simple, resulting in new types of jobs. In addition, with the development of life technology, it is possible to predict diseases and treat more diseases, so the lifespan is increased. As the lifespan increased, it brought about a big change in people's culture and perception.",0,0,0
904,It's caused various occupations,0,0,0
905,Unknowingness,0,0,0
906,The impossible becomes possible,0,0,0
907,It's making changes conveniently. It's the best move and it's working the best.,0,0,0
908,It helped me find a way or get information faster.,0,1,0
909,"Many lives are convenient and surprisingly connected to everyone. However, the stronger the light, the darker the color of the shadow. The development of science and technology has given us many conveniences, but also changes such as pretentious human relationships, waste of life, and regression of the ability to distinguish authenticity under numerous information.",1,1,0
910,"Technology has developed due to the development of science, which has changed our society. This can be viewed positively, but it can also be viewed negatively.",0,0,0
911,It shortened the time to finish something.,0,0,0
912,"Most definitely, it brought the convenience of life. In the past, machines were able to replace things like this. And globalization came about. You can connect with the world across from your seat, and you can hear the news of the world in real time.",1,0,0
913,the impossibility of convenience in life,1,0,0
914,It brought about both positive and negative changes.,0,0,0
915,Evaluation Only. Created with Aspose.Cells for Python via Java.Copyright 2003 - 2022 Aspose Pty Ltd.,0,0,0
