,"15. In summer, I heard thunder as lightning struck in the sky. After a little time after the lightning struck first, I heard thunder. Why do lightning come first and thunder comes later? Let's explain it in detail using our knowledge of light and sound.",speed difference
557,This is because light is much faster than sound.,0
558,"The speed of thunder is so fast that when our eyes recognize it, lightning has already hit and the speed of our ears is heard up to five seconds after our eyes recognize it, so the sound is slow because our ears cannot recognize it when lightning is the fastest",0
559,I don't know.,0
560,"Light travels at a tremendous speed because the sound is slower than that, so the sound comes later",0
561,Because light is faster than sound because it is over 100 meters per second,0
562,"Light is faster than sound, so light comes first, followed by sound.",0
563,I don't know.,0
564,I don't know,0
565,"Sound is not faster than light, so it comes out seconds after lightning strikes.",0
566,"When a sound is about to be made, the light is bright, so it is seen first and the sound comes next.",0
567,"We started at the same timeEven so, because light is faster than sound, we can see lightning first and hear thunder.",0
568,The speed of light is faster,0
569,I don't know,0
570,"The light is 300000km per second and the sound is 343m per second, so the speed difference is large. Therefore, when thunder strikes, light information enters our sensory organs much faster, so we recognize it quickly.",1
571,It is a phenomenon that occurs because light is faster than sound.,0
572,"Lightning occurs first because the speed of light is faster. The speed of light is faster than the speed of sound, so lightning occurs first and thunder is heard later.",0
573,(Um-Bba~~Um-Bba~)~~~~),0
574,"This is because the speed of light is faster than the speed of sound, so light reaches the ground faster than the speed.",0
575,The light is faster than the sound,0
576,"Lightning is light, and thunder is literally sound, and because the speed of light is faster than the speed of sound, lightning is dusted and thunder is heard afterwards.",0
577,"Light is faster than sound, so lightning occurs first.",0
578,"Oh, I know",0
579,"Lightning is light and thunder is sound, but because the speed of light is incomparable to the speed of sound, light arrives first and sound arrives late.",0
580,The reason why thunder is heard three seconds later is because light reaches the point where it is seen before sound.,0
581,The light is faster than the sound,0
582,Because light is faster than sound,0
583,Because light is faster than sound. So light is seen first and sound is heard later,0
584,"Because lightning is light and thunder is sound, lightning, which is light, reaches first.",0
585,The sound is slow because the light is too fast,0
586,Shall I ask lightning and thunder?,0
587,"Lightning, the light, is faster than thunder, the sound. Therefore, light reaches first and thunder arrives late.",0
588,Lightning is faster than thunder,0
589,"Light is fast enough to orbit the Earth seven times a second, but the sound is not, so lightning strikes first.",0
590,Because light (lightning) is faster than sound (thundering).,0
591,Lightning occurs first because it is faster than sound.,0
592,"Because the speed of light is faster than the speed of sound, lightning, which appears to be light, hits first and thunder, which occurs when lightning strikes, is heard later.",0
593,I don't know.f,0
594,"Light is generated faster than sound, so lightning strikes first and thunder is heard later.",0
595,"This is because light has a speed of 300,000 kilometers per second, but the sound is about 340 meters per second.",0
596,Because light is faster than sound.,0
597,Unknowingness,0
598,The light is faster than the sound,0
599,I don't know...,0
600,The light is faster than the sound,0
601,Because the light is faster.,0
602,Because light is faster than sound.,0
603,Thunder is the sound that comes after lightning strikes,0
604,I have no idea.,0
605,"This is because light is 300,000 kilometers per second and sound is only a few hundred meters per minute.",0
606,Because light is faster than sound,0
607,Do.,0
608,"""You react right away when the light shines, but there's a time when the sound comes.""",0
609,"""Because the light is faster than the sound""",0
610,The speed difference between light and sound,1
611,Because light is very fast.,0
612,I don't know.,0
613,This is because light is much faster than sound.,0
614,Unknowingness,0
615,I have no idea.,0
616,The light is fast,0
617,Because light is faster than sound.,0
618,"When lightning strikes, it makes a sound",0
619,I don't know,0
620,This is because the speed of sound is slower than light.,0
621,Because the speed of light and sound are different,0
622,The sound cannot keep up with the light,0
623,Because light is faster than sound,0
624,The light is the fastest,0
625,"Because the speed of light is faster than the speed at which sound travels, thunderstorms at long distances detect light first and sound later.",0
626,"Because lightning is light, it is faster than sound",0
627,Because it faster than the speed of sound is the speed of light.,0
628,The light is faster than the sound,0
629,Because light is faster than sound.,0
630,"This is because the speed of light is faster than the speed of sound. With this difference in speed, you can compare when lightning is visible and when thunder is heard to infer the position up to lightning.",0
631,This is because light is faster than sound.,0
632,I think it's because light is much faster than sound.,0
633,"Because the speed of light is faster than the speed of sound,",0
634,Because light is faster than sound.,0
635,This is because light travels faster than sound.,0
636,"Because sound is slower in particle speed than light, we can see it with our eyes as soon as lightning drops, and thunder, which is sound, takes a few seconds for wavelengths to be transmitted.",0
637,"The light is faster, so we can see it first, and then the sound arrives",0
638,Thunder!,0
639,The sound is slower than the light,0
640,I guess the sound comes out later,0
641,"""The speed of light is about 300,000`km/s, and the speed of sound is about 340m/s. Lightning travels about 300,000 kilometers in one second because it is light, and thunder travels about 340 meters in one second because it is sound.Suppose lightning and thunder broke out about 3 kilometers from the school. Light travels about 3 km to school in a very short time of one hundred thousandth of a second. Therefore, lightning can be seen almost simultaneously as it occurs, but thunder is heard about nine seconds later. This is because the sound of thunder travels a distance of about 3km for about 9 seconds.",0
642,"[Naver Knowledge Encyclopedia] Light and Sound Fast (Genius Learning Encyclopedia, Elementary Science 5-2, Genius Education)",0
643,The light is faster than the sound,0
644,Because the light is much faster,0
645,The light is faster than the sound,0
646,"The light is faster than the sound, so the light flashes first! Then the second place comes and makes a sound",0
647,"After the lightning strikes, the impact is that it makes the sound of thunder",0
648,"A phenomenon in which a very high voltage difference between a cloud and a cloud or between a cloud and the ground is not tolerated and is instantaneously discharged, and thunder is a sound caused by the high energy of a flowing charge In short, the speed of light is faster than the speed of sound.",0
649,Because light is faster than sound.,0
650,"Since the speed of sound is slower than the speed of light, light occurs before sound, and thunder is heard after lightning strikes.",0
651,"Because the speed of sound is slower than the speed of light, light is generated before sound, so thunder is heard after lightning strikes.",0
652,"Because the sound is slower than light, thunder is heard a few seconds after the lightning strikes.",0
653,"The air expands due to heat, but the air cannot overcome the expanding force.",0
654,"Because the light is faster than the sound, the light comes first, and the sound comes out after a few seconds, so the thunder and lightning can not be heard together",0
655,"Light travels 3KM at a rate of one hundred thousandth of a second, but sound travels 3KM in a time of nine seconds",0
656,Because the light is faster,0
657,"Light is faster than sound, so lightning strikes and then thunder",0
658,"The speed of sound is slower than the speed of light, so when lightning strikes, light is seen first, followed by thunder.",0
659,"The speed of sound is slower than the speed of light, so when lightning strikes, light is seen first, followed by thunder.",0
660,This is because the speed of light is faster than the sound of thunder.,0
661,"The sound is slower than light, so lightning strikes first",0
662,This is because the speed of light is faster than the speed of sound.,0
663,"The speed of sound is slower than the speed of light, so when lightning strikes, light is seen first and then thunder is heard",0
664,The light is too fast for the sound to catch up.,0
665,"""The sound is slower than the light, so the light is faster than the sound.""",0
666,"""I can see it""",0
667,I don't know.,0
668,Unknowingness,0
669,Mr,0
670,I don't understand.,0
671,Mr,0
672,"""",0
673,I don't understand.,0
674,"""",0
675,ã·Ding ding ding ding,0
676,Mr,0
677,I don't understand.,0
678,Mall,0
679,I don't know,0
680,I don't understand.,0
681,The sound is slower than the light,0
682,Mr,0
683,I don't understand.,0
684,I don't know.,0
685,It's because the sound is faster than light,0
686,The light is so fast,0
687,Mr,0
688,Unknowingness,0
689,I don't understand.,0
690,"Because the speed of sound is slower than the speed of light, light is generated before sound and sound is heard later",0
691,The light is faster than the sound,0
692,"It appears because light is faster than soundBecause the sound is slower than light. In short, the sound of thunder is slower than the light of lightning.",0
693,"Because the speed of sound is slower than the speed of light, light is generated before sound and sound is heard later",0
694,.,0
695,Mr,0
696,I don't know.,0
697,The light is faster than the sound,0
698,Light is faster,0
699,"Light is faster than sound, so lightning strikes first and sounds are heard",0
700,Unknowingness,0
701,"Light is much faster than sound, so lightning comes first and thunder comes later",0
702,Because light is faster than sound,0
703,The light is faster than the sound,0
704,?,0
705,Because light is faster than sound.,0
706,Because light is faster than sound.,0
707,The light is faster than the sound,0
708,That's how it works,0
709,Thunder and lightning are scary,0
710,The light is faster,0
711,I don't know...,0
712,The boat is faster than the sound,0
713,The light is faster than the sound,0
714,The light is faster than the sound,0
715,I don't know.,0
716,Because light is faster than sound,0
717,"If it shines, it makes a sound",0
718,The light is faster than the sound,0
719,It's because light is faster than the sound,0
720,The light is faster than the sound,0
721,The light is much faster,0
722,Because light is faster than sound,0
723,????,0
724,Light is seen first and sound is heard later.,0
725,Light is faster than sound.,0
726,Light is much faster than sound,0
727,"The speed is too fast. Even if the angle is too high, it is too far away",0
728,"The sound is 340 kilometers per second and the light is 300,000 kilometers per second, so the sound is very slow than light, so lightning strikes first and the sound is heard later.",0
729,"Between light and sound, light is faster than sound",0
730,The light is faster than the sound,0
731,"It is because there is a sound in size and the speed is connected, so there is a moving sound speed in the object",0
732,Because light and sound are faster and sound is heard after that,0
733,She's asking for food on the boat,0
734,Because there's an order,0
735,It takes time for the sound to be transmitted because it's far away,0
736,The light is faster than the sound,0
737,The speed is different,0
738,"""The speed of light is faster than the sound""",0
739,"That's because.""",0
740,PASS,0
741,I don't understand.,0
742,I don't know.,0
743,"Light is faster than sound, so light is generated first and then sound is generated.",0
744,The light is much faster than the sound,0
745,"Thunder is sound and lightning is light. Simply put, the speed of sound and light is much different. That's why lightning is seen first and thunder is heard later.",0
746,Because light is faster than sound.,0
747,The light is 3000000 m/s and the sound is 340 m/s. There is a big difference in speed.,0
748,"Because the light is 3000000 m/s and the sound is slower than this, the light flashes first and the thunder is heard later.",0
749,"This is because the speed of sound is much slower than the speed of light, so light reaches humans first.",0
750,Because the speed of light can't keep up with anyone,0
751,1234,0
752,I don't know,0
753,Lightning is faster than the sound,0
754,It's a natural phenomenon,0
755,It's faster than lightning,0
756,"Yes, it is",0
757,123,0
758,How do I know?,0
759,Thunder meets light and speeds up.,0
760,The sound is slower than the light,0
761,Because the light is faster than the sound,0
762,It's because lightning is faster than lightning is faster than sound,0
763,The sound is heard late because you can hear the sound of mallards in a large area.,0
764,"Three seconds after the bungeo-ppang, the thunder strikes",0
765,The sound is heard late because you can hear the sound of mallards in a large area.,0
766,Because time goes by so fast,0
767,"be slower than lightSo after the lightning struck, there was a sound.",0
768,I don't know,0
769,The speed of light and sound are different,0
770,I don't know,0
771,"Because when sunlight comes toward us like us, we come to my eyes first.",0
772,because light is faster than sound,0
773,I don't know.,0
774,"The thunder can't keep up with the lightning, so the lightning strikes first and you can hear the thunder",0
775,Because the light is faster than the sound,0
776,I don't know.,0
777,The light is faster than the sound,0
778,Because there's a time when the energy of thunder comes to us,0
779,velocity of sound,0
780,.....,0
781,The light is faster than sound for.,0
782,The sound of a child echoes.,0
783,I don't know,0
784,I don't understand.,0
785,"The speed of light is 300,000 kilometers per second, and the speed of sound is 340 kilometers per second, so light is faster than sound",0
786,...,0
787,The speed of light is slower than the speed of sound,0
788,It takes time while the sound is coming.,0
789,"""Because the light is faster than the sound.",0
790,"""",0
791,The light is too fast to follow.This is because light is faster than sound.,0
792,I think I'll make a thud first,0
793,This is because light is faster than sound.,0
794,I don't know,0
795,"The speed of light is 3*10^8 m/s, which is much faster than the average speed of sound, about 300 m/s. Therefore, when there is a thunderstorm in the distance, lightning, the light, reaches our eyes first, and thunder, the sound, is heard a little later.",0
796,The speed of light is faster than the speed of sound,0
797,Speed of light > Speed of sound,0
798,"The speed of light is 3*10^8 m/s, and the speed of sound is 331 m/s, so the light is fast.",0
799,"The speed of light is greater than sound, so it reaches first.",0
800,The speed of sound is slower than that of light.,0
801,"The speed of light is faster than the speed of sound, and the surrounding air by lightning is heated and instantly expands to make sound.",0
802,Light is faster than sound,0
803,The light is faster than the sound,0
804,"Lightning is light and thunder is sound, so lightning is fast.",0
805,The light is faster than sound.,0
806,"The speed of light is 3*10^8 m/s, and the speed of sound is 340 m/s",0
807,The light is faster than the sound,0
808,Bebebebe,0
809,Travel time. Lightning strikes first and thunder is heard because the light is faster and the sound is slower,0
810,Because the sound is slower than light.,0
811,"Because the speed of light is faster,",0
812,"Because the speed of light travels faster than the speed of sound, you see lightning first and then hear thunder",0
813,"Lightning can be seen by light and thunder by sound, and light is faster than sound, so light reaches the eye first and sound comes after it.",0
814,The light comes first and the sound comes out,0
815,I don't know,0
816,Because light is faster than sound.,0
817,Because the light is faster than the sound,0
818,The vibration of light is faster than the sound,0
819,This is because the speed of light is faster than the speed of sound.,0
820,Because the speed of light is faster than the speed of sound,0
821,Because light is faster than sound,0
822,Light is faster than sound,0
823,This is because the speed of light is faster than sound.,0
824,This is because the speed of light is faster than that of sound,0
825,The light is so fast that you can see the light first and hear the sound,0
826,Speed of movement Light > Sound,0
827,Because the speed of sound is slower than the speed of light,0
828,The speed of light is faster than the sound,0
829,"Lightning is the sound of light thunder, but the sound can never be rubbed against the speed of light.",0
830,Because light is faster than sound.,0
831,"Because the light is faster than the sound, lightning is seen first and then sound is heard",0
832,Because the speed of light is faster than the speed of sound,0
833,"The speed of light of lightning is visible in our view, but the sound of lightning is heard in our ears slower than the speed of light due to the speed of sound.",0
834,Because light is faster than sound.,0
835,"Because light is faster than sound, lightning strikes first, and then a sound comes out.",0
836,Because it's faster,0
837,The light is faster than the sound,0
838,The light is faster than the sound,0
839,The reason why lightning strikes and sounds is to surprise people.,0
840,The speed of light is superior to the speed of sound,0
841,vary from hour to hour,0
842,"Light is faster than sound. Light is a tremendous speed that can travel 12 times around the Earth in a second, but sound is slower than light, so light is seen before sound.",0
843,Because light is much faster than sound,0
844,It's acid-dominated,0
845,Because light is faster than sound.,0
846,"I heard that light travels seven times around the earth in one second. Therefore, the light is much faster than the sound, so lightning is visible and the sound is heard later.",0
847,This is because the speed of light is five seconds faster than the speed of sound.,0
848,Because light is faster than sound,0
849,Because the light is faster than the sound can be heard,0
850,"Light is faster than sound, so lightning strikes first and thunder is heard.",0
851,"Because the speed of sound and the speed of light are different, light is seen first, followed by sound.",0
852,"Lightning is light and thunder is sound. Because light is faster than sound, lightning strikes first and then thunder is heard later.",0
853,Because light is faster than sound,0
854,Because light is faster than sound.,0
855,"The speed of light is the speed at which it can travel three times around the Earth at a time, but the speed of sound is slow, so light is seen first and sound arrives next",0
856,"Light travels at a speed of 300,000 kilometers per second, and sound travels 340 meters per second at room temperature. That's why the faster light reaches first, and then the slower sound arrives.",0
857,Lightning occurs first because the speed of light transmission is faster than that of sound.,0
858,Lightning occurs first because the speed of light transmission is faster than that of sound.,0
859,The light is faster than the sound,0
860,This is because the speed of light is much faster than the speed of sound (sonic waves).,0
861,Because light is faster than sound.,0
862,This is because the speed of light is much faster than the speed of sound.,0
863,This is because the speed of light is faster than that of sound waves.,0
864,Unknowingness,0
865,This is because light is faster than sound.,0
866,"Light is faster than sound, so lightning reaches the ground before thunder.",0
867,Unknowingness,0
868,"Light is not a movement that requires a medium, so it is the fastest, so of course, it is transmitted before sound. That's why we can hear thunder after lightning strikes.",0
869,The light is faster than the sound,0
870,Unknowingness,0
871,The light is very fast and the sound is relatively slow,0
872,"Lightning is light. Thunder is the sound. The difference is that the speed of light is 300,000 kilometers per second, and the speed of sound is 330 meters per second.",0
873,This is because the speed of light is faster than the speed of sound.,0
874,"In fact, in the cloud, a tremendous amount of energy moves and light and sound will be generated at the same time, but as you know, the speed of light is incredibly fast and the sound lasts about 340 meters per second. Considering this, it is natural.",0
875,"Because the speed of light is faster than the speed of sound, lightning is seen first and sound is heard later.",0
876,Unknowingness,0
877,This is because the speed at which light touches is faster than the speed at which sound is transmitted.,0
878,The speed of light is faster than the sound,0
879,Because light travels faster than sound,0
880,This is because the speed of light is faster than that of sound.,0
881,"Light travels without the help of the medium, but sound travels through the medium. That's why we can see lightning first and hear thunder a little later.",0
882,Because the speed of light is faster than the speed of sound,0
883,Evaluation Only. Created with Aspose.Cells for Python via Java.Copyright 2003 - 2022 Aspose Pty Ltd.,0
