,"1. Using the air conditioner above the amount of power, the current was excessive and the air conditioner was turned off. At this time, other electronics such as TVs and refrigerators that were connected to the same outlet did not turn off. Let's explain in detail why the other electronics connected to the same code did not turn off even though the air conditioner was turned off, using our knowledge of how electricity works and how to connect the electronics. ",Parallel,current flow,power amount,fuse
468,"This is because current flows through different batteries, not the same current for air conditioners, refrigerators, and TVs.",0,1,0,0
469,This is because air conditioners absorb electricity the most.,0,0,0,0
470,The electronics are connected in parallel.,0,0,0,0
471,This is because electronics are connected by parallel connection method.,0,0,0,0
472,I don't know.,0,0,0,0
473,"Parallel connections have electricity flowing in many places, because serial connections do not have electricity flowing here",1,0,0,0
474,Parallel connection,1,0,0,0
475,Because the air conditioner was overheated due to excessive current flow.,0,1,0,0
476,"Unlike air conditioners, all electronics are connected in series.",0,0,0,0
477,"Unlike air conditioners, refrigerators and televisions are not used excessively, so current flows normally to televisions and refrigerators",0,1,0,0
478,"""",0,0,0,0
479,I don't know,0,0,0,0
480,I don't know.,0,0,0,0
481,I don't know.,0,0,0,0
482,I don't know.,0,0,0,0
483,Because home appliances are connected in parallel,0,0,0,0
484,.,0,0,0,0
485,It's a parallel connection,0,0,0,0
486,Because it's a parallel connection,0,0,0,0
487,The air conditioner takes a lot of electricity,0,0,0,0
488,It's in parallel,0,0,0,0
489,I don't know.,0,0,0,0
490,It's a parallel connection,0,0,0,0
491,I don't know.,0,0,0,0
492,The air conditioner takes up too much electricity,0,0,0,0
493,It is because of the parallel connection structure.,0,0,0,0
494,The AC has too much electricity,0,0,0,0
495,It's connected in parallel,0,0,0,0
496,"Home appliances are usually connected in parallel, so even if one is broken, the rest is possible.",0,0,0,0
497,I don't know,0,0,0,0
498,I don't know,0,0,0,0
499,I don't know.,0,0,0,0
500,I don't know.,0,0,0,0
501,"I think when the circuit breaker fell, all the electricity in the house would have gone out or a plug bite like a refrigerator or a computer would have gone out.",0,0,0,0
502,It's connected in parallel,0,0,0,0
503,"I think the electricity in the house would have gone out when the breaker fell, or a plug bite like a refrigerator or a computer would have gone out.",0,0,0,0
504,This is because there is a limit to electricity and the amount of electricity is not supposed to affect it while other electricity and electricity are connected.,0,0,0,0
505,Don't know,0,0,0,0
506,None.,0,0,0,0
507,Overheating,0,0,0,0
508,I don't know.,0,0,0,0
509,It is because of the parallel connection.,0,0,0,0
510,It's overheating,0,0,0,0
511,It's because electricity is flowing.,0,0,0,0
512,I don't know.,0,0,0,0
513,Because the current is divided and cloudy,0,0,0,0
514,"It's connected in series, and all the power is consumed by the previous device",0,0,0,0
515,Because electronics have standby power,0,0,0,0
516,"""The current is different",0,0,0,0
517,"""",0,0,0,0
518,"It's not a direct current, it's used in parallel.",0,0,0,0
519,I don't know,0,0,0,0
520,I'm not sure,0,0,0,0
521,using alternating current,0,0,0,0
522,Because it is connected in parallel.,0,0,0,0
523,Air conditioning only,0,0,0,0
524,"This is because the octopus foot cord has a parallel structure in which current is connected, so even if the power of the air conditioner is cut off, power is not cut off for other electronic products.",0,0,0,0
525,"It is not that power was not supplied to the same outlet, but because the air conditioner was not supplied with power, the air conditioner was turned off, and electronic products connected to the same outlet were not turned off.",0,0,0,0
526,Because it's a parallel connection,0,0,0,0
527,It does not affect other products because it does not flow too much from the code but from the plug of the electronics,0,0,0,0
528,"Because electrical products are connected in parallel, even if one circuit is cut off, it does not turn off because current flows to the other circuit.",0,1,0,0
529,"This is because electricity does not work on only one electronic product, but acts in parallel with several electronic products.",0,0,0,0
530,"It was connected to the same outlet, but it was not connected in series and was connected in parallel, so it did not affect each other.",0,0,0,0
531,"Electronics are connected in parallel, so even if one electronics is disconnected due to excessive current flow, current flows in the other electronics.",0,1,0,0
532,I don't know,0,0,0,0
533,What's the difference between an air conditioner?,0,0,0,0
534,I don't know. Maybe the amount of power that the air conditioner turned off wasn't that much for other electronics.,0,0,0,0
535,Because it's connected in parallel,0,0,0,0
536,I don't know.,0,0,0,0
537,The air conditioner uses the most electrical current,0,0,0,0
538,Only that part is overloaded and the power is turned off,0,0,0,0
539,I don't know.,0,0,0,0
540,Because it is made up of series.,0,0,0,0
541,The AC turned off when the AC was on,0,0,0,0
542,The air conditioner used so much power that it was the only one that didn't turn on,0,0,0,0
543,I don't know.,0,0,0,0
544,"Because electricity was connected in parallel, only one electronic device turned off electricity",0,0,0,0
545,I'll change it,0,0,0,0
546,Parallel connection,1,0,0,0
547,It seems that other products can use high power.,0,0,0,0
548,It's in parallel,0,0,0,0
549,"Yes, ^___^",0,0,0,0
550,Each member has a different amount of current,0,0,0,0
551,Kkyu,0,0,0,0
552,M and D,0,0,0,0
553,Hall,0,0,0,0
554,I have no idea.,0,0,0,0
555,There's more electricity in the air conditioner than other products,0,0,0,0
556,Use a parallel method.,0,0,0,0
557,1,0,0,0,0
558,"The electricity supplied to the household is alternating current, so even if one side of the electricity is cut off, the current in the other side continues to flow",0,0,0,0
559,1,0,0,0,0
560,Kim Byung-ryul,0,0,0,0
561,"??;??;??;-a, ?Ï®àÏ∞º???,561.0,580",0,0,0,0
562,Circuit parallel is different,0,0,0,0
563,I have no idea.,0,0,0,0
564,It's connected separately,0,0,0,0
565,I don't know,0,0,0,0
566,I don't know.,0,0,0,0
567,I don't know.,0,0,0,0
568,This is because the components of electronics are connected in parallel.,0,0,0,0
569,Because it is connected in parallel.,0,0,0,0
570,I don't remember ??ùÏ∞æ?öÌòö??572.0,0,0,0,0
571,"The current was flowing in direct current and overloaded by the current connected to the air conditioner, so the air conditioner was turned off, while other electronic products worked well because the current was flowing normally",0,0,0,0
572,The air conditioner's wires are disconnected,0,0,0,0
573,"Turn off the air conditioner and try again. If not, call the electronics repair company",0,0,0,0
574,I don't know.,0,0,0,0
575,"It doesn't have to be one thing in parallel, it becomes another",0,0,0,0
576,I don't know.,0,0,0,0
577,TV and refrigerator are connected in parallel,0,0,0,0
578,Air conditioner and TV have different current,0,0,0,0
579,Only electronic devices that use the most electricity turn off,0,0,0,0
580,There's something wrong with the fridge,0,0,0,0
581,..,0,0,0,0
582,It's stuck in the socket too,0,0,0,0
583,...,0,0,0,0
584,.....,0,0,0,0
585,The air conditioner's wires are cut off,0,0,0,0
586,Only the air conditioner was turned off because of the parallel connection,0,0,0,0
587,Only the air conditioner was turned off because of the parallel connection,0,0,0,0
588,I don't know.,0,0,0,0
589,I don't know.,0,0,0,0
590,Because the wires using the air conditioner and the wires using the TV and refrigerator are different.,0,0,0,0
591,This is because the wires are connected separately.,0,0,0,0
592,I don't know.,0,0,0,0
593,The current flowing is connected to the TV and refrigerator,0,1,0,0
594,I'm turning it off,0,0,0,0
595,You should buy products that consume less electricity,0,0,0,0
596,"Yes, I got it",0,0,0,0
597,"""It's better to buy low-cost products",0,0,0,0
598,"""",0,0,0,0
599,Parallel connection,1,0,0,0
600,"Even if one path is blocked, electricity flows through the other path",0,0,0,0
601,I don't understand.,0,0,0,0
602,I used too much electricity,0,0,0,0
603,I don't know.,0,0,0,0
604,It's in parallel,0,0,0,0
605,I don't know.,0,0,0,0
606,Parallel connection/,1,0,0,0
607,Parallel connection,1,0,0,0
608,"Because it is connected in parallel, it is connected one by one, so even if one is turned off, the other does not turn off",0,0,0,0
609,"""It's a parallel connection, so even if the air conditioner is turned off, the TV and other electronics won't turn off",0,0,0,0
610,"""",0,0,0,0
611,It's connected to a different outlet,0,0,0,0
612,It's in parallel,0,0,0,0
613,"""1. Electricity flows, but only the air conditioner broke down due to overloading of the air conditioner, so other electronic products still have electricity.""",0,0,0,0
614,"2. Insert the outlet into the outlet hole properly, and if there is any electronic device that is not used, it must be removed",0,0,0,0
615,"""",0,0,0,0
616,"Because current flows from an outlet different from the outlet connected with the air conditioner, the outlet connected with the air conditioner does not flow, but the current flows from the other outlet.",0,1,0,0
617,"Too many electronics are plugged into the outlet, so the amount of power flowing through each product is weak.Among them, the air conditioner was turned off because it required more power than the amount of flowing power.",0,0,0,0
618,"Because they are not connected in series, but in separate ways.",0,0,0,0
619,Because it is connected to other energy unlike air conditioner,0,0,0,0
620,It is because of the parallel connection.,0,0,0,0
621,The air conditioner seems to have been stopped by the sensor operation of the air conditioner because of too much current,0,0,0,0
622,Toad,0,0,0,0
623,The roads are different,0,0,0,0
624,"The same electricity is connected, but different currents flow",0,0,0,0
625,I don't know.,0,0,0,0
626,The roads are different,0,0,0,0
627,This is because it is connected in a parallel structure that does not lead in one direction.,0,0,0,0
628,This is because it is connected in a parallel structure that does not lead in one direction,0,0,0,0
629,This is because it is connected to an alignment structure that does not lead in one direction.,0,0,0,0
630,"It's not connected in one direction, but it's connected in a military structure",0,0,0,0
631,Because they used parallel structures,0,0,0,0
632,Because it's connected in parallel,0,0,0,0
633,It's because it's connected in parallel,0,0,0,0
634,This is because it is connected to a wall structure that does not lead in one direction.,0,0,0,0
635,"Connected by alternating current, one disconnect does not cause another to disconnect",0,0,0,0
636,a parallel connection,0,0,0,0
637,"Oh, my.",0,0,0,0
638,I think it's because of the difference between direct current and exchange.,0,0,0,0
639,Let's use a manual-powered bicycle.,0,0,0,0
640,Because it was connected in parallel.,0,0,0,0
641,It's in parallel.,0,0,0,0
642,I don't know.,0,0,0,0
643,Because it is connected in parallel.,0,0,0,0
644,It's in parallel,0,0,0,0
645,This is because electronics are connected in parallel.,0,0,0,0
646,There's no joint responsibility for electrical furniture,0,0,0,0
647,This is because it is connected by a parallel connection.,0,0,0,0
648,I don't know.,0,0,0,0
649,Why! It is connected in parallel and does not affect each other.,0,0,0,0
650,"This is because electronics are generally connected by alternating current rather than direct current, and each electronics is supplied with electricity",0,0,0,0
651,This is because all electronics were connected in a separate series.,0,0,0,0
652,I don't know,0,0,0,0
653,It doesn't matter if one product is turned off because it is connected in parallel.,0,0,0,0
654,Connect in parallel,0,0,0,0
655,Because it's connected in parallel!,0,0,0,0
656,This is because all of the electricity connected to our home is connected in parallel at 220v.,0,0,0,0
657,It is not affected because it is connected in parallel.,0,0,0,0
658,I don't know. Why is that?,0,0,0,0
659,I don't know.,0,0,0,0
660,This is because electricity is installed in parallel structure.,0,0,0,0
661,This is because the electronics outlet connection is alternating current.,0,0,0,0
662,"Since it was a parallel connection, not a DC connection, one effect does not affect the other.",0,0,0,0
663,It's connected in parallel,0,0,0,0
664,"Because it is a parallel connection. In the case of serial connection, if the connection of the air conditioner is poor, the following electronic products are also affected, but in the case of parallel connection, the poor air conditioner and the connection status of other electronic products are not related. Therefore, it may be considered that the air conditioner and other electronic products are connected in parallel.",0,0,0,0
665,"Since electronic products in the home are connected in parallel, even if the connection to one wire is cut off, a closed circuit is configured due to the other wire, and thus a current flows.",0,1,0,0
666,I only use the air conditioner a lot,0,0,0,0
667,"If you plug it into the same cord a lot, the electricity usage will increase and it will turn off",0,0,0,0
668,Because electricity flows in other things,0,0,0,0
669,I'll put it somewhere else,0,0,0,0
670,I don't know.,0,0,0,0
671,Air conditioning is turned off only because the amount of air conditioning is different for each instrument,0,0,0,0
672,"Although the current of the air conditioner is cut off, other electronic circuits are connected safely and many of them are turned off",0,0,0,0
673,"If the electricity goes to 100, the TV goes to 50 and the refrigerator takes 50, the air conditioner goes to 0",0,0,0,0
674,I use too much electricity only for the air conditioner,0,0,0,0
675,I don't know.,0,0,0,0
676,I don't know.T,0,0,0,0
677,I don't know,0,0,0,0
678,I don't know.,0,0,0,0
679,I don't know,0,0,0,0
680,I only use the air conditioner a lot,0,0,0,0
681,I don't know.,0,0,0,0
682,Only things that are different from the ones that have electricity,0,0,0,0
683,"There's a stage of electricity, but if you go over that stage, the electricity will be cut off",0,0,0,0
684,??and ??686.0,0,0,0,0
685,"It's connected to the same cord, but the electricity flows separately",0,0,0,0
686,"""The electricity only flows to the air conditioner, so only the air conditioner cord goes too much.""",0,0,0,0
687,"Since there is a shock, there is no impact on other codes, so other products are not turned off.""",0,0,0,0
688,Because I used too much electricity,0,0,0,0
689,"The air conditioner was turned off because it was connected in parallel, but other products seem to have not been turned off.",0,0,0,0
690,"Electricity comes from power plants, passes through power towers, enters homes, and as we learned in science class, electricity is distributed separately, so even if the air conditioner is turned off, something else can be turned on",0,0,0,0
691,Why! It is connected in parallel and does not affect each other.,0,0,0,0
692,Because electronics are all connected in parallel,0,0,0,0
693,"Electronics are usually connected in parallel, so even if one power is cut off, there is no effect on the other.",0,0,0,0
694,"They are connected in parallel to prevent them from turning off altogether, which is weaker than the power series, but continues to flow to other places even if one place is cut off.",0,0,0,0
695,Because electronics are connected in parallel,0,0,0,0
696,"Because electronics were connected in parallel, other electronics did not turn off even though one electronics connected to the same code was turned off.",0,0,0,0
697,I don't know ??ùÏ∞æ?öÌòö??699.0,0,0,0,0
698,"When connecting electronic products, the resulting pre-products did not turn off because they were connected in parallel rather than in series.",0,0,0,0
699,"Each electronics is connected in parallel so that electricity can flow in the other direction even if one side is cut off, so other electronics can operate even if the air conditioner is turned off.",0,0,0,0
700,"This is because electronics are connected in parallel. When connected in series, current moves to one outlet, so other electronics will be turned off when air conditioners are connected to the outlet in parallel, but when connected in parallel, current flows separately, so other electronics will not be turned off even if the air conditioner is turned off.",0,1,0,0
701,"It flows in parallel, and even if one circuit is cut off, current flows.",0,1,0,0
702,The sensor in the air conditioner detects excessive power and turns off the power in the air conditioner before a major problem occurs,0,0,0,0
703,"Electricity is generated from the flow of electrons. However, electronic components in the home are connected in parallel. Therefore, even if one electronics is turned off to block the movement of electrons, electrons still flow to the other electronics, so the power is not turned off.",0,0,0,0
704,"Most of the appliances we use are connected in parallel. Unlike serial connections that connect multiple electronic products to one through one wire, each electronic product is connected through a different wire, so other electronic products are not greatly affected even if a problem occurs in one electronic product.",0,0,0,0
705,"This is because other electronics other than air conditioners were not used above the amount of electricity. Electronics are all connected to the same outlet, but it doesn't matter if the air conditioner uses too much power because the outlet carries the same current to each outlet hole.",0,0,0,0
706,"The method of connecting electronics is serial connection to one wire, and parallel connection to several paths. In a given situation, if the electronics are connected in parallel, there is no problem with the code connected by other electronics.",0,0,0,0
707,"Since it's connected in parallel,",0,0,0,0
708,-,0,0,0,0
709,"All the electronics used in everyday life are connected in parallel with the outlet. Therefore, the current supplied to all electronics is supplied to each of them, so even if the air conditioner grows, the other electronics do not turn off",0,0,0,0
710,"Electronics are connected in parallel so that if one device fails, all devices will not stop working. Therefore, the failure of the air conditioner does not stop the operation of other devices.",0,0,0,0
711,"This is because electronics are connected in parallel. Parallel connections are connected separately, and even if the current of one product is cut off, other products work as they are.",1,0,0,0
712,?,0,0,0,0
713,Well.,0,0,0,0
714,I don't know.,0,0,0,0
715,The AC consumes the most power,0,0,0,0
716,Only the air conditioner is overheating,0,0,0,0
717,Of course.,0,0,0,0
718,It's in parallel,0,0,0,0
719,Don't know,0,0,0,0
720,Scientists made it well,0,0,0,0
721,yes,0,0,0,0
722,The AC has more power than I need,0,0,0,0
723,??,0,0,0,0
724,This is because air conditioners have the highest energy consumption among home appliances.,0,0,0,0
725,There's a switch,0,0,0,0
726,.,0,0,0,0
727,Use a good multi-tab,0,0,0,0
728,"All outlets are connected in parallel, so they do not affect other outlets.",0,0,0,0
729,Yeah.,0,0,0,0
730,This is because the outlet is connected in series structure.,0,0,0,0
731,I don't know.,0,0,0,0
732,It's because we did it in parallel,0,0,0,0
733,Only FUSE is breaking up Everything else won't disconnect,0,0,0,0
734,in parallel,0,0,0,0
735,I don't understand.,0,0,0,0
736,Because it was connected in parallel.,0,0,0,0
737,I can't turn it off,0,0,0,0
738,Well...,0,0,0,0
739,This is because the limit voltage at which the fuse operates is different for each electronic product.,0,0,0,1
740,I don't know.,0,0,0,0
741,I think only the air conditioner turned off because I used more than the amount of electricity,0,0,0,0
742,M and D,0,0,0,0
743,"Yes, yes, yes",0,0,0,0
744,Mall,0,0,0,0
745,I don't understand.,0,0,0,0
746,I don't understand.,0,0,0,0
747,I don't know.,0,0,0,0
748,I don't know,0,0,0,0
749,M and D,0,0,0,0
750,I don't understand.,0,0,0,0
751,I don't understand.,0,0,0,0
752,I don't understand.,0,0,0,0
753,I don't understand.,0,0,0,0
754,M and D,0,0,0,0
755,I don't know. I don't know.I don't know. I don't know.I don't know. I don't know.I don't know. I don't know.I don't know. I don't know.I don't know. I don't know.I don't know. I don't know.I don't know. I don't know.I don't know. I don't know.I don't know. I don't know.I don't know. I don't know.I don't know. I don't know.I don't know. I don't know.I don't know. I don't know.I don't know. I don't know.,0,0,0,0
756,I don't know,0,0,0,0
757,I don't understand.,0,0,0,0
758,M and D,0,0,0,0
759,M and D,0,0,0,0
760,I don't know,0,0,0,0
761,I didn't pay the electricity bill,0,0,0,0
762,.,0,0,0,0
763,I don't understand.,0,0,0,0
764,reserve power,0,0,0,0
765,M and D,0,0,0,0
766,I don't know.,0,0,0,0
767,.,0,0,0,0
768,"The outlet is the role of supplying power and the overuse of power is the air conditioner, so the air conditioner is burdensome and the rest is fine. The rest is fine",0,0,0,0
769,The refrigerator absorbs the most electricity,0,0,0,0
770,This is because objects that are heavily electrically used are dynamically interrupted by current supply,0,0,0,0
771,This is because objects that use electricity heavily automatically interrupt the supply of electricity,0,0,0,0
772,This is because objects with heavy current use automatically lose their current supply.,0,0,0,0
773,This is because objects that use current heavily automatically stop supplying current.,0,0,0,0
774,"""The air conditioner is too weak to receive electricity",0,0,0,0
775,"Like other electronics, if you build up strength, the air conditioner will not turn off.""",0,0,0,0
776,I think it is similar to the reason why even my friends who run with me don't stop because they are tired while running,0,0,0,0
777,"""The air conditioner is too weak to receive electricity",0,0,0,0
778,"Like other electronics, if you build up strength, the air conditioner will not turn off.""",0,0,0,0
779,This is because objects that use current heavily automatically stop supplying current.,0,0,0,0
780,This is because the current supply is automatically cut off for objects that are heavily used.,0,0,0,0
781,"It is not all connected to one side like a serial connection, but it is divided and connected, so even if one side is turned off, there is no problem with the other.",0,0,0,0
782,"When a current above the limit flows, it cuts itself off, using a fuse, a safety device that cuts off the circuit, and a component of the circuit, to stop using over-used objects and electricity supply.",0,0,0,1
783,It's better to check that the wires connected to the power outlet are turned off,0,0,0,0
784,It is to use a fuse to prevent the use of electricity by an object that has an excessive supply of electricity,0,0,0,1
785,Use a fuse to stop the supply of electricity to an object that has an excessive supply of electricity.,0,0,0,1
786,The air conditioner itself is overloaded,0,0,0,0
787,Use a fuse to cut off an oversupply of electricity,0,0,0,1
788,Parallel connection,1,0,0,0
789,The electricity turns off automatically when you use a lot of electricity,0,0,0,0
790,Because it's connected in parallel,0,0,0,0
791,I don't know.,0,0,0,0
792,"""When replacing an outlet, insert a screw that secures the outlet to the wall, and if you insert a longer screw than necessary, you will be able to cover the electrical wire",0,0,0,0
793,,0,0,0,0
794,"You take it off, and you put an electric wire on the ground pole, and you put it on the ground pole like an air conditioner, and you put it on the ground",0,0,0,0
795,,0,0,0,0
796,"If you insert it, it will cause a short circuit and the breaker will go down",0,0,0,0
797,"Therefore, I think it's screwing into a long, replace the outlet after can be separated from the wall outlet because he touched the wire.",0,0,0,0
798,,0,0,0,0
799,Air conditioning in an outlet to breaker is used to check down.,0,0,0,0
800,,0,0,0,0
801,"And the skinned with downed power lines, connected to the outlet, check better. """,0,0,0,0
802,Parallel connection,1,0,0,0
803,Parallel connection,1,0,0,0
804,Parallel connection,1,0,0,0
805,Parallel distribution is connected to the current flow.,1,1,0,0
806,Because it was parallel connection,0,0,0,0
807,Because it is a parallel connection.,0,0,0,0
808,Don't you go off because the other one off cell.,0,0,0,0
809,"The power and (parallel) Conciliation. In other words, air conditioning can the rest of the original I haven't.",0,0,0,0
810,Parallel connection be used.,1,0,0,0
811,"Parallel connection, and blown fuse is in place in the air conditioning is switched off but one lamp for the rest.",1,0,0,1
812,"Electricity, for Connecting Method is different",0,0,0,0
813,In parallel to.,0,0,0,0
814,"If you connect it with a parallel connection, even if one is turned off, the other is alive.",0,0,0,0
815,There's electricity,0,0,0,0
816,How do I know?,0,0,0,0
817,It's a different current,0,0,0,0
818,The air conditioner uses too much energy,0,0,0,0
819,"It is because it is connected in series, and it can be connected in parallel. In parallel connections, even if one line is broken, electric current flows to another place, so other electronics can be used as it is.",0,1,0,0
820,It's because the cord is connected in parallel,0,0,0,0
821,"This is because it is connected to the parallel connection of the battery, so even if one line is broken, current flows in the other line.",0,1,0,0
822,This is because they connected home appliances in parallel.,0,0,0,0
823,Let's save electricity,0,0,0,0
824,Because the air conditioner is connected in series and the other electronics are connected in parallel,0,0,0,0
825,electricity,0,0,0,0
826,Because the outlets are parallel rather than serial,0,0,0,0
827,"""It's because the circuit in the air conditioner is broken.",0,0,0,0
828,"""",0,0,0,0
829,"Because of the parallel connection,",0,0,0,0
830,I don't know,0,0,0,0
831,I don't know!,0,0,0,0
832,Because I used electricity only for the air conditioner,0,0,0,0
833,I don't know.,0,0,0,0
834,Because it's connected in parallel,0,0,0,0
835,It's because the electric cord is flowing in parallel,0,0,0,0
836,The electronics are directly connected,0,0,0,0
837,Because it is a parallel connection.,0,0,0,0
838,Because it is connected in parallel.,0,0,0,0
839,It's a parallel connection,0,0,0,0
840,Because it is connected in parallel.,0,0,0,0
841,It's connected in parallel,0,0,0,0
842,"This is because electricity is connected in parallel, so only the current flowing in the air conditioner is abnormal.",0,1,0,0
843,"Air conditioners and other electronics are connected in parallel, so even if one is turned off, other electronics do not turn off.",0,0,0,0
844,Parallel connection,1,0,0,0
845,in parallel,0,0,0,0
846,be connected in parallel,0,0,0,0
847,I don't have a fuse,0,0,0,1
848,Because the current of the air conditioner is connected in parallel,0,0,0,0
849,Because it's connected in parallel,0,0,0,0
850,in a better world,0,0,0,0
851,The AC has a lot of electricity,0,0,0,0
852,have a lot of electricity bills,0,0,0,0
853,It's because we didn't connect it in series but in parallel,0,0,0,0
854,Because there was still electricity flowing,0,0,0,0
855,This is because the air conditioner itself cut off electricity.,0,0,0,0
856,I don't know.,0,0,0,0
857,Because it is connected in parallel.,0,0,0,0
858,Other electronics don't have electricity,0,0,0,0
859,I don't know.,0,0,0,0
860,an excessive amount of electricity,0,0,0,0
861,It's in parallel,0,0,0,0
862,"Electronics can catch fire if they overheat, so there is a system where the machine discharges them",0,0,0,0
863,I'm going to plug in the socket,0,0,0,0
864,in parallel,0,0,0,0
865,"It's connected, so of course it's all turned on. (Electricity is connected, of course) Yeah.That's what I'",0,0,0,0
866,?,0,0,0,0
867,"Because it is turned off or turned on depending on how the electronics are connected, other properly connected electronics are not turned off and air conditioners with excessive current are turned off.",0,0,0,0
868,It's because I didn't leave out the concept.,0,0,0,0
869,I don't know,0,0,0,0
870,That's how electricity works. Ask Einstein for details. Or the original answer is number 12 saved in the computer program,0,0,0,0
871,"If it's connected, it turns on and if it's not connected, it turns off",0,0,0,0
872,Connect to other poll logs,0,0,0,0
873,This is because electronics are connected in parallel.,0,0,0,0
874,Wall heat connection,0,0,0,0
875,electrically-alternating,0,0,0,0
876,I don't know.,0,0,0,0
877,I doubt it.,0,0,0,0
878,Because it is connected in parallel.,0,0,0,0
879,This is because the code is constantly flowing.,0,0,0,0
880,Because it's connected in parallel,0,0,0,0
881,I don't know,0,0,0,0
882,"Since the electricity is connected separately,",0,0,0,0
883,It is because it is connected in parallel.,0,0,0,0
884,.,0,0,0,0
885,I don't know,0,0,0,0
886,I don't know.,0,0,0,0
887,It's annoying.,0,0,0,0
888,Because it has octopus feet,0,0,0,0
889,I don't know,0,0,0,0
890,with money on one's hands,0,0,0,0
891,Because we're connected,0,0,0,0
892,It's connected in parallel,0,0,0,0
893,"It's all connected separately, so only the air conditioner is turned off",0,0,0,0
894,It's connected in parallel,0,0,0,0
895,d,0,0,0,0
