Column1,word,type,v1,v2,v3,유의어,v4,v5,반의어,v6,동의어
113,labilize,VB,"  불안정하게 하다 , 화학 변화를 일으키기 쉽게 하다.  ","불안정하게 하다 , 화학 변화를 일으키기 쉽게 하다.  ","불안정하게 하다 , 화학 변화를 일으키기 쉽게 하다.  ",,"불안정하게 하다 , 화학 변화를 일으키기 쉽게 하다.  ","불안정하게 하다 , 화학 변화를 일으키기 쉽게 하다.",,"불안정하게 하다 , 화학 변화를 일으키기 쉽게 하다.",NaN
114,laconize,VB,"  말을 많이 하지 않는, 할 말만 하는  ","말을 많이 하지 않는, 할 말만 하는  ","말을 많이 하지 않는, 할 말만 하는  ",,"말을 많이 하지 않는, 할 말만 하는  ","말을 많이 하지 않는, 할 말만 하는",,"말을 많이 하지 않는, 할 말만 하는",NaN
115,lactonize,VB,  락톤(lactone)화하다.  ,락톤(lactone)화하다.  ,락톤(lactone)화하다.  ,,락톤(lactone)화하다.  ,락톤화하다.,,락톤화하다.,NaN
116,laparotomize,VB,[의학]  개복 수술을 하다.  ,  개복 수술을 하다,  개복 수술을 하다,,  개복 수술을 하다,개복 수술을 하다,,개복 수술을 하다,NaN
117,legalize,VB,  합법화하다  ,합법화하다  ,합법화하다  ,,합법화하다  ,합법화하다,disallow,합법화하다,authorize
118,liberalize,VB,  (법률·정치·종교적 시스템을) 완화하다  ,(법률·정치·종교적 시스템을) 완화하다  ,(법률·정치·종교적 시스템을) 완화하다  ,,(법률·정치·종교적 시스템을) 완화하다  , 완화하다,, 완화하다,NaN
119,machinize,VB,  기계화하다 (=automate)  ,기계화하다 (=automate)  ,기계화하다 (=automate)  ,,기계화하다 (=automate)  ,기계화하다 ,,기계화하다 ,NaN
120,magnetize,VB,[전문 용어]  (철을) 자화(磁化)하다      2.    ,  (철을) 자화(磁化)하다      2,  (철을) 자화(磁化)하다      2,,  (철을) 자화(磁化)하다      2,하다 2,repel,하다 2,attract
121,manorialize,VB,"  (토지를) 장원 제도하에 두다, 장원[체제]에 편입하다 (bring under manorialism).  ",Longer,Longer,,Longer,Longer,,Longer,NaN
122,mechanize,VB,  기계화하다 (=automate)  ,기계화하다 (=automate)  ,기계화하다 (=automate)  ,,기계화하다 (=automate)  ,기계화하다 ,,기계화하다 ,motorize
123,memorize,VB,  암기하다  ,암기하다  ,암기하다  ,,암기하다  ,암기하다,forget,암기하다,know
124,mentalize,VB,  (정신적인 요인을 이해하고 활용함으로써) 마음을 가다듬다  ,(정신적인 요인을 이해하고 활용함으로써) 마음을 가다듬다  ,(정신적인 요인을 이해하고 활용함으로써) 마음을 가다듬다  ,,(정신적인 요인을 이해하고 활용함으로써) 마음을 가다듬다  , 마음을 가다듬다,, 마음을 가다듬다,NaN
125,mercerize,VB,  머서리화 가공을 하다(면사·면직물을 더 강하고 광택이 나게 처리하는 것)  ,머서리화 가공을 하다(면사·면직물을 더 강하고 광택이 나게 처리하는 것)  ,머서리화 가공을 하다(면사·면직물을 더 강하고 광택이 나게 처리하는 것)  ,,머서리화 가공을 하다(면사·면직물을 더 강하고 광택이 나게 처리하는 것)  ,머서리화 가공을 하다,,머서리화 가공을 하다,NaN
126,mesmerize,VB,"  최면을 걸듯 마음을 사로잡다, 완전 넋을 빼놓다 (=fascinate)  ","최면을 걸듯 마음을 사로잡다, 완전 넋을 빼놓다 (=fascinate)  ","최면을 걸듯 마음을 사로잡다, 완전 넋을 빼놓다 (=fascinate)  ",,"최면을 걸듯 마음을 사로잡다, 완전 넋을 빼놓다 (=fascinate)  ","최면을 걸듯 마음을 사로잡다, 완전 넋을 빼놓다 ",tire,"최면을 걸듯 마음을 사로잡다, 완전 넋을 빼놓다 ",fascinate
127,mistake,VB,"  오해[오인]하다, 잘못 판단하다 (=misconstrue)  ","오해[오인]하다, 잘못 판단하다 (=misconstrue)  ","오해[오인]하다, 잘못 판단하다 (=misconstrue)  ",,"오해[오인]하다, 잘못 판단하다 (=misconstrue)  ","오해하다, 잘못 판단하다 ",correction,"오해하다, 잘못 판단하다 ",blunder
128,morphinize,VB,  …에 모르핀을 주사[투여]하다.  ,…에 모르핀을 주사[투여]하다.  ,…에 모르핀을 주사[투여]하다.  ,,…에 모르핀을 주사[투여]하다.  ,…에 모르핀을 주사하다.,,…에 모르핀을 주사하다.,NaN
129,morselize,VB,  작게 나누다  ,작게 나누다  ,작게 나누다  ,,작게 나누다  ,작게 나누다,,작게 나누다,NaN
130,museumize,VB,  박물관에 두다  ,박물관에 두다  ,박물관에 두다  ,,박물관에 두다  ,박물관에 두다,,박물관에 두다,NaN
131,narcose,VB,  혼수[지각 마비] 상태의  ,혼수[지각 마비] 상태의  ,혼수[지각 마비] 상태의  ,,혼수[지각 마비] 상태의  ,혼수 상태의,,혼수 상태의,NaN
132,nut,VB,"[英 비격식]  (머리로) 들이받다, 박치기를 하다  ","  (머리로) 들이받다, 박치기를 하다  ","  (머리로) 들이받다, 박치기를 하다  ",,"  (머리로) 들이받다, 박치기를 하다  "," 들이받다, 박치기를 하다",," 들이받다, 박치기를 하다",achene
133,oddish,VB,  좀 괴상한(queerish)  ,좀 괴상한(queerish)  ,좀 괴상한(queerish)  ,,좀 괴상한(queerish)  ,좀 괴상한,,좀 괴상한,NaN
134,ogreish,VB,  귀신과 같은. (또는 ?grish) ~·ly  ,귀신과 같은. (또는 ?grish) ~·ly  ,귀신과 같은. (또는 ?grish) ~·ly  ,,귀신과 같은. (또는 ?grish) ~·ly  ,귀신과 같은.  ~·ly,,귀신과 같은.  ~·ly,beastly
135,optimize,VB,  …을 최대한 좋게[적합하게] 만들다[활용하다]  ,…을 최대한 좋게[적합하게] 만들다[활용하다]  ,…을 최대한 좋게[적합하게] 만들다[활용하다]  ,,…을 최대한 좋게[적합하게] 만들다[활용하다]  ,…을 최대한 좋게,worsen,…을 최대한 좋게,amend
136,oratorlike,VB,"  연설자 같은, 웅변가 같은.  ","연설자 같은, 웅변가 같은.  ","연설자 같은, 웅변가 같은.  ",,"연설자 같은, 웅변가 같은.  ","연설자 같은, 웅변가 같은.",,"연설자 같은, 웅변가 같은.",NaN
137,outspell,VB,  …보다 더 많이 팔다[팔리다]  ,…보다 더 많이 팔다[팔리다]  ,…보다 더 많이 팔다[팔리다]  ,,…보다 더 많이 팔다[팔리다]  ,…보다 더 많이 팔다,,…보다 더 많이 팔다,NaN
138,overseen,VB,"oversee(관장하다, 감독하다)의 과거분사형  ","oversee(관장하다, 감독하다)의 과거분사형  ","oversee(관장하다, 감독하다)의 과거분사형  ",,"oversee(관장하다, 감독하다)의 과거분사형  ",oversee의 과거분사형,capricious,oversee의 과거분사형,commanded
139,owllike,VB,  올빼미 같은.  ,올빼미 같은.  ,올빼미 같은.  ,,올빼미 같은.  ,올빼미 같은.,,올빼미 같은.,NaN
140,palatalize,VB,[음성]  구개음화하다  ,  구개음화하다  ,  구개음화하다  ,,  구개음화하다  ,구개음화하다,,구개음화하다,NaN
141,pancreatectomize,VB,[의학]  췌장을 절제하다.  ,  췌장을 절제하다,  췌장을 절제하다,,  췌장을 절제하다,췌장을 절제하다,,췌장을 절제하다,NaN
142,pancreatize,VB,  췌장의  ,췌장의  ,췌장의  ,,췌장의  ,췌장의,,췌장의,NaN
143,parathyroidectomize,VB,[의학]  부갑상선(parathyroid gland)을 적출하다.  ,  부갑상선(parathyroid gland)을 적출하다,  부갑상선(parathyroid gland)을 적출하다,,  부갑상선(parathyroid gland)을 적출하다,부갑상선을 적출하다,,부갑상선을 적출하다,NaN
144,partialize,VB,"  부분에 구애되다, 전체를 보지 않다.  ","부분에 구애되다, 전체를 보지 않다.  ","부분에 구애되다, 전체를 보지 않다.  ",,"부분에 구애되다, 전체를 보지 않다.  ","부분에 구애되다, 전체를 보지 않다.",,"부분에 구애되다, 전체를 보지 않다.",NaN
145,participialize,VB,  (낱말을) 분사형으로 하다.  ,(낱말을) 분사형으로 하다.  ,(낱말을) 분사형으로 하다.  ,,(낱말을) 분사형으로 하다.  , 분사형으로 하다.,, 분사형으로 하다.,NaN
146,particularize,VB,"[격식]  (특히 하나하나를) 자세히 다루다, 특별한 예를 들다  ","  (특히 하나하나를) 자세히 다루다, 특별한 예를 들다  ","  (특히 하나하나를) 자세히 다루다, 특별한 예를 들다  ",,"  (특히 하나하나를) 자세히 다루다, 특별한 예를 들다  "," 자세히 다루다, 특별한 예를 들다",break off," 자세히 다루다, 특별한 예를 들다",arrange
147,pasteurize,VB,  (특히 우유를) 저온 살균하다  ,(특히 우유를) 저온 살균하다  ,(특히 우유를) 저온 살균하다  ,,(특히 우유를) 저온 살균하다  , 저온 살균하다,aid, 저온 살균하다,neuter
148,patronize,VB,"[못마땅함]  (윗사람 행세를 하며) 가르치려 들다, 깔보는 듯한 태도로 대하다, 아랫사람 대하듯 하다      2.    ",Longer,Longer,,Longer,Longer,antagonize,Longer,snub
149,pegmatize,VB, to pegmatize,to pegmatize,to pegmatize,,to pegmatize,to pegmatize,,to pegmatize,NaN
150,pelorize,VB,[식물]  …에 펠로리아를 일으키게 하다.  ,  …에 펠로리아를 일으키게 하다,  …에 펠로리아를 일으키게 하다,,  …에 펠로리아를 일으키게 하다,…에 펠로리아를 일으키게 하다,,…에 펠로리아를 일으키게 하다,NaN
151,pemmicanize,VB,  (쇠고기를 말린 후 과실과 지방을 섞어 빵처럼 굳힌) 페미컨으로 만들다  ,(쇠고기를 말린 후 과실과 지방을 섞어 빵처럼 굳힌) 페미컨으로 만들다  ,(쇠고기를 말린 후 과실과 지방을 섞어 빵처럼 굳힌) 페미컨으로 만들다  ,,(쇠고기를 말린 후 과실과 지방을 섞어 빵처럼 굳힌) 페미컨으로 만들다  , 페미컨으로 만들다,, 페미컨으로 만들다,NaN
152,pen,VB,[격식]  (글 등을) 쓰다      4.    ,  (글 등을) 쓰다      4,  (글 등을) 쓰다      4,,  (글 등을) 쓰다      4, 쓰다 4,pencil, 쓰다 4,coop
153,philosophize,VB,  (특히 다른 사람들이 지루해 하는데) 심각하게[철학적인] 이야기를 하다  ,(특히 다른 사람들이 지루해 하는데) 심각하게[철학적인] 이야기를 하다  ,(특히 다른 사람들이 지루해 하는데) 심각하게[철학적인] 이야기를 하다  ,,(특히 다른 사람들이 지루해 하는데) 심각하게[철학적인] 이야기를 하다  , 심각하게 이야기를 하다,forget, 심각하게 이야기를 하다,deliberate
154,photosynthesize,VB,[생물]  광합성하다  ,  광합성하다  ,  광합성하다  ,,  광합성하다  ,광합성하다,,광합성하다,NaN
155,plagiarize,VB,[못마땅함]  표절하다  ,  표절하다  ,  표절하다  ,,  표절하다  ,표절하다,,표절하다,appropriate
156,plasticize,VB,[전문 용어]  가소성을 부여하다  ,  가소성을 부여하다  ,  가소성을 부여하다  ,,  가소성을 부여하다  ,가소성을 부여하다,,가소성을 부여하다,NaN
157,plunk,VB,[美]  (=plonk)      2.    ,  (=plonk)      2,  (=plonk)      2,,  (=plonk)      2, 2,, 2,drop
158,pluralize,VB,  (단어를) 복수로 만들다  ,(단어를) 복수로 만들다  ,(단어를) 복수로 만들다  ,,(단어를) 복수로 만들다  , 복수로 만들다,, 복수로 만들다,NaN
159,politicalize,VB,  (=POLITICIZE)  ,(=POLITICIZE)  ,(=POLITICIZE)  ,,(=POLITICIZE)  ,,,,NaN
160,pollinize,VB,  (=pollinate)  ,(=pollinate)  ,(=pollinate)  ,,(=pollinate)  ,,,,NaN
161,polychromatize,VB,"  다색(多色)의, [물리] 에너지 또는 파장이 단일하지 않은 빛[방사선]의  ","다색(多色)의, [물리] 에너지 또는 파장이 단일하지 않은 빛[방사선]의  ","다색(多色)의, [물리] 에너지 또는 파장이 단일하지 않은 빛[방사선]의  ",,"다색(多色)의, [물리] 에너지 또는 파장이 단일하지 않은 빛[방사선]의  ","다색의, 의",,"다색의, 의",NaN
162,precheck,VB,  미리 점검하다[대조 확인하다].      2.    [명사]  사전 점검[대조 확인].  ,미리 점검하다[대조 확인하다].      2.    [명사]  사전 점검[대조 확인].  ,미리 점검하다[대조 확인하다].      2.    [명사]  사전 점검[대조 확인].  ,,미리 점검하다[대조 확인하다].      2.    [명사]  사전 점검[대조 확인].  ,미리 점검하다.,,미리 점검하다.,NaN
163,premillennialize,VB,  전천년(前千年) 왕국설(王國說)을 신봉하다.  ,전천년(前千年) 왕국설(王國說)을 신봉하다.  ,전천년(前千年) 왕국설(王國說)을 신봉하다.  ,,전천년(前千年) 왕국설(王國說)을 신봉하다.  ,전천년을 신봉하다.,,전천년을 신봉하다.,NaN
164,preorganize,VB,  재조직[재편성]하다  ,재조직[재편성]하다  ,재조직[재편성]하다  ,,재조직[재편성]하다  ,재조직하다,,재조직하다,NaN
165,pressurize,VB,"[英]  압박감을 주다, 압력을 가하다      2.    ","  압박감을 주다, 압력을 가하다      2","  압박감을 주다, 압력을 가하다      2",,"  압박감을 주다, 압력을 가하다      2","압박감을 주다, 압력을 가하다 2",encourage,"압박감을 주다, 압력을 가하다 2",bully
166,professionalize,VB,  (활동 분야를) 프로로 만들다  ,(활동 분야를) 프로로 만들다  ,(활동 분야를) 프로로 만들다  ,,(활동 분야를) 프로로 만들다  , 프로로 만들다,, 프로로 만들다,NaN
167,pulverize,VB,"[격식]  가루로 만들다, 분쇄하다      2.    ","  가루로 만들다, 분쇄하다      2","  가루로 만들다, 분쇄하다      2",,"  가루로 만들다, 분쇄하다      2","가루로 만들다, 분쇄하다 2",surrender,"가루로 만들다, 분쇄하다 2",abrade
168,quantify,VB,"  양을 나타내다, 수량화하다  ","양을 나타내다, 수량화하다  ","양을 나타내다, 수량화하다  ",,"양을 나타내다, 수량화하다  ","양을 나타내다, 수량화하다",estimate,"양을 나타내다, 수량화하다",assess
169,racemize,VB,  라세미화하다.  ,라세미화하다.  ,라세미화하다.  ,,라세미화하다.  ,라세미화하다.,,라세미화하다.,NaN
170,racialize,VB,"  인종화 하다((인종에 따라 분류, 소외, 차별하다))  ","인종화 하다((인종에 따라 분류, 소외, 차별하다))  ","인종화 하다((인종에 따라 분류, 소외, 차별하다))  ",,"인종화 하다((인종에 따라 분류, 소외, 차별하다))  ",인종화 하다,,인종화 하다,NaN
171,radicalize,VB,  급진적이 되게[과격하게] 만들다  ,급진적이 되게[과격하게] 만들다  ,급진적이 되게[과격하게] 만들다  ,,급진적이 되게[과격하게] 만들다  ,급진적이 되게 만들다,,급진적이 되게 만들다,NaN
172,rasgado,VB,(발코니나 창문이) 크게 활짝 열려 햇빛이 많이 들어온[양성명사](=rasg?n),(발코니나 창문이) 크게 활짝 열려 햇빛이 많이 들어온[양성명사](=rasg?n),(발코니나 창문이) 크게 활짝 열려 햇빛이 많이 들어온[양성명사](=rasg?n),,(발코니나 창문이) 크게 활짝 열려 햇빛이 많이 들어온[양성명사](=rasg?n),,,,NaN
173,ratify,VB,  비준[재가]하다  ,비준[재가]하다  ,비준[재가]하다  ,,비준[재가]하다  ,비준하다,destroy,비준하다,confirm
174,readvertise,VB,  (특히 일자리를) 재광고[공고]하다  ,(특히 일자리를) 재광고[공고]하다  ,(특히 일자리를) 재광고[공고]하다  ,,(특히 일자리를) 재광고[공고]하다  , 재광고하다,, 재광고하다,NaN
175,rebarbarize,VB,  …을 야만 상태로 되돌아가게 하다.  ,…을 야만 상태로 되돌아가게 하다.  ,…을 야만 상태로 되돌아가게 하다.  ,,…을 야만 상태로 되돌아가게 하다.  ,…을 야만 상태로 되돌아가게 하다.,,…을 야만 상태로 되돌아가게 하다.,NaN
176,recarburize,VB,"[금속]  가탄(加炭)하다: 평로(平爐) 따위에서, 탄소량을 늘리기 위하여 무쇠(pig iron)를 추가하다.  ","  가탄(加炭)하다: 평로(平爐) 따위에서, 탄소량을 늘리기 위하여 무쇠(pig iron)를 추가하다","  가탄(加炭)하다: 평로(平爐) 따위에서, 탄소량을 늘리기 위하여 무쇠(pig iron)를 추가하다",,"  가탄(加炭)하다: 평로(平爐) 따위에서, 탄소량을 늘리기 위하여 무쇠(pig iron)를 추가하다",가탄를 추가하다,,가탄를 추가하다,NaN
177,recentralize,VB,  (중앙 정부의 권력을) 분권화하다 (↔centralize)  ,(중앙 정부의 권력을) 분권화하다 (↔centralize)  ,(중앙 정부의 권력을) 분권화하다 (↔centralize)  ,,(중앙 정부의 권력을) 분권화하다 (↔centralize)  ,,,,NaN
178,reciprocalize,VB,[수학]  역수를 찾다  ,  역수를 찾다  ,  역수를 찾다  ,,  역수를 찾다  ,역수를 찾다,,역수를 찾다,NaN
179,reclassify,VB,  재분류하다  ,재분류하다  ,재분류하다  ,,재분류하다  ,재분류하다,,재분류하다,NaN
180,recriticize,VB,"  다시 비난하다, 재비난하다  ","다시 비난하다, 재비난하다  ","다시 비난하다, 재비난하다  ",,"다시 비난하다, 재비난하다  ","다시 비난하다, 재비난하다",,"다시 비난하다, 재비난하다",NaN
181,rectify,VB,[격식]  (잘못된 것을) 바로잡다 (=correct)  ,  (잘못된 것을) 바로잡다 (=correct)  ,  (잘못된 것을) 바로잡다 (=correct)  ,,  (잘못된 것을) 바로잡다 (=correct)  ,,harm,,fix
182,redraw,VB,  (국경·지역 경계·계획 등을) 변경[수정]하다  ,(국경·지역 경계·계획 등을) 변경[수정]하다  ,(국경·지역 경계·계획 등을) 변경[수정]하다  ,,(국경·지역 경계·계획 등을) 변경[수정]하다  , 변경하다,harm, 변경하다,amend
183,regrind,VB,"  다시 갈다, 다시 분쇄하다  ","다시 갈다, 다시 분쇄하다  ","다시 갈다, 다시 분쇄하다  ",,"다시 갈다, 다시 분쇄하다  ","다시 갈다, 다시 분쇄하다",,"다시 갈다, 다시 분쇄하다",NaN
184,regularize,VB,  합법화[규칙화]하다  ,합법화[규칙화]하다  ,합법화[규칙화]하다  ,,합법화[규칙화]하다  ,합법화하다,assist,합법화하다,even up
185,rejuvenize,VB,  (=REJUVENATE)  ,(=REJUVENATE)  ,(=REJUVENATE)  ,,(=REJUVENATE)  ,,,,NaN
186,remend,VB,  (재판 대상자를 추후 재판 때까지) 방면하다      2.    [명사]  (재판 진행 중의) 구금  ,(재판 대상자를 추후 재판 때까지) 방면하다      2.    [명사]  (재판 진행 중의) 구금  ,(재판 대상자를 추후 재판 때까지) 방면하다      2.    [명사]  (재판 진행 중의) 구금  ,,(재판 대상자를 추후 재판 때까지) 방면하다      2.    [명사]  (재판 진행 중의) 구금  , 구금,, 구금,NaN
187,reorganize,VB,  재조직[재편성]하다  ,재조직[재편성]하다  ,재조직[재편성]하다  ,,재조직[재편성]하다  ,재조직하다,,재조직하다,reshuffle
188,repave,VB,  다시 포장하다.  ,다시 포장하다.  ,다시 포장하다.  ,,다시 포장하다.  ,다시 포장하다.,,다시 포장하다.,NaN
189,replenish,VB,"[격식]  (원래처럼) 다시 채우다, 보충하다 (=top up)  ","  (원래처럼) 다시 채우다, 보충하다 (=top up)  ","  (원래처럼) 다시 채우다, 보충하다 (=top up)  ",,"  (원래처럼) 다시 채우다, 보충하다 (=top up)  ",,deplete,,refresh
190,reprove,VB,"[격식]  나무라다, 꾸짖다, 책망하다 (=rebuke)  ","  나무라다, 꾸짖다, 책망하다 (=rebuke)  ","  나무라다, 꾸짖다, 책망하다 (=rebuke)  ",,"  나무라다, 꾸짖다, 책망하다 (=rebuke)  ","나무라다, 꾸짖다, 책망하다 ",compliment,"나무라다, 꾸짖다, 책망하다 ",berate
191,resize,VB,  (특히 컴퓨터 이미지로) 치수[크기]를 조절하다  ,(특히 컴퓨터 이미지로) 치수[크기]를 조절하다  ,(특히 컴퓨터 이미지로) 치수[크기]를 조절하다  ,,(특히 컴퓨터 이미지로) 치수[크기]를 조절하다  , 치수를 조절하다,, 치수를 조절하다,NaN
192,resource,VB,  자원[재원]을 제공하다  ,자원[재원]을 제공하다  ,자원[재원]을 제공하다  ,,자원[재원]을 제공하다  ,자원을 제공하다,inability,자원을 제공하다,capability
193,reunify,VB,  재통합[재통일]하다  ,재통합[재통일]하다  ,재통합[재통일]하다  ,,재통합[재통일]하다  ,재통합하다,go separate ways,재통합하다,reconcile
194,revaporize,VB,  다시 증발시키다  ,다시 증발시키다  ,다시 증발시키다  ,,다시 증발시키다  ,다시 증발시키다,,다시 증발시키다,NaN
195,revitalize,VB,"  새로운 활력을 주다, 재활성화시키다  ","새로운 활력을 주다, 재활성화시키다  ","새로운 활력을 주다, 재활성화시키다  ",,"새로운 활력을 주다, 재활성화시키다  ","새로운 활력을 주다, 재활성화시키다",damage,"새로운 활력을 주다, 재활성화시키다",modernize
196,revolutionize,VB,  대변혁[혁신]을 일으키다  ,대변혁[혁신]을 일으키다  ,대변혁[혁신]을 일으키다  ,,대변혁[혁신]을 일으키다  ,대변혁을 일으키다,,대변혁을 일으키다,recast
197,riblike,VB,  갈빗대 같은.  ,갈빗대 같은.  ,갈빗대 같은.  ,,갈빗대 같은.  ,갈빗대 같은.,,갈빗대 같은.,NaN
198,ripply,VB,"  잔물결이 이는, 파문이 있는, 찰랑찰랑 하는  ","잔물결이 이는, 파문이 있는, 찰랑찰랑 하는  ","잔물결이 이는, 파문이 있는, 찰랑찰랑 하는  ",,"잔물결이 이는, 파문이 있는, 찰랑찰랑 하는  ","잔물결이 이는, 파문이 있는, 찰랑찰랑 하는",level,"잔물결이 이는, 파문이 있는, 찰랑찰랑 하는",uneven
199,ritualize,VB,[격식]  의례적으로 하다  ,  의례적으로 하다  ,  의례적으로 하다  ,,  의례적으로 하다  ,의례적으로 하다,denounce,의례적으로 하다,laud
200,riverlike,VB,  강 모양의.  ,강 모양의.  ,강 모양의.  ,,강 모양의.  ,강 모양의.,,강 모양의.,NaN
201,roar,VB,"  (큰 짐승 등이) 으르렁거리다[포효하다], (크고 깊은 소리로) 울리다[웅웅거리다]      2.    ",Longer,Longer,,Longer,Longer,silence,Longer,blast
202,rocklike,VB,"  바위와[돌과] 같은, 바위 모양의.  ","바위와[돌과] 같은, 바위 모양의.  ","바위와[돌과] 같은, 바위 모양의.  ",,"바위와[돌과] 같은, 바위 모양의.  ","바위와 같은, 바위 모양의.",undependable,"바위와 같은, 바위 모양의.",staunch
203,romanticize,VB,  (실제보다 더) 낭만적으로[근사하게] 묘사하다[만들다]  ,(실제보다 더) 낭만적으로[근사하게] 묘사하다[만들다]  ,(실제보다 더) 낭만적으로[근사하게] 묘사하다[만들다]  ,,(실제보다 더) 낭만적으로[근사하게] 묘사하다[만들다]  , 낭만적으로,, 낭만적으로,idealize
204,rooflike,VB,  지붕 같은.  ,지붕 같은.  ,지붕 같은.  ,,지붕 같은.  ,지붕 같은.,,지붕 같은.,NaN
205,rootlike,VB,  뿌리 같은.  ,뿌리 같은.  ,뿌리 같은.  ,,뿌리 같은.  ,뿌리 같은.,,뿌리 같은.,NaN
206,roselike,VB,  장미 같은.  ,장미 같은.  ,장미 같은.  ,,장미 같은.  ,장미 같은.,,장미 같은.,NaN
207,rove,VB,[격식]  방랑하다 (=roam)      2.    ,  방랑하다 (=roam)      2,  방랑하다 (=roam)      2,,  방랑하다 (=roam)      2,방랑하다  2,,방랑하다  2,gad
208,runiform,VB,"  획일적인, 균일한, 한결같은  ","획일적인, 균일한, 한결같은  ","획일적인, 균일한, 한결같은  ",,"획일적인, 균일한, 한결같은  ","획일적인, 균일한, 한결같은",,"획일적인, 균일한, 한결같은",NaN
209,satanize,VB,  극악 무도하게 만들다.  ,극악 무도하게 만들다.  ,극악 무도하게 만들다.  ,,극악 무도하게 만들다.  ,극악 무도하게 만들다.,,극악 무도하게 만들다.,NaN
210,saussuritize,VB, to saussuritize,to saussuritize,to saussuritize,,to saussuritize,to saussuritize,,to saussuritize,NaN
211,scandalize,VB,  (충격적인 행동으로) 분개하게 만들다 (=outrage)  ,(충격적인 행동으로) 분개하게 만들다 (=outrage)  ,(충격적인 행동으로) 분개하게 만들다 (=outrage)  ,,(충격적인 행동으로) 분개하게 만들다 (=outrage)  ,,praise,,offend
212,schematize,VB,[전문 용어]  도식화하다  ,  도식화하다  ,  도식화하다  ,,  도식화하다  ,도식화하다,destroy,도식화하다,array
213,scrutinize,VB,"  세심히 살피다, 면밀히 조사[검토]하다  ","세심히 살피다, 면밀히 조사[검토]하다  ","세심히 살피다, 면밀히 조사[검토]하다  ",,"세심히 살피다, 면밀히 조사[검토]하다  ","세심히 살피다, 면밀히 조사하다",ignore,"세심히 살피다, 면밀히 조사하다",check
214,secularize,VB,  세속화하다  ,세속화하다  ,세속화하다  ,,세속화하다  ,세속화하다,,세속화하다,NaN
215,sentimentalize,VB,[못마땅함]  감상적으로 다루다  ,  감상적으로 다루다  ,  감상적으로 다루다  ,,  감상적으로 다루다  ,감상적으로 다루다,,감상적으로 다루다,idealize
216,serialize,VB,"  연속극[시리즈]으로 방송하다, 연재하다  ","연속극[시리즈]으로 방송하다, 연재하다  ","연속극[시리즈]으로 방송하다, 연재하다  ",,"연속극[시리즈]으로 방송하다, 연재하다  ","연속극으로 방송하다, 연재하다",,"연속극으로 방송하다, 연재하다",NaN
217,serpentinize,VB,[광물]  (광석·암석을) 사문암화(蛇紋岩化)하다.  ,  (광석·암석을) 사문암화(蛇紋岩化)하다,  (광석·암석을) 사문암화(蛇紋岩化)하다,,  (광석·암석을) 사문암화(蛇紋岩化)하다,하다,,하다,NaN
218,sexualize,VB,  성적 매력[특색]을 부여하다  ,성적 매력[특색]을 부여하다  ,성적 매력[특색]을 부여하다  ,,성적 매력[특색]을 부여하다  ,성적 매력을 부여하다,,성적 매력을 부여하다,NaN
219,shrublike,VB,  관목 같은.  ,관목 같은.  ,관목 같은.  ,,관목 같은.  ,관목 같은.,,관목 같은.,NaN
220,simplify,VB,"  간소화[단순화]하다, 간단[평이]하게 하다  ","간소화[단순화]하다, 간단[평이]하게 하다  ","간소화[단순화]하다, 간단[평이]하게 하다  ",,"간소화[단순화]하다, 간단[평이]하게 하다  ",간소화하게 하다,increase,간소화하게 하다,cut down
221,sleevelike,VB,"  (옷) 소매 같은, 소맷자락 모양의.  ","(옷) 소매 같은, 소맷자락 모양의.  ","(옷) 소매 같은, 소맷자락 모양의.  ",,"(옷) 소매 같은, 소맷자락 모양의.  "," 소매 같은, 소맷자락 모양의.",," 소매 같은, 소맷자락 모양의.",NaN
222,specialize,VB,  (~을) 전공하다[전문적으로 다루다]  ,(~을) 전공하다[전문적으로 다루다]  ,(~을) 전공하다[전문적으로 다루다]  ,,(~을) 전공하다[전문적으로 다루다]  , 전공하다,broaden, 전공하다,practice
223,spermatize,VB,"  정액(精液)의, 고환의, 생식의  ","정액(精液)의, 고환의, 생식의  ","정액(精液)의, 고환의, 생식의  ",,"정액(精液)의, 고환의, 생식의  ","정액의, 고환의, 생식의",,"정액의, 고환의, 생식의",inseminate
224,spikelike,VB,"  대못 같은, 담장못 같은.  ","대못 같은, 담장못 같은.  ","대못 같은, 담장못 같은.  ",,"대못 같은, 담장못 같은.  ","대못 같은, 담장못 같은.",,"대못 같은, 담장못 같은.",NaN
225,splenectomize,VB,[의학]  비장(脾臟) 절제를 하다.  ,  비장(脾臟) 절제를 하다,  비장(脾臟) 절제를 하다,,  비장(脾臟) 절제를 하다,비장 절제를 하다,,비장 절제를 하다,NaN
226,standardize,VB,  표준화하다  ,표준화하다  ,표준화하다  ,,표준화하다  ,표준화하다,disorganize,표준화하다,assimilate
227,stemlike,VB,  줄기[꽃자루] 같은.  ,줄기[꽃자루] 같은.  ,줄기[꽃자루] 같은.  ,,줄기[꽃자루] 같은.  ,줄기 같은.,,줄기 같은.,NaN
228,stigmatize,VB,"[격식]  오명을 씌우다, 낙인 찍다  ","  오명을 씌우다, 낙인 찍다  ","  오명을 씌우다, 낙인 찍다  ",,"  오명을 씌우다, 낙인 찍다  ","오명을 씌우다, 낙인 찍다",commend,"오명을 씌우다, 낙인 찍다",class
