,Unnamed: 0,1) Let's talk about what plants need to make their own starch ,Unnamed: 0,",q53_sun,q53_water,""q53_carbon dioxide (CO2), air, "",q53_soil,q53_photosynthesis,q53_quantum,q53_chloroplast,q53_sun.1,q53_water.1,q53_carbon dioxide (CO2), air, .1"",q53_soil.1,q53_Photosynthesis1.q53_Cuteness1,q53_Chloroplast.1"
181,181,Meatchondria,181.0,"187,1,0,0,0,1,0,0,,,,,,,"
182,182,"Sunlight, Water",182.0,"188,1,0,1,0,0,0,0,,,,,,,"
183,183,It's sunlight and water.,183.0,"189,1,1,0,0,1,0,0,,,,,,,"
184,184,Sunlight,184.0,"190,1,1,1,0,0,0,0,,,,,,,"
185,185,I don't know,185.0,"191,0,0,0,0,1,0,0,,,,,,,"
186,186,"For warm sunlight, water, and soil",186.0,"192,0,0,0,0,1,0,0,,,,,,,"
187,187,Sun,187.0,"193,0,0,0,0,1,0,0,,,,,,,"
188,188,Dryer,188.0,"194,1,1,1,0,0,0,0,,,,,,,"
189,189,photosynthesize under sunlight,189.0,"195,1,1,0,0,0,0,0,,,,,,,"
190,190,Sunlight is needed for photosynthesis.,190.0,"196,1,1,1,0,0,0,0,,,,,,,"
191,191,Sunlight and carbon dioxide,191.0,"197,1,0,0,1,0,0,0,,,,,,,"
192,192,Sunlight water photosynthesis,192.0,"198,1,1,0,1,0,0,0,,,,,,,"
193,193,Water and carbon dioxide,193.0,"199,1,1,0,0,0,0,0,,,,,,,"
194,194,Photosynthesis,194.0,"200,1,0,0,0,0,0,0,,,,,,,"
195,195,Photosynthesis,195.0,"201,0,0,0,0,1,0,0,,,,,,,"
196,196,Photosynthesis,196.0,"202,0,0,0,0,1,0,0,,,,,,,"
197,197,"Sunlight, water, airWater, sunlight and air are needed.",197.0,"203,0,0,0,0,0,0,0,,,,,,,"
198,198,"water, air, sunlight",198.0,"204,0,0,0,0,1,0,0,,,,,,,"
199,199,"Sunlight, ball, soil",199.0,"205,0,0,0,0,1,0,0,,,,,,,"
200,200,"Sunlight, water, oxygen, soil",200.0,"206,0,0,0,0,1,0,0,,,,,,,"
201,201,water and sunlight,201.0,"207,0,0,0,0,1,0,0,,,,,,,"
202,202,I get the sun.,202.0,"208,1,1,0,1,0,0,0,,,,,,,209,1,0,0,0,1,0,0,,,,,,,"
203,203,Photosynthesis,203.0,"210,0,0,0,0,0,0,0,,,,,,,"
204,204,Photosynthesis,204.0,"211,1,1,0,0,0,0,0,,,,,,,"
205,205,I don't know.,205.0,"212,1,1,1,0,0,0,0,,,,,,,"
206,206,Photosynthesis,206.0,"213,1,1,1,0,0,0,0,,,,,,,"
207,207,Photosynthesis,207.0,"214,1,1,1,0,0,0,0,,,,,,,"
208,208,Photosynthesis,208.0,"215,1,1,0,0,0,0,0,,,,,,,"
209,209,photosynthesis,209.0,"216,1,1,0,0,0,0,0,,,,,,,"
210,210,"Sunlight, enough water, proper soil, etc",210.0,"217,1,1,0,1,0,0,1,,,,,,,"
211,211,"The leaves need to be photosynthesized, so they need to be exposed to sunlight.",211.0,"218,1,0,0,0,0,0,0,,,,,,,"
212,212,.,212.0,"219,1,1,0,1,0,0,0,,,,,,,"
213,213,need water and sunlight,213.0,"220,0,0,0,0,0,0,0,,,,,,,"
214,214,"Water, sunlight, carbon dioxide",214.0,"221,0,1,1,0,1,0,0,,,,,,,"
215,215,"We need sunlight, water, carbon dioxide",215.0,"222,1,1,0,1,0,1,0,,,,,,,"
216,216,"Biological environmental factors are needed.[Seafood, water, air, etc]",216.0,"223,1,0,0,0,0,0,0,,,,,,,"
217,217,"Light, wind, water, and so on.......................................................................................................................................................................",217.0,"224,0,0,0,0,0,0,0,,,,,,,"
218,218,Biological environmental factors such as sunlight and water are needed.,218.0,"225,0,1,0,0,0,0,0,,,,,,,"
219,219,"We need sunlight, soil, water, and chloroplasts.",219.0,"226,1,0,0,0,0,0,0,,,,,,,"
220,220,enjoy the sun,220.0,"227,1,1,0,0,0,1,0,,,,,,,"
221,221,"Sunlight, water, soil",221.0,"228,1,1,0,0,0,0,0,,,,,,,"
222,222,Could you explain it to me? I don't know...,222.0,"229,1,0,0,0,0,0,0,,,,,,,"
223,223,"We need photosynthesis, moisture and carbon dioxide",223.0,"230,1,0,0,0,0,0,0,,,,,,,"
224,224,sunlight nutrients soil water,224.0,"231,1,0,0,0,1,0,0,,,,,,,"
225,225,white,225.0,"232,1,0,0,0,0,0,0,,,,,,,"
226,226,I don't know.,226.0,"233,1,0,0,0,0,0,0,,,,,,,"
227,227,"It's water, oxygen, and ultraviolet rays.",227.0,"234,1,1,0,0,0,0,0,,,,,,,"
228,228,Sunlight,228.0,"235,1,1,0,0,0,0,0,,,,,,,"
229,229,"Sunlight, water, nutrients",229.0,"236,1,1,0,0,0,1,0,,,,,,,"
230,230,"Sunlight, moderate temperature, water, etc",230.0,"237,1,0,0,0,0,0,0,,,,,,,"
231,231,Need sunlight,231.0,"238,1,0,1,0,0,0,0,,,,,,,239,1,0,0,0,0,0,0,,,,,,,"
232,232,We need sunlight.,232.0,"240,1,1,0,0,0,0,0,,,,,,,"
233,233,We need sunlight to photosynthesize,233.0,"241,0,0,0,0,1,0,0,,,,,,,"
234,234,"Mitochondria, the Sun",234.0,"242,1,0,1,0,0,0,0,,,,,,,"
235,235,Sunlight,235.0,"243,1,1,0,0,1,1,0,,,,,,,"
236,236,water environmental light,236.0,"244,1,1,0,0,0,0,0,,,,,,,"
237,237,"Glucose, sunlight, water, etc",237.0,"245,1,1,0,0,0,0,0,,,,,,,"
238,238,"Water, sunlight, nutrients",238.0,"246,1,1,0,1,0,0,0,,,,,,,"
239,239,It is necessary because it is made from sunlight,239.0,"247,0,0,0,0,0,0,0,,,,,,,"
240,240,"Carbon dioxide, need sunlight",240.0,"248,1,1,0,0,0,0,0,,,,,,,"
241,241,Sunlight,241.0,"249,1,1,0,0,1,0,0,,,,,,,"
242,242,"Sunlight, glucose, water",242.0,"250,1,1,0,0,0,0,0,,,,,,,"
243,243,using photosynthesis,243.0,"251,0,0,0,0,0,0,0,,,,,,,"
244,244,"Light, carbon dioxide",244.0,"252,1,1,0,0,0,0,0,,,,,,,"
245,245,Use sunlight and water to make photosynthesis and nourishment.,245.0,"253,0,1,0,0,0,0,0,,,,,,,"
246,246,"sunlight, glucose, water",246.0,"254,1,0,0,0,0,0,0,,,,,,,"
247,247,"sunlight, water, etc",247.0,"255,0,0,0,0,0,0,0,,,,,,,"
248,248,"Sunlight, water, good soil",248.0,"256,1,0,0,0,0,0,0,,,,,,,"
249,249,I don't know,249.0,"257,1,1,1,0,0,0,0,,,,,,,"
250,250,"Sunlight, water",250.0,"258,1,1,1,0,0,1,0,,,,,,,"
251,251,photosynthetic damage,251.0,"259,1,1,0,1,0,0,0,,,,,,,"
252,252,You'll need sunlight and water,252.0,"260,0,0,0,0,0,0,0,,,,,,,"
253,253,I don't know....................,253.0,"261,1,1,0,0,0,1,0,,,,,,,"
254,254,"Sunlight, water",254.0,"262,1,0,0,0,0,0,0,,,,,,,"
255,255,"When plants grow by watering, they are made by themselves",255.0,"263,1,1,0,0,0,0,0,,,,,,,"
256,256,Sunlight,256.0,"264,1,1,1,0,0,0,0,,,,,,,"
257,257,I don't know,257.0,"265,1,0,0,0,0,0,0,,,,,,,"
258,258,We need sunlight,258.0,"266,1,1,0,0,1,0,0,,,,,,,"
259,259,"Sunlight, water, air",259.0,"267,1,1,1,0,0,0,0,,,,,,,"
260,260,"Sunlight, water, air, nutrients",260.0,"268,1,1,1,0,0,0,0,,,,,,,269,1,1,1,0,0,0,0,,,,,,,"
261,261,"water, sunlight, soil",261.0,"270,0,0,0,0,0,0,0,,,,,,,"
262,262,I don't know.,262.0,"271,0,0,0,0,1,0,0,,,,,,,"
263,263,"sunlight, water, various nutrients",263.0,"272,1,1,0,0,0,0,0,,,,,,,"
264,264,Sunlight,264.0,"273,1,1,0,1,1,0,0,,,,,,,"
265,265,Water Sunlight Time,265.0,"274,1,1,0,0,1,0,0,,,,,,,"
266,266,"We need water, sunlight, and air",266.0,"275,1,1,1,0,0,0,0,,,,,,,"
267,267,Sunlight,267.0,"276,0,1,1,0,0,0,0,,,,,,,"
268,268,photosynthetic sunlight water,268.0,"277,1,1,0,0,1,0,0,,,,,,,"
269,269,"Water, sunlight, air. [We need nature]",269.0,"278,1,1,0,0,0,0,0,,,,,,,"
270,270,"Sunlight, carbon dioxide, water",270.0,"279,1,1,1,0,0,0,0,,,,,,,"
271,271,"Sunlight, water, air",271.0,"280,1,1,0,1,1,0,0,,,,,,,"
272,272,a regular course,272.0,"281,1,1,0,1,0,0,0,,,,,,,"
273,273,Photosynthesis,273.0,"282,1,1,0,1,0,0,0,,,,,,,"
274,274,solar water,274.0,"283,0,0,0,0,0,0,0,,,,,,,"
275,275,"Sunlight, water, photosynthesis, soil, etc",275.0,"284,1,1,0,0,0,0,0,,,,,,,"
276,276,"Photosynthesis (water, sunlight, oxygen)",276.0,"285,1,1,0,0,0,0,0,,,,,,,"
277,277,"Water, sunlight, air",277.0,"286,1,1,0,0,0,0,0,,,,,,,"
278,278,"carbon dioxide, water",278.0,"287,1,1,0,0,1,0,0,,,,,,,"
279,279,"Photosynthesis (sunshine, water, oxygen)",279.0,"288,0,1,0,0,0,0,0,,,,,,,"
280,280,"Sunlight, water, manure, etc.",280.0,"289,1,1,0,0,0,0,0,,,,,,,"
281,281,"6H2O+6CO2+Light -> C6H12O6+6O2, C6H12O6+Heat+Enzyme->Starch",281.0,"290,1,1,0,1,0,0,0,,,,,,,"
282,282,"Photosynthesis, sunlight, water, soil, etc",282.0,"291,1,1,0,0,0,0,0,,,,,,,"
283,283,"Light, water, land",283.0,"292,1,1,0,0,1,0,0,,,,,,,"
284,284,"Sunlight, water, soil",284.0,"293,1,1,1,0,1,0,0,,,,,,,"
285,285,I don't know.,285.0,"294,0,0,1,0,0,0,0,,,,,,,"
286,286,"Sunlight, water",286.0,"295,1,1,1,0,0,0,0,,,,,,,"
287,287,"Sunlight, water",287.0,"296,1,1,0,0,0,0,0,,,,,,,"
288,288,Sunlight water,288.0,"297,1,1,0,0,0,0,0,,,,,,,"
289,289,Light and water photosynthesis or something,289.0,"298,1,1,0,0,0,0,0,,,,,,,299,0,0,0,0,0,0,0,,,,,,,"
290,290,Water,290.0,"300,1,1,1,0,0,0,0,,,,,,,"
291,291,"Sunlight, water",291.0,"301,1,1,0,0,0,0,0,,,,,,,"
292,292,sun-colored water soil,292.0,"302,1,1,1,1,0,0,0,,,,,,,"
293,293,"Sea, water and oxygen are needed.",293.0,"303,1,1,0,1,0,0,0,,,,,,,"
294,294,"We need sunlight, water, oxygen, etc.(photosynthesis)",294.0,"304,1,1,0,0,1,0,0,,,,,,,"
295,295,"Sunlight, need photosynthesis, water, air, etc",295.0,"305,0,0,0,0,0,0,0,,,,,,,"
296,296,"We need carbon dioxide.Water, sunlight, carbon dioxide are needed",296.0,"306,1,1,0,0,0,0,0,,,,,,,"
297,297,"Water, sunlight, etc",297.0,"307,1,1,0,0,0,0,0,,,,,,,"
298,298,"It rains and the sun shines, so plants make food by themselves",298.0,"308,0,0,0,0,1,0,0,,,,,,,"
299,299,"I need sunlight, and I drink water.",299.0,"309,1,1,1,0,0,0,0,,,,,,,"
300,300,Don't know,300.0,"310,1,1,1,0,0,0,0,,,,,,,"
301,301,"Sunlight, water, air",301.0,"311,1,1,1,0,0,0,0,,,,,,,"
302,302,We need sunlight and water.,302.0,"312,1,1,0,1,0,0,0,,,,,,,"
303,303,"water, proper temperature, sunlight, soil, air",303.0,"313,0,0,0,0,1,0,0,,,,,,,"
304,304,Sunlight land and water are needed,304.0,"314,1,0,0,0,0,0,0,,,,,,,"
305,305,"Photosynthesis, water.",305.0,"315,1,1,0,0,0,0,0,,,,,,,"
306,306,"""I Say """"I Don't No.""""""",306.0,"316,1,0,0,0,1,1,0,,,,,,,"
307,307,"Water, sunlight and soil?",307.0,"317,1,0,0,0,0,0,0,,,,,,,"
308,308,water and sunlight,308.0,"318,1,1,1,1,1,0,0,,,,,,,"
309,309,Photosynthesis,309.0,"319,1,1,0,0,0,0,0,,,,,,,"
310,310,"Water, sunlight, and air",310.0,"320,1,0,0,0,0,0,0,,,,,,,"
311,311,"Sunlight, water, air",311.0,"321,1,1,1,0,0,0,0,,,,,,,"
312,312,"Plants need water, carbon dioxide, and sunlight to make their own nutrients.",312.0,"322,0,1,1,0,0,0,0,,,,,,,"
313,313,"Water, sunlight, moderate temperature, air, soil",313.0,"323,1,1,0,0,0,0,0,,,,,,,"
314,314,Photosynthesis,314.0,"324,1,1,0,0,1,0,0,,,,,,,"
315,315,Sunlight,315.0,"325,0,1,1,1,1,0,0,,,,,,,"
316,316,"Because of the water sun, the weather",316.0,"326,1,1,0,0,0,0,0,,,,,,,"
317,317,Photosynthesis with leaves should be done to get nourishment from sun combs.,317.0,"327,0,0,0,0,0,0,0,,,,,,,"
318,318,We need the sun.,318.0,"328,1,1,1,0,0,0,0,,,,,,,329,1,1,1,1,0,0,0,,,,,,,"
319,319,"soil, air, sunlight, photosynthesis, water, etc.",319.0,"330,1,1,1,0,0,0,0,,,,,,,"
320,320,sunlight and water,320.0,"331,1,0,0,0,0,0,0,,,,,,,"
321,321,Sunlight,321.0,"332,0,1,0,0,1,0,0,,,,,,,"
322,322,"We need sunlight, carbon dioxide, and water.",322.0,"333,1,1,1,0,0,0,0,,,,,,,"
323,323,"Water, air,",323.0,"334,0,0,0,0,1,0,0,,,,,,,"
324,324,"Sunlight, water, moderate temperature",324.0,"335,1,1,0,0,0,0,0,,,,,,,"
325,325,"Photosynthesis occurs with sunlight, water, etc.",325.0,"336,0,0,0,0,0,0,0,,,,,,,"
326,326,"Plants must photosynthesize when they make their own nutrients. And plants need soil, water, and air to grow.",326.0,"337,1,1,1,0,0,0,0,,,,,,,"
327,327,"It sucks water into the roots, and sunlight has a great effect.",327.0,"338,1,1,1,0,0,0,0,,,,,,,"
328,328,I don't know,328.0,"339,0,0,0,0,1,0,0,,,,,,,"
329,329,"Sunlight, water, oxygen",329.0,"340,0,0,0,0,0,0,0,,,,,,,"
330,330,"There is water, air, sunlight, soil",330.0,"341,0,0,0,0,1,0,0,,,,,,,"
331,331,"Sunlight, water, air, and moderate temperature are needed.",331.0,"342,0,0,0,0,0,0,0,,,,,,,"
332,332,Sunlight,332.0,"343,1,1,1,0,0,1,0,,,,,,,"
333,333,"Photosynthesis, Water, Temperature",333.0,"344,1,1,1,0,0,0,0,,,,,,,"
334,334,"Sunlight, water, air",334.0,"345,1,1,1,0,1,0,0,,,,,,,"
335,335,Photosynthesis,335.0,"346,0,0,0,0,1,0,0,,,,,,,"
336,336,"Sunlight, water, good environment",336.0,"347,0,0,0,0,0,0,0,,,,,,,"
337,337,.,337.0,"348,1,1,0,0,0,0,0,,,,,,,"
338,338,"Water, carbon dioxide, sunlight",338.0,"349,0,0,0,0,0,0,0,,,,,,,"
339,339,"Sunlight, water, carbon dioxide",339.0,"350,0,0,0,0,0,0,0,,,,,,,"
340,340,Photosynthesis,340.0,"351,1,1,1,0,0,0,0,,,,,,,"
341,341,.,341.0,"352,0,0,0,0,0,0,0,,,,,,,"
342,342,Photosynthesis,342.0,"353,0,0,0,0,1,0,0,,,,,,,"
343,343,"Glucose, Oxygen",343.0,"354,0,0,0,0,0,0,0,,,,,,,"
344,344,"It takes light E, water, carbon dioxide to produce, organic matter to survive, water and light E",344.0,"355,0,0,0,0,1,0,0,,,,,,,"
345,345,"Carbon dioxide, water, and light energy",345.0,"356,1,1,0,0,0,0,0,,,,,,,"
346,346,"Photosynthesis converts light energy into chemical energy, carbon dioxide + water + light E -> glucose + water + heat E + ATP",346.0,"357,1,0,0,0,0,0,0,,,,,,,"
347,347,Photosynthesis,347.0,"358,1,1,0,0,0,0,0,,,,,,,359,1,1,0,0,0,0,0,,,,,,,"
348,348,ATP,348.0,"360,0,0,0,0,0,0,0,,,,,,,"
349,349,Water + Oxygen - Sunlight,349.0,"361,0,1,0,0,0,0,0,,,,,,,"
350,350,.,350.0,"362,0,0,1,0,0,0,0,,,,,,,"
351,351,.,351.0,"363,1,0,0,0,0,0,0,,,,,,,"
352,352,"water, carbon dioxide, sunlight",352.0,"364,1,0,1,0,1,0,0,,,,,,,"
353,353,Photosynthesis and respiration,353.0,"365,0,1,0,0,0,0,0,,,,,,,"
354,354,Photosynthesis,354.0,"366,1,0,1,0,0,0,0,,,,,,,"
355,355,Because I have to use carbs.,355.0,"367,1,1,1,0,0,0,0,,,,,,,"
356,356,Photosynthesis process required,356.0,"368,1,1,1,0,0,0,0,,,,,,,"
357,357,Sunlight water,357.0,"369,1,0,1,0,0,0,0,,,,,,,"
358,358,Light,358.0,"370,1,1,1,0,0,1,0,,,,,,,"
359,359,"Hae. Water. And ""Love"". Oh, not fertilizer",359.0,"371,1,0,0,0,0,0,0,,,,,,,"
360,360,"Light, water",360.0,"372,0,0,0,0,1,0,0,,,,,,,"
361,361,Glucose,361.0,"373,1,0,0,0,1,1,0,,,,,,,"
362,362,"Water, oxygen",362.0,"374,0,0,0,0,0,0,0,,,,,,,"
363,363,co2,363.0,"375,0,1,1,0,1,0,0,,,,,,,"
364,364,light oxygen,364.0,"376,0,0,0,0,1,0,0,,,,,,,"
365,365,"""In order to synthesize glucose by photosynthesis, light is needed in the light reaction process",365.0,"377,0,0,1,0,0,0,0,,,,,,,"
366,366,"The amount of RuBP to be used in the Calvin circuit of the cancer reaction by CO2 fixation should be sufficient.""",366.0,"378,0,1,0,0,1,0,0,,,,,,,"
367,367,You have to water it,367.0,"379,1,1,0,0,0,0,0,,,,,,,"
368,368,"Light, carbon dioxide",368.0,"380,1,1,1,0,0,0,0,,,,,,,"
369,369,"We need light, water and carbon dioxide.",369.0,"381,1,1,1,0,0,0,0,,,,,,,"
370,370,carbon dioxide water light,370.0,"382,1,1,1,0,0,0,0,,,,,,,"
371,371,"Sunlight, carbon dioxide",371.0,"383,1,0,0,0,0,0,0,,,,,,,"
372,372,"nutrients, water, sunlight, carbon dioxide, enzymes",372.0,"384,1,1,0,0,0,0,0,,,,,,,"
373,373,Sunlight,373.0,"385,1,1,0,0,0,0,0,,,,,,,"
374,374,The process of photosynthesis is necessary.,374.0,"386,1,1,1,0,1,0,0,,,,,,,"
375,375,Need light and nutrients to photosynthesize,375.0,"387,1,1,1,0,0,0,0,,,,,,,"
376,376,I don't know.,376.0,"388,0,0,0,0,1,0,0,,,,,,,389,1,1,0,1,0,0,0,,,,,,,"
377,377,"Plants make glucose through photosynthesis and store the remaining glucose in the form of starch. Therefore, carbon dioxide and water required for photosynthesis are needed to make starch.",377.0,"390,1,1,0,0,0,0,0,,,,,,,"
378,378,Photosynthesis,378.0,"391,0,0,0,0,1,0,0,,,,,,,"
379,379,carbon dioxide,379.0,"392,1,1,0,0,0,0,0,,,,,,,"
380,380,Photosynthesis and water,380.0,"393,0,0,0,0,0,0,0,,,,,,,"
381,381,"Water, oxygen, light energy",381.0,"394,1,0,0,0,1,0,0,,,,,,,"
382,382,Water Carbon Dioxide Light Energy,382.0,"395,0,1,1,0,0,0,0,,,,,,,"
383,383,"Light, water, carbon dioxide",383.0,"396,1,0,0,0,0,0,0,,,,,,,"
384,384,Light Energy Water Carbon Dioxide,384.0,"397,0,0,0,0,1,0,0,,,,,,,"
385,385,Sunlight,385.0,"398,0,0,0,0,1,0,0,,,,,,,"
386,386,"Water, oxygen, light energy",386.0,"399,0,0,0,0,1,0,0,,,,,,,"
387,387,"Sunlight, water and oxygen",387.0,"400,1,1,0,0,0,0,0,,,,,,,"
388,388,"Photosynthesis, water, carbon dioxide, oxygen",388.0,"401,1,0,0,0,0,0,0,,,,,,,"
389,389,water carbon dioxide sunlight,389.0,"402,0,0,0,0,0,0,0,,,,,,,"
390,390,Photosynthesis is required.,390.0,"403,0,1,0,0,0,0,0,,,,,,,"
391,391,"sunlight, water, soil",391.0,"404,0,0,0,0,0,0,0,,,,,,,"
392,392,"Water, light, energy",392.0,"405,1,1,0,0,0,0,0,,,,,,,"
393,393,need photosynthesis,393.0,"406,1,0,0,0,0,0,0,,,,,,,"
394,394,"Water, oxygen, light",394.0,"407,1,0,0,0,0,0,0,,,,,,,"
395,395,It's so hard...ㅜㅜYou need to photosynthesize with the sun.,395.0,"408,0,0,0,0,0,0,0,,,,,,,"
396,396,Water and carbon dioxide,396.0,"409,0,1,0,0,0,0,0,,,,,,,"
397,397,Light energy is needed.,397.0,"410,1,1,0,0,0,0,0,,,,,,,"
398,398,Absorption photosynthesis,398.0,"411,1,1,1,0,0,0,0,,,,,,,"
399,399,Photosynthesis,399.0,"412,0,1,0,0,0,0,0,,,,,,,"
400,400,Photosynthesis,400.0,"413,0,0,0,0,0,0,0,,,,,,,"
401,401,"water, sunlight, wind",401.0,"414,1,1,1,0,0,0,0,,,,,,,"
402,402,water and sunlight,402.0,"415,1,1,0,1,0,1,0,,,,,,,"
403,403,"To make a living, too",403.0,"416,0,0,0,0,0,0,0,,,,,,,"
404,404,Water,404.0,"417,1,1,0,0,0,0,0,,,,,,,"
405,405,I don't know.,405.0,"418,0,0,0,0,0,0,0,,,,,,,419,1,1,1,0,0,0,0,,,,,,,"
406,406,"water, sunlight, wind",406.0,"420,0,1,0,0,0,0,0,,,,,,,"
407,407,Sunlight,407.0,"421,0,0,0,0,0,0,0,,,,,,,"
408,408,receiving the light of the sun,408.0,"422,1,0,1,0,1,0,0,,,,,,,"
409,409,I don’t know well.,409.0,"423,0,0,0,0,0,0,0,,,,,,,"
410,410,Water,410.0,"424,1,0,1,0,0,0,0,,,,,,,"
411,411,Water and light,411.0,"425,1,1,1,0,0,0,0,,,,,,,"
412,412,"Sunlight, water, air time",412.0,"426,1,0,0,0,0,0,0,,,,,,,"
413,413,"Water, heat, wind",413.0,"427,1,1,1,0,0,0,0,,,,,,,"
414,414,need time,414.0,"428,1,1,1,0,0,0,1,,,,,,,"
415,415,It's a carbon dioxide water comb,415.0,"429,0,1,1,0,1,0,0,,,,,,,"
416,416,"Water, light, and soil are needed. I eat nutrients made from soil.",416.0,"430,1,1,0,0,0,0,0,,,,,,,"
417,417,I don't know.,417.0,"431,0,0,0,0,1,0,0,,,,,,,"
418,418,I need sunlight and water,418.0,"432,0,0,0,0,0,0,0,,,,,,,"
419,419,ㅊ,419.0,"433,1,0,0,0,0,0,0,,,,,,,"
420,420,"Light, carbon dioxide, water.",420.0,"434,1,1,1,0,0,0,0,,,,,,,"
421,421,I need water.,421.0,"435,0,0,1,0,0,0,0,,,,,,,"
422,422,I need glucose.,422.0,"436,1,1,1,0,1,0,0,,,,,,,"
423,423,"In order for plants to make starch, glucose must be produced, and the necessary process is photosynthesis, which requires carbon dioxide and sunlight.",423.0,"437,1,1,1,0,0,0,0,,,,,,,"
424,424,Glucose,424.0,"438,1,1,1,0,0,0,0,,,,,,,"
425,425,Sunlight and carbon dioxide,425.0,"439,1,1,1,0,0,0,1,,,,,,,"
426,426,"We need carbon dioxide, water, and sunlight.",426.0,"440,1,0,1,0,0,0,1,,,,,,,"
427,427,Glucose and sunlight are needed.,427.0,"441,1,1,1,0,1,0,0,,,,,,,"
428,428,"We need light, water, and carbon dioxide.",428.0,"442,1,0,0,0,0,0,0,,,,,,,"
429,429,"We need carbon dioxide, water, light energy, chloroplasts",429.0,"443,0,0,1,0,0,0,0,,,,,,,"
430,430,"Photosynthesis, water, and carbon dioxide are needed.",430.0,"444,0,0,0,0,1,0,0,,,,,,,"
431,431,"Sunlight, water",431.0,"445,1,0,0,0,0,1,0,,,,,,,"
432,432,Photosynthesis is required.,432.0,"446,1,0,1,0,0,0,0,,,,,,,"
433,433,Rising SUN,433.0,"447,1,1,1,0,0,0,0,,,,,,,"
434,434,Making starch is anabolic and requires sunlight and oxygen.,434.0,"448,0,0,0,0,0,0,0,,,,,,,449,0,0,0,0,0,0,0,,,,,,,"
435,435,"Sunlight, carbon dioxide, water",435.0,"450,0,0,0,0,0,0,0,,,,,,,"
436,436,"We need carbon dioxide, glucose.",436.0,"451,0,0,0,0,0,0,0,,,,,,,"
437,437,"Photosynthesis is necessary for plants to produce nutrients, which require CO2, H2O, and light energy.",437.0,"452,0,0,0,0,1,0,0,,,,,,,"
438,438,"Plants need light, carbon dioxide and water to make starch.",438.0,"453,0,0,0,0,0,0,0,,,,,,,"
439,439,"Sunlight, carbon dioxide, water",439.0,"454,1,1,1,0,0,0,0,,,,,,,"
440,440,"It is light, water, carbon dioxide, chloroplasts",440.0,"455,0,0,1,0,0,0,0,,,,,,,"
441,441,"We need light energy, carbon dioxide, and water.",441.0,"456,0,0,0,0,1,0,0,,,,,,,"
442,442,"Plants need photosynthesis to make starch, which requires sunlight, water, and air.",442.0,"457,1,1,0,0,1,0,0,,,,,,,"
443,443,Sunlight,443.0,"458,1,1,1,0,0,0,0,,,,,,,"
444,444,carbon dioxide,444.0,"459,0,1,1,0,0,0,0,,,,,,,"
445,445,Photosynthesis,445.0,"460,0,0,0,0,0,0,0,,,,,,,"
446,446,Sunlight (food),446.0,"461,0,1,0,0,0,0,0,,,,,,,"
447,447,Sunlight and carbon dioxide,447.0,"462,0,0,0,0,0,0,0,,,,,,,"
448,448,"Water, carbon dioxide, and sunlight are needed.",448.0,"463,1,1,0,0,0,0,0,,,,,,,"
449,449,Don't know,449.0,"464,1,1,0,0,0,0,0,,,,,,,"
450,450,I don't know,450.0,"465,1,1,1,0,0,0,0,,,,,,,"
451,451,(wink),451.0,"466,1,0,0,0,0,0,0,,,,,,,"
452,452,I don't know.,452.0,"467,1,0,0,0,0,0,0,,,,,,,"
453,453,Photosynthesis,453.0,"468,1,0,1,0,0,0,0,,,,,,,"
454,454,I don't know.,454.0,"469,1,1,0,0,0,0,0,,,,,,,"
455,455,"Carbon dioxide, water, and solar energy",455.0,"470,1,0,1,0,0,0,0,,,,,,,"
456,456,Air,456.0,"471,0,0,0,0,0,0,0,,,,,,,"
457,457,Photosynthesis,457.0,"472,1,1,0,0,0,0,0,,,,,,,"
458,458,We need water and light for photosynthesis.,458.0,"473,0,0,0,0,0,0,0,,,,,,,"
459,459,"Oxygen, carbon dioxide, sunlight, water",459.0,"474,0,1,0,0,0,0,0,,,,,,,"
460,460,"Carbon dioxide, water",460.0,"475,1,1,0,0,0,0,0,,,,,,,"
461,461,.,461.0,"476,1,1,1,0,0,0,0,,,,,,,"
462,462,"Glucose, water, oxygen",462.0,"477,0,0,0,0,1,0,0,,,,,,,"
463,463,..,463.0,"478,0,0,0,0,1,0,0,,,,,,,479,1,0,0,0,0,0,0,,,,,,,"
464,464,"Water, light, oxygen",464.0,"480,1,0,0,0,1,0,0,,,,,,,"
465,465,"Water, sunlight",465.0,"481,0,0,0,0,1,0,0,,,,,,,"
466,466,Carbon Dioxide Water Solar energy,466.0,"482,1,1,0,1,0,0,0,,,,,,,"
467,467,Sunlight,467.0,"483,1,1,0,0,0,0,0,,,,,,,"
468,468,Light energy and ATP are needed.,468.0,"484,1,1,1,0,0,0,0,,,,,,,"
469,469,We need light and carbon dioxide,469.0,"485,1,1,1,0,0,0,0,,,,,,,"
470,470,"Sunlight, water",470.0,"486,1,1,0,0,0,0,0,,,,,,,"
471,471,It needs light and carbon dioxide.,471.0,"487,1,1,1,0,0,0,0,,,,,,,"
472,472,I don't know...,472.0,"488,0,0,0,0,1,0,0,,,,,,,"
473,473,sunlight and water,473.0,"489,0,1,1,0,0,0,0,,,,,,,"
474,474,There's no black cow who didn't skip Megal,474.0,"490,1,1,1,0,0,0,0,,,,,,,"
475,475,Water and glucose,475.0,"491,0,0,0,0,0,0,0,,,,,,,"
476,476,We need heat energy and water like sunlight.,476.0,"492,0,0,0,0,0,0,0,,,,,,,"
