,Unnamed: 0,"10. The Earth is known to spin itself along its axis of rotation. This phenomenon is called the rotation of the Earth, and what are some of the natural phenomena that occur in the rotation of the Earth? Let's use our knowledge of Earth's rotation to explain it in detail. ",Unnamed: 0,q10_Daytime,q10_Byulilju,q10_Season,q10_Time difference,q10_Circulation,q10_Daytime.1,q10_Byulilju.1,q10_Season.1,q10_time difference 1,q10_cycle.1
402,402,"The chestnut sickle was set, the hashish was made, and the first round was increased to one day",402,,,,,,,,,,
403,403,Day and night occur.,403,,,,,,,,,,
404,404,The Earth's rotation created day and night and even figured out Newton's law of gravitation.,404,,,,,,,,,,
405,405,Day and night occur,405,,,,,,,,,,
406,406,Time changes,406,,,,,,,,,,
407,407,Night and day.,407,,,,,,,,,,
408,408,A day and night.,408,,,,,,,,,,
409,409,"The closer or farther the sun is, the more the joint changes",409,,,,,,,,,,
410,410,the earth,410,,,,,,,,,,
411,411,It becomes night and day,411,,,,,,,,,,
412,412,E?î·Ñá?¶be?î„Öî?î„Öî?î„ÖîBbbe?î„Öî?î„Öî?á·Ö¶??412,"420,0,0,1,0,0,,,,,",,,,,,,,,,
413,413,the earth,413,,,,,,,,,,
414,414,"Because of the Earth's rotation, we can see sunlight and night",414,,,,,,,,,,
415,415,an autobiography,415,,,,,,,,,,
416,416,I don't know.,416,,,,,,,,,,
417,417,Gravity,417,,,,,,,,,,
418,418,.,418,,,,,,,,,,
419,419,Seasons change because the sun approaches differently,419,,,,,,,,,,
420,420,the decay of grass,420,,,,,,,,,,
421,421,"Time! (day, morning, night)",421,,,,,,,,,,
422,422,The seasons change,422,,,,,,,,,,
423,423,"""The reason why the sun starts to appear from the east and seems to move west is because of the Earth's rotation. In other words, the sun seems to be moving from east to west because the earth rotates from west to east.\",423,,,,,,,,,,
424,424,The position of the moon seems to move from east to south and west during the day by the Earth's rotation.,424,,,,,,,,,,
425,425,"In the case of Orion, which is seen in March, the sun's light is not visible during the bright day, but can be seen in the southern sky in the early evening when the sun disappears, and its location gradually changes over time to the western sky. The position does not change as the moon and stars move, but because the earth rotates, the moon and stars seem to move",425,,,,,,,,,,
426,426,"""",426,,,,,,,,,,
427,427,The seasons change.,427,,,,,,,,,,
428,428,I don't know.,428,,,,,,,,,,
429,429,I don't know...;;;;;;;;;;;;;;,429,,,,,,,,,,
430,430,Day and night change,430,,,,,,,,,,
431,431,"axis of rotation, earth, universe, nature, rotation",431,,,,,,,,,,
432,432,Gravity,432,,,,,,,,,,
433,433,the sun rises and the moon rises,433,,,,,,,,,,
434,434,Let's not interfere when the earth is spinning,434,,,,,,,,,,
435,435,Time has passed,435,,,,,,,,,,
436,436,.,436,,,,,,,,,,
437,437,The sun rises in the east and sets in the west.,437,,,,,,,,,,
438,438,"Star Circle Movement, Day and Night Formation",438,,,,,,,,,,
439,439,a circular motion of the sun and stars,439,,,,,,,,,,
440,440,The sun rises in the east and sets in the west,440,,,,,,,,,,
441,441,"Constellations, seasons, and the direction in which the sun and moon rise and set",441,,,,,,,,,,
442,442,Day and night occur as the earth rotates.,442,,,,,,,,,,
443,443,Day and night change. A circle of stars and the sun...,443,,,,,,,,,,
444,444,I don't know,444,,,,,,,,,,
445,445,the change of time,445,,,,,,,,,,
446,446,I don't know.,446,,,,,,,,,,
447,447,"This is because if the Earth rotates, it can receive the sun's light in various directions.",447,,,,,,,,,,
448,448,A day and night.,448,,,,,,,,,,
449,449,The Earth's rotation cycle is one day,449,,,,,,,,,,
450,450,"""- night and day appearance",450,,,,,,,,,,
451,451,#NAME?,451,,,,,,,,,,
452,452,"- a change in the landscape as a change of seasons""",452,,,,,,,,,,
453,453,the phenomenon of the sun setting and the moon rising,453,,,,,,,,,,
454,454,Causes day and night.,454,,,,,,,,,,
455,455,"It is said that the distance to the moon is getting closer and farther away, closer, and farther away.",455,,,,,,,,,,
456,456,Day and night occur.,456,,,,,,,,,,
457,457,A day and night.,457,,,,,,,,,,
458,458,I don't know.,458,,,,,,,,,,
459,459,"The sun rises and the moon rises 24 hours a day, and the earth rotates to the side where the sun is and turns to the side where the moon is (unmoving and spinning)",459,,,,,,,,,,
460,460,Night and day.,460,,,,,,,,,,
461,461,The sun and the moon rise.,461,,,,,,,,,,
462,462,Causes day and night.,462,,,,,,,,,,
463,463,day and night change,463,,,,,,,,,,
464,464,There are nights and days.,464,,,,,,,,,,
465,465,I don't know.,465,,,,,,,,,,
466,466,I don't know.,466,,,,,,,,,,
467,467,Night has changed,467,,,,,,,,,,
468,468,"It turns around the axis of rotation, creating seasons, day and night",468,,,,,,,,,,
469,469,.,469,,,,,,,,,,
470,470,The day and night.,470,,,,,,,,,,
471,471,Daytime and night occur on Earth's rotation. sunrise and sunset,471,,,,,,,,,,
472,472,A day and night.,472,,,,,,,,,,
473,473,"Day, night, sunrise, and sunset",473,,,,,,,,,,
474,474,The stars change,474,,,,,,,,,,
475,475,Because the earth spins,475,,,,,,,,,,
476,476,I don't know.,476,,,,,,,,,,
477,477,have night and day,477,,,,,,,,,,
478,478,Causes day and night.,478,,,,,,,,,,
479,479,There is a morning and an afternoon.,479,,,,,,,,,,
480,480,Day and night appear.,480,,,,,,,,,,
481,481,"Day and night take place, the monotone motion of stars",481,,,,,,,,,,
482,482,"The earth rotates, creating day and night.",482,,,,,,,,,,
483,483,"""",483,,,,,,,,,,
484,484,Night and day occur and atmospheric movements occur,484,,,,,,,,,,
485,485,I don't know.,485,,,,,,,,,,
486,486,I don't know.,486,,,,,,,,,,
487,487,the occurrence of day and night,487,,,,,,,,,,
488,488,I don't know.,488,,,,,,,,,,
489,489,Day and night occur through rotation.,489,,,,,,,,,,
490,490,"Day and night occur, and you can see the moon and the sun moving throughout the day.",490,,,,,,,,,,
491,491,M and D,491,,,,,,,,,,
492,492,None.,492,,,,,,,,,,
493,493,Night and day.,493,,,,,,,,,,
494,494,I don't know.I didn't know.,494,,,,,,,,,,
495,495,Night and day occur,495,,,,,,,,,,
496,496,Mornings and nights.,496,,,,,,,,,,
497,497,Night and night occur,497,,,,,,,,,,
498,498,Day and night occur,498,,,,,,,,,,
499,499,"Day and night occur, and there is a difference between the tide.",499,,,,,,,,,,
500,500,The wind near the equator is northeast wind,500,,,,,,,,,,
501,501,Time goes by on the bicycle,501,,,,,,,,,,
502,502,The Earth's magnetic field is generated and protected from cosmic radiation.,502,,,,,,,,,,
503,503,I don't know.,503,,,,,,,,,,
504,504,I'm not sure,504,,,,,,,,,,
505,505,A day and night. There are various winds such as westerlies.,505,,,,,,,,,,
506,506,develop a resistance force,506,,,,,,,,,,
507,507,.,507,,,,,,,,,,
508,508,"The day and night.In other words, the sun and the moon are seen at an intersection.",508,,,,,,,,,,
509,509,A day and night.,509,,,,,,,,,,
510,510,I don't know.,510,,,,,,,,,,
511,511,There is a ebb and flow,511,,,,,,,,,,
512,512,"Due to the generation of a forward force, a virtual force is generated in the right direction in the northern hemisphere and in the left direction in the southern hemisphere, and day and night can occur.",512,,,,,,,,,,
513,513,A day and night.,513,,,,,,,,,,
514,514,"Due to the Earth's rotation, the atmospheric circulation and the surface ocean current cycle are affected and divided into three categories.",514,,,,,,,,,,
515,515,It's a change of seasons.,515,,,,,,,,,,
516,516,Changes in solar radiation energy received by regions,516,,,,,,,,,,
517,517,Night and day form,517,,,,,,,,,,
518,518,Day and night are created by the rotation of the earth.,518,,,,,,,,,,
519,519,day and night,519,,,,,,,,,,
520,520,have night and day,520,,,,,,,,,,
521,521,Day and night change with the rotation of the earth.,521,,,,,,,,,,
522,522,Magnetic field generation day and night changed,522,,,,,,,,,,
523,523,Earth's atmospheric circulation,523,,,,,,,,,,
524,524,The rotation of the Earth causes a star-spinning motion.,524,,,,,,,,,,
525,525,The Earth's rotation creates night and day.,525,,,,,,,,,,
526,526,Four seasons have been created by the bicycle,526,,,,,,,,,,
527,527,Night and day form.,527,,,,,,,,,,
528,528,Night and day occur,528,,,,,,,,,,
529,529,There are days and nights,529,,,,,,,,,,
530,530,"The earth rotates, creating day and night",530,,,,,,,,,,
531,531,Day and night break.,531,,,,,,,,,,
532,532,Bae Ji-hwan (Bae Jihwan,532,,,,,,,,,,
533,533,"N, M, n and o",533,,,,,,,,,,
534,534,There are 24 hours a day,534,,,,,,,,,,
535,535,.,535,,,,,,,,,,
536,536,M and D,536,,,,,,,,,,
537,537,As,537,,,,,,,,,,
538,538,the revolution,538,,,,,,,,,,
539,539,The bicycle creates day and night under the four seasons in our country,539,,,,,,,,,,
540,540,Various seasons appear.,540,,,,,,,,,,
541,541,1,541,,,,,,,,,,
542,542,Day and night are created by rotation,542,,,,,,,,,,
543,543,1,543,,,,,,,,,,
544,544,I don't know.,544,,,,,,,,,,
545,545,s56 s6??545,"556,0,0,1,0,0,,,,,",,,,,,,,,,
546,546,Unknowingness,546,,,,,,,,,,
547,547,the season has come,547,,,,,,,,,,
548,548,The seasons appear,548,,,,,,,,,,
549,549,The seasons change and day and night exist,549,,,,,,,,,,
550,550,The sun rises and sets,550,,,,,,,,,,
551,551,Unknowingness,551,,,,,,,,,,
552,552,I can't remember,552,,,,,,,,,,
553,553,a rolling stock,553,,,,,,,,,,
554,554,The atmospheric cycle is divided into three parts.,554,,,,,,,,,,
555,555,"A day and night.""",555,,,,,,,,,,
556,556,The moon is visible and there are days and nights.,556,,,,,,,,,,
557,557,"If the Earth rotates, where it receives solar energy and where it doesn't? It changes and creates night and day in a day. Therefore, there is a daily temperature difference in which the temperature is high during the day when solar energy is high and the temperature is lowered at night when it is not.",557,,,,,,,,,,
558,558,"The Earth's rotation created day and night, summer and winter, and ebb and flow.",558,,,,,,,,,,
559,559,Unknowingness,559,,,,,,,,,,
560,560,a change in the relay,560,,,,,,,,,,
561,561,"When the earth rotates, day and night are different",561,,,,,,,,,,
562,562,"Day and night change, the sun and stars in the sky move,",562,,,,,,,,,,
563,563,"The earth rotates based on the axis of rotation, and as night and day are distinguished, our lives differ greatly between day and night.",563,,,,,,,,,,
564,564,The seasons change,564,,,,,,,,,,
565,565,I don't know.,565,,,,,,,,,,
566,566,There are four seasons. The constellations you see vary from season to season,566,,,,,,,,,,
567,567,I don't know.,567,,,,,,,,,,
568,568,..,568,,,,,,,,,,
569,569,the phenomenon of day and night,569,,,,,,,,,,
570,570,A day and night.,570,,,,,,,,,,
571,571,Day and night occur,571,,,,,,,,,,
572,572,"When our country is at night, it is daytime in Europe",572,,,,,,,,,,
573,573,I don't know,573,,,,,,,,,,
574,574,Day and night occur,574,,,,,,,,,,
575,575,I don't know,575,,,,,,,,,,
576,576,I don't know.,576,,,,,,,,,,
577,577,Four seasons.,577,,,,,,,,,,
578,578,There are four seasons.,578,,,,,,,,,,
579,579,the creation of night and day on the earth's rotation of the earth,579,,,,,,,,,,
580,580,Day and night occur,580,,,,,,,,,,
581,581,I'm turning it off,581,,,,,,,,,,
582,582,to go round and round in-turn in the east-turn in the east,582,,,,,,,,,,
583,583,Earth's autotactic plane moonwalkable,583,,,,,,,,,,
584,584,There are days and nights,584,,,,,,,,,,
585,585,Day and night occur,585,,,,,,,,,,
586,586,The season has changed,586,,,,,,,,,,
587,587,Day and night are created by the rotation of the earth.,587,,,,,,,,,,
588,588,A day and night.,588,,,,,,,,,,
589,589,Day and night occur because of the Earth's rotation,589,,,,,,,,,,
590,590,It becomes morning and night,590,,,,,,,,,,
591,591,The sun rises. The moon rises.,591,,,,,,,,,,
592,592,the circadian motion of the sun,592,,,,,,,,,,
593,593,the circadian motion of the sunA day is coming,593,,,,,,,,,,
594,594,"""The rotation causes seasonal changes, and the sunlight varies from region to region, resulting in night and day",594,,,,,,,,,,
595,595,"""",595,,,,,,,,,,
596,596,The season has come,596,,,,,,,,,,
597,597,Day breaks overnight and temperature differences appear,597,,,,,,,,,,
598,598,Time goes by. Night and day come,598,,,,,,,,,,
599,599,"Because of the Earth's rotation, we can cover up day and night. Without Earth's rotation, we would live in an environment that is not suitable for living, of course, the season.",599,,,,,,,,,,
600,600,A day and night.,600,,,,,,,,,,
601,601,There is a time difference.,601,,,,,,,,,,
602,602,"As the earth rotates, the seasons change",602,,,,,,,,,,
603,603,the phenomenon of day and night and waves,603,,,,,,,,,,
604,604,Night and day occur,604,,,,,,,,,,
605,605,Day and night formation,605,,,,,,,,,,
606,606,Day and beam,606,,,,,,,,,,
607,607,Night and day occur,607,,,,,,,,,,
608,608,Wind,608,,,,,,,,,,
609,609,Day and night occur,609,,,,,,,,,,
610,610,Day and Night Formation,610,,,,,,,,,,
611,611,Day and night form.,611,,,,,,,,,,
612,612,the occurrence of day and night,612,,,,,,,,,,
613,613,Day and night occur,613,,,,,,,,,,
614,614,A day and night.,614,,,,,,,,,,
615,615,Day and night occur,615,,,,,,,,,,
616,616,"In rotation, the earth rotates once in 24 hours, creating day and night.",616,,,,,,,,,,
617,617,"A day and night.If one side is day, the other side is night. In short, the time difference",617,,,,,,,,,,
618,618,a circular motion,618,,,,,,,,,,
619,619,the circadian movement of the sun and moon,619,,,,,,,,,,
620,620,Corioli's Forward Power,620,,,,,,,,,,
621,621,There are days and nights.,621,,,,,,,,,,
622,622,Night and day.,622,,,,,,,,,,
623,623,"Fuco pendulum motion, satellite car wash motion, etc",623,,,,,,,,,,
624,624,Day and night are caused by the circadian motion of the sun.,624,,,,,,,,,,
625,625,The Earth's rotation creates magnetic forces that prevent radioactive materials from the sun.,625,,,,,,,,,,
626,626,"Night and day change,",626,,,,,,,,,,
627,627,Day and night occur,627,,,,,,,,,,
628,628,There is a circular motion of the star.,628,,,,,,,,,,
629,629,The earth is actually flat,629,,,,,,,,,,
630,630,"""Day and night occur.",630,,,,,,,,,,
631,631,There's a difference in the morning and night.,631,,,,,,,,,,
632,632,"Life became habitable.""",632,,,,,,,,,,
633,633,The rotation of the earth causes a difference in performance and changes in seasons,633,,,,,,,,,,
634,634,the occurrence of day and night,634,,,,,,,,,,
635,635,"Day and Night Changes, Sun, Star, Moon Circular Movement, Forward Power",635,,,,,,,,,,
636,636,It is rotating at a tilt of 23.5 degrees.,636,,,,,,,,,,
637,637,I don't know,637,,,,,,,,,,
638,638,the rising and setting of the sun,638,,,,,,,,,,
639,639,"The rotation changes night and day, creates Corioli's conversion power, and also creates wind according to latitude.",639,,,,,,,,,,
640,640,Day and night occur.,640,,,,,,,,,,
641,641,"Due to the rotation of the earth, night and day are distinguished.",641,,,,,,,,,,
642,642,Familiarity and night arise.,642,,,,,,,,,,
643,643,G and O,643,,,,,,,,,,
644,644,I don't know.,644,,,,,,,,,,
645,645,The sun moves around the earth This is a phenomenon that occurs because the earth rotates.,645,,,,,,,,,,
646,646,You can observe the circadian motion of a star.,646,,,,,,,,,,
647,647,Day and night exist due to the rotation of the earth,647,,,,,,,,,,
648,648,"As the Earth rotates, night and day occur, and the season changes because it is tilted 23.5 degrees.",648,,,,,,,,,,
649,649,"Winds such as the western phenomenon, Corioli power, trade winds, westerlies, and ultra-western winds of extreme orbit satellites.",649,,,,,,,,,,
650,650,"Earth's rotation causes circadian movements such as the sun, moon, planets, and stars. In addition, due to the difference in rotation speed by latitude due to the Earth's rotation, the atmospheric large circulation has structures such as Hadley circulation, Ferrell circulation, and polar circulation. The gravitational pull toward the center of the Earth and the centrifugal force generated by the Earth's rotation combine to create a difference in gravity by latitude.",650,,,,,,,,,,
651,651,There is night and day.,651,,,,,,,,,,
652,652,I don't know.,652,,,,,,,,,,
653,653,The rotation of the earth changes night and day,653,,,,,,,,,,
654,654,"Day and night occur, constellations change in position",654,,,,,,,,,,
655,655,"Day and night occur, constellations are different, and seasons are different.",655,,,,,,,,,,
656,656,"The sun rises and sets.The time also changes. Also, the season has changed",656,,,,,,,,,,
657,657,Day and night change,657,,,,,,,,,,
658,658,Gravity,658,,,,,,,,,,
659,659,"As the earth rotates, constellations change, and as the moon and sun rotate, day and night occur.",659,,,,,,,,,,
660,660,The earth rotates to create a night with others,660,,,,,,,,,,
661,661,"Through the rotation of the earth, day and night change or the seasons change. (Climate change)",661,,,,,,,,,,
662,662,night and day change,662,,,,,,,,,,
663,663,"Night and day change, temperatures change, and seasons change.",663,,,,,,,,,,
664,664,The earth continues,664,,,,,,,,,,
665,665,Day and night change. There is a time difference.,665,,,,,,,,,,
666,666,"As time changes and the earth turns, it changes from face to night.",666,,,,,,,,,,
667,667,The world is bright when the sun is visible,667,,,,,,,,,,
668,668,"There is the sun in the center and the moon behind it, and when the earth rotates once, day and night are created by the rotation of the earth",668,,,,,,,,,,
669,669,The earth rotates and creates a love,669,,,,,,,,,,
670,670,The bicycle makes it bright and dark.,670,,,,,,,,,,
671,671,a phenomenon in which the sun rises in the east and sets in the west when the sun sets,671,,,,,,,,,,
672,672,The seasons change,672,,,,,,,,,,
673,673,"As the earth rotates, the time of all Ras is not the same, and the time of each country is different. The sun rises and sets again. As the earth rotates, it becomes dark and bright.",673,,,,,,,,,,
674,674,"""And because it rotates, we can observe the motion around the star. The sun and the moon rise and fall because of the bicycle.The reason why solar and lunar eclipses occur is that there is a point where the ecliptic and white dimensions coincide.And it's because the Earth rotates",674,,,,,,,,,,
675,675,"""",675,,,,,,,,,,
676,676,the occurrence of day and night,676,,,,,,,,,,
677,677,Day and night occur,677,,,,,,,,,,
678,678,"Because rotation occurs, day and night occur regularly.",678,,,,,,,,,,
679,679,"Each time, the amount of sunlight per unit area of each region is different, so the season changes. Various weather events occur.",679,,,,,,,,,,
680,680,"Star circadian motion, Sun circadian motion, Day and Night changes",680,,,,,,,,,,
681,681,"The rotation of the earth causes the sun and moon to rise and set, distinguishing day from night.",681,,,,,,,,,,
682,682,A day and night.,682,,,,,,,,,,
683,683,Day and night occur and seasonal changes occur.,683,,,,,,,,,,
684,684,"Due to the conversion force generated by the rotation of the earth, the atmospheric circulation in the northern and southern hemispheres is divided into three, resulting in westerlies and seasonal winds. Also, day and night are divided.",684,,,,,,,,,,
685,685,Seasonal changes occur because the Earth receives unbalanced solar energy from its rotation. Day and night are created by the rotation of the earth.,685,,,,,,,,,,
686,686,"The Earth's axis of rotation tilts 23.5 degrees, creating a turning force. Accordingly, the wind direction of the atmospheric large circulation is determined, and accordingly, the surface ocean current circulation occurs.",686,,,,,,,,,,
687,687,"The earth's rotation creates a conversion force, resulting in a large atmospheric circulation.",687,,,,,,,,,,
688,688,"Because the Earth's rotation intersects day and night, the Earth's temperature is generally balanced. As the earth rotates, the atmospheric circulation forms a circulating cell of trade winds, westerlies, and Far East winds as it is now.",688,,,,,,,,,,
689,689,"Due to the rotation of the earth, the area receiving sunlight changes, resulting in day and night. In addition, atmospheric circulation occurs due to the rotation of the earth, which affects the climate according to each latitude. In addition, the outer core inside the Earth is also moved by the internal heat of the Earth, and substances such as iron and nickel that can be magnetized are magnetized by the magnetic Earth, forming a vanallen zone, blocking harmful spacecraft from the outside.",689,,,,,,,,,,
690,690,"Day and night are caused by the rotation of the earth. In addition, stars and stars seen on Earth for a year change.",690,,,,,,,,,,
691,691,"As the Earth rotates, day and night occur, the sun moves around, and the star moves around.",691,,,,,,,,,,
692,692,"First, there are days and nights. Because the Earth rotates, the surface facing the sun and the surface facing the sun repeatedly change, resulting in day and night.Because the earth rotates slightly twisted, it creates a distinction between night and day, and changes in seasons occur.",692,,,,,,,,,,
693,693,"The Earth rotates, but it does not rotate standing upright, but it rotates at an inclination of about 26 degrees. Accordingly, the amount of solar radiation energy received while orbiting the sun varies depending on the latitude, and the season occurs.",693,,,,,,,,,,
694,694,"""1. The atmospheric circulation such as westerlies, trade winds, and Far East winds occurs due to the generation of forward forces.""",694,,,,,,,,,,
695,695,"2. Day and night occur.""",695,,,,,,,,,,
696,696,"Earth's rotation rotates with its axis tilted 23.5 degrees. Jet lag occurs due to rotation, and the temperature varies according to the Earth's",696,,,,,,,,,,
697,697,?,697,,,,,,,,,,
698,698,Turn around,698,,,,,,,,,,
699,699,I don't know.,699,,,,,,,,,,
700,700,Time difference,700,,,,,,,,,,
701,701,the ebb and flow of the tide,701,,,,,,,,,,
702,702,"The earth moves alone, and there is a time difference",702,,,,,,,,,,
703,703,a time difference,703,,,,,,,,,,
704,704,There's a Far East,704,,,,,,,,,,
705,705,Night and day occur,705,,,,,,,,,,
706,706,yes,706,,,,,,,,,,
707,707,Day and night,707,,,,,,,,,,
708,708,The earth's rotation makes up the atmospheric circulation of three circulatory cells.,708,,,,,,,,,,
709,709,Day and night occur,709,,,,,,,,,,
710,710,Day and night occur,710,,,,,,,,,,
711,711,"There's the circadian movement, the formation of a westerly style.",711,,,,,,,,,,
712,712,"The sun rises and sets, and the circulation of the atmosphere is divided into three.",712,,,,,,,,,,
713,713,Day and night exist.,713,,,,,,,,,,
714,714,A day and night.,714,,,,,,,,,,
715,715,A day and night.,715,,,,,,,,,,
716,716,Day and night change.,716,,,,,,,,,,
717,717,There are changes in appearance and night and the circadian movement of the celestial body,717,,,,,,,,,,
718,718,Foucault Pendulum Movement,718,,,,,,,,,,
719,719,Night and day.,719,,,,,,,,,,
720,720,Foucault's pendulum movement takes place.,720,,,,,,,,,,
721,721,Day and night occur.,721,,,,,,,,,,
722,722,Day and night change.,722,,,,,,,,,,
723,723,Well...,723,,,,,,,,,,
724,724,A day and night.,724,,,,,,,,,,
725,725,Rotating and sunny areas become daytime and vice versa.,725,,,,,,,,,,
726,726,Day and night occur,726,,,,,,,,,,
727,727,M and D,727,,,,,,,,,,
728,728,L.,728,,,,,,,,,,
729,729,Mall,729,,,,,,,,,,
730,730,I don't understand.,730,,,,,,,,,,
731,731,I don't understand.,731,,,,,,,,,,
732,732,I don't know.,732,,,,,,,,,,
733,733,Unknowingness,733,,,,,,,,,,
734,734,M and D,734,,,,,,,,,,
735,735,I don't understand.,735,,,,,,,,,,
736,736,I don't understand.,736,,,,,,,,,,
737,737,I don't understand.,737,,,,,,,,,,
738,738,Day and Night Generation,738,,,,,,,,,,
739,739,M and D,739,,,,,,,,,,
740,740,I don't know.,740,,,,,,,,,,
741,741,I don't know,741,,,,,,,,,,
742,742,night and day,742,,,,,,,,,,
743,743,There are days and nights.,743,,,,,,,,,,
744,744,M and D,744,,,,,,,,,,
745,745,Unknowingness,745,,,,,,,,,,
746,746,It's an idle game,746,,,,,,,,,,
747,747,.,747,,,,,,,,,,
748,748,I don't understand.,748,,,,,,,,,,
749,749,the change of day and night by bicycle,749,,,,,,,,,,
750,750,M and D,750,,,,,,,,,,
751,751,I don't know.,751,,,,,,,,,,
752,752,.,752,,,,,,,,,,
753,753,"Sunlight shines evenly as the earth rotates, resulting in nightlife and temperature differences at night and day",753,,,,,,,,,,
754,754,have a season,754,,,,,,,,,,
755,755,Change of position of the sun Change of position of the moon Change of position of the star,755,,,,,,,,,,
756,756,Change of position of the sun Change of position of the moon Change of position of the star,756,,,,,,,,,,
757,757,1. Change in the position of the sun 2. Change in the position of the moon 3. Change in the position of the stars,757,,,,,,,,,,
758,758,"Repetition of day and night, circadian motion of the celestial body, orbit change of the satellite, and direction change of the reciprocating motion of the Foucault pendulum",758,,,,,,,,,,
759,759,"""When the earth rotates, a day passes by",759,,,,,,,,,,
760,760,"The earth goes around once.""",760,,,,,,,,,,
761,761,"""If the earth is spinning itself along its axis,",761,,,,,,,,,,
762,762,Day and night occur,762,,,,,,,,,,
763,763,"""",763,,,,,,,,,,
764,764,"""The reason why the sun starts to appear from the east and seems to move west is because of the Earth's rotation. In other words, the sun seems to be moving from east to west because the earth rotates from west to east.",764,,,,,,,,,,
765,765,,765,,,,,,,,,,
766,766,The position of the moon seems to move from east to south and west during the day by the Earth's rotation.,766,,,,,,,,,,
767,767,,767,,,,,,,,,,
768,768,"In the case of Orion, which is seen in March, the sun's light is not visible during the bright day, but can be seen in the southern sky in the early evening when the sun disappears, and its location gradually changes over time to the western sky. The position does not change as the moon and stars move, but because the earth rotates, the moon and stars seem to move.""",768,,,,,,,,,,
769,769,"Night and day occur, and the position of the sun, the position of the moon, and the position of the star change.",769,,,,,,,,,,
770,770,"The reason why the sun starts to appear from the east and seems to move west is because of the Earth's rotation. In other words, the sun seems to be moving from east to west because the earth rotates from west to east.",770,,,,,,,,,,
771,771,"As the Earth rotates, it becomes day when it receives sunlight and night when it does not.",771,,,,,,,,,,
772,772,"The sun rises in the east every day, passes through the southern sky, and sets in the west.",772,,,,,,,,,,
773,773,"The stars do apparent exercises that go around once every day. """,773,,,,,,,,,,
774,774,1. Change in the position of the sun 2. Change in the position of the moon 3. Change in the position of the stars,774,,,,,,,,,,
775,775,"The reason why the sun starts to appear from the east and seems to move west is because of the Earth's rotation. In other words, the sun seems to be moving from east to west because the earth rotates from west to east.",775,,,,,,,,,,
776,776,"The sun, moon, and stars disappear from east to west, and the stars and moon seem to be moving because of the rotation",776,,,,,,,,,,
777,777,Night and day repeat,777,,,,,,,,,,
778,778,"""As the earth rotates, there is a night and day, and there is a difference in temperature and time",778,,,,,,,,,,
779,779,"And each country has a different time of night and face, temperature and time and time difference",779,,,,,,,,,,
780,780,"The circadian motion of stars occurs day and night, and the Earth is an ellipsoid with a convex equator and the purification of the atmosphere. There is also a magnetic field on Earth.",780,,,,,,,,,,
781,781,"The earth rotates and rotates from west to east with its rotation axis inclined 66.5¬∞ to the orbital plane. Earth's rotation is a phenomenon in which the Earth rotates once a day around its axis of rotation, and its rotation speed is about 15¬∞ per hour.",781,,,,,,,,,,
782,782,"""Day and night occur.",782,,,,,,,,,,
783,783,"The circadian motion of the celestial body (sun, moon, and star) occurs.",783,,,,,,,,,,
784,784,A forward force is created (a hypothetical force by the Earth's rotation that causes the motion of an object to bend to the right in the Northern Hemisphere),784,,,,,,,,,,
785,785,The equatorial side of the Earth is larger than the polar radius (because of centrifugal force),785,,,,,,,,,,
786,786,"""The reason why the sun starts to appear from the east and seems to move west is because of the Earth's rotation. In other words, the sun seems to be moving from east to west because the earth rotates from west to east.",786,,,,,,,,,,
787,787,The position of the moon seems to move from east to south and west during the day by the Earth's rotation.,787,,,,,,,,,,
788,788,"In the case of Orion, which is seen in March, the sun's light is not visible during the bright day, but can be seen in the southern sky in the early evening when the sun disappears, and its location gradually changes over time to the western sky. The position does not change as the moon and stars move, but because the earth rotates, the moon and stars seem to move.",788,,,,,,,,,,
789,789,,789,,,,,,,,,,
790,790,"""",790,,,,,,,,,,
791,791,1. Change in the position of the sun 2. Change in the position of the moon 3. Change in the position of the starsThere is a change of day and night.,791,,,,,,,,,,
792,792,"""1. Four Seasons""",792,,,,,,,,,,
793,793,"2. Black and white night phenomenon""",793,,,,,,,,,,
794,794,Night and day happen in a day.,794,,,,,,,,,,
795,795,The day and night.,795,,,,,,,,,,
796,796,the change of day and night,796,,,,,,,,,,
797,797,"Day and night, the circadian movement of stars",797,,,,,,,,,,
798,798,"As the earth rotates, the sun rises and sets, there is a ebb and flow of tide, and four seasons are created.",798,,,,,,,,,,
799,799,"Day and night exist in the rotation of the earth. Also, the circadian motion of the star appears.",799,,,,,,,,,,
800,800,Day and night are distinguished by the Earth's rotation because of the time of receiving sunlight and the time of not receiving sunlight.,800,,,,,,,,,,
801,801,Night and day.,801,,,,,,,,,,
802,802,The day and night.,802,,,,,,,,,,
803,803,The day and night.,803,,,,,,,,,,
804,804,There is a change of day and night.,804,,,,,,,,,,
805,805,"When the Earth rotates, it goes around once for about a day, which leads to day and night.",805,,,,,,,,,,
806,806,"Corioligim, the inertial force caused by the Earth's rotation, can be easily observed as water descends through the drain. In addition, when analyzing convection phenomena, a force is applied in a vertical direction in the direction of progress, which is also coriolis force.",806,,,,,,,,,,
807,807,"The sun and stars appear to rise and set as the earth rotates.""",807,,,,,,,,,,
808,808,A day and night.,808,,,,,,,,,,
809,809,A day and night.,809,,,,,,,,,,
810,810,"the rising and setting of the sun, the westerly winds of the northern hemisphere",810,,,,,,,,,,
811,811,Night and day.,811,,,,,,,,,,
812,812,Day and night are caused by the rotation of the earth.,812,,,,,,,,,,
