,Unnamed: 0,"2. I bought a winter heating device, and I heard that it is better to install it at the bottom of the classroom, not on the wall of the classroom, to make the entire classroom warm. Let's explain in detail why it's good to install a heating device at the bottom of the classroom using our knowledge of the movement of heat in the gas. ",Unnamed: 0,q2_convection,q2_density difference,q2_convection.1,q2_density difference.1
414,414,"""When the heater is underneath, it warms the cold air and warms the whole body by going from bottom to top.""",414,,,,
415,415,"Because heat moves up, you can feel the heat longer by installing the heating device at the bottom.",415,,,,
416,416,The movement of gases is because warm air has a property of going up.,416,,,,
417,417,Hot gas is hot because of its rising temper,417,,,,
418,418,Hot or cold goes up and cold goes down,418,,,,
419,419,Heat moves from bottom to top,419,,,,
420,420,Because cold air moves from top to bottom and warm air moves from bottom to top.,420,,,,
421,421,Because the heat moves from bottom to top,421,,,,
422,422,It goes up from bottom to top,422,,,,
423,423,I don't know,423,,,,
424,424,I don't like it.,424,,,,
425,425,It's because the hot air goes up.,425,,,,
426,426,Hot air goes up and cold air goes down,426,,,,
427,427,"The heat goes down from the top to the Are, so it's to keep warm",427,,,,
428,428,"""Because the hot air goes up and the cold air goes down",428,,,,
429,429,"""",429,,,,
430,430,It's because the warm air goes up,430,,,,
431,431,It's down because the hot air goes up,431,,,,
432,432,Because the hot air goes up,432,,,,
433,433,"If you put the air conditioner on top, it will cool down quickly, but the heating system will heat up from the bottom",433,,,,
434,434,"Hot air goes up, so the heater needs to be underneath to warm up faster.",434,,,,
435,435,Hot heat goes up and cold air goes down,435,,,,
436,436,This is because the cold air goes up and the warm air goes down.,436,,,,
437,437,Warm air goes up and cold air goes down,437,,,,
438,438,Reason: Because the air from the heater goes up,438,,,,
439,439,"This is because if hot air goes up and is installed below, the whole thing gets warm.",439,,,,
440,440,"""The hot air moves up from the area, so it's better to install the heating system on the area",440,,,,
441,441,It's efficient,441,,,,
442,442,This is because hot air goes up and cold air goes down,442,,,,
443,443,"""The cold air goes from the top to the Are",443,,,,
444,444,"The warm air goes up the Areser.""",444,,,,
445,445,A warm disposition is one that goes from bottom to top,445,,,,
446,446,My knowledge is not up to there,446,,,,
447,447,The heat goes up,447,,,,
448,448,convection,448,,,,
449,449,"Hot air tends to go up because of its low density, so air circulation occurs well.",449,,,,
450,450,"The hotter the air, the less dense it is, so it floats upward",450,,,,
451,451,convection,451,,,,
452,452,"If you place a heating device at the bottom, the air from the heating device rises from the bottom to the top, and the inside of the classroom is convected.",452,,,,
453,453,"Because warm air rises and cold air falls due to convection, when the heating device is installed above, warm air comes down and then rises again (so it is more efficient to install the cooling device above)",453,,,,
454,454,"Since the density of hot gas is lower than that of cold gas, cold gas goes down and hot gas goes up, so heating equipment must be installed down to warm the entire classroom.",454,,,,
455,455,"The warm air is light and goes up, so the air is convection and the whole classroom gets warm",455,,,,
456,456,Boiler,456,,,,
457,457,"The gas goes up from the bottom, so it's better to install it underneath",457,,,,
458,458,The direction of the wind flows like that,458,,,,
459,459,This is because warm air rises from bottom to top.,459,,,,
460,460,This is because hot air can go up and warm the whole class.,460,,,,
461,461,The air goes from bottom to top,461,,,,
462,462,This is because warm air goes from bottom to top.,462,,,,
463,463,"The heat goes up from the bottom, so it should be installed at the bottom",463,,,,
464,464,"Since the heat rises from the bottom to the top, it must be installed below to fill the entire classroom with warm heat.",464,,,,
465,465,"When the heat rises from the bottom, it warms up to the top",465,,,,
466,466,The warm gas goes up and the cold gas goes down,466,,,,
467,467,This is because warm air goes up.,467,,,,
468,468,This is because the heat will spread to the side and make it warmer.,468,,,,
469,469,It's because the heat goes up from bottom to bottom,469,,,,
470,470,Because heat goes up in a gas,470,,,,
471,471,"Hot air than the surrounding air has the property of moving upward, so it is better to install a heating device at the bottom of the classroom for air circulation.",471,,,,
472,472,"This is because warm air moves up because it is light and cold air moves down because it is heavy, so heating devices must be installed underneath to make the entire classroom warm quickly.",472,,,,
473,473,This is because hot gases have the property of going down.,473,,,,
474,474,"""",474,,,,
475,475,"Heat moves from bottom to top, so it is recommended that the heater (heating appliance) be installed on the bottom",475,,,,
476,476,I don't know.,476,,,,
477,477,I don't know.,477,,,,
478,478,I don't know,478,,,,
479,479,"Warm heat rises above, so it is effective to put it below",479,,,,
480,480,.,480,,,,
481,481,The hot air goes up,481,,,,
482,482,"Warm air goes up, so it's better to install a heating device at the bottom",482,,,,
483,483,The hot air goes up,483,,,,
484,484,The warm air goes up,484,,,,
485,485,"Warm air goes up because it circulates from bottom to top, and warm air circulates everywhere.",485,,,,
486,486,Because the warm air goes up,486,,,,
487,487,"The hot wind goes up because it is light. So if you install it underneath, the warm wind spreads overall.",487,,,,
488,488,"The heat goes up, so it should be installed underneath to warm up the whole classroom",488,,,,
489,489,"Since warm air has the property of going up, it is more efficient to install a heating device below.",489,,,,
490,490,"Since the heat goes up, it should be installed below to warm the entire classroom.",490,,,,
491,491,The hot air goes up,491,,,,
492,492,Because warm air goes up.,492,,,,
493,493,"Since heat moves from bottom to top, heat can spread widely only when heating devices are placed at the bottom of the classroom.",493,,,,
494,494,"Warm air moves up, so when installed at the bottom, the air goes up and the whole classroom gets warm",494,,,,
495,495,The hot air goes up,495,,,,
496,496,"The hot wind is light, so it goes up and stays",496,,,,
497,497,"The good thing about installing a heating device at the bottom of the classroom is that the heat goes up from the bottom, so I think the heat will pass faster if installed at the bottom",497,,,,
498,498,The warm air goes up,498,,,,
499,499,Because warm air moves from bottom to top,499,,,,
500,500,"Warm gases go up, so air is spread all over the place only when it is installed at the bottom.",500,,,,
501,501,I said I don't know.,501,,,,
502,502,None.,502,,,,
503,503,convection,503,,,,
504,504,"""It is better to install hot air below because it goes up",504,,,,
505,505,"""",505,,,,
506,506,It is recommended that heating devices be installed below because the hot heat goes up.,506,,,,
507,507,The hot air goes up,507,,,,
508,508,Because warm air goes from bottom to top.,508,,,,
509,509,Cold air goes down because it is heavy and hot air goes up because it is relatively lighter than cold air,509,,,,
510,510,Because it's warm when the heat goes up from bottom to top,510,,,,
511,511,Because hot air goes up and cold air goes down,511,,,,
512,512,Because hot air goes up and cold air goes down,512,,,,
513,513,"""The heat shift goes up",513,,,,
514,514,"""",514,,,,
515,515,"Since hot air is subject to rising air, it must be installed below to spread evenly throughout the classroom.",515,,,,
516,516,It is because the cold air is going down,516,,,,
517,517,"Due to convection,",517,,,,
518,518,"When the temperature of the gas is high, molecular motion becomes active, and the density decreases, and the air rises.Therefore, heating devices should be installed at the bottom to make the entire classroom warm.",518,,,,
519,519,This is because warm air goes up and cold air goes down.,519,,,,
520,520,Yeah,520,,,,
521,521,Warm gases should be placed from bottom to top to bottom to circulate.,521,,,,
522,522,"This is because warm gases move from bottom to top, so it is efficient to put the heating device down.",522,,,,
523,523,Because the cold air is underneath and the hot air is up causing convection,523,,,,
524,524,"Cold air sinks because it is heavy and warm air goes up because it is light, so heat is installed at the bottom to warm it up from bottom to top",524,,,,
525,525,"Relatively hot heat increases in volume and decreases in density. Then, since the low-density hot air can rise up due to convection, and conversely, cold air can go down and circulate, installing a heating device at the bottom of the classroom is advantageous for heating the entire classroom.",525,,,,
526,526,This is because hot air goes up and cold air goes down.,526,,,,
527,527,"When the air is warmed by the heating device, the gas expands and the mass per unit area decreases, so the density decreases and goes up, so that the heating device must be installed at the bottom to circulate warm air smoothly.",527,,,,
528,528,"As the temperature of the gas increases, the density of the gas decreases, so the gas goes up.",528,,,,
529,529,"Therefore, it is recommended to install a heating device at the bottom of the classroom to make the entire classroom warm.""",529,,,,
530,530,It gets warmer,530,,,,
531,531,"Hot air goes up, hot air circulates when it comes out of the bottom",531,,,,
532,532,"Warm air is heavier than cold air, so it sinks below.",532,,,,
533,533,Because the hot air goes up,533,,,,
534,534,Warm air goes from bottom to top,534,,,,
535,535,"Hot air floats up, so it goes from bottom to top and gets warm",535,,,,
536,536,The warm air is light and goes up,536,,,,
537,537,Because warm heat goes up,537,,,,
538,538,This is because hot gases go up.,538,,,,
539,539,This is because warm gas goes up when it is installed at the bottom of the classroom.,539,,,,
540,540,"Because hot air goes up, it goes up when the air gets warm from below",540,,,,
541,541,This is because warm air goes up.,541,,,,
542,542,"Due to the convection of gases, warm air moves up and down, so the atmosphere in the classroom circulates only when the heating mechanism is underneath",542,,,,
543,543,The heat goes from bottom to top,543,,,,
544,544,Hot heat goes up because it's light,544,,,,
545,545,This is because high-temperature heat moves from low to high.,545,,,,
546,546,Lee Young-chul,546,,,,
547,547,Hehe I don't know,547,,,,
548,548,"Warm air goes up, so slowly warms up underneath",548,,,,
549,549,He he,549,,,,
550,550,The warm air is heavy,550,,,,
551,551,the d-hope,551,,,,
552,552,from bottom to top,552,,,,
553,553,Warm air goes up and cold air goes down,553,,,,
554,554,Heat travels from high to low latitudes.,554,,,,
555,555,1,555,,,,
556,556,"Warm air moves up and cold air moves down, so heating devices are recommended to be installed below",556,,,,
557,557,1,557,,,,
558,558,Hera because the warm air is heavy and the cold air goes up,558,,,,
559,559,?ê·Ñâ?©„Öî?±„Öê?¥„Ñ∑;???â·Ö©??ÑÖ?¶„Ñ±,559,,,,
560,560,I don't know,560,,,,
561,561,Warm air goes up and cold air goes down,561,,,,
562,562,"High-temperature gases move up, so when installed below, the whole thing warms up",562,,,,
563,563,"High-temperature air has the property of going up, so it must be installed at the bottom to circulate air.",563,,,,
564,564,Warm air moves up,564,,,,
565,565,I don't know,565,,,,
566,566,Because the air warms up and the cold goes down,566,,,,
567,567,Hot air goes up,567,,,,
568,568,"Since the relatively low-density hot air moves upward due to convection, it must be installed at the bottom to heat the entire classroom.",568,,,,
569,569,This is because it is more efficient to circulate by installing a heating device below because warm gas goes up and cold gas goes down.,569,,,,
570,570,"Since hot air with low density rises above and relatively cold air descends below due to high density, heating devices that provide warm air should be installed at the bottom of the classroom for heating effect.",570,,,,
571,571,"The cold heat sinks below, while the hot heat has the property of moving heat up.Therefore, you have to install a heating device below so that the hot air rises up and the cold air above comes down, causing convection and making the classroom warm.",571,,,,
572,572,I don't know,572,,,,
573,573,That's how the heat gets through the floor,573,,,,
574,574,"This is because if you install it on the floor, the floor gets warm and the classroom gets warm",574,,,,
575,575,"Since warm air goes up, heating devices must be installed at the bottom to warm the entire classroom quickly.",575,,,,
576,576,"Since hot air goes up and cold air flows down, it is recommended to install the heating device down to get it up as low as possible.",576,,,,
577,577,The heat shift goes from bottom to top,577,,,,
578,578,This is because the heat rises from bottom to top.,578,,,,
579,579,Because the hot heat goes up and the cold heat goes down,579,,,,
580,580,The warm air goes up,580,,,,
581,581,The heat goes up,581,,,,
582,582,The bottom part is warmer,582,,,,
583,583,The warm gas goes up,583,,,,
584,584,"Because the warm gas goes up,",584,,,,
585,585,The heat goes from bottom to top,585,,,,
586,586,"Hot barges move up from hot to cold, so they have to be placed behind",586,,,,
587,587,Because hot heat goes up,587,,,,
588,588,Warm air goes up and cold air goes down,588,,,,
589,589,"When installed at the bottom of the classroom, the hot air rises and cools down, so that the vacuum can be re-energized and the classroom can be warmed.",589,,,,
590,590,"If you install a heating device on the wall, for example, if you divide the classroom by three-thirds, only two-thirds of the heat comes out, but if you install it at the bottom of the classroom, all the heat comes in the classroom.",590,,,,
591,591,This is because heat spreads gradually due to the gas.,591,,,,
592,592,"Since the heat rises from the bottom to the top, the bottom may be warmer than the wall.",592,,,,
593,593,The heat goes up,593,,,,
594,594,I'm turning it off,594,,,,
595,595,The heat goes up from top to bottom,595,,,,
596,596,I don't know.,596,,,,
597,597,"""The heat goes from top to bottom",597,,,,
598,598,"""",598,,,,
599,599,The hot air goes up,599,,,,
600,600,Warm air moves up,600,,,,
601,601,"Warm air goes up, and cold air goes down",601,,,,
602,602,"Hot air goes up. If you install a heater on top, hot air doesn't come in",602,,,,
603,603,Warm air moves from bottom to top,603,,,,
604,604,Because the warm air goes up,604,,,,
605,605,"This is because hot air moves upward, so it must be installed at the bottom to move hot air upward.",605,,,,
606,606,Warm gases are lighter than cold gases,606,,,,
607,607,Warm gases go up and cold gases go down,607,,,,
608,608,Because cold air moves down and warm air moves up,608,,,,
609,609,The cold air is up and the warm air is down Because it gets colder and goes up,609,,,,
610,610,Heat moves from bottom to top,610,,,,
611,611,Because the warm air goes down,611,,,,
612,612,"Because the hot heat goes up So if you install it underneath, the whole place can be warm from bottom to top",612,,,,
613,613,"This is because the volume of the ground is larger than the volume of the wall, so the volume capable of generating heat is larger, so heat is easily generated.",613,,,,
614,614,"Because warm air tends to face up, it must be installed below to warm the cold air below, warming the classroom.",614,,,,
615,615,Heat moves from bottom to top,615,,,,
616,616,"If you install it on the bottom, it can spread out and convey warmth",616,,,,
617,617,This is because hot heat rises from bottom to top.,617,,,,
618,618,It's because of convection,618,,,,
619,619,It's because the hot wind goes up,619,,,,
620,620,Warm air goes up,620,,,,
621,621,Because the warm air goes from bottom to top,621,,,,
622,622,The heat energy that's around me goes up,622,,,,
623,623,Warm air goes up,623,,,,
624,624,"Hot gases have a habit of going up, so they are installed at the bottom.",624,,,,
625,625,Hot gases are installed at the bottom because they have the property of going from bottom to top.,625,,,,
626,626,Hot gases are installed at the bottom because they have the property of going from bottom to top.,626,,,,
627,627,Hot gases are installed downward because they go from bottom to top,627,,,,
628,628,Hot air goes up,628,,,,
629,629,Because hot air goes up,629,,,,
630,630,Because the hot air goes up,630,,,,
631,631,"Hot gases have the property of going from bottom to top, so they should be installed downward.",631,,,,
632,632,The hot air is unstable up and tries to move up and the cold air is stable and moves down,632,,,,
633,633,Hot air is convection from bottom to top,633,,,,
634,634,Because the heat goes up.,634,,,,
635,635,It's too dangerous,635,,,,
636,636,heat circulation,636,,,,
637,637,The hot air expands and the pressure decreases and goes up,637,,,,
638,638,This is because hot air goes up and cold air goes down.,638,,,,
639,639,"Because hot air goes up and cold air goes down, hot air can be circulated evenly by forming hot air at the bottom.",639,,,,
640,640,"This is due to convection. Hot air has a property of going up, and to use it, it is recommended that the heater be installed below and the cooler be installed above.",640,,,,
641,641,The hot air went up It's because it comes down easily,641,,,,
642,642,"Since hot air rises upward, it is recommended to install it below because convection is easy to occur.",642,,,,
643,643,Because I feel good when my feet are warm.,643,,,,
644,644,This is because warm air rises upward.,644,,,,
645,645,"In the circulation of heat, cold air goes down and warm air goes up, so the cooling is installed up and down in order for heat diffusion to occur efficiently.",645,,,,
646,646,Because the heat moves up,646,,,,
647,647,This is because the relatively hot gas moves upward.,647,,,,
648,648,But why are all schools equipped with heating devices?(Reverse question),648,,,,
649,649,I don't know,649,,,,
650,650,Because the warm air rises.,650,,,,
651,651,It is recommended that the hot air be installed below because it is facing up.,651,,,,
652,652,This is because the hot air goes up.,652,,,,
653,653,Warm air goes up and cold air goes down so that circulation takes place.,653,,,,
654,654,This is because hot heat rises upward due to convection.,654,,,,
655,655,High temperature moves up and low temperature moves to ?Ö·Ö©,655,,,,
656,656,I don't know.,656,,,,
657,657,This is because cold air goes down and warm air goes up.,657,,,,
658,658,"Warm heat has the property of rising, so when installed below, the entire classroom can be warmed.",658,,,,
659,659,Heat goes from bottom to top,659,,,,
660,660,This is because warm air moves from bottom to top.,660,,,,
661,661,"Warm air has the property of going up. Therefore, it is good to install the heating device at the bottom because it can warm the entire air.",661,,,,
662,662,"By convection, the hot fluid moves up and the cold fluid moves down. Therefore, heat circulation occurs by installing a heating device at the bottom of the classroom, warming the entire classroom.",662,,,,
663,663,Warm energy comes up from your feet to your body,663,,,,
664,664,"It's because if you do it on the floor, the half-body gets warm",664,,,,
665,665,It's because the hot heat goes up,665,,,,
666,666,I can stay warm,666,,,,
667,667,"Originally, warm air has the properties of going up, and cold air is underneath",667,,,,
668,668,"Since hot air goes up, heating devices must be installed below to fill the space with warm air.",668,,,,
669,669,It is better to install it at the bottom because the hot air goes down and down,669,,,,
670,670,Hot air goes up and cold air goes down,670,,,,
671,671,"Warm air in the air is light and goes up and cold air goes down because it is heavy, so if you put it underneath, the air below becomes cold, so it goes up and down again over time, and the room gets warmer faster.",671,,,,
672,672,"Because the warm air goes up,",672,,,,
673,673,"If the cold air is on the classroom, installing a heating device under the classroom will keep the hot air going up and the cold air going down repeatedly, making the half warm.",673,,,,
674,674,"""",674,,,,
675,675,The heat goes up,675,,,,
676,676,"When you think about boiling water, the floor gets hot. This is because if the air conditioner is attached to the ceiling, the ceiling becomes the floor, so the heat can come down and burn.",676,,,,
677,677,It's because the air goes up,677,,,,
678,678,Because warm air goes up from bottom to top,678,,,,
679,679,"Because cold air goes down and warm or hot air goes up, the whole thing gets warm because it can warm up the cold air below.",679,,,,
680,680,Because warm air gets warmer if you turn it from bottom to top,680,,,,
681,681,The cold air goes up and the warm air goes down,681,,,,
682,682,Mall,682,,,,
683,683,It's because the hot air goes up,683,,,,
684,684,"""When there's warm wind from above, it gets warm quickly because it's only from above.""",684,,,,
685,685,"This is because when warm wind comes out, it gets warm quickly.""",685,,,,
686,686,"The heat goes up from bottom to bottom, so it's better to install the heating system underneath",686,,,,
687,687,"Since the heat goes up from bottom to bottom, it would be better to avoid the heating system at the bottom of the room.",687,,,,
688,688,It uses the properties of hot air rising up The air conditioner also uses the properties of cold air going down,688,,,,
689,689,Because the heat moves up,689,,,,
690,690,Because warm air rises,690,,,,
691,691,This is because hot air has the property of going upward rather than relatively cold air.,691,,,,
692,692,"This is because warm air has the property of floating up, making heat start from the floor and circulate throughout the classroom.",692,,,,
693,693,"Hot air goes up through convection and cold air goes down, so it is recommended that heating devices be installed below.",693,,,,
694,694,"This is because warm air has a lower density than cold air, so it is efficient to install a heating device at the bottom to evenly transfer heat to the entire space.",694,,,,
695,695,"This is because the cold wind goes down and the warm wind goes up according to convection in the gas, so if you install the heating device underneath, you can eventually heat both up and down.",695,,,,
696,696,"Since hot air is light and has the property of going up, it needs to be installed below to circulate air well and warm the whole.",696,,,,
697,697,This is because heating equipment is installed below to raise the warm air from it and raise the temperature of the entire classroom.,697,,,,
698,698,"By convection, hot air goes up and cold air goes down. However, if heating equipment is installed on the wall of the classroom, the hot air stays only at the top, so the entire classroom cannot be warmed. However, when installed at the bottom of the classroom, it moves from the bottom to the top, making the entire classroom warm.",698,,,,
699,699,"This is because when it gets hot, the density of air decreases and moves upward, resulting in convection.",699,,,,
700,700,Because the convection phenomenon causes hot air to rise and cold air to descend on its own.,700,,,,
701,701,"Since the density of hot air is smaller, convection occurs in which hot air moves upward and cold air moves downward. Therefore, since the hot heat from the heating device moves upward, it must be installed below in order to circulate it throughout the classroom.",701,,,,
702,702,"Gas containing a lot of heat energy in a gas has a property of going up compared to a gas with a lower temperature. This is because substances with high temperatures in liquid and gas convection have the property of going up, so placing them down can relatively effectively transfer heat convection.",702,,,,
703,703,The gas warmed by the heat source rises upward. Heating equipment should be installed at the bottom of the classroom so that the warm air rises upward and the cold gas descends and warms the entire classroom.,703,,,,
704,704,"Hot air is lighter because the density between molecules is lower than cold air. Thus, hot air rises above cold air, which is a convection phenomenon If the heating system is installed on top, warm air from the heating system cannot go down and heat energy cannot be delivered to the bottom of the classroom, but if the heating system is installed on the bottom of the classroom, warm air goes up through the bottom and supplies heat to the entire classroom.",704,,,,
705,705,"Since warm air moves from bottom to top, the air must be warmed from the air below so that it can spread throughout the classroom and warm the entire classroom.",705,,,,
706,706,"Since the hot heat rises upward, the heating device is installed below to cause convection so that the entire classroom is heated.",706,,,,
707,707,"Cold air has the property of coming down and warm air has the property of going up. Therefore, when the heating device is installed at the bottom, the warm air heated from the bottom rises upward, and when the relatively cold upper air descends downward, it is heated again and goes up, which can efficiently heat efficiently.",707,,,,
708,708,"Due to convection, warm air with low density rises upward. Therefore, when the heating device is raised below, warm air and cold air are naturally mixed by convection.",708,,,,
709,709,"Warm gases move up because they are light, and cold gases move down because they are heavy. Because of this nature, it is recommended that the heating be installed below to keep the entire classroom warm.",709,,,,
710,710,?,710,,,,
711,711,Well.,711,,,,
712,712,The warm temperature goes up,712,,,,
713,713,The warm air goes up,713,,,,
714,714,Warm air moves from bottom to top,714,,,,
715,715,It's warm and the air goes up,715,,,,
716,716,The warm air goes up,716,,,,
717,717,Hot air goes up and down the cold air,717,,,,
718,718,The warm air is underneath,718,,,,
719,719,yes,719,,,,
720,720,It goes up when the air gets hot,720,,,,
721,721,"Since the air warmed by the heating device rises, it must be installed below to circulate air.",721,,,,
722,722,Warm air has a rising property.,722,,,,
723,723,It's hot. It goes up,723,,,,
724,724,.,724,,,,
725,725,heat transfer,725,,,,
726,726,This is because air with high temperature has the property of rising up.,726,,,,
727,727,Because warm air goes up and the air circulates.,727,,,,
728,728,The heat rises from the bottom and warms the whole.,728,,,,
729,729,This is because warm air goes up.,729,,,,
730,730,It's because hot gases go up,730,,,,
731,731,"The hot air goes up. If you set it up, it'll just float up",731,,,,
732,732,by applying convection phenomena,732,,,,
733,733,"Since hot air rises upward due to its low density, convection of air occurs when the heating device is underneath.",733,,,,
734,734,"Cold air descends and hot air rises, so it is better to install it below to increase the temperature of the classroom efficiently.",734,,,,
735,735,The warm air goes up,735,,,,
736,736,"Since heat goes from bottom to top and is transferred from top to bottom again by convection, in conclusion, the entire classroom is warmed.",736,,,,
737,737,This is because hot air circulates upward and cold air downward due to the convection of gas.,737,,,,
738,738,"As the air is warm by the cystic apparatus, the ball can go up and heat the air quickly.",738,,,,
739,739,"As the warm air goes up, the cold air and convection occur, and the whole classroom gets warm",739,,,,
740,740,M and D,740,,,,
741,741,?ø„Öá??741.0,"748,1,0,,",,,,
742,742,Mall,742,,,,
743,743,I don't understand.,743,,,,
744,744,I don't understand.,744,,,,
745,745,I don't know.,745,,,,
746,746,I don't know,746,,,,
747,747,M and D,747,,,,
748,748,I don't understand.,748,,,,
749,749,I don't understand.,749,,,,
750,750,I don't understand.,750,,,,
751,751,Hot air goes up,751,,,,
752,752,M and D,752,,,,
753,753,I don't know.,753,,,,
754,754,I don't know,754,,,,
755,755,I don't understand.,755,,,,
756,756,M and D,756,,,,
757,757,M and D,757,,,,
758,758,I don't know,758,,,,
759,759,The hot air went up,759,,,,
760,760,.,760,,,,
761,761,I don't understand.,761,,,,
762,762,Heat goes up,762,,,,
763,763,M and D,763,,,,
764,764,I don't know.,764,,,,
765,765,.,765,,,,
766,766,Hot air goes up,766,,,,
767,767,The hot air goes up,767,,,,
768,768,"""Because the cold air goes up under the warm high air",768,,,,
769,769,"""",769,,,,
770,770,Because cold air goes down and warm air goes up,770,,,,
771,771,Because cold air goes down and warm air goes up,771,,,,
772,772,This is because hot air has a strong property to go up.,772,,,,
773,773,"""The hot air goes up,",773,,,,
774,774,Because the cold air goes down,774,,,,
775,775,"If you put it down, air circulates well.""",775,,,,
776,776,"Hot air goes up and cold air goes down, so I think it's better to install a heating device at the bottom",776,,,,
777,777,"Hot air tends to go up and cold air tends to go down Therefore, it is recommended to install the heating system at the bottom and the air conditioning system at the ceiling in a high place",777,,,,
778,778,The hot air goes up,778,,,,
779,779,This is because cold air goes down and warm air goes up.,779,,,,
780,780,"Since warm gases have the property of going up, they must be installed at the bottom to circulate air.",780,,,,
781,781,"Hot heat has a property of rising up, so it is installed underneath so that air circulates well.",781,,,,
782,782,"At high temperatures, the gas goes up, so when installed on top, the bottom may not be warm",782,,,,
783,783,"Hot air has the property of moving from bottom to top, so installing a heating device at the bottom can warm up relatively faster than when installed in the heat",783,,,,
784,784,"Hot heat goes up, so it's better to install it at the bottom",784,,,,
785,785,"Because the warm air goes up,",785,,,,
786,786,"If you install it at the bottom of the classroom, the heat movement becomes more active because if you install it at the bottom, the heat particles collide with the wall a lot, so it warms the temperature in the classroom faster",786,,,,
787,787,Because the heat goes up,787,,,,
788,788,Because warm air goes up,788,,,,
789,789,Warm air is light and needs to be installed below,789,,,,
790,790,Because the warm air goes up.,790,,,,
791,791,1. Fire prevention activities and fire preparation training should be conducted at all times because it is difficult to recognize fire in advance because it does not occur in a specific period of time.,791,,,,
792,792,,792,,,,
793,793,Attached Image,793,,,,
794,794,,794,,,,
795,795,2. The school manager shall establish an evacuation plan due to a fire,795,,,,
796,796,The self-defense fire brigade in the school should be organized to conduct fire drills.,796,,,,
797,797,"3. Basic fire prevention checklist (turn off the lights, turn off the fans,",797,,,,
798,798,"Check the body by attaching computer and TV power drawers, etc",798,,,,
799,799,It has to be done.,799,,,,
800,800,,800,,,,
801,801,"4. Fire extinguishers shall be kept at least one in the classroom and at least one in the hallway every 20m, and the supplement condition shall be kept every six months",801,,,,
802,802,It should be checked.,802,,,,
803,803,,803,,,,
804,804,"5. After school or during vacation, you must unplug the power cord of the teacher's computer, monitor, and projection TV.",804,,,,
805,805,,805,,,,
806,806,6. Do not plug multiple electrical appliances into one outlet in the classroom or laboratory,806,,,,
807,807,You must use a multi-tap outlet.,807,,,,
808,808,,808,,,,
809,809,"7. If you are not using a cooling or heating device, you must unplug the power cord.",809,,,,
810,810,,810,,,,
811,811,8. Classroom trash must be collected and the trash can must be emptied.,811,,,,
812,812,,812,,,,
813,813,"9. After school or during the vacation, you have to pull out the computer, photocopier, coffee pot, etc. power cord of the teacher's office",813,,,,
814,814,,814,,,,
815,815,10. Personal heating devices should not be used in the teacher's room.,815,,,,
816,816,,816,,,,
817,817,"11. Locate the fire hydrant and check the condition of the hose and nozzle. During vacation, check the fire receiver",817,,,,
818,818,"I have to work on duty. """,818,,,,
819,819,"Since the warm air is light, the heater should be installed below to warm the entire classroom.",819,,,,
820,820,"Since the warm air is light, the heater should be installed below to warm the entire classroom.",820,,,,
821,821,Warm air is light,821,,,,
822,822,Hot air rises because of its low density,822,,,,
823,823,Hot air goes up,823,,,,
824,824,Warm air goes up,824,,,,
825,825,Warm air goes up from the bottom,825,,,,
826,826,"In order for the classroom to be warmed as a whole by the convection phenomenon in which the hot thing rises, it must be installed below.",826,,,,
827,827,Warming up,827,,,,
828,828,It's warm because it comes up from the bottom,828,,,,
829,829,The hot air goes up,829,,,,
830,830,Because the warm air goes up.,830,,,,
831,831,"Since heat goes from bottom to top, heat is evenly transferred if it goes below.",831,,,,
832,832,be warm with fire,832,,,,
833,833,The warm air goes up,833,,,,
834,834,It's hard for the heat to go down and come up,834,,,,
835,835,Warm or hot air goes up,835,,,,
836,836,Because heat moves from bottom to top.,836,,,,
837,837,"If the heat is below, it goes up and warms the air, but if the heat is above, it's hard to go down, so it's more efficient to put it down.",837,,,,
838,838,"Warm air goes up from bottom to top, so air can circulate.",838,,,,
839,839,"Hot air rises up because of convection. For this reason, it is efficient to install it below.",839,,,,
840,840,kinetic energy,840,,,,
841,841,"Because warm air goes up, it warms the cold air below and goes up",841,,,,
842,842,I don't know.,842,,,,
843,843,"Warm air is lighter than cold air, so it goes up from and up",843,,,,
844,844,"Because we're down there, but we're not up there.",844,,,,
845,845,There's cold air down there,845,,,,
846,846,Because gases circulate as cold air goes up and warm air goes down,846,,,,
847,847,There's a fever coming out from the bottom because it's getting warmer and warmer in the classroom.,847,,,,
848,848,Because it's warm,848,,,,
849,849,I don't know.,849,,,,
850,850,This is because hot things go up because of convection.,850,,,,
851,851,The gas has an upward tendency So you have to install it on the bottom so that it can go up and make the classroom warmer,851,,,,
852,852,This is because warm air goes up and cold air goes down.,852,,,,
853,853,This is because warm air rises when convection occurs.,853,,,,
854,854,Because the density is small,854,,,,
855,855,Because the gas is convective and heat travels,855,,,,
856,856,This is because warm air moves upward and cold air moves downward due to convection.,856,,,,
857,857,"Since hot air goes up due to convection, heating devices must be installed below to warm the entire classroom.",857,,,,
858,858,"Hot gases rise from bottom to top, so it is recommended to install heating devices underneath.",858,,,,
859,859,Hot air moves up and cold air moves down by convection.,859,,,,
860,860,Warm gases rise up.,860,,,,
861,861,The hot air goes up,861,,,,
862,862,"Due to convection,",862,,,,
863,863,convection,863,,,,
864,864,Because warm meat goes up in the convection of air,864,,,,
865,865,Warm ones tend to go up and cold ones tend to go down and should be installed at the bottom.,865,,,,
866,866,Go up,866,,,,
867,867,Warm air goes down and cold air goes up,867,,,,
