,Unnamed: 0,"3. The butane gas fuel used to cook food outdoors is liquid in the butane gas cylinder, but when it comes out, it becomes a gas and catches fire. Why do we keep gas-based substances in a liquid state? Let's explain in detail using our knowledge of the state change of matter.",Unnamed: 0,q3_particle arrangement,q3_storage,q3_reactivity,q3_confirmation,q3_particle arrangement.1,q3_For storage.1,q3_reactivity. 1,q3_For checking.1
399,399,Gas is stored in a gaseous state by changing it into a liquid state because it is invisible and untouchable.,399,,,,,,,,
400,400,Butane gas is vaporized and ignited when it is converted into gas in an eczema state,400,,,,,,,,
401,401,It's dangerous,401,,,,,,,,
402,402,Place in gas and cook in solid,402,,,,,,,,
403,403,It's dangerous to stay in the gas,403,,,,,,,,
404,404,I don't know,404,,,,,,,,
405,405,I don't know.,405,,,,,,,,
406,406,I don't know.,406,,,,,,,,
407,407,Because the gas is strong,407,,,,,,,,
408,408,"If you keep it in a liquid state, it doesn't escape like gas",408,,,,,,,,
409,409,Because it evaporates,409,,,,,,,,
410,410,"""If you put it in a gas, the particles will get smaller, and it will move between the small holes in the bottle",410,,,,,,,,
411,411,"If you leave it as a liquid, it's too big to do that",411,,,,,,,,
412,412,It's the same to store more.,412,,,,,,,,
413,413,Butane gas fuel vaporizes and fires the gas stove.,413,,,,,,,,
414,414,Because the temperature of the water is high and it evaporates,414,,,,,,,,
415,415,I don't know.,415,,,,,,,,
416,416,"If it's in a gaseous state, it explodes well",416,,,,,,,,
417,417,"In Exche, fuel meets the air outside and turns into gas.",417,,,,,,,,
418,418,Explosive protection from explosion,418,,,,,,,,
419,419,"""I don't know",419,,,,,,,,
420,420,"""",420,,,,,,,,
421,421,I don't know,421,,,,,,,,
422,422,I'm not sure,422,,,,,,,,
423,423,Food,423,,,,,,,,
424,424,I don't know,424,,,,,,,,
425,425,one's,425,,,,,,,,
426,426,You just need to catch fire well,426,,,,,,,,
427,427,"""To prevent fire,",427,,,,,,,,
428,428,"""",428,,,,,,,,
429,429,.,429,,,,,,,,
430,430,It's because the gas can go through,430,,,,,,,,
431,431,It's safer to store it in liquid than in gas,431,,,,,,,,
432,432,This is because substances have different effects depending on their conditions. Hmm... Because it's easy to set fire?,432,,,,,,,,
433,433,"If you store the gas, you can get out of here",433,,,,,,,,
434,434,"If you store it in gas, it explodes. I think it's because if people keep it in gas, people won't be there.",434,,,,,,,,
435,435,Store the gas and then exit,435,,,,,,,,
436,436,It's convenient,436,,,,,,,,
437,437,I don't know because I didn't learn it;;,437,,,,,,,,
438,438,I don't know.,438,,,,,,,,
439,439,butane gas,439,,,,,,,,
440,440,I don't know,440,,,,,,,,
441,441,It comes out by changing from liquid to gas,441,,,,,,,,
442,442,My knowledge is not up to there,442,,,,,,,,
443,443,Stability,443,,,,,,,,
444,444,.,444,,,,,,,,
445,445,It is because it can store a large amount.,445,,,,,,,,
446,446,"A gas takes up a larger volume due to the distance between molecules If the volume increases, it will be uncomfortable to store and there is a risk of bursting, so keep it in a liquid state",446,,,,,,,,
447,447,Stability and intermolecular distance,447,,,,,,,,
448,448,I don't understand.,448,,,,,,,,
449,449,"It comes from changing from liquid to gas by geometrical pressure, but I don't know why it's stored as liquid Because the volume is smaller than the gas, you want to store more?",449,,,,,,,,
450,450,"It needs a large container to store as a gas, so it is stored as a liquid to reduce the volume.",450,,,,,,,,
451,451,Reactive?,451,,,,,,,,
452,452,I don't know,452,,,,,,,,
453,453,It's melted,453,,,,,,,,
454,454,I don't know...(Laughing,454,,,,,,,,
455,455,I don't know,455,,,,,,,,
456,456,I don't know.,456,,,,,,,,
457,457,"When it meets the air, it becomes a gas",457,,,,,,,,
458,458,"This is because in a gaseous state, the gas inside may explode due to a weak impact.",458,,,,,,,,
459,459,Gas is stored in an eczema state because it goes through a small gap like a balloon,459,,,,,,,,
460,460,I don't know,460,,,,,,,,
461,461,Because the gas gradually escapes,461,,,,,,,,
462,462,To keep it easy,462,,,,,,,,
463,463,It is to reduce the volume.,463,,,,,,,,
464,464,I don't know.,464,,,,,,,,
465,465,This is because particles in the gas escape through the gap between them,465,,,,,,,,
466,466,I don't understand.,466,,,,,,,,
467,467,"Because the liquid is larger in volume than the gas, it is more convenient to store it with a smaller volume.",467,,,,,,,,
468,468,"Gas particles are spread out, making it difficult to store them due to their large volume, but liquid is more convenient to capillary because particles are gathered differently from gas ?‹á…ª.",468,,,,,,,,
469,469,"""Original liquids are smaller in volume than gases, so we use them for more useful use.",469,,,,,,,,
470,470,"""",470,,,,,,,,
471,471,Storing as a liquid rather than storing as a gas can be the least impacted by external shocks,471,,,,,,,,
472,472,I don't know.,472,,,,,,,,
473,473,I don't know.,473,,,,,,,,
474,474,a high-priced machine,474,,,,,,,,
475,475,Because it can reduce the mass,475,,,,,,,,
476,476,.,476,,,,,,,,
477,477,So that more people can go in,477,,,,,,,,
478,478,I think it's because the gas can leak out,478,,,,,,,,
479,479,"When stored in liquid, it's smaller than gas",479,,,,,,,,
480,480,You can count the gas,480,,,,,,,,
481,481,"The shape of the gas is not fixed, but the shape of the liquid varies depending on the container, so it's easy to store it in a liquid state",481,,,,,,,,
482,482,Nitrogen will float,482,,,,,,,,
483,483,I don't know.,483,,,,,,,,
484,484,It's because the volume is small when stored in liquid,484,,,,,,,,
485,485,This is because it can contain more gas by compressing it into a liquid state.,485,,,,,,,,
486,486,I don't know.,486,,,,,,,,
487,487,It's hard to store the gas,487,,,,,,,,
488,488,You can do more if you store it in liquid,488,,,,,,,,
489,489,This is because the volume is smaller when stored as a liquid.,489,,,,,,,,
490,490,This is because the volume of liquid is smaller when stored than gas,490,,,,,,,,
491,491,It's smaller when you store it with liquid,491,,,,,,,,
492,492,It's small when you store it with liquid,492,,,,,,,,
493,493,The reason why you keep it in a liquid state is because it has a smaller volume,493,,,,,,,,
494,494,The liquid is small in volume,494,,,,,,,,
495,495,Gas is stored in liquid because it is too bulky to store.,495,,,,,,,,
496,496,"This is because the volume of the gas is much larger than the volume of the liquid, so it is convenient to store it as the volume of the liquid.",496,,,,,,,,
497,497,I said I don't know.,497,,,,,,,,
498,498,None.,498,,,,,,,,
499,499,It's going to explode,499,,,,,,,,
500,500,I don't know.,500,,,,,,,,
501,501,I don't know.,501,,,,,,,,
502,502,vaporization,502,,,,,,,,
503,503,This is because it can be stored in a larger amount and is light.,503,,,,,,,,
504,504,You can't use it if it turns into a gas,504,,,,,,,,
505,505,I don't know.,505,,,,,,,,
506,506,It's stable and easy to transport,506,,,,,,,,
507,507,"When the gas is liquefied, the gas is compressed, which can contain more.",507,,,,,,,,
508,508,"""Liquefaction""",508,,,,,,,,
509,509,,509,,,,,,,,
510,510,"""",510,,,,,,,,
511,511,A larger amount of gas can be stored only when the gas is concentrated in a liquid state.,511,,,,,,,,
512,512,I don't know.,512,,,,,,,,
513,513,I'm not sure,513,,,,,,,,
514,514,"""It's because it's compressed into a liquid state",514,,,,,,,,
515,515,"It must be stored in a liquid state to store more gas.""",515,,,,,,,,
516,516,"This is because when exposed to the outside, it turns into a gaseous state, and if concentrated in a liquid state, it can contain more.",516,,,,,,,,
517,517,Yeah,517,,,,,,,,
518,518,"As the temperature decreases, the volume decreases, so it is efficient to store it in a liquid state with a low temperature.",518,,,,,,,,
519,519,"As the temperature decreases, the volume decreases, so it is efficient to store it in a liquid state with a low temperature.",519,,,,,,,,
520,520,I don't know.,520,,,,,,,,
521,521,"This is because if you use the gaseous material as it is, it can leak into the air or contain a large amount",521,,,,,,,,
522,522,"Gas is relatively bulky compared to liquid, making it inconvenient to carry and move. However, the liquid is smaller in volume than the gas and is easier to carry around, so it is stored in a liquid state.",522,,,,,,,,
523,523,This is because storing in a liquid state is more advantageous for storage than storing in a gaseous state.,523,,,,,,,,
524,524,"Butane gas fuels are smaller in volume than gas in liquid state, so they can be put in more fuel when they are put in liquid state in the same capacity barrel. So keep it in a liquid.",524,,,,,,,,
525,525,a change from liquid to gas,525,,,,,,,,
526,526,I don't know,526,,,,,,,,
527,527,To keep it longer?,527,,,,,,,,
528,528,I think the gas is easy to explode.,528,,,,,,,,
529,529,Gas is bulky because it has a long distance between molecules.,529,,,,,,,,
530,530,It evaporates,530,,,,,,,,
531,531,Gas can leak easily,531,,,,,,,,
532,532,To make it easier to store it,532,,,,,,,,
533,533,This is because gases take up more volume than liquids,533,,,,,,,,
534,534,I don't know.,534,,,,,,,,
535,535,It's hard to catch fire when it's in a liquid,535,,,,,,,,
536,536,It's because the liquid state may have more volume,536,,,,,,,,
537,537,This is because the particle is far away.,537,,,,,,,,
538,538,"Because the volume of the liquid is smaller than the volume of the gas, it can be stored in a liquid state and then converted into a gas state, so you can use more",538,,,,,,,,
539,539,It's because I meet oxygen,539,,,,,,,,
540,540,The ratio of the volume is small,540,,,,,,,,
541,541,This is because the volume is small when stored in a liquid state.,541,,,,,,,,
542,542,"Yoo, the head of the department",542,,,,,,,,
543,543,"Oh, my",543,,,,,,,,
544,544,I don't know.,544,,,,,,,,
545,545,I don't know,545,,,,,,,,
546,546,M and D,546,,,,,,,,
547,547,the d-hope,547,,,,,,,,
548,548,I have no idea.,548,,,,,,,,
549,549,I don't know.,549,,,,,,,,
550,550,a hydrogen gas,550,,,,,,,,
551,551,1,551,,,,,,,,
552,552,Butane gas in a gaseous state is stored in a liquid state because it is more difficult than in a liquid state,552,,,,,,,,
553,553,1,553,,,,,,,,
554,554,I don't know,554,,,,,,,,
555,555,HYOJUNG and YOJUNG and S5,555,,,,,,,,
556,556,I don't know,556,,,,,,,,
557,557,It's dangerous to use as a gas,557,,,,,,,,
558,558,Gas is difficult to see and can leak out,558,,,,,,,,
559,559,I have no idea.,559,,,,,,,,
560,560,To hold more mass in a container of the same volume,560,,,,,,,,
561,561,I don't know,561,,,,,,,,
562,562,To be safe?,562,,,,,,,,
563,563,I don't know.,563,,,,,,,,
564,564,"In general, the volume of the material in a gaseous state is very large compared to a liquid, so storing butane gas in a liquid state can store a larger amount.",564,,,,,,,,
565,565,This is because it can be stored more because it is denser than the gaseous state when it is in a liquid state in the same volume.,565,,,,,,,,
566,566,"It is difficult to handle when stored as a gas, and even fuel of the same mass cannot store a large capacity because the gas is larger in volume than the liquid.",566,,,,,,,,
567,567,"When a liquid vaporizes into a gas, it becomes easier to use and when the gas is liquefied into a liquid, it becomes easier to store.",567,,,,,,,,
568,568,I don't know,568,,,,,,,,
569,569,Because you can change the liquid into gas by storing it and shaking it?,569,,,,,,,,
570,570,I don't know.,570,,,,,,,,
571,571,I didn't learn this problem.,571,,,,,,,,
572,572,This is because it can be stored more easily if stored in a liquid.,572,,,,,,,,
573,573,Don't know,573,,,,,,,,
574,574,under the resistance of the air,574,,,,,,,,
575,575,"If you keep it in Ex, it feels good when you shake it",575,,,,,,,,
576,576,It's convenient,576,,,,,,,,
577,577,....,577,,,,,,,,
578,578,It',578,,,,,,,,
579,579,...,579,,,,,,,,
580,580,.......,580,,,,,,,,
581,581,"If it's in a gaseous state, it's all gone",581,,,,,,,,
582,582,"If I don't use liquid bonds, all the bonds will be gone",582,,,,,,,,
583,583,It could explode if it catches fire,583,,,,,,,,
584,584,I don't think I've learned this yet,584,,,,,,,,
585,585,I don't know.,585,,,,,,,,
586,586,It evaporates because of the heat while cooking.,586,,,,,,,,
587,587,This is because the liquid comes out and spreads into the gas.,587,,,,,,,,
588,588,I don't know.,588,,,,,,,,
589,589,Just in case it's dangerous,589,,,,,,,,
590,590,I'm turning it off,590,,,,,,,,
591,591,Butane gas sticks to the fire easily,591,,,,,,,,
592,592,I don't know,592,,,,,,,,
593,593,Butane gas sticks to the fire easily,593,,,,,,,,
594,594,vaporization,594,,,,,,,,
595,595,It'll leak if it's stored in gas,595,,,,,,,,
596,596,It's hard to keep it in a gaseous state,596,,,,,,,,
597,597,"If you use liquid, you can store more",597,,,,,,,,
598,598,"If you make it into a liquid, you can play more and more",598,,,,,,,,
599,599,To fill up a lot,599,,,,,,,,
600,600,"A gas is farther between molecules than a liquid and requires a larger container than a liquid to store it Therefore, liquids should be used to use narrower containers.",600,,,,,,,,
601,601,The amount is different when it's liquid than when it's in a gaseous,601,,,,,,,,
602,602,The amount is different when it's liquid than when it's gas,602,,,,,,,,
603,603,"To keep it safe,",603,,,,,,,,
604,604,It could explode,604,,,,,,,,
605,605,Because you can use more,605,,,,,,,,
606,606,"If it's liquid, it catches fire at once",606,,,,,,,,
607,607,"If you store it in a gaseous state, it can escape even with a slight gap",607,,,,,,,,
608,608,This is because the liquid in the butane gas cylinder has a property that changes when butane gas is generated.,608,,,,,,,,
609,609,It's because of the temperature.,609,,,,,,,,
610,610,To compress the gas like liquid nitrogen and put in a larger amount.,610,,,,,,,,
611,611,"When a gas meets a gas, it is combined together to cause a fire",611,,,,,,,,
612,612,This is because the volume of the liquid is smaller than that of the gas.,612,,,,,,,,
613,613,"When it's liquid, the ignition point is low",613,,,,,,,,
614,614,Surprising.,614,,,,,,,,
615,615,Gases can fly away,615,,,,,,,,
616,616,The properties of the gas can be kept unchanged and safe for a long time,616,,,,,,,,
617,617,It's safe to keep,617,,,,,,,,
618,618,Gases can fly away,618,,,,,,,,
619,619,This is because it can be stored longer.,619,,,,,,,,
620,620,This is because it can be stored longer.,620,,,,,,,,
621,621,This is because it can be stored longer.,621,,,,,,,,
622,622,you can keep it longer,622,,,,,,,,
623,623,"Gas is larger than liquid, so to reduce the volume,",623,,,,,,,,
624,624,To reduce the volume,624,,,,,,,,
625,625,"Gas is larger than liquid, so to reduce the volume,",625,,,,,,,,
626,626,It's because you have to keep it in liquid so that you can store more,626,,,,,,,,
627,627,Unstable and hazardous when in a gaseous state,627,,,,,,,,
628,628,Increase the pressure to change the state,628,,,,,,,,
629,629,This is because they try to reduce the volume by compressing it.,629,,,,,,,,
630,630,It's too dangerous,630,,,,,,,,
631,631,This is because there is a risk of explosion due to chemical reactions.,631,,,,,,,,
632,632,"In order to reduce the responsiveness,",632,,,,,,,,
633,633,Because gases are hard to handle.,633,,,,,,,,
634,634,This is because you can check the amount left.,634,,,,,,,,
635,635,It is to facilitate storage.,635,,,,,,,,
636,636,It is because of its responsiveness.,636,,,,,,,,
637,637,"When the gas is compressed, it becomes a liquid, and since the volume of the liquid is smaller than that of the gas, it is easy to secure storage space for storage.",637,,,,,,,,
638,638,"This is because if you make it into a liquid, the volume will be even smaller.",638,,,,,,,,
639,639,Because there's a risk of explosion.,639,,,,,,,,
640,640,"This is because there is a risk of expansion and explosion when the external temperature is changed, and there is a risk of explosion when an impact is applied.",640,,,,,,,,
641,641,Because it's easy to store,641,,,,,,,,
642,642,It's to make transport easier,642,,,,,,,,
643,643,Because you can drink it on ice.,643,,,,,,,,
644,644,That's true,644,,,,,,,,
645,645,"When the gas is liquefied, the volume becomes much smaller, so it is easy to store.",645,,,,,,,,
646,646,"This is because the gas state has a large volume, and the liquid state can be utilized with a small volume.",646,,,,,,,,
647,647,I want to keep more.,647,,,,,,,,
648,648,This is because it remains stable only when it exists in a liquid state.,648,,,,,,,,
649,649,This is because a large amount can be compressed and stored.,649,,,,,,,,
650,650,It's amazing,650,,,,,,,,
651,651,I don't know.,651,,,,,,,,
652,652,Use dry ice to keep the temperature low.,652,,,,,,,,
653,653,Gas is difficult to store because it is larger in volume than liquid.,653,,,,,,,,
654,654,It's because of the difference in air pressure,654,,,,,,,,
655,655,This is because more can be used by making it into a Gichelle liquid.,655,,,,,,,,
656,656,"In the butane gas cylinder, the pressure is high, so the gas exists as a liquid, but the pressure outside the cylinder is lower than in the cylinder, so the state changes to the gas as it comes out.",656,,,,,,,,
657,657,"Since the gas occupies a large volume and has a large fluidity, it is difficult to handle and is stored in a liquid state.",657,,,,,,,,
658,658,(I don't know),658,,,,,,,,
659,659,Because it's gas,659,,,,,,,,
660,660,Because it evaporates when left in a gaseous state,660,,,,,,,,
661,661,"If you keep it outside, it'll go bad",661,,,,,,,,
662,662,"If you keep it in gas, it'll all fly away",662,,,,,,,,
663,663,The frame catches fire more than the liquid.,663,,,,,,,,
664,664,Because gas conditions have the possibility of evaporation and liquid color is the most stable,664,,,,,,,,
665,665,"We don't know if the gas is invisible, but the liquid is visible",665,,,,,,,,
666,666,"Butane gas is compressed in a barrel and then ignited when it comes out, which will catch fire due to friction with the air.",666,,,,,,,,
667,667,I don't know.,667,,,,,,,,
668,668,This is because there is a risk of fire when the gas is in a state of gas.,668,,,,,,,,
669,669,I don't know,669,,,,,,,,
670,670,I don't know,670,,,,,,,,
671,671,be due to chemicals,671,,,,,,,,
672,672,I don't understand.,672,,,,,,,,
673,673,I don't know.,673,,,,,,,,
674,674,"If it's stored as gas, it could catch fire",674,,,,,,,,
675,675,I'll set it on fire it's on fire,675,,,,,,,,
676,676,"If stored in a gaseous state, it will escape",676,,,,,,,,
677,677,"If it's a gas, it comes out through a fine hole",677,,,,,,,,
678,678,"If there is a lotus in the container as a gas, the container explodes, so keep it as a liquid.",678,,,,,,,,
679,679,It's because it's going to be a lot,679,,,,,,,,
680,680,I don't understand.,680,,,,,,,,
681,681,"If it becomes a gas, it's too light, it flies, hits it, and it can cause friction and explode",681,,,,,,,,
682,682,Because it's easy to store,682,,,,,,,,
683,683,To keep it safe,683,,,,,,,,
684,684,"When stored in a gaseous state, it is larger in volume than when it is a liquid, so liquid is stored to store a lot.",684,,,,,,,,
685,685,Gas conditions are very dangerous. It can explode at any time. It is also much more convenient to trap liquids than to trap gases.,685,,,,,,,,
686,686,This is because there is a risk of fire.,686,,,,,,,,
687,687,This is because liquids can reduce volume and are more convenient to store compared to gases.,687,,,,,,,,
688,688,I don't know ?‡ã……??688.0,"702,1,0,0,0,,,,",,,,,,,,
689,689,..,689,,,,,,,,
690,690,"Since the volume increases as the liquid is converted into a gas, it is more inconvenient to store gaseous substances, and thus, it may be stored as a liquid.",690,,,,,,,,
691,691,I don't know.,691,,,,,,,,
692,692,be convenient for transportation It is because the gas is bulky.,692,,,,,,,,
693,693,"By applying very high pressure, molecular motion is suppressed to generate heat, and the heat is absorbed again and changed into a liquid to enter the can.",693,,,,,,,,
694,694,"Since the distance between molecules is long in a gaseous state, it occupies a larger volume than the same amount of liquid. Therefore, it is stored in a liquid state to contain a larger amount of butane gas in a limited space.",694,,,,,,,,
695,695,"The gas state is a state in which the molecular structure is relatively free and the density is lower than that of the liquid state, so the distance between molecules is far. Therefore, when the gas is cooled to reach the condensation point and liquefied, the distance between molecules is narrowed and a little more dense, making it convenient to transport and store a large amount.",695,,,,,,,,
696,696,"This is because if stored in a liquid state, it can be stored much more than when stored in a gaseous state. This is because when a substance is in a gaseous state, the molecules are spread out and bulky, but when it is in a liquid state, the molecules are gathered and smaller than when it is in a gaseous state.",696,,,,,,,,
697,697,"Gas is not easy to store because it can fly well because it has a long distance between molecules and is free of molecules. On the other hand, liquids made by applying pressure to gases are easier to store than gases because the distance between molecules is relatively shorter than gases and the movement of molecules is less.",697,,,,,,,,
698,698,This is because storing it in a liquid is safer from the risk of explosion than storing it in a gas.,698,,,,,,,,
699,699,"If it is in a gaseous state, it is difficult to store and the risk of explosion is high, so it is stored in a liquid state.",699,,,,,,,,
700,700,"Gas-like substances are more free between molecules than liquid substances. Therefore, it is more efficient to store liquid substances than to store gases inside one space.",700,,,,,,,,
701,701,"Gas is bulky. Put as much content as possible in the same container to save production costs, so keep butane gas as liquid. In a similar example, the international movement of natural gas has increased since frozen liquefaction technology was developed.",701,,,,,,,,
702,702,"Gas has the property of freely moving around rather than staying still. Butane gas fuels are easily heated, and in a gaseous state, there will be many fire accidents. To prevent this, it is placed in a liquid state.",702,,,,,,,,
703,703,?,703,,,,,,,,
704,704,Well.,704,,,,,,,,
705,705,I don't know.,705,,,,,,,,
706,706,I don't know,706,,,,,,,,
707,707,"If you store it in a gaseous state, it'll fly away",707,,,,,,,,
708,708,carbon dioxide,708,,,,,,,,
709,709,It's easy to store liquid,709,,,,,,,,
710,710,Painting,710,,,,,,,,
711,711,To be safe,711,,,,,,,,
712,712,yes,712,,,,,,,,
713,713,I don't know,713,,,,,,,,
714,714,"This is because when in liquid state, the volume decreases compared to when in gaseous state.",714,,,,,,,,
715,715,I doubt it.,715,,,,,,,,
716,716,It's easy to store,716,,,,,,,,
717,717,.,717,,,,,,,,
718,718,I don't know.,718,,,,,,,,
719,719,This is to contain a lot of gas because the liquid is smaller in volume than the gas.,719,,,,,,,,
720,720,Because it's light?,720,,,,,,,,
721,721,This is because the liquid state is easy to manage.,721,,,,,,,,
722,722,This is because liquid occupies less volume than gas.,722,,,,,,,,
723,723,It's because you can see the amount of liquid and it's smaller in volume than the gas,723,,,,,,,,
724,724,It's because liquid is more stable than gas,724,,,,,,,,
725,725,It's easier to store liquids than gases,725,,,,,,,,
726,726,I don't understand.,726,,,,,,,,
727,727,"When transported in a gas, it takes up too much volume, so it is changed to a liquid and stored.",727,,,,,,,,
728,728,"If it's a gas, it's all gone",728,,,,,,,,
729,729,"When stored as a gas, the particles in the air move actively, so the gas can leak out",729,,,,,,,,
730,730,"This is because when stored in a liquid state, the volume decreases and the risk of explosion decreases.",730,,,,,,,,
731,731,I don't know.,731,,,,,,,,
732,732,It is necessary to keep it in a liquid state to know how much is left (no matter how much you shake the cylinder containing the gas to check it),732,,,,,,,,
733,733,M and D,733,,,,,,,,
734,734,?¿ã…‡??734.0,"748,0,0,1,0,,,,749,0,0,0,0,,,,",,,,,,,,
735,735,Mall,735,,,,,,,,
736,736,I don't understand.,736,,,,,,,,
737,737,I don't understand.,737,,,,,,,,
738,738,I don't know.,738,,,,,,,,
739,739,I don't know,739,,,,,,,,
740,740,M and D,740,,,,,,,,
741,741,I don't understand.,741,,,,,,,,
742,742,I don't understand.,742,,,,,,,,
743,743,I don't understand.,743,,,,,,,,
744,744,I don't understand.,744,,,,,,,,
745,745,I don't know.,745,,,,,,,,
746,746,?†á…©?¯I don't know.,746,,,,,,,,
747,747,I don't know,747,,,,,,,,
748,748,I don't understand.,748,,,,,,,,
749,749,M and D,749,,,,,,,,
750,750,M and D,750,,,,,,,,
751,751,I don't know,751,,,,,,,,
752,752,Butane gas is gone,752,,,,,,,,
753,753,.,753,,,,,,,,
754,754,I don't understand.,754,,,,,,,,
755,755,I don't know,755,,,,,,,,
756,756,M and D,756,,,,,,,,
757,757,I don't know.,757,,,,,,,,
758,758,.,758,,,,,,,,
759,759,Gas is stored in a liquid state because it increases in volume and is likely to burst when the temperature rises,759,,,,,,,,
760,760,"""Under a lot of pressure, the gas becomes a liquid",760,,,,,,,,
761,761,"""",761,,,,,,,,
762,762,"""Hello, ^^""",762,,,,,,,,
763,763,,763,,,,,,,,
764,764,,764,,,,,,,,
765,765,,765,,,,,,,,
766,766,"Before you answer the question, you should know that it's boiling point.",766,,,,,,,,
767,767,,767,,,,,,,,
768,768,The boiling point is the temperature at which the liquid molecules overcome each other's gravitational pull and go into the air.,768,,,,,,,,
769,769,,769,,,,,,,,
770,770,"When the atmospheric pressure and the vapor pressure are equal, it is often called the boiling point.",770,,,,,,,,
771,771,,771,,,,,,,,
772,772,,772,,,,,,,,
773,773,,773,,,,,,,,
774,774,"Butane gas is gaseous at room temperature, but it's easy to store, so it's usually used a lot...",774,,,,,,,,
775,775,,775,,,,,,,,
776,776,That's because you can put more in a gas tank in a liquid state than in a gas tank.,776,,,,,,,,
777,777,,777,,,,,,,,
778,778,,778,,,,,,,,
779,779,,779,,,,,,,,
780,780,"So keep the pressure high in the butane tank. They liquidate the molecules of butane gas molecules. When we write...          Use a little bit of butane gas in the gas tank, and the less butane gas there is, the more... The air pressure is a little lower. The liquid butane becomes a gas again... Then the pressure rises again, and the rest remains in liquid... If you consume gas, the air pressure will go down again. Well, this is happening over and over again, and we're using butane gas.",780,,,,,,,,
781,781,,781,,,,,,,,
782,782,,782,,,,,,,,
783,783,,783,,,,,,,,
784,784,"This is why the boiling point increases when the pressure increases. If you don't know, watch it~",784,,,,,,,,
785,785,,785,,,,,,,,
786,786,,786,,,,,,,,
787,787,Let me give you an example. There is a bus and the person riding there is butane gas... The people who are riding around me,787,,,,,,,,
788,788,,788,,,,,,,,
789,789,"It's called air pressure, and inside the bus is gas outside the liquid bus. Then if you have to get off (to become a gas), if the pressure from the people around you is strong, you might not be able to get off, right? But... say there's no one around you. Then, you",789,,,,,,,,
790,790,,790,,,,,,,,
791,791,You can get off easily.I don't know if you understand this much.Haha,791,,,,,,,,
792,792,,792,,,,,,,,
793,793,,793,,,,,,,,
794,794,,794,,,,,,,,
795,795,All gases are the same. You have to have enough power to beat atmospheric pressure to get into a gas state.,795,,,,,,,,
796,796,,796,,,,,,,,
797,797,"However, as the pressure increases, the pressing force on the molecules in the liquid state becomes stronger, making it difficult to become a gas. The higher the pressure, the more... This means that molecules of butane gas must have high energy to become gases.",797,,,,,,,,
798,798,I don't know,798,,,,,,,,
799,799,a solid preparation,799,,,,,,,,
800,800,Liquids can store more matter than gases,800,,,,,,,,
801,801,So that it doesn't fly away,801,,,,,,,,
802,802,It is to facilitate storage.,802,,,,,,,,
803,803,I don't know.,803,,,,,,,,
804,804,This is because there is less volume per unit area of liquid than gas.,804,,,,,,,,
805,805,Because it evaporates in the air when stored in the air,805,,,,,,,,
806,806,To add more,806,,,,,,,,
807,807,I don't know,807,,,,,,,,
808,808,To put in more,808,,,,,,,,
809,809,"This is because if butane gas is made up of only gas, it loses its efficiency because it loses gas quickly",809,,,,,,,,
810,810,I don't know.,810,,,,,,,,
811,811,.,811,,,,,,,,
812,812,Because the effects vary depending on the substance,812,,,,,,,,
813,813,?,813,,,,,,,,
814,814,To make it easier for substances to get in,814,,,,,,,,
815,815,To keep,815,,,,,,,,
816,816,I don't know,816,,,,,,,,
817,817,That's how it works,817,,,,,,,,
818,818,God created it like that,818,,,,,,,,
819,819,I don't know.,819,,,,,,,,
820,820,The gas is too bulky.,820,,,,,,,,
821,821,It is gasified outside of liquefaction at a low speed,821,,,,,,,,
822,822,Decompose butane gas,822,,,,,,,,
823,823,I don't know.,823,,,,,,,,
824,824,Because the volume decreases,824,,,,,,,,
825,825,"The distance between liquid particles is narrower than the distance between gas particles, so the volume is smaller in liquid than in gas. And the gas floats around, so it cannot be packaged or packaged.",825,,,,,,,,
826,826,Gas is easy to disappear from that space.,826,,,,,,,,
827,827,"If it's in a gaseous state, it can explode or cause of explosion or fire",827,,,,,,,,
828,828,It's the same principle that applying the right amount of heat to the ex-body becomes water vapor,828,,,,,,,,
829,829,Arkites in,829,,,,,,,,
830,830,"If it is in a gaseous state, it is stored in a liquid state for storage because the volume is too large.",830,,,,,,,,
831,831,.,831,,,,,,,,
832,832,I don't know.,832,,,,,,,,
833,833,Because it's light,833,,,,,,,,
834,834,I don't know. It's annoying.,834,,,,,,,,
835,835,I don't know.,835,,,,,,,,
836,836,Is there a high risk of bursting if you store it in gas?,836,,,,,,,,
837,837,It's weak,837,,,,,,,,
838,838,"In a gaseous state, it explodes when it meets the air",838,,,,,,,,
839,839,The liquid doesn't change very well,839,,,,,,,,
840,840,To reduce the volume,840,,,,,,,,
841,841,It is a method for easily transporting a large amount of butane gas in a small container because it can become a liquid by increasing the pressure of the gas,841,,,,,,,,
842,842,d,842,,,,,,,,
843,843,I don't understand.,843,,,,,,,,
844,844,"The liquid state is smaller in volume than the gas state, so it can be stored more",844,,,,,,,,
845,845,This is because you can save more.,845,,,,,,,,
846,846,The difference in density between gas and liquid is huge,846,,,,,,,,
847,847,This is because the gas can store more volumeOh,847,,,,,,,,
848,848,I don't know.,848,,,,,,,,
849,849,It's perfect!,849,,,,,,,,
850,850,It's to store a larger amount.,850,,,,,,,,
851,851,This is because it occupies a large volume if it exists in a gaseous state.,851,,,,,,,,
852,852,This is because it increases in volume.,852,,,,,,,,
853,853,Gas is bulky and difficult to store.,853,,,,,,,,
