,Unnamed: 0,"2) In the experiment above, if you change the direction of the current, how does the compass needle move? ",Unnamed: 0,", q26_against, q26_against.1"
500,500,Changing,500.0,"517,1,"
501,501,It's move,501.0,"518,1,"
502,502,It's moving the other way around.,502.0,"519,0,"
503,503,Turn left,503.0,"520,1,"
504,504,It's moving the other way around.,504.0,"521,1,"
505,505,I think the needle will keep going that way.,505.0,"522,1,"
506,506,I think we'll move over there,506.0,"523,1,"
507,507,It's not moving,507.0,"524,0,"
508,508,I don't know.,508.0,"525,1,"
509,509,It moves a lot.,509.0,"526,1,"
510,510,I don't know,510.0,"527,1,"
511,511,I don't know.,511.0,"528,1,"
512,512,It changes the other way around,512.0,"529,1,"
513,513,"On the contrary,",513.0,"530,1,"
514,514,I don't know.,514.0,"531,0,"
515,515,I'm going to the other side,515.0,"532,1,"
516,516,It's moving backwards.,516.0,"533,0,"
517,517,It changes the other way around.,517.0,"534,0,"
518,518,The position turns upside down,518.0,"535,1,"
519,519,Push or pull,519.0,"536,1,"
520,520,The needle changes direction.,520.0,"537,1,"
521,521,Opposition,521.0,"538,1,539,1,"
522,522,It changes the other way around,522.0,"540,1,"
523,523,The needle also changes direction,523.0,"541,1,"
524,524,Changing,524.0,"542,1,"
525,525,damn,525.0,"543,1,"
526,526,I don't know.,526.0,"544,1,"
527,527,The needle turns the other way around,527.0,"545,0,"
528,528,I don't know. It's a yo-yo요Yoyo ㅇㅇㅛ,528.0,"546,0,"
529,529,I don't know.,529.0,"547,1,"
530,530,The compass will also be reversed,530.0,"548,1,"
531,531,It's moving the other way around,531.0,"549,0,"
532,532,It's moving the other way around,532.0,"550,0,"
533,533,The compass needle turns the other way around,533.0,"551,1,"
534,534,It works the other way around,534.0,"552,0,"
535,535,It's the other way around,535.0,"553,1,"
536,536,The compass needle moves in a different direction from the initial direction,536.0,"554,0,"
537,537,"""It turns the other way around",537.0,"555,1,"
538,538,"""",538.0,"556,1,"
539,539,The needle is reversed.,539.0,"557,1,"
540,540,It's moving the other way around,540.0,"558,1,"
541,541,I'll study harder.,541.0,"559,1,"
542,542,It's halfway around.,542.0,"560,1,"
543,543,I think it will move the other way around.,543.0,"561,0,"
544,544,I think it's going to go the other way around.,544.0,"562,1,"
545,545,I think it will go to n,545.0,"563,1,"
546,546,The needle in the compass moves more,546.0,"564,1,"
547,547,I think it's going to move the other way around.,547.0,"565,1,"
548,548,I don't think the compass needle will move.,548.0,"566,0,"
549,549,The compass needle points in the direction of the current.,549.0,"567,1,"
550,550,I don't know.,550.0,"568,1,569,1,"
551,551,I think it will move the other way around.,551.0,"570,1,"
552,552,It looks like it's going to move to the other side.,552.0,"571,0,"
553,553,It's moving in the opposite direction,553.0,"572,1,"
554,554,"I think the direction will change, too",554.0,"573,1,"
555,555,It's likely to follow the direction of the current,555.0,"574,1,"
556,556,I think it's going to move the other way around,556.0,"575,0,"
557,557,"""Magnet makes the needle move",557.0,"576,1,"
558,558,"""",558.0,"577,0,"
559,559,It's moving in the opposite direction,559.0,"578,0,"
560,560,It will head the other way around.,560.0,"579,1,"
561,561,"""It turns the other way around",561.0,"580,1,"
562,562,"""",562.0,"581,1,"
563,563,"If you change the direction of the current, it'll go the other way",563.0,"582,0,"
564,564,The compass needle wouldn't move.,564.0,"583,1,"
565,565,The compass needle will also change direction.,565.0,"584,0,"
566,566,The compass needle will follow in the direction of the current.,566.0,"585,0,"
567,567,I think the compass direction will also change direction.,567.0,"586,1,"
568,568,Changing the direction of the current will change the compass needle in the direction of the current.,568.0,"587,1,"
569,569,I don't know.,569.0,"588,1,"
570,570,It will move with the flow of electric current.,570.0,"589,1,"
571,571,It rotates in the same direction as the current,571.0,"590,1,"
572,572,The needle in the compass will move upside down.,572.0,"591,1,"
573,573,The needle is moving,573.0,"592,1,"
574,574,It changes the other way around,574.0,"593,1,"
575,575,?,575.0,"594,0,"
576,576,I don't know.,576.0,"595,1,"
577,577,Opposition,577.0,"596,1,"
578,578,It will go backwards.,578.0,"597,1,"
579,579,It will move in the opposite direction,579.0,"598,1,599,1,"
580,580,The compass moves the needle.,580.0,"600,0,"
581,581,The needle turns to the other side.,581.0,"601,0,"
582,582,I think I'm going to spin as I want.,582.0,"602,1,"
583,583,I don't know,583.0,"603,0,"
584,584,"You can move to the left, not the right.",584.0,"604,1,"
585,585,the opposite direction,585.0,"605,0,"
586,586,I'm going backwards,586.0,"606,1,"
587,587,The needle on the compass will move the other way around.,587.0,"607,0,"
588,588,It changes in the opposite direction,588.0,"608,1,"
589,589,It's moving the other way around.,589.0,"609,1,"
590,590,It's turning upside down,590.0,"610,1,"
591,591,Turn in the opposite direction,591.0,"611,0,"
592,592,Stopped and moved.,592.0,"612,1,"
593,593,It's moving the other way around.The opposite direction will change the direction of Antarctica and the North Pole.,593.0,"613,1,"
594,594,I think the compass vanel will turn the other way around,594.0,"614,1,"
595,595,I think I'm going to turn the other way,595.0,"615,1,"
596,596,"On the contrary, changed.",596.0,"616,1,"
597,597,It's turning into a cool thing.,597.0,"617,0,"
598,598,I don't know,598.0,"618,1,"
599,599,The movement of the compass needle toward the current is likely to follow.,599.0,"619,0,"
600,600,I don't know.,600.0,"620,1,"
601,601,Move it the other way around.,601.0,"621,1,"
602,602,to be able to move well,602.0,"622,1,"
603,603,It is likely to move as the current has changed its direction.,603.0,"623,0,"
604,604,I didn't even learn,604.0,"624,1,"
605,605,Let's go to the other side.,605.0,"625,0,"
606,606,I think it's going to go the other way,606.0,"626,1,"
607,607,In the opposite direction,607.0,"627,0,"
608,608,??,608.0,"628,1,629,1,"
609,609,The compass moves in reverse,609.0,"630,1,"
610,610,"When connected in reverse, the current flows in reverse, but it seems to move in the same way because it flows in the same way.",610.0,"631,1,"
611,611,The compass will move in the opposite direction,611.0,"632,1,"
612,612,It's going to change to the other side.,612.0,"633,1,"
613,613,The compass changes direction,613.0,"634,1,"
614,614,I don't understand.,614.0,"635,1,"
615,615,The compass changes direction.,615.0,"636,1,"
616,616,I don't know.,616.0,"637,1,"
617,617,It changes the other way around,617.0,"638,1,"
618,618,It's moving the other way around,618.0,"639,0,"
619,619,It changes the other way around.,619.0,"640,1,"
620,620,I don't know.,620.0,"641,1,"
621,621,"On the contrary,",621.0,"642,1,"
622,622,to the north,622.0,"643,1,"
623,623,Opposition,623.0,"644,0,"
624,624,There's a lot of fluctuation,624.0,"645,1,"
625,625,"On the contrary, changed.",625.0,"646,1,"
626,626,"The compass turns in the opposite direction, unlike the original one.",626.0,"647,0,"
627,627,The movement will be reversed.,627.0,"648,0,"
628,628,It will change the other way around,628.0,"649,1,"
629,629,It changes the other way around.,629.0,"650,1,"
630,630,the opposite direction,630.0,"651,1,"
631,631,The movement changes,631.0,"652,1,"
632,632,Move to the other side.,632.0,"653,1,"
633,633,It's turning the other way around,633.0,"654,1,"
634,634,It'll move the other way around,634.0,"655,0,"
635,635,It moves in the opposite direction,635.0,"656,1,"
636,636,There will be no movement of the needle.,636.0,"657,1,"
637,637,It's moving the other way around.,637.0,"658,1,659,1,"
638,638,It will go the other way around.,638.0,"660,1,"
639,639,The movement of the compass is likely to change so that the needles are placed side by side according to the direction of the current.,639.0,"661,1,"
640,640,The needle in the compass will point in the opposite direction.,640.0,"662,1,"
641,641,remain unchanged,641.0,"663,1,"
642,642,It's moving in the opposite direction,642.0,"664,1,"
643,643,The compass needle is expected to rotate in the direction of the current.,643.0,"665,1,"
644,644,It's changing,644.0,"666,1,"
645,645,I don't know,645.0,"667,1,"
646,646,"On the contrary,",646.0,"668,1,"
647,647,Changing,647.0,"669,1,"
648,648,It moves in the opposite direction.,648.0,"670,1,"
649,649,It's moving in the opposite direction,649.0,"671,1,"
650,650,Changing,650.0,"672,1,"
651,651,It will change the other way around,651.0,"673,1,"
652,652,..,652.0,"674,1,"
653,653,It changes the other way around.,653.0,"675,1,"
654,654,It changes the other way around.,654.0,"676,1,"
655,655,"On the contrary, changed.",655.0,"677,1,"
656,656,It's moving the other way around.,656.0,"678,1,"
657,657,The compass needle turns in the opposite direction.,657.0,"679,1,"
658,658,It's moving the other way around,658.0,"680,1,"
659,659,The other way around,659.0,"681,1,"
660,660,It changes the other way around,660.0,"682,1,"
661,661,It goes the other way around.,661.0,"683,1,"
662,662,It will change the other way around.,662.0,"684,1,"
663,663,It will move the other way around,663.0,"685,1,"
664,664,It works the other way,664.0,"686,1,"
665,665,"On the contrary, changed.",665.0,"687,1,"
666,666,It will go the other way around.,666.0,"688,1,689,1,"
667,667,It's the other way around,667.0,"690,1,"
668,668,"On the contrary,",668.0,"691,0,"
669,669,It's moving in the opposite direction,669.0,"692,0,"
670,670,Turn in the opposite direction.,670.0,"693,1,"
671,671,The compass needle also changes direction,671.0,"694,0,"
672,672,The compass needle also changes direction,672.0,"695,0,"
673,673,I don't know,673.0,"696,1,"
674,674,The direction changes to the direction of the current.,674.0,"697,1,"
675,675,It's moving the other way around.,675.0,"698,1,"
676,676,The movement of the compass needle is reversed.,676.0,"699,0,"
677,677,The direction of the needle is reversed,677.0,"700,1,"
678,678,The direction of the compass needle changes the same.,678.0,"701,1,"
679,679,The other way around,679.0,"702,0,"
680,680,It changes the other way around,680.0,"703,0,"
681,681,a backward movement,681.0,"704,0,"
682,682,It will be the opposite of before the compass needle changed.,682.0,"705,0,"
683,683,The compass needle will move the opposite way before changing.,683.0,"706,1,"
684,684,It's moving the other way around.,684.0,"707,0,"
685,685,The compass will turn the other way.,685.0,"708,1,"
686,686,The compass moves in reverse.,686.0,"709,1,"
687,687,"The compass will change direction, too.",687.0,"710,1,"
688,688,N o m n o m,688.0,"711,0,"
689,689,I don't know that again.,689.0,"712,1,"
690,690,The N and S poles change,690.0,"713,1,"
691,691,I don't know,691.0,"714,1,"
692,692,Point northThe needle is likely to move in the direction of the current.,692.0,"715,0,"
693,693,The needle moves in reverse,693.0,"716,1,"
694,694,Follow the direction of the current,694.0,"717,0,"
695,695,"Left? Right? Right? Left, right, right",695.0,"718,1,719,1,"
696,696,It looks like it's going to move the other way.,696.0,"720,1,"
697,697,The movement of the needle is reversed.,697.0,"721,1,"
698,698,I feel like I'm going to keep spinning like a propeller,698.0,"722,1,"
699,699,I don't think the compass needle will move.,699.0,"723,0,"
700,700,The needle keeps spinning,700.0,"724,1,"
701,701,The needle shakes from side to side,701.0,"725,1,"
702,702,It's turning the other way around,702.0,"726,1,"
703,703,d,703.0,"727,0,"
704,704,It's moving the other way around,704.0,"728,1,"
705,705,It will change,705.0,"729,1,"
706,706,I think the direction will go the other way.,706.0,"730,1,"
707,707,I think I'll stay still.,707.0,"731,1,"
708,708,It's the other way around,708.0,"732,0,"
709,709,"If we change the direction of the current, the compass will turn in the opposite direction",709.0,"733,1,"
710,710,I think the needle's movement will be reversed,710.0,"734,0,"
711,711,I don't know.,711.0,"735,1,"
712,712,"Changing the direction of the current will change the N and S poles. Therefore, the direction of movement of the N pole and the S pole of the compass will be changed, and the compass needle will be changed in the opposite direction.",712.0,"736,1,"
713,713,You can move the compass little by little with the magnetically,713.0,"737,1,"
714,714,It changes in a different direction,714.0,"738,1,"
715,715,"Changing the direction of the current changes the direction in which the current flows If the direction of the current changes, the direction of the magnetic field also changes The needle in the compass will move in the opposite direction of its original motion by a changed magnetic field",715.0,"739,0,"
716,716,It's going to move in the opposite direction of the original direction.,716.0,"740,1,"
717,717,The needle is likely to move in reverse or erratically.,717.0,"741,0,"
718,718,"When the upper side is called the -pole, the direction of the magnetic field is counterclockwise around the wire, so the direction of the needle of the first compass located on the wire is the n pole on the right side and the s pole on the left side. If the direction of the current changes, the direction of the magnetic field from the bottom is the -pole, and the direction of the magnetic field is counterclockwise around the wire, so the direction of the needle of the compass is the n pole on the left and the s pole on the right.",718.0,"742,0,"
719,719,The compass needle is about to spin.,719.0,"743,0,"
720,720,"Changing the direction of the current also changes the direction of the magnetic field flowing around the circuit. Therefore, the movement of the compass needle will also change.",720.0,"744,0,"
721,721,"When a current flows to an electric wire, a magnetic field is formed in a counterclockwise circle around the electric wire. Therefore, if the direction of the current changes, the direction of the magnetic field will change, and so will the direction indicated by the compass needle.",721.0,"745,1,"
722,722,It changes the other way around,722.0,"746,1,"
723,723,I don't know. I don't know.I don't know. I don't know.I don't know. I don't know.I don't know. I don't know.I don't know. I don't know.I don't know. I don't know.I don't know. I don't know.I don't know. I don't know.I don't know. I don't know.I don't know. I don't know.I don't know. I don't know.I don't know. I don't know.I don't know. I don't know.I don't know. I don't know.,723.0,"747,1,"
724,724,"A magnetic field is formed along the direction in which the current flows. If the direction of the current changes, the flow of the current will change, and if the flow of the current changes, the direction of the magnetic field will also change. The compass moves according to the direction of the magnetic field, and when the direction of the magnetic field changes, the direction of the magnet also changes.",724.0,"748,1,749,1,"
725,725,"""",725.0,"750,0,"
726,726,The compass needle turns the other way around.,726.0,"751,0,"
727,727,The compass needle will move to the same degree and only the direction will be reversed.,727.0,"752,0,"
728,728,"The magnetic field is greatly affected by electric current. Changing the direction of the current causes the magnetic field to act in reverse. Therefore, the compass needle will also move in reverse compared to before changing the direction of the current.",728.0,"753,1,"
729,729,"If you change the direction of the current, the compass needle will not move.",729.0,"754,0,"
730,730,"On the contrary,",730.0,"755,0,"
731,731,You see the south,731.0,"756,0,"
732,732,It's moving the other way around,732.0,"757,0,"
733,733,The current changes in the direction of flow,733.0,"758,1,"
734,734,It changes the other way around.,734.0,"759,1,"
735,735,It changes the other way around,735.0,"760,0,"
736,736,It's a good turn,736.0,"761,1,"
737,737,The compass needle in the first experiment is likely to move in reverse.,737.0,"762,1,"
738,738,I don't think it's gonna move,738.0,"763,1,"
739,739,It doesn't move.,739.0,"764,1,"
740,740,It's moving,740.0,"765,1,"
741,741,The compass moves westward,741.0,"766,1,"
742,742,It moves in the opposite direction.,742.0,"767,0,"
743,743,"On the contrary, changed.",743.0,"768,1,"
744,744,It changes the other way around.,744.0,"769,1,"
745,745,It's moving the other way around.,745.0,"770,1,"
746,746,"In the above experiment, the way to change the direction of the current is to change the position of the electrode and change the direction of the current",746.0,"771,1,"
747,747,I don't know.,747.0,"772,0,"
748,748,I haven't learned it yet.,748.0,"773,1,"
749,749,I don't know,749.0,"774,0,"
750,750,I'm following you,750.0,"775,1,"
751,751,I didn't learn it.,751.0,"776,1,"
752,752,I'm following you,752.0,"777,1,"
753,753,I didn't learn it,753.0,"778,1,779,1,"
754,754,It sounds strange.,754.0,"780,1,"
755,755,It's turning to the other side,755.0,"781,1,"
756,756,Follow the current.,756.0,"782,1,"
757,757,The needle moves to the other side,757.0,"783,1,"
758,758,I think it'll go the other way,758.0,"784,1,"
759,759,It's moving the other way around,759.0,"785,1,"
760,760,I'll follow you.,760.0,"786,1,"
761,761,The movement of the needle is the opposite,761.0,"787,1,"
762,762,The compass needle is likely to move in the direction of the current.,762.0,"788,1,"
763,763,Go back to the other side,763.0,"789,1,"
764,764,I don't know,764.0,"790,1,"
765,765,be likely to return in the direction of electricity,765.0,"791,1,"
766,766,The needle is likely to move to the other side.,766.0,"792,1,"
767,767,I'm going that way,767.0,"793,1,"
768,768,I think it will change as it is.,768.0,"794,0,"
769,769,Movements,769.0,"795,1,"
770,770,"If you change the direction of the current, the red needle goes the other way.",770.0,"796,1,"
771,771,It's breaking,771.0,"797,1,"
772,772,"On the contrary, changed.",772.0,"798,1,"
773,773,It changes the other way around.,773.0,"799,1,"
774,774,facing in the opposite direction,774.0,"800,1,"
775,775,It works the other way around.,775.0,"801,1,"
776,776,The direction of the needle bending is reversed.,776.0,"802,1,"
777,777,The needle changes to the other side.,777.0,"803,1,"
778,778,The movement changes in reverse.,778.0,"804,1,"
779,779,It's moving the other way around.,779.0,"805,1,"
780,780,"On the contrary, changed.",780.0,"806,1,"
781,781,"On the contrary, changed.",781.0,"807,1,"
782,782,It becomes the opposite.,782.0,"808,0,809,1,"
783,783,It works the other way around.,783.0,"810,1,"
784,784,"On the contrary,",784.0,"811,1,"
785,785,It changes the other way around.,785.0,"812,1,"
786,786,It's going the other way around.,786.0,"813,1,"
787,787,It's moving the other way around.,787.0,"814,1,"
788,788,It changes the other way around.,788.0,"815,1,"
789,789,Move the other way around.,789.0,"816,1,"
790,790,"On the contrary,",790.0,"817,1,"
791,791,"Move in the direction of the wireAccording to the right screw's law, the compass moves in the opposite direction of the original movement (from the view shown in the picture to the left).",791.0,"818,1,"
792,792,It's moving the other way around,792.0,"819,1,"
793,793,It becomes a station.,793.0,"820,1,"
794,794,Move to the other side.,794.0,"821,1,"
795,795,It will move the other way around.,795.0,"822,0,"
796,796,It becomes the opposite,796.0,"823,1,"
797,797,The needle of the compass appears in the opposite direction of the previous experiment.,797.0,"824,1,"
798,798,It's going the other way around.,798.0,"825,0,"
799,799,The compass is in the opposite direction.,799.0,"826,1,"
800,800,Changing,800.0,"827,1,"
801,801,It changes in the opposite direction,801.0,"828,1,"
802,802,"On the contrary, changed.",802.0,"829,0,"
803,803,It's moving the other way around,803.0,"830,1,"
804,804,Same.,804.0,"831,1,"
805,805,It's moving the other way around.,805.0,"832,1,"
806,806,"On the contrary, changed.",806.0,"833,1,"
807,807,It is pointed in the opposite direction.,807.0,"834,0,"
808,808,It's moving the other way around.,808.0,"835,1,"
809,809,It'll move the other way around,809.0,"836,1,"
810,810,Turn to the other side,810.0,"837,1,"
811,811,"Unlike the experiment above, the current moves in reverse.",811.0,"838,1,839,0,"
812,812,Face the opposite side.,812.0,"840,1,"
813,813,It will turn the other way around,813.0,"841,1,"
814,814,The needle moves in the direction of the changed current.,814.0,"842,1,"
815,815,The direction of the compass needle is reversed.,815.0,"843,1,"
816,816,It's going the other way around.,816.0,"844,1,"
817,817,"Before changing, the needle rotates in the opposite direction of rotation.",817.0,"845,1,"
818,818,I don't know,818.0,"846,1,"
819,819,It's moving the other way around.,819.0,"847,0,"
820,820,"When the direction of the current changes, the direction of the magnetic field around the wire changes, and the needle of the compass moves in the opposite direction to the first.",820.0,"848,1,"
821,821,I'm not sure.,821.0,"849,0,"
822,822,"On the contrary,",822.0,"850,0,"
823,823,The needle moves in reverse.,823.0,"851,1,"
824,824,It's moving in the opposite direction,824.0,"852,1,"
825,825,It's moving,825.0,"853,1,"
826,826,Move in the opposite direction to the first movement.,826.0,"854,0,"
827,827,It changes the other way around,827.0,"855,0,"
828,828,It changes in a different direction,828.0,"856,1,"
829,829,It changes the other way around,829.0,"857,1,"
830,830,Quickly.,830.0,"858,0,"
831,831,"If the intensity of the current is the same, it will return to the same angle and the opposite direction.",831.0,"859,0,"
832,832,"It'll change with the flow of electricity, right?",832.0,"860,1,"
833,833,Wouldn't it move the other way?,833.0,"861,1,"
834,834,I think it'll change the other way around,834.0,"862,1,"
835,835,ㅁㄹㅇ,835.0,"863,1,"
836,836,It moves in the direction of the current,836.0,"864,1,"
837,837,You're going to point in the opposite direction.,837.0,"865,1,"
838,838,the opposite movement,838.0,"866,1,"
839,839,I think it's going to go the other way around and shake it,839.0,"867,0,"
840,840,The movement is likely to change the other way around,840.0,"868,1,869,1,"
841,841,"Changing the direction of the current changes the direction of the + pole and the - pole, so the movement of the compass needle changes in reverse.",841.0,"870,0,"
842,842,It will change the other way around.,842.0,"871,1,"
843,843,I think it will be the same.,843.0,"872,1,"
844,844,It changes the other way around,844.0,"873,0,"
845,845,It will spin around,845.0,"874,1,"
846,846,It will spin around,846.0,"875,1,"
847,847,I think it's going to move with the current,847.0,"876,0,"
848,848,The needle follows the direction of the current,848.0,"877,1,"
849,849,Move in the direction of the current,849.0,"878,1,"
850,850,k,850.0,"879,1,"
851,851,I don't know.,851.0,"880,0,"
852,852,It's going the other way around,852.0,"881,1,"
853,853,It's the other way around,853.0,"882,1,"
854,854,.,854.0,"883,1,"
855,855,It's not moving,855.0,"884,1,"
856,856,"On the contrary,",856.0,"885,1,"
857,857,Move in the opposite direction.,857.0,"886,1,"
858,858,"On the contrary,",858.0,"887,1,"
859,859,"On the contrary,",859.0,"888,1,"
860,860,to change in the opposite direction,860.0,"889,1,"
861,861,It changes the other way around,861.0,"890,1,"
862,862,It's turning the other way around,862.0,"891,1,"
863,863,.,863.0,"892,0,"
864,864,It changes to the other side,864.0,"893,0,"
865,865,It changes to the other side,865.0,"894,0,"
866,866,.,866.0,"895,1,"
867,867,The movement moves in reverse.,867.0,"896,1,"
868,868,It's the other way around,868.0,"897,0,"
869,869,.,869.0,"898,1,899,0,"
870,870,It changes the other way around,870.0,"900,1,"
871,871,It's the opposite,871.0,"901,0,"
872,872,in all directions,872.0,"902,1,"
873,873,The direction of the compass needle will be reversed.,873.0,"903,0,"
874,874,It changes the other way around,874.0,"904,1,"
875,875,It changes the other way around,875.0,"905,1,"
876,876,What?,876.0,"906,1,"
877,877,It's moving in the opposite direction,877.0,"907,1,"
878,878,It turns in the opposite direction,878.0,"908,1,"
879,879,It's moving the other way around.,879.0,"909,1,"
880,880,Move to the other side.,880.0,"910,0,"
881,881,The direction of the current changes.,881.0,"911,0,"
882,882,It changes the other way around,882.0,"912,1,"
883,883,It turns in the opposite direction,883.0,"913,1,"
884,884,Move to the other side,884.0,"914,0,"
885,885,It turns in the opposite direction.,885.0,"915,0,"
886,886,It becomes the opposite,886.0,"916,0,"
887,887,Turn in the opposite direction.,887.0,"917,0,"
888,888,It's not moving,888.0,"918,1,"
889,889,I don't know.,889.0,"919,0,"
890,890,I don't know.It will move in the opposite direction to the first.,890.0,"920,0,"
891,891,It spins in the opposite direction,891.0,"921,1,"
892,892,I don't know.,892.0,"922,0,"
893,893,"On the contrary, changed.",893.0,"923,1,"
894,894,sorry,894.0,"924,1,"
895,895,It changes the other way around,895.0,"925,1,"
896,896,M,896.0,"926,1,"
897,897,It changes the other way around.,897.0,"927,0,"
898,898,It's spinning,898.0,"928,1,929,1,"
899,899,The needle in the compass moves the other way around.,899.0,"930,1,"
900,900,Changing the direction of the current causes the compass needle to move in reverse.,900.0,"931,1,"
901,901,It changes the other way around,901.0,"932,1,"
902,902,"On the contrary,",902.0,"933,0,"
903,903,The direction changes to the current,903.0,"934,1,"
904,904,I'll go backwards,904.0,"935,1,"
905,905,I don't know.,905.0,"936,0,"
906,906,?,906.0,"937,1,"
907,907,Changing,907.0,"938,1,"
908,908,"On the contrary, go.",908.0,"939,1,"
909,909,ㄷㄴㄹㄴㄷㄹㅈㄷㄱㅈ죻뇾ㄷㅈㄷㅅ,909.0,"940,0,"
910,910,I don't know,910.0,"941,0,"
911,911,"Here, here",911.0,"942,1,"
912,912,I don't know.,912.0,"943,0,"
913,913,"If the current is redirected, the compass needle is likely to go towards the current.",913.0,"944,0,"
914,914,I don't know.,914.0,"945,1,"
915,915,I went to look west.,915.0,"946,0,"
916,916,"On the contrary, go.",916.0,"947,0,"
917,917,I think it's going to change,917.0,"948,0,"
918,918,I change it the other way around.,918.0,"949,0,"
919,919,It changes the other way around,919.0,"950,0,"
920,920,The compass needle moves in the same direction as the current goes in the direction.,920.0,"951,1,"
921,921,The direction of the current changes,921.0,"952,1,"
922,922,The compass needle won't move.,922.0,"953,0,"
923,923,It changes the other way around.,923.0,"954,1,"
924,924,upside down,924.0,"955,1,"
925,925,upside down,925.0,"956,1,"
926,926,The compass moves in the opposite direction,926.0,"957,1,"
927,927,It will move in the direction of the current.,927.0,"958,1,959,1,"
928,928,The compass needle moves.,928.0,"960,1,"
929,929,"On the contrary,",929.0,"961,1,"
930,930,The compass movement also returns as the current changes direction.,930.0,"962,0,"
931,931,The compass needle moves.,931.0,"963,0,"
932,932,Turn your compass in the opposite direction,932.0,"964,1,"
933,933,It will be the other way around.,933.0,"965,0,"
934,934,I'm going in the opposite direction,934.0,"966,1,"
935,935,It works well.,935.0,"967,0,"
936,936,I don't know,936.0,"968,1,"
937,937,It will turn the other way around.,937.0,"969,0,"
938,938,I don't know,938.0,"970,0,"
939,939,I don't know.,939.0,"971,1,"
940,940,It's likely to move in the opposite direction,940.0,"972,0,"
941,941,I don't know,941.0,"973,0,"
942,942,I don't know,942.0,"974,0,"
943,943,I don't know.,943.0,"975,0,"
944,944,It's going halfway around,944.0,"976,0,"
945,945,I don't know,945.0,"977,0,"
946,946,It moves in the opposite direction.,946.0,"978,0,"
947,947,The motion changes in the opposite direction,947.0,"979,1,"
948,948,I don't know,948.0,"980,0,"
949,949,The motion changes in the opposite direction.,949.0,"981,0,"
950,950,It's moving the other way around,950.0,"982,0,"
951,951,"""The relationship between the flow of electric current and the magnetic field is called the law of the right screw, which is:",951.0,"983,1,"
952,952,"If you turn the right screw and say that the direction of the current is the direction the screw is going, the magnetic field that occurs is the direction the screw is turning.""",952.0,"984,0,"
953,953,It's moving the other way around.,953.0,"985,0,"
954,954,"""The relationship between the flow of electric current and the magnetic field is called the law of the rising screw.",954.0,"986,1,"
955,955,"If the direction of the current is the direction in which the screw goes by by rotating the right screw, the magnetic field generated is the same as the direction in which the screw is rotated.""",955.0,"987,1,"
956,956,The compass moves in the direction of the current.,956.0,"988,1,989,0,"
957,957,It changes in the opposite direction.,957.0,"990,1,"
958,958,The compass saliva turns in the opposite direction.,958.0,"991,0,"
959,959,I don't know.,959.0,"992,1,"
960,960,I don't know.,960.0,"993,0,"
961,961,It changes in the opposite direction.,961.0,"994,1,"
962,962,I don't know,962.0,"995,0,"
963,963,It looks like it's going to turn the other way.,963.0,"996,1,"
964,964,I don't know,964.0,"997,1,"
965,965,It's moving the other way around,965.0,"998,1,"
966,966,from east to west,966.0,"999,1,"
967,967,I'm going to keep coming and going back and forth,967.0,"1000,0,"
968,968,The compass needle moves backwards,968.0,"1001,1,"
969,969,I'll buzz around,969.0,"1002,1,"
970,970,"I don't know, I don't know",970.0,"1003,1,"
971,971,I don't know.,971.0,"1004,1,"
972,972,I don't know,972.0,"1005,1,"
973,973,I don't know,973.0,"1006,1,"
974,974,I haven't learned it yet,974.0,"1007,1,"
975,975,I think I'm going to stop and suddenly I'm going to feel better,975.0,"1008,1,"
976,976,"""It's moving the other way around",976.0,"1009,1,"
977,977,"""",977.0,"1010,0,"
978,978,No learning,978.0,"1011,1,"
979,979,The needle is moving,979.0,"1012,1,"
980,980,The needle is moving,980.0,"1013,0,"
981,981,Turn it the other way around,981.0,"1014,1,"
982,982,I don't know,982.0,"1015,1,"
983,983,I don't know,983.0,"1016,0,"
984,984,The compass needle will move in the direction of the current change.,984.0,"1017,0,"
985,985,It's through electricity.,985.0,"1018,1,1019,0,"
986,986,The needle moves in the changed direction,986.0,"1020,0,"
987,987,I don't know,987.0,"1021,0,"
988,988,I think the direction will change.,988.0,"1022,0,"
989,989,The compass needle is spinningIt'll go the other way around differently,989.0,"1023,0,"
990,990,I don't know,990.0,"1024,1,"
991,991,It's moving the other way around.,991.0,"1025,1,"
992,992,Grasha,992.0,"1026,0,"
993,993,It's moving the other way around.,993.0,"1027,0,"
994,994,Changing,994.0,"1028,1,"
995,995,It changes direction.,995.0,"1029,1,"
996,996,It's turning the other way around,996.0,"1030,1,"
997,997,Don't know,997.0,"1031,1,"
998,998,Move it the other way around.,998.0,"1032,1,"
999,999,It works the other way around.,999.0,"1033,1,"
1000,1000,change the pole of the battery,1000.0,"1034,1,"
1001,1001,The needle on the compass changes 180 degrees.,1001.0,"1035,0,"
1002,1002,"On the contrary, changed.",1002.0,"1036,1,"
1003,1003,"""Turned the other way around",1003.0,"1037,1,"
1004,1004,"""",1004.0,"1038,1,"
1005,1005,The needle changes direction,1005.0,"1039,1,"
1006,1006,It's moving the other way around.,1006.0,"1040,1,"
1007,1007,It changes the other way around,1007.0,"1041,0,"
1008,1008,"Yes, yes",1008.0,"1042,0,"
1009,1009,It changes the other way around,1009.0,"1043,0,"
1010,1010,It changes the other way around,1010.0,"1044,1,"
1011,1011,It's not moving,1011.0,"1045,0,"
1012,1012,Changing,1012.0,"1046,1,"
1013,1013,It's going the other way,1013.0,"1047,1,"
