,Unnamed: 0,"18. Most people now use smartphones, which are small computers in their hands that they couldn't imagine 20 years ago. Many changes have occurred due to the development of science and technology. How has the development of science and technology changed our lives? ",Unnamed: 0,", q18_convenience, q18_information, q18_problem, q18_convenience.1, q18_information.1, q18_problem.1"
308,308,It made our lives convenient,308.0,"318,1,0,0,,,"
309,309,It was a convenient help for my life,309.0,"319,1,0,0,,,"
310,310,It makes you feel more comfortable,310.0,"320,0,0,1,,,"
311,311,"It helps us a lot in our lives. For example, you can use a washing machine.",311.0,"321,0,1,0,,,"
312,312,gave someone convenience,312.0,"322,1,0,0,,,"
313,313,"It is easy to live, but the environmental pollution becomes serious",313.0,"323,0,0,1,,,"
314,314,More people read e-books than paper books,314.0,"324,1,0,0,,,"
315,315,Convenience,315.0,"325,0,0,0,,,"
316,316,"Now, even a distant neighborhood can go in a few hours",316.0,"326,1,0,0,,,"
317,317,Shader's teaching skillsㅓㅗㅓㅏㅕ교,317.0,"327,1,0,0,,,"
318,318,Science and technology make us convenient and comfortable.,318.0,"328,1,0,0,,,329,1,0,1,,,"
319,319,You can see what's happening in foreign countries and what's happening in Korea in real time,319.0,"330,1,0,0,,,"
320,320,Less territory is felt,320.0,"331,0,0,0,,,"
321,321,It made life more convenient,321.0,"332,0,1,0,,,"
322,322,Our lives become more convenient,322.0,"333,0,1,0,,,"
323,323,a wonderful change,323.0,"334,1,0,0,,,"
324,324,"With the development of science and technology, we don't have to move much anymore.",324.0,"335,1,0,0,,,"
325,325,"First of all, it's convenient and helps with life",325.0,"336,1,0,0,,,"
326,326,"The development of science and technology has had a tremendous impact on human life.  Among them, smartphones have become a necessity in modern society, making them a responsibility for living for the entire world. However, the earth is becoming ill due to the indiscriminate destruction and development of human nature",326.0,"337,0,1,0,,,"
327,327,"Work efficiency has improved, information can be given and received quickly, and production has become easier.",327.0,"338,1,0,0,,,"
328,328,Life has become easier and faster.,328.0,"339,0,0,0,,,"
329,329,Convenience,329.0,"340,1,0,0,,,"
330,330,made a change in one's life pattern,330.0,"341,1,0,0,,,"
331,331,Convenient,331.0,"342,0,1,1,,,"
332,332,Convenience,332.0,"343,1,0,0,,,"
333,333,Lazy it.You take it for granted to enjoy it. It is an opportunity to think of science as difficult.,333.0,"344,0,1,0,,,"
334,334,a convenient,334.0,"345,1,0,0,,,"
335,335,a convenient,335.0,"346,1,0,0,,,"
336,336,"Smartphone addiction, cybercrime",336.0,"347,0,0,0,,,"
337,337,It became possible to escape from the constraints of time and space-time constraints.,337.0,"348,0,1,0,,,"
338,338,an increase in the quality of life,338.0,"349,0,1,0,,,"
339,339,"It causes long-term use of electronic devices, causing various diseases.",339.0,"350,0,0,1,,,"
340,340,Convenience,340.0,"351,0,0,1,,,"
341,341,It seems that technology has advanced in semiconductors,341.0,"352,1,0,0,,,"
342,342,It became convenient,342.0,"353,1,0,0,,,"
343,343,Science and technology makes our daily lives more convenient,343.0,"354,0,0,0,,,"
344,344,It makes life convenient and I can have a lot of knowledge easily,344.0,"355,0,0,1,,,"
345,345,"First of all, due to the development of the Internet, I can quickly know information and questions, and I can use things that I need in my life conveniently and safely, but I can use my cell phone.If you look at the computer too much, you get addicted because you can't distinguish between the real world and the giant reality",345.0,"356,1,0,0,,,"
346,346,It's convenient,346.0,"357,1,0,0,,,"
347,347,"Due to the development of science and technology, it shortens people's life and time.",347.0,"358,0,0,0,,,359,0,0,0,,,"
348,348,Transportation developed,348.0,"360,1,0,0,,,"
349,349,It has changed due to the development of transportation and communication,349.0,"361,1,0,0,,,"
350,350,It became convenient,350.0,"362,1,0,0,,,"
351,351,We can make our daily lives more convenient and communicate easily with people far away.,351.0,"363,0,1,0,,,"
352,352,I was able to know the news comfortably,352.0,"364,0,1,0,,,"
353,353,I can learn knowledge conveniently and quickly because of my cell phone,353.0,"365,0,0,0,,,"
354,354,It makes our lives more convenient.,354.0,"366,1,0,1,,,"
355,355,It became convenient because there was a train that could go the distance that had to be more than a day in a few hours.,355.0,"367,1,0,0,,,"
356,356,Real life becomes convenient,356.0,"368,0,0,1,,,"
357,357,It has made a change that we can live much more conveniently.,357.0,"369,1,0,0,,,"
358,358,"""-Smartphone Addiction",358.0,"370,1,0,0,,,"
359,359,"- Quick calculation and quick information gathering""",359.0,"371,0,1,0,,,"
360,360,Science and technology made our lives more convenient.,360.0,"372,1,1,0,,,"
361,361,He was able to convey his intention a little faster.,361.0,"373,0,0,0,,,"
362,362,It makes our lives more convenient.,362.0,"374,0,0,0,,,"
363,363,It made our lives more convenient.,363.0,"375,0,0,0,,,"
364,364,beneficial change,364.0,"376,1,0,0,,,"
365,365,We stopped using our hands because we were teaching on TV and the cleaning robot cleaned us up,365.0,"377,0,0,0,,,"
366,366,We can share information with each other even if we are far away.,366.0,"378,1,0,0,,,"
367,367,A lot of jobs could be lost.,367.0,"379,0,0,0,,,"
368,368,"""I'll see it as a relatively negative effect",368.0,"380,0,0,0,,,"
369,369,1. The development of science and technology has led to the development,369.0,"381,0,0,0,,,"
370,370,"2. Anonymous personal attack using a computer or smartphone (bad comments, etc.)",370.0,"382,1,0,0,,,"
371,371,"3. Environmental pollution (air pollution, soil pollution, water pollution, etc.)",371.0,"383,0,0,0,,,"
372,372,"There are a lot of other things, but I'll stop here because of the time.""",372.0,"384,0,0,0,,,"
373,373,It made it more convenient.,373.0,"385,1,0,0,,,"
374,374,It becomes convenient.,374.0,"386,1,0,0,,,"
375,375,I don't know,375.0,"387,1,0,0,,,"
376,376,I made a smartphone addiction,376.0,"388,1,0,0,,,389,0,1,0,,,"
377,377,The development of science and technology gave convenience to life.,377.0,"390,1,0,0,,,"
378,378,"It makes our lives convenient, allows us to search the Internet on the street, and we can know the way when we don't know the way.",378.0,"391,1,0,0,,,"
379,379,"Promotion of the World Congress due to the reduction of travel time between regions and the world, such as the overall lifestyle, culture, customs, and environment, etc",379.0,"392,1,0,1,,,"
380,380,It was able to collapse.,380.0,"393,1,1,0,,,"
381,381,It made it easy to handle most of the work and provided a lot of information in everyday life,381.0,"394,0,1,0,,,"
382,382,It gives you convenience.,382.0,"395,0,0,0,,,"
383,383,It makes me feel comfortable in my daily life.,383.0,"396,1,0,0,,,"
384,384,You can film or watch videos anywhere,384.0,"397,1,0,0,,,"
385,385,We can get the information we need anywhere in our lives,385.0,"398,0,0,0,,,"
386,386,"""",386.0,"399,0,1,0,,,"
387,387,I don't know,387.0,"400,1,0,0,,,"
388,388,"Although it has become simple, it seems that people are addicted to the Internet.",388.0,"401,1,0,1,,,"
389,389,It allowed us to live a more convenient life,389.0,"402,1,1,0,,,"
390,390,It created a smartphone addiction phenomenon.,390.0,"403,1,0,0,,,"
391,391,"It gave us a lot of convenience, but it also gave us a lot of disadvantages",391.0,"404,0,0,0,,,"
392,392,They made it convenient,392.0,"405,1,1,0,,,"
393,393,It gives me a lot of knowledge,393.0,"406,0,1,0,,,"
394,394,"Convenience, fast, accurate, informative and time-saving",394.0,"407,1,0,0,,,"
395,395,You can deliver a message without writing a letter.You can deliver a message without writing a letter.,395.0,"408,1,0,0,,,"
396,396,Humans have become able to transport travel with airplanes.,396.0,"409,0,0,0,,,"
397,397,It helps us solve more comfortable and difficult tasks easily and simply.,397.0,"410,0,0,0,,,"
398,398,"Science and technology have influenced us a lot, including the industrial revolution, lifestyle, and values, and countries, like nuclear, are working on technological development knowing that technological development is the power of that country.",398.0,"411,0,0,0,,,"
399,399,gave someone convenience in life,399.0,"412,1,0,0,,,"
400,400,The development of science has allowed knowledge to develop much more and live in a better environment.,400.0,"413,0,1,0,,,"
401,401,M and D,401.0,"414,0,0,0,,,"
402,402,technologically-subs,402.0,"415,0,0,0,,,"
403,403,Convenience,403.0,"416,1,0,0,,,"
404,404,I love you ^^,404.0,"417,0,0,0,,,"
405,405,ㄱ and ㅈ,405.0,"418,1,1,0,,,419,0,0,0,,,"
406,406,It provides a convenient life.,406.0,"420,0,0,0,,,"
407,407,The development of science and technology makes our lives more convenient.,407.0,"421,0,0,0,,,"
408,408,It gave us convenience in our lives and allowed us to solve what we can only do with computers with smartphones.,408.0,"422,1,0,0,,,"
409,409,"It makes people's lives convenient and reduces unnecessary losses. As a result, they are able to live very efficiently, but on the other hand, they have made people lazy.",409.0,"423,0,1,1,,,"
410,410,You can figure out your own way without asking others for directions,410.0,"424,1,1,0,,,"
411,411,"By bringing frustration and convenience to our lives, more and more people are enjoying playing with their phones.",411.0,"425,1,1,0,,,"
412,412,"It improves the quality of life, and the development of science and technology develops another field.",412.0,"426,0,0,0,,,"
413,413,"The population has increased, life expectancy has increased, and everyone has become convenient. However, there are cases where it adversely affects such as smartphone addiction.",413.0,"427,1,0,0,,,"
414,414,It became possible to communicate with people far away and brought convenience to daily life.,414.0,"428,1,0,0,,,"
415,415,"The development of medical technology extends the average life expectancy of a person, and the development of information and communication technology enables a variety of information to be obtained quickly, etc",415.0,"429,0,0,0,,,"
416,416,"I made a lot of changes. Especially Steve Jobs' innovation in cell phones seems to be really great. Now, most of life can be solved with a cell phone.",416.0,"430,0,1,0,,,"
417,417,It made our lives more convenient.,417.0,"431,0,0,0,,,"
418,418,The development of science and technology makes our lives more comfortable.,418.0,"432,0,0,0,,,"
419,419,The advancement of medical technology has extended the life span.,419.0,"433,1,0,0,,,"
420,420,"Personal broadcasting is possible through the development of communication technology, various online games, autonomous vehicles, augmented reality, etc",420.0,"434,1,0,0,,,"
421,421,It made our lives convenient.,421.0,"435,1,0,0,,,"
422,422,"The development of science and technology has made our lives richer and more comfortable, but on the other hand, the world is being polluted by the destruction of nature and the fumes produced by various chemicals.",422.0,"436,1,0,0,,,"
423,423,"You can communicate with various people on the Internet, and you can live more conveniently through computer activities rather than hand-written activities.",423.0,"437,1,0,0,,,"
424,424,I feel more comfortable.,424.0,"438,1,0,1,,,"
425,425,"The development of science and technology replaces what humans could do in the past, depriving humans of the values they had before. Mechanical AI owns not only excellent physical and mental abilities, but also literary enjoyment skills and emotions, and humans gradually lose their original value. Therefore, humans redefine themselves in their lives.",425.0,"439,1,0,0,,,"
426,426,"The development of science and technology has shortened the relative space and time by improving the time to access information or the means of transportation, thereby bringing convenience to life.",426.0,"440,1,0,0,,,"
427,427,"For one example, the development of satellites has allowed us to watch soccer games on the other side of the globe in real time.",427.0,"441,0,1,0,,,"
428,428,Life has become convenient.,428.0,"442,0,1,0,,,"
429,429,It made our lives much more convenient.,429.0,"443,1,0,0,,,"
430,430,",",430.0,"444,1,0,0,,,"
431,431,Life has changed a lot.,431.0,"445,0,0,0,,,"
432,432,Ankimchi. (Ankimchi in Korean),432.0,"446,1,0,0,,,"
433,433,It made life easier and made access to information easier,433.0,"447,1,0,0,,,"
434,434,It is easier and easier to get information and people have become lazy.,434.0,"448,1,0,0,,,449,0,1,0,,,"
435,435,It made a fool of a person.,435.0,"450,1,0,0,,,"
436,436,He is degenerating.,436.0,"451,1,0,0,,,"
437,437,It made life easier,437.0,"452,0,0,0,,,"
438,438,It allowed me to play games at home.,438.0,"453,0,0,0,,,"
439,439,Our lives have become more convenient and the movement and exchange of developmental materials for transportation and communication have become active.,439.0,"454,1,0,0,,,"
440,440,The rules of life have changed,440.0,"455,1,0,0,,,"
441,441,It's become ang-gi-mo-tti,441.0,"456,1,0,0,,,"
442,442,It's better,442.0,"457,1,0,0,,,"
443,443,convenient use of transportation,443.0,"458,0,0,0,,,"
444,444,"Job loss, convenience of communication, travel time, convenience of information acquisition, etc",444.0,"459,1,0,0,,,"
445,445,It makes human life more convenient and faster to know information,445.0,"460,0,0,0,,,"
446,446,It made our lives more convenient and made us able to find information quickly,446.0,"461,1,0,0,,,"
447,447,"With the development of communication, time and space have been reduced because information can be accessed without going directly to faraway places.",447.0,"462,1,0,0,,,"
448,448,I can get information conveniently,448.0,"463,1,0,0,,,"
449,449,"These technologies have made our lives hot and convenient, faster, and faster to be delivered. However, these technologies make us lazy because they are so convenient to us.",449.0,"464,0,0,0,,,"
450,450,I can check the weather and watch videos.,450.0,"465,1,0,0,,,"
451,451,I can receive more information because of the Internet,451.0,"466,0,1,0,,,"
452,452,"In the present, we live with computers and smartphones, and whatever we do, we need smartphones, and if there are more changes here, we will depend on them",452.0,"467,1,0,1,,,"
453,453,We called each other and told each other important things and made a car that was easy to go far away,453.0,"468,1,0,0,,,"
454,454,It makes it convenient.,454.0,"469,0,0,0,,,"
455,455,It gave us a more convenient and easy life,455.0,"470,0,0,0,,,"
456,456,It made our lives more convenient and convenient.,456.0,"471,1,0,0,,,"
457,457,Our lives have changed more comfortably.,457.0,"472,1,0,1,,,"
458,458,It improves the quality of life.,458.0,"473,0,1,0,,,"
459,459,"It can lead to game addiction, but it brought convenience.",459.0,"474,1,1,0,,,"
460,460,It provided convenience to people.,460.0,"475,1,0,0,,,"
461,461,It made it more convenient.,461.0,"476,1,0,0,,,"
462,462,I can easily identify important information and communicate with people far away through messages,462.0,"477,1,0,0,,,"
463,463,You can travel far distances in a short period of time,463.0,"478,1,0,0,,,479,0,0,0,,,"
464,464,gave convenience,464.0,"480,1,0,0,,,"
465,465,"More convenient, easier and simpler to do",465.0,"481,0,0,0,,,"
466,466,Simple,466.0,"482,1,0,0,,,"
467,467,It makes life convenient,467.0,"483,1,0,0,,,"
468,468,Life has become convenient.,468.0,"484,1,0,0,,,"
469,469,You made me feel comfortable,469.0,"485,0,0,0,,,"
470,470,Internet access is available anywhere.,470.0,"486,1,0,0,,,"
471,471,Gives you convenience,471.0,"487,1,0,0,,,"
472,472,convenience and laziness,472.0,"488,1,0,0,,,"
473,473,had a great influence on,473.0,"489,0,0,0,,,"
474,474,Everything has changed,474.0,"490,1,0,0,,,"
475,475,Made our lives comfortable.,475.0,"491,1,0,0,,,"
476,476,It brought me convenience,476.0,"492,1,0,0,,,"
477,477,Our lives have become convenient!,477.0,"493,1,0,0,,,"
478,478,It makes me feel comfortable,478.0,"494,1,0,0,,,"
479,479,"It made it hard to sleep fast at night, and it created my favorite webtoon That's so sweet",479.0,"495,0,0,0,,,"
480,480,It helps us live our lives more conveniently.,480.0,"496,0,0,0,,,"
481,481,a lot of help,481.0,"497,0,0,0,,,"
482,482,Convenience,482.0,"498,1,0,0,,,"
483,483,"Life is getting faster and more convenient, and you can learn a lot of information.",483.0,"499,1,0,0,,,"
484,484,It became easier to live than the king of the Joseon Dynasty.,484.0,"500,1,0,0,,,"
485,485,It's changed a lot,485.0,"501,1,0,0,,,"
486,486,It makes life convenient.,486.0,"502,1,0,0,,,"
487,487,"It is very helpful to learn information by being able to communicate anytime, anywhere and know what is happening in real time around the world.",487.0,"503,1,0,0,,,"
488,488,It made our lives more convenient. The dependence on technology has increased. But the environment is also being damaged.,488.0,"504,1,0,0,,,"
489,489,Our lives have become very convenient.,489.0,"505,0,0,0,,,"
490,490,"You can make a lot of games with high graphics, so you can play fun games.",490.0,"506,0,0,0,,,"
491,491,It allowed us to take a step closer to the information age.,491.0,"507,0,1,0,,,"
492,492,Try to lead a more comfortable life.,492.0,"508,1,0,0,,,509,1,0,0,,,"
493,493,"The development of science and technology is generally ambivalent. The development of science and technology can bring convenience to our lives. But problems lurk behind it. On the personal side, there were health problems such as poor eyesight, and a decrease in social relationships due to addiction to the media. Socially, there was an increase in social confusion due to job losses and intergenerational conflicts due to the gap between individuals accepting technology.",493.0,"510,1,0,0,,,"
494,494,"By using a smartphone, you can find the information you want anytime, anywhere.I can enjoy a richer cultural life. For example, I can enjoy augmented reality, movies and games using virtual reality technology that I never imagined in the past. In addition, with the development of artificial intelligence, we can lower language barriers by using better automatic translation systems, and the ability to organize data has developed, enabling semantic search to get the information we want right away.",494.0,"511,1,0,0,,,"
495,495,Life has become much easier.,495.0,"512,1,0,0,,,"
496,496,Comfortable.,496.0,"513,0,1,0,,,"
497,497,live conveniently,497.0,"514,1,0,0,,,"
498,498,be more convenient,498.0,"515,1,0,0,,,"
499,499,ㅍㄷ고ㅛㅜㅡㅅㄷㄷ,499.0,"516,1,0,0,,,"
500,500,It made life more convenient for us,500.0,"517,1,0,0,,,"
501,501,a lot of changes,501.0,"518,1,0,1,,,"
502,502,It makes you feel comfortable,502.0,"519,1,0,0,,,"
503,503,a comfortable life,503.0,"520,0,1,0,,,"
504,504,Convenience,504.0,"521,1,0,0,,,"
505,505,Awesome changes,505.0,"522,1,0,0,,,"
506,506,It's convenient,506.0,"523,0,0,0,,,"
507,507,I made it convenient.,507.0,"524,1,0,0,,,"
508,508,"It makes our lives more convenient, and ordinary people can easily access the IT field.",508.0,"525,1,0,0,,,"
509,509,a great change,509.0,"526,0,0,0,,,"
510,510,be more convenient,510.0,"527,1,0,0,,,"
511,511,It became convenient.,511.0,"528,1,0,0,,,"
512,512,be convenient and comfortable,512.0,"529,1,0,0,,,"
513,513,I live a very convenient life.,513.0,"530,1,1,0,,,"
514,514,It's convenient,514.0,"531,1,0,0,,,"
515,515,"It will help people, but if it helps people more, people will move and less activity.",515.0,"532,1,0,0,,,"
516,516,in a good way,516.0,"533,0,0,0,,,"
517,517,I don't know,517.0,"534,1,0,0,,,"
518,518,It makes life easier,518.0,"535,1,0,0,,,"
519,519,It gave us convenience in our lives.,519.0,"536,0,1,0,,,"
520,520,It makes our lives convenient,520.0,"537,1,0,0,,,"
521,521,"""It makes it more convenient.""",521.0,"538,0,0,0,,,539,0,1,0,,,"
522,522,"""",522.0,"540,0,0,0,,,"
523,523,It makes life convenient and gives various information.,523.0,"541,0,0,1,,,"
524,524,the ease of life,524.0,"542,0,1,0,,,"
525,525,Life is easy,525.0,"543,0,1,0,,,"
526,526,"It has done us a lot of good, but it has also done us harm",526.0,"544,0,1,0,,,"
527,527,.,527.0,"545,0,0,0,,,"
528,528,I can go from Seoul to Busan quickly and make phone calls quickly.,528.0,"546,0,0,0,,,"
529,529,Life has become more convenient than before.,529.0,"547,1,0,0,,,"
530,530,"Our lives become more convenient and we can know the weather bus time of tomorrow, so when our science develops, we become more convenient.",530.0,"548,1,0,0,,,"
531,531,It's making our lives very comfortable.,531.0,"549,1,1,0,,,"
532,532,"Thanks to science and technology, I can live a more convenient life",532.0,"550,0,0,0,,,"
533,533,I think I can change the uncomfortable things to convenient and smart,533.0,"551,0,0,0,,,"
534,534,It communicates with others and makes global friends.,534.0,"552,1,0,0,,,"
535,535,"Science and technology will develop further. Science and technology have had a good influence on humanity, solving problems and things that humans are curious about, such as great convenience and spaceships to space.",535.0,"553,1,0,1,,,"
536,536,I can communicate conveniently.,536.0,"554,1,0,0,,,"
537,537,"It has made life more convenient, but problems arise because more and more people are addicted to electronic devices.",537.0,"555,1,0,0,,,"
538,538,Science and technology give us a lot of comfort.,538.0,"556,1,0,1,,,"
539,539,"""I think it gave us comfort in our lives. You can quickly check the weather every morning or the news of the day, and you will be given a chance to have a variety of leisure activities. However, I think there may be cases of illegal or abuse for other reasons.",539.0,"557,0,0,0,,,"
540,540,"And there is a possibility of the Middle East, so I think there are many cases where accidents occur while walking with a smartphone on the street.""",540.0,"558,0,1,0,,,"
541,541,"Light bulbs and phones that light up the way to travel at night, which are made by the development of science and technology, and phones that enable us to contact even when we are far away, made our livelihood convenient.",541.0,"559,1,0,0,,,"
542,542,A lot of things are easy to understand,542.0,"560,0,0,0,,,"
543,543,Live comfortably,543.0,"561,0,0,1,,,"
544,544,Make it convenient,544.0,"562,0,0,0,,,"
545,545,a good change,545.0,"563,0,0,0,,,"
546,546,It's more convenient and makes life easier,546.0,"564,1,0,1,,,"
547,547,gave someone comfort in life,547.0,"565,0,0,1,,,"
548,548,Reduced lifetime due to electromagnetic waves,548.0,"566,1,0,0,,,"
549,549,ease one's life easier,549.0,"567,0,1,0,,,"
550,550,Life has become easier and more addicted,550.0,"568,1,0,0,,,569,1,0,0,,,"
551,551,It helps us with the convenience and development of our lives,551.0,"570,1,0,1,,,"
552,552,"It's usually convenient. You can talk on the phone with someone from a long distance, and it's great that you can carry it with you. Also, the Internet is so advanced that cell phones are called small computers.",552.0,"571,0,0,0,,,"
553,553,"There is a lot of carbon dioxide, so the weather is getting hotter, and communication between people is much easier.",553.0,"572,1,1,0,,,"
554,554,It gives you a change to live comfortably.,554.0,"573,0,1,0,,,"
555,555,Helping our Salhwal,555.0,"574,1,0,0,,,"
556,556,"Due to the development of science and technology, we have made changes so that we can live everything conveniently.",556.0,"575,0,0,0,,,"
557,557,"It made us live more comfortably, but it made us more lazy",557.0,"576,1,0,0,,,"
558,558,I can communicate easily,558.0,"577,0,0,0,,,"
559,559,It also helps medical technology and makes it convenient,559.0,"578,0,0,0,,,"
560,560,"You can talk to people from afar without moving around, and you can easily know the scenery and characters there",560.0,"579,1,0,0,,,"
561,561,"Once you can use the Internet anywhere, and safety has increased for crime prevention and security.",561.0,"580,0,0,0,,,"
562,562,"These days, when students have time, they play games on their cell phones or PC room with their children after school, so they are not smart and do not study well So, students should study hard like students while reducing games are reduced.",562.0,"581,0,1,0,,,"
563,563,"There were times when I got hit by a car while I got a cell phone, and there were times when I got addicted to games and killed myself",563.0,"582,0,0,0,,,"
564,564,You can contact people far away quickly and know and notify dangerous situations quickly.,564.0,"583,0,1,0,,,"
565,565,I can see many knowledge on the Internet and make many friends through SNS.,565.0,"584,0,0,0,,,"
566,566,Information can be delivered faster and online shopping can be done without going out in person.,566.0,"585,0,0,0,,,"
567,567,It has been a driving force for the development of our lives.,567.0,"586,1,0,0,,,"
568,568,It affected everything. Smartphones are already affecting beyond our imagination.,568.0,"587,1,0,0,,,"
569,569,gave convenience,569.0,"588,0,0,0,,,"
570,570,It enriched our lives.,570.0,"589,0,0,0,,,"
571,571,"The development of science and technology has expanded our living area and made life more convenient. With the advancement of science and technology, it is time to write letters and make contact in minutes, which took days.",571.0,"590,0,0,0,,,"
572,572,"In Paris... ...two o'clock, o'clock, o'clock, o'clock, o'clock, o'clock...",572.0,"591,0,0,0,,,"
573,573,"With the development of information and communication technology and mobile technology, communication with foreign countries has become active and economic growth has been achieved, and with the development of life science, human life has increased.",573.0,"592,1,0,0,,,"
574,574,convenience of life,574.0,"593,0,1,0,,,"
575,575,"It makes our lives convenient, but there are also new crimes using such media.",575.0,"594,1,0,0,,,"
576,576,It gave me a more convenient and enjoyable life.,576.0,"595,0,0,0,,,"
577,577,Convenient for everyday life and can live a better world,577.0,"596,1,0,0,,,"
578,578,"The development of science and technology has made life easier, so leisure has increased, and the quality of life has improved, but it can cause new social problems.",578.0,"597,1,0,0,,,"
579,579,"When searching for knowledge, it was only possible with a computer, but with the appearance of a smartphone, it can be easily searched.",579.0,"598,0,1,0,,,599,1,0,0,,,"
580,580,You can buy food and things at home and work from home,580.0,"600,1,0,0,,,"
581,581,It makes our lives convenient.,581.0,"601,1,0,0,,,"
582,582,"It has various effects on our lives, but no one knows what kind of health harm these technologies will do to us. As we develop science and technology, we are not good at making hasty judgments like new diseases, but there is a high possibility that it will have a negative impact.",582.0,"602,1,0,0,,,"
583,583,"Science and technology have a positive effect on our lives, but they also cause new social problems.",583.0,"603,0,0,0,,,"
584,584,The computer has developed about 40 times So you can use it quickly...,584.0,"604,1,0,0,,,"
585,585,Most people communicate with their cell phones and talk less face to face.,585.0,"605,0,0,0,,,"
586,586,"It makes our lives more convenient, allows us to spend our leisure lives on our phones, and eliminates a lot of inconveniences, but recently, smartphone addiction is occurring a lot, and traffic accidents and poor health are occurring.",586.0,"606,1,0,0,,,"
587,587,The development of science and technology can help our lives and cause social problems.,587.0,"607,0,0,0,,,"
588,588,"With the development of science and technology, our lives have become faster, convenient, easy to find various information, and information and software technology have become very important.",588.0,"608,1,0,0,,,"
589,589,I was able to get information without having to turn on the computer. It also made smartphones created by technology have the ability to contact each other instead of letters.,589.0,"609,1,0,0,,,"
590,590,It made people feel comfortable and easy.,590.0,"610,0,1,0,,,"
591,591,"With the development of science and technology, there are many advantages and problems. While the development of science and technology has made our lives richer and more convenient, it can be distributed equally to what science and technology is provided, rather than socially equally.",591.0,"611,1,0,0,,,"
592,592,"It makes information easy to know anywhere. Conversely, the higher the dependence on smartphones, the more often they become addicted to smartphones.",592.0,"612,0,0,0,,,"
593,593,"fI was able to get the information I needed quickly and easily, feel interested in playing mart phone games when I am bored, and quickly tell people who are not in the same space.  The development of science and technology gives us convenience.",593.0,"613,1,0,0,,,"
594,594,"With the development of fertilizers using ammonia or the technology of predicting the weather, farming has become easier and food production has increased. With the development of transportation, people and objects move far away and cultures exchange. Free communication has become possible even overseas.",594.0,"614,1,0,1,,,"
595,595,It made it more convenient.,595.0,"615,0,0,0,,,"
596,596,Unknowingness,596.0,"616,0,0,0,,,"
597,597,It made our lives much easier,597.0,"617,1,0,0,,,"
598,598,It makes me live.,598.0,"618,1,1,0,,,"
599,599,information can be obtained more easily,599.0,"619,1,0,0,,,"
600,600,It became convenient.,600.0,"620,1,0,0,,,"
601,601,a good change,601.0,"621,1,0,0,,,"
602,602,"""Information accelerates",602.0,"622,1,1,0,,,"
603,603,"""",603.0,"623,0,0,1,,,"
604,604,I have no idea.,604.0,"624,0,0,1,,,"
605,605,I can check the time anywhere and enjoy games and talk with my close friends.,605.0,"625,1,1,0,,,"
606,606,You can exchange phone messages with people in your social life.,606.0,"626,1,0,0,,,"
607,607,"Thanks to the air conditioner, I can stay cool in summer",607.0,"627,1,0,0,,,"
608,608,"It has made our lives simpler, more convenient, and easier",608.0,"628,1,0,0,,,629,0,1,1,,,"
609,609,"It has made our lives convenient, but the natural environment is being destroyed",609.0,"630,1,0,0,,,"
610,610,"People used to be very healthy, but these days, people have been suffering from obesity or frequent colds, which is hurting our health.",610.0,"631,1,0,0,,,"
611,611,I don't know.,611.0,"632,1,0,1,,,"
612,612,It made our lives convenient,612.0,"633,1,0,0,,,"
613,613,Unknowingness,613.0,"634,1,0,1,,,"
614,614,""" With the development of science and technology, our lives have become more convenient.",614.0,"635,1,1,0,,,"
615,615,"-You can find changes due to the development of science and technology throughout your life.""",615.0,"636,1,0,1,,,"
616,616,People all over the world can talk to each other anytime and anywhere on the Internet,616.0,"637,1,0,1,,,"
617,617,Life has become convenient.,617.0,"638,1,0,1,,,"
618,618,Unknowingness,618.0,"639,0,1,0,,,"
619,619,""". You have a cell phone, right? Now I order chicken and pay money on my phone. How simple and convenient it is... On a cold winter day, you don't have to go out...",619.0,"640,1,0,0,,,"
620,620,,620.0,"641,1,0,0,,,"
621,621,,621.0,"642,0,0,0,,,"
622,622,,622.0,"643,0,0,0,,,"
623,623,"2. On a hot summer day, we are preparing for the test by turning on the air conditioner coolly and watching EBS educational broadcasting through a large UHD ultra-high resolution TV screen.",623.0,"644,0,0,0,,,"
624,624,,624.0,"645,0,0,0,,,"
625,625,"Or you can make the role-play game exciting. It's a better world, right?",625.0,"646,0,0,0,,,"
626,626,,626.0,"647,0,0,0,,,"
627,627,,627.0,"648,0,0,0,,,"
628,628,,628.0,"649,0,0,0,,,"
629,629,"3. I went to the Grand Park holding my grandmother's hand by performing artificial joint treatment on my grandmother's knee joint, who can't walk well due to arthritis.",629.0,"650,0,0,0,,,"
630,630,,630.0,"651,0,0,0,,,"
631,631,,631.0,"652,0,0,0,,,"
632,632,,632.0,"653,0,0,0,,,"
633,633,"All of this is a convenient and beneficial way of thinking about technological development in our daily lives.""",633.0,"654,1,0,0,,,"
634,634,It makes life easier.,634.0,"655,0,0,0,,,"
635,635,He brought me a smartphone,635.0,"656,0,0,0,,,"
636,636,gave someone convenience,636.0,"657,0,0,0,,,"
637,637,Giving convenience to life,637.0,"658,0,0,0,,,659,1,0,0,,,"
638,638,I think it's a double-edged sword that gives us convenience but also brings us modern human disease,638.0,"660,0,0,0,,,"
639,639,It made my life richer,639.0,"661,0,1,0,,,"
640,640,"It made it easy to get information, but our personal information can be easily stolen",640.0,"662,1,0,0,,,"
641,641,It improves the convenience and quality of life.,641.0,"663,1,0,0,,,"
