,Unnamed: 0,"9. Recently, various problems are occurring due to global warming. Let's think about the causes of global warming and explain the scientific method to solve global warming.",Unnamed: 0,", q64_fossil fuel, q64_carbon dioxide"
311,311,It is moved to the moon by improving it to a place where you can live.,311.0,"321,0,0"
312,312,I think global warming is caused by garbage,312.0,"322,0,0"
313,313,You shouldn't cut down on trash and throw it away recklessly,313.0,"323,1,0"
314,314,"""",314.0,"324,0,0"
315,315,Popularize electric cars.,315.0,"325,0,0"
316,316,save electricity,316.0,"326,0,0"
317,317,Automobile Smoke Lights - Build Eco-Friendly,317.0,"327,1,0"
318,318,"People pollute the environment in many ways, such as cutting trees and destroying nature It is small, but I think it would be good to exercise to protect the natural environment.",318.0,"328,0,0329,0,0"
319,319,Let's not use the air conditioner,319.0,"330,0,0"
320,320,"In order to save the earth, I do not throw away trash and save electricity",320.0,"331,0,0"
321,321,They make a lot of electric cars.,321.0,"332,0,0"
322,322,"Global warming is when the Earth's ozone layer is destroyed and the average temperature of the Earth rises. To prevent this global warming, we need to reduce the number of activities that break through the ozone layer.",322.0,"333,0,0"
323,323,Install air hearing aids where smoke comes out,323.0,"334,1,0"
324,324,"Smoke from serious factories, trees that can handle carbon dioxide, have all been wiped out by humans by forest destruction, planting a lot of trees and saving on wood can somewhat prevent global warming. It creates things that can purify the air",324.0,"335,0,0"
325,325,We should try to reduce waste,325.0,"336,0,0"
326,326,"Let's make nature clean, save electricity, save water",326.0,"337,0,0"
327,327,Burning garbage such as car fumes and incorrect garbage landfill without environmental hormones,327.0,"338,0,0"
328,328,turn a windmill,328.0,"339,0,1"
329,329,"There are many people who throw garbage anywhere without throwing it in a fixed place, and global warming occurs due to the increase in garbage due to the use of disposable products, etc. We always throw garbage in a fixed place and reduce the use of disposable products. The scientific method is to develop robots that eat up garbage and dispose of garbage.",329.0,"340,0,0"
330,330,Global warming is a phenomenon created by human nature damage So reducing all that can slow down global warming and prevent major damage.,330.0,"341,0,1"
331,331,"I develop electric cars more and ride eco-friendly cars. Global warming uses too much electricity and the environment is polluted, so seawater becomes dirty, and the earth is polluted a lot due to smoke gas, which causes global warming.",331.0,"342,0,0"
332,332,The cause is typically air pollution. The solution is to reduce the use of disposable products.,332.0,"343,0,1"
333,333,"First, try to recycle well, not to make a lot of trash, and walk or use a bicycle for a short distance.",333.0,"344,1,0"
334,334,"These days, as much as you ride a car, your smoke increases, and global warming gets worse. It will reduce the amount of fumes, but it will be expensive. Therefore, making automobile fumes into ink can help real life and have a good effect on global warming.",334.0,"345,1,0"
335,335,"People's indiscriminate garbage causes global warming due to the accumulation of garbage on Earth, and to solve this problem, waste accumulated on Earth is first put on a spaceship and sent out of space to eliminate the waste accumulated on Earth as much as possible.",335.0,"346,1,0"
336,336,Alternative energy that reduces carbon dioxide should be made available.,336.0,"347,0,0"
337,337,"Use a silicone straw, make a plastic cup really expensive, and then take-out is to put it in your own water bottle",337.0,"348,0,0"
338,338,Making products that can replace the ozone layer,338.0,"349,0,0"
339,339,"Reduce the use of things that heat the Earth, such as air conditioners, fans, and disposable items.",339.0,"350,0,0"
340,340,Reduce electricity usage in everyday life,340.0,"351,0,0"
341,341,Walk as far as you can.,341.0,"352,0,0"
342,342,"Since global warming uses a lot of energy, it is possible to use eco-friendly energy, such as solar or hydro, instead of electricity or nuclear energy.",342.0,"353,0,0"
343,343,It filters out substances from thermal power plants with static electricity,343.0,"354,0,0"
344,344,Increase the average temperature of the air conditioner,344.0,"355,0,0"
345,345,New and renewable energy is used by building many places that make new and renewable energy.,345.0,"356,0,0"
346,346,"I don't use electricity that I don't need, I save water",346.0,"357,0,0"
347,347,Develop technologies that can reduce energy.,347.0,"358,0,0359,0,0"
348,348,I use an air purifier,348.0,"360,0,0"
349,349,It increases ice in the Arctic by artificially freezing water.,349.0,"361,0,0"
350,350,"The cause of global warming is the use of disposable products a lot and the separation collection, so it is necessary to reduce disposable products and minimize the possibility of ensuring the separation collection.",350.0,"362,0,0"
351,351,Use less electricity.,351.0,"363,0,0"
352,352,"I think it is because of air conditioner or fan. If you use natural energy, it will help to stop global warming",352.0,"364,0,0"
353,353,do not pollute the environment,353.0,"365,1,0"
354,354,"We think that garbage is the biggest cause, so we can classify and reduce garbage.",354.0,"366,0,0"
355,355,"To prevent warming, we create a membrane around the Earth so that the Earth's environment is no longer polluted",355.0,"367,1,0"
356,356,You can save water without throwing trash anywhere.,356.0,"368,1,1"
357,357,emit less carbon dioxide,357.0,"369,0,0"
358,358,I think it would be better to reduce electricity consumption for all,358.0,"370,0,1"
359,359,Electric vehicles or hydrogen vehicles that emit less carbon dioxide are used.,359.0,"371,1,0"
360,360,I don't know,360.0,"372,0,1"
361,361,Plant a lot of trees and reduce waste,361.0,"373,0,0"
362,362,Reduce coal fuel and use transportation dansons such as buses and subways.,362.0,"374,0,1"
363,363,Use disposable products to a minimum and use public transportation.,363.0,"375,1,0"
364,364,Reduce the use of fumes and use electric cars,364.0,"376,0,0"
365,365,We need to reduce greenhouse gas emissions to address global warming,365.0,"377,0,0"
366,366,"Use water in moderation, save electricity",366.0,"378,1,1"
367,367,Protecting the environment and being hygienic,367.0,"379,0,0"
368,368,I threw away trash and didn't save energy,368.0,"380,0,0"
369,369,We used up our energy.,369.0,"381,0,0"
370,370,How to classify waste and pollutants,370.0,"382,1,0"
371,371,Eat garbage and make a robot that digests in the body,371.0,"383,1,0"
372,372,Global warming cannot be solved because humans must continue to use resources as long as they are alive,372.0,"384,0,1"
373,373,You pay a fine if you don't throw trash in the trash can and use a fan if it's not too hot in the summer,373.0,"385,1,0"
374,374,Don't know,374.0,"386,0,1"
375,375,Let's reduce 2 factories in each country.,375.0,"387,1,0"
376,376,I don't use plastic or disposable products very often,376.0,"388,0,0389,0,1"
377,377,Let's save electricity.,377.0,"390,0,1"
378,378,"If you don't use electricity, it's fine",378.0,"391,0,0"
379,379,Use eco-friendly energy,379.0,"392,0,0"
380,380,Reduce greenhouse gas emissions,380.0,"393,0,1"
381,381,disposable savings,381.0,"394,0,0"
382,382,Let's not use electricity,382.0,"395,1,0"
383,383,Riding a bike,383.0,"396,1,0"
384,384,Use AI to dispose of garbage,384.0,"397,0,0"
385,385,"""The earth is so polluted that it is hard to recover",385.0,"398,1,0"
386,386,"It's a state, so we have to start with a little practice. Reduce the use of disposable items and recycle them frequently",386.0,"399,0,0"
387,387,Don't leave food behind and plant plants,387.0,"400,0,0"
388,388,These are the things we can do,388.0,"401,1,0"
389,389,Other governments have reduced the use of oil,389.0,"402,0,0"
390,390,"We need to be careful about environmental protection, and we need to make sure that desertified areas",390.0,"403,1,0"
391,391,"You have to try to revive it.""",391.0,"404,0,0"
392,392,"Global warming is caused by greenhouse gases. The main cause of greenhouse gases is carbon dioxide. Carbon dioxide is present in the fumes emitted from cars. Therefore, in order to solve global warming, we need to reduce smoke, so by using public transportation, we can reduce the use of many cars or use bicycles that do not emit smoke.",392.0,"405,0,0"
393,393,Disposable products such as disposable products are dismantled and discarded.,393.0,"406,0,0"
394,394,"Global warming has many problems with greenhouse gases. Cow farts, burps, but fossil fuels.Abuse produces a lot of greenhouse gases. To reduce greenhouse gases, trees should be planted scientifically to purify the air.",394.0,"407,0,1"
395,395,"Instead of fossil fuels, they continue to study hydrogen or electricity fuels. So we try to develop technology so that these fuels can be supplied to our lives. And try to discover new renewable energy with new structures and components.Glaciers melt in large amounts of electricity, so they install solar heat that can save electricity",395.0,"408,0,0"
396,396,"Global warming is caused by bad components from factories, cars, and various items made by Egan, which are eventually caused by human greed. In order to solve it accordingly, humans should try to reduce their greed and develop it eco-friendly, and an attitude of caring and loving the Earth is necessary.",396.0,"409,1,0"
397,397,Use electricity using solar heat without throwing away trash.,397.0,"410,1,0"
398,398,"""We don't use a lot of carbon dioxide, such as fossil fuels, to prevent carbon dioxide from occurring.",398.0,"411,0,0"
399,399,"2. Use eco-friendly energy.""",399.0,"412,0,0"
400,400,People are living together,400.0,"413,0,1"
401,401,"Fossil fuels produce carbon dioxide, which is the cause of global warming",401.0,"414,0,0"
402,402,That's why I study eco-friendly energy to avoid using fossil fuels,402.0,"415,0,0"
403,403,Don't throw away trash and recycle,403.0,"416,0,0"
404,404,We need to develop more eco-friendly energy to replace petroleum energy.,404.0,"417,0,0"
405,405,Classify garbage and avoid using disposable products as much as possible.,405.0,"418,0,0419,0,1"
406,406,Cause: Throwing garbage recklessly / Method: Making AI robots that pick up garbage when they see it,406.0,"420,0,0"
407,407,Save electricity.,407.0,"421,0,0"
408,408,Do not use disposable products.,408.0,"422,0,1"
409,409,eco-friendly energy development,409.0,"423,0,0"
410,410,It is moved to the moon by improving it to a place where you can live.,410.0,"424,0,0"
411,411,I think global warming is caused by garbage,411.0,"425,0,0"
412,412,You shouldn't cut down on trash and throw it away recklessly,412.0,"426,1,0"
413,413,"""",413.0,"427,1,0"
414,414,Popularize electric cars.,414.0,"428,1,0"
415,415,save electricity,415.0,"429,0,0"
416,416,Automobile Smoke Lights - Build Eco-Friendly,416.0,"430,0,1"
417,417,"People pollute the environment in many ways, such as cutting trees and destroying nature It is small, but I think it would be good to exercise to protect the natural environment.",417.0,"431,0,1"
418,418,Let's not use the air conditioner,418.0,"432,1,1"
419,419,"In order to save the earth, I do not throw away trash and save electricity",419.0,"433,0,1"
420,420,They make a lot of electric cars.,420.0,"434,0,1"
421,421,"Global warming is when the Earth's ozone layer is destroyed and the average temperature of the Earth rises. To prevent this global warming, we need to reduce the number of activities that break through the ozone layer.",421.0,"435,0,0"
422,422,Install air hearing aids where smoke comes out,422.0,"436,1,0"
423,423,"Smoke from serious factories, trees that can handle carbon dioxide, have all been wiped out by humans by forest destruction, planting a lot of trees and saving on wood can somewhat prevent global warming. It creates things that can purify the air",423.0,"437,0,0"
424,424,We should try to reduce waste,424.0,"438,0,1"
425,425,"Let's make nature clean, save electricity, save water",425.0,"439,0,0"
426,426,Burning garbage such as car fumes and incorrect garbage landfill without environmental hormones,426.0,"440,0,0"
427,427,turn a windmill,427.0,"441,0,1"
428,428,"There are many people who throw garbage anywhere without throwing it in a fixed place, and global warming occurs due to the increase in garbage due to the use of disposable products, etc. We always throw garbage in a fixed place and reduce the use of disposable products. The scientific method is to develop robots that eat up garbage and dispose of garbage.",428.0,"442,0,0"
429,429,Global warming is a phenomenon created by human nature damage So reducing all that can slow down global warming and prevent major damage.,429.0,"443,0,0"
430,430,"I develop electric cars more and ride eco-friendly cars. Global warming uses too much electricity and the environment is polluted, so seawater becomes dirty, and the earth is polluted a lot due to smoke gas, which causes global warming.",430.0,"444,0,1"
431,431,The cause is typically air pollution. The solution is to reduce the use of disposable products.,431.0,"445,1,0"
432,432,"First, try to recycle well, not to make a lot of trash, and walk or use a bicycle for a short distance.",432.0,"446,0,1"
433,433,"These days, as much as you ride a car, your smoke increases, and global warming gets worse. It will reduce the amount of fumes, but it will be expensive. Therefore, making automobile fumes into ink can help real life and have a good effect on global warming.",433.0,"447,0,0"
434,434,"People's indiscriminate garbage causes global warming due to the accumulation of garbage on Earth, and to solve this problem, waste accumulated on Earth is first put on a spaceship and sent out of space to eliminate the waste accumulated on Earth as much as possible.",434.0,"448,1,0449,1,1"
435,435,Alternative energy that reduces carbon dioxide should be made available.,435.0,"450,1,0"
436,436,"Use a silicone straw, make a plastic cup really expensive, and then take-out is to put it in your own water bottle",436.0,"451,0,0"
437,437,Making products that can replace the ozone layer,437.0,"452,0,0"
438,438,"Reduce the use of things that heat the Earth, such as air conditioners, fans, and disposable items.",438.0,"453,0,1"
439,439,Reduce electricity usage in everyday life,439.0,"454,0,0"
440,440,Walk as far as you can.,440.0,"455,0,1"
441,441,"Since global warming uses a lot of energy, it is possible to use eco-friendly energy, such as solar or hydro, instead of electricity or nuclear energy.",441.0,"456,0,0"
442,442,It filters out substances from thermal power plants with static electricity,442.0,"457,0,1"
443,443,Increase the average temperature of the air conditioner,443.0,"458,1,1"
444,444,New and renewable energy is used by building many places that make new and renewable energy.,444.0,"459,1,0"
445,445,"I don't use electricity that I don't need, I save water",445.0,"460,1,0"
446,446,Develop technologies that can reduce energy.,446.0,"461,1,0"
447,447,I use an air purifier,447.0,"462,0,0"
448,448,It increases ice in the Arctic by artificially freezing water.,448.0,"463,1,0"
449,449,"The cause of global warming is the use of disposable products a lot and the separation collection, so it is necessary to reduce disposable products and minimize the possibility of ensuring the separation collection.",449.0,"464,0,1"
450,450,Use less electricity.,450.0,"465,0,1"
451,451,"I think it is because of air conditioner or fan. If you use natural energy, it will help to stop global warming",451.0,"466,1,1"
452,452,do not pollute the environment,452.0,"467,0,1"
453,453,"We think that garbage is the biggest cause, so we can classify and reduce garbage.",453.0,"468,1,0"
454,454,"To prevent warming, we create a membrane around the Earth so that the Earth's environment is no longer polluted",454.0,"469,1,1"
455,455,You can save water without throwing trash anywhere.,455.0,"470,1,0"
456,456,emit less carbon dioxide,456.0,"471,0,0"
457,457,I think it would be better to reduce electricity consumption for all,457.0,"472,0,1"
458,458,Electric vehicles or hydrogen vehicles that emit less carbon dioxide are used.,458.0,"473,0,0"
459,459,I don't know,459.0,"474,0,0"
460,460,Plant a lot of trees and reduce waste,460.0,"475,1,0"
461,461,Reduce coal fuel and use transportation dansons such as buses and subways.,461.0,"476,1,1"
462,462,Use disposable products to a minimum and use public transportation.,462.0,"477,1,0"
463,463,Reduce the use of fumes and use electric cars,463.0,"478,1,1479,0,0"
464,464,We need to reduce greenhouse gas emissions to address global warming,464.0,"480,0,0"
465,465,"Use water in moderation, save electricity",465.0,"481,0,0"
466,466,Protecting the environment and being hygienic,466.0,"482,0,0"
467,467,I threw away trash and didn't save energy,467.0,"483,0,0"
468,468,We used up our energy.,468.0,"484,0,0"
469,469,How to classify waste and pollutants,469.0,"485,0,0"
470,470,Eat garbage and make a robot that digests in the body,470.0,"486,0,0"
471,471,Global warming cannot be solved because humans must continue to use resources as long as they are alive,471.0,"487,0,0"
472,472,You pay a fine if you don't throw trash in the trash can and use a fan if it's not too hot in the summer,472.0,"488,0,0"
473,473,Don't know,473.0,"489,0,0"
474,474,Let's reduce 2 factories in each country.,474.0,"490,0,0"
475,475,I don't use plastic or disposable products very often,475.0,"491,0,0"
476,476,Let's save electricity.,476.0,"492,0,0"
477,477,"If you don't use electricity, it's fine",477.0,"493,0,0"
478,478,Use eco-friendly energy,478.0,"494,0,1"
479,479,Reduce greenhouse gas emissions,479.0,"495,0,1"
480,480,disposable savings,480.0,"496,1,0"
481,481,Let's not use electricity,481.0,"497,1,0"
482,482,Riding a bike,482.0,"498,0,0"
483,483,Use AI to dispose of garbage,483.0,"499,0,0"
484,484,"""The earth is so polluted that it is hard to recover",484.0,"500,0,1"
485,485,"It's a state, so we have to start with a little practice. Reduce the use of disposable items and recycle them frequently",485.0,"501,0,0"
486,486,Don't leave food behind and plant plants,486.0,"502,0,1"
487,487,These are the things we can do,487.0,"503,1,1"
488,488,Other governments have reduced the use of oil,488.0,"504,0,0"
489,489,"We need to be careful about environmental protection, and we need to make sure that desertified areas",489.0,"505,0,0"
490,490,"You have to try to revive it.""",490.0,"506,1,0"
491,491,"Global warming is caused by greenhouse gases. The main cause of greenhouse gases is carbon dioxide. Carbon dioxide is present in the fumes emitted from cars. Therefore, in order to solve global warming, we need to reduce smoke, so by using public transportation, we can reduce the use of many cars or use bicycles that do not emit smoke.",491.0,"507,0,0"
492,492,Disposable products such as disposable products are dismantled and discarded.,492.0,"508,0,0509,0,0"
493,493,"Global warming has many problems with greenhouse gases. Cow farts, burps, but fossil fuels.Abuse produces a lot of greenhouse gases. To reduce greenhouse gases, trees should be planted scientifically to purify the air.",493.0,"510,0,0"
494,494,"Instead of fossil fuels, they continue to study hydrogen or electricity fuels. So we try to develop technology so that these fuels can be supplied to our lives. And try to discover new renewable energy with new structures and components.Excessive use of air conditioners Because of soil and marine pollution through waste, separate collection and minimize use of air conditioners",494.0,"511,0,0"
495,495,Various materials and systems using renewable energy such as hydrogen and electricity should be developed.,495.0,"512,0,1"
496,496,"""1. Space Mirror Operation",496.0,"513,0,0"
497,497,"The plan is to block about 2 percent of sunlight coming to Earth by floating 16 trillion film discs with a diameter of 60cm and a thickness of 1mm in space. This disk is shaped like a doughnut and has a hole in the center, so it does not fly away in the solar wind. It's a disk where the Earth and the Sun's gravitational pull is off",497.0,"514,0,0"
498,498,The idea is to float 1.5 million kilometers away from the offsetting Earth.,498.0,"515,0,0"
499,499,"However, they are also worried about climate change caused by artificially blocking the sun.",499.0,"516,0,1"
500,500,,500.0,"517,1,0"
501,501,2. Operation Sea Fertilizer,501.0,"518,0,0"
502,502,The theory is that the sea should be sprayed with iron powder fertilizer to reproduce algae so that they absorb carbon dioxide.,502.0,"519,0,0"
503,503,"This theory was established with a hint from the fact that the lack of ammonia and iron makes it difficult to reproduce algae. However, there is a disadvantage that the red tide phenomenon can worsen and the acidification of seawater can worsen, which can adversely affect the marine ecosystem.",503.0,"520,1,0"
504,504,,504.0,"521,0,0"
505,505,3. Operation to Confine Carbon Dioxide,505.0,"522,1,0"
506,506,"The theory is that carbon dioxide is trapped underground, or in oil wells or useless mines that have been mined. In fact, an oil company in Norway has been storing 1 million tons of carbon dioxide annually in the North Sea since 1996. And a factory in the United States uses pipelines to store carbon dioxide in Canadian waste wells.",506.0,"523,0,0"
507,507,,507.0,"524,0,1"
508,508,,508.0,"525,1,0"
509,509,,509.0,"526,0,0"
510,510,,510.0,"527,1,0"
511,511,,511.0,"528,0,0"
512,512,,512.0,"529,1,0"
513,513,,513.0,"530,0,0"
514,514,"""",514.0,"531,0,0"
515,515,"First, the use of substances that cause warming will be prohibited and substances or technologies that can break down greenhouse gases such as CO2 back into monatomic or molecular states rather than greenhouse gases will produce better results.",515.0,"532,1,0"
516,516,"I think global warming should go back to nature itself. That is, we need to preserve the destroyed ozone layer, turn current atmospheric temperatures, and rebuild glaciers I think we should try to reduce fossil fuel use and plant trees.",516.0,"533,0,0"
517,517,"Due to the increase in carbon dioxide in the atmosphere, greenhouse gases increase and carbon dioxide must be dissolved in water to form carbon dioxide ions.",517.0,"534,0,0"
518,518,Develop alternative energy to solve global warming caused by excessive use of fossil fuels.,518.0,"535,0,1"
519,519,Reduce the use of fossil fuels and plant more trees to reduce greenhouse gas emissions.,519.0,"536,0,0"
520,520,Close distances travel by bicycle or public transportation to reduce emissions of fumes and carbon dioxide.,520.0,"537,0,1"
521,521,"First, we eliminate the main culprits of environmental pollution",521.0,"538,1,0539,0,0"
522,522,"Global warming is caused by greenhouse gases such as methane and carbon dioxide. In order to reduce this, it is possible to develop an air conditioner that does not use Freon gas as a refrigerant or a vehicle that generates less carbon dioxide",522.0,"540,0,0"
523,523,The carbon dioxide emitted by humans is not related to global warming. The reason why the Earth is getting hot is that there is a cycle of glaciers melting and freezing.,523.0,"541,0,0"
524,524,They plant a lot of plants using the photosynthesis of plants.,524.0,"542,0,0"
525,525,"Global warming is caused by carbon dioxide emissions, and the problem is deepening. I think the biggest cause of carbon dioxide emissions is the use of oil and coal. In other words, I think global warming will be alleviated if natural gas or new energy resources can be developed and used.",525.0,"543,0,0"
526,526,"I think the cause of global warming is greenhouse gases. Therefore, the way to reduce greenhouse gases would be a scientific way to solve global warming. Methods to reduce greenhouse gases include reducing fossil fuel use, tree planting, and vegetarianism. Meat consumption causes quite a lot of greenhouse gases.",526.0,"544,0,1"
527,527,Let's create an electric car.,527.0,"545,0,0"
528,528,We need to replace oil by quickly creating eco-friendly dece resources to replace it.,528.0,"546,0,0"
529,529,"In order to reduce carbon dioxide, which is currently cited as the biggest cause of global warming, fossil fuels that generate carbon dioxide such as coal and oil should be reduced. But it's hard not to use the oil that forms the basis of modern civilization right away. Only by developing resources to replace oil can global warming be prevented.""",529.0,"547,0,0"
530,530,"Everyone's efforts are needed first to solve global warming. And put everyone's heads together... Make a spacecraft that escapes the Earth and escape. There is no reason to solve global warming if we abandon the Earth. If you look at the movie Wall-E, you can be a very good world.",530.0,"548,0,1"
531,531,strengthen the system,531.0,"549,0,0"
532,532,"Personally, I don't use disposable items, and I don't Companies should clean up and discharge things like factory wastewater.",532.0,"550,1,0"
533,533,It creates a layer that can replace the ozone layer.,533.0,"551,1,0"
534,534,I'm sorry. I don't have time,534.0,"552,0,0"
535,535,"It uses atomic bombs to spread radioactivity to the earth, making mankind extinct",535.0,"553,0,0"
536,536,I don't know,536.0,"554,0,0"
537,537,Reduce the use of disposable items.,537.0,"555,0,0"
538,538,You have to save energy.,538.0,"556,1,0"
539,539,This is because we need to reduce the use of electricity or water that we use it unnecessarily.,539.0,"557,0,1"
540,540,Reducing Exhaust Gas,540.0,"558,1,0"
541,541,Spare water.,541.0,"559,1,0"
542,542,6.41865E+14,542.0,"560,1,1"
543,543,"Don't turn on the air conditioner, don't throw away trash, and block all the factories",543.0,"561,0,1"
544,544,I think humanity is the most problematic I think we need to deregulate the human race for perfect warming,544.0,"562,1,0"
545,545,Reduce the use of carbon dioxide and Freon gas.,545.0,"563,1,0"
546,546,It doesn't make carbon dioxide,546.0,"564,1,0"
547,547,"Stop using natural resources, spread new energy, research and development to protect the environment on a global level",547.0,"565,1,0"
548,548,"The cause of global warming is an increase in greenhouse gases. These greenhouse gases are emitted a lot from automobiles, and eco-friendly technologies must be developed to reduce them",548.0,"566,1,0"
549,549,Rapidly developing space technology and turning it into another planet,549.0,"567,0,1"
550,550,They're good at recycling.,550.0,"568,1,1569,0,0"
551,551,"Global warming is caused by an increase in the concentration of carbon dioxide in the atmosphere, and to prevent it, the amount of carbon dioxide in the atmosphere must be reduced.",551.0,"570,1,0"
552,552,Don't litter on the side of the road,552.0,"571,0,0"
553,553,"Global warming is caused by an increase in the concentration of carbon dioxide in the atmosphere, and to prevent it, the amount of carbon dioxide in the atmosphere must be reduced.",553.0,"572,1,0"
554,554,"Reduce the use of fuel that causes global warming, and plant trees",554.0,"573,1,0"
555,555,I don't know,555.0,"574,1,0"
556,556,You just have to work hard.,556.0,"575,1,1"
557,557,People try to reduce waste by paying more attention. It also eliminates many factories. It is a major contributor to air pollution.,557.0,"576,1,0"
558,558,Let's turn on the air conditioner,558.0,"577,0,1"
559,559,Turn on the air conditioner and cool it down,559.0,"578,0,1"
560,560,It's something that people cherish what,560.0,"579,0,1"
561,561,"Yes, yes",561.0,"580,0,0"
562,562,Using Disposable Items,562.0,"581,1,0"
563,563,Carbon dioxide seems to be the cause.,563.0,"582,0,0"
564,564,Electronics user system,564.0,"583,0,1"
565,565,We should reduce the use of electric energy such as air conditioning and heating,565.0,"584,0,0"
566,566,Let's make a huge air purifier.,566.0,"585,0,0"
567,567,The main cause of global warming is carbon dioxide. So carbon dioxide,567.0,"586,1,0"
568,568,"Reducing it will solve global warming. For example, car riding, reducing food mileage, etc",568.0,"587,0,1"
569,569,I use public transportation rather than my own car Reduce the use of disposable items.,569.0,"588,1,0"
570,570,Efforts should be made to check and discharge less harmful gases emitted from factories.,570.0,"589,0,0"
571,571,Make an ozone layer and spray it on the sky.,571.0,"590,0,0"
572,572,"Renewable energy should be developed to reduce greenhouse gases, and factory activities should be reduced.",572.0,"591,1,0"
573,573,Walking,573.0,"592,0,0"
574,574,"To prevent global warming, electric vehicles and hydrogen cars are used, power plants are converted into eco-friendly generators, and nuclear power plants are also used.",574.0,"593,0,0"
575,575,"It is a waste of the air that the felons breathe, so they kill everyone to save oxygen.",575.0,"594,0,0"
576,576,Let's plant a tree.,576.0,"595,1,0"
577,577,"Solar power, wind power, and hydroelectric power are used more.",577.0,"596,0,0"
578,578,Research to turn waste into electricity,578.0,"597,0,0"
579,579,"Global warming is natural and cannot be solved. However, it can be delayed. If we save electricity as much as possible, generate less smoke in factories eco-friendly, and use less cars, we will be able to prevent global warming to some extent.",579.0,"598,0,0599,0,1"
580,580,"Global warming = Nana on Earth = Nana on Earth. Well, global warming means Nana who came to Earth. So I think we should welcome and celebrate Nana who came to Earth. I'm also curious about the questioner's thoughts. If you know, please reply.",580.0,"600,1,0"
581,581,"Water is saved and used, walking near distance.",581.0,"601,0,0"
582,582,Reduce greenhouse gas emissions.,582.0,"602,0,0"
583,583,Reduce the use of air conditioners.,583.0,"603,0,0"
584,584,Do not use chemical fuel,584.0,"604,0,1"
585,585,to impose sanctions on China,585.0,"605,0,0"
586,586,I use water when I wash my face.,586.0,"606,0,0"
587,587,"First of all, there are many reasons for global warming, but what comes to mind the most is carbon dioxide. To solve this problem, it is ideal to reduce the amount of carbon dioxide used, but it does not work well, so we need to come up with ways to physically reduce carbon dioxide.",587.0,"607,0,0"
588,588,Develop excellent science and technology that can eliminate global warming,588.0,"608,1,0"
589,589,Plant trees,589.0,"609,0,0"
590,590,"Because of the exhaust of cars, eco-friendly cars such as electric cars and solar cars are made.",590.0,"610,0,0"
591,591,It explodes China because of fine dust,591.0,"611,0,1"
592,592,I turned on the air conditioner a lot,592.0,"612,1,0"
593,593,"To prevent the butterfly effect, cars should use electrical appliances using wind and hydro solar power as electric vehicles and reduce the number of factories to prevent air pollutionExcessive use of air conditioners Because of soil and marine pollution through waste, separate collection and minimize use of air conditioners",593.0,"613,0,0"
594,594,Various materials and systems using renewable energy such as hydrogen and electricity should be developed.,594.0,"614,1,0"
595,595,"""1. Space Mirror Operation",595.0,"615,0,0"
596,596,"The plan is to block about 2 percent of sunlight coming to Earth by floating 16 trillion film discs with a diameter of 60cm and a thickness of 1mm in space. This disk is shaped like a doughnut and has a hole in the center, so it does not fly away in the solar wind. It's a disk where the Earth and the Sun's gravitational pull is off",596.0,"616,1,0"
597,597,The idea is to float 1.5 million kilometers away from the offsetting Earth.,597.0,"617,0,0"
598,598,"However, they are also worried about climate change caused by artificially blocking the sun.",598.0,"618,0,0"
599,599,,599.0,"619,0,1"
600,600,2. Operation Sea Fertilizer,600.0,"620,0,1"
601,601,The theory is that the sea should be sprayed with iron powder fertilizer to reproduce algae so that they absorb carbon dioxide.,601.0,"621,0,0"
602,602,"This theory was established with a hint from the fact that the lack of ammonia and iron makes it difficult to reproduce algae. However, there is a disadvantage that the red tide phenomenon can worsen and the acidification of seawater can worsen, which can adversely affect the marine ecosystem.",602.0,"622,0,0"
603,603,,603.0,"623,0,1"
604,604,3. Operation to Confine Carbon Dioxide,604.0,"624,0,0"
605,605,"The theory is that carbon dioxide is trapped underground, or in oil wells or useless mines that have been mined. In fact, an oil company in Norway has been storing 1 million tons of carbon dioxide annually in the North Sea since 1996. And a factory in the United States uses pipelines to store carbon dioxide in Canadian waste wells.",605.0,"625,0,0"
606,606,,606.0,"626,0,1"
607,607,,607.0,"627,0,0"
608,608,,608.0,"628,0,0629,0,0"
609,609,,609.0,"630,0,0"
610,610,,610.0,"631,0,0"
611,611,,611.0,"632,1,0"
612,612,,612.0,"633,1,0"
613,613,"""",613.0,"634,1,0"
614,614,"First, the use of substances that cause warming will be prohibited and substances or technologies that can break down greenhouse gases such as CO2 back into monatomic or molecular states rather than greenhouse gases will produce better results.",614.0,"635,0,1"
615,615,"I think global warming should go back to nature itself. That is, we need to preserve the destroyed ozone layer, turn current atmospheric temperatures, and rebuild glaciers I think we should try to reduce fossil fuel use and plant trees.",615.0,"636,0,0"
616,616,"Due to the increase in carbon dioxide in the atmosphere, greenhouse gases increase and carbon dioxide must be dissolved in water to form carbon dioxide ions.",616.0,"637,1,0"
617,617,Develop alternative energy to solve global warming caused by excessive use of fossil fuels.,617.0,"638,0,1"
618,618,Reduce the use of fossil fuels and plant more trees to reduce greenhouse gas emissions.,618.0,"639,1,0"
619,619,Close distances travel by bicycle or public transportation to reduce emissions of fumes and carbon dioxide.,619.0,"640,1,0"
620,620,"First, we eliminate the main culprits of environmental pollution",620.0,"641,0,0"
