,Unnamed: 0,"2) Let's gather the data that we observed and measured during the experiment, and then explain the process of exploration in the next order",Unnamed: 0,",q28_Data Interpretation, q28_Data Interpretation and Exploration Process"
538,538,Organize the data and prove the hypothesis based on the data.,538.0,"556,0,1"
539,539,"Based on the experiments and measured data, conclusions on the inquiry problem are drawn and generalized.",539.0,"557,0,1"
540,540,Derive the answers to the subject of the experiment and a valid basis for it,540.0,"558,0,0"
541,541,"Establish and classify the measured data. Analyze the classified experimental data, organize commonalities, differences, and characteristics of each data, and organize them so that they can be used as necessary.",541.0,"559,0,0"
542,542,Check that the hypothesis matches the measured data.,542.0,"560,0,0"
543,543,They will judge whether it is consistent with the hypothesis they have established.,543.0,"561,0,1"
544,544,They separate the various data through certain criteria and draw their own conclusions based on the necessary and reliable information among the separated data,544.0,"562,1,1"
545,545,Analyze the observed and measured data to derive results and verify that the results are consistent with the hypothesis.,545.0,"563,0,0"
546,546,"Draw a conclusion based on the data observed and measured and verify that the conclusion is consistent with the hypothesis. If the conclusions and hypotheses do not match, a new hypothesis is established and a new experiment is conducted.",546.0,"564,0,0"
547,547,"After collecting the measured data, make a conclusion. Then compare whether the conclusion is consistent with your hypothesis, and if it is consistent, your hypothesis becomes true, and if it is not, you must redo the process before it.",547.0,"565,0,1"
548,548,The hypothesis initially established is reviewed and conclusions are drawn from it.,548.0,"566,0,0"
549,549,Scientists' theories explain phenomena that cannot be explained by finding regularity and generalizing or deriving scientific facts from the measured data.,549.0,"567,1,0"
550,550,"Data obtained through experiments should be expressed in various formats such as tables and graphs first and analyzed. If the hypothesis is correct and the experiment is conducted correctly, the results of the experiment show a certain direction. By grasping such direction, it can be seen that it applies to all phenomena other than specific experiments. This process is called generalization.",550.0,"568,1,0569,0,0"
551,551,"Various data are collected, data are synthesized, and analyzed by methods such as deductive or inductive methods to draw common conclusions. We also verify whether this conclusion conforms to or opposes the hypothesis established before the experiment and observation.",551.0,"570,0,1"
552,552,The experimental results are organized based on statistics and the right or wrong of one's hypothesis is judged.,552.0,"571,0,1"
553,553,"Check if the hypothesis established based on the measured data is correct, draw it as a conclusion if the hypothesis is correct, and if not, modify the hypothesis to repeat the process.",553.0,"572,0,0"
554,554,"The data to be obtained through the experiment will be classified into various fields. We will find commonalities and differences between the data divided in this way, and draw desired conclusions through these commonalities and differences.",554.0,"573,0,0"
555,555,Organize the measurement data and explore the phenomenon again. And interpret this observation and draw conclusions.,555.0,"574,0,1"
556,556,Organize and analyze.,556.0,"575,0,0"
557,557,Gather and explore the information you want to gather based on the results of the experiment,557.0,"576,0,1"
558,558,Start the research based on the data,558.0,"577,0,1"
559,559,deductive,559.0,"578,0,1"
560,560,.,560.0,"579,0,1"
561,561,We will verify whether the experiment process is wrong or the theory is wrong,561.0,"580,0,0"
562,562,Experiment after hypothesis setup,562.0,"581,1,0"
563,563,Data collection-data classification-resulting-generalization..,563.0,"582,0,0"
564,564,"First, getting the ingredients",564.0,"583,0,1"
565,565,I'll explain to people,565.0,"584,0,0"
566,566,inductive method,566.0,"585,0,1"
567,567,I don't know.,567.0,"586,1,0"
568,568,Summarize the results of the inquiry.,568.0,"587,1,0"
569,569,Organize things using data,569.0,"588,1,0"
570,570,I don't know.,570.0,"589,1,0"
571,571,Check the results of the inquiry,571.0,"590,0,0"
572,572,experiment,572.0,"591,1,0"
573,573,I don't know.,573.0,"592,0,1"
574,574,make a hypothesis based on the data,574.0,"593,0,1"
575,575,I'm still working on it,575.0,"594,0,1"
576,576,I don't know.,576.0,"595,0,0"
577,577,I'm investigating,577.0,"596,0,0"
578,578,Drawing conclusions,578.0,"597,0,0"
579,579,produce results,579.0,"598,0,0599,0,0"
580,580,an inductive process of inquiry,580.0,"600,0,0"
581,581,Check for errors,581.0,"601,0,1"
582,582,Let's wrap it up,582.0,"602,0,0"
583,583,I don't know,583.0,"603,1,0"
584,584,"After conducting an experiment to verify the hypothesis established as a prior process, the conclusion is drawn through generalization, such as giving feedback.",584.0,"604,0,1"
585,585,Measure it.,585.0,"605,0,1"
586,586,draw a result,586.0,"606,0,1"
587,587,statistics on the data,587.0,"607,0,1"
588,588,"Organize the data, check if the hypothesis is correct, and write a thesis.",588.0,"608,1,0"
589,589,Data analysis is conducted,589.0,"609,0,0"
590,590,Data analysis is conducted,590.0,"610,0,0"
591,591,We need to consider it,591.0,"611,0,1"
592,592,Data analysis,592.0,"612,1,0"
593,593,an inductive process of inquiryDraw a conclusion,593.0,"613,0,0"
594,594,Creating a report,594.0,"614,0,1"
595,595,Record,595.0,"615,0,0"
596,596,Feedback,596.0,"616,1,0"
597,597,I said I don't know.,597.0,"617,0,1"
598,598,There's no battery,598.0,"618,0,1"
599,599,"I love you, Love Weighted Broadcast",599.0,"619,0,0"
600,600,.,600.0,"620,0,0"
601,601,inductive inquiry,601.0,"621,0,0"
602,602,Exploration and Species Design,602.0,"622,1,0"
603,603,Organize the results of the experiment,603.0,"623,1,0"
604,604,inductive inquiry,604.0,"624,0,1"
605,605,Conclusion Duo,605.0,"625,1,0"
606,606,draw a result,606.0,"626,0,0"
607,607,Result,607.0,"627,0,1"
608,608,Data analysis,608.0,"628,1,0629,0,0"
609,609,I don't know,609.0,"630,1,0"
610,610,I don't know,610.0,"631,0,0"
611,611,Design an experiment based on the data.,611.0,"632,0,0"
612,612,We need to interpret the data,612.0,"633,0,1"
613,613,The data are corrected.,613.0,"634,1,0"
614,614,It is an inductive method of inquiry.,614.0,"635,0,1"
615,615,inquiry,615.0,"636,1,0"
616,616,Organize the data and display it as visual data at once.,616.0,"637,1,0"
617,617,inductive inquiry,617.0,"638,0,0"
618,618,I'm exploring!,618.0,"639,0,1"
619,619,Exploring data,619.0,"640,0,0"
620,620,I don't know.,620.0,"641,1,0"
621,621,Hypothesis setting,621.0,"642,1,0"
622,622,Organize the data.,622.0,"643,0,1"
623,623,Compare it with the hypothesis you have established and modify the hypothesis.,623.0,"644,1,0"
624,624,"Collect data, find out the statistical results through graphs or tables, and draw conclusions.",624.0,"645,0,1"
625,625,interpretation of data,625.0,"646,0,1"
626,626,Let's see. Sexy,626.0,"647,0,1"
627,627,Submit a report.,627.0,"648,0,1"
628,628,Organize the contents.,628.0,"649,0,0"
629,629,"""I don't know",629.0,"650,0,1"
630,630,"""",630.0,"651,0,1"
631,631,Organize the observed and measured data.,631.0,"652,0,0"
632,632,"Based on the data, we prove various phenomena to be proved.",632.0,"653,0,0"
633,633,Confirmation of hypothesis,633.0,"654,0,0"
634,634,Make an experimental plan.,634.0,"655,0,0"
635,635,inquiry theorem,635.0,"656,0,0"
636,636,generalize with general knowledge,636.0,"657,0,0"
637,637,I think I will organize it with the data obtained from the experiment.,637.0,"658,1,0659,0,0"
638,638,compile the materials into documents,638.0,"660,1,0"
639,639,"Now that we have collected the measured data, the inquiry process is easy",639.0,"661,1,0"
640,640,"Based on the data, conclusions are made and what the meaning is.",640.0,"662,1,0"
641,641,I'll find out,641.0,"663,0,1"
642,642,Organizing,642.0,"664,0,1"
643,643,organize the results,643.0,"665,1,1"
644,644,an inductive method of inquiry,644.0,"666,0,1"
645,645,The collected data are organized and the results are organized into tables or graphs to interpret the results.,645.0,"667,0,0"
646,646,Let people know,646.0,"668,0,0"
647,647,It is an inductive method of inquiry.,647.0,"669,0,0"
648,648,Draw a conclusion,648.0,"670,0,1"
649,649,Assignment research,649.0,"671,0,0"
650,650,I tell people the data I found.,650.0,"672,0,0"
651,651,"Record it and let people know, then let the news know so that people around the world know, so that people know on TV",651.0,"673,0,1"
652,652,"Design the experiment specifically.{Set control, variable control, etc.)",652.0,"674,0,0"
653,653,informing people about the situation,653.0,"675,0,1"
654,654,plan the process of inquiry,654.0,"676,0,1"
655,655,Let's explain the process of inquiry,655.0,"677,0,1"
656,656,It just opens and closes things that can't fly with a human body.So I take a tool made in the shape of a bird's wing and try to fall off again.,656.0,"678,0,0"
657,657,I don't know.,657.0,"679,0,0"
658,658,Get permission to let people know,658.0,"680,0,1"
659,659,Organize the measured data.,659.0,"681,0,1"
660,660,Please put this data in the Galaxy tab and ask the shaman Choi Soon-sil to review it.,660.0,"682,0,1"
661,661,Organize the results of the experiment,661.0,"683,0,0"
662,662,Organize the contents of the inquiry,662.0,"684,0,1"
663,663,Organize and write a paper based on observations and measurements,663.0,"685,1,1"
664,664,Write a report.,664.0,"686,1,0"
665,665,draw a conclusion from the data,665.0,"687,0,0"
666,666,Let's compare and experiment again,666.0,"688,0,0689,0,0"
667,667,"Set up a number of cases, conduct each experiment, and find out whether they are correct or not",667.0,"690,0,1"
668,668,Uh.,668.0,"691,1,0"
669,669,difficulty,669.0,"692,0,1"
670,670,Hulk,670.0,"693,0,1"
671,671,Drawing conclusions,671.0,"694,1,0"
672,672,Let's go to Owl Rock,672.0,"695,0,0"
673,673,Don't know,673.0,"696,0,0"
674,674,Drawing conclusions,674.0,"697,0,0"
675,675,Yes,675.0,"698,1,1"
676,676,Generalization,676.0,"699,0,0"
677,677,Analysis of results,677.0,"700,1,0"
678,678,Generalize hypothesis reset,678.0,"701,1,0"
679,679,an ancient raincoat,679.0,"702,1,0"
680,680,What?,680.0,"703,0,1"
681,681,Draw a conclusion,681.0,"704,1,0"
682,682,Analysis of results,682.0,"705,1,0"
683,683,Drawing conclusions,683.0,"706,1,0"
684,684,Let's check,684.0,"707,0,1"
685,685,"If you observe, measure, and collect data from experiments, you should start exploring, right?",685.0,"708,1,0"
686,686,"After organizing the data, draw conclusions.",686.0,"709,0,1"
687,687,Data analysis,687.0,"710,1,0"
688,688,examine whether the hypothesis is correct or wrong,688.0,"711,0,1"
689,689,I don't know.,689.0,"712,1,1"
690,690,Problem Analysis,690.0,"713,1,0"
691,691,conducting research,691.0,"714,0,1"
692,692,Organize what you did during the experiment in orderWriting an inquiry report,692.0,"715,0,0"
693,693,Write down an inquiry report.,693.0,"716,0,0"
694,694,Look at the collected data and organize it.,694.0,"717,0,1"
695,695,Let people know?,695.0,"718,0,1719,0,1"
696,696,Let's combine them and analyze them,696.0,"720,0,1"
697,697,Make a record and make it like a book,697.0,"721,1,0"
698,698,"Start the exploration, observe, and organize the contents briefly.",698.0,"722,1,0"
699,699,discussion,699.0,"723,1,0"
700,700,Organize and review the collected data.,700.0,"724,1,0"
701,701,Organize and review the collected data.,701.0,"725,1,0"
702,702,Organize and review all data,702.0,"726,1,0"
703,703,Deriving conclusions-The process of drawing conclusions based on the results of experiments and measured,703.0,"727,0,0"
704,704,Interpret the data.,704.0,"728,0,0"
705,705,I look through all the data and organize them,705.0,"729,0,0"
706,706,organize the data,706.0,"730,1,0"
707,707,Research with the data and conduct various experiments.,707.0,"731,0,0"
708,708,Organize the collected data.,708.0,"732,1,0"
709,709,Investigate.,709.0,"733,0,1"
710,710,Analyze and interpret the results and data,710.0,"734,0,1"
711,711,I live a beautiful life where I present and receive Nobel Prize and spend all my money and die. Two weeks,711.0,"735,1,0"
712,712,Analyze the data and draw conclusions,712.0,"736,0,1"
713,713,We analyze and interpret the data.,713.0,"737,0,1"
714,714,"""",714.0,"738,1,0"
715,715,Research is conducted on the data.,715.0,"739,1,0"
716,716,"If you collect data, you can easily collect data and combine them.",716.0,"740,0,1"
717,717,"Write the measured data in a notepad, make a PPT, and prepare your mind.",717.0,"741,0,1"
718,718,look into the data,718.0,"742,0,0"
719,719,a detailed examination of the data,719.0,"743,0,0"
720,720,I'm experiment,720.0,"744,0,0"
721,721,Do an experiment.,721.0,"745,0,1"
722,722,Interpret the data.,722.0,"746,0,1"
723,723,interpret the data,723.0,"747,0,0"
724,724,interpret the data,724.0,"748,0,0749,0,1"
725,725,Organize results,725.0,"750,0,0"
726,726,organize data and produce results,726.0,"751,1,0"
727,727,organize data and produce results,727.0,"752,1,0"
728,728,I don't know.,728.0,"753,0,0"
729,729,a hypothetical,729.0,"754,0,1"
730,730,I don't know,730.0,"755,0,1"
731,731,Data analysis,731.0,"756,0,1"
732,732,Hypothesis setting,732.0,"757,1,1"
733,733,Organize data,733.0,"758,0,1"
734,734,Confirmation of research results,734.0,"759,1,0"
735,735,Confirmation of research results,735.0,"760,1,0"
736,736,Organize the results of the experiment.,736.0,"761,0,0"
737,737,Writing a report,737.0,"762,0,1"
738,738,Drawing conclusions,738.0,"763,0,1"
739,739,compare the results with each other,739.0,"764,1,0"
740,740,The results of the experiment are summarized.,740.0,"765,1,0"
741,741,Present the measured results and consult with various group members.,741.0,"766,0,0"
742,742,review one's quest,742.0,"767,0,0"
743,743,I don't know,743.0,"768,1,0"
744,744,I don't know.,744.0,"769,0,1"
745,745,I don't know.,745.0,"770,1,0"
746,746,It's called drawing conclusions;,746.0,"771,0,1"
747,747,Result,747.0,"772,0,0"
748,748,·ㆍ,748.0,"773,0,0"
749,749,I don't know,749.0,"774,0,0"
750,750,Result,750.0,"775,0,1"
751,751,data observation,751.0,"776,1,0"
752,752,arrangement,752.0,"777,0,0"
753,753,Data analysis,753.0,"778,1,1779,0,0"
754,754,I don't know,754.0,"780,0,0"
755,755,Result,755.0,"781,0,1"
756,756,Draw a conclusion,756.0,"782,0,0"
757,757,Drawing conclusions,757.0,"783,0,0"
758,758,Draw and interpret conclusions.,758.0,"784,0,0"
759,759,Drawing conclusions,759.0,"785,1,0"
760,760,Analyze the data.,760.0,"786,0,0"
761,761,Compare data and compare it to your hypothesis (theory),761.0,"787,1,0"
762,762,Make sure the hypothesis is correct,762.0,"788,0,0"
763,763,Submission of Conclusion,763.0,"789,0,0"
764,764,Summarize the data to draw conclusions.,764.0,"790,0,0"
765,765,Data interpretation,765.0,"791,0,0"
766,766,Data interpretation,766.0,"792,0,0"
767,767,Check the progress of the inquiry.,767.0,"793,1,0"
768,768,?,768.0,"794,0,0"
769,769,Analyze the results of the experiment.,769.0,"795,1,0"
770,770,Drawing conclusions,770.0,"796,0,0"
771,771,"After organizing and analyzing the data, the conclusion is made.",771.0,"797,1,0"
772,772,Draw conclusions based on the collected data.,772.0,"798,0,1"
773,773,Analysis,773.0,"799,1,0"
774,774,Data Analysis,774.0,"800,0,0"
775,775,Analysis,775.0,"801,0,0"
776,776,Statistics are produced or analyzed based on measurement data to produce results and conclusions,776.0,"802,0,0"
777,777,Analyze the data.,777.0,"803,1,1"
778,778,Analysis,778.0,"804,1,1"
779,779,Analysis of results,779.0,"805,0,1"
780,780,and so on,780.0,"806,1,0"
781,781,I don't understand.,781.0,"807,1,1"
782,782,Experiment.,782.0,"808,0,1809,0,1"
783,783,Feedback,783.0,"810,1,1"
784,784,I'm observing,784.0,"811,1,0"
785,785,I don't know,785.0,"812,1,1"
786,786,Organize data,786.0,"813,0,0"
787,787,bark one's name,787.0,"814,1,1"
788,788,Organize and interpret results,788.0,"815,0,0"
789,789,Feedback,789.0,"816,1,1"
790,790,"After checking if the hypothesis is correct, if it is wrong, set the hypothesis again and proceed.",790.0,"817,0,1"
791,791,"Hypothesis setting,Review whether the hypothesis is correct.",791.0,"818,0,1"
792,792,I don't know.,792.0,"819,0,1"
793,793,Analyze the data.,793.0,"820,0,0"
794,794,"If it is a deductive method, make sure it fits your hypothesis.",794.0,"821,0,0"
795,795,"After organizing the data, interpret the results.",795.0,"822,0,0"
796,796,yes,796.0,"823,1,0"
797,797,Data analysis,797.0,"824,0,1"
798,798,produce results,798.0,"825,0,1"
799,799,comparison with hypothesis,799.0,"826,1,0"
800,800,It's an inquiry design.,800.0,"827,0,1"
801,801,Finish,801.0,"828,0,0"
802,802,2,802.0,"829,0,1"
803,803,"After organizing the experimental results, prepare a report and check if the hypothesis that has been set is correct, and if it does not, set the hypothesis again.",803.0,"830,0,0"
804,804,Interpret the data so that it can be entered into my head and draw conclusions based on data interpretation.,804.0,"831,0,0"
805,805,Write a report.,805.0,"832,0,0"
806,806,make statistics,806.0,"833,1,0"
807,807,"When all of the designed exploration is performed, the data derived through the exploration are analyzed and reviewed to fit the hypothesis established. If it is different from the hypothesis, modify the hypothesis and proceed with the above procedure again. If the hypothesis is correct, conclusions are drawn through the hypothesis and the results of the inquiry, and such conclusions are generalized to fit any situation. It may be less, but it is omitted because there is not enough time.",807.0,"834,1,0"
808,808,"""After collecting data, establishing hypotheses, and actually researching or experimenting with thoughts, results",808.0,"835,0,0"
809,809,"derive.""",809.0,"836,0,0"
810,810,".Experiment and experiment. make endless efforts Even if they die, they are prepared to get the knowledge they want to study.",810.0,"837,0,0"
811,811,"Check if the hypothesis and results set are correct, analyze the results based on the results, draw conclusions, and write error analysis, what you learned, and what you felt.",811.0,"838,0,0839,0,0"
812,812,"While comparing the measured data with the unknown phenomenon, the experimental error can be analyzed and explained using it.",812.0,"840,0,1"
813,813,"After collecting the data observed and measured during the experiment, the inquiry process to be performed should analyze the collected data and draw conclusions based on it.If the measured data is only collected, the relationship between the inquiry process and the experiment cannot be drawn, so it is necessary to draw conclusions through the analysis of the collected data.",813.0,"841,0,0"
814,814,I don't understand.,814.0,"842,0,0"
815,815,"After collecting the data observed and measured during the experiment, analyze it, and if the hypothesis is wrong, repeat the process of resetting the hypothesis through feedback, designing the experiment again, and conducting the experiment. If the hypothesis is correct, the results are summarized.",815.0,"843,0,1"
816,816,a shortage of time,816.0,"844,0,0"
817,817,"Reorganize the measured data to produce statistics, check if the hypothesis is correct, and draw conclusions.",817.0,"845,1,0"
818,818,Draw a conclusion.,818.0,"846,0,1"
819,819,"After collecting the observed and measured data, draw conclusions on the data and check if it fits the hypothesis you have established. If correct, it becomes an explainable phenomenon, and if wrong, explore why the experimental results came out wrong.",819.0,"847,1,0"
820,820,"Draw a conclusion. And make and present present presentation materials (presentation, thesis, etc.).",820.0,"848,0,0"
821,821,I'm sorry.,821.0,"849,1,0"
822,822,...,822.0,"850,0,0"
823,823,I write a paper and post it,823.0,"851,0,0"
824,824,Organizing,824.0,"852,1,0"
825,825,To create a report,825.0,"853,0,1"
826,826,collect data and produce results,826.0,"854,0,0"
827,827,"making a ticket, organizing",827.0,"855,0,0"
828,828,To create a report.,828.0,"856,0,1"
829,829,I don't know,829.0,"857,0,1"
830,830,Draw a conclusion.,830.0,"858,0,0"
831,831,I don't know,831.0,"859,0,0"
832,832,M and D,832.0,"860,0,0"
833,833,I don't know.,833.0,"861,0,0"
834,834,I'm organizing it,834.0,"862,0,0"
835,835,I'm organizing it,835.0,"863,1,0"
836,836,Let's begin a full-fledged investigation.,836.0,"864,1,0"
837,837,I don't know.,837.0,"865,0,0"
838,838,hypothesis setting,838.0,"866,0,1"
839,839,I don't know.,839.0,"867,0,0"
840,840,be recognized for explaining the reason why the phenomenon occurs,840.0,"868,0,0869,0,0"
841,841,Draw a conclusion,841.0,"870,0,0"
842,842,hypothesis setting,842.0,"871,1,0"
843,843,I don't know,843.0,"872,0,0"
844,844,conclusion,844.0,"873,0,0"
845,845,I don't know,845.0,"874,0,0"
846,846,Data interpretation,846.0,"875,0,1"
847,847,Drawing conclusions,847.0,"876,0,1"
848,848,arrangement,848.0,"877,0,1"
849,849,?,849.0,"878,0,1"
850,850,Organize the data,850.0,"879,0,1"
851,851,I'll try it myself and explain it,851.0,"880,0,0"
852,852,Proof,852.0,"881,0,0"
853,853,Data Interpretation - Results are derived by interpreting data with data collected by observing and measuring during experiments.,853.0,"882,0,1"
854,854,Experiment and make sure this is really right,854.0,"883,0,0"
855,855,Proof,855.0,"884,0,0"
856,856,Collect and Grease. Recommendation.ㄹ추,856.0,"885,0,0"
857,857,Let people know.,857.0,"886,0,0"
858,858,experiment,858.0,"887,0,1"
859,859,I don't know.,859.0,"888,0,1"
860,860,problem solving,860.0,"889,0,1"
861,861,I don't know.,861.0,"890,0,1"
862,862,.......................,862.0,"891,0,1"
863,863,represent in a table or graph,863.0,"892,0,1"
864,864,I organize the data and look at it again,864.0,"893,0,1"
865,865,Organize the results of the inquiry,865.0,"894,1,1"
866,866,?,866.0,"895,0,0"
867,867,I'm going to do an experiment.,867.0,"896,0,0"
868,868,I don't know.,868.0,"897,1,0"
869,869,I don't know.,869.0,"898,1,0899,0,1"
870,870,Create a table,870.0,"900,0,0"
871,871,Create a table or graph.,871.0,"901,0,0"
872,872,"Organize: On paper, summarize the process of exploring your thoughts and results.",872.0,"902,0,0"
873,873,Scientists gather and talk,873.0,"903,0,0"
874,874,I don't understand.,874.0,"904,0,0"
875,875,Hypothesis setting?,875.0,"905,0,0"
876,876,predict the outcome,876.0,"906,0,0"
877,877,Predict the results.,877.0,"907,1,0"
878,878,predict the outcome,878.0,"908,0,1"
879,879,predict the outcome,879.0,"909,0,1"
880,880,I'll make a presentation to the world.,880.0,"910,0,0"
881,881,assign a title to the subject of inquiry,881.0,"911,0,1"
882,882,I'm not sure about this,882.0,"912,1,1"
883,883,"For example, by examining volcanic eruptions, we can know what is inside the earth",883.0,"913,0,1"
884,884,"I'm sorry, friends",884.0,"914,0,0"
885,885,I'm sorry. I should have studied more.,885.0,"915,0,0"
886,886,I'll think about how to use this,886.0,"916,1,0"
887,887,I set up a hypothesis,887.0,"917,0,1"
888,888,"After collecting the data observed and measured during the experiment, it seems that the data is verified and published.",888.0,"918,0,1"
889,889,draw condensation,889.0,"919,1,0"
890,890,We're going through the process of courseLet's predict the results,890.0,"920,1,1"
891,891,Predict the results.,891.0,"921,1,0"
892,892,Predict the results.,892.0,"922,0,1"
893,893,Predict the results.,893.0,"923,0,0"
894,894,"I think I will not use the materials that I don't need, but organize important contents well and hold meetings with others to conduct various experiments and exploration.",894.0,"924,1,0"
895,895,Decide on a name.,895.0,"925,0,0"
896,896,I think I'll look at the plant dictionary or the animal dictionary Internet dictionary to see what it's like.,896.0,"926,0,1"
897,897,"Organize the observations and measured data, display them in a table, and record them.",897.0,"927,0,0"
898,898,organize the collected data,898.0,"928,0,1929,1,0"
899,899,Write a report and experimental results.,899.0,"930,1,0"
900,900,Don't know,900.0,"931,1,0"
901,901,Don't know,901.0,"932,1,0"
902,902,..,902.0,"933,1,0"
903,903,:(,903.0,"934,1,0"
904,904,Written notes,904.0,"935,0,0"
905,905,completion of an inquiry record,905.0,"936,0,1"
906,906,.,906.0,"937,0,0"
907,907,Organize and compare the data,907.0,"938,0,0"
908,908,presentation,908.0,"939,0,0"
909,909,Work hard on the exploration!,909.0,"940,0,0"
910,910,I'm watching it again,910.0,"941,0,0"
911,911,To study,911.0,"942,0,0"
912,912,"Analysis, Investigation",912.0,"943,0,0"
913,913,Present and discuss with your friend.,913.0,"944,0,0"
914,914,.....,914.0,"945,1,0"
915,915,I don't know,915.0,"946,1,0"
916,916,Organize data,916.0,"947,0,0"
917,917,Write a report.,917.0,"948,0,0"
918,918,Write an experimental report.,918.0,"949,0,0"
919,919,Organize them step by step.,919.0,"950,0,1"
920,920,Organize reports,920.0,"951,1,0"
921,921,"Check, clean up",921.0,"952,0,0"
922,922,I think I'll use the data to explore...,922.0,"953,0,0"
923,923,I understand.,923.0,"954,1,0"
924,924,Interpret analysis with graphs or tables,924.0,"955,1,0"
925,925,"Find the important part, the central part",925.0,"956,1,0"
926,926,We need to experiment,926.0,"957,1,0"
927,927,"I don't know, I don't know, I don't know, get it.Yes & ^^",927.0,"958,1,0959,0,0"
928,928,We look at the results of the inquiry and then we come to a conclusion.,928.0,"960,1,0"
929,929,Organize data,929.0,"961,0,0"
930,930,Organize data,930.0,"962,1,0"
931,931,Organize data,931.0,"963,0,0"
932,932,Organize data,932.0,"964,1,0"
933,933,Organize data,933.0,"965,1,0"
934,934,"When you acquire experimental data, you can interpret the meaning of the data by analyzing it while changing it to a graph or table based on it",934.0,"966,1,0"
935,935,I don't know.,935.0,"967,0,1"
936,936,The scientist who is doing the experiment thinks that he quit the experiment to do the inquiry problem.,936.0,"968,0,1"
937,937,.,937.0,"969,1,0"
938,938,I don't know,938.0,"970,0,0"
939,939,I don't know,939.0,"971,0,0"
940,940,I don't know.,940.0,"972,0,0"
941,941,Make a hypothesis.,941.0,"973,0,0"
942,942,I don't know.,942.0,"974,0,0"
943,943,"""I don't know.",943.0,"975,0,0"
944,944,"""",944.0,"976,0,0"
945,945,I don't know after collecting them.,945.0,"977,0,0"
946,946,Organize and modify data,946.0,"978,0,1"
947,947,"Analyze data, and submit samples",947.0,"979,0,0"
948,948,I don't know,948.0,"980,0,0"
949,949,Don't know,949.0,"981,0,0"
950,950,I don't know,950.0,"982,0,0"
951,951,draw a conclusion,951.0,"983,0,1"
952,952,Organize data,952.0,"984,0,0"
953,953,I don't know.,953.0,"985,0,1"
954,954,I don't know.,954.0,"986,0,0"
955,955,I'm organizing it,955.0,"987,0,0"
956,956,Organizing,956.0,"988,0,0989,0,0"
957,957,Organizing,957.0,"990,0,0"
958,958,Organize your experiments,958.0,"991,0,0"
959,959,Gather it and clean up the surroundings,959.0,"992,0,0"
960,960,I don't know.,960.0,"993,0,0"
961,961,Organizing,961.0,"994,0,1"
962,962,Debate,962.0,"995,0,0"
963,963,Analyze the data,963.0,"996,0,0"
964,964,Debate,964.0,"997,0,0"
965,965,Analyze the data.,965.0,"998,0,0"
966,966,Analyze the measured data.,966.0,"999,0,1"
967,967,Organize data,967.0,"1000,0,0"
968,968,"By analyzing the measured data, the process of finding regularity and unity and drawing conclusions is conducted.",968.0,"1001,0,0"
969,969,Reporting,969.0,"1002,1,1"
970,970,Organize data,970.0,"1003,0,0"
971,971,I don't know,971.0,"1004,0,1"
972,972,I don't know,972.0,"1005,0,0"
973,973,I don't know,973.0,"1006,1,0"
974,974,I don't know,974.0,"1007,0,1"
975,975,Record,975.0,"1008,0,0"
976,976,"I think there will be 123 order, solving each of the branches",976.0,"1009,1,1"
977,977,I don't know,977.0,"1010,1,1"
978,978,I don't know because I didn't learn it,978.0,"1011,1,0"
979,979,Research,979.0,"1012,0,1"
980,980,"I claim this, and I name it.",980.0,"1013,0,0"
981,981,I don't know,981.0,"1014,0,0"
982,982,I don't know.,982.0,"1015,0,0"
983,983,Check the performance of the product,983.0,"1016,0,0"
984,984,Findings,984.0,"1017,0,1"
985,985,I look around.,985.0,"1018,0,01019,0,0"
986,986,"We do various experiments and find out what we need today, side effects, etc",986.0,"1020,0,0"
987,987,I don't know,987.0,"1021,0,0"
988,988,Observe the quality of the product,988.0,"1022,0,0"
989,989,Decide how to measure.I have no idea.,989.0,"1023,0,0"
990,990,I don't know,990.0,"1024,0,1"
991,991,I can't remember,991.0,"1025,0,0"
992,992,?,992.0,"1026,0,0"
993,993,I don't know.,993.0,"1027,0,0"
994,994,Drawing conclusions,994.0,"1028,0,0"
995,995,I don't know,995.0,"1029,0,1"
996,996,Observation,996.0,"1030,1,1"
997,997,I don't like it.,997.0,"1031,1,0"
998,998,overspore,998.0,"1032,0,0"
999,999,Drawing conclusions,999.0,"1033,0,0"
1000,1000,No.,1000.0,"1034,0,0"
1001,1001,Proof,1001.0,"1035,1,1"
1002,1002,Organize and draw conclusions,1002.0,"1036,1,1"
1003,1003,Check.,1003.0,"1037,1,0"
1004,1004,draw a conclusion,1004.0,"1038,0,1"
1005,1005,Make sure it matches the hypothesis,1005.0,"1039,0,0"
1006,1006,Organize the data in order,1006.0,"1040,0,0"
1007,1007,I'm investigating,1007.0,"1041,0,0"
1008,1008,Put it together,1008.0,"1042,0,0"
1009,1009,Data Analysis and Conclusion Drawing,1009.0,"1043,0,0"
1010,1010,draw a conclusion by organizing the data,1010.0,"1044,0,0"
1011,1011,interpret based on the results,1011.0,"1045,0,0"
1012,1012,Report and presentation,1012.0,"1046,1,0"
1013,1013,No.,1013.0,"1047,0,0"
1014,1014,I don't know,1014.0,"1048,0,01049,0,0"
1015,1015,"I don't know, damn it",1015.0,"1050,1,1"
1016,1016,"No, no...",1016.0,"1051,0,1"
1017,1017,The experiment may be repeated by analyzing the experimental results and resetting the hypothesis.,1017.0,"1052,0,0"
1018,1018,Give an answer to the data.,1018.0,"1053,0,0"
1019,1019,Well,1019.0,"1054,0,0"
