,Unnamed: 0,"7. The roots of plants are underground, so they are hard to see, but they have many functions. What do plant roots do? Let's explain in detail using knowledge of plant structure and function. ",Unnamed: 0,q7_storage,q7_support,q7_carry,q7_storage.1,q7_support.1,q7_Transport.1
453,453,It supports plants and nourishes them in the ground.,453,,,,,,
454,454,"If there is water on the ground, it will suck it up to grow and support the plant.",454,,,,,,
455,455,It absorbs water,455,,,,,,
456,456,""" Support. (Role of support)",456,,,,,,
457,457,"- absorption of nutrients from the soil.""",457,,,,,,
458,458,It supports the plant and sucks water,458,,,,,,
459,459,Suck water from the soil from the roots. And the roots support the plants.,459,,,,,,
460,460,It grows better by sucking in nutrients from the soil and sucking in nutrients. It can support the plant.,460,,,,,,
461,461,"Suck the water, support the plants.",461,,,,,,
462,462,It serves as a support for plants.,462,,,,,,
463,463,Plant roots store water and distribute it to plants.,463,,,,,,
464,464,It draws water to support and nourish the plant,464,,,,,,
465,465,It allows plants to grow well and prevents them from being pulled out by strong winds,465,,,,,,
466,466,"""The roots of plants absorb water from the ground, and they also have the ability to sustain grass and trees in strong winds.",466,,,,,,
467,467,"""",467,,,,,,
468,468,It draws water from the ground and supplies plants with water. It also supports plants to stand on the ground.,468,,,,,,
469,469,Plants are responsible for supporting and absorbing nutrients.,469,,,,,,
470,470,You can get moisture through the roots.,470,,,,,,
471,471,I don't know.,471,,,,,,
472,472,I don't know.,472,,,,,,
473,473,Unknowingness,473,,,,,,
474,474,It absorbs water and nutrients,474,,,,,,
475,475,.,475,,,,,,
476,476,Sucking up water in the ground,476,,,,,,
477,477,"It absorbs water and nutrients, and the root hair expands the surface area to make it absorb well.  It also has a storage function.",477,,,,,,
478,478,It absorbs water from the ground so that plants can live.,478,,,,,,
479,479,"absorb water, and nutrients",479,,,,,,
480,480,Roots are responsible for bringing moisture and nutrients needed for plants.,480,,,,,,
481,481,It sucks water from the ground,481,,,,,,
482,482,I don't know.,482,,,,,,
483,483,Plant roots absorb water,483,,,,,,
484,484,It absorbs water. It supports the plant.,484,,,,,,
485,485,I'm doing the work of course,485,,,,,,
486,486,It absorbs water to get nutrients and acts as a support,486,,,,,,
487,487,"Supporting, Absorbing, and Storing",487,,,,,,
488,488,Plant roots absorb water and nutrients. It supports the plant.,488,,,,,,
489,489,Roots absorb water and nutrients from the ground,489,,,,,,
490,490,It absorbs water.,490,,,,,,
491,491,I don't know.,491,,,,,,
492,492,The roots of a plant absorb nutrients and water and support the plant,492,,,,,,
493,493,I don't know.,493,,,,,,
494,494,"It absorbs nutrients and plants.The roots of the plant are generally in the soil, and they support the plant to prevent it from collapsing, store the nutrients made from the leaves, and absorb the nutrients into the water and water.",494,,,,,,
495,495,"(Singing ""Let's Play"")",495,,,,,,
496,496,None.,496,,,,,,
497,497,I drink water,497,,,,,,
498,498,I don't know.,498,,,,,,
499,499,"The roots of the plant are long and extend to fine roots, so they can be stretched wide and long to obtain nutrients.",499,,,,,,
500,500,absorbing soil nutrients and supporting the body,500,,,,,,
501,501,Drink water,501,,,,,,
502,502,Nutritional supply,502,,,,,,
503,503,It keeps plants alive.,503,,,,,,
504,504,It absorbs water and sometimes stores nutrients.,504,,,,,,
505,505,Fix plants and get nutrients such as water and nutrients through the ground.,505,,,,,,
506,506,draw in water,506,,,,,,
507,507,"Plant roots absorb nutrients in the soil, attract important moisture and deliver it to plants.",507,,,,,,
508,508,It absorbs water,508,,,,,,
509,509,I'm not sure,509,,,,,,
510,510,Grow.,510,,,,,,
511,511,Plants suck water.,511,,,,,,
512,512,I see,512,,,,,,
513,513,It absorbs nutrients and moisture.And it serves as a support so that it is not pulled from the ground.,513,,,,,,
514,514,Plant roots absorb water and provide nutrients.,514,,,,,,
515,515,"Water is supplied through osmosis Nutritional content, too",515,,,,,,
516,516,It absorbs moisture. It prevents plants from moving well on the ground,516,,,,,,
517,517,"Plants absorb water from the land through osmosis, and the roots of the plants are deeply embedded in the ground to support the plants.",517,,,,,,
518,518,absorption of nutrients,518,,,,,,
519,519,Water is absorbed from the plant's roots and transported to the leaves through the stem's water pipes. And the plant's roots support the plant not to be moved by external energy such as wind.,519,,,,,,
520,520,"Plant roots support plants, absorb water and nutrients dissolved in the soil, and store nutrients.",520,,,,,,
521,521,nutrient supply,521,,,,,,
522,522,It absorbs water and various nutrients,522,,,,,,
523,523,Roots are used by plants to hold onto the ground well and to get moisture or nutrients from the ground,523,,,,,,
524,524,Bringing in the water,524,,,,,,
525,525,It sucks water into the ground,525,,,,,,
526,526,Plant roots absorb water and nutrients.,526,,,,,,
527,527,absorption of nutrients,527,,,,,,
528,528,It absorbs nutrients from the soil,528,,,,,,
529,529,The roots of the plant help the plant stay fixed on the ground and absorb the nutrients from the ground.,529,,,,,,
530,530,Plants grow because they have roots.,530,,,,,,
531,531,It absorbs water and lifts the net to the stem and helps keep the plant from being pulled out,531,,,,,,
532,532,It absorbs energy from the ground.,532,,,,,,
533,533,It absorbs moisture from the ground and supports the flowers so that they don't fly away in the wind,533,,,,,,
534,534,Plant roots provide nutrients,534,,,,,,
535,535,It absorbs nutrients and water from the ground,535,,,,,,
536,536,"Once it supports the plant, it absorbs moisture from the ground and moves nutrients.",536,,,,,,
537,537,You Eun-nae,537,,,,,,
538,538,h,538,,,,,,
539,539,It supplies plants with nutrients in the ground,539,,,,,,
540,540,Yeah.,540,,,,,,
541,541,Mr,541,,,,,,
542,542,in ?Ö·Ö©?é„Öó,542,,,,,,
543,543,I have no idea.,543,,,,,,
544,544,supplying water for plant life,544,,,,,,
545,545,It absorbs water and necessary nutrients.,545,,,,,,
546,546,1,546,,,,,,
547,547,Plant roots absorb water and nutrients needed for the plant's life.,547,,,,,,
548,548,1,548,,,,,,
549,549,"Through the growth point, plants grow and absorb various nutrients and moisture in the soil",549,,,,,,
550,550,Uh6666,550,,,,,,
551,551,Unknowingness,551,,,,,,
552,552,"Nutrient absorption, plant support",552,,,,,,
553,553,provide nutrients to plants in the ground,553,,,,,,
554,554,The roots of the plant absorb the water from the ground and grow and extend the roots deeply to increase the support of the tree.,554,,,,,,
555,555,Sponge,555,,,,,,
556,556,Unknowingness,556,,,,,,
557,557,The roots support the plant and allow it to absorb the nutrients,557,,,,,,
558,558,"It absorbs water, it absorbs nutrients, it supports plants",558,,,,,,
559,559,Osmotic pressure absorbs water from the ground.,559,,,,,,
560,560,Keep plants from collapsing from external forces and scratch nutrients.,560,,,,,,
561,561,"""The water in the ground is absorbed through the tube of the root's tube.",561,,,,,,
562,562,Roots dig deep into the ground and align the center of gravity of the plant to support the plant from collapsing.,562,,,,,,
563,563,"The epidermal cells of the root absorb water and organic nutrients from the modified root hairs.""",563,,,,,,
564,564,"The roots of the plant absorb moisture from the ground and are deeply embedded in the ground, so they support the wind so that it does not fly away from the wind.",564,,,,,,
565,565,Unknowingness,565,,,,,,
566,566,Sucking water and supporting it,566,,,,,,
567,567,"When you water the ground, the roots absorb the water and the absorbed water goes to the plants",567,,,,,,
568,568,It absorbs water and nutrients.,568,,,,,,
569,569,"There is something called root hair in the roots of plants, and the hair absorbs water to grow.",569,,,,,,
570,570,Unknowingness,570,,,,,,
571,571,I don't know.,571,,,,,,
572,572,serve as a support for the ground,572,,,,,,
573,573,nourish the ground,573,,,,,,
574,574,Plant roots absorb moisture in the soil.,574,,,,,,
575,575,"Leaves, stem roots",575,,,,,,
576,576,I'll draw the water that plants need to grow.,576,,,,,,
577,577,..................,577,,,,,,
578,578,The plant supports it without shaking,578,,,,,,
579,579,Put your roots in the ground and absorb water and nutrients with the hair on the roots,579,,,,,,
580,580,It absorbs water and nutrients in the ground,580,,,,,,
581,581,It absorbs water.,581,,,,,,
582,582,It absorbs water from the ground.,582,,,,,,
583,583,Plant roots absorb water from the ground.,583,,,,,,
584,584,Plant roots support the plant and absorb nutrients.,584,,,,,,
585,585,"The roots of the plant have nutrients, which give nutrients to the plant and support the plant firmly.",585,,,,,,
586,586,Roots absorb nutrients and roots support plants,586,,,,,,
587,587,I'm turning it off,587,,,,,,
588,588,I don't know plants,588,,,,,,
589,589,Plant roots are used to push down to the ground,589,,,,,,
590,590,You don't know plants?,590,,,,,,
591,591,get water + nutrients,591,,,,,,
592,592,Absorb water,592,,,,,,
593,593,It absorbs water and supports plantsPlants support stems,593,,,,,,
594,594,It absorbs moisture from the ground and holds the plants together,594,,,,,,
595,595,I'll suck your water.,595,,,,,,
596,596,It uses roots to absorb water that seeps into the ground and absorbs nutrients from the soil.,596,,,,,,
597,597,It absorbs water and helps plants grow and supports them,597,,,,,,
598,598,It absorbs water and helps plants grow and supports them.,598,,,,,,
599,599,Roots draw water from the ground and provide nutrients for plants to grow,599,,,,,,
600,600,"""The roots absorb moisture from the ground, so that energy transfer and roots can be supported by the body",600,,,,,,
601,601,"""",601,,,,,,
602,602,It brings out nutrients,602,,,,,,
603,603,"Water absorption, body balance, nutrient absorption, etc",603,,,,,,
604,604,The roots of plants help plants grow by sucking in nutrients from various whiskers,604,,,,,,
605,605,"Plant roots provide energy for living things to grow and make them suitable for living. Without plant roots, people have no bones.",605,,,,,,
606,606,Plant roots support the stems and provide nutrients.,606,,,,,,
607,607,It absorbs moisture.,607,,,,,,
608,608,Plant roots send nutrients that trees eat as they grow,608,,,,,,
609,609,It absorbs nutrients from the ground with the roots of the plant and serves to support the plant.,609,,,,,,
610,610,It attracts nutrients and moisture from the ground,610,,,,,,
611,611,Absorption,611,,,,,,
612,612,It absorbs the boom of the land,612,,,,,,
613,613,Roots absorb water,613,,,,,,
614,614,water absorption,614,,,,,,
615,615,It absorbs the positive boom of the land,615,,,,,,
616,616,Roots absorb nutrients and moisture from the ground.,616,,,,,,
617,617,Roots absorb nutrients and moisture from the ground.,617,,,,,,
618,618,Roots absorb nutrients and moisture into the ground.,618,,,,,,
619,619,Roots absorb nutrients and moisture from the ground,619,,,,,,
620,620,The surface is widely spread and can absorb nutrients or moisture.,620,,,,,,
621,621,The surface is spread out and absorbs nutrients or moisture,621,,,,,,
622,622,Plant roots have a wide surface area and absorb nutrients or moisture.,622,,,,,,
623,623,It absorbs water.,623,,,,,,
624,624,"Through the nutrient and water absorption capillary effect,",624,,,,,,
625,625,It absorbs water and nutrients from the ground.,625,,,,,,
626,626,Absorbs nutrients from water and soil to allow plants to grow,626,,,,,,
627,627,I don't want to move,627,,,,,,
628,628,I drink a lot of water,628,,,,,,
629,629,"It plays a structural role in absorbing nutrients, absorbing water, and supporting individuals.",629,,,,,,
630,630,The root structure is thick and hairy. Function supports plants and absorbs water and nutrients.,630,,,,,,
631,631,It supports plants and absorbs nutrients from the ground to help them grow.,631,,,,,,
632,632,Use osmosis to absorb water and nutrients from the ground.,632,,,,,,
633,633,It absorbs nutrients.,633,,,,,,
634,634,It absorbs water and nutrients from the ground.,634,,,,,,
635,635,plunder nutrients from the ground,635,,,,,,
636,636,Roots absorb water and raise it up and absorb nutrients from the ground.,636,,,,,,
637,637,It supports plants and nourishes plants,637,,,,,,
638,638,It absorbs nutrients.,638,,,,,,
639,639,"The roots of the plant extend deep and wide to the ground, absorbing nutrients and supporting the plant from falling off the ground by external forces.",639,,,,,,
640,640,Plant roots use osmotic pressure to absorb inorganic and organic substances necessary for plant growth.,640,,,,,,
641,641,I don't know,641,,,,,,
642,642,Water moves from the roots to the water pipe in the stem.,642,,,,,,
643,643,"Plants are composed of roots, stems, leaves, flowers, and fruits, and the roots absorb water by osmotic pressure, and plants support it.",643,,,,,,
644,644,It absorbs moisture and minerals through active transport.,644,,,,,,
645,645,It absorbs water and nutrients from the ground and supports the body of the plant.,645,,,,,,
646,646,"Roots of plants As the center of plant growth, it is responsible for absorbing nutrients and dies without them.",646,,,,,,
647,647,"Support, Structure, Growth",647,,,,,,
648,648,I don't know.,648,,,,,,
649,649,It absorbs water in the ground and nutrients in the ground.,649,,,,,,
650,650,Plant roots have functions that can absorb moisture.,650,,,,,,
651,651,"It absorbs nutrients and is a factor that plants can withstand. If anything happens at the center, you have to pull out the roots first",651,,,,,,
652,652,Roots support the entire plant and absorb nutrients.,652,,,,,,
653,653,It absorbs inorganic salts and moisture and supports plants.,653,,,,,,
654,654,"The root of the plant has a lot of root hairs, increasing the surface area to efficiently absorb water and nutrients. In addition, plants are fixed to the ground, and they grow because they have growth points.",654,,,,,,
655,655,I'll suck the water.,655,,,,,,
656,656,It delivers nutrients and absorbs nutrients,656,,,,,,
657,657,It absorbs water from the ground and sends it up,657,,,,,,
658,658,The roots support the leaves,658,,,,,,
659,659,"Store nutrients, absorb moisture, etc",659,,,,,,
660,660,Roots support the plant to stand and also suck water to help it live.,660,,,,,,
661,661,The roots of the plant absorb water and various nutrients in the ground and move them to the stem,661,,,,,,
662,662,It is like a straw that connects plants to give them good ingredients,662,,,,,,
663,663,The roots absorb or suck water deep into the ground.,663,,,,,,
664,664,Plant roots attract water from the ground,664,,,,,,
665,665,"The roots of plants support the plants on the ground, and the roots suck in the influences in the ground, making the plants on the ground healthier.",665,,,,,,
666,666,Supporting,666,,,,,,
667,667,Roots eat water to grow plants,667,,,,,,
668,668,be in the dirt,668,,,,,,
669,669,Drinking water helps plants grow well.,669,,,,,,
670,670,The roots of plants can absorb the nutrients from the ground and support the body.,670,,,,,,
671,671,"The roots nourish the ground, so the plants grow well",671,,,,,,
672,672,to suck water or nutrients,672,,,,,,
673,673,Roots come down and provide water splash and oxygen in the ground,673,,,,,,
674,674,The nutrients in the ground come up through the roots and replenish the nutrients in the plants.,674,,,,,,
675,675,The roots of the plant supply moisture to the plant and are embedded in the ground so that the plant is not pulled out.,675,,,,,,
676,676,Roots absorb water under the ground,676,,,,,,
677,677,I don't know.,677,,,,,,
678,678,You can think of it as a storehouse for nutrients in plants. The hair next to it catches the nutrients escaping,678,,,,,,
679,679,It absorbs nutrients.,679,,,,,,
680,680,It absorbs nutrients from the soil,680,,,,,,
681,681,"Plant roots absorb nutrients and moisture in the ground, while also supporting the plant itself from rain or wind.",681,,,,,,
682,682,Plant roots suck water and help plants survive.,682,,,,,,
683,683,It absorbs nutrients in the soil,683,,,,,,
684,684,The roots of the plant serve to support the individual and to absorb water from the ground and supply water.,684,,,,,,
685,685,There is nutrient absorption and water absorption,685,,,,,,
686,686,It absorbs a lot of nutrients by widening the surface area that absorbs water.,686,,,,,,
687,687,It supports the ground so that the plants do not fall down easily. It helps plants grow by absorbing moisture in the soil. It reduces damage such as landslides and earthquakes by catching the land with roots.,687,,,,,,
688,688,Roots have growth points for plants to grow and serve to absorb water or nutrients.,688,,,,,,
689,689,Plant roots absorb water and help photosynthesis.,689,,,,,,
690,690,It absorbs water and nutrients from the soil and sends them to the leaves through the stem.,690,,,,,,
691,691,"The roots of plants absorb moisture and nutrients in the soil and transmit them to the stem's body tubes and water pipes. As a result, leaves and flowers are supplied with nutrients that can function properly.",691,,,,,,
692,692,Plant roots support the plant body from the ground and absorb nutrients and moisture present in the soil. Some organisms also store nutrients in their roots.The roots of the plant absorb water deep in the ground and send it up to the leaves through the stem of the plant. It is also firmly fixed to prevent plants from flying in the rain and wind.,692,,,,,,
693,693,"Plants need moisture and nutrients to grow, and their roots absorb them from the ground and supply them to the entire plant.",693,,,,,,
694,694,"It absorbs water, stores nutrients, and supports plants.",694,,,,,,
695,695,The roots absorb moisture and nutrients in the ground and supply moisture and nutrients to the stems and leaves of the stomach through the body and water pipes.,695,,,,,,
696,696,"Plant roots are deeply embedded in the soil, absorbing various nutrients and water from the soil. In addition, the deeply embedded roots play a role in helping plants not be easily pulled out.",696,,,,,,
697,697,It absorbs water and nutrients and holds plants to the ground.,697,,,,,,
698,698,Roots have hairs that absorb nutrients and moisture around them. It also plays a role in stably supporting plants so that they do not collapse.,698,,,,,,
699,699,?,699,,,,,,
700,700,I don't know,700,,,,,,
701,701,be nourished,701,,,,,,
702,702,nutrient delivery,702,,,,,,
703,703,"Nutritional absorption, plant support",703,,,,,,
704,704,Plant roots absorb water and nutrients,704,,,,,,
705,705,"Drinking water, absorption of nutrients",705,,,,,,
706,706,Suck the water in the soil,706,,,,,,
707,707,It absorbs nutrients in the soil,707,,,,,,
708,708,yes,708,,,,,,
709,709,It provides the necessary nutrients for plants,709,,,,,,
710,710,It also absorbs water and nutrients and stores nutrients.,710,,,,,,
711,711,absorb the necessary nutrients,711,,,,,,
712,712,absorption of nutrients,712,,,,,,
713,713,It serves to deliver water and nutrients to the stems and leaf berries and leaves.,713,,,,,,
714,714,It absorbs water and nutrients from the soil and serves to support the individual,714,,,,,,
715,715,ingestion of water in the soil,715,,,,,,
716,716,Root humpback bacteria fix nitrogen.,716,,,,,,
717,717,It absorbs nutrients in the soil.,717,,,,,,
718,718,It holds the ground and absorbs moisture and nutrients.,718,,,,,,
719,719,"There is fertilization of the land, nutrient-absorbing food provision, etc",719,,,,,,
720,720,It supports plants and absorbs water.,720,,,,,,
721,721,"Osmotic water absorption, stem support",721,,,,,,
722,722,It absorbs water and nutrients from plant roots.,722,,,,,,
723,723,It absorbs water.,723,,,,,,
724,724,The plant's roots support the plant and at the same time suck in the nutrients and water from the ground.,724,,,,,,
725,725,the role of supporting plants,725,,,,,,
726,726,It absorbs water and organic matter in the ground and supports plants.,726,,,,,,
727,727,It absorbs moisture in the soil and contributes to the growth of plants.,727,,,,,,
728,728,It absorbs water and nutrients and acts as a pillar,728,,,,,,
729,729,Mr,729,,,,,,
730,730,?á„Ñø???π„Öç,730,,,,,,
731,731,Mall,731,,,,,,
732,732,I don't understand.,732,,,,,,
733,733,I don't understand.,733,,,,,,
734,734,I don't know.,734,,,,,,
735,735,Unknowingness,735,,,,,,
736,736,Mr,736,,,,,,
737,737,I don't understand.,737,,,,,,
738,738,I don't understand.,738,,,,,,
739,739,I don't understand.,739,,,,,,
740,740,Water charging,740,,,,,,
741,741,Mr,741,,,,,,
742,742,I don't know.,742,,,,,,
743,743,I don't know,743,,,,,,
744,744,I don't understand.,744,,,,,,
745,745,I don't know.,745,,,,,,
746,746,Mr,746,,,,,,
747,747,Unknowingness,747,,,,,,
748,748,I don't know.,748,,,,,,
749,749,.,749,,,,,,
750,750,I don't understand.,750,,,,,,
751,751,"Plantain, Moisture Absorption",751,,,,,,
752,752,Mr,752,,,,,,
753,753,I don't know.,753,,,,,,
754,754,.,754,,,,,,
755,755,"It sends moisture and nutrients from the ground to stem leaves, etc",755,,,,,,
756,756,"""Plant roots nourish the plant",756,,,,,,
757,757,"""",757,,,,,,
758,758,"""I'm in the science textbook for the first semester of the fourth grade.",758,,,,,,
759,759,,759,,,,,,
760,760,It supports the plants so that they don't shake,760,,,,,,
761,761,,761,,,,,,
762,762,It absorbs nutrients from the ground,762,,,,,,
763,763,,763,,,,,,
764,764,^^*,764,,,,,,
765,765,"""",765,,,,,,
766,766,It supports the plant without shaking and absorbs nutrients from the ground,766,,,,,,
767,767,It supports plants so that they don't shake and suck nutrients from the ground.,767,,,,,,
768,768,"Body support, absorption of water and minerals, respiration, nutrient storage",768,,,,,,
769,769,"""Plant roots support the plant",769,,,,,,
770,770,"It absorbs moisture.""",770,,,,,,
771,771,I think it's similar to the mouth,771,,,,,,
772,772,"""1. Perform a supporting role to prevent plants from moving.",772,,,,,,
773,773,,773,,,,,,
774,774,2. Absorb water and inorganic nutrients with root hair.,774,,,,,,
775,775,,775,,,,,,
776,776,3. Absorb oxygen from the soil,776,,,,,,
777,777,,777,,,,,,
778,778,4. Store organic nutrients made from photosynthesis in the form of starch,778,,,,,,
779,779,"""",779,,,,,,
780,780,"It absorbs water and nutrients, sends them to the leaves through the stem, and supports the plant not to collapse.",780,,,,,,
781,781,"""1. Perform a supporting role to prevent plants from moving.",781,,,,,,
782,782,,782,,,,,,
783,783,2. Absorb water and inorganic nutrients with root hair.,783,,,,,,
784,784,,784,,,,,,
785,785,3. Absorb oxygen from the soil,785,,,,,,
786,786,,786,,,,,,
787,787,"4. Store organic nutrients made from photosynthesis in the form of starch""",787,,,,,,
788,788,"It is a function that roots in the soil and supports the entire body, and absorbs water and inorganic nutrients from the root hair through the water pipe and supplies them to the entire body through the water pipe, and stores the remaining nutrients in the root hair and epidermal cells.",788,,,,,,
789,789,"""Absorption: Absorption of water and inorganic nutrients from the soil through root hairs",789,,,,,,
790,790,"Supporting action: Stretch deeply in the ground to support the plant ??The shape of the root varies slightly depending on the type of plant, but all extend widely in the ground to expand the area of contact with the soil.",790,,,,,,
791,791,"Storage action: store extra nutrients made from photosynthesis in leaves ??e.g. sweet potatoes, radishes, carrots, dahliaBreathing: Oxygen absorption, carbon dioxide release",791,,,,,,
792,792,"""",792,,,,,,
793,793,"""1. Supporting and supporting water",793,,,,,,
794,794,"2. Store nutrients made from leaves""",794,,,,,,
795,795,"Rooted in the soil to support the entire body, it absorbs water and inorganic nutrients from the root hairs and supplies them through the water pipes, accepts oxygen, releases carbon dioxide, and stores the remaining nutrients in the root hairs and epidermal cells",795,,,,,,
796,796,It supports plants to support the body and absorbs and stores water to make nutrients,796,,,,,,
797,797,It absorbs water and sends it to grass for photosynthesis,797,,,,,,
798,798,Plant roots absorb nutrients from the ground and send them to the whole plant,798,,,,,,
799,799,"Store water, support plants, and store nutrients.",799,,,,,,
800,800,keep from being swayed by the wind,800,,,,,,
801,801,Support plants and store nutrients,801,,,,,,
802,802,"The root serves to firmly support the plant to support the body, which is called the ""supportive action"" of the root.  Just as we cannot live without water, plants cannot live without water. Sucking such important water from the ground into the body of a plant is called the ""absorption"" of the root. The principle that the roots absorb water can be explained by osmotic pressure. Almost all of the membranes that make up the plant are semi-permeable membranes. When plants absorb water from their roots, comparing root hairs and water in the soil, the water in the soil is low and the root hairs are relatively high. In order to achieve concentration equilibrium, low concentration of moisture in the soil permeates into the high concentration of root hairs through the cell membrane. The roots absorb not only water but also nutrients in the water through this absorption.",802,,,,,,
803,803,It supports the plants without shaking and sucks nutrients from the ground.,803,,,,,,
804,804,"And it supports you.""",804,,,,,,
805,805,Plant roots absorb nutrients into the ground and hold the plant in place.,805,,,,,,
806,806,"""Plant roots absorb nutrients into the ground",806,,,,,,
807,807,"It holds the plant.""",807,,,,,,
808,808,Plant roots take in water,808,,,,,,
809,809,"Support, Absorption, Storage",809,,,,,,
810,810,to store or supply moisture,810,,,,,,
811,811,"Water absorption, nutrients absorption, and supporting functions",811,,,,,,
812,812,absorption of nutrients,812,,,,,,
813,813,"Nutrient absorption, water absorption, support",813,,,,,,
814,814,Store nutrients,814,,,,,,
815,815,Bees nourish,815,,,,,,
816,816,Sucking in the water or not going to the country in the wind,816,,,,,,
817,817,a suction of water,817,,,,,,
818,818,It absorbs nutrients,818,,,,,,
819,819,Plants need water to grow their roots,819,,,,,,
820,820,"Plants have roots, stems, leaves, etc",820,,,,,,
821,821,nourish the life of leaves and stems,821,,,,,,
822,822,nourish a plant,822,,,,,,
823,823,Store moisture in the roots of the absorption.,823,,,,,,
824,824,The roots of plants absorb water and nutrients to make them live well,824,,,,,,
825,825,The plant's roots nourish the plants by absorbing nutrients from the water and ground for their stems and leaves.,825,,,,,,
826,826,"It supports plants and absorbs water and minerals, and breeds through roots to increase the size of the population.",826,,,,,,
827,827,"Because of its roots, plants can grow well",827,,,,,,
828,828,Plant roots absorb nutrients from the ground and feed the leaves and stems,828,,,,,,
829,829,I don't know.,829,,,,,,
830,830,"Water absorption, fixing to the ground",830,,,,,,
831,831,Sturdy water by sucking nutrients.,831,,,,,,
832,832,Roots absorb water and nutrients and send nutrients and water to stem and fruit flowers,832,,,,,,
833,833,It sucks the nutrients from the soil and spreads them throughout the plant.,833,,,,,,
834,834,It helps plants grow.,834,,,,,,
835,835,Roots allow plants to grow well,835,,,,,,
836,836,I don't know.,836,,,,,,
837,837,"Support, absorb, and breathe.",837,,,,,,
838,838,The roots of plants absorb water and grow by photosynthesis in sunlight,838,,,,,,
839,839,Roots absorb moisture or nutrients in the soil.,839,,,,,,
840,840,It supports the plant.,840,,,,,,
841,841,"Support, nourishment and moisture absorption, and nutrient storage",841,,,,,,
842,842,Absorption of nutrients,842,,,,,,
843,843,The roots of plants absorb water and nutrients from the soil and support them.,843,,,,,,
844,844,Roots absorb nutrients and moisture by widening the surface area.,844,,,,,,
845,845,It absorbs water from the soil.,845,,,,,,
846,846,Plant roots support plants and absorb water and minerals. It also stores nutrients.,846,,,,,,
847,847,It absorbs moisture and minerals and supports plants.,847,,,,,,
848,848,It absorbs water.,848,,,,,,
849,849,supporting action,849,,,,,,
850,850,"Support, storage, absorption",850,,,,,,
851,851,It absorbs water through the root hairs.,851,,,,,,
852,852,"It supports the whole plant, absorbs water and minerals. It also stores nutrients.",852,,,,,,
853,853,nutrient supply,853,,,,,,
854,854,collecting nutrients to absorb moisture,854,,,,,,
855,855,eat nutrients,855,,,,,,
856,856,Water Absorption Nutrient Storage,856,,,,,,
857,857,It absorbs nutrients from the ground,857,,,,,,
858,858,Plants suck in nutrients and moisture from the soil.,858,,,,,,
859,859,It stores and absorbs moisture and energy,859,,,,,,
860,860,"Through the roots, plants get the nutrients and moisture they need to live.",860,,,,,,
861,861,It softens the ground. Eat the nutrients evenly.,861,,,,,,
862,862,"It absorbs nutrients, making plants grow and supporting",862,,,,,,
863,863,Energy absorption,863,,,,,,
864,864,The roots of the plant are responsible for saving and absorbing nutrients and supporting the plant to the ground.,864,,,,,,
865,865,It absorbs moisture from the ground for nourishment,865,,,,,,
866,866,It's... It's-----?°„Ö°?°„Ö°??I don't know.,866,,,,,,
867,867,absorption of water,867,,,,,,
868,868,"The roots absorb moisture from the soil, so the nutrients...",868,,,,,,
869,869,Sucking in water and taking in nutrients,869,,,,,,
870,870,"It absorbs moisture from the ground and supplies it to plants, and supports them in windy or steep areas.",870,,,,,,
871,871,Suck the water in.,871,,,,,,
872,872,The plant's roots support the plant's stems and leaves and also absorb nutrients in the soil.,872,,,,,,
873,873,It works to provide water and nutrients.,873,,,,,,
874,874,Roots make plants stand well,874,,,,,,
875,875,I don't know.,875,,,,,,
876,876,It supports plants.,876,,,,,,
877,877,It absorbs the separators on the ground to photosynthesize plants,877,,,,,,
878,878,Various,878,,,,,,
879,879,It supports stems on the ground or stores nutrients,879,,,,,,
880,880,It absorbs water or nutrients and supports plants,880,,,,,,
881,881,Plant roots absorb soil nutrients and water and transfer it to the plant's body,881,,,,,,
882,882,"Plants have tubes that can carry nutrients and water, and they move there.""",882,,,,,,
883,883,It provides nutrients to plants on the ground.,883,,,,,,
884,884,Hold it upright and drink water.,884,,,,,,
885,885,"They photosynthesize and absorb water with organs such as stems, leaves, roots, etc",885,,,,,,
886,886,nourish,,,,,,,
887,887,"It absorbs water in the soil, decomposes nitrogen components such as fertilizers, and delivers them to its own stems.",,,,,,,
888,888,Absorb water from the soil and supply it to the plant body,,,,,,,
889,889,It absorbs nutrients from the ground,,,,,,,
890,890,to supply water to plantsThe roots fix the plants so that they are not pulled out and allow them to draw water deep into the ground.,,,,,,,
891,891,It absorbs water and supplies water to the fruits and stems of plants,,,,,,,
892,892,Absorbing water and nutrients,,,,,,,
893,893,absorption of water into the ground,,,,,,,
894,894,It absorbs nutrients from the land,,,,,,,
895,895,sucking in nutrients,,,,,,,
896,896,It absorbs and supports nutrients,,,,,,,
897,897,"It absorbs moisture or inorganic nutrients from the soil and moves them into the plant, and when the roots develop and the roots grow out of the soil, the roots become numerous and complex, allowing the plant to stand well without falling down even if it grows large",,,,,,,
898,898,d,,,,,,,
899,899,The roots of the plant stimulate the growth point of the plant,,,,,,,
900,900,"Water absorption, supporting individuals",,,,,,,
901,901,It absorbs water and soil nutrients.,,,,,,,
902,902,"It supports the tree, makes the tree beautiful, and absorbs nutrients.",,,,,,,
903,903,"Plant roots absorb moisture and nutrients from the ground, helping plants grow well.",,,,,,,
904,904,It holds the ground tighter. nourish plants,,,,,,,
905,905,The root of the plant is Joha,,,,,,,
