,Unnamed: 0,1) Let's talk about the exploration process that the scientist who discovered the unexplained phenomenon decides on the inquiry problem and then goes on to the next step,Unnamed: 0,",q27_hypothesis,q27_Other exploration"
489,489,I were at the scene to investigate them.,489.0,"505,0,0"
490,490,Experiment.,490.0,"506,0,0"
491,491,Make a hypothesis.,491.0,"507,0,0"
492,492,Explore to make a plan.,492.0,"508,0,0509,0,0"
493,493,Experiment.,493.0,"510,0,0"
494,494,Test plans.Make a plan for an experiment.,494.0,"511,0,0"
495,495,Experiment.,495.0,"512,0,1"
496,496,Prepare plans and supplies to conduct the experiment.,496.0,"513,0,1"
497,497,I don't know,497.0,"514,0,0"
498,498,Experiment.,498.0,"515,0,1"
499,499,I don't understand...,499.0,"516,0,1"
500,500,I don't know.,500.0,"517,0,0"
501,501,Experiment.,501.0,"518,0,1"
502,502,I'm experiment,502.0,"519,0,0"
503,503,I don't know.,503.0,"520,0,1"
504,504,Observing,504.0,"521,0,1"
505,505,I don't know,505.0,"522,0,0"
506,506,I don't know,506.0,"523,0,1"
507,507,"""I don't know",507.0,"524,0,1"
508,508,"""",508.0,"525,0,0"
509,509,I don't know.,509.0,"526,0,0"
510,510,I don't know...,510.0,"527,0,0"
511,511,I don't know,511.0,"528,0,1"
512,512,I can let people know.,512.0,"529,0,0"
513,513,M and D,513.0,"530,0,0"
514,514,"If it's a phenomenon that you can't explain with knowledge, you can explain it with knowledge.",514.0,"531,1,1"
515,515,I don't know.,515.0,"532,1,1"
516,516,I don't know,516.0,"533,1,1"
517,517,Experiment and observe,517.0,"534,1,0"
518,518,"After completing the study, we will study why this phenomenon looks like again.",518.0,"535,1,1"
519,519,have no idea,519.0,"536,0,1"
520,520,study the phenomenon,520.0,"537,1,1"
521,521,I think I will study and study the phenomenon.,521.0,"538,0,1539,0,1"
522,522,I don't know,522.0,"540,1,1"
523,523,Investigate the scene of him.,523.0,"541,1,1"
524,524,I don't know.,524.0,"542,1,1"
525,525,To investigate and study matters of inquiry,525.0,"543,1,1"
526,526,to study the phenomenon,526.0,"544,1,1"
527,527,I don't know.,527.0,"545,1,1"
528,528,You need to investigate and observe the unexplained phenomenon and know about it,528.0,"546,1,1"
529,529,Let's begin our quest,529.0,"547,1,1"
530,530,I'm sorry. I don't knowcrying,530.0,"548,0,1"
531,531,I don't know.,531.0,"549,1,1"
532,532,The answer to the question must be considered.,532.0,"550,1,1"
533,533,Survey,533.0,"551,1,1"
534,534,I don't understand.,534.0,"552,1,1"
535,535,What did you do?,535.0,"553,0,1"
536,536,We will find evidence and judge facts in an inductive way by setting inquiry problems and establishing hypotheses.,536.0,"554,0,1"
537,537,"After establishing a hypothesis, it is confirmed how consistent it is with the hypothesis through various experiments or studies according to the hypothesis.",537.0,"555,1,1"
538,538,A specific hypothesis for the inquiry problem is established.,538.0,"556,0,1"
539,539,Let's hypothesize that the problem will be solved in some way.,539.0,"557,1,0"
540,540,"Establish a hypothesis after establishing a question of inquiry. And experiment with that hypothesis. If the experiment was successful, the hypothesis was generalized through several more experiments, and if the experiment failed, a new hypothesis was made through feedback on where the problem was.",540.0,"558,0,0"
541,541,"Look for similar phenomena, plan an experiment on unexplained phenomena, and then if you find out about them through experiments, you will disconnect the results and write a report",541.0,"559,0,0"
542,542,"Make a hypothesis about the phenomenon you think. And experiment and explore according to the hypothesis. If the hypothesis is proved to be wrong in the process of exploration, it is explored again by establishing a correct hypothesis.",542.0,"560,0,1"
543,543,"Data Research - Establishing a Method of Exploration - Exploration, Experiment - Drawing Conclusions - Generalization",543.0,"561,1,0"
544,544,Think about how this happens and plan how to analyze and explore it,544.0,"562,1,1"
545,545,"After determining the inquiry problem, investigate related phenomena and investigate similar phenomena. Based on the research, find out if there are any principles or knowledge that can be applied to the inquiry questions you have set. After analyzing the inquiry problem and clearly analyzing what you know and don't know, research is conducted to know and find out what you don't know. Guess what you don't know through the commonalities or characteristics that can be found in what you know. Based on the results of the study, various hypotheses are established and proved.",545.0,"563,0,1"
546,546,"As a deductive inquiry method, a hypothesis is first established, and the hypothesis is tested to determine whether the hypothesis is true, and as an inductive inquiry method, various phenomena are first investigated and data are collected to draw common conclusions from the data.",546.0,"564,0,0"
547,547,I will think about the phenomenon first and then make a predictable hypothesis.,547.0,"565,0,1"
548,548,"First, when the inquiry problem is determined, a solution to the inquiry problem or a hypothesis about the cause of it is established, and the problem is expected and predicted. And we start working on the problem in earnest. First, the cause or background of the problem is investigated according to the scientific phenomenon, various information is obtained, and various information is organized into several branches to draw conclusions.",548.0,"566,0,0"
549,549,Make a hypothesis and conduct an experiment to prove it. Analyze the experimental results and repeat the experiment until the results match the hypothesis.,549.0,"567,1,0"
550,550,"When the inquiry problem is determined, a hypothesis that seems to be able to explain the inquiry topic is established, and an experiment is conducted to prove the hypothesis.",550.0,"568,0,0569,0,0"
551,551,"To solve the inquiry problem, we first hypothesize. After establishing a hypothesis, data is collected accordingly, experimented accordingly, and evidence is collected to prove one's hypothesis. And if the conclusion and your hypothesis match, your hypothesis becomes true, and if it does not match the hypothesis, you must repeat the previous part again.",551.0,"570,0,1"
552,552,Establish a hypothesis for the set inquiry problem.,552.0,"571,1,0"
553,553,"By studying previous studies and basic knowledge related to unexplained phenomena, background knowledge on unexplained phenomena is activated. In addition, experiments are conducted in relation to unexplained phenomena and previous studies or in relation to the regularity of the phenomena, accumulated data, and then investigated based on the data.",553.0,"572,0,0"
554,554,"If a scientist finds a phenomenon, he or she should hypothesize that it occurs. In order to understand the reason for the phenomenon, experiments and observations must be conducted, because the purpose of such a process is the right or wrong of the hypothesis. If an experiment is conducted without a hypothesis, a proper experiment cannot be selected, and it is difficult to draw a conclusion.",554.0,"573,0,1"
555,555,"After determining the inquiry problem, hypothesize the problem, control various variables, design experiments, and conduct experiments. Various results obtained through experiments are synthesized and analyzed to draw common and generalizable conclusions.",555.0,"574,0,1"
556,556,"First, you establish a hypothesis for the phenomenon, design an experiment based on the hypothesis, derive statistical experimental results through many experiments under various conditions, and compare it with your hypothesis to determine whether your hypothesis is correct or wrong.",556.0,"575,0,0"
557,557,"After the scientist has decided on the question of inquiry, he will hypothesize it. After establishing a hypothesis, experiment and observe based on it and measure the data.",557.0,"576,0,1"
558,558,"After deciding on the question of inquiry, I will first accumulate background knowledge through various materials related to the topic. After accumulating background knowledge, I will make an inquiry plan related to the topic. Such an inquiry plan may include an experimental plan or an observation plan. After conducting an inquiry based on this inquiry plan, the inquiry problem can be solved by deriving the results.",558.0,"577,1,0"
559,559,"After seeing the phenomenon, investigate the environment and time in which the phenomenon occurred. And observe the phenomenon and collect data. Based on the data, the phenomenon is viewed again and the causal relationship is organized. It then presents opinions on unexplained phenomena and supplements them and draws conclusions by discussing them with other scientists.",559.0,"578,0,1"
560,560,"""I expect that.",560.0,"579,0,1"
561,561,"make a hypothesis about the question of inquiry""",561.0,"580,0,0"
562,562,"After discovering a problem, we inductively grasp and explore new knowledge through various knowledge",562.0,"581,0,1"
563,563,set a problem and hypothesize about the problem,563.0,"582,1,0"
564,564,inductive,564.0,"583,1,0"
565,565,.,565.0,"584,1,0"
566,566,Research activities such as experiments are conducted to investigate similar cases or to verify that the answer is correct by arbitrarily setting the answer.,566.0,"585,0,1"
567,567,Hypothesis setting,567.0,"586,1,0"
568,568,Phenomenon discovery-Hypothesis setting-Experiment setting-Experiment initiation-Result analysis-Result derivation...,568.0,"587,1,1"
569,569,Experiment,569.0,"588,1,1"
570,570,You'll be amazed,570.0,"589,1,0"
571,571,Deductive Exploration Method,571.0,"590,0,0"
572,572,I don't know,572.0,"591,1,0"
573,573,Make a hypothesis.,573.0,"592,0,1"
574,574,I'm going to solve the problem,574.0,"593,0,1"
575,575,I don't know.,575.0,"594,0,0"
576,576,Data research,576.0,"595,1,0"
577,577,Establishing a hypothesis,577.0,"596,0,1"
578,578,I don't know.,578.0,"597,0,0"
579,579,Observe and record,579.0,"598,0,1599,0,0"
580,580,Investigate and present it in theory,580.0,"600,0,0"
581,581,I don't know.,581.0,"601,0,1"
582,582,collect data,582.0,"602,0,1"
583,583,Hypothesis setting,583.0,"603,0,1"
584,584,Experiment.,584.0,"604,0,1"
585,585,deductive inquiry process,585.0,"605,1,1"
586,586,Find another example.,586.0,"606,0,1"
587,587,I'm experiment,587.0,"607,0,1"
588,588,hypothesis setting,588.0,"608,0,1"
589,589,"Recheck whether there is any knowledge missed about the phenomenon, and if there is no knowledge, establish a hypothesis with the knowledge you know as much as possible.",589.0,"609,0,0"
590,590,Make a hypothesis.,590.0,"610,0,1"
591,591,Experiment,591.0,"611,0,1"
592,592,draw a conclusion,592.0,"612,1,1"
593,593,"You start to hypothesize why the object to be explored is so and prove the hypothesis.After establishing a hypothesis, conduct an experiment accordingly",593.0,"613,1,0"
594,594,I set up a hypothesis,594.0,"614,0,1"
595,595,`,595.0,"615,1,1"
596,596,Hypothesis setting,596.0,"616,1,1"
597,597,a scientific process of inquiry,597.0,"617,1,1"
598,598,an experimental plan,598.0,"618,1,0"
599,599,Planning,599.0,"619,0,0"
600,600,a hypothetical,600.0,"620,0,0"
601,601,Experiment,601.0,"621,0,0"
602,602,Mora,602.0,"622,0,1"
603,603,Experiment,603.0,"623,1,0"
604,604,ㅗ,604.0,"624,0,1"
605,605,Well.,605.0,"625,1,0"
606,606,deductive inquiry,606.0,"626,0,0"
607,607,Findings,607.0,"627,0,1"
608,608,design an experiment,608.0,"628,0,1629,0,0"
609,609,deductive inquiry,609.0,"630,0,1"
610,610,Hypothesis Experiment Draw conclusions,610.0,"631,1,1"
611,611,We experiment with the phenomenon under various conditions.,611.0,"632,1,1"
612,612,"""",612.0,"633,1,0"
613,613,deductive inquiry,613.0,"634,0,1"
614,614,Problem recognition -> observe many phenomena -> derive general principles,614.0,"635,1,1"
615,615,I don't know,615.0,"636,0,0"
616,616,Find the cause and effect of the phenomenon and experiment on a small scale or partial basis,616.0,"637,0,1"
617,617,Consider how to observe.,617.0,"638,0,1"
618,618,"Establish a hypothesis and conduct an experiment to verify that your hypothesis is correct, and if not, modify the hypothesis.",618.0,"639,1,1"
619,619,a hypothesis-up,619.0,"640,0,0"
620,620,It is a deductive method of inquiry.,620.0,"641,0,1"
621,621,hypothetical deductive,621.0,"642,0,1"
622,622,Make a hypothesis and conduct an experiment to explore.,622.0,"643,1,1"
623,623,hypothesis deductive inquiry,623.0,"644,1,0"
624,624,establish a hypothesis,624.0,"645,0,0"
625,625,Writing a thesis,625.0,"646,1,0"
626,626,I'm not sure.,626.0,"647,1,1"
627,627,Problem recognition,627.0,"648,0,1"
628,628,Collect data.,628.0,"649,0,1"
629,629,Make a hypothesis.,629.0,"650,0,0"
630,630,Continue to observe and find the laws or rules in them.,630.0,"651,1,1"
631,631,Hypothesis setting,631.0,"652,0,0"
632,632,Let's see. Sexy,632.0,"653,0,1"
633,633,Experiment.,633.0,"654,0,1"
634,634,Try to explore.(Observation),634.0,"655,0,1"
635,635,I'm finding out,635.0,"656,0,0"
636,636,I look for materials related to the subject.,636.0,"657,0,1"
637,637,Setting up hypotheses Planning experiments Demonstrating phenomena based on data from experiments,637.0,"658,0,1659,0,0"
638,638,Set Hypothesis > Explore > Check Hypothesis > Decide,638.0,"660,0,1"
639,639,establish a hypothesis,639.0,"661,0,1"
640,640,Planning an inquiry,640.0,"662,1,1"
641,641,Establish a hypothesis based on the experimental results predicted by yourself.,641.0,"663,1,1"
642,642,I think I'll figure it out any way.,642.0,"664,1,1"
643,643,Let's look into the phenomenon in more detail.,643.0,"665,0,1"
644,644,Let's explore first.,644.0,"666,1,1"
645,645,"Make a hypothesis about the cause of the phenomenon. Experimental groups and control groups are set according to the hypothesis, experiments are designed, and experiments are conducted. Check if the hypothesis is correct based on the experimental results.",645.0,"667,0,0"
646,646,I look it up,646.0,"668,0,0"
647,647,"Deciding on topics, exploring, organizing research",647.0,"669,0,0"
648,648,gather data from observations and measurements,648.0,"670,1,0"
649,649,Hypothesis Setting-Experimental Design-Experimental Conduct-Conclusion-Generalization,649.0,"671,0,0"
650,650,A hypothesis is established by guessing the cause of the phenomenon through the situation in which the phenomenon occurred.,650.0,"672,0,0"
651,651,Let people know,651.0,"673,1,1"
652,652,Establish a hypothesis.,652.0,"674,0,0"
653,653,Hypothesis Setting-Experimental Design-Experimental Results-Generalization,653.0,"675,0,1"
654,654,Assignment research,654.0,"676,0,1"
655,655,Collect data observed and measured while exploring.,655.0,"677,1,1"
656,656,"After that, I will find the content, record it as it is, and let people know.",656.0,"678,0,0"
657,657,Hypothesis Setting-Experimental Design-Experimental Conduct-Feedback-Conclusion-Generalization,657.0,"679,0,0"
658,658,informing people about the situation,658.0,"680,1,0"
659,659,"Get your things ready, start your quest according to the process of inquiry, and organize the process of inquiry",659.0,"681,1,0"
660,660,"After deciding on the question of inquiry, we do the process of inquiry",660.0,"682,0,1"
661,661,"""Exploration Topic""",661.0,"683,0,1"
662,662,Can't people fly like birds?,662.0,"684,0,1"
663,663,1. Compare the body of a bird with the body of a person.,663.0,"685,0,1"
664,664,2. Think about why birds can fly.,664.0,"686,1,0"
665,665,"3. After installing the safety device, try following the bird's flight.""",665.0,"687,1,1"
666,666,I don't know.,666.0,"688,1,1689,1,0"
667,667,Explore unexplained phenomena.,667.0,"690,0,1"
668,668,"Find data about the problem or find knowledge that would be good to know more about it, or summarize the reasons for the problem",668.0,"691,0,1"
669,669,It is taken to the Blue House to seek advice from Princess Park Geun Hye.,669.0,"692,0,1"
670,670,"You look for data on the problem, you come up with a plan to explore, and you follow the plan",670.0,"693,0,1"
671,671,To determine the necessary preparations for exploration,671.0,"694,0,1"
672,672,Make a hypothesis and experiment And make sure it matches your hypothesis and draw conclusions,672.0,"695,0,1"
673,673,Make a hypothesis and do an experiment,673.0,"696,0,1"
674,674,"Establish a hypothesis, conduct an experiment, and verify that it fits the initial hypothesis",674.0,"697,0,0"
675,675,Let's do research,675.0,"698,0,1"
676,676,"When you start an exploration, you make a hypothesis to show the phenomenon you want to seek, and you do an exploration or experiment to find out why the phenomenon occurs, draw a conclusion if it is right, or if the experiment is wrong, you re-explore the hypothesis.",676.0,"699,0,1"
677,677,Ah.,677.0,"700,0,0"
678,678,I don't like it.,678.0,"701,0,0"
679,679,Iron Man,679.0,"702,0,0"
680,680,Hypothesis setting,680.0,"703,1,1"
681,681,"Owl, owl, owl",681.0,"704,0,1"
682,682,Don't know,682.0,"705,0,1"
683,683,Exploring the Hypothesis Setting for Observation of Phenomenon Problems Drawing Conclusions,683.0,"706,0,1"
684,684,I see,684.0,"707,0,1"
685,685,deductive inquiry,685.0,"708,0,1"
686,686,Exploration design,686.0,"709,0,1"
687,687,Exploration Design Problem Recognition Hypothesis Setting Exploration Design Exploration Performance Conclusion Drawing Conclusion Analysis Generalization,687.0,"710,0,1"
688,688,Chinese zodiac sign,688.0,"711,0,0"
689,689,It's far away,689.0,"712,1,1"
690,690,hypothesis setting,690.0,"713,0,1"
691,691,establish a hypothesis,691.0,"714,1,0"
692,692,Exploration Process DesignLet's look at the object of inquiry,692.0,"715,0,0"
693,693,"Now that we've decided on a question of inquiry, we should start exploring.",693.0,"716,0,0"
694,694,Prepare for exploration,694.0,"717,1,0"
695,695,Hypothesis setting,695.0,"718,1,0719,0,1"
696,696,We make several hypotheses and experiment on them,696.0,"720,0,1"
697,697,Symptom Observation > Problem Recognition > Hypothesis Settings > Exploration Design > Exploration Performance > Conclusion Drawing > Generalization,697.0,"721,0,1"
698,698,establish a hypothesis,698.0,"722,0,1"
699,699,I'm going to do an inquiry and design,699.0,"723,0,1"
700,700,various experiments,700.0,"724,1,0"
701,701,Exploring,701.0,"725,1,0"
702,702,I will write an inquiry report.,702.0,"726,1,0"
703,703,Study why that happens.,703.0,"727,0,0"
704,704,Wouldn't it be the beginning of an inquiry after seeing the question of inquiry?,704.0,"728,0,0"
705,705,It's an investigation,705.0,"729,0,0"
706,706,Organize and write it down,706.0,"730,1,0"
707,707,Exploration plan → Exploration start → Exploration memo → Exploration organization → Exploration presentation,707.0,"731,0,0"
708,708,Experiment,708.0,"732,0,0"
709,709,Find out why that is happening.,709.0,"733,0,1"
710,710,Find out why that is happening.,710.0,"734,0,1"
711,711,See why that's happening,711.0,"735,1,0"
712,712,Hypothesis Setting - The process of establishing a hypothesis in anticipation of the results of the inquiry.,712.0,"736,0,0"
713,713,Collect data that are observed and measured during experiments.,713.0,"737,1,0"
714,714,We study why that happens,714.0,"738,0,1"
715,715,I will investigate and observe the phenomenon as much as I can,715.0,"739,1,0"
716,716,"After collecting the data, analyze and interpret it.",716.0,"740,1,1"
717,717,"Data are collected, analyzed, and interpreted.",717.0,"741,0,1"
718,718,Let's start exploring.,718.0,"742,0,0"
719,719,explore to solve the inexplicable phenomenon,719.0,"743,0,0"
720,720,discover its properties and provide supporting be able to make money,720.0,"744,0,0"
721,721,"Hypothesis, exploration design, investigation performance",721.0,"745,1,1"
722,722,Observe phenomena that cannot be explained and collect measured data.,722.0,"746,1,0"
723,723,Making a theory,723.0,"747,0,0"
724,724,"Once you have decided on a problem, you should solve the problem to solve it.",724.0,"748,0,0749,0,1"
725,725,discover its properties and provide supporting Because I can make money.,725.0,"750,0,0"
726,726,Making a theory,726.0,"751,0,0"
727,727,Making a theory,727.0,"752,1,1"
728,728,Let's solve the question of inquiry,728.0,"753,0,0"
729,729,"After collecting data, experiment and explore.",729.0,"754,1,0"
730,730,Design an experiment and try it.,730.0,"755,1,0"
731,731,"To solve the question of inquiry, we begin to explore",731.0,"756,1,1"
732,732,"Recognition of problems, design of observation methods and procedures, performance of observation, interpretation of observation results, and conclusion drawing",732.0,"757,1,1"
733,733,hypothesis setting,733.0,"758,1,0"
734,734,"Establish a hypothesis, solve it, and produce results",734.0,"759,1,0"
735,735,"Establish a hypothesis, solve it, and produce results",735.0,"760,1,1"
736,736,I don't know.,736.0,"761,0,1"
737,737,E,737.0,"762,1,0"
738,738,I don't know,738.0,"763,1,0"
739,739,hypothesis setting,739.0,"764,1,0"
740,740,Problem recognition,740.0,"765,1,0"
741,741,I don't know.,741.0,"766,1,0"
742,742,"By mobilizing all the knowledge you know, you explore based on the knowledge that connects and connects to the inquiry topic as much as possible.",742.0,"767,1,0"
743,743,"By mobilizing all the knowledge you know, you explore based on the knowledge that connects and connects to the inquiry topic as much as possible.",743.0,"768,1,0"
744,744,Establish a hypothesis.,744.0,"769,1,0"
745,745,planning,745.0,"770,1,0"
746,746,Hypothesis setting,746.0,"771,1,1"
747,747,"""Raising the Question""",747.0,"772,1,0"
748,748,Setting up the falsetto,748.0,"773,1,0"
749,749,Experiment,749.0,"774,1,0"
750,750,"Deriving results""",750.0,"775,1,1"
751,751,Make a hypothesis.,751.0,"776,1,0"
752,752,Hypothesis Setting - Control Variable - Operation Variable,752.0,"777,1,1"
753,753,make an inquiry and observation,753.0,"778,1,0779,0,0"
754,754,I don't know,754.0,"780,0,0"
755,755,I don't know.,755.0,"781,1,0"
756,756,I don't know.,756.0,"782,0,1"
757,757,Hypothesis-setting experiment Draw conclusions,757.0,"783,0,1"
758,758,home,758.0,"784,0,1"
759,759,Aah…...,759.0,"785,0,0"
760,760,I don't know,760.0,"786,0,1"
761,761,anticipation,761.0,"787,1,0"
762,762,Troubleshooting,762.0,"788,1,0"
763,763,an official photograph,763.0,"789,1,1"
764,764,home search observation results,764.0,"790,1,0"
765,765,I don't know.,765.0,"791,1,0"
766,766,make a hypothesis,766.0,"792,0,0"
767,767,hypothesis setting,767.0,"793,1,0"
768,768,"After observation, a hypothesis is established and conclusions are drawn through experimental groups and controls or examples thereof.",768.0,"794,1,0"
769,769,"Establish a hypothesis, design and proceed with the experiment, and confirm whether the hypothesis is correct through conclusion drawing and interpretation.",769.0,"795,1,1"
770,770,Hypothesis setting,770.0,"796,0,0"
771,771,Make a hypothesis.,771.0,"797,1,0"
772,772,We hypothesize and experiment,772.0,"798,1,1"
773,773,Observe while conducting an experiment.,773.0,"799,1,1"
774,774,to make a hypothesis by speculating the cause of the phenomenon,774.0,"800,1,0"
775,775,Establish a hypothesis.,775.0,"801,0,1"
776,776,Hypothesis setting,776.0,"802,0,0"
777,777,Hypothesis setting,777.0,"803,1,1"
778,778,Establish a hypothesis.,778.0,"804,1,1"
779,779,Hypothesis setting,779.0,"805,0,1"
780,780,Establish a hypothesis.,780.0,"806,0,1"
781,781,Hypothesis setting,781.0,"807,1,0"
782,782,Hypothesis setting,782.0,"808,0,1809,0,1"
783,783,Establish a hypothesis for the question of inquiry.,783.0,"810,1,1"
784,784,Hypothesis setting,784.0,"811,1,1"
785,785,Create a new theory.,785.0,"812,1,1"
786,786,Hypothesis setting,786.0,"813,1,1"
787,787,Establish a hypothesis and plan a specific experiments,787.0,"814,1,1"
788,788,Establish a hypothesis.,788.0,"815,1,0"
789,789,Exploring Hypothesis Setting,789.0,"816,1,1"
790,790,Hypothesis setting,790.0,"817,0,0"
791,791,and so onI don't understand.,791.0,"818,1,1"
792,792,Establish and solve hypotheses.,792.0,"819,1,1"
793,793,Experiment,793.0,"820,0,0"
794,794,I'm going to do an experiment,794.0,"821,0,0"
795,795,Topic Selection > Research > Results,795.0,"822,1,1"
796,796,Planned,796.0,"823,1,0"
797,797,I'm going to do an experiment,797.0,"824,0,1"
798,798,hypothesis setting,798.0,"825,0,1"
799,799,hypothesis setting,799.0,"826,0,1"
800,800,"This is because after establishing a hypothesis, it is confirmed that the hypothesis is correct.",800.0,"827,0,1"
801,801,Hypothesis setting,801.0,"828,0,0"
802,802,Establish a hypothesis.,802.0,"829,0,1"
803,803,I don't know.,803.0,"830,0,0"
804,804,Make a hypothesis.,804.0,"831,0,0"
805,805,Exploring even a little related thesis Finding a thesis similar to one's hypothesis,805.0,"832,0,0"
806,806,"After establishing a hypothesis, prove it with an experiment or theory, and draw conclusions. At this time, if the hypothesis is proved to be incorrect, set the hypothesis again",806.0,"833,0,1"
807,807,H and O,807.0,"834,0,1"
808,808,Hypothesis setting,808.0,"835,0,0"
809,809,Let's do an experiment. prove a hypothesis,809.0,"836,0,0"
810,810,Hypothesis Setting->Experiment,810.0,"837,0,0"
811,811,It's a hypothesis.,811.0,"838,0,0839,0,1"
812,812,"observe, experiment, and do many things",812.0,"840,0,1"
813,813,1,813.0,"841,0,1"
814,814,Establish a hypothesis for the question of inquiry.,814.0,"842,0,0"
815,815,"After recognizing the problem, we establish a hypothesis and design the exploration. It then conducts exploration, interprets the data, and draws conclusions.",815.0,"843,1,0"
816,816,a scientific exploration process,816.0,"844,0,0"
817,817,Design an experiment and run it several times to generalize the relational expression or derive general principles from it.,817.0,"845,1,0"
818,818,"Establish a hypothesis that is the answer that the scientist thought about how phenomena that the scientist himself cannot explain progress and end. It may be less, but it is omitted because there is not enough time.",818.0,"846,0,1"
819,819,Knowledge related to the inquiry problem is obtained by looking at information related to the inquiry problem or research results related to the inquiry problem.,819.0,"847,0,0"
820,820,"Government, record, research, ask, ask.",820.0,"848,0,0"
821,821,"Problem recognition, hypothesis setting, experimental design, experimental progress, hypothesis verification, experimental report and conclusion drawing.",821.0,"849,0,1"
822,822,"Scientists who discover unexplained phenomena set the unexplained phenomena as hypotheses after deciding on the inquiry problem. After the hypothesis is established, the experiment is designed, and the experimental results are explored in a way that results from the experiment. However, if the experimental results come in a different direction from the hypothesis, the experimental results can be produced while reducing the error occurring in the experimental process again.",822.0,"850,0,0"
823,823,"After the scientist who discovered the unexplained phenomenon determines the inquiry problem, the next inquiry process is a step of hypothesis setting to predict the results to be derived when the inquiry process is conducted.",823.0,"851,1,1"
824,824,"We establish hypotheses for the inquiry problem of unexplained phenomena, conduct experiments, and organize results.",824.0,"852,1,1"
825,825,"Scientists should discover phenomena that cannot be explained, determine inquiry problems, establish hypotheses about the inquiry problems, and design the process of inquiry experiments.",825.0,"853,0,1"
826,826,"It will be to think about whether it is a paradigm recognized in the current normal science. Science aims at the ability to continue learning paradigms and solve problems within the framework. However, the number of exceptions occurs in the process, which leads to a crisis in normal science. In the process, normal science recognizes this as the number of exceptions, but if the number of exceptions increases, it will bring about a crisis in normal science and shake the paradigm, and in the process, a new paradigm will emerge",826.0,"854,1,1"
827,827,"Set the question of inquiry, then set up a hypothesis, and if there is a prior study, look for it, experiment, and collect the measured data.",827.0,"855,0,0"
828,828,Find out the phenomena that can be explained.,828.0,"856,0,1"
829,829,"We first establish a hypothesis for the phenomenon, and then plan and run an experiment on a phenomenon that can be verified and cannot be explained. After the experiment, the experimental results are checked, and conclusions are drawn based on the experimental results to explain the phenomenon that cannot be explained.",829.0,"857,0,0"
830,830,"1.Determine the problem you want to explore (create the problem). 2. Establish a hypothesis about what you want to explore (Hypothesis Setting). 3. Design an inquiry method. (Explore design) 4. Execute an inquiry. (Explore execution) 5. Organize the results you have explored and compare them with your own designed hypothesis. If the results and hypotheses are different, go back to the hypothesis setting step and experiment.(Conclusion drawing) 6. Make a report and share it with people.(Announcement)",830.0,"858,0,0"
831,831,I'm sorry.,831.0,"859,0,1"
832,832,...,832.0,"860,1,0"
833,833,Make a hypothesis and explore it until you can explain it,833.0,"861,0,0"
834,834,hypothesizing,834.0,"862,0,1"
835,835,Predicting Results,835.0,"863,0,0"
836,836,Variable control experiment,836.0,"864,1,0"
837,837,Predicting,837.0,"865,1,0"
838,838,Predict the results of the inquiry.,838.0,"866,0,0"
839,839,I don't know,839.0,"867,0,0"
840,840,have variable control,840.0,"868,0,0869,1,0"
841,841,I don't know,841.0,"870,1,0"
842,842,M and D,842.0,"871,0,0"
843,843,I don't know.,843.0,"872,0,1"
844,844,I'm experiment,844.0,"873,0,0"
845,845,I'm going to do that question and do some research,845.0,"874,1,1"
846,846,I search for it.,846.0,"875,0,1"
847,847,I don't know.,847.0,"876,0,1"
848,848,I don't know,848.0,"877,0,1"
849,849,I don't know.,849.0,"878,0,1"
850,850,We study how it happens,850.0,"879,0,1"
851,851,variable control,851.0,"880,0,1"
852,852,I'm investigating,852.0,"881,0,0"
853,853,I don't know,853.0,"882,0,1"
854,854,hypothesis setting,854.0,"883,1,1"
855,855,I don't know,855.0,"884,1,1"
856,856,Hypothesis setting,856.0,"885,0,1"
857,857,Experiment,857.0,"886,0,1"
858,858,Preparation of supplies,858.0,"887,0,1"
859,859,?,859.0,"888,1,0"
860,860,I make observations while experimenting,860.0,"889,1,1"
861,861,"If you can't explain, isn't it right not to?",861.0,"890,0,1"
862,862,Hypothesis Setting ->: Experiment -> Proof -> Data Interpretation -> Conclusion,862.0,"891,0,1"
863,863,Hypothesis Setting - Make a hypothesis and predict what results will come out.,863.0,"892,0,1"
864,864,Make an inquiry plan and find data,864.0,"893,0,1"
865,865,Hypothesis Setting->Experiment->Proof->Data Interpretation->Conclusion,865.0,"894,0,1"
866,866,submitting one's thoughts,866.0,"895,0,1"
867,867,Experiment.,867.0,"896,0,1"
868,868,Planning,868.0,"897,0,1"
869,869,I don't know.,869.0,"898,0,1899,0,1"
870,870,variable preservation,870.0,"900,0,0"
871,871,"Hypothesis building,",871.0,"901,0,0"
872,872,....................,872.0,"902,0,0"
873,873,Experiment,873.0,"903,0,0"
874,874,See if the phenomenon has ever happened,874.0,"904,0,1"
875,875,establish a hypothesis,875.0,"905,0,1"
876,876,Establishing a hypothesis,876.0,"906,0,0"
877,877,Find out the information about it.,877.0,"907,0,1"
878,878,I don't know.,878.0,"908,0,0"
879,879,I don't know.,879.0,"909,0,1"
880,880,Establishing a hypothesis,880.0,"910,0,0"
881,881,various hypotheses,881.0,"911,0,1"
882,882,I don't know.,882.0,"912,0,1"
883,883,Make sure it was discovered a long time ago,883.0,"913,0,0"
884,884,I don't understand.,884.0,"914,0,0"
885,885,"After hypothesis setting, investigation design, investigation, material analysis, and conclusion drawing",885.0,"915,0,1"
886,886,Collect data from observations and measurements during the experiment,886.0,"916,0,1"
