,Unnamed: 0,2) What would be good for a bakery if they compete?,Unnamed: 0,", q52_power generation, q52_power generation1"
480,480,You can see the lack of self-confectionery in the bakery.,480.0,"496,1,"
481,481,to be able to earn income,481.0,"497,1,"
482,482,I'm winning,482.0,"498,0,"
483,483,The bakery can develop further.,483.0,"499,0,"
484,484,You can compete and develop something better than what you originally sold.,484.0,"500,0,"
485,485,I can make good bread.,485.0,"501,1,"
486,486,We can try to be good to each other and make good water bread.,486.0,"502,0,"
487,487,You can develop your bakery further by looking at your competitor's bakery.,487.0,"503,0,"
488,488,Research and try to sell good things.,488.0,"504,0,"
489,489,"To compete, bakeries develop new technologies.",489.0,"505,0,"
490,490,They try to develop their own skills because of competition.,490.0,"506,1,"
491,491,Develop technology.,491.0,"507,0,"
492,492,Bakery stores can develop their abilities while competing.,492.0,"508,1,509,0,"
493,493,Increase the competitiveness of products.,493.0,"510,1,"
494,494,It helps economic development.You can demonstrate your abilities and talents better.,494.0,"511,0,"
495,495,It's because customers might come better,495.0,"512,0,"
496,496,improve the quality of the goods,496.0,"513,1,"
497,497,The product gets better.,497.0,"514,0,"
498,498,Many consumers come to the bakery.,498.0,"515,0,"
499,499,It's selling better,499.0,"516,0,"
500,500,"People like more delicious bread, so it will be sold a lot.",500.0,"517,0,"
501,501,I can develop better bread,501.0,"518,0,"
502,502,I don't know,502.0,"519,1,"
503,503,"""You can eat cheap and delicious snacks.""",503.0,"520,1,"
504,504,"""",504.0,"521,1,"
505,505,I don't know...,505.0,"522,0,"
506,506,We can benefit from each other,506.0,"523,0,"
507,507,We can compete and make various kinds of bread to make and sell delicious bread,507.0,"524,0,"
508,508,You can sell a lot of bread,508.0,"525,1,"
509,509,Consumers Are Happy,509.0,"526,0,"
510,510,,510.0,"527,0,"
511,511,"""",511.0,"528,0,"
512,512,The quality of goods or food sold to each other's bakery is improved to sell better.,512.0,"529,0,"
513,513,Because I can make more money.,513.0,"530,1,"
514,514,The product gets better.,514.0,"531,1,"
515,515,I don't know,515.0,"532,1,"
516,516,Many people come to nice places,516.0,"533,1,"
517,517,"If you think about better thoughts and products and make good products, your business is good and the more you think about it, the more good products you produce.",517.0,"534,1,"
518,518,Edible.,518.0,"535,1,"
519,519,I'm going to give you a piggyback ride,519.0,"536,1,"
520,520,More consumers are likely to come to the bakery to buy bread by promoting it.,520.0,"537,1,"
521,521,We can make good money because we have a lot of consumers.,521.0,"538,1,539,1,"
522,522,"""",522.0,"540,1,"
523,523,"If one bakery wins the competition, the bakery can make a lot of money.",523.0,"541,1,"
524,524,It's,524.0,"542,1,"
525,525,You can get to know other bakeries better and attract customers by creating new products.,525.0,"543,1,"
526,526,to be able to develop,526.0,"544,1,"
527,527,"If the product is cheap, the profits of the bakery can be sold a lot because consumers look for places where the product is cheap.",527.0,"545,1,"
528,528,You can make bread in a better environment.,528.0,"546,0,"
529,529,I can sell more,529.0,"547,1,"
530,530,I'm going to do something better in competition,530.0,"548,1,"
531,531,More consumers are likely to come.,531.0,"549,1,"
532,532,More consumers are coming,532.0,"550,1,"
533,533,It sells more.,533.0,"551,1,"
534,534,I don't know.,534.0,"552,1,"
535,535,"When competition occurs, bakeries can make a lot of effort and produce good results, better than their competitors. In addition, through competition, various developments such as technology development can occur, and problems that you have usually can be improved.",535.0,"553,1,"
536,536,We can provide better quality goods and services to attract more consumers.,536.0,"554,1,"
537,537,You can raise the level of technology and figure out what customers like and what services they like.,537.0,"555,0,"
538,538,"If there is only one bakery in one area, the locals gather at the bakery. Eventually, the bakery becomes a monopoly and there is no need to develop better bread or provide better service. However, in order to attract consumers, if there are many bakeries, many bakeries will try to provide better quality bread and services than other bakeries.  In the process, technological development occurs.",538.0,"556,0,"
539,539,"When competition is made, nearby bakeries try to provide good quality products and services to consumers, and many consumers are attracted to the neighborhood. Therefore, a concept similar to the bakery alley as a whole is formed, so the bakery can increase sales.",539.0,"557,0,"
540,540,Continuous research will enable us to develop better quality products and find out which lines are the most reasonable. Having technology that can develop better quality provides an opportunity to obtain patent rights and engage in production activities in a new direction.,540.0,"558,0,"
541,541,"Bakery stores try to produce quality goods and services to attract more consumers than their competitors. Accordingly, the bakery can make better products, so it can develop itself and increase the value of the bakery",541.0,"559,0,"
542,542,Bakery stores can develop production technology by continuously improving the quality of goods.,542.0,"560,1,"
543,543,"Because bakery companies compete with each other to produce better products and services, the bakery's technology level and reputation itself can develop and increase than before competition.",543.0,"561,1,"
544,544,"In order to survive the competition, we can analyze more from the initial idea and improve the quality of the product by making it more affordable",544.0,"562,1,"
545,545,"Through competition, they try to further develop their bakery, which is an opportunity for the bakery to further develop. When competition occurs, they will try to improve the quality of their products or services to attract consumers, which leads to the development of companies. Therefore, when competition occurs, it is an opportunity for bakeries to develop each other.",545.0,"563,0,"
546,546,"Bakery stores can develop the quality of their products, so they can make their customers' image of the bakery better.",546.0,"564,1,"
547,547,"If there is no competitor, it is highly likely that there will be no further development in the current state because it will be sold according to the standards set by it. However, if there is a competitor, more progress will be made in terms of technology development and service provision because they will strive to provide better products and services than the other.",547.0,"565,1,"
548,548,"Before competition, they put their interests first, so if the quality of the product is not developed and the product remains the same, the company can develop itself more and more, and one product is less competitive, so the company can develop better technology.",548.0,"566,1,"
549,549,"Competition creates an opportunity to develop bakeries as various attempts are made to increase competitiveness, such as developing know-how to improve product quality or changing production lines to lower unit prices.",549.0,"567,0,"
550,550,"In order for bakeries to lower prices to attract more consumers, bakeries should study how to make the same product at a lower cost. In that case, the bakery's production cost can be reduced, resulting in an increase in profits. In addition, in an effort to attract consumers, more consumers can come and the sales of bakeries can increase.",550.0,"568,0,569,0,"
551,551,"If the bakeries compete, they can make a bigger profit than they didn't",551.0,"570,1,"
552,552,"When competition occurs, bakeries can make a lot of effort and produce good results, better than their competitors. In addition, through competition, various developments such as technology development can occur, and problems that you have usually can be improved.",552.0,"571,1,"
553,553,"Competition can improve baking skills because bakeries have to produce good quality products on a limited budget. And, in the long run, improved technology can now be a competitive advantage for oligopolies, giving consumers a good idea and a big advantage.",553.0,"572,1,"
554,554,"Without competition, bakeries will have less incentive to improve services and products. As a result, bakeries will not be able to develop themselves. Competition will serve as a motivation for bakeries to improve their products and services. Therefore, competition has a good effect on bakery in that it increases the level of bakery.",554.0,"573,1,"
555,555,"In the process of competing for consumer choice, the quality of the product increases, which can improve the image of the company. In addition, it can be an opportunity to produce high-quality services to differentiate itself from other companies in other parts of the product.",555.0,"574,0,"
556,556,"When there is one more bakery than when there was only one bakery, I will try to differentiate my products and provide higher quality services. Through this process, sales can improve compared to when there was only one bakery.",556.0,"575,0,"
557,557,"When competing, each bakery increases many services to increase its value. We try to increase the value for the purpose of maintaining existing consumers, which in turn contributes a lot to attracting new consumers.",557.0,"576,0,"
558,558,"First of all, if bakeries compete with each other, they will try to provide better confectionery or services, and in this process, new products can be launched. Among these new products, making confectionery that consumers really like can bring great benefits to companies. In addition, if the quality of service is improved, more people will visit bakeries through good reviews from people, and through this, many customers can be welcomed.",558.0,"577,0,"
559,559,"From the bakery's point of view, if there is a competitive bakery, they will try to attract more people. Then the bakery will produce better products, and people's perception and evaluation of the bakery will increase further.",559.0,"578,0,"
560,560,"As they compete with each other, the price goes down, so people can buy more.",560.0,"579,1,"
561,561,Moderate competition helps to coax between bakeries,561.0,"580,0,"
562,562,"The price has become cheaper, so a lot of people are coming",562.0,"581,0,"
563,563,The part-timer works harder,563.0,"582,1,"
564,564,You can gain regular customers and competitiveness in the store,564.0,"583,1,"
565,565,"There will be many new consumers who come after hearing rumors by diversifying things such as quality, price, and type.",565.0,"584,1,"
566,566,Self-development,566.0,"585,1,"
567,567,"Bakery stores compete to provide more delicious products, which can build each other's skills or skills or reconsider",567.0,"586,0,"
568,568,We can achieve more sales,568.0,"587,0,"
569,569,The bakery will make more delicious bread,569.0,"588,0,"
570,570,I will live faithfully,570.0,"589,1,"
571,571,"Because we compete with each other, we can fill in the shortcomings.",571.0,"590,1,"
572,572,It is differentiated from other stores.,572.0,"591,1,"
573,573,You can make bread of different kinds,573.0,"592,1,"
574,574,I don't have it's,574.0,"593,1,"
575,575,improve the quality of the goods,575.0,"594,0,"
576,576,I will try to be better than next door,576.0,"595,1,"
577,577,"We will try to make it better than the competitive bakery, and that will increase the bakery's reputation",577.0,"596,0,"
578,578,We make up for each other's shortcomings and get better,578.0,"597,0,"
579,579,The daily sales will go up,579.0,"598,0,599,0,"
580,580,"The cheaper you sell, the more you will sell.",580.0,"600,0,"
581,581,We have a lot of customers,581.0,"601,0,"
582,582,You can benefit from winning the economy.,582.0,"602,0,"
583,583,You can promote more.,583.0,"603,1,"
584,584,The quality of bread is improved further.,584.0,"604,1,"
585,585,It's differentiated,585.0,"605,0,"
586,586,I'll sell more,586.0,"606,0,"
587,587,I think it will produce better products,587.0,"607,1,"
588,588,"By improving quality while competing, you will be able to earn higher returns than existing profits, and you will be able to increase the value of your company.",588.0,"608,0,"
589,589,You can make more money by making more delicious bread.,589.0,"609,0,"
590,590,It's delicious,590.0,"610,1,"
591,591,"If you win the competition, more consumers will come.",591.0,"611,1,"
592,592,"To be honest, the good points are likely to be less than that of consumers, but if they win the competition, consumers will only find the bakery.",592.0,"612,0,"
593,593,We will be able to compete with each other and carry out a win-win strategyI think we will try to make more delicious bread because we have win-win relationship,593.0,"613,1,"
594,594,The store is developing,594.0,"614,1,"
595,595,It can provide better services to consumers and develop to come up with better or interesting products.,595.0,"615,0,"
596,596,improve in quality,596.0,"616,0,"
597,597,We can prevent each other's oligopoly and improve the quality of our products,597.0,"617,0,"
598,598,to be able to earn a greater profit,598.0,"618,0,"
599,599,improvement in one's ability,599.0,"619,0,"
600,600,We have a lot of customers,600.0,"620,1,"
601,601,Please stop it. A napping belt,601.0,"621,0,"
602,602,The bathroom...!!,602.0,"622,1,"
603,603,[Crying],603.0,"623,0,"
604,604,Wow,604.0,"624,0,"
605,605,Don't know,605.0,"625,1,"
606,606,become more competitive,606.0,"626,0,"
607,607,We can develop each other more,607.0,"627,0,"
608,608,I will try to have a better product,608.0,"628,0,629,0,"
609,609,The number of consumers increases.,609.0,"630,1,"
610,610,There may be a rush of customers,610.0,"631,1,"
611,611,Becoming more advanced,611.0,"632,0,"
612,612,You can learn more about your skills.,612.0,"633,1,"
613,613,increase one's economic power,613.0,"634,0,"
614,614,I don't know if it's good or bad,614.0,"635,1,"
615,615,The quality of the product can be improved through competition.,615.0,"636,1,"
616,616,to be able to attract consumers,616.0,"637,1,"
617,617,You can improve the quality of your products while competing and make more money by offering better products to consumers.,617.0,"638,0,"
618,618,Effective measures are explored for marketing.,618.0,"639,0,"
619,619,I don't know.,619.0,"640,1,"
620,620,You can burn your will.,620.0,"641,0,"
621,621,You can gain the benefit of your own store by eliminating competitors.,621.0,"642,1,"
622,622,Store revenues increase as consumers' demand for consumption increases due to lower prices!,622.0,"643,1,"
623,623,I don't have it's,623.0,"644,1,"
624,624,You grow.,624.0,"645,0,"
625,625,There is nothing good about the bakery,625.0,"646,0,"
626,626,to be able to sell quality goods to consumers,626.0,"647,1,"
627,627,There is no good in losing customers.,627.0,"648,0,"
628,628,You can become proficient in the way you do business and treat customers more flexibly.,628.0,"649,1,"
629,629,to be able to improve the quality,629.0,"650,0,"
630,630,Let's see. Sexy,630.0,"651,0,"
631,631,You can find a new way to sell things.,631.0,"652,0,"
632,632,You can see which is better and which is better sold through the consumer.,632.0,"653,1,"
633,633,There are a lot of people coming,633.0,"654,0,"
634,634,You can find your shortcomings by looking at other competitors.,634.0,"655,1,"
635,635,Stores can make good stores by producing better quality bread and providing better services to customers.,635.0,"656,0,"
636,636,"When you compete, customers flock to you, and when you become more and more and more, your business goes well.",636.0,"657,1,"
637,637,I can explore and develop the product further.,637.0,"658,0,659,0,"
638,638,Consumers come to see us a lot because of the low prices,638.0,"660,0,"
639,639,Your bread and services will improve.,639.0,"661,0,"
640,640,You can think about how to increase sales by looking elsewhere.,640.0,"662,0,"
641,641,The service will be better.,641.0,"663,0,"
642,642,It is advantageous only to one side because there are many places and there are no customers,642.0,"664,0,"
643,643,We can better understand what consumers want.,643.0,"665,1,"
644,644,The service gets better,644.0,"666,1,"
645,645,to be able to attract customers,645.0,"667,0,"
646,646,make better bread,646.0,"668,0,"
647,647,You can raise the quality of your household's bread by being conscious of other households.,647.0,"669,0,"
648,648,"Through competition, bakeries develop in various aspects, which can lead to the improvement of the overall quality of life in society.",648.0,"670,1,"
649,649,More people are coming,649.0,"671,0,"
650,650,I don't understand.,650.0,"672,0,"
651,651,It releases a variety of products to better attract consumers.,651.0,"673,0,"
652,652,Sales increase,652.0,"674,0,"
653,653,You can make up for the taste.,653.0,"675,1,"
654,654,You'll gain more,654.0,"676,1,"
655,655,Competitiveness increases.,655.0,"677,0,"
656,656,More people are coming,656.0,"678,0,"
657,657,You'll be able to grow more,657.0,"679,0,"
658,658,to be able to live cheaper,658.0,"680,1,"
659,659,"The environment will be better than before. Even if you lose the competition, you can go somewhere else and do better.",659.0,"681,0,"
660,660,I don't know.,660.0,"682,0,"
661,661,You can make a profit by developing better.,661.0,"683,1,"
662,662,Many customers come because the price is lowered,662.0,"684,0,"
663,663,"If you compete, you can feel pleasure while trampling on the inferior bakery on the other side from the superior bakery on one side.",663.0,"685,0,"
664,664,Sonnips will either not be at another bakery or come to eat more delicious bread from their bakery to buy their favorite bread.,664.0,"686,0,"
665,665,There can be more customers.,665.0,"687,0,"
666,666,Work harder and economic activities circulate to become virtuous,666.0,"688,0,689,1,"
667,667,in a roundabout way,667.0,"690,0,"
668,668,competition in good faith,668.0,"691,0,"
669,669,We can improve each other more,669.0,"692,0,"
670,670,"In other words, if you don't compete, the store won't be able to continue to maintain the quality of the store and make better products. The continued emergence of new kinds of chicken in chicken stores is equally competitive by creating new products.",670.0,"693,1,"
671,671,h,671.0,"694,0,"
672,672,I don't know.,672.0,"695,0,"
673,673,a better place to live,673.0,"696,0,"
674,674,I try harder,674.0,"697,0,"
675,675,Consumer Maniom,675.0,"698,1,"
676,676,The number of customers is increasing,676.0,"699,1,"
677,677,I don't know,677.0,"700,0,"
678,678,Rival,678.0,"701,0,"
679,679,Harder,679.0,"702,0,"
680,680,Developable,680.0,"703,1,"
681,681,feel good about each other,681.0,"704,1,"
682,682,Chinese zodiac sign,682.0,"705,0,"
683,683,Lee Sung-bae ♡ Kevin,683.0,"706,0,"
684,684,Increase quality and increase the desire to satisfy consumption items,684.0,"707,1,"
685,685,The consumption increases,685.0,"708,1,"
686,686,I don't think so^^,686.0,"709,0,"
687,687,I think it will be fun and I can improve more with my desire to win.,687.0,"710,0,"
688,688,Other competitors can be separated and monopolized alone.,688.0,"711,0,"
689,689,You can sell more.,689.0,"712,0,"
690,690,make more money,690.0,"713,0,"
691,691,The winning bakery has all the customers,691.0,"714,1,"
692,692,There are more customersMore and more good products can be supplied to consumers,692.0,"715,1,"
693,693,The number of customers will increase.,693.0,"716,1,"
694,694,know better about business,694.0,"717,0,"
695,695,"If you win the competition, you can take over the consumer, and when other households fail, you can raise the price little by little, sell it in its original state, and even get the consumer",695.0,"718,1,719,0,"
696,696,You can fill in the gaps?,696.0,"720,0,"
697,697,Competition will attract more consumers.,697.0,"721,1,"
698,698,It will be fun to compete,698.0,"722,1,"
699,699,"And you'll become more sociable while competing.""",699.0,"723,1,"
700,700,"It's good to have more hygiene, lower prices, and events",700.0,"724,1,"
701,701,"If you sell a lot and win, your store will have a lot.",701.0,"725,0,"
702,702,You can sell more things or make them better,702.0,"726,0,"
703,703,"As they compete with each other, the bakery develops.",703.0,"727,0,"
704,704,It can attract more consumers.,704.0,"728,0,"
705,705,It can attract more consumers.,705.0,"729,0,"
706,706,It can attract more consumers.,706.0,"730,1,"
707,707,"If you compete with the other bakery, you can produce a better product than the other bakery, and it benefits the bakery",707.0,"731,0,"
708,708,"""① The merchant has become kind.",708.0,"732,1,"
709,709,,709.0,"733,1,"
710,710,② The price of the goods has gone down.,710.0,"734,1,"
711,711,,711.0,"735,0,"
712,712,③ The quality of the goods has improved.,712.0,"736,0,"
713,713,,713.0,"737,0,"
714,714,④ The types of things have become more diverse.,714.0,"738,0,"
715,715,,715.0,"739,1,"
716,716,,716.0,"740,0,"
717,717,"""",717.0,"741,0,"
718,718,It can attract more consumers.,718.0,"742,0,"
719,719,"""We can attract many customers",719.0,"743,0,"
720,720,"""",720.0,"744,0,"
721,721,You can research more and come up with a good product.,721.0,"745,1,"
722,722,I can try harder,722.0,"746,0,"
723,723,You can eat cleaner and more delicious things cheaply.,723.0,"747,0,"
724,724,Consumers gain a lot from winning the trial bakery,724.0,"748,1,749,1,"
725,725,Consumers buy a lot of bread and it's good,725.0,"750,0,"
726,726,You can eat more kinds of bread.,726.0,"751,0,"
727,727,It is profitable to make a lot of money because the number of customers increases.,727.0,"752,1,"
728,728,"""The more bakeries, the more customers, the lower the price,",728.0,"753,1,"
729,729,"If you raise the quality, there will be more customers",729.0,"754,1,"
730,730,"You have a chance to experience more and do better.""",730.0,"755,0,"
731,731,"It will be delicious to make better quality bread, so there will be more consumers.",731.0,"756,1,"
732,732,"It gets cheaper, tastes better, and people get more serious.",732.0,"757,0,"
733,733,Someone's coming,733.0,"758,0,"
734,734,"""Because there's a lot of customers",734.0,"759,0,"
735,735,"If you compete, you can grow even more.""",735.0,"760,0,"
736,736,I get greedy about business,736.0,"761,1,"
737,737,There will be more customers.,737.0,"762,1,"
738,738,Confectionery technology and expertise will be improved.,738.0,"763,1,"
739,739,to be able to produce better products,739.0,"764,1,"
740,740,Confectionery technology and professionalism are improved,740.0,"765,1,"
741,741,The problem is security and we can attract more customers,741.0,"766,0,"
742,742,to gain more popularity with consumers,742.0,"767,0,"
743,743,to gain more popularity with consumers,743.0,"768,0,"
744,744,I don't know.,744.0,"769,1,"
745,745,There are a lot of people coming,745.0,"770,0,"
746,746,I don't know.,746.0,"771,1,"
747,747,"Compared to others, your bakery can develop further",747.0,"772,0,"
748,748,I don't know.,748.0,"773,1,"
749,749,I make bread delicious to do better than my competitor,749.0,"774,0,"
750,750,It can be further developed.,750.0,"775,1,"
751,751,It can be further developed.,751.0,"776,1,"
752,752,"If you win the competition, the guests will have a monopoly.",752.0,"777,0,"
753,753,to be able to compete properly,753.0,"778,0,779,1,"
754,754,"If you win the competition, you can get more buyers.",754.0,"780,0,"
755,755,The number of customers is increasing,755.0,"781,0,"
756,756,"With competitive spirit, many customers gather by making bread harder.",756.0,"782,1,"
757,757,have a driving force to work,757.0,"783,1,"
758,758,I want to give the bakery a chance,758.0,"784,0,"
759,759,I don't know,759.0,"785,0,"
760,760,I don't know.,760.0,"786,0,"
761,761,I don't know.,761.0,"787,1,"
762,762,Facilities are getting better. Reputation is going up,762.0,"788,0,"
763,763,having fun at work,763.0,"789,1,"
764,764,·ㆍ,764.0,"790,0,"
765,765,We can develop better quality bread,765.0,"791,1,"
766,766,work hard,766.0,"792,0,"
767,767,Profits are falling,767.0,"793,0,"
768,768,I don't know,768.0,"794,0,"
769,769,I'll make a better product,769.0,"795,0,"
770,770,to be able to strengthen one's will,770.0,"796,0,"
771,771,increase in productivity,771.0,"797,0,"
772,772,Sales rise as customers increase,772.0,"798,1,"
773,773,Develop new products or promote them.,773.0,"799,1,"
774,774,"If you want to eat bread, you can gather more customers because you will come near it.",774.0,"800,1,"
775,775,.,775.0,"801,0,"
776,776,Bread that even my children can eat! The bakery makes it.,776.0,"802,0,"
777,777,The number of regular customers is increasing Then you're old,777.0,"803,1,"
778,778,The bakery is developing,778.0,"804,1,"
779,779,I become more diligent and work harder,779.0,"805,1,"
780,780,I have a sense of competition and work harder.,780.0,"806,1,"
781,781,Qualitative improvement can be achieved by competing for better service,781.0,"807,0,"
782,782,Competition creates another profit in the process of finding better prices and services.,782.0,"808,1,809,1,"
783,783,I don't think so,783.0,"810,1,"
784,784,?,784.0,"811,1,"
785,785,It inspires professionalism and motivation,785.0,"812,1,"
786,786,It is an opportunity for each other to develop further.,786.0,"813,1,"
787,787,I don't have it's,787.0,"814,1,"
788,788,Earnings increase because they compete with each other to produce good results.,788.0,"815,0,"
789,789,The number of customers increases.,789.0,"816,1,"
790,790,I feel proud to be able to make better bread,790.0,"817,1,"
791,791,It's good to winIt can be an opportunity for the quality of the product to improve.,791.0,"818,1,"
792,792,We can learn from our competitors' marketing strategies,792.0,"819,1,"
793,793,The number of customers increases.,793.0,"820,0,"
794,794,There is nothing much.,794.0,"821,1,"
795,795,drinking,795.0,"822,1,"
796,796,I don't understand.,796.0,"823,1,"
797,797,be stimulated,797.0,"824,1,"
798,798,It makes me work harder,798.0,"825,0,"
799,799,I get to study more about the taste,799.0,"826,1,"
800,800,I don't know,800.0,"827,1,"
801,801,I don't know.,801.0,"828,0,"
802,802,There is nothing particularly good about it,802.0,"829,1,"
803,803,It can aim for an increase in external customers by improving the overall quality of service.,803.0,"830,0,"
804,804,The monopoly market is unreasonable.,804.0,"831,0,"
805,805,A lot of effort is made to attract a lot of consumers.,805.0,"832,0,"
806,806,You can get regular customers by gaining consumer confidence.,806.0,"833,0,"
807,807,You can develop.,807.0,"834,1,"
808,808,I don't know.,808.0,"835,1,"
809,809,I don't know.,809.0,"836,0,"
810,810,It is an opportunity to gain one's competitiveness.,810.0,"837,0,"
811,811,"If you win the competition, you can get more customers.",811.0,"838,0,839,0,"
812,812,B.H.G,812.0,"840,0,"
813,813,I don't know.,813.0,"841,0,"
814,814,"The quality of the taste increases, but it is troublesome. There's nothing good",814.0,"842,0,"
815,815,"If you compete, you can develop your bakery more without doing your job roughly and it is motivating.",815.0,"843,1,"
816,816,The bakery develops.,816.0,"844,1,"
817,817,Awesome.,817.0,"845,0,"
818,818,There is nothing good about it and the competing bakeries both go down the drain.,818.0,"846,0,"
819,819,We can increase the quality of service and increase the number of customers.,819.0,"847,0,"
820,820,"As consumers can be gathered more than before and the quality of goods and services increases, the level of the bakery itself increases.",820.0,"848,1,"
821,821,motivation for development,821.0,"849,0,"
822,822,"Technically skilled by improving the quality of goods, and if a competitive bakery is bankrupt, monopoly can be fulfilled.",822.0,"850,0,"
823,823,"Many consumers come. It may be less, but it is omitted because there is not enough time.",823.0,"851,0,"
824,824,"Bakery stores are also making efforts to sell better sampungs at a lower price, increasing the frequency of customers coming in",824.0,"852,1,"
825,825,"It will fly.""",825.0,"853,1,"
826,826,. Let's Make Better Products!,826.0,"854,0,"
827,827,"When you compete, the bakery comes up with a variety of creative ways to make a profit.",827.0,"855,0,"
828,828,"If several bakeries compete, they can first compensate for the shortcomings of the product. In addition, you will be able to think more about various sales strategies to efficiently operate the bakery.",828.0,"856,1,"
829,829,"Through competition, bakeries attract more consumers due to the quality, service, and price of advanced products, which can lead to large losses in the short term, but in the long run, they can generate more profits due to more consumption, and self-development through competition.",829.0,"857,0,"
830,830,The quality of the product increases and efforts are made to develop new technologies.,830.0,"858,1,"
831,831,"If competition is made, bakeries will try to develop better products, which can leave a bigger profit frame.",831.0,"859,0,"
832,832,Not enough time (an alumni association,832.0,"860,1,"
833,833,"This is because when they compete, bakeries try to think of various creative ways to develop better products, develop technologies, or sell them cheaper.",833.0,"861,0,"
834,834,I can make something more delicious.,834.0,"862,1,"
835,835,"""It will be meaningful to live.(ㅅ))",835.0,"863,1,"
836,836,"The person who makes it by making more delicious bread can feel proud.""",836.0,"864,0,"
837,837,It is a driving force for growth.,837.0,"865,1,"
838,838,I'm sorry.,838.0,"866,1,"
839,839,Developable,839.0,"867,1,"
840,840,I think about it a bit more and improve,840.0,"868,1,869,0,"
841,841,I can make a better product,841.0,"870,1,"
842,842,You can develop more menus.,842.0,"871,1,"
843,843,to be able to attract consumers,843.0,"872,1,"
844,844,It can provide better service.,844.0,"873,1,"
845,845,They can highlight their own specialties compared to other bakeries and promote their own strengths.,845.0,"874,1,"
846,846,What?,846.0,"875,1,"
847,847,It improves the taste.,847.0,"876,1,"
848,848,I don't know,848.0,"877,0,"
849,849,M and D,849.0,"878,1,"
850,850,Guests can flock in.,850.0,"879,0,"
851,851,three-packed pork,851.0,"880,1,"
852,852,improve one's sales ability,852.0,"881,0,"
853,853,It will develop further.,853.0,"882,1,"
854,854,It's Molly,854.0,"883,1,"
855,855,.,855.0,"884,1,"
856,856,I don't know.,856.0,"885,1,"
857,857,to be able to benefit,857.0,"886,0,"
858,858,be low in revenue,858.0,"887,1,"
859,859,"If you win by playing hard, your business will go well",859.0,"888,1,"
860,860,The income goes down.,860.0,"889,0,"
861,861,I'm going to work hard in management,861.0,"890,0,"
862,862,to be able to work hard,862.0,"891,1,"
863,863,I don't understand.,863.0,"892,1,"
864,864,earn a large income,864.0,"893,0,"
865,865,Customers are coming to the store,865.0,"894,1,"
866,866,I can try many different things,866.0,"895,0,"
867,867,Bakery B,867.0,"896,1,"
868,868,I don't know because I don't have a mole,868.0,"897,0,"
869,869,become more competitive,869.0,"898,1,899,1,"
870,870,"Through its competitor bakery, it can improve its shortcomings and develop better.",870.0,"900,0,"
871,871,We know each other's shortcomings and can develop further,871.0,"901,0,"
872,872,become competitive,872.0,"902,0,"
873,873,We're going to have better police officers,873.0,"903,0,"
874,874,You can see what's wrong and what's done well.,874.0,"904,1,"
875,875,I don't know,875.0,"905,0,"
876,876,You can make better bread.,876.0,"906,0,"
877,877,More guests are coming,877.0,"907,0,"
878,878,I can develop bread development,878.0,"908,0,"
879,879,..............,879.0,"909,1,"
880,880,I can make a better product,880.0,"910,0,"
881,881,I can make a better product,881.0,"911,1,"
882,882,It can sell better,882.0,"912,0,"
883,883,development,883.0,"913,0,"
884,884,It's getting better.,884.0,"914,0,"
885,885,I get a spirit of challenge,885.0,"915,0,"
886,886,A spirit of challenge has arisen,886.0,"916,1,"
887,887,There is a better product for consumers,887.0,"917,0,"
888,888,Better products may be developed.,888.0,"918,0,"
889,889,Competition can improve further. Because I keep trying to win more and more and more and more and more and more.,889.0,"919,1,"
890,890,"There will be more customers by developing new menus every dayIf you study to make more delicious food, you can make more delicious products, so your reputation gets better",890.0,"920,0,"
891,891,It can improve its reputation by offering newer menus and services,891.0,"921,0,"
892,892,It can become popular by making new bread,892.0,"922,0,"
893,893,You can become popular by making new bread.,893.0,"923,1,"
894,894,"""You make a lot of money",894.0,"924,1,"
895,895,"""",895.0,"925,0,"
896,896,It will become popular by making new bread,896.0,"926,0,"
897,897,I don't think there will be any good in competition.,897.0,"927,1,"
898,898,"By studying bread, I think I can make more delicious bread than other bakeries and sell more bread by attracting consumers' attention.",898.0,"928,0,929,0,"
899,899,"If you compete, you can see where is more delicious because sales go up whenever people prefer",899.0,"930,0,"
900,900,I think I will make a new bread to gather people in competition.,900.0,"931,0,"
901,901,to work harder,901.0,"932,0,"
902,902,I make bread harder because of competition,902.0,"933,0,"
903,903,The bakery grows more and the number of customers increases as various menus come out,903.0,"934,1,"
904,904,The winning side of the competition has many customers and can benefit a lot,904.0,"935,1,"
905,905,They make more delicious bread for each other.,905.0,"936,0,"
906,906,"If you compete, you can offer better products to your customers.",906.0,"937,0,"
907,907,"If one side goes well, you can push the other side and make a big hit",907.0,"938,0,"
908,908,I can run a bakery well because I get to know more about consumers,908.0,"939,0,"
909,909,"By competing with each other, we can know and improve what we lack in each other's stores.",909.0,"940,0,"
910,910,You can look at each other and add what you lack in the store to sell bread more deliciously.,910.0,"941,1,"
911,911,It will sell more,911.0,"942,0,"
912,912,I can give better products to customers. The quality can also be better.,912.0,"943,0,"
913,913,"If you compete, if you hold more bread, it will be delicious, so you can come more.",913.0,"944,0,"
914,914,"To compete with each other, we can make new bread and develop new bread.",914.0,"945,1,"
915,915,More people come and can compete with each other and give and receive help.,915.0,"946,0,"
916,916,The number of customers increases by making new bread.,916.0,"947,0,"
917,917,"As the bakery works harder, many people come to the bakery and make a lot of money.",917.0,"948,1,"
