,Unnamed: 0,"2) How can I compare the richness of salt water in A, B, and C beakers other than a taste?",Unnamed: 0,", q36_weight, q36_deposition, q36_measurement, q36_color, q36_taste, q36_weight 1, q36_deposition.1,q36_Measurement.1,q36_color.1,q36_Taste.1"
264,264,"Mix the pigment in each beaker and pour it into another beaker.""",264.0,"273,0,0,0,0,0,,,,,"
265,265,I don't know.,265.0,"274,0,1,0,0,0,,,,,"
266,266,White Thickness Comparison,266.0,"275,0,0,0,0,1,,,,,"
267,267,Calculate the concentration,267.0,"276,1,0,0,0,0,,,,,"
268,268,I'm going to scoop out the eggs,268.0,"277,0,1,0,0,0,,,,,"
269,269,Find the thickening in concentration,269.0,"278,0,1,0,0,0,,,,,"
270,270,Using a concentration meter,270.0,"279,0,0,1,0,0,,,,,"
271,271,Use a concentration meter,271.0,"280,0,1,0,0,0,,,,,"
272,272,Using a salinity meter,272.0,"281,0,1,0,0,0,,,,,"
273,273,I'll float the tomatoes,273.0,"282,0,0,0,1,0,,,,,"
274,274,I'm going to scoop out the eggs,274.0,"283,0,1,0,0,0,,,,,"
275,275,Doing concentration,275.0,"284,0,0,1,0,0,,,,,"
276,276,"The amount of salt left, let's dry it in the sun",276.0,"285,0,0,1,0,0,,,,,"
277,277,To measure concentration,277.0,"286,0,1,0,0,0,,,,,"
278,278,Evaporate it,278.0,"287,0,0,0,0,0,,,,,"
279,279,Compare the concentration differences.,279.0,"288,0,0,0,0,0,,,,,"
280,280,"Compare different concentrations (percent concentration, molar concentration, molar concentration)",280.0,"289,0,0,1,0,0,,,,,"
281,281,I'm going to evaporate all the water.,281.0,"290,1,0,0,0,0,,,,,"
282,282,Measure the amount of salt after evaporating all the water.,282.0,"291,0,0,0,0,0,,,,,"
283,283,Measure the concentration.,283.0,"292,0,0,0,0,0,,,,,"
284,284,I'm going to boil water,284.0,"293,0,1,0,0,0,,,,,"
285,285,Let's use the formula,285.0,"294,0,0,1,0,0,,,,,"
286,286,Use a machine that can check the salt concentration.,286.0,"295,0,0,1,0,0,,,,,"
287,287,I don't know.,287.0,"296,0,0,1,0,0,,,,,"
288,288,Boil it,288.0,"297,0,0,1,0,0,,,,,"
289,289,Pickled cabbage to check the pickled taste of cabbage.,289.0,"298,0,0,1,0,0,,,,,299,0,1,0,0,0,,,,,"
290,290,Check the degree to which an object rises by putting it in.,290.0,"300,0,1,0,0,0,,,,,"
291,291,"""While boiling the salt water, I see which one is missing first.""",291.0,"301,0,1,0,0,0,,,,,"
292,292,"""",292.0,"302,0,1,0,0,0,,,,,"
293,293,"""We compare the amount of salt by evaporating it.",293.0,"303,1,0,0,0,0,,,,,"
294,294,"""",294.0,"304,0,1,0,0,0,,,,,"
295,295,Use a machine that can measure salt concentration.,295.0,"305,0,1,0,0,0,,,,,"
296,296,"You can add a certain amount of salt little by little to observe which beaker does not dissolve the salt first.Add a little more salt to all a, b, and c to compare the remaining amount of salt.",296.0,"306,0,0,0,1,0,,,,,"
297,297,Color,297.0,"307,1,0,0,0,0,,,,,"
298,298,Evaporate them all,298.0,"308,0,1,0,0,0,,,,,"
299,299,Find the concentration,299.0,"309,0,0,1,0,0,,,,,"
300,300,The concentration is measured by comparing the capacity of water with the amount of salt.,300.0,"310,0,0,0,0,0,,,,,"
301,301,Evaporate the water.,301.0,"311,0,1,0,0,0,,,,,"
302,302,Smell it,302.0,"312,0,0,1,0,0,,,,,"
303,303,Put it on your hand.,303.0,"313,0,0,1,0,0,,,,,"
304,304,Concentration test,304.0,"314,0,0,0,1,0,,,,,"
305,305,I'm going to scoop up the eggs,305.0,"315,1,0,0,0,0,,,,,"
306,306,I don't know.,306.0,"316,1,0,0,0,0,,,,,"
307,307,I don't understand.,307.0,"317,0,1,0,0,0,,,,,"
308,308,You can evaporate it and determine the amount of salt left.,308.0,"318,1,0,0,0,0,,,,,"
309,309,Measure the concentration,309.0,"319,0,1,0,0,0,,,,,"
310,310,Concentration comparison,310.0,"320,0,1,0,0,0,,,,,"
311,311,Let's check the concentration,311.0,"321,0,1,0,0,0,,,,,"
312,312,"litmus paper, measuring concentration",312.0,"322,0,0,1,0,0,,,,,"
313,313,It's measured by a machine,313.0,"323,0,1,0,0,0,,,,,"
314,314,I'm going to boil water.,314.0,"324,1,0,0,0,0,,,,,"
315,315,Spray water on the floor and evaporate,315.0,"325,0,1,0,0,0,,,,,"
316,316,Measure the amount of salt produced by evaporating water.,316.0,"326,0,1,0,0,0,,,,,"
317,317,Evaporate it,317.0,"327,0,0,0,0,0,,,,,"
318,318,I'm going to float the cherry tomatoes.,318.0,"328,0,1,0,0,0,,,,,329,0,1,0,0,0,,,,,"
319,319,Compare with a machine that compares the concentrations.,319.0,"330,1,0,0,0,0,,,,,"
320,320,judge by the amount of salt that has sunk,320.0,"331,0,1,0,0,0,,,,,"
321,321,"The greater the thickening, the more blurry the water becomes, so check the turbidity of the water with your eyes.",321.0,"332,0,1,0,0,0,,,,,"
322,322,Add rice grains to observe which beaker's salt water floats higher.,322.0,"333,0,0,1,0,0,,,,,"
323,323,Heat to see the amount of salt.,323.0,"334,0,0,1,0,0,,,,,"
324,324,Use a concentration meter,324.0,"335,0,0,0,1,0,,,,,"
325,325,Smell it,325.0,"336,0,0,0,0,0,,,,,"
326,326,Dry the contents and look at the remaining salt crystals.,326.0,"337,0,0,0,0,0,,,,,"
327,327,determine the amount of electric charge,327.0,"338,0,0,0,0,0,,,,,"
328,328,Use a salinity meter.,328.0,"339,0,0,0,1,0,,,,,"
329,329,Compare each color of the beaker.,329.0,"340,0,0,0,0,0,,,,,"
330,330,Let's open the cherry tomatoes.,330.0,"341,0,0,0,0,0,,,,,"
331,331,I'm going to scoop up the eggs,331.0,"342,0,1,0,0,0,,,,,"
332,332,Lower the temperature of the water to compare the amount of salt that sinks below,332.0,"343,0,0,0,0,0,,,,,"
333,333,I'm going to scoop up the eggs,333.0,"344,0,0,0,0,0,,,,,"
334,334,It evaporates water,334.0,"345,0,1,0,0,0,,,,,"
335,335,Check the amount of salt dissolved in the same amount of water.,335.0,"346,1,0,0,0,0,,,,,"
336,336,The beaker with more salt is thick because it evaporates,336.0,"347,0,0,0,0,0,,,,,"
337,337,"""1. Calculate the concentration of salt water directly.""",337.0,"348,1,0,0,0,0,,,,,"
338,338,2. Investigate PH concentration,338.0,"349,0,0,0,0,0,,,,,"
339,339,Compare the amount of salt produced by evaporating water.,339.0,"350,0,0,0,0,0,,,,,"
340,340,Put a light and small object to see how it floats.,340.0,"351,0,1,0,0,0,,,,,"
341,341,Compare the amount of salt remaining by evaporating water.,341.0,"352,0,0,0,0,0,,,,,"
342,342,Heat water to evaporate to check the amount of salt,342.0,"353,0,0,0,0,0,,,,,"
343,343,filter out salt,343.0,"354,0,1,0,0,0,,,,,"
344,344,The amount of salt produced by boiling water can be compared.,344.0,"355,0,0,0,0,0,,,,,"
345,345,"""1) After mixing well with salt water, place the same amount of salt water on the glass and evaporate the water with natural light, and the amount of crystals remaining on the glass",345.0,"356,0,0,1,0,0,,,,,"
346,346,"2) ""The degree to which salt water is burned when it is coated on an iron rod and burned by fire.""",346.0,"357,1,0,0,0,0,,,,,"
347,347,"Add eggs and compare them by looking at how many eggs are floating because if they float in water, it means that they have a lot of salt.",347.0,"358,1,0,0,0,0,,,,,359,0,0,0,1,0,,,,,"
348,348,"Boil each beaker of A, B, and C to see the remaining salt mass.",348.0,"360,0,1,0,0,0,,,,,"
349,349,Observe the amount of salt by evaporating it.,349.0,"361,0,0,0,0,0,,,,,"
350,350,Concentration measurement,350.0,"362,0,0,0,1,0,,,,,"
351,351,Concentration measurement,351.0,"363,0,0,1,0,0,,,,,"
352,352,I see it with my eyes,352.0,"364,0,0,0,0,0,,,,,"
353,353,I'm going to add water,353.0,"365,0,0,0,0,0,,,,,"
354,354,I don't know,354.0,"366,0,1,0,0,0,,,,,"
355,355,I don't know,355.0,"367,1,0,0,0,0,,,,,"
356,356,I don't know,356.0,"368,0,1,0,0,0,,,,,"
357,357,the color of water,357.0,"369,0,0,1,0,0,,,,,"
358,358,lol,358.0,"370,0,0,1,0,0,,,,,"
359,359,I'm going to boil water.,359.0,"371,1,0,0,0,0,,,,,"
360,360,ㅈ,360.0,"372,1,0,0,0,0,,,,,"
361,361,You have to use a spoon,361.0,"373,1,0,0,0,0,,,,,"
362,362,Turn off the heat and look at the remaining salt.,362.0,"374,0,0,0,0,0,,,,,"
363,363,"If you float a quail egg on the water, it is not thicker as it sinks, but thicker as it rises.",363.0,"375,0,0,1,0,0,,,,,"
364,364,I don't know,364.0,"376,0,1,0,0,0,,,,,"
365,365,Weight,365.0,"377,0,0,0,0,1,,,,,"
366,366,I don't know,366.0,"378,0,0,0,1,0,,,,,"
367,367,get a whiff,367.0,"379,0,0,0,0,0,,,,,"
368,368,"The amount of water in the A, B, and C beakers is all the same, so you can compare it with the amount of salt.",368.0,"380,1,0,0,0,0,,,,,"
369,369,I don't know,369.0,"381,0,0,1,0,0,,,,,"
370,370,I measure the water differently,370.0,"382,0,0,1,0,0,,,,,"
371,371,"To equalize the amount of water and mix and not sink to the bottom much is to add a lot of salt, which is the thickest.",371.0,"383,1,0,0,0,0,,,,,"
372,372,Sift it out,372.0,"384,1,0,0,0,0,,,,,"
373,373,Measure the concentration.,373.0,"385,1,0,0,0,0,,,,,"
374,374,Grape altogether,374.0,"386,0,0,0,1,0,,,,,"
375,375,I'm going to scoop the egg,375.0,"387,1,0,0,0,0,,,,,"
376,376,Compare colors.,376.0,"388,1,0,0,0,0,,,,,389,1,0,0,0,0,,,,,"
377,377,Heat it up,377.0,"390,0,0,0,0,0,,,,,"
378,378,very well,378.0,"391,0,0,0,0,0,,,,,"
379,379,Color,379.0,"392,0,0,1,0,0,,,,,"
380,380,Check the concentration of salt water,380.0,"393,0,0,0,0,1,,,,,"
381,381,Smell it,381.0,"394,0,0,1,0,0,,,,,"
382,382,The smell,382.0,"395,0,0,0,1,0,,,,,"
383,383,Check the salt from evaporating,383.0,"396,1,0,0,0,0,,,,,"
384,384,Place cherry tomatoes or other items on top of salt water.,384.0,"397,0,0,0,1,0,,,,,"
385,385,Evaporate it.,385.0,"398,1,0,0,0,0,,,,,"
386,386,Measure the amount of salt added,386.0,"399,1,0,0,0,0,,,,,"
387,387,Use math to find the proportion of salt and compare it.,387.0,"400,0,0,1,0,0,,,,,"
388,388,Try to float an object.,388.0,"401,1,0,0,0,0,,,,,"
389,389,I'm going to scoop out the eggs,389.0,"402,0,0,0,0,0,,,,,"
390,390,Floating on egg wash,390.0,"403,0,0,0,0,0,,,,,"
391,391,I don't know,391.0,"404,0,0,0,1,0,,,,,"
392,392,Compare the strength of salt water with the amount of salt.,392.0,"405,0,0,0,0,0,,,,,"
393,393,- Boil water and evaporate it and compare the amount of salt remaining.,393.0,"406,1,0,0,0,0,,,,,"
394,394,It's all over the place,394.0,"407,0,0,0,0,0,,,,,"
395,395,ColorI don't know.,395.0,"408,0,0,1,0,0,,,,,"
396,396,Experiment. Use different substances to react to compare,396.0,"409,0,0,1,0,0,,,,,"
397,397,Let's calculate the concentration,397.0,"410,0,0,0,0,0,,,,,"
398,398,Use a concentration systolic.,398.0,"411,0,0,0,0,0,,,,,"
399,399,I'm going to scoop up the eggs.,399.0,"412,1,0,0,0,0,,,,,"
400,400,Try to space out a light object,400.0,"413,0,0,0,0,0,,,,,"
401,401,It floats a light object,401.0,"414,0,0,0,1,0,,,,,"
402,402,Look at the colors,402.0,"415,0,0,0,1,0,,,,,"
403,403,Break an egg and scoop it out,403.0,"416,0,0,1,0,0,,,,,"
404,404,Compare the moorings,404.0,"417,0,0,1,0,0,,,,,"
405,405,Add eggs,405.0,"418,1,0,0,0,0,,,,,419,0,1,1,0,0,,,,,"
406,406,Temperature,406.0,"420,0,1,0,0,0,,,,,"
407,407,I don't know.,407.0,"421,1,0,0,0,0,,,,,"
408,408,indicate the dark age in %,408.0,"422,0,0,1,0,0,,,,,"
409,409,I'm feeding them to animals,409.0,"423,0,0,0,0,0,,,,,"
410,410,Find the mathematical formula for concentration,410.0,"424,1,0,0,0,0,,,,,"
411,411,"Smell, color",411.0,"425,0,0,0,1,0,,,,,"
412,412,Add cherry tomatoes to compare,412.0,"426,0,0,0,1,0,,,,,"
413,413,observation with one's eyes,413.0,"427,0,0,0,1,0,,,,,"
414,414,Float the eggs in salt water,414.0,"428,0,0,0,1,0,,,,,"
415,415,Use a constant object floating in the water to compare how much the object sinks into each beaker.,415.0,"429,0,0,0,1,0,,,,,"
416,416,The amount of salt relative to the amount of water is expressed as a ratio or a percentage.,416.0,"430,1,0,0,0,0,,,,,"
417,417,Add cherry tomatoes,417.0,"431,1,0,1,0,0,,,,,"
418,418,Smell it,418.0,"432,0,0,1,0,0,,,,,"
419,419,I'm touching it,419.0,"433,0,0,0,1,0,,,,,"
420,420,the color of salt water,420.0,"434,1,0,0,0,0,,,,,"
421,421,Hotness,421.0,"435,0,0,0,1,0,,,,,"
422,422,Measuring the weight.,422.0,"436,1,0,0,0,0,,,,,"
423,423,I don't know,423.0,"437,0,1,0,0,0,,,,,"
424,424,Measure the concentration with a measuring machine.,424.0,"438,0,0,0,0,0,,,,,"
425,425,Let's put it as a percentage.,425.0,"439,0,0,1,0,0,,,,,"
426,426,I don't know.,426.0,"440,0,1,0,0,0,,,,,"
427,427,"""I put plastic gloves on my hand and dipped it in my hand."" (I don't know much about it, so I just",427.0,"441,1,1,0,0,0,,,,,"
428,428,"I wrote down my thoughts.)""",428.0,"442,0,1,0,0,0,,,,,"
429,429,"Compare the height of the object's float by inserting a suitable object. (e.g., tomatoes)",429.0,"443,0,0,0,0,0,,,,,"
430,430,???,430.0,"444,0,0,1,0,0,,,,,"
431,431,You can tell by the color,431.0,"445,0,0,0,1,0,,,,,"
432,432,It's a stain on the color.,432.0,"446,0,1,0,0,0,,,,,"
433,433,Compare the amount of salt added.,433.0,"447,0,1,0,0,0,,,,,"
434,434,Mathematically calculated,434.0,"448,0,0,1,0,0,,,,,449,0,0,0,0,0,,,,,"
435,435,Compare the degree to which eggs come to mind by dropping them,435.0,"450,0,0,0,0,0,,,,,"
436,436,"""The salt water in the A, B, and C beakers is divided into equal amounts and dried, and the salt water is thicker than the salt.",436.0,"451,1,0,0,0,0,,,,,"
437,437,"I use math.""",437.0,"452,0,0,1,0,0,,,,,"
438,438,I'm going to evaporate it,438.0,"453,1,0,0,0,0,,,,,"
439,439,Weight.,439.0,"454,0,0,0,1,0,,,,,"
440,440,Concentration measurement,440.0,"455,1,0,0,0,0,,,,,"
441,441,I don't understand.,441.0,"456,0,0,0,0,0,,,,,"
442,442,Compare the height of the float by inserting a suitable object.,442.0,"457,1,0,0,0,0,,,,,"
443,443,I can see the smell or the richness of salt water with my eyes.,443.0,"458,0,0,0,0,0,,,,,"
444,444,Color,444.0,"459,0,0,0,0,0,,,,,"
445,445,compare by appearance or smell,445.0,"460,1,0,0,0,0,,,,,"
446,446,the degree of turbidity in color,446.0,"461,0,0,0,1,0,,,,,"
447,447,Check transparency,447.0,"462,0,0,1,0,0,,,,,"
448,448,Evaporating,448.0,"463,0,0,0,0,0,,,,,"
449,449,Evaporate. Use a concentration measuring instrument,449.0,"464,0,0,0,1,0,,,,,"
450,450,Concentration measurement,450.0,"465,0,0,0,0,0,,,,,"
451,451,Compare colors.,451.0,"466,0,0,0,0,1,,,,,"
452,452,"When the water evaporates by heating the salt water, the thickness of the salt water is compared with the amount of salt remaining.",452.0,"467,0,0,0,0,1,,,,,"
453,453,the color of water,453.0,"468,0,0,0,0,0,,,,,"
454,454,Evaporation,454.0,"469,0,0,0,0,0,,,,,"
455,455,Measure the concentration,455.0,"470,0,0,1,0,0,,,,,"
456,456,Use the pH level,456.0,"471,1,0,0,0,0,,,,,"
457,457,Look at the concentration,457.0,"472,0,0,0,1,0,,,,,"
458,458,Add more,458.0,"473,1,0,0,0,0,,,,,"
459,459,Weighing or evaporating to see the remaining salt crystals,459.0,"474,0,0,0,0,1,,,,,"
460,460,Compare the amount of salt remaining when sufficiently stirred.,460.0,"475,0,0,1,0,0,,,,,"
461,461,I'm going to pour it into the paper,461.0,"476,0,0,0,0,0,,,,,"
462,462,salinity measurement,462.0,"477,0,1,0,0,0,,,,,"
463,463,Check the degree of blurring.,463.0,"478,0,0,1,0,0,,,,,479,0,0,0,0,0,,,,,"
464,464,Bring to a boil and leave only salt,464.0,"480,0,0,0,1,0,,,,,"
465,465,Look at the sediment.,465.0,"481,0,0,1,0,0,,,,,"
466,466,Compare the thickening using the formula for determining the concentration of salt water.,466.0,"482,1,0,0,0,0,,,,,"
467,467,"I don't know because I haven't done it either, so try it on your own...",467.0,"483,0,1,0,0,0,,,,,"
468,468,I try different things in different ways,468.0,"484,0,0,0,1,0,,,,,"
469,469,Float styrofoam balls or eggs that can use the density difference.,469.0,"485,0,0,0,1,0,,,,,"
470,470,Concentration,470.0,"486,0,0,1,0,0,,,,,"
471,471,Mix in different pigments and check the concentration in the sunken position,471.0,"487,1,0,0,0,0,,,,,"
472,472,Check the turbidity of the water.,472.0,"488,1,0,0,0,0,,,,,"
473,473,Evaporate the water,473.0,"489,0,0,1,0,0,,,,,"
474,474,I don't know.,474.0,"490,1,0,0,0,0,,,,,"
475,475,floating eggs,475.0,"491,1,0,0,0,0,,,,,"
476,476,sheep,476.0,"492,0,0,1,0,0,,,,,"
477,477,The smell,477.0,"493,1,0,0,0,0,,,,,"
478,478,I'm going to add tomatoes,478.0,"494,1,0,0,0,0,,,,,"
479,479,How dark the water is,479.0,"495,0,0,0,0,0,,,,,"
480,480,Measure the base.,480.0,"496,0,0,0,0,1,,,,,"
481,481,Size comparison?,481.0,"497,0,0,0,0,0,,,,,"
482,482,Color and smell,482.0,"498,0,0,0,0,0,,,,,"
483,483,Add water,483.0,"499,0,0,0,0,0,,,,,"
484,484,I'm going to taste it...,484.0,"500,0,0,0,0,0,,,,,"
485,485,Eat.,485.0,"501,0,0,0,1,0,,,,,"
486,486,Think about how much salt you put in before.,486.0,"502,0,0,0,0,0,,,,,"
487,487,Let's see through comparison.,487.0,"503,0,0,0,0,0,,,,,"
488,488,Measure the thickening of the solution.,488.0,"504,0,0,1,0,0,,,,,"
489,489,Try putting small things (food).,489.0,"505,0,0,0,0,0,,,,,"
490,490,Let's see if it's the color,490.0,"506,0,0,0,0,0,,,,,"
491,491,Put something in and see if it pops up or not,491.0,"507,0,0,0,0,1,,,,,"
492,492,I'm tasting it,492.0,"508,0,0,0,0,0,,,,,509,0,0,0,0,0,,,,,"
493,493,It is reported with a salinity meter.,493.0,"510,0,0,0,0,0,,,,,"
494,494,Touch it with your hands.I see salt in her arms,494.0,"511,0,0,0,0,0,,,,,"
495,495,Calculate the intensity of rain and proportion,495.0,"512,0,1,0,0,0,,,,,"
496,496,Smell it.,496.0,"513,0,0,0,0,0,,,,,"
497,497,Check the color,497.0,"514,0,0,0,0,0,,,,,"
498,498,Calculation,498.0,"515,0,1,0,0,0,,,,,"
499,499,Pour all the colors into the beaker water and compare.,499.0,"516,0,1,0,1,0,,,,,"
500,500,the extent to which the salt has subsided,500.0,"517,0,0,0,0,0,,,,,"
501,501,Look at the colors,501.0,"518,0,0,1,0,0,,,,,"
502,502,Seeing with your eyes,502.0,"519,0,0,0,0,0,,,,,"
503,503,Use a salinity meter.,503.0,"520,0,0,1,0,0,,,,,"
504,504,Float the cherry tomatoes.,504.0,"521,0,0,0,1,0,,,,,"
505,505,Add quail eggs.,505.0,"522,0,0,0,1,0,,,,,"
506,506,Compare the figures using a measuring instrument.,506.0,"523,1,0,0,0,0,,,,,"
507,507,Float cherry tomatoes in water.,507.0,"524,0,0,0,1,0,,,,,"
508,508,Add quail eggs.,508.0,"525,0,0,0,0,0,,,,,"
509,509,Make a tool to compare the thickness of the solution and compare it.,509.0,"526,0,0,1,0,0,,,,,"
510,510,Check the weight.,510.0,"527,0,0,0,0,0,,,,,"
511,511,Use cherry tomatoes.,511.0,"528,0,0,0,0,0,,,,,"
512,512,...,512.0,"529,0,0,0,0,0,,,,,"
513,513,Try it.,513.0,"530,0,0,0,0,0,,,,,"
514,514,I don't know.,514.0,"531,0,1,0,0,0,,,,,"
515,515,Smell it,515.0,"532,0,1,1,0,0,,,,,"
516,516,I don't know,516.0,"533,0,1,0,0,0,,,,,"
517,517,I don't know.,517.0,"534,1,0,1,0,0,,,,,"
518,518,Look at the colors,518.0,"535,0,1,0,0,0,,,,,"
519,519,I don't know,519.0,"536,0,1,0,0,0,,,,,"
520,520,salt concentration,520.0,"537,0,0,0,0,0,,,,,"
521,521,I don't know.,521.0,"538,0,1,0,0,0,,,,,539,0,1,0,0,0,,,,,"
522,522,I don't know...,522.0,"540,0,1,0,0,0,,,,,"
523,523,I want to stop,523.0,"541,0,1,0,0,0,,,,,"
524,524,"""Taste""",524.0,"542,0,1,0,0,0,,,,,"
525,525,"I see.""",525.0,"543,0,1,1,0,0,,,,,"
526,526,M and D,526.0,"544,0,0,0,0,0,,,,,"
527,527,"It's done by smell, by sense.",527.0,"545,1,0,0,0,0,,,,,"
528,528,I don't know.,528.0,"546,1,1,1,0,0,,,,,"
529,529,I don't know,529.0,"547,0,1,0,0,0,,,,,"
530,530,the remaining amount of salt,530.0,"548,0,1,0,0,0,,,,,"
531,531,We listen to the opinions of the citizens.,531.0,"549,0,1,0,0,0,,,,,"
532,532,have no idea,532.0,"550,0,0,1,0,0,,,,,"
533,533,See the amount of salt on the floor.,533.0,"551,0,0,1,0,0,,,,,"
534,534,""" The color of the rich of the water to see.",534.0,"552,1,0,0,0,0,,,,,"
535,535,"See the bottom of the beaker that you can tell how much salt is dissolved.""",535.0,"553,0,1,0,0,0,,,,,"
536,536,Add a bit of water.,536.0,"554,0,1,0,0,0,,,,,"
537,537,Sa yoyoa the salinity.,537.0,"555,0,0,0,0,0,,,,,"
538,538,I don't know.,538.0,"556,0,1,0,0,0,,,,,"
539,539,Check the concentration.,539.0,"557,1,0,0,0,0,,,,,"
540,540,See the color.,540.0,"558,0,1,0,0,0,,,,,"
541,541,To check the color.,541.0,"559,0,0,1,0,0,,,,,"
542,542,One carat is 200 milligrams of salt water.,542.0,"560,0,1,0,0,0,,,,,"
543,543,See color.,543.0,"561,0,1,0,0,0,,,,,"
544,544,Or use a lot less water.,544.0,"562,0,0,1,0,0,,,,,"
545,545,Rich in salt water,545.0,"563,0,1,0,0,0,,,,,"
546,546,Put more or less.,546.0,"564,0,0,0,0,0,,,,,"
547,547,I don't know.,547.0,"565,0,1,0,0,0,,,,,"
548,548,I don't understand.,548.0,"566,0,0,1,0,0,,,,,"
549,549,lol,549.0,"567,0,0,0,0,0,,,,,"
550,550,The water evaporates.,550.0,"568,0,0,0,0,1,,,,,569,0,0,0,0,0,,,,,"
551,551,"Concentration meter current as victors, check the amount of salt, to burn it.",551.0,"570,0,1,0,0,0,,,,,"
552,552,Heat salt to evaporate water and compare the amount of salt,552.0,"571,0,0,1,0,0,,,,,"
553,553,It can be seen that the density is compared by using a sodium meter or by adding pigments to each solution and stacking them in layers.,553.0,"572,0,0,0,0,0,,,,,"
554,554,"Smell it. The stronger the salt smells, the thicker the salt water. Or evaporate water. The beaker, which has the largest amount of salt left by evaporating water, is the beaker containing the thickest salt water.",554.0,"573,0,1,0,0,0,,,,,"
555,555,"By heating the three salt water to determine the amount of salt remaining, you can compare the richness of the salt water",555.0,"574,0,0,0,0,0,,,,,"
556,556,Compare how well the current flows by flowing it.,556.0,"575,0,0,0,0,0,,,,,"
557,557,"Compare the amount of crystals produced by evaporating the solution in each beaker, add salt to each solution, compare the boiling point by heating each solution, measure the charge of each solution",557.0,"576,0,0,0,1,0,,,,,"
558,558,Dissolve the same water and heat to the same temperature to compare the remaining amount of salt,558.0,"577,0,0,0,0,0,,,,,"
559,559,Each evaporates a certain amount of water to check the remaining amount of salt and measure the concentration.,559.0,"578,0,0,0,0,1,,,,,"
560,560,Evaporate to check the amount of salt.,560.0,"579,0,0,1,0,0,,,,,"
561,561,Compare the amount of salt produced by evaporating salt water.,561.0,"580,0,0,0,0,0,,,,,"
562,562,Use a concentration meter to check if the concentration of freezing is thicker. Or evaporate water to determine the amount of pure salt to see which is thick,562.0,"581,0,1,0,0,0,,,,,"
563,563,Measure the current with an ammeter by conducting electricity in salt water.,563.0,"582,0,0,0,0,0,,,,,"
564,564,"Several objects of different densities are placed in a se beaker, and if an object is submerged in some beakers, and an object is floating in another, it can be seen that the concentration of salt water in the two beakers is different.",564.0,"583,1,0,1,0,0,,,,,"
565,565,"By calculating the concentration of salt water or comparing the degree of floating by adding the same substance, it is possible to compare the darkest of the most floating solutions, the softest of the least floating solutions, and the difference in boiling point by boiling the solution.",565.0,"584,1,0,0,0,0,,,,,"
566,566,Check the amount of salt by evaporating water.,566.0,"585,1,0,0,0,0,,,,,"
567,567,Compare the richness of salt water by obtaining the amount of salt from the amount of sediment produced by adding ag. The amount of salt left by heating can be determined.,567.0,"586,1,0,0,0,0,,,,,"
568,568,"When all the salt water is evaporated, the water vaporizes and only salt remains. Comparing the amount of salt remaining, it can be concluded that the beaker with the most salt is the darkest. In addition, the salt is ionized into sodium ions and chloride ions in an aqueous solution state and allows electricity to flow. At this time, the more salt, the more ions, so electricity flows well. Therefore, the higher the intensity of electricity flow, the stronger the salt water is.",568.0,"587,1,0,0,0,0,,,,,"
569,569,The relative concentration of the liquid may be measured by directly comparing the concentrations or by equalizing the mass of the liquid.,569.0,"588,0,0,1,0,0,,,,,"
570,570,"Use a formula for the concentration of salt water. Since the amount of salt = concentration/100* amount of salt water, the intensity (concentration) of salt water can be obtained using this formula.",570.0,"589,0,0,1,0,0,,,,,"
571,571,"Buoyancy depends on the concentration of salt water. The stronger the concentration, the higher the buoyancy, and using these properties, you can compare the richness of the salt water by adding eggs to each salt water to compare how much the egg floats.",571.0,"590,0,0,0,0,0,,,,,"
572,572,"Evaporate the water. If all the water in the beaker is evaporated using the principle of obtaining salt by evaporating seawater from the salt field, salt will come out for each beaker. At this time, you can compare the amount of salt to compare the richness of the salt water.",572.0,"591,0,1,0,0,0,,,,,"
573,573,"There is a method of comparing the intensity of the current or directly depositing salt. There is a way to compare the intensity of the current through electricity. Salt is ionized when it enters the water and current flows, so the intensity of the current can be compared. Another method is to evaporate water by continuously heating it.",573.0,"592,0,1,0,0,0,,,,,"
574,574,"""I'll add more water.",574.0,"593,0,1,0,0,0,,,,,"
575,575,"""",575.0,"594,1,0,0,0,0,,,,,"
576,576,Evaporate. Measure the magnitude of the resistance by sending electricity (with the brightness of the bulb),576.0,"595,0,0,1,0,0,,,,,"
577,577,float an egg,577.0,"596,0,0,0,0,0,,,,,"
578,578,I'm going to boil it,578.0,"597,0,1,0,0,0,,,,,"
579,579,Salinity meter,579.0,"598,1,0,0,0,0,,,,,599,0,0,0,0,0,,,,,"
580,580,boil,580.0,"600,0,0,0,0,0,,,,,"
581,581,Comparison of boiling computer melting points,581.0,"601,1,0,0,0,0,,,,,"
582,582,"Measure the concentration of NaCl, just measure the concentration of the solution, measure the electromagnetic force",582.0,"602,1,0,0,0,0,,,,,"
583,583,Count the number of salt left over by heating,583.0,"603,1,0,0,0,0,,,,,"
584,584,Smell it,584.0,"604,0,1,0,0,0,,,,,"
585,585,I'm going to boil it,585.0,"605,0,1,0,0,0,,,,,"
586,586,Measure it with a concentrator.,586.0,"606,0,0,1,0,0,,,,,"
587,587,Use osmotic pressure,587.0,"607,0,1,0,0,0,,,,,"
588,588,I'm going to drink it,588.0,"608,0,0,1,0,0,,,,,"
589,589,I don't know.,589.0,"609,0,0,0,0,0,,,,,"
590,590,Check the level of melting in the water,590.0,"610,1,0,0,0,0,,,,,"
591,591,Measure the concentration with a concentration meter,591.0,"611,0,0,1,0,0,,,,,"
