,Unnamed: 0,"4. Hyunjin went to the swimming pool with his friends on a hot summer day. When I came out for a while after swimming excitedly with my friends, my body suddenly trembled and felt cold. Why did Hyunjin feel nervous and cold when he came out of the water even though it was a hot summer day? Let's talk about changes in the state of matter.",Unnamed: 0,", q59_evaporation, q59_heat, q59_vaporization, q59_cold"
315,315,This is because water vaporizes and takes away body temperature.,315.0,"325,1,0,0,0"
316,316,"This is because when water evaporates, it absorbs the temperature around it.",316.0,"326,0,0,0,0"
317,317,It feels cold because the moisture-containing warmth is instantly taken away.,317.0,"327,1,0,0,1"
318,318,This is because the water on the body evaporates and takes away our Mong's body temperature.,318.0,"328,1,0,0,0329,0,0,0,0"
319,319,"Because the heat in our body escapes,",319.0,"330,1,0,0,0"
320,320,"This is because when water evaporates, it takes out body temperature.",320.0,"331,0,0,0,0"
321,321,"When the water dries, it absorbs the heat of evaporation. This is the same principle that sweat cools down when it evaporates. This is how we feel cold because water absorbs heat from the skin and vaporizes the water.",321.0,"332,1,0,0,0"
322,322,It's because your body loses heat,322.0,"333,1,0,0,0"
323,323,It's because the water takes away the body heat while the body is wet,323.0,"334,0,0,0,0"
324,324,"As the water evaporated, the heat dissipated into the air",324.0,"335,0,0,0,0"
325,325,I don't know,325.0,"336,0,0,0,0"
326,326,a change in body temperature,326.0,"337,0,0,0,0"
327,327,"When water changes and evaporates, it absorbs the heat of caution, so the body feels cold.",327.0,"338,0,0,0,0"
328,328,This is because the vaporization of the liquid into a gas causes heat to be released.,328.0,"339,0,1,0,0"
329,329,"As the water evaporates, the body's heat disappears",329.0,"340,0,0,0,0"
330,330,"Because the temperature in the water and outside the atmosphere are different, the body needs to maintain the temperature",330.0,"341,0,0,0,0"
331,331,"Energy is needed to evaporate water from the body into water vapor, and the body temperature drops because water evaporates using the heat energy of our body.",331.0,"342,0,1,0,0"
332,332,"As the water evaporates, the body's heat disappears",332.0,"343,0,0,0,0"
333,333,It's cold because of the wind,333.0,"344,0,0,0,0"
334,334,Water evaporates and takes away body temperature,334.0,"345,1,0,0,0"
335,335,"Since the temperature of your body changes according to the temperature in the water in the water, when you come out, the temperature decreases further as the water dries, so you feel cold.",335.0,"346,0,1,0,0"
336,336,Because the water dries up and takes away the heat from your body,336.0,"347,1,0,0,0"
337,337,He took my temperature away,337.0,"348,1,1,0,0"
338,338,HYUNJIN was a sick friend with a rare disease with low body temperature,338.0,"349,1,0,0,0"
339,339,It's because you live in Yotunheim,339.0,"350,0,0,0,0"
340,340,My body temperature went down,340.0,"351,0,0,0,0"
341,341,"It evaporates as the water dries, but the body is cold because it takes away the heat around it while evaporating.",341.0,"352,0,0,0,0"
342,342,I'm weak,342.0,"353,1,1,0,0"
343,343,"Due to the absorption of heat from vaporization,",343.0,"354,0,0,1,0"
344,344,I think it's because the body temperature is low and then suddenly high,344.0,"355,0,0,1,0"
345,345,"Because when water meets hot heat and evaporates, it goes up with the body's",345.0,"356,0,0,1,0"
346,346,Because the temperature inside the water is different from the temperature outside,346.0,"357,0,0,0,0"
347,347,It's hypothermia,347.0,"358,0,0,0,0359,1,0,0,0"
348,348,It's because the heat from the body evaporates,348.0,"360,1,0,0,0"
349,349,Because my body temperature is low in the water and my body is cold.,349.0,"361,0,0,1,0"
350,350,I also feel cold when I go to the swimming pool and go outside,350.0,"362,1,1,0,0"
351,351,Your body temperature goes down with water,351.0,"363,0,0,0,0"
352,352,"When I go to the swimming pool and come outside, I do it too",352.0,"364,0,0,0,0"
353,353,"""When a person's body temperature falls and the temperature outside meets the temperature, he or she becomes cold",353.0,"365,0,0,0,0"
354,354,"""I'm going to wear it""",354.0,"366,1,0,0,0"
355,355,Water takes away body temperature because it has the property of evaporating.,355.0,"367,1,0,1,0"
356,356,This is because it is relatively cold outside the water than inside the water.,356.0,"368,0,0,0,0"
357,357,"The temperature is high because it is hot summer, so it gets cold by taking away the heat of vaporization.",357.0,"369,1,1,0,0"
358,358,"This is because water heats up faster than the ground, making it warmer",358.0,"370,0,1,0,0"
359,359,It is cold because the water in the body evaporates momentarily after coming out of the swimming pool.,359.0,"371,1,0,1,0"
360,360,"When you come out in a wet state, evaporation occurs, and the ambient temperature is lowered due to the absorption of the vaporization heat of the water. In addition, it is a summer with more sunlight, so the evaporation rate is also fast (of course, it can be less affected because of the high humidity), so the temperature drops more easily. Therefore, the body becomes cold due to evaporation of water.",360.0,"372,0,0,1,0"
361,361,?Change in the state of matter?,361.0,"373,0,0,0,0"
362,362,It's cold as the water dries,362.0,"374,1,1,0,0"
363,363,This is because the body's heat is released when water evaporates,363.0,"375,1,1,0,0"
364,364,It's because it takes away your body's temperature,364.0,"376,0,1,0,0"
365,365,The water on HYUNJIN's body vaporizes with the heat and his body temperature,365.0,"377,1,0,1,0"
366,366,Cold as moisture dries,366.0,"378,0,0,0,0"
367,367,Because I was in cold water and suddenly came out into the hot air.,367.0,"379,1,1,0,0"
368,368,All right.,368.0,"380,0,0,0,0"
369,369,The water gets cold by exertion,369.0,"381,0,1,0,0"
370,370,I don't know,370.0,"382,1,0,1,0"
371,371,This is because water vaporizes and absorbs heat.,371.0,"383,1,1,0,0"
372,372,This is because Hyunjin took away the heat from his body as the water evaporated.,372.0,"384,0,1,0,0"
373,373,.,373.0,"385,1,0,1,0"
374,374,"This is because Hyun-jin's body is adapted to the swimming pool water and the temperature drops, but as he goes outside, the lowered body temperature comes into contact with the warm outside air to convey the feeling.",374.0,"386,1,0,1,0"
375,375,The body feels cold because it is adapted to the temperature in the water and is exposed to a very different temperature.,375.0,"387,0,0,0,0"
376,376,I was in the water and came out,376.0,"388,1,0,0,0389,1,1,1,0"
377,377,by the wind,377.0,"390,1,0,1,0"
378,378,The temperature feels cold because it is difficult to adjust to the temperature of the outside because I have adjusted to the temperature of the water.,378.0,"391,1,1,1,0"
379,379,"Because the water is cold and when it comes out, it's wide",379.0,"392,0,0,0,0"
380,380,This is because the heat in my body evaporates and escapes together.,380.0,"393,1,0,0,0"
381,381,"Water (water droplets) dried in the air, so the body was wet, and the body was cold and trembling because the temperature of the body dropped as the water dried by the air.",381.0,"394,1,1,0,0"
382,382,My body's heat is taken away from me,382.0,"395,1,0,0,0"
383,383,This is because the heat in the body is taken away after playing in the water.,383.0,"396,0,0,0,0"
384,384,It's because water on your body takes away the temperature,384.0,"397,0,0,0,1"
385,385,"The water cools and cools when it meets the air, and because of this, when the water in the body dries, the body temperature decreases and the body becomes cold.",385.0,"398,1,0,0,0"
386,386,"When you come out of the water, the water in the body evaporates, depriving the body of vaporization heat and lowering the body's heat.",386.0,"399,0,0,0,0"
387,387,This is because the body's heat escapes as the water evaporates.,387.0,"400,0,0,0,0"
388,388,The body is cold because the water evaporates.,388.0,"401,0,0,1,0"
389,389,Because water evaporates and takes away the body's heat,389.0,"402,0,0,0,0"
390,390,"The water is cool and cold, so when you play in the water, it feels colder when the temperature is adjusted to the water and comes out of the water.",390.0,"403,0,0,0,0"
391,391,This is because water takes away heat when it evaporates.,391.0,"404,1,0,0,0"
392,392,It feels cold because it takes away the heat from your body.,392.0,"405,0,0,0,0"
393,393,The water evaporates and takes away the heat from your body,393.0,"406,1,0,0,0"
394,394,in the heat of the water,394.0,"407,0,0,0,0"
395,395,"This is because the body is swollen with moisture.As the water evaporates, a change in state occurs, and the surrounding temperature decreases by absorbing heat. Therefore, it feels cold.",395.0,"408,0,0,0,0"
396,396,Body temperature is lowered due to heat absorption,396.0,"409,0,0,0,0"
397,397,"When the phase changes from a liquid to a gas, the heat of vaporization is absorbed",397.0,"410,0,1,0,0"
398,398,I'm not sure about this,398.0,"411,0,0,0,0"
399,399,Your body temperature drops so fast,399.0,"412,1,0,0,0"
400,400,"When it evaporates, the air around it cools, so it's cold",400.0,"413,1,0,1,0"
401,401,Because HYUNJIN is not a manly man yet,401.0,"414,0,0,0,1"
402,402,..,402.0,"415,1,0,0,0"
403,403,I know,403.0,"416,0,0,0,0"
404,404,"It's cold, but it's still cold",404.0,"417,0,0,0,0"
405,405,"As the water dries, the moisture in the body escapes",405.0,"418,1,0,1,0419,0,0,0,0"
406,406,"Water evaporates and takes heat, which seems to be why our bodies are cold",406.0,"420,0,0,0,0"
407,407,Because it is cold in the water.,407.0,"421,0,0,0,0"
408,408,Because the temperature dropped,408.0,"422,1,1,0,0"
409,409,Water changes temperature easily,409.0,"423,1,0,1,0"
410,410,"""I don't know.""",410.0,"424,0,1,0,0"
411,411,"""",411.0,"425,1,1,0,0"
412,412,"The temperature of the water is higher than that of the outdoor air, so it feels cold at the moment.",412.0,"426,1,0,0,0"
413,413,The moisture in your body is gone too,413.0,"427,1,1,0,0"
414,414,This is because water vaporizes and takes away body temperature.,414.0,"428,1,0,1,0"
415,415,"This is because when water evaporates, it absorbs the temperature around it.",415.0,"429,0,0,0,0"
416,416,It feels cold because the moisture-containing warmth is instantly taken away.,416.0,"430,0,0,0,0"
417,417,This is because the water on the body evaporates and takes away our Mong's body temperature.,417.0,"431,1,0,0,0"
418,418,"Because the heat in our body escapes,",418.0,"432,1,0,1,0"
419,419,"This is because when water evaporates, it takes out body temperature.",419.0,"433,0,0,0,0"
420,420,"When the water dries, it absorbs the heat of evaporation. This is the same principle that sweat cools down when it evaporates. This is how we feel cold because water absorbs heat from the skin and vaporizes the water.",420.0,"434,1,1,0,0"
421,421,It's because your body loses heat,421.0,"435,1,0,0,0"
422,422,It's because the water takes away the body heat while the body is wet,422.0,"436,1,1,1,0"
423,423,"As the water evaporated, the heat dissipated into the air",423.0,"437,1,0,1,0"
424,424,I don't know,424.0,"438,1,0,0,0"
425,425,a change in body temperature,425.0,"439,1,0,1,0"
426,426,"When water changes and evaporates, it absorbs the heat of caution, so the body feels cold.",426.0,"440,1,1,0,0"
427,427,This is because the vaporization of the liquid into a gas causes heat to be released.,427.0,"441,1,0,1,0"
428,428,"As the water evaporates, the body's heat disappears",428.0,"442,0,0,0,0"
429,429,"Because the temperature in the water and outside the atmosphere are different, the body needs to maintain the temperature",429.0,"443,1,0,0,0"
430,430,"Energy is needed to evaporate water from the body into water vapor, and the body temperature drops because water evaporates using the heat energy of our body.",430.0,"444,1,1,0,0"
431,431,"As the water evaporates, the body's heat disappears",431.0,"445,1,1,0,0"
432,432,It's cold because of the wind,432.0,"446,0,0,0,0"
433,433,Water evaporates and takes away body temperature,433.0,"447,0,0,1,0"
434,434,"Since the temperature of your body changes according to the temperature in the water in the water, when you come out, the temperature decreases further as the water dries, so you feel cold.",434.0,"448,0,0,0,0449,1,1,0,0"
435,435,Because the water dries up and takes away the heat from your body,435.0,"450,0,0,1,0"
436,436,He took my temperature away,436.0,"451,0,0,0,0"
437,437,HYUNJIN was a sick friend with a rare disease with low body temperature,437.0,"452,0,0,0,0"
438,438,It's because you live in Yotunheim,438.0,"453,1,1,0,0"
439,439,My body temperature went down,439.0,"454,1,0,0,0"
440,440,"It evaporates as the water dries, but the body is cold because it takes away the heat around it while evaporating.",440.0,"455,0,0,0,0"
441,441,I'm weak,441.0,"456,0,0,1,0"
442,442,"Due to the absorption of heat from vaporization,",442.0,"457,1,1,0,0"
443,443,I think it's because the body temperature is low and then suddenly high,443.0,"458,1,0,1,0"
444,444,"Because when water meets hot heat and evaporates, it goes up with the body's",444.0,"459,1,1,0,0"
445,445,Because the temperature inside the water is different from the temperature outside,445.0,"460,1,0,0,0"
446,446,It's hypothermia,446.0,"461,1,0,1,0"
447,447,It's because the heat from the body evaporates,447.0,"462,1,1,0,0"
448,448,Because my body temperature is low in the water and my body is cold.,448.0,"463,0,0,0,0"
449,449,I also feel cold when I go to the swimming pool and go outside,449.0,"464,1,1,0,0"
450,450,Your body temperature goes down with water,450.0,"465,0,0,1,0"
451,451,"When I go to the swimming pool and come outside, I do it too",451.0,"466,1,1,0,0"
452,452,"""When a person's body temperature falls and the temperature outside meets the temperature, he or she becomes cold",452.0,"467,1,1,0,0"
453,453,"""I'm going to wear it""",453.0,"468,1,0,0,0"
454,454,Water takes away body temperature because it has the property of evaporating.,454.0,"469,1,0,0,0"
455,455,This is because it is relatively cold outside the water than inside the water.,455.0,"470,1,0,0,0"
456,456,"The temperature is high because it is hot summer, so it gets cold by taking away the heat of vaporization.",456.0,"471,0,0,0,0"
457,457,"This is because water heats up faster than the ground, making it warmer",457.0,"472,1,1,0,0"
458,458,It is cold because the water in the body evaporates momentarily after coming out of the swimming pool.,458.0,"473,1,0,0,0"
459,459,"When you come out in a wet state, evaporation occurs, and the ambient temperature is lowered due to the absorption of the vaporization heat of the water. In addition, it is a summer with more sunlight, so the evaporation rate is also fast (of course, it can be less affected because of the high humidity), so the temperature drops more easily. Therefore, the body becomes cold due to evaporation of water.",459.0,"474,0,0,0,0"
460,460,?Change in the state of matter?,460.0,"475,1,0,0,0"
461,461,It's cold as the water dries,461.0,"476,1,0,1,0"
462,462,This is because the body's heat is released when water evaporates,462.0,"477,0,0,0,0"
463,463,It's because it takes away your body's temperature,463.0,"478,0,0,0,0479,0,0,0,0"
464,464,The water on HYUNJIN's body vaporizes with the heat and his body temperature,464.0,"480,0,0,0,0"
465,465,Cold as moisture dries,465.0,"481,0,0,1,0"
466,466,Because I was in cold water and suddenly came out into the hot air.,466.0,"482,0,0,0,1"
467,467,All right.,467.0,"483,0,0,0,0"
468,468,The water gets cold by exertion,468.0,"484,1,1,0,0"
469,469,I don't know,469.0,"485,0,0,0,0"
470,470,This is because water vaporizes and absorbs heat.,470.0,"486,0,1,0,0"
471,471,This is because Hyunjin took away the heat from his body as the water evaporated.,471.0,"487,0,0,0,0"
472,472,.,472.0,"488,0,0,0,1"
473,473,"This is because Hyun-jin's body is adapted to the swimming pool water and the temperature drops, but as he goes outside, the lowered body temperature comes into contact with the warm outside air to convey the feeling.",473.0,"489,0,1,0,0"
474,474,The body feels cold because it is adapted to the temperature in the water and is exposed to a very different temperature.,474.0,"490,0,0,0,1"
475,475,I was in the water and came out,475.0,"491,0,0,0,0"
476,476,by the wind,476.0,"492,1,1,0,0"
477,477,The temperature feels cold because it is difficult to adjust to the temperature of the outside because I have adjusted to the temperature of the water.,477.0,"493,0,0,0,0"
478,478,"Because the water is cold and when it comes out, it's wide",478.0,"494,1,0,0,0"
479,479,This is because the heat in my body evaporates and escapes together.,479.0,"495,0,0,0,1"
480,480,"Water (water droplets) dried in the air, so the body was wet, and the body was cold and trembling because the temperature of the body dropped as the water dried by the air.",480.0,"496,1,1,0,0"
481,481,My body's heat is taken away from me,481.0,"497,1,0,1,0"
482,482,This is because the heat in the body is taken away after playing in the water.,482.0,"498,0,1,0,0"
483,483,It's because water on your body takes away the temperature,483.0,"499,0,0,0,0"
484,484,"The water cools and cools when it meets the air, and because of this, when the water in the body dries, the body temperature decreases and the body becomes cold.",484.0,"500,0,0,0,0"
485,485,"When you come out of the water, the water in the body evaporates, depriving the body of vaporization heat and lowering the body's heat.",485.0,"501,1,0,0,0"
486,486,This is because the body's heat escapes as the water evaporates.,486.0,"502,1,1,0,0"
487,487,The body is cold because the water evaporates.,487.0,"503,0,0,0,0"
488,488,Because water evaporates and takes away the body's heat,488.0,"504,0,0,0,0"
489,489,"The water is cool and cold, so when you play in the water, it feels colder when the temperature is adjusted to the water and comes out of the water.",489.0,"505,0,0,0,0"
490,490,This is because water takes away heat when it evaporates.,490.0,"506,1,0,0,0"
491,491,It feels cold because it takes away the heat from your body.,491.0,"507,0,0,0,0"
492,492,The water evaporates and takes away the heat from your body,492.0,"508,0,0,0,0509,0,0,0,0"
493,493,in the heat of the water,493.0,"510,0,0,0,0"
494,494,This is because the body is swollen with moisture.7.64857E+17,494.0,"511,0,0,0,0"
495,495,It's because the water evaporates and takes away my body temperature,495.0,"512,1,0,0,0"
496,496,The water dries up and the temperature outside is colder than the temperature inside,496.0,"513,0,0,0,0"
497,497,This is because water becomes gas from a liquid.,497.0,"514,0,0,0,0"
498,498,There's a temperature difference between the water and the outside,498.0,"515,0,0,0,0"
499,499,"As Muric dried up, he took Hyunjin's precious body temperature and dried up",499.0,"516,1,1,0,0"
500,500,This is because water absorbs heat of vaporization when it evaporates.,500.0,"517,0,1,0,0"
501,501,I lost my temperature to water,501.0,"518,0,1,0,0"
502,502,This is because the water on the body comes out of the water and cools as it evaporates with the air.,502.0,"519,0,0,0,0"
503,503,This is because moisture in the body evaporates and the temperature is also taken away.,503.0,"520,1,0,1,0"
504,504,The body trembles as the moisture on the body evaporates into the air.,504.0,"521,0,0,0,0"
505,505,This is because moisture in the body evaporates and the temperature is also taken away.,505.0,"522,1,1,0,0"
506,506,be affected by changes in the environment around a substance,506.0,"523,1,0,1,0"
507,507,"The swimming pool was opened in the summer, and the sun shot hot water, so the water was lukewarm, so I felt cold when I came out of the swimming pool.",507.0,"524,0,0,0,0"
508,508,"If you ask Naver intellectual, people will kindly explain it to you.^^",508.0,"525,1,0,1,0"
509,509,You feel cold as the moisture in your body evaporates into the air.,509.0,"526,0,0,0,0"
510,510,I don't understand.,510.0,"527,0,0,0,1"
511,511,It's cold,511.0,"528,1,0,0,0"
512,512,I don't know.,512.0,"529,0,0,0,0"
513,513,It's because I've been in cold water for too long.,513.0,"530,1,0,0,0"
514,514,M and D,514.0,"531,0,0,0,0"
515,515,"This is because when water evaporates, it evaporates with heat.",515.0,"532,1,0,0,0"
516,516,out of body temperature,516.0,"533,0,0,0,0"
517,517,I don't know,517.0,"534,1,0,0,0"
518,518,I don't understand.,518.0,"535,0,1,0,0"
519,519,This is because water droplets attached to the body evaporate into gas and take up heat from the body.,519.0,"536,0,0,0,1"
520,520,The moisture in your body takes heat when the wind blows,520.0,"537,0,0,0,1"
521,521,"This is because when water dries out of the body, the body temperature also escapes.",521.0,"538,0,0,0,0539,0,0,0,1"
522,522,"As the water dries, it takes away the heat from your body",522.0,"540,0,0,0,1"
523,523,This is because the water in the body evaporates and absorbs heat and flies away.,523.0,"541,0,0,0,0"
524,524,I got water on my body,524.0,"542,0,1,0,0"
525,525,"When water dries, water evaporates, but as water evaporates, it takes away heat from our skin and lowers our body temperature",525.0,"543,0,0,0,0"
526,526,The body temperature will be lowered because water evaporates into water vapor and absorbs heat from vaporization,526.0,"544,1,0,0,0"
527,527,The water is just cold,527.0,"545,0,0,0,0"
528,528,"This is because when the water on the skin evaporates and becomes water vapor, it absorbs heat as it evaporates, and the temperature around it temporarily drops.",528.0,"546,1,1,0,0"
529,529,Because my body temperature dropped,529.0,"547,0,0,0,0"
530,530,"As the body temperature comes out of the water, the temperature changes, so it escapes.",530.0,"548,1,1,0,0"
531,531,"This is because when you come out of the swimming pool, the water dries and dries with sweat, so your body temperature is less maintained.",531.0,"549,0,0,0,0"
532,532,Water on your body lowers your body temperature,532.0,"550,0,0,0,0"
533,533,This is because the water dries quickly.,533.0,"551,0,1,0,0"
534,534,This is because the body has a fever.,534.0,"552,0,0,1,0"
535,535,It's because water evaporates,535.0,"553,0,0,1,0"
536,536,I'm sorry I majored in liberal arts,536.0,"554,1,1,0,0"
537,537,"When I come out, the water becomes steam and flies away, so it seems to be getting cold.",537.0,"555,0,1,0,0"
538,538,"When the water dries, when the liquid turns into a gas, it takes away the heat around it and changes, so it feels cold.",538.0,"556,0,0,0,1"
539,539,"When you come out of cold water, the temperature difference gets worse, so it gets cold",539.0,"557,1,1,0,0"
540,540,The temperature inside and outside the water are different,540.0,"558,1,0,1,0"
541,541,"I adjusted to the temperature of the water when I was swimming, but I couldn't because I came out of the water.",541.0,"559,0,1,0,0"
542,542,The temperature of my body in the water and the temperature of my body are different,542.0,"560,0,0,1,0"
543,543,Because the temperature inside the water is different from the temperature outside,543.0,"561,0,0,1,0"
544,544,I don't know,544.0,"562,1,0,0,0"
545,545,The body temperature dropped because the body temperature was taken away by the water because it stayed in the water.,545.0,"563,1,0,0,0"
546,546,fall flat on one's body,546.0,"564,1,1,0,0"
547,547,Because the body temperature drops as the water dries,547.0,"565,1,1,0,0"
548,548,It is cold when you come out because the temperature of your body is lowered because you are in the water.,548.0,"566,1,1,0,0"
549,549,"As the water evaporates, it takes away the heat from our bodies, so we feel cold because the heat is instantly taken away.",549.0,"567,1,1,0,0"
550,550,It's because I've been in the water for too long,550.0,"568,0,0,1,0569,1,1,0,0"
551,551,"When the water dries, it takes away the heat from the object",551.0,"570,1,1,0,0"
552,552,Dehydration. Or the change that occurs when the body is stirred in water and the cold air meet,552.0,"571,1,1,0,0"
553,553,The moisture in my body is gone,553.0,"572,1,1,0,0"
554,554,This is because water has the property of stealing the temperature around it.,554.0,"573,1,1,1,0"
555,555,"During state conversion, vaporization from a liquid to a gas can be called an endothermic reaction, in which water absorbs heat and feels cool in the body.",555.0,"574,1,0,1,0"
556,556,"During state conversion, vaporization from a liquid to a gas can be called an endothermic reaction, in which water absorbs heat and feels cool in the body.",556.0,"575,1,1,0,0"
557,557,"As the water evaporates, it takes moisture out, and heat is also released.So it is cold as the body temperature decreases.",557.0,"576,1,1,1,0"
558,558,This is because the water around the body became gas and took away the heat from the body.,558.0,"577,1,1,0,0"
559,559,"This is because when we go to a hot place after staying in a cold place, the temperature difference is so great that we try to set the temperature in our bodies",559.0,"578,1,0,1,0"
560,560,"The body feels cold because it takes away the heat from the body as it evaporates, which is a phenomenon in which water in the body changes into gas.",560.0,"579,1,1,0,0"
561,561,"The body is cold because water in the body evaporates as it absorbs heat from the surrounding body, that is, vaporization occurs. In conclusion, you feel cold because the heat in your body is absorbed as the water evaporates",561.0,"580,1,0,0,0"
562,562,This is because the body temperature is taken away as the water that was stuck to the body flies away.,562.0,"581,1,0,0,0"
563,563,"First, the temperature is much lower than in summer weather because the water has a large specific heat. When you come out of swimming there, your body temperature drops, and since water absorbs heat in the process of evaporating, it absorbs all the heat from the skin and becomes cold.",563.0,"582,0,0,0,1"
564,564,This is because water absorbs heat from the surroundings as it sublimates.,564.0,"583,1,0,0,0"
565,565,"I feel cold when I come out of the pool after swimming continuously. The reason can be explained by one example. When spraying waterpas or alcohol disinfectants on the body, you can feel very cool in a moment. It is based on the principle of vaporization. Waterpas and alcohol disinfectants vaporize very quickly, lowering the body's temperature. Therefore, when you come out of the water, the temperature of the body decreases as moisture on the surface of the body evaporates.",565.0,"584,0,0,0,0"
566,566,"Just as spraying water on the floor dries and cools the surroundings, the water on the body turns into gas and vaporizes (taking away heat energy), so you feel cold.",566.0,"585,1,1,0,0"
567,567,"When water evaporates, it gets cold because it also takes heat.",567.0,"586,1,0,1,0"
568,568,"When the water dries, it takes away the heat. This is called evaporation heat and is taken away for use when changing states. It's midsummer, but it takes away your body temperature, so your body shakes and feels cold. When the body's water dries up, this phenomenon also disappears.",568.0,"587,1,1,0,0"
569,569,"This is because when you are in water, your body temperature is taken away from the water, and when you come out of the water, the water remaining in the body dries, you need a temperature to dry, and the temperature you need here is taken from your body temperature.",569.0,"588,1,1,0,0"
570,570,"""The water (liquid) in your body evaporates into water vapor",570.0,"589,1,1,0,0"
571,571,Energy must be obtained when evaporating from a liquid to a gas.,571.0,"590,1,1,0,0"
572,572,"That energy is taken away from the surrounding heat, and it's taken away from the body",572.0,"591,1,1,1,0"
573,573,"We feel cold.""",573.0,"592,1,1,0,0"
574,574,"It feels colder because it absorbs the heat around it due to the heat of vaporization. Also, even if you are outside bare body, a thin layer of air is formed around your skin at body temperature, which disappears.",574.0,"593,1,1,0,0"
575,575,"The temperature of the water is low, so it gets cold as the body temperature is taken away. And when the water on the skin evaporates, heat is needed, and the body temperature is taken away.",575.0,"594,0,0,0,0"
576,576,"Water (liquid) in the body evaporates into water vapor (gas), and when it evaporates from liquid to gas, energy must be obtained. The energy takes away the surrounding heat and gets energy, which makes us feel cold because it takes away the heat from our bodies.",576.0,"595,0,0,0,0"
577,577,The body felt cold because the body's moisture evaporates with heat and takes away the body's heat.,577.0,"596,1,0,0,0"
578,578,"As it comes out of the water, the moisture attached to the body dries, which is a process in which a liquid called water becomes a gas. In this process, water requires energy to vaporize, and since heat is used around it, the body loses heat and becomes cold.",578.0,"597,1,0,0,0"
579,579,"The process of vaporizing the process of going from liquid to gas during the change in state of a substance is called liquefaction, and Hyunjin's case is vaporization because the water dries. At this time, in order for the conversion process from liquid to vaporization to become farther away, the changing system absorbs heat and causes an endothermic reaction, but the temperature is lowered because the heat is lost due to the reaction of the system.",579.0,"598,0,0,0,0599,1,0,0,0"
580,580,"""When you come out of the water, you have water on your body, and the water turns into gas over time",580.0,"600,1,1,0,0"
581,581,We usually describe this phenomenon as dry. But the scientific term for this phenomenon is:,581.0,"601,1,1,1,0"
582,582,"It refers to the change of a liquid into a gaseous state due to vaporization. In this process, the liquid is in a gaseous state",582.0,"602,1,1,0,0"
583,583,"It absorbs the heat around it to change, and the water on the body is also used to become a gas",583.0,"603,1,1,0,0"
584,584,"It absorbs heat around the body. Because of that, the temperature around your body decreases, so like the above",584.0,"604,1,0,1,0"
585,585,"The phenomenon is what happens.""",585.0,"605,1,1,1,0"
586,586,"As Hyun-jin comes out of the water from the swimming pool, the water from the swimming pool sticks to the body and comes out together. This water turns into water vapor as it releases heat energy and turns into a gaseous state, which is called vaporization. Hyunjin must have felt cold because the heat energy she had was used for vaporization.",586.0,"606,0,0,0,0"
587,587,"This is because the substance releases or absorbs heat energy when the state changes. This is because when we come out of the pool, the water on our bodies vaporizes and absorbs the heat energy around us, so our bodies lose heat energy. I'm nervous because the water vaporizes and takes away the heat from our bodies.",587.0,"607,1,0,0,0"
588,588,"When you enter the swimming pool and come out, you come out with water all over your body.However, when the water on the body evaporates, it takes away the heat from the body and changes from liquid to gas.So Hyunjin, who lost his body heat, felt cold even though the weather was hot.",588.0,"608,1,0,0,0"
589,589,"As the water that existed in the body vaporizes, it absorbs heat from the body together, so our body lost heat and felt nervous and cold.",589.0,"609,0,0,1,0"
590,590,"This is because liquid moisture on the surface of the body evaporates into gas, resulting in heat of vaporization that takes away the body's heat.",590.0,"610,1,1,0,0"
591,591,Because the water has evaporated.,591.0,"611,1,0,0,0"
592,592,"When the water dries, it feels cold because it evaporates with heat",592.0,"612,1,0,1,0"
593,593,"Of course, it was because of the temperature difference since you were in the water.The body trembles as the water on the body evaporates.",593.0,"613,0,0,0,0"
594,594,"Hah, hah, hah.",594.0,"614,1,1,0,0"
595,595,This is because the water vaporizes and takes away our body temperature.,595.0,"615,1,1,0,0"
596,596,The body feels cold because the water in the body vaporizes and absorbs the heat around it.,596.0,"616,1,1,0,0"
597,597,This is because the water vaporizes and takes away the heat around it.,597.0,"617,1,1,1,0"
598,598,"""As the water flies away, your body temperature also goes away.""",598.0,"618,1,1,0,0"
599,599,"""",599.0,"619,0,1,0,0"
600,600,This is because the water on the body evaporates and takes away heat.,600.0,"620,0,0,1,0"
601,601,The water vaporizes over time and heats up the body,601.0,"621,1,0,1,0"
602,602,"The water on the body vaporizes and absorbs the heat of vaporization, and then it takes away the heat from the body, so you feel cold. When you feel that your body temperature has dropped in your brain, your body muscles tremble and gradually recover your body temperature.",602.0,"622,0,0,1,0"
603,603,Because the water vaporizes and drains the heat from our bodies,603.0,"623,0,0,1,0"
604,604,"The water attached to the body vaporizes over time, and the body heat also flies away.",604.0,"624,0,1,1,0"
605,605,This is because the temperature in the body decreased as the water entered.,605.0,"625,1,0,1,0"
606,606,"It's because when you come out of the water, the water in your body gets cold",606.0,"626,0,0,1,0"
607,607,Because it gets cold as the water dries.,607.0,"627,1,0,0,0"
608,608,"Hyun-jin, who has been in the water for a long time, loses water while the water dries when the temperature of his body drops and his body temperature drops a little more.",608.0,"628,1,0,1,0629,1,0,1,0"
609,609,Hyunjin's whole body is red from fear.,609.0,"630,1,0,1,0"
610,610,"When moisture escapes, the body feels cold because air enters the remaining part, and for this reason, when hot water is sprayed on the body when fever occurs, the moisture escapes and cools the body, so as in some cases, the moisture vaporizes and feels cold.",610.0,"631,1,0,1,0"
