,Unnamed: 0,1) Explain the different ways you can do to dissolve all the salt that has not been dissolved in the C beaker. ,Unnamed: 0,", q35_temperature, q35_amount of water, q35_stirting, q35_temperature.1,q35_amount of water. 1,q35_stirring.1"
274,274,2. Stir in salt water,274.0,"283,1,0,0,,,"
275,275,"3. Add warm water""",275.0,"284,1,0,0,,,"
276,276,Add a lot of water,276.0,"285,1,0,1,,,"
277,277,It has the most amount of salt,277.0,"286,1,0,0,,,"
278,278,Use a blender,278.0,"287,0,1,0,,,"
279,279,"""1. Increase the temperature of water""",279.0,"288,1,0,0,,,"
280,280,2. Reduce the amount of salt,280.0,"289,1,1,0,,,"
281,281,"3. Stir more with a glass rod.""",281.0,"290,1,1,0,,,"
282,282,Place remaining salt in another beaker,282.0,"291,0,0,0,,,"
283,283,Add hot water,283.0,"292,0,0,0,,,"
284,284,"Pour warm water, stir more",284.0,"293,1,1,1,,,"
285,285,"Add more water, raise the temperature, and drain the salt",285.0,"294,1,1,0,,,"
286,286,c. Add more water to the beaker.,286.0,"295,1,0,0,,,"
287,287,Add more water to raise the temperature of the water,287.0,"296,0,1,1,,,"
288,288,Add more water as a solvent.,288.0,"297,1,1,0,,,"
289,289,Increase the temperature of the water. Make the salt particles smaller.,289.0,"298,1,1,1,,,299,1,0,1,,,"
290,290,Increase the temperature of the solvent.,290.0,"300,1,1,0,,,"
291,291,Add more solution or raise the temperature.,291.0,"301,1,1,0,,,"
292,292,Heat the water or stir harder.,292.0,"302,0,0,0,,,"
293,293,Pour hot water,293.0,"303,0,1,0,,,"
294,294,Stir faster with a glass bar or raise the temperature of the water,294.0,"304,0,0,1,,,"
295,295,"Increase the temperature of the water, add more water.",295.0,"305,1,1,1,,,"
296,296,"""Heat the beaker's water.""",296.0,"306,0,1,1,,,"
297,297,"Warm water, more water",297.0,"307,1,1,1,,,"
298,298,"Add more water, stir more, and add hot water.",298.0,"308,1,1,1,,,"
299,299,Increase the temperature of the water. Increase the amount of water.,299.0,"309,0,1,0,,,"
300,300,Increase the temperature. Stir it quickly. Add more water,300.0,"310,1,0,0,,,"
301,301,Add more water or raise the temperature of the water,301.0,"311,1,0,0,,,"
302,302,Add the water.,302.0,"312,0,1,0,,,"
303,303,Add more water or raise the temperature.,303.0,"313,0,1,0,,,"
304,304,"Add more water, increasing the amount of solvent to increase the amount soluble.",304.0,"314,0,1,0,,,"
305,305,have no idea,305.0,"315,1,1,0,,,"
306,306,Boil water,306.0,"316,0,1,0,,,"
307,307,Increase the temperature of the solution.,307.0,"317,1,1,0,,,"
308,308,Stir the glass bar faster or heat it to raise the temperature of the water.,308.0,"318,0,1,0,,,"
309,309,Melt it in hot water,309.0,"319,0,1,1,,,"
310,310,Increase the limit by adding more water,310.0,"320,1,1,0,,,"
311,311,Heat it up.,311.0,"321,1,1,1,,,"
312,312,Add hot water,312.0,"322,1,1,1,,,"
313,313,Increase the water. Increase the temperature,313.0,"323,1,1,0,,,"
314,314,I don't know.,314.0,"324,0,0,1,,,"
315,315,I don't understand.,315.0,"325,0,1,0,,,"
316,316,"Add more solvent, increase temperature, stir faster.",316.0,"326,1,1,1,,,"
317,317,Add more water. Heat up the water,317.0,"327,1,0,1,,,"
318,318,It heats up the water,318.0,"328,0,1,0,,,329,1,0,0,,,"
319,319,"""Add water and mix well""",319.0,"330,1,0,1,,,"
320,320,"""",320.0,"331,1,1,0,,,"
321,321,Add more water. Heat it up,321.0,"332,1,0,0,,,"
322,322,Increase the temperature of the water. Add more water and stir.,322.0,"333,1,0,1,,,"
323,323,"Warm the water, stir it.",323.0,"334,0,1,0,,,"
324,324,Add hot water and dissolve it,324.0,"335,0,1,1,,,"
325,325,Increase the temperature of the water. Increase the amount of water.,325.0,"336,0,1,0,,,"
326,326,There's too much salt compared to water,326.0,"337,0,0,0,,,"
327,327,"Add water, sprinkle on top of fried eggs.",327.0,"338,0,0,0,,,"
328,328,Keep stirring well with a glass rod.,328.0,"339,0,0,0,,,"
329,329,"Add more water, stir more, and raise the temperature of the water",329.0,"340,1,0,1,,,"
330,330,Add a small spoon and stir or cover the beaker and shake it or add more water.,330.0,"341,0,0,0,,,"
331,331,Stir more and faster with a glass bar. Increase the temperature of the water. Pour more water and stir.,331.0,"342,0,0,1,,,"
332,332,Add more liquid. Melt over heat.I'm stirring,332.0,"343,0,0,0,,,"
333,333,Add more water,333.0,"344,0,0,0,,,"
334,334,hot water,334.0,"345,0,0,1,,,"
335,335,c. Heat the beaker.,335.0,"346,1,1,1,,,"
336,336,Pour more water.,336.0,"347,0,0,0,,,"
337,337,Pour in more water.,337.0,"348,1,1,1,,,"
338,338,Add the water.,338.0,"349,0,0,0,,,"
339,339,Add water and boil.,339.0,"350,0,0,1,,,"
340,340,Add more water,340.0,"351,0,0,1,,,"
341,341,Increase the temperature of the water.Add the water.,341.0,"352,0,0,0,,,"
342,342,Add more water,342.0,"353,1,1,1,,,"
343,343,"Add more water, stir well.",343.0,"354,0,1,1,,,"
344,344,Add more water or raise the temperature.,344.0,"355,0,0,0,,,"
345,345,"Add more water, stir faster with a glass rod, heat up",345.0,"356,0,0,0,,,"
346,346,1. Add more water,346.0,"357,1,1,0,,,"
347,347,2. Heat it up.,347.0,"358,0,0,0,,,359,0,1,0,,,"
348,348,"3. Stir it enough.""",348.0,"360,1,0,0,,,"
349,349,Dissolve by raising the temperature of the water. Increase the amount of water.,349.0,"361,1,0,0,,,"
350,350,Stir more.,350.0,"362,1,0,0,,,"
351,351,Add the water.,351.0,"363,1,0,0,,,"
352,352,"Heat (increase the temperature), stir more, and increase the amount of water",352.0,"364,1,1,0,,,"
353,353,Heat or stir more with a glass rod,353.0,"365,1,1,0,,,"
354,354,Add the water.,354.0,"366,1,1,0,,,"
355,355,Increase the temperature.,355.0,"367,0,0,1,,,"
356,356,"Increase the temperature in water, stir hard with a glass rod.",356.0,"368,1,1,1,,,"
357,357,Increase the temperature of the water (solvent) that dissolves salt or add more water to dissolve salt.,357.0,"369,0,1,1,,,"
358,358,Boil water.,358.0,"370,0,1,1,,,"
359,359,"Stir harder, increase water temperature.",359.0,"371,0,1,1,,,"
360,360,Add more water,360.0,"372,1,1,0,,,"
361,361,Pour water and stir with a glass rod,361.0,"373,1,1,0,,,"
362,362,Add water,362.0,"374,0,0,0,,,"
363,363,Unknowingness,363.0,"375,1,0,0,,,"
364,364,Unknowingness,364.0,"376,1,1,0,,,"
365,365,Unknowingness,365.0,"377,1,1,0,,,"
366,366,Stir it a lot with a spoon. Make the water hot?back.,366.0,"378,1,0,0,,,"
367,367,I'll just leave it,367.0,"379,1,1,0,,,"
368,368,Mix it more.,368.0,"380,0,0,0,,,"
369,369,"""I'm eating""",369.0,"381,1,0,0,,,"
370,370,"""I took it out""",370.0,"382,1,0,0,,,"
371,371,I have to change it again,371.0,"383,1,1,0,,,"
372,372,"Stir further, let stand for a long time.",372.0,"384,1,1,0,,,"
373,373,"Stir faster with a glass bar, add more water, or make the water warm",373.0,"385,1,1,0,,,"
374,374,I don't know,374.0,"386,0,0,1,,,"
375,375,"Increase the temperature of the water, increase the amount of water, and stir quickly. back",375.0,"387,0,1,0,,,"
376,376,Unknowingness,376.0,"388,1,1,0,,,389,1,0,0,,,"
377,377,"""I get wet hard.",377.0,"390,0,0,1,,,"
378,378,"It gets wet quickly.""",378.0,"391,0,0,1,,,"
379,379,Melt the salt well with a spoon.,379.0,"392,1,1,0,,,"
380,380,Unknowingness,380.0,"393,0,0,1,,,"
381,381,"Pour hot water, stir more",381.0,"394,0,1,0,,,"
382,382,"""Because C beakers have more salt than water, they have more salt than other beakers",382.0,"395,0,1,1,,,"
383,383,"I think you can add more water or mix it more than other beakers.""",383.0,"396,1,0,0,,,"
384,384,Add the soluble substance to the salt and shake,384.0,"397,1,1,0,,,"
385,385,I don't know.,385.0,"398,1,1,1,,,"
386,386,Add more hot water,386.0,"399,1,1,0,,,"
387,387,This is because it melts late if the amount is large when stirred equally depending on the amount.,387.0,"400,0,1,0,,,"
388,388,Add more water.,388.0,"401,0,1,0,,,"
389,389,Heat it over the fire,389.0,"402,1,0,1,,,"
390,390,Heat it over the fire,390.0,"403,1,0,0,,,"
391,391,Melt it in hot water,391.0,"404,0,0,1,,,"
392,392,boil,392.0,"405,1,1,0,,,"
393,393,Add hot water,393.0,"406,1,0,1,,,"
394,394,Add more hot water,394.0,"407,0,0,1,,,"
395,395,Heat it up. Pour more waterI'm going to stir it fast,395.0,"408,1,1,1,,,"
396,396,"You need to stir more, add hot water, etc",396.0,"409,0,1,1,,,"
397,397,Add more water or mix more.,397.0,"410,0,0,0,,,"
398,398,There are ways to add more water and stir it a lot.,398.0,"411,1,0,0,,,"
399,399,Add the water. Speed up stirring with a glass bar.,399.0,"412,1,1,0,,,"
400,400,Increase the temperature of water. Increase the amount of water,400.0,"413,0,0,0,,,"
401,401,to increase the temperature of water or increase the amount of water,401.0,"414,0,0,0,,,"
402,402,I don't know,402.0,"415,1,0,1,,,"
403,403,Dissolve in hot water.,403.0,"416,1,0,1,,,"
404,404,"""-increase the amount of water",404.0,"417,0,1,0,,,"
405,405,- Increase the temperature of the water,405.0,"418,0,0,1,,,419,1,0,1,,,"
406,406,Put hot water.,406.0,"420,0,1,0,,,"
407,407,Dissolve it in warm water and eat it,407.0,"421,1,1,0,,,"
408,408,Add more hot water.,408.0,"422,0,1,1,,,"
409,409,Add the melting substance,409.0,"423,0,0,0,,,"
410,410,Keep the sun in a hot place,410.0,"424,1,1,0,,,"
411,411,boil,411.0,"425,1,1,1,,,"
412,412,Add the water. Increase the temperature of the solution.,412.0,"426,1,0,1,,,"
413,413,Dissolve water by heating it. Dissolve water by adding a lot of water,413.0,"427,1,1,1,,,"
414,414,to add more water / to raise the temperature of the water,414.0,"428,1,0,1,,,"
415,415,Keep mixing,415.0,"429,1,0,1,,,"
416,416,Add more water,416.0,"430,0,1,0,,,"
417,417,Add more water. Increase the temperature of the water,417.0,"431,1,1,1,,,"
418,418,Boil it over the heat,418.0,"432,1,1,1,,,"
419,419,Mix it with a glass bar.,419.0,"433,1,1,0,,,"
420,420,Turn it with a glass light,420.0,"434,1,1,1,,,"
421,421,Pour in hot water,421.0,"435,1,1,1,,,"
422,422,Keep stirring with a glass rod,422.0,"436,1,1,0,,,"
423,423,Pour water.,423.0,"437,1,0,0,,,"
424,424,Add more water and mix.,424.0,"438,1,1,0,,,"
425,425,Dissolve in hot water. Leave longer,425.0,"439,0,0,1,,,"
426,426,Add hot water or acidity.,426.0,"440,0,1,0,,,"
427,427,"Keep stirring with a glass bar, mix in more hot water",427.0,"441,0,1,0,,,"
428,428,"Add more water, raise the temperature of the water",428.0,"442,1,1,0,,,"
429,429,Add more water,429.0,"443,1,1,0,,,"
430,430,This is because the amount of water is relatively small in other beakers.,430.0,"444,1,1,1,,,"
431,431,to stir/heat water quickly,431.0,"445,1,0,0,,,"
432,432,Melt it with hot water,432.0,"446,0,1,0,,,"
433,433,Stir it more,433.0,"447,1,1,0,,,"
434,434,Put hot water.,434.0,"448,1,0,0,,,449,1,1,0,,,"
435,435,"Heat the beaker with an alcohol lamp, stirring longer.",435.0,"450,0,0,0,,,"
436,436,Keep stirring,436.0,"451,1,1,0,,,"
437,437,"Add hot water, mix quickly",437.0,"452,1,1,0,,,"
438,438,Add more water or keep stirring.,438.0,"453,0,1,0,,,"
439,439,I don't know.,439.0,"454,1,1,1,,,"
440,440,Microwave it in hot water.,440.0,"455,1,1,0,,,"
441,441,Dissolve in warm water/add more water.   back,441.0,"456,0,1,0,,,"
442,442,???,442.0,"457,1,0,1,,,"
443,443,Because there is a lot of salt.,443.0,"458,1,0,0,,,"
444,444,Add salt to hot water. And stir a lot.,444.0,"459,0,0,0,,,"
445,445,Stir more with a glass bar or heat the c beaker to melt the salt.,445.0,"460,0,0,1,,,"
446,446,Add the water.,446.0,"461,1,1,0,,,"
447,447,Stir it more,447.0,"462,1,0,0,,,"
448,448,"""Keep stirring to melt.",448.0,"463,1,0,0,,,"
449,449,"Microwave it.""",449.0,"464,1,0,1,,,"
450,450,Play more water,450.0,"465,0,0,0,,,"
451,451,Add more hot water.,451.0,"466,0,1,0,,,"
452,452,Add more water and mix.,452.0,"467,0,0,1,,,"
453,453,Put salt in your mouth.,453.0,"468,1,0,1,,,"
454,454,Melt with hot water./ Add more water.,454.0,"469,1,0,0,,,"
455,455,Add more hot water or mix better.,455.0,"470,0,1,0,,,"
456,456,Stir in hot water to dissolve,456.0,"471,1,0,0,,,"
457,457,"Add more hot water, stir faster",457.0,"472,0,1,0,,,"
458,458,"Heat, mix well",458.0,"473,1,0,0,,,"
459,459,"to raise the temperature of the water, to stir it longer, etc",459.0,"474,1,0,0,,,"
460,460,Add more water,460.0,"475,1,0,0,,,"
461,461,Add hot water and continue stirring with a glass rod,461.0,"476,0,0,1,,,"
462,462,"Pour hot water, stir with a stick",462.0,"477,0,0,1,,,"
463,463,Pour hot water.,463.0,"478,1,0,0,,,479,1,1,0,,,"
464,464,Heat the beaker. Add the water. Stir more with a glass rod.,464.0,"480,0,0,1,,,"
465,465,Let's heat it up. Add hot water. Stir thoroughly again.,465.0,"481,0,0,1,,,"
466,466,Add hot water,466.0,"482,1,1,1,,,"
467,467,Heat it up,467.0,"483,0,0,1,,,"
468,468,"""Put more water in it",468.0,"484,0,0,1,,,"
469,469,"""It's boiling""",469.0,"485,1,0,0,,,"
470,470,Mix it more.,470.0,"486,1,0,0,,,"
471,471,Add more water,471.0,"487,0,1,0,,,"
472,472,Add more water,472.0,"488,1,1,0,,,"
473,473,Add the water. Increase the temperature of the solution.,473.0,"489,1,0,0,,,"
474,474,Pour hot water,474.0,"490,0,1,0,,,"
475,475,Pour in hot water. Stirring constantly.,475.0,"491,1,0,0,,,"
476,476,Heat and dissolve.,476.0,"492,1,1,0,,,"
477,477,Add more water,477.0,"493,1,1,0,,,"
478,478,It holds more water or raises the temperature of the water.,478.0,"494,1,0,0,,,"
479,479,boil.,479.0,"495,0,0,0,,,"
480,480,"""1. Add more water.",480.0,"496,1,0,0,,,"
481,481,"2. Increase the temperature of the water.""",481.0,"497,1,0,0,,,"
482,482,I'll try everything I can or I'll use a newspaper,482.0,"498,0,0,1,,,"
483,483,Pour in more water. Apply heat.,483.0,"499,0,0,0,,,"
484,484,"Add more water, heat up the water",484.0,"500,0,0,0,,,"
485,485,Add more water,485.0,"501,1,1,0,,,"
486,486,Stirring constantly. Dissolve hot water by pouring it in.,486.0,"502,1,0,0,,,"
487,487,Add more water. Boil salt water,487.0,"503,0,1,0,,,"
488,488,Add more water,488.0,"504,0,0,0,,,"
489,489,"Boil C beaker water, stirring constantly until melted",489.0,"505,1,0,0,,,"
490,490,I'll set it on fire,490.0,"506,1,0,1,,,"
491,491,40g,491.0,"507,1,0,0,,,"
492,492,It's bent with a glass rod,492.0,"508,0,0,0,,,509,1,0,0,,,"
493,493,I'm going to warm water,493.0,"510,1,0,0,,,"
494,494,Melt by heating.Heat it over a fire (??),494.0,"511,0,0,0,,,"
495,495,"Increase the temperature, stir with a stick",495.0,"512,1,0,0,,,"
496,496,It keeps melting,496.0,"513,0,0,0,,,"
497,497,Add more water,497.0,"514,1,1,0,,,"
498,498,"Just melt it with ice, stir it and melt it",498.0,"515,1,1,1,,,"
499,499,"""Stir hard.",499.0,"516,1,0,1,,,"
500,500,"Boil salt water.""",500.0,"517,1,1,0,,,"
501,501,Warm water is needed to melt the sauce,501.0,"518,0,0,1,,,"
502,502,Add more water.,502.0,"519,0,0,1,,,"
503,503,Melt the water by making it hotter.,503.0,"520,1,1,1,,,"
504,504,mix salt with water,504.0,"521,0,0,1,,,"
505,505,Turn on the alcohol lamp and melt the beaker on top,505.0,"522,1,1,1,,,"
506,506,Warm the water up,506.0,"523,1,1,1,,,"
507,507,"Boil water,",507.0,"524,1,1,0,,,"
508,508,Stir well.,508.0,"525,0,0,1,,,"
509,509,Stir the water,509.0,"526,0,0,1,,,"
510,510,to be able to melt with hot water,510.0,"527,0,0,1,,,"
511,511,Add more hot water,511.0,"528,0,0,1,,,"
512,512,Keep stirring the glass bar,512.0,"529,0,0,0,,,"
513,513,Stir in the glass bar more,513.0,"530,0,0,0,,,"
514,514,"Pour in hot water, mix faster.",514.0,"531,0,1,1,,,"
515,515,Keep stirring.,515.0,"532,0,1,0,,,"
516,516,Just stir it.,516.0,"533,1,1,0,,,"
517,517,Dissolve in hot water,517.0,"534,1,0,1,,,"
518,518,Melt over heat.,518.0,"535,1,0,1,,,"
519,519,Add water.,519.0,"536,0,1,0,,,"
520,520,Pour in hot water.,520.0,"537,1,0,0,,,"
521,521,Heat with a beaker.,521.0,"538,1,1,0,,,539,1,1,0,,,"
522,522,Add the water.,522.0,"540,0,1,0,,,"
523,523,Heat the alcohol lamp with a beaker.,523.0,"541,1,1,0,,,"
524,524,Pour in hot water.,524.0,"542,0,1,0,,,"
525,525,Put hot water.,525.0,"543,1,1,0,,,"
526,526,Boil the beaker.,526.0,"544,1,1,0,,,"
527,527,...,527.0,"545,1,1,0,,,"
528,528,Heat it up.,528.0,"546,1,1,0,,,"
529,529,Dissolve in hot water.,529.0,"547,1,1,0,,,"
530,530,It keeps rotting (with a stick,530.0,"548,1,1,0,,,"
531,531,Unknowingness,531.0,"549,1,0,1,,,"
532,532,Add ice.,532.0,"550,1,1,0,,,"
533,533,Add warm or hot water,533.0,"551,1,1,0,,,"
534,534,Melt it with hot water,534.0,"552,1,1,0,,,"
535,535,"""Add more water",535.0,"553,1,1,0,,,"
536,536,"""",536.0,"554,1,1,0,,,"
537,537,Oh my god,537.0,"555,1,1,0,,,"
538,538,Heat up the water.,538.0,"556,1,1,0,,,"
539,539,"""It warms up the water",539.0,"557,0,1,0,,,"
540,540,"""Shake it""",540.0,"558,0,0,0,,,"
541,541,Use fire to pick.,541.0,"559,1,1,0,,,"
542,542,M and D,542.0,"560,1,1,0,,,"
543,543,Don't you think it'll all melt if you boil it with hot water?아니면 Or wouldn't it be good to add a small amount to melt it little by little?,543.0,"561,1,1,0,,,"
544,544,Dissolve in hot water.,544.0,"562,1,1,0,,,"
545,545,I don't know,545.0,"563,1,0,0,,,"
546,546,Melt it in hot water,546.0,"564,0,0,0,,,"
547,547,Try to reduce the capacity.,547.0,"565,1,0,0,,,"
548,548,in hot water,548.0,"566,0,0,1,,,"
549,549,Pour hot water. Stir more strongly with a glass rod,549.0,"567,1,1,0,,,"
550,550,"""Use hot water.",550.0,"568,0,0,1,,,569,1,0,0,,,"
551,551,"Stir quickly.""",551.0,"570,1,0,0,,,"
552,552,"If you add hot water, the salt melts",552.0,"571,1,1,0,,,"
553,553,Stir it quickly.,553.0,"572,0,0,0,,,"
554,554,Stir with a stick,554.0,"573,1,0,0,,,"
555,555,Add hot water. Whisk faster.,555.0,"574,0,1,0,,,"
556,556,Stir with a stick or something,556.0,"575,0,0,0,,,"
557,557,"Add more water, heat water, and mix quickly with a glass bar.",557.0,"576,1,1,0,,,"
558,558,"Add hot water, stirring more.",558.0,"577,0,1,0,,,"
559,559,add warm water,559.0,"578,1,0,0,,,"
560,560,I'm going to stir it fast,560.0,"579,0,1,0,,,"
561,561,I'm going to stir it fast,561.0,"580,0,0,0,,,"
562,562,Stir it quickly.,562.0,"581,1,0,0,,,"
563,563,I'm going to stir it fast,563.0,"582,1,1,0,,,"
564,564,I don't understand.,564.0,"583,1,1,0,,,"
565,565,The future,565.0,"584,0,0,1,,,"
566,566,Add more water or stir more with a glass rod.,566.0,"585,0,1,0,,,"
567,567,Add the water.,567.0,"586,1,1,0,,,"
568,568,"Add more water, raise the temperature of the water.",568.0,"587,1,1,1,,,"
569,569,Stir the bar quickly or heat the C beaker.,569.0,"588,1,1,0,,,"
570,570,"Heat the water. If you increase the temperature of the water to match the melting point of the salt, the salt will melt. Or stir the contents of the C beaker better. More water comes into contact with the surface of the salt, which promotes the melting of the salt.",570.0,"589,1,1,0,,,"
571,571,"""1. If you reduce the amount of salt, the salt melts faster, so reduce the amount of salt.""",571.0,"590,0,1,1,,,"
572,572,"2. If you increase the amount of water, the salt melts faster, so add more water",572.0,"591,1,1,0,,,"
573,573,It increases the temperature of the beaker's water and speeds up the reaction.,573.0,"592,0,1,0,,,"
574,574,Heat the solution or add more water to the beaker.,574.0,"593,1,1,0,,,"
575,575,Add more water and heat to allow salt to dissolve further,575.0,"594,1,0,0,,,"
576,576,"""Add more water (increase the solvent) so that the salt can melt more. (We don't have time from here",576.0,"595,0,1,1,,,"
577,577,"""",577.0,"596,0,0,0,,,"
578,578,You can add more water or increase the temperature of the water to increase the amount of salt that can dissolve in water.,578.0,"597,0,0,1,,,"
579,579,Increase the amount of water to change the saturated state to the unsaturated state.,579.0,"598,1,0,0,,,599,0,0,0,,,"
580,580,"If we first look at the concept of solubility, it is the amount of material that can be dissolved in a certain amount of liquid. Then you have to make the solubility bigger to dissolve all the salt in the C beaker. First, there is a way to increase the temperature by heating the beaker that we easily know to increase the solubility. And increase the amount of water so that more salt can melt.",580.0,"600,0,0,0,,,"
581,581,"Heat water, add more water",581.0,"601,1,1,0,,,"
582,582,Adding more water increases the amount of water that the salt can dissolve.,582.0,"602,1,0,0,,,"
583,583,"The salt melts when the temperature of the water is raised.""",583.0,"603,1,1,0,,,"
584,584,"Since it has already exceeded the level of dissolving the salt, it can be added with more water, or by increasing the temperature of the solution, it can increase the dissolution rate and dissolve the insoluble salt.",584.0,"604,0,1,0,,,"
585,585,"As the temperature of the water rises or the amount of water increases, the amount that can be dissolved increases. Therefore, to dissolve all the salt, increase the temperature of the water or increase the amount of water.",585.0,"605,0,1,0,,,"
586,586,The reason why the salt in the c beaker remains is that it has already reached saturation. So there is a way to add or heat more water to dissolve the remaining salt.,586.0,"606,1,1,1,,,"
587,587,"There is a way to increase the temperature. This is because the higher the temperature, the more active the movement of water molecules, which can dissolve more materials. You can also stir the bar faster and harder. This is because the more salt is mixed, the more it is mixed.",587.0,"607,0,0,0,,,"
588,588,"A liquid has solubility, which is the maximum amount that can dissolve a substance, and in order to increase solubility, the temperature can be increased or the mass of the liquid can be increased. There is also a way to reduce the amount of salt.",588.0,"608,0,1,0,,,"
589,589,"""",589.0,"609,0,0,0,,,"
590,590,"Add more heat to dissolve the salt in the C beaker. If more heat is applied, the reaction in the C beaker occurs more easily than at room temperature, so the remaining salt can be dissolved.",590.0,"610,1,1,0,,,"
591,591,"There is also a way to add more water. Add more water to dissolve the salt and the remaining salt will melt.""",591.0,"611,0,0,1,,,"
592,592,"The factors that cause salt to melt are the amount of water and the temperature of water. The reason why only the salt in the c beaker does not dissolve even though the same amount of water is added is that the temperature of the water in the c beaker was lower than that of other beakers. In order to dissolve the insoluble salt of the c beaker, there is a way to increase the temperature of the water by adding more water to the c beaker so that the salt can melt more or by heating the c beaker.",592.0,"612,1,1,0,,,"
593,593,"First, there is a way to increase the amount of water. If the amount of water increases, the amount of salt that can be dissolved increases. It can also increase the temperature of the water, and if the temperature of the water increases, it can dissolve more salt when the temperature is low.There are two ways. The first is to increase solubility by adding more water. Another way is to increase the temperature. In fact, temperature and solubility are proportional.",593.0,"613,0,1,0,,,"
594,594,"""Smoke an alcohol lamp under the beaker.",594.0,"614,1,0,0,,,"
595,595,Add more water.,595.0,"615,1,1,0,,,"
596,596,,596.0,"616,1,1,0,,,"
597,597,,597.0,"617,1,0,0,,,"
598,598,"""",598.0,"618,0,1,0,,,"
599,599,Increase the temperature. Add water,599.0,"619,0,1,0,,,"
600,600,Add more water,600.0,"620,1,0,0,,,"
601,601,The solvent is saturated and can no longer be dissolved,601.0,"621,1,1,0,,,"
602,602,"Add more water, raise the temperature",602.0,"622,1,1,0,,,"
603,603,"Increase temperature, add more water, or increase pressure.",603.0,"623,1,1,1,,,"
604,604,Water in... Heating,604.0,"624,0,1,0,,,"
605,605,"Add more water, boil water, grind more salt",605.0,"625,1,1,0,,,"
606,606,Heating filtering,606.0,"626,0,0,0,,,"
607,607,Wait.,607.0,"627,1,0,1,,,"
608,608,Let's raise the temperature of the water temperature,608.0,"628,0,1,1,,,629,1,0,1,,,"
609,609,Stir with a spoon.,609.0,"630,1,0,1,,,"
610,610,"Heat water, add more water",610.0,"631,1,1,1,,,"
611,611,Add the stick and stir,611.0,"632,1,0,1,,,"
612,612,Increase the temperature.,612.0,"633,1,1,0,,,"
613,613,Increase the temperature,613.0,"634,0,1,0,,,"
614,614,Add hot water,614.0,"635,1,0,1,,,"
615,615,?,615.0,"636,1,1,0,,,"
616,616,to raise the temperature of the water,616.0,"637,1,1,1,,,"
617,617,Pouring water,617.0,"638,0,1,0,,,"
618,618,I don't know.,618.0,"639,1,1,0,,,"
619,619,Pour hot water,619.0,"640,1,1,0,,,"
620,620,Add the water.,620.0,"641,0,1,0,,,"
621,621,Heat it up.,621.0,"642,0,0,1,,,"
622,622,Add the water.,622.0,"643,1,1,0,,,"
623,623,Because the water exceeds the amount of salt that can be dissolved,623.0,"644,1,1,0,,,"
624,624,Apply heat,624.0,"645,0,0,1,,,"
625,625,Add hot water,625.0,"646,1,0,0,,,"
626,626,Add additional water or heat the solution to raise the temperature.,626.0,"647,1,1,0,,,"
627,627,Stir the glass bar quickly.,627.0,"648,1,1,0,,,"
628,628,Add more water,628.0,"649,1,1,0,,,"
629,629,"Add more water, heat water, grind salt to make salt particles smaller",629.0,"650,0,0,0,,,"
630,630,Heat the beaker's water or stir with a glass bar and add more water to the beaker.,630.0,"651,0,1,0,,,"
631,631,Add more water. Heat it up,631.0,"652,0,0,1,,,"
632,632,"Add more water, heat the water",632.0,"653,1,1,1,,,"
633,633,Add the stick and stir. Add water.,633.0,"654,0,0,0,,,"
634,634,Increase the temperature or add more water.,634.0,"655,1,1,1,,,"
635,635,Add the water.,635.0,"656,0,1,0,,,"
636,636,"""Add more water.",636.0,"657,0,0,1,,,"
637,637,"Raise the temperature of the water.""",637.0,"658,0,1,0,,,659,0,0,0,,,"
638,638,Melt it with heat,638.0,"660,1,0,1,,,"
639,639,Add more water and stir,639.0,"661,0,0,1,,,"
640,640,I don't know.,640.0,"662,1,1,0,,,"
641,641,Mix it,641.0,"663,1,1,0,,,"
642,642,Raise the temperature of the water.,642.0,"664,1,1,1,,,"
643,643,I'm sure it worked out somehow,643.0,"665,1,0,0,,,"
644,644,I don't know.,644.0,"666,1,1,0,,,"
645,645,Add more water and increase temperature,645.0,"667,1,0,0,,,"
646,646,Increase the temperature of the water,646.0,"668,0,0,0,,,"
647,647,Add more water or heat to solution to dissolve salt,647.0,"669,0,0,0,,,"
648,648,Add more water,648.0,"670,1,1,0,,,"
649,649,Pour in more water.,649.0,"671,1,0,0,,,"
650,650,"""Add more water and stir",650.0,"672,1,1,0,,,"
651,651,"Increase the temperature and heat it up""",651.0,"673,1,0,0,,,"
652,652,The amount of salt that can be dissolved in a certain amount of water is limited,652.0,"674,1,0,0,,,"
653,653,"Add more water, cool the water.",653.0,"675,0,0,0,,,"
654,654,Unknowingness,654.0,"676,0,1,0,,,"
655,655,Add more water or heat,655.0,"677,0,0,1,,,"
656,656,Stir it more,656.0,"678,1,0,0,,,"
657,657,"Raise the temperature of the water, increase the amount of water.",657.0,"679,0,0,1,,,"
658,658,Add the water.,658.0,"680,1,1,0,,,"
659,659,Increase the temperature or make the particle size much smaller.,659.0,"681,1,0,1,,,"
660,660,Increase the temperature or add more water,660.0,"682,1,1,0,,,"
661,661,Add more water and increase the temperature.,661.0,"683,1,0,1,,,"
662,662,to raise the temperature of the water,662.0,"684,1,0,0,,,"
663,663,Add more water,663.0,"685,1,1,0,,,"
664,664,Add more water,664.0,"686,1,0,1,,,"
665,665,Use hot water,665.0,"687,0,1,0,,,"
666,666,Increase the temperature. Add more water,666.0,"688,0,1,1,,,689,0,1,0,,,"
