,Unnamed: 0,1) What would be good for consumers if different bakeries compete with each other?,Unnamed: 0,", q51_price, q51_quality, q51_diversity, q51_benefit, q51_price.1,q51_Quality.1,q51_Diversity1.q51_Benefit.1"
274,274,Prices go down and the quality of service goes up.,274.0,"283,0,0,1,0,,,,"
275,275,You can get better products and services.,275.0,"284,0,1,0,0,,,,"
276,276,Don't know,276.0,"285,1,0,0,1,,,,"
277,277,You can get a better product.,277.0,"286,1,0,0,0,,,,"
278,278,You can get cheap products.,278.0,"287,0,1,0,0,,,,"
279,279,Consumers can afford to spend money.,279.0,"288,1,0,1,0,,,,"
280,280,Makes us think more about consumers and more,280.0,"289,0,0,0,0,,,,"
281,281,"The price is cheaper, so you can buy the product cheaper.",281.0,"290,1,0,0,1,,,,"
282,282,We are trying to provide better service to each other. That's so sweet,282.0,"291,0,0,0,0,,,,"
283,283,Consumers can buy better products or products at better prices,283.0,"292,0,0,0,0,,,,"
284,284,"If competition improves the taste and lowers the price, it is beneficial to consumers",284.0,"293,0,1,0,0,,,,"
285,285,benefit each other,285.0,"294,1,0,0,0,,,,"
286,286,"If bakeries compete, prices can go down, which is a benefit to consumers. In addition, this can also benefit consumers because the quality of the product improves while competing.",286.0,"295,1,1,0,0,,,,"
287,287,"When bakeries compete with each other, they lower each other's profits and benefit consumers.",287.0,"296,1,0,0,0,,,,"
288,288,The market is big,288.0,"297,1,0,1,0,,,,"
289,289,provide a variety of choices,289.0,"298,0,1,0,0,,,,299,0,0,0,0,,,,"
290,290,Better service and quality,290.0,"300,1,1,0,0,,,,"
291,291,You can get various benefits and more reasonable prices that you didn't get originally.,291.0,"301,1,1,0,0,,,,"
292,292,The price goes down.,292.0,"302,0,0,0,0,,,,"
293,293,high-quality bread,293.0,"303,0,1,0,0,,,,"
294,294,You can choose a cheap place,294.0,"304,0,0,0,0,,,,"
295,295,?,295.0,"305,1,0,0,0,,,,"
296,296,Competition between the two stores gives consumers advantages such as buying cheaper or receiving servicesI don't know.,296.0,"306,0,1,0,0,,,,"
297,297,I don't understand.,297.0,"307,0,0,1,0,,,,"
298,298,The quality of the goods improves.,298.0,"308,1,0,0,0,,,,"
299,299,The bread gets cheaper,299.0,"309,0,0,0,0,,,,"
300,300,Lower prices and better quality products,300.0,"310,1,1,0,0,,,,"
301,301,"""The price is falling",301.0,"311,0,1,0,0,,,,"
302,302,"""",302.0,"312,0,0,0,0,,,,"
303,303,You can choose from a variety of products at a lower price,303.0,"313,1,0,0,0,,,,"
304,304,Consumers get better quality bread.,304.0,"314,1,0,1,0,,,,"
305,305,There is much to be gained.,305.0,"315,0,0,1,0,,,,"
306,306,"You can get better, cheaper, or more cost effective items",306.0,"316,0,0,0,0,,,,"
307,307,You can buy better quality products cheaper.,307.0,"317,1,0,0,0,,,,"
308,308,"It is better for consumers, so consumers are satisfied.",308.0,"318,0,0,1,0,,,,"
309,309,You can taste better products.,309.0,"319,1,0,0,0,,,,"
310,310,I don't understand.,310.0,"320,1,0,0,0,,,,"
311,311,The price goes down,311.0,"321,0,1,0,1,,,,"
312,312,It allows consumers to have better quality products and more reasonable consumption.,312.0,"322,0,1,0,0,,,,"
313,313,have a wide range of choices,313.0,"323,1,1,0,0,,,,"
314,314,"Through competition, prices are lowered and various events are held",314.0,"324,0,0,0,0,,,,"
315,315,I don't know.,315.0,"325,0,1,0,0,,,,"
316,316,cheaper and higher quality than,316.0,"326,1,0,0,0,,,,"
317,317,You can get better quality products.,317.0,"327,1,0,0,0,,,,"
318,318,It's going to be far.,318.0,"328,0,1,0,0,,,,329,1,1,0,0,,,,"
319,319,Consumers can buy cheaper.,319.0,"330,0,0,0,0,,,,"
320,320,You can get various items at a lower price.,320.0,"331,0,0,0,0,,,,"
321,321,Various consumption is available.,321.0,"332,1,0,0,0,,,,"
322,322,Various services will be implemented to attract more consumers,322.0,"333,0,0,0,0,,,,"
323,323,"If prices go down by competing with each other, consumers can buy bread at a lower price",323.0,"334,0,0,0,0,,,,"
324,324,Consumers have more choices and can taste a variety of confectionery,324.0,"335,0,0,0,0,,,,"
325,325,"The two will compete and the price will drop, and the service will be better to catch up with the consumer",325.0,"336,1,0,0,0,,,,"
326,326,You can buy confectionery at a lower price.,326.0,"337,0,0,0,0,,,,"
327,327,Consumers can buy better and better products because they want to sell more by offering better benefits to each other,327.0,"338,0,0,0,0,,,,"
328,328,You can get better products and services.,328.0,"339,0,0,0,0,,,,"
329,329,Cheaper prices and better quality products are available to consumers.,329.0,"340,0,0,1,0,,,,"
330,330,h,330.0,"341,1,1,0,0,,,,"
331,331,You can get better quality products.,331.0,"342,1,0,0,0,,,,"
332,332,It's cheap and you can get good publicity,332.0,"343,0,0,0,0,,,,"
333,333,lower prices to benefit each other,333.0,"344,0,0,0,0,,,,"
334,334,"The quality of the food sold by bakeries has improved, so you can buy better products.",334.0,"345,0,1,0,0,,,,"
335,335,You can receive high-quality products at low prices and have more right to know information.,335.0,"346,1,0,0,0,,,,"
336,336,Bakery stores offer a lot of services because they compete to sell a lot of each other.,336.0,"347,0,0,0,0,,,,"
337,337,"By creating a better service and sales environment to compete with each other to attract more consumers, consumers will become a fool.",337.0,"348,1,1,1,0,,,,"
338,338,You can buy bread at a lower price,338.0,"349,0,0,1,0,,,,"
339,339,More diverse services are available,339.0,"350,0,0,0,0,,,,"
340,340,You can get better service,340.0,"351,0,0,1,0,,,,"
341,341,You can make more money,341.0,"352,1,0,0,0,,,,"
342,342,"You can buy things cheaper, you can buy things from a nicer person.",342.0,"353,1,0,0,0,,,,"
343,343,"The service is good, and it's good for consumers",343.0,"354,1,1,0,0,,,,"
344,344,They will provide good service to each other,344.0,"355,1,0,0,0,,,,"
345,345,I don't know,345.0,"356,0,0,0,0,,,,"
346,346,"You can buy various things, food",346.0,"357,0,1,0,0,,,,"
347,347,Cheaper price or make bread more delicious,347.0,"358,1,0,0,0,,,,359,1,1,0,0,,,,"
348,348,service to customers the improvement in prices,348.0,"360,0,0,0,0,,,,"
349,349,I don't know,349.0,"361,0,0,0,0,,,,"
350,350,Changed differently,350.0,"362,1,0,0,0,,,,"
351,351,I'll try to buy something better.,351.0,"363,0,0,0,0,,,,"
352,352,"If you lower prices with each other while competing, consumers can buy bread at a cheaper price",352.0,"364,0,0,1,0,,,,"
353,353,I don't know,353.0,"365,0,1,0,0,,,,"
354,354,"They sell cheaper, more bread, and better bread. back",354.0,"366,0,0,0,0,,,,"
355,355,Consumers can buy many things.,355.0,"367,1,1,0,0,,,,"
356,356,"If you compete and try to create a better service, you will find a better service for the consumer.",356.0,"368,1,0,0,0,,,,"
357,357,Consumers can buy from various bakeries.,357.0,"369,0,0,0,0,,,,"
358,358,The price goes down.,358.0,"370,0,0,0,0,,,,"
359,359,"You can buy as much as you want, and sometimes you get it for free",359.0,"371,0,1,0,0,,,,"
360,360,It is because they make better ingredients to buy in their own store and sell cheaper so that they can buy well.,360.0,"372,0,0,0,0,,,,"
361,361,The price is getting cheaper,361.0,"373,1,0,0,0,,,,"
362,362,I don't know.,362.0,"374,0,0,0,0,,,,"
363,363,I can buy something better,363.0,"375,0,0,0,0,,,,"
364,364,You can get cheaper prices and more services,364.0,"376,1,1,0,0,,,,"
365,365,You can get better quality products at a lower price.,365.0,"377,0,0,0,0,,,,"
366,366,.......,366.0,"378,1,0,0,0,,,,"
367,367,You can try more,367.0,"379,1,0,0,0,,,,"
368,368,It's getting cheaper,368.0,"380,0,0,1,1,,,,"
369,369,ㅌㄴㄱ료ㅑㅏㅡㄴ튼툐ㅗ,369.0,"381,1,0,0,0,,,,"
370,370,You can see other breads,370.0,"382,0,0,0,0,,,,"
371,371,I can eat more delicious bread,371.0,"383,1,1,0,0,,,,"
372,372,ㅂBbbbbbbbbbbbbbbbbb,372.0,"384,1,1,0,0,,,,"
373,373,The price can be cheap or the product can be improved.,373.0,"385,0,0,1,0,,,,"
374,374,The price goes down further.,374.0,"386,1,1,0,0,,,,"
375,375,h,375.0,"387,1,0,0,0,,,,"
376,376,h,376.0,"388,0,0,1,0,,,,389,1,1,1,0,,,,"
377,377,You can make a better product.,377.0,"390,0,1,0,0,,,,"
378,378,I don't know.,378.0,"391,0,0,1,0,,,,"
379,379,You can buy the price cheaply,379.0,"392,0,1,0,0,,,,"
380,380,h,380.0,"393,0,0,1,0,,,,"
381,381,h,381.0,"394,1,0,0,0,,,,"
382,382,Consumers can buy better quality bread at a lower price.,382.0,"395,1,0,0,0,,,,"
383,383,There are more bakeries,383.0,"396,1,0,0,0,,,,"
384,384,be cheaper,384.0,"397,1,0,0,0,,,,"
385,385,The price could be cheaper.,385.0,"398,0,0,0,0,,,,"
386,386,You can eat a variety of food and sometimes you can benefit from it economically,386.0,"399,1,1,0,0,,,,"
387,387,The price goes down,387.0,"400,0,0,1,0,,,,"
388,388,a lot of things,388.0,"401,0,0,0,0,,,,"
389,389,The service improves. The quality of the bread improves. The price goes down.,389.0,"402,0,0,1,0,,,,"
390,390,Consumers can buy cheap and good products.,390.0,"403,0,1,0,0,,,,"
391,391,"Even if one bakery disappears, you can buy snacks at another bakery.",391.0,"404,0,1,0,0,,,,"
392,392,You can buy better and cheaper products.,392.0,"405,0,0,1,0,,,,"
393,393,"As they compete with each other, prices are lowered and there are many sales. Therefore, consumers can buy things at a low price.",393.0,"406,1,0,0,0,,,,"
394,394,You can eat various kinds of bread.,394.0,"407,1,1,0,0,,,,"
395,395,"""Bakery stores pay more attention to health and hygiene to make each other healthier and better breadlower prices to use and attract customers",395.0,"408,1,0,1,0,,,,"
396,396,"""Even if one bakery disappears, you can go to another bakery and buy bread.""",396.0,"409,0,1,0,0,,,,"
397,397,Because many people go to delicious bakery,397.0,"410,1,0,0,0,,,,"
398,398,You can eat various kinds of bread.,398.0,"411,0,0,1,0,,,,"
399,399,You can go to a bakery with more delicious snacks,399.0,"412,1,0,0,0,,,,"
400,400,I can buy more bread,400.0,"413,1,1,0,0,,,,"
401,401,Consumers can buy things at a low price because they lower the price if they compete with each other,401.0,"414,1,0,0,0,,,,"
402,402,You can buy things at a lower price.,402.0,"415,0,0,0,1,,,,"
403,403,"Bakery stores compete with each other, lowering prices, and consumers buy things at cheaper prices.",403.0,"416,1,0,0,0,,,,"
404,404,It's getting cheaper,404.0,"417,1,1,0,0,,,,"
405,405,provide good service to consumers,405.0,"418,0,1,0,0,,,,419,0,0,1,0,,,,"
406,406,"""Many bakeries make better products to sell to consumers than other bakeries",406.0,"420,0,0,1,0,,,,"
407,407,"It's going to lower the price, and consumers are going to go around a lot of bakeries, quality, price",407.0,"421,1,1,0,0,,,,"
408,408,"You will be able to buy a low product.""",408.0,"422,1,1,0,0,,,,"
409,409,"Consumers can eat at many bakeries, so they can feel many drinks.",409.0,"423,0,0,1,0,,,,"
410,410,They compete with each other and try to develop themselves better than competing bakeries.,410.0,"424,1,0,0,0,,,,"
411,411,I think I can buy many things,411.0,"425,1,0,0,0,,,,"
412,412,You can buy good things.,412.0,"426,1,0,0,0,,,,"
413,413,You can buy a better one,413.0,"427,0,0,1,0,,,,"
414,414,Consumers can easily choose a better bakery.,414.0,"428,1,1,0,0,,,,"
415,415,You can buy the same thing cheaply.,415.0,"429,0,1,0,0,,,,"
416,416,You can buy better ingredients and cheaper prices.,416.0,"430,1,1,0,0,,,,"
417,417,"The price can be reduced. Also, there are many new menus.",417.0,"431,0,1,0,0,,,,"
418,418,You can eat better and more delicious bread.,418.0,"432,0,0,0,1,,,,"
419,419,Consumers can buy things at a lower price,419.0,"433,1,1,0,0,,,,"
420,420,to be able to eat various breads,420.0,"434,1,1,0,1,,,,"
421,421,Consumers can buy food cheaper and get a lot of services.,421.0,"435,1,1,0,0,,,,"
422,422,You can buy good products at a cheaper price than before.,422.0,"436,0,0,1,0,,,,"
423,423,You can buy things cheaply.,423.0,"437,0,1,1,0,,,,"
424,424,It is good because bakery shops compete with each other and give consumers a lot of benefit.,424.0,"438,0,0,0,0,,,,"
425,425,"If several bakeries compete with each other, it will be good for consumers because they try to attract consumers in many ways, such as good service in stores and lower prices.",425.0,"439,1,0,1,0,,,,"
426,426,You can choose the most delicious and cheaper bread.,426.0,"440,0,0,1,0,,,,"
427,427,You can buy better things.,427.0,"441,1,1,0,0,,,,"
428,428,I went to eat many kinds of food.,428.0,"442,0,1,0,0,,,,"
429,429,Consumers can choose a better bakery and spend better,429.0,"443,0,1,0,0,,,,"
430,430,"You can buy items at a better, cheaper price.",430.0,"444,0,1,0,0,,,,"
431,431,You can eat it at a delicious and cheaper bakery.,431.0,"445,0,1,0,0,,,,"
432,432,I can make other bread and eat various kinds of bread.,432.0,"446,0,0,0,0,,,,"
433,433,You can buy cheap food and get good services.,433.0,"447,1,0,0,0,,,,"
434,434,You can buy things that you need to buy at a little cheaper.,434.0,"448,1,0,0,0,,,,449,0,0,0,0,,,,"
435,435,The two stores compete to lower the price so that they can pay less,435.0,"450,0,0,0,0,,,,"
436,436,The good thing about competing with each other is that more consumers will be able to walk in various ways.,436.0,"451,1,1,0,0,,,,"
437,437,"You can buy better quality items cheaply because you compete for prices, services, products, etc.",437.0,"452,1,0,0,1,,,,"
438,438,"Their bakery needs to be better in many ways than other bakeries to attract more consumers, so they will manage store facilities and menus harder and better to create a better environment for consumers.",438.0,"453,1,0,0,0,,,,"
439,439,It is offered to consumers with better quality and better prices,439.0,"454,1,1,1,0,,,,"
440,440,Better service and quality products can be consumed.,440.0,"455,1,1,0,0,,,,"
441,441,You can get various benefits,441.0,"456,0,0,0,0,,,,"
442,442,You can get better products and get cheaper.,442.0,"457,0,0,1,1,,,,"
443,443,"Bakery stores will compete with each other to bring in consumers by lowering prices or improving quality, which will allow consumers to make more profits at the same price.",443.0,"458,0,0,0,0,,,,"
444,444,Consumers can purchase cheaper and higher-quality products because they try to provide better services and are likely to sell them cheaper.,444.0,"459,0,0,0,0,,,,"
445,445,There's more to choose from,445.0,"460,1,0,0,0,,,,"
446,446,"As the service and quality of products of bakeries increase, consumers have a wider range of choices.",446.0,"461,0,1,0,0,,,,"
447,447,to be able to live a better life than before,447.0,"462,1,0,0,0,,,,"
448,448,You can choose and choose and buy the same product at a cheaper price.,448.0,"463,0,1,0,0,,,,"
449,449,We can compare products to each other,449.0,"464,1,1,0,0,,,,"
450,450,"If you compete, you can compete with higher quality and prices to make profits between bakery stores, so that consumers can get higher quality and reasonable prices",450.0,"465,0,1,0,0,,,,"
451,451,Bakery stores will offer better products and better services because they are trying to attract consumers competitively. It can be a good thing for consumers because it will eventually provide better services and products to consumers.,451.0,"466,0,0,1,0,,,,"
452,452,It can give consumers better things because different bakeries compete and try to make better things,452.0,"467,0,0,0,0,,,,"
453,453,Consumers can get better quality goods.,453.0,"468,0,0,1,0,,,,"
454,454,Consumers can get better bread or services because bakeries compete with each other and try to do better.,454.0,"469,0,0,0,0,,,,"
455,455,It is more cost-effective.,455.0,"470,1,0,0,0,,,,"
456,456,It will provide higher quality services to consumers and lower prices.,456.0,"471,0,1,0,0,,,,"
457,457,You can compare the prices of the two places and go to a cheaper place to buy them.,457.0,"472,0,0,0,0,,,,"
458,458,"In order to secure a consumer base, the two companies will try to provide better services to consumers.",458.0,"473,1,1,0,0,,,,"
459,459,I can see where is better and where is better,459.0,"474,0,0,0,0,,,,"
460,460,a decline in prices It tastes better. Can prevent a bakery's monopoly.,460.0,"475,1,0,0,0,,,,"
461,461,"If you compete, you will try to sell better facilities and at better prices, so consumers can enjoy better rights",461.0,"476,0,0,0,0,,,,"
462,462,The price of the product will be cheaper because they compete with each other,462.0,"477,1,0,0,0,,,,"
463,463,You can compare the price and taste.,463.0,"478,0,0,0,1,,,,479,0,0,0,0,,,,"
464,464,Compete with each other to increase the quality of the confectionery or lower the price,464.0,"480,0,0,0,0,,,,"
465,465,I don't know.,465.0,"481,0,0,0,0,,,,"
466,466,You can get new confectionery and solutions from competition.,466.0,"482,0,0,0,1,,,,"
467,467,I can see the knowledge I didn't know.,467.0,"483,1,0,1,0,,,,"
468,468,"Near the bakery,",468.0,"484,0,1,0,0,,,,"
469,469,It's better to lower the price in competition,469.0,"485,0,1,0,0,,,,"
470,470,I can tell which place is more delicious,470.0,"486,1,0,1,0,,,,"
471,471,You can buy it cheaply when you lower the price to attract more customers.,471.0,"487,1,1,0,0,,,,"
472,472,You can eat more delicious bread,472.0,"488,0,0,1,0,,,,"
473,473,Cheaper and better quality,473.0,"489,0,0,0,0,,,,"
474,474,You can get a good one,474.0,"490,1,0,0,0,,,,"
475,475,You can get more variety of things you need,475.0,"491,0,0,1,0,,,,"
476,476,We all buy two stores,476.0,"492,0,0,0,0,,,,"
477,477,You can eat a lot of different foods and compare them to each other at a more delicious bakery,477.0,"493,0,1,0,0,,,,"
478,478,Convenient.,478.0,"494,0,0,0,0,,,,"
479,479,There will be more events and discounts to attract more customers.,479.0,"495,0,1,0,0,,,,"
480,480,You can get better products.,480.0,"496,1,0,0,0,,,,"
481,481,You'll think it's rude,481.0,"497,0,1,0,0,,,,"
482,482,"""You can eat cheaper and better things, you can get better service",482.0,"498,0,1,1,0,,,,"
483,483,"""",483.0,"499,0,0,0,0,,,,"
484,484,to be able to spend better,484.0,"500,1,1,0,0,,,,"
485,485,"Because we think about how to sell to consumers in a better way while competing with each other, if we compete with each other, the price can be lowered and we will try to provide better services to each other. Therefore, consumers can buy products with better service and lower prices.",485.0,"501,0,0,0,0,,,,"
486,486,You can spend better.,486.0,"502,0,1,0,0,,,,"
487,487,The price goes down,487.0,"503,1,1,1,0,,,,"
488,488,Consumers can get a lot of slack,488.0,"504,1,1,0,0,,,,"
489,489,You can find out the characteristics of the two bakeries by going to both bakery A and bakery B.,489.0,"505,0,0,0,1,,,,"
490,490,You can get the girl you want,490.0,"506,0,1,1,0,,,,"
491,491,I feel like I'm going to be harmed,491.0,"507,0,0,0,0,,,,"
492,492,Consumers can benefit more.,492.0,"508,0,0,0,0,,,,509,1,1,0,0,,,,"
493,493,You can buy things cheaply by lowering the price to attract a lot of consumers from each other. And you can get new things.,493.0,"510,0,0,0,0,,,,"
494,494,You can get a better one.lower prices to use and attract customers,494.0,"511,1,1,0,0,,,,"
495,495,"""Even if one bakery disappears, you can go to another bakery and buy bread.""",495.0,"512,1,0,0,0,,,,"
496,496,Because many people go to delicious bakery,496.0,"513,0,1,0,0,,,,"
497,497,You can eat various kinds of bread.,497.0,"514,1,0,0,0,,,,"
498,498,You can go to a bakery with more delicious snacks,498.0,"515,0,1,0,0,,,,"
499,499,I can buy more bread,499.0,"516,0,1,0,0,,,,"
500,500,Consumers can buy things at a low price because they lower the price if they compete with each other,500.0,"517,1,0,0,0,,,,"
501,501,You can buy things at a lower price.,501.0,"518,0,0,1,0,,,,"
502,502,"Bakery stores compete with each other, lowering prices, and consumers buy things at cheaper prices.",502.0,"519,0,1,0,0,,,,"
503,503,It's getting cheaper,503.0,"520,0,1,1,0,,,,"
504,504,provide good service to consumers,504.0,"521,0,1,0,0,,,,"
505,505,"""Many bakeries make better products to sell to consumers than other bakeries",505.0,"522,1,0,0,0,,,,"
506,506,"It's going to lower the price, and consumers are going to go around a lot of bakeries, quality, price",506.0,"523,0,0,1,0,,,,"
507,507,"You will be able to buy a low product.""",507.0,"524,0,0,0,0,,,,"
508,508,"Consumers can eat at many bakeries, so they can feel many drinks.",508.0,"525,0,0,0,0,,,,"
509,509,They compete with each other and try to develop themselves better than competing bakeries.,509.0,"526,0,0,0,0,,,,"
510,510,I think I can buy many things,510.0,"527,0,0,0,1,,,,"
511,511,You can buy good things.,511.0,"528,1,0,0,0,,,,"
512,512,You can buy a better one,512.0,"529,0,0,0,0,,,,"
513,513,Consumers can easily choose a better bakery.,513.0,"530,1,1,0,0,,,,"
514,514,You can buy the same thing cheaply.,514.0,"531,1,0,0,0,,,,"
515,515,You can buy better ingredients and cheaper prices.,515.0,"532,0,0,0,0,,,,"
516,516,"The price can be reduced. Also, there are many new menus.",516.0,"533,1,1,0,0,,,,"
517,517,You can eat better and more delicious bread.,517.0,"534,0,1,0,0,,,,"
518,518,Consumers can buy things at a lower price,518.0,"535,1,1,1,0,,,,"
519,519,to be able to eat various breads,519.0,"536,0,1,0,0,,,,"
520,520,Consumers can buy food cheaper and get a lot of services.,520.0,"537,1,1,0,0,,,,"
521,521,You can buy good products at a cheaper price than before.,521.0,"538,0,1,0,0,,,,539,1,0,0,1,,,,"
522,522,You can buy things cheaply.,522.0,"540,0,1,0,1,,,,"
523,523,It is good because bakery shops compete with each other and give consumers a lot of benefit.,523.0,"541,1,1,0,1,,,,"
524,524,"If several bakeries compete with each other, it will be good for consumers because they try to attract consumers in many ways, such as good service in stores and lower prices.",524.0,"542,1,1,1,0,,,,"
525,525,You can choose the most delicious and cheaper bread.,525.0,"543,1,1,0,0,,,,"
526,526,You can buy better things.,526.0,"544,1,1,0,0,,,,"
527,527,I went to eat many kinds of food.,527.0,"545,1,1,0,1,,,,"
528,528,Consumers can choose a better bakery and spend better,528.0,"546,1,1,0,0,,,,"
529,529,"You can buy items at a better, cheaper price.",529.0,"547,1,1,0,0,,,,"
530,530,You can eat it at a delicious and cheaper bakery.,530.0,"548,1,1,0,1,,,,"
531,531,I can make other bread and eat various kinds of bread.,531.0,"549,1,1,0,0,,,,"
532,532,You can buy cheap food and get good services.,532.0,"550,0,1,1,0,,,,"
533,533,You can buy things that you need to buy at a little cheaper.,533.0,"551,0,0,0,0,,,,"
534,534,The two stores compete to lower the price so that they can pay less,534.0,"552,0,1,1,1,,,,"
535,535,The good thing about competing with each other is that more consumers will be able to walk in various ways.,535.0,"553,1,0,0,0,,,,"
536,536,"You can buy better quality items cheaply because you compete for prices, services, products, etc.",536.0,"554,0,1,0,0,,,,"
537,537,"Their bakery needs to be better in many ways than other bakeries to attract more consumers, so they will manage store facilities and menus harder and better to create a better environment for consumers.",537.0,"555,1,1,0,0,,,,"
538,538,It is offered to consumers with better quality and better prices,538.0,"556,1,0,1,0,,,,"
539,539,Better service and quality products can be consumed.,539.0,"557,1,0,0,0,,,,"
540,540,You can get various benefits,540.0,"558,0,0,0,0,,,,"
541,541,You can get better products and get cheaper.,541.0,"559,1,1,0,0,,,,"
542,542,"Bakery stores will compete with each other to bring in consumers by lowering prices or improving quality, which will allow consumers to make more profits at the same price.",542.0,"560,1,1,0,0,,,,"
543,543,Consumers can purchase cheaper and higher-quality products because they try to provide better services and are likely to sell them cheaper.,543.0,"561,0,1,0,0,,,,"
544,544,There's more to choose from,544.0,"562,1,1,1,0,,,,"
545,545,"As the service and quality of products of bakeries increase, consumers have a wider range of choices.",545.0,"563,0,0,0,0,,,,"
546,546,to be able to live a better life than before,546.0,"564,1,0,0,0,,,,"
547,547,You can choose and choose and buy the same product at a cheaper price.,547.0,"565,1,0,0,1,,,,"
548,548,We can compare products to each other,548.0,"566,0,1,0,0,,,,"
549,549,"If you compete, you can compete with higher quality and prices to make profits between bakery stores, so that consumers can get higher quality and reasonable prices",549.0,"567,1,0,1,0,,,,"
550,550,Bakery stores will offer better products and better services because they are trying to attract consumers competitively. It can be a good thing for consumers because it will eventually provide better services and products to consumers.,550.0,"568,0,0,1,0,,,,569,0,1,1,0,,,,"
551,551,It can give consumers better things because different bakeries compete and try to make better things,551.0,"570,1,0,0,0,,,,"
552,552,Consumers can get better quality goods.,552.0,"571,0,0,1,0,,,,"
553,553,Consumers can get better bread or services because bakeries compete with each other and try to do better.,553.0,"572,1,1,0,0,,,,"
554,554,It is more cost-effective.,554.0,"573,0,1,0,0,,,,"
555,555,It will provide higher quality services to consumers and lower prices.,555.0,"574,1,1,0,0,,,,"
556,556,You can compare the prices of the two places and go to a cheaper place to buy them.,556.0,"575,1,0,0,1,,,,"
557,557,"In order to secure a consumer base, the two companies will try to provide better services to consumers.",557.0,"576,0,1,1,0,,,,"
558,558,I can see where is better and where is better,558.0,"577,1,0,0,1,,,,"
559,559,a decline in prices It tastes better. Can prevent a bakery's monopoly.,559.0,"578,1,1,0,0,,,,"
560,560,"If you compete, you will try to sell better facilities and at better prices, so consumers can enjoy better rights",560.0,"579,1,0,0,1,,,,"
561,561,The price of the product will be cheaper because they compete with each other,561.0,"580,0,0,1,0,,,,"
562,562,You can compare the price and taste.,562.0,"581,1,0,0,0,,,,"
563,563,Compete with each other to increase the quality of the confectionery or lower the price,563.0,"582,0,1,0,0,,,,"
564,564,I don't know.,564.0,"583,0,1,0,0,,,,"
565,565,You can get new confectionery and solutions from competition.,565.0,"584,0,1,0,0,,,,"
566,566,I can see the knowledge I didn't know.,566.0,"585,1,0,0,0,,,,"
567,567,"Near the bakery,",567.0,"586,1,1,0,0,,,,"
568,568,It's better to lower the price in competition,568.0,"587,1,1,1,0,,,,"
569,569,I can tell which place is more delicious,569.0,"588,1,1,0,1,,,,"
570,570,You can buy it cheaply when you lower the price to attract more customers.,570.0,"589,1,1,0,0,,,,"
571,571,You can eat more delicious bread,571.0,"590,0,0,1,0,,,,"
572,572,Cheaper and better quality,572.0,"591,1,1,0,0,,,,"
573,573,You can get a good one,573.0,"592,0,0,0,0,,,,"
574,574,You can get more variety of things you need,574.0,"593,1,1,0,0,,,,"
575,575,We all buy two stores,575.0,"594,1,0,0,0,,,,"
576,576,You can eat a lot of different foods and compare them to each other at a more delicious bakery,576.0,"595,1,0,0,0,,,,"
577,577,Convenient.,577.0,"596,1,1,0,0,,,,"
578,578,There will be more events and discounts to attract more customers.,578.0,"597,0,0,0,0,,,,"
579,579,You can get better products.,579.0,"598,0,0,0,0,,,,599,0,0,0,0,,,,"
580,580,You'll think it's rude,580.0,"600,0,0,0,0,,,,"
581,581,"""You can eat cheaper and better things, you can get better service",581.0,"601,0,0,0,0,,,,"
582,582,"""",582.0,"602,1,0,0,0,,,,"
583,583,to be able to spend better,583.0,"603,0,0,0,0,,,,"
584,584,"Because we think about how to sell to consumers in a better way while competing with each other, if we compete with each other, the price can be lowered and we will try to provide better services to each other. Therefore, consumers can buy products with better service and lower prices.",584.0,"604,0,1,0,0,,,,"
585,585,You can spend better.,585.0,"605,1,0,0,0,,,,"
586,586,The price goes down,586.0,"606,1,0,0,0,,,,"
587,587,Consumers can get a lot of slack,587.0,"607,0,0,0,0,,,,"
588,588,You can find out the characteristics of the two bakeries by going to both bakery A and bakery B.,588.0,"608,1,0,0,0,,,,"
589,589,You can get the girl you want,589.0,"609,1,0,0,0,,,,"
590,590,I feel like I'm going to be harmed,590.0,"610,0,1,1,0,,,,"
591,591,Consumers can benefit more.,591.0,"611,0,0,1,0,,,,"
592,592,You can buy things cheaply by lowering the price to attract a lot of consumers from each other. And you can get new things.,592.0,"612,0,1,0,0,,,,"
593,593,You can get a better one.You can buy it at a lower price,593.0,"613,1,1,0,0,,,,"
594,594,I think I can buy a better product,594.0,"614,1,1,0,0,,,,"
595,595,Consumers can use better quality items because they want to compete and create better quality.,595.0,"615,0,0,0,0,,,,"
596,596,Consumers will buy products with better quality and better service.,596.0,"616,1,0,0,0,,,,"
597,597,to be able to eat cheaply,597.0,"617,1,0,0,1,,,,"
598,598,You can eat bread at a more delicious and cheaper price.,598.0,"618,1,0,0,0,,,,"
599,599,This is because consumers can purchase better quality and cheaper bread due to competition from bakeries due to increased choices.,599.0,"619,0,1,0,0,,,,"
600,600,It can benefit consumers with better quality products and cheaper prices to consumers,600.0,"620,0,1,0,0,,,,"
601,601,Better products and lower prices are good for consumers,601.0,"621,1,1,0,0,,,,"
602,602,There are many kinds of bread.,602.0,"622,1,1,0,0,,,,"
603,603,"""Bakery stores offer quality products to attract consumers, so consumers are cheap",603.0,"623,1,0,0,0,,,,"
604,604,"You can buy quality goods.""",604.0,"624,0,0,0,0,,,,"
605,605,You can get better service.,605.0,"625,1,0,0,0,,,,"
606,606,"In the process of competition, the price of the product decreases and the quality increases.",606.0,"626,0,0,0,0,,,,"
