,Unnamed: 0,"2) The wooden ladle wasn't hot, but why did the metal ladle get hot?",Unnamed: 0,", q40_column movement, q40_material, q40_column movement1, q40_material.1"
200,200,"In a wooden ladle, hot water is absorbed and then added",200.0,"206,1,1,1, metal ladle has good thermal conductivity when you put ladle in hot water"
201,201,"This is because trees do not transfer heat well, and metallic materials transfer heat well.",201.0,"207,1,1, because metal ladle has good thermal conductivity when ladle is put in hot water"
202,202,The metal ladle has a lower temperature at which heat starts to spread than the wooden ladle.,202.0,"208,1,1,1 because metal ladle has good thermal conductivity when you put ladle in hot water209,1,1,1 because metal ladle has good thermal conductivity when you put ladle in hot water"
203,203,This is because metals receive heat faster than trees,203.0,"210,1,1,1, When you put the ladle in hot water, the metal ladle has good thermal conductivity, so it moves quickly"
204,204,Wooden ladles don't even eat heat well But metal ladles consume a lot of heat.,204.0,"211,1,1,1 because the metal ladle moves quickly because it has good thermal conductivity when the ladle is added to hot water"
205,205,"Wooden ladle is not a heat-reactive substance, but iron is a heat-reactive substance",205.0,"212, 0, 1, because metal ladles move quickly because they have good thermal conductivity when they are put in hot water"
206,206,Metal heats up faster than wood,206.0,"213,1,1,1, When you put the ladle in hot water, the metal ladle moves the heat fast"
207,207,"Metal heats up in response to heat, but wood does not heat up by heat",207.0,"214,0,1, when you put the ladle in hot water, the metal ladle moves quickly,"
208,208,Because metal ladles transfer heat faster than wooden ladles,208.0,"215,0,0 because metal ladle moves heat fast when ladle is put in hot water"
209,209,"This is because wooden ladles are nonconductors that do not carry heat, and metal ladles are two bodies that carry heat.",209.0,"216,1,1,1 because metal ladles move quickly when they are put in hot water"
210,210,This is because the heat conduction of metal is higher than that of wood.,210.0,"217, 1, 1, 1. When you put the ladle in hot water, the metal ladle transfers heat quickly"
211,211,"Wood does not react to heat, but metal heats up when heated.",211.0,"218, 1, 1, 1. When you put the ladle in hot water, the metal ladle transfers heat quickly"
212,212,This is because metal moves faster than wood,212.0,"219,1,1,1 because metal ladles transfer heat quickly when they are added to hot water"
213,213,Because trees don't react to hot things,213.0,"220, 1, 1, 1 because the metal ladle transfers heat quickly when you put it in hot water"
214,214,"Because wood is a nonconductor, heat is not transferred, but because metal is a conductor, heat is transferred",214.0,"221,1,0... When you put the ladle in hot water, the metal ladle moves heat easily"
215,215,"Because wooden ladle is not metal, but metal ladle is metal.",215.0,"222, 1, 1, 1. Metal ladles move heat easily when you put them in hot water"
216,216,Same as above.,216.0,"223,0,1, the metal ladle moves heat easily when it is added to hot water"
217,217,This is because trees do not receive heat.,217.0,"224,1,1,1 because metal ladles move heat easily when they are put in hot water"
218,218,"Wooden ladle does not transfer heat well, but metal transfers heat well",218.0,"225,0,1, When you put the ladle in hot water, the metal ladle transfers heat easily"
219,219,Because the metal moves on the surface of the heat,219.0,"226,1,0... When you put the ladle in hot water, the metal ladle transfers heat easily"
220,220,This is because metal ladles are more heated than wooden ladles.,220.0,"227,1,1,1 because metal ladle is easily transferred when ladle is added to hot water"
221,221,"Trees do not transfer heat, but metals have the ability to transfer heat",221.0,"228,1,1,1 because metal ladles transfer heat easily when they are put in hot water"
222,222,"Compared to a wooden ladle, metal ladle delivers heat better",222.0,"229, 1, 1, 1. Metal ladles move faster when they are put in hot water"
223,223,Wood does not conduct heat and metal is heat-conducting well,223.0,"230, 1, 1, 1. When you put the ladle in hot water, the metal ladle moves faster"
224,224,Because wooden ladle is Budyo-che,224.0,"231,1,1,1, because metal ladles move faster when they are put in hot water"
225,225,Because metal ladle transfer heat well,225.0,"232,1,1,1 because metal ladles move faster when they are put in hot water"
226,226,It's because it's not metal.,226.0,"233,0,0... When you put the ladle in hot water, the metal ladle is made of iron and the heat moves quickly"
227,227,It has high thermal conductivity,227.0,"234,0,1, when you put the ladle in hot water, the metal ladle is made of iron and the heat moves quickly"
228,228,This is because the metal ladle has a higher heat conductivity than the wooden ladle.,228.0,"235,1,1,1 because metal ladle is made of iron when ladle is put in hot water and heat moves quickly"
229,229,It is because metal has better thermal conductivity than wood.,229.0,"236,1,1,1, because when you put the ladle in hot water, the metal ladle is made of iron and the heat moves quickly"
230,230,"The wood did not get hot due to its low thermal conductivity, but the metal quickly gets hot due to its high thermal conductivity.",230.0,"237,0,1, When you put the ladle in hot water, the heat of the wooden ladle is harder to move than the metal ladle"
231,231,"This is because wooden ladles have low thermal conductivity, but metal ladles have high thermal conductivity.",231.0,"238, 1, 1, 1. When you put a ladle in hot water, it's harder for a wooden ladle to move heat than a metal ladle239,1,1,1 This is because wooden ladle is more difficult to move heat than metal ladle when ladle is put in hot water"
232,232,"This is because wooden ladles do not react well to heat, but metal ladles do",232.0,"240,1,0... This is because when you put a ladle in hot water, the heat of a wooden ladle is harder to move than a metal ladle"
233,233,This is because metals have higher thermal conductivity than wood,233.0,"241,0,1, because the wooden ladle moves slower than the metal ladle when the ladle is put in hot water"
234,234,I don't know.,234.0,"242,1,1,1. When you put the ladle in hot water, the wooden ladle moves slower than the metal ladle"
235,235,Wooden ladle and metal ladle are made of different ingredients are different,235.0,"243,1,1,1 This is because the wooden ladle moves slower than the metal ladle when the ladle is put in hot water"
236,236,This is because metal ladles have higher thermal conductivity than wooden ladles.,236.0,"244,1,0... This is because when you put the ladle in hot water, the wooden ladle moves slower than the metal ladle"
237,237,Because metal has high heat transfer power,237.0,"245,1,1,1 because the wooden ladle is slow to conduct heat when you put the ladle in hot water"
238,238,"This is because trees are strong against heat, but metals are weak against heat",238.0,"246,1,1,1. When you put the ladle in hot water, the heat conduction of the wooden ladle is slow"
239,239,"This is because wood does not heat well, and metal heat well.",239.0,"247,0,0 because the wooden ladle is slow to conduct heat when the ladle is put in hot water"
240,240,Metal is easier to transfer energy,240.0,"248,1,1,1 because the wooden ladle is slow to conduct heat when the ladle is put in hot water"
241,241,This is because metal ladles have better thermal conductivity than wooden ladles.,241.0,"249,1,1,1. When you put the ladle in hot water, the wooden ladle doesn't conduct heat well"
242,242,The properties of wood and metal are different,242.0,"250, 0, 1, When you put the ladle in hot water, the wooden ladle doesn't conduct heat well"
243,243,"Because wooden ladle has low thermal conductivity, metal ladle has high thermal conductivity",243.0,"251,0,1, This is because wooden ladles do not conduct heat well when they are put in hot water"
244,244,This is because metal transfers heat better.,244.0,"252,0,0... This is because the wooden ladle does not conduct heat well when the ladle is put in hot water"
245,245,Because it has good thermal conductivity,245.0,"253,1,1, because the wooden ladle has poor thermal conductivity when you put the ladle in hot water"
246,246,This is because metals have high thermal conductivity while trees have low thermal conductivity.,246.0,"254,1,1,1. When you put the ladle in hot water, the wooden ladle has poor thermal conductivity"
247,247,"The wood is nonmetallic and the metal ladle is metallic, so it is due to the difference in heat transfer power.",247.0,"255,0,0 because the wooden ladle has poor thermal conductivity when the ladle is put in hot water"
248,248,I don't know,248.0,"256,0,1, because the wooden ladle has poor thermal conductivity when you put the ladle in hot water"
249,249,"""The wooden ladle doesn't move the heat properly, but the metal ladle moves the heat well",249.0,"257,1,1,1, When you put the ladle in hot water, the wooden ladle has poor thermal conductivity, so the heat moves slowly"
250,250,"""",250.0,"258,1,0... When you put the ladle in hot water, the wooden ladle has poor thermal conductivity, so the heat moves slowly"
251,251,"Metal transfers heat, but trees do not.",251.0,"259,1,1,1, When ladle is put in hot water, wooden ladle has poor thermal conductivity, so heat moves slowly"
252,252,Metal ladles heat up,252.0,"260,0,0,1, because when you put the ladle in hot water, the wooden ladle has poor thermal conductivity and the heat moves slowly"
253,253,Wooden ladle is not metal,253.0,"261,0,1, when you put the ladle in hot water, the wooden ladle moves slowly"
254,254,I don't know,254.0,"262,1,1,1, When you put the ladle in hot water, the wooden ladle moves slowly,"
255,255,"The metal ladle is made of iron, so heat travels fast",255.0,"263,0,0... When you put the ladle in hot water, the wooden ladle moves slowly"
256,256,This is because metal transfers heat much faster than wood,256.0,"264,0,1, when you put the ladle in hot water, the wooden ladle moves slowly"
257,257,I don't know,257.0,"265,1,1,1, When you put the ladle in hot water, the wooden ladle transfers heat slowly"
258,258,Because it's iron,258.0,"266,0,0... When you put the ladle in hot water, the wooden ladle transfers heat slowly"
259,259,"Wooden ladle does not transfer heat quickly, but metal ladle transfers heat quickly",259.0,"267,0,1, the wooden ladle transfers heat slowly when the ladle is added to hot water"
260,260,"Because of the heat transfer,",260.0,"268,1,1,1 because when you put the ladle in hot water, the wooden ladle transfers heat slowly269,1,0... When you put the ladle in hot water, the wooden ladle moves slowly because the heat moves slowly"
261,261,"Because metal is more heat-resistant,",261.0,"270,0,0, when you put the ladle in hot water, the wooden ladle moves slowly,"
262,262,Metal depends on the temperature of the water,262.0,"271,0,1, because the wooden ladle moves slowly when the ladle is put in hot water"
263,263,"Wood is not heated, but metal is heated",263.0,"272,1,0... This is because the wooden ladle moves slowly when you put the ladle in hot water"
264,264,Metals transfer heat well,264.0,"273, 1, 1, 1. When you put the ladle in hot water, the wooden ladle slowly transfers heat"
265,265,That's what I'm saying,265.0,"274,1,0... When you put the ladle in hot water, the wooden ladle transfers heat slowly"
266,266,The temperature of metal goes down and up quickly,266.0,"275,1,1,1 because when you put the ladle in hot water, the wooden ladle slowly transfers heat"
267,267,Metal transfers heat better,267.0,"276,1,0... When you put the ladle in hot water, the wooden ladle transfers heat slowly"
268,268,have a longer stay,268.0,"277,1,0... It's heated well by heat"
269,269,It's made of metal,269.0,"278,0,0 because it is heated well by heat"
270,270,Heat travels faster in metals,270.0,"279,1,1, absorbs heat well"
271,271,"""The heat has shifted",271.0,"280, 1, 1, absorbs heat well"
272,272,"""",272.0,"281,1,0 , the rate of movement of the column"
273,273,Add hot water,273.0,"282, 0, 1, column shifts occur."
274,274,"Wood doesn't heat up well, but metal does",274.0,"283,0,0... the heat shift is big"
275,275,The heat doesn't move,275.0,"284,0,1, column shift is large"
276,276,Metal absorbs heat well and wood does not absorb heat well,276.0,"285,1,1, heat transfer"
277,277,This is because the degree of heat transfer varies depending on the object.,277.0,"286,1,1, there is a heat transfer process."
278,278,This is because wooden ladles do not heat well and metal ladles heat well,278.0,"287,1,1, heat moves into the ladle and enters."
279,279,The metal ladle has higher thermal conductivity than the wooden ladle,279.0,"288,0,1, because the heat is moving fast"
280,280,This is because the degree of heat transfer between metal and wood is different.,280.0,"289,1,1, the heat is moving fast"
281,281,This is because the temperature of the wooden ladle does not change depending on the temperature of the wooden ladle.,281.0,"290, 1, 1 because the heat is moving fast"
282,282,The specific heat of the metal is less than the specific heat of the tree,282.0,"291,0,0 because the heat is moving fast"
283,283,The heat doesn't move easily with wooden ladle,283.0,"292,1,1, the heat moves slowly"
284,284,Because heat is transferred,284.0,"293,0,1, the heat is moving slowly"
285,285,Because it's metal,285.0,"294,1,1, heat is free to move"
286,286,I don't know.,286.0,"295,1,1, heat free to move"
287,287,It is because the properties of wood and metal are different.,287.0,"296,0,1, because the heat is moving"
288,288,"Wood doesn't go through heat, metal goes through heat",288.0,"297,1,1, the heat moves"
289,289,"Wood doesn't move heat, but metal does",289.0,"298,1,1, because the heat is moving299, 1, 1 because the heat moves."
290,290,This is because the heat transfer is better on the metal ladle,290.0,"Because 300, 1, 1, and heat are moving"
291,291,Only the metal moves,291.0,"The temperature change angle occurs in the ladle as the columns 301, 1, 1, move."
292,292,Wooden ladle can't move heat well,292.0,"302,0,1, heat travels well"
293,293,"This is because wood does not move heat, but metal moves heat.",293.0,"303, 1, 1. Heat travels well"
294,294,It is because it is sensitive to temperature.,294.0,"304,1,1, heat conduction is easy"
295,295,Because metal moves heat better than wood,295.0,"305,1,1, heat conduction is easy"
296,296,"Wood is strong against heat, but metal or iron is weak against heatThis is because wooden ladles transfer heat slowly, but metal ladles transfer heat quickly.",296.0,"306,1,1, because of the high thermal conductivity,"
297,297,This is because metal conducts heat better than wood.,297.0,"307,1,1, because of the high thermal conductivity"
298,298,Metal absorbs hot stuff,298.0,"308,1,1, because of the high thermal conductivity"
299,299,"Metal works with heat, wood doesn't work with heat",299.0,"309,0,0 due to the high thermal conductivity of the metal"
300,300,The wooden ladle and the metal ladle have different properties.Wood has a slow heat transfer.,300.0,"310,0,1, due to the high thermal conductivity of metals,"
301,301,"Wood can't move heat well, but metal can move heat well.",301.0,"311,1,0, due to the high thermal conductivity of the metal"
302,302,Metal ladle moves heat faster than wooden ladle,302.0,"312,1,1,1 because of the high thermal conductivity of metals"
303,303,This is because wood does not transfer heat well and metal is transferred heat well.,303.0,"313,1,1, because of the high thermal conductivity"
304,304,"If you put hot things on metal, the temperature goes up, but the wood doesn't go up",304.0,"314,0,1, because of the high thermal conductivity,"
305,305,"Trees don't absorb heat, but metals do",305.0,"315,1,1, because the thermal conductivity is high"
306,306,Wooden ladle has less heat than metal,306.0,"316,1,1, because the thermal conductivity is high"
307,307,"""The trees don't carry much heat,",307.0,"317,1,1, has high thermal conductivity"
308,308,"Metal is because heat travels fast.""",308.0,"318,1,1, due to the high thermal conductivity properties of metals"
309,309,"Metal ladle has a material that can transfer heat well, and wood is weak, so heat does not move well",309.0,"319,1,1, due to the high thermal conductivity of metals,"
310,310,"Trees don't accept heat, metals accept heat",310.0,"320,1,1,1 due to the properties of metals with high thermal conductivity"
311,311,"Because the heat doesn't go to the wooden ladle,",311.0,"321,1,1,1 because of the high thermal conductivity properties of metals"
312,312,The ingredients are different,312.0,"322,1,1,,"
313,313,Because trees are strong against heat and metals are weak against heat,313.0,"323,1,0,,"
314,314,This is because metal ladles transfer heat better than wooden ladles.,314.0,"324,1,1,,"
315,315,This is because the wooden ladle was not heated and the metal ladle was heated.,315.0,"325,1,1,,"
316,316,"Because metal transfers heat quickly,",316.0,"326,0,1,,"
317,317,Because iron gets heat better than wood,317.0,"327,1,0,,"
318,318,Metal is heated up well,318.0,"328,1,0,,329,0,1,,"
319,319,It is because trees do not heat well.,319.0,"330,1,1,,"
320,320,This is because metal ladles easily accept heat.,320.0,"331,1,1,,"
321,321,This is because the heat only moves to a metal ladle.,321.0,"332,0,1,,"
322,322,Iron has a higher thermal conductivity than wood.,322.0,"333,1,1,,"
323,323,"Wood doesn't get hot, but through metal.",323.0,"334,1,1,,"
324,324,"This is because wood takes time to move heat, whereas metals are good at moving heat.",324.0,"335,1,1,,"
325,325,The wood in the wooden ladle does not transmit the temperature,325.0,"336,0,0,,"
326,326,"Because iron transfers heat faster than wood,",326.0,"337,1,1,,"
327,327,This is because metals can easily move heat.,327.0,"338,1,1,,"
328,328,"Wooden ladles do not have the properties of heat transfer, but metal ladles have the properties of heat transfer well.",328.0,"339,1,1,,"
329,329,"The wooden ladle did not accept heat, but the metal ladle accepted hot heat.",329.0,"340,0,0,,"
330,330,"Because the heat doesn't work well with wooden ladle,",330.0,"341,1,1,,"
331,331,It has high thermal conductivity,331.0,"342,0,1,,"
332,332,"This is because metal ladles, not wooden ladles, accept heat.",332.0,"343,1,1,,"
333,333,This is because metal heats up better than wood.,333.0,"344,1,1,,"
334,334,This is because metals have different heat transfer rates.,334.0,"345,1,0,,"
335,335,Because metals have the property of melting in heat,335.0,"346,1,1,,"
336,336,Metal has the property of getting hot when the temperature rises,336.0,"347,0,1,,"
337,337,Metal is a regular arrangement of particles that vibrates and conducts heat,337.0,"348,1,0,,"
338,338,The metal gets heated up better,338.0,"349,0,1,,"
339,339,.,339.0,"350,1,1,,"
340,340,"It's because of the specific heat difference. This is because wood has a large specific heat, but metal is low.",340.0,"351,0,0,,"
341,341,"Wood does not have better thermal conductivity than metal, but metal is excellent and heats up quickly.",341.0,"352,0,0,,"
342,342,Metal has easy heat conduction,342.0,"353,1,1,,"
343,343,.,343.0,"354,1,1,,"
344,344,Wood has low heat conductivity,344.0,"355,1,0,,"
345,345,It's metal,345.0,"356,0,0,,"
346,346,Different thermal conductivity results in higher thermal conductivity of metal ladle,346.0,"357,1,1,,"
347,347,This is because wooden ladles have high thermal conductivity and metal ladles have high thermal conductivity.,347.0,"358,0,0,,359,1,1,,"
348,348,Low thermal conductivity.,348.0,"360,1,1,,"
349,349,This is because metal ladle has higher thermal conductivity than wood.,349.0,"361,1,0,,"
350,350,"Wood passes through water, but not metal",350.0,"362,1,0,,"
351,351,Because of the good heat conduction,351.0,"363,1,1,,"
352,352,This is because the trees are not finished and the metals are frictioned.,352.0,"364,1,0,,"
353,353,"Wood doesn't have high thermal conductivity, but metal has high thermal conductivity",353.0,"365,1,0,,"
354,354,.,354.0,"366,1,1,,"
355,355,Yeah.,355.0,"367,1,1,,"
356,356,Because metals conduct heat better,356.0,"368,1,1,,"
357,357,Metal is because heat is conducted heat.,357.0,"369,1,1,,"
358,358,Metal ladles conduct better,358.0,"370,1,1,,"
359,359,I don't know. I don't know either,359.0,"371,0,1,,"
360,360,This is because metals are conductive and there is no wood.,360.0,"372,1,1,,"
361,361,What did you write on the top?,361.0,"373,1,1,,"
362,362,The metal has higher thermal conductivity,362.0,"374,1,1,,"
363,363,Because metals have high thermal conductivity,363.0,"375,1,1,,"
364,364,This is because the thermal conductivity of the metal ladle is higher than that of the wooden ladle.,364.0,"376,1,0,,"
365,365,It is the difference in thermal conductivity.,365.0,"377,1,1,,"
366,366,"Wood is a nonconductor, but metal is a conductor, so heat is transferred well",366.0,"378,0,1,,"
367,367,This is because the thermal conductivity of the metal is high.,367.0,"379,1,1,,"
368,368,Because of the difference between heat transfer and failure,368.0,"380,1,1,,"
369,369,The thermal conductivity of the metal ladle is higher.,369.0,"381,1,1,,"
370,370,This is because metal conducts better than wood.,370.0,"382,1,1,,"
371,371,The wooden ladle has a large specific heat and the metal ladle has a small specific heat,371.0,"383,0,0,,"
372,372,The thermal conductivity of metal is greater than that of wood.,372.0,"384,1,1,,"
373,373,"This is because wood has low conductivity and does not transfer heat well, and metal ladle has high conductivity, so heat transfer is good.",373.0,"385,1,1,,"
374,374,It's because I'm a tree,374.0,"386,1,1,,"
375,375,Metal transfers heat better than wood.,375.0,"387,1,1,,"
376,376,This is because metal ladles have lower thermal conductivity than wooden ladles,376.0,"388,1,0,,389,1,0,,"
377,377,The metal ladle has higher thermal conductivity than the wooden ladle,377.0,"390,1,1,,"
378,378,"Wooden ladles are not easily hot due to their relatively low thermal conductivity, but metal ladles become hot due to their high thermal conductivity.",378.0,"391,1,1,,"
379,379,heat of conduction,379.0,"392,1,0,,"
380,380,Because wooden ladle is not good at heat conduction,380.0,"393,1,1,,"
381,381,The temperature rises quickly because it is made of metal,381.0,"394,1,1,,"
382,382,Because metal conducts heat faster than wood,382.0,"395,1,1,,"
383,383,Metals have high conductivity,383.0,"396,1,0,,"
384,384,Metals have high conduction heat,384.0,"397,1,1,,"
385,385,Metal has high conduction heat,385.0,"398,0,1,,"
386,386,Same reason as above,386.0,"399,1,1,,"
387,387,Wooden ladle has low heat of conduction,387.0,"400,0,0,,"
388,388,This is because metal ladles conduct heat faster than wood,388.0,"401,1,1,,"
389,389,"Wood has low thermal conductivity, but metals have high thermal conductivity.",389.0,"402,1,1,,"
390,390,Because wooden ladle has poor thermal conductivity,390.0,"403,0,0,,"
391,391,This is because conduction heat exists.,391.0,"404,0,0,,"
392,392,Because of the low heat conduction,392.0,"405,0,0,,"
393,393,This is because wooden ladle has slow heat conduction and metal ladle is fast,393.0,"406,0,1,,"
394,394,This is because wood has lower heat conduction than metal and metal has higher heat conductivity,394.0,"407,1,1,,"
395,395,Due to the difference in conduction heatMetal transfers heat better than wood,395.0,"408,0,1,,"
396,396,This is because metals have high thermal conductivity.,396.0,"409,1,1,,"
397,397,"Wood is not thermally conductive, but metals are thermally conductive.",397.0,"410,0,1,,"
398,398,It is the difference in thermal conductivity.,398.0,"411,1,1,,"
399,399,Iron works well and trees do not transfer heat,399.0,"412,0,1,,"
400,400,Because wooden ladle is not heated and metal ladle is heated,400.0,"413,0,1,,"
401,401,Metal has higher thermal conductivity than wood,401.0,"414,1,0,,"
402,402,ㅗ,402.0,"415,1,1,,"
403,403,Heat transfer to metal,403.0,"416,0,1,,"
404,404,"The wooden ladle was made of wood, so heat did not reach it, but the metal ladle was made of metal, so the heat moved and became hot.",404.0,"417,1,1,,"
405,405,It's just that',405.0,"418,0,0,,419,1,0,,"
406,406,I don't know,406.0,"420,1,1,,"
407,407,I don't know.,407.0,"421,1,1,,"
408,408,"The temperature of the wooden ladle does not move, and the temperature of the metal ladle moves.",408.0,"422,1,1,,"
409,409,The temperature of iron changes easily.,409.0,"423,1,1,,"
410,410,Because it's iron,410.0,"424,1,1,,"
411,411,"Because wood does not move heat, and metal moves heat",411.0,"425,1,1,,"
412,412,It's metal,412.0,"426,1,0,,"
413,413,The metal transferred heat well,413.0,"427,1,0,,"
414,414,It's metal,414.0,"428,1,1,,"
415,415,The wooden ladle is wood and the metal ladle is metal,415.0,"429,1,1,,"
416,416,The heat is shifting,416.0,"430,1,1,,"
417,417,The wood doesn't get hot because the heat can't move.,417.0,"431,1,1,,"
418,418,Metal can't be hot,418.0,"432,1,1,,"
419,419,This is because the movement of heat is different depending on the substance,419.0,"433,1,1,,"
420,420,ㅊ,420.0,"434,1,1,,"
421,421,It is a gate with different degrees of heat movement.,421.0,"435,1,1,,"
422,422,"The metal ladle has a higher thermal conductivity than the wooden ladle, so it heats up faster.",422.0,"436,1,1,,"
423,423,This is because metal ladles have higher conductivity than wooden ladles.,423.0,"437,1,1,,"
424,424,"This is because wooden ladles have low thermal conductivity, while metal ladles have high thermal conductivity.",424.0,"438,1,1,,"
425,425,Because trees have low thermal conductivity,425.0,"439,1,1,,"
426,426,This is because the thermal conductivity of the metal ladle is higher than that of the wooden ladle.,426.0,"440,1,1,,"
427,427,This is because metal ladles have higher thermal conductivity than wooden ladles.,427.0,"441,1,1,,"
428,428,This is because the thermal conductivity is higher.,428.0,"442,0,1,,"
429,429,This is because the conductivity is different.,429.0,"443,1,0,,"
430,430,"This is because the wooden ladle is very difficult to move heat, but the metal is very easy to move heat.",430.0,"444,1,0,,"
431,431,This is because metal ladles are more conductive than wooden ladles.,431.0,"445,1,1,,"
432,432,This is because metal ladles have higher thermal conductivity than wooden ladles.,432.0,"446,1,0,,"
433,433,This is because metallic materials conduct heat quickly.,433.0,"447,1,1,,"
434,434,Wood is hard to conduct heat and metal is easy to conduct,434.0,"448,0,0,,449,0,0,,"
435,435,This is because metal ladles have faster heat conduction than wooden ladles.,435.0,"450,1,1,,"
436,436,This is because metal conducts heat faster than wood.,436.0,"451,1,1,,"
437,437,This is because trees have lower thermal conductivity than metals.,437.0,"452,1,1,,"
438,438,This is because the thermal conductivity of the metal ladle is higher than that of the wooden ladle.,438.0,"453,1,1,,"
439,439,This is because metal ladles have higher thermal conductivity than wooden ladles.,439.0,"454,1,1,,"
440,440,"This is because wooden ladles have slow conductivity, but metal ladles have fast conductivity.",440.0,"455,1,1,,"
441,441,This is because the thermal conductivity of the metal ladle is higher than that of the wooden ladle.,441.0,"456,1,0,,"
442,442,This is because the heat conduction of metal is much better than that of wood.,442.0,"457,1,1,,"
443,443,"The wooden ladle did not get hot due to its low thermal conductivity, while the metal ladle got hot due to its high thermal conductivity.",443.0,"458,1,1,,"
444,444,Because wooden ladle is nonmetallic and metal ladle is metal,444.0,"459,1,1,,"
445,445,What's that mean? I don't know,445.0,"460,0,0,,"
446,446,It's all done quickly,446.0,"461,1,1,,"
447,447,Metal has the properties of heat conduction,447.0,"462,1,1,,"
448,448,The conductivity is different,448.0,"463,1,1,,"
449,449,"The specific heat of the metal, which is the material of the wooden ladle and the material of the metal ladle, is different because the specific heat of the metal is smaller.",449.0,"464,1,1,,"
450,450,Don't know,450.0,"465,0,0,,"
451,451,I don't know,451.0,"466,1,0,,"
452,452,"Because metal has a fast heat conduction,",452.0,"467,1,1,,"
453,453,Metals conduct better,453.0,"468,1,1,,"
454,454,Wooden ladles have poor conduction,454.0,"469,1,1,,"
455,455,Metal transfers heat better,455.0,"470,1,1,,"
456,456,Because metals are thermally conductive,456.0,"471,0,0,,"
457,457,"Because metal has higher thermal conductivity than wood,",457.0,"472,1,1,,"
458,458,It is because of heat conduction.,458.0,"473,0,0,,"
459,459,This is because metal ladles have higher thermal conductivity than wooden ladles.,459.0,"474,1,1,,"
460,460,"Wood has low heat conduction, but metal has high heat conduction",460.0,"475,1,1,,"
461,461,Wood conducts poorly and metal conducts well,461.0,"476,1,1,,"
462,462,.,462.0,"477,1,1,,"
463,463,"Because the thermal conductivity of the metal is greater,",463.0,"478,1,1,,479,1,1,,"
464,464,"Wood doesn't transfer heat well, but metal does",464.0,"480,1,1,,"
465,465,Metal ladles have higher thermal conductivity than wooden ladles,465.0,"481,1,0,,"
466,466,This is because metal has a higher heat conduction than wood,466.0,"482,1,1,,"
467,467,"This is because the applied heat energy was sufficient to raise the temperature of the metal ladle, but not enough to raise the temperature of the wooden ladle.",467.0,"483,1,1,,"
468,468,It is because of the conduction of heat.,468.0,"484,1,1,,"
469,469,This is because wooden ladles have low thermal conductivity and metal ladles have much higher thermal conductivity than trees.,469.0,"485,1,1,,"
470,470,This is because the conductivity of the wooden ladle is lower than that of the metal ladle,470.0,"486,1,1,,"
471,471,"""Because metal ladles conduct heat well, and wooden ladles do not conduct heat well",471.0,"487,1,1,,"
472,472,"""",472.0,"488,0,1,,"
473,473,This is because the metal ladle has higher thermal conductivity than the wooden ladle.,473.0,"489,1,1,,"
474,474,"""",474.0,"490,1,1,,"
475,475,"Because it's heated up.""",475.0,"491,1,0,,"
476,476,"Because of the high thermal conductivity metal,",476.0,"492,0,0,,"
477,477,Let's skip twitter and womad,477.0,"493,1,1,,"
478,478,Metal has higher conductivity than wood,478.0,"494,1,1,,"
479,479,"Metal has a higher thermal conductivity than wood, so the metal ladle heats up quickly",479.0,"495,1,1,,"
480,480,This is because the heat conduction of wooden ladles does not occur more easily than that of metal ladle.,480.0,"496,1,1,,"
481,481,Metal ladles have higher thermal conductivity than wooden ladles,481.0,"497,1,1,,"
482,482,Gold hands are hot because of their high thermal conductivity,482.0,"498,1,1,,"
483,483,Metal gets hot quickly because of its high thermal conductivity,483.0,"499,1,1,,"
484,484,"This is because the thermal conductivity varies from object to object, and the wood has less thermal conductivity than the metal.",484.0,"500,1,1,,"
485,485,This is because the speed of heat transfer varies depending on the material forming the solid.,485.0,"501,1,1,,"
486,486,It has better thermal conductivity,486.0,"502,1,1,,"
487,487,Wooden ladle has no thermal conductivity and metal,487.0,"503,1,1,,"
488,488,This is because trees have a low heat conduction rate and metals have a high heat conduction rate.,488.0,"504,0,1,,"
489,489,This is because the metal ladle has higher thermal conductivity.,489.0,"505,1,0,,"
490,490,It has high thermal conductivity,490.0,"506,1,0,,"
491,491,"The wooden ladle has a faster heat transfer than the metal ladle, so the metal ladle is hot, but the wooden ladle has not yet gotten hot.",491.0,"507,1,1,,"
492,492,"Wood's raw materials don't get heated easily, but metal gets heated easily",492.0,"508,1,0,,509,1,0,,"
493,493,"Unlike wood, metal ladle, which is a metal material, has a high heat conductivity, making it easily hot.",493.0,"510,0,1,,"
494,494,"Wood ladle, which is a non-metal, only metal ladle with high heat conduction heat gets hot because metal has a weaker heat conduction heat than ladle.This is because the metal ladle has a higher specific heat than the wooden ladle.",494.0,"511,1,1,,"
495,495,Don't know,495.0,"512,0,1,,"
496,496,"The wooden ladle is made of wood with low heat conduction, and the metal ladle is made of metal with high heat conduction.",496.0,"513,0,0,,"
497,497,"Wood has low thermal conductivity, but metal has high thermal conductivity",497.0,"514,1,1,,"
498,498,"Wood is not hot because it has low thermal conductivity, but metal is hot because of its high thermal conductivity",498.0,"515,0,1,,"
499,499,"This is because the thermal conductivity of the wooden ladle and the metal ladle is different. This is because wooden ladles, which are not metal materials, have relatively lower thermal conductivity than metal ladles, and metal ladles have higher thermal conductivity.",499.0,"516,1,1,,"
500,500,"Metals are substances where heat travels, so heat travels",500.0,"517,1,1,,"
501,501,Metal conducts heat faster.,501.0,"518,1,1,,"
502,502,Wood has a lower thermal conductivity than metal,502.0,"519,1,0,,"
