,Unnamed: 0,2) Why was it so hard to breathe after the first few breaths?,Unnamed: 0,", q42_oxygen, q42_carbon dioxide, q42_air, q42_oxygen.1"
234,234,"At first, there was a lot of oxygen in the bag, but because it was in close contact, there was no air coming in and out, so oxygen is less and carbon dioxide is more.",234.0,"242,1,1,0,"
235,235,It's because I drink carbon dioxide,235.0,"243,1,1,0,"
236,236,The carbon dioxide spewed out is a gas that is hard to drinkable gas,236.0,"244,1,0,0,"
237,237,"This is because every time you exhale, there is less oxygen and carbon dioxide is released.",237.0,"245,1,1,0,"
238,238,"Oxygen is needed to breathe, but as you breathe, oxygen decreases and carbon dioxide increases, reducing the amount of oxygen needed to breathe.",238.0,"246,1,1,0,"
239,239,"The bag, which was filled with oxygen while repeatedly inhaling and breathing, is filled with carbon dioxide that we exhaled, which is difficult to breathe due to lack of oxygen.",239.0,"247,0,1,0,"
240,240,I drank too much air,240.0,"248,0,1,0,"
241,241,It is difficult to breathe due to lack of oxygen because it inhaled oxygen in the bag and emitted carbon dioxide.,241.0,"249,0,1,1,"
242,242,"Since our bodies accept oxygen and exhale carbon dioxide, it becomes difficult to breathe due to the lack of oxygen in the bag.",242.0,"250,0,0,0,"
243,243,be due to lack of oxygen,243.0,"251,0,0,1,"
244,244,"At first, it was full of fresh air (oxygen), but oxygen entered through breathing and carbon dioxide was emitted, making it difficult to breathe due to more carbon dioxide in the bag.",244.0,"252,0,0,0,"
245,245,"This is because it is carbon dioxide, not hidden oxygen.",245.0,"253,0,0,1,"
246,246,"Since the amount of carbon dioxide in the bag has increased,",246.0,"254,0,1,0,"
247,247,It became difficult to breathe because there was a lot of carbon dioxide in plastic bags.,247.0,"255,0,1,0,"
248,248,"Inhaling, air disappeared and carbon dioxide was formed.",248.0,"256,0,0,1,"
249,249,"Since you exhaled, it will be dirty and hard to hide",249.0,"257,1,0,0,"
250,250,Because the air is reduced,250.0,"258,0,0,1,"
251,251,I don't know,251.0,"259,0,0,0,"
252,252,Because the air is gradually disappearing,252.0,"260,0,0,0,"
253,253,It's because the carbon dioxide in the body came into the plastic bag while breathing,253.0,"261,0,1,0,"
254,254,Because of carbon dioxide,254.0,"262,0,1,0,"
255,255,"Because the air is getting smaller,",255.0,"263,0,1,0,"
256,256,It's hard to breathe because there's no oxygen.,256.0,"264,1,0,0,"
257,257,Because there's not enough Gongga?,257.0,"265,0,0,0,"
258,258,"The vinyl has run out of air, so it's hard to breathe.",258.0,"266,1,1,0,"
259,259,There's a limit to the air,259.0,"267,1,0,0,"
260,260,It's because I almost inhaled the air and turned into carbon dioxide from my body,260.0,"268,0,1,0,269,0,0,0,"
261,261,It's hard because there's a lot of carbon dioxide,261.0,"270,0,0,0,"
262,262,Because of carbon dioxide,262.0,"271,0,1,0,"
263,263,I'm running low on oxygen,263.0,"272,1,1,0,"
264,264,The air I kicked out is sulking and not coming back,264.0,"273,1,1,0,"
265,265,"Oxygen comes into our bodies and carbon dioxide is exhaled, so it's frustrating that we can't drink oxygen and only drink carbon dioxide",265.0,"274,1,1,0,"
266,266,Oxygen disappears and becomes scarce,266.0,"275,0,0,0,"
267,267,"When you breathe out, carbon dioxide is released",267.0,"276,1,1,0,"
268,268,My face is not good,268.0,"277,1,1,0,"
269,269,Because it's hard to breathe?,269.0,"278,0,0,0,"
270,270,This is because the air inside the bag turned into carbon dioxide by inhaling the air inside the bag.,270.0,"279,0,0,0,"
271,271,There's no oxygen and there's carbon dioxide,271.0,"280,1,1,0,"
272,272,"We breathe in oxygen, we breathe out carbon dioxide, we breathe in oxygen, we breathe out carbon dioxide, we breathe out",272.0,"281,0,0,1,"
273,273,"We drink oxygen and exhale carbon dioxide, but the amount of oxygen is limited because the plastic bag is a sealed space. That's why it's hard to breathe.",273.0,"282,0,0,1,"
274,274,Because you can't breathe.,274.0,"283,0,0,1,"
275,275,"Most of the oxygen in the bag is converted to carbon dioxide by human breathing, and it becomes difficult to breathe as it continues to breathe with the previously rotated carbon dioxide.",275.0,"284,0,0,1,"
276,276,This is because the amount of carbon dioxide is higher than the amount of oxygen in the bag.,276.0,"285,0,0,0,"
277,277,"This may be because it enters the body while inhaling air, and air escapes to the outer surface of the plastic bag.",277.0,"286,0,0,1,"
278,278,This is because it is gradually exchanged for the above reasons.,278.0,"287,0,1,0,"
279,279,It's because the plastic bag is filled with carbon dioxide rather than oxygen,279.0,"288,0,0,1,"
280,280,It's because the air has decreased,280.0,"289,0,1,0,"
281,281,There's no air,281.0,"290,0,1,1,"
282,282,It's because the air has disappeared.,282.0,"291,0,0,1,"
283,283,It's because he breathed air and the air disappeared.,283.0,"292,0,1,0,"
284,284,It feels stuffy,284.0,"293,0,0,1,"
285,285,It's because the air is gradually disappearing,285.0,"294,1,1,0,"
286,286,Because there's carbon dioxide in the plastic bag that I exhaled,286.0,"295,0,1,0,"
287,287,Because the air is gone,287.0,"296,0,0,1,"
288,288,It's hard to breathe with just carbon dioxide,288.0,"297,0,1,0,"
289,289,"Carbon dioxide (?) comes out every time we breathe, so when we breathe air, carbon dioxide comes out and the amount of air gradually disappears.",289.0,"298,0,1,0,299,1,1,0,"
290,290,This is because the amount of air has decreased.,290.0,"300,1,1,0,"
291,291,It became difficult to breathe because the air turned into carbon dioxide.,291.0,"301,0,1,0,"
292,292,Because the air in the bag is getting less and less,292.0,"302,0,0,1,"
293,293,This is because oxygen disappeared while inhaling and carbon dioxide was formed by exhaling.,293.0,"303,0,0,0,"
294,294,This is because there is not enough air and only carbon dioxide.,294.0,"304,0,1,0,"
295,295,The air is gradually disappearing,295.0,"305,0,1,0,"
296,296,Carbon dioxide has made it hard to hide.This is because the plastic bag is getting full of carbon dioxide.,296.0,"306,1,0,1,"
297,297,"You've already taken in the oxygen in the plastic bag, and then you're going to blow up carbon dioxide and it's going to be hard to breathe",297.0,"307,1,0,0,"
298,298,The oxygen is gone and it's changed to carbon dioxide,298.0,"308,0,1,0,"
299,299,Because I exhale carbon dioxide.,299.0,"309,0,0,0,"
300,300,"Because I breathed several times, the air disappeared.",300.0,"310,1,0,0,"
301,301,Breathing makes the lungs harder,301.0,"311,1,0,0,"
302,302,"Because as humans breathe in, the air goes into our lungs, and it's filled with carbon dioxide that we breathe in, so there's only a little air left.",302.0,"312,1,0,0,"
303,303,Because there's carbon dioxide in the bag,303.0,"313,0,1,0,"
304,304,Breathe constantly. The air is gone. There's no oxygen. I'm suffocating,304.0,"314,1,1,0,"
305,305,I'm running low on oxygen,305.0,"315,1,0,0,"
306,306,Breathe in all the air in the bag and it's full of carbon dioxide,306.0,"316,0,1,0,"
307,307,There's a lot of air in my body,307.0,"317,1,1,0,"
308,308,I'm running out of oxygen,308.0,"318,0,0,0,"
309,309,This is because the oxygen in the air was gradually consumed.,309.0,"319,1,1,0,"
310,310,It's because we've run out of oxygen.,310.0,"320,0,0,1,"
311,311,This is because there is more carbon dioxide.,311.0,"321,1,1,0,"
312,312,Because the oxygen in the bag turned into carbon dioxide,312.0,"322,0,1,0,"
313,313,Oxygen is gone,313.0,"323,1,0,0,"
314,314,The air turns into carbon dioxide.,314.0,"324,1,0,0,"
315,315,This is because there is less fresh air and more carbon dioxide.,315.0,"325,0,1,0,"
316,316,This is because the proportion of air is less than that of me. And because there is only a certain amount of air in a small plastic bag.,316.0,"326,0,0,0,"
317,317,"This is because the air in the bag was initially oxygen, but after doing it several times, it turned into carbon dioxide.",317.0,"327,1,0,0,"
318,318,Because of the reduced air.,318.0,"328,0,0,0,329,0,0,0,"
319,319,It may be because there is not much oxygen and there is a lot of carbon dioxide left.,319.0,"330,1,1,0,"
320,320,"When you breathe in and spit out air, it turns into carbon dioxide",320.0,"331,0,1,0,"
321,321,"This is because there is more air than average, so it takes more time for oxygen to move.",321.0,"332,0,0,0,"
322,322,It was because there was a lack of oxygen.,322.0,"333,1,1,0,"
323,323,"When breathing in and out in a dense space, you can rest because carbon dioxide is not generated yet the first few times, but after that, carbon dioxide is generated due to inhalation and exhalation, making it difficult to breathe.",323.0,"334,1,1,0,"
324,324,It will be hard to breathe because the plastic bag is blocked.,324.0,"335,0,0,0,"
325,325,"At first, it was full of oxygen",325.0,"336,1,0,0,"
326,326,Breathe in the air,326.0,"337,1,0,0,"
327,327,The air in the bag disappeared because I breathed several times,327.0,"338,1,0,0,"
328,328,"This is because people breathe in oxygen, but they cannot breathe with carbon dioxide.",328.0,"339,0,1,0,"
329,329,That's why there's so much carbon dioxide.,329.0,"340,1,0,0,"
330,330,Breathe in the air,330.0,"341,1,0,0,"
331,331,"Because humans breathe in oxygen and exhale carbon dioxide, at first there was oxygen in the bag, so they could breathe, but after doing it many times, the bag would fill up with carbon dioxide and breathe.",331.0,"342,1,0,0,"
332,332,"You need oxygen to breathe, and you breathe out carbon dioxide",332.0,"343,1,0,0,"
333,333,It turns into the air that exhales fresh air in the bag,333.0,"344,1,0,0,"
334,334,because the amount of oxygen is low,334.0,"345,1,1,0,"
335,335,This is because there is a lack of oxygen.,335.0,"346,1,0,0,"
336,336,"Because the body lacks the oxygen it needs,",336.0,"347,1,1,0,"
337,337,It is because of carbon dioxide.,337.0,"348,1,0,0,"
338,338,"Since the air is limited in the bag, the amount of oxygen that can be drunk is limited, making it difficult to breathe.",338.0,"349,0,0,0,"
339,339,I'm running low on oxygen,339.0,"350,1,0,0,"
340,340,Too much oxygen goes into the body,340.0,"351,1,1,0,"
341,341,"The amount of oxygen required for breathing initially existed, but as you breathe repeatedly, the amount of oxygen decreased, resulting in a lack of oxygen required for oxygen required for breathing.",341.0,"352,0,0,0,"
342,342,This is because the amount of oxygen decreases.,342.0,"353,1,0,0,"
343,343,The proportion of oxygen decreases and the proportion of carbon dioxide increases,343.0,"354,1,0,0,"
344,344,because of the decreased amount of oxygen,344.0,"355,0,1,0,"
345,345,There's a lot of carbon dioxide and less oxygen,345.0,"356,0,0,0,"
346,346,lack of oxygen,346.0,"357,0,0,0,"
347,347,It is because the air is full inside.,347.0,"358,0,0,0,359,0,1,0,"
348,348,"My lungs are full of oxygen, and I don't have room for more",348.0,"360,1,0,0,"
349,349,The carbon dioxide content is increased and oxygen is decreased,349.0,"361,0,1,0,"
350,350,I have nothing to say because it is self-evident,350.0,"362,1,0,0,"
351,351,The amount of oxygen in the bag is decreasing,351.0,"363,1,1,0,"
352,352,thinning of oxygen,352.0,"364,1,0,0,"
353,353,It is because of carbon dioxide that comes out when you breathe out.,353.0,"365,0,1,0,"
354,354,It's because the situation is embarrassing.,354.0,"366,1,0,0,"
355,355,Um Jung Hwa is singing. I don't know,355.0,"367,1,0,0,"
356,356,It's bitter on the top,356.0,"368,1,0,0,"
357,357,There's a lot of carbon dioxide,357.0,"369,1,1,0,"
358,358,lack of oxygen,358.0,"370,1,0,0,"
359,359,Because the bag is full of carbon dioxide,359.0,"371,0,1,0,"
360,360,This is because the partial pressure of oxygen decreases.,360.0,"372,0,1,0,"
361,361,There's less oxygen and more carbon dioxide,361.0,"373,0,1,0,"
362,362,This is because the amount of oxygen has decreased.,362.0,"374,0,1,0,"
363,363,It's because carbon dioxide comes out when you breathe,363.0,"375,1,0,0,"
364,364,This is because the oxygen density in the plastic bag has decreased.,364.0,"376,0,0,0,"
365,365,This is because oxygen has decreased.,365.0,"377,1,0,0,"
366,366,Because all the oxygen is exhausted,366.0,"378,1,1,0,"
367,367,The oxygen ratio decreased and the carbon dioxide ratio increased.,367.0,"379,0,0,0,"
368,368,"Oxygen is needed to breathe, but after several breaths, oxygen decreases, making it difficult to breathe.",368.0,"380,1,1,0,"
369,369,"Since there's a lot of carbon dioxide,",369.0,"381,1,1,0,"
370,370,"This is because you breathe in air when you breathe in, but you exhale carbon dioxide when you exhale. As a result, there is less and less air to breathe.",370.0,"382,1,0,0,"
371,371,The body is not supplied with oxygen because it breathes with carbon dioxide.,371.0,"383,0,0,0,"
372,372,There's a lot of carbon dioxide,372.0,"384,1,0,0,"
373,373,"Oxygen is needed to breathe, because the oxygen in the bag decreased as it breathed.",373.0,"385,1,1,0,"
374,374,There's air in my lungs,374.0,"386,1,0,0,"
375,375,I'm running out of oxygen,375.0,"387,1,0,0,"
376,376,Increase in oxygen-deficient carbon dioxide,376.0,"388,0,0,0,389,0,1,0,"
377,377,I don't have enough space to breathe,377.0,"390,1,0,0,"
378,378,"Humans breathe with oxygen, but later it remains outside carbon dioxide, making it difficult to breathe.",378.0,"391,0,1,0,"
379,379,Because there's more carbon dioxide (Low oxygen,379.0,"392,1,0,0,"
380,380,Because we need more oxygen,380.0,"393,1,0,0,"
381,381,"Of course, the entrance is blocked",381.0,"394,0,1,0,"
382,382,I'm running out of oxygen,382.0,"395,1,1,0,"
383,383,"This is because oxygen goes in when you inhale and carbon dioxide comes out when you exhale, so there is more and more carbon dioxide in the air in the bag",383.0,"396,1,0,0,"
384,384,This is because oxygen decreases.,384.0,"397,0,0,0,"
385,385,Oxygen is gone,385.0,"398,0,0,0,"
386,386,the condition of being difficult because one's,386.0,"399,1,1,0,"
387,387,Because of carbon dioxide,387.0,"400,0,0,0,"
388,388,Oxygen is gone,388.0,"401,0,0,0,"
389,389,This is because a lot of carbon dioxide is produced by exhalation,389.0,"402,0,0,0,"
390,390,Because there's less oxygen,390.0,"403,0,0,0,"
391,391,Because you're running out of oxygen,391.0,"404,1,0,0,"
392,392,This is because there is more carbon dioxide.,392.0,"405,0,0,0,"
393,393,The amount of oxygen decreases because it inhales oxygen and exhales carbon dioxide.,393.0,"406,0,0,1,"
394,394,"The oxygen in the bag decreases, making it difficult to breathe.",394.0,"407,0,0,0,"
395,395,"the clean air disappearsBecause of the breathing, the air came out",395.0,"408,0,0,0,"
396,396,Breathe in oxygen and exhale carbon dioxide,396.0,"409,0,0,0,"
397,397,ㅓ,397.0,"410,1,0,0,"
398,398,It's hard to blow the air,398.0,"411,0,0,1,"
399,399,It is because the air has entered the body.,399.0,"412,1,0,0,"
400,400,It's hard if you keep breathing,400.0,"413,0,0,0,"
401,401,Oxygen is gone,401.0,"414,0,0,0,"
402,402,The air in the bag is less than we breathe,402.0,"415,0,0,0,"
403,403,Because the air is reduced,403.0,"416,0,0,1,"
404,404,This is because the air that can breathe has escaped out.,404.0,"417,0,0,1,"
405,405,out of breath,405.0,"418,0,0,0,419,0,1,0,"
406,406,Because you have to breathe in the same air,406.0,"420,0,1,0,"
407,407,There's a lot of air. There's not enough oxygen,407.0,"421,0,1,0,"
408,408,There's less air in the bag,408.0,"422,1,1,0,"
409,409,Because of lack of oxygen.,409.0,"423,0,1,0,"
410,410,I breathed so fast,410.0,"424,1,0,0,"
411,411,Harmful air comes out,411.0,"425,1,0,0,"
412,412,The air is dirty and I feel tired.,412.0,"426,1,1,0,"
413,413,It's because there's a little air.,413.0,"427,0,1,0,"
414,414,Because the air is gone,414.0,"428,1,1,0,"
415,415,.,415.0,"429,1,1,0,"
416,416,This is because carbon dioxide has increased.,416.0,"430,1,1,0,"
417,417,This is because oxygen disappears in the bag and contains carbon dioxide.,417.0,"431,1,1,0,"
418,418,Because it is full of carbon dioxide.,418.0,"432,1,1,0,"
419,419,"The first few times, there was a lot of oxygen left in the bag, so it was easier to breathe, but as time went by, there was more carbon dioxide, less oxygen, and it would have been hard to breathe",419.0,"433,0,0,1,"
420,420,"As the percentage of air content in the bag increased, it would have been difficult for a person to breathe due to the lack of gas needed to breathe",420.0,"434,1,1,0,"
421,421,It's because oxygen has decreased,421.0,"435,1,0,0,"
422,422,This is because the oxygen ratio in the air has decreased.,422.0,"436,1,0,0,"
423,423,"During the breathing process, gas exchange between oxygen and carbon dioxide occurs in the lungs, because the amount of oxygen in the bag is limited.",423.0,"437,0,1,0,"
424,424,This is because there is a lot of carbon dioxide.,424.0,"438,1,0,0,"
425,425,"This is because oxygen has decreased and the carbon dioxide ratio has increased, resulting in a lack of substances needed for breathing.",425.0,"439,1,1,0,"
426,426,This is because oxygen is reduced and carbon dioxide is filled.,426.0,"440,1,1,0,"
427,427,This is because the amount of carbon dioxide is higher than the amount of oxygen.,427.0,"441,0,1,0,"
428,428,This is because oxygen has decreased and carbon dioxide has increased.,428.0,"442,1,0,0,"
429,429,"At first, we could slurp and drink the oxygen in the envelope, but when we exhale, we spit out some carbon dioxide, and at the same time, we spit out more oxygen than carbon dioxide, so we slurp several times, and it becomes harder to breathe as the carbon dioxide ratio increases.",429.0,"443,1,1,0,"
430,430,"This is because I drank the air in the bag to breathe, so the air in the bag decreased.",430.0,"444,0,1,0,"
431,431,"In the bag, breathing becomes difficult because the concentration of carbon dioxide is higher than the concentration of acidity due to breathing.",431.0,"445,0,0,0,"
432,432,This is because the proportion of oxygen in the air is getting lower.,432.0,"446,1,0,0,"
433,433,"The gas you want to get through breathing is oxygen. However, as the gas in the bag breathes several times, the concentration of oxygen decreases, so the amount of oxygen that can be obtained through breathing decreases, making it difficult to breathe.",433.0,"447,1,0,0,"
434,434,This is because the oxygen concentration in the bag decreased and the carbon dioxide concentration increased through continuous breathing.,434.0,"448,0,0,0,449,0,1,0,"
435,435,"""",435.0,"450,0,0,0,"
436,436,This is because the concentration of oxygen has decreased.,436.0,"451,0,0,0,"
437,437,"If you breathe in, you can't breathe because you inhale oxygen in the bag and exhale carbon dioxide when you exhale.",437.0,"452,0,1,0,"
438,438,"People breathe using oxygen. At first, the air contained oxygen, but as you breathe, the oxygen in the air decreases and carbon dioxide increases, making it difficult to breathe.",438.0,"453,1,0,0,"
439,439,Human exhalation has become difficult to breathe because it mainly emits carbon dioxide.,439.0,"454,1,1,0,"
440,440,Oxygen is gone,440.0,"455,0,1,0,"
441,441,"Because our body eats oxygen and emits carbon dioxide, not oxygen, when oxygen in the bag is exhausted, there is no more oxygen to eat, making it difficult to breathe",441.0,"456,1,0,0,"
442,442,Because of carbon dioxide,442.0,"457,1,0,0,"
443,443,It increases the air pressure,443.0,"458,0,1,0,"
444,444,Because it doesn't absorb oxygen,444.0,"459,1,1,0,"
445,445,This is because there is a lack of oxygen to inhale.,445.0,"460,1,0,0,"
446,446,I don't know,446.0,"461,1,0,1,"
447,447,It's because of carbon dioxide,447.0,"462,0,0,1,"
448,448,(wink),448.0,"463,1,1,0,"
449,449,Vinyl blocks the breath you inhale,449.0,"464,1,1,0,"
450,450,Because it turns into carbon dioxide,450.0,"465,1,1,0,"
451,451,The amount of oxygen has decreased,451.0,"466,1,1,0,"
452,452,"This is because we breathe in oxygen and exhale carbon dioxide, which increases the concentration of carbon dioxide.",452.0,"467,0,1,0,"
453,453,This is because the bag is filled with carbon dioxide instead of air.,453.0,"468,1,1,0,"
454,454,This is because oxygen becomes scarce.,454.0,"469,1,1,0,"
455,455,It's because we're running out of oxygen,455.0,"470,1,1,0,"
456,456,"Because of the increase in carbon dioxide,",456.0,"471,1,0,0,"
457,457,It's hard to breathe because there's a lot of carbon dioxide coming out of the breath after inhaling all the oxygen,457.0,"472,1,0,0,"
458,458,the disappearance of oxygen is gone.,458.0,"473,0,0,0,"
459,459,"Because the air in the plastic bag is limited, repeated breathing reduces the amount of air and eliminates the oxygen required for breathing",459.0,"474,0,1,0,"
460,460,There's not enough air in the bag,460.0,"475,1,1,0,"
461,461,"Because it consumed oxygen and released carbon dioxide,",461.0,"476,1,0,0,"
462,462,"Of course, there's only CO2 left. All you need to breathe is oxygen",462.0,"477,1,0,0,"
463,463,This is because it uses oxygen and releases carbon dioxide during breathing.,463.0,"478,1,0,0,479,1,1,0,"
464,464,"This is because as you breathe, the amount of oxygen decreases and the amount of carbon dioxide increases.",464.0,"480,1,1,0,"
465,465,This is because the concentration of carbon dioxide is getting thicker.,465.0,"481,0,0,0,"
466,466,This is because the amount of oxygen decreases and the amount of carbon dioxide increases,466.0,"482,1,0,0,"
467,467,"You need oxygen when you breathe, so if you keep breathing in the air in the bag, there's only carbon dioxide left",467.0,"483,1,0,0,"
468,468,"This is because there was a lot of oxygen, but because he drank oxygen and later exhaled carbon dioxide, the amount of oxygen in breathing decreased, so he drank carbon dioxide.",468.0,"484,1,1,0,"
469,469,About four times. Because it blocks oxygen,469.0,"485,0,1,0,"
470,470,"This is because the oxygen density in the bag has decreased, resulting in a lack of acidity needed for us to breathe.",470.0,"486,1,0,0,"
471,471,I know what you're talking about,471.0,"487,0,1,0,"
472,472,"As you breathe out, there is more carbon dioxide in the air. So it becomes difficult to breathe.",472.0,"488,0,0,0,"
473,473,"We're running out of oxygen, we're leaving only carbon dioxide",473.0,"489,1,1,0,"
474,474,There's no oxygen,474.0,"490,1,1,0,"
475,475,It reduces oxygen,475.0,"491,1,1,0,"
476,476,"Because the oxygen in the bag becomes insufficient,",476.0,"492,0,0,0,"
477,477,"As it turns into CO2, O2 disappears in the bag and gradually becomes breathless",477.0,"493,1,1,0,"
478,478,"If you inhale, you drink oxygen in the bag, and if you exhale, carbon dioxide is released, so only carbon dioxide remains in the bag, so you cannot inhale oxygen.",478.0,"494,1,1,0,"
479,479,I'm out of breath,479.0,"495,1,1,0,"
480,480,"The bag lacks oxygen, making it difficult to breathe",480.0,"496,1,1,0,"
481,481,because of the lack of oxygen,481.0,"497,0,0,1,"
482,482,This is because fresh air has decreased and the concentration of carbon dioxide has increased.,482.0,"498,1,0,0,"
483,483,This is because the concentration of carbon dioxide has increased,483.0,"499,1,0,0,"
484,484,It's because the oxygen content in vinyl has decreased,484.0,"500,0,0,1,"
485,485,"The ratio of carbon dioxide was low, but the ratio increased while breathing, making it uncomfortable to breathe.",485.0,"501,0,0,1,"
486,486,It's filled with elements. I can't go in anymore,486.0,"502,0,0,0,"
487,487,"Initially, the oxygen concentration in the bag is greater than the oxygen concentration in our body, and carbon dioxide is the opposite, so the oxygen and carbon dioxide concentration in the bag gradually becomes similar to that in the body, and eventually, diffusion-based breathing does not have an effect.",487.0,"503,0,1,0,"
488,488,The decrease in the amount of oxygen and the increase in the amount of carbon dioxide may have made it difficult to breathe,488.0,"504,0,0,0,"
489,489,"This is because all the oxygen needed to breathe is used, and only carbon dioxide generated as a result of breathing remains.",489.0,"505,0,0,0,"
490,490,Don't know,490.0,"506,0,0,0,"
491,491,"At first, it is easy to breathe because it is full of oxygen, but the carbon dioxide released when you breathe out fills the bag with carbon dioxide and makes it difficult to breathe because of carbon dioxide.",491.0,"507,0,0,0,"
492,492,It is because there is more carbon dioxide than oxygen,492.0,"508,0,0,0,509,0,0,0,"
493,493,"When people breathe, they need oxygen, but only the amount of carbon dioxide in the bag makes it difficult to breathe",493.0,"510,0,0,0,"
494,494,"This is because breathing out carbon dioxide by inhaling oxygen increased carbon dioxide and decreased the amount of oxygen in the bag.""Because all the air is gone,",494.0,"511,0,0,1,"
495,495,"""",495.0,"512,0,1,0,"
496,496,It becomes difficult to breathe because the amount of oxygen required for blood supply decreases as you breathe.,496.0,"513,0,0,0,"
497,497,"The more you breathe, the lighter the oxygen concentration in the bag, making it difficult to breathe.",497.0,"514,0,0,1,"
498,498,Because the air is reduced,498.0,"515,0,1,0,"
499,499,Because the air is reduced,499.0,"516,0,0,1,"
500,500,"This is because plastic bags only allow air to flow through the entrance, but they blocked the entrance.",500.0,"517,1,1,0,"
501,501,"At first, there was air, but people inhaled it and turned it into carbon dioxide",501.0,"518,0,0,0,"
502,502,It's hard to breathe,502.0,"519,0,0,0,"
503,503,Breathe in the air that was taken out of your mouth,503.0,"520,0,0,0,"
504,504,"All the air in the body goes into the plastic bag, making it difficult to breathe.",504.0,"521,0,0,0,"
505,505,I'm out of breath because my facial expression is slow,505.0,"522,1,1,0,"
506,506,"All the air in the body goes into the plastic bag, making it difficult to breathe.",506.0,"523,1,1,0,"
507,507,I think I'm out of breath because the bag is crowded.,507.0,"524,0,1,0,"
508,508,There's a lot of air in the vinyl,508.0,"525,0,0,1,"
509,509,The air is gradually disappearing,509.0,"526,0,1,0,"
510,510,It's because there's a lot of carbon dioxide.,510.0,"527,0,1,1,"
511,511,"At first, I think about how to breathe air a few times",511.0,"528,0,0,1,"
512,512,Because of the lack of air,512.0,"529,1,1,0,"
513,513,This is because the air turns into carbon dioxide.,513.0,"530,0,0,0,"
514,514,Because it disappeared because of inhaling air.,514.0,"531,0,1,0,"
515,515,The amount of oxygen decreases and the amount of carbon dioxide,515.0,"532,1,0,0,"
516,516,Breathing through the nose also drains the air,516.0,"533,1,1,0,"
517,517,I don't know.,517.0,"534,0,0,0,"
518,518,Don't know,518.0,"535,0,1,0,"
519,519,It's because the air blocks the throat,519.0,"536,1,0,0,"
520,520,"This is because oxygen decreases oxygen in a plastic bag, increases carbon dioxide, and makes breathing difficult.",520.0,"537,1,1,0,"
521,521,"""Because of the lack of oxygen and the increase in carbon dioxide,",521.0,"538,1,1,0,539,1,0,0,"
522,522,"""",522.0,"540,1,0,0,"
523,523,I can't breathe with carbon dioxide,523.0,"541,1,1,0,"
524,524,Because the air is reduced,524.0,"542,1,1,0,"
525,525,"Because of the increase in carbon dioxide,",525.0,"543,1,1,0,"
526,526,"Since the air enters and comes out of our bodies as ideal carbon dioxide, the smaller the amount of air, the harder it is to breathe.",526.0,"544,0,1,0,"
527,527,"This is because the breath exhaled to wear escapes through the nose, so the air is gradually disappearing.",527.0,"545,1,1,0,"
528,528,"At first, there was oxygen, but it disappeared by breathing, and carbon dioxide was produced",528.0,"546,1,1,0,"
529,529,I don't know.,529.0,"547,0,0,1,"
530,530,"Because of the increase in idealized carbon,",530.0,"548,0,0,0,"
531,531,I'm out of oxygen,531.0,"549,0,0,0,"
532,532,This is because oxygen that humans can drink turns into carbon dioxide as they breathe.,532.0,"550,0,0,1,"
533,533,"Because of the sudden change in temperature,",533.0,"551,0,0,0,"
534,534,"Because the air is limited, the air in the plastic bag becomes carbon dioxide",534.0,"552,0,0,0,"
535,535,The oxygen in the plastic bag is reduced,535.0,"553,0,0,0,"
536,536,"When I breathe, I breathe in oxygen, get in carbon dioxide, but I don't have any more air in my bag",536.0,"554,0,0,0,"
537,537,It reduces oxygen and increases carbon dioxide,537.0,"555,0,0,0,"
538,538,I'm running out of oxygen,538.0,"556,0,0,0,"
539,539,I'm running out of oxygen,539.0,"557,0,0,0,"
540,540,It is difficult to breathe with carbon dioxide because oxygen is reduced and carbon dioxide is filled,540.0,"558,0,0,0,"
541,541,"It's gone, it's filled with carbon dioxide",541.0,"559,0,0,1,"
542,542,This is because the oxygen that humans can drink turned into carbon dioxide as they breathe.,542.0,"560,0,0,1,"
543,543,That's how much CO2 was consumed in the body,543.0,"561,1,0,0,"
544,544,"In the first few breaths, it was possible to breathe because it was breathing oxygen, but when people breathe out, carbon dioxide is emitted, so it becomes difficult to breathe if they breathe out several times.",544.0,"562,1,0,0,"
545,545,This is because oxygen disappears while breathing and releasing carbon dioxide.,545.0,"563,0,1,0,"
546,546,It is because the air disappeared a little when I did it many times.,546.0,"564,0,0,0,"
547,547,I don't know.,547.0,"565,0,0,0,"
548,548,Because the air goes outside,548.0,"566,0,0,1,"
549,549,"Because the air is gone,",549.0,"567,0,0,1,"
550,550,It's a gate that didn't breathe air into it.,550.0,"568,0,1,0,569,0,0,1,"
551,551,I don't know,551.0,"570,0,0,0,"
552,552,I don't know,552.0,"571,0,0,1,"
553,553,I don't know.,553.0,"572,1,1,0,"
554,554,This is because breathing too much stimulates the brain.,554.0,"573,0,0,0,"
555,555,This is because the bag is sucked forward when inhaling.,555.0,"574,0,0,0,"
556,556,It's because there's only a limited amount of breathing air that comes out,556.0,"575,0,0,0,"
557,557,Because of J-Hope,557.0,"576,0,0,0,"
558,558,"""When you breathe in, you suck in the air, so you gradually run out of air and breathe",558.0,"577,1,1,0,"
559,559,"It's become difficult.""",559.0,"578,0,0,0,"
560,560,There's no more air,560.0,"579,1,0,1,"
561,561,It's hard to do oxygen,561.0,"580,0,0,0,"
562,562,It's because oxygen fell in the plastic bag,562.0,"581,0,0,0,"
