,Unnamed: 0,"21. After climbing a high mountain or running 100 meters, there are various changes in our bodies. What changes will happen to our bodies after a sudden exercise? And what does that change do? Let's explain in detail using knowledge of body changes after exercise. ",Unnamed: 0,", q21_breathing, q21_oxygen deficiency, q21_sweat, q21_energy, q21_muscle, q21_nervous, q21_constancy, q21_waste, q21_heart, q21_breathing1, q21_oxygen deficiency.1,q21_Sweat.1,q21_energy.1,q21_muscle.1,q21_nervous.1,q21_constancy.1,q21_waste.1,q21_heart.1"
191,191,"The body's sympathetic nerves are activated, which speeds up breathing and speeds up the heart rate.",191.0,"197,0,1,0,0,0,0,0,0,1,,,,,,,,,"
192,192,"When you exercise, your respiratory rate increases, resulting in a change in 오-ohm.",192.0,"198,0,0,0,0,0,0,0,0,0,,,,,,,,,"
193,193,I don't know.,193.0,"199,0,0,0,0,0,0,0,0,1,,,,,,,,,"
194,194,"Rapid exercise activates the sympathetic nerve, speeding up the heartbeat, steeper breathing, temporarily reducing the activity of the digestive system, and secretion of epinephrine from the adrenal glands, resulting in awakening effects.",194.0,"200,1,0,0,0,0,0,0,0,0,,,,,,,,,"
195,195,Blood circulates rapidly and needs air. Then you gasp for breath.,195.0,"201,1,0,0,0,0,0,0,0,0,,,,,,,,,"
196,196,My heart is beating fast,196.0,"202,0,0,0,0,0,0,0,0,0,,,,,,,,,"
197,197,"When exercising, heat is generated during the process of using carbohydrates and fat in the body, and the body starts to heat up, and at this time, sweat is made to maintain body temperature. Also, when exercising, oxygen is consumed, and the heart rate is accelerated to transport oxygen to the whole body.Need more oxygen, faster blood circulation",197.0,"203,0,0,0,0,0,0,0,0,1,,,,,,,,,"
198,198,burn the flesh,198.0,"204,0,0,0,1,0,0,0,0,0,,,,,,,,,"
199,199,My heart is beating fast,199.0,"205,0,0,0,0,0,0,0,0,0,,,,,,,,,"
200,200,be out of breath,200.0,"206,1,0,0,1,0,0,0,0,1,,,,,,,,,"
201,201,shortness of breath,201.0,"207,1,1,0,0,0,0,0,0,0,,,,,,,,,"
202,202,It's because the muscles move as the body moves,202.0,"208,1,0,0,0,0,0,0,0,1,,,,,,,,,209,0,0,0,0,1,1,0,0,0,,,,,,,,,"
203,203,My heart is beating fast,203.0,"210,1,0,0,0,0,0,0,0,0,,,,,,,,,"
204,204,burn and become healthy,204.0,"211,0,0,0,0,0,0,0,0,0,,,,,,,,,"
205,205,I don't know.,205.0,"212,1,1,0,0,0,0,0,0,1,,,,,,,,,"
206,206,Your heart beats fast and you lose your breath because you need more energy and oxygen everywhere in your body,206.0,"213,1,1,0,0,0,0,0,0,0,,,,,,,,,"
207,207,"After exercising rapidly, our bodies need more oxygen. However, the number of red blood cells in our bodies is constant, so we breathe hard to get more oxygen.",207.0,"214,0,0,0,0,0,0,0,0,0,,,,,,,,,"
208,208,"The amount of oxygen decreases, which speeds up breathing and speeds up blood circulation is accelerated.",208.0,"215,1,1,0,0,1,0,0,0,0,,,,,,,,,"
209,209,"It's hard to feel tired because of the sudden strain on the body, and the muscles are tight and adrenaline is released",209.0,"216,0,0,0,0,1,0,0,0,0,,,,,,,,,"
210,210,"It becomes difficult to breathe. The higher the pressure, the stronger the air pressure, so you run out of breath.",210.0,"217,0,0,0,0,0,0,0,0,1,,,,,,,,,"
211,211,My ears are ringing,211.0,"218,0,0,0,0,0,0,0,0,0,,,,,,,,,"
212,212,"The body lacks oxygen, so the heart beats fast to provide oxygen quickly and breathes fast to provide a lot of breathing",212.0,"219,1,0,0,0,0,0,0,0,0,,,,,,,,,"
213,213,Breathe through the mouth to allow a lot of oxygen to come in due to lack of oxygen,213.0,"220,0,0,0,0,0,0,0,0,0,,,,,,,,,"
214,214,f,214.0,"221,1,0,0,0,0,0,0,0,1,,,,,,,,,"
215,215,"The body uses the body rapidly to increase the amount of oxygen the body needs, causing shortness of breath and loosening of muscles.",215.0,"222,0,0,0,0,0,0,0,0,1,,,,,,,,,"
216,216,My muscles hurt,216.0,"223,0,0,1,0,0,0,0,0,1,,,,,,,,,"
217,217,My heart is beating fast,217.0,"224,0,0,1,0,0,0,0,0,1,,,,,,,,,"
218,218,I don't know,218.0,"225,0,0,0,0,0,0,0,0,1,,,,,,,,,"
219,219,I'm out of breath,219.0,"226,1,1,0,0,0,0,0,0,0,,,,,,,,,"
220,220,I have no idea.,220.0,"227,0,0,0,0,1,0,0,0,0,,,,,,,,,"
221,221,"""Breathing becomes rough and your heart speeds up",221.0,"228,1,0,0,0,0,0,0,0,0,,,,,,,,,"
222,222,Your heart will be healthier,222.0,"229,1,0,0,0,0,0,0,0,1,,,,,,,,,"
223,223,My heart is beating fast,223.0,"230,1,0,0,0,0,0,0,0,1,,,,,,,,,"
224,224,"My heart is beating fast, I'm sweating and I'm tired",224.0,"231,1,0,0,0,0,0,0,0,1,,,,,,,,,"
225,225,"After exercising, my body sweats and my heart beats fast.",225.0,"232,0,0,0,0,1,0,0,0,0,,,,,,,,,"
226,226,My heart beats faster,226.0,"233,1,0,0,0,0,0,0,0,0,,,,,,,,,"
227,227,gasp for breathIt's to drink more oxygen.,227.0,"234,0,0,0,0,1,1,0,0,1,,,,,,,,,"
228,228,My muscles are crouching,228.0,"235,1,0,0,0,0,0,0,0,0,,,,,,,,,"
229,229,be out of breath,229.0,"236,1,0,1,0,0,0,0,0,0,,,,,,,,,"
230,230,"""Running makes it hard for our bodies to breathe",230.0,"237,1,0,1,0,0,0,0,0,0,,,,,,,,,"
231,231,Because our bodies beat our hearts faster than normal heart rates,231.0,"238,1,1,0,0,0,0,0,0,1,,,,,,,,,239,0,0,0,0,1,0,0,0,0,,,,,,,,,"
232,232,"""",232.0,"240,1,0,1,0,0,0,1,0,0,,,,,,,,,"
233,233,"I'm out of breath and I'm getting rough. Also, the heart beats fast and becomes blood circulation.",233.0,"241,0,0,0,0,1,0,0,0,0,,,,,,,,,"
234,234,"Breathless and rough. Heart beating fast, blood circulation",234.0,"242,0,0,0,0,1,0,0,0,0,,,,,,,,,"
235,235,have a pain,235.0,"243,1,0,1,0,0,0,0,0,0,,,,,,,,,"
236,236,I'm out of breath,236.0,"244,0,0,1,0,0,0,0,0,0,,,,,,,,,"
237,237,"Happiness hormone secretion, heart rate change, muscle formation, muscle formation",237.0,"245,0,0,1,0,0,0,0,0,0,,,,,,,,,"
238,238,I'm out of breath. I'm tired.,238.0,"246,0,0,0,0,0,0,0,0,0,,,,,,,,,"
239,239,I'm sweating and out of breath because of the high pressure,239.0,"247,0,0,0,0,0,0,0,0,0,,,,,,,,,"
240,240,"""I'm sweating and out of breath.",240.0,"248,0,0,0,0,0,0,0,0,0,,,,,,,,,"
241,241,"""",241.0,"249,0,0,0,0,0,0,0,0,0,,,,,,,,,"
242,242,Rapid exercise causes the heart to beat fast due to lack of oxygen in the lungs,242.0,"250,0,0,0,0,0,0,0,0,0,,,,,,,,,"
243,243,"Exercise expands the muscles. And if you exercise too much at once, your body will cut your eggs or your bones will go wrong.",243.0,"251,0,0,0,0,0,0,0,0,0,,,,,,,,,"
244,244,"After exercising, we need to use up our energy and once we are out of breath and the moisture goes out into our sweat, so we need to replenish our moisture.",244.0,"252,0,0,0,0,0,0,0,0,0,,,,,,,,,"
245,245,"As muscle contraction and relaxation are repeated during exercise, the stiffness of the right-frontal fistula persists, so you feel stronger than the right-frontal fistula",245.0,"253,0,0,0,0,0,0,0,0,0,,,,,,,,,"
246,246,The muscles expand.,246.0,"254,0,0,0,0,0,0,0,0,0,,,,,,,,,"
247,247,I'm sweating and breathing,247.0,"255,0,0,0,0,0,0,0,0,0,,,,,,,,,"
248,248,I'm sweating.,248.0,"256,0,0,0,0,0,0,0,0,0,,,,,,,,,"
249,249,I'm sweating,249.0,"257,0,0,0,0,0,0,0,0,0,,,,,,,,,"
250,250,dwedwed,250.0,"258,0,0,0,0,0,0,0,0,0,,,,,,,,,"
251,251,I don't know.,251.0,"259,0,0,0,0,0,0,0,0,0,,,,,,,,,"
252,252,M and D,252.0,"260,0,0,0,0,0,0,0,0,0,,,,,,,,,"
253,253,I don't know,253.0,"261,0,0,0,0,0,0,0,0,0,,,,,,,,,"
254,254,I don't understand.,254.0,"262,0,0,0,0,0,0,0,0,1,,,,,,,,,"
255,255,I don't know,255.0,"263,0,0,0,0,0,0,0,0,0,,,,,,,,,"
256,256,It's hard to work out,256.0,"264,1,0,0,0,0,0,0,0,0,,,,,,,,,"
257,257,I don't know.,257.0,"265,0,0,0,0,0,0,0,0,0,,,,,,,,,"
258,258,I don't understand.,258.0,"266,0,0,0,0,0,0,0,0,0,,,,,,,,,"
259,259,I don't know,259.0,"267,0,0,0,0,0,0,0,0,0,,,,,,,,,"
260,260,I don't understand.,260.0,"268,0,0,0,0,0,0,0,0,0,,,,,,,,,269,0,0,0,0,0,0,0,0,0,,,,,,,,,"
261,261,I don't understand.,261.0,"270,0,0,0,0,0,0,0,0,0,,,,,,,,,"
262,262,I don't know,262.0,"271,1,0,0,0,0,0,0,0,1,,,,,,,,,"
263,263,Mall,263.0,"272,0,0,0,0,0,0,0,0,0,,,,,,,,,"
264,264,I feel a pain in my side.,264.0,"273,0,0,0,0,0,0,0,0,1,,,,,,,,,"
265,265,I don't know,265.0,"274,1,0,0,0,0,0,0,0,1,,,,,,,,,"
266,266,My heart is beating fast.,266.0,"275,1,0,0,0,0,0,0,0,0,,,,,,,,,"
267,267,I don't know,267.0,"276,0,0,0,0,0,0,0,0,1,,,,,,,,,"
268,268,Breathing gets faster.,268.0,"277,0,0,0,0,1,0,0,0,0,,,,,,,,,"
269,269,I don't know,269.0,"278,0,0,0,0,0,0,0,0,0,,,,,,,,,"
270,270,I don't understand.,270.0,"279,0,0,0,0,0,0,0,0,0,,,,,,,,,"
271,271,M and D,271.0,"280,1,1,0,0,0,0,0,0,0,,,,,,,,,"
272,272,I don't understand.,272.0,"281,0,0,0,0,0,0,0,0,0,,,,,,,,,"
273,273,.,273.0,"282,1,0,0,0,0,0,0,0,1,,,,,,,,,"
274,274,I don't know,274.0,"283,0,0,0,0,0,0,0,0,0,,,,,,,,,"
275,275,My heart is pounding or I'm out of breath,275.0,"284,0,0,0,0,0,0,0,0,1,,,,,,,,,"
276,276,I don't know.,276.0,"285,0,0,0,0,0,0,0,0,0,,,,,,,,,"
277,277,Heart rate is going up,277.0,"286,0,0,1,0,0,0,0,0,0,,,,,,,,,"
278,278,Heart rate increases and I'm out of breath,278.0,"287,0,0,0,0,0,0,0,0,0,,,,,,,,,"
279,279,The lungs move faster and breathe faster,279.0,"288,0,0,0,0,0,0,0,0,0,,,,,,,,,"
280,280,My heart is moving fast,280.0,"289,0,0,1,0,0,0,0,0,0,,,,,,,,,"
281,281,I feel stiff when I do a lot of course,281.0,"290,0,0,1,0,0,0,0,0,0,,,,,,,,,"
282,282,You'll get healthier,282.0,"291,0,0,0,0,0,0,0,0,0,,,,,,,,,"
283,283,You're losing weight,283.0,"292,0,0,0,0,0,0,0,0,1,,,,,,,,,"
284,284,"My sides hurt, I'm out of breath",284.0,"293,0,0,0,0,1,0,0,0,0,,,,,,,,,"
285,285,yes,285.0,"294,0,0,1,0,0,0,0,0,0,,,,,,,,,"
286,286,"When you exercise, you lack oxygen, so your heart beats fast and you get a lot of heat, so you sweat out heat.",286.0,"295,1,0,0,0,0,0,0,0,0,,,,,,,,,"
287,287,ㅓ,287.0,"296,0,1,0,0,0,0,0,0,0,,,,,,,,,"
288,288,The heart provides more oxygen,288.0,"297,1,1,0,0,0,0,0,0,0,,,,,,,,,"
289,289,",,,,,,,,,,,,",289.0,"298,0,0,0,0,0,0,0,0,1,,,,,,,,,299,1,0,0,0,0,0,0,0,0,,,,,,,,,"
290,290,The body temperature goes up,290.0,"300,0,1,0,0,0,0,0,0,0,,,,,,,,,"
291,291,I'm working out that I don't usually do,291.0,"301,0,0,0,0,0,0,0,0,0,,,,,,,,,"
292,292,The ironing gets faster,292.0,"302,0,0,0,0,0,0,0,0,0,,,,,,,,,"
293,293,I'm sweating and tired,293.0,"303,0,0,0,0,1,0,0,0,0,,,,,,,,,"
294,294,in sweat,294.0,"304,1,1,0,0,0,0,0,0,1,,,,,,,,,"
295,295,I didn't learn it,295.0,"305,1,0,0,0,0,0,0,0,0,,,,,,,,,"
296,296,My heart is beating fastI'm getting sore muscles,296.0,"306,1,0,0,0,0,0,0,0,0,,,,,,,,,"
297,297,I'm sweating,297.0,"307,0,0,0,0,0,0,0,0,0,,,,,,,,,"
298,298,I don't know. I run out of breath.,298.0,"308,0,0,0,0,0,0,0,0,1,,,,,,,,,"
299,299,"If you go up a high mountain, there is a lack of oxygen and your body changes. If you run, there is a lack of oxygen and your body changes",299.0,"309,1,1,0,0,0,0,0,0,0,,,,,,,,,"
300,300,I feel pain in the ㅁ쪽 area due to my lack of physical strength and faster oxygen movement,300.0,"310,1,1,0,0,0,0,0,0,0,,,,,,,,,"
301,301,My heart is beating faster,301.0,"311,1,0,0,0,0,0,0,0,1,,,,,,,,,"
302,302,be out of breath and tired,302.0,"312,0,0,1,0,0,0,0,0,0,,,,,,,,,"
303,303,We need more oxygen,303.0,"313,0,0,1,0,0,0,0,0,1,,,,,,,,,"
304,304,LOL,304.0,"314,0,0,0,1,0,0,0,0,0,,,,,,,,,"
305,305,You're losing weight.,305.0,"315,0,0,0,0,0,0,0,0,1,,,,,,,,,"
306,306,"If the growth plate and muscles overdo or do a lot of sudden exercise, it causes muscle dissipation",306.0,"316,0,0,1,0,0,0,0,0,1,,,,,,,,,"
307,307,"If you do aerobic exercise for a long time, not only will your muscles be tired, but your heart will be short of oxygen and you will be out of breath",307.0,"317,0,0,0,0,1,0,0,0,0,,,,,,,,,"
308,308,"If you run a lot, your lungs will hurt and get tired",308.0,"318,0,0,0,0,0,0,0,0,1,,,,,,,,,"
309,309,I'm out of breath,309.0,"319,0,0,0,0,0,0,0,0,1,,,,,,,,,"
310,310,It's hard,310.0,"320,1,0,1,0,0,0,0,0,0,,,,,,,,,"
311,311,My heart is beating fast.,311.0,"321,0,0,0,0,0,0,0,0,1,,,,,,,,,"
312,312,"Just as there is no oxygen in space, if you go to a high place, there is not much oxygen, so it feels empty to breathe",312.0,"322,1,0,0,0,0,0,0,0,1,,,,,,,,,"
313,313,After the body and play hard the breath to meet the oxygen and emits too much oxygen to authors to heavily.,313.0,"323,0,0,0,0,0,1,0,0,1,,,,,,,,,"
314,314,"A person out of breath, heart and pulse rise. Gas exchange is blood circulation faster and faster.",314.0,"324,0,0,0,0,0,0,0,0,0,,,,,,,,,"
315,315,You sweat.,315.0,"325,1,0,0,0,0,0,0,0,0,,,,,,,,,"
316,316,"Have good blood circulation, of shortness of breath and sweating.",316.0,"326,0,1,0,0,0,0,0,0,0,,,,,,,,,"
317,317,"Using a physical energy of carbohydrates, fat burning.",317.0,"327,0,1,0,0,0,0,0,0,0,,,,,,,,,"
318,318,"Increased heart rate, where the blood vessels dilate.",318.0,"328,1,0,0,0,0,0,0,0,0,,,,,,,,,329,0,1,0,0,0,0,0,0,1,,,,,,,,,"
319,319,"Sweat. fast heart rate, blood vessels dilate.",319.0,"330,0,1,0,0,0,0,0,0,0,,,,,,,,,"
320,320,Dissolves lactic acid is in the muscle.,320.0,"331,1,0,0,1,0,0,0,0,0,,,,,,,,,"
321,321,"Heartbeat, blood circulation.",321.0,"332,1,0,1,1,0,0,0,0,1,,,,,,,,,"
322,322,A fast heart rate.,322.0,"333,1,0,0,0,0,0,0,0,1,,,,,,,,,"
323,323,I have a fever and tired. Shortness of breath.,323.0,"334,0,1,0,0,0,0,0,0,0,,,,,,,,,"
324,324,Heart beat faster.,324.0,"335,0,0,0,0,0,0,0,0,1,,,,,,,,,"
325,325,I sucked and your heart beat fast.,325.0,"336,1,0,0,0,0,0,0,0,0,,,,,,,,,"
326,326,"Even a heart, pupil dilation, bladder constriction, ireonanat. Sympathetic nerves are activated.",326.0,"337,0,0,1,0,0,0,0,0,0,,,,,,,,,"
327,327,"The heart rate goes down faster, so the blood circulates better",327.0,"338,0,0,0,0,0,0,0,0,0,,,,,,,,,"
328,328,It's hard to breathe and the diaphragm comes up,328.0,"339,1,0,0,0,0,0,0,0,0,,,,,,,,,"
329,329,It's because there's not enough oxygen,329.0,"340,1,0,0,0,0,0,0,0,0,,,,,,,,,"
330,330,lack of oxygen,330.0,"341,1,0,1,0,0,0,1,0,0,,,,,,,,,"
331,331,Breathing becomes steep and you breathe fast,331.0,"342,1,0,0,0,0,0,1,0,1,,,,,,,,,"
332,332,"If you climb or run high mountains, your heart beats fast because you need more oxygen.",332.0,"343,1,0,0,0,0,0,0,0,1,,,,,,,,,"
333,333,It's because there's not enough oxygen,333.0,"344,0,0,0,0,0,0,0,0,1,,,,,,,,,"
334,334,"Cellular respiration that requires oxygen in our bodies creates ATP life energy, and we continue to use it. Therefore, breathing gradually decreases faster.",334.0,"345,1,0,1,0,0,0,0,0,1,,,,,,,,,"
335,335,"As the breathing gets faster, the heart beats fast, and blood circulates quickly and energy use increases, causing fever and fever to sweat to maintain body temperature.",335.0,"346,0,0,1,0,0,0,0,0,1,,,,,,,,,"
336,336,Breathing gets faster. Blood circulation accelerates.,336.0,"347,0,0,1,0,0,0,0,0,0,,,,,,,,,"
337,337,It's because there's not enough oxygen,337.0,"348,0,0,0,0,1,0,1,0,0,,,,,,,,,"
338,338,My heart is beating so fast,338.0,"349,1,0,0,0,0,0,0,0,0,,,,,,,,,"
339,339,I'm out of breath,339.0,"350,0,0,0,0,0,0,0,0,0,,,,,,,,,"
340,340,I'm tired and sweaty,340.0,"351,0,0,0,0,1,0,0,0,1,,,,,,,,,"
341,341,It's hard. It makes us rest,341.0,"352,1,0,0,0,0,0,0,0,1,,,,,,,,,"
342,342,I'm out of breath.,342.0,"353,0,0,1,0,0,0,0,0,0,,,,,,,,,"
343,343,"I'm out of breath, so I'm busy breathing",343.0,"354,0,0,0,0,0,0,0,0,0,,,,,,,,,"
344,344,I'm out of breath and sweating a lot. The role of maintaining balance in our bodies,344.0,"355,0,0,0,0,0,0,0,0,1,,,,,,,,,"
345,345,"""My heart beats fast or my breath becomes steep",345.0,"356,1,1,1,0,0,0,0,0,0,,,,,,,,,"
346,346,"This is to bring our bodies back to their original state.""",346.0,"357,1,0,0,0,0,0,0,0,1,,,,,,,,,"
347,347,My heart beats hard and I'm out of breath. My heart breathed out enough when I ran Because I can't breathe in and out.,347.0,"358,0,0,0,0,0,0,0,0,1,,,,,,,,,359,0,0,0,0,0,0,0,0,1,,,,,,,,,"
348,348,My heart is beating fast.,348.0,"360,1,0,0,0,0,0,0,0,1,,,,,,,,,"
349,349,My heart is beating fast. I'm out of breath. I'm sweating.,349.0,"361,1,1,0,0,0,0,0,0,0,,,,,,,,,"
350,350,My heart beats fast and I'm sweating.,350.0,"362,0,0,1,0,0,0,0,0,0,,,,,,,,,"
351,351,"The muscles move and heat up, opening the sweat hole to release heat from the sweat hole and releasing sweat and heat",351.0,"363,0,0,0,0,0,0,0,0,0,,,,,,,,,"
352,352,"Muscle development, muscle pain, thirsty, and tiredness, and it acts as a muscle in our body",352.0,"364,1,0,0,0,0,0,0,0,0,,,,,,,,,"
353,353,I'm out of breath.,353.0,"365,0,0,0,0,0,0,0,0,0,,,,,,,,,"
354,354,I don't know.,354.0,"366,1,0,0,0,0,0,0,0,0,,,,,,,,,"
355,355,"""1. It makes me feel better.(As far as I know, it makes me feel better because of the release of certain substances, but I can't remember the name.)",355.0,"367,1,0,0,0,0,0,0,0,0,,,,,,,,,"
356,356,2.Muscles develop lactic acid.This is how the muscles get tired.,356.0,"368,0,0,0,0,0,0,0,0,0,,,,,,,,,"
357,357,3.The heart rate increases.,357.0,"369,0,0,0,0,0,0,0,0,0,,,,,,,,,"
358,358,"and so on.""",358.0,"370,0,1,0,0,0,0,0,0,1,,,,,,,,,"
359,359,My heart beats fast and I have difficulty breathing.,359.0,"371,0,1,0,1,0,0,0,0,1,,,,,,,,,"
360,360,I'm sweating,360.0,"372,1,0,0,0,0,0,0,0,0,,,,,,,,,"
361,361,I don't know,361.0,"373,1,0,0,1,0,0,0,0,0,,,,,,,,,"
362,362,My heart is beating fast. It sends blood to the whole body quickly.,362.0,"374,1,0,0,1,0,0,0,0,0,,,,,,,,,"
363,363,"I breathe fast and sweaty. The reason is that to quickly supply oxygen to the brain, one can breathe faster and sweat to maintain body temperature.",363.0,"375,0,0,1,0,0,0,0,0,0,,,,,,,,,"
364,364,My heart is beating so fast that I'm out of breath,364.0,"376,0,1,0,0,0,0,0,0,1,,,,,,,,,"
365,365,My heart is beating fast.,365.0,"377,0,0,0,1,0,0,0,0,1,,,,,,,,,"
366,366,Your heart will beat fast and your blood pressure will rise,366.0,"378,0,0,1,0,0,0,1,0,0,,,,,,,,,"
367,367,My heart is beating fast It's to deliver oxygen quickly,367.0,"379,1,0,0,0,0,0,0,0,0,,,,,,,,,"
368,368,"When you exercise, you breathe quickly to supply oxygen quickly.",368.0,"380,0,0,0,0,0,0,0,0,0,,,,,,,,,"
369,369,Sweat flows to keep the body temperature constant.,369.0,"381,0,0,0,0,0,0,0,0,0,,,,,,,,,"
370,370,It's hard to change after exercising,370.0,"382,0,0,0,0,0,0,0,0,0,,,,,,,,,"
371,371,I'm out of breath,371.0,"383,0,0,0,0,0,0,0,0,0,,,,,,,,,"
372,372,I don't know,372.0,"384,0,0,0,0,0,0,0,0,0,,,,,,,,,"
373,373,I'm out of breath.,373.0,"385,1,1,0,0,0,0,0,0,1,,,,,,,,,"
374,374,It is hard to breathe,374.0,"386,1,0,1,0,0,0,0,0,1,,,,,,,,,"
375,375,Because it's hard.,375.0,"387,0,0,1,0,0,0,0,0,0,,,,,,,,,"
376,376,I'm tired,376.0,"388,1,0,0,0,0,0,0,0,0,,,,,,,,,389,1,1,0,0,0,0,0,0,1,,,,,,,,,"
377,377,"Heart rate goes up, blood pressure goes up, he needs a lot of oxygen",377.0,"390,1,0,0,0,0,0,0,0,1,,,,,,,,,"
378,378,The heart beats fast because it breaks down glucose to get oxygen and energy,378.0,"391,1,0,1,0,0,0,0,0,1,,,,,,,,,"
379,379,Rapid exercise in the body causes shortness of breath and can no longer be done,379.0,"392,1,0,0,0,0,0,0,0,0,,,,,,,,,"
380,380,Breathing becomes faster because it consumes a lot of energy.,380.0,"393,1,1,0,1,0,0,0,0,1,,,,,,,,,"
381,381,Breathing becomes faster because it consumes a lot of energy.,381.0,"394,1,0,0,1,0,0,1,0,1,,,,,,,,,"
382,382,Heat is generated in the body.,382.0,"395,1,0,0,0,0,0,0,0,1,,,,,,,,,"
383,383,The heart beats faster. The reason is that it needs more oxygen than usual.,383.0,"396,0,0,1,0,0,0,0,0,0,,,,,,,,,"
384,384,"My heart is beating faster. Also, because energy is needed, glucose is broken down in the mitochondria in the body to produce energy.",384.0,"397,0,0,0,0,0,0,1,0,0,,,,,,,,,"
385,385,Moisture is drained by sweat and makes you thirsty,385.0,"398,1,1,1,1,0,0,0,0,0,,,,,,,,,"
386,386,breathe hard,386.0,"399,1,1,0,0,0,0,0,0,1,,,,,,,,,"
387,387,M and D,387.0,"400,0,1,1,0,0,0,1,0,1,,,,,,,,,"
388,388,I don't know,388.0,"401,1,0,0,0,0,0,0,0,1,,,,,,,,,"
389,389,It is hot.,389.0,"402,1,1,0,0,0,0,0,0,1,,,,,,,,,"
390,390,My name is,390.0,"403,1,1,0,0,0,0,0,0,0,,,,,,,,,"
391,391,ㄱ and ㅈ,391.0,"404,0,0,0,0,0,0,0,0,0,,,,,,,,,"
392,392,My heart beats fast and I'm out of breath.  It moves the blood quickly and increases the oxygen supply of oxygen.,392.0,"405,1,1,0,1,0,0,0,0,0,,,,,,,,,"
393,393,"The heart beats fast, breathing exercises accelerate, and sweat is released.",393.0,"406,0,1,0,0,0,0,0,0,1,,,,,,,,,"
394,394,Sweat is released.,394.0,"407,1,1,0,0,0,0,0,0,0,,,,,,,,,"
395,395,"High places lack a lot of atmosphere. So I am short of oxygen and out of breath.Heart beat faster. Suddenly, the body requires that much oxygen, which speeds up breathing and speeds up the heart rate to send the oxygen to the entire body.",395.0,"408,1,1,0,0,0,0,0,0,0,,,,,,,,,"
396,396,"Sweat runs through the body and veins pop out. By doing so, our body's oxygen breathing and blood circulation become smooth and healthy.",396.0,"409,0,0,0,0,0,0,0,0,0,,,,,,,,,"
397,397,"Your heart beats fast, your body heats up, and you run out of breath.",397.0,"410,0,0,0,0,0,0,0,0,0,,,,,,,,,"
398,398,I'm out of breath,398.0,"411,0,0,0,0,0,0,0,0,0,,,,,,,,,"
399,399,"The heart rate increases, increasing oxygen absorption, and stimulating glycogen secretion to produce glucose.",399.0,"412,0,1,0,0,0,0,0,0,1,,,,,,,,,"
400,400,"To maintain homeostasis, the heart beats fast, metabolism becomes active, and breathing becomes rough.",400.0,"413,0,0,0,0,0,0,0,0,1,,,,,,,,,"
401,401,"Climbing a high mountain or running 100 meters makes you gasp and your heart beat fast.This is a phenomenon that occurs when the body lacks oxygen. Therefore, the oxygen-carrying hemoglobin has to move quickly throughout the body, so the heart beats faster.",401.0,"414,1,0,1,0,0,0,0,0,1,,,,,,,,,"
402,402,The body temperature rises. Our bodies release sweat to lower body temperature.,402.0,"415,1,0,1,0,0,0,0,0,1,,,,,,,,,"
403,403,"After a lot of exercise, our bodies need water",403.0,"416,1,0,0,0,0,0,0,0,1,,,,,,,,,"
404,404,"Shortness of breath.-As fat burns and oxygen is scarce in the body, gas exchange is accelerated and oxygen is supplied. I'm sweating - body temperature rises and releases moisture.",404.0,"417,0,0,1,0,0,0,0,0,1,,,,,,,,,"
405,405,"Rapid exercise makes me short of breath. When you run out of breath, the body breathes quickly to get more oxygen, and as you breathe faster, your pulse also speeds up.",405.0,"418,1,0,0,0,0,0,0,0,0,,,,,,,,,419,1,0,0,0,0,0,0,0,0,,,,,,,,,"
406,406,"You should use a lot of oxygen during rapid exercise. Therefore, the heart rate goes up by itself. In addition, since a lot of water is discharged by sweat, the concentration in the body increases and water is required.",406.0,"420,0,0,0,0,0,0,1,0,0,,,,,,,,,"
407,407,"After exercising rapidly, we breathe hard, our hearts beat fast, and our bodies feel tired. The reason is that oxygen and nutrients must be transported quickly for rapid exercise.",407.0,"421,0,0,0,0,0,0,1,0,0,,,,,,,,,"
408,408,"Rapid exercise makes blood circulation faster and sweats because the body requires oxygen. In order to speed up circulation, the heart pumps quickly, which causes the heart to beat fast.",408.0,"422,0,0,0,0,0,0,0,1,0,,,,,,,,,"
409,409,"The lack of oxygen makes you gasp, and when red blood cells supply enough oxygen to the cells, it returns to its original state.",409.0,"423,1,1,0,0,0,0,0,0,1,,,,,,,,,"
410,410,"The frequency of breathing, which is the act of supplying oxygen to the body during and after exercise, increases rapidly because oxygen must be supplied throughout the body to move the body violently. Also, the skin turns red because the circulation of oxygenated blood increases.",410.0,"424,0,0,1,0,0,0,0,0,0,,,,,,,,,"
411,411,"After climbing a high mountain or running 100 meters, you can breathe faster. In the case of high mountains, oxygen is scarce around them, so breathing is faster to receive a sufficient amount of oxygen, and after running for 100 meters, each part of the body consumes oxygen to produce energy, so breathing is faster to supply insufficient oxygen.",411.0,"425,0,0,0,0,0,0,0,0,1,,,,,,,,,"
412,412,"I exercise a lot, so I lack oxygen, so my heart rate increases",412.0,"426,1,1,0,0,0,0,0,0,1,,,,,,,,,"
413,413,I'm out of breath. This allows me to breathe more and provide as much oxygen as my body needs.,413.0,"427,1,0,0,0,0,0,0,0,0,,,,,,,,,"
414,414,You're out of breath. This allows you to breathe more and supply as much oxygen as you need from the beam.,414.0,"428,1,1,0,0,0,0,0,0,1,,,,,,,,,"
415,415,",",415.0,"429,0,0,0,0,0,0,0,0,0,,,,,,,,,"
416,416,I'm getting tired.,416.0,"430,0,0,1,0,0,1,0,0,1,,,,,,,,,"
