,Unnamed: 0,"1. Using the air conditioner above the amount of power, the current was excessive and the air conditioner was turned off. At this time, other electronics such as TVs and refrigerators that were connected to the same outlet did not turn off. Let's explain in detail why the other electronics connected to the same code did not turn off even though the air conditioner was turned off, using our knowledge of how electricity works and how to connect the electronics. ",Unnamed: 0,q1_parallel,q1_current flow,q1_power amount,q1_fuse,q1_parallel flow.1,q1_current flow.1,q1_power amount.1,q1_fuse.1,,,,,,,,,,
313,313,Because it's connected in parallel.,313,,,,,,,,,,,,,,,,,,
314,314,It's in parallel,314,,,,,,,,,,,,,,,,,,
315,315,"""Parallel structure",315,,,,,,,,,,,,,,,,,,
316,316,".""",316,,,,,,,,,,,,,,,,,,
317,317,This is because it only stopped the power of the air conditioner.,317,,,,,,,,,,,,,,,,,,
318,318,Because they just shut down the power of the air conditioner,318,,,,,,,,,,,,,,,,,,
319,319,"This is because it was connected to the same code, but only the power of the air conditioner outlet was excessively.",319,,,,,,,,,,,,,,,,,,
320,320,Because it stopped the power of the air conditioner,320,,,,,,,,,,,,,,,,,,
321,321,It's because the power of the air conditioner stopped,321,,,,,,,,,,,,,,,,,,
322,322,Because it stopped the power of the air conditioner,322,,,,,,,,,,,,,,,,,,
323,323,He's good at electricity,323,,,,,,,,,,,,,,,,,,
324,324,Because there are many electronic products,324,,,,,,,,,,,,,,,,,,
325,325,"This is because it is only one air conditioner that is used more than the amount of electricity, and even if it is in the same outlet, other electronic products were not used more than the amount of electricity.",325,,,,,,,,,,,,,,,,,,
326,326,This is because the air conditioner consumes too much electricity flowing through the cord connected to the air conditioner.,326,,,,,,,,,,,,,,,,,,
327,327,"Even if it's in the same code, it's possible if the power is off",327,,,,,,,,,,,,,,,,,,
328,328,"Excessive use of current is air conditioning, and the cord on the air conditioning is not damaged, so it has nothing to do with failing the same outlet and turning off the air conditioning.",328,,,,,,,,,,,,,,,,,,
329,329,This is because only the power of the air conditioner has been stopped.,329,,,,,,,,,,,,,,,,,,
330,330,Don't know,330,,,,,,,,,,,,,,,,,,
331,331,"This is because if the power exceeds a certain amount in the code, only the power of the object is cut off.",331,,,,,,,,,,,,,,,,,,
332,332,It's because only the power of the air conditioner stopped,332,,,,,,,,,,,,,,,,,,
333,333,"This is because if the power exceeds a certain amount in the code, only the power of the object is cut off.",333,,,,,,,,,,,,,,,,,,
334,334,This is because many electronics are connected.,334,,,,,,,,,,,,,,,,,,
335,335,"This is because if the code exceeds a certain power, only the power of the object was cut off.",335,,,,,,,,,,,,,,,,,,
336,336,"""Because the air conditioner was overheated and only the air conditioner was turned off",336,,,,,,,,,,,,,,,,,,
337,337,"""",337,,,,,,,,,,,,,,,,,,
338,338,"The air conditioner was turned off because it used more than the amount of electricity, but other home appliances did not use more than the amount of power",338,,,,,,,,,,,,,,,,,,
339,339,"This is because if the power exceeds a certain level in the code, only the power of the object was cut off.",339,,,,,,,,,,,,,,,,,,
340,340,This is because it is possible if the power is turned off even if it is in the same code.,340,,,,,,,,,,,,,,,,,,
341,341,The power outlets are connected in parallel,341,,,,,,,,,,,,,,,,,,
342,342,Because a lot of electronics are connected,342,,,,,,,,,,,,,,,,,,
343,343,It's connected to the air conditioner separately,343,,,,,,,,,,,,,,,,,,
344,344,"Because they are connected in parallel, they are all used independently at the same voltage. Because of this, one electronics is used more than the amount of power, so even if the power is turned off, the other electronics do not turn off.",344,,,,,,,,,,,,,,,,,,
345,345,M and D,345,,,,,,,,,,,,,,,,,,
346,346,There's electricity for the air conditioner,346,,,,,,,,,,,,,,,,,,
347,347,It's crazy,347,,,,,,,,,,,,,,,,,,
348,348,I don't know,348,,,,,,,,,,,,,,,,,,
349,349,I don't understand.,349,,,,,,,,,,,,,,,,,,
350,350,This is because air conditioners and other electronics have different currents.,350,,,,,,,,,,,,,,,,,,
351,351,I don't understand.,351,,,,,,,,,,,,,,,,,,
352,352,I don't understand.,352,,,,,,,,,,,,,,,,,,
353,353,I don't understand.,353,,,,,,,,,,,,,,,,,,
354,354,M and D,354,,,,,,,,,,,,,,,,,,
355,355,I don't know,355,,,,,,,,,,,,,,,,,,
356,356,I don't understand.,356,,,,,,,,,,,,,,,,,,
357,357,I don't understand.,357,,,,,,,,,,,,,,,,,,
358,358,I don't know,358,,,,,,,,,,,,,,,,,,
359,359,I don't know.,359,,,,,,,,,,,,,,,,,,
360,360,I turned it on too much. I didn't save electricity,360,,,,,,,,,,,,,,,,,,
361,361,"Only the circuit in the air conditioner was broken, so the circuit in the outlet was not broken.",361,,,,,,,,,,,,,,,,,,
362,362,Because of standby power,362,,,,,,,,,,,,,,,,,,
363,363,"Because the amount of current flowing to each other is different,",363,,,,,,,,,,,,,,,,,,
364,364,I don't understand.,364,,,,,,,,,,,,,,,,,,
365,365,I don't know.,365,,,,,,,,,,,,,,,,,,
366,366,I don't know,366,,,,,,,,,,,,,,,,,,
367,367,It seems to use up all the available electricity to help.,367,,,,,,,,,,,,,,,,,,
368,368,Air conditioners and other electronics have different amounts of electricity,368,,,,,,,,,,,,,,,,,,
369,369,"The air conditioner exceeded the amount of electricity available, so only the air conditioner was de-loaded and turned off",369,,,,,,,,,,,,,,,,,,
370,370,by natural causes,370,,,,,,,,,,,,,,,,,,
371,371,There seems to be no problem with the concept because there is a problem with the air conditioner. That's why the other electronics didn't turn off.,371,,,,,,,,,,,,,,,,,,
372,372,I don't understand.,372,,,,,,,,,,,,,,,,,,
373,373,"The electrical structure is connected in parallel, so unlike the series where everything else is turned off when one is turned off, the other does not turn off",373,,,,,,,,,,,,,,,,,,
374,374,"They're plugged into the same outlet, but because the current is dictating electricity to different places?",374,,,,,,,,,,,,,,,,,,
375,375,M and D,375,,,,,,,,,,,,,,,,,,
376,376,"The outlet is responsible for supplying power, and the air conditioner is overused, so the air conditioner is turned off because of the burden, and the rest is not turned off because the outlet is used in an appropriate amount",376,,,,,,,,,,,,,,,,,,
377,377,Combine the + and -,377,,,,,,,,,,,,,,,,,,
378,378,This is because power is cut off only in air conditioners.,378,,,,,,,,,,,,,,,,,,
379,379,This is because household electrical appliances are connected in parallel.,379,,,,,,,,,,,,,,,,,,
380,380,This is because it supplies power by using parallel connections. If a direct current connection has been made (devastated),380,,,,,,,,,,,,,,,,,,
381,381,Distribution of current through parallel connection ?±ã……,381,,,,,,,,,,,,,,,,,,
382,382,"Since circuits of electronic products are connected in parallel, even if a problem occurs in one circuit, there is no problem with products in the other circuit.",382,,,,,,,,,,,,,,,,,,
383,383,It's a parallel connection.,383,,,,,,,,,,,,,,,,,,
384,384,"Although there is an advantage that the power of other electronic products is not turned off even if the power of the air conditioner is turned off because it is connected in parallel rather than in series, the power strength is weaker than in series connection.",384,,,,,,,,,,,,,,,,,,
385,385,It's a parallel connection that divides the current and supplies it,385,,,,,,,,,,,,,,,,,,
386,386,"Electrical appliances are connected in a parallel structure to apply a constant voltage, but they are connected as one to prevent the electricity supply from being cut off.",386,,,,,,,,,,,,,,,,,,
387,387,"When using electricity at home, electricity is supplied in parallel, so even if one home appliance is turned off, other home appliance can continue to be supplied with electricity.",387,,,,,,,,,,,,,,,,,,
388,388,"Because electrical outlets are connected in parallel, if only the over-electric air conditioner is stopped, electricity can be kept from flowing excessively and other electronic products can be maintained.",388,,,,,,,,,,,,,,,,,,
389,389,"This is because not all the circuits in the outlet are tied together. In other words, it is connected in parallel.",389,,,,,,,,,,,,,,,,,,
390,390,"Because electronic products are connected in parallel to one wire, even if no current flows through one electronic product, it does not affect other electronic products.",390,,,,,,,,,,,,,,,,,,
391,391,"This is because air conditioners and other electronics are supplied with electricity in a parallel structure, so even if the electricity supply to one product is blocked, the electricity supply to other products is not blocked.",391,,,,,,,,,,,,,,,,,,
392,392,What is this?,392,,,,,,,,,,,,,,,,,,
393,393,I don't know.,393,,,,,,,,,,,,,,,,,,
394,394,I don't know because the AC cord is off?,394,,,,,,,,,,,,,,,,,,
395,395,I don't know,395,,,,,,,,,,,,,,,,,,
396,396,I think it's broken because it's overheated because one is overdone,396,,,,,,,,,,,,,,,,,,
397,397,"Well, the location of the electricity is different",397,,,,,,,,,,,,,,,,,,
398,398,I don't know.,398,,,,,,,,,,,,,,,,,,
399,399,"""Because connecting to one cord consumes a lot of energy",399,,,,,,,,,,,,,,,,,,
400,400,"""",400,,,,,,,,,,,,,,,,,,
401,401,"Because there is a fuse even if the air conditioner is turned off, other electronic products do not turn off.",401,,,,,,,,,,,,,,,,,,
402,402,The reason why the air conditioner is turned off is because of the excessive use of air conditioner,402,,,,,,,,,,,,,,,,,,
403,403,I don't understand.,403,,,,,,,,,,,,,,,,,,
404,404,The place where the current flows is different,404,,,,,,,,,,,,,,,,,,
405,405,"""Because electronics are connected in parallel, even if one electronics is turned off,",405,,,,,,,,,,,,,,,,,,
406,406,"Other electronics do not turn off (parallel connections are connected to poles of the same current). As explained by the electrical circuit, the bulb does not turn off even if one battery is not connected.)""",406,,,,,,,,,,,,,,,,,,
407,407,The electricity is weird,407,,,,,,,,,,,,,,,,,,
408,408,"The air conditioner, TV, refrigerator, etc. are connected in parallel, so it doesn't turn off.",408,,,,,,,,,,,,,,,,,,
409,409,"Because the air conditioner and other electronics are connected in parallel,",409,,,,,,,,,,,,,,,,,,
410,410,in the air conditioner,410,,,,,,,,,,,,,,,,,,
411,411,I used the air conditioner too much,411,,,,,,,,,,,,,,,,,,
412,412,Because it's a different outlet,412,,,,,,,,,,,,,,,,,,
413,413,I don't know,413,,,,,,,,,,,,,,,,,,
414,414,I don't know.,414,,,,,,,,,,,,,,,,,,
415,415,I don't need a lot of electricity.,415,,,,,,,,,,,,,,,,,,
416,416,"It's not that the air conditioner is off, it's that the person turned off the power",416,,,,,,,,,,,,,,,,,,
417,417,Let's plug it in somewhere else instead of course,417,,,,,,,,,,,,,,,,,,
418,418,"The codes are the same, but... Uh... I don't know",418,,,,,,,,,,,,,,,,,,
419,419,"""Encounters have been overrun by more than the amount of electricity",419,,,,,,,,,,,,,,,,,,
420,420,"The other thing is that it doesn't go too much.""",420,,,,,,,,,,,,,,,,,,
421,421,"This is the same principle that if the surface temperature rises to 90 degrees with a smart charger inserted, only the smartphone will be turned off, not other electronic devices.  Therefore, the reason why other electronic products such as TVs and refrigerators that were connected to the same outlet did not turn off was because they only used air conditioners excessively.",421,,,,,,,,,,,,,,,,,,
422,422,This is because air conditioners and other electronics are connected in parallel.,422,,,,,,,,,,,,,,,,,,
423,423,There are several wires in the cord,423,,,,,,,,,,,,,,,,,,
424,424,The air conditioner is bleeding too much,424,,,,,,,,,,,,,,,,,,
425,425,The device that cuts itself off for safety has been cut off due to a lot of current.,425,,,,,,,,,,,,,,,,,,
426,426,The TV and refrigerator did not turn off by connecting wires in parallel.,426,,,,,,,,,,,,,,,,,,
427,427,call a person in,427,,,,,,,,,,,,,,,,,,
428,428,"""It's about generating electricity",428,,,,,,,,,,,,,,,,,,
429,429,"""",429,,,,,,,,,,,,,,,,,,
430,430,Turn off the electronics and use up the power,430,,,,,,,,,,,,,,,,,,
431,431,It's far away,431,,,,,,,,,,,,,,,,,,
432,432,I think a cool head is good.,432,,,,,,,,,,,,,,,,,,
433,433,Don't know,433,,,,,,,,,,,,,,,,,,
434,434,Hugging the right contender,434,,,,,,,,,,,,,,,,,,
435,435,I don't know,435,,,,,,,,,,,,,,,,,,
436,436,show off one's wire cord,436,,,,,,,,,,,,,,,,,,
437,437,",",437,,,,,,,,,,,,,,,,,,
438,438,"The cord is broken, so the electricity keeps going on",438,,,,,,,,,,,,,,,,,,
439,439,"Even if it's the same chord, the concert is different",439,,,,,,,,,,,,,,,,,,
440,440,"Wire cord pulled out, electrical control blocked only that place.",440,,,,,,,,,,,,,,,,,,
441,441,Only the air conditioner is broken,441,,,,,,,,,,,,,,,,,,
442,442,The air conditioner consumed so much power that the air conditioner went over to the average current shift that only the air conditioner was turned off and nothing else was turned off.,442,,,,,,,,,,,,,,,,,,
443,443,Automatically turned off due to excessive current,443,,,,,,,,,,,,,,,,,,
444,444,I don't know.,444,,,,,,,,,,,,,,,,,,
445,445,I use a lot of electricity with air conditioning,445,,,,,,,,,,,,,,,,,,
446,446,in parallel,446,,,,,,,,,,,,,,,,,,
447,447,"Using electricity with a lot of air conditioning,",447,,,,,,,,,,,,,,,,,,
448,448,socket,448,,,,,,,,,,,,,,,,,,
449,449,It's because I used one for a long time and overheated,449,,,,,,,,,,,,,,,,,,
450,450,My knowledge is not up to there,450,,,,,,,,,,,,,,,,,,
451,451,in parallel,451,,,,,,,,,,,,,,,,,,
452,452,in parallel,452,,,,,,,,,,,,,,,,,,
453,453,Because it was connected in parallel.,453,,,,,,,,,,,,,,,,,,
454,454,The voltage applied to the instruments in parallel is constant,454,,,,,,,,,,,,,,,,,,
455,455,in parallel,455,,,,,,,,,,,,,,,,,,
456,456,It is an electronic device connected in parallel.,456,,,,,,,,,,,,,,,,,,
457,457,"The air conditioner and other products are connected in parallel, not in series, so even if the air conditioner is turned off, other products are not turned off",457,,,,,,,,,,,,,,,,,,
458,458,"Because the electrical cords in the home are connected in parallel, even if one electrical device is turned off, the other is fine.",458,,,,,,,,,,,,,,,,,,
459,459,I don't know. Smooze,459,,,,,,,,,,,,,,,,,,
460,460,I don't know,460,,,,,,,,,,,,,,,,,,
461,461,It's overloaded inside the air conditioner,461,,,,,,,,,,,,,,,,,,
462,462,I don't know.,462,,,,,,,,,,,,,,,,,,
463,463,I don't know,463,,,,,,,,,,,,,,,,,,
464,464,"Using parallel connections, the air conditioner was turned off, but others seemed to be kept off.",464,,,,,,,,,,,,,,,,,,
465,465,Air conditioners consume more electricity,465,,,,,,,,,,,,,,,,,,
466,466,It is because only the outlet of the air conditioner is missing.,466,,,,,,,,,,,,,,,,,,
467,467,"Because parallel connections are electrified in many places at the same time, other electronic products continue to be connected even when the air conditioner is turned off",467,,,,,,,,,,,,,,,,,,
468,468,"This is because current flows through different batteries, not the same current for air conditioners, refrigerators, and TVs.",468,,,,,,,,,,,,,,,,,,
469,469,This is because air conditioners absorb electricity the most.,469,,,,,,,,,,,,,,,,,,
470,470,The electronics are connected in parallel.,470,,,,,,,,,,,,,,,,,,
471,471,This is because electronics are connected by parallel connection method.,471,,,,,,,,,,,,,,,,,,
472,472,I don't know.,472,,,,,,,,,,,,,,,,,,
473,473,"Parallel connections have electricity flowing in many places, because serial connections do not have electricity flowing here",473,,,,,,,,,,,,,,,,,,
474,474,Parallel connection,474,,,,,,,,,,,,,,,,,,
475,475,Because the air conditioner was overheated due to excessive current flow.,475,,,,,,,,,,,,,,,,,,
476,476,"Unlike air conditioners, all electronics are connected in series.",476,,,,,,,,,,,,,,,,,,
477,477,"Unlike air conditioners, refrigerators and televisions are not used excessively, so current flows normally to televisions and refrigerators",477,,,,,,,,,,,,,,,,,,
478,478,"""",478,,,,,,,,,,,,,,,,,,
479,479,I don't know,479,,,,,,,,,,,,,,,,,,
480,480,I don't know.,480,,,,,,,,,,,,,,,,,,
481,481,I don't know.,481,,,,,,,,,,,,,,,,,,
482,482,I don't know.,482,,,,,,,,,,,,,,,,,,
483,483,Because home appliances are connected in parallel,483,,,,,,,,,,,,,,,,,,
484,484,.,484,,,,,,,,,,,,,,,,,,
485,485,It's a parallel connection,485,,,,,,,,,,,,,,,,,,
486,486,Because it's a parallel connection,486,,,,,,,,,,,,,,,,,,
487,487,The air conditioner takes a lot of electricity,487,,,,,,,,,,,,,,,,,,
488,488,It's in parallel,488,,,,,,,,,,,,,,,,,,
489,489,I don't know.,489,,,,,,,,,,,,,,,,,,
490,490,It's a parallel connection,490,,,,,,,,,,,,,,,,,,
491,491,I don't know.,491,,,,,,,,,,,,,,,,,,
492,492,The air conditioner takes up too much electricity,492,,,,,,,,,,,,,,,,,,
493,493,It is because of the parallel connection structure.,493,,,,,,,,,,,,,,,,,,
494,494,The AC has too much electricity,494,,,,,,,,,,,,,,,,,,
495,495,It's connected in parallel,495,,,,,,,,,,,,,,,,,,
496,496,"Home appliances are usually connected in parallel, so even if one is broken, the rest is possible.",496,,,,,,,,,,,,,,,,,,
497,497,I don't know,497,,,,,,,,,,,,,,,,,,
498,498,I don't know,498,,,,,,,,,,,,,,,,,,
499,499,I don't know.,499,,,,,,,,,,,,,,,,,,
500,500,I don't know.,500,,,,,,,,,,,,,,,,,,
501,501,"I think when the circuit breaker fell, all the electricity in the house would have gone out or a plug bite like a refrigerator or a computer would have gone out.",501,,,,,,,,,,,,,,,,,,
502,502,It's connected in parallel,502,,,,,,,,,,,,,,,,,,
503,503,"I think the electricity in the house would have gone out when the breaker fell, or a plug bite like a refrigerator or a computer would have gone out.",503,,,,,,,,,,,,,,,,,,
504,504,This is because there is a limit to electricity and the amount of electricity is not supposed to affect it while other electricity and electricity are connected.,504,,,,,,,,,,,,,,,,,,
505,505,Don't know,505,,,,,,,,,,,,,,,,,,
506,506,None.,506,,,,,,,,,,,,,,,,,,
507,507,Overheating,507,,,,,,,,,,,,,,,,,,
508,508,I don't know.,508,,,,,,,,,,,,,,,,,,
509,509,It is because of the parallel connection.,509,,,,,,,,,,,,,,,,,,
510,510,It's overheating,510,,,,,,,,,,,,,,,,,,
511,511,It's because electricity is flowing.,511,,,,,,,,,,,,,,,,,,
512,512,I don't know.,512,,,,,,,,,,,,,,,,,,
513,513,Because the current is divided and cloudy,513,,,,,,,,,,,,,,,,,,
514,514,"It's connected in series, and all the power is consumed by the previous device",514,,,,,,,,,,,,,,,,,,
515,515,Because electronics have standby power,515,,,,,,,,,,,,,,,,,,
516,516,"""The current is different",516,,,,,,,,,,,,,,,,,,
517,517,"""",517,,,,,,,,,,,,,,,,,,
518,518,"It's not a direct current, it's used in parallel.",518,,,,,,,,,,,,,,,,,,
519,519,I don't know,519,,,,,,,,,,,,,,,,,,
520,520,I'm not sure,520,,,,,,,,,,,,,,,,,,
521,521,using alternating current,521,,,,,,,,,,,,,,,,,,
522,522,Because it is connected in parallel.,522,,,,,,,,,,,,,,,,,,
523,523,Air conditioning only,523,,,,,,,,,,,,,,,,,,
524,524,"This is because the octopus foot cord has a parallel structure in which current is connected, so even if the power of the air conditioner is cut off, power is not cut off for other electronic products.",524,,,,,,,,,,,,,,,,,,
525,525,"It is not that power was not supplied to the same outlet, but because the air conditioner was not supplied with power, the air conditioner was turned off, and electronic products connected to the same outlet were not turned off.",525,,,,,,,,,,,,,,,,,,
526,526,Because it's a parallel connection,526,,,,,,,,,,,,,,,,,,
527,527,It does not affect other products because it does not flow too much from the code but from the plug of the electronics,527,,,,,,,,,,,,,,,,,,
528,528,"Because electrical products are connected in parallel, even if one circuit is cut off, it does not turn off because current flows to the other circuit.",528,,,,,,,,,,,,,,,,,,
529,529,"This is because electricity does not work on only one electronic product, but acts in parallel with several electronic products.",529,,,,,,,,,,,,,,,,,,
530,530,"It was connected to the same outlet, but it was not connected in series and was connected in parallel, so it did not affect each other.",530,,,,,,,,,,,,,,,,,,
531,531,"Electronics are connected in parallel, so even if one electronics is disconnected due to excessive current flow, current flows in the other electronics.",531,,,,,,,,,,,,,,,,,,
532,532,I don't know,532,,,,,,,,,,,,,,,,,,
533,533,What's the difference between an air conditioner?,533,,,,,,,,,,,,,,,,,,
534,534,I don't know. Maybe the amount of power that the air conditioner turned off wasn't that much for other electronics.,534,,,,,,,,,,,,,,,,,,
535,535,Because it's connected in parallel,535,,,,,,,,,,,,,,,,,,
536,536,I don't know.,536,,,,,,,,,,,,,,,,,,
537,537,The air conditioner uses the most electrical current,537,,,,,,,,,,,,,,,,,,
538,538,Only that part is overloaded and the power is turned off,538,,,,,,,,,,,,,,,,,,
539,539,I don't know.,539,,,,,,,,,,,,,,,,,,
540,540,Because it is made up of series.,540,,,,,,,,,,,,,,,,,,
541,541,The AC turned off when the AC was on,541,,,,,,,,,,,,,,,,,,
542,542,The air conditioner used so much power that it was the only one that didn't turn on,542,,,,,,,,,,,,,,,,,,
543,543,I don't know.,543,,,,,,,,,,,,,,,,,,
544,544,"Because electricity was connected in parallel, only one electronic device turned off electricity",544,,,,,,,,,,,,,,,,,,
545,545,I'll change it,545,,,,,,,,,,,,,,,,,,
546,546,Parallel connection,546,,,,,,,,,,,,,,,,,,
547,547,It seems that other products can use high power.,547,,,,,,,,,,,,,,,,,,
548,548,It's in parallel,548,,,,,,,,,,,,,,,,,,
549,549,"Yes, ^___^",549,,,,,,,,,,,,,,,,,,
550,550,Each member has a different amount of current,550,,,,,,,,,,,,,,,,,,
551,551,Kkyu,551,,,,,,,,,,,,,,,,,,
552,552,M and D,552,,,,,,,,,,,,,,,,,,
553,553,Hall,553,,,,,,,,,,,,,,,,,,
554,554,I have no idea.,554,,,,,,,,,,,,,,,,,,
555,555,There's more electricity in the air conditioner than other products,555,,,,,,,,,,,,,,,,,,
556,556,Use a parallel method.,556,,,,,,,,,,,,,,,,,,
557,557,1,557,,,,,,,,,,,,,,,,,,
558,558,"The electricity supplied to the household is alternating current, so even if one side of the electricity is cut off, the current in the other side continues to flow",558,,,,,,,,,,,,,,,,,,
559,559,1,559,,,,,,,,,,,,,,,,,,
560,560,Kim Byung-ryul,560,,,,,,,,,,,,,,,,,,
561,561,"??;??;??;-a, ?´á???,561.0,580",0,,1,0,,,,"
562,562,I don't know,562.0,581",0,0,0,0,,,,"
563,563,When an electronic device is overloaded"," the overburden is determined within the product so that the outlet does not explode first""",563,"582,1,0,0,0,,,,"
564,564,Circuit parallel is different,564,,,,,,,,,,,,,,,,,,
565,565,I have no idea.,565,,,,,,,,,,,,,,,,,,
566,566,It's connected separately,566,,,,,,,,,,,,,,,,,,
567,567,I don't know,567,,,,,,,,,,,,,,,,,,
568,568,I don't know.,568,,,,,,,,,,,,,,,,,,
569,569,I don't know.,569,,,,,,,,,,,,,,,,,,
570,570,This is because the components of electronics are connected in parallel.,570,,,,,,,,,,,,,,,,,,
571,571,Because it is connected in parallel.,571,,,,,,,,,,,,,,,,,,
572,572,I don't remember ?‡ã……??572.0,"591,0,1,0,0,,,,",,,,,,,,,,,,,,,,,,
573,573,"The current was flowing in direct current and overloaded by the current connected to the air conditioner, so the air conditioner was turned off, while other electronic products worked well because the current was flowing normally",573,,,,,,,,,,,,,,,,,,
574,574,The air conditioner's wires are disconnected,574,,,,,,,,,,,,,,,,,,
575,575,"Turn off the air conditioner and try again. If not, call the electronics repair company",575,,,,,,,,,,,,,,,,,,
576,576,I don't know.,576,,,,,,,,,,,,,,,,,,
577,577,"It doesn't have to be one thing in parallel, it becomes another",577,,,,,,,,,,,,,,,,,,
578,578,I don't know.,578,,,,,,,,,,,,,,,,,,
579,579,TV and refrigerator are connected in parallel,579,,,,,,,,,,,,,,,,,,
580,580,Air conditioner and TV have different current,580,,,,,,,,,,,,,,,,,,
581,581,Only electronic devices that use the most electricity turn off,581,,,,,,,,,,,,,,,,,,
582,582,There's something wrong with the fridge,582,,,,,,,,,,,,,,,,,,
583,583,..,583,,,,,,,,,,,,,,,,,,
584,584,It's stuck in the socket too,584,,,,,,,,,,,,,,,,,,
585,585,...,585,,,,,,,,,,,,,,,,,,
586,586,.....,586,,,,,,,,,,,,,,,,,,
587,587,The air conditioner's wires are cut off,587,,,,,,,,,,,,,,,,,,
588,588,Only the air conditioner was turned off because of the parallel connection,588,,,,,,,,,,,,,,,,,,
589,589,Only the air conditioner was turned off because of the parallel connection,589,,,,,,,,,,,,,,,,,,
590,590,I don't know.,590,,,,,,,,,,,,,,,,,,
591,591,I don't know.,591,,,,,,,,,,,,,,,,,,
592,592,Because the wires using the air conditioner and the wires using the TV and refrigerator are different.,592,,,,,,,,,,,,,,,,,,
593,593,This is because the wires are connected separately.,593,,,,,,,,,,,,,,,,,,
594,594,I don't know.,594,,,,,,,,,,,,,,,,,,
595,595,The current flowing is connected to the TV and refrigerator,595,,,,,,,,,,,,,,,,,,
596,596,I'm turning it off,596,,,,,,,,,,,,,,,,,,
597,597,You should buy products that consume less electricity,597,,,,,,,,,,,,,,,,,,
598,598,"Yes, I got it",598,,,,,,,,,,,,,,,,,,
599,599,"""It's better to buy low-cost products",599,,,,,,,,,,,,,,,,,,
600,600,"""",600,,,,,,,,,,,,,,,,,,
601,601,Parallel connection,601,,,,,,,,,,,,,,,,,,
602,602,"Even if one path is blocked, electricity flows through the other path",602,,,,,,,,,,,,,,,,,,
603,603,I don't understand.,603,,,,,,,,,,,,,,,,,,
604,604,I used too much electricity,604,,,,,,,,,,,,,,,,,,
605,605,I don't know.,605,,,,,,,,,,,,,,,,,,
606,606,It's in parallel,606,,,,,,,,,,,,,,,,,,
607,607,I don't know.,607,,,,,,,,,,,,,,,,,,
608,608,Parallel connection/,608,,,,,,,,,,,,,,,,,,
609,609,Parallel connection,609,,,,,,,,,,,,,,,,,,
610,610,"Because it is connected in parallel, it is connected one by one, so even if one is turned off, the other does not turn off",610,,,,,,,,,,,,,,,,,,
611,611,"""It's a parallel connection, so even if the air conditioner is turned off, the TV and other electronics won't turn off",611,,,,,,,,,,,,,,,,,,
612,612,"""",612,,,,,,,,,,,,,,,,,,
613,613,It's connected to a different outlet,613,,,,,,,,,,,,,,,,,,
614,614,It's in parallel,614,,,,,,,,,,,,,,,,,,
615,615,"""1. Electricity flows, but only the air conditioner broke down due to overloading of the air conditioner, so other electronic products still have electricity.""",615,,,,,,,,,,,,,,,,,,
616,616,"2. Insert the outlet into the outlet hole properly, and if there is any electronic device that is not used, it must be removed",616,,,,,,,,,,,,,,,,,,
617,617,"""",617,,,,,,,,,,,,,,,,,,
618,618,"Because current flows from an outlet different from the outlet connected with the air conditioner, the outlet connected with the air conditioner does not flow, but the current flows from the other outlet.",618,,,,,,,,,,,,,,,,,,
619,619,"Too many electronics are plugged into the outlet, so the amount of power flowing through each product is weak.Among them, the air conditioner was turned off because it required more power than the amount of flowing power.",619,,,,,,,,,,,,,,,,,,
620,620,"Because they are not connected in series, but in separate ways.",620,,,,,,,,,,,,,,,,,,
621,621,Because it is connected to other energy unlike air conditioner,621,,,,,,,,,,,,,,,,,,
622,622,It is because of the parallel connection.,622,,,,,,,,,,,,,,,,,,
623,623,The air conditioner seems to have been stopped by the sensor operation of the air conditioner because of too much current,623,,,,,,,,,,,,,,,,,,
624,624,Toad,624,,,,,,,,,,,,,,,,,,
625,625,The roads are different,625,,,,,,,,,,,,,,,,,,
626,626,"The same electricity is connected, but different currents flow",626,,,,,,,,,,,,,,,,,,
627,627,I don't know.,627,,,,,,,,,,,,,,,,,,
628,628,The roads are different,628,,,,,,,,,,,,,,,,,,
629,629,This is because it is connected in a parallel structure that does not lead in one direction.,629,,,,,,,,,,,,,,,,,,
630,630,This is because it is connected in a parallel structure that does not lead in one direction,630,,,,,,,,,,,,,,,,,,
631,631,This is because it is connected to an alignment structure that does not lead in one direction.,631,,,,,,,,,,,,,,,,,,
632,632,"It's not connected in one direction, but it's connected in a military structure",632,,,,,,,,,,,,,,,,,,
633,633,Because they used parallel structures,633,,,,,,,,,,,,,,,,,,
634,634,Because it's connected in parallel,634,,,,,,,,,,,,,,,,,,
635,635,It's because it's connected in parallel,635,,,,,,,,,,,,,,,,,,
636,636,This is because it is connected to a wall structure that does not lead in one direction.,636,,,,,,,,,,,,,,,,,,
637,637,"Connected by alternating current, one disconnect does not cause another to disconnect",637,,,,,,,,,,,,,,,,,,
638,638,a parallel connection,638,,,,,,,,,,,,,,,,,,
639,639,"Oh, my.",639,,,,,,,,,,,,,,,,,,
640,640,I think it's because of the difference between direct current and exchange.,640,,,,,,,,,,,,,,,,,,
641,641,Let's use a manual-powered bicycle.,641,,,,,,,,,,,,,,,,,,
642,642,Because it was connected in parallel.,642,,,,,,,,,,,,,,,,,,
643,643,It's in parallel.,643,,,,,,,,,,,,,,,,,,
644,644,I don't know.,644,,,,,,,,,,,,,,,,,,
645,645,Because it is connected in parallel.,645,,,,,,,,,,,,,,,,,,
