,Unnamed: 0,"19. Many environmental groups have recently warned that a decline in biodiversity could pose a global risk. Recently, the number of species has been decreasing rapidly. Why is the number of endangered species increasing recently? Let's explain in detail using our knowledge of biodiversity. ",Unnamed: 0,",q19_climate change, q19_respect for life, q19_environmental destruction, q19_biological effects, q19_human activity, q19_climate change 1, q19_respect for life, 1, q19_environmental destruction.1,q19_Bioinfluence1.q19_Human activity.1"
113,113,Endangered species increase because animals and plants have no place to sleep or rest because many people pollute the environment and destroy their homes.,113.0,"116,0,0,0,0, climate change changes the habitat environment, environmental pollution changes the habitat environment, the introduction of foreign organisms makes it difficult for native creatures to live in the area, and the wild animal population decreases rapidly due to indiscriminate overfishing"
114,114,"Biodiversity is decreasing a lot due to various exotic species and climate change, such as cutting down trees and destroying food in animals",114.0,"117,1,0,0,0, climate change, habitat environment change, endangered species change, habitat environment change, endangered species increase, and introduction of foreign life makes it difficult for native creatures to live in the area, wild animals and plants population decrease rapidly"
115,115,"The main cause of the increase in endangered species and the extinction of many living things is closely related to human activity. The habitat of living things has been destroyed by cutting down trees or removing wetlands in the forest, and the population of wild animals and plants is rapidly decreasing due to indiscriminate collection and hunting.It is difficult to bring in foreign creatures and live in the area, and the environment of the habitat is changing due to environmental pollution and climate change. Due to such human activities, the biodiversity of the Earth is currently decreasing at a very rapid rate. Habitat climate change reduces biodiversity.",115.0,"118,0,0,1,0, climate change, habitat environment change, endangered species change, habitat environment change, endangered species increase, introduction of foreign life makes it difficult for native creatures to live in the area, and wild animals decrease rapidly due to reckless overfishing119,0,0,1,0,1,기후 변화가 일어나 서식지의 환경이 변화하여 멸종 위기종이 증가함,,환경오염이 일어나 서식지의 환경이 변화하여 멸종 위기종이 증가함,외래 생물을 들여옴으로 인해 그 지역에 살던 고유 생물이 살아가는 데 어려움을 겪게 됨,무분별한 남획으로 인해 야생 동식물의 개체수가 급격히 감소함"
116,116,Because of environmental pollution,116.0,
117,117,"Biodiversity is changed by human activities, and biodiversity decreases due to habitat destruction and indiscriminate overfishing.",117.0,"120,0,0,0,0,1,기후 변화가 일어나 서식지의 환경이 변화하여 멸종 위기종이 증가한다,,환경오염이 일어나 서식지의 환경이 변화하여 멸종 위기종이 증가한다,외래 생물을 들여옴으로 인해 그 지역에 살던 고유 생물이 살아가는 데 어려움을 겪습니다,무분별한 남획으로 인해 야생 동식물의 개체수가 급격히 감소합니다"
118,118,M and D,118.0,"121,0,0,1,0,1,기후 변화가 일어나 서식지의 환경이 변하여 멸종 위기종이 증가함,,환경오염이 일어나 서식지의 환경이 변하여 멸종 위기종이 증가함,외래 생물을 들여옴으로 인해 그 지역에 살던 고유 생물이 살아가는 데 어려움을 겪게 됩니다,무분별한 채집과 사냥으로 인해 야생 동식물의 개체수가 급격히 감소"
119,119,"Global warming is caused by selfish actions by people, and animals are rapidly extinct due to various disasters and human greed.",119.0,"122,0,0,1,0,0,기후 변화가 일어나 서식지의 환경이 변하여 멸종 위기종이 증가한다,,환경오염이 일어나 서식지의 환경이 변하여 멸종 위기종이 증가한다,외래 생물을 들여옴으로 인해 멸종 위기종이 증가,무분별한 채집과 사냥 때문에 야생 동식물의 개체수가 급격히 감소"
120,120,This is because the natural environment is being destroyed.,120.0,"123,0,0,0,0,0,기후변화가 일어나 서식지의 환경이 변하여 멸종 위기종이 증가,,환경 오염이 일어나 서식지의 환경이 변하여 멸종 위기종이 증가,외래 생물을 들여옴으로 인해 멸종 위기종이 증가함,무분별한 채집과 사냥 때문에 야생 동식물의 개체수가 급격히 감소함"
121,121,It's because people are cutting down trees to get rid of animals',121.0,"124,1,0,1,0,0,기후변화가 일어나 서식지의 환경이 변화하여 멸종 위기종이 증가,,환경 오염이 일어나 서식지의 환경이 변화하여 멸종 위기종이 증가,외래 생물을 들여옴으로 인해 멸종 위기종이 증가한다,무분별한 채집과 사냥 때문에 야생 동식물의 개체수가 급격히 감소한다"
122,122,We made it dirty,122.0,"125,1,0,0,0,0,기후변화가 일어나 서식지의 환경이 변화하여 멸종 위기종이 증가함,,환경 오염이 일어나 서식지의 환경이 변화하여 멸종 위기종이 증가함,외래 생물을 들여옴으로 인해 멸종 위기종이 증가합니다,무분별한 채집과 사냥 때문에 야생 동식물의 개체수가 급격히 감소합니다"
123,123,environmental pollution,123.0,"126,0,0,1,0,1,기후변화가 일어나 서식지의 환경이 변화하여 멸종 위기종이 증가한다,,환경 오염이 일어나 서식지의 환경이 변화하여 멸종 위기종이 증가한다,외래 생물을 들여옴으로 인해 야생 동식물의 개체수가 감소,무분별한 채집과 사냥으로 인해 야생 동식물의 개체수가 급격히 감소함"
124,124,It is because people throw away trash and become environmental pollution,124.0,"127,1,0,1,0,0,기후변화가 일어나 서식지의 환경이 변하여 멸종 위기종이 증가함,,환경 오염이 일어나 서식지의 환경이 변하여 멸종 위기종이 증가함,외래 생물을 들여옴으로 인해 야생 동식물의 개체수가 감소함,무분별한 채집과 사냥으로 인해 야생 동식물의 개체수가 급격히 감소한다"
125,125,"Because of people's bad habits and greed,",125.0,"128,0,0,0,0,0,기후변화가 일어나 서식지의 환경이 변하여 멸종 위기종이 증가한다,,환경 오염이 일어나 서식지의 환경이 변하여 멸종 위기종이 증가한다,외래 생물을 들여옴으로 인해 야생 동식물의 개체수가 감소한다,무분별한 채집과 사냥으로 인해 야생 동식물의 개체수가 급격히 감소합니다"
126,126,"We are adapted to the environment in which each living thing lives, because global warming makes the earth hot, and rivers are polluted, so we cannot find food.",126.0,"129,0,0,1,0,1,기후 변화가 일어나 서식지의 환경이 변화하여 멸종 위기종이 증가합니다,,환경오염이 일어나 서식지의 환경이 변화하여 멸종 위기종이 증가합니다,외래 생물을 들여옴으로 인해 야생 동식물의 개체수가 감소합니다,무분별한 남획으로 인해 야생 동식물의 개체수가 급격히 줄어듦"
127,127,"""",127.0,"130,1,0,0,0,0,기후 변화가 일어나 서식지의 환경이 변하여 멸종 위기종이 증가합니다,,환경오염이 일어나 서식지의 환경이 변하여 멸종 위기종이 증가합니다,외래 생물을 들여옴으로 인해 야생 동식물의 개체수가 줄어듦,무분별한 남획 때문에 야생 동식물의 개체수가 급격히 줄어듦"
128,128,This is because the earth is angry and global warming has occurred,128.0,"131,0,0,0,1,0,기후변화가 일어나 서식지의 환경이 변화하여 멸종 위기종이 증가합니다,,환경 오염이 일어나 서식지의 환경이 변화하여 멸종 위기종이 증가합니다,외래 생물을 들여옴으로 인해 야생 동식물의 개체수가 줄어든다,무분별한 남획 때문에 야생 동식물의 개체수가 급격히 줄어든다"
129,129,It's because humans have destroyed the environment and deprived animals of their homes and buildings,129.0,"132,0,0,0,0,0,기후변화가 일어나 서식지의 환경이 변하여 멸종 위기종이 증가합니다,,환경 오염이 일어나 서식지의 환경이 변하여 멸종 위기종이 증가합니다,외래 생물을 들여옴으로 인해 야생 동식물의 개체수가 줄어듭니다,무분별한 남획 때문에 야생 동식물의 개체수가 급격히 줄어듭니다"
130,130,"Because of the environmental pollution, the temperature and surrounding environment changed a lot?",130.0,"133,0,1,0,0,0,그 지역의 기상이 변화하였기 때문이다.,,""생물이 살아가는 공간이 더럽혀졌기 때문이다,"",외래 생물을 들여옴으로 인해 야생 동식물의 개체수가 급격히 감소,무분별한 남획으로 인해 야생 동식물의 개체수가 급격히 줄어든다"
131,131,You must miss it,131.0,"134,1,0,0,1,0,기후가 갑자기 변하면서 생물의 다양성이 줄었다.,,생물이 살아가야할 서식지가 인간활동으로 인해 오염되었기 때문이다.,외래 생물을 들여옴으로 인해 야생 동식물의 개체수가 급격히 감소함,무분별한 남획으로 인해 야생 동식물의 개체수가 급격히 줄어듭니다"
132,132,"The endangered species increase as we develop and the waste we burn in the factory is dumped in the environment, polluting the habitat of living things.",132.0,"135,0,0,0,0,1,기후가 급변하며 생물의 다양성이 감소했다.,,생물이 살아갈 생활환경이 더럽혀졌음,외래 생물을 들여옴으로 인해 야생 동식물의 개체수가 급격히 감소한다,무분별한 채집과 사냥으로 인해 야생 동식물의 개체수가 급격히 줄어듦"
133,133,The reason why life forms in the Myungjong crisis is due to environmental pollution problems.,133.0,"136 and 0, 0, 0, 0, 1, and rapidly changing climate, to live life been sullied, the environment.Bringing in foreign, by sharply decrease due to the populations of wildlife, enables dramatically smaller population of wild animals and plants because of reckless hunting and gathering."
134,134,Either the primary consumer is gone or the tertiary consumer is gone,134.0,"137, 1, 0, 1, 0, 1, of habitat, constantly changing climate is yes, the gate he been sullied.Bringing in, foreign populations of wild fauna and flora by wildlife because of reckless hunting and gathering, enables dramatically smaller population has drastically reduced."
135,135,I don't know^^,135.0,"138,0,0,0,0,0,기후변화때문이다,,서식지의 환경이 오염되었기 때문이다,외래 생물을 들여옴으로 인해 야생 동식물의 개체수가 급격히 줄어든다,무분별한 채집과 사냥 때문에 야생 동식물의 개체수가 급격히 줄어듭니다"
136,136,in the decline of living things,136.0,"139,1,0,0,0,0,기후에 변화가 생겨서 나타난 현상이다.,,환경 오염으로 인해 생물의 다양성이 감소한것이다.,외래 생물을 들여옴으로 인해 야생 동식물의 개체수가 급격히 줄어듭니다,무분별한 채집과 사냥으로 인해 야생 동식물의 개체수가 급격히 줄어든다"
137,137,"Due to the change in global temperature, there is no snow in winter, there is little rain in summer, and ice is melting, and the primary consumer becomes extinct because he or she cannot eat it",137.0,"0, 0, 0, 0, 0, 140, a long period of time or a short period of time, climate has changed.. because of environmental pollution, habitat changes.More is because they've put in an endangered species, and exotic creatures, reckless population of wild flora and fauna by hunting and gathering will be greatly reduced."
138,138,Because people are taking him,138.0,"141,0,0,1,1,0,일정 지역의 기상이 기간에 거쳐서 변화하였기 때문이다.,,환경의 오염으로 인해,외래 생물을 들여왔기 때문에 멸종 위기종이 늘어나게 된다,동물들을 마구 잡아들여서"
139,139,People throw garbage anywhere and cut down trees for development,139.0,"142,1,0,0,0,0,장기간에 걸쳐서든 단기간에 일어난 현상이든 기상의 변화가 생겼기 때문에 일어난 현상이다.,,환경이 더럽혀져서 서식지의 환경의 변화를 야기 하였다,외래 생물을 들여왔기 때문에 멸종 위기종이 늘어난다,동물을 너무 많이 잡아들였기때문이다."
140,140,"As the country develops, it destroys nature and pollutes many environments. e.g. The emission of raw gas from cars is causing a lot of pollution, which seems to damage nature such as endangered animals.",140.0,"143, 1, 0, 0, 0, 1 ,,, animal, exotic creatures because they've put in an endangered species increasing their captured and too much."
141,141,(Laughing,141.0,"144, 0, 0, 0, 0, 1 .. chewing an endangered species by bringing in exotic creatures are animals, just enough to have an impact and in fluctuations of stock biomass jabadeuryeo."
142,142,I think it's because of climate change caused by global warming,142.0,"145,1,0,1,0,0,,,,외래 생물을 들여옴으로 인해 멸종 위기종이 늘어나게 된다,생물을 생태계에 영향을 줄 정도로 남획했기 때문이다"
143,143,"As the number of top predators increases, many other animals are eaten",143.0,"146,0,0,0,0,0,,,,외래 생물을 들여옴으로 인해 멸종 위기종이 늘어난다,생물을 환경에 영향을 줄 정도로 남획했기때문에 환경의 영향을 받는 생물의 감소가 일어났다."
144,144,"The Earth's ecosystem is destroying, so it's hard to make food chain",144.0,"147,0,0,1,0,0... the number of endangered species increases due to the introduction of exotic creatures, the wild capture of animals for human life"
145,145,Global warming,145.0,"148,0,0,1,0,1,,,,,, the number of endangered species increases because of the introduction of exotic creatures, indiscriminately overfishing for the convenience of human life149,0,0,1,0,0... ...the introduction of exotic creatures increases the number of endangered species, which is caused by reckless capture without being aware of what would happen"
146,146,"People don't spare their animals, they're catching them, they're getting more and more global warming",146.0,"150, 1, 0, 1, 0, 0 ... brought in creatures from regions other than their own environment, making it difficult for the original creatures to live, because they just caught them without thinking about the future"
147,147,"People think it's dangerous, so they're gonna kill you",147.0,"151,0,0,1,0,0,,,the introduction of new species makes it difficult for the original species to live"
148,148,Endangered species are increasing due to global warming caused by environmental pollution.,148.0,"152,1,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
149,149,This is because people are not very aware of the importance of animals and plants,149.0,"153,0,0,1,0,0... because the introduction of new species has made the original species difficult to live"
150,150,Endangered polar bears are disappearing due to natural destruction.,150.0,"154,0,0,1,0,0... bringing in exotic creatures makes it difficult for the creatures that originally lived in that habitat to live"
151,151,"Because people hunt indiscriminately, or they repel nature",151.0,"155,0,0,0,0,0... deprived of the environment in which native organisms live by alien species"
152,152,environmental pollution,152.0,"156,0,0,1,0,0... This is because the introduction of foreign species has made the habitat of native organisms difficult.,"
153,153,This is because it is becoming an environment where animals and plants cannot live due to environmental pollution and global warming.,153.0,"157,1,0,0,0,0... The influx of foreign species makes it difficult for native creatures to live,"
154,154,People's greed is endless,154.0,"158,0,0,0,0,0,0... The influx of foreign species makes it difficult for native organisms to inhabit.,"
155,155,"Endangered animals are increasing because of the destruction of people's natural environment and global warming, which is causing the death of living things.",155.0,"The introduction of 159,0,0,1,0,1,,,, foreign species causes changes in the environment of the original species, reducing biodiversity.,"
156,156,"Because the environmental pollution problem is serious,",156.0,"160,0,0,1,0,0,,,,,"
157,157,This is because the environmental pollution problem is serious.,157.0,"161,0,0,0,0,1,,,,,"
158,158,"""In order for people to live on other living things,",158.0,"162,0,0,0,0,0,,,,,"
159,159,"""I studied and imagined""",159.0,"163,0,1,0,0,0,,,,,"
160,160,This is because the environmental pollution problem is getting serious.,160.0,"164,0,0,0,1,0,,,,,"
161,161,Global warming?,161.0,"165,1,0,0,0,0,,,,,"
162,162,More meat and less herbivores,162.0,"166,1,1,0,0,0,,,,,"
163,163,"Due to the destruction of many human nature, many animals have disappeared and endangered species have recently increased.",163.0,"167,0,0,0,0,0,,,,,"
164,164,"""The environment is getting worse",164.0,"168,0,1,0,0,1,,,,,"
165,165,"""",165.0,"169,0,1,0,0,0,,,,,"
166,166,I don't know.,166.0,"170,0,0,0,0,1,,,,,"
167,167,I spent too much smoke in the factory. The brush strokes melted away,167.0,"171,0,0,0,0,0,,,,,"
168,168,I died a lot,168.0,"172,1,0,1,0,1,,,,,"
169,169,There is too little biodiversity,169.0,"173,0,0,1,0,1,,,,,"
170,170,Because of global warming,170.0,"174,1,0,0,0,1,,,,,"
171,171,"This is because global warming that we cause causes bad changes in the environment in which living organisms live, so living organisms become extinct.",171.0,"175,1,0,1,0,0,,,,,"
172,172,I don't know.,172.0,"176,1,1,0,0,0,,,,,"
173,173,"There are reasons why the number of babies is decreasing or not adapting to the environment, but the biggest reason is that it killed people indiscriminately.",173.0,"177,1,0,0,0,1,,,,,"
174,174,I died a lot,174.0,"178,1,0,1,0,0,,,,,179,1,0,1,0,1,,,,,"
175,175,Because of development,175.0,"180,0,0,1,0,0,,,,,"
176,176,I don't know.,176.0,"181,0,0,0,0,1,,,,,"
177,177,"The climate changes due to global warming, and the habitat of animals has also disappeared due to excessive development, increasing endangered species.",177.0,"182,0,0,1,0,0,,,,,"
178,178,This is because the environment of species has also changed as ecosystems have been transformed and destroyed by the development of human technology.,178.0,"183,0,0,1,1,1,,,,,"
179,179,Endangered species are increasing because of global warming and excessive poachinğ̈,179.0,"184,0,0,1,1,0,,,,,"
180,180,This is because global warming has caused a big change in the environment,180.0,"185,0,0,0,0,0,,,,,"
181,181,The number of animals disappearing due to the global warming problem is increasing,181.0,"186,0,0,0,1,0,,,,,"
182,182,Endangered species are increasing because of global warming and excessive poaching,182.0,"187,1,0,1,0,0,,,,,"
183,183,This is because global warming has caused a big change in the environment,183.0,"188,0,0,1,0,1,,,,,"
184,184,This is because the habitat of living things disappears because of human indiscriminate natural development and global warming,184.0,"189,1,0,0,1,0,,,,,"
185,185,environmental pollution,185.0,"190,0,1,1,1,1,,,,,"
186,186,This is because science and technology have developed.,186.0,"191,0,0,0,1,0,,,,,"
187,187,This is because it becomes endangered due to environmental pollution.,187.0,"192,0,0,1,0,1,,,,,"
188,188,"When the environment is contaminated by human indiscriminate development, species that lose their habitat, and species that live interacting with these species are also hit, reducing diversity.",188.0,"193,1,0,0,1,0,,,,,"
189,189,"A butterfly effect caused by the destruction of the ecosystem, and when the ecosystem pyramid collapses, the other layers collapse together",189.0,"194,0,0,1,0,1,,,,,"
190,190,Human beings are selfish,190.0,"195,1,0,1,0,0,,,,,"
191,191,"Foreign species occur, and endemic species in each country become extinct, resulting in fewer species",191.0,"196,0,1,1,0,1,,,,,"
192,192,"This is because global warming has worsened, destroying the ecosystem, and losing ground to live.",192.0,"197,0,0,0,0,0,,,,,"
193,193,This is due to the destruction of the natural ecosystem due to the indiscriminate development of humans.,193.0,"198,1,0,0,0,0,,,,,"
194,194,"As the Earth's temperature increases, ecosystem diversity decreases, so does species diversity",194.0,"199,0,0,0,0,1,,,,,"
195,195,Biodiversity decreases due to environmental pollution or indiscriminate hunting by humans.,195.0,"200,1,0,0,0,0,,,,,"
196,196,"This is because when biodiversity decreases, the necessary interactions between living things disappear.",196.0,"201,1,0,0,0,0,,,,,"
197,197,"Reduced ecosystem area due to human environmental destructionBiodiversity includes ecosystem diversity, species diversity, and genetic diversity, and as ecosystem diversity is destroyed due to changes in temperature, the species of creatures living in the environment is also decreasing.",197.0,"202,1,0,0,0,0,,,,,"
198,198,"Endangered species occur due to indiscriminate logging by humans and contaminating animals' habitats, such as dumping wastewater into rivers.",198.0,"203,0,0,0,0,1,,,,,"
199,199,"Global warming has destroyed the environment where life can live more than before, and people know that endangered species are increasing, but they don't seem to be trying to save them",199.0,"204,1,0,0,0,0,,,,,"
200,200,"Due to the indiscriminate development of humans, the environment in which animals and plants can live has decreased, and the number of individuals has decreased, resulting in an increase in endangered species.",200.0,"205,1,0,0,0,0,,,,,"
201,201,...,201.0,"206,1,1,1,0,1,,,,,"
202,202,The temperature has risen,202.0,"207,0,0,1,0,1,,,,,"
203,203,Because of poachers,203.0,"208,0,0,1,1,0,,,,,209,0,0,1,0,0,,,,,"
204,204,Global warming,204.0,"210,0,0,1,0,0,,,,,"
205,205,Global warming,205.0,"211,1,0,0,0,0,,,,,"
206,206,Because global warming becomes more powerful,206.0,"212,1,0,1,1,0,,,,,"
207,207,by poachers,207.0,"213,0,0,0,0,0,,,,,"
208,208,Because of global warming,208.0,"214,0,0,1,1,0,,,,,"
209,209,due to global warming,209.0,"215,0,0,1,0,1,,,,,"
210,210,"The environment is destroyed by human pollutants, and the climate changes rapidly, and creatures that cannot adapt to it are extinct",210.0,"216,0,0,0,0,0,,,,,"
211,211,"This is because the indiscriminate development of humans has greatly changed the environment where endangered species lived, and the ecosystem of endangered species has been destroyed.",211.0,"217,1,0,1,0,1,,,,,"
212,212,"Because of environmental destruction, there are less food and places to live",212.0,"218,0,0,0,0,0,,,,,"
213,213,It is increasing because the environment of the endangered species' habitats has been destroyed or polluted,213.0,"219,0,0,0,0,0,,,,,"
214,214,It seems that endangered species are increasing because ecosystems are destroyed and the habitat of living things disappears and the environment is polluted.,214.0,"220,1,0,0,0,0,,,,,"
215,215,"Because of global warming,",215.0,"221,0,0,0,0,0,,,,,"
216,216,Global warming and destruction of nature have destroyed the ecosystem balance,216.0,"222,1,0,1,0,1,,,,,"
217,217,"""The wildlife conservation center saves endangered species and treats injured children",217.0,"223,0,0,1,0,1,,,,,"
218,218,"""Males and males crossbreed and raise their babies to some extent before releasing them in the wild.""",218.0,"224,0,0,1,0,1,,,,,"
219,219,Ecosystem Balanced Monogam Diversity Declining Human Risk and Lack of Food Chain Collapse,219.0,"225,0,0,1,0,0,,,,,"
220,220,"The apex of human beings monopolizes, destroys, and pollutes the Earth",220.0,"226,0,0,1,1,1,,,,,"
221,221,Because a man's desire is endless and he is always hungry,221.0,"227,0,0,0,0,0,,,,,"
222,222,"Due to the environmental pollution, global warming, and the generation of heat domes due to human development, the environment has changed overall",222.0,"228,0,0,1,0,1,,,,,"
223,223,I don't know,223.0,"229,0,1,1,1,1,,,,,"
224,224,I'm glad that our country has improved so much,224.0,"230,0,0,1,0,1,,,,,"
225,225,This is all because of global warming,225.0,"231,0,0,1,0,1,,,,,"
226,226,It's because there are various ecosystems,226.0,"232,0,0,1,1,1,,,,,"
227,227,"Due to environmental pollution, global warming, heat dome generation, etc. caused by technological advances, the environment is destroyed",227.0,"233,0,0,1,0,1,,,,,"
228,228,Because people are destroying nature,228.0,"234,0,0,1,0,0,,,,,"
229,229,It's because people destroy the ecosystem.,229.0,"235,0,1,1,1,1,,,,,"
230,230,Because the ecosystem is being destroyed,230.0,"236,0,1,1,0,1,,,,,"
231,231,This is due to the indiscriminate development of humans such as foreign species inflow and habitat destruction.,231.0,"237,0,0,1,0,0,,,,,"
232,232,"To satisfy people's desires,",232.0,"238,1,0,0,1,0,,,,,239,1,0,1,1,0,,,,,"
233,233,Because humans destroy nature,233.0,"240,1,0,1,1,0,,,,,"
234,234,"Many overseas animals and plants from abroad prey on living things, but there are no natural enemies, so biodiversity disappears, and animals and plants that have lost their habitats due to environmental destruction have begun to disappear, and biodiversity is decreasing due to reckless overfishing.",234.0,"241,0,0,1,1,1,,,,,"
235,235,This is because people harm a lot of living things and destroy a lot of habitats.,235.0,"242,0,0,1,1,1,,,,,"
236,236,It's because people harm living things and destroy a lot of habitats,236.0,"243,0,0,0,0,0,,,,,"
237,237,"Habitat destruction, introduction of exotic species, indiscriminate capture, waste discharge, etc",237.0,"244,0,0,1,1,1,,,,,"
238,238,This is because humans destroy nature.,238.0,"245,0,0,1,1,1,,,,,"
239,239,"Because of the damage caused by air pollution, water pollution, soil pollution, etc",239.0,"246,0,0,0,0,0,,,,,"
240,240,"Rainforests are gradually decreasing due to indiscriminate capture, destruction, and environmental pollution, and countless creatures are disappearing from the Earth, and the loss of biodiversity can threaten the survival of mankind. Rainforests are gradually decreasing and countless creatures are disappearing from the Earth due to the destruction of indiscriminate pogroms and environmental pollution. If the habitat is lost or fragmented and reduced by 90%, the number of species will decrease by 50%. All species depend on other species for their survival. Therefore, species can be wiped out by the domino effect.",240.0,"247,0,0,0,0,0,,,,,"
241,241,"This is because as the population increases rapidly, the animals' habitats are lost, so they are not living, and the environment is polluted by making electricity with nuclear power, and the animals' residential areas are deteriorated, and their bodies die.",241.0,"248,0,0,0,0,0,,,,,"
242,242,"This is because it causes damage to wild animals due to air pollution, water pollution, soil pollution, etc.",242.0,"249,0,0,0,0,0,,,,,"
243,243,"The number of endangered species has increased as foreign species are introduced without natural enemies, and the number of endangered species is increasing due to global warming",243.0,"250,0,0,0,0,0,,,,,"
244,244,"Biodiversity is gradually decreasing and endangered due to the destruction of creatures' habitats, global warming, and the influx of foreign species.",244.0,"251,0,0,0,0,0,,,,,"
245,245,"Human beings destroy the habitats of living things, become increasingly global warming, and biodiversity decreases and endangered species increase through the influx of foreign species.",245.0,"252,0,0,0,0,0,,,,,"
246,246,"""If the ecological locus of an incoming foreign species overlaps with the ecological status of any previous species, one of the two species will be eliminated by the principle of competitive exclusion (inflow of foreign species)",246.0,"253,0,0,0,0,0,,,,,"
247,247,"There are also habitat destruction, illegal capture, excessive capture, environmental pollution, etc",247.0,"254,0,0,0,0,0,,,,,"
248,248,"""",248.0,"255,0,0,0,0,0,,,,,"
249,249,"If the habitat is destroyed by farming, raising livestock, and building construction, various creatures will not be able to live.",249.0,"256,0,0,1,0,0,,,,,"
250,250,They're duplicating genes,250.0,"257,0,0,0,0,0,,,,,"
251,251,Contamination of the environment due to excessive human activity or introduction of foreign species can also cause biodiversity.,251.0,"258,0,0,0,0,0,,,,,"
252,252,Contamination of the environment by excessive human activity or introduction of foreign species can also contribute to a decline in biodiversity.,252.0,"259,0,0,0,0,0,,,,,"
253,253,wedwedwedwe,253.0,"260,0,0,1,0,0,,,,,"
254,254,I don't know.,254.0,"261,0,0,0,0,0,,,,,"
255,255,M and D,255.0,"262,0,0,0,0,1,,,,,"
256,256,I don't know,256.0,"263,0,0,0,0,0,,,,,"
257,257,I don't understand.,257.0,"264,1,0,0,1,0,,,,,"
258,258,I don't know,258.0,"265,0,0,0,0,0,,,,,"
259,259,I don't know.,259.0,"266,0,0,0,0,0,,,,,"
260,260,I don't know.,260.0,"267,0,1,0,0,1,,,,,"
261,261,I don't understand.,261.0,"268,0,0,0,0,0,,,,,269,0,0,0,0,0,,,,,"
262,262,I don't know,262.0,"270,0,0,0,0,0,,,,,"
263,263,The environment in which living things can live is becoming more destructive,263.0,"271,0,0,1,0,1,,,,,"
264,264,I don't understand.,264.0,"272,0,0,0,0,0,,,,,"
265,265,I don't understand.,265.0,"273,0,0,1,0,1,,,,,"
266,266,Mall,266.0,"274,0,0,1,0,1,,,,,"
267,267,environmental pollution,267.0,"275,0,0,1,0,0,,,,,"
268,268,Government Protects Endangered Species,268.0,"276,0,0,0,0,1,,,,,"
269,269,It's because people hunt wildly,269.0,"277,0,0,0,0,1,,,,,"
270,270,I don't know,270.0,"278,0,0,0,0,0,,,,,"
271,271,"It's because of global warming, and there's less life at the bottom of the pyramid",271.0,"279,0,0,0,0,0,,,,,"
272,272,I don't know,272.0,"280,0,0,0,0,0,,,,,"
273,273,I don't understand.,273.0,"281,0,0,0,0,0,,,,,"
274,274,Endangered species emerge as people slaughter and reduce animal populations.,274.0,"282,0,0,0,0,1,,,,,"
275,275,I don't understand.,275.0,"283,0,0,0,0,0,,,,,"
276,276,.,276.0,"284,0,0,0,0,1,,,,,"
277,277,I don't know,277.0,"285,0,0,1,0,0,,,,,"
278,278,"Environmental pollution, hunting, and so on",278.0,"286,1,0,0,0,1,,,,,"
279,279,I don't know.,279.0,"287,0,0,0,0,1,,,,,"
280,280,It's because of environmental pollution,280.0,"288,0,0,0,0,1,,,,,"
281,281,"As humans grow in technology, each country develops, environmental pollution, and animals lose their livelihoods",281.0,"289,0,0,0,0,1,,,,,"
282,282,This is because the natural environment is destroyed and the environment in which animals can live is gradually reduced,282.0,"290,0,0,0,0,1,,,,,"
283,283,by killing a person,283.0,"291,0,0,0,0,1,,,,,"
284,284,the cruelty of men,284.0,"292,0,0,1,0,0,,,,,"
285,285,I can hear it in alien language,285.0,"293,0,0,1,0,0,,,,,"
286,286,the birth of a living thing,286.0,"294,0,0,1,0,0,,,,,"
287,287,"Resources come from digging in one place and not from another. Resources are two-sided. It doesn't come from one place. If we take coltan to make smartphones, we'll be able to get it from Congo",287.0,"295,1,0,0,0,0,,,,,"
288,288,"Gorillas lose their surge.""",288.0,"296,1,0,0,0,0,,,,,"
289,289,yes,289.0,"297,1,0,1,0,0,,,,,"
290,290,"This is because there are many cases of illegally catching and buying and selling animals, and hunters mercilessly hunt expensive animals.",290.0,"298,0,0,1,0,1,,,,,299,0,1,1,0,1,,,,,"
291,291,ㅑㅑㅑ,291.0,"300,0,0,0,0,1,,,,,"
292,292,"Because of the endless greed of human beings,",292.0,"301,0,0,0,0,0,,,,,"
293,293,environmental pollution,293.0,"302,0,0,0,0,1,,,,,"
294,294,"Kill human animals to get their skins and emit carbon dioxide, causing global gossip and endangered species",294.0,"303,1,0,0,0,0,,,,,"
295,295,We'll take all the rare animals,295.0,"304,0,1,1,0,0,,,,,"
296,296,"People are cutting down trees, plants, etcBad dust in factories?The animals are sick because they produce the same thing",296.0,"305,1,0,0,0,0,,,,,"
297,297,A lot of people killed him,297.0,"306,0,0,0,0,0,,,,,"
298,298,"Because of the greed of humans,",298.0,"307,0,0,1,0,0,,,,,"
299,299,Because environmental pollution is a big problem,299.0,"308,1,0,1,0,0,,,,,"
300,300,People don't protect the environment,300.0,"309,0,0,1,0,0,,,,,"
301,301,environmental pollution,301.0,"310,0,0,0,0,1,,,,,"
302,302,"Global Warming, The Earth Is Getting Bad",302.0,"311,0,1,1,0,0,,,,,"
303,303,Because of global warming,303.0,"312,0,0,1,0,1,,,,,"
304,304,"As the environment gets polluted, the weather changes",304.0,"313,0,1,1,0,0,,,,,"
305,305,Habitats are shrinking because of ruthless natural development,305.0,"314,1,0,0,0,0,,,,,"
