,Unnamed: 0,2) Why do plastic bottles that are left outside in the summer get crushed when they are put in the refrigerator?,Unnamed: 0,", q38_temperature, q38_pressure, q38_gas molecule, q38_temperature.1,q38_Pressure.1,q38_a gas molecule.1"
226,226,"Bottles left outside in hot summer have a high temperature, so if you put them in a refrigerator with a low temperature, the temperature difference increases and becomes crushed.",226.0,"233,1,0,0,,,"
227,227,The temperature suddenly changed (hot -- cold),227.0,"234,1,0,0,,,"
228,228,This is because of the difference in pressure outside and inside the refrigerator in the summer.,228.0,"235,1,0,0,,,"
229,229,The temperature difference between the outside and the refrigerator is so big,229.0,"236,1,0,0,,,"
230,230,It expands when the temperature is high and contracts when the temperature is low,230.0,"237,0,0,0,,,"
231,231,The temperature has risen,231.0,"238,0,1,0,,,239,1,1,0,,,"
232,232,There is a big difference between the water temperature in the plastic bottle and the temperature in the refrigerator,232.0,"240,1,0,0,,,"
233,233,Because it is affected by the hot temperature.,233.0,"241,1,0,0,,,"
234,234,"It is because the volume increased due to the temperature and then cooled again, so the volume decreased.",234.0,"242,1,0,1,,,"
235,235,"The room temperature was high, so it expanded, but it was crushed because the temperature decreased and contracted as it entered the refrigerator",235.0,"243,1,0,0,,,"
236,236,It's because the water has expanded,236.0,"244,1,1,0,,,"
237,237,This is because the pressure has become stronger.,237.0,"245,1,0,1,,,"
238,238,"As the temperature goes up, the pressure goes up, but as the temperature goes down, the pressure goes down, and the air in the plastic bottle decreases and becomes dented",238.0,"246,1,0,0,,,"
239,239,This is because the temperature difference occurred because the temperature moved from high to low.,239.0,"247,0,0,0,,,"
240,240,It's because there's a big difference in temperature.,240.0,"248,1,0,0,,,"
241,241,"Plastic at high temperatures expands as the distance between molecules increases as molecular activity becomes active, and when the plastic bottle is put in the refrigerator, the temperature decreases rapidly and the distance between molecules decreases rapidly and becomes crushed.",241.0,"249,1,0,0,,,"
242,242,Because the temperature of the air inside and the temperature of the air in the refrigerator are different,242.0,"250,1,0,0,,,"
243,243,"As the temperature rises, there is a difference in air pressure",243.0,"251,1,0,0,,,"
244,244,"Plastic was placed outside in the summer when the temperature was high, so the distance of air expanded, but when put into the refrigerator where the temperature was low, the distance between the air became close and the plastic was crushed.",244.0,"252,1,0,0,,,"
245,245,"Due to the sudden temperature difference,",245.0,"253,1,0,0,,,"
246,246,I don't know,246.0,"254,0,0,0,,,"
247,247,"Because the temperature went down,",247.0,"255,1,0,0,,,"
248,248,"There is warm air in it, but it is crushed in the cold place",248.0,"256,1,0,0,,,"
249,249,"It is hot outside, but the refrigerator is cold, so it must have been crushed",249.0,"257,1,0,0,,,"
250,250,The plastic gets hot and cold,250.0,"258,1,0,0,,,"
251,251,There's a lot of temperature difference,251.0,"259,0,1,0,,,"
252,252,There's a big difference in temperature,252.0,"260,0,0,0,,,"
253,253,Yeah.,253.0,"261,1,0,0,,,"
254,254,Because of the temperature,254.0,"262,1,0,0,,,"
255,255,"It was hot, but it suddenly got cold",255.0,"263,0,0,0,,,"
256,256,The temperature suddenly changed,256.0,"264,0,1,0,,,"
257,257,The plastic is exposed to hot air and suddenly meets cold air and shrinks,257.0,"265,1,0,0,,,"
258,258,under pressure,258.0,"266,1,1,0,,,"
259,259,I don't know,259.0,"267,0,1,0,,,"
260,260,Because of the temperature difference,260.0,"268,0,1,0,,,269,1,0,0,,,"
261,261,The temperature suddenly went down,261.0,"270,0,0,0,,,"
262,262,"""I know",262.0,"271,1,0,0,,,"
263,263,"""",263.0,"272,0,1,0,,,"
264,264,Because of the high atmospheric pressure,264.0,"273,1,0,0,,,"
265,265,crouching in the cold,265.0,"274,1,0,0,,,"
266,266,"""If you leave it outside in the summer, it gets hot, so the pressure of the air changes and the volume increases",266.0,"275,1,0,0,,,"
267,267,"It's because the volume decreases when you break up, and that's why this happens.""",267.0,"276,1,0,1,,,"
268,268,Because of the high atmospheric pressure,268.0,"277,1,0,0,,,"
269,269,The pressure is getting stronger,269.0,"278,1,0,0,,,"
270,270,"It's hot, and then it's",270.0,"279,1,0,0,,,"
271,271,There's no water,271.0,"280,1,0,0,,,"
272,272,"The air in the plastic bottle, which was at a high temperature, expanded because the air contracted as it entered the refrigerator.",272.0,"281,0,1,0,,,"
273,273,The pressure is high,273.0,"282,1,0,0,,,"
274,274,Go from hot to cold,274.0,"283,1,0,0,,,"
275,275,This is because the temperature of the plastic bottle that was at the outside temperature and the cyst inside are different.,275.0,"284,1,0,0,,,"
276,276,The temperature dropped sharply,276.0,"285,0,0,0,,,"
277,277,"Higher temperatures increase the momentum of atoms, and lower temperatures decrease the momentum of atoms",277.0,"286,1,0,0,,,"
278,278,This is because the plastic bottle at the outside temperature and the cold air of the refrigerator meet.,278.0,"287,1,0,0,,,"
279,279,It was hot on the surface and went into the middle,279.0,"288,0,0,0,,,"
280,280,"By Charles' law, the volume is directly proportional to the absolute temperature, so the volume becomes smaller in a refrigerator with a low temperature.",280.0,"289,1,0,0,,,"
281,281,It goes from a hot place to a cold place,281.0,"290,1,0,0,,,"
282,282,Because there's pressure,282.0,"291,0,0,0,,,"
283,283,Because it's hot,283.0,"292,1,0,0,,,"
284,284,This is because there is a cold temperature.,284.0,"293,0,0,0,,,"
285,285,Because it is hot in summer.,285.0,"294,0,0,0,,,"
286,286,I don't know,286.0,"295,0,0,0,,,"
287,287,The temperature dropped dramatically,287.0,"296,1,0,0,,,"
288,288,This is because the hot air in the plastic bottle suddenly cools down.,288.0,"297,1,0,0,,,"
289,289,I don't know,289.0,"298,0,0,0,,,299,0,0,0,,,"
290,290,The temperature goes up and down,290.0,"300,1,0,0,,,"
291,291,"Since it is hot in summer, there is heat in the plastic bottle. However, when the heat suddenly meets the cold air, the volume of air decreases and collapses.",291.0,"301,1,0,0,,,"
292,292,The air condenses and dents.,292.0,"302,0,0,0,,,"
293,293,The hot heat outside causes the expanded bottle to meet the cold air and the hot air inside to escape,293.0,"303,0,0,0,,,"
294,294,Changes in the volume of a gas,294.0,"304,1,1,0,,,"
295,295,I don't know.,295.0,"305,1,0,0,,,"
296,296,dㄹrㄹrㅈㄹThe temperature goes up and down,296.0,"306,1,0,0,,,"
297,297,Move from hot to cold and need air,297.0,"307,1,0,0,,,"
298,298,I doubt it.,298.0,"308,0,1,0,,,"
299,299,I have no idea.,299.0,"309,1,0,0,,,"
300,300,The shape of the plastic changed due to a sudden change in temperature.,300.0,"310,0,1,0,,,"
301,301,This is because there is a sudden temperature difference.,301.0,"311,1,0,0,,,"
302,302,The volume of air has decreased,302.0,"312,0,0,0,,,"
303,303,I don't know,303.0,"313,1,0,0,,,"
304,304,This is because the air gets cold and the volume increases. That's why it's so uncomfortable because it can't withstand the amount of air.,304.0,"314,0,0,0,,,"
305,305,a change in temperature,305.0,"315,1,0,0,,,"
306,306,The plastic bottle was crushed because the temperature suddenly changed,306.0,"316,1,0,0,,,"
307,307,The temperature went up and down,307.0,"317,1,0,0,,,"
308,308,Because of the pressure?,308.0,"318,1,0,0,,,"
309,309,The plastic bottle melted and then got cold,309.0,"319,0,0,0,,,"
310,310,It's too much pressure,310.0,"320,1,0,0,,,"
311,311,This is because the refrigerator has a low temperature and the air in the plastic bottle has shrunk.,311.0,"321,1,1,0,,,"
312,312,This is because the volume of air decreases.,312.0,"322,1,0,0,,,"
313,313,Shape changes due to sudden temperature changes,313.0,"323,1,0,0,,,"
314,314,I don't know.,314.0,"324,0,1,0,,,"
315,315,"When the temperature goes up, the temperature goes down",315.0,"325,0,1,0,,,"
316,316,The temperature of the plastic bottle suddenly changed.,316.0,"326,1,0,0,,,"
317,317,This is because the temperature has dropped sharply.,317.0,"327,0,0,0,,,"
318,318,It seems to be because the temperature of the plastic bottle drops sharply when it suddenly becomes cold after being in a hot place.,318.0,"328,1,0,0,,,329,1,0,0,,,"
319,319,I don't know,319.0,"330,1,0,0,,,"
320,320,The temperature difference between outside and inside is huge.,320.0,"331,1,0,0,,,"
321,321,"The plastic bottle outside in the summer is warm, but it cools quickly when put in the refrigerator, so water vapor containing water enters the water again, reducing the air in the Tef bottle and crushing it.",321.0,"332,1,0,0,,,"
322,322,"The temperature of the plastic bottle is high and the temperature of the payback decreases, so the bottle is crushed.",322.0,"333,1,0,0,,,"
323,323,This is because plastic bottles in hot places meet in cold places and cause objects to be crushed.,323.0,"334,1,1,1,,,"
324,324,It's because of the pressure.,324.0,"335,0,0,0,,,"
325,325,"When put in the refrigerator, the plastic bottle expands as more air enters than when put outside.",325.0,"336,0,0,0,,,"
326,326,I think it's because of the temperature difference.,326.0,"337,1,0,0,,,"
327,327,I know...,327.0,"338,0,0,0,,,"
328,328,It seems to be crushed by sudden temperature changes,328.0,"339,0,0,1,,,"
329,329,The temperature outside and the temperature of the refrigerator are different,329.0,"340,0,0,0,,,"
330,330,It is because the temperature suddenly dropped.,330.0,"341,1,0,0,,,"
331,331,It's a gate with different temperatures.,331.0,"342,0,1,0,,,"
332,332,It's crushed by the cold air,332.0,"343,1,0,1,,,"
333,333,I was in a hot place and suddenly it got cold,333.0,"344,1,0,1,,,"
334,334,"Since the movement of atoms in a plastic bottle is more active than that of Woonerza in the refrigerator, the pressure is high because there are more molecules in the refrigerator.",334.0,"345,1,0,0,,,"
335,335,.,335.0,"346,0,1,0,,,"
336,336,.,336.0,"347,1,0,0,,,"
337,337,This is because the volume of the gas decreases when the temperature is lowered,337.0,"348,1,0,0,,,"
338,338,Is it solid or gas in a plastic bottle? Or is it liquid?,338.0,"349,1,0,0,,,"
339,339,It is because of molecular activity.,339.0,"350,1,0,0,,,"
340,340,.,340.0,"351,1,0,0,,,"
341,341,There's a difference in temperature,341.0,"352,0,0,0,,,"
342,342,"Because of the sunlight, oxygen in the plastic disappears as it gets into the refrigerator",342.0,"353,1,0,0,,,"
343,343,"Lower temperatures also reduce molecular motion, resulting in reduced volume",343.0,"354,0,0,0,,,"
344,344,"As the temperature decreases, the movement of atoms slows down and the gap between atoms decreases, so it is crushed.",344.0,"355,1,0,0,,,"
345,345,Volume increases as temperature increases,345.0,"356,0,0,0,,,"
346,346,The pressure in the bottle is lower than the atmospheric pressure,346.0,"357,0,0,0,,,"
347,347,Temperature,347.0,"358,1,0,0,,,359,1,0,0,,,"
348,348,Change in gas volume with temperature,348.0,"360,1,0,0,,,"
349,349,"The lower the temperature, the more it expands.",349.0,"361,1,0,0,,,"
350,350,"Because of the temperature difference, the waves change",350.0,"362,0,1,0,,,"
351,351,The temperature and volume are proportional,351.0,"363,1,1,0,,,"
352,352,"It's similar to the one above, but the opposite is obvious",352.0,"364,0,0,0,,,"
353,353,"This is because when the air in the hot bottle enters the refrigerator, the air shrinks and the volume decreases.",353.0,"365,1,0,0,,,"
354,354,adiabatic absorption,354.0,"366,0,0,0,,,"
355,355,The temperature went down,355.0,"367,0,0,0,,,"
356,356,It is because there is a nature to follow the phenomena of nature.,356.0,"368,0,0,0,,,"
357,357,Um Jeonghwa sings it. I don't know,357.0,"369,1,0,0,,,"
358,358,"The inside of the bottle is warm and the outside is cold, so it's crushed Yes, yes, yes",358.0,"370,1,0,0,,,"
359,359,This is because the volume decreases when the temperature decreases,359.0,"371,1,0,0,,,"
360,360,It's hot,360.0,"372,1,0,0,,,"
361,361,be due to a drop in temperature,361.0,"373,1,0,0,,,"
362,362,Because there was a change in pressure.,362.0,"374,1,0,0,,,"
363,363,be compressed as the temperature drops,363.0,"375,1,0,0,,,"
364,364,"Since T decreases in PV=nRT and the remainder minus V and T is constant, the volume decreases and the bottle is crushed.",364.0,"376,0,0,0,,,"
365,365,"Because of the temperature difference,",365.0,"377,0,0,0,,,"
366,366,It can be explained by the ideal gas state equation.,366.0,"378,1,0,0,,,"
367,367,This is because the volume of air has become smaller.,367.0,"379,0,0,0,,,"
368,368,This is because the gas in the plastic bottle contracts when it enters the refrigerator,368.0,"380,1,0,1,,,"
369,369,The temperature went down,369.0,"381,1,0,0,,,"
370,370,"The temperature decreases and the volume decreases, and the bottle is crushed accordingly.",370.0,"382,1,0,0,,,"
371,371,Because it's hot,371.0,"383,0,0,0,,,"
372,372,The volume decreases due to a decrease in temperature.,372.0,"384,1,0,0,,,"
373,373,"This is because the volume decreases as the temperature decreases, and the air in the bottle contracts",373.0,"385,1,0,0,,,"
374,374,The heat shrinks the expanded air,374.0,"386,1,0,0,,,"
375,375,"According to Charles' law, the temperature and volume are proportional, so when the temperature decreases, the volume decreases.",375.0,"387,1,0,0,,,"
376,376,The gas contracted,376.0,"388,1,0,0,,,389,1,0,0,,,"
377,377,I don't know,377.0,"390,1,0,0,,,"
378,378,a change in temperature,378.0,"391,1,0,0,,,"
379,379,It's a little hard.,379.0,"392,1,0,0,,,"
380,380,"A higher temperature increases the distance between molecules, but a lower temperature increases the distance.",380.0,"393,1,0,0,,,"
381,381,The temperature went down,381.0,"394,1,1,0,,,"
382,382,"If the temperature goes down, the volume goes down",382.0,"395,1,0,1,,,"
383,383,Someone stepped on it,383.0,"396,1,0,0,,,"
384,384,"Because of the temperature difference,",384.0,"397,1,0,0,,,"
385,385,It's because the temperature has gone down,385.0,"398,1,0,0,,,"
386,386,"Plastic bottles outside in the summer expanded due to heat, and the expansion of them by putting them in cold refrigerators decreased.",386.0,"399,0,0,0,,,"
387,387,The temperature decreases and the volume of the gas decreases,387.0,"400,0,0,0,,,"
388,388,Dented due to high temperature,388.0,"401,0,0,0,,,"
389,389,Because of the temperature difference?,389.0,"402,1,0,0,,,"
390,390,The temperature has risen,390.0,"403,1,0,0,,,"
391,391,This is because the volume decreases when the temperature decreases,391.0,"404,1,0,0,,,"
392,392,"The air inside the plastic is hot, and if you put it in the refrigerator right away, the temperature of the air decreases and the volume of the air decreases",392.0,"405,1,0,0,,,"
393,393,"If you expand and go into the cold, there's a big difference in temperature difference?",393.0,"406,0,1,0,,,"
394,394,This is because air pressure decreases when the temperature increases.,394.0,"407,1,0,0,,,"
395,395,"As the temperature increases, the distance between the gases decreases, and as the temperature decreases, the distance between the gases decreasesThe plastic bottle is crushed because the volume decreases when the temperature decreases.",395.0,"408,1,0,0,,,"
396,396,There's a big difference in temperature,396.0,"409,1,0,0,,,"
397,397,by rapid freezing,397.0,"410,0,0,0,,,"
398,398,in contraction,398.0,"411,1,0,0,,,"
399,399,The plastic melted,399.0,"412,0,0,0,,,"
400,400,Put a lot of water,400.0,"413,1,0,0,,,"
401,401,"It was in the hot air, but suddenly the cold air touched it.",401.0,"414,1,0,0,,,"
402,402,Because it's hot,402.0,"415,1,1,0,,,"
403,403,It's cold,403.0,"416,1,0,0,,,"
404,404,It's hot outside,404.0,"417,1,0,0,,,"
405,405,The pressure is low,405.0,"418,0,0,0,,,419,0,1,0,,,"
406,406,There's a big difference in temperature.,406.0,"420,1,0,0,,,"
407,407,It felt like the hot air was moving to a place with cold air,407.0,"421,0,0,0,,,"
408,408,Because the temperature difference is different,408.0,"422,1,0,0,,,"
409,409,The earth rotates,409.0,"423,1,0,0,,,"
410,410,The temperature suddenly dropped,410.0,"424,1,1,0,,,"
411,411,The earth rotates,411.0,"425,1,0,0,,,"
412,412,under pressure,412.0,"426,1,0,0,,,"
413,413,I have a low fever,413.0,"427,0,0,0,,,"
414,414,"The plastic gets hot and gets cold, which increases the pressure.",414.0,"428,1,0,0,,,"
415,415,It's because I was in a hot place and went to a cold place.,415.0,"429,1,0,0,,,"
416,416,Because the volume changes depending on the temperature,416.0,"430,1,0,0,,,"
417,417,.,417.0,"431,1,0,0,,,"
418,418,It's because of air pressure and water pressure,418.0,"432,0,0,0,,,"
419,419,This is because the temperature has changed dramatically.,419.0,"433,1,0,0,,,"
420,420,I don't know.,420.0,"434,1,0,1,,,"
421,421,This is because the volume decreases when the temperature decreases.,421.0,"435,1,1,0,,,"
422,422,It's hot,422.0,"436,1,0,0,,,"
423,423,The air pressure in the bottle decreases as the temperature drops,423.0,"437,1,0,0,,,"
424,424,"Since the temperature and volume are proportional, as the temperature decreases, the volume also decreases.",424.0,"438,1,0,0,,,"
425,425,This is because the volume decreased as the temperature suddenly decreased.,425.0,"439,1,0,0,,,"
426,426,This is because inflated air decreases in volume in the refrigerator.,426.0,"440,1,0,0,,,"
427,427,This is because the volume of the contents inside the plastic bottle decreases when it enters the refrigerator with a larger volume due to heat from outside.,427.0,"441,1,0,0,,,"
428,428,This is because the temperature decreases and shrinks.,428.0,"442,0,1,0,,,"
429,429,This is because the temperature suddenly changed and the air in the plastic bottle contracted.,429.0,"443,0,0,0,,,"
430,430,"This is because the gas became hot, expanded, and then cooled and contracted.",430.0,"444,1,0,0,,,"
431,431,It's because the water vapor contracts as it condenses,431.0,"445,1,1,0,,,"
432,432,It is because of the sudden temperature difference.,432.0,"446,0,0,0,,,"
433,433,It is crushed because the temperature decreases and the amount of gas in the bottle decreases.,433.0,"447,1,0,1,,,"
434,434,"This is because when the temperature decreases, the volume of the gas decreases, and the pressure of the plastic bottle decreases.",434.0,"448,0,0,0,,,449,0,0,0,,,"
435,435,"In summer, the temperature is relatively high, so the volume of gas expands in the plastic bottle, and when put into the refrigerator, the volume of gas decreases as the temperature of the gas decreases, so the plastic bottle is crushed.",435.0,"450,0,0,0,,,"
436,436,"The temperature is relatively high in the summer, so the gas is inflatedgo",436.0,"451,0,0,0,,,"
437,437,"When placed in a refrigerator at a lower temperature than outside, the plastic is crushed because the temperature decreases and the volume decreases.",437.0,"452,0,0,0,,,"
438,438,"""",438.0,"453,0,0,0,,,"
439,439,"The higher the temperature, the more the volume of the gas expands, because the temperature decreases when put in the refrigerator, and the volume of the gas in the plastic bottle decreases.",439.0,"454,1,0,0,,,"
440,440,The bottle is crushed due to the difference between the temperature in the bottle and the temperature outside the bottle.,440.0,"455,1,0,0,,,"
441,441,The temperature of the refrigerator is lower than outside. This is because the volume of the gas decreases as the temperature decreases.,441.0,"456,0,0,0,,,"
442,442,"Gas expands and contracts as the temperature increases, so when a plastic bottle containing hot air is put in the refrigerator, the temperature of the hot gas decreases and contracts, which causes the plastic bottle to be crushed.",442.0,"457,1,0,0,,,"
443,443,Because of the difference in air pressure,443.0,"458,0,0,0,,,"
444,444,"Han Hangyul, I love you. I love you",444.0,"459,1,0,0,,,"
445,445,Go from high temperature to low temperature,445.0,"460,0,0,0,,,"
446,446,a difference between temperature and air pressure,446.0,"461,0,0,0,,,"
447,447,This is because the volume of air inside decreases,447.0,"462,0,0,1,,,"
448,448,"This is because the molecular motion of the gas increases due to the active molecular motion at the temperature outside in summer, but since the refrigerator is at a low temperature, the molecular motion of the gas is less active and the volume decreases.",448.0,"463,1,1,0,,,"
449,449,I don't know,449.0,"464,0,0,0,,,"
450,450,I don't know,450.0,"465,1,0,0,,,"
451,451,(wink),451.0,"466,1,0,0,,,"
452,452,I don't know. I didn't even know that It's a new fact that I didn't know this time.,452.0,"467,1,0,1,,,"
453,453,I don't know.,453.0,"468,1,0,0,,,"
454,454,I don't know.,454.0,"469,1,0,1,,,"
455,455,The temperature difference between the refrigerator and the outside decreases in volume,455.0,"470,1,1,0,,,"
456,456,"Because of the temperature difference between the refrigerator and the outside,",456.0,"471,1,0,0,,,"
457,457,....?,457.0,"472,1,1,0,,,"
458,458,This is because the volume of air in the plastic bottle decreased as the temperature decreased.,458.0,"473,0,0,0,,,"
459,459,?,459.0,"474,1,0,0,,,"
460,460,The volume decreases because the temperature decreases,460.0,"475,1,1,0,,,"
461,461,I don't know.,461.0,"476,0,0,0,,,"
462,462,There's a big difference between the air inside and outside,462.0,"477,0,0,0,,,"
463,463,There's not enough air,463.0,"478,1,0,0,,,479,1,1,0,,,"
464,464,"Because of the air pressure difference caused by the temperature difference,",464.0,"480,1,0,0,,,"
465,465,"= temperature increases volume increase by, Charles.",465.0,"481,1,0,0,,,"
466,466,To reduce the volume of objects within the temperature and plastic bottles.,466.0,"482,1,0,0,,,"
467,467,Thermal expansion due to diseases the cooling due to contraction of the refrigerator.,467.0,"483,1,0,0,,,"
468,468,"기체는 온도가 높으면 움직임이 더 활발해져서 플라스틱 내 벽을 치면서 부피가 팽창 되어있는데, 냉장고 안에 넣으면 온도가 내려가 다시 움직임이 느려져서 찌그러지게된다.",468.0,"484,1,1,0,,,"
469,469,There is a plastic bottle of hot air volume drop to lower the temperature inside if you put it in the fridge.,469.0,"485,1,0,1,,,"
470,470,"Higher temperatures, more active and bulky, reduce the temperature is molecular motion, molecular motion to smaller in volume have grown sluggish.",470.0,"486,1,1,0,,,"
471,471,"The increase in temperature increasing in volume, with increased by as much as pressure being applied to try to keep to its original condition is crushed plastic bottles.",471.0,"487,1,1,0,,,"
472,472,And the heat.,472.0,"488,1,0,0,,,"
473,473,Microvariation of pressure due to temperature differences.,473.0,"489,1,1,0,,,"
474,474,Naver,474.0,"490,1,0,1,,,"
475,475,"Out of the summer temperature is high inflation and, in the refrigerator temperature is lowered and crushed.",475.0,"491,1,0,0,,,"
476,476,"Cooling, thereby increasing the pressure is because a refrigerator cooled air molecules high speed, and heavy Plastron by the volume of Still's disease.",476.0,"492,0,0,0,,,"
477,477,고체로 상태변화 할때  부피가 줄어들어서,477.0,"493,1,0,1,,,"
478,478,I don't know.,478.0,"494,1,1,0,,,"
479,479,Due to the temperature differential,479.0,"495,1,0,0,,,"
480,480,온도가 낮아지면서 압력이 높아져서 플라스틱 병이 수축한다,480.0,"496,1,0,0,,,"
481,481,"The temperature in accordance with the volume of plastic is on the high increase in volume and cold temperatures will be easy, contract volume in a place.",481.0,"497,1,0,0,,,"
482,482,Temperature.,482.0,"498,1,0,1,,,"
483,483,"Because of the temperature difference,",483.0,"499,1,0,1,,,"
484,484,Temperature difference,484.0,"500,0,1,0,,,"
485,485,"This is because the temperature is lowered and the volume of air in the plastic bottle is reduced, so the air pressure outside the plastic bottle is stronger than inside the plastic bottle.",485.0,"501,0,0,1,,,"
486,486,"This is because the higher the temperature, the more active the gas becomes, the larger the volume, and the lower the temperature, the slower the gas activity and the smaller the volume",486.0,"502,1,1,0,,,"
487,487,Shrink due to pressure difference due to temperature difference between the inside and outside,487.0,"503,1,0,0,,,"
488,488,"In summer, the temperature of the air in the plastic bottle is higher than in the refrigerator, so when the air in the plastic bottle is put into the refrigerator, the volume decreases, and the plastic bottle is crushed to meet the pressure.",488.0,"504,1,0,0,,,"
489,489,Because it's hot,489.0,"505,0,1,0,,,"
490,490,"When put in the refrigerator, the temperature decreases rapidly, and the internal pressure and volume of the plastic bottle decrease as the temperature decreases. PV=nRT",490.0,"506,0,0,0,,,"
491,491,"This is because gases are more active in places with higher temperatures, so when entering a refrigerator with lower temperatures, the gas is less active.",491.0,"507,1,0,0,,,"
492,492,This is because the volume decreases when the temperature decreases.,492.0,"508,0,0,0,,,509,1,0,0,,,"
493,493,Don't know,493.0,"510,0,1,0,,,"
494,494,"The plastic bottle is crushed as the temperature is high and then quickly moved to a place where the temperature is low, slowing the activity of air molecules that were actively moving.The pressure difference caused the volume to decrease momentarily because the temperature was high and then suddenly decreased",494.0,"511,1,0,0,,,"
495,495,"In the summer when the temperature is high, the volume expands and contracts in the refrigerator when the temperature is low",495.0,"512,1,0,0,,,"
496,496,This is because plastic bottles that expanded at high temperatures contract as they are rapidly exposed to low temperatures.,496.0,"513,1,0,0,,,"
497,497,The temperature changed dramatically,497.0,"514,1,0,0,,,"
498,498,"As the temperature decreases, the amount of motion of the gas decreases, so the pet plane is distorted.",498.0,"515,1,0,0,,,"
499,499,"If the temperature is high, the amount of motion of the gas becomes active and expands, and if the temperature is low, the amount of motion decreases and becomes distorted",499.0,"516,1,0,0,,,"
500,500,The air is gone,500.0,"517,1,1,0,,,"
501,501,"Because of the heat transfer of air,",501.0,"518,0,0,0,,,"
502,502,This is because the hot air in the plastic bottle is pressed against the cold air in the refrigerator.,502.0,"519,0,0,0,,,"
503,503,"In a hot bottle, the refrigerator meets the heavy gas and the cold gas meet and crush",503.0,"520,0,0,0,,,"
504,504,Because of the temperature difference,504.0,"521,1,0,0,,,"
505,505,It's because of the pressure,505.0,"522,1,1,0,,,"
506,506,It's getting bigger,506.0,"523,1,0,0,,,"
507,507,It suddenly got cold,507.0,"524,0,0,0,,,"
508,508,It's getting bigger,508.0,"525,0,1,0,,,"
509,509,The temperature changes suddenly,509.0,"526,1,0,0,,,"
510,510,Change in volume by pressure,510.0,"527,1,1,0,,,"
511,511,The temperature of the air suddenly changed,511.0,"528,1,0,0,,,"
512,512,The temperature was hot and then suddenly it got cold,512.0,"529,0,0,0,,,"
513,513,Summer crabs are crushed by plastic bottles,513.0,"530,0,0,0,,,"
514,514,From hot temperature to cold temperature.,514.0,"531,1,0,0,,,"
515,515,Because I went from a hot place to a cool place,515.0,"532,1,0,0,,,"
516,516,This is because the temperature has changed.,516.0,"533,1,0,0,,,"
517,517,"When the temperature goes down, the pressure goes up",517.0,"534,1,0,0,,,"
518,518,Plastic is hard,518.0,"535,1,1,0,,,"
519,519,I don't know.,519.0,"536,1,0,0,,,"
520,520,Don't know,520.0,"537,1,0,0,,,"
521,521,The temperature suddenly changed,521.0,"538,1,0,0,,,539,1,1,0,,,"
522,522,This is because the pressure decreases because the temperature of the air in the plastic bottle decreases.,522.0,"540,1,0,0,,,"
523,523,Because of the sudden change in temperature,523.0,"541,1,0,0,,,"
524,524,?,524.0,"542,0,0,0,,,"
525,525,There's no air,525.0,"543,1,0,0,,,"
526,526,"Because of the sudden change in temperature,",526.0,"544,1,0,0,,,"
527,527,"If the temperature is low and then suddenly high, the pressure decreases.",527.0,"545,1,0,0,,,"
528,528,Because of the pressure,528.0,"546,1,0,0,,,"
529,529,It is because the molecules expand and contract.,529.0,"547,0,0,0,,,"
530,530,Don't know,530.0,"548,0,0,0,,,"
531,531,"Because of the sudden change in temperature,",531.0,"549,0,0,0,,,"
532,532,Because of the temperature change,532.0,"550,0,1,0,,,"
533,533,due to extreme temperature differences,533.0,"551,1,0,0,,,"
534,534,a rapid deterioration of temperature,534.0,"552,1,0,0,,,"
535,535,This is because air pressure changes due to sudden temperature differences,535.0,"553,0,0,0,,,"
536,536,The temperature changed dramatically,536.0,"554,0,0,0,,,"
537,537,"Because of the sudden temperature change,",537.0,"555,0,0,0,,,"
538,538,There's a difference in temperature difference?,538.0,"556,0,0,0,,,"
539,539,"If you put the plastic bottle outside in the refrigerator when the temperature rises and the pressure rises, the temperature decreases, the pressure decreases, and the volume decreases",539.0,"557,1,0,0,,,"
540,540,The temperature suddenly changed,540.0,"558,1,0,0,,,"
541,541,It swells up when you put it outside and shrinks again when you put it in the refrigerator,541.0,"559,0,0,0,,,"
542,542,The ball is compressed,542.0,"560,1,0,0,,,"
543,543,It is because of the sudden temperature difference.,543.0,"561,1,0,0,,,"
544,544,The temperature changed dramatically,544.0,"562,1,0,0,,,"
545,545,"""In the summer, the temperature is high, but in the refrigerator,",545.0,"563,1,0,0,,,"
546,546,"Because of the low temperature, the plastic bottle in the refrigerator is crushed.""",546.0,"564,1,0,0,,,"
547,547,I think it's because of the temperature difference,547.0,"565,0,0,0,,,"
548,548,I don't know.,548.0,"566,1,0,0,,,"
549,549,I don't know.,549.0,"567,1,0,0,,,"
550,550,The plastic burns down.,550.0,"568,0,0,0,,,569,1,0,0,,,"
551,551,"Because of the lack of air and air pressure,",551.0,"570,0,1,0,,,"
552,552,The heat cannot go out and is crushed by freezing.,552.0,"571,0,0,0,,,"
553,553,Because the hot air met the cold air,553.0,"572,0,0,0,,,"
554,554,I don't know,554.0,"573,0,0,0,,,"
555,555,I don't know.,555.0,"574,0,0,0,,,"
556,556,This is because the air is compressed.,556.0,"575,0,0,0,,,"
557,557,I don't know.,557.0,"576,0,0,0,,,"
558,558,I was in the hot air and suddenly came into the cold air,558.0,"577,0,0,0,,,"
559,559,It's hot and then cold.,559.0,"578,1,0,0,,,"
560,560,.,560.0,"579,1,0,0,,,"
561,561,The temperature suddenly dropped,561.0,"580,1,0,0,,,"
